[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[00:44:49.434 --> 00:44:52.095]  Go outside and enjoy the air you breathe.
[00:44:52.095 --> 00:44:56.796]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:44:58.632 --> 00:45:06.720]  We have been fighting so hard in the last two weeks that I've not even had time to cut new audio ads for this huge syndicated radio audience.
[00:45:06.720 --> 00:45:08.321]  And I apologize to the radio listeners.
[00:45:08.321 --> 00:45:11.724]  I apologize for the fact that I'm cutting this on a phone as I drive down the road.
[00:45:11.724 --> 00:45:14.487]  But this is a war and we're getting it done any way we can.
[00:45:14.487 --> 00:45:18.991]  But we had huge sales in the New Year.
[00:45:18.991 --> 00:45:21.353]  Around Christmas, end of the New Year.
[00:45:21.353 --> 00:45:23.596]  But we sold the products at such low prices.
[00:45:24.793 --> 00:45:25.434]  That's right.
[00:45:38.354 --> 00:45:43.458]  It's so critical we're there to confront the globalists and put out the counter-narrative of the truth is what they're doing.
[00:45:43.458 --> 00:45:44.719]  This is a real fight.
[00:45:44.719 --> 00:45:51.304]  So please step to the plate and take care of yourself and your family and get great products while you do it at InfoWareStore.com.
[00:45:51.304 --> 00:45:55.127]  These are products you need, like the Ultimate Finish Oil, and it funds the operation.
[00:45:55.127 --> 00:45:56.088]  Please take action.
[00:45:56.088 --> 00:45:56.789]  InfoWareStore.com.
[00:45:58.075 --> 00:45:59.657]  InfoWareStore.com.
[00:45:59.657 --> 00:46:05.962]  We have a new product, and we got several thousand of these in, and they're gonna sell out in a few days at the rate we're selling them.
[00:46:05.962 --> 00:46:16.813]  I want to thank the listeners for getting it, but this really is a game-changing toothpaste, and it doesn't compete with Super Blue that's four to five colloidal silver and iodine and fluoride-free.
[00:46:17.762 --> 00:46:19.504]  The adult or the children's.
[00:46:19.504 --> 00:46:23.067]  These are both excellent toothpaste concentrates that don't have fillers.
[00:46:23.067 --> 00:46:23.968]  People love it.
[00:46:23.968 --> 00:46:32.115]  This is a whitening toothpaste that also has the above sea coral calcium that also cleans but also re-mineralizes the teeth.
[00:46:32.836 --> 00:46:35.617]  Then it has the patented silver saw.
[00:46:35.617 --> 00:46:38.338]  Silver in it to knock out the bacteria that cause gingivitis.
[00:46:38.338 --> 00:46:39.159]  This is all proven.
[00:46:39.159 --> 00:46:40.699]  You can make claims with this.
[00:46:40.699 --> 00:46:51.884]  But I have to tell you, no one has a toothpaste this good for knocking out the bacteria, the viruses, and cleaning the teeth in a healthy way that doesn't strip away the enamel.
[00:46:51.884 --> 00:46:53.245]  So, we're really proud of it.
[00:46:53.245 --> 00:46:54.165]  It funds the operation.
[00:46:54.165 --> 00:46:55.866]  InfoWarsTore.com.
[00:46:55.866 --> 00:46:57.527]  That's why we're still on air, thanks to you!
[00:47:02.105 --> 00:47:05.707]  You're listening to the Alex Jones Show.
[00:47:05.707 --> 00:47:12.109]  The answer to 1984 is 1776.
[00:47:12.109 --> 00:47:14.791]  You're listening to the Alex Jones Show.
[00:47:14.791 --> 00:47:17.172]  To determine the elections from within.
[00:47:32.619 --> 00:47:37.924]  For a foreign country to attempt such a thing on its own is bad enough.
[00:47:37.924 --> 00:47:51.295]  For an American president to deliberately solicit such a thing, to blackmail a foreign country with military assistance to help him win an election, is unimaginably worse.
[00:47:51.295 --> 00:47:54.998]  I can't imagine any other president doing this.
[00:47:54.998 --> 00:47:59.902]  Beyond that, for then the president to deny the right of Congress
[00:48:00.900 --> 00:48:02.841]  Conduct oversight.
[00:48:02.841 --> 00:48:06.403]  Deny the right to investigate any of his activities.
[00:48:06.403 --> 00:48:14.947]  To say Article 2 of the Constitution gives him the right to, quote, do whatever he wants.
[00:48:14.947 --> 00:48:25.011]  We are staring down an erosion of the sacred democratic principles for which our founders fought a bloody war of independence.
[00:48:25.011 --> 00:48:28.593]  Such is the gravity of this historic moment.
[00:48:29.522 --> 00:48:31.063]  The Senate then must determine the rules of the trial.
[00:48:31.063 --> 00:48:33.663]  The Republican leader will offer an organizing resolution that outlines his plan.
[00:48:33.663 --> 00:48:34.724]  His plan for the rules of the trial.
[00:48:34.724 --> 00:48:35.564]  It is completely partisan.
[00:48:35.564 --> 00:48:37.565]  It was kept secret until the very eve of the trial.
[00:48:58.854 --> 00:49:03.335]  And now that it's public, it's very easy to see why.
[00:49:03.335 --> 00:49:10.076]  The McConnell rules seem to be designed by President Trump, for President Trump.
[00:49:10.076 --> 00:49:18.018]  It asks the Senate to rush through as fast as possible, and makes getting evidence as hard as possible.
[00:49:18.018 --> 00:49:26.160]  It could force presentations to take place at 2 or 3 in the morning, so the American people won't see them.
[00:49:26.160 --> 00:49:26.580]  In short,
[00:49:28.501 --> 00:49:35.905]  The McConnell resolution will result in a rushed trial with little evidence in the dark of night.
[00:49:35.905 --> 00:49:39.207]  It's actually the same rules that they had for the Clinton impeachment.
[00:49:39.207 --> 00:49:43.469]  We'll talk about that once he's finished filibustering him.
[00:49:43.469 --> 00:49:51.253]  If Leader McConnell is so confident the president did nothing wrong, why don't they want the case to be presented in broad daylight?
[00:49:53.942 --> 00:50:01.965]  On something as important as impeachment, the McConnell Resolution is nothing short of a national disgrace.
[00:50:01.965 --> 00:50:09.027]  This will go down, this resolution, as one of the darker moments in the Senate history.
[00:50:09.027 --> 00:50:13.289]  I guess his letter qualifies back in 1999 as one of the other darker moments.
[00:50:13.289 --> 00:50:15.910]  He doesn't have the same standard.
[00:50:15.910 --> 00:50:19.271]  Then why did he change them in four important ways at minimum?
[00:50:21.374 --> 00:50:30.882]  To all make the trial less transparent, less clear, and with less evidence.
[00:50:30.882 --> 00:50:35.726]  He said he wanted to get started in exactly the same way.
[00:50:35.726 --> 00:50:45.073]  It turns out, contrary to what the leader said, I'm amazed he could say it with a straight face, that the rules are the same as the Clinton rules.
[00:50:45.073 --> 00:50:49.257]  The rules are not even close to the Clinton rules.
[00:50:49.257 --> 00:50:50.357]  Unlike the Clinton rules,
[00:50:51.240 --> 00:50:57.104]  The McConnell Resolution does not admit the record of the House impeachment proceedings into evidence.
[00:50:57.104 --> 00:51:02.528]  So Leader McConnell wants a trial with no existing evidence and no new evidence.
[00:51:02.528 --> 00:51:05.791]  The trial without evidence is not a trial.
[00:51:05.791 --> 00:51:07.672]  It's a cover-up.
[00:51:07.672 --> 00:51:17.800]  Second, unlike the Clinton rules, the McConnell Resolution limits presentation by the parties to 24 hours per side over only two days.
[00:51:18.916 --> 00:51:25.341]  We start at 1, 12 hours a day, we're at 1am, and that's without breaks.
[00:51:25.341 --> 00:51:27.262]  It'll be later.
[00:51:27.262 --> 00:51:36.089]  Leader McConnell wants to force the managers to make important parts of their case in the dark of night.
[00:51:36.089 --> 00:51:37.831]  Number three.
[00:51:37.831 --> 00:51:48.279]  Unlike the Clinton rules, the McConnell resolution places an additional hurdle to get witnesses and documents by requiring a vote on whether such motions are even in order.
[00:51:49.184 --> 00:51:54.208]  If that vote fails, then no motions to subpoena witnesses and documents will be in order.
[00:51:54.208 --> 00:52:02.074]  I don't want anyone on the other side to say, I'm going to vote no first on witnesses, but then later I'll determine it.
[00:52:02.074 --> 00:52:10.561]  If they vote for McConnell's resolution, they're making it far more difficult to vote in the future, later on in the trial.
[00:52:10.561 --> 00:52:11.122]  And finally,
[00:52:12.188 --> 00:52:21.775]  Unlike the Clinton rules, the McConnell resolution allows a motion to dismiss at any time, any time in the trial.
[00:52:21.775 --> 00:52:29.400]  So in short, contrary to what the leader has said, the McConnell rules are not at all like the Clinton rules.
[00:52:29.400 --> 00:52:35.184]  The Republican leader's resolution is based neither in precedent nor in principle.
[00:52:35.184 --> 00:52:38.886]  It is driven by partisanship and the politics of the moment.
[00:52:39.775 --> 00:52:55.551]  Today, I'll be offering amendments to fix the many flaws in Leader McConnell's deeply unfair resolution, and seek the witnesses and documents we've requested, beginning with an amendment to have the Senate subpoena White House documents.
[00:52:55.551 --> 00:52:59.375]  Let me be clear, these amendments are not dilatory.
[00:52:59.375 --> 00:53:02.098]  They only seek one thing, the truth.
[00:53:03.564 --> 00:53:05.205]  That means relevant documents.
[00:53:05.205 --> 00:53:07.047]  That means relevant witnesses.
[00:53:07.047 --> 00:53:09.428]  That's the only way to get a fair trial.
[00:53:09.428 --> 00:53:12.211]  And everyone in this body knows it.
[00:53:12.211 --> 00:53:19.296]  Each Senate impeachment trial in our history, all 15 that were brought to completion feature witnesses.
[00:53:19.296 --> 00:53:20.017]  Every.
[00:53:20.017 --> 00:53:20.857]  Single.
[00:53:20.857 --> 00:53:22.478]  One.
[00:53:22.478 --> 00:53:25.241]  The witnesses we request are not Democrats.
[00:53:25.241 --> 00:53:28.083]  They're the President's own men.
[00:53:28.083 --> 00:53:31.065]  The documents are not Democratic documents.
[00:53:31.065 --> 00:53:32.266]  They're documents, period.
[00:53:33.490 --> 00:53:41.059]  We don't know if the evidence of the witnesses or the documents will be exculpatory to the President or incriminating.
[00:53:41.059 --> 00:53:53.534]  But we have an obligation, a solemn obligation, particularly now during this most deep and solemn part of our Constitution, to seek the truth and then let the chips fall where they may.
[00:53:54.673 --> 00:54:01.855]  My Republican colleagues have offered several explanations for opposing witnesses and documents at the start of the trial.
[00:54:01.855 --> 00:54:03.936]  None of them has much merit.
[00:54:03.936 --> 00:54:08.757]  Republicans have said we should deal with the question of witnesses later in the trial.
[00:54:08.757 --> 00:54:16.019]  Of course, it makes no sense to hear both sides present their case first, and then afterward decide if the Senate should hear evidence.
[00:54:16.019 --> 00:54:20.361]  The evidence is supposed to inform arguments, not come after they're completed.
[00:54:21.261 --> 00:54:26.264]  Some Republicans have said the Senate should not go beyond the House record by calling any witnesses.
[00:54:26.264 --> 00:54:30.986]  But the Constitution gives the Senate the sole power to try impeachments.
[00:54:30.986 --> 00:54:31.987]  Not the sole power to review.
[00:54:31.987 --> 00:54:33.208]  Can I just pause this for a second?
[00:54:33.208 --> 00:54:39.131]  Because quite frankly, I can only listen to the lies of Chuck Schumer just so long.
[00:54:39.131 --> 00:54:49.557]  As I pointed out before, I know somebody who used to be on his staff, a son of a friend, a high school friend of my wife and her brother.
[00:54:50.752 --> 00:54:54.414]  And he's just like Chuck Schumer, let me tell you.
[00:54:54.414 --> 00:54:57.356]  Let's go back to 1999.
[00:54:57.356 --> 00:55:01.258]  Chuck Schumer's 1999 letter about impeachment.
[00:55:01.258 --> 00:55:16.227]  And as part of that, what he said was, if we consider the impeachment of the president, it shakes me up that we're on the brink of removing a president, not because of a popular groundswell to remove him, not because of the magnitude of the wrongs that he's committed,
[00:55:16.894 --> 00:55:25.761]  But because conditions in the late 20th century America have made it possible for a small group of people who hate Bill Clinton, or in this case, President Trump,
[00:55:26.630 --> 00:55:30.834]  And hate his policies, that's the key thing.
[00:55:30.834 --> 00:55:39.601]  To very cleverly, very doggedly, exploit the institutions of freedom that we hold dear, and almost succeed in undoing him.
[00:55:39.601 --> 00:55:44.405]  It was lawfare that he's talking about, and that's what we're seeing in spades with this.
[00:55:44.405 --> 00:55:48.468]  He goes on to say, so they found Paula Jones.
[00:55:48.468 --> 00:55:52.891]  And whether or not she was truly wronged, we all knew that it was a politically motivated case.
[00:55:52.891 --> 00:55:54.593]  He does not mention Juanita Broderick.
[00:55:55.546 --> 00:55:57.067]  Doesn't mention Kathleen Welley.
[00:55:57.067 --> 00:56:02.650]  He doesn't mention all these other things that Ken Starr just glossed over.
[00:56:02.650 --> 00:56:05.612]  Whitewater, Cattlegate, so forth.
[00:56:05.612 --> 00:56:24.843]  Ken Starr, I imagine, was very, very concerned about the fact that he had to do something about the obvious, objective violation of the law that was perjury, where Bill Clinton, over the allegations of sexual harassment of Monica Lewinsky, committed perjury!
[00:56:25.734 --> 00:56:27.215]  To cover up what he had done.
[00:56:27.215 --> 00:56:29.237]  That is an objective fact.
[00:56:29.237 --> 00:56:31.538]  And then he tried to obstruct that.
[00:56:31.538 --> 00:56:35.841]  But Chuck Schumer in 1999 went on, he said, you know, what Bill Clinton did was wrong and arrogant.
[00:56:35.841 --> 00:56:36.702]  We all agree.
[00:56:36.702 --> 00:56:39.264]  Did you really agree about that?
[00:56:39.264 --> 00:56:40.925]  But let's express some sympathy.
[00:56:40.925 --> 00:56:43.527]  He's an extraordinary but flawed individual.
[00:56:43.527 --> 00:56:46.929]  Who happened to sexually, violently assault many women.
[00:56:46.929 --> 00:56:48.070]  Raping many of them.
[00:56:48.070 --> 00:56:50.212]  There's no question about that yet.
[00:56:50.212 --> 00:56:50.812]  At this point.
[00:56:50.812 --> 00:56:53.134]  And yet we have nothing done because he is a Clinton.
[00:56:53.883 --> 00:56:57.230]  Now, as you heard Chuck Schumer say, these are completely different rules.
[00:56:57.230 --> 00:56:59.555]  Let me tell you what happened in 1999.
[00:56:59.555 --> 00:57:02.321]  The managers presented their case over a period of three days.
[00:57:03.334 --> 00:57:07.618]  And there was a discussion of the facts and backgrounds of the case.
[00:57:07.618 --> 00:57:10.981]  And they talked about the laws governing perjury and so forth.
[00:57:10.981 --> 00:57:14.904]  After that period of time, the defense had three days to talk about it.
[00:57:14.904 --> 00:57:19.088]  And then you had Robert Byrd, you know the guy who was a grand wizard of the Ku Klux Klan or whatever.
[00:57:19.088 --> 00:57:24.673]  He was dearly loved by the Clintons and now we know because he moved to dismiss the charges.
[00:57:24.673 --> 00:57:28.236]  He said, you can't have a motion to dismiss at any given time.
[00:57:28.236 --> 00:57:30.157]  Well, that's exactly what they did.
[00:57:30.157 --> 00:57:30.738]  Robert Byrd.
[00:57:31.651 --> 00:57:37.294]  The KKK guy, also known as a senator and friend of the Clintons, moved to dismiss.
[00:57:37.294 --> 00:57:39.495]  That was voted down.
[00:57:39.495 --> 00:57:42.916]  And we'll talk about the rest of this process when we come back.
[00:57:42.916 --> 00:57:45.257]  Alex Jones will be joining us from Washington.
[00:57:45.257 --> 00:57:47.578]  Stay with us.
[00:57:47.578 --> 00:57:49.299]  I love watching David Knight in the morning.
[00:57:49.299 --> 00:57:51.420]  I love tuning in to Owen Schroer.
[00:57:51.420 --> 00:57:53.181]  I love all the other shows we do here.
[00:57:53.181 --> 00:57:54.922]  But I'll be honest with you.
[00:57:54.922 --> 00:57:59.264]  We run, during the breaks, a lot of news reports because I'm sick of hearing the ads.
[00:58:00.242 --> 00:58:02.127]  So you think you don't want to hear an ad?
[00:58:02.127 --> 00:58:03.430]  I don't want to hear an ad.
[00:58:03.430 --> 00:58:04.152]  But here's the bottom line.
[00:58:05.188 --> 00:58:06.648]  We're barely paying the bills here.
[00:58:06.648 --> 00:58:09.349]  And I want to expand in the face of the globalists, not contract.
[00:58:09.349 --> 00:58:10.489]  I don't want them to win.
[00:58:10.489 --> 00:58:13.410]  So listen, you've got this guarantee from me.
[00:58:13.410 --> 00:58:16.530]  We sell enough product, we'll have less ads and less plugs.
[00:58:16.530 --> 00:58:19.691]  And we'll expand and really give the globalists a run for their money.
[00:58:19.691 --> 00:58:23.492]  But we've got products you already really need, like DNA Force Plus, X2.
[00:58:23.492 --> 00:58:25.052]  These will change your life.
[00:58:25.052 --> 00:58:26.472]  Go check out the turmeric products.
[00:58:26.472 --> 00:58:28.473]  Check out the water filtration, air filtration.
[00:58:28.473 --> 00:58:29.153]  Check it all out.
[00:58:29.153 --> 00:58:31.113]  Whatever you do, take action and know.
[00:58:31.113 --> 00:58:32.894]  Be part of the second American revolution.
[00:58:32.894 --> 00:58:34.074]  Be part of crushing the globalists.
[00:58:34.434 --> 00:58:35.855]  Get great products at the same time.
[00:58:35.855 --> 00:58:38.317]  InfoWarsStore.com is the umbrella site.
[00:58:38.317 --> 00:58:40.478]  InfoWarsLife.com is the supplements.
[00:58:40.478 --> 00:58:43.560]  Take action now and fund the InfoWar for your own future.
[00:58:48.962 --> 00:58:59.052]  It is I, the leader of Cobra, here for a message to President Trump, the American people, and Alex Jones of InfoWars.
[00:58:59.052 --> 00:59:05.038]  Our operations with our partners, the Communist Chinese, have bought control of your media.
[00:59:05.038 --> 00:59:06.860]  But it's true.
[00:59:06.860 --> 00:59:10.043]  Your people are beginning to awaken.
[00:59:10.043 --> 00:59:13.166]  That's why Cobra is launching Operation
[00:59:13.206 --> 00:59:14.127]  We're good to go.
[00:59:31.852 --> 00:59:46.724]  You see, when you expose our false flags and fake media, I will carry out attacks and then blame you, like we've done with Alex Jones, blaming him for mass shootings we committed!
[00:59:46.724 --> 00:59:46.964]  Ha ha!
[00:59:46.964 --> 00:59:51.628]  Hail Cobra!
[00:59:51.628 --> 00:59:54.290]  You're listening to the Alex Jones Show.
[01:00:05.532 --> 01:00:11.435]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:00:35.126 --> 01:00:40.491]  Alright, we have a break right now in the speechifying that's going on in the Senate.
[01:00:40.491 --> 01:00:54.584]  We just heard the lies of Chuck Schumer, and prior to that we had the Democrats, or the Republicans, as the Democrats are going nuclear, they brought out the duck and cover turtle, Mitch McConnell.
[01:00:54.584 --> 01:00:55.345]  Any of you who remember?
[01:00:57.299 --> 01:01:00.581]  Those films that they inflicted on us in our childhood.
[01:01:00.581 --> 01:01:04.444]  Nevertheless, let's deconstruct some of what Chuck Schumer was saying.
[01:01:04.444 --> 01:01:08.567]  He said, this is absolutely not anything at all like 1999.
[01:01:08.567 --> 01:01:13.810]  Yeah, because it's now a different party coming after the president.
[01:01:13.810 --> 01:01:17.293]  And I just read you some of the things he said back in 1999.
[01:01:17.293 --> 01:01:23.257]  He would only talk about Paula Jones, you know, the victim of sexual assault.
[01:01:24.518 --> 01:01:32.463]  Uh, by Bill Clinton, uh, the person who was denigrated by Hillary Clinton as trailer trash.
[01:01:32.463 --> 01:01:38.107]  Didn't talk about Kathleen Willey, didn't talk about Juanita Broderick, didn't talk about the rapes and the violence and the biting and so forth.
[01:01:39.303 --> 01:01:43.564]  You know, the headlines say Chuck Schumer's 1999 letter about impeachment comes back to bite him.
[01:01:43.564 --> 01:01:46.885]  Well, nobody talked about Bill Clinton biting the women that he sexually assaulted.
[01:01:46.885 --> 01:01:49.045]  They didn't talk about their financial crimes.
[01:01:49.045 --> 01:01:51.346]  And they continue on with the Clinton Foundation.
[01:01:51.346 --> 01:01:56.607]  Nevertheless, let's talk about the central lie of Chuck Schumer.
[01:01:56.607 --> 01:02:02.589]  The fact that this is totally different from the aboveboard process that they had for Bill Clinton.
[01:02:02.589 --> 01:02:07.370]  As I pointed out, the House managers, that's what they call the prosecutors,
[01:02:08.762 --> 01:02:11.304]  The impeachment happens in the House.
[01:02:11.304 --> 01:02:13.765]  They essentially have an indictment.
[01:02:13.765 --> 01:02:15.986]  And then they present their case to the Senate.
[01:02:15.986 --> 01:02:19.268]  Well, in 1999, they did that over a period of three days.
[01:02:19.268 --> 01:02:23.950]  I don't know if they're... I keep hearing them say, well, they're going to do this in the dead of night.
[01:02:23.950 --> 01:02:27.392]  They did it over three days, and it might have been eight hours per day.
[01:02:27.392 --> 01:02:28.133]  That would have been about 24 hours.
[01:02:29.827 --> 01:02:39.975]  Okay, and Chuck, and what they're concerned about is that Mitch McConnell wants to do this 12 hours a day over two days.
[01:02:39.975 --> 01:02:48.662]  Okay, so they're going to go extra hours, they're going to work a little bit harder, and he's very upset about the fact that it's not going to be in prime time or something, because you know, this is all about the show!
[01:02:48.662 --> 01:02:49.763]  It is a show!
[01:02:51.411 --> 01:02:53.792]  You know, when are they going to have the singing and the dancing?
[01:02:53.792 --> 01:02:55.413]  And when is Hollywood going to show up?
[01:02:55.413 --> 01:02:55.993]  And so forth.
[01:02:55.993 --> 01:02:57.574]  I mean, this is what it's about.
[01:02:57.574 --> 01:02:58.835]  This is their concern about it.
[01:02:58.835 --> 01:03:06.319]  That Mitch McConnell wants to move this along so that maybe they could actually get something done.
[01:03:06.319 --> 01:03:07.520]  No, they don't want to get anything done.
[01:03:07.520 --> 01:03:09.721]  They want to stretch this out for months.
[01:03:09.721 --> 01:03:11.562]  Well, into the presidential race.
[01:03:11.562 --> 01:03:14.283]  That's all this is about, quite frankly.
[01:03:14.283 --> 01:03:17.605]  And so, back in 1999, they did this.
[01:03:17.605 --> 01:03:19.026]  They presented their case for three days.
[01:03:19.955 --> 01:03:26.403]  And then they had a defense presentation present their case for three days.
[01:03:26.403 --> 01:03:38.597]  When they presented it, the case against Bill Clinton, they had excerpts from the videotaped grand jury testimony where Bill Clinton lied under oath, and then they said that
[01:03:39.634 --> 01:03:52.124]  This was, uh, this justified removal of the president from the office by virtue of, quote, willful, premeditated, deliberate corruption of the nation's system of justice through perjury and obstruction of justice.
[01:03:52.124 --> 01:03:55.186]  Those are the two charges against Bill Clinton.
[01:03:55.186 --> 01:04:03.193]  And then, uh, you heard Chuck Schumer say, well, uh, these guys want to change the rules so that anybody can have a motion to dismiss at any period in time.
[01:04:04.022 --> 01:04:10.805]  And that precisely is what Senator KKK Robert Byrd did in 1999.
[01:04:10.805 --> 01:04:18.269]  He moved to dismiss if failed on a party line vote of 56 to 44.
[01:04:18.269 --> 01:04:28.314]  And then the Senate voted down motions to move directly to a vote on the articles of impeachment and to suppress videotaped depositions of witnesses from public release.
[01:04:28.314 --> 01:04:30.235]  So then over a three-day period,
[01:04:31.058 --> 01:04:36.042]  They called in witnesses and took videotape closed-door depositions.
[01:04:36.042 --> 01:04:43.409]  They had called in Monica Lewinsky, Clinton's friend Vernon Jordan, and White House aide Sidney Blumenthal.
[01:04:43.409 --> 01:04:44.550]  And then they had their vote.
[01:04:44.550 --> 01:04:48.073]  That is what he's saying is so different and unprecedented.
[01:04:48.073 --> 01:04:50.375]  And that's exactly what they're talking about doing.
[01:04:50.375 --> 01:04:51.836]  We'll have more about that when we come back.
[01:04:51.836 --> 01:04:52.277]  Stay with us.
[01:04:57.728 --> 01:05:02.951]  Allergies, dander, asthma, germs, toxins.
[01:05:02.951 --> 01:05:07.233]  There are many reasons why we need to think about what is really in the air around us.
[01:05:07.233 --> 01:05:11.676]  We may not be able to stop breathing, but we can control what's in the air we breathe.
[01:05:11.676 --> 01:05:19.460]  The revolutionary Alexa Pure Breeze air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air.
[01:05:20.080 --> 01:05:27.730]  Powerful, quiet, and effective, the Breathe uses a four-step purification process to help you breathe easier and cleaner.
[01:05:27.730 --> 01:05:35.841]  Similar systems could cost hundreds to even thousands of dollars, but the Alexa Pure Breathe air purification is the best and most affordable bar none.
[01:05:36.642 --> 01:05:44.731]  The breeze and the ion cluster patented technology used in the system eliminate up to 99.97% of airborne contaminants.
[01:05:44.731 --> 01:05:50.096]  Get the Alexa Pure Breeze today and save big on a world-class air filtration system for your home.
[01:05:50.096 --> 01:05:52.379]  Don't keep breathing toxic or dangerous air.
[01:05:52.379 --> 01:05:54.421]  Get this special today at Infowarsstore.com.
[01:05:59.625 --> 01:06:06.668]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[01:06:06.668 --> 01:06:10.429]  And now, your host, David Knight.
[01:06:10.429 --> 01:06:21.293]  You know, facts are a stubborn thing, and we do have historical facts to contradict what Chuckie Schumer was saying.
[01:06:21.293 --> 01:06:23.714]  As I pointed out, it began in 1999.
[01:06:23.714 --> 01:06:27.375]  He said, this is totally different than what we did with the impeachment of Bill Clinton.
[01:06:27.375 --> 01:06:27.795]  No, it isn't.
[01:06:28.781 --> 01:06:38.793]  For three days, from January the 14th to the 16th, they had the managers coming from the House, essentially presenting the prosecution side.
[01:06:38.793 --> 01:06:41.356]  And so that was January the 14th to the 16th.
[01:06:41.356 --> 01:06:44.239]  Then they started on January the 19th to the 21st.
[01:06:44.239 --> 01:06:48.064]  They had people in defense of Bill Clinton presenting their arguments.
[01:06:48.903 --> 01:06:50.404]  And then we went about six days.
[01:06:50.404 --> 01:06:51.986]  Well, I don't know what they were doing.
[01:06:51.986 --> 01:06:56.410]  You know, the Senate likes to take a lot of recesses and vacations when they campaign and so forth.
[01:06:56.410 --> 01:07:02.595]  Then you had the senator, KKK, Robert Berg, have a motion to dismiss.
[01:07:02.595 --> 01:07:05.838]  And this is something that really got Chuck Schumer upset.
[01:07:05.838 --> 01:07:08.140]  You can't have a motion to dismiss at any period of time.
[01:07:08.140 --> 01:07:10.702]  Well, this is exactly what they did back in 1999.
[01:07:10.702 --> 01:07:11.122]  He was there.
[01:07:11.122 --> 01:07:11.643]  He knows that.
[01:07:12.873 --> 01:07:14.454]  And Mitch McConnell knows that.
[01:07:14.454 --> 01:07:14.955]  That happened.
[01:07:14.955 --> 01:07:17.096]  Now that did not pass.
[01:07:17.096 --> 01:07:18.177]  They continued on with it.
[01:07:18.177 --> 01:07:22.841]  So then on February the 1st through the 3rd, they had three witnesses that came in.
[01:07:22.841 --> 01:07:27.285]  They videotaped their testimony rather than having live witnesses.
[01:07:27.285 --> 01:07:32.589]  And then on February the 8th, they had closing arguments with each side being given three hours.
[01:07:32.589 --> 01:07:33.450]  Now can you imagine
[01:07:34.210 --> 01:07:46.976]  If they give closing arguments only three hours of some ancient windbag politician talking, how the Democrats are going to flip out about that?
[01:07:46.976 --> 01:07:47.817]  This isn't fair!
[01:07:47.817 --> 01:07:50.398]  You know, we need prime time, we need to be able to go on for a very long time.
[01:07:50.398 --> 01:07:53.800]  Anyway, they had three hours to make their closing arguments from each side.
[01:07:56.696 --> 01:08:03.748]  The Republicans who had, again, the charges were, and it was a very clear charge, that Bill Clinton had lied under oath.
[01:08:04.858 --> 01:08:08.640]  To cover up what he thought was going to be something that made him look bad.
[01:08:08.640 --> 01:08:13.501]  You know, the fact that he had used his position of power in a Me Too way.
[01:08:13.501 --> 01:08:19.264]  They didn't have the Me Too meme back then, but it was what he did with Monica Lewinsky.
[01:08:19.264 --> 01:08:20.984]  It was consensual.
[01:08:20.984 --> 01:08:24.906]  She was an adult and nevertheless, it was his power.
[01:08:24.906 --> 01:08:30.068]  And we had had all of these Democrat women, just prior to that, coming after
[01:08:31.419 --> 01:08:41.546]  Clarence Thomas trying to make sure that he didn't get on the Supreme Court because there was one accusation without any witnesses saying that he had made some remarks.
[01:08:41.546 --> 01:08:52.053]  Anita Hill didn't even allege that he did anything to her, let alone violent sexual assault or rape, which were the allegations against President Clinton with other people.
[01:08:52.053 --> 01:08:57.397]  And all of these women, including Anita Hill, came down on the side of President Clinton just a couple years later.
[01:08:58.656 --> 01:09:07.879]  And so anyway, they said a failure to convict will make the statement that lying under oath, while unpleasant and to be avoided, is not all that serious.
[01:09:07.879 --> 01:09:10.559]  Well, certainly it's not all that serious for the Clintons.
[01:09:10.559 --> 01:09:19.962]  And it's not serious at all for James Clapper, who lied under oath, under congressional testimony, to all of America about dragnet surveillance.
[01:09:22.068 --> 01:09:27.151]  And then he was exposed by the Ed Stoden leaks within just a month to be lying.
[01:09:27.151 --> 01:09:32.595]  And yet, over five years, not a single Democrat, and to their shame, not a single Republican,
[01:09:34.087 --> 01:09:39.292]  He called him into question and tried to indict him for a clear case of perjury.
[01:09:39.292 --> 01:09:53.946]  And so really, they did set a precedent there, that not only Bill Clinton, but anybody in the deep state, anybody that they have a policy disagreement with, they will not enforce the idea of perjury, even if it is lying to Congress.
[01:09:53.946 --> 01:09:54.467]  They don't care.
[01:09:55.839 --> 01:09:59.360]  If it's James Clapper or if it's Bill Clinton.
[01:09:59.360 --> 01:10:05.602]  Now if you're Roger Stone on the other hand, they will try to send you to jail for an extended period of time.
[01:10:05.602 --> 01:10:11.604]  And the failure to convict Bill Clinton also sent a very strong message to everybody that all of their
[01:10:12.324 --> 01:10:21.312]  Whining about what had happened, allegedly, to Anita Hill, what would later become the biggest story of the last couple of years, I guess.
[01:10:21.312 --> 01:10:23.834]  A Me Too, for at least the Hollywood crowd.
[01:10:23.834 --> 01:10:27.778]  But that didn't matter to them at all, if it was one of their people.
[01:10:27.778 --> 01:10:32.822]  You see, Democrats and the deep state cannot commit crime.
