[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[00:54:11.345 --> 00:54:13.646]  They saw Infowars as community.
[00:54:13.646 --> 00:54:21.109]  The globalists saw Infowars as a communication system, and as a nationalist, populist movement that could unify people to bring back Americana.
[00:54:21.109 --> 00:54:22.210]  That's why they demonized it.
[00:54:22.210 --> 00:54:23.390]  That's why they attacked it.
[00:54:23.390 --> 00:54:24.271]  That's why they shut it down.
[00:54:26.305 --> 00:54:27.785]  But they failed.
[00:54:27.785 --> 00:54:29.706]  And now it's come back even stronger than ever.
[00:54:29.706 --> 00:54:32.387]  So, I believe InfoWars is a great rallying call.
[00:54:32.387 --> 00:54:33.567]  So is Trump.
[00:54:33.567 --> 00:54:36.828]  But Trump and InfoWars can come and go.
[00:54:36.828 --> 00:54:46.290]  The idea of just 1776 and we the people, and just the American flag itself and what it stands for, that really is our rallying point, and should be our rallying call.
[00:54:46.290 --> 00:54:49.811]  Alright, we'll start the second hour, and I promise go to all of your calls, but
[00:54:51.274 --> 00:54:58.716]  We need action from Trump on the coordinated big tech suppression of nationalists, Christians, conservatives, you name it.
[00:54:58.716 --> 00:55:03.618]  And just, you know, all the things that are happening, all the things that are unfolding.
[00:55:03.618 --> 00:55:06.258]  This is concerted organized crime.
[00:55:06.258 --> 00:55:13.481]  And if the Italian mafia was trying to tell people what they could say and do on some communication system, I assure you they would get indicted.
[00:55:13.481 --> 00:55:14.561]  But they wouldn't even do that.
[00:55:15.559 --> 00:55:31.071]  But when the Democrats and Big Tech are in bed with Communist China, literally enslaving their people, and everywhere we're being told to erase men out of the world, and erase families, and erase children, it's sick, and it's dangerous, and something needs to be done.
[00:55:31.071 --> 00:55:40.157]  We got callers from Finland, and callers from all over the United States, so we're going to take all of your calls when we start the second hour here in just a few minutes.
[00:55:40.157 --> 00:55:41.338]  There's so much more.
[00:55:41.338 --> 00:55:42.079]  Obviously, I've not
[00:55:43.024 --> 00:55:43.284]  Got it.
[00:56:03.004 --> 00:56:04.746]  But it's still up there discounted right now.
[00:56:04.746 --> 00:56:12.937]  We also have the super silver tooth whitening and remilitarization toothpaste that has the nano silver in it as well.
[00:56:12.937 --> 00:56:13.898]  Front line of defense.
[00:56:13.898 --> 00:56:14.799]  So good for your teeth.
[00:56:14.799 --> 00:56:16.161]  So good for your body.
[00:56:16.161 --> 00:56:20.045]  Even though this will sell out at current rates in about two weeks and more doesn't come in for over a month.
[00:56:20.626 --> 00:56:21.426]  I want you to have it.
[00:56:21.426 --> 00:56:22.347]  I want you to try it.
[00:56:22.347 --> 00:56:26.148]  Everybody else raises prices on things like this during a crisis like the coronavirus.
[00:56:26.148 --> 00:56:32.270]  We are leaving it at 50% off on the Super Silver and on the Super Blue fluoride-free toothpaste.
[00:56:32.270 --> 00:56:39.172]  The Super Blue has tea tree that's also antiviral, antibacterial and iodine, not just the Nano Silver.
[00:56:41.221 --> 00:56:48.471]  Supersilver whitening has the above ground coral calcium to meet, re-memorize the teeth and high quality nano silver.
[00:56:48.471 --> 00:56:49.493]  It's fluoride free.
[00:56:49.493 --> 00:56:51.235]  Look at that 100% reviews.
[00:56:51.235 --> 00:56:53.238]  Infowarshore.com.
[00:56:53.238 --> 00:56:55.701]  So get yours today and support the InfoWar.
[00:56:55.701 --> 00:56:56.342]  And then finally...
[00:56:57.321 --> 00:56:59.664]  My Patriots, the best durable foods company in the nation.
[00:56:59.664 --> 00:57:03.629]  It's the biggest now after 12 years because they deliver, they have high quality in taste tests.
[00:57:03.629 --> 00:57:07.595]  They're better than stuff you buy in stores for about a third of the price, cutting out all the middlemen.
[00:57:07.595 --> 00:57:11.580]  There's not just one middleman, there's usually several there and it funds the info war.
[00:57:11.580 --> 00:57:12.261]  They are still able to
[00:57:12.321 --> 00:57:12.781]  We're good to go!
[00:57:42.641 --> 00:57:43.982]  All right, stay with us.
[00:57:43.982 --> 00:57:47.625]  Hour number two, straight ahead.
[00:57:47.625 --> 00:57:51.668]  Almost all the other big storable food companies are sold out of food.
[00:57:51.668 --> 00:57:54.710]  But I know for a fact from sources, they're telling people, oh, we've got it.
[00:57:54.710 --> 00:57:55.911]  Get your order in.
[00:57:55.911 --> 00:57:57.172]  Two weeks for delivery.
[00:57:57.172 --> 00:57:59.013]  We follow this pattern over and over again.
[00:57:59.013 --> 00:58:00.694]  I've been on radio for 25 years.
[00:58:00.694 --> 00:58:02.836]  I've had storable food for a long time.
[00:58:02.836 --> 00:58:06.739]  And I learned very quickly, a lot of these companies, they're fine during normal times.
[00:58:06.739 --> 00:58:10.301]  But during a crisis, they don't keep a bunch of food on hand because of inventory.
[00:58:10.301 --> 00:58:11.302]  They'll still take your orders.
[00:58:11.502 --> 00:58:26.530]  That's why about 11 years ago I found MyPatriotSupply, now the biggest, most trusted company out there, and I became a private labeler for them, because they actually have it on hand, they actually give it delivered to you on time, they do what they're going to say they're going to do, because they want you as a customer over and over again, and they're good people.
[00:58:26.530 --> 00:58:31.433]  Now, they were saying 7 to 10 days before shipping, because they've got the food, but they've got to package it record-level orders.
[00:58:31.753 --> 00:58:36.500]  Now it's 10 to 14 because it's only intensifying with the coronavirus.
[00:58:36.500 --> 00:58:38.483]  So get your orders in at InfoWarsaw.com.
[00:58:38.483 --> 00:58:39.504]  Get the best deals.
[00:58:39.504 --> 00:58:40.586]  Get it delivered first.
[00:58:40.586 --> 00:58:41.427]  They're in our system.
[00:58:41.427 --> 00:58:42.449]  It goes right to them.
[00:58:42.449 --> 00:58:43.811]  Then it funds the Infor as well.
[00:58:43.811 --> 00:58:44.572]  So get prepared.
[00:58:44.572 --> 00:58:46.515]  InfoWarsaw.com with Sorible Foods.
[00:58:48.740 --> 00:58:51.763]  It's no secret that our daily lives are becoming more stressful.
[00:58:51.763 --> 00:58:56.346]  No matter what side of the political spectrum you're on, we're all feeling the strain from rising pressure.
[00:58:56.346 --> 00:59:01.470]  That's why we worked hard to create a new formula to support your fight against stress in your hectic day.
[00:59:01.470 --> 00:59:05.634]  Chill Force is our solution for a true, healthy, relaxation support formula.
[00:59:05.894 --> 00:59:13.858]  As the long awaited sister formula to Brain Force Plus, this formula includes powerful ingredients and time tested practices to help fight your stress levels.
[00:59:13.858 --> 00:59:15.279]  It's time to take a breather.
[00:59:15.279 --> 00:59:18.581]  Get chill for us today at InfoWarsStore.com.
[00:59:18.581 --> 00:59:22.063]  Since the beginning, Secret 12 has been one of our most popular formulas.
[00:59:22.643 --> 00:59:27.486]  Now we're bringing you an all-new version of your favorite formula to help you reach your energy peak.
[00:59:27.486 --> 00:59:36.391]  Ultra 12 from InfoWars Life takes advantage of the most effective and expensive form of B12 available, Methicabolamine, to provide you with twice the B12.
[00:59:36.391 --> 00:59:43.595]  Ultra 12 can help make DNA, support the body's energy production, and help produce healthy blood cells while assisting proper nervous system function.
[00:59:43.595 --> 00:59:48.138]  Help support your energy levels and take advantage of the superior form of B12 today with Ultra 12.
[00:59:52.054 --> 00:59:54.655]  You're listening to the Alex Jones Show!
[01:00:13.152 --> 01:00:19.282]  And now we're going to be going to Trump rallies along with you and trying to get Trump to take action against big tech censorship.
[01:00:19.282 --> 01:00:24.349]  Now the Justice Department announced they're not going to do anything.
[01:00:24.349 --> 01:00:25.751]  That's at least what they're
[01:00:27.600 --> 01:00:37.168]  Antitrust head said, this is a short segment so I want to air a special report here and then when we come back in about five minutes I'm going to go to Sivash, I believe.
[01:00:37.168 --> 01:00:39.410]  Sivash from Finland.
[01:00:39.410 --> 01:00:45.536]  Justin, Tyler, Mitch, Mac, John, Jacob, Derek, Bill and so many others.
[01:00:45.536 --> 01:00:46.937]  Trump is beginning to take action.
[01:00:46.937 --> 01:00:52.362]  It's very, very exciting but the little poison lining of this beautiful cloud is that
[01:00:54.144 --> 01:00:56.826]  They're not going to go after the censorship, but we're still going to fight.
[01:00:56.826 --> 01:00:58.808]  We still have victory.
[01:00:58.808 --> 01:01:05.513]  There are those that live their lives in victimology, and that's a word that's in the encyclopedia, we all know.
[01:01:05.513 --> 01:01:14.900]  Instead of a new word, I'm about to coin into the realm and introduce today that could change the whole future of human destiny if it's adopted.
[01:01:14.900 --> 01:01:21.225]  And we've put a lot of key coins out in the mind war, the soul war, and the destiny war.
[01:01:21.225 --> 01:01:21.546]  And that's
[01:01:23.072 --> 01:01:28.794]  Victriology.
[01:01:28.794 --> 01:01:41.780]  So many people I know, so many people I love, define themselves by the attacks they're under, and define themselves by how they're victims, and, oh, look at me, I'm a baby bird!
[01:01:41.780 --> 01:01:43.761]  Come to the nest and vomit in my mouth!
[01:01:45.302 --> 01:01:46.543]  They never want to leave the nest.
[01:01:46.543 --> 01:01:48.663]  And the millennials don't own anything.
[01:01:48.663 --> 01:01:49.804]  They don't want to own anything.
[01:01:49.804 --> 01:01:51.084]  They want communism.
[01:01:51.084 --> 01:01:54.186]  They don't even know that communism will work them like slaves 18 hours a day.
[01:01:54.186 --> 01:02:00.548]  But they don't care because they're babies and we never pushed them out of the nest.
[01:02:00.548 --> 01:02:11.373]  And I have people that are closer than I love who I just can't get out of the victimology because that's the paradigm inflicted on them.
[01:02:11.373 --> 01:02:14.834]  So I am coining the term victriology.
[01:02:17.350 --> 01:02:23.958]  Instead of being a victim, be a victor.
[01:02:23.958 --> 01:02:31.227]  And to be a victor, you have to decide, if somebody punches you in the face, that don't feel too bad!
[01:02:31.227 --> 01:02:36.393]  You gotta stop caring when things are hard, because that's what makes you stronger, instead of weaker!
[01:02:37.625 --> 01:02:44.090]  Because it's that mental capacity to stop giving in to fear that activates the genes.
[01:02:44.090 --> 01:02:50.955]  That activates everything there is in your soul and your future and your destiny.
[01:02:50.955 --> 01:02:55.118]  Humans aren't born out of laying around on their asses!
[01:02:56.226 --> 01:03:06.618]  We've been born out of conquering a world with lions and tigers and bears and mastodons and hyenas attacking us!
[01:03:06.618 --> 01:03:13.967]  And hordes of other humans and giant wars and freezing atmospheres and giant volcanoes!
[01:03:14.808 --> 01:03:19.331]  And huddling together in the cold night for warmth to survive!
[01:03:19.331 --> 01:03:21.253]  We're the dominant species!
[01:03:21.253 --> 01:03:22.754]  We built all this!
[01:03:22.754 --> 01:03:24.095]  We're powerful!
[01:03:24.095 --> 01:03:25.356]  And we're beautiful!
[01:03:25.356 --> 01:03:30.359]  And we're ready to build the next level of civilization in God's plan.
[01:03:30.359 --> 01:03:35.383]  But you must stop bowing to those who want to make you a victim.
[01:03:35.383 --> 01:03:38.805]  You must become the victor that you were born to be.
[01:03:38.805 --> 01:03:42.888]  And not a victor over other weaker people.
[01:03:44.209 --> 01:03:52.673]  But a victor in promoting ideas so powerful and so beautiful that despite the fact they're suppressed.
[01:03:52.673 --> 01:03:55.675]  It doesn't matter if they're coming from Jimi Hendrix.
[01:03:55.675 --> 01:03:58.556]  It doesn't matter if they're coming from Donald Trump.
[01:03:58.556 --> 01:04:04.979]  It doesn't matter if it's coming from you, a black man or a white woman or a young Hispanic person or somebody from China.
[01:04:04.979 --> 01:04:08.741]  If you love God and you love justice and you love freedom,
[01:04:09.381 --> 01:04:11.243]  And you want to build a pro-human future?
[01:04:11.243 --> 01:04:18.808]  Then you are an enemy of the New World Order and Satanism, and you are an info-warrior committed!
[01:04:18.808 --> 01:04:25.613]  Devil worship and the system and serving the corrupt technocracy will not animate you like this.
[01:04:25.613 --> 01:04:29.156]  They want us shut down because we have the spirit.
[01:04:29.156 --> 01:04:31.258]  I'm jacked into the source.
[01:04:31.258 --> 01:04:33.960]  I know the secret, and I want to see you empowered.
[01:04:34.900 --> 01:04:37.602]  But you have to believe in yourself first.
[01:04:37.602 --> 01:04:42.767]  And you have to turn against the globalists and make that decision with God to open your heart to the truth.
[01:04:42.767 --> 01:04:47.510]  And then, the spirit of justice, known as the Holy Spirit, will flow into you.
[01:04:47.510 --> 01:04:54.036]  And the beginning of a new system in your personal spiritual destiny with eternity will begin.
[01:04:56.360 --> 01:05:03.006]  There's roughly only 260 days left until the 2020 election, and already you've seen all sorts of crazy things happen.
[01:05:03.006 --> 01:05:13.575]  The globalists are trying to plunge the economy, they're trying to start wars, they're trying to overthrow the president, they're trying to silence free speech, they're trying to trigger riots in the streets, but everything they do is blowing up in the
[01:05:14.095 --> 01:05:23.418]  We the people have to pray, stay focused, be involved, keep spreading the word, keep countering their lies, and we have to be prepared in case things go south.
[01:05:23.418 --> 01:05:35.502]  That's why it's so critical to go to InfoWarStore.com and stock up on high-quality preparedness items from storable foods, high-quality water filtration, air filtration, to the very best supplements and silver products you're going to find.
[01:05:35.502 --> 01:05:43.324]  They're all available at InfoWarStore.com, and your purchase there not only ensures high-quality products for you and your family at great prices, but it funds the InfoWar
[01:05:43.624 --> 01:05:47.608]  In this critical time, a total, complete, absolute 360 win.
[01:05:47.608 --> 01:05:49.350]  Every point of the compass is covered.
[01:05:49.350 --> 01:05:52.813]  The only way we can be defeated is if you don't take action.
[01:05:52.813 --> 01:05:55.917]  Get high quality products at InfoWareStore.com today.
[01:06:17.004 --> 01:06:20.225]  The answer to 1984 is 1776.
[01:06:20.225 --> 01:06:28.267]  I'm Alex Jones, your host, on this live Wednesday, February 12th, 2020, Global Transmission.
[01:06:28.267 --> 01:06:30.427]  We've entered hour number two.
[01:06:30.427 --> 01:06:33.048]  Trump has launched the Red Storm.
[01:06:33.048 --> 01:06:36.289]  Hundreds and hundreds and hundreds and hundreds of firings.
[01:06:36.289 --> 01:06:42.850]  They're whining, they're complaining, they've got their little boxes waddling out of the federal government.
[01:06:42.850 --> 01:06:45.531]  The National Security Council, the State Department, the Justice Department,
[01:06:46.721 --> 01:06:50.444]  They were leakers, they were liars, they were America haters.
[01:06:50.444 --> 01:06:54.066]  And now finally Trump is becoming president.
[01:06:54.066 --> 01:06:59.670]  With only 264 days left until the historic election.
[01:06:59.670 --> 01:07:04.374]  We were worried he wouldn't take action.
[01:07:04.374 --> 01:07:11.159]  But now he is.
[01:07:11.159 --> 01:07:13.240]  Alright, Siavash in Finland.
[01:07:13.240 --> 01:07:14.041]  Thanks for calling.
[01:07:14.041 --> 01:07:15.242]  You're on the air worldwide.
[01:07:15.242 --> 01:07:15.542]  Thank you.
[01:07:17.423 --> 01:07:20.264]  Thanks for taking my call, Alex.
[01:07:20.264 --> 01:07:30.488]  If I may plug first, I was thinking about one of your products that I've been using for myself for a while, and it's been quite amazing.
[01:07:30.488 --> 01:07:32.328]  It's BODYEZ.
[01:07:32.328 --> 01:07:42.812]  And I destroyed basically one of my wrists at my, what's it called, training martial arts practice.
[01:07:42.812 --> 01:07:44.513]  You're doing martial arts and hurt your wrists?
[01:07:45.896 --> 01:07:49.397]  Yeah and her body was amazing.
[01:07:49.397 --> 01:08:09.600]  I recovered within three weeks and my mom was recently diagnosed with arthritis and she's been having knee pain for years and her body was just amazing and she told me very recently that she simply doesn't feel pain anymore in her knees.
[01:08:09.600 --> 01:08:13.221]  I mean it doesn't feel as good as new but it doesn't feel painful either.
[01:08:15.001 --> 01:08:17.983]  She just got rid of all of that and I really want to thank you.
[01:08:30.248 --> 01:08:37.296]  And she goes, wait a minute, these turmeric pills are like twice as big and strong as yours, but yours works better.
[01:08:37.296 --> 01:08:46.846]  And I said, honey, because the FDA makes you just call it turmeric, we have an expensive turmeric extract, the strongest one that we could find that's certified.
[01:08:46.846 --> 01:08:49.869]  So it says turmeric on the bottle, but it's not turmeric.
[01:08:49.869 --> 01:08:52.391]  It's a turmeric curcuminoid extract.
[01:08:53.032 --> 01:08:55.793]  And so that's why bodies, it works really good.
[01:08:55.793 --> 01:08:57.733]  And turmeric in general is amazing.
[01:08:57.733 --> 01:09:01.454]  But the average turmeric out there has 5% curcuminoid.
[01:09:01.454 --> 01:09:02.994]  This has 95%.
[01:09:02.994 --> 01:09:06.355]  This is the strongest curcuminoid we can find.
[01:09:06.355 --> 01:09:09.416]  In fact, this is a top company puts this out for us.
[01:09:09.416 --> 01:09:12.517]  They said, we don't know anyone else that puts one out this strong.
[01:09:12.517 --> 01:09:13.957]  So they specially make it.
[01:09:14.827 --> 01:09:16.969]  The other highest was like 87%.
[01:09:16.969 --> 01:09:18.912]  Another company puts out 87%.
[01:09:18.912 --> 01:09:22.416]  This extracts 95% curcuminoids.
[01:09:22.416 --> 01:09:23.737]  So that's why it has such a big effect.
[01:09:23.737 --> 01:09:26.080]  So I'm glad you and your mother have liked it.
[01:09:28.214 --> 01:09:29.696]  Yeah, most definitely.
[01:09:29.696 --> 01:09:32.779]  And all of your other products are very amazing.
[01:09:32.779 --> 01:09:40.528]  For the first time, I bought I bought your krill oil and I really have to tell you, my mental clarity is just insane.
[01:09:40.528 --> 01:09:45.253]  And I think sleeping so much better, just like you've been saying that you can't get out of bed.
[01:09:45.253 --> 01:09:46.555]  It's exactly like that.
[01:09:46.555 --> 01:09:47.816]  I really like it.
[01:09:47.816 --> 01:09:48.557]  Most definitely.
[01:09:48.557 --> 01:09:48.777]  I'm going
[01:09:48.797 --> 01:09:50.178]  No, it's definitely scary.
[01:09:50.178 --> 01:09:53.759]  We're sold out of the krill oil right now, but our ultimate fish oil is park krill oil.
[01:09:53.759 --> 01:09:55.760]  And I'll just be honest, there's different strokes for different folks.
[01:09:55.760 --> 01:09:56.400]  It's a higher dose.
[01:09:56.400 --> 01:09:58.181]  The krill oil is better for me.
[01:09:58.181 --> 01:10:02.203]  But yeah, if I want to have fun, I'll take three krill oil and go to sleep.
[01:10:02.203 --> 01:10:04.904]  And then it's just, it's crazy.
[01:10:04.904 --> 01:10:06.085]  And then I forget to take it.
[01:10:06.085 --> 01:10:08.366]  I'm like, why aren't I taking this constantly?
[01:10:08.366 --> 01:10:12.388]  Because it just makes life so much better.
[01:10:12.388 --> 01:10:13.608]  It also thins the blood.
[01:10:13.608 --> 01:10:14.989]  It also thins the blood.
[01:10:14.989 --> 01:10:17.610]  Which again, is so critical to not having heart attacks, as everybody knows.
[01:10:19.531 --> 01:10:20.212]  Oh yeah.
[01:10:20.212 --> 01:10:23.594]  I mean, it's better to take supplements the older you get.
[01:10:23.594 --> 01:10:26.236]  Just take care of your body and expect good things.
[01:10:26.236 --> 01:10:29.699]  If you don't take care of your body, you can't really expect anything good out of your body.
[01:10:29.699 --> 01:10:31.220]  Well, you're up there in Finland.
[01:10:31.220 --> 01:10:36.144]  That's actually where... That's where acryl oil actually comes from.
[01:10:36.144 --> 01:10:40.388]  That's some of the cleanest, best acryl and stuff is out of those fjords up there.
[01:10:42.403 --> 01:10:48.144]  Well, yeah, we have all of that stuff here, but it's unfortunately very hard to trust any good companies here.
[01:10:48.144 --> 01:10:53.845]  Like, the biggest companies that are out here that have the biggest exposure are the absolute worst companies.
[01:10:53.845 --> 01:10:56.045]  They put out the worst, worst stuff.
[01:10:56.045 --> 01:10:56.785]  Oh, I know, I know.
[01:10:56.785 --> 01:11:08.347]  I mean, they'll tell me, because I've talked to big companies, they'll do 90% of their money is in marketing instead of in the actual product, and then they'll just put out the lowest grade crap to people not caring.
[01:11:08.347 --> 01:11:09.828]  But again, that's what satanism's about.
[01:11:09.828 --> 01:11:11.448]  Like, I could not...
[01:11:12.315 --> 01:11:17.321]  Put out something that I thought wasn't the best.
[01:11:17.321 --> 01:11:19.304]  I mean, take the storeable food.
[01:11:19.304 --> 01:11:30.338]  Like I said, you can find stuff five times more expensive that tastes gourmet, but for the nexus of how much you spend versus the quality you get, this is the best stuff out there.
[01:11:31.229 --> 01:11:34.732]  But other than food, because you can definitely spend more money and get food that tastes better.
[01:11:34.732 --> 01:11:36.214]  I'm not going to lie to people.
[01:11:36.214 --> 01:11:37.655]  It's just not worth it.
[01:11:37.655 --> 01:11:39.898]  When it comes to supplements, we are bringing you the very best we can.
[01:11:39.898 --> 01:11:41.339]  But I'm going to stop belaboring it.
[01:11:41.339 --> 01:11:42.260]  Thank you for the plug, sir.
[01:11:42.260 --> 01:11:43.101]  God bless you.
[01:11:43.101 --> 01:11:45.143]  What is your view on Trump and the mass firings?
[01:11:47.045 --> 01:11:49.546]  Well, my view is what took so long?
[01:11:49.546 --> 01:11:53.728]  I mean, I'm glad that all of this happened right now, but what took so long?
[01:11:53.728 --> 01:12:10.355]  And the second is that I'm just thinking that he's going to now start going to go after all these criminal people like Hillary Clinton and Obama and all of these people that have been doing all of these things for years that they've been getting away with.
[01:12:11.188 --> 01:12:12.169]  What's going to happen with that?
[01:12:12.169 --> 01:12:15.172]  Is he going to finally start going after all of these people?
[01:12:15.172 --> 01:12:21.717]  Trump acts tough, but he really is a pragmatist and doesn't want to destroy these people.
[01:12:21.717 --> 01:12:23.298]  He just wants them to go away.
[01:12:23.298 --> 01:12:26.301]  But every time I've been able to talk to the President to the point of him being annoyed,
[01:12:26.801 --> 01:12:29.403]  I go, sir, I'm not bragging when I tell these stories.
[01:12:29.403 --> 01:12:30.344]  He knows these are true.
[01:12:30.344 --> 01:12:33.466]  I go, sir, please stop telling me how I'm a good, great guy.
[01:12:33.466 --> 01:12:35.027]  Just stop these people.
[01:12:35.027 --> 01:12:37.269]  They're trying to destroy me and my family and you.
[01:12:37.269 --> 01:12:38.890]  You must go on the attack.
[01:12:38.890 --> 01:12:40.271]  You must go on the attack.
[01:12:40.271 --> 01:12:41.732]  And now he's doing it.
[01:12:41.732 --> 01:12:43.514]  And so it's good news.
[01:12:43.514 --> 01:12:47.657]  He just can't believe that he's going to leave him alone when he can send them all to prison.
[01:12:47.657 --> 01:12:48.858]  But they don't respect him.
[01:12:48.858 --> 01:12:50.359]  They're going to respect him now.
[01:12:50.359 --> 01:12:52.821]  I believe he's getting really, really ready to go after him.
[01:12:55.168 --> 01:13:01.192]  Well, for a moment there, it seemed like he really doesn't see that these people are actually trying to remove him.
[01:13:01.192 --> 01:13:07.076]  It was really hard trying to work with them and make it actually work.
[01:13:07.076 --> 01:13:09.417]  But it's not going to happen.
[01:13:09.417 --> 01:13:13.740]  When people are simply corrupt, they're not just going to all of a sudden start working with you.
[01:13:13.740 --> 01:13:16.422]  If you've been around criminals, they're dumb.
[01:13:16.422 --> 01:13:17.923]  They have confidence, but they're dumb.
[01:13:17.923 --> 01:13:20.885]  And Trump saw how close he got to being impeached.
[01:13:21.545 --> 01:13:24.666]  And he knows they could win the Senate, so now he gets it finally.
[01:13:24.666 --> 01:13:27.828]  Him only a few votes away from being impeached?
[01:13:27.828 --> 01:13:30.889]  Almost had to have the Vice President come in and save his ass?
[01:13:30.889 --> 01:13:31.569]  In the Tideboat?
[01:13:31.569 --> 01:13:34.411]  I mean, so yeah, Trump finally gets it.
[01:13:34.411 --> 01:13:36.632]  He's like, wait, doing a good job wasn't enough?
[01:13:36.632 --> 01:13:38.653]  They really don't want to share power?
[01:13:38.653 --> 01:13:39.153]  No!
[01:13:39.153 --> 01:13:40.193]  They don't want to share power!
[01:13:40.193 --> 01:13:41.754]  They want total control, Trump!
[01:13:45.094 --> 01:13:48.776]  I'm very happy to see that he's actually doing something now.
[01:13:48.776 --> 01:13:56.941]  This is the very first step, at least, that he's going to take towards these people, and it's going to scare the living daylights out of them.
[01:13:56.941 --> 01:13:58.322]  I agree with you.
[01:13:58.322 --> 01:14:01.584]  What do you think they do next?
[01:14:01.584 --> 01:14:10.369]  Well, they're going to go into full panic mode, and they're going to try and pull something out of their hat, and it's not going to be pretty, and it's going to be
[01:14:11.533 --> 01:14:16.898]  Probably something very unexpected, but I really honestly can't say.
[01:14:16.898 --> 01:14:28.009]  I love Pelosi saying it's political interference to say, I think this sentence is too big, when he has the executive power to pardon people.
[01:14:28.009 --> 01:14:33.434]  He 100% has that power, but they just don't want him to have the basic power of a president.
[01:14:33.434 --> 01:14:34.856]  God bless you sir, I appreciate your call.
[01:14:36.212 --> 01:14:42.435]  All right, I got a minute before break, so I can't do justice to a caller, but let's do three callers next segment.
[01:14:42.435 --> 01:14:45.136]  Let's get a lot of callers, because they're all amazing.
[01:14:45.136 --> 01:14:47.237]  But separately, yeah.
[01:14:47.237 --> 01:14:53.640]  Why wouldn't I want to put out a turmeric formula that gives you the best response?
[01:14:53.640 --> 01:15:01.123]  Because I love that when my wife came to me and she said, I take one of these, it does the same as three of these.
[01:15:01.123 --> 01:15:01.703]  Why is that?
[01:15:01.703 --> 01:15:03.484]  Because it says it's lower turmeric on ours.
[01:15:04.366 --> 01:15:08.127]  And I explained to her, I said, baby, they don't let you say turmeric extract.
[01:15:08.127 --> 01:15:11.308]  You just call it turmeric on the back, but it's turmeric extract.
[01:15:11.308 --> 01:15:16.209]  So there you go, ladies and gentlemen, Ultimate Turmeric Formula Bodies, and that helps.
[01:15:16.209 --> 01:15:17.629]  By the way, that's sold out, though.
[01:15:17.629 --> 01:15:19.930]  We're like up here.
[01:15:19.930 --> 01:15:24.651]  We're up here plucking something sold out.
[01:15:24.651 --> 01:15:26.752]  Because we have to get the purest in, too.
[01:15:26.752 --> 01:15:29.552]  It has to pass all the testing.
[01:15:29.552 --> 01:15:32.293]  And they've not been able to even get turmeric clean enough to even make a run of it.
[01:15:33.453 --> 01:15:37.998]  Again, that's why we don't cut corners to get you the quality, but it means stuff's sold out sometimes.
[01:15:37.998 --> 01:15:44.305]  What we do have is a super blue and a super silver whitening toothpaste with a nano silver that will sell out soon.
[01:15:44.305 --> 01:15:45.686]  That funds the operation.
[01:15:45.686 --> 01:15:46.707]  InfoWareStore.com.
[01:15:46.707 --> 01:15:48.069]  All right, enough plugging for the hour.
[01:15:48.069 --> 01:15:49.390]  I'm done!
[01:15:49.390 --> 01:15:51.553]  Callers, no more plugging products.
[01:15:51.553 --> 01:15:54.356]  We're going to go to your politics, your worldview, straight ahead.
[01:15:55.862 --> 01:15:57.823]  Heart disease is on the rise.
[01:15:57.823 --> 01:16:03.146]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[01:16:03.146 --> 01:16:04.727]  But the symptoms are there.
[01:16:04.727 --> 01:16:13.072]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:16:13.072 --> 01:16:18.776]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:16:18.936 --> 01:16:20.778]  My blood pressure has normalized.
[01:16:20.778 --> 01:16:22.921]  My diabetes has totally improved.
[01:16:22.921 --> 01:16:27.427]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:16:27.427 --> 01:16:29.630]  I recommend Heart and Body Extract to everyone.
[01:16:29.630 --> 01:16:37.480]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:16:37.520 --> 01:16:41.683]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[01:16:41.683 --> 01:16:45.565]  That's 8 6 6 2 9 5 5 3 0 5.
[01:16:45.565 --> 01:16:46.766]  Or order online.
[01:16:46.766 --> 01:16:50.888]  HB extract .com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract .com
[01:16:55.131 --> 01:17:00.854]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:17:00.854 --> 01:17:05.956]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:17:05.956 --> 01:17:13.680]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:17:13.680 --> 01:17:21.564]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:17:21.724 --> 01:17:23.526]  Not a security IPO or note.
[01:17:23.526 --> 01:17:33.054]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:17:33.054 --> 01:17:33.895]  Don't miss this one.
[01:17:33.895 --> 01:17:35.196]  Stake your claim today.
[01:17:35.196 --> 01:17:35.476]  Call 800-600-3388.
