[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[00:38:15.458 --> 00:38:16.758]  Then you could have commerce.
[00:38:17.018 --> 00:38:18.179]  Everyone had to come to you.
[00:38:18.979 --> 00:38:23.640]  Just like when George Washington wasn't a nobleman by blood, so he couldn't open a business.
[00:38:26.261 --> 00:38:27.802]  He couldn't even throw an official party.
[00:38:29.022 --> 00:38:31.183]  You had to get a nobleman to come to your party to have a party.
[00:38:33.603 --> 00:38:37.825]  You had to go through them to even have a job or be able to sell land.
[00:38:39.685 --> 00:38:42.026]  So that's all these fascists and communists recreate.
[00:38:44.133 --> 00:38:59.477]  Is a system where you have to go through them, and then once they've got you with big tech and all the rest of it, oh, you're not gonna have the lawyer on Facebook or Twitter saying, it turns out Kyle Rittenhouse was being chased and attacked and they were trying to grab his gun and saying, kill him.
[00:39:01.898 --> 00:39:05.859]  You don't get a defense, your lawyer doesn't get a voice in America.
[00:39:07.239 --> 00:39:11.440]  I mean, this is absolutely getting out of control.
[00:39:13.705 --> 00:39:15.447]  And notice it's every aspect of life.
[00:39:16.107 --> 00:39:36.503]  And hundreds of thousands of paid ADL and Southern Poverty Law Center trained individuals like Bolsheviks, commissars, are now in control of all of big tech and media, interfaced with CNN and MSNBC, saying what can and can't be said from Australia to the UK to Spain to the United States to Canada.
[00:39:36.863 --> 00:39:40.246]  And they're coming to people's houses and making mass arrests.
[00:39:41.354 --> 00:39:52.000]  In Australia, and in Spain, and now in England, and in Scotland, other stacks of news are just arresting everybody, if you criticize the government, or political correctness, or COVID.
[00:39:53.361 --> 00:40:03.646]  And when the CDC came out and said 90 plus percent of the tests are fake, false positives, and 90 plus percent, 94 percent, had comorbidity, they censored all that!
[00:40:07.248 --> 00:40:09.790]  Thomas Jefferson was famously asked, what is the limit?
[00:40:10.714 --> 00:40:14.335]  To which, tyrants will take us.
[00:40:14.395 --> 00:40:15.875]  And he said, the limit you will accept.
[00:40:15.915 --> 00:40:17.396]  And that's absolutely true.
[00:40:18.976 --> 00:40:20.697]  And so we're going into slavery.
[00:40:20.777 --> 00:40:27.498]  High-tech, horrible, with a fascist control system above it, a technocracy, with a communist ideology below it.
[00:40:30.479 --> 00:40:33.020]  With a dumbed down, mindless, divided population.
[00:40:33.540 --> 00:40:37.041]  So, I don't tell you all of that.
[00:40:39.005 --> 00:40:45.089]  To scare you, I tell you, so that you understand, the more you give in, the worse it gets.
[00:40:45.169 --> 00:40:46.850]  Look at this graphic I've got right over here.
[00:40:46.870 --> 00:40:47.611]  I'm going to walk over here.
[00:40:48.812 --> 00:40:51.173]  Communism is behind the Hoover Dam.
[00:40:52.774 --> 00:40:57.778]  Hundreds of billions of gallons of water that could be life-giving to crops and humans and more.
[00:40:58.258 --> 00:41:02.541]  Unless it's unleashed in an improper way, it'll destroy the lives of tens of thousands of people.
[00:41:02.581 --> 00:41:04.182]  It'll kill thousands of people.
[00:41:04.542 --> 00:41:05.083]  It's a weapon!
[00:41:06.178 --> 00:41:10.959]  Communism is held back by Infowars, and by your resistance, and by your prayer, and by Trump.
[00:41:11.640 --> 00:41:12.200]  But here it is.
[00:41:12.260 --> 00:41:16.201]  Communism's up here behind the dam, you've got Infowars holding it back, and you're down here.
[00:41:17.401 --> 00:41:21.763]  And just like Donald Trump told you, they're not after him, they're coming for you.
[00:41:23.243 --> 00:41:24.003]  And this is real.
[00:41:24.023 --> 00:41:29.285]  So I'm going to tell you again, because the straits are dire for everybody, but they really want Infowars off the air.
[00:41:31.770 --> 00:41:42.114]  If you want to get the supplements, or the books, or the t-shirts, or the films, or the high-quality affordable food, it's all in stock now, but a lot of the supplements won't be there in the future.
[00:41:43.355 --> 00:41:45.636]  The food is there for now, one to two weeks delivery.
[00:41:45.896 --> 00:41:47.637]  You need to get your orders in, not just for you.
[00:41:48.965 --> 00:41:54.350]  I don't know how long we'll be able to continue operating this system and self-funding.
[00:41:54.530 --> 00:42:02.457]  They've taken our sponsors, they've taken everything away, and they are behind the scenes running intelligence operations against us to sabotage and shut us down.
[00:42:03.478 --> 00:42:07.081]  And at a date in the future, I'll be able to tell you about it, or you'll see it on the news, okay?
[00:42:08.442 --> 00:42:09.243]  You see what's going on.
[00:42:09.943 --> 00:42:11.404]  You need to get your orders in now.
[00:42:11.485 --> 00:42:15.508]  It's a patriotic duty for yourself and the world, the country, and common sense.
[00:42:15.568 --> 00:42:18.390]  And you need to understand, I've never lied to you consciously.
[00:42:18.430 --> 00:42:19.131]  I've made mistakes.
[00:42:19.511 --> 00:42:24.135]  But Infowars, on a scale of 1 to 10, our worst threats before were a 2.
[00:42:24.796 --> 00:42:25.616]  This is a 9.
[00:42:27.338 --> 00:42:32.422]  They've got people out on the street, ladies and gentlemen, with contracts out to kill me.
[00:42:33.163 --> 00:42:33.363]  Okay?
[00:42:34.383 --> 00:42:35.223]  It's all coming down.
[00:42:35.263 --> 00:42:45.009]  They're trying to indict the entire Trump family right now in the Southern District of New York and also in the state with the Attorney General, the minion of Soros, Letitia James.
[00:42:45.449 --> 00:42:46.470]  They're going after everybody.
[00:42:46.690 --> 00:42:47.770]  This is a real war.
[00:42:48.311 --> 00:42:50.892]  And I need capital to go into next year and stay on air.
[00:42:51.112 --> 00:42:54.054]  And we don't have the reserves to do that if they make some of these moves.
[00:42:54.094 --> 00:42:57.015]  So get the money to us now so we can operate.
[00:42:57.095 --> 00:42:58.476]  Go to InfoWarsTore.com.
[00:42:58.676 --> 00:43:02.358]  You can also donate at InfoWarsTore.com in the Support Us section.
[00:43:04.392 --> 00:43:07.554]  The world is going to end in 12 years if we don't address climate change.
[00:43:07.714 --> 00:43:17.339]  That was two years ago that AOC and Beto O'Rourke told you that the world was ending in 12 years because of climate change.
[00:43:17.399 --> 00:43:18.780]  Well, what is climate change?
[00:43:19.360 --> 00:43:29.906]  It's the cover for them to carry out the shutdown of the world economy and a vertical integration, as they call it, a consolidation of all the money and the power and the resources.
[00:43:30.566 --> 00:43:36.394]  So they can control the planet to protect it from the overpopulation and then cause mass starvation.
[00:43:37.155 --> 00:43:39.278]  And so what she's saying, hey, the world won't be here.
[00:43:40.079 --> 00:43:41.121]  Humans won't be here in 12 years.
[00:43:42.873 --> 00:43:44.535]  She's being told that by higher-ups.
[00:43:45.055 --> 00:44:00.629]  She's believing them because they're going to institute global bioweapon releases and economic collapses and famines that will cause the depopulation that the UN and the Club of Rome and the United Nations have been calling for.
[00:44:00.910 --> 00:44:06.475]  That's why they're now bragging that COVID-19 is going to save the earth, it's going to depopulate things, it's going to lower the carbon footprint.
[00:44:08.180 --> 00:44:11.962]  So the so-called guardians of the earth are the ones with the genetic engineering.
[00:44:11.982 --> 00:44:19.225]  They're the ones creating the cross-species chimera, animals and plants and insects and bacteria and viruses.
[00:44:19.265 --> 00:44:24.347]  They're the ones that say they're building a post-human world and a post-carbon world.
[00:44:24.827 --> 00:44:26.548]  So let's look at some of these headlines.
[00:44:27.028 --> 00:44:28.609]  Buy lots of food and store it.
[00:44:29.469 --> 00:44:33.372]  In safe places because very difficult times are approaching.
[00:44:33.993 --> 00:44:43.901]  And I've got the mass exodus out of blue cities and blue states and leftist areas around the world and COVID-19 causing food shortages and massive food cost spikes.
[00:44:44.461 --> 00:44:46.543]  Why is all this happening?
[00:44:47.083 --> 00:44:48.224]  The headlines are all the same.
[00:44:48.584 --> 00:44:50.306]  How COVID is affecting U.S.
[00:44:50.326 --> 00:44:50.946]  food supply.
[00:44:51.026 --> 00:44:51.186]  No.
[00:44:51.647 --> 00:44:52.407]  The lockdown.
[00:44:53.348 --> 00:44:55.610]  The hysteria is causing
[00:44:57.574 --> 00:44:58.354]  The lack of food.
[00:44:58.474 --> 00:45:00.415]  It's causing the breakdown in civilization.
[00:45:01.336 --> 00:45:11.121]  It's called the Great Reset by the Davos Group last year and this year, saying they would use a virus to cause an economic collapse.
[00:45:12.101 --> 00:45:13.062]  And they didn't think of this.
[00:45:13.222 --> 00:45:16.764]  The Rockefeller Foundation 10 years ago in lockstep came out and said it.
[00:45:16.804 --> 00:45:18.204]  And Bill Gates last year in Event 201.
[00:45:19.594 --> 00:45:24.242]  So I'm here to tell you, they're the ones causing the end of civilization for the general public.
[00:45:24.483 --> 00:45:26.105]  They're the ones causing the collapse.
[00:45:26.146 --> 00:45:28.069]  This is 21st century warfare.
[00:45:28.670 --> 00:45:29.491]  I'm going to tell you again.
[00:45:30.959 --> 00:45:33.161]  You need to warn everybody you know about who's behind this.
[00:45:33.221 --> 00:45:35.703]  You need to share these articles and videos and do your own research.
[00:45:36.403 --> 00:45:38.285]  And you need to personally get prepared.
[00:45:39.105 --> 00:45:48.412]  Once the food chain, the supply chain, really breaks down, which has already happened in the third world, the UN admits millions are starving to death a month, hundreds of millions are in danger.
[00:45:49.293 --> 00:45:58.240]  Once it breaks down in the third world and that food chain collapses, that supply chain, it will cause devastation and starvation here and separately.
[00:45:58.880 --> 00:46:00.160]  I would tell you, get prepared.
[00:46:00.220 --> 00:46:01.441]  Get high quality, storable food.
[00:46:01.801 --> 00:46:02.801]  Get water filtration.
[00:46:03.121 --> 00:46:06.402]  And we have those areas covered with the highest quality water filtration.
[00:46:06.743 --> 00:46:09.043]  Highest rated at very affordable low prices.
[00:46:09.303 --> 00:46:10.824]  With gravity fed portable filters.
[00:46:11.144 --> 00:46:13.485]  Ready for your house, RV, home, campsite.
[00:46:13.725 --> 00:46:17.546]  With the Alexa Pure and of course the Pro Pure systems that are both comparable.
[00:46:17.766 --> 00:46:20.547]  Made by other manufacturers that are excellent here in the United States.
[00:46:21.107 --> 00:46:27.912]  And then of course, we've got my patron supply that supplies us one to two week delivery of high quality, affordable food, special meals are available.
[00:46:28.192 --> 00:46:31.954]  But back when the COVID hysteria was going, we said, don't get the food for COVID.
[00:46:32.234 --> 00:46:35.216]  Get it for the supply chain breakdown and what's coming.
[00:46:35.497 --> 00:46:51.007]  So whether Trump wins or whether Trump loses the globalists have said they're going ahead with the collapse of civilization worldwide and the collapse of the third world and the replacement migration after they've dominated and exploited the third world against the first world.
[00:46:51.247 --> 00:47:02.718]  This is sophisticated, it's evil, it's ruthless, but if we face the facts and if we become prepared and self-sufficient, we can weather the storm and be leaders into the future to say no to this system.
[00:47:05.540 --> 00:47:11.446]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:20.104 --> 00:47:22.166]  Alright, let's jump right into it.
[00:47:22.206 --> 00:47:26.989]  I'm going to start getting into more of the news right now.
[00:47:29.291 --> 00:47:30.932]  But I just want to add one more thing here.
[00:47:32.273 --> 00:47:44.922]  When I put up this graphic for TV viewers and describe it for radio listeners, I'm not exaggerating that you've got the dam of the Republic and what's left of freedom of speech and the Second Amendment that's symbolized by Infowars as the tip of the spear.
[00:47:46.038 --> 00:47:49.881]  And you've got the destructive force of communism just waiting to crush you and your family.
[00:47:53.384 --> 00:48:10.116]  And so, when I get up here on air and I tell you that now is the time to tell everybody you know about this broadcast and ban.video and 2020ElectionsCenter.com, that URL has not been banned by the enemy platforms as of now.
[00:48:10.296 --> 00:48:11.437]  You can share the videos that way.
[00:48:12.218 --> 00:48:13.659]  That will change the course of history.
[00:48:15.435 --> 00:48:18.796]  This is going to come down to a fight over how many people are awake and how many aren't.
[00:48:18.816 --> 00:48:19.976]  They're going to contest the election.
[00:48:20.236 --> 00:48:21.417]  They're going to say Trump lost.
[00:48:21.717 --> 00:48:25.058]  They're super pissed that I'm on air, first exposing the red mirage.
[00:48:26.258 --> 00:48:27.238]  And they're planning to contest.
[00:48:28.158 --> 00:48:28.719]  We did that.
[00:48:28.819 --> 00:48:29.319]  You did that.
[00:48:29.399 --> 00:48:30.359]  You kept us on air.
[00:48:30.779 --> 00:48:32.119]  We did the analysis first.
[00:48:32.540 --> 00:48:33.560]  It's now gone mainstream.
[00:48:33.580 --> 00:48:35.640]  We continue to be the epicenter.
[00:48:35.880 --> 00:48:37.321]  And what they've said directly to us,
[00:48:38.340 --> 00:48:45.026]  Is you continue to be the epicenter of our plans not going the way we want and you need to stop right now.
[00:48:45.126 --> 00:48:46.207]  And they're very, very serious.
[00:48:47.107 --> 00:48:49.569]  Well, I'm not signing on with a bunch of devil-worshipping child molesters.
[00:48:49.589 --> 00:48:50.370]  This is not going to happen.
[00:48:50.410 --> 00:48:52.652]  So they are moving now to destroy me.
[00:48:53.392 --> 00:48:53.913]  It's okay.
[00:48:55.614 --> 00:48:57.396]  I need to hold on as long as possible.
[00:48:58.507 --> 00:49:02.230]  And so I'm telling you, go to InfoWorksStore.com, get your high quality, affordable food.
[00:49:02.330 --> 00:49:03.391]  It's drop shipped by my pantry.
[00:49:03.411 --> 00:49:04.272]  It's super high quality.
[00:49:04.652 --> 00:49:06.233]  One to two weeks before the big rush comes.
[00:49:06.834 --> 00:49:08.055]  And order the supplements.
[00:49:08.756 --> 00:49:16.622]  Because I gotta tell you, I have to make the decision in the next week on whether I'm gonna have everything go to full price because we can't get most of the supplements anymore.
[00:49:16.942 --> 00:49:19.124]  Because the supply chain's breaking down, not just for us, but everybody.
[00:49:19.545 --> 00:49:24.689]  And I won't get the crap that they've got out there and downgrade our products and, you know, reformulate them and make them weaker.
[00:49:25.964 --> 00:49:26.564]  That's how that works.
[00:49:26.584 --> 00:49:28.725]  You change the formula, you have to reformulate it.
[00:49:28.745 --> 00:49:30.385]  We're always reformulating because they get better.
[00:49:30.685 --> 00:49:34.386]  I'm not going to reformulate and sell you the type of crap from China and stuff.
[00:49:34.426 --> 00:49:35.986]  We don't sell any supplements from China.
[00:49:36.826 --> 00:49:38.306]  Most of our stuff's right here in North America.
[00:49:38.867 --> 00:49:40.547]  Some of it's from South America and places like that.
[00:49:41.527 --> 00:49:42.287]  Some of it's from Greece.
[00:49:42.407 --> 00:49:46.248]  But the point is, is that I'm telling you, stuff's breaking down.
[00:49:46.288 --> 00:49:47.068]  It's bad, okay?
[00:49:48.328 --> 00:49:49.349]  And it's not just that.
[00:49:49.409 --> 00:49:50.389]  It's all the other attacks.
[00:49:52.329 --> 00:49:53.310]  We're going to be in this together.
[00:49:53.710 --> 00:49:54.670]  I don't feel sorry for myself.
[00:49:55.031 --> 00:49:55.891]  I'm sorry for America.
[00:49:56.612 --> 00:50:03.576]  And when Trump gets back in, which they're probably not going to be able to stop him, because America's waking up, they're going to bring in the depression.
[00:50:03.636 --> 00:50:04.997]  I don't know how he's going to hold it off.
[00:50:05.797 --> 00:50:12.421]  That's why they've paid off all the right-wing pundits to say, oh, we're devaluing things, the dollar's dead, Trump shouldn't be doing stimulus.
[00:50:13.042 --> 00:50:15.243]  If we don't do the stimulus, we're going to totally collapse.
[00:50:15.263 --> 00:50:15.984]  That's their plan.
[00:50:16.304 --> 00:50:18.085]  Of course what he's doing long term will be bad.
[00:50:18.265 --> 00:50:19.726]  We don't have a choice anymore!
[00:50:21.152 --> 00:50:22.853]  Anybody that understands economics knows that.
[00:50:23.174 --> 00:50:28.297]  We need political power and control of our country because it's ideology that can build everything back.
[00:50:28.557 --> 00:50:33.281]  If we don't have the ideology of the Republic and America and freedom, it won't matter.
[00:50:33.961 --> 00:50:34.962]  They're making their move.
[00:50:35.002 --> 00:50:35.943]  I'm getting chills right now.
[00:50:36.443 --> 00:50:39.425]  Every channel, every show, the dollar's dead, America's over.
[00:50:39.765 --> 00:50:41.987]  You know, Wall Street now bearish on the dollar.
[00:50:42.547 --> 00:50:43.488]  On and on and on.
[00:50:43.508 --> 00:50:44.769]  They're making their move.
[00:50:47.017 --> 00:50:51.139]  And empires and republics fall very, very incrementally from rotting within.
[00:50:51.159 --> 00:50:54.061]  But then finally, like an old barn, when a tornado comes by, they blow over.
[00:50:54.722 --> 00:50:55.222]  They blow down.
[00:50:56.523 --> 00:50:58.804]  And they're huffing and they're puffing, trying to blow our barn down.
[00:50:59.144 --> 00:51:04.187]  And Trump's trying to put in some new logs, put in some new spikes, put in some new nails.
[00:51:04.647 --> 00:51:08.470]  He's trying to shore things up with sandbags, because the storm's here.
[00:51:09.502 --> 00:51:16.365]  And it's the global government New World Order storm to bring down the Republic and bring in the post-human era and lock everything down.
[00:51:17.125 --> 00:51:18.846]  And Trump's fighting the lockdown.
[00:51:20.006 --> 00:51:22.747]  Remember people that told you, oh, it's a secret thing Trump's doing?
[00:51:23.207 --> 00:51:24.748]  Well, he rounds up all the bad guys.
[00:51:24.808 --> 00:51:26.248]  Don't come out of your houses.
[00:51:26.909 --> 00:51:35.392]  While the left is told to boil out of their nest and go out and burn everything down and destabilize the country so they can run headlines that America's over and America sucks and Trump caused this.
[00:51:35.992 --> 00:51:38.073]  But the good news is, people see through it.
[00:51:39.261 --> 00:51:43.906]  And they see through who's behind the riots and who's behind the COVID hoax, exaggeration.
[00:51:45.228 --> 00:51:47.250]  And so we're turning the corner.
[00:51:47.290 --> 00:51:54.798]  But I'm telling you, the enemy, if you look at their minions like Pelosi and others, are not going to give up.
[00:51:55.719 --> 00:51:58.202]  And they are going to push harder than they ever had.
[00:51:59.181 --> 00:52:07.386]  So everything InfoWars has done for 26 years, everything you've done in your life of being informed and being involved is building towards this point, and this isn't a normal time.
[00:52:07.606 --> 00:52:08.467]  And I know you know that.
[00:52:09.127 --> 00:52:10.308]  And I salute you and I thank you.
[00:52:11.369 --> 00:52:16.692]  But when you call in thanking me for trying to self-preserve myself and you, we're in the same boat, brother.
[00:52:16.712 --> 00:52:18.573]  So I get it.
[00:52:18.673 --> 00:52:22.116]  I appreciate you just as much as you appreciate me, but I'm telling you, now is the time
[00:52:23.134 --> 00:52:37.108]  Because I need to know, I gotta decide the next week, with what we've got in our coffers, with only enough to operate, if I sold both my houses, okay, which I don't even care about, I've got the mortgage to pay for this place, it would not operate us for a month and a half.
[00:52:37.549 --> 00:52:40.031]  I don't, I'm not rich, I don't have all this money the media says I have, okay?
[00:52:40.972 --> 00:52:46.378]  Got a nice truck, a nice car, stuff like that, I got insurance for my kids, I'm doing well, I don't care, I don't need more, I'm happy.
[00:52:47.892 --> 00:52:48.893]  I don't need the house on the hill.
[00:52:49.673 --> 00:52:58.278]  But what I'm saying is, is that I don't have the gasoline to go into the future with the things they're pulling and the things they're doing unless I get a big chunk of money in.
[00:52:58.318 --> 00:52:59.159]  So here's what I need you to do.
[00:52:59.179 --> 00:53:06.864]  I need you to go to Infowars.com to the live show feed today that says Emergency Broadcast.
[00:53:08.063 --> 00:53:11.686]  Globalist planning, massive world depression if Trump wins or loses.
[00:53:12.146 --> 00:53:22.795]  And if you scroll down in that, there's a link to Infowarsstore.com and the donate page where you can sign up for recurring donations or you can sign up for one-time donations.
[00:53:26.428 --> 00:53:30.831]  And if folks would simply go there and make a major donation.
[00:53:31.172 --> 00:53:31.972]  There's also a P.O.
[00:53:32.012 --> 00:53:32.593]  Box on there.
[00:53:32.693 --> 00:53:34.094]  I know people have got money out there.
[00:53:34.334 --> 00:53:37.036]  It's always sad how it's the poor people that do most of the donating.
[00:53:37.056 --> 00:53:39.178]  Because I run into them on the street and they're great people.
[00:53:39.218 --> 00:53:39.698]  That's great.
[00:53:39.978 --> 00:53:42.761]  But the middle class and the rich people hold on to it.
[00:53:43.081 --> 00:53:46.564]  They could turn, you know, a piece of coal into a diamond in their rear end.
[00:53:46.944 --> 00:53:53.329]  And you're going to lose it all because Soros and the enemy spend their money to dominate you and you won't spend money to fight them.
[00:53:54.841 --> 00:53:57.102]  I will give both my arms right now to defeat them.
[00:53:57.462 --> 00:53:58.363]  I'd give my life to.
[00:53:58.863 --> 00:54:00.084]  I don't give a rat's ass about money.
[00:54:00.124 --> 00:54:00.884]  Money's energy.
[00:54:01.204 --> 00:54:01.985]  Money's a weapon.
[00:54:02.665 --> 00:54:06.487]  Money's a bullet I fire out of the barrel of a gun at the enemy politically.
[00:54:07.828 --> 00:54:08.769]  And the information war.
[00:54:09.489 --> 00:54:11.890]  I'm just telling you folks, this is serious.
[00:54:13.171 --> 00:54:16.152]  And the country needs to be prayed for and you need to pray for yourself.
[00:54:16.553 --> 00:54:17.913]  And I'm telling you, we make it easy.
[00:54:17.953 --> 00:54:19.374]  We've got things that make your life better.
[00:54:20.075 --> 00:54:21.515]  We've got things that are essential you need.
[00:54:22.216 --> 00:54:22.576]  And we've
[00:54:24.039 --> 00:54:25.300]  Got the information warfare.
[00:54:26.220 --> 00:54:28.441]  And I'll ask you, support our local radio stations.
[00:54:28.962 --> 00:54:29.802]  Spread the word about them.
[00:54:29.962 --> 00:54:30.823]  Become a sponsor.
[00:54:30.883 --> 00:54:31.223]  Thank them.
[00:54:31.483 --> 00:54:32.904]  Tithe the local radio station.
[00:54:33.144 --> 00:54:41.889]  This show, and I'm not saying we're good, does more for pro-life, more against the Satanists, more to bring people to Christ than the little fake country club churches all day that people give all their money to.
[00:54:42.769 --> 00:54:44.630]  Donate to your local radio station.
[00:54:44.650 --> 00:54:45.050]  Send them $100 a month.
[00:54:46.833 --> 00:54:48.033]  $10 a month, whatever you've got.
[00:54:48.274 --> 00:54:49.234]  Give them your word of mouth.
[00:54:49.314 --> 00:54:51.234]  Go and eat at the restaurant that sponsors them.
[00:54:51.575 --> 00:54:52.515]  You've got the power.
[00:54:52.635 --> 00:54:52.855]  Use it.
[00:54:52.995 --> 00:54:57.216]  The left's trying to bully us, dominate us, destroy us, and I don't want them to win.
[00:54:57.236 --> 00:54:59.777]  Because they're pulling out the stops.
[00:54:59.797 --> 00:55:01.097]  They've committed crimes that are insane.
[00:55:02.458 --> 00:55:03.538]  It's all coming up next hour.
[00:55:03.558 --> 00:55:05.399]  We have a special guest from Australia.
[00:55:05.419 --> 00:55:08.140]  Donald Rain is going to be coming in as well.
[00:55:09.160 --> 00:55:15.542]  But if you go to InfoWareStore.com, you see the Support Us link over on the right-hand side.
[00:55:17.039 --> 00:55:20.863]  And if you click on that, you'll find the different websites and the donation page.
[00:55:21.083 --> 00:55:22.064]  They're there to support us.
[00:55:22.824 --> 00:55:24.386]  Right there, click on that on the right-hand side.
[00:55:25.026 --> 00:55:27.789]  But, I mean, you need a four-stage ion filter.
[00:55:27.969 --> 00:55:30.492]  We have the best at the lowest price, because that's what I do!
[00:55:31.653 --> 00:55:35.776]  We have the best tolerable food, highest quality you're going to get, unless you pay five times more.
[00:55:36.710 --> 00:55:37.751]  InfoWarsTore.com.
[00:55:38.512 --> 00:55:39.192]  The best prices.
[00:55:39.252 --> 00:55:40.093]  It's all there.
[00:55:40.513 --> 00:55:42.895]  But we've only got the ability to do business now.
[00:55:43.696 --> 00:55:45.057]  We're not going to have it much longer.
[00:55:45.838 --> 00:55:46.898]  If the enemy has their way.
[00:55:47.018 --> 00:55:48.580]  I'm telling you.
[00:55:49.120 --> 00:55:50.481]  I used to say support InfoWars.
[00:55:50.922 --> 00:55:51.862]  Rescue InfoWars.
[00:55:51.923 --> 00:55:52.563]  Save yourself.
[00:55:52.923 --> 00:55:53.564]  Save the world.
[00:55:53.864 --> 00:55:54.745]  We're in this together.
[00:55:55.045 --> 00:55:56.146]  Because let me tell you something.
[00:55:56.482 --> 00:56:02.823]  Communism's up here, Infowars is the damn blocking it, which is all of us together supporting, and you and I are all down here with our families.
[00:56:03.043 --> 00:56:04.584]  My children are right here!
[00:56:05.304 --> 00:56:10.845]  With pedophiles and devil worshippers and forced inoculations and FEMA camps coming for us, and war!
[00:56:10.865 --> 00:56:13.786]  If we don't fix this now, we're gonna have to fight.
[00:56:15.826 --> 00:56:19.487]  And you know, I really need to repent, because the sick part of me just hopes it goes down.
[00:56:24.192 --> 00:56:34.299]  Because all you devil worshippers and trash that have been pushing and pushing and pushing forever, you better hope you fail in your operation and you don't push us into the fire.
[00:56:34.319 --> 00:56:39.302]  Because I swear on the altar of God, you will pay.
[00:56:40.743 --> 00:56:47.268]  And quite frankly, I'm so alive right now, I'm so glad Soros and Bill Gates hate me.
[00:56:47.328 --> 00:56:50.310]  That's the greatest honor in my life!
[00:56:50.910 --> 00:56:53.332]  It's the greatest thing in my life next to my children.
[00:56:54.292 --> 00:56:58.854]  That I'm real, I'm all in, and you know me by my enemies, and I know our audience of activists.
[00:56:59.414 --> 00:57:04.396]  It's you they hate because they don't have your will, they don't have your soul, they don't have your heart.
[00:57:04.636 --> 00:57:06.136]  They don't control your destiny!
[00:57:06.676 --> 00:57:08.397]  They sure as hell don't control mine!
[00:57:09.616 --> 00:57:19.186]  So we're trying to hold the dam against the Satanists and the armies of hell, and we pray to Jesus Christ and our Heavenly Father to lead God and direct us against this enemy!
[00:57:19.806 --> 00:57:21.528]  But I need money to fight a war!
[00:57:21.748 --> 00:57:22.749]  And I need word of mouth!
[00:57:23.009 --> 00:57:23.870]  And I need prayer!
[00:57:24.051 --> 00:57:24.991]  And I need action!
[00:57:25.412 --> 00:57:26.953]  Because that dam's gonna come down!
[00:57:27.796 --> 00:57:29.317]  That dam's already got holes in it!
[00:57:29.817 --> 00:57:33.818]  And the enemy's telling you, don't stick your fingers in it, don't block it, everything's fine.
[00:57:33.998 --> 00:57:36.079]  Peaches and cream are on the other side.
[00:57:36.299 --> 00:57:36.859]  No!
[00:57:37.359 --> 00:57:39.160]  You know it's not peaches and cream!
[00:57:39.360 --> 00:57:41.341]  Trump's told you, hell's coming!
[00:57:42.141 --> 00:57:43.021]  One way or another!
[00:57:44.122 --> 00:57:49.323]  Only question is, do we have a president in the middle of a fight against the new world order, or is it going to be us that does it?
[00:57:49.923 --> 00:57:51.164]  But we know we're not giving up!
[00:57:52.932 --> 00:57:58.278]  I'm Owen Schroer host of the Info Wars War Room every day from 3 to 6 p.m.
[00:57:58.478 --> 00:58:09.331]  and that means I have to follow up after the big man and that is not an easy task so I need to be as focused and energized as possible every day at 3 o'clock so yes I
[00:58:09.571 --> 00:58:12.233]  I am on performance enhancing drugs.
[00:58:12.693 --> 00:58:35.207]  It's the combination of the energy of the turbo force, the focus of the brain force, and then the VasoBeat Complete, which is a beet supplement, which act as a vasodilator, which makes sure that the nutrients and supplements that you're intaking are getting all throughout the body so that I can maintain proper focus and energy for three hours and beyond.
[00:58:35.407 --> 00:58:36.668]  It's almost three o'clock.
[00:58:36.868 --> 00:58:43.333]  That means it's time to take my performance enhancers that I have conveniently stashed right here at my desk.
[00:58:43.453 --> 00:58:47.296]  I literally will never host a war room without them.
[00:58:47.476 --> 00:58:51.039]  It starts with the Turbo Force right here.
[00:58:51.219 --> 00:58:54.601]  Just get your cup of water, pour in the Turbo Force.
[00:58:54.841 --> 00:58:57.463]  I then take my Vezo B Complete right here.
[00:58:58.304 --> 00:59:00.546]  One dropper, two droppers.
[00:59:01.266 --> 00:59:03.368]  Stir it up just a little bit for good measure.
[00:59:04.983 --> 00:59:19.215]  And then, with the energy from the TurboForce and the nitrates in the VesoBeat Complete, with the Focus from BrainForce, with the Vitamin B6, Vitamin B12, and all the other supplements that are inside of that.
[00:59:21.697 --> 00:59:22.877]  Those are the supplements I take.
[00:59:23.951 --> 00:59:30.396]  Every day, right before I go on air, for maximum performance, maximum focus, maximum energy.
[00:59:30.816 --> 00:59:43.645]  And the good news is, once I finish drinking this Turbo Force, I've got energy for about 10 hours, so I can continue working, pass the show, work on other things, go and lift weights, run, whatever I need or want to do.
[00:59:43.845 --> 00:59:51.851]  It's all with the Turbo Force, the Brain Force, and the Vezo Beat Complete Trifecta, available only at Infowarsstore.com.
[01:00:12.944 --> 01:00:14.425]  All right, Alex Jones here, back live.
[01:00:14.485 --> 01:00:22.788]  Carlos Zapata, who spoke a few weeks ago at a California City Council and got a lot of great attention.
[01:00:22.828 --> 01:00:23.988]  What he said was all dead on.
[01:00:24.008 --> 01:00:25.409]  He said better than I could say it.
[01:00:25.849 --> 01:00:27.369]  He'll be joining us coming up.
[01:00:27.950 --> 01:00:34.472]  I just spent two hours on Australia because the UN is in control of national policy of every country but a few.
