[00:00:15.512 --> 00:00:15.992]  We are live.
[00:40:42.196 --> 00:40:51.476]  Because COVID is far beyond more dangerous and more lethal than I think anything they were working with there on
[00:40:52.593 --> 00:41:00.680]  Peerbrite, and I've already gone through with you in detail that University of North Carolina article.
[00:41:01.321 --> 00:41:06.105]  I'm not going to go through it again here, but you can just see how dangerous that is.
[00:41:06.705 --> 00:41:07.866]  Gain of function.
[00:41:08.047 --> 00:41:09.928]  It's got HIV in there.
[00:41:10.889 --> 00:41:12.330]  Fort Detrick was involved.
[00:41:13.211 --> 00:41:17.715]  University of Texas Medical Branch up to their eyeballs in biological warfare work.
[00:41:18.394 --> 00:41:25.877]  So, I'm really not sure if that Peerbrite vaccine is going to help anyone here.
[00:41:26.797 --> 00:41:44.903]  Indeed, what is interesting, after University of North Carolina developed, DNA genetically engineered, this Wuhan coronavirus, I believe, that we're dealing with, they didn't turn to a vaccine.
[00:41:46.476 --> 00:41:50.999]  I think because they concluded there was no effective vaccine for this darn thing.
[00:41:51.619 --> 00:42:03.128]  And so what they turned to at UNC, this is in the public record, was a therapeutic Remdesivir, which they were investigating.
[00:42:04.063 --> 00:42:08.205]  I can't guarantee Remdesivir is going to help us on COVID, too.
[00:42:09.046 --> 00:42:11.787]  But this notion of a vaccine, you're perfectly right.
[00:42:12.327 --> 00:42:21.832]  They're going to be injecting live COVID into us and charging a fortune and probably giving us all COVID.
[00:42:21.892 --> 00:42:22.512]  We don't know.
[00:42:22.892 --> 00:42:30.176]  This is exactly what happened in the Black West African Ebola pandemic.
[00:42:30.716 --> 00:42:32.437]  That all came out of
[00:42:33.217 --> 00:42:48.525]  That BSL-4 facility set up by USAID, which is a front organization for the CIA, Fort Detrick, our biowarfare headquarters, Tulane University,
[00:42:49.365 --> 00:42:55.446]  And my disalma mater, the Harvard-MIT Broad Institute.
[00:42:55.946 --> 00:43:00.527]  And we know that Fort Detrick had weaponized Ebola.
[00:43:00.987 --> 00:43:02.707]  They had aerosolized it.
[00:43:02.848 --> 00:43:11.309]  Indeed, aerosolization is always a tip-off of a biological weapon because it's delivered by air to human beings.
[00:43:11.469 --> 00:43:12.149]  We breathe it.
[00:43:12.729 --> 00:43:16.150]  So, as best as I can figure out what was going on there,
[00:43:17.971 --> 00:43:27.459]  In the Sierra Leone lab, they were testing out an experimental Ebola vaccine that was giving people live Ebola.
[00:43:28.209 --> 00:43:32.493]  And that's where that came from, and close to 13,000 people died.
[00:43:32.673 --> 00:43:33.314]  Absolutely.
[00:43:33.414 --> 00:43:36.777]  I want to go over some of the big microbiologists and others that are coming out and agreeing with you.
[00:43:36.897 --> 00:43:43.422]  Also, the Indian Institute that was basically ordered to withdraw, you know, eight weeks ago, saying this is clearly man-made.
[00:43:43.583 --> 00:43:45.144]  Other groups came out and said, no, we scanned it.
[00:43:45.264 --> 00:43:46.045]  It clearly is as well.
[00:43:46.065 --> 00:43:47.406]  They never said their study was wrong.
[00:43:47.426 --> 00:43:52.430]  They just withdrew it because of international threats by the WHO, who's been lockstep with China.
[00:43:52.470 --> 00:43:52.831]  So I want to
[00:43:53.231 --> 00:43:53.471]  I think?
[00:44:12.501 --> 00:44:22.490]  I noticed they just brought the Chinese into the UN World Human Rights Group when, again, I don't think anybody's got a worse record of human rights, even Hitler, than the Communist Chinese.
[00:44:22.530 --> 00:44:23.931]  I mean, this is just incredible.
[00:44:24.272 --> 00:44:33.420]  Now confirm mainstream reports, we're going to get to after you're gone, of them confirming that China is harvesting for party members the lungs of political prisoners.
[00:44:33.880 --> 00:44:35.382]  I mean, this is so macabre.
[00:44:35.882 --> 00:44:41.464]  And again, we're in 2020, like a nightmare dystopic science fiction novel that we're now in.
[00:44:41.484 --> 00:44:44.685]  So I want to walk through all of that with you and get into any points you want to make.
[00:44:45.465 --> 00:44:49.986]  But just looking at the numbers, I saw where in the Dakotas, a state rep died at 71.
[00:44:50.487 --> 00:44:50.967]  OK.
[00:44:51.227 --> 00:44:54.028]  Then his sister died a week before, 50-something.
[00:44:54.428 --> 00:45:00.690]  And then I am seeing clusters in families dying now, some of them not 60, 70, 80 years old.
[00:45:01.390 --> 00:45:04.531]  And it seems like in some areas it's worse than others, even areas that
[00:45:05.251 --> 00:45:10.617]  Aren't big transportation hubs, and we've seen almost 4,000 dead in New York.
[00:45:10.977 --> 00:45:13.560]  I mean, clearly this, as you said eight weeks ago, okay, you're right.
[00:45:13.600 --> 00:45:14.340]  Mike Adams is right.
[00:45:14.661 --> 00:45:18.244]  This is worse than a bad flu, and you were right to be scared of it.
[00:45:18.304 --> 00:45:19.526]  It's clearly man-made.
[00:45:20.547 --> 00:45:25.832]  How bad is it now that we're getting closer optics on this and a little bit clearer?
[00:45:29.522 --> 00:45:40.095]  Well, Alex, I don't mean to scare anyone, but I think we have to be realistic here in trying to figure out what happened in order to save ourselves here in America.
[00:45:40.816 --> 00:45:43.480]  I think that a British report
[00:45:44.241 --> 00:45:49.364]  That we could be facing two million deaths here in America could be right on the mark, right?
[00:45:50.165 --> 00:45:51.086]  I'm afraid so.
[00:45:51.706 --> 00:45:53.527]  As for China, yes, of course.
[00:45:54.908 --> 00:45:58.010]  As I've said before, I'm a professor of international law.
[00:45:59.091 --> 00:46:13.280]  They can have whatever system of government they want over there under international law, but why you would believe anything coming out of Chairman Xi's communist dictatorship over there is beyond me.
[00:46:13.501 --> 00:46:13.901]  It's just
[00:46:14.281 --> 00:46:15.302]  It's mystifying.
[00:46:15.722 --> 00:46:26.448]  I spent 10 years at the University of Chicago and Harvard studying the Soviet Union and passing my Ph.D.
[00:46:26.528 --> 00:46:29.529]  oral general exams in Soviet politics.
[00:46:29.629 --> 00:46:31.951]  I was qualified to teach that subject at Harvard.
[00:46:33.451 --> 00:46:36.353]  I have no illusions about communist systems of government.
[00:46:37.169 --> 00:46:45.011]  And now they're engaging in a PR campaign, making it appear that they are such humanitarians.
[00:46:45.031 --> 00:46:50.312]  They even bought off the Non-Aligned group earlier this week.
[00:46:50.592 --> 00:46:51.232]  Well, exactly.
[00:46:51.332 --> 00:46:56.894]  Twitter, Facebook, and Google push what the Chinese Central Committee says.
[00:46:58.754 --> 00:47:01.935]  They say the president's full of crap, but then they parrot it.
[00:47:02.035 --> 00:47:06.156]  It's confirmed, and give them free reign to push total disinformation.
[00:47:07.776 --> 00:47:21.260]  Well, and as a matter of fact, Alex, if you were listening to Berks, who is this cheery face of the Corona Task Force, she refers to Chinese statistics.
[00:47:22.320 --> 00:47:37.345]  So how can her models be any good at all if they are based on statistics coming out of China that we all know are completely bogus and we know full well China has been lying right from the get-go
[00:47:38.161 --> 00:47:41.083]  On what happened here right from the very beginning.
[00:47:41.643 --> 00:47:49.267]  So we can't trust anything coming out of China, unless it's what we law professors call an admission against interest.
[00:47:49.868 --> 00:48:04.175]  And there you had these two Chinese scientists publishing a paper at grave risk to their lives, saying we believe that COVID came out of that Wuhan BSL-4
[00:48:05.556 --> 00:48:08.578]  And as you correctly point out, even now the CIA is saying that
[00:48:28.812 --> 00:48:34.115]  Well, yeah, they could be off by a factor of anywhere from 10 times to 40 times.
[00:48:34.135 --> 00:48:47.762]  Well, the Pentagon, as you said, I just showed the Washington Post, they think 46,000, others extrapolating, and again, I'm not bragging, but I mean, we put up the Zero Hedge article, we covered this weeks ago, good job for Zero Hedge and others, noticing that the earns were
[00:48:50.107 --> 00:48:51.630]  100 to 1 what they were claiming.
[00:48:51.710 --> 00:48:54.354]  Thousands of urns every day or so.
[00:48:54.374 --> 00:48:58.701]  So what's the real number in China if it's 46,000 in Wuhan?
[00:48:58.741 --> 00:49:02.627]  If this is true, this is a very robust bioweapon.
[00:49:04.386 --> 00:49:05.106]  That's correct.
[00:49:05.186 --> 00:49:07.767]  And now the Chinese are saying, well, everything's fine.
[00:49:07.827 --> 00:49:10.549]  People are going back to work and school.
[00:49:10.629 --> 00:49:10.889]  Right.
[00:49:10.929 --> 00:49:12.630]  Because they're being forced back to work.
[00:49:12.670 --> 00:49:16.311]  But then yesterday, they said they've locked China down again, but that got no coverage.
[00:49:16.711 --> 00:49:20.673]  Literally almost no coverage that China just locked down its major cities again.
[00:49:23.376 --> 00:49:25.598]  You're absolutely right, Alex.
[00:49:25.638 --> 00:49:33.245]  That's why I appear on here with you to get a message out that contradicts the party line.
[00:49:33.465 --> 00:49:36.408]  By the way, I never wanted to panic people, and I wasn't sure of this.
[00:49:36.788 --> 00:49:37.889]  I believe the big institutes.
[00:49:37.969 --> 00:49:41.813]  I believe you, your prestigious background, a lot of integrity, that it's man-made.
[00:49:41.853 --> 00:49:42.574]  But yeah, who knows?
[00:49:42.614 --> 00:49:44.295]  It's a stimulant for a vaccine.
[00:49:44.375 --> 00:49:44.856]  Who knows?
[00:49:45.596 --> 00:49:46.797]  I'm not a doctor or an expert.
[00:49:46.857 --> 00:49:48.598]  I just read out H1N1 the year before.
[00:49:48.918 --> 00:49:53.540]  They had a simulant that was an engineered virus to track vaccination rates and herd immunity.
[00:49:53.560 --> 00:49:55.301]  And it looks like that got out of control.
[00:49:55.321 --> 00:49:56.682]  I mean, who knows if that's true or not.
[00:49:56.702 --> 00:49:57.702]  That was in the news at the time.
[00:49:58.102 --> 00:50:00.583]  These huge things are just buried in the news and they move on.
[00:50:01.044 --> 00:50:07.567]  So I was hoping that it's, I mean, it does appear to be somewhat race specific or is that incorrect?
[00:50:10.023 --> 00:50:13.485]  I have not seen evidence of that yet, Alex.
[00:50:14.045 --> 00:50:14.485]  I haven't.
[00:50:14.665 --> 00:50:24.810]  I do know that work has been done before to develop a race-specific biological warfare agent.
[00:50:24.970 --> 00:50:26.390]  I know we worked on it.
[00:50:27.271 --> 00:50:31.353]  The Afrikaner apartheid regime in South Africa worked on it.
[00:50:31.413 --> 00:50:32.673]  We cooperated with them.
[00:50:33.293 --> 00:50:34.454]  Israel has worked on it.
[00:50:35.083 --> 00:50:39.028]  But I haven't seen evidence that this is the case.
[00:50:40.209 --> 00:50:45.375]  And I'm afraid, you know, now it's all over Europe and the United States.
[00:50:45.475 --> 00:50:49.820]  We're not of Asian genetic descent, most of us.
[00:50:50.701 --> 00:50:57.127]  I'm afraid it's going to take off like a hot knife through butter in Africa and India.
[00:50:57.307 --> 00:50:58.608]  It's already starting in India.
[00:50:58.628 --> 00:51:02.591]  So, again, I haven't seen that evidence, Alex.
[00:51:02.751 --> 00:51:19.285]  And indeed, Alex, as we discussed before, the PNACers in that PNAC report, the neocons under Bolton and Wolfowitz... They said, we're going to legitimize the use of race-specific bioweapons using the media.
[00:51:20.526 --> 00:51:21.226]  That's correct.
[00:51:21.386 --> 00:51:22.687]  That's exactly what it said.
[00:51:22.707 --> 00:51:23.207]  That's crazy.
[00:51:23.247 --> 00:51:24.408]  Legitimize race weapons.
[00:51:25.648 --> 00:51:26.128]  That's right.
[00:51:26.248 --> 00:51:29.790]  And then they went into power under Bush Jr.
[00:51:30.510 --> 00:51:34.751]  and I suspect ordered their people to start working on it.
[00:51:35.172 --> 00:51:40.774]  But I have not seen evidence that COVID is it because it's affecting everyone.
[00:51:40.834 --> 00:51:43.755]  Now look what's happening there in Italy.
[00:51:43.795 --> 00:51:45.296]  They're reporting a over 12%
[00:51:47.054 --> 00:51:49.878]  Lethality rate, and we know that's an underestimate.
[00:51:49.998 --> 00:51:56.888]  Even the New York Times says... By the way, I mean, folks, 12% death rate, that's like end-of-the-world-level crap, if that's true.
[00:51:58.866 --> 00:52:00.627]  I think that's an underestimate, Alex.
[00:52:01.007 --> 00:52:10.753]  I think even the New York Times, which is, you know, the mouth of the New World Order between you and me, they said... Well, this is true.
[00:52:10.813 --> 00:52:12.875]  I'm about to get in a damn hazmat outfit.
[00:52:15.396 --> 00:52:15.836]  Wow, this is crazy.
[00:52:15.856 --> 00:52:16.977]  Well, I don't know, Alex.
[00:52:17.477 --> 00:52:26.643]  Again, you have to understand that that BSL-4 facility where they were manufacturing COVID
[00:52:27.609 --> 00:52:29.331]  They all worked in moon suits.
[00:52:29.951 --> 00:52:31.292]  That's how dangerous it is.
[00:52:32.153 --> 00:52:38.319]  So, I kid you not, I guess if you, you know, there could be nanotechnology in there for all we know.
[00:52:38.759 --> 00:52:48.568]  That chairman of the Harvard Chemistry Department, Lieber, he's a specialist in nanotechnology.
[00:52:49.771 --> 00:53:07.937]  Now explain to people how NanoTek is very similar to the virus, where it's like a man-made type deal, that the CHICOM has infiltrated so many things, and we see all these CHICOM operatives being rolled up, being arrested, not getting a lot of attention, but huge, that's a huge development, and then magically this happens.
[00:53:08.297 --> 00:53:09.357]  Why do you bring that up?
[00:53:09.457 --> 00:53:10.258]  Do you think it's connected?
[00:53:11.958 --> 00:53:17.840]  Yes, because this Harvard chair of the chemistry department, his specialization
[00:53:18.556 --> 00:53:20.017]  was nanotechnology.
[00:53:20.597 --> 00:53:22.599]  The Chinese were paying him a lot of money.
[00:53:23.119 --> 00:53:38.749]  He even had his own laboratory over there in Wuhan, and it was reported he was working on both chemical and biological matters, which means, I take it, applying nanotechnology to chemical weapons and biological weapons.
[00:53:38.769 --> 00:53:39.229]  Unbelievable.
[00:53:39.469 --> 00:53:45.753]  We know for a fact that Amerithrax was based on nanotechnology.
[00:53:46.388 --> 00:53:51.373]  You had a trillion spores per gram.
[00:53:52.796 --> 00:53:57.019]  The only way that could have been done is nanotechnology.
[00:53:57.580 --> 00:54:03.063]  It could float through the air because the particles were so small it traveled on the air.
[00:54:03.544 --> 00:54:15.351]  Now you have this MIT scientist study earlier this week saying from her experiment COVID could travel 27 feet.
[00:54:15.371 --> 00:54:16.432]  How would it be able to do that?
[00:54:19.873 --> 00:54:20.934]  Nanotechnology.
[00:54:21.074 --> 00:54:22.495]  It's lighter than the air.
[00:54:22.615 --> 00:54:24.456]  It travels on air currents.
[00:54:24.676 --> 00:54:24.956]  Sure.
[00:54:25.437 --> 00:54:33.562]  So I think we need a thorough investigation of what this Harvard chemistry chair was doing over there.
[00:54:33.982 --> 00:54:37.565]  And the notion that Harvard didn't know what he was doing is preposterous.
[00:54:37.805 --> 00:54:38.145]  I spent
[00:54:38.665 --> 00:54:39.766]  Seven years at Harvard.
[00:54:39.826 --> 00:54:42.987]  I have three degrees there, two years teaching at Harvard College.
[00:54:43.307 --> 00:54:46.989]  Of course Harvard knew what the chair of its chemistry department was.
[00:54:47.069 --> 00:54:47.890]  And as you mentioned, G.G.
[00:54:47.930 --> 00:54:49.250]  Pink's daughter goes to Harvard.
[00:54:49.290 --> 00:54:53.772]  Harvard has become really like the Legion of Doom or something.
[00:54:54.833 --> 00:54:55.033]  Right.
[00:54:55.113 --> 00:54:59.635]  So Harvard knew that this guy had his own nanotechnology over there in Wuhan.
[00:55:00.676 --> 00:55:02.937]  So, you know, that's just a cover story for something.
[00:55:03.970 --> 00:55:10.334]  So, that might account for why this was being done in a BSL-4.
[00:55:10.394 --> 00:55:18.398]  If you're going to deal with applying nanotechnology to a biological weapon, you've got to wear a moon suit.
[00:55:18.458 --> 00:55:20.139]  Dr. Boyle, the author of the U.S.
[00:55:20.159 --> 00:55:27.904]  Biological Weapons Law, a top expert, represents major presidents and world leaders at the Hague, some of the most famous cases ever, if not the most famous.
[00:55:28.624 --> 00:55:31.065]  Just look it up yourself, the whole bio, it's crazy.
[00:55:34.688 --> 00:55:48.013]  As a father of four, as a husband, as an American, I just had a deep-seated responsibility, even though we first rang the alarm that this is man-made and looks like a bioweapon, to hope the lower numbers were right.
[00:55:48.214 --> 00:55:55.396]  And I've had some virologists on, I've talked to some scientists, they say, hey, a lot of times viruses burn themselves out, sometimes they get worse.
[00:55:55.997 --> 00:56:02.639]  Now I saw two weeks ago that in Reykjavik they were saying they found 40-plus versions, now it's 100 mutations.
[00:56:02.979 --> 00:56:03.840]  They're saying in Europe,
[00:56:04.800 --> 00:56:25.149]  Uh, but if it's a bioweapon and things are so sophisticated now, the technology is even beyond what people that were, you know, involved in weapons 10 years ago is, where I'm told, as you said, it's almost like nanotech is merged with viruses, that they're able to edit these things together and then test with mathematics how they're going to mutate in many cases, and so
[00:56:26.169 --> 00:56:26.970]  It could get worse.
[00:56:27.130 --> 00:56:35.175]  And then you were the first to say, I mean, this is just true, eight weeks ago, that they could release other things now during this that are similar, but use this virus as the cover.
[00:56:35.195 --> 00:56:38.458]  I mean, government really does seem scared.
[00:56:39.038 --> 00:56:40.939]  There's not just a corporate power grab going on.
[00:56:40.959 --> 00:56:43.501]  That's obviously people are overlaying different missions there.
[00:56:43.541 --> 00:56:55.450]  But Kissinger saying, and I know you went to that same special office as he did, ran his office, the office he had at Harvard for a while, that this could end the world government or totally bring an end, that it's a new world order system.
[00:56:56.700 --> 00:56:59.000]  That, you know, a new dark age could be here.
[00:56:59.040 --> 00:57:01.821]  The economy could be hurt for decades.
[00:57:01.921 --> 00:57:03.621]  World chaos and world order.
[00:57:04.121 --> 00:57:05.542]  Conversation with Henry Kissinger.
[00:57:06.022 --> 00:57:08.122]  Kissinger on the assembly of the new world order.
[00:57:08.502 --> 00:57:11.303]  Kissinger warns coronavirus has felt economic doom for generations.
[00:57:12.143 --> 00:57:15.463]  I mean, this is what he's put out in this report, obviously.
[00:57:15.483 --> 00:57:24.305]  I mean, this is the big one because they always said they would use an outbreak like this to bring in a worldwide authoritarian system.
[00:57:26.445 --> 00:57:39.412]  Alex, what I'm afraid we are seeing here is the implementation of the Nazi philosophy of useless eaters that was condemned by the Nuremberg Tribunal in 1946.
[00:57:39.492 --> 00:57:40.112]  Namely, you know, if
[00:57:44.588 --> 00:57:56.811]  You know, ordinary, common Americans and workers, people who work with their hands, things of this nature, blue collar workers, if they have to be sacrificed, so be it.
[00:57:57.471 --> 00:58:00.492]  If old people get killed, well, that's just great.
[00:58:00.612 --> 00:58:04.733]  It saves us on pensions and Medicare.
[00:58:05.133 --> 00:58:06.313]  I think this is the
[00:58:07.139 --> 00:58:12.442]  This Nazi philosophy of useless eaters is what we're seeing in operation today, yes.
[00:58:13.083 --> 00:58:21.027]  And as for, you're correct about the mutations, how can you have an effective vaccine with all these mutations?
[00:58:21.388 --> 00:58:22.228]  It's preposterous.
[00:58:22.368 --> 00:58:23.329]  It's not going to happen.
[00:58:23.829 --> 00:58:25.110]  It's like the flu vaccine.
[00:58:25.650 --> 00:58:28.495]  They don't know what the next flu virus is going to be.
[00:58:28.955 --> 00:58:33.983]  They just guess, and it's less than 50% effective anyway.
[00:58:34.363 --> 00:58:37.068]  And you're injecting all this garbage into your system.
[00:58:37.729 --> 00:58:41.074]  So it gets back to my point that we started out.
[00:58:41.634 --> 00:58:46.257]  Well, this vaccine is a mirage and a boondoggle.
[00:58:47.158 --> 00:58:58.967]  All these people are going to be making all this money, and then they'll say, oh, well, we have a vaccine, and all you people have to take it, whether you like it or not, and we're going to inject live coronavirus into you.
[00:58:59.187 --> 00:59:01.508]  Well, I'm afraid that's the future.
[00:59:01.548 --> 00:59:02.469]  You're right about that.
[00:59:02.529 --> 00:59:04.791]  Yes, it seems that's what's coming.
[00:59:05.526 --> 00:59:09.367]  You have a big historical grasp, but I think listeners sometimes just think I spout things off.
[00:59:09.707 --> 00:59:19.131]  For those that don't know, Sir Thomas Malthus, 250 years ago, quoted Plato and said we must get the dirty masses off the breasts of Mother Nature.
[00:59:19.591 --> 00:59:23.492]  And Plato talked about hurting, you know, the poor and or having licenses to have children.
[00:59:23.833 --> 00:59:24.713]  He started eugenics.
[00:59:25.785 --> 00:59:31.047]  And then the Kaiser Wilhelm Institute was funded by the Rockefellers on record and funded by IBM.
[00:59:31.887 --> 00:59:34.728]  Watson got an award from Hitler that Hitler didn't even get.
[00:59:34.808 --> 00:59:39.869]  They made a special award for folks that didn't know IBM basically ran the Nazi machine.
[00:59:40.329 --> 00:59:41.169]  Their computers did.
[00:59:41.189 --> 00:59:44.670]  The tattoos, they could put it in the Hall Earth machine.
[00:59:45.090 --> 00:59:48.031]  Now Bill Gates wants you to take a microchip to make sure you've been vaccinated.
[00:59:48.051 --> 00:59:53.393]  I don't think people understand that when we talk about Nazi science, Nazi technology, Hitler was a beta test.
[00:59:54.295 --> 00:59:58.096]  But then got out of control and attacked everybody because he was being so praised and everything.
[00:59:58.136 --> 01:00:02.578]  And people don't understand that when you talk about useless eaters, that's what this is.
[01:00:03.358 --> 01:00:05.959]  And Bill Gates is this big proponent of getting rid of the useless eaters.
[01:00:06.659 --> 01:00:08.560]  And then, but suddenly he cares about the old people.
[01:00:08.940 --> 01:00:16.163]  That's what I'm seeing here is Bill Gates says we shouldn't give old people, you know, end of life medical care and we should do all this to hire 10 teachers, death panels.
[01:00:16.443 --> 01:00:18.223]  But now he really cares about old people.
[01:00:18.544 --> 01:00:20.384]  And China has a big problem with old people.
[01:00:20.684 --> 01:00:22.145]  They don't want to pay their pensions either.
[01:00:22.905 --> 01:00:26.549]  And so, this was obviously being developed and cooked up for this moment.
[01:00:27.250 --> 01:00:30.294]  And of course, you make something highly communicable in a place with moon suits, you're right!
[01:00:30.634 --> 01:00:31.996]  These places are always leaking!
[01:00:32.456 --> 01:00:33.477]  Or is that the cover?
[01:00:34.038 --> 01:00:38.984]  Is it that, oh, these things keep leaking, so we think they leaked again, or they always tell us they leaked?
[01:00:39.644 --> 01:00:40.125]  Good doctor.
[01:00:42.574 --> 01:00:52.103]  Well, as I said in that award-winning documentary, Anthrax Wars, quite some time ago, all these BSL-3s and these BSL-4s leak.
[01:00:55.481 --> 01:01:03.165]  Everyone knows it, and I said, this is a catastrophe waiting to happen, and it has now happened.
[01:01:03.485 --> 01:01:04.426]  It's confronting us.
[01:01:05.967 --> 01:01:13.310]  I think the estimate given by Berks of 100,000 to 200,000 dead is just preposterous.
[01:01:14.211 --> 01:01:16.232]  We're facing at least Italy at 12,000.
[01:01:16.332 --> 01:01:20.474]  Twelve percent over there is a gross underestimate.
[01:01:21.401 --> 01:01:24.243]  And again, please understand, I'm not here to scare anyone.
[01:01:24.764 --> 01:01:30.128]  I'm just saying we have to be very realistic here in what confronts us.
[01:01:30.788 --> 01:01:35.232]  Hey listen, I respect you and I respect Mike Adams and you guys have been pretty much saying the same thing.
[01:01:35.692 --> 01:01:39.655]  I just am having trouble, I guess one of the stages of things is denial.
[01:01:40.075 --> 01:01:45.139]  I'm having trouble confronting this mentally because this is pissing me off.
[01:01:47.898 --> 01:01:48.378]  That's right.
[01:01:48.438 --> 01:01:52.220]  That's Elizabeth Kubler-Ross, the stages of dying.
[01:01:53.161 --> 01:01:55.282]  And the first stage there is denial.
[01:01:55.422 --> 01:02:03.526]  And I'm afraid that's what we're seeing by Birx and Redfield and Azar and the Surgeon General.
[01:02:03.626 --> 01:02:04.866]  Indeed, I think it's worse.
[01:02:04.946 --> 01:02:06.367]  I think they're just covering it up.
[01:02:07.688 --> 01:02:10.129]  And, you know, unfortunately,
[01:02:11.090 --> 01:02:15.492]  The American people are trusting what they are being said.
[01:02:15.872 --> 01:02:24.516]  Again, notice Berks earlier this week is still saying six feet is the proper social distancing.
[01:02:24.956 --> 01:02:26.196]  Well, that's going to get you killed.
[01:02:26.957 --> 01:02:30.278]  That MIT, I've always been saying it has a gain of function.
[01:02:30.718 --> 01:02:34.140]  So you need at least a buckle back.
[01:02:34.700 --> 01:02:36.682]  Not the MIT study.
[01:02:37.623 --> 01:02:39.324]  It's saying it's 27 feet.
[01:02:39.685 --> 01:02:42.968]  I don't know, but that could be a possibility.
[01:02:42.988 --> 01:02:46.611]  You know, Alex, it really disturbed me today.
[01:02:47.512 --> 01:02:53.477]  They had pictures from the Javits Center in New York, OK, from the inside.
[01:02:54.264 --> 01:03:09.985]  And there were our troops lined up in the Javits Center where they're going to bring in COVID patients and our troops are not wearing masks and they are not maintaining any social distancing at all.
[01:03:10.165 --> 01:03:18.275]  By the way, that's what I've seen in the news is that nurses are asking at all these hospitals why they're not being given masks and told to wear them all the time.
[01:03:18.295 --> 01:03:19.877]  So I'm supposed to stay in my house.
[01:03:20.017 --> 01:03:22.040]  I'm supposed to wear a mask when I go out.
[01:03:22.500 --> 01:03:24.883]  I mean, I was out at a golf course by my neighborhood.
[01:03:25.524 --> 01:03:25.884]  Okay.
[01:03:26.545 --> 01:03:28.266]  And there was almost no one out there.
[01:03:28.286 --> 01:03:30.107]  And I talked to one lady today.
[01:03:30.127 --> 01:03:33.388]  She said, yeah, she said a lady came out and told her you shouldn't be out here.
[01:03:33.849 --> 01:03:35.570]  Out in a golf course, no one is around.
[01:03:35.590 --> 01:03:37.130]  Like you might see one person every 10 minutes.
[01:03:37.511 --> 01:03:38.411]  How is that bad?
[01:03:38.471 --> 01:03:42.073]  But the troops aren't wearing masks at a damn hospital where sick people are coming.
[01:03:44.174 --> 01:03:50.798]  I'm afraid, you know, despite the fact that, you know, most Americans have a lot of respect for doctors and nurses.
[01:03:51.528 --> 01:03:57.853]  I'm afraid our aristocracy around here, the power elite, is fully prepared to sacrifice them.
[01:03:57.893 --> 01:03:58.774]  They don't really care.
[01:03:59.335 --> 01:04:01.977]  And they're just sending them into battle here naked.
[01:04:01.997 --> 01:04:12.906]  Well, I've had nurses call and they say, nurses were calling a month ago and two weeks ago, pissed, saying, listen, I know we're healthy, we're incubating this and spreading it to the old people, and they must be doing that on purpose.
[01:04:15.576 --> 01:04:20.341]  Again, I'm afraid, Alex, this is the Nazi philosophy of useless leaders.
[01:04:21.082 --> 01:04:25.166]  The people who run the United States government here are not stupid.
[01:04:26.387 --> 01:04:30.871]  You know, I was trained to be one of them, like Kissinger, like Brzezinski.
[01:04:30.951 --> 01:04:32.493]  They know exactly what they're doing.
[01:04:32.633 --> 01:04:32.853]  Right.
[01:04:32.913 --> 01:04:38.839]  And you saw this in Britain, where Boris Johnson came out
[01:04:39.468 --> 01:04:40.708]  I don't know what that is.
[01:05:10.256 --> 01:05:17.758]  We had herd immunity from smallpox, so maybe 1% of people that were European got a smallpox because they had had it for hundreds of thousands of years.
[01:05:17.778 --> 01:05:22.420]  The Asians that came across the Bering Strait that we know as Native Americans, they hadn't had it.
[01:05:22.740 --> 01:05:30.522]  So when we showed up 400 years ago with it, it would kill the half of them when they came in contact with it because they had no herd immunity.
[01:05:30.542 --> 01:05:31.082]  Is that accurate?
[01:05:32.503 --> 01:05:36.424]  Yeah, but herd immunity doesn't apply in this situation.
[01:05:36.504 --> 01:05:39.125]  Basically, Johnson just decided to
[01:05:40.201 --> 01:05:42.964]  Let it run through the British population.
[01:05:43.004 --> 01:05:50.269]  And remember, you know, Johnson's part of the British elite establishment over there.
[01:05:50.289 --> 01:05:51.370]  He went to Oxford.
[01:05:52.251 --> 01:05:58.576]  All those people believe in eugenics, and their predecessors all supported the Nazis.
[01:05:58.716 --> 01:06:03.220]  So, you know, he was quite clear what was going on.
[01:06:03.260 --> 01:06:04.461]  I gave a big interview to
[01:06:05.141 --> 01:06:05.902]  We're good to go.
[01:06:24.073 --> 01:06:29.757]  At the press conference, I think it was either Fauci or Birx who mentioned herd immunity.
[01:06:30.097 --> 01:06:45.207]  That's apparently what the real strategy here is, just let it run through the population, and it's only going to take out the untermensch, what the Nazis called the underpeople.
[01:06:46.168 --> 01:06:48.830]  The ubermensch or the superman will be okay.
[01:06:48.890 --> 01:06:52.032]  Right, that goes back to Nietzsche.
[01:06:52.232 --> 01:06:53.153]  That's exactly right.
[01:06:54.158 --> 01:06:55.179]  So let's pull back here.
[01:06:55.199 --> 01:06:58.961]  Of course, Nietzsche was just basically plagiarizing Plato.
[01:06:59.561 --> 01:07:00.441]  And then Hitler picked it up.
[01:07:00.461 --> 01:07:01.322]  We all know what happened there.
[01:07:01.982 --> 01:07:03.963]  Let's just pull back here for a moment, then, Dr. Boyle.
[01:07:04.123 --> 01:07:06.124]  But Hitler picked it up from us, Alex.
[01:07:06.445 --> 01:07:07.265]  Oh, I know.
