[00:00:01.101 --> 00:00:04.602]  It's Sunday, October 18th.
[00:22:18.897 --> 00:22:26.582]  And then we have all the other admissions, the New York Post saying, we can't publish this, it's pedophilia, and the FBI was investigating it as pedophilia.
[00:22:27.062 --> 00:22:28.103]  That's who these people are!
[00:22:29.404 --> 00:22:30.985]  Humanity is on the march.
[00:22:31.846 --> 00:22:33.127]  Corruption is on the run.
[00:22:37.475 --> 00:22:39.256]  I'm very honored to be your host, Alex Jones.
[00:22:40.317 --> 00:22:42.199]  And this is not going to be a two-hour show tonight.
[00:22:43.480 --> 00:22:44.581]  I'm the co-host with Ellen Schreuer.
[00:22:45.742 --> 00:22:47.182]  Coming up, 6 p.m.
[00:22:47.202 --> 00:22:53.264]  in about an hour and a half, we've got a bunch of breaking news we're going to cover then.
[00:22:53.704 --> 00:22:56.004]  Remember, this is not a spectator sport.
[00:22:56.644 --> 00:23:09.467]  This is a participation sport, so tell folks about those local radio stations, tell folks about those local TV stations, and share those links from Band.Video, 2020ElectionsCenter.com, Infowars.com, Ford Slash Show, and more.
[00:23:11.075 --> 00:23:16.277]  Okay, if you just joined us and I'm on my Monday show, I'm going to open the phones up and just take call, call, call.
[00:23:16.297 --> 00:23:16.917]  We'll probably do it.
[00:23:18.178 --> 00:23:18.898]  We won't probably.
[00:23:18.918 --> 00:23:23.780]  We'll also take calls for at least an hour during Owen at 6 p.m.
[00:23:23.900 --> 00:23:25.821]  with what we call Sunday Live now that we're doing.
[00:23:27.541 --> 00:23:31.523]  But we're live right now at 434 Central Time.
[00:23:37.825 --> 00:23:44.389]  Again, we're usually so far ahead of the curve that a lot of times when it catches up, we're behind it.
[00:23:45.510 --> 00:23:46.631]  It's how this works.
[00:23:47.911 --> 00:23:52.594]  So the Burisma emails and the laptop stuff starts coming out on what, Tuesday?
[00:23:54.836 --> 00:23:56.277]  And I'm like, this is smoking gun.
[00:23:56.297 --> 00:23:57.357]  I mean, this is Hunter Biden.
[00:24:00.546 --> 00:24:03.188]  With Burisma executives saying, yeah, I'll meet with my dad.
[00:24:03.929 --> 00:24:06.151]  He's going to stop the criminal investigations into you.
[00:24:06.171 --> 00:24:09.293]  They're like, well, that's why we're paying you this money is to stop the criminal investigations.
[00:24:09.553 --> 00:24:12.476]  Then Biden says, I ordered them to stop the criminal investigation.
[00:24:13.814 --> 00:24:14.975]  Or I'd take a billion dollars away.
[00:24:15.035 --> 00:24:21.783]  I mean, I've never seen a textbook case of someone publicly admitting a crime of this nature this way.
[00:24:21.803 --> 00:24:23.665]  I mean, this is textbook stuff.
[00:24:23.685 --> 00:24:25.627]  This is just ridiculous.
[00:24:25.667 --> 00:24:26.368]  This is crazy.
[00:24:26.428 --> 00:24:31.714]  But if you study criminology, criminals that have gotten away with it for a long time, especially psychopaths,
[00:24:32.395 --> 00:24:35.796]  At first, serial killers are very careful how they kill people, take their time.
[00:24:36.137 --> 00:24:39.278]  But by the end, they're like killing somebody once a week, not once a year.
[00:24:39.658 --> 00:24:40.979]  They're being real reckless.
[00:24:40.999 --> 00:24:41.719]  They're getting drunk.
[00:24:41.739 --> 00:24:42.659]  They're taking drugs.
[00:24:42.679 --> 00:24:48.322]  They're killing one woman a night, then killing another lady the next day, and they finally get caught because they get reckless.
[00:24:50.042 --> 00:24:57.545]  And that's what we're seeing is this psychopathic behavior and the sociopathy play out in front of everyone.
[00:24:58.266 --> 00:24:59.806]  And so it seems otherworldly.
[00:24:59.826 --> 00:25:01.167]  You're like, is this possible?
[00:25:02.654 --> 00:25:03.335]  Well of course it is!
[00:25:05.436 --> 00:25:14.223]  Look at Hitler, look at Stalin, look at Mao, look at Genghis Khan, look at any of these crazy people that get in power, and then they just keep doing crazy stuff until somebody stops them.
[00:25:17.145 --> 00:25:18.406]  These guys don't know when to stop.
[00:25:19.807 --> 00:25:25.111]  And so if you just tuned in, it's been announced, they've cancelled, because they had multiple events every day.
[00:25:25.391 --> 00:25:28.153]  They've cancelled the events this week.
[00:25:30.356 --> 00:25:38.641]  Tonight, tomorrow, Tuesday, and Wednesday until there is a debate schedule, the final debate between Trump and Joe Biden.
[00:25:42.643 --> 00:25:54.811]  And there is a laptop confirmed now with Joe Biden's lawyers that they were involved with where he just didn't care and just dumped a laptop off
[00:25:56.271 --> 00:25:58.913]  Where the Chinese have given him all the blackmail they had on him.
[00:25:59.333 --> 00:26:02.415]  He didn't even care because he knew that was part of being in the club.
[00:26:02.936 --> 00:26:16.806]  Just a maniac crazy person taking photos of himself in blue jean jackets like he's Tom Cruise and wearing sunglasses like his dad inside a house like he's a 12 year old posing.
[00:26:16.866 --> 00:26:18.187]  I mean these are crazy people.
[00:26:20.368 --> 00:26:23.211]  But we've let them run our lives.
[00:26:24.491 --> 00:26:26.232]  So I thought, oh that's huge news.
[00:26:26.693 --> 00:26:33.318]  It confirms China, emails paying him off, he says give me more money, I want more money to do this, you'll get this if you do that.
[00:26:33.518 --> 00:26:34.278]  It's open and shut.
[00:26:34.298 --> 00:26:39.642]  And then you've got the huge scandal of the big tech media blocking all this because they've got to.
[00:26:40.483 --> 00:26:47.488]  But then, it comes out, oh it's raping little girls and beating the hell out of them?
[00:26:50.899 --> 00:27:01.290]  And that's what groups that broke this three weeks before it came out said, and then groups working with Giuliani, and the New York Post sees the photos and the videos and says, we cannot publish this.
[00:27:01.610 --> 00:27:02.351]  This is criminal.
[00:27:04.833 --> 00:27:09.959]  What do you do when you're a spoiled brat that doesn't care and has billions of stolen dollars and is crazy?
[00:27:12.605 --> 00:27:15.593]  And the Communist Chinese are going to give you hundreds of millions more.
[00:27:15.894 --> 00:27:18.701]  You just got to go in a room and rape little girls.
[00:27:19.082 --> 00:27:21.207]  Well, hell, you go ahead and just beat the hell out of them.
[00:27:24.130 --> 00:27:24.971]  And that's who they are.
[00:27:25.011 --> 00:27:26.452]  They're raping us with the lockdown.
[00:27:26.732 --> 00:27:27.953]  They're raping us with the mask.
[00:27:28.213 --> 00:27:33.538]  They're raping us with shutting the VA off so the troops don't get any medical care.
[00:27:33.558 --> 00:27:35.119]  It's all about raping you.
[00:27:35.339 --> 00:27:40.003]  And now Bill Gates wants to rape you with his forced inoculation because these are rapists.
[00:27:40.123 --> 00:27:42.625]  And Bill Gates is involved with Jeffrey Epstein.
[00:27:42.946 --> 00:27:46.849]  And Bill Gates is involved in blackmailing thousands of prominent scientists.
[00:27:47.109 --> 00:27:48.050]  They ran through there.
[00:27:50.353 --> 00:27:59.001]  And again, OAN has seen the same stuff that our sources have, and they say it's underage girls, power deals, drugs.
[00:28:00.362 --> 00:28:09.491]  But it's worse than that, because the dissidents that first said it was coming out, that we know work with Giuliani, say it has him on there, not just raping, but beating the hell out of him.
[00:28:14.525 --> 00:28:17.847]  So the big question is, how is the media going to try to cover this up?
[00:28:17.867 --> 00:28:21.089]  The establishment, lapdog, PR, media.
[00:28:21.129 --> 00:28:22.229]  I was thinking today, what's the best term?
[00:28:22.269 --> 00:28:23.090]  Dinosaur media?
[00:28:23.330 --> 00:28:24.370]  Decepticon media?
[00:28:25.051 --> 00:28:26.011]  Establishment media?
[00:28:26.051 --> 00:28:26.291]  No, no.
[00:28:26.471 --> 00:28:29.713]  They're just PR firms that'll do whatever they're told by those that pay them.
[00:28:30.033 --> 00:28:30.914]  That's what mainstream media is.
[00:28:31.514 --> 00:28:35.858]  How are they going to cover this up when Joe Biden's on tape saying, China is not our enemy.
[00:28:36.098 --> 00:28:37.279]  China should run America.
[00:28:37.499 --> 00:28:39.781]  And Pelosi's saying, China would prefer Joe Biden.
[00:28:40.121 --> 00:28:43.524]  And the Washington Post and New York Times, oh, China should stop Trump.
[00:28:43.844 --> 00:28:44.725]  China's our friend.
[00:28:44.765 --> 00:28:45.505]  Trump's our enemy.
[00:28:45.786 --> 00:28:48.568]  I mean, these people are openly proud of their treason.
[00:28:48.868 --> 00:28:49.789]  They celebrate it.
[00:28:55.874 --> 00:28:57.235]  But I'm going to tell you next segment,
[00:28:59.540 --> 00:29:01.620]  I mentioned it at the first of the show, but a lot of people just joined us.
[00:29:01.841 --> 00:29:05.921]  I'm going to read quotes from the FBI files about somebody.
[00:29:07.242 --> 00:29:10.202]  And I'm going to ask you to ask yourself, what time did this happen?
[00:29:10.242 --> 00:29:11.403]  When did this happen historically?
[00:29:11.683 --> 00:29:12.703]  And who is this man?
[00:29:12.923 --> 00:29:17.664]  It's a man who I was extremely, I mean, I was honored to know him back then.
[00:29:18.884 --> 00:29:24.865]  I mean, but now I just couldn't believe I was with like this super patriot way ahead of his time.
[00:29:25.066 --> 00:29:26.266]  People think I'm ahead of my time.
[00:29:30.188 --> 00:29:30.348]  No.
[00:29:31.508 --> 00:29:32.428]  This guy was ahead of his time.
[00:29:32.769 --> 00:29:34.649]  And you read the reports he put out.
[00:29:35.689 --> 00:29:37.530]  And they've still got most of his reports classified.
[00:29:37.930 --> 00:29:40.630]  A year ago, they released some of his reports on Twitter.
[00:29:42.071 --> 00:29:43.651]  And every damn bit of it was accurate.
[00:29:46.832 --> 00:29:47.952]  Let's come in with the Renegades.
[00:29:48.572 --> 00:29:49.112]  Next segment.
[00:29:50.032 --> 00:29:51.073]  Thank God for the Renegades.
[00:29:51.113 --> 00:29:51.833]  Far ahead of their time.
[00:29:51.973 --> 00:29:53.113]  Let's look at these articles again.
[00:29:54.141 --> 00:29:54.481]  Breaking!
[00:29:54.921 --> 00:29:57.643]  Email from Hunter Biden's lawyer to computer shop owner.
[00:29:58.284 --> 00:30:00.265]  Reveals and confirms that it's a real laptop.
[00:30:00.705 --> 00:30:01.465]  And then it goes through it.
[00:30:02.326 --> 00:30:03.847]  New York Post says we can't publish it.
[00:30:03.907 --> 00:30:04.687]  It's pedophilia.
[00:30:05.268 --> 00:30:07.589]  Chai Com Dissident predicts Hunter Biden laptop leak.
[00:30:07.829 --> 00:30:08.450]  September video.
[00:30:08.490 --> 00:30:11.231]  Go watch the full video and read the subtitles for yourself.
[00:30:11.732 --> 00:30:13.313]  We had Chinese speakers check it.
[00:30:14.433 --> 00:30:16.014]  And they said it's even worse than they're saying.
[00:30:16.034 --> 00:30:17.075]  It's not extreme pedophilia.
[00:30:17.295 --> 00:30:19.917]  It's extreme torture of children and rape.
[00:30:21.478 --> 00:30:22.098]  Bye Hunter Biden.
[00:30:24.312 --> 00:30:27.574]  By groups that predicted this was coming out weeks before it did.
[00:30:29.976 --> 00:30:31.057]  Senators confirming it.
[00:30:31.357 --> 00:30:32.357]  All of it coming out.
[00:30:32.578 --> 00:30:33.678]  What are they going to do?
[00:30:34.199 --> 00:30:38.101]  How are they going to strike back with the quote sex tapes the media is spinning?
[00:30:38.141 --> 00:30:40.403]  And it's not sex tapes, it's rape tapes.
[00:30:43.479 --> 00:30:46.621]  And folks ask, why hasn't this all come out more?
[00:30:47.161 --> 00:31:00.148]  Because the whole corporate media are PR stunts, and they've all now signed on to this taking the money, and now they all just want more of the money, and so they're not actually torturing little girls, they're not raping little girls, no!
[00:31:01.429 --> 00:31:11.314]  They're not stealing their essence themselves, they're taking money from those that did it, becoming even lower than those that are so soulless, so selfish, so sick,
[00:31:12.503 --> 00:31:15.405]  That they're proud of what they've done.
[00:31:17.046 --> 00:31:20.129]  Because if the Bidens can get away with this, they can get away with anything.
[00:31:20.169 --> 00:31:22.150]  And think how the Communist Chinese own them.
[00:31:22.491 --> 00:31:24.072]  Think of what they're demanding from them.
[00:31:24.272 --> 00:31:24.632]  Look at this.
[00:31:25.713 --> 00:31:30.677]  Burisma advisor told Hunter Biden his ultimate purpose was to close down investigations.
[00:31:31.357 --> 00:31:36.842]  I mean, this is the most open and shut paper play bribery I've ever seen.
[00:31:36.942 --> 00:31:38.243]  And they confirm it's real now!
[00:31:39.361 --> 00:31:39.701]  Wow!
[00:31:39.961 --> 00:31:43.963]  And the whole, not a word from CNN, not a word from ABC.
[00:31:44.183 --> 00:31:53.267]  Remember the famous, it was an ABC News host lady said, oh we knew about the little kids, the sex slaves, Jeffrey Epstein's Island, but we were told to shut it down because it hurt the Clintons.
[00:31:53.467 --> 00:31:56.948]  And the woman says, I'm just mad because I'd be famous if I broke it.
[00:31:57.288 --> 00:32:00.910]  She wasn't worried about the kids, because if she was worried, she'd have broke it anyways.
[00:32:01.170 --> 00:32:03.031]  She was worried that she didn't get to break it.
[00:32:03.331 --> 00:32:04.852]  Talk about a soulless whore!
[00:32:05.052 --> 00:32:05.692]  We'll be right back.
[00:32:08.797 --> 00:32:09.300]  The cross.
[00:32:09.943 --> 00:32:11.994]  The cross was the solution.
[00:32:13.223 --> 00:32:15.045]  Welcome back, I'm your host Alex Jones.
[00:32:15.185 --> 00:32:28.215]  Mike Adams of Natural News has done his own research on his wife's Taiwanese and watched the different videos and confirmed our sources saying they even said more, not just rape of children, but torture of children by Hunter Biden.
[00:32:28.836 --> 00:32:29.917]  He's going to be joining us.
[00:32:29.937 --> 00:32:36.322]  Then I'm going to co-host with Owen Schroer on the new Sunday Live, 6 to 8 p.m., coming up this evening.
[00:32:36.342 --> 00:32:39.344]  And remember, this is not a spectator sport.
[00:32:39.404 --> 00:32:41.106]  Your word of mouth isn't just important.
[00:32:41.206 --> 00:32:42.567]  It's King Daddy.
[00:32:43.868 --> 00:32:45.989]  And you've recognized how big all this news is.
[00:32:46.490 --> 00:32:50.792]  Breaking Hunter Biden's laptop, confirmed by his lawyers to be accurate, to be real.
[00:32:51.653 --> 00:32:54.374]  Being blackmailed by the Communist Chinese, by the Ukrainians.
[00:32:55.075 --> 00:32:59.057]  His father admitting it in public, I guess to hide it in plain view because he was worried about it.
[00:32:59.998 --> 00:33:03.860]  The reports of sex, rape, torture of underage children.
[00:33:05.141 --> 00:33:08.323]  Raping them itself was a form of torture, but actually beating the living hell out of them.
[00:33:08.743 --> 00:33:12.926]  Doing other unspeakable things, quote, not treating them like human beings, that's all coming up.
[00:33:14.636 --> 00:33:18.359]  I was thinking about this this morning, very early this morning, like 6 a.m., drinking coffee.
[00:33:19.179 --> 00:33:25.924]  I was thinking about an old friend of mine, who probably was on the show 60, 70 times.
[00:33:26.965 --> 00:33:30.447]  With John DeCamp, who was another great patriot, God rest his soul.
[00:33:31.308 --> 00:33:33.830]  And just all these other people, and I didn't take them for granted.
[00:33:34.878 --> 00:33:42.184]  Having General Benton Parton and all these legends on, but I mean, now in hindsight, man, these guys were amazing.
[00:33:42.645 --> 00:33:47.569]  I mean, it's one thing to know this stuff in 2020, but imagine being Ted Gunderson.
[00:33:49.110 --> 00:33:50.811]  Groomed to run the FBI.
[00:33:51.111 --> 00:33:53.552]  Ran secret operations for the FBI.
[00:33:54.072 --> 00:33:56.693]  All their most secretive stuff for Jagger, Hoover.
[00:33:57.393 --> 00:33:58.514]  Groomed to be the head guy.
[00:33:59.174 --> 00:34:00.454]  And then he's out running the L.A.
[00:34:00.514 --> 00:34:02.495]  sector and he finds out about devil worship.
[00:34:03.316 --> 00:34:05.936]  And he gets shut down, not by Hoover, but by other groups.
[00:34:06.297 --> 00:34:08.137]  He retires so he can go after it.
[00:34:10.058 --> 00:34:11.018]  And the rest is history.
[00:34:11.959 --> 00:34:15.320]  Now you read what Gunderson said in the 80s when he retired.
[00:34:18.240 --> 00:34:21.281]  And it just reads like he had a time machine.
[00:34:22.941 --> 00:34:25.902]  So I was reading this on Wikipedia, and I thought, well, let me click the source.
[00:34:25.982 --> 00:34:28.023]  So I clicked it, it's the FBI website.
[00:34:29.503 --> 00:34:30.343]  So let's go ahead and read it.
[00:34:30.403 --> 00:34:34.744]  Ted Gunderson, born 1928, Colorado Springs, Colorado.
[00:34:35.304 --> 00:34:36.485]  Died July 31, 2011.
[00:34:36.625 --> 00:34:39.926]  I had him on like two weeks before he died.
[00:34:40.306 --> 00:34:41.366]  Totally in good spirits.
[00:34:42.409 --> 00:34:47.152]  Thanking me, thanking everybody, apologizing to black people for running COINTELPRO.
[00:34:47.192 --> 00:34:48.992]  It's Martin Luther King, Malcolm X, and others.
[00:34:49.453 --> 00:34:50.293]  I'm like, why are you doing this?
[00:34:50.333 --> 00:34:51.434]  Well, I feel bad about it.
[00:34:51.454 --> 00:34:53.015]  I meant well when I did it, but it was bad.
[00:34:53.275 --> 00:34:54.035]  Well, he was about to die.
[00:34:55.476 --> 00:34:58.057]  So we ought to find that interview from 2011, right before he died.
[00:34:58.678 --> 00:34:59.878]  He did like his last interview here.
[00:35:00.438 --> 00:35:01.139]  From a hospital bed.
[00:35:01.159 --> 00:35:02.920]  It's like beeping going on everything else.
[00:35:04.100 --> 00:35:05.121]  And died of cancer.
[00:35:06.476 --> 00:35:15.163]  I don't go over his whole early life, the whole nine yards, but he ran the Dallas sector and LA and Memphis and a bunch of other important areas of the FBI.
[00:35:15.623 --> 00:35:16.384]  Saw everything.
[00:35:19.076 --> 00:35:33.142]  And then it gets into Gunderson, now listen to this, from his own FBI file, warned about the proliferation of a secret occultist group and the danger posed with the New World Order, an alleged shadow government that would be controlling the United States government.
[00:35:33.642 --> 00:35:42.426]  He also claimed that a slave auction, and he's using these terms, shadow government, all this, okay, a slave auction in which children were sold by Saudi Arabian agents.
[00:35:42.746 --> 00:35:44.687]  Turns out Clinton would fly to this private island
[00:35:45.814 --> 00:35:47.317]  In the Mediterranean and actually do this.
[00:35:47.838 --> 00:35:49.460]  Two men have been held in Vegas.
[00:35:50.282 --> 00:35:50.822]  Let me start over.
[00:35:51.874 --> 00:36:02.259]  Gunderson warned about the proliferation of secret occultists from his FBI file groups and the danger posed by the New World Order, an alleged shadow government that would be controlling the United States government.
[00:36:02.879 --> 00:36:15.926]  He also claimed a slave auction in which children were sold by Saudi Arabian agents to men had been held in Las Vegas and that 4,000 ritual human sacrifices are performed in New York City every year alone.
[00:36:17.210 --> 00:36:19.071]  Well he didn't just say all this, he released it.
[00:36:19.512 --> 00:36:23.194]  They just brought out the finders file run by the CIA last year.
[00:36:23.555 --> 00:36:25.956]  His files, all of it turned out to be accurate.
[00:36:27.097 --> 00:36:28.378]  Snuff films, you name it.
[00:36:28.418 --> 00:36:29.279]  I mean, God help us.
[00:36:30.540 --> 00:36:35.223]  He also wanted to say that the 95 Oklahoma City building bombing was carried out by the US government.
[00:36:35.243 --> 00:36:36.024]  He actually said the Clintons.
[00:36:36.943 --> 00:36:47.648]  Gunnarsson knew that the United States, there is a secret widespread network of groups who kidnap children and infants and subject them to ritual abuse and subsequent human sacrifice in many cases.
[00:36:49.609 --> 00:36:52.051]  In Labello vs FBI, Gunnarsson
[00:36:53.030 --> 00:37:02.635]  Submitted an affidavit stating, among other things, that thousands of victims have been targeted by an illegal government rogue criminal enterprise that is active 24 hours a day within the U.S.
[00:37:03.035 --> 00:37:09.499]  whose administration can instantly initiate surveillance, phone taps, and harassment against any individual in the country.
[00:37:10.740 --> 00:37:13.461]  And the affidavit is used by some individuals just, and it goes on.
[00:37:14.362 --> 00:37:15.622]  And of course, I've been through this.
[00:37:16.463 --> 00:37:17.103]  I've dealt with it.
[00:37:17.143 --> 00:37:17.683]  This is real.
[00:37:17.763 --> 00:37:20.465]  But, but, it just goes on from there.
[00:37:22.469 --> 00:37:23.710]  But they didn't just do that.
[00:37:23.790 --> 00:37:25.090]  Notice that's the FBI website.
[00:37:27.051 --> 00:37:32.514]  They exposed the Franklin cover-up and got a bunch of people busted in the RNC running kits.
[00:37:33.295 --> 00:37:35.776]  They exposed the finders and got that shut down in D.C.
[00:37:37.977 --> 00:37:43.240]  And Gunderson would race all around the country where like cops in Florida, state police pull over a van
[00:37:44.446 --> 00:37:45.566]  It was driving suspiciously.
[00:37:45.586 --> 00:37:50.987]  There's like six kids in the back, ages three to nine, scantily clad.
[00:37:51.367 --> 00:37:54.928]  There's semen stains all over the mattress.
[00:37:55.128 --> 00:37:56.448]  The kids are begging for mommy.
[00:37:56.748 --> 00:37:57.449]  They take them in.
[00:37:57.489 --> 00:37:58.809]  They find a card to finders.
[00:37:59.749 --> 00:38:01.389]  The police raid the facility.
[00:38:01.429 --> 00:38:02.270]  It's CIA.
[00:38:02.490 --> 00:38:04.590]  They've got uplinks, thousands of snuff films.
[00:38:05.030 --> 00:38:08.931]  I mean, all this even came out in the Washington Times, but no one got in trouble.
[00:38:09.471 --> 00:38:19.820]  And it was Ted Gunnarsson, who then, I didn't tell you this part, they test his blood, they put the test out, they hit him with enough arsenic to kill three or four horses, is what the doctor said.
[00:38:21.101 --> 00:38:28.267]  His fingers all turned black, his toes, till the tips of his toes fell off, and he still lived a couple years after that.
[00:38:31.850 --> 00:38:37.115]  They released the medical reports, where they went and he had, again, enough arsenic to kill three or four horses, is what they said.
[00:38:39.102 --> 00:38:42.184]  So, folks, think about that.
[00:38:42.524 --> 00:38:47.166]  Think about the media and all these cowards that have been covering this up forever that think it's cute.
[00:38:48.387 --> 00:38:50.088]  What do you think the mansion murders were?
[00:38:50.188 --> 00:38:53.409]  He knew that was a satanic murder cult killing a pregnant woman.
[00:38:53.749 --> 00:38:59.953]  There was another murder cult, which he first exposed, that he knew about as the director of the FBI in Southern California.
[00:39:02.474 --> 00:39:06.336]  And then he went and investigated it and discovered that, sure as hell, this is what they were doing.
[00:39:07.858 --> 00:39:11.280]  They would go in and say that some husband, you know, had murdered his wife.
[00:39:11.561 --> 00:39:12.321]  But they'd get there.
[00:39:12.341 --> 00:39:15.984]  There'd be blood, pentagrams, babies hanging by their umbilical cords.
[00:39:16.564 --> 00:39:17.264]  And they're like, what?
[00:39:17.284 --> 00:39:18.345]  They kept running into it.
[00:39:18.425 --> 00:39:21.067]  And I mean, Ted Gunnarsson grew up in Colorado.
[00:39:21.587 --> 00:39:22.988]  He was a cowboy.
[00:39:23.028 --> 00:39:24.229]  He didn't know any of this stuff.
[00:39:27.151 --> 00:39:30.974]  But he ran face forward into it and didn't
[00:39:32.495 --> 00:39:34.356]  Ignore it like most cowards do, or join it.
[00:39:34.416 --> 00:39:35.116]  He took it on.
[00:39:35.517 --> 00:39:38.458]  And man, he discovered devil worshipping bases at Fort Hood.
[00:39:38.818 --> 00:39:41.019]  He discovered child kidnapping rings.
[00:39:41.059 --> 00:39:42.460]  He discovered child trafficking.
[00:39:42.740 --> 00:39:44.781]  He discovered the whole thing.
[00:39:48.403 --> 00:39:49.464]  And so you read that...
[00:39:50.646 --> 00:39:53.528]  And you think about what he said, and now how it's all come true.
[00:39:53.988 --> 00:39:54.608]  Terms he used.
[00:39:54.748 --> 00:39:55.589]  Shadow government.
[00:39:56.469 --> 00:40:02.393]  Using rings of kidnapped children to compromise politicians, scientists, bankers, and other academics.
[00:40:03.253 --> 00:40:05.755]  You gotta go watch, you know, they've taken down videos.
[00:40:05.775 --> 00:40:07.016]  He had 3 or 4 million views.
[00:40:07.276 --> 00:40:08.797]  You can barely even find his stuff.
[00:40:09.337 --> 00:40:10.338]  I was trying to find it on YouTube.
[00:40:10.358 --> 00:40:11.118]  It's all been taken down.
[00:40:11.398 --> 00:40:14.600]  Or like, this person put it up, it's got 100 views here, 500 there.
[00:40:15.020 --> 00:40:19.263]  I'm gonna find his speeches, and we're gonna put them at Bandod Video.
[00:40:22.506 --> 00:40:27.129]  But he laid it all out, folks, and now we know he was accurate.
[00:40:28.630 --> 00:40:38.477]  But the question is, what is the deep state that set up Communist China and uses the blackmail system to corrupt the U.S.
[00:40:39.277 --> 00:40:40.378]  for plausible liability?
[00:40:40.438 --> 00:40:41.379]  This is deeper than China.
[00:40:41.859 --> 00:40:46.783]  What are they going to do now that the wheels are off and that it's coming out that Hunter did all this?
[00:40:47.383 --> 00:40:51.866]  And as the bag man for the family knew he was going in to rape little girls on video.
[00:40:51.886 --> 00:40:54.127]  I mean, they know when they go to Epstein Island.
[00:40:54.367 --> 00:40:55.188]  They know when they do that.
[00:40:55.368 --> 00:41:04.193]  Bill Gates was paying Epstein, it's come out, to corrupt hundreds of top scientists so Bill Gates can run all the hospitals, all the big science centers, all the vaccine companies.
[00:41:04.433 --> 00:41:07.776]  You wonder, like, why does Bill Gates go on TV and say he runs the world medicine?
[00:41:08.016 --> 00:41:09.957]  Because they set up the same stuff with them!
[00:41:11.098 --> 00:41:11.858]  It's all come out!
[00:41:13.539 --> 00:41:14.680]  This is about power!
[00:41:16.869 --> 00:41:24.014]  And they tell these rich scientists, hey, we'll give you $50 million, you just gotta have sex with a 12-year-old girl.
[00:41:25.695 --> 00:41:26.896]  And that's what they do, folks.
[00:41:28.577 --> 00:41:30.019]  And that's how they control everybody.
[00:41:30.819 --> 00:41:31.580]  They think it's cute.
[00:41:31.600 --> 00:41:37.104]  There it is, Bill Gates met with Jeffrey Epstein many times, despite the fact that it all came out.
[00:41:37.144 --> 00:41:38.765]  He lived in his house, he stayed with him.
[00:41:39.045 --> 00:41:40.986]  He did it all because it was a blackmail ring.
[00:41:41.367 --> 00:41:42.908]  Zorro Ranch, all of it.
[00:41:44.292 --> 00:41:51.515]  They're not just getting mothers to have surrogate babies, you know, an army of Jeffrey Epstein, Bill Gates babies.
[00:41:51.935 --> 00:41:53.696]  You know what they're doing to those babies, right?
[00:41:54.116 --> 00:42:04.240]  You know what Gunderson said is, they'd have brood mothers at ranches in New Mexico, he even said New Mexico and California, where they would breed women with children for sacrifice.
[00:42:07.881 --> 00:42:08.822]  I mean, wow!
[00:42:09.122 --> 00:42:10.822]  But it's so evil, we can't deal with it.
[00:42:11.102 --> 00:42:12.263]  Hour number two coming up.
[00:42:18.046 --> 00:42:20.729]  All right, we're now at number two of this live Sunday transmission.
[00:42:20.789 --> 00:42:22.852]  Coming up, this is just now breaking Daily Mail.
[00:42:23.312 --> 00:42:31.823]  More trouble for Joe Biden as Ukrainian lawmaker claims second laptop belonging to Hunter's business contacts in the country has been seized by law enforcement.
[00:42:31.863 --> 00:42:34.967]  Hunter, again, was absolutely out of control.
[00:42:36.511 --> 00:42:38.173]  So much is breaking right now.
[00:42:38.213 --> 00:42:42.599]  We're going to talk with Mike Adams about where all this is going and the rest of the story in a moment.
[00:42:42.639 --> 00:42:47.184]  But the 26-minute interview with Daily Caller, the host does a terrible job.
[00:42:47.685 --> 00:42:50.708]  Interrupts him, tries to act like Giuliani's the bad guy.
[00:42:51.049 --> 00:42:51.950]  This is all on record.
[00:42:52.250 --> 00:42:53.472]  But Giuliani still kicked ass.
[00:42:53.732 --> 00:42:54.653]  Here's a few minutes of that.
[00:42:54.673 --> 00:42:55.855]  We're going to come back and go to Mike Adams.
[00:42:56.448 --> 00:43:04.991]  ...told the FBI agent he was afraid, he was afraid of consequences... So he didn't, this man, he didn't give you guys the copy of the hard drive and pass over the actual hard drive to the FBI?
[00:43:05.031 --> 00:43:06.112]  No, he gave it to the FBI first.
[00:43:06.272 --> 00:43:06.492]  Okay.
[00:43:06.572 --> 00:43:07.812]  And he waited four or five months.
[00:43:07.932 --> 00:43:08.813]  Why do you think he held on to it?
[00:43:09.493 --> 00:43:14.175]  Well, he held on to four, he held on to four copies of it, he gave two to friends of his in case he was killed.
[00:43:14.795 --> 00:43:14.915]  Huh.
[00:43:15.235 --> 00:43:18.657]  And he was afraid, and don't laugh, people... It's serious, yeah.
[00:43:18.697 --> 00:43:21.718]  The presidency is at stake here, and we have some very dangerous people involved.
[00:43:21.878 --> 00:43:22.018]  Fair.
[00:43:23.148 --> 00:43:24.409]  Welcome back, Daily Caller.
[00:43:24.509 --> 00:43:27.071]  I am Senior White House Correspondent Christian Detock.
[00:43:27.131 --> 00:43:32.795]  I'm sitting down today with none other than Mayor Rudy Giuliani, President Trump's personal attorney.
[00:43:32.815 --> 00:43:36.858]  We're going to be talking about all of the Hunter Biden news that's come out over the past few days.
[00:43:37.178 --> 00:43:38.339]  Mr. Mayor, thanks for joining us.
[00:43:38.579 --> 00:43:39.160]  Thank you, Christian.
