[00:00:00.409 --> 00:00:03.751]  They're actually admitting day one up front, that's it.
[00:20:20.656 --> 00:20:20.956]  USA!
[00:20:21.036 --> 00:20:21.176]  USA!
[00:20:21.596 --> 00:20:21.696]  USA!
[00:20:21.736 --> 00:20:21.976]  USA!
[00:20:21.996 --> 00:20:22.296]  USA!
[00:20:22.316 --> 00:20:22.497]  USA!
[00:20:22.517 --> 00:20:22.597]  USA!
[00:20:22.637 --> 00:20:22.757]  USA!
[00:20:22.897 --> 00:20:22.977]  USA!
[00:20:22.997 --> 00:20:23.217]  USA!
[00:20:23.297 --> 00:20:23.517]  USA!
[00:20:23.557 --> 00:20:23.737]  USA!
[00:20:23.757 --> 00:20:23.817]  USA!
[00:20:23.837 --> 00:20:23.957]  USA!
[00:20:24.217 --> 00:20:24.298]  USA!
[00:20:24.878 --> 00:20:25.138]  USA!
[00:20:25.158 --> 00:20:25.618]  USA!
[00:20:25.638 --> 00:20:25.938]  USA!
[00:20:26.058 --> 00:20:26.138]  USA!
[00:20:26.158 --> 00:20:26.399]  USA!
[00:20:26.579 --> 00:20:26.699]  USA!
[00:20:27.479 --> 00:20:36.747]  Whether you are old, whether you are young, whether you are black, whether you are white, you are essential.
[00:20:37.367 --> 00:20:39.989]  America is essential.
[00:20:40.150 --> 00:20:50.538]  And this is 21st century war attempting to shut us down, and Texas is leading the way against these tyrants, and I am honored to be with you.
[00:20:51.220 --> 00:20:53.204]  That's the sign!
[00:20:53.264 --> 00:20:54.367]  The sign says it all!
[00:20:54.828 --> 00:20:55.229]  Choose freedom!
[00:20:55.730 --> 00:20:56.572]  Choose action!
[00:20:59.315 --> 00:20:59.796]  USA!
[00:21:00.236 --> 00:21:01.317]  USA!
[00:21:01.697 --> 00:21:02.137]  USA!
[00:21:02.658 --> 00:21:03.959]  USA!
[00:21:04.279 --> 00:21:04.339]  USA!
[00:21:24.455 --> 00:21:24.936]  USA!
[00:21:25.156 --> 00:21:25.996]  USA!
[00:21:26.176 --> 00:21:26.737]  USA!
[00:21:27.177 --> 00:21:27.677]  USA!
[00:21:27.757 --> 00:21:29.999]  The shutdown is over!
[00:21:30.079 --> 00:21:34.962]  The globalist hoax is over!
[00:21:35.302 --> 00:21:38.244]  The Tycoon bio-attack is over!
[00:21:38.505 --> 00:21:43.268]  And Texas, as goes Texas, so goes the nation!
[00:21:43.548 --> 00:21:46.730]  And we are leading the way out of this fraud!
[00:21:47.030 --> 00:21:49.992]  God bless you, and God bless Texas!
[00:21:52.172 --> 00:21:59.414]  We don't live in fear of some made-up virus.
[00:21:59.614 --> 00:22:07.837]  We know the globalists and the media are the enemy, and America is the worst.
[00:22:08.017 --> 00:22:09.517]  I salute you all!
[00:22:09.537 --> 00:22:10.378]  1776 worldwide!
[00:22:10.418 --> 00:22:12.418]  Texas worldwide!
[00:22:12.598 --> 00:22:12.858]  USA!
[00:22:13.038 --> 00:22:13.599]  USA!
[00:22:13.799 --> 00:22:13.959]  USA!
[00:22:21.901 --> 00:22:38.404]  You know, I didn't even start the broadcast today with the fact that all over the country people came out and said this is a bunch of BS.
[00:22:47.711 --> 00:22:51.774]  The flu kills 37,000 people, 35,000 people on average.
[00:22:51.975 --> 00:22:58.580]  The biggest year since the Spanish flu was, and that was like 50 million worldwide, they think, was 80,000 in 2018.
[00:22:58.640 --> 00:23:03.724]  Boy, I thought being vaccinated for it would protect you.
[00:23:04.205 --> 00:23:08.809]  Studies actually show it lowers your immunity to other flu viruses when you take the flu vaccine.
[00:23:08.829 --> 00:23:13.513]  And the crazy part is, Bill Gates doesn't even deny that now when he goes on TV.
[00:23:14.445 --> 00:23:17.166]  He's like, oh, well, you know, I can't imitate him very well.
[00:23:17.846 --> 00:23:22.067]  But he's, it turns out flu vaccines don't work very well.
[00:23:22.087 --> 00:23:26.568]  And he giggles about it.
[00:23:27.168 --> 00:23:30.809]  So now he's got a cold virus for you.
[00:23:32.209 --> 00:23:39.571]  Most people don't die from a cold virus, but if you take a cold virus vaccine, just like other viruses, it'll lower your immunity.
[00:23:41.280 --> 00:23:42.641]  And so now he's got that for you.
[00:23:43.461 --> 00:23:45.963]  And God knows what else he's loaded up in that baby.
[00:23:46.483 --> 00:23:50.005]  I mean, you type in Bill Gates sponsored vaccine programs, killing people all over the world.
[00:23:50.445 --> 00:23:54.087]  I mean, they used to wave the white doctors in Africa over.
[00:23:55.048 --> 00:23:56.849]  Now they run from them or they try to kill them.
[00:23:57.629 --> 00:24:00.491]  Because the Natives will tell you, you take that shot, you never have a baby again.
[00:24:01.011 --> 00:24:02.392]  You take that shot, you get cancer.
[00:24:02.412 --> 00:24:04.513]  You take that shot, you have a convulsion.
[00:24:04.573 --> 00:24:06.154]  They are loading them full of stuff.
[00:24:06.435 --> 00:24:07.475]  And I can play you Bill Gates.
[00:24:07.515 --> 00:24:10.257]  I played it probably five times last week, 10 times or more.
[00:24:11.601 --> 00:24:16.642]  He said, oh, we're going to have a planetary vaccine, and it's going to hurt 700,000 people at least.
[00:24:17.202 --> 00:24:18.822]  So we need liability protection.
[00:24:19.002 --> 00:24:19.402]  Unbelievable.
[00:24:19.722 --> 00:24:21.743]  Robert Barnes was on Fox News last night.
[00:24:22.803 --> 00:24:24.403]  Famous constitutional lawyer in studio.
[00:24:24.443 --> 00:24:27.704]  Robert Barnes threatens lawsuits against tyrannical Democrat governors.
[00:24:27.964 --> 00:24:28.564]  He'll be in studio.
[00:24:34.005 --> 00:24:38.926]  From the front lines of the information war, it's Alex Jones.
[00:24:43.027 --> 00:24:45.288]  You know, I've not been choking lately on air.
[00:24:45.608 --> 00:24:52.471]  I'm never lost for words, but I've been having to more and more just go to special reports because I am completely enraged.
[00:24:54.231 --> 00:24:58.593]  We know the communist Chinese, working with the deep state, released this virus on purpose.
[00:24:59.193 --> 00:25:00.834]  We know they lied about what was going to happen.
[00:25:00.874 --> 00:25:02.774]  We know they then hyped it up to shut down our economy.
[00:25:03.475 --> 00:25:09.097]  We know that they have the very fact checkers running Facebook censorship and Washington Post censorship.
[00:25:09.637 --> 00:25:12.438]  They're telling the president, shut up, work at the Wuhan lab.
[00:25:12.858 --> 00:25:14.660]  I cannot make this up.
[00:25:14.720 --> 00:25:23.910]  It's a very small group of technocrats in big tech and in big pharma that are running all this, and that's really what Bill Gates is, is a big pharma tyrant, a eugenicist.
[00:25:23.970 --> 00:25:27.954]  So, the good news is all over the country people are calling it.
[00:25:29.335 --> 00:25:30.236]  We're talking 90-95%.
[00:25:31.297 --> 00:25:34.421]  Robert Barnes, constitutional lawyer, really does a great job breaking the numbers down.
[00:25:35.333 --> 00:25:39.096]  But this thing is way, way lower, 90% at least, what they said.
[00:25:39.256 --> 00:25:44.501]  Even if we had total shutdown, it's 90% lower, or 10% of what it would have been.
[00:25:46.394 --> 00:25:47.474]  But now you're seeing the headlines.
[00:25:47.995 --> 00:25:51.316]  Well, look, this curve isn't totally, you know, bell-shaped.
[00:25:52.036 --> 00:25:55.797]  Oh my gosh, it's kind of going up and down again because it's so flatlined.
[00:25:55.837 --> 00:25:56.977]  It's just bumping along.
[00:25:57.337 --> 00:26:02.099]  So now they're zooming in on the lower curve, telling you to forget what they said before.
[00:26:02.399 --> 00:26:04.640]  And MIT is telling you this and MIT is telling you that.
[00:26:04.940 --> 00:26:06.520]  But Americans are going back to the beach.
[00:26:06.760 --> 00:26:07.761]  They're going back to church.
[00:26:07.801 --> 00:26:09.501]  Federal judges are ruling they can't do this.
[00:26:09.801 --> 00:26:11.102]  They can't walk America down.
[00:26:11.382 --> 00:26:12.122]  We have a Bill of Rights.
[00:26:12.142 --> 00:26:13.142]  We have a Constitution.
[00:26:13.583 --> 00:26:14.623]  And so they're freaking out.
[00:26:15.856 --> 00:26:18.500]  I've seen the media call Alex Jones as children.
[00:26:19.081 --> 00:26:20.443]  Why his children need to be taken.
[00:26:20.463 --> 00:26:26.030]  He went out to a demonstration yesterday even though it's free speech and I'm quote essential because I'm media.
[00:26:26.211 --> 00:26:27.132]  Everybody's essential.
[00:26:27.733 --> 00:26:31.618]  They have to get rid of racism which is a good thing because people woke up to it and said no to it.
[00:26:32.259 --> 00:26:32.880]  Christians did.
[00:26:32.940 --> 00:26:35.882]  So now it's, oh, essential, non-essential.
[00:26:36.162 --> 00:26:38.704]  It's a new class system being brought in.
[00:26:38.724 --> 00:26:39.685]  And Robert Barnes is here.
[00:26:40.205 --> 00:26:42.187]  He was on Fox News last night.
[00:26:42.527 --> 00:26:46.310]  Attorney Robert Barnes threatens lawsuit against tyrannical Democrat governors.
[00:26:46.350 --> 00:26:48.352]  Well, he didn't threaten the lawsuit.
[00:26:48.652 --> 00:26:52.475]  He filed one in Michigan, and he's got a bunch of others ready.
[00:26:52.735 --> 00:26:54.276]  So, Robert Barnes, tell us what's happening.
[00:26:54.316 --> 00:26:54.837]  Good to have you here.
[00:26:55.097 --> 00:26:55.517]  Absolutely.
[00:26:55.577 --> 00:27:02.502]  So we filed suit against the governor of Michigan for violation of First Amendment rights, Second Amendment rights, Fourth Amendment rights, and Fifth Amendment rights.
[00:27:02.943 --> 00:27:04.464]  We are going to be filing suit.
[00:27:05.144 --> 00:27:11.409]  We also filed suit against the mayor of Chattanooga, my hometown, who was denying people the ability to do drive-in Easter services.
[00:27:12.029 --> 00:27:15.752]  And he actually retracted within eight hours of receiving notice of the suit.
[00:27:16.232 --> 00:27:18.494]  So hopefully other politicians will follow suit.
[00:27:18.894 --> 00:27:20.215]  But we are looking at filing suit.
[00:27:20.235 --> 00:27:29.941]  We've received requests from people all across the country to file First Amendment, either First Amendment, Second Amendment, Fourth or Fifth Amendment claims against various mayors and governors.
[00:27:30.341 --> 00:27:46.152]  This includes and what we are looking at is filing suits against the governors of Maine, governor of New Jersey, governor of New Hampshire, the governor of Maryland, the governor of California, the governor of Nevada, and potential suits also in Washington and Oregon.
[00:27:47.153 --> 00:27:50.656]  And there are other lawyers helping out and other lawyers filing suits as well.
[00:27:50.676 --> 00:28:05.508]  We're going to make our suits publicly available, all the language of them, all the legal briefs behind them, so that people can cut and paste at will, no copyright assertion, just borrow, use as needed and necessary so that people can file their own legal claims all across the country.
[00:28:05.648 --> 00:28:13.675]  So instead of having fake Thoros, Bill Gates funded lawfare against patriots, these are people filing really well written suits.
[00:28:14.455 --> 00:28:18.317]  For everybody's Bill of Rights, everybody's Constitution, just to get them off our back.
[00:28:18.577 --> 00:28:22.820]  Not to shut down other people's speech, not to hurt somebody, but to make government leave us alone.
[00:28:23.020 --> 00:28:23.580]  Exactly.
[00:28:23.960 --> 00:28:29.383]  The only thing the governors and mayors are going to respect, as the mayor of Chattanooga showed, is that if you file suit.
[00:28:29.423 --> 00:28:30.704]  Because here's what the risks they face.
[00:28:30.744 --> 00:28:31.905]  They face the risk that a court
[00:28:32.385 --> 00:28:32.465]  Yes.
[00:28:54.022 --> 00:28:55.323]  They issued citations.
[00:28:55.623 --> 00:28:58.024]  They issued child endangerment citations.
[00:28:58.465 --> 00:29:01.186]  I'm receiving a word from different people across the country.
[00:29:01.466 --> 00:29:06.269]  People's custody of their children is being threatened based on public participation in public protests.
[00:29:06.589 --> 00:29:09.331]  This is all outrageous constitutional violations.
[00:29:09.751 --> 00:29:16.955]  I brought some of the very first First Amendment claims against those kind of actions, both in New York on behalf of Wesley Snipes many years ago.
[00:29:17.775 --> 00:29:27.502]  And in Tennessee, when I was a kid lawyer, where the judge was surprised that the word Constitution was being used in court, which was a sort of early alert signal that we had some problems in the judiciary.
[00:29:27.862 --> 00:29:30.104]  We're going to be bringing cases as many places as possible.
[00:29:30.124 --> 00:29:33.826]  We're going to create the template so that people can cut and paste and bring their own cases.
[00:29:34.146 --> 00:29:43.893]  The goal is to educate governors, educate mayors, educate politicians that they face meaningful risk and exposure if they continue to oppress and suppress people's civil rights
[00:29:43.953 --> 00:29:47.454]  And I want to get more into that and play your Fox piece when we come back, but let's get into this.
[00:29:48.294 --> 00:29:56.635]  When you've been doing your new show you're doing here weeknights from 7 to 9 p.m., and when I say commercial-free, we've cut our network breaks out.
[00:29:56.675 --> 00:29:58.796]  The local breaks are there for radio and TV stations.
[00:29:58.816 --> 00:30:01.216]  A lot of folks are tuning in, a lot of stations are carrying it.
[00:30:01.236 --> 00:30:08.377]  They can find all the archives of that at Bandod Video right there in the American Countdown Robert Barnes section.
[00:30:08.397 --> 00:30:10.578]  Just click the left-hand side and it pulls down.
[00:30:11.198 --> 00:30:22.189]  You've shown all the official maps have been 5 times, 20 times, 30 times, on average about, what is it, 10 times bigger death rate, even if we did the lockdown social distancing.
[00:30:22.469 --> 00:30:25.533]  They said it would be, you know, up here, but really it's all the way down here.
[00:30:26.353 --> 00:30:27.314]  For TV viewers, I mean...
[00:30:28.504 --> 00:30:33.227]  Go over the numbers for radio listeners of just what a giant hoax this has been.
[00:30:33.607 --> 00:30:34.028]  Absolutely.
[00:30:34.068 --> 00:30:38.471]  So the panic from the pandemic was all about how hospitals were going to be over capacity.
[00:30:38.731 --> 00:30:42.153]  And this was the only public policy excuse for the shutdown.
[00:30:42.553 --> 00:30:58.244]  And while no shutdown like this has ever occurred in the modern history of pandemics anywhere in the world until now, they suddenly said that this pandemic posed such a unique risk that they had to take remedies that had never been approved of and had no scientific and medical literature support.
[00:30:58.604 --> 00:30:59.765]  From prior to this pandemic.
[00:31:00.185 --> 00:31:07.149]  So their basis was models, models out of the Imperial College of the United Kingdom, as well as models out of a University of Washington.
[00:31:07.390 --> 00:31:09.671]  And now they've revised theirs down over 90 percent.
[00:31:09.751 --> 00:31:13.593]  Everyone's like, oh, oh, then they go, oh, it's because you didn't go outside.
[00:31:13.693 --> 00:31:15.775]  No, it's nine times lower.
[00:31:15.815 --> 00:31:17.316]  I've saw on their numbers and put up their graphs.
[00:31:17.716 --> 00:31:20.678]  Then then what they even projected, if we were all locked up forever.
[00:31:20.898 --> 00:31:21.478]  Absolutely.
[00:31:21.558 --> 00:31:24.100]  And when they're discredited, they're a fraud.
[00:31:24.520 --> 00:31:24.880]  Absolutely.
[00:31:24.900 --> 00:31:29.122]  And one key to this is that there's a lag time for things like deaths, for things like hospitalizations.
[00:31:29.423 --> 00:31:34.125]  So the shutdown simply could not have had an impact on a large number of this data anyway.
[00:31:34.465 --> 00:31:46.191]  And so, and we're also seeing states and regions and locations that either shut down later or did not shut down at all, seeing the exact same results as those here and often better results than those places that did shut down earlier.
[00:31:46.571 --> 00:31:52.117]  So, for example, Sweden is not experiencing this hospitalization overcapacity, and they didn't shut down at all.
[00:31:52.417 --> 00:31:56.961]  Instead, they just said, protect the elderly, protect the vulnerable, practice practical social distancing.
[00:31:57.202 --> 00:31:57.582]  That's it.
[00:31:57.942 --> 00:32:00.285]  So, Taiwan did not shut down at all.
[00:32:00.505 --> 00:32:03.448]  They're experiencing one of the best outcomes, even though they neighbor China.
[00:32:04.108 --> 00:32:06.050]  South Korea did not shut down at all.
[00:32:06.250 --> 00:32:09.213]  They're not experiencing anything like the scale and scope of what we're experiencing.
[00:32:09.233 --> 00:32:10.054]  But let's go further.
[00:32:12.335 --> 00:32:17.860]  They admit, this is on record folks, that they're counting every death with a car wreck, heart attack, cancer, gunshot.
[00:32:18.220 --> 00:32:21.023]  If you test positive for COVID-19, they say you died of that.
[00:32:21.363 --> 00:32:22.905]  Bricks and Fauci admit that on TV.
[00:32:22.925 --> 00:32:23.645]  I've played the clips.
[00:32:24.086 --> 00:32:24.686]  But it gets worse.
[00:32:25.087 --> 00:32:33.514]  They admit that almost all the tests are 60 plus percent faulty and call any common cold virus
[00:32:34.415 --> 00:32:35.356]  COVID-19.
[00:32:35.616 --> 00:32:40.179]  So it's fraud upon fraud upon fraud upon fraud.
[00:32:40.379 --> 00:32:43.281]  Well, it's what Professor Ianidis from Stanford warned.
[00:32:43.681 --> 00:32:52.788]  He said that this was an evidence-based process and they were not using evidence and they were exaggerating data and exaggerating information and exaggerations have only got worse.
[00:32:53.088 --> 00:32:57.671]  You have Dr. whistleblowers all across the country reporting to people like Alex Berenson, the former
[00:32:58.031 --> 00:33:06.242]  I want to get her on how CDC is manipulating COVID-19 toll and that's again major whistleblower and other doctor coming out saying the same thing we're saying.
[00:33:06.883 --> 00:33:11.508]  Meanwhile in Germany they're arresting doctors and lawyers and people that come out and point this out.
[00:33:11.809 --> 00:33:14.993]  Exactly because in Europe there is no constitutionally protected free speech for the most part.
[00:33:15.353 --> 00:33:16.654]  And so we're seeing what's happening.
[00:33:16.714 --> 00:33:30.184]  I mean, this is, well, I mean, it's probably not a coincidence that Angela Merkel, the Chancellor of Germany, originally started out with all of this, saying, let's use the same approach that the German people used in World War II, which was, of course, under the Nazi regime.
[00:33:30.524 --> 00:33:36.869]  And they're employing the same tactics, similar techniques, similar methods, similar protocols, and it's the same thing happening on a mass scale.
[00:33:36.909 --> 00:33:37.830]  So let's be clear.
[00:33:38.795 --> 00:33:41.996]  We put the graphs up earlier from all these different universities and groups.
[00:33:42.776 --> 00:33:45.857]  That's why they're having to revise down to like 50,000 dead now.
[00:33:46.298 --> 00:33:50.939]  But then we realized, wait a minute, you're adding all these false positives to that.
[00:33:50.959 --> 00:33:51.339]  Right.
[00:33:51.539 --> 00:33:52.260]  And that's what they're admitting.
[00:33:52.280 --> 00:33:53.340]  Oh, they're all really old.
[00:33:53.360 --> 00:34:01.603]  What they do is they just list all the old people dying from COVID-19 and set up a giant martial law shutdown that threatens to actually create mass death.
[00:34:02.164 --> 00:34:07.012]  In fact, and what they're doing also is, that's why the relevant stat is excess fatalities.
[00:34:07.252 --> 00:34:13.602]  The actual using the baseline deaths of how many more deaths are happening than expected and actually that number has stayed below average by the CDC.
[00:34:13.622 --> 00:34:14.343]  Stay right there.
[00:34:28.260 --> 00:34:31.910]  He's now filing a civil rights lawsuit against the governor of Michigan.
[00:34:32.331 --> 00:34:35.700]  Alright, Mr. Barnes, what do you say in the lawsuit against the governor?
[00:34:37.150 --> 00:34:37.810]  It's very simple.
[00:34:37.850 --> 00:34:40.371]  There is no emergency exception to the Bill of Rights.
[00:34:40.451 --> 00:34:48.335]  The 14th Amendment requires that the governor respect the 1st, 2nd, 4th, 5th Amendment rights of the people of Michigan, and she has not done so.
[00:34:48.775 --> 00:34:50.035]  So President Trump is right.
[00:34:50.196 --> 00:34:58.119]  It's time to liberate Michigan from the governor who would call herself Queen, who effectively has decided to quarantine the Constitution instead of quarantining the virus.
[00:34:58.659 --> 00:35:13.892]  And so we have brought suit on behalf of people whose right to peaceably assemble, whose rights of their business and their profession and their occupation has been stripped of them without due process of law and their property taken away without just compensation as required under the First and Fifth Amendment to the U.S.
[00:35:13.932 --> 00:35:14.473]  Constitution.
[00:35:16.429 --> 00:35:24.625]  Do you believe that all of these state lockdowns, these shelter-in-places, the social mitigation, do you believe they're all unconstitutional?
[00:35:24.645 --> 00:35:28.371]  Or do you just believe that the Michigan governor went way overboard?
[00:35:29.930 --> 00:35:31.631]  The Michigan governor went way overboard.
[00:35:31.671 --> 00:35:42.713]  So there were some sincere efforts by many governors in places like Tennessee and Texas and some other locations to say that if you're exercising your constitutional rights, that is by definition essential activity.
[00:35:43.034 --> 00:35:48.175]  So if it's core constitutional liberty, it has to be essential activity exempt from any shutdown order.
[00:35:48.555 --> 00:35:55.557]  Unfortunately, the governor of Michigan, like some other governors in Virginia, we're going to be filing suit in other places too, went way beyond that.
[00:35:55.677 --> 00:36:00.040]  She banned people from buying seeds, buying flags, going out to the park, you name it.
[00:36:00.060 --> 00:36:00.661]  It's insane.
[00:36:01.782 --> 00:36:07.586]  Yeah, she was saying, like, you can go out in a lake in a kayak, but you can't go out in a lake in a motorboat.
[00:36:07.907 --> 00:36:08.928]  It doesn't make any sense.
[00:36:09.188 --> 00:36:22.979]  So also you have situations where people are now driving past their church, listening to the pastor preach on a megaphone, and police are actually, I guess on governor's orders, handing out fines in a tune of a thousand dollars.
[00:36:24.912 --> 00:36:25.433]  Oh, exactly.
[00:36:25.453 --> 00:36:41.193]  I mean, in my hometown, we ended up bringing suit against the mayor of Chattanooga, where I'm from in Chattanooga, because on Easter Sunday, he told all the pastors that if they went ahead with their drive-in church services, that he would use all of his power to punish them by any means possible.
[00:36:41.593 --> 00:36:49.222]  And this is where, in Chattanooga, you can drive in to get a lottery ticket, you can drive in to get a liquor bottle, but you can't drive in to pray.
[00:36:49.482 --> 00:36:51.644]  You can't drive in to see your fellow parishioners.
[00:36:51.985 --> 00:36:56.350]  Many of whom, the only mechanism or means they had to do fellowship was that method.
[00:36:56.610 --> 00:37:01.434]  Because they either have limitations on social media access or other methods of doing church services.
[00:37:01.774 --> 00:37:14.205]  This is a violation of the First Amendment right that prohibits governments from restraining or restricting religious expression in any way, particularly when they're allowing the same form of expression for things like buying lottery tickets or liquor bottles.
[00:37:16.258 --> 00:37:18.260]  I mean, it's absolutely insane.
[00:37:18.280 --> 00:37:19.981]  I don't know what they're thinking.
[00:37:20.001 --> 00:37:21.182]  It's really about enforcement.
[00:37:21.222 --> 00:37:24.264]  It's like you're dragging the guy off the bus for not wearing a mask.
[00:37:24.584 --> 00:37:28.727]  He can probably just pull his shirt over his face for the duration of the ride.
[00:37:28.747 --> 00:37:37.713]  Alright, Robert, I know you're filing another suit about people trying to get ballot petition signed and they can't lawfully assemble and things like that.
[00:37:38.134 --> 00:37:43.558]  We'll touch on that perhaps next week, but let us know how the litigation goes and keep us posted.
[00:37:43.598 --> 00:37:43.938]  Thank you.
[00:37:45.090 --> 00:37:45.453]  Absolutely.
[00:37:45.473 --> 00:37:46.098]  Thank you, Jesse.
[00:37:46.138 --> 00:37:47.590]  All right, so let me just point this out.
[00:37:49.011 --> 00:37:50.392]  What happened to due process?
[00:37:50.452 --> 00:37:51.633]  Alex Jones here, back live.
[00:37:52.133 --> 00:37:53.494]  What happened to due process?
[00:37:54.254 --> 00:37:56.875]  And what happened to innocent until proven guilty?
[00:37:56.936 --> 00:37:57.816]  It's a virus.
[00:37:58.676 --> 00:38:03.779]  And so, you were walking down the street, you weren't wearing a mask, so we're going to give you a ticket or take you to jail.
[00:38:03.819 --> 00:38:06.341]  Or, oh, you went to church and you took your kids.
[00:38:06.401 --> 00:38:08.042]  Well, somebody might have a virus.
[00:38:08.122 --> 00:38:11.264]  And in most Texas counties, it's not even one case, but it doesn't matter.
[00:38:11.604 --> 00:38:12.564]  You're still guilty.
[00:38:13.065 --> 00:38:14.966]  Oh, but the illegal aliens can still come in.
[00:38:15.706 --> 00:38:17.448]  Oh, they can all still do whatever they want.
[00:38:17.508 --> 00:38:19.029]  I've got articles on Infowars.com.
[00:38:19.329 --> 00:38:20.090]  What shutdown?
[00:38:20.230 --> 00:38:25.814]  A thousand Afghan refugees a month, military-age men, are still pouring in unvetted.
[00:38:26.195 --> 00:38:30.078]  Democrats didn't care about TB and tuberculosis and all that stuff pouring across.
[00:38:30.818 --> 00:38:34.321]  So, again, clearly the Democrats now want to keep the economy shut down.
[00:38:34.361 --> 00:38:35.222]  We predicted this.
[00:38:35.923 --> 00:38:41.007]  Now they're saying on national television that, oh, this is a referendum on Trump.
[00:38:41.027 --> 00:38:42.308]  It's not about Russiagate.
[00:38:42.568 --> 00:38:43.108]  It's all about
[00:38:43.829 --> 00:38:47.991]  The virus and how he responds, and if he opens things up, it's his fault.
[00:38:48.512 --> 00:38:50.673]  But if he doesn't open things up, it isn't his fault.
[00:38:51.173 --> 00:38:55.896]  I'd say there was well over 500 at a time, maybe 1,000 people out of the Texas Capitol yesterday.
[00:38:56.356 --> 00:39:01.419]  Local news all said there were 50 people there, and they showed little cropped edges of the crowd.
[00:39:02.180 --> 00:39:04.661]  So again, this just shows the total deception.
[00:39:04.701 --> 00:39:10.685]  They're running national TV ads saying, this whole family, all five kids and both parents died of coronavirus.
[00:39:11.425 --> 00:39:12.125]  All of it's a lie.
[00:39:12.145 --> 00:39:17.567]  I mean, the level of push by corporate America and Bill Gates captaining this is crazy.
[00:39:17.968 --> 00:39:28.632]  Well, I get the sort of news feed and email feed of various newspapers all across the country, and every headline now for weeks has been death, death, death, death, more virus, more virus, more virus, more virus.
[00:39:28.952 --> 00:39:30.973]  It's entirely intended to induce panic.
[00:39:31.353 --> 00:39:35.874]  And we're experiencing sort of a Milgram experiment for the entire civil society.
[00:39:35.914 --> 00:39:37.155]  Explain what the Milgram experiment was.
[00:39:37.375 --> 00:39:50.260]  So the Milgram experiment was done in the 1960s to show whether or not people will obey someone and inflict pain on an innocent stranger solely on the instruction of someone in a white lab coat.
[00:39:50.600 --> 00:39:53.521]  They know nothing about them except for the fact that they're in a white lab coat.
[00:39:53.901 --> 00:40:03.965]  So they bring them in and they get paid $100 and they say, here's maybe someone you may know, someone you may not know, but when they don't answer something correctly, you're going to give them the number of shocks, electric shocks, that I tell you.
[00:40:04.845 --> 00:40:06.946]  And it goes all the way up to 450 volts.
[00:40:07.527 --> 00:40:12.470]  Now the person on the other side, unbeknownst to the person doing it, isn't actually feeling the shock.
[00:40:12.770 --> 00:40:16.312]  They're just going to express the emotive pain that would come with that if in fact they were feeling it.
[00:40:16.812 --> 00:40:21.655]  But so the person sitting there, and they just have a personal white lab coat telling them, shock them, please continue.
[00:40:22.095 --> 00:40:27.959]  And at various points people say, oh the person's screaming, they're yelling, maybe they're gonna die, maybe they're gonna suffer debilitating illness.
[00:40:28.399 --> 00:40:33.382]  Should I just continue to keep hitting these buttons that go shock, shock, shock, higher and higher and higher and higher?
[00:40:34.022 --> 00:40:39.543]  And instead, what the person in the white lab coat tells them is, please continue, the experiment must go on.
[00:40:39.903 --> 00:40:42.044]  Please continue, the experiment must go on.
[00:40:42.404 --> 00:40:46.685]  And what is extraordinary is that most people that participated continued.
[00:40:47.045 --> 00:40:49.166]  The experiment did in fact go on.
[00:40:49.546 --> 00:40:53.727]  They went ahead and obeyed someone just because they were in a white lab coat telling them to do this.
[00:40:53.767 --> 00:40:55.347]  So what it is, is an appeal to authority.
[00:40:55.407 --> 00:40:57.528]  But if we could simply walk through the facts,
[00:40:58.661 --> 00:41:06.470]  Again, depending on whether it's the British Royal Academy or whether it was that medical lab in Seattle, the other big one I see.
[00:41:06.490 --> 00:41:08.492]  And that's a Bill Gates funded organization.
[00:41:08.532 --> 00:41:09.774]  Bill Gates funded group out there.
[00:41:10.811 --> 00:41:15.715]  It's literally 30, 40 times what they said the fear level was.
[00:41:16.575 --> 00:41:19.157]  On average, about 10 times less than what they said.
[00:41:19.177 --> 00:41:19.998]  If you do everything we say.
[00:41:20.258 --> 00:41:24.421]  But now they're taking credit, as I said earlier, and going, oh, it's because you didn't go out, this happened.
[00:41:24.761 --> 00:41:26.163]  And if you go out, it's going to come back.
[00:41:26.223 --> 00:41:33.968]  Well, of course, with all these testing kits that count any type of cold virus as COVID-19, and they go, oh, look, America, we said this 10 weeks ago.
[00:41:34.529 --> 00:41:36.951]  When the media's like, testing, testing, testing, testing.
[00:41:37.671 --> 00:41:39.553]  And then China and nobody else does testing.
[00:41:39.593 --> 00:41:45.077]  We do testing and we find the common cold and then misappropriate it and then count every person that dies.
[00:41:45.657 --> 00:41:50.521]  On average there are tens of thousands of people every day dying of natural causes in the U.S.
[00:41:50.641 --> 00:41:51.141]  Yes of course.
[00:41:51.161 --> 00:41:53.223]  There are hundreds of thousands dying every day worldwide.
[00:41:53.403 --> 00:41:53.583]  Right.
[00:41:54.084 --> 00:41:55.124]  And so this is literally
[00:41:56.245 --> 00:41:59.526]  If you're an individual, you're like, well, thousands dying a day in car wrecks in the U.S.
[00:41:59.566 --> 00:42:03.848]  is a lot until you realize there's 330 plus million people.
[00:42:04.468 --> 00:42:06.309]  And so it's all a perception game.
