[00:00:06.511 --> 00:00:07.611]  It's game time.
[00:35:21.869 --> 00:35:22.690]  That's a big problem.
[00:35:22.690 --> 00:35:23.551]  We've got an emergency.
[00:35:23.551 --> 00:35:24.512]  So they bought a bunch of tests.
[00:35:24.512 --> 00:35:26.595]  They got some contaminated tests from China.
[00:35:26.595 --> 00:35:27.255]  It's all admitted.
[00:35:27.255 --> 00:35:27.996]  It's all admitted.
[00:35:27.996 --> 00:35:29.798]  And the new rapid action tests are even worse.
[00:35:29.798 --> 00:35:30.799]  But let's, yeah, let's hit this.
[00:35:31.480 --> 00:35:34.303]  I've learned Trump is a counter-puncher.
[00:35:34.303 --> 00:35:39.007]  He understands metaphysically, he's almost like autistic and I mean like an idiot savant level.
[00:35:39.007 --> 00:35:43.711]  Because people that know him say he doesn't tell me what he's thinking and he makes this move that really is like chess.
[00:35:43.711 --> 00:35:46.834]  Sometimes it seems really stupid to their logic.
[00:35:46.834 --> 00:35:49.276]  He knew they were going to come give him a false test as a stunt.
[00:35:50.404 --> 00:35:52.245]  They probably waited until he actually had a cold.
[00:35:52.245 --> 00:35:54.487]  He sounded like he had one, lost a few pounds.
[00:35:54.487 --> 00:35:59.711]  If you have a regular cold or even a bacterial infection, that will show up as COVID in most of the tests as they admit.
[00:35:59.711 --> 00:36:02.933]  Well, I had COVID last year because I had pneumonia, so I'm presuming it's COVID.
[00:36:02.933 --> 00:36:03.393]  Exactly.
[00:36:03.393 --> 00:36:05.315]  So I got really sick in January.
[00:36:05.315 --> 00:36:06.816]  I haven't had a fever in five years.
[00:36:06.816 --> 00:36:07.136]  I got one.
[00:36:09.117 --> 00:36:10.398]  So that happened.
[00:36:10.398 --> 00:36:11.538]  It was a really bad cough, fever.
[00:36:11.538 --> 00:36:12.959]  Took about a week to get rid of it.
[00:36:12.959 --> 00:36:13.519]  Who knows what it was.
[00:36:13.519 --> 00:36:17.460]  But the point is, is that Trump went, okay, I'll go to your hospital.
[00:36:17.460 --> 00:36:18.821]  I'll play your games.
[00:36:18.821 --> 00:36:20.701]  But then he turned it around in judo.
[00:36:20.701 --> 00:36:24.203]  Boom, two days later, comes out and is really hitting on all cylinders.
[00:36:24.203 --> 00:36:25.723]  Now, this is really, really good news.
[00:36:25.723 --> 00:36:28.724]  But I've been told by the White House, who rarely reaches out, they did on this.
[00:36:28.724 --> 00:36:30.225]  It feels like they reached out on the Second Amendment.
[00:36:30.225 --> 00:36:34.386]  They said, look, Trump's going to tell them, okay, we'll support your gun control.
[00:36:34.386 --> 00:36:35.227]  Tell us what you want.
[00:36:36.147 --> 00:36:40.691]  Only so Pelosi's so narcissistic, that meeting she goes, we want to ban all guns.
[00:36:40.691 --> 00:36:42.592]  And then that totally defeated them.
[00:36:42.592 --> 00:36:51.059]  And so Trump literally, it's not even really 3D chess, he goes, okay, we'll do your vaccine now, not keep things, and then he takes control of it, knowing then people won't be scared.
[00:36:51.059 --> 00:36:52.140]  It won't be a fear monger.
[00:36:52.140 --> 00:36:53.321]  They won't take the vaccine.
[00:36:53.321 --> 00:36:54.301]  It's a gamble.
[00:36:54.301 --> 00:36:55.723]  It's, I call it black magic.
[00:36:55.723 --> 00:36:58.665]  I mean, it is using deception, but that's what he's doing.
[00:36:58.925 --> 00:37:04.309]  Well, it's a very dangerous thing to push the vaccine, but what he said right here is exactly right.
[00:37:04.309 --> 00:37:13.975]  Comparing it to the flu, talking about how they inflate the flu statistics every year, how they put the flu vaccine out, as I pointed out today, they've never cured the flu with a flu vaccine.
[00:37:13.975 --> 00:37:15.256]  No, I agree, I agree.
[00:37:15.256 --> 00:37:18.999]  But what I'm asking you is, what do you think of the Machiavellian stuff Trump's pulling?
[00:37:18.999 --> 00:37:20.280]  Because he is pulling the stuff.
[00:37:21.124 --> 00:37:23.405]  Well, I like to have straight up leadership.
[00:37:23.405 --> 00:37:27.167]  Well, he does that on a lot of stuff, but with the left he manipulates them because they deserve it.
[00:37:27.167 --> 00:37:27.767]  Yeah.
[00:37:27.767 --> 00:37:31.289]  I think what President Trump needs to do is what he's doing right here.
[00:37:31.289 --> 00:37:32.690]  Telling people the truth.
[00:37:32.690 --> 00:37:33.790]  Leveling.
[00:37:33.790 --> 00:37:34.530]  Exactly.
[00:37:34.530 --> 00:37:37.412]  Don't play these games and say one thing to one group one day.
[00:37:37.412 --> 00:37:40.353]  So straight shoot, don't play Machiavelli.
[00:37:40.353 --> 00:37:41.174]  Absolutely.
[00:37:41.174 --> 00:37:44.555]  Tell the truth, be a straight shooter, oppose this, straight up.
[00:37:44.555 --> 00:37:49.157]  Because if we try to finesse this thing, we're going to wind up getting this much worse than anything.
[00:37:51.179 --> 00:37:52.661]  His superpower is straight shooting.
[00:37:52.661 --> 00:37:53.202]  That's right.
[00:37:53.202 --> 00:37:54.344]  Not playing games.
[00:37:54.344 --> 00:37:54.764]  So what?
[00:37:54.764 --> 00:37:55.866]  You can manipulate the left.
[00:37:55.866 --> 00:37:57.007]  They're only manipulating us.
[00:37:57.007 --> 00:37:58.189]  Let's not play their games.
[00:37:58.189 --> 00:38:00.472]  Yeah, the end does not justify the mean.
[00:38:00.472 --> 00:38:01.794]  That's why I don't like some of the Q stuff.
[00:38:01.794 --> 00:38:05.620]  I'm not fighting with the Q people, but the Q people are like, oh, we're lying to win.
[00:38:05.620 --> 00:38:06.421]  I don't like that.
[00:38:06.641 --> 00:38:07.162]  No, no, no.
[00:38:07.162 --> 00:38:11.006]  The end, justifying the means, that's a communist tactic.
[00:38:11.006 --> 00:38:14.610]  Lying to people to get somewhere, that is not a tactic of leadership.
[00:38:14.610 --> 00:38:18.914]  He needs to be straight up, he needs to oppose this, and I don't care what he's done in the past.
[00:38:18.914 --> 00:38:27.183]  He can turn this around, start doing the right thing, start telling people the truth about this, be straight up in his opposition to this, and that's a win.
[00:38:28.184 --> 00:38:31.449]  I agree, but he did play them when he's like, OK, what do you want?
[00:38:31.449 --> 00:38:32.310]  Well, we'll probably do it.
[00:38:32.310 --> 00:38:33.792]  Well, we want all the guns.
[00:38:33.792 --> 00:38:33.972]  What?
[00:38:33.972 --> 00:38:34.753]  He wants gun control?
[00:38:34.753 --> 00:38:37.076]  No, he got them to say we want everything.
[00:38:37.076 --> 00:38:38.698]  I mean, that that was very strategic.
[00:38:38.698 --> 00:38:42.943]  So I agree with you that I never pull stuff like that, but I never even think like that.
[00:38:42.943 --> 00:38:44.345]  But Trump, I mean, Trump did that.
[00:38:44.505 --> 00:38:56.008]  Yeah, the problem is that when you say we'll take the guns and do the due process later, you had a lot of Democrat governors who did that, and you're going to have a lot of Democrat governors, and if it's not Trump, it'll be the president after him, whether it's Biden or whether it's somebody else.
[00:38:56.008 --> 00:39:01.570]  No, I hear you, but he did... He will use these vaccines and the mandatory vaccine issue and say, we've got to do it for your safety.
[00:39:01.570 --> 00:39:06.812]  We've got to push back against this idea that the key role of government is to keep us safe.
[00:39:06.812 --> 00:39:08.072]  It's not the key role of government.
[00:39:08.072 --> 00:39:10.433]  The key role of government is to protect our individual liberties.
[00:39:10.433 --> 00:39:11.833]  That's what the Democrats... Well, it's not just a key role.
[00:39:11.833 --> 00:39:14.034]  They have no responsibility to because they can't.
[00:39:14.494 --> 00:39:14.954]  Yeah.
[00:39:14.954 --> 00:39:16.435]  I mean, cops have no responsibility.
[00:39:16.435 --> 00:39:17.816]  They're responding for crimes committed.
[00:39:17.816 --> 00:39:18.656]  Do they try to protect you?
[00:39:18.656 --> 00:39:18.916]  Yes.
[00:39:18.916 --> 00:39:21.477]  But to sue them or blame them, they have no liability.
[00:39:21.477 --> 00:39:22.398]  It's up to us.
[00:39:22.398 --> 00:39:25.539]  But then they can't say, well, we want your guns because we're going to protect you.
[00:39:25.539 --> 00:39:26.420]  No.
[00:39:26.420 --> 00:39:28.781]  We have a monopoly of force as citizens.
[00:39:28.781 --> 00:39:29.061]  Yeah.
[00:39:29.061 --> 00:39:32.823]  And then we designate police and a constabulary to work for us.
[00:39:33.083 --> 00:39:33.763]  That's right.
[00:39:33.763 --> 00:39:35.264]  Well, you go back to the police analogy.
[00:39:35.264 --> 00:39:36.665]  I talked about this earlier.
[00:39:36.665 --> 00:39:41.528]  We're talking about censorship and what they're doing to President Trump right now.
[00:39:41.528 --> 00:39:48.893]  You know, the idea that the First Amendment only protects us from attacks on free speech by the government is totally wrong.
[00:39:48.893 --> 00:39:49.173]  That's right.
[00:39:49.173 --> 00:39:50.854]  Let's talk about that in the Federal Reserve News.
[00:39:50.854 --> 00:39:51.675]  It's huge when we come back.
[00:39:54.065 --> 00:39:56.547]  Stand back and stand by.
[00:39:56.547 --> 00:40:02.430]  During our emergency election sale, we have all your favorite products up to 60% off plus free shipping.
[00:40:02.430 --> 00:40:08.294]  In order to help maximize our coverage of this historic election, we need your support during this crucial time.
[00:40:08.294 --> 00:40:12.557]  We have our vitamin D supplement Winter Sun Plus at 25% off.
[00:40:12.557 --> 00:40:18.140]  Winter Sun Plus works as a defense against attacks on your immune system, which will be great during the coming winter months.
[00:40:18.360 --> 00:40:23.343]  Some of our best sellers like Bodies and Turbo Force are on sale for 10% off.
[00:40:23.343 --> 00:40:27.626]  One of our bigger discounts, the 8-pack Power Stack, is 60% off.
[00:40:27.626 --> 00:40:33.869]  And if you're looking to get Survival Shield X2, be sure to check out the Combo Pack with both items together at 60% off as well.
[00:40:34.850 --> 00:40:41.472]  All shirts in our apparel collection are currently set at the answers to $19.84, which is $17.76.
[00:40:41.472 --> 00:40:44.733]  We also have Prostagard and Ultimate Fish Oil back in stock.
[00:40:44.733 --> 00:40:53.636]  So whether you're looking to stock up or thinking of adding something new to your daily routine, be sure to check out these deep discounts and more at InfoWarsStore.com.
[00:40:54.295 --> 00:40:59.818]  This is your last chance to get a PAC PowerStack, and I'm really bummed out about that.
[00:40:59.818 --> 00:41:04.981]  It started out as a sleeper product, but the people that did order it loved it, and started reordering it.
[00:41:04.981 --> 00:41:07.322]  They spread the word, and it became one of our best sellers.
[00:41:07.322 --> 00:41:16.467]  But because of the COVID supply chain breakdown, and because there's 13 different formulas in a PAC PowerStack, we are unable to secure it anymore.
[00:41:16.467 --> 00:41:21.210]  This is the highest-end AMPM PAC system you're going to find, where you take
[00:41:21.550 --> 00:41:25.052]  Half the pills in the morning, half the tablets and pills and gel caps at night.
[00:41:25.052 --> 00:41:25.533]  It's amazing.
[00:41:25.533 --> 00:41:33.979]  I don't have time to go into everything that's in it, but this gets people to remember to take it, and that's why it's having such a great effect, because the stuff in here is absolutely amazing.
[00:41:33.979 --> 00:41:37.401]  So it's your last chance to get an 8-pack PowerStack at InfoWarsStore.com.
[00:41:37.401 --> 00:41:39.262]  It's 60% off and free shipping.
[00:41:39.262 --> 00:41:40.423]  That is at cost.
[00:41:40.423 --> 00:41:43.726]  For all of you that already support InfoWars, we're passing these savings on to you.
[00:41:43.726 --> 00:41:46.387]  Get your 8-pack PowerStack now, or you still can.
[00:41:46.387 --> 00:41:47.528]  Last chance to get it.
[00:41:47.528 --> 00:41:48.489]  InfoWarsStore.com.
[00:41:48.790 --> 00:41:51.706]  APEC PowerStaff 60% off and free shipping.
[00:41:55.911 --> 00:42:09.463]  For more than a hundred years, the Rockefeller Foundation has worked to establish world government, abolish nation states, dumb down the population by taking control of education, and most importantly, taking control of Western medicine.
[00:42:09.463 --> 00:42:11.464]  Now they had a bad name by the 1920s.
[00:42:11.464 --> 00:42:19.952]  They started converting over and funding other organizations and groups like IBM to continue on with their eugenics operations.
[00:42:20.632 --> 00:42:30.779]  Fast forward to the 1980s, the baton is handed by IBM via his mother on the board of directors to Bill Gates III, his father, of course, being the head of Planned Parenthood.
[00:42:30.779 --> 00:42:38.805]  And now he's been able to position himself over almost every health department in the world, every national health system.
[00:42:38.805 --> 00:42:40.867]  Bill Gates is in control.
[00:42:40.867 --> 00:42:41.387]  They have spent
[00:42:41.747 --> 00:42:48.769]  A hundred plus years getting positioned to be able to control what happens to your body and what goes in your body.
[00:42:48.769 --> 00:42:55.770]  This is the holy grail of their operations and now they're normalizing putting a new type of DNA in your body.
[00:42:55.770 --> 00:43:02.752]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[00:43:02.752 --> 00:43:08.213]  I read from the federal law and listeners couldn't believe me because that was un-American.
[00:43:08.213 --> 00:43:10.794]  Now the media admits that almost every app and
[00:43:10.794 --> 00:43:11.114]  Yeah.
[00:43:26.459 --> 00:43:37.526]  Turn it on and listen to what you're saying, just like Siri or Alexa do, and then putting databases, transcripts of everything you say into those systems to be saved forever.
[00:43:37.526 --> 00:43:42.789]  Your phone is spying on you and companies are generating secret surveillance scores based on information.
[00:43:42.789 --> 00:43:45.911]  This is the Global Chinese Communist Social Credit Score.
[00:43:45.911 --> 00:43:52.695]  Get your protection privacy pockets at InfoWarstore.com and cut Big Brother off dead in his filthy tracks.
[00:43:52.695 --> 00:43:53.876]  InfoWarstore.com.
[00:43:58.183 --> 00:44:12.898]  You're listening to The Alex Jones Show.
[00:44:12.898 --> 00:44:15.280]  Bill Gates has got a Frankenstein vaccine for ya!
[00:44:16.428 --> 00:44:18.370]  Yeah, it's called an mRNA vaccine.
[00:44:18.370 --> 00:44:22.073]  It goes into your cell and reprograms it and makes everybody sick.
[00:44:22.073 --> 00:44:24.155]  He says you're gonna get sick, but you're gonna take it.
[00:44:24.155 --> 00:44:25.075]  Wow.
[00:44:25.075 --> 00:44:27.698]  They really got to the point of not denying what they got planned for us.
[00:44:27.698 --> 00:44:28.939]  I told you that day was coming.
[00:44:28.939 --> 00:44:29.819]  It's here now.
[00:44:31.308 --> 00:44:31.649]  That's crazy.
[00:44:31.649 --> 00:44:32.570]  We'll talk about that briefly next hour.
[00:44:47.131 --> 00:44:52.773]  Mark Dice exclusively joining us with some big announcements and news today.
[00:44:52.773 --> 00:45:01.556]  And we also are going to have Donna Lorraine pop in to talk about what she expects to happen at the VP debate and more.
[00:45:01.556 --> 00:45:07.919]  But first off, 8-Pack Power Stack is an American success story.
[00:45:07.919 --> 00:45:08.739]  We first put it out.
[00:45:08.739 --> 00:45:10.100]  It wasn't very popular.
[00:45:10.100 --> 00:45:13.661]  People that got it loved it, gave it great reviews, told friends and family about it.
[00:45:13.661 --> 00:45:15.822]  So it became one of our top five or six bestsellers.
[00:45:16.684 --> 00:45:21.086]  But because it has 13 different pills in it, with an AM and PM stack, it does everything you need.
[00:45:21.086 --> 00:45:26.368]  Game-changing, life-changing, and it's the highest quality.
[00:45:26.368 --> 00:45:32.531]  Well, with the supply chains breaking down, we've already lost a lot of formulas that are single ingredient, because the supply chain's broken down.
[00:45:32.531 --> 00:45:33.852]  Companies have gone out of business, you name it.
[00:45:34.858 --> 00:45:35.739]  This company's great.
[00:45:35.739 --> 00:45:36.379]  It's still there.
[00:45:36.379 --> 00:45:38.001]  One of the top companies in the U.S.
[00:45:38.001 --> 00:45:40.723]  makes this for us, but they can't get some of the ingredients.
[00:45:40.723 --> 00:45:42.404]  So we've got to either change the name or reformulate.
[00:45:42.404 --> 00:45:42.965]  That's how it works.
[00:45:42.965 --> 00:45:47.829]  When you reformulate or change something under law, you've got to change the name or call Plus or whatever.
[00:45:47.829 --> 00:45:53.214]  So this is the last chance you can get 8-Pack Power Stack at InfoWareStore.com and experience it.
[00:45:53.214 --> 00:45:55.075]  We're very, very close to selling out.
[00:45:55.075 --> 00:45:59.199]  And the big 40-hour broadcast we kick off tomorrow with David Knott at 8 a.m.
[00:45:59.199 --> 00:45:59.919]  Central is going to be
[00:46:00.629 --> 00:46:06.891]  Much of it commercial-free, and a bunch of special guests at Breaking News and live coverage of the VP Debate.
[00:46:06.891 --> 00:46:11.552]  It's sponsored by 8-pack Power Stack at InfowarsStore.com.
[00:46:11.552 --> 00:46:16.034]  And the Infowars Emergency Election Sale Total Blowout
[00:46:17.116 --> 00:46:26.501]  I said because of how crazy the world is, we're going to sell out of everything and just have the funds to hopefully go into next year and then see what we can do depending on the future because things are so perilous.
[00:46:26.501 --> 00:46:27.221]  That's not hype.
[00:46:27.221 --> 00:46:28.982]  We're selling out of Winter Sun Plus.
[00:46:28.982 --> 00:46:31.283]  It's so good to boost your overall body's defenses.
[00:46:31.283 --> 00:46:32.724]  Vitamin D3, the highest quality.
[00:46:32.724 --> 00:46:34.705]  NK that absorbs it.
[00:46:34.705 --> 00:46:35.986]  Body's ultimate turmeric formula.
[00:46:35.986 --> 00:46:41.509]  You talk about boosting your immune system, lowering inflammation that's so tied to problems.
[00:46:42.759 --> 00:46:44.119]  These are essential things.
[00:46:44.119 --> 00:46:46.020]  TurboForce, 10-hour clean energy.
[00:46:46.020 --> 00:46:47.380]  Again, discounted free shipping.
[00:46:47.380 --> 00:46:50.581]  Vazobeats, selling out 10% off and free shipping.
[00:46:50.581 --> 00:46:53.261]  DNAForce Plus, discounted and free shipping.
[00:46:53.261 --> 00:46:54.782]  That's the number one thing I do.
[00:46:54.782 --> 00:46:57.722]  X2, X3, the clean iodine, also essential.
[00:46:57.722 --> 00:46:59.563]  But game-changing.
[00:46:59.563 --> 00:47:04.384]  Heart and Body Combo, Vazobeats, ExtenderWise, still discounted even though it's selling out.
[00:47:04.384 --> 00:47:07.504]  Prostagarb, with a high dose of high-quality zinc.
[00:47:07.504 --> 00:47:09.945]  I mean, we've got our, for mustard seed,
[00:47:11.934 --> 00:47:13.835]  Selenium, that's the best you're going to find out there.
[00:47:13.835 --> 00:47:16.817]  All of these are essential and they're amazing.
[00:47:16.817 --> 00:47:21.281]  InfoWarsStore.com and they fund the Info War, a true 360 win.
[00:47:21.281 --> 00:47:23.963]  Okay, David, this is why I got you here.
[00:47:23.963 --> 00:47:26.464]  So you've got the floor here and we were having a great banter back and forth.
[00:47:26.464 --> 00:47:28.426]  We're so excited because this is so real.
[00:47:28.426 --> 00:47:31.668]  The full report you did that's gone viral is at InfoWars.com.
[00:47:31.668 --> 00:47:34.050]  Fed announces it will quit printing paper money.
[00:47:34.050 --> 00:47:35.250]  You've got the actual document.
[00:47:35.250 --> 00:47:37.472]  They can document Kim while you talk about it.
[00:47:37.472 --> 00:47:38.353]  This is huge.
[00:47:38.993 --> 00:47:41.317]  First, you started reporting six months ago on coin shortages.
[00:47:41.317 --> 00:47:42.719]  They now admit they're phasing that out.
[00:47:42.719 --> 00:47:43.039]  That's right.
[00:47:43.039 --> 00:47:44.281]  Now it's the money.
[00:47:44.281 --> 00:47:44.962]  Same excuse.
[00:47:44.962 --> 00:47:46.284]  They're saying COVID.
[00:47:46.284 --> 00:47:50.050]  This is their Rosetta Stone, their skeleton key, their operating system.
[00:47:50.050 --> 00:47:52.254]  Tell us the exclusive you got that we've confirmed.
[00:47:52.725 --> 00:48:11.070]  Well, everybody's seen the notices several months ago where you had shortages of cash, of coin, and some people would say, well, you know, we don't have any coin, we'll give you extra services or goods if you give us some more coins, or we're just not going to take cash at all, or we'll round it up if you insist on paying cash.
[00:48:12.000 --> 00:48:22.944]  Now, after the Federal Reserve did that, and said, well, we can't print coins anymore, and they were also putting out the idea, oh, your cash, the paper is dirty, you're going to catch COVID from handling the paper, so you don't want to handle paper anyway.
[00:48:22.944 --> 00:48:24.244]  Let's do it all cashless.
[00:48:24.244 --> 00:48:28.746]  And now you can't hand somebody a credit card, it's all going to be digital, and then now a robot's got to deliver it.
[00:48:28.746 --> 00:48:34.308]  You can say, admit this, how they're walking us into this squeeze chute, into this corral, into this noose, into this prison.
[00:48:34.308 --> 00:48:35.308]  That's right.
[00:48:35.308 --> 00:48:41.430]  And so, you know, when you look at all this, understand... They say, due to COVID-19 at the Bank of the Credit Union, we can't give you cash anymore.
[00:48:41.670 --> 00:48:44.133]  Well, I think they're using COVID in a number of ways.
[00:48:44.133 --> 00:48:47.176]  Number one, they're using this to push us in for the cashless society.
[00:48:47.176 --> 00:49:00.169]  But I think even bigger than that is the fact that they're using COVID as an excuse to deflect blame from them for what they've done with the Great Recession, when they started creating this massive bubble.
[00:49:00.529 --> 00:49:01.329]  That was going to burst.
[00:49:01.329 --> 00:49:05.130]  They didn't want this to burst on them, so now they can say it was not us, it was the virus.
[00:49:05.130 --> 00:49:05.470]  That's right.
[00:49:05.470 --> 00:49:07.291]  Well, that's what they said, the great reset from the beginning.
[00:49:07.291 --> 00:49:14.792]  The head of Davos said, we're going to use this to implode the economy, put you in debt, lower your standard of living, have a lower carbon footprint, but they all live lavish lifestyles.
[00:49:14.792 --> 00:49:15.453]  That's right.
[00:49:15.453 --> 00:49:21.674]  Bezos wants you to live in a coffin apartment he owns, but he has giant yachts and huge 50,000 square foot homes.
[00:49:21.834 --> 00:49:22.354]  That's right.
[00:49:22.354 --> 00:49:24.255]  Let's get to the actual notice that was sent to me.
[00:49:24.255 --> 00:49:25.276]  This was sent by a listener.
[00:49:25.276 --> 00:49:33.279]  By the way, if you want to send me any tips, you can send that at davidknightshow, davidknightshow at ProtonMail.com.
[00:49:33.279 --> 00:49:36.521]  And again, don't send to David Knight because there is a David Knight at ProtonMail.
[00:49:37.561 --> 00:49:38.622]  At least I'm happy with that.
[00:49:38.622 --> 00:49:40.182]  So make sure it's David Knight Show.
[00:49:40.182 --> 00:49:45.285]  Anyway, this is what came from the Orange County Credit Union in California.
[00:49:45.285 --> 00:49:50.628]  Due to COVID-19, the Federal Reserve has suspended new currency ordering this holiday season.
[00:49:50.628 --> 00:49:56.431]  This is a proactive measure to enable reserve banks to continue to meet daily demand for currency and coin.
[00:49:56.431 --> 00:49:57.312]  Now, I ask you,
[00:49:58.212 --> 00:50:05.496]  Who other than the Federal Reserve that doesn't care about supply and demand would say, well, in order to meet demand, we're going to stop making this thing.
[00:50:05.496 --> 00:50:08.777]  I mean, that's obviously not, but they don't pay attention to supply and demand.
[00:50:08.777 --> 00:50:11.339]  Kids need a lot of milk, so we're stopping production.
[00:50:11.339 --> 00:50:12.039]  That's right.
[00:50:12.039 --> 00:50:13.960]  They need shoes, so we're cutting production.
[00:50:13.960 --> 00:50:22.824]  The reason they're putting this out is because they said every year people order brand new bills because they want to give them as... And they want to demystify cash, they want to get us off of it.
[00:50:22.824 --> 00:50:23.445]  That's right.
[00:50:23.445 --> 00:50:25.626]  I always, I'll be at the bank and like,
[00:50:26.286 --> 00:50:28.708]  December 15th, they go, why are you getting $10,000 out?
[00:50:28.708 --> 00:50:34.854]  Well, I mean, I literally give like all these cousins and all these nieces and my children a couple hundred bucks.
[00:50:34.854 --> 00:50:35.394]  They love it.
[00:50:35.394 --> 00:50:36.035]  That's right.
[00:50:36.035 --> 00:50:37.416]  And what they're saying is a lot of people come in.
[00:50:37.416 --> 00:50:44.902]  If you want to give somebody a cash for Christmas, you want to do it with a nice, clean bill instead of something that has COVID all over it.
[00:50:44.902 --> 00:50:48.105]  And so they're saying, but we're not going to be able to do that this year.
[00:50:48.105 --> 00:50:52.209]  We still will be able to give you cash, but just lightly used cash.
[00:50:52.629 --> 00:50:57.214]  Or maybe... And if you notice, they've also started making the money real flimsy, where even new money falls apart real quick.
[00:50:57.214 --> 00:50:58.455]  They're phasing it out.
[00:50:58.455 --> 00:50:59.656]  Explain to them why, David.
[00:50:59.656 --> 00:51:02.660]  Well, you know, they're saying they can give you digital or they can give you cashier's checks.
[00:51:02.660 --> 00:51:06.664]  Look, the bottom line is cash is anonymous.
[00:51:06.664 --> 00:51:07.865]  They don't like that.
[00:51:07.865 --> 00:51:10.087]  It can't be tracked easily by these people.
[00:51:10.087 --> 00:51:11.308]  The AI grid hates cash.
[00:51:11.308 --> 00:51:11.809]  That's right.
[00:51:11.809 --> 00:51:13.591]  And they want to make sure... Cash kills AI.
[00:51:13.891 --> 00:51:14.491]  That's right.
[00:51:14.491 --> 00:51:21.516]  Everything that you do has to be channeled through their control grid so they can monitor and record.
[00:51:21.516 --> 00:51:23.597]  And so they can censor you and shut you down.
[00:51:23.597 --> 00:51:25.058]  And that's why they're pushing us into this.
[00:51:25.058 --> 00:51:29.601]  And at the same time, you know, we got the story up on InfoWars about John McAfee.
[00:51:29.601 --> 00:51:33.344]  They say, well, income tax, but you look at it, it's really about the cryptocurrency.
[00:51:33.644 --> 00:51:36.865]  It's really about shutting down other cryptocurrency.
[00:51:36.865 --> 00:51:38.965]  So they're pushing this into the cashless society.
[00:51:38.965 --> 00:51:41.126]  They want to make sure they've got a monopoly on that as well.
[00:51:41.126 --> 00:51:42.866]  But it's all about the tracking.
[00:51:42.866 --> 00:51:44.266]  Everything is about the tracking.
[00:51:44.266 --> 00:51:46.127]  The vaccine is about the tracking.
[00:51:46.127 --> 00:51:47.487]  The testing is about the tracking.
[00:51:47.487 --> 00:51:48.127]  It's all an excuse.
[00:51:48.127 --> 00:51:48.927]  It's all about tracking.
[00:51:48.927 --> 00:51:50.488]  Global social credit score.
[00:51:50.488 --> 00:51:50.888]  Exactly.
[00:51:50.888 --> 00:51:52.428]  But I mean, this is a big exclusive.
[00:51:52.428 --> 00:51:53.168]  We made some calls.
[00:51:53.168 --> 00:51:53.748]  It's true.
[00:51:53.748 --> 00:51:56.349]  They're all being told, sorry, no cash for Christmas.
[00:51:56.349 --> 00:51:56.669]  Yeah.
[00:51:56.669 --> 00:51:57.229]  Think about that.
[00:51:57.229 --> 00:52:01.050]  The Federal Reserve has suspended... And the funny thing is, last week, I already went and got more cash out.
[00:52:01.050 --> 00:52:01.850]  I just knew this was coming.
[00:52:02.190 --> 00:52:08.913]  Yeah, well, you know, I reported a month or two ago the fact that there was an interview with Powell of the Federal Reserve.
[00:52:08.913 --> 00:52:12.535]  And some guy says, so you're just running the printing press on this stuff?
[00:52:12.535 --> 00:52:15.376]  And he goes, well, actually we're not running the printing press.
[00:52:15.376 --> 00:52:16.937]  We couldn't print that much money.
[00:52:16.937 --> 00:52:19.038]  They're doing $3 trillion.
[00:52:19.038 --> 00:52:20.879]  But again, it's not the Federal Reserve that's bad.
[00:52:20.879 --> 00:52:22.639]  It's anyone that hoards it.
[00:52:22.639 --> 00:52:23.400]  Oh, that's right.
[00:52:23.400 --> 00:52:27.762]  If you don't trust them, when they're taking the NRA's bank accounts, they've taken ours.
[00:52:27.762 --> 00:52:29.242]  It's a whole story behind the scenes.
[00:52:29.242 --> 00:52:29.943]  They're harassing.
[00:52:30.763 --> 00:52:31.104]  That's right.
[00:52:31.104 --> 00:52:31.524]  That's right.
[00:52:31.524 --> 00:52:31.945]  That's right.
[00:52:50.247 --> 00:52:52.929]  That's again, COVID is about making you go on the universal income.
[00:52:52.929 --> 00:52:54.350]  That's right.
[00:52:54.350 --> 00:52:58.173]  We ought to do a diagram, I know you've done it, I've done it, but show every checkbox it does.
[00:52:58.173 --> 00:52:59.134]  It's like hundreds of things.
[00:52:59.134 --> 00:52:59.894]  Oh yeah.
[00:52:59.894 --> 00:53:02.657]  And it's all pre-planned, organized, they admit it is.
[00:53:02.657 --> 00:53:03.838]  It's so diabolical.
[00:53:03.838 --> 00:53:12.184]  Yeah, and so they can not only watch everything that you do, but if they don't like what you do, they can just pull all the cash out of your account just like that, which they couldn't do if you physically have it.
[00:53:12.264 --> 00:53:14.925]  And then no one will support you because they don't want to get banned.
[00:53:14.925 --> 00:53:15.666]  That's right.
[00:53:15.666 --> 00:53:20.008]  And then they can ban you individually as they want because we never organize and come together.
[00:53:20.008 --> 00:53:22.869]  That's the creed of slaves is we don't come together when there's a wrong.
[00:53:22.869 --> 00:53:24.330]  We wait and get individually picked off.
[00:53:24.813 --> 00:53:26.815]  It's already largely digital.
[00:53:26.815 --> 00:53:31.721]  Understand, when they're doing a trillion dollars a month, it's basically digital.
[00:53:31.721 --> 00:53:33.042]  And that's what Powell was saying.
[00:53:33.042 --> 00:53:34.143]  And I even talked about it.
[00:53:34.143 --> 00:53:35.365]  I said, think about this.
