[00:00:15.168 --> 00:00:17.171]  Uh, Bill Clinton.
[01:04:40.953 --> 01:04:41.713]  And we've done it.
[01:04:41.713 --> 01:04:45.014]  It's in a Don Salazar article on Infowars.com's Candemic.
[01:04:45.014 --> 01:04:49.476]  CDC stats show flu deaths dropped as COVID deaths increased.
[01:04:49.476 --> 01:04:54.037]  Data shows agency categorizing deaths from common flu as COVID deaths.
[01:04:54.037 --> 01:04:54.717]  That's the article.
[01:04:54.717 --> 01:04:57.438]  We'll get to it in a moment.
[01:04:57.438 --> 01:05:00.739]  But first, a big Zero Hedge article that links to mainstream news.
[01:05:01.784 --> 01:05:04.326]  ABC, you name it.
[01:05:04.326 --> 01:05:07.628]  Ohio withdraws ban on hydroxychloroquine.
[01:05:07.628 --> 01:05:10.531]  Fauci accused of misinformation campaign.
[01:05:10.531 --> 01:05:15.394]  Now imagine saying Tylenol doesn't help headaches.
[01:05:15.394 --> 01:05:17.156]  I mean everybody knows that's not true.
[01:05:17.156 --> 01:05:20.058]  Or Ibuprofen doesn't help inflammation in joints.
[01:05:21.189 --> 01:05:24.172]  Hydroxychloroquine goes back to quinine.
[01:05:24.172 --> 01:05:26.874]  It was used by the Aztecs a thousand years ago.
[01:05:26.874 --> 01:05:29.376]  The Dutch found out about it from the Spanish 400 years ago.
[01:05:29.376 --> 01:05:32.699]  I mean, this is, it kills malaria, okay?
[01:05:32.699 --> 01:05:33.720]  It's an antiviral.
[01:05:33.720 --> 01:05:34.581]  It's established.
[01:05:34.581 --> 01:05:35.782]  It's ridiculous.
[01:05:35.782 --> 01:05:43.309]  But if you're Fauci with Resdenovir or whatever for $2,000 a dose, you don't want that because he owns part of it and he's got the patents on the drugs.
[01:05:44.650 --> 01:05:52.195]  So this article lays out how the governor now of Ohio came out and said, executive order, you can now prescribe it.
[01:05:52.195 --> 01:05:53.316]  You couldn't before.
[01:05:53.316 --> 01:05:56.178]  They put orders in saying you couldn't.
[01:05:56.178 --> 01:06:02.002]  And imagine, medical doctors have press conferences, and they are being shut down.
[01:06:02.002 --> 01:06:03.863]  They're being told they can't do it.
[01:06:03.863 --> 01:06:05.024]  And in some cases, fired.
[01:06:05.024 --> 01:06:05.825]  Now let's turn your mic on.
[01:06:05.825 --> 01:06:07.726]  Yeah, they're being fired too, Alex.
[01:06:07.726 --> 01:06:10.968]  Some of these nurses, or doctors, some of these doctors are being fired.
[01:06:10.968 --> 01:06:12.289]  That's right, because it's all intimidation.
[01:06:14.133 --> 01:06:19.235]  Retract botched anti-hydroxychloroquine study, which was used to attack Trump.
[01:06:19.235 --> 01:06:21.115]  That was happened two months ago.
[01:06:21.115 --> 01:06:30.298]  So the UN uses a botched study paid for by Fauci and Gates to say that it doesn't help you.
[01:06:30.298 --> 01:06:31.118]  That was a lie.
[01:06:31.118 --> 01:06:32.758]  And they're still doing that.
[01:06:32.758 --> 01:06:33.619]  They got criminal.
[01:06:33.619 --> 01:06:37.580]  They took veterans who were dying, Alex, and gave them hydroxychloroquine.
[01:06:37.580 --> 01:06:38.200]  Oh, well, they died.
[01:06:38.200 --> 01:06:39.360]  Well, they were already dying.
[01:06:39.360 --> 01:06:40.581]  They were already on death's bed.
[01:06:40.581 --> 01:06:41.321]  They started giving it to them.
[01:06:42.102 --> 01:06:42.562]  Exactly.
[01:06:42.562 --> 01:06:45.944]  Gates-funded hydroxychloroquine studies are designed to kill people.
[01:06:45.944 --> 01:06:50.426]  Researchers retract Bott's hydroxychloroquine study, which was used to attack Trump.
[01:06:50.426 --> 01:06:54.308]  Coronavirus influential study of hydroxychloroquine withdrawn.
[01:06:54.308 --> 01:06:57.569]  The Lancet retracts large study of hydroxychloroquine.
[01:06:57.569 --> 01:07:00.770]  So, meanwhile, video Trump defends viral hydroxychloroquine.
[01:07:00.770 --> 01:07:03.552]  Doctor says, I thought she was very impressive.
[01:07:04.485 --> 01:07:10.469]  Meanwhile, ladies and gentlemen, they're trying to shut anybody down that puts this out, including Donald Trump Jr.
[01:07:10.469 --> 01:07:18.214]  So it's Alex Jones two years ago, now it's medical doctors in a press conference, and Fauci goes on TV, Rob.
[01:07:20.006 --> 01:07:24.527]  And says yesterday, I agree, don't let doctors have speech.
[01:07:24.527 --> 01:07:26.028]  This is beyond the Soviet Union.
[01:07:26.028 --> 01:07:27.228]  And the head of YouTube admitted it.
[01:07:27.228 --> 01:07:32.689]  He said, hey, it doesn't follow CDC, UN guidelines, so we just ban them.
[01:07:32.689 --> 01:07:40.071]  We don't let doctors who've been practicing, that's when you practice medicine, they've been practicing medicine, having results with hydroxychloroquine.
[01:07:40.071 --> 01:07:42.832]  But this is an established antiviral known.
[01:07:42.832 --> 01:07:44.132]  Oh yeah, they've been using it for years.
[01:07:44.292 --> 01:07:47.433]  It's like saying brush your teeth and get rid of cavities.
[01:07:47.433 --> 01:07:50.614]  And the doctor who he's talking about, this black lady, she's from Nigeria.
[01:07:50.614 --> 01:07:53.635]  She's been using hydroxychloroquine for years to treat people with malaria.
[01:07:53.635 --> 01:07:54.856]  She knows how it works.
[01:07:54.856 --> 01:07:57.757]  Plenty of other doctors have come out and said, hey, there's no problem with it.
[01:07:57.757 --> 01:08:01.218]  Even Dr. Drew, the TV doctor, said, I prescribe it all the time.
[01:08:01.218 --> 01:08:02.219]  I've never had any problems with it.
[01:08:02.219 --> 01:08:03.339]  Because they're talking about the heart problems.
[01:08:03.339 --> 01:08:04.920]  He goes, I've never seen anyone with heart problems.
[01:08:04.920 --> 01:08:07.921]  They've had all these doctors come out and say, I've got 1,000 patients.
[01:08:07.921 --> 01:08:09.802]  I've got 300 patients.
[01:08:09.802 --> 01:08:10.962]  It's a fact.
[01:08:10.962 --> 01:08:13.243]  It's like saying electricity comes out of a light socket.
[01:08:13.996 --> 01:08:21.757]  I mean, they are literally gas... Let me ask this for you, the study that we paid for and the huge news.
[01:08:24.702 --> 01:08:26.663]  Why are they skipping animal trials?
[01:08:26.663 --> 01:08:32.426]  Why are they admitting that 100% of people have side effects on the vaccine, 20% are hospitalized?
[01:08:32.426 --> 01:08:33.547]  Like they just don't care.
[01:08:33.547 --> 01:08:34.847]  They're just doing it.
[01:08:34.847 --> 01:08:44.693]  They're skipping animal trials because then they don't have to, what they have is a, they'll do a third, another study after they inject you with it, you know, for human trial, it goes up to here.
[01:08:44.693 --> 01:08:46.914]  And then with the animal trial, they go one step further where they can
[01:08:47.891 --> 01:08:50.232]  Put the virus into the animal and see how it reacts.
[01:08:50.232 --> 01:08:51.793]  Let 100% of the ferrets die.
[01:08:51.793 --> 01:08:52.334]  Exactly.
[01:08:52.334 --> 01:08:56.136]  Well, with the old coronavirus, because they've been trying to get coronavirus vaccines for years.
[01:08:56.136 --> 01:08:59.758]  That's a big, that's supposedly never going to release a coronavirus as soon as they got it.
[01:08:59.758 --> 01:09:00.758]  Exactly.
[01:09:00.758 --> 01:09:04.621]  And now it's what, an RNA vaccine that's going to rewrite your DNA?
[01:09:04.621 --> 01:09:10.464]  They always wanted a weaponized, they always, the Holy Grail was a weaponized comical.
[01:09:10.464 --> 01:09:11.605]  Right, because it spreads fast.
[01:09:12.385 --> 01:09:21.114]  And then, you know, some people really get it and they'll die off and it gets rid of, I guess, the people who are older, who have comorbidities, because that's what we're seeing.
[01:09:21.114 --> 01:09:23.016]  We're seeing a lot of people die from this.
[01:09:23.016 --> 01:09:24.057]  Yeah, the average age is like 82.
[01:09:24.057 --> 01:09:26.720]  Yeah, they're 82 and they have all these other problems.
[01:09:26.720 --> 01:09:30.324]  They have diabetes, they have high blood pressure, they have cancer, all kinds of things.
[01:09:30.544 --> 01:09:33.085]  And this is Gates who says, I want to kill old people.
[01:09:33.085 --> 01:09:33.545]  Yeah.
[01:09:33.545 --> 01:09:38.047]  And then he cooks up at Wuhan, on record, him and Fauci, something that kills old people.
[01:09:38.047 --> 01:09:40.768]  And I love how he goes on TV and goes, I'm not involved.
[01:09:40.768 --> 01:09:42.949]  And the whole Internet goes and finds all the clips of him.
[01:09:42.949 --> 01:09:43.229]  Yeah.
[01:09:43.229 --> 01:09:45.170]  How much trouble is Gates in, though?
[01:09:45.170 --> 01:09:51.412]  Well, you could tell when even Laura O'Donnell asked him about the side effects and the adverse reactions.
[01:09:51.412 --> 01:09:54.973]  And he starts, uh, uh, he can't get his words out.
[01:09:54.973 --> 01:09:57.334]  Well, the FDA, they'll do it.
[01:09:57.334 --> 01:09:57.794]  They'll do it.
[01:09:57.794 --> 01:09:58.855]  They're the gold standard.
[01:09:59.295 --> 01:10:00.476]  And yeah, there it is right there.
[01:10:00.476 --> 01:10:04.701]  I mean, he really, and he's talking about the severe pain in the arm, and he's rubbing his arm.
[01:10:04.701 --> 01:10:05.702]  It's just severe pain.
[01:10:05.702 --> 01:10:08.584]  But 20% had to be put on ventilators.
[01:10:08.584 --> 01:10:09.866]  They had to be put in hospitals.
[01:10:09.866 --> 01:10:10.286]  Oh yeah.
[01:10:10.286 --> 01:10:11.187]  And they're not going to show you this.
[01:10:11.187 --> 01:10:13.970]  They're going to try to give millions of people this?
[01:10:13.970 --> 01:10:16.472]  This is actually psychos destroying themselves.
[01:10:16.472 --> 01:10:20.737]  I actually, I don't want people to die, but I kind of like, they want to normalize everybody.
[01:10:21.257 --> 01:10:24.520]  Can you imagine when they start giving the vaccine, how they're going to try to cover up the deaths?
[01:10:24.520 --> 01:10:25.160]  Oh, totally.
[01:10:25.160 --> 01:10:32.066]  You had the guy come out who was in the trial and said, I went home and I had the worst fever, I felt horrible, but I still think people should take the vaccine.
[01:10:32.066 --> 01:10:33.827]  I mean, that's how crazy these people are.
[01:10:33.827 --> 01:10:37.330]  They've been brainwashed into believing anything that these authority figures say.
[01:10:37.330 --> 01:10:37.891]  Well, that's it.
[01:10:37.891 --> 01:10:39.232]  They're just like Aztecs.
[01:10:39.232 --> 01:10:42.935]  You come up here, we're going to chop your heart out and you just march up on top of your head.
[01:10:42.935 --> 01:10:46.158]  This is like, we can't cover up the vaccines are hurting people.
[01:10:46.158 --> 01:10:47.078]  We'll just get people to accept.
[01:10:47.078 --> 01:10:47.499]  Yeah.
[01:10:48.579 --> 01:10:51.360]  They've accepted it with the mask, now they're going to try this goggle thing.
[01:10:51.360 --> 01:10:54.921]  That's the, you know, in two months, everybody's got to wear goggles to walk into Walmart.
[01:10:54.921 --> 01:10:57.121]  And it's just, it's never going to end.
[01:10:57.121 --> 01:10:59.882]  Because if they can make you do all that, you'll take a chip.
[01:10:59.882 --> 01:11:08.624]  Meanwhile, Gates officially, it's in Google, it's on their own Microsoft site, that you're going to have to take a chip to buy and sell.
[01:11:08.624 --> 01:11:10.725]  And then they go, but we're not doing it.
[01:11:10.725 --> 01:11:13.305]  It's like on their site, this is officially happening.
[01:11:13.305 --> 01:11:15.046]  BBC says you'll have to have this.
[01:11:15.046 --> 01:11:16.706]  But then Gates goes, I know nothing about this.
[01:11:16.886 --> 01:11:17.947]  Well, and they're going to do all these things.
[01:11:17.947 --> 01:11:23.030]  You can't go to a bar, you can't do this, you can't travel to certain states, and tell, oh, now the vaccines are here, the magical vaccine.
[01:11:23.030 --> 01:11:24.932]  People are like, just give it to me, please, just give it to me.
[01:11:24.932 --> 01:11:28.174]  And then you're going to see people, probably 30% get really sick.
[01:11:28.174 --> 01:11:29.555]  It's five a year.
[01:11:29.555 --> 01:11:30.575]  Yeah, oh yeah, exactly.
[01:11:30.575 --> 01:11:32.257]  And then we have to make a new one.
[01:11:32.257 --> 01:11:33.938]  You've got to wear goggles.
[01:11:33.938 --> 01:11:37.320]  And he even admits it when he's talking to the reporter, Gates.
[01:11:37.320 --> 01:11:38.761]  He's like, well, we had to give a high dose.
[01:11:38.761 --> 01:11:39.742]  We had to give him two doses.
[01:11:40.382 --> 01:11:41.102]  And that's what they do.
[01:11:41.102 --> 01:11:42.363]  It's like, no one dose doesn't work.
[01:11:42.363 --> 01:11:44.384]  Well, young people get two, old get five.
[01:11:44.384 --> 01:11:45.104]  Oh, yeah.
[01:11:45.104 --> 01:11:45.684]  Oh, of course.
[01:11:45.684 --> 01:11:47.305]  You gotta really amp it up for old people.
[01:11:47.305 --> 01:11:48.105]  He said that.
[01:11:48.105 --> 01:11:51.887]  And we're gonna have 700,000 people have really bad adverse reactions.
[01:11:51.887 --> 01:11:56.448]  So, I mean, get ready, people, because when it comes to you, are you gonna take that chance?
[01:11:56.448 --> 01:11:58.089]  Sometimes they gotta kill us.
[01:11:58.089 --> 01:11:59.010]  And so they gotta have a cover.
[01:11:59.010 --> 01:12:00.190]  It's like, yeah, you're all gonna die.
[01:12:00.190 --> 01:12:01.150]  Just get ready.
[01:12:01.150 --> 01:12:02.411]  We need to save you by killing you.
[01:12:04.169 --> 01:12:07.612]  It totally boggles the mind of what is going on and what people are putting up with.
[01:12:07.612 --> 01:12:09.394]  Now you know Bill Gates isn't taking any of this.
[01:12:09.394 --> 01:12:10.535]  Oh, no.
[01:12:10.535 --> 01:12:12.777]  Hey, nobody above a certain level is taking.
[01:12:12.777 --> 01:12:14.198]  Think about what a psycho he is, though.
[01:12:14.198 --> 01:12:17.621]  His whole world is about making you take something in your body.
[01:12:17.621 --> 01:12:19.282]  And those of us that aren't rapists don't get it.
[01:12:19.282 --> 01:12:21.204]  A rapist isn't about the sex.
[01:12:21.204 --> 01:12:22.345]  It's about the power.
[01:12:22.345 --> 01:12:25.848]  And he's definitely, he is a globalist rapist.
[01:12:25.848 --> 01:12:28.510]  A global rapist is what he's trying to do at this point.
[01:12:28.510 --> 01:12:30.972]  I want to put a shirt out that just says Bill Gates, vaccine rapist.
[01:12:32.751 --> 01:12:35.874]  I mean, he literally wants to stick with fetal tissue.
[01:12:35.874 --> 01:12:37.795]  I mean, it'd be bad if you get raped.
[01:12:37.795 --> 01:12:41.518]  The person might have a disease, but this is like dead babies and diseases.
[01:12:41.518 --> 01:12:43.580]  And now we see again, we've got a rapist.
[01:12:43.580 --> 01:12:45.021]  Bill Clinton is a rapist.
[01:12:45.021 --> 01:12:47.644]  It came out in court documents, once again, raping little girls.
[01:12:47.644 --> 01:12:48.785]  And now he's going to rape you?
[01:12:48.785 --> 01:12:50.766]  He runs the global initiative with the contact tracers.
[01:12:50.766 --> 01:12:59.253]  The BBC is state-run media in the UK, and they've come out with a detailed article, it's linked on Infowars.com, saying
[01:13:00.234 --> 01:13:05.757]  You will have to have forced inoculations multiple times a year to be able to travel.
[01:13:05.757 --> 01:13:07.558]  Robots will scan you when you land.
[01:13:07.558 --> 01:13:12.560]  You will have a digital tattoo under your skin to be able to enter the country.
[01:13:12.560 --> 01:13:15.522]  But it's going to be so easy and so cool and so fun.
[01:13:15.522 --> 01:13:18.884]  The Microsoft website now officially has announced the digital tattoo.
[01:13:18.884 --> 01:13:21.185]  We exposed this six months ago.
[01:13:21.185 --> 01:13:26.167]  Now Bill Gates was funding it and they had hundreds of news articles attacking us saying it wasn't true.
[01:13:26.167 --> 01:13:27.428]  This is a tactic they use.
[01:13:27.808 --> 01:13:28.748]  First, they announce it.
[01:13:28.748 --> 01:13:29.829]  We say it's a bad idea.
[01:13:29.829 --> 01:13:30.729]  They say, that's crazy.
[01:13:30.729 --> 01:13:31.890]  We didn't do it.
[01:13:31.890 --> 01:13:33.070]  They introduced the idea to you.
[01:13:33.070 --> 01:13:36.612]  Then they come back and announce it again, thinking you have no memory.
[01:13:36.612 --> 01:13:38.893]  This is a criminal takeover.
[01:13:38.893 --> 01:13:41.034]  This is the line in the sand.
[01:13:41.034 --> 01:13:42.235]  We must say no.
[01:13:42.235 --> 01:13:47.157]  We must expose the fraud of COVID-19 that this entire house of evil is built on.
[01:13:47.157 --> 01:13:48.037]  I'm Alex Jones.
[01:13:48.037 --> 01:13:49.178]  Never surrender to tyranny.
[01:13:49.178 --> 01:13:49.958]  Infowars.com.
[01:13:49.958 --> 01:13:54.400]  The reasons that the globalists launch this planetary lockdown.
[01:13:55.154 --> 01:13:59.338]  The number one reason is it serves every one of their purposes.
[01:13:59.338 --> 01:14:03.801]  We've gone over those purposes many times here on air.
[01:14:03.801 --> 01:14:09.866]  The cashless society, the surveillance system, global government, medical tyranny, forced inoculation.
[01:14:09.866 --> 01:14:24.038]  But the most important facet is it teaches us that we are obsolete, that we are non-essential as we begin to witness automation computers and robots take over the jobs that people once had
[01:14:24.520 --> 01:14:26.121]  By design.
[01:14:26.121 --> 01:14:30.183]  This isn't like it's some advancement that we just fell into.
[01:14:30.183 --> 01:14:33.305]  It's been pre-planned, organized, globally.
[01:14:33.305 --> 01:14:35.566]  And it's extremely predatory.
[01:14:35.566 --> 01:14:47.333]  And through governmental actuaries and tax programs and regulations, the central banks that control it all are able to pick the winners and the losers and consolidate power.
[01:14:47.333 --> 01:14:50.435]  This is the truest form of technocracy fascism.
[01:14:54.088 --> 01:14:56.929]  You're listening to the Alex Jones Show!
[01:14:56.929 --> 01:15:07.472]  Cyrus Jones!
[01:15:07.472 --> 01:15:15.894]  Cyrus Jones from 1810 to 1913 Made his great-grandchildren believe you could live to 103
[01:15:25.976 --> 01:15:30.700]  103 is forever when you're just a little kid.
[01:15:30.700 --> 01:15:35.043]  So, Silas Jones, live forever.
[01:15:35.043 --> 01:15:36.104]  Brave digger.
[01:15:36.104 --> 01:15:37.485]  Brave digger.
[01:15:37.485 --> 01:15:39.767]  We are back live, ladies and gentlemen.
[01:15:39.767 --> 01:15:43.730]  Alright, so we went out, we hired a statistician to come up with the numbers.
[01:15:43.730 --> 01:15:45.411]  The story's on Infowars.com.
[01:15:45.411 --> 01:15:47.552]  It's a Don Salazar story.
[01:15:47.552 --> 01:15:51.876]  Scandemic CDC stats show flu deaths dropped as COVID deaths increased.
[01:15:51.876 --> 01:15:53.457]  This is life-saving.
[01:15:55.097 --> 01:15:58.439]  To get this information, to get it out to doctors, hospitals, you name it.
[01:15:58.439 --> 01:16:04.444]  We looked at a whole bunch of states and found what people were saying six months ago, five months ago, was true.
[01:16:04.444 --> 01:16:07.706]  They're counting all the flu deaths, you name it, in the same column.
[01:16:07.706 --> 01:16:10.668]  So, Rob News here, you hired the statistician to go over this.
[01:16:10.668 --> 01:16:12.009]  Stories on Infowars.
[01:16:12.009 --> 01:16:13.070]  This starts out with Arizona.
[01:16:13.070 --> 01:16:14.050]  Let's walk through this.
[01:16:14.050 --> 01:16:15.651]  Yeah, and I had him look at the hotspot states.
[01:16:15.651 --> 01:16:20.955]  So, Arizona, Florida, Michigan, Texas, those are all, Florida, that's where they said this is where it's all happening.
[01:16:20.955 --> 01:16:21.536]  So, if you look,
[01:16:22.136 --> 01:16:25.037]  And you can see, you have the flu deaths here going up to 16.
[01:16:25.037 --> 01:16:26.557]  So not that many, that's per day.
[01:16:26.557 --> 01:16:28.758]  These are deaths per day.
[01:16:28.758 --> 01:16:30.738]  And this is actually, the flu is the blue line.
[01:16:30.738 --> 01:16:33.379]  The COVID deaths, you can see the number, it's 140.
[01:16:33.379 --> 01:16:35.019]  It almost gets to 140 a day at one point.
[01:16:35.019 --> 01:16:40.881]  But you can see how, as the flu goes down, ah, COVID's magically taking its place.
[01:16:40.881 --> 01:16:44.242]  And in graphic after graphic, it's the exact same signature.
[01:16:44.242 --> 01:16:45.722]  It's just a computer change.
[01:16:45.842 --> 01:16:46.302]  Exactly.
[01:16:46.302 --> 01:16:50.244]  Which they admit they're counting flu as the death, but here's the numbers.
[01:16:50.244 --> 01:16:50.885]  There's the numbers.
[01:16:50.885 --> 01:16:56.107]  And then if you look at pneumonia, pneumonia follows almost the same path as COVID, almost the same number.
[01:16:56.107 --> 01:17:00.790]  So I've got him doing pneumonia deaths next, comparing that with the COVID.
[01:17:00.790 --> 01:17:04.432]  Because he's got to get all this data, put it all in, and it took him a while to gather the data.
[01:17:04.432 --> 01:17:07.213]  Now we're going to start seeing graphs spit out, which is going to be great.
[01:17:07.213 --> 01:17:09.434]  I can't wait to see how these numbers line up.
[01:17:09.434 --> 01:17:10.555]  I've also got him looking at
[01:17:11.255 --> 01:17:11.696]  I don't know.
[01:17:27.873 --> 01:17:33.737]  So, you're seeing that... Meanwhile, New York will not release data, because they're running the... He was looking at New York, he goes, I can't make sense of it.
[01:17:33.737 --> 01:17:34.798]  None of it makes sense.
[01:17:34.798 --> 01:17:36.499]  He's like, it's different in different places.
[01:17:36.499 --> 01:17:40.722]  So, we kind of excluded New York, even though New York was one of the ones I said, we need to look at that.
[01:17:40.722 --> 01:17:42.403]  But he goes, I can't make sense of this.
[01:17:42.403 --> 01:17:44.224]  And you could... Well, because they know what they're doing there.
[01:17:44.224 --> 01:17:44.924]  They're covering up.
[01:17:44.924 --> 01:17:45.385]  Well, yeah.
[01:17:45.385 --> 01:17:47.046]  I mean, New York's old school mobsters.
[01:17:47.046 --> 01:17:49.187]  They know how to manipulate data.
[01:17:49.187 --> 01:17:52.449]  They know what they're doing to get the money, because that's what it's all about at the end of the day.
[01:17:52.449 --> 01:17:55.932]  The more COVID patients you have... 50,000 for everybody you put a tube in and kill you.
[01:17:55.932 --> 01:17:57.513]  It's like Hank Johnson said, money.
[01:17:58.093 --> 01:18:12.354]  So let's go to California, and you can see California, almost the same signature, but you've got, you know, maybe 10 times more, almost 10 times more COVID deaths than flu deaths, but it's like, here we got the dip, and we had the dip, and then as these go down, these go up.
[01:18:13.015 --> 01:18:13.795]  It's really weird.
[01:18:13.795 --> 01:18:15.116]  They just manipulated it.
[01:18:15.116 --> 01:18:15.636]  They put it out.
[01:18:15.636 --> 01:18:18.636]  Just put it out a few weeks and drop the number or raise the number up.
[01:18:18.636 --> 01:18:19.717]  And that's what we're going to see.
[01:18:19.717 --> 01:18:21.217]  What's crazy is it matches.
[01:18:21.217 --> 01:18:25.498]  Like they cut off the flu and the same signature of what it would have done is the same deal.
[01:18:25.498 --> 01:18:32.780]  And then you almost have the same thing with pneumonia if you look at these with multiple causes of death which is the comorbidities and then the underlying.
[01:18:33.620 --> 01:18:35.022]  Look at it, they match!
[01:18:35.022 --> 01:18:37.744]  It's crazy, it's really crazy what they've done.
[01:18:37.744 --> 01:18:39.165]  I'll pull this down so you can see.
[01:18:39.165 --> 01:18:41.227]  Pneumonia, and they kind of do the same thing.
[01:18:41.227 --> 01:18:43.268]  And then flu is almost the exact same thing.
[01:18:43.268 --> 01:18:48.233]  It's like they've just re-manipulated the data and added a bunch more deaths to it.
[01:18:48.233 --> 01:18:49.454]  They're being extremely lazy.
[01:18:50.074 --> 01:18:50.934]  They are.
[01:18:50.934 --> 01:18:52.515]  And you know, I think that's part of the thing.
[01:18:52.515 --> 01:18:53.635]  Point is, it's all fakes.
[01:18:53.635 --> 01:18:56.717]  But it's, you know, the fraction, Matt, we've talked about this election metal.
[01:18:56.717 --> 01:18:57.237]  Fraction magic.
[01:18:57.237 --> 01:18:58.277]  Fraction magic, yeah.
[01:18:58.277 --> 01:19:02.779]  We're just going to make these little maneuvers right here and you're not going to see them because it's not whole numbers.
[01:19:02.779 --> 01:19:03.459]  It's fractions.
[01:19:03.459 --> 01:19:06.761]  So you never, it's hard to find the...
[01:19:07.561 --> 01:19:08.762]  I guess the signature.
[01:19:08.762 --> 01:19:11.143]  But here you go, same thing in Florida.
[01:19:11.143 --> 01:19:12.724]  Big scoop, goes down.
[01:19:12.724 --> 01:19:14.364]  Big scoop, goes down.
[01:19:14.364 --> 01:19:15.805]  And then they cross each other.
[01:19:15.805 --> 01:19:17.906]  As one's going down, one starts going up.
[01:19:17.906 --> 01:19:20.767]  I mean, it's comical when you look at it.
[01:19:20.767 --> 01:19:22.748]  Talk about a double cross, there it is.
[01:19:22.748 --> 01:19:26.750]  And it's in every state does the same thing.
[01:19:26.750 --> 01:19:28.171]  Here's Texas.
[01:19:28.171 --> 01:19:31.732]  So, you know, we've seen Texas going up and down and crazy.
[01:19:31.732 --> 01:19:32.853]  But Rob, what's crazy is...
[01:19:33.613 --> 01:19:36.456]  They admit they're adding regular deaths to it.
[01:19:36.456 --> 01:19:37.798]  So it's not like it's even our opinion.
[01:19:37.798 --> 01:19:39.239]  We just have graphs showing it.
[01:19:39.239 --> 01:19:40.340]  It's just like, my God.
[01:19:40.340 --> 01:19:45.966]  Michigan State Senator Dr. Jensen came out and then they investigated him for saying what they told him to do.
[01:19:45.966 --> 01:19:50.752]  He went out and said, hey, they're telling us if we suspect it's COVID, you could put COVID on the death certificate.
[01:19:50.752 --> 01:19:51.733]  He goes, I've never heard of that.
[01:19:52.153 --> 01:19:53.614]  So I had to go out and talk to people.
[01:19:53.614 --> 01:19:55.294]  He's got an ethics investigation.
[01:19:55.294 --> 01:20:01.237]  Well, they just ended it, but it took him, he was under the... But there's other doctors for being in a press conference saying... Oh yeah, she gets fired.
[01:20:01.237 --> 01:20:03.397]  Hydroxychloroquine helped my patient, she's fired!
[01:20:03.397 --> 01:20:04.738]  Yeah, exactly.
[01:20:04.738 --> 01:20:08.259]  And then the other one gets tarred and feathered through the media.
[01:20:08.259 --> 01:20:15.162]  Because the bureaucracy is saying, we don't care about your degree or your patience or your proof, we're the insurance companies, we're the bankers, we say what reality is.
[01:20:15.222 --> 01:20:18.665]  We care about the numbers, and we care about... I mean, let's look at this.
[01:20:18.665 --> 01:20:20.587]  Who's funded by the major news media?
[01:20:20.587 --> 01:20:21.708]  It's Big Pharma.
[01:20:21.708 --> 01:20:25.451]  So they're working hand-in-hand on this, and hey, we've got to promote remdesivir.
[01:20:25.451 --> 01:20:26.131]  Okay, cool.
[01:20:26.131 --> 01:20:26.672]  We're on that.
[01:20:26.672 --> 01:20:28.613]  There's a total conflict of interest.
[01:20:28.613 --> 01:20:30.315]  Yeah, we've got to go against hydroxychloroquine.
[01:20:30.575 --> 01:20:33.816]  We have to have a law where you can't have these drug companies.
[01:20:33.816 --> 01:20:39.218]  But imagine, Rendesivir in their fake study had an 8% increase in life.
[01:20:39.218 --> 01:20:41.979]  And it turns out it actually probably kills you in the other studies.
[01:20:41.979 --> 01:20:44.980]  But then something that has a 99% success rate that's cheap.
[01:20:44.980 --> 01:20:46.520]  Oh, we gotta crush that.
[01:20:46.520 --> 01:20:47.380]  This is murder.
[01:20:47.380 --> 01:20:48.301]  Oh, it's total murder.
[01:20:48.301 --> 01:20:50.702]  And then we had the doctor on West Texas with Budesonine.
[01:20:52.182 --> 01:20:53.083]  Yeah.
[01:20:53.083 --> 01:20:55.825]  He said, hey, this is working with all my patients.
[01:20:55.825 --> 01:20:56.766]  Oh, no, we can't.
[01:20:56.766 --> 01:20:58.527]  We got to drag this guy through the mud.
[01:20:58.527 --> 01:21:03.611]  Anybody who comes out with anything that works, it's like, folks, it's only because they're murdering everybody.
[01:21:03.611 --> 01:21:05.853]  And at the end of the day, it's all going to pan out.
[01:21:05.853 --> 01:21:06.053]  Yeah.
[01:21:06.053 --> 01:21:07.014]  Look at these other.
[01:21:07.014 --> 01:21:08.135]  Here's Michigan.
[01:21:08.135 --> 01:21:10.797]  This is from Dr. Dr. Jensen came out.
[01:21:10.797 --> 01:21:14.040]  Look, it matches perfectly the pneumonia almost to the week.
[01:21:15.640 --> 01:21:16.921]  But then you have the same thing.
[01:21:16.921 --> 01:21:17.861]  A big rise here.
[01:21:17.861 --> 01:21:20.461]  I guess this is when they started killing the old people here.
[01:21:20.461 --> 01:21:22.622]  But they still have the same peak.
[01:21:22.622 --> 01:21:24.923]  And then it drops down almost the same way.
[01:21:24.923 --> 01:21:28.724]  It's weird how this stuff works when you start looking at the numbers.
[01:21:28.724 --> 01:21:36.846]  And then you have in Texas where we have them on video saying we're going to count one person, we're going to multiply that, or we're going to add 15 to that.
[01:21:36.846 --> 01:21:37.846]  Every time we get one case.
[01:21:37.846 --> 01:21:42.627]  And that's why people all over the country, because the NIH still runs it even though Trump tried to shut them off.
[01:21:44.232 --> 01:21:46.253]  If one person gets it, they count 15 more.
