[00:00:11.947 --> 00:00:13.348]  Sorry folks, park's closed.
[00:22:58.923 --> 00:23:00.104]  But we can resist.
[00:23:00.404 --> 00:23:01.205]  We can say no.
[00:23:01.425 --> 00:23:02.606]  Roger Stone, straight ahead.
[00:23:04.824 --> 00:23:10.892]  We are back live on this Sunday, August 16th, 2020, worldwide broadcast.
[00:23:11.413 --> 00:23:19.183]  Robert Trump, the younger brother of President Donald John Trump, has died a few days ago, and President Trump
[00:23:19.904 --> 00:23:20.384]  I don't think so.
[00:23:37.836 --> 00:23:46.082]  But I thought I'd get Roger Stone on, because he's a longtime friend of the President, but also was really good friends with Robert Trump, who everybody says was just an amazingly cool guy.
[00:23:46.102 --> 00:23:49.544]  And the media has also tried to spin how he died or where he died.
[00:23:49.584 --> 00:23:52.146]  Well, Roger also knows some of the personal family details.
[00:23:52.186 --> 00:23:54.007]  I don't know if he's going to get into that here today.
[00:23:54.047 --> 00:23:59.030]  He also wants to get into some big political news that is unfolding as well.
[00:23:59.310 --> 00:24:03.073]  So, Roger, thanks for spending time with us on one of your few days off.
[00:24:04.076 --> 00:24:05.117]  Thank you, Alex.
[00:24:05.377 --> 00:24:31.031]  Only for this would I interrupt cocktail time on a Sunday evening, but I want to drink a toast to my friend, Robert Trump, who I knew very, very well because when I first became a consultant to Trump Hotels and Casino Resorts, he was actually the individual that I reported directly to regarding some traffic pattern issues in the state of New Jersey that I was working on.
[00:24:32.097 --> 00:24:34.020]  He was a very good guy.
[00:24:34.080 --> 00:24:35.262]  He was easygoing.
[00:24:35.282 --> 00:24:45.818]  He sounded and looked a lot like his brother, who he worshipped, just as Donald worshipped his older brother, who, as you know, died tragically very young.
[00:24:47.323 --> 00:24:54.205]  He, Robert, left the family business because of an extremely sensitive heart condition.
[00:24:54.945 --> 00:24:58.226]  I think the doctors were somewhat amazed that he survived this long.
[00:24:58.666 --> 00:25:01.507]  He had some inoperable problem with his heart.
[00:25:01.947 --> 00:25:03.067]  He was a very decent man.
[00:25:03.147 --> 00:25:04.108]  He was a Christian man.
[00:25:04.128 --> 00:25:05.268]  He had a good sense of humor.
[00:25:06.168 --> 00:25:07.289]  I liked him a great deal.
[00:25:07.309 --> 00:25:09.229]  I was very sad to hear about his death.
[00:25:09.729 --> 00:25:11.550]  I know the president was very close to him.
[00:25:11.570 --> 00:25:13.330]  I think they spoke just about every day.
[00:25:13.890 --> 00:25:16.091]  So, you know, it is a sad day.
[00:25:16.900 --> 00:25:22.162]  It is outrageous that the left is out there saying, oh, they got the wrong Trump.
[00:25:22.342 --> 00:25:22.983]  Who is they?
[00:25:23.343 --> 00:25:23.703]  God?
[00:25:23.823 --> 00:25:25.124]  God makes these decisions.
[00:25:26.124 --> 00:25:27.805]  And it was Robert's time.
[00:25:28.105 --> 00:25:28.825]  God bless him.
[00:25:28.965 --> 00:25:29.886]  May he rest in peace.
[00:25:32.287 --> 00:25:39.190]  I don't want to get into anything negative here, but it just shows the level the left's going to, how they're trending a hashtag saying the wrong Trump died.
[00:25:39.570 --> 00:25:41.111]  This is just really sickening evil.
[00:25:43.089 --> 00:25:46.052]  Well, but it's certainly no different than what we have seen.
[00:25:46.092 --> 00:25:53.139]  The attacks on Melania Trump, in my opinion, the most cultured and gracious First Lady since Jacqueline Kennedy.
[00:25:53.739 --> 00:25:58.144]  The attacks on Barron Trump, who is, you know, a minor at this point.
[00:25:58.924 --> 00:26:04.830]  But you'll recall tweets saying that, you know, he should be turned over for sex trafficking.
[00:26:05.891 --> 00:26:07.893]  The left is completely intolerant.
[00:26:08.033 --> 00:26:14.539]  They are the ones who are out of control with the threats of violence, with the actual violence.
[00:26:15.139 --> 00:26:20.985]  I don't need to tell you, Alex, you predicted this year's ahead of anyone.
[00:26:21.025 --> 00:26:23.047]  We have an active, organized,
[00:26:23.726 --> 00:26:28.268]  Very well-funded socialist revolution going on in our streets.
[00:26:28.868 --> 00:26:34.690]  It coincides with some legitimate democratic protests, but it shouldn't be mistaken for that.
[00:26:34.790 --> 00:26:50.315]  They're taking advantage of a public health crisis to magnify its danger, to create political instability, to try yet again what they've now tried twice, actually four times, and failed to do.
[00:26:50.925 --> 00:26:52.765]  Remove Donald Trump from the White House.
[00:26:53.346 --> 00:26:55.546]  They wanted to challenge him in the electoral college.
[00:26:55.806 --> 00:26:56.386]  That's one.
[00:26:56.726 --> 00:26:57.206]  They failed.
[00:26:57.767 --> 00:27:00.667]  They wanted recounts in three states that he won narrowly.
[00:27:01.207 --> 00:27:01.807]  That failed.
[00:27:02.008 --> 00:27:05.468]  Michigan, Pennsylvania, and Wisconsin.
[00:27:06.108 --> 00:27:08.369]  Then they tried the Russian collusion hoax.
[00:27:09.009 --> 00:27:12.570]  That was an expensive, painful, but colossal failure.
[00:27:13.211 --> 00:27:16.692]  Then they tried the hastily pulled together Ukrainian hoax.
[00:27:17.172 --> 00:27:19.073]  That was just an embarrassment to them.
[00:27:19.633 --> 00:27:25.214]  And now they're trying to profit politically from the fallout of coronavirus.
[00:27:25.775 --> 00:27:37.618]  That is how desperate the globalists are to retake control of the country and to absolutely, and I'm not exaggerating, erase all of our constitutional liberties.
[00:27:38.382 --> 00:27:40.923]  Robert Trump was a patriot just like his brother.
[00:27:41.443 --> 00:27:44.184]  Robert Trump was a conservative Republican.
[00:27:45.144 --> 00:27:53.886]  They have a sister who served with great integrity on the federal bench, was a very, very respected federal judge.
[00:27:54.907 --> 00:28:00.288]  This is a family that has done more than their share for both charity and public service.
[00:28:00.968 --> 00:28:06.990]  As you know, Alex, and I say this whenever I talk around the country, Trump didn't need this job.
[00:28:08.174 --> 00:28:14.548]  He didn't need the acclaim or the name ID or the plane or the house or the status.
[00:28:15.630 --> 00:28:19.098]  This has cost him $2 billion off of his net worth.
[00:28:19.938 --> 00:28:21.239]  He's doing this for the country.
[00:28:21.399 --> 00:28:22.759]  He's doing this because he's a patriot.
[00:28:39.867 --> 00:28:44.351]  I think it's fair to say the only person who's probably gone through as much as Trump or more has been you.
[00:28:44.832 --> 00:28:46.994]  I guess Seth Rich got killed, so I guess he paid more.
[00:28:47.314 --> 00:28:50.077]  There's been a lot of people paying in blood, sweat, and tears.
[00:28:50.377 --> 00:28:51.418]  I know we're happy to do it.
[00:28:51.999 --> 00:28:57.104]  The good news is we're starting to win, I think, but they can still snatch victory from the jaws of defeat.
[00:28:57.404 --> 00:29:00.027]  So as we get ready to go to break, let's spend three, four minutes on this.
[00:29:01.383 --> 00:29:02.683]  What's the Democrat playbook?
[00:29:02.723 --> 00:29:03.864]  What's the Deep State playbook?
[00:29:04.064 --> 00:29:08.565]  As they begin to have the indictments finally from Durham happen, we'll talk about next segment.
[00:29:08.665 --> 00:29:12.245]  But, I mean, that's gotta, that's what Trump said.
[00:29:12.265 --> 00:29:13.025]  They're coming after me.
[00:29:13.045 --> 00:29:13.766]  They're not happy.
[00:29:14.206 --> 00:29:15.246]  They may try to take me out.
[00:29:15.286 --> 00:29:18.787]  I mean, he's really letting people know that he's in a death match here, isn't he?
[00:29:19.927 --> 00:29:23.748]  It appears that way, but as you know, it's very difficult to read the tea leaves.
[00:29:23.828 --> 00:29:27.448]  First of all, let's not forget our wounded still on the battlefield.
[00:29:27.969 --> 00:29:29.809]  That would be General Michael Flynn.
[00:29:30.555 --> 00:29:53.745]  I mean, we now know, indisputably, that General Flynn committed no crime whatsoever, that his prosecutors, who are actually his persecutors, know that he committed no crime, that they withheld not only exculpatory evidence, but they also withheld proof that he was just politically targeted for non-legal but political reasons.
[00:29:54.405 --> 00:29:56.846]  It is outrageous that the judge in the D.C.
[00:29:56.886 --> 00:29:59.327]  Circuit has refused to dismiss
[00:30:00.160 --> 00:30:06.885]  Uh, his charges, now that we know they're fraudulent, and he continues to waste time and money.
[00:30:06.925 --> 00:30:14.730]  I happen to know firsthand that the General's legal expenses just over the last 30 days were more than $1 million.
[00:30:16.474 --> 00:30:19.258]  Michael Flynn is a genuine war hero.
[00:30:19.298 --> 00:30:20.700]  He's not just a patriot.
[00:30:21.121 --> 00:30:24.125]  He's an individual of incredible personal bravery.
[00:30:24.205 --> 00:30:25.086]  Read his history.
[00:30:25.607 --> 00:30:27.349]  This guy is the real deal.
[00:30:27.369 --> 00:30:28.972]  And let's understand something.
[00:30:29.592 --> 00:30:32.416]  It's now coming out that people they knew that were working for the CIA
[00:30:33.638 --> 00:30:42.626]  Who talked to Russians under their job, that the Justice Department was saying they were Russian agents, burning our own people, just in an attempt to find somebody who was talking to Russians.
[00:30:42.966 --> 00:30:44.347]  And it turns out Comey knew this.
[00:30:44.448 --> 00:30:52.435]  I mean, this is criminal espionage against the national security of our country, burning people that are assets who are investigating Russians.
[00:30:52.695 --> 00:30:59.541]  And because people in the CIA are penetrating the Russians, turning that around and saying that they are Russian agents, that is beyond criminal.
[00:31:00.469 --> 00:31:01.869]  That's exactly what happened here.
[00:31:02.010 --> 00:31:17.655]  They knew, when they used Carter Page as the poster child to justify their Russian collusion surveillance, that he was actually working for the Central Intelligence Agency and had been reporting on his contacts with the Russians.
[00:31:18.275 --> 00:31:26.059]  So, this fellow Clinesmith that they have indicted, this is like indicting Hunt and Liddy for Watergate, okay?
[00:31:26.439 --> 00:31:27.620]  This is the lowest level.
[00:31:28.000 --> 00:31:29.861]  Who gave Clinesmith his orders?
[00:31:30.221 --> 00:31:32.622]  Who was it that told him to do this?
[00:31:33.202 --> 00:31:34.743]  Was it Andrew Weissman?
[00:31:35.103 --> 00:31:40.406]  Because Weissman is out today publicly in The Hill, a publication, saying that Clinesmith
[00:31:42.527 --> 00:31:57.093]  Well, come back and talk about that, but just let the richness of that sink in.
[00:31:57.393 --> 00:32:05.096]  The very group that persecuted Flynn is now using the fact that he's been exonerated as the reason they shouldn't get in trouble when it's all part of the same persecution.
[00:32:05.536 --> 00:32:07.117]  I mean, this is just next level.
[00:32:07.157 --> 00:32:11.200]  Roger Stone is here with us, exonerated.
[00:32:11.560 --> 00:32:14.762]  All the frauds come out, but they're still trying to destroy him as well.
[00:32:14.782 --> 00:32:15.603]  They're trying to destroy us.
[00:32:15.923 --> 00:32:16.823]  We're together, folks.
[00:32:16.863 --> 00:32:17.664]  We're stronger than ever.
[00:32:17.924 --> 00:32:20.166]  But with 78 days out, we're going to talk about the election.
[00:32:20.486 --> 00:32:23.288]  We're going to talk about the new film that Roger's a big part of.
[00:32:24.028 --> 00:32:24.508]  Straight ahead.
[00:32:27.450 --> 00:32:31.173]  The spider at the center of the world government web.
[00:32:32.654 --> 00:32:33.695]  It is beyond psychotic.
[00:32:33.715 --> 00:32:34.796]  It is New World Order.
[00:32:35.356 --> 00:32:36.677]  It's Alex Jones.
[00:32:42.902 --> 00:32:44.062]  You found it.
[00:32:44.102 --> 00:32:45.644]  The tip of the spear.
[00:32:46.144 --> 00:32:48.626]  It is the Alex Jones Show.
[00:32:50.547 --> 00:32:53.950]  Well, to say we're living in historic and epic times is an understatement.
[00:32:54.090 --> 00:32:54.290]  It is 2020.
[00:32:54.610 --> 00:32:59.774]  The year's already halfway over and it is not disappointing in any way.
[00:32:59.874 --> 00:33:00.715]  It is crazy.
[00:33:02.073 --> 00:33:04.154]  And the word is, this is just going to get wilder after this.
[00:33:04.214 --> 00:33:05.254]  Roger Stone is here with us.
[00:33:05.554 --> 00:33:07.315]  Here's some of the headlines at Infowars.com.
[00:33:07.355 --> 00:33:12.337]  Report, many more indictments expected in Durham's Obamagate investigation.
[00:33:13.177 --> 00:33:16.539]  And here it is, Trump reacts to FBI lawyer guilty plea.
[00:33:16.899 --> 00:33:18.139]  That's just the beginning.
[00:33:18.199 --> 00:33:24.842]  Talking about Kevin Clinesmith that, again, is like getting G. Gordon Liddy and some of the low-level guys to get Nixon.
[00:33:26.400 --> 00:33:31.722]  Is former FBI Assistant Director Bill Pinstripe next to be brought to justice?
[00:33:32.722 --> 00:33:46.466]  And then it gets into Justice Kavanaugh rules against George Soros connected open society because they are actually saying keep sex trafficking legal and they want to lower the age of consent.
[00:33:47.768 --> 00:33:49.891]  I'm telling you, man, I tell you, this George Soros is evil.
[00:33:50.231 --> 00:33:51.994]  So that's good news to see that on that front.
[00:33:52.655 --> 00:33:53.896]  I know we've heard a lot from Durham.
[00:33:53.916 --> 00:33:58.122]  We've heard that they're going to supposedly finally take action.
[00:33:59.043 --> 00:34:00.325]  You've got your ear to the ground, Roger.
[00:34:00.365 --> 00:34:01.446]  What's the word you're hearing?
[00:34:01.687 --> 00:34:05.332]  Because you're one of the victims of this criminal group that tried to run a coup against America.
[00:34:06.752 --> 00:34:09.874]  Well, Alex, it's an open question in my mind.
[00:34:09.954 --> 00:34:29.749]  In other words, I know a lot of conservatives and a lot of people who love liberty are very optimistic and hopeful that Attorney General Barr and Special Counsel Durham are going to bring the perps to justice regarding the greatest single abuse of power in the history of our country.
[00:34:29.770 --> 00:34:35.154]  I mean, these people, including Joe Biden, use the full authority of the U.S.
[00:34:35.214 --> 00:34:35.634]  government
[00:34:36.181 --> 00:34:57.069]  And the extraordinary capabilities for surveillance of our intelligence agencies for the strictly political purpose of spying on the Republican candidate for president and then use the fruits of what they knew as fabricated evidence to defraud the FISA courts in an effort to take out the president in a coup d'etat.
[00:34:57.409 --> 00:34:58.950]  It is nothing less than that.
[00:35:00.136 --> 00:35:06.100]  But I would point out to you that the week that I was unjustly convicted in a D.C.
[00:35:06.180 --> 00:35:09.403]  court, the prosecutor in my case, J.P.
[00:35:09.463 --> 00:35:25.914]  Cooney, the new prosecutor who reports to Bill Barr, announced that very week that there would be no prosecution for Andrew McCabe, the number two man at the FBI who could have and should have been charged with crimes far more serious
[00:35:28.037 --> 00:35:30.880]  So you're not holding your breath?
[00:35:30.920 --> 00:35:34.243]  You think they may burn some low-level people but none of the kingpins?
[00:35:40.470 --> 00:35:47.056]  I know you're not supposed to say this, that the results of the investigation could be greatly affected by who is elected.
[00:35:47.496 --> 00:35:55.363]  Does anybody doubt that Joe Biden would pardon all of his co-conspirators in Russiagate?
[00:35:55.383 --> 00:35:56.264]  Let's be very clear.
[00:35:56.924 --> 00:36:00.986]  The Vice President talks about being in the room when all the big decisions are made.
[00:36:01.346 --> 00:36:02.526]  He's absolutely right.
[00:36:02.646 --> 00:36:04.547]  And let's be clear, nobody talks about that.
[00:36:04.927 --> 00:36:06.247]  Their back's against the wall.
[00:36:06.928 --> 00:36:08.628]  They're coming in with all her baggage.
[00:36:08.688 --> 00:36:10.169]  Kamala Harris, why have they picked her?
[00:36:11.636 --> 00:36:13.777]  Well, I think for several reasons.
[00:36:13.837 --> 00:36:17.959]  First of all, Biden, I think, politically backed himself into a corner.
[00:36:18.039 --> 00:36:25.341]  He not only pledged to select a woman, but he committed to select a woman of color.
[00:36:25.842 --> 00:36:34.305]  That left him with a very small pool of women who, from a public point of view, would be perceived as having the stature to be president.
[00:36:34.926 --> 00:36:41.147]  It doesn't mean that he didn't have some quality people from a left-wing point of view, but it's not credible.
[00:36:41.587 --> 00:36:44.128]  Kamala Harris is a reliable deep stater.
[00:36:44.568 --> 00:36:45.388]  Here's the irony.
[00:36:45.748 --> 00:36:50.849]  At the same time they're talking about defending the cops, they have nominated the ultimate cop.
[00:36:51.369 --> 00:36:53.110]  She's a cop for the deep state.
[00:36:53.530 --> 00:36:56.450]  Let's look at her record as the district attorney in Oakland.
[00:36:56.750 --> 00:36:58.271]  Let's look at her record as attorney general.
[00:36:58.291 --> 00:37:02.152]  When she knew people were innocent and they had the DNA test, she'd block it.
[00:37:02.532 --> 00:37:03.532]  I mean, she's a monster.
[00:37:04.400 --> 00:37:08.064]  Yes, but the question is, Alex, where's the Trump campaign?
[00:37:08.084 --> 00:37:08.905]  I'm not hearing them.
[00:37:10.166 --> 00:37:12.168]  And that's why you really wanted to come on today.
[00:37:12.188 --> 00:37:15.731]  You wanted to talk about Robert Trump, but also your friend and how great he was.
[00:37:15.771 --> 00:37:19.135]  But also, you think the Trump campaign's got big problems.
[00:37:19.495 --> 00:37:21.057]  I mean, not the president, but the campaign.
[00:37:21.097 --> 00:37:22.078]  So lay it on the president.
[00:37:22.298 --> 00:37:23.139]  I know he's listening to you.
[00:37:24.258 --> 00:37:33.942]  Well, look, I think that the President is the greatest communicator in Republican history, given the ammunition, and he knows better than anyone else how to use it.
[00:37:34.042 --> 00:37:40.325]  But Kamala Harris is a public policy disaster if you're any kind of civil libertarian.
[00:37:40.505 --> 00:37:42.926]  She's not a liberal, she's a statist.
[00:37:43.126 --> 00:37:45.548]  And you're the guy that worked with Trump, not Jared Kushner.
[00:37:45.588 --> 00:37:52.354]  You were on record 20 years ago for the decriminalization of marijuana and not having these minimum sentences and getting nonviolent black folks out of jail.
[00:37:52.714 --> 00:37:55.616]  So Trump's actually gotten black folks out of jail.
[00:37:55.857 --> 00:37:58.639]  Kamala Harris keeps innocent black people and white people in jail.
[00:37:58.859 --> 00:38:03.363]  When she knows it's innocent, he should just be blowing the living snot out of her politically with that, right?
[00:38:03.563 --> 00:38:08.227]  He should have all guns, boom, boom, boom, but we're not seeing a BB gun fired at her politically.
[00:38:09.221 --> 00:38:09.682]  That's it.
[00:38:09.702 --> 00:38:11.444]  Look, I give Jared Kushner credit.
[00:38:11.544 --> 00:38:17.252]  I mean, he followed through on an issue that I felt strongly about for a long time, both he and Kim Kardashian.
[00:38:17.292 --> 00:38:18.474]  It doesn't matter about credit.
[00:38:18.634 --> 00:38:20.096]  The president has done the right thing.
[00:38:20.797 --> 00:38:23.419]  You just summed it up better than I could have.
[00:38:23.899 --> 00:38:25.981]  This comparison needs to be now.
[00:38:26.221 --> 00:38:29.703]  When they chose Kamala Harris, my reaction was, yes!
[00:38:30.484 --> 00:38:31.164]  I was delighted.
[00:38:31.224 --> 00:38:31.865]  She's perfect.
[00:38:32.125 --> 00:38:33.586]  She's exactly like Joe Biden.
[00:38:34.006 --> 00:38:40.411]  Incarcerating innocent black people or black people who are convicted of minor nonviolent crimes.
[00:38:41.192 --> 00:38:42.734]  This is an outrageous policy.
[00:38:43.135 --> 00:38:45.859]  She has supported it without reservation.
[00:38:46.239 --> 00:38:50.165]  And now she's trying to cause a race war and saying white people are inherently bad.
[00:38:50.366 --> 00:38:51.647]  What she is is a total phony.
[00:38:52.637 --> 00:39:04.442]  Well, chuckling about when she was smoking dope and listening, you know, to Snoop Dogg, when in fact, if you check the dates, Snoop Dogg wasn't even out when she was in college.
[00:39:05.222 --> 00:39:18.247]  But how come it's okay for her to snicker about smoking marijuana at the same time she's locking up four defenseless black people who are not violent criminals and don't deserve long-term incarceration?
[00:39:18.747 --> 00:39:25.268]  This is a key issue to this campaign, and the President needs to hit it very hard.
[00:39:25.288 --> 00:39:38.051]  No, I agree, but even though he's not, for whatever reason, when it's so obvious, wow, I see the polls, even the skewed ones, this 30, 40, 50% of black folks are saying they're going to vote for Trump now because of Kamala.
[00:39:38.111 --> 00:39:38.611]  Why did they?
[00:39:38.871 --> 00:39:43.032]  They know that she was polling at 1% with black people when she was in the primary.
[00:39:43.072 --> 00:39:47.573]  Why the hell would they pick the most unpopular person that black people reject as a phony?
[00:39:48.490 --> 00:39:50.932]  Because she's a dependable member of the Deep State.
[00:39:51.092 --> 00:39:55.134]  Because she will deliver whatever it is the Soros has won.
[00:39:55.214 --> 00:39:59.257]  I'm sure you saw the photograph of she and Alexander.
[00:40:00.089 --> 00:40:01.230]  Son, yeah, exactly.
[00:40:01.950 --> 00:40:04.492]  Public enemy number two, as far as I'm concerned.
[00:40:04.913 --> 00:40:05.913]  Oh, he's already stepped in.
[00:40:05.973 --> 00:40:23.306]  As you know, he's already running the whole show, so basically they're saying, and he endorsed her, he said, this is who we wanted, we've got her, and so they just think, here's the thing, even CNN said, the word is Biden will step down, as we've been saying for months, he's been saying, as a placeholder, he will step down a few months if he's elected, and she will be our president, my goodness.
[00:40:24.754 --> 00:40:33.496]  I don't necessarily agree with that scenario, other than to say that he's in such frail health, you'll never convince him to step away.
[00:40:33.956 --> 00:40:42.178]  He's wanted this his whole life, it's now dropped into his lap, but he clearly does not have the stamina or the fortitude to finish the job.
[00:40:42.718 --> 00:40:49.120]  I would not be shocked if they tell us, you know, several months into his term that the President died in his sleep or in a stroke.
[00:40:50.151 --> 00:40:51.293]  That he has to resign.
[00:40:51.313 --> 00:40:53.355]  He'll never voluntarily- No, you're right.
[00:40:53.375 --> 00:40:55.078]  They're gonna Woodrow Wilson his ass.
[00:40:56.158 --> 00:40:57.419]  That's entirely possible.
[00:40:57.479 --> 00:41:09.985]  Most folks don't understand that, but Woodrow Wilson suffered a debilitating stroke, which his chief of staff and his wife kept a secret from all the members of his cabinet, all the members of the Supreme Court, and the American public.
[00:41:10.466 --> 00:41:14.448]  And Edith Galt Wilson was your first woman president.
[00:41:14.508 --> 00:41:16.969]  She ran the country for the balance of his term.
[00:41:17.389 --> 00:41:22.012]  The media was very different in those days, so you could conceal a secret like this.
[00:41:22.672 --> 00:41:25.594]  My friends who are Democrats, and believe it or not, I have many of them,
[00:41:26.411 --> 00:41:29.614]  They know Joe Biden is inherently weak as a candidate.
[00:41:30.094 --> 00:41:33.678]  They needed somebody, anybody to block Bernie Sanders.
[00:41:34.258 --> 00:41:38.222]  They knew Sanders was another McGovern, that he was an electoral disaster.
[00:41:39.083 --> 00:41:39.243]  I don't
[00:41:57.188 --> 00:41:58.188]  All right, Roger.
[00:41:58.388 --> 00:42:02.369]  Our sites are band.video and infowars.com and newswars.com.
[00:42:02.609 --> 00:42:08.210]  Now on Twitter, when we send out a band.video link, when anybody does, when you do, they put a little link saying, this may be dangerous, don't click it.
[00:42:08.390 --> 00:42:09.751]  That's actually increasing the clicks.
[00:42:09.791 --> 00:42:11.231]  So I want to thank Twitter for that.
[00:42:11.271 --> 00:42:12.711]  But where's the best site for people?
[00:42:12.851 --> 00:42:14.072]  Because you've been banned everywhere as well.
[00:42:14.112 --> 00:42:14.772]  You're on Parler.
[00:42:15.072 --> 00:42:19.213]  But where can people go find the authentic Roger Stone when they see a story against you?
[00:42:19.233 --> 00:42:21.193]  You're not allowed to respond other than places like this.
[00:42:21.513 --> 00:42:24.294]  So it's more important than ever that people actually go to the URL.
[00:42:25.399 --> 00:42:28.222]  Stonecoldtruth.com is still the best place to go.
[00:42:28.302 --> 00:42:34.928]  Now remember, I was banned from posting anything whatsoever there, even restaurant reviews, during my trial.
[00:42:35.289 --> 00:42:45.278]  But now that the President, in an act of both mercy and justice, commuted my sentence, I am back to Stonecoldtruth.com.
[00:42:46.099 --> 00:42:49.262]  Where I'm giving weekly political commentary.
[00:42:49.402 --> 00:42:55.447]  And here's the deal, you're traveling, you're giving interviews every day, you're giving speeches, you're back in the game for the American people in the world 2020.
[00:42:55.587 --> 00:42:57.508]  People can find all of it right there.
[00:42:57.529 --> 00:43:02.473]  We'll do five more minutes on Millie Weaver's arrest and Shadowgate, the film that you're in.
[00:43:02.513 --> 00:43:03.994]  We'll talk about that when we come back.
[00:43:04.034 --> 00:43:07.877]  Then we have a lady that's in the film, I think she's a great lady, exposed to the deep state.
[00:43:08.097 --> 00:43:10.459]  And she's been talking to Millie in jail today in Ohio.
[00:43:10.659 --> 00:43:11.320]  She'll have the latest.
[00:43:11.380 --> 00:43:12.541]  Hour number two, straight ahead.
[00:43:17.604 --> 00:43:18.204]  All right, folks.
[00:43:18.284 --> 00:43:23.466]  So, Friday, Millie Weaver's like, hey, I want you to get this guy in the studio that's in my film.
[00:43:23.506 --> 00:43:25.227]  I hadn't seen her film called Shadowgate.
[00:43:25.667 --> 00:43:27.287]  She's a... I sponsor them.
[00:43:27.808 --> 00:43:30.629]  So when I say they're a contractor, I'm not dissing myself from them.
[00:43:30.949 --> 00:43:32.009]  They do their own thing.
[00:43:32.029 --> 00:43:37.391]  I mean, I might talk to Millie once a week, or she sends me an article, I send her articles that I'd like her to tweet out.
[00:43:37.991 --> 00:43:38.971]  And I think she does a great job.
[00:43:39.011 --> 00:43:39.392]  I like Millie.
[00:43:39.412 --> 00:43:40.252]  I've known Millie eight years.
[00:43:42.455 --> 00:43:52.260]  Then they put out this movie, Shadowgate, that I don't know about until she's been arrested and charged with family violence and destroying a cell phone, which is way overblown.
[00:43:52.760 --> 00:43:55.882]  So then it looks like, oh my god, they're trying to cover up what's happened with their film.
[00:43:57.223 --> 00:43:57.543]  And then...
[00:43:58.936 --> 00:44:02.057]  The last thing she said is, this guy's in town, he's in my film, he wants to be on.
[00:44:02.297 --> 00:44:06.499]  So the guy's at the door, he comes in, and he goes, yeah.
[00:44:06.619 --> 00:44:09.240]  And so I've got him here in studio, and I go, okay, who runs it?
[00:44:09.540 --> 00:44:11.201]  And during the break, he goes, Roger Stone.
[00:44:11.901 --> 00:44:14.402]  I go, sorry, Roger Stone can't hardly make his Skype work.
[00:44:15.163 --> 00:44:17.223]  Now, I like Roger, but he's about as technical as I am.
[00:44:17.964 --> 00:44:21.025]  Well, he works with Manafort and General Joe's.
[00:44:21.065 --> 00:44:23.146]  I go, he hasn't worked for Manafort in 20 plus years.
[00:44:24.042 --> 00:44:26.703]  I said, I know I was trying to get him to get Manafort on during the campaign.
[00:44:26.723 --> 00:44:30.344]  He said, well, I talked to him once while we're still friends, but I haven't done business with him in decades.
[00:44:30.764 --> 00:44:33.805]  So we're not attacking the film and I want to get her out of jail.
[00:44:33.865 --> 00:44:35.846]  And we got Tori, who's her friend in the film.
[00:44:35.886 --> 00:44:38.707]  Very nice lady who's been on before and exposed election fraud, Kentucky.
[00:44:38.727 --> 00:44:39.927]  We're going to have them on.
[00:44:39.967 --> 00:44:41.288]  But you know, when you're in a film.
[00:44:42.088 --> 00:44:46.071]  And the guy's there and he goes, yeah, your partner, Roger Stone, he runs it all.
[00:44:46.151 --> 00:44:48.512]  So Roger, you had to let me in on the secret here.
[00:44:48.673 --> 00:44:52.595]  But then I said this morning, talking to some of these folks, I said, I want to see him with General Jones.
[00:44:52.935 --> 00:44:54.096]  I want to see him with Hayden.
[00:44:54.336 --> 00:44:57.078]  I want to see him running Shadownet.
[00:44:57.178 --> 00:44:58.019]  It's not true.
[00:44:58.319 --> 00:44:59.740]  So we're not attacking the film.
[00:44:59.920 --> 00:45:00.881]  It's a small part of it.
[00:45:01.641 --> 00:45:04.603]  But I mean, my God, Roger, I didn't know you ran everything.
[00:45:04.643 --> 00:45:05.104]  Tell me about it.
[00:45:06.115 --> 00:45:08.577]  No, look, Alex, I get blamed when it rains.
[00:45:08.637 --> 00:45:10.378]  When it rains, oh, that's Roger Stone.
[00:45:10.438 --> 00:45:11.578]  Let's be very clear.
[00:45:11.699 --> 00:45:12.379]  I like Millie.
[00:45:12.439 --> 00:45:14.860]  I've always had a good relationship with Millie.
[00:45:14.880 --> 00:45:16.101]  I think she's a great reporter.
[00:45:17.002 --> 00:45:24.046]  This fellow, Patrick Berge, approached me several times regarding this story, which I can tell you nothing about.
[00:45:24.346 --> 00:45:27.768]  Yes, I was partners with Paul Manafort 30 years ago.
[00:45:27.788 --> 00:45:31.271]  I haven't done business with he or Rick Davis in 30 years.
[00:45:32.557 --> 00:45:43.621]  The allegation is that Paul Manafort, Rick Davis, and John McCain were somehow investors in some surveillance tool that Bergey knows about.
[00:45:43.682 --> 00:45:47.143]  You know, that even may be true, but it has nothing to do with me.
[00:45:47.803 --> 00:45:57.107]  To say that I'm manipulating surveillance for the deep state, I would suggest to you that the experience I've just been through kind of disproves all of that.
[00:45:57.765 --> 00:46:00.767]  So, Patrick Murray seemed like a good guy to me.
[00:46:00.907 --> 00:46:02.949]  He had an intelligence background.
[00:46:02.989 --> 00:46:04.190]  He seemed like a patriot.
[00:46:04.590 --> 00:46:07.653]  But in this case, he's barking up the wrong tree.
[00:46:08.173 --> 00:46:11.896]  This is McCarthyite-type association.
[00:46:12.216 --> 00:46:13.357]  Sure, I know Manafort.
