[00:00:00.130 --> 00:00:00.394]  Shut up.
[00:49:11.121 --> 00:49:14.723]  He lied to Congress, a federal crime.
[00:49:14.723 --> 00:49:24.408]  And if you are a head of a department and you lie to the president to his face on an issue of national security, that is a felony as well.
[00:49:24.408 --> 00:49:27.029]  But these people have no respect for anybody.
[00:49:28.564 --> 00:49:36.409]  I noticed Comey is always like, you know, putting behind him American flags and flags, you know, from dead veterans and the rest of it to try to make himself look like a good guy.
[00:49:36.409 --> 00:49:37.250]  He's a monster.
[00:49:37.250 --> 00:49:40.612]  And he hides behind the very flag he's trying to destroy.
[00:49:40.612 --> 00:49:44.294]  He's an enemy of the Republic, an enemy of everybody.
[00:49:44.294 --> 00:49:46.896]  I mean, I don't have words to describe how bad these guys are.
[00:49:48.220 --> 00:49:51.262]  So your calls are coming up, and I just have unlimited news and information.
[00:49:51.262 --> 00:49:55.525]  I've got all the different clips and all the different angles to cover, but here's the big takeaway.
[00:49:55.525 --> 00:50:01.108]  Appeals Court upholds extended Wisconsin ballot deadline.
[00:50:01.108 --> 00:50:08.433]  And another appeals court has ruled that, yep, the communist judge in Black Lives Matter says it can go for months after.
[00:50:08.433 --> 00:50:11.195]  The judges are all saying, oh, you can run it past January 20th.
[00:50:11.195 --> 00:50:12.336]  That's the date they're saying.
[00:50:12.336 --> 00:50:15.177]  Because then they can not have Trump become president.
[00:50:15.177 --> 00:50:15.858]  They tell you.
[00:50:15.858 --> 00:50:16.358]  The judges rule.
[00:50:16.358 --> 00:50:17.099]  They go, oh, you can have
[00:50:18.783 --> 00:50:25.949]  You can have three months, which is longer than 79 days.
[00:50:25.949 --> 00:50:29.292]  See how that works?
[00:50:29.292 --> 00:50:30.974]  See how that works?
[00:50:30.974 --> 00:50:35.037]  Infowars.com, appeals court, polls extended, Wisconsin ballot deadline.
[00:50:35.037 --> 00:50:37.039]  And where are they doing this with the mail-ins?
[00:50:37.039 --> 00:50:37.919]  All the battlegrounds.
[00:50:37.919 --> 00:50:43.985]  Michigan, Wisconsin, Pennsylvania, Ohio.
[00:50:43.985 --> 00:50:45.366]  That's where they're gonna do it.
[00:50:47.210 --> 00:50:50.093]  They're gonna try to steal Florida too.
[00:50:50.093 --> 00:50:51.774]  All right, let me just get this out of the way.
[00:50:51.774 --> 00:50:53.336]  I hope you listen to me very, very carefully.
[00:50:53.336 --> 00:51:06.769]  When I tell you that I talk to people at the highest levels of food distribution, but also manufacturing, everything from appliances to furniture, to lumber, to paper, to medical goods, it's all breaking down.
[00:51:06.769 --> 00:51:08.210]  The supply chains are gone.
[00:51:08.210 --> 00:51:11.533]  If one person in a warehouse gets COVID, they shut the whole thing down.
[00:51:11.533 --> 00:51:12.154]  We can't get
[00:51:13.294 --> 00:51:17.658]  Almost a third of the supplements we used to get, just the companies are like falling apart.
[00:51:17.658 --> 00:51:18.639]  Won't even take our money.
[00:51:18.639 --> 00:51:20.441]  Can't even get the products anymore.
[00:51:20.441 --> 00:51:23.764]  Everything we have is still in our warehouse in Austin ready to ship.
[00:51:23.764 --> 00:51:25.025]  But it's breaking down.
[00:51:25.025 --> 00:51:27.187]  There's a big article on Infowars.com by Michael Snyder.
[00:51:27.187 --> 00:51:29.049]  It's very important.
[00:51:29.049 --> 00:51:30.811]  You should go read it.
[00:51:30.811 --> 00:51:33.493]  Global food shortages are becoming very real and U.S.
[00:51:33.493 --> 00:51:36.016]  grocery store chains are preparing for worst-case scenarios.
[00:51:36.016 --> 00:51:38.238]  And it's got CNN, Bloomberg, all of them admitting
[00:51:39.363 --> 00:51:42.866]  The people are now starving to death in Mexico, which that doesn't usually happen in.
[00:51:42.866 --> 00:51:45.649]  It's one of the richest third world countries, if you didn't know that.
[00:51:45.649 --> 00:51:51.013]  People are starving to death in Guatemala, Argentina, you don't need me to... I mean, obviously, Venezuela's getting worse than ever.
[00:51:51.013 --> 00:51:55.998]  And Africa's starving to death, and just millions have already died, and it's just minor footnotes that that's going on.
[00:51:55.998 --> 00:51:59.861]  And the UN's got all the numbers on the very crisis they created with the lockdown.
[00:51:59.861 --> 00:52:01.062]  COVID didn't kill the people.
[00:52:01.062 --> 00:52:02.804]  COVID causes millions to starve.
[00:52:02.804 --> 00:52:04.085]  No, the COVID lockdown caused that.
[00:52:05.615 --> 00:52:08.076]  That's a fact, but it's a big article.
[00:52:08.076 --> 00:52:14.960]  I suggest you read that article, and I suggest you tie it into Yale Economist Warns of Looming Dollar Collapse.
[00:52:14.960 --> 00:52:16.461]  They're trying to collapse the dollar.
[00:52:16.461 --> 00:52:19.262]  It's not devalued like the Chinese yuan and yen comparatively.
[00:52:19.262 --> 00:52:20.563]  It has been devalued.
[00:52:20.563 --> 00:52:24.125]  Again, and a lot of the conservatives are out there doing this because they're on the Chai Com Payroll, folks.
[00:52:25.731 --> 00:52:30.393]  Again, it's a fiat currency, absolutely, it's inflated, it's dangerous, but that's the game we're in now.
[00:52:30.393 --> 00:52:35.894]  And to say that we're going down is hoping we go down in the musical chairs and we don't get a chair.
[00:52:35.894 --> 00:52:37.475]  It's whoever's left standing in this now.
[00:52:37.475 --> 00:52:39.415]  We must keep world reserve currency status.
[00:52:39.415 --> 00:52:43.177]  The left pushing for the dollar to die is the most insane thing.
[00:52:43.177 --> 00:52:46.198]  It's like pouring gasoline on yourself and lighting it on fire.
[00:52:46.198 --> 00:52:49.799]  It is crazy town.
[00:52:49.799 --> 00:52:52.660]  So that's all going on right now, ladies and gentlemen.
[00:52:54.045 --> 00:52:59.392]  And so you go to preparewithalex.com, you find the full catalog of My Patriot Supply at infowarshore.com.
[00:52:59.392 --> 00:53:00.253]  They're in our back end.
[00:53:00.253 --> 00:53:01.354]  They take the orders.
[00:53:01.354 --> 00:53:02.275]  It's all secured.
[00:53:02.275 --> 00:53:03.257]  Best prices you're going to find.
[00:53:03.257 --> 00:53:07.602]  Because they have a bunch of distributors, they can't go below the prices that we have.
[00:53:07.602 --> 00:53:08.824]  That's their lowest prices as well.
[00:53:10.839 --> 00:53:14.500]  Unless they do a special on their page, they have a loophole.
[00:53:14.500 --> 00:53:16.281]  And this is making their other distributors mad.
[00:53:16.281 --> 00:53:18.302]  I don't cut it on what other people are selling.
[00:53:18.302 --> 00:53:20.103]  So quit complaining to those folks.
[00:53:20.103 --> 00:53:28.806]  But seriously, this is maybe one of the last ones they can do for a while, though, because they believe the food orders are going to uptick again like they did, or they're already starting to see it.
[00:53:28.806 --> 00:53:29.927]  They see the shortages.
[00:53:29.927 --> 00:53:31.647]  They've already bought out six months.
[00:53:31.647 --> 00:53:35.529]  Now they're going to have to go up in price in a few months because they're going to have to buy more food into the future.
[00:53:35.529 --> 00:53:37.890]  And so before food prices go up,
[00:53:38.590 --> 00:53:44.667]  And before things get crazy and before there's big lines, you want to be prepared in case things go sideways, which it basically already is.
[00:53:45.834 --> 00:53:47.195]  So I said, hey, a lot of folks are complaining.
[00:53:47.195 --> 00:53:49.397]  You've only got $150 off on the three-month.
[00:53:49.397 --> 00:53:50.198]  People want bigger ones.
[00:53:50.198 --> 00:53:53.741]  They said, fine, we'll extend the $150 on the three-month food supply.
[00:53:53.741 --> 00:53:54.962]  Unprecedented.
[00:53:54.962 --> 00:53:55.283]  That's it.
[00:53:55.283 --> 00:53:57.445]  Preparewithalex.com exclusively.
[00:53:57.445 --> 00:53:59.206]  $300 off the six-month.
[00:53:59.206 --> 00:54:00.007]  $600 off the year.
[00:54:00.007 --> 00:54:03.250]  $40 off the Alexa Pure water filtration system.
[00:54:03.250 --> 00:54:06.733]  That's a big discount because there's not much margin in there.
[00:54:06.733 --> 00:54:08.955]  And 25% off the Ready Hour wireless solar.
[00:54:09.716 --> 00:54:12.397]  Power Pack Charger and 28 LED Room Light.
[00:54:12.397 --> 00:54:14.898]  One of the highest quality ones out there you're going to find.
[00:54:14.898 --> 00:54:17.919]  And the money we do make funds this operation when it's so critical.
[00:54:17.919 --> 00:54:26.703]  So, InfoWorksStore.com is the regular place to go for the supplements, the books, the films, the t-shirts, and the full selection of my Patriot supply at the very lowest prices.
[00:54:26.703 --> 00:54:28.584]  But if you want to get these special items,
[00:54:29.397 --> 00:54:31.238]  Three month, six month, year, and these others.
[00:54:31.238 --> 00:54:38.280]  You're gonna get the biggest discounts everywhere exclusively at preparewithalex.com or 888-411-0350.
[00:54:38.280 --> 00:54:40.881]  888-411-0350.
[00:54:40.881 --> 00:54:44.462]  We've got the big Infowars emergency election sale total blowout up at 6 o'clock.
[00:54:44.462 --> 00:54:47.623]  The way the psychological warfare operation works is very, very simple.
[00:54:48.666 --> 00:54:57.288]  They give you freedoms by increments, always promising it's only going to be a short period of time, and then the restrictions will be released.
[00:54:57.288 --> 00:54:58.869]  But they're not.
[00:54:58.869 --> 00:55:07.751]  After a significant amount of time, always four or five times longer than what they said, they will then slightly release it a little bit, only tighten it down even more later.
[00:55:07.751 --> 00:55:13.173]  This is called successive approximation incrementalism, or the inchworm effect.
[00:55:13.853 --> 00:55:43.233]  This is the most common way the totalitarians take over but there then becomes a point where the public wakes up Under the incrementalism it starts resisting and then there's usually a giant purge and a clampdown And you'll see more tyranny rolled out in just a few days weeks or months than you saw in the previous 10 years And that's the period we're in globally right now a world government shy combat Globalist corporate takeover of the planet that wants you poor and absolutely sick under their thumb forever
[00:55:45.455 --> 00:55:47.937]  It's the evening of September 26, 2020.
[00:55:47.937 --> 00:56:07.452]  And I just got done watching the horrible footage of thousands of riot police with trudgeons beating thousands of peaceful people in Trafalgar Square, protesting the COVID martial law lockdown.
[00:56:07.452 --> 00:56:10.675]  An iron curtain is descending over the world from the United Nations.
[00:56:11.710 --> 00:56:13.453]  Even more evil than the old Soviet Union.
[00:56:13.453 --> 00:56:16.677]  And it's model is communist China.
[00:56:16.677 --> 00:56:18.700]  We're not facing incremental tyranny, we're facing...
[00:56:19.944 --> 00:56:28.430]  Absolute 100% commitment to evil because the system thinks we're weak and thinks we're stupid and is making this move.
[00:56:28.430 --> 00:56:35.435]  And whether it's Australia, the UK or the US, Black Lives Matter funded by Soros can run around and kill cops and burn things down and they're heroes.
[00:56:35.435 --> 00:56:41.500]  And oh, nobody's worried about the COVID BS, but when it's patriots saying we have rights, we have dignity, they get viciously attacked.
[00:56:41.500 --> 00:56:44.362]  All the videos are at Infowars.com of David Icke speaking and more.
[00:56:48.522 --> 00:56:54.864]  You're listening to the Alex Jones Show.
[00:56:54.864 --> 00:57:00.866]  The star-spangled banner flutters in the sky.
[00:57:24.744 --> 00:57:34.110]  Star Spangled Banner!
[00:57:34.110 --> 00:57:35.851]  That's right.
[00:57:35.851 --> 00:57:44.997]  Time hustles those who are afraid to die.
[00:57:44.997 --> 00:57:46.158]  Sweet Soul Sister.
[00:57:53.286 --> 00:57:55.588]  Alright, I was just looking at the videos, the articles I've got.
[00:57:55.588 --> 00:57:59.752]  And I know I've got a load of phone lines and they're just incredible.
[00:57:59.752 --> 00:58:10.662]  There's some footage I'm going to play at the start of the next segment that... I'm going to play then because there's a couple more things I want to tell the crew to get ready to put together with this because this is just unbelievable.
[00:58:12.691 --> 00:58:14.792]  This is absolutely insane.
[00:58:14.792 --> 00:58:15.112]  Clip 13.
[00:58:15.112 --> 00:58:17.572]  It's not lucky for the globalist.
[00:58:17.572 --> 00:58:24.974]  You know, if we got this info out, it's the type of thing that can capture people's imagination and just end their scams.
[00:58:24.974 --> 00:58:28.435]  What am I talking about?
[00:58:28.435 --> 00:58:30.295]  It's just incredible.
[00:58:30.295 --> 00:58:37.417]  Democrat rep admits to Governor Tom Walsh that killed all those folks in the nursing homes, that we wear the mask for political theater.
[00:58:37.417 --> 00:58:40.098]  That's a quote.
[00:58:40.098 --> 00:58:40.958]  And to keep his on.
[00:58:42.406 --> 00:58:48.452]  It's just amazing, and Fauci, when he's done, he thinks the cameras are done, he takes his off.
[00:58:48.452 --> 00:58:52.535]  It's all just that they're of the virtue of saying words that care about you.
[00:58:52.535 --> 00:58:55.098]  It's disgusting!
[00:58:55.098 --> 00:58:57.220]  It's killing millions of people, it makes me so angry.
[00:58:57.220 --> 00:59:01.424]  So, that's coming up, your phone calls right away, and so much more.
[00:59:01.424 --> 00:59:05.908]  And, you know, I've got all this new news here, but I don't want to glaze over Australia,
[00:59:06.986 --> 00:59:20.616]  Europe, the UK, and Canada, at the city levels, that's where the UN's in control, are announcing, we're coming with forced inoculations, and they'll just go to businesses and tell them, you better have the app, you better make sure they have it, and then businesses won't let you in.
[00:59:20.616 --> 00:59:21.517]  See how that's the mark of the beast?
[00:59:21.517 --> 00:59:24.419]  They'll go, oh, it's a private business!
[00:59:24.419 --> 00:59:28.582]  But government and corporations are coordinating and racketeering to do it, and it's illegal!
[00:59:28.582 --> 00:59:32.585]  And the Attorney General says this is the greatest thing since slavery!
[00:59:32.585 --> 00:59:33.886]  It's the worst thing since slavery!
[00:59:33.886 --> 00:59:34.646]  And it is!
[00:59:34.646 --> 00:59:35.707]  So do something about it!
[00:59:38.973 --> 00:59:46.735]  Let me tell you, when the globalists start paying for what they've done is when this stuff's going to start reversing.
[00:59:46.735 --> 00:59:51.136]  But if we sit here and live in denial, we don't have a hope in hell.
[00:59:51.136 --> 00:59:52.976]  And here's the thing, I'm being honest with you.
[00:59:52.976 --> 00:59:53.956]  I'm not trying to scare you.
[00:59:53.956 --> 00:59:55.657]  I'm trying to get you to move and take action.
[00:59:55.657 --> 00:59:58.217]  When I tell you this is going to come down quick, you already see it moving quick.
[00:59:58.217 --> 01:00:00.498]  Now you see what I told you eight months ago is happening exactly like I told you.
[01:00:01.357 --> 01:00:03.900]  Because you can study what they say they're going to do, they're going to do it.
[01:00:03.900 --> 01:00:05.723]  And so it's going to move very quickly now.
[01:00:05.723 --> 01:00:07.104]  I wish we had years left.
[01:00:07.104 --> 01:00:09.668]  I wish we could turn it around all the way.
[01:00:09.668 --> 01:00:14.034]  But I mean, I have to get with grips with my own psyche.
[01:00:15.646 --> 01:00:20.630]  And just admit the full heart of myself that contact tracers, social workers are coming.
[01:00:20.630 --> 01:00:22.031]  They're going to shoot your kids up.
[01:00:22.031 --> 01:00:24.353]  They're going to take your kids if you don't give them the shots.
[01:00:24.353 --> 01:00:27.956]  And they're just going to get the mass of people behind it and just disappear your family.
[01:00:27.956 --> 01:00:29.278]  And it won't matter when you have convulsions.
[01:00:29.278 --> 01:00:30.459]  It won't matter when you die.
[01:00:30.459 --> 01:00:32.260]  It won't matter when you get sick.
[01:00:32.260 --> 01:00:33.841]  Because Bill Gates will laugh at you.
[01:00:34.684 --> 01:00:35.384]  Well, here's the deal.
[01:00:35.384 --> 01:00:48.047]  If Bill Gates shoots up kids with polio vaccine and they get polio and die, and he knows he's doing it, he deserves to be arrested, he deserves to be tried as a war criminal, and he deserves to be hung by his neck until he's dead.
[01:00:48.047 --> 01:00:51.347]  Now, obviously, if you talk like that, Bill Gates will send people after you.
[01:00:51.347 --> 01:00:52.388]  Go to hell, Bill Gates.
[01:00:52.388 --> 01:00:53.188]  I don't care.
[01:00:53.188 --> 01:00:54.268]  You're the murderer.
[01:00:54.268 --> 01:00:58.249]  You're the eugenicist that thinks you're saving the planet by depopulating people.
[01:00:58.249 --> 01:01:00.289]  Then do it to yourself first.
[01:01:00.289 --> 01:01:03.090]  You didn't euthanize your 94-year-old father that died last week.
[01:01:04.753 --> 01:01:09.297]  But you tell us we need to kill old people and not give them service.
[01:01:09.297 --> 01:01:11.599]  I don't respect people that don't lead by example.
[01:01:11.599 --> 01:01:14.101]  Do I get the third world's overpopulated in some areas?
[01:01:14.101 --> 01:01:15.342]  Do I get they're malnourished?
[01:01:15.342 --> 01:01:19.385]  Do I get that, yeah, and the UN's using them as a weapon against me?
[01:01:19.385 --> 01:01:21.127]  I know all the angles!
[01:01:21.127 --> 01:01:23.309]  I sat inside your brain, buddy boy!
[01:01:25.575 --> 01:01:30.476]  The truth is you work for a sinister anti-human force that wants to kill everybody.
[01:01:30.476 --> 01:01:32.337]  And that's the big trick about this.
[01:01:32.337 --> 01:01:33.657]  They want to get everybody.
[01:01:33.657 --> 01:01:35.078]  They want a post-human world.
[01:01:35.078 --> 01:01:36.698]  They want the machine to take over.
[01:01:36.698 --> 01:01:38.659]  He admits it.
[01:01:38.659 --> 01:01:40.459]  So not just no to your plan.
[01:01:40.459 --> 01:01:42.360]  Hell no, Bill Gates.
[01:01:42.360 --> 01:01:44.940]  I'm not going to kill you and nobody should do anything violent to you.
[01:01:44.940 --> 01:01:51.142]  We should talk about how you're violently attacking us and how you are a murdering criminal that needs to be brought to justice.
[01:01:54.312 --> 01:02:02.974]  Remember, the enemy is working around the clock to suppress voices of independent people all over the world.
[01:02:02.974 --> 01:02:07.936]  The globalists have a plan for total vertical integration.
[01:02:07.936 --> 01:02:16.598]  Absolute authoritarianism to where you are a captive of their devices, of their control.
[01:02:16.598 --> 01:02:18.819]  But that is only a means to an end.
[01:02:19.879 --> 01:02:29.304]  Once they have the electronic straitjacket in place, they are on record that they will bring in forced inoculations that sterilize you and your family and worse.
[01:02:29.304 --> 01:02:36.588]  Many of the vaccines being pushed by the United Nations actually give people polio and actually give people cancer.
[01:02:36.588 --> 01:02:38.469]  Most cancer is viral.
[01:02:38.469 --> 01:02:39.969]  That's a big secret.
[01:02:39.969 --> 01:02:42.431]  But the secret is beginning to come out.
[01:02:42.431 --> 01:02:44.192]  It's even in the Associated Press.
[01:02:44.992 --> 01:03:04.080]  Remember, all of these banned videos and reports are banned on video, but only you can share them and save humanity.
[01:03:04.080 --> 01:03:05.020]  Live.
[01:03:05.020 --> 01:03:05.401]  Raw.
[01:03:05.401 --> 01:03:06.321]  Live.
[01:03:06.321 --> 01:03:07.061]  Raw.
[01:03:07.061 --> 01:03:08.982]  And unfiltered.
[01:03:08.982 --> 01:03:12.043]  It's the Alex Jones Show.
[01:03:12.043 --> 01:03:12.284]  And 100% real.
[01:03:16.869 --> 01:03:21.590]  Nobody calls out Bill Gates and survives long.
[01:03:21.590 --> 01:03:26.632]  But I've got my duty, and I actually enjoy it.
[01:03:26.632 --> 01:03:32.913]  And if I gotta get smashed, flattered, and pancaked to turn this around, well, that's what I was born for.
[01:03:32.913 --> 01:03:36.594]  That's what this is all really about, isn't it?
[01:03:36.594 --> 01:03:39.515]  But what's gonna satisfy your soul?
[01:03:39.515 --> 01:03:41.416]  Certainly not serving Satan.
[01:03:43.763 --> 01:03:45.904]  Yeah, we're not hedging our bets.
[01:03:45.904 --> 01:03:49.626]  That's why I love the term Zero Hedge, that great website.
[01:03:49.626 --> 01:03:51.507]  Zero Hedge here, folks.
[01:03:51.507 --> 01:03:51.967]  All in.
[01:03:51.967 --> 01:03:57.029]  Alright, we're going to your calls here, but let me hit something really big right now.
[01:03:57.029 --> 01:03:58.570]  There was a hot mic yesterday.
[01:03:59.892 --> 01:04:08.193]  Where Democrat representative admits to Governor Tom Woods, political theater, worn for on camera.
[01:04:08.193 --> 01:04:17.615]  Mike picked up the Pennsylvania House Rep, admitting to the state's governor, Tom Wolf, that face masks are only being worn for camera as political theater.
[01:04:17.615 --> 01:04:25.216]  And that's why when you see Pelosi or Schumer or Feinstein or any of these people, they're not wearing them at restaurants.
[01:04:25.216 --> 01:04:28.517]  The Philadelphia mayor, the Denver mayor, the Houston mayor,
[01:04:29.137 --> 01:04:30.638]  None of them do it.
[01:04:30.638 --> 01:04:31.678]  Pelosi doesn't wear it.
[01:04:31.678 --> 01:04:34.219]  Remember when she's at the plate?
[01:04:34.219 --> 01:04:35.319]  It's all a fraud.
[01:04:35.319 --> 01:04:40.161]  It's about the power they have to shut your business down and their businesses stay open.
[01:04:40.161 --> 01:04:43.422]  Like Governor Psycho Newsome.
[01:04:43.422 --> 01:04:44.723]  He never closed.
[01:04:44.723 --> 01:04:52.966]  He has the biggest wine company and restaurant chain where people go pay $100 a piece to drink wine and eat fancy food at these damn vineyards he's got.
[01:04:52.966 --> 01:04:56.967]  He kept them open the whole time!
[01:04:58.749 --> 01:05:02.750]  He should be politically torn limb from limb.
[01:05:02.750 --> 01:05:05.651]  But no, he sits there and laughs at everybody.
[01:05:05.651 --> 01:05:10.993]  And Facebook goes, no one is setting fires in Oregon or California or Washington.
[01:05:10.993 --> 01:05:17.735]  And then there's dozens being arrested and dozens of videos of people setting fires and they arrest the same guy two days in a row who's Antifa and BLM.
[01:05:17.735 --> 01:05:21.576]  And then people go, oh, Joe Rogan, you, uh, you're wrong.
[01:05:21.576 --> 01:05:23.216]  You said the fires are being set by Antifa.
[01:05:23.216 --> 01:05:24.717]  And he goes, I'm sorry, I'm sorry.
[01:05:27.486 --> 01:05:31.329]  Because Facebook said, Facebook said Trump can't declare himself the winner.
[01:05:31.329 --> 01:05:34.371]  Facebook said they won't let Trump say that.
[01:05:34.371 --> 01:05:40.795]  And now Fox News says, hey, you're not allowed to say that you contest the election, only we can.
[01:05:40.795 --> 01:05:42.276]  They're pissing in your face.
[01:05:42.276 --> 01:05:43.056]  They're rubbing it in.
[01:05:43.056 --> 01:05:45.458]  They're teaching you that you have no rights.
[01:05:45.458 --> 01:05:56.145]  They're taking 800 years of Western British common law, Magna Carta, Constitution, Bill of Rights that millions died for.
[01:05:57.608 --> 01:05:59.950]  And you notice, boom, they take your ride away.
[01:05:59.950 --> 01:06:03.594]  You are now absolutely overrun.
[01:06:03.594 --> 01:06:07.517]  So, here's the hot mic where she walks over.
[01:06:07.517 --> 01:06:09.199]  She's like, listen, you gotta keep it on.
[01:06:09.199 --> 01:06:10.460]  The sheep have gotta see it.
[01:06:10.460 --> 01:06:12.722]  Like when they're on the news.
[01:06:12.722 --> 01:06:14.524]  Oh, and Colbert's, you know, at home.
[01:06:14.524 --> 01:06:15.765]  It's too dangerous to go out.
[01:06:15.765 --> 01:06:20.850]  I know the audience knows all this, but this is just outrageous.
[01:06:20.850 --> 01:06:21.751]  So let's go ahead and roll the video.
[01:06:32.827 --> 01:06:48.119]  Can we roll the footage of Fauci for TV viewers, radio listeners, anybody can just type in Fauci.
[01:06:48.119 --> 01:06:51.182]  When he sees the cameras turn off, he thinks he moves, takes it off and walks out.
[01:06:53.240 --> 01:06:55.000]  Fauci is a slave, though.
[01:06:55.000 --> 01:06:59.662]  At first, Fauci's like, don't wear masks, they don't help you, because it's true.
[01:06:59.662 --> 01:07:07.243]  But then once the establishment said, no, no, keep them on as a cult symbol, and as a symbol of division, getting you ready for the vaccine, well, then it happened.
[01:07:07.243 --> 01:07:09.324]  And there's footage of him in Congress.
[01:07:09.324 --> 01:07:14.065]  Just type in, Fauci takes off mask in Congress after camera's turned off.
[01:07:14.065 --> 01:07:17.386]  And then they do this thing where they sit 30 feet apart.
[01:07:17.386 --> 01:07:20.666]  I mean, again, I know you know all that, but it's outrageous.
[01:07:20.666 --> 01:07:22.587]  You know, I go for hikes a couple days a week.
[01:07:24.104 --> 01:07:28.106]  And when I walk by the slaves, I don't care if it's one time or 50 times.
[01:07:28.106 --> 01:07:35.630]  I say COVID-19 is an overblown scam designed to kill the economy and start a third world to death.
[01:07:35.630 --> 01:07:38.872]  And I let them know.
[01:07:38.872 --> 01:07:41.073]  All right, let's go ahead now and go to this last piece.
[01:07:41.073 --> 01:07:46.856]  Notice that Melania Trump did not wear a mask during the debate, but Biden's wife did.
[01:07:48.971 --> 01:07:51.353]  And again, that's all part of their virtue signaling.
[01:07:51.353 --> 01:07:53.314]  And I know you know that as an audience.
[01:07:53.314 --> 01:07:55.756]  So what are you doing to warn others?
[01:07:55.756 --> 01:08:05.223]  We'll take this clip, the last five minutes, we'll post it to Band Up Video, with a headline, Hot Mic, Democrats Admit Masks Are Part of Political Theater.
[01:08:05.223 --> 01:08:10.627]  And if you share that on your email and your text message, on The Last Frontiers of Where You Can Communicate, and they're starting to censor that,
[01:08:11.644 --> 01:08:15.307]  It will change the tide and tell others, look, they admit the massive scam.
[01:08:15.307 --> 01:08:16.307]  Share this.
[01:08:16.307 --> 01:08:17.508]  Put in the email, share it.
[01:08:17.508 --> 01:08:18.809]  Call people, get them to open it.
[01:08:18.809 --> 01:08:19.970]  Hey, I emailed you this.
[01:08:19.970 --> 01:08:20.970]  Open it and share it.
[01:08:20.970 --> 01:08:22.892]  That triggers what do they fear?
[01:08:22.892 --> 01:08:25.814]  Chain reactions.
[01:08:25.814 --> 01:08:27.115]  Chain reactions.
[01:08:27.115 --> 01:08:27.995]  Okay.
[01:08:27.995 --> 01:08:31.538]  I'm going to your calls ahead of Jim Hoft and so much more.
[01:08:31.538 --> 01:08:35.941]  I got a lot of big news, but we won't cover that at the bottom of the hour because I'm going to your calls.
[01:08:35.941 --> 01:08:37.422]  We got more excerpts of the debate.
[01:08:39.039 --> 01:08:48.565]  We've got Sean, we've got Mike, Joseph, Dave, David, Mikey, Mike, Tanya, Jason, Greg, Catherine, and many, many others.
[01:08:48.565 --> 01:08:53.108]  Let's go ahead and go to Tanya in the great state of Colorado first.
[01:08:53.108 --> 01:08:54.149]  Tanya, thanks for holding.
[01:08:54.149 --> 01:08:55.090]  Go ahead.
[01:08:55.090 --> 01:08:56.150]  Hi, Alex.
[01:08:56.150 --> 01:08:58.752]  First off, I wanted to say thank you for everything you're doing.
[01:08:58.752 --> 01:08:59.553]  Love what you're doing.
[01:08:59.553 --> 01:09:00.874]  Love your team.
[01:09:00.874 --> 01:09:02.535]  And I have you in my prayers constantly.
[01:09:02.535 --> 01:09:07.418]  I wanted to mention Amendment 20.
[01:09:07.418 --> 01:09:08.659]  Richard Proctor was on
[01:09:09.532 --> 01:09:17.378]  Doug Hagman's show a couple of weeks ago, and I know he's often on David Knight's show, but he was going over the 20th Amendment.
[01:09:17.378 --> 01:09:38.813]  It's really going to be, if Trump doesn't do something before the election, the way these states are extending how long they have for voters to file... For folks that don't know, under the 20th Amendment, on the 20th of January, if Trump hasn't been seated, Pelosi and the House of Representatives, the Democrat run, will decide who's the president.
[01:09:39.341 --> 01:09:39.821]  Exactly.
[01:09:39.821 --> 01:09:41.402]  And it's horrifying.
[01:09:41.402 --> 01:09:48.605]  And if Trump doesn't get that through his head that he has to use his power now to stop them, then I don't know what to say.
[01:09:48.605 --> 01:09:54.188]  And by the way, you know how frustrating it is that it's only David Knight and a few other people?
[01:09:54.188 --> 01:09:55.309]  And by the way, let's get that guest on.
[01:09:55.309 --> 01:09:55.789]  He's excellent.
[01:09:56.343 --> 01:09:56.763]  Yeah.
[01:09:56.763 --> 01:09:58.144]  I mean, I want to see everybody.
[01:09:58.144 --> 01:09:59.304]  I want to be made obsolete.
[01:09:59.304 --> 01:10:00.965]  I don't want forcible injections.
[01:10:00.965 --> 01:10:01.965]  I don't want microchips.
[01:10:01.965 --> 01:10:02.985]  I don't want to be killed.
[01:10:02.985 --> 01:10:03.906]  I don't want to be a slave.
[01:10:03.906 --> 01:10:06.246]  I don't want to be Mayor DeMera Muzzle.
[01:10:06.246 --> 01:10:10.388]  And that's what's so frustrating is so many other people territorialize info.
[01:10:10.388 --> 01:10:11.648]  I don't care who gets the credit.
[01:10:11.648 --> 01:10:14.709]  I just want everybody to know we're right.
[01:10:14.709 --> 01:10:21.011]  And I've had the biggest names, you know, Joe Rogan, you name it.
[01:10:21.011 --> 01:10:23.212]  And I'll just say, I mean, it's not about bragging.
[01:10:24.480 --> 01:10:25.380]  But I don't want to get him in trouble.
[01:10:25.380 --> 01:10:30.022]  It's just, you name it, the big names have called me and said, man, you were right, we apologize.
[01:10:30.022 --> 01:10:31.043]  Wow, you were a visionary.
[01:10:31.043 --> 01:10:32.643]  And I'm like, I don't care about that.
[01:10:32.643 --> 01:10:33.444]  Just get this out.
[01:10:33.444 --> 01:10:36.965]  They're like, well, we're trying, you know, work or tell what we can do.
[01:10:36.965 --> 01:10:43.148]  So the biggest people, you know, not just Joe Rogan, the big names, they all call me and they say, oh my God, you're right.
