[00:00:05.304 --> 00:00:06.506]  I don't know.
[00:53:57.273 --> 00:54:00.275]  As long as you realize that my destruction is our empowerment.
[00:54:00.515 --> 00:54:04.557]  I don't mind asking for it, but if it needs to happen, so be it.
[00:54:05.858 --> 00:54:07.819]  It's just that that is not an enemy victory.
[00:54:08.786 --> 00:54:16.449]  The attack on this operation is a sign of our prowess and our devastating success with truth against their operations.
[00:54:17.070 --> 00:54:21.512]  So again, the critic can look at the man in the arena all day long and say how he should have done better.
[00:54:21.892 --> 00:54:24.893]  You know a man by his enemies.
[00:54:25.693 --> 00:54:30.556]  And Trump has the enemies of somebody that should be supported.
[00:54:31.596 --> 00:54:34.717]  And that's where I stand and that's what I have to say about that whole situation.
[00:54:35.518 --> 00:54:38.099]  But I think it's fine for you to call in and criticize the president.
[00:54:39.710 --> 00:54:41.031]  Of course the numbers are cooked.
[00:54:42.451 --> 00:54:43.572]  That's baked into the cake.
[00:54:45.713 --> 00:54:54.477]  He's riding the horse, or the tiger, or the bear, or the bull, that he was given.
[00:54:55.478 --> 00:54:57.179]  And you really can't fault a man doing that.
[00:54:57.699 --> 00:54:58.539]  Fighting with what he's got.
[00:54:59.740 --> 00:55:03.762]  All right, let's go to Andrew.
[00:55:03.802 --> 00:55:04.623]  Is that Andrew or Andrea?
[00:55:04.643 --> 00:55:05.443]  My eyes are going out.
[00:55:08.547 --> 00:55:12.070]  Andre and New Yorker on the air, go ahead.
[00:55:12.210 --> 00:55:13.931]  Alex, you got it wrong again.
[00:55:13.951 --> 00:55:18.055]  I called once and you said Andre.
[00:55:18.095 --> 00:55:18.875]  It's Andrea.
[00:55:18.895 --> 00:55:20.156]  Okay, thank you.
[00:55:20.176 --> 00:55:21.297]  I just can't read the thing.
[00:55:21.317 --> 00:55:22.258]  My eyes are going out.
[00:55:22.298 --> 00:55:23.099]  No, that's okay.
[00:55:23.139 --> 00:55:28.883]  So listen, you know, it's so funny because I'm calling from New York and I totally disagree with your first caller.
[00:55:29.264 --> 00:55:32.806]  But the reason why I'm calling is because I'm frustrated like you.
[00:55:33.327 --> 00:55:35.428]  I've been doing business with China for 20 years.
[00:55:37.223 --> 00:55:53.689]  And I specifically have been doing business with this one gentleman that came from China, and him and I got close because we were both young, and we were both starting out a new business, and I became friends with him, and I went back to work with him a few years ago.
[00:55:54.210 --> 00:56:00.572]  And in our showroom, we're in the apparel industry, in 2016, he was all for Trump.
[00:56:01.072 --> 00:56:05.494]  He told me China hated Obama, okay?
[00:56:06.237 --> 00:56:21.503]  He couldn't stand Obama, wanted Trump to win, and I just find it very interesting that the left is, you know, blaming him for, with the tariffs and with everything else, because he knew what he was walking into.
[00:56:21.603 --> 00:56:23.244]  He has that experience.
[00:56:23.744 --> 00:56:25.465]  He knows what's going on.
[00:56:25.765 --> 00:56:29.827]  When he says President Xi is a friend of his, they have a culture.
[00:56:30.067 --> 00:56:31.547]  They're saving face.
[00:56:32.088 --> 00:56:35.469]  When this happened after the tariffs, I knew right away.
[00:56:35.959 --> 00:56:38.840]  And he also told me one thing that nobody's mentioning.
[00:56:39.440 --> 00:56:42.241]  Every hundred years, something goes on in China.
[00:56:42.781 --> 00:56:52.685]  And my boss, at the time, in 2016, told me, in 2020, something is going to happen according to the Chinese beliefs.
[00:56:53.425 --> 00:56:58.687]  So whether it was done purposely, not done purposely, I follow you, I think.
[00:56:58.747 --> 00:56:59.527]  Oh, it's totally purposeful.
[00:56:59.547 --> 00:57:04.089]  I'm tired of everybody trashing Trump, because Trump didn't need to do this.
[00:57:04.770 --> 00:57:05.691]  Okay, he did it.
[00:57:05.791 --> 00:57:07.672]  He was called in to do it.
[00:57:07.933 --> 00:57:09.234]  He's doing a great job.
[00:57:09.534 --> 00:57:12.637]  And I like to see everybody else go up there and do what he's doing.
[00:57:12.997 --> 00:57:13.717]  And that's what I want.
[00:57:13.798 --> 00:57:16.019]  And I think you're doing a fantastic job, too.
[00:57:16.260 --> 00:57:18.842]  Well, I'm sorry that I got your name wrong repeatedly.
[00:57:19.983 --> 00:57:21.504]  I used to have 2015 vision and it was 2020.
[00:57:21.544 --> 00:57:23.866]  They're going to have to move that screen closer.
[00:57:23.906 --> 00:57:25.427]  My eyes are going out of 46, man.
[00:57:25.507 --> 00:57:26.968]  It's like stuff starts breaking.
[00:57:26.988 --> 00:57:28.089]  I used to have teeth.
[00:57:28.149 --> 00:57:28.930]  I could bite through anything.
[00:57:28.970 --> 00:57:29.931]  Now they're like breaking off.
[00:57:30.391 --> 00:57:31.032]  I'm getting old.
[00:57:31.072 --> 00:57:31.392]  It's okay.
[00:57:31.412 --> 00:57:33.634]  I'm getting ready to join the Lord in about 50 years, man.
[00:57:35.126 --> 00:57:39.452]  And right when this body rots and falls apart, that spirit's gonna go to the next level.
[00:57:40.493 --> 00:57:42.335]  Just made the jump into hyperspace.
[00:57:44.778 --> 00:57:46.681]  Follow every possible trajectory.
[00:57:52.067 --> 00:57:52.448]  Everybody!
[00:57:53.294 --> 00:58:00.019]  The coronavirus appears to be some type of eugenics bioweapon designed to kill the weak and elderly.
[00:58:00.839 --> 00:58:06.103]  But one thing is for certain, it has already killed the philosophy of globalism.
[00:58:07.484 --> 00:58:14.449]  And now, it will be stress-testing the precarious digital grid that our entire society is based upon.
[00:58:16.038 --> 00:58:18.139]  This isn't a science fiction movie where the virus gets out.
[00:58:18.179 --> 00:58:18.859]  It's the real world.
[00:58:19.599 --> 00:58:20.540]  It came out of China.
[00:58:20.640 --> 00:58:21.840]  It came out of the New World Order.
[00:58:21.900 --> 00:58:28.823]  It's man-made, and they're going for broke with the plans they're going to use to destabilize the world with this weapon economy, and it's already happening.
[00:58:28.843 --> 00:58:29.463]  We called it here.
[00:58:30.120 --> 00:58:38.423]  Regardless of whether how deadly this virus is, regardless if it's just a little bit deadly, very low-level death, whether it's super deadly, if it kills you, it's bad news.
[00:58:38.663 --> 00:58:42.044]  So I would advise listeners, this is your everyday life anyways, to boost your immune system.
[00:58:42.104 --> 00:58:46.246]  We have the products that are documented on record to be good for your body.
[00:58:46.726 --> 00:58:49.867]  I mean, NanoSilver is on record taking out viruses and bacteria.
[00:58:49.927 --> 00:58:53.589]  It's in our entire line of high-quality silver products, and it's patented, and it's amazing.
[00:58:53.629 --> 00:58:55.249]  It's in the SuperSilver wound gel.
[00:58:55.770 --> 00:58:57.770]  It's in the SuperSilver toothpaste.
[00:58:57.790 --> 00:58:59.051]  It's in the SuperBlue toothpaste.
[00:58:59.611 --> 00:59:04.036]  And it's still discounted to 50% off, even though we're very close to selling out, and at FortWorthStore.com.
[00:59:04.316 --> 00:59:05.137]  We have storable food!
[00:59:05.157 --> 00:59:15.948]  We went and got the biggest, best folks in the last 11 years, MyPatriot, and they've got the food, they gotta package it, but you order it from us, you get it, you get it in about five times less than you get it in stores, and it's high quality.
[00:59:16.448 --> 00:59:18.770]  But we also have DNA Force Plus, the PQQ and the CoQ10.
[00:59:18.830 --> 00:59:25.094]  It does clean out every cell in there and helps grow more engine parts inside the cells.
[00:59:25.375 --> 00:59:26.355]  That's back in stock.
[00:59:26.455 --> 00:59:28.097]  It's all 4 to 50% off.
[00:59:28.317 --> 00:59:29.898]  The Turbo Force is back in stock.
[00:59:30.218 --> 00:59:32.019]  The Ultra 12 is back in stock.
[00:59:32.059 --> 00:59:35.682]  The X2, all of it is 40% off because we're not going to raise prices.
[00:59:35.722 --> 00:59:38.844]  In fact, we're going to lower prices during this crisis.
[00:59:38.984 --> 00:59:43.428]  So you're funding the M4, you're getting great products you need, boosting your immune system right now.
[00:59:56.764 --> 01:00:00.987]  If you are receiving this transmission, you are the resistance.
[01:00:01.767 --> 01:00:05.069]  He never gives up.
[01:00:06.450 --> 01:00:08.551]  He's Alex Jones.
[01:00:08.651 --> 01:00:14.375]  Broadcasting from deep in the heart of Texas, worldwide.
[01:00:29.229 --> 01:00:34.256]  We've been here three hours and American Airlines sucks.
[01:00:35.859 --> 01:00:39.163]  They decided for whatever reason to screw everybody on this flight.
[01:00:39.524 --> 01:00:43.510]  It just frustrates me that some industries just get to screw you over and go, meh.
[01:00:44.711 --> 01:00:45.912]  You gotta fly at some point, right?
[01:00:46.112 --> 01:00:47.933]  And there's Gustavo!
[01:00:47.953 --> 01:00:49.274]  That's a TYT viewer.
[01:00:50.195 --> 01:00:57.300]  And I'm hungry, and I'm tired, and so, like, you know me, I get more agitated when I'm hungry and tired.
[01:00:57.740 --> 01:01:04.705]  So, look, if you guys think this is bad, wait till, if that plane doesn't actually come from the hangar in 20 minutes,
[01:01:07.413 --> 01:01:08.615]  Is the flight coming?
[01:01:09.477 --> 01:01:11.580]  Supervisor, is the flight coming?
[01:01:11.680 --> 01:01:13.944]  Supervisor, you at least gotta be honest.
[01:01:14.244 --> 01:01:15.146]  Is there a flight?
[01:01:15.947 --> 01:01:16.968]  Is there a plane?
[01:01:17.369 --> 01:01:18.351]  You gotta be honest.
[01:01:18.671 --> 01:01:19.432]  Is there a plane?
[01:01:20.113 --> 01:01:20.895]  Is there a plane?
[01:01:33.823 --> 01:01:34.704]  Where's the plane?
[01:01:35.004 --> 01:01:35.785]  Where's the plane?
[01:01:36.445 --> 01:01:37.926]  Is there a plane?
[01:01:37.986 --> 01:01:38.607]  Where is it?
[01:01:39.468 --> 01:01:40.268]  Where's the plane?
[01:01:40.669 --> 01:01:47.674]  No, but listen, if we just sit here and take it, they'd have us here until 6 in the morning, and then they'd f**k us even harder, okay?
[01:01:48.135 --> 01:01:50.777]  So, I need to- you're a supervisor, aren't you?
[01:01:51.077 --> 01:01:52.238]  Where's the plane?
[01:01:52.258 --> 01:01:53.860]  Sorry, I'm not gonna answer your question.
[01:01:53.920 --> 01:01:56.462]  No, I know, because I've been here for four hours!
[01:01:56.742 --> 01:01:57.663]  Don't give me this!
[01:01:58.183 --> 01:01:59.044]  Where's the plane?
[01:01:59.344 --> 01:02:00.865]  Here, I got a question for you.
[01:02:00.885 --> 01:02:04.566]  When did you make the decision that we weren't going to have a plane?
[01:02:04.746 --> 01:02:06.146]  When did you make that decision?
[01:02:06.166 --> 01:02:07.467]  Who made the decision?
[01:02:07.887 --> 01:02:09.348]  Who made the decision that we weren't?
[01:02:09.468 --> 01:02:10.828]  It's funny to you, right?
[01:02:11.128 --> 01:02:12.089]  It's not funny to us.
[01:02:12.449 --> 01:02:13.489]  Who made the decision?
[01:02:13.809 --> 01:02:14.689]  Who made the decision?
[01:02:14.890 --> 01:02:15.510]  Who made it?
[01:02:15.990 --> 01:02:17.010]  Well, who is it then?
[01:02:17.050 --> 01:02:17.951]  That's what I'm asking.
[01:02:18.191 --> 01:02:19.051]  Whose fault is it?
[01:02:19.331 --> 01:02:20.271]  Whose fault is it?
[01:02:20.532 --> 01:02:21.452]  Is there a proof?
[01:02:22.232 --> 01:02:23.732]  Is there a crew?
[01:02:23.832 --> 01:02:24.493]  Is there a crew?
[01:02:24.513 --> 01:02:26.193]  We're not going to be able to answer.
[01:02:26.293 --> 01:02:27.653]  Okay, let me whisper it.
[01:02:27.753 --> 01:02:28.953]  Is there a crew?
[01:02:29.073 --> 01:02:30.474]  Is there a plane or a crew?
[01:02:30.614 --> 01:02:34.074]  Flight 204, your plane is already on its way from the hangar.
[01:02:34.194 --> 01:02:36.875]  No, no, no, but they told us that four hours ago!
[01:02:37.355 --> 01:02:38.795]  Is it actually coming?
[01:02:39.135 --> 01:02:40.656]  Is it actually coming?
[01:02:40.676 --> 01:02:44.136]  Because I literally heard it was coming from the hangar three hours ago.
[01:02:44.537 --> 01:02:46.457]  I only tells you though who he really loves.
[01:02:47.841 --> 01:02:49.442]  He doesn't attack the animals.
[01:02:49.562 --> 01:03:02.388]  If I was the benevolent dictator of the world, I would legalize bestiality where you are giving, where you are pleasuring the animal.
[01:03:02.408 --> 01:03:03.269]  You see what I'm saying?
[01:03:03.289 --> 01:03:05.130]  I see what I'm saying.
[01:03:05.150 --> 01:03:06.771]  That guy's got some creepy lips, man.
[01:03:08.191 --> 01:03:15.135]  He talks about a dictator that wants to have worldwide legalized bestiality to pleasure animals.
[01:03:17.185 --> 01:03:20.206]  And see, it's almost evil to even cover what he's doing.
[01:03:21.426 --> 01:03:23.467]  Like, I never thought about pleasuring animals.
[01:03:24.848 --> 01:03:32.250]  And then, like, there's this big, fat, gross dude that defends Nazi collaborators and says, I'm the worst person in the world, but that he's doing all this.
[01:03:32.330 --> 01:03:34.531]  OK, we've got huge coronavirus news.
[01:03:34.631 --> 01:03:36.071]  Mike Adams pops in at the bottom of the hour.
[01:03:36.091 --> 01:03:39.393]  I'm going to come right back, and I'm going to go to your phone calls as quickly as possible.
[01:03:39.413 --> 01:03:46.135]  These are all great callers, but Judy and Austin and Robert and Hobbs and Carlos and Bob and John and Tim and Chase.
[01:03:47.481 --> 01:03:49.122]  Chase always calls in and it's not first time callers.
[01:03:49.142 --> 01:03:49.502]  That's fine.
[01:03:49.803 --> 01:03:50.724]  Everybody can call in today.
[01:03:51.124 --> 01:03:54.387]  Agree, disagree, and we can cover whatever topics you want.
[01:03:54.407 --> 01:03:55.288]  So that's all coming up.
[01:03:55.929 --> 01:03:58.351]  And then I guess I'll just do this at the start of the next segment.
[01:03:58.371 --> 01:04:08.601]  I'll talk about some personal things that have gone on with me that are interesting and that you should know about here first before the spin doctors have had their chance.
[01:04:09.867 --> 01:04:10.507]  Have fun with it.
[01:04:28.365 --> 01:04:33.627]  I love how the corporate media will just ignore whatever I say on a topic, even though it's about me, and just say they're live.
[01:04:33.647 --> 01:04:38.028]  But you hear it, and then you promulgate it, and without you, I am so dead in the water.
[01:04:38.068 --> 01:04:38.789]  But that's okay.
[01:04:38.809 --> 01:04:41.870]  Because the Alamo went down in flames as well.
[01:04:42.390 --> 01:04:43.530]  And I'm not looking forward to that.
[01:04:44.210 --> 01:04:45.891]  But, I'm not afraid of it.
[01:04:47.111 --> 01:04:48.592]  And I kinda am looking forward to it.
[01:04:49.092 --> 01:04:50.553]  Why not enjoy?
[01:04:51.333 --> 01:04:52.233]  We'll be right back.
[01:04:52.293 --> 01:04:52.893]  Stay with us.
[01:04:53.014 --> 01:04:54.314]  InfoWars.com.
[01:04:55.074 --> 01:04:56.695]  The destiny of humanity's beacon.
[01:05:03.708 --> 01:05:10.212]  We brought in a non-globalist paid actor and did a blind taste test between the mac and cheese from Storable Foods at Infowarsstore.com and one of America's leading brands.
[01:05:10.492 --> 01:05:11.292]  These are the results.
[01:05:11.692 --> 01:05:16.715]  Now go ahead and try the first macaroni and cheese to your right.
[01:05:16.795 --> 01:05:18.095]  It literally smells like nothing.
[01:05:19.416 --> 01:05:24.719]  What are your first thoughts?
[01:05:28.038 --> 01:05:28.419]  Typical.
[01:05:29.120 --> 01:05:38.294]  Takes me back to when the babysitter doesn't quite know how to make it like your mom makes it, so it's just not... Let's move on to the one on your left.
[01:05:40.137 --> 01:05:41.640]  See, this one actually smells like cheese.
[01:05:59.329 --> 01:06:03.163]  Go buy your storable food at InfoWarsStore.com
[01:06:16.147 --> 01:06:19.148]  You can run on for a long time.
[01:06:19.829 --> 01:06:22.070]  Run on for a long time.
[01:06:22.770 --> 01:06:26.432]  Run on for a long time.
[01:06:26.572 --> 01:06:27.472]  All right, welcome back.
[01:06:27.532 --> 01:06:28.533]  I'm Alex Jones, your host.
[01:06:28.613 --> 01:06:32.455]  Into the second hour, taking your phone calls on this live March 10th Tuesday transmission.
[01:06:33.235 --> 01:06:37.377]  We have Mike Adams popping in at the bottom of the hour with huge news.
[01:06:37.517 --> 01:06:38.678]  Is he right in saying this?
[01:06:38.998 --> 01:06:40.919]  With the model show in Europe, it's with Israel and
[01:06:42.634 --> 01:07:10.986]  Italy are doing breaking new analysis reveals President Trump must lock down the USA just like Italy in order to break the chain of exponential spread of coronavirus all air traffic and road traffic must be halted I'm not saying that that's what the math shows according to Mike who's been dead on so far and boy I sure hope he's wrong now so that's coming up and we'll just continue with your calls after that I'm about to go to your calls here in a moment now that said
[01:07:15.251 --> 01:07:30.265]  I want to not just get ahead of something, but I actually enjoy talking about this because it was quite the experience to see what's going on in this country and to go through it myself.
[01:07:31.326 --> 01:07:39.233]  Now I talked about this on air quite a bit that I've been a heavy drinker at times, not drunk at times, probably went more than four months just last year not drinking at all.
[01:07:40.427 --> 01:07:44.828]  And I've certainly gotten to the point where I don't have more than a beer or a glass of wine and drive a car.
[01:07:44.908 --> 01:07:47.369]  Because then I know that I will never blow above 0.8.
[01:07:51.510 --> 01:07:52.831]  And I've had police pull me over.
[01:07:53.411 --> 01:07:54.171]  And I'm totally honest.
[01:07:54.211 --> 01:07:58.292]  Yeah, I had two beers about two hours ago at a Mexican food restaurant or whatever.
[01:07:59.312 --> 01:08:01.573]  And they talked to me and that's it.
[01:08:02.773 --> 01:08:08.175]  Well, last night I'd been out at a Japanese restaurant with my wife.
[01:08:09.787 --> 01:08:11.928]  And got this little bitty tiny bottle of sake.
[01:08:11.968 --> 01:08:18.310]  I mean, just, it's a little bitty shot glasses of it, but it's just a tiny little, little bottle of sake, maybe 16% alcohol.
[01:08:18.491 --> 01:08:19.351]  She didn't drink a lot of it.
[01:08:19.371 --> 01:08:20.171]  We didn't even finish it.
[01:08:21.192 --> 01:08:22.452]  I drank probably half of it.
[01:08:24.033 --> 01:08:27.834]  We go home later, need something from the store.
[01:08:28.695 --> 01:08:31.576]  I drive out, lights turn on, pulls me over.
[01:08:32.731 --> 01:08:34.832]  Says, Oh, you match the description of a black car.
[01:08:34.872 --> 01:08:36.552]  We heard some domestic dispute here.
[01:08:36.652 --> 01:08:38.113]  And okay, well, that was a speed.
[01:08:38.153 --> 01:08:41.033]  He goes, Yeah, five miles of a speed limit needs you to get out of the car.
[01:08:42.114 --> 01:08:43.094]  So I get out of the car.
[01:08:43.114 --> 01:08:45.175]  He says, You've been drinking.
[01:08:45.195 --> 01:08:51.076]  And I said, Yeah, about two hours ago, I went and ate at a Japanese restaurant and had a small bottle of sake with my wife.
[01:08:52.056 --> 01:08:52.717]  He says, All right.
[01:08:52.737 --> 01:08:54.757]  Then he starts having me do these.
[01:08:55.918 --> 01:08:56.518]  What do you call them?
[01:08:58.393 --> 01:08:59.353]  Yeah, sobriety check.
[01:08:59.874 --> 01:09:02.194]  Where you stand on one foot and look at the other for 10 seconds.
[01:09:02.214 --> 01:09:03.975]  He shows me what to do and he can't do it.
[01:09:04.875 --> 01:09:06.196]  And goes, oh, that's my weight.
[01:09:06.336 --> 01:09:06.976]  That's my belt.
[01:09:07.036 --> 01:09:07.376]  Did that.
[01:09:07.717 --> 01:09:08.517]  So I start laughing.
[01:09:08.837 --> 01:09:10.117]  Then I knew I wasn't being mean.
[01:09:11.218 --> 01:09:14.879]  So I did it, but I was wobbling at 10 seconds.
[01:09:16.660 --> 01:09:18.300]  And he goes, well, that's it.
[01:09:18.861 --> 01:09:19.701]  You're going to jail.
[01:09:19.961 --> 01:09:24.703]  And I said, man, I just told you I had hours ago, probably not even in my body,
[01:09:27.393 --> 01:09:30.194]  And he said, well, you failed this part, so are you going to breathalyze me?
[01:09:30.214 --> 01:09:31.454]  He goes, no, they do that at the jail.
[01:09:31.534 --> 01:09:35.295]  So we got there in like 20 minutes, they go in, and they had me blown.
[01:09:35.315 --> 01:09:36.035]  They go, keep blowing.
[01:09:36.755 --> 01:09:38.755]  So I leave, and they put me in the tank.
[01:09:39.216 --> 01:09:40.196]  A next guy comes through.
[01:09:40.236 --> 01:09:41.816]  He goes, I heard Alex Jones is here.
[01:09:41.996 --> 01:09:43.056]  He goes, there he is, Alex Jones!
[01:09:43.376 --> 01:09:47.937]  They're all in there saying that you literally don't have any alcohol in your blood at any level.
[01:09:47.957 --> 01:09:49.698]  They could barely even pick up, and you shouldn't be here.
[01:09:49.718 --> 01:09:50.198]  This is crazy.
[01:09:50.218 --> 01:09:50.758]  Why are you here?
[01:09:51.920 --> 01:09:54.742]  And it wasn't until I got out this morning that I actually got the paperwork.
[01:09:54.842 --> 01:09:56.283]  And that's what's really weird.
[01:09:56.983 --> 01:10:01.406]  Is that there were two guys in there getting tested hearing that basically alcohol didn't even show up.
[01:10:01.466 --> 01:10:02.807]  And I'm not saying a conspiracy here.
[01:10:02.827 --> 01:10:05.669]  I'm not saying the police were out to get me at the local level.
[01:10:07.450 --> 01:10:11.073]  But still, the level they had was below the law and legal.
[01:10:12.393 --> 01:10:14.235]  So, there you go.
[01:10:15.316 --> 01:10:20.282]  But when you see this hit the news, and I welcome the policy, bring it, bring it.
[01:10:20.923 --> 01:10:23.065]  It'll be Jones arrested for DWI.
[01:10:23.646 --> 01:10:27.611]  And then whatever, Sandy Hook, you know they're going to put that in there.
[01:10:27.811 --> 01:10:29.333]  Sandy Hook denier arrested.
[01:10:29.393 --> 01:10:30.615]  Well you got arrested for Sandy Hook.
[01:10:30.635 --> 01:10:31.856]  I mean that's what they always say.
[01:10:32.637 --> 01:10:48.027]  And it'll just be some wild-ass stuff, and I want you to hear it up front, because I was being told this by folks that came out of there, going, yeah, they were talking about Alex Jones is here, and the first test showed no alcohol, and they couldn't believe it, and, wait, it's him!
[01:10:48.688 --> 01:10:51.790]  So they kept having me blow and blow and blow and blow, and I was like,
[01:10:53.183 --> 01:10:54.664]  I mean, because I'm a big guy, man.
[01:10:54.704 --> 01:10:57.506]  A little bitty bottle of wine took at least two hours before.
[01:10:57.846 --> 01:11:00.808]  And I've been at home, in the hot tub, drinking.
[01:11:00.868 --> 01:11:03.910]  I mean, I did not have zero buzz.
[01:11:04.050 --> 01:11:04.871]  Just zero.
[01:11:05.952 --> 01:11:10.375]  And I'm like, dude, you can't stand on one leg like you just wanted me to.
[01:11:10.495 --> 01:11:11.615]  I did it better than you did.
[01:11:12.216 --> 01:11:14.217]  And he had this light in my eyes and all this other crap.
[01:11:14.557 --> 01:11:16.699]  And, man, he'd sit there with a light over the other side, like, just for...
[01:11:18.012 --> 01:11:18.472]  A minute.
[01:11:18.573 --> 01:11:20.935]  And I'd finally get tired and go, oh, involuntary.
[01:11:21.055 --> 01:11:24.698]  I'm like, no dude, I'm not going to stare for one minute at your light pen.
[01:11:24.918 --> 01:11:29.162]  So he wanted me and he got me.
[01:11:29.342 --> 01:11:35.267]  But then I learned from the jail guards, they go, no, Travis County had the lowest level of arrest in the country.
[01:11:36.320 --> 01:11:49.969]  Or, it was a country, it used to be Lone Star State in Texas, and so they had all this heat, I'm gonna pull up the articles, it's true, and so now, it's not that deputy that did this, it's just they pull you over, and you're truthful, and go, yeah, I had two beers a couple hours ago.
[01:11:50.290 --> 01:11:50.890]  You're arrested.
[01:11:51.210 --> 01:11:52.351]  Doesn't matter, it's legal.
[01:11:54.032 --> 01:12:00.417]  So all these restaurants and all these bars in Texas and all over the country, you can't, they'll sell you beer!
[01:12:00.837 --> 01:12:01.558]  They'll sell you...
[01:12:02.816 --> 01:12:03.116]  Why?
[01:12:03.196 --> 01:12:04.117]  They'll sell you liquor.
[01:12:04.177 --> 01:12:06.338]  You can't drink one drink.
[01:12:06.358 --> 01:12:08.560]  And I've been reading about Mothers Against Drunk Driving.
[01:12:09.020 --> 01:12:10.842]  You can't do this anywhere in the country now.
[01:12:11.342 --> 01:12:11.962]  One drink.
[01:12:12.983 --> 01:12:14.944]  They don't care if you're below the amount.
[01:12:16.165 --> 01:12:20.788]  Now, he gets beaten in court, but it's insane, folks.
[01:12:21.249 --> 01:12:29.915]  They're now arresting people and taking them to jail, and they're continuing prosecutions that show zero alcohol.
[01:12:30.535 --> 01:12:31.656]  I've got news articles on that.
[01:12:32.651 --> 01:12:36.532]  Show, this will just be a huge another thing, but you know what?
[01:12:37.973 --> 01:12:41.334]  I didn't even want alcohol when I started back on New Year's drinking some more.
[01:12:41.894 --> 01:12:45.635]  And so I'm going to have that power over them that I'm in a hundred percent quit.
[01:12:46.675 --> 01:12:49.416]  So that they can never again, but man, it's weird.
[01:12:49.436 --> 01:12:52.317]  You go to a restaurant, you're like, Hey, one, one, one, one beer.
[01:12:52.337 --> 01:12:54.218]  And you can't have one.
[01:12:54.238 --> 01:12:58.899]  The bottle of sake was this tall between two people.
[01:13:00.345 --> 01:13:01.246]  Oh, let me just show you.
[01:13:01.787 --> 01:13:03.909]  We're the Show Me Show here in Missouri.
[01:13:04.590 --> 01:13:07.072]  Let me show you right here.
[01:13:07.493 --> 01:13:08.394]  Here you go, ladies and gentlemen.
[01:13:08.674 --> 01:13:10.916]  Here is my alcohol test right here.
[01:13:11.477 --> 01:13:12.578]  Two of them they put on there.
[01:13:15.201 --> 01:13:12.578]  0.076.
[01:13:15.381 --> 01:13:15.501]  It's 0.08.
[01:13:15.561 --> 01:13:17.543]  They even lowered it.
[01:13:23.601 --> 01:13:24.722]  That's like one beer, basically.
[01:13:25.043 --> 01:13:25.263]  And then 0.07.
[01:13:26.444 --> 01:13:29.708]  They kept testing, testing, testing, but that's the best ones they can get right there.
[01:13:30.248 --> 01:13:32.310]  So, Alex Jones, there's your takeaway.
[01:13:32.450 --> 01:13:32.871]  Innocent.
[01:13:33.291 --> 01:13:37.496]  Alex Jones arrested for DWI and was below the legal limit.
[01:13:38.056 --> 01:13:43.923]  But when they put it out in the news, it will be the exact opposite giant fiasco that I was
[01:13:44.523 --> 01:13:59.088]  You know, murdering children, and running around with sickles, chopping people's heads off, and burning down houses with canisters of gasoline, and snorting 14 lines of, you know, 14-foot lines of cocaine, and shoving bottle rockets up my rear end.
[01:13:59.108 --> 01:14:03.510]  I mean, by the time they're done, it's just gonna be, oh, he's arrested, he's arrested, he's arrested!
[01:14:05.951 --> 01:14:08.792]  But for me, what was crazy is, the cop goes,
[01:14:10.219 --> 01:14:10.920]  I'll do a demonstration.
[01:14:10.960 --> 01:14:12.901]  He goes, and then you just for 10 seconds, you do this.
[01:14:13.081 --> 01:14:14.443]  And he could, he goes, oh, sorry.
[01:14:14.483 --> 01:14:20.928]  My belt was, dude, it's hard to sit there and step on one foot with the other foot an inch off the ground and look at your foot.
[01:14:21.148 --> 01:14:21.569]  You try it.
[01:14:23.190 --> 01:14:25.572]  I was doing it this morning and I was having trouble.
[01:14:25.832 --> 01:14:29.035]  I did it better at 10 o'clock at night, going to get ice cream.
[01:14:32.372 --> 01:14:36.914]  So I can't wait, even if they try to continue, because when you're under the log, it's thrown out.
[01:14:36.934 --> 01:14:39.575]  But even if they try to continue claiming some sobriety deal, that's great!
[01:14:39.735 --> 01:14:45.018]  Because I'll just have the cop on the squad car video, unable to do it for three seconds.
[01:14:45.758 --> 01:14:46.879]  How the hell?
[01:14:46.899 --> 01:14:48.059]  These guys are in good shape, by the way.
[01:14:48.079 --> 01:14:53.482]  I'm like, dude, you can't... Later in the car, I'm like, you can't do... Oh, my belt was... Oh, give me a break, dude.
[01:14:53.542 --> 01:14:54.883]  I did deadlifts yesterday.
[01:14:55.163 --> 01:14:56.363]  It was 10 o'clock at night.
[01:14:56.563 --> 01:14:57.584]  I've been in a hot tub.
[01:15:00.168 --> 01:15:02.309]  I've been doing other things too, you know, with the old lady.
[01:15:02.649 --> 01:15:03.989]  I mean, I was relaxed.
[01:15:04.189 --> 01:15:05.069]  I was tired.
[01:15:05.450 --> 01:15:10.391]  I went out to get Blue Bell ice cream and, you know, this stuff's going on, but listen, it's okay.
[01:15:10.911 --> 01:15:13.872]  I don't blame that guy because that's mothers against drunk driving.
[01:15:14.052 --> 01:15:17.293]  You know, it used to, the alcohol limit was like three times what it is now.
[01:15:18.183 --> 01:15:21.004]  But now, ladies and gentlemen, I want drunk drivers arrested.
[01:15:21.044 --> 01:15:22.785]  I want illegal aliens plowing folks over arrested.
[01:15:23.185 --> 01:15:25.366]  But citizens... Here's the thing.
[01:15:25.506 --> 01:15:29.927]  Restaurants should not be allowed to sell alcohol if these laws continue.
