[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[01:03:57.454 --> 01:04:00.157]  Savannah was even worse.
[01:04:00.157 --> 01:04:04.341]  And then now the new lady is a Democrat Party operative.
[01:04:04.341 --> 01:04:06.102]  Christina Welker is even worse.
[01:04:07.102 --> 01:04:11.644]  And so he'll be debating both Joe Biden and her, and they won't let Trump bring it up.
[01:04:11.644 --> 01:04:17.787]  Trump's going to have to just say what he wants, tell her to shut up, and tell them to stop rigging the debate right up there on stage.
[01:04:17.787 --> 01:04:19.108]  Trump says he knows it's going to be rigged.
[01:04:19.108 --> 01:04:23.050]  He says he'll still play their rigged game and beat them.
[01:04:23.050 --> 01:04:24.611]  But this is just crazy, folks.
[01:04:24.611 --> 01:04:26.912]  This is absolutely out of control.
[01:04:26.912 --> 01:04:34.175]  And you've got the Hunter Biden laptop they want you to forget about, that they're now saying is Russian disinfo with no evidence, when they've confirmed it's their laptop.
[01:04:34.175 --> 01:04:35.476]  Their lawyer said it's his laptop.
[01:04:37.950 --> 01:04:38.911]  So who cares who got it?
[01:04:38.911 --> 01:04:40.572]  But it wasn't the Russians.
[01:04:40.572 --> 01:04:50.722]  It's about the crimes he's committing, reportedly having sex, raping underage girls, and reportedly doing brutal things, characterizes extreme torture.
[01:04:50.722 --> 01:04:52.043]  Those reports are at Banned.Video.
[01:04:52.043 --> 01:05:02.993]  I hope you share those as well, because the only way the enemy wins is by silencing you, and now you see they're silencing the Congress, they're silencing the President, they're shadow banning people, and when
[01:05:05.114 --> 01:05:07.876]  Whenever the president complains or when Don Jr.
[01:05:07.876 --> 01:05:11.759]  complains about, hey, you're shadow banning our tweets, they go, oh, that doesn't exist.
[01:05:11.759 --> 01:05:13.481]  You're crazy.
[01:05:13.481 --> 01:05:15.662]  Same thing they did to us four years ago.
[01:05:15.662 --> 01:05:16.383]  It's a formula.
[01:05:16.383 --> 01:05:20.086]  They're following an exact plan.
[01:05:20.086 --> 01:05:23.329]  And Congress will sit there and have hearings and go, are you censoring us?
[01:05:23.329 --> 01:05:25.530]  No, we never did to anybody.
[01:05:25.530 --> 01:05:30.434]  All right, let's take your calls.
[01:05:30.434 --> 01:05:33.437]  Let's talk to Robert in Louisiana.
[01:05:35.049 --> 01:05:37.270]  What's going to happen with this election, brother?
[01:05:37.270 --> 01:05:38.571]  What do we do if Biden gets in?
[01:05:38.571 --> 01:05:39.511]  Trump's right.
[01:05:39.511 --> 01:05:41.592]  This is modern takeover.
[01:05:41.592 --> 01:05:43.273]  This is not a party.
[01:05:43.273 --> 01:05:46.074]  This is the army of the chi-coms and the globalists.
[01:05:46.074 --> 01:05:47.795]  What do we do about it?
[01:05:47.795 --> 01:05:52.557]  I would say immediately, in order to try to stop it, Alex, it's so great to talk to you.
[01:05:52.557 --> 01:05:53.498]  Thanks for what you do.
[01:05:53.498 --> 01:05:57.660]  And I know you hate when people say that, but I've been trying to get in... It's not that I hate it, brother.
[01:05:57.660 --> 01:06:00.321]  It's just that the whole show is thanking me.
[01:06:00.321 --> 01:06:00.801]  I love you.
[01:06:00.801 --> 01:06:01.582]  I appreciate you, too.
[01:06:01.582 --> 01:06:01.862]  Go ahead.
[01:06:02.765 --> 01:06:08.969]  All right, so we need like a strategic withdrawal from all the major tech platforms of all the users.
[01:06:08.969 --> 01:06:18.276]  Like if everybody on InfoWars who's listening to Bandai Video right now, if you go and set up, download a separate browser, something like Brave,
[01:06:20.111 --> 01:06:21.591]  Go and get onto Gab.
[01:06:21.591 --> 01:06:23.452]  You've had the CEO of Gab on.
[01:06:23.452 --> 01:06:24.153]  Great.
[01:06:24.153 --> 01:06:25.293]  Alternative to Twitter.
[01:06:25.293 --> 01:06:27.795]  Then pull people off of Twitter, onto Gab.
[01:06:27.795 --> 01:06:31.677]  Pull people off of Facebook onto a site like MeWe.
[01:06:31.677 --> 01:06:33.398]  Also, there's an alternative to YouTube.
[01:06:33.398 --> 01:06:34.379]  There's Library.
[01:06:34.379 --> 01:06:35.799]  There's Bitchute.
[01:06:35.799 --> 01:06:43.884]  Everybody that's listening right now, if they went and do that, and at least mirror their profiles, and then get all their friends and family, ten people,
[01:06:44.464 --> 01:06:47.725]  Get 10 people, get them off of the big tech platforms.
[01:06:47.725 --> 01:06:49.426]  Well sir, hold on a second.
[01:06:49.426 --> 01:06:51.627]  I've been preaching this non-stop for a decade.
[01:06:51.627 --> 01:06:54.007]  I've really been hammering it for four years.
[01:06:54.007 --> 01:06:54.508]  Exactly.
[01:06:54.508 --> 01:07:01.530]  You use the big platforms while you still have them to promote all the little platforms and grow those as part of the exodus.
[01:07:01.530 --> 01:07:02.950]  And that's exactly what needs to be done.
[01:07:02.950 --> 01:07:05.311]  14 days out though, brother, and I appreciate your call.
[01:07:05.311 --> 01:07:05.992]  14 days out.
[01:07:08.223 --> 01:07:09.465]  Day late, dollar short.
[01:07:09.465 --> 01:07:13.934]  People better be sharing on Twitter, on Facebook, on all those.
[01:07:13.934 --> 01:07:16.598]  Even if you're going to get banned or set up a sub-account.
[01:07:16.598 --> 01:07:19.063]  In the info war, however you can now.
[01:07:19.063 --> 01:07:19.784]  Again, don't share.
[01:07:21.698 --> 01:07:27.361]  Man, that video on Twitter, share2020electioncenter.com, that gets around their systems for now.
[01:07:27.361 --> 01:07:29.563]  But absolutely, that would have been a great idea.
[01:07:29.563 --> 01:07:31.184]  Everyone should go to Parler.
[01:07:31.184 --> 01:07:32.645]  Everyone should go to Gab.
[01:07:32.645 --> 01:07:34.806]  Everyone should go to Telegram or Telegraph.
[01:07:34.806 --> 01:07:36.267]  Everybody, we're on all that.
[01:07:36.267 --> 01:07:38.448]  We mirror all our stuff there as well.
[01:07:38.448 --> 01:07:42.551]  And that's what everybody needs to do instead of counting on you're always going to have that because you're not.
[01:07:42.551 --> 01:07:44.292]  These are all tools of control.
[01:07:44.292 --> 01:07:47.334]  It's an authoritarian takeover.
[01:07:47.334 --> 01:07:49.535]  Peter in Canada, what happens if Biden wins?
[01:07:49.535 --> 01:07:50.176]  I want your take.
[01:07:50.176 --> 01:07:50.556]  Thank you, sir.
[01:07:51.596 --> 01:07:52.457]  Hi, Alex.
[01:07:52.457 --> 01:07:54.739]  Yes, sir.
[01:07:54.739 --> 01:07:56.581]  Yeah, with two weeks left, it's too late.
[01:07:56.581 --> 01:07:59.024]  If Biden wins, the U.S.
[01:07:59.024 --> 01:08:00.285]  is sunk.
[01:08:00.285 --> 01:08:09.615]  What Trump has to do right now is do the Insurrection Act, get rid of Bill Barr, and round up and prosecute every single one of them.
[01:08:09.615 --> 01:08:13.679]  Biden, Hunter, Hillary, Bill, the works of them.
[01:08:15.643 --> 01:08:19.185]  By the way, they're the authoritarians that have tried to have three coups.
[01:08:19.185 --> 01:08:25.028]  They're the authoritarians working with a foreign power and with all this media ganged up on the President and the American people.
[01:08:25.028 --> 01:08:27.430]  So it's not a police state to have them arrested.
[01:08:27.430 --> 01:08:31.432]  It's what George Washington or Winston Churchill or Charles de Gaulle
[01:08:31.832 --> 01:08:33.793]  Or anybody that was real would do.
[01:08:33.793 --> 01:08:37.895]  Just Trump doesn't have the FBI or the military leadership to do it.
[01:08:37.895 --> 01:08:38.896]  He does have the rank and file.
[01:08:38.896 --> 01:08:43.598]  And we're now to that point where Communist China is about to steal the election.
[01:08:43.598 --> 01:08:46.700]  When Trump challenges it, the whole media will say he's a fraud.
[01:08:46.700 --> 01:08:47.961]  We're all going to be locked down.
[01:08:47.961 --> 01:08:49.442]  We're all going to be barred.
[01:08:49.442 --> 01:08:57.066]  We've got to hit the streets very legally and lawfully, but very aggressively now ahead of this and when it happens.
[01:08:58.669 --> 01:09:05.795]  So, I mean, this freight train is coming down, 14 days to election, 79 days of hell.
[01:09:05.795 --> 01:09:13.842]  And I'm just telling all these folks that see their numbers and know that Trump's going to win, yes, but the enemy is fraudulent.
[01:09:13.842 --> 01:09:14.723]  They're going to make their move.
[01:09:14.723 --> 01:09:15.924]  And I agree.
[01:09:15.924 --> 01:09:17.966]  Communist China has blackmailed Joe Biden.
[01:09:17.966 --> 01:09:21.209]  We have the emails proving it and other foreign powers.
[01:09:21.209 --> 01:09:22.450]  He is not fit to be the leader.
[01:09:23.330 --> 01:09:31.996]  They all need to be arrested, and then after the leadership's been arrested, a new Democratic Party can form, and in a year we can have another general election.
[01:09:31.996 --> 01:09:33.878]  And this is not because I fear Trump's going to lose.
[01:09:33.878 --> 01:09:37.180]  He's going to legitimately win, but they've said they want secession.
[01:09:37.180 --> 01:09:38.861]  They've said they want martial law.
[01:09:38.861 --> 01:09:45.706]  And you're damn right, sir, if they can't steal it with an overwhelming fraud, they're going to then contest, have secession, race war.
[01:09:45.706 --> 01:09:48.208]  We can't just sit back and let foreign powers do this.
[01:09:48.208 --> 01:09:49.229]  We're under attack.
[01:09:49.229 --> 01:09:50.670]  Franklin Delano Roosevelt, listen.
[01:09:51.920 --> 01:09:54.001]  They didn't make a big deal about it.
[01:09:54.001 --> 01:09:58.284]  Franklin Delano Roosevelt, who I wasn't a fan of in some respects, but I wasn't for the Nazis taking over the U.S.
[01:09:58.284 --> 01:10:00.145]  either, he got approached.
[01:10:00.145 --> 01:10:02.707]  The McCormick-Dixton Committee covered this later.
[01:10:02.707 --> 01:10:09.992]  Smedley Butler, the Commandant of the Marine Corps, Congressional Medal of Honor winner, two-time.
[01:10:09.992 --> 01:10:11.053]  He got approached.
[01:10:11.053 --> 01:10:14.435]  They wanted him to run for President because he didn't like Roosevelt.
[01:10:15.657 --> 01:10:15.877]  I don't
[01:10:30.657 --> 01:10:32.158]  Well Alex, if Biden gets in, the U.S.
[01:10:32.158 --> 01:10:32.438]  is finished.
[01:11:01.617 --> 01:11:09.138]  Trump, they are going to fix this election six ways to Sunday, no two ways about it.
[01:11:09.138 --> 01:11:10.699]  The only chance the U.S.
[01:11:10.699 --> 01:11:14.780]  has is the Insurrection Act.
[01:11:14.780 --> 01:11:27.422]  Get whatever form of the military that's behind them, anybody who's behind them, get them out there, get them arresting the traitors, and if they have to redo the election, redo the election, whatever.
[01:11:29.031 --> 01:11:38.501]  But yeah, I'm looking at you up here from Canada, and I fear if Joe Biden wins, there will be a civil war in the United States.
[01:11:38.501 --> 01:11:39.502]  No two ways about it.
[01:11:39.502 --> 01:11:47.630]  It's going to be a hot civil war, and I live far too close to the border for my liking.
[01:11:48.351 --> 01:11:49.952]  Oh, they're planning to break your will.
[01:11:49.952 --> 01:11:52.153]  They want to end Western civilization.
[01:11:52.153 --> 01:11:54.914]  They want to end the consumer society for us.
[01:11:54.914 --> 01:11:56.335]  Because they want us controlled as serfs.
[01:11:56.335 --> 01:11:58.916]  We're going into neo-serfdom, brother.
[01:11:58.916 --> 01:12:00.597]  And look, we're not up here hyping this.
[01:12:00.597 --> 01:12:03.899]  People get now that I wasn't hyping this a year ago or six months ago.
[01:12:03.899 --> 01:12:05.600]  And I've got chills up and down my spine.
[01:12:05.600 --> 01:12:07.080]  I feel physically sick.
[01:12:07.080 --> 01:12:08.401]  I'm so sad this is here.
[01:12:08.401 --> 01:12:12.303]  And I've talked to some high-level people today that don't want to go on record yet.
[01:12:12.303 --> 01:12:13.643]  Roger Stone's on tomorrow, by the way.
[01:12:15.964 --> 01:12:25.251]  You know, Roger doesn't want to attack the people running the campaign, but I mean, I know the numbers, and I know the internal polling, and Trump's only five points ahead.
[01:12:25.251 --> 01:12:29.955]  He was 15 points ahead last time, and that's how he was able to still win, even though there was massive fraud.
[01:12:29.955 --> 01:12:34.578]  He's only five points ahead in most of these states, and the fraud will be so high, he's going to lose.
[01:12:35.439 --> 01:12:40.044]  And so all these Republicans thinking, oh, we're going to win and having this euphoria and stuff.
[01:12:40.044 --> 01:12:40.965]  I'm sorry, folks.
[01:12:40.965 --> 01:12:48.613]  Right now, Trump's going to lose via fraud and the communist Chinese will rule America with the satanic pedophile Democrats who love to rape little girls.
[01:12:50.609 --> 01:12:54.432]  This is your last chance to get a pack power stack.
[01:12:54.432 --> 01:12:56.134]  And I'm really bummed out about that.
[01:12:56.134 --> 01:13:01.299]  It started out as a sleeper product, but the people that did order it loved it and started reordering it.
[01:13:01.299 --> 01:13:03.621]  They spread the word and became one of our best sellers.
[01:13:03.621 --> 01:13:06.203]  But because of the COVID supply chain breakdown,
[01:13:06.583 --> 01:13:12.765]  Because there's 13 different formulas in 8-Pak PowerStack, we are unable to secure it anymore.
[01:13:12.765 --> 01:13:21.368]  This is the highest-end AM-PM pack system you're going to find, where you take half the pills in the morning, half the tablets and pills and gel caps at night.
[01:13:21.368 --> 01:13:21.828]  It's amazing.
[01:13:21.828 --> 01:13:30.291]  I don't have time to go into everything that's in it, but this gets people to remember to take it, and that's why it's having such a great effect, because the stuff in here is absolutely amazing.
[01:13:30.291 --> 01:13:33.372]  So it's your last chance to get 8-Pak PowerStack at InfoWareStore.com.
[01:13:33.912 --> 01:13:35.573]  It's 60% off and free shipping.
[01:13:35.573 --> 01:13:36.714]  That is at cost.
[01:13:36.714 --> 01:13:40.016]  For all of you that already support InfoWars, we're passing these savings on to you.
[01:13:40.016 --> 01:13:42.698]  Get your 8-pack PowerStack now, or you still can.
[01:13:42.698 --> 01:13:45.540]  Last chance to get it, InfoWarsStore.com.
[01:13:45.540 --> 01:13:48.002]  8-pack PowerStack, 60% off and free shipping.
[01:13:50.465 --> 01:13:55.349]  As I taped this announcement, we were exactly 14 days out from the election.
[01:13:55.349 --> 01:14:00.312]  And the globalist-controlled Democrats know that America has woken up to them and turned against them.
[01:14:00.312 --> 01:14:03.454]  The whole planet is in a huge populist realignment.
[01:14:03.454 --> 01:14:10.619]  And so they've openly said, we need to go to pure authoritarianism, not just censorship, but physically attacking and arresting
[01:14:11.580 --> 01:14:13.841]  Anyone that doesn't submit to our agenda.
[01:14:13.841 --> 01:14:22.763]  And they're on record saying that once they remove Trump, they are going to persecute Trump's base and going to try to prosecute us and put us all in prison.
[01:14:22.763 --> 01:14:25.924]  This is what all the old Clinton-esters are saying.
[01:14:25.924 --> 01:14:28.185]  It's what the Obama-bots are saying.
[01:14:28.185 --> 01:14:29.625]  It's what Keith Overman's saying.
[01:14:29.625 --> 01:14:30.886]  It's what Nancy Pelosi's saying.
[01:14:32.213 --> 01:14:36.457]  This is their stated criminal authoritarian intent.
[01:14:36.457 --> 01:14:40.000]  And they intend to keep the lockdowns going forever and forced inoculations.
[01:14:40.000 --> 01:14:44.565]  Trump is trying to end the lockdowns and is saying vaccines will be voluntary.
[01:14:44.565 --> 01:14:46.386]  Donald Trump or die.
[01:14:46.386 --> 01:14:47.727]  You've got to get Trump in.
[01:14:47.727 --> 01:14:53.613]  Everybody get out there and vote and tell your family to vote now.
[01:14:53.613 --> 01:14:56.275]  You're listening to the Alex Jones Show.
[01:15:03.547 --> 01:15:09.792]  Bullet in my shoulder, blood running down my vest.
[01:15:09.792 --> 01:15:19.719]  Twenty in the posse, and they're never gonna let me rest.
[01:15:19.719 --> 01:15:24.763]  Till I became a wanted man, I never even owned a gun.
[01:15:24.763 --> 01:15:29.106]  But now they hunt me like a mountain cat, and I'm always, always,
[01:15:33.619 --> 01:16:01.653]  Always on the run I killed poor Jed Bryant In a bad Laredo fight Killed him with my bare hands For the girl I loved that night Jed's brother's out to get me He's coming with a gang Well, I'd rather shoot it up I've got to let him watch me hang Bullet in my shoulder
[01:16:04.915 --> 01:16:19.984]  Folks, America got taken over by very evil corporations that are ruthless, that have set up communist China.
[01:16:19.984 --> 01:16:27.789]  And if you look at Nancy Pelosi, Keith Olbermann, I saw Robert Reich, you know, the former Clinton administration.
[01:16:27.789 --> 01:16:29.570]  What was he in?
[01:16:29.570 --> 01:16:30.471]  Housing, Urban Development.
[01:16:32.728 --> 01:16:35.469]  Nothing against short people, but he's literally a midget.
[01:16:35.469 --> 01:16:39.231]  And they're talking about how they're going to persecute us and arrest us and put us in prison.
[01:16:39.231 --> 01:16:41.252]  And they've tried to put me in prison behind the scenes.
[01:16:41.252 --> 01:16:45.074]  I'm not going to get into it.
[01:16:45.074 --> 01:16:49.916]  That latest attempt has been dealt with, thanks to the grace of God and your prayers.
[01:16:49.916 --> 01:16:51.637]  They tried to put everybody I know basically in jail.
[01:16:51.637 --> 01:16:54.759]  They tried to set my dad up, folks, that we were Russian agents.
[01:16:57.113 --> 01:16:58.434]  That's what's going on here.
[01:16:58.434 --> 01:17:00.435]  So, believe me, I know how serious this is.
[01:17:00.435 --> 01:17:01.276]  Am I worried about me?
[01:17:01.276 --> 01:17:01.917]  Hell no!
[01:17:01.917 --> 01:17:04.699]  I'm worried about all of us, man!
[01:17:04.699 --> 01:17:06.700]  You really want to... You think we're just safe?
[01:17:06.700 --> 01:17:07.701]  Go along with us?
[01:17:07.701 --> 01:17:10.183]  Keep your head down?
[01:17:10.183 --> 01:17:11.764]  You're gonna really sit back and watch that happen?
[01:17:11.764 --> 01:17:13.065]  That's really who you are.
[01:17:13.065 --> 01:17:15.226]  I know our audience of activists are the opposite.
[01:17:15.226 --> 01:17:15.947]  That's why I love you.
[01:17:15.947 --> 01:17:18.429]  That's why it's obscene you call up thanking me.
[01:17:18.429 --> 01:17:22.412]  Thank me for wanting to not be a slave?
[01:17:22.412 --> 01:17:25.074]  Again, that's like going under the deep end of the pool, going down 10 feet.
[01:17:27.517 --> 01:17:29.998]  When your wife loses her ring in it or something, she says, hey honey, get my ring.
[01:17:29.998 --> 01:17:30.779]  It fell off.
[01:17:30.779 --> 01:17:31.879]  And you're like, don't come up for air.
[01:17:31.879 --> 01:17:37.662]  And they go, boy, you know, you sure got courage when you came up for air.
[01:17:37.662 --> 01:17:40.904]  This is a natural thing to do to say no to this.
[01:17:40.904 --> 01:17:47.026]  And when I look at every angle of this, the most horrible outcomes are what I see.
[01:17:47.026 --> 01:17:49.808]  And I'd be a liar if I didn't tell you that.
[01:17:52.014 --> 01:17:54.756]  Of course Trump's got bigger crowds than he had four years ago.
[01:17:54.756 --> 01:18:02.423]  Of course he's got 40% of black males, 20% of black females saying they're gonna vote for him, and that's when people are scared being asked the question.
[01:18:02.423 --> 01:18:04.605]  It's probably higher.
[01:18:04.605 --> 01:18:07.848]  Kanye West and others are a bellwether.
[01:18:07.848 --> 01:18:12.792]  But what does Facebook and Twitter do when it shows a big group of black Americans marching in DC?
[01:18:12.792 --> 01:18:14.333]  They ban you!
[01:18:14.333 --> 01:18:17.456]  That's authoritarians because they're creating a racial narrative.
[01:18:17.456 --> 01:18:19.478]  Sony is worth
[01:18:20.814 --> 01:18:24.055]  Forty-five billion dollars.
[01:18:24.055 --> 01:18:34.576]  It's owned by the Japanese imperial family and others, who, nothing against Japanese, they're nice folks, but man, you talk about being homogeneous and racist.
[01:18:34.576 --> 01:18:37.657]  Only other group more racist is the Chinese.
[01:18:37.657 --> 01:18:41.098]  I mean, it's a fact, folks.
[01:18:41.098 --> 01:18:48.599]  They're putting... Forty... Five billion dollar company is pumping hundreds of millions of dollars
[01:18:51.303 --> 01:18:56.364]  Into the Black Lives Matter movement, which has nothing to do with black people.
[01:18:56.364 --> 01:19:04.125]  And I know you know that, but this is the elite of the world coming after us.
[01:19:04.125 --> 01:19:07.226]  Apple, 100 million black lives matter.
[01:19:07.226 --> 01:19:12.687]  George Soros, hundreds of millions black lives matter.
[01:19:12.687 --> 01:19:20.368]  And then I read the headlines, you know, older blacks particularly are going to vote because they've got black sons and they're not going to let white people kill them.
[01:19:23.251 --> 01:19:33.195]  You're 27 times more likely in Chicago to be killed by a black man if you're a black man than you are a white man.
[01:19:33.195 --> 01:19:35.296]  2,000 black men die a year in Chicago on average.
[01:19:35.296 --> 01:19:40.698]  How many cops shoot unarmed black men in even questionable cases a year?
[01:19:40.698 --> 01:19:41.999]  14!
[01:19:41.999 --> 01:19:44.400]  It's a myth.
[01:19:44.400 --> 01:19:45.920]  But they take every event.
[01:19:45.920 --> 01:19:47.681]  Did they show you a great white shark attack?
[01:19:47.681 --> 01:19:49.322]  I think there's only like two of them on video.
[01:19:49.322 --> 01:19:50.842]  They showed you that every night.
[01:19:50.842 --> 01:19:52.243]  People think there are great white sharks everywhere.
[01:19:53.527 --> 01:19:54.928]  But again, it's the same thing.
[01:19:54.928 --> 01:19:56.128]  It's like COVID.
[01:19:56.128 --> 01:20:02.851]  They take all the flu numbers, all the pneumonia numbers, all the cancer numbers, all the heart attack numbers, all the car wrecks, all the skydiving accidents.
[01:20:02.851 --> 01:20:03.971]  These are real cases.
[01:20:03.971 --> 01:20:04.952]  Gunshot wounds.
[01:20:04.952 --> 01:20:08.013]  And they put it in the COVID column, and then go, oh my God!
[01:20:08.013 --> 01:20:10.854]  We've lost 230,000 people from COVID!
[01:20:10.854 --> 01:20:16.096]  But when you look at all the numbers, it's 6% of that actually died from COVID.
[01:20:16.096 --> 01:20:17.176]  So divide 6 out of 230,000.
[01:20:17.176 --> 01:20:17.737]  Everybody can do it.
[01:20:24.595 --> 01:20:28.799]  15, 16,000?
[01:20:28.799 --> 01:20:31.361]  People that didn't die of something else, they did the numbers in Australia.
[01:20:31.361 --> 01:20:36.806]  77 people died of COVID in Australia.
[01:20:36.806 --> 01:20:39.027]  Let me show you these numbers.
[01:20:39.027 --> 01:20:39.748]  Look at these headlines.
[01:20:39.748 --> 01:20:41.029]  Cuomo killed my parents.
[01:20:41.029 --> 01:20:45.313]  Protesters fill casket with copies of governor's book on COVID leadership.
[01:20:45.313 --> 01:20:46.093]  Yes!
[01:20:46.093 --> 01:20:47.494]  Get in their face!
[01:20:47.494 --> 01:20:49.716]  Info war!
[01:20:49.716 --> 01:20:50.557]  And then, look at these numbers.
[01:20:50.557 --> 01:20:51.378]  Look at these numbers.
[01:20:52.711 --> 01:20:55.233]  As the whole world locks down, China's totally open.
[01:20:55.233 --> 01:20:57.735]  Biden wears two masks at a campaign stop.
[01:20:57.735 --> 01:20:59.397]  Oh, virtue signaling.
[01:20:59.397 --> 01:21:01.318]  Now people are wearing spacesuits.
[01:21:01.318 --> 01:21:02.720]  Because humans are so bad.
[01:21:02.720 --> 01:21:03.400]  We're so dirty.
[01:21:03.400 --> 01:21:04.001]  We're so evil.
[01:21:04.001 --> 01:21:05.202]  We can't be around each other.
[01:21:05.202 --> 01:21:06.543]  We have to all go die.
[01:21:06.543 --> 01:21:11.067]  We have to all die and starve because we can't have one person die of COVID.
[01:21:11.067 --> 01:21:13.349]  But look at this headline.
[01:21:13.349 --> 01:21:20.715]  Brazil's major state, run by a communist, calls for mandatory COVID vaccinations to buy or sell.
[01:21:22.363 --> 01:21:27.747]  And the Communist State is now buying 46 million doses.
[01:21:27.747 --> 01:21:29.268]  And of course, they're all involved.
[01:21:29.268 --> 01:21:30.128]  Look at this headline.
[01:21:30.128 --> 01:21:31.349]  IATA.
[01:21:31.349 --> 01:21:35.232]  You're more likely to get struck by lightning than catch COVID-19 on a plane.
[01:21:35.232 --> 01:21:44.839]  The International Air Transport Association has recently published research on COVID flying that should help you feel safe for the health and safety of air travel.
[01:21:46.323 --> 01:21:52.626]  The IATA demonstrated that low incidence of flight COVID-19 transmission with an updated tally of published cases.
[01:21:52.626 --> 01:22:02.670]  Between January 2020, there were 44 cases worldwide of COVID-19 reported in which transmission is thought to have associated in a flight journey inclusive of confirmed probable potential causes.
[01:22:02.670 --> 01:22:08.392]  Over the same period, 1.2 billion passengers have traveled.
[01:22:08.392 --> 01:22:10.393]  So do the math on that.
[01:22:10.393 --> 01:22:12.734]  What chance is that of you getting COVID?
[01:22:13.766 --> 01:22:25.512]  The figures above represent a 1 in 27 million probability of catching COVID-19 on a flight, which is significantly less the chances of being struck by lightning, which is Australia, is around 1 in 12,000.
[01:22:25.512 --> 01:22:31.275]  So they're like, what did I say a month ago?
[01:22:31.275 --> 01:22:34.557]  I said COVID is, calling it a hoax is not proper.
[01:22:34.557 --> 01:22:38.299]  The rollout has a bunch of hoaxes, adding death numbers,
[01:22:39.619 --> 01:22:42.101]  From other things into the columns of hoax.
[01:22:42.101 --> 01:22:44.263]  Saying hospitals were full and they weren't is a hoax.
[01:22:44.263 --> 01:22:46.645]  Hiring reporters to dress up in hazmat gear is a hoax.
[01:22:46.645 --> 01:22:48.406]  There's lots of hoaxes in it.
[01:22:48.406 --> 01:22:56.333]  But no, there is a virus that is man-made so Gates can own a common cold virus and then make you pay his subsidiaries trillions of dollars.
[01:22:58.686 --> 01:23:02.468]  And if you're super run down and don't have your vitamins and minerals, it can kill you.
[01:23:02.468 --> 01:23:05.210]  But there are lots of other pneumonias and stuff that are killing lots of people.
[01:23:05.210 --> 01:23:06.411]  You need vitamins and minerals.
[01:23:06.411 --> 01:23:07.432]  You need to be prepared.
[01:23:07.432 --> 01:23:08.993]  You need D3.
[01:23:08.993 --> 01:23:09.993]  You have to have it.
[01:23:09.993 --> 01:23:11.334]  You need C. You have to have it.
[01:23:11.334 --> 01:23:11.875]  You need zinc.
[01:23:11.875 --> 01:23:13.556]  You have to have it.
[01:23:13.556 --> 01:23:16.758]  13, 14, 15 vitamins you gotta have, a bunch of minerals you gotta have.
[01:23:16.758 --> 01:23:21.521]  A lot of scientists argue it's only 14, but a lot of scientists say it's more than 30.
[01:23:21.521 --> 01:23:23.182]  Point is, this is good for people.
[01:23:23.182 --> 01:23:24.523]  We got your calls coming up.
[01:23:24.523 --> 01:23:25.183]  But man, wow.
[01:23:28.174 --> 01:23:30.696]  In 27 million probability on a plane getting it.
[01:23:30.696 --> 01:23:31.436]  But does it matter?
[01:23:31.436 --> 01:23:33.237]  You're a hero when you wear the mask.
[01:23:33.237 --> 01:23:33.818]  You're a hero.
[01:23:33.818 --> 01:23:35.499]  And so, the airlines are shutting down.
[01:23:35.499 --> 01:23:36.740]  There's half as many flights.
[01:23:36.740 --> 01:23:37.801]  They're laying off the pilots.
[01:23:37.801 --> 01:23:39.041]  They go, it doesn't matter!
[01:23:39.041 --> 01:23:40.602]  I'm saving people!
[01:23:40.602 --> 01:23:42.664]  In the third world, millions are dying!
[01:23:42.664 --> 01:23:43.744]  But it's fun!
[01:23:43.744 --> 01:23:45.005]  And you're a hero!
[01:23:45.005 --> 01:23:46.086]  And it's good!
[01:23:46.086 --> 01:23:48.648]  And the Democrats admit it's all political theater to shut down America.
[01:23:49.208 --> 01:23:55.352]  Vitamin Mineral Fusion and Ultra 12 are now back in stock after being sold out for months.
[01:23:55.352 --> 01:24:05.379]  They're sold out because people know that high-quality B12 and a good mix of vitamins, minerals, especially zinc, boost your body's natural defenses and are critical to your immune system.
[01:24:05.379 --> 01:24:13.145]  Well, both products are back in stock at Infowarestore.com just two weeks after the election, and we're offering them both at 50% off.
[01:24:15.046 --> 01:24:18.487]  Free shipping and triple Patriot points in your next order.
[01:24:18.487 --> 01:24:21.948]  Also, if you sign up for auto shipping, an additional 10% off.
[01:24:21.948 --> 01:24:24.549]  That makes many of the things we're selling lost liters.
[01:24:24.549 --> 01:24:29.791]  Now we have had a big clearance sale going, so a lot of stuff sold out while the other stuff is close to selling out.
[01:24:29.791 --> 01:24:33.973]  But some of our best sellers are still there and some of them have actually come back into stock.
[01:24:33.973 --> 01:24:39.175]  And because of your support, we've had the money to reorder and get the other things that have actually sold out.
[01:24:39.175 --> 01:24:41.155]  So those should be back in stock as well soon.
[01:24:41.155 --> 01:24:43.276]  Thank you so much for keeping InfoWars on the air.
[01:24:43.737 --> 01:24:47.210]  Obviously, we're critical of the fight, and you've helped win the war against the Globals so far.
[01:24:49.136 --> 01:24:52.797]  A major life lesson just took place last night.
[01:24:52.797 --> 01:24:59.118]  The top story in the country was that Hunter Biden's laptop information had come out.
[01:24:59.118 --> 01:25:03.799]  Him with hookers and shooting porno movies and crackpipes.
[01:25:03.799 --> 01:25:13.500]  But the real news was how he had indeed been bought off by Burisma and had done so at the behest of his father, who was getting large parts of the money.
