[00:00:07.261 --> 00:00:09.222]  Yippee-I-Yay!
[00:45:09.318 --> 00:45:14.061]  And that's why we made one of our most popular formulas to date.
[00:45:14.061 --> 00:45:16.403]  Super Male Vitality!
[00:45:16.403 --> 00:45:25.269]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[00:45:25.269 --> 00:45:36.137]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[00:45:36.397 --> 00:45:37.098]  Yes.
[00:45:37.098 --> 00:45:42.001]  We're talking about ancient wisdom combined with modern technology.
[00:45:42.001 --> 00:45:48.926]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[00:45:48.926 --> 00:45:49.967]  So what are you waiting for?
[00:45:49.967 --> 00:45:51.848]  Go to the InfoWars store.
[00:45:51.848 --> 00:45:54.650]  Never been a better time than right now.
[00:45:54.650 --> 00:45:58.152]  Super Male Vitality at InfoWarsStore.com
[00:46:00.237 --> 00:46:02.139]  Hey, listen.
[00:46:02.139 --> 00:46:04.701]  Alex Jones and the Resistance are still on air.
[00:46:04.701 --> 00:46:08.104]  They're at Band Off Video and InfoWars.com.
[00:46:08.104 --> 00:46:10.506]  All you gotta do is go to InfoWars.com.
[00:46:10.506 --> 00:46:13.769]  Forward slash show and you'll find Alex Jones's broadcast live.
[00:46:13.769 --> 00:46:18.613]  You'll find Owen Schroer, The War Room, David Knight, and so much more special broadcast films.
[00:46:20.080 --> 00:46:26.606]  Emergency reports, it's all there, and the globalists have worked around the clock to take them off air, but something's happening.
[00:46:26.606 --> 00:46:38.797]  The public has been spreading the word that the forbidden truth lives at InfoWars.com forward slash show and band off video, and it's growing exponentially, and the attempts to censor are only backfiring.
[00:46:38.797 --> 00:46:41.560]  But we can supercharge this right now.
[00:46:41.560 --> 00:46:43.942]  If all of you listening realize, hey, you know how
[00:46:48.203 --> 00:46:50.644]  You're listening to the Alex Jones Show!
[00:47:34.280 --> 00:47:37.781]  Welcome back, I'm your host Alex Jones.
[00:47:37.781 --> 00:47:40.241]  Mike Adams is going to be joining us at 15 after next hour.
[00:47:40.241 --> 00:47:44.062]  I will get to the soft kill and 35,000 foot view at 6 after, I promise.
[00:47:44.062 --> 00:47:47.203]  In that segment, very important.
[00:47:47.203 --> 00:47:49.143]  I'm going to try to condense a lot together there.
[00:47:49.143 --> 00:47:54.745]  Give you my best breakdown as quickly as possible.
[00:47:54.745 --> 00:47:55.285]  There are some
[00:47:56.556 --> 00:47:59.399]  Good things coming out if you believe the global numbers.
[00:47:59.399 --> 00:48:01.320]  This is from the World Health Organization.
[00:48:01.320 --> 00:48:09.148]  As you can see there on screen of your TV viewer, for the first time we're seeing a drop in confirmed cases.
[00:48:09.148 --> 00:48:13.131]  And we're seeing a drop in recovered because there's less cases.
[00:48:13.131 --> 00:48:16.995]  And we're seeing a slight drop in deaths right there.
[00:48:18.334 --> 00:48:19.955]  So be sure and check that out.
[00:48:19.955 --> 00:48:21.696]  We have that linked up on InfoWars.com.
[00:48:21.696 --> 00:48:28.539]  The stock market, Dow Jones Industrial Average is up 500 points right now.
[00:48:28.539 --> 00:48:33.542]  And my point three, four weeks ago when the panic was setting in, the stock market was dropping thousands of points, the day was.
[00:48:33.542 --> 00:48:34.822]  The Democrats were celebrating it.
[00:48:34.822 --> 00:48:36.443]  They were saying it's all over.
[00:48:36.443 --> 00:48:41.886]  They had done internal put options scandalously connected to George Soros.
[00:48:43.130 --> 00:48:53.339]  On the market, and it turns out it's now all over the news that the very guy, Ackman and others I brought up, should get in a lot of trouble.
[00:48:53.339 --> 00:49:04.168]  He says it's asinine that he went on TV and said everything's gonna plunge, it's going to zero, it's all over, total depression, millions dead, I'm so scared.
[00:49:04.168 --> 00:49:09.473]  But didn't tell you he was shorting those very stocks he made two plus billion off of.
[00:49:11.886 --> 00:49:16.409]  Who did you hear about Bill Ackman first from that he was insider trading?
[00:49:16.409 --> 00:49:18.350]  Me.
[00:49:18.350 --> 00:49:20.152]  By the way, everybody else is scared of him.
[00:49:20.152 --> 00:49:20.892]  He's a gangster.
[00:49:20.892 --> 00:49:22.593]  He's part of the Harvard Mafia.
[00:49:22.593 --> 00:49:24.054]  He's a crook.
[00:49:24.054 --> 00:49:25.495]  He's crap.
[00:49:25.495 --> 00:49:29.298]  They call him an activist investor.
[00:49:29.298 --> 00:49:32.600]  He wants to stop the evil racist America.
[00:49:32.600 --> 00:49:34.101]  He's another George Soros turd.
[00:49:37.472 --> 00:49:44.242]  He made $2.6 billion by betting against markets after fear-mongering that, quote, hell is coming.
[00:49:44.242 --> 00:49:47.246]  And the whole media pushed that because that's what they want.
[00:49:48.831 --> 00:49:51.273]  They don't want you to know about zinc.
[00:49:51.273 --> 00:49:52.914]  They don't want you to know about Z-Pak.
[00:49:52.914 --> 00:49:55.215]  They don't want you to know about hydroxychloroquine.
[00:49:55.215 --> 00:49:55.976]  Well, guess what?
[00:49:55.976 --> 00:49:57.337]  Stick it up your globulus.
[00:49:57.337 --> 00:49:58.137]  You know what?
[00:49:58.137 --> 00:50:01.580]  Because now it's all over the news.
[00:50:01.580 --> 00:50:03.441]  And now they're having to approve all of it.
[00:50:03.441 --> 00:50:05.502]  Because the... You think I just get up here on air?
[00:50:05.502 --> 00:50:15.029]  It was in major studies and all over the European news that if they caught somebody who was infected early with that regimen, and they had New York doctors did it and helped everybody, and they're doctors!
[00:50:15.029 --> 00:50:16.950]  They're allowed to say what happened with their damn patients!
[00:50:18.598 --> 00:50:20.579]  And they banned me off of Google.
[00:50:20.579 --> 00:50:22.060]  It's not about me.
[00:50:22.060 --> 00:50:28.645]  It's about they didn't want you to know.
[00:50:28.645 --> 00:50:37.131]  And all those governors, those villains, threatening to arrest doctors if they prescribed zinc or hydroxychloroquine or Z-Pak.
[00:50:37.131 --> 00:50:39.712]  Oh, you can't give somebody Z-Pak.
[00:50:39.712 --> 00:50:41.073]  It's not approved for this.
[00:50:41.073 --> 00:50:44.876]  It's a new virus, even though they know bacteria carry the damn viruses.
[00:50:44.876 --> 00:50:47.718]  And in general, you give an antibiotic to stop a viral infection.
[00:50:48.749 --> 00:50:52.271]  That's like saying milk comes out of cow's udders.
[00:50:52.271 --> 00:50:54.813]  You're like, you're not allowed to say that!
[00:50:54.813 --> 00:50:56.334]  Jones did it again.
[00:50:56.334 --> 00:51:00.276]  He was up there, you know, giving people false hope.
[00:51:00.276 --> 00:51:07.501]  We don't allow... The tweaks of the Brazilian leader have been banned.
[00:51:07.501 --> 00:51:09.782]  That was the headline.
[00:51:09.782 --> 00:51:13.184]  Because he was saying hope, hydroxychloroquine.
[00:51:13.184 --> 00:51:14.005]  That's in the news today.
[00:51:14.892 --> 00:51:18.073]  Do you think Balasaro will have his tweets put back up?
[00:51:18.073 --> 00:51:19.333]  No.
[00:51:19.333 --> 00:51:31.817]  Even though the FDA approved COVID-19 treatment with hydroxychloroquine.
[00:51:31.817 --> 00:51:33.037]  With almost no side effects.
[00:51:33.037 --> 00:51:34.758]  It's got some sometimes.
[00:51:34.758 --> 00:51:35.198]  Anything does.
[00:51:36.960 --> 00:51:39.421]  I mean, doctors are saying don't take Advil on it.
[00:51:39.421 --> 00:51:41.461]  Can I say doctors say don't take Advil on it?
[00:51:41.461 --> 00:51:43.062]  Can I tell people what the doctor said?
[00:51:43.062 --> 00:51:49.083]  No, the left is so out of control and so cultic, they say the president two weeks ago shouldn't say hydroxychloroquine.
[00:51:49.083 --> 00:51:50.144]  Remember that?
[00:51:50.144 --> 00:51:51.104]  He's not a doctor.
[00:51:51.104 --> 00:51:51.704]  Shut up!
[00:51:51.704 --> 00:51:54.265]  He's just saying, and then Fauci goes, well, I would prescribe it.
[00:51:54.265 --> 00:51:57.646]  Well, you're a doctor and head up the NIH, but you shut your dirty mouth too!
[00:52:05.728 --> 00:52:07.608]  These people are unbelievable.
[00:52:07.608 --> 00:52:11.429]  And then Nancy Pelosi says, as a federal judge, block Trump.
[00:52:11.429 --> 00:52:15.150]  But Trump overrode it, blocking Chinese flying in during the outbreak.
[00:52:15.150 --> 00:52:21.391]  And then she turns around and says it's all his fault when she said, go out in public and don't listen to Trump.
[00:52:21.391 --> 00:52:24.892]  And then a month later, she's saying it's all Trump's fault.
[00:52:24.892 --> 00:52:27.072]  This is so insulting.
[00:52:27.072 --> 00:52:30.113]  But that's their constituents because they don't have memories.
[00:52:33.715 --> 00:52:37.299]  De Blasio said go on with your lives.
[00:52:37.299 --> 00:52:39.421]  Go see movies.
[00:52:39.421 --> 00:52:42.144]  Now he says Trump didn't respond right.
[00:52:42.144 --> 00:52:44.686]  These people are sick and evil.
[00:52:44.686 --> 00:52:45.827]  All right.
[00:52:45.827 --> 00:52:48.950]  Reid called in yesterday to the Sunday Show and I was at the end of the broadcast.
[00:52:48.950 --> 00:52:50.011]  I could only give him like a minute and a half.
[00:52:50.885 --> 00:52:52.968]  He goes by Hollywood's Is Handled.
[00:52:52.968 --> 00:52:55.192]  He was calling in from Maryland where he's a truck driver.
[00:52:55.192 --> 00:52:57.535]  And he was saying, hey, I have a plea to the president.
[00:52:57.535 --> 00:53:02.804]  If you want to talk about bailing somebody out, it's the truck drivers that keep this country moving, even more than the railroad.
[00:53:02.804 --> 00:53:05.628]  And they do it at a subsistence level, but they're great folks.
[00:53:06.469 --> 00:53:07.349]  How's it going, Alex?
[00:53:07.349 --> 00:53:07.649]  Alright, sir.
[00:53:36.775 --> 00:53:39.137]  Mr. President, Donald J. Trump.
[00:53:39.137 --> 00:53:41.959]  They call me Hollywood.
[00:53:41.959 --> 00:53:43.441]  6.2 trillion.
[00:53:43.441 --> 00:53:46.864]  And as always, they left out the truckers.
[00:53:46.864 --> 00:53:48.925]  And you should know better.
[00:53:48.925 --> 00:53:51.027]  We don't need a pat on the back.
[00:53:51.027 --> 00:53:53.189]  At least not yet.
[00:53:53.189 --> 00:53:59.054]  What we need is a way for commercial drivers to renew their state driver's licenses.
[00:53:59.054 --> 00:54:00.035]  The D.A.T.
[00:54:00.035 --> 00:54:05.119]  Load Board is reporting a 20% shortfall in drivers in the past few weeks
[00:54:06.036 --> 00:54:08.376]  We need more help out here.
[00:54:08.376 --> 00:54:12.617]  If this trend continues, we're all in trouble.
[00:54:12.617 --> 00:54:18.298]  That can only be accomplished if more drivers can be tested and allowed to join the ranks.
[00:54:18.298 --> 00:54:20.579]  You know how important this is.
[00:54:20.579 --> 00:54:22.679]  We are the backbone of this nation.
[00:54:22.679 --> 00:54:24.580]  Nothing moves without us.
[00:54:24.580 --> 00:54:28.921]  If this critical infrastructure fails, we're all dipped.
[00:54:28.921 --> 00:54:34.422]  No matter how much money you throw at it.
[00:54:34.422 --> 00:54:35.542]  Open the DMVs.
[00:54:36.385 --> 00:54:43.488]  Allow road testing for new drivers who are in driving school, or the rest of us are done within a couple of weeks.
[00:54:43.488 --> 00:54:50.691]  The hours of service suspension has some of us working 90 hours per week, and we just can't keep doing this.
[00:54:50.691 --> 00:54:53.532]  It's not humanly possible.
[00:54:53.532 --> 00:54:59.834]  The commercial drivers also need access to some of this money to add new equipment to our fleets.
[00:54:59.834 --> 00:55:01.815]  Not the big carriers, mind you.
[00:55:01.815 --> 00:55:03.936]  They have access to lines of credit through the banks.
[00:55:04.639 --> 00:55:12.083]  But the small mom-and-pop operations who run one or two trucks and have their own motor carrier authority.
[00:55:12.083 --> 00:55:21.288]  These are the people you want to support because they are most likely those who operate small farms and ranches and make up the majority of this infrastructure.
[00:55:21.288 --> 00:55:26.471]  All we need is small startup loans and lines of credit through the SBA.
[00:55:26.471 --> 00:55:31.353]  Just enough to make down payments on new equipment would do it.
[00:55:31.353 --> 00:55:31.874]  But as it is now,
[00:55:33.652 --> 00:55:46.457]  We don't qualify for SBA assistance because we don't meet minimum requirements of 1 million in annual receipts or 250 employees.
[00:55:46.457 --> 00:55:52.599]  And we would be buying American-made equipment for sure.
[00:55:52.599 --> 00:55:58.241]  Sir, you can contact the SBA and have them do this immediately.
[00:56:00.894 --> 00:56:05.377]  Applies for assistance with a motor carrier authority.
[00:56:05.377 --> 00:56:08.820]  They should be able to get it.
[00:56:08.820 --> 00:56:12.682]  And please, sir, the price of diesel is way too high.
[00:56:12.682 --> 00:56:15.264]  Can you please get it down for Pete's sake?
[00:56:15.264 --> 00:56:20.208]  It costs less to make than gasoline, yet costs 50% more at the pump.
[00:56:20.208 --> 00:56:29.214]  It's nothing but a Bush-Obama-era tax on the truckers that was meant to hurt our bottom line, and we can't keep getting screwed from both directions like this.
[00:56:29.881 --> 00:56:33.682]  We're barely making a living out here as it is.
[00:56:33.682 --> 00:56:39.964]  We don't need a handout, but a hand up would be appreciated at this point.
[00:56:39.964 --> 00:56:43.825]  You spoke about a level playing field for American industry.
[00:56:43.825 --> 00:56:46.226]  Well, we need that, too.
[00:56:46.226 --> 00:56:49.827]  And we need that right now more than ever.
[00:56:49.827 --> 00:56:52.908]  Don't let us down, Mr. President, and we won't let the nation down.
[00:56:52.908 --> 00:56:54.888]  I promise you that.
[00:56:54.888 --> 00:56:56.729]  Let us step up to meet this challenge.
[00:56:57.765 --> 00:57:01.090]  We love our country more than anyone out there.
[00:57:01.090 --> 00:57:04.536]  And we prove it every day.
[00:57:04.536 --> 00:57:11.507]  If we can't run due to exhaustion, or we end up walking out due to horrid conditions, this nation is screwed.
[00:57:13.673 --> 00:57:14.894]  Hold on right there.
[00:57:14.894 --> 00:57:17.355]  We're going to come back in five more minutes with you, my friend.
[00:57:17.355 --> 00:57:19.397]  And for those that don't know, I studied it at the time.
[00:57:19.397 --> 00:57:22.959]  What was it, like 12 years ago, 10 years ago?
[00:57:22.959 --> 00:57:26.861]  Obama with Soros funding with some of the corrupt railroads.
[00:57:26.861 --> 00:57:29.363]  The railroad workers are great, but the railroads have always been corrupt, as we know.
[00:57:30.063 --> 00:57:37.007]  They set up a big monopoly to try to cut truckers out and make diesel cost more even though it's way cheaper to make.
[00:57:37.007 --> 00:57:42.410]  And with gas prices dropping, diesel should be dropped as a strategic issue in the economy.
[00:57:42.410 --> 00:57:45.152]  This is a critical infrastructure and you're damn right.
[00:57:45.152 --> 00:57:47.873]  We'll be right back with a second hour.
[00:57:47.873 --> 00:57:48.954]  There is a paradox.
[00:57:50.174 --> 00:57:53.815]  Yes, this virus is deadly and does kill people.
[00:57:53.815 --> 00:58:00.797]  And so do many other countless viruses that have already existed, that do exist, and will exist.
[00:58:00.797 --> 00:58:11.819]  But when Trump says the cure is worse than disease, he's talking about the media hype creating hysteria and trying to create uncertainty.
[00:58:11.819 --> 00:58:13.860]  And it is that that I oppose.
[00:58:14.660 --> 00:58:33.239]  It is not the American way to cower and live in fear and to follow the edicts and precedents set by Communist China and hyper-authoritarian Singapore, where you're now being given six months in jail if you don't stand at least six feet away from someone.
[00:58:34.000 --> 00:58:44.653]  This is being used by social engineers and they admit that they are trying to transform our world forever into something unrecognizable from what it's been.
[00:58:44.653 --> 00:58:47.257]  We are not slaves and we must not act like it.
[00:58:49.884 --> 00:58:54.187]  Getting your protein has never been easier with InfoWars Life Protein Bars.
[00:58:54.187 --> 00:59:01.431]  Available in delicious chocolate peanut butter and vanilla coconut flavors, these protein bars are the perfect answer for a snack on the go.
[00:59:01.431 --> 00:59:07.995]  InfoWars Life Protein Bars are nutrient-packed, portable protein bars for an easy-to-eat and great-tasting meal.
[00:59:07.995 --> 00:59:10.377]  Pre- or post-workout, fuel alternative.
[00:59:10.797 --> 00:59:22.745]  At just 240 calories per bar and 15 grams of protein each, these bars will be your favorite at-hand snack for at home, in the car, at work, or on the go for getting nutrients easily.
[00:59:22.745 --> 00:59:30.751]  High in fiber and nutrients with wholesome ingredients for high-level performance with great taste such as whey protein and chocolate compounds.
[00:59:30.751 --> 00:59:34.754]  These protein bars can help you with the boost you need to reach your goals.
[00:59:35.094 --> 00:59:43.797]  Protein-packed and full of fiber and healthy ingredients, InfoWars Life Protein Bars are a can't-miss snack for any InfoWarrior serious about their energy.
[00:59:43.797 --> 00:59:51.359]  Try both flavors today at InfoWarsStore.com.
[00:59:51.359 --> 00:59:54.020]  You're listening to The Alex Jones Show.
[01:00:07.053 --> 01:00:09.596]  They will rise up!
[01:00:31.724 --> 01:00:35.567]  All right, the essential infrastructure, the truck drivers are out there all over the country.
[01:00:35.567 --> 01:00:37.248]  You heard them, they pay way more for their fuel.
[01:00:37.248 --> 01:00:40.090]  It's a lot cheaper to even produce.
[01:00:40.090 --> 01:00:42.472]  Hell, you can make it out of coal, even.
[01:00:42.472 --> 01:00:50.879]  And they're being gouged, all Obama era, because that's a big independent thing in America that the big cartels don't control, wanting to push business to the railroad.
[01:00:50.879 --> 01:00:59.865]  That's why they wanted to kill all those big pipelines out of Canada, not just the Keystone, is because, wait for it, Warren Buffett and the same old suspect,
[01:01:00.706 --> 01:01:09.691]  George Soros literally made a deal with Canada to transship it west to the far east and offload it to China.
[01:01:09.691 --> 01:01:11.032]  Look that up.
[01:01:11.032 --> 01:01:14.114]  So that's how you make your billions is you cut out your competition.
[01:01:14.114 --> 01:01:16.075]  You can't have that pipeline.
[01:01:16.075 --> 01:01:19.517]  We're going to ship that oil out of Canada to the Chinese.
[01:01:19.517 --> 01:01:21.639]  So America couldn't get it, refine it down in Houston.
[01:01:22.506 --> 01:01:24.167]  That's strategic warfare.
[01:01:24.167 --> 01:01:25.368]  Trump's brushing all that aside.
[01:01:25.368 --> 01:01:26.268]  They're so pissed.
[01:01:26.268 --> 01:01:27.289]  All right, you got three minutes.
[01:01:27.289 --> 01:01:29.150]  You wanted to finish up your statement.
[01:01:29.150 --> 01:01:30.530]  Now to the truckers themselves.
[01:01:30.530 --> 01:01:33.472]  And you've got your driving route you want to show folks.
[01:01:33.472 --> 01:01:35.453]  Go ahead.
[01:01:35.453 --> 01:01:36.394]  Yeah, thanks, Alex.
[01:01:36.394 --> 01:01:37.134]  Appreciate that.
[01:01:37.134 --> 01:01:39.495]  When I talked to you yesterday, I was in Norfolk.
[01:01:39.495 --> 01:01:40.056]  I'm in St.
[01:01:40.056 --> 01:01:41.897]  Louis this morning.
[01:01:41.897 --> 01:01:44.898]  I managed to get a couple hours of sleep, a little cat nap.
[01:01:44.898 --> 01:01:46.799]  And I'm going to be in Houston tomorrow.
[01:01:49.930 --> 01:01:55.832]  I want, real quick, just for you, Alex, the meek shall inherit the earth means those who can be taught.
[01:01:55.832 --> 01:01:56.833]  Okay?
[01:01:56.833 --> 01:01:59.474]  Don't, uh, don't hammer people too hard.
[01:01:59.474 --> 01:01:59.794]  All right?
[01:01:59.794 --> 01:02:03.155]  Because, uh, because we're going to come out of this.
[01:02:03.155 --> 01:02:07.197]  Now, I need to say something to all my brothers and sisters behind the wheel.
[01:02:07.197 --> 01:02:14.920]  If you can hear my voice, go to hashtag they call me Hollywood and read what I just said.
[01:02:14.920 --> 01:02:15.700]  That's where it's at.
[01:02:15.700 --> 01:02:17.701]  It's at hashtag they call me Hollywood.
[01:02:18.877 --> 01:02:31.287]  And read what I just said, and if you agree with everything there, I want y'all to do one thing every single day at exactly noon until President Trump hears us.
[01:02:31.287 --> 01:02:35.410]  Every day at exactly noon, y'all set your watches.
[01:02:35.410 --> 01:02:36.391]  I know y'all are punctual.
[01:02:36.391 --> 01:02:42.055]  I don't care where you are, if you're in your lines or you're going down the highway, it don't matter.
[01:02:42.055 --> 01:02:45.978]  I want you to reach up there to the top dead center of your cab.
[01:02:47.000 --> 01:02:52.123]  I want you to grab a great big handful of that chain, and I want you to let the big dogs do the talking.
[01:03:10.285 --> 01:03:14.428]  That's a good idea, and it's an example to everybody to speak out and take action.
[01:03:14.428 --> 01:03:15.188]  That's what we need to do.
[01:03:15.188 --> 01:03:22.133]  And it's a great idea, because I've studied what you're talking about with the infrastructure and trucking, and how they're really trying to squeeze you guys out.
[01:03:22.133 --> 01:03:24.354]  Yeah, there's something there for Steve Pchenik.
[01:03:24.354 --> 01:03:25.975]  My kid brother listens to you.
[01:03:25.975 --> 01:03:31.619]  He got me listening and paying attention to you about 10, 15 years ago.
[01:03:31.619 --> 01:03:38.804]  And he wrote a paper when he was in college, and it has to do with PTSD.
[01:03:40.178 --> 01:03:43.741]  Uh, and I think he's on to something here.
[01:03:43.741 --> 01:03:51.227]  And Alex, if you could read it and maybe share it with Dr. Steve Pchenik, maybe that could be a topic for y'all to discuss.
[01:03:51.227 --> 01:03:52.909]  It's very important.
[01:03:52.909 --> 01:03:53.609]  Sure, send it in.
[01:03:53.609 --> 01:03:56.171]  Send it to showtipsandinfowars.com or you can get the producers.
[01:03:56.171 --> 01:03:56.992]  Nari's got it.
[01:03:56.992 --> 01:03:58.153]  Nari's got it.
[01:03:58.153 --> 01:04:00.635]  And she can give it right over to you.
[01:04:00.635 --> 01:04:03.277]  And you can talk about that at another time.
[01:04:03.277 --> 01:04:04.458]  But I think that's important.
[01:04:04.458 --> 01:04:08.121]  And it would explain why people are just kind of losing it.
[01:04:08.121 --> 01:04:08.441]  Alright?
[01:04:09.802 --> 01:04:11.923]  They're acting funny, you know what I'm saying?
[01:04:11.923 --> 01:04:17.526]  What's happening is the world is being put into an artificial, unhealthy state by design.
[01:04:17.526 --> 01:04:20.968]  That's what globalism is, and it's a post-human system.
[01:04:20.968 --> 01:04:22.789]  God bless you, I appreciate your call, Reid.
[01:04:22.789 --> 01:04:26.592]  Okay, so that's a good message, and we're live right now.
[01:04:26.592 --> 01:04:30.614]  We'll take that, we'll post it at Bandot Video, and it'll be in the Alex Jones section.
[01:04:30.614 --> 01:04:35.777]  It'll be, Trucker's Emergency Message to President Trump.
[01:04:37.116 --> 01:04:37.817]  To save the U.S.
[01:04:37.817 --> 01:04:39.219]  economy or something like that.
[01:04:39.219 --> 01:04:42.884]  And then everybody can, the truckers just all share that and put it on your Facebook and Twitter.
[01:04:42.884 --> 01:04:47.089]  And if you just get that out, Trump acts on things like these.
[01:04:47.089 --> 01:04:48.791]  And it's definitely something that needs to be done.
[01:04:48.791 --> 01:04:49.773]  It's critical.
[01:04:49.773 --> 01:04:51.074]  One of the most critical things out there.
[01:04:51.074 --> 01:04:52.857]  All right, I'm going to break down the big picture.
[01:04:52.857 --> 01:04:54.539]  We're back in 60 seconds.
[01:04:54.539 --> 01:04:55.440]  The Mike Adams is coming up.
[01:04:59.662 --> 01:05:04.948]  Listen, there's a show from PBS called It's Okay To Be Smart.
[01:05:04.948 --> 01:05:13.377]  So everyone who's been smart and has been put down for it and persecuted, it's okay to finally be smart.
[01:05:13.377 --> 01:05:15.079]  That's right, there's not two sexes.
[01:05:15.679 --> 01:05:21.021]  And families are bad, and the right thing to do is to sterilize your son so he doesn't become an evil warmonger.
[01:05:21.021 --> 01:05:25.423]  I mean, a lot of feminists are saying we should have the government pass laws that male embryos are killed.
[01:05:25.423 --> 01:05:32.906]  But what's better and more reformed and more humanitarian is just to convince them, when they're five years old, to have their testicles chopped off.
[01:05:32.906 --> 01:05:34.227]  And again, global warming's real.
[01:05:34.227 --> 01:05:36.148]  We've got to pay Lord Rothschild all of our money.
[01:05:36.148 --> 01:05:37.328]  And the pandemic's all real.
[01:05:37.328 --> 01:05:39.009]  We've got to be locked up in our houses.
[01:05:39.009 --> 01:05:41.510]  We've got to use the language the universities say.
[01:05:41.890 --> 01:05:43.513]  We're not a culture or anything.
[01:05:43.513 --> 01:05:44.374]  Oh, no.
[01:05:44.374 --> 01:05:45.014]  No, we're not.
[01:05:45.014 --> 01:05:46.476]  We're good people.
[01:05:46.476 --> 01:05:50.862]  We're good people that went to these corporate systems that didn't brainwash us.
[01:05:50.862 --> 01:05:51.883]  No, no.
[01:05:51.883 --> 01:05:55.488]  They enlightened us how to censor and how to rule and how to control.
[01:05:58.405 --> 01:06:02.707]  We're good to go.
[01:06:18.997 --> 01:06:20.358]  Welcome back, ladies and gentlemen.
[01:06:20.358 --> 01:06:22.819]  We're now into our number two.
[01:06:22.819 --> 01:06:24.740]  I'm your host, Alex Jones.
[01:06:24.740 --> 01:06:32.643]  The dreaded, censored, lied-about, attacked websites are Infowars.com and Newswars.com.
[01:06:32.643 --> 01:06:35.645]  Big tech, things that controls the entire world, but not yet.
[01:06:35.645 --> 01:06:40.927]  The power of the people spreading the word can override them, can trump them.
[01:06:45.805 --> 01:06:51.489]  Now, let's go ahead and get into the big issue here.
[01:06:51.489 --> 01:07:04.099]  For nine weeks, we've been covering in-depth this entire situation, what was happening in Wuhan, and the nightmare zombie apocalypse images that we saw coming out of it.
[01:07:04.099 --> 01:07:09.063]  Then, major institutions in Europe and in India came out.
[01:07:09.063 --> 01:07:10.964]  We've covered all this ad nauseum.
[01:07:10.964 --> 01:07:13.146]  Scanned the virus and said it was clearly man-made.
[01:07:13.146 --> 01:07:14.347]  Ridiculously such.
[01:07:15.708 --> 01:07:28.418]  At least four different viruses all grafted together, even with the slice points where they had assembled them together, including the HIV delivery system.
[01:07:28.418 --> 01:07:36.744]  Not HIV, the viral RNA, but the delivery system into the protein receptor sites.
[01:07:36.744 --> 01:07:43.069]  And now that they have major Chinese universities and hospitals coming out and
[01:07:44.437 --> 01:07:53.839]  Reporting on the fact that it doesn't just hit the lungs and the heart, it's hitting the testicles.
[01:07:53.839 --> 01:08:06.563]  And that the majority of men that end up getting looked at by doctors who are sick enough to be in the hospital, will end up being infertile or sterile.
[01:08:06.563 --> 01:08:10.203]  And that's in the reports I read last night on air on the Sunday show.
[01:08:10.203 --> 01:08:11.824]  And that's in Newsweek, that's in
[01:08:13.407 --> 01:08:16.670]  The Times of London, I mean, that's in the news.
[01:08:16.670 --> 01:08:21.534]  And the headlines are, may cause sterility, and you read the actual reports, it's really bad.
[01:08:21.534 --> 01:08:33.924]  Bloody lesions throughout the structure of the testicles that creates the sperm, and then through the ducts that deliver the sperm, it's bad.
[01:08:33.924 --> 01:08:40.670]  Now, early on, scientists said it's reinfecting and it's mutating, and there's all these different strains.
[01:08:42.588 --> 01:08:44.550]  Well, what type of virus reinfects?
[01:08:44.550 --> 01:08:47.114]  Well, something that's four different viruses sandwiched together.
[01:08:47.114 --> 01:08:55.364]  So, yes, most people just get a bad cold from it, and then some get like pneumonia and then some die.
[01:08:55.364 --> 01:08:58.648]  But then it comes back and people have heart attacks and fall over dead.
[01:08:58.648 --> 01:09:01.151]  And I'm like, man, that does sound like something out of a science fiction movie.
[01:09:02.668 --> 01:09:05.289]  And then that's starting to happen.
[01:09:05.289 --> 01:09:17.754]  So it looks like it's way lower death rate than the UN and the China who were lockstep at first said, and they wanted to cover it up there at first, then export it so that we weren't scared.
[01:09:17.754 --> 01:09:24.016]  Get it over here and use it as a weapon against our free society, having the globalist deep state media then gang up on Trump and bring down our economy.
[01:09:24.016 --> 01:09:24.977]  That was the play.
[01:09:24.977 --> 01:09:27.558]  We called it eight weeks ago, nine weeks ago, dead on.
[01:09:28.851 --> 01:09:31.873]  You all heard it, the articles, the videos, they're all there.
[01:09:31.873 --> 01:09:35.135]  So we know how the globalists operate.
[01:09:35.135 --> 01:09:40.218]  The precursor virus, it was a chimera as well, it didn't have the HIV delivery system welded onto it.
[01:09:40.218 --> 01:09:52.487]  It was delivered in 2015 by a Level 4 bioweapons lab in North Carolina, and it was a big national scandal, to the Chi-Coms.
[01:09:52.487 --> 01:09:57.490]  And I said, I believe it was done on purpose, to shut down the Taiwan protesting, if Xi Jinping had a way to reset
[01:09:58.891 --> 01:10:02.453]  And clamp down, and then they can use it for a global surveillance system.
[01:10:02.453 --> 01:10:03.854]  They can use it to restrict cash.
[01:10:03.854 --> 01:10:08.117]  They can use it for the whole forced inoculation agenda.
[01:10:08.117 --> 01:10:19.463]  It fits into their whole agenda, and it turns out there's a Rockefeller Foundation report called Lockstep from 10 years ago, 2010, saying we'll use it for authoritarianism.
[01:10:19.463 --> 01:10:22.585]  We'll use it for a worldwide takeover.
