[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[00:45:16.743 --> 00:45:19.905]  When a woman gives her husband antifreeze, there's an hour special about it.
[00:45:19.945 --> 00:45:25.869]  But when they're premeditatedly, they've got the memos, they got the documents, they got the planning, they got it all lined out.
[00:45:27.233 --> 00:45:36.955]  Like Bayer Pharmaceutical 15 years ago, knowingly shipped HIV blood all over the world, and their top executives were in emails, going, ah, screw these!
[00:45:37.715 --> 00:45:41.076]  It came out they were killing everybody, they go, ah, screw the hemophiliacs!
[00:45:41.436 --> 00:45:43.177]  There's too many people on the planet anyway!
[00:45:44.157 --> 00:45:47.898]  Actually said, just screw them, we need to get rid of them!
[00:45:51.959 --> 00:45:53.459]  Imagine sending emails
[00:45:54.861 --> 00:46:01.227]  From one CEO in France, the CEO in Australia, saying, let's just kill everybody.
[00:46:02.268 --> 00:46:04.730]  But see, when you're one of these sick freaks, they get off on that.
[00:46:05.290 --> 00:46:08.073]  Oh, but if you talk about killing them, oh, the FBI comes.
[00:46:08.493 --> 00:46:10.955]  Oh, you don't talk about baby Hitler that way.
[00:46:11.195 --> 00:46:12.677]  Baby Hitler's too important.
[00:46:12.957 --> 00:46:14.098]  Fauci's too important.
[00:46:14.238 --> 00:46:14.638]  All of them.
[00:46:14.859 --> 00:46:15.799]  There are gods.
[00:46:15.859 --> 00:46:16.780]  There are rulers.
[00:46:17.401 --> 00:46:19.783]  And hell, they've shown us as cult leaders they are, aren't they?
[00:46:22.776 --> 00:46:37.381]  Because they get to kill babies, they get to keep babies alive, they get to kill old people, they get to put COVID patients in with everybody to kill them, and then... Then... The family can't come see you.
[00:46:38.802 --> 00:46:39.902]  As you're tortured to death.
[00:46:39.922 --> 00:46:50.506]  Because reportedly people were healthy, but then they're like battling... Then people are strapping them down, just... Shut up and give us some money, Lebowski!
[00:46:54.164 --> 00:46:56.946]  52,000 luscious cashies.
[00:46:56.966 --> 00:47:03.310]  52,000 luscious cashies.
[00:47:04.531 --> 00:47:09.754]  Oh, but... Why didn't Republican states do this?
[00:47:10.295 --> 00:47:11.896]  And I'm not... Republicans have got their problems.
[00:47:13.103 --> 00:47:16.225]  Because the Republicans aren't that psychotic or satanic.
[00:47:16.265 --> 00:47:17.306]  They don't operate like that.
[00:47:17.806 --> 00:47:21.448]  The average blue blood Republican is like going to church and playing golf with their kids in the Marines.
[00:47:21.728 --> 00:47:28.312]  They're real naive, but man, they're not coming up with schemes like this because Lex Luthor couldn't come up with this.
[00:47:28.973 --> 00:47:30.554]  Hitler didn't come up with stuff like this.
[00:47:35.097 --> 00:47:35.717]  Actually, they did.
[00:47:35.757 --> 00:47:41.621]  They'd kill all the Down Syndrome kids in Germany starting in 1933 and they'd say, they'd come and pick your kid up and go, oh, we're taking him to get a medical check.
[00:47:43.098 --> 00:47:45.182]  They didn't just kill babies, they killed like 10-year-old kids.
[00:47:45.202 --> 00:47:49.852]  They go, I'm sorry, Hans got pneumonia.
[00:47:50.072 --> 00:47:51.254]  I forgot that's actually in a documentary.
[00:47:51.274 --> 00:47:54.220]  I think it's called The Architecture of Doom.
[00:47:54.240 --> 00:47:55.142]  I forget the name of it.
[00:47:59.096 --> 00:48:08.509]  And everybody knows Hitler used medical tyranny, but that they would actually say that, or like, oh, your daughter's appendix burst while they were in custody.
[00:48:09.130 --> 00:48:12.435]  We were reviewing whether they would be good for the Reich or not, but now they're dead.
[00:48:13.096 --> 00:48:14.698]  And now they have Dutch TV.
[00:48:16.348 --> 00:48:22.512]  With high-functioning down syndrome people going on TV with an audience laughing and going, you know, you cost six times more than the average person.
[00:48:22.752 --> 00:48:23.832]  He starts crying and goes, I'm sorry.
[00:48:23.892 --> 00:48:26.414]  And the audience all laughs at him because they're liberals.
[00:48:26.654 --> 00:48:28.075]  Oh, they're so liberal.
[00:48:28.255 --> 00:48:29.536]  They're going to kill everybody.
[00:48:29.636 --> 00:48:31.057]  Oh, they're so good.
[00:48:31.077 --> 00:48:32.618]  Oh, they're so sweet.
[00:48:33.718 --> 00:48:34.459]  We just joined us.
[00:48:34.519 --> 00:48:41.063]  There is a devastatingly powerful interview, part nine, with an accredited Army veteran,
[00:48:43.171 --> 00:48:51.377]  Decorated woman, Erin Marie Olszewski, and she shot video of the people they were killing.
[00:48:52.978 --> 00:48:56.820]  Healthy people, hospital in order, it's all by computers now.
[00:48:57.140 --> 00:48:58.982]  That's what this technocracy is.
[00:49:00.723 --> 00:49:04.545]  And he would say that they're not positive, three different tests, doesn't matter.
[00:49:05.206 --> 00:49:07.688]  Computer says, we're going to say positive.
[00:49:08.598 --> 00:49:08.939]  Tell them.
[00:49:09.319 --> 00:49:10.581]  And then the guy's like, totally fine.
[00:49:10.621 --> 00:49:11.081]  What's going on?
[00:49:11.141 --> 00:49:12.043]  Oh, we're going to intubate you.
[00:49:12.083 --> 00:49:12.323]  Really?
[00:49:12.704 --> 00:49:14.045]  Yeah, let me hold your hand, sweetheart.
[00:49:14.406 --> 00:49:15.327]  Your ass is dead.
[00:49:15.347 --> 00:49:22.917]  I mean, this isn't some movie where there's a crazy hospital on the hill with nuts running it.
[00:49:24.139 --> 00:49:26.162]  This is the bioethics boards.
[00:49:28.578 --> 00:49:34.380]  And if you don't know about the cult of power that's in hospitals, and that's in facilities, you don't know how it really works.
[00:49:34.400 --> 00:49:39.122]  Remember Steve Pchenik many years ago on the show said, doctors decide who lives and who dies.
[00:49:44.304 --> 00:49:51.407]  And that's why the assassin group even above army officers,
[00:49:53.652 --> 00:49:58.754]  That's a sign to army officers generally, real high-end assassinations and marine officers.
[00:50:00.395 --> 00:50:03.777]  Is the doctor corps, the medical corps, that's who comes to kill you.
[00:50:04.697 --> 00:50:06.798]  Is a medical doctor or a psychiatrist.
[00:50:07.198 --> 00:50:08.519]  Pacino used to overthrow governments.
[00:50:08.779 --> 00:50:11.641]  He, of course, personally, you know, obviously killed people.
[00:50:12.381 --> 00:50:16.403]  But the whole point is that's the professionalism of the whole thing.
[00:50:18.407 --> 00:50:19.848]  Doctors know about anatomy.
[00:50:19.908 --> 00:50:20.889]  Doctors know about the body.
[00:50:21.149 --> 00:50:23.551]  Doctors are controlled in the procedures they carry out.
[00:50:24.551 --> 00:50:31.756]  And in the United States and in England, and in Germany, it is a tradition that doctors are the assassins.
[00:50:34.278 --> 00:50:42.544]  And so you need to understand now that they have externalized the method and are now turning the medical corps into a group of assassins.
[00:50:45.686 --> 00:50:46.927]  What do you think all this is?
[00:50:49.224 --> 00:50:54.989]  When Bill Gates says, yeah, 700,000 people are going to get sick or die from my vaccine, I need to be indemnified.
[00:50:55.289 --> 00:50:56.510]  It's going to be way more than that.
[00:50:56.830 --> 00:51:06.759]  But he's now telling you, we're going to kill some people because their own doctors, the UN said in December, are getting wobbly and no vaccines are causing more harm than good.
[00:51:09.738 --> 00:51:14.682]  So the lie of, oh, vaccines never hurt anybody, safe and effective has collapsed.
[00:51:15.122 --> 00:51:17.203]  So now they're like, oh yeah, it's going to hurt you.
[00:51:17.624 --> 00:51:19.465]  And if you ever want to leave your house again, you're going to take it.
[00:51:19.485 --> 00:51:30.733]  You know, this is so powerful.
[00:51:30.873 --> 00:51:31.654]  I'm just going to shut up.
[00:51:32.910 --> 00:51:34.791]  Play clips one through eight, back to back.
[00:51:34.831 --> 00:51:35.471]  Just start playing them.
[00:51:35.491 --> 00:51:39.592]  This is from the documentary up on InfoWars.com, Perspectives on the Pandemic.
[00:51:40.073 --> 00:51:45.815]  The undercover epicenter nurse on News Wars and, man, not video, it's New York.
[00:51:45.875 --> 00:51:47.896]  Undercover nurse confirms COVID-19 criminal hoax.
[00:51:48.416 --> 00:51:53.458]  This is them following orders, compartmentalized on a computer screen, and killing people.
[00:51:53.638 --> 00:51:54.018]  Here it is.
[00:51:54.038 --> 00:51:58.059]  I am pulling up, like, their laboratory results.
[00:51:58.259 --> 00:52:02.561]  So if you look here, you'll see COVID-19 bio-reference lab.
[00:52:04.958 --> 00:52:06.579]  Here are the test results.
[00:52:06.679 --> 00:52:08.740]  As you can see 5-1-2020 at 17-16 not detected.
[00:52:08.840 --> 00:52:12.403]  We test for a second time 5-4-2020 at 17-59 not detected.
[00:52:12.423 --> 00:52:13.523]  So both of those are negative.
[00:52:13.543 --> 00:52:14.184]  Scroll up to the top.
[00:52:14.644 --> 00:52:15.324]  This is my patient.
[00:52:15.344 --> 00:52:17.686]  They are on a vent and they are being called
[00:52:31.553 --> 00:52:33.454]  COVID-19 confirmed.
[00:52:33.795 --> 00:52:36.276]  Droplet in contact and eye protection.
[00:52:36.296 --> 00:52:40.459]  So this person is droplet.
[00:52:40.539 --> 00:52:41.259]  It's reality.
[00:52:41.740 --> 00:52:45.902]  I compare this hospital to a third world country.
[00:52:46.143 --> 00:52:49.245]  I've been in a third world country hospital in Iraq.
[00:52:49.865 --> 00:52:52.247]  The Iraq hospital is better than this one.
[00:52:52.507 --> 00:52:53.307]  And that says a lot.
[00:52:53.407 --> 00:52:54.048]  I've been there.
[00:52:54.528 --> 00:52:57.290]  I've had, I've been in both hospitals.
[00:52:57.310 --> 00:52:59.151]  There are good nurses that work there too.
[00:52:59.211 --> 00:53:00.252]  Like I have,
[00:53:01.505 --> 00:53:05.390]  Made good friends with a lot of the nurses that do work there.
[00:53:06.071 --> 00:53:09.475]  There's good people, but they're outnumbered.
[00:53:10.316 --> 00:53:10.996]  So what happens?
[00:53:11.217 --> 00:53:16.523]  People come in, like this 37-year-old, and what was he complaining of or what was going on?
[00:53:16.563 --> 00:53:17.564]  Respiratory distress.
[00:53:18.285 --> 00:53:19.407]  He didn't have COVID either.
[00:53:21.402 --> 00:53:22.383]  He did not have COVID.
[00:53:22.603 --> 00:53:23.444]  And how do we know that?
[00:53:23.744 --> 00:53:24.945]  I took care of him.
[00:53:24.965 --> 00:53:30.048]  I have the same type of results from his chart as I do my other patient.
[00:53:30.068 --> 00:53:35.631]  It was like the day before intubation, he was fine on the rebreather.
[00:53:40.174 --> 00:53:41.875]  And now he's 37 years old and dead.
[00:53:43.356 --> 00:53:44.256]  That's what I'm seeing.
[00:53:44.676 --> 00:53:46.217]  Like all these negative tests.
[00:53:47.538 --> 00:53:50.280]  And they're putting them on these fence.
[00:53:52.405 --> 00:53:54.086]  Hopeful that they'll get it.
[00:53:54.106 --> 00:53:55.647]  They're being put on this COVID floor.
[00:53:55.667 --> 00:53:56.327]  It's murder.
[00:53:57.088 --> 00:54:04.592]  It's straight up is... It is setting these people up for failure based on... Because they're all scared.
[00:54:04.652 --> 00:54:05.612]  Everybody's scared.
[00:54:06.272 --> 00:54:08.314]  And everybody's scared to stick up for themselves.
[00:54:08.434 --> 00:54:09.914]  And I've called a lot of doctors.
[00:54:09.994 --> 00:54:11.055]  It's unethical.
[00:54:11.115 --> 00:54:12.876]  Hit pause right there and back that up 10 seconds.
[00:54:13.316 --> 00:54:14.417]  Everybody's scared.
[00:54:15.837 --> 00:54:18.579]  See, everybody thinks you go along, you get ahead.
[00:54:19.439 --> 00:54:20.200]  Not in the endgame.
[00:54:21.237 --> 00:54:27.601]  And I know so many men that if my dog crapped in their yard, they'd want to get in a fight with me.
[00:54:29.602 --> 00:54:32.183]  Or if I bumped into them in a store, they'd blow up and act tough.
[00:54:32.223 --> 00:54:37.106]  But when the system runs all over them, they don't do a damn thing because they think you get ahead acting like that.
[00:54:37.606 --> 00:54:39.487]  No, you don't get ahead acting like that.
[00:54:39.507 --> 00:54:42.009]  This country was built on people not being scared.
[00:54:44.210 --> 00:54:49.253]  I'm not scared of Letitia James or Governor Cuomo or those other cold-blooded murderers!
[00:54:50.916 --> 00:54:51.657]  Like Newsome?
[00:54:54.559 --> 00:54:55.841]  I'm scared to death of God, though.
[00:54:57.362 --> 00:55:01.546]  That I'm not fighting them hard enough, and I'm not saying what I really think about them, so I am saying what I think about them.
[00:55:02.687 --> 00:55:06.851]  Just get on the right side, ladies and gentlemen, and stop being naive.
[00:55:06.871 --> 00:55:07.652]  You hear this woman?
[00:55:08.092 --> 00:55:14.018]  She's in there, she's watching them all intimidated, while they've got a factory going, killing people for money.
[00:55:18.723 --> 00:55:20.184]  And she's saying it's wrong.
[00:55:20.204 --> 00:55:21.284]  Because it is.
[00:55:23.125 --> 00:55:24.606]  Stop being scared.
[00:55:25.306 --> 00:55:26.607]  Stop rolling over.
[00:55:26.987 --> 00:55:28.268]  Stop backing down.
[00:55:28.288 --> 00:55:29.509]  Let's go back to her.
[00:55:30.689 --> 00:55:32.110]  Because they're all scared.
[00:55:32.170 --> 00:55:33.131]  Everybody's scared.
[00:55:33.811 --> 00:55:35.832]  And everybody's scared to stick up for themselves.
[00:55:35.952 --> 00:55:39.454]  And I've called a lot of doctors unethical to their face.
[00:55:40.294 --> 00:55:41.655]  And they deserve it.
[00:55:42.796 --> 00:55:45.477]  And we're, this is in the United States.
[00:55:45.757 --> 00:55:47.058]  And this hospital is treating
[00:55:49.130 --> 00:55:55.334]  Low-income, mostly, people and... Pause again.
[00:55:56.055 --> 00:55:59.397]  Why do they like to target homeless people and black people that are poor?
[00:55:59.898 --> 00:56:01.339]  Because they don't have an infrastructure.
[00:56:02.259 --> 00:56:04.721]  Oh, the real black... Look, there's a real black genocide.
[00:56:04.841 --> 00:56:05.562]  It's of their babies.
[00:56:09.004 --> 00:56:12.026]  That's why Planned Parenthood's the main funder of Black Lives Matter.
[00:56:12.206 --> 00:56:12.747]  Did you know that?
[00:56:12.767 --> 00:56:16.409]  Because they want to be close... Oh, your lives matter.
[00:56:16.730 --> 00:56:17.390]  Yeah, they matter.
[00:56:17.430 --> 00:56:18.191]  We want to kill you.
[00:56:19.332 --> 00:56:26.075]  And if we can't, we want to warp your mind and turn you against a country that'll give you the best shot of any place in the world where Africans are fighting to get in here.
[00:56:26.095 --> 00:56:35.099]  We're going to give you a chip on your shoulder so you're dysfunctional and can never work around white people because you're so screwed up that you think they're out to get you.
[00:56:42.502 --> 00:56:43.242]  Let's play a little bit more.
[00:56:43.262 --> 00:56:43.643]  Here it is.
[00:56:44.543 --> 00:56:48.725]  And we're, this is in the United States and this hospital is treating
[00:56:57.141 --> 00:57:01.145]  Because they don't have family that are going to sue and find out what you did to them.
[00:57:04.567 --> 00:57:06.489]  You imagine being there while they're killing these people.
[00:57:07.950 --> 00:57:09.071]  These nurses aren't stupid.
[00:57:09.091 --> 00:57:10.432]  They know this isn't how you do it.
[00:57:14.015 --> 00:57:16.978]  And again, you track back where they got their orders from the UN.
[00:57:18.809 --> 00:57:25.636]  And see, these hospitals, these big corporations know, when the UN says it, and when Bill Gates says it, that means you're going to be protected.
[00:57:25.656 --> 00:57:31.401]  That's like the mafia, Don, giving permission to sell drugs to kids, or, you know, kill people, whatever.
[00:57:31.461 --> 00:57:38.868]  You're getting authorization to milk the system, and you're told, here's how the scam works, you kill people.
[00:57:41.230 --> 00:57:43.352]  And the bioethics board getting a piece of the hospital,
[00:57:44.264 --> 00:57:45.304]  They made the decision.
[00:57:45.384 --> 00:57:48.625]  They're, they're, they're the Capo's below the Don.
[00:57:49.585 --> 00:57:52.926]  And they sent out the soldiers to do the killing and they don't even know what they're doing.
[00:57:53.986 --> 00:57:54.466]  We'll be right back.
[00:57:54.486 --> 00:57:54.887]  Stay with us.
[00:57:57.327 --> 00:57:58.848]  All across Europe.
[00:58:00.708 --> 00:58:03.229]  All the way to the Pacific Ocean and New Zealand and Australia.
[00:58:04.709 --> 00:58:06.149]  Back to the United States and Canada.
[00:58:07.110 --> 00:58:12.751]  The United Nations is in control of the treatment of
[00:58:14.042 --> 00:58:16.383]  People in nursing homes and hospitals for COVID-19.
[00:58:16.403 --> 00:58:22.546]  The hospitals are almost totally empty and no one's allowed in because they're doing very special work in there.
[00:58:23.606 --> 00:58:30.729]  Bringing COVID patients in and putting them with critically ill people who have liver failure or cancer and are above 85.
[00:58:33.410 --> 00:58:36.511]  To murder them in a giant depopulation test.
[00:58:39.232 --> 00:58:40.973]  And each hospital given a $52,000 plus for the murder.
[00:58:44.480 --> 00:58:47.042]  But now another medical nurse, another R.E.N.
[00:58:47.442 --> 00:58:53.066]  Army veteran, decorated, Purple Heart, has come out.
[00:58:53.206 --> 00:58:55.568]  Erin Marie Olczynski.
[00:58:56.608 --> 00:58:57.789]  She's on Tucker Carlson tonight.
[00:59:00.471 --> 00:59:01.792]  Little birdie told me that.
[00:59:02.813 --> 00:59:04.414]  Set for tonight, not the next night.
[00:59:08.291 --> 00:59:15.517]  And the full interview with her, with all the documentation, chilling stuff of people being killed, you name it, is at Bandot Video right now.
[00:59:16.318 --> 00:59:18.179]  But let's just finish up with a few of these clips.
[00:59:19.741 --> 00:59:24.264]  Low-income, mostly, people.
[00:59:24.785 --> 00:59:29.949]  And it almost makes me feel like they think these people are disposable.
[00:59:31.410 --> 00:59:31.931]  And they're not.
[00:59:33.352 --> 00:59:33.912]  They're people.
[00:59:33.932 --> 00:59:35.314]  You know, everybody
[00:59:37.199 --> 00:59:38.360]  People are not disposable.
[00:59:38.940 --> 00:59:40.302]  You know, especially... Well, this is too powerful.
[00:59:40.322 --> 00:59:41.222]  Start this over again.
[00:59:41.242 --> 00:59:44.065]  I mean, people are not disposable.
[00:59:44.765 --> 00:59:49.369]  But it's always the left telling us babies are disposable, little kids are disposable.
[00:59:49.989 --> 00:59:53.752]  The godfather of PETA, Dr. Peter Singer, says kill kids whenever you want.
[00:59:54.213 --> 00:59:57.555]  If a kid doesn't have high test scores, the government should be able to kill you.
[00:59:58.076 --> 01:00:04.981]  That's what they really say and do in their academic books, while they prance around telling us how we're bad.
[01:00:05.922 --> 01:00:16.227]  And we're racist when I can tell you the average liberal academic is the most flaming, racist, anti-human garbage you could ever be around.
[01:00:18.308 --> 01:00:21.290]  It's a religion to the left to kill brown people.
[01:00:22.102 --> 01:00:24.124]  I don't say that to kiss your ass because you're brown.
[01:00:24.184 --> 01:00:26.286]  I'm telling you, I've been to the abortion places.
[01:00:26.326 --> 01:00:33.312]  You've seen the videos, where you have some weird black or brown doctor come out and go, hey, who wants these ugly black babies?
[01:00:33.352 --> 01:00:34.272]  We're going to get rid of them.
[01:00:34.393 --> 01:00:36.955]  I mean, this is a damn cult, man!
[01:00:43.032 --> 01:00:48.275]  Meanwhile they turn the quote minorities with the majority into a bunch of brainwashed racists.
[01:00:48.295 --> 01:00:49.115]  Screw you too!
[01:00:49.996 --> 01:00:55.238]  I'm here trying to save your ass because I morally am not going to sign on to killing everybody.
[01:00:55.358 --> 01:01:05.043]  It's not because I'm some white knight virtue signaling person up here that's trying to stop all this because I'm such a white savior as the left says.
[01:01:05.343 --> 01:01:06.224]  BS man!
[01:01:06.844 --> 01:01:08.265]  I want to get saved by God!
[01:01:09.420 --> 01:01:14.041]  And if I sign on to killing everybody and playing God, I'm not getting beamed out of this thing.
[01:01:16.241 --> 01:01:18.422]  So I'm selfishly not signing on to evil.
[01:01:18.562 --> 01:01:19.102]  I'll admit it.
[01:01:23.243 --> 01:01:24.483]  I'm not doing this for you.
[01:01:24.563 --> 01:01:25.463]  I'm doing this for me.
[01:01:26.944 --> 01:01:30.965]  I'm not signed on to killing all those old people or those black babies.
[01:01:31.245 --> 01:01:33.145]  Fuck you, motherfucking New World Order.
[01:01:33.385 --> 01:01:35.526]  I will get your ass to lay that.
[01:01:36.086 --> 01:01:37.026]  It pisses me off.
[01:01:38.766 --> 01:01:42.067]  You sign on to playing God, you get burned!
[01:01:43.247 --> 01:01:46.389]  And all you dumbasses that serve the New World Order are idiots!
[01:01:47.989 --> 01:01:49.209]  Playing God all day!
[01:01:50.150 --> 01:01:51.730]  Deciding who lives and who dies!
[01:01:54.531 --> 01:01:58.533]  And then I find out they're all screwing little kids and devil-worshipping.
[01:01:58.553 --> 01:01:59.273]  Of course they are!
[01:02:00.345 --> 01:02:08.708]  Oh, you're the big elites, Oprah Winfrey and Ted Turner and Bill Clinton and Epstein, all in that seven-story pervert building in New York?
[01:02:09.148 --> 01:02:10.369]  What a bunch of freaks!
[01:02:10.889 --> 01:02:15.871]  And the fact that those pedophiles, and I'm calling Oprah Winfrey one, oh, she burns in hell!
[01:02:16.291 --> 01:02:18.252]  Every damn one of you is a piece of crap!
[01:02:18.812 --> 01:02:27.158]  And you're gonna be judged, so you just continue to enjoy hurting babies, and hurting old people, and hurting homeless people, and turning us all into a bunch of idiots.
[01:02:27.558 --> 01:02:31.181]  Because you will be destroyed!
[01:02:33.022 --> 01:02:34.183]  Finish up the clips, go ahead.
[01:02:35.524 --> 01:02:45.772]  Low-income, mostly, people, and it almost makes me feel like they think these people are disposable.
[01:02:47.213 --> 01:02:47.633]  And they're not.
[01:02:48.143 --> 01:02:49.684]  They're, they're, they're people.
[01:02:50.245 --> 01:02:54.128]  You know, everybody, people are not disposable.
[01:02:54.649 --> 01:03:13.645]  You know, especially, especially these, the ones that are struggling day in and day out, the hard workers, you know, like trying to reach that American dream and they're not given a chance because they're brought to this place where nobody cares.
[01:03:15.327 --> 01:03:21.289]  And is there an understood financial incentive to diagnose COVID?
[01:03:21.589 --> 01:03:22.229]  Yeah, of course.
[01:03:22.849 --> 01:03:25.850]  So, in the hospital that I'm in right now, it's all COVID.
[01:03:25.870 --> 01:03:27.330]  By the way, hit pause again.
[01:03:27.450 --> 01:03:30.091]  You see, she's a good woman.
[01:03:30.791 --> 01:03:31.771]  A patriot, a veteran.
[01:03:32.491 --> 01:03:35.492]  She's projecting her goodness on this, like, they don't understand.
[01:03:35.532 --> 01:03:36.092]  They're bad.
[01:03:36.192 --> 01:03:36.992]  Why are they doing this?
[01:03:37.032 --> 01:03:37.673]  It makes no sense.
[01:03:37.713 --> 01:03:39.173]  They're throwing them out like they're worthless.
[01:03:39.553 --> 01:03:40.493]  They need to stop killing them.
[01:03:40.893 --> 01:03:42.914]  It's on purpose, and she knows that.
[01:03:44.158 --> 01:03:47.381]  But again, we're asking a good person, why are they doing it?
[01:03:48.461 --> 01:03:49.762]  She hasn't studied these people.
[01:03:49.802 --> 01:03:50.463]  She doesn't know.
[01:03:51.884 --> 01:03:52.585]  She'll learn now.
[01:03:53.906 --> 01:03:57.128]  She just is a good moral person, so she knows wrong when she sees it.
[01:03:57.168 --> 01:03:59.270]  But see, that's how they get it over on us.
[01:03:59.650 --> 01:04:01.572]  Because we always debate, why are they doing this?
[01:04:01.672 --> 01:04:03.153]  Because they're evil!
[01:04:04.674 --> 01:04:07.736]  The money's a side thing to get people to go along with it.
[01:04:08.037 --> 01:04:10.558]  They want the power to kill people!
[01:04:11.679 --> 01:04:12.320]  They're a cult!
[01:04:16.991 --> 01:04:18.413]  Who want to hurt innocent people.
[01:04:20.277 --> 01:04:21.959]  What they want is the energy of children.
[01:04:23.402 --> 01:04:24.504]  They're psychic vampires.
[01:04:25.686 --> 01:04:27.428]  They don't just rape kids, folks.
[01:04:27.468 --> 01:04:28.029]  They kill them.
[01:04:30.006 --> 01:04:32.026]  Everybody just needs to grow up and realize that.
[01:04:32.146 --> 01:04:35.747]  And I know it's not fun to admit it, but let me tell you something.
[01:04:35.987 --> 01:04:40.348]  Those kids are crying out to God every minute for salvation and to be saved.
[01:04:40.668 --> 01:04:44.229]  And God acts through us and is telling us to save the children.
[01:04:44.489 --> 01:04:48.389]  And if we don't do it, we deserve what happens to us.
[01:04:48.569 --> 01:04:49.910]  So I do not fear Bill Gates.
[01:04:50.150 --> 01:04:50.870]  I fear God.
[01:04:51.110 --> 01:04:54.730]  And I declare war on Bill Gates and his entire satanic army!
[01:04:55.311 --> 01:04:56.171]  In the name of Jesus!
[01:04:56.651 --> 01:04:57.851]  Let's go out to break with the rest of this.
[01:04:59.409 --> 01:05:02.270]  You know, I guess the word traveled after this.
[01:05:02.750 --> 01:05:14.373]  You mentioned earlier that this is a common occurrence where people come in able to speak and they just have low oxygen levels and then they're put on a vent.
[01:05:14.493 --> 01:05:17.173]  So what's going on there?
[01:05:20.434 --> 01:05:20.914]  I don't know.
[01:05:21.294 --> 01:05:23.435]  I honestly, I have no idea how
[01:05:25.177 --> 01:05:27.199]  They're assuming everybody is just the same.
[01:05:28.120 --> 01:05:29.921]  There's no individuality anymore.
[01:05:29.941 --> 01:05:34.926]  These residents, I think a lot of them are just stone cold.
[01:05:35.526 --> 01:05:40.411]  You know, there's no emotion and they don't view people as people anymore.
[01:05:40.831 --> 01:05:43.273]  It's called being a psychotic?
[01:05:43.733 --> 01:05:46.375]  Or a sociopath?
[01:05:46.455 --> 01:05:57.282]  I'm going to come back with the rest of it.
[01:05:57.302 --> 01:06:08.909]  It really makes me angry because we're watching people being murdered here and we're all processing this at the same time and again this is all them turning us into robots to carry this out.
[01:06:09.029 --> 01:06:10.050]  Oh, remember Media Matters?
[01:06:11.684 --> 01:06:13.185]  Remember Media Matters a couple months ago?
[01:06:13.745 --> 01:06:18.027]  Alex Jones claims frontline coronavirus healthcare workers are killing patients for eugenics.
[01:06:19.407 --> 01:06:20.528]  And they make all big jokes.
[01:06:20.708 --> 01:06:23.709]  All of you at Media Matters have now signed on to this.
[01:06:23.769 --> 01:06:24.349]  Remember that.
[01:06:24.809 --> 01:06:28.831]  Remember why when you get cancer or bad things happen to you, remember you're cursed.
[01:06:28.931 --> 01:06:29.571]  You did this.
[01:06:29.932 --> 01:06:32.913]  Keep giggling at your little chairs there, your little meth-head chairs.
[01:06:33.133 --> 01:06:35.234]  Just remember, you've now signed on to Hitler.
[01:06:36.894 --> 01:06:38.335]  And we're gonna ride.
[01:06:39.115 --> 01:06:40.496]  We're gonna ride.
[01:06:41.940 --> 01:06:44.102]  Ride like the one-eyed jack of diamonds.
[01:06:45.943 --> 01:06:47.585]  Always get behind me, Satan.
[01:06:49.927 --> 01:06:52.269]  I'm gonna find me a reckless woman.
[01:06:53.330 --> 01:06:55.712]  With razor blades and dice in her eyes.
[01:06:56.532 --> 01:06:58.674]  And just a touch of sadness in her fingers.
[01:07:00.636 --> 01:07:01.637]  And just a touch!
[01:07:06.921 --> 01:07:09.063]  And thunder and lightning in her thighs.
[01:07:13.373 --> 01:07:15.235]  Gotta celebrate God's great creations.
[01:07:15.895 --> 01:07:16.716]  And we're gonna ride.
[01:07:19.858 --> 01:07:21.379]  We're gonna ride.
[01:07:22.901 --> 01:07:24.942]  Ride like the one-eyed jack of diamonds.
[01:07:27.785 --> 01:07:33.429]  And the devil is close behind InfoWars, and only your prayers and support keep us in attack formation.
[01:07:40.034 --> 01:07:41.776]  You know, I want to be clear about something before I finish this.
[01:07:45.475 --> 01:07:47.957]  I was being honest when I said, I'm not doing this for you.
[01:07:47.977 --> 01:07:49.078]  I'm doing this for me.
[01:07:52.341 --> 01:07:56.705]  Because there's not some drive here that I'm better than people and I need to go out and save them because I know better.
[01:07:57.045 --> 01:07:58.066]  That's the whole fake lepers thing.
[01:07:58.246 --> 01:08:06.393]  I am driven, like it says in the Bible, Ezekiel had a fire in his bones to save myself and my children and that means you too.
[01:08:06.433 --> 01:08:07.214]  We're all in this together.
[01:08:09.377 --> 01:08:13.378]  But it's not like some hero thing you do because you're special.
[01:08:14.358 --> 01:08:19.980]  If you've got any connection to God, you should be fighting these people tooth and nail.
[01:08:23.681 --> 01:08:26.062]  When you're fighting for your life, you don't think about how you're fighting.
[01:08:26.122 --> 01:08:27.122]  You kick some ass.
[01:08:29.223 --> 01:08:33.264]  And that's why we don't sit here and follow some blueprint.
[01:08:34.889 --> 01:08:38.790]  We follow the blueprint that we don't need to read or even think about.
[01:08:38.850 --> 01:08:39.691]  We know it's there.
[01:08:39.751 --> 01:08:41.051]  God's right there all the time.
[01:08:42.352 --> 01:08:43.152]  The plan's there.
[01:08:44.132 --> 01:08:44.893]  We need to follow it.
[01:08:48.014 --> 01:08:53.276]  And I love this audience of activists because I know that I don't like looking at this news myself.
