[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[00:42:02.492 --> 00:42:11.258]  Jeb Bush comes out and says he can't support Trump because Trump doesn't have the character to be president.
[00:42:12.295 --> 00:42:13.896]  Let me get this straight.
[00:42:13.896 --> 00:42:22.222]  Jeb Bush, who was a drug dealer in boarding school and college in his early years in Houston and Miami.
[00:42:22.222 --> 00:42:29.847]  Jeb Bush, who defrauded a Florida SNL out of $4 million paid for by the taxpayers.
[00:42:29.847 --> 00:42:32.569]  Jeb Bush, who lined his pockets
[00:42:33.871 --> 00:42:42.574]  In return for official acts he took as governor of Florida, he is saying Donald Trump doesn't have the integrity to be president.
[00:42:42.574 --> 00:42:44.814]  Yeah, a guy that never got above five points or whatever.
[00:42:44.814 --> 00:42:46.255]  I mean, it just shows the delusion.
[00:42:46.255 --> 00:42:50.676]  It's like we live in North Korea or something with them propping these people up and the arrogance of these folks.
[00:42:50.676 --> 00:42:52.717]  So, so this is where we are now.
[00:42:52.717 --> 00:42:57.958]  I want to get into, you know... Now let's get into the big meeting that's coming up.
[00:42:57.958 --> 00:42:59.599]  Paul Ryan is posturing
[00:43:00.877 --> 00:43:07.544]  Uh, making his support for Donald Trump conditional on a set of demands.
[00:43:08.581 --> 00:43:10.762]  Those demands need to be seen.
[00:43:10.762 --> 00:43:12.743]  Now stop for a moment because the siren is in the background.
[00:43:12.743 --> 00:43:13.884]  Roger Stone, this is a big deal.
[00:43:13.884 --> 00:43:15.045]  I mean, you just dropped such bombshells.
[00:43:15.045 --> 00:43:16.345]  I want folks to listen carefully.
[00:43:16.345 --> 00:43:18.727]  You have this from inside the RNC.
[00:43:18.727 --> 00:43:32.755]  Tell folks, kind of walk through what you can repeat to the audience that you told me last night of the magnitude of their arrogance and that they still think they're going to, bare minimum, rob the money of everybody that donates to Trump and scuttle this for Hillary.
[00:43:32.755 --> 00:43:35.796]  I mean, phrase this as you did last night to me, please.
[00:43:35.796 --> 00:43:36.437]  Certainly shall.
[00:43:37.037 --> 00:43:39.739]  First of all, it's important to understand the history.
[00:43:39.739 --> 00:43:53.510]  RNC Chairman Reince Priebus is often publicly identified with Romney or with his governor in Wisconsin, Walker.
[00:43:53.510 --> 00:43:57.253]  But in truth, Reince Priebus is a Ryan man.
[00:43:57.253 --> 00:43:59.535]  That's his birthright in politics.
[00:43:59.535 --> 00:44:00.616]  Paul Ryan.
[00:44:00.616 --> 00:44:02.357]  Don't forget that as we move forward.
[00:44:03.158 --> 00:44:17.505]  So, in essence, what Walker is going to, pardon me, what Ryan is going to demand of Trump is control of the Republican National Committee would remain in the hands of Priebus and his cohorts.
[00:44:17.505 --> 00:44:27.189]  They would also demand that the Trump campaign use the data vault, which was built and is partially owned by Karl Rove.
[00:44:27.649 --> 00:44:27.729]  Okay.
[00:44:43.683 --> 00:44:45.484]  Now this struggle is mostly about money.
[00:45:05.032 --> 00:45:17.924]  It's about the favored vendors for Reince Priebus getting multi millions of dollars worth of business from the Trump campaign and from the 2016 effort.
[00:45:17.924 --> 00:45:20.566]  Here's what Reince Priebus doesn't understand.
[00:45:20.566 --> 00:45:28.753]  He's about to meet, he and Paul Ryan are about to meet the toughest negotiator probably alive today.
[00:45:29.514 --> 00:45:48.823]  Speaking as someone who over the last 30 years has negotiated multiple compensation agreements with Donald Trump, I can just tell you, he's tough, he's clear, he's blunt, and he understands that the movement that he is leading is far bigger than the Republican Party.
[00:45:48.823 --> 00:45:50.284]  He will not be blackmailed.
[00:45:51.064 --> 00:45:57.630]  He will call for Ryan to step down as speaker, pardon me, as convention chairman.
[00:45:57.630 --> 00:46:08.459]  There is, as I reported here on InfoWars last week, a backbench revolt among individual liberty-minded congressmen who are furious with Ryan.
[00:46:08.459 --> 00:46:11.482]  And Sarah Palin is pledging to go after Ryan in his re-election.
[00:46:11.482 --> 00:46:12.442]  What a wonderful lady.
[00:46:12.442 --> 00:46:15.105]  This is America taking its country back.
[00:46:15.105 --> 00:46:16.085]  This is so exciting.
[00:46:16.085 --> 00:46:17.487]  And again, it shows their arrogance.
[00:46:18.067 --> 00:46:23.431]  That they think they can try to steal it, even though it already backfired on them when they tried to publicly sell it.
[00:46:23.431 --> 00:46:35.920]  If Paul Ryan said he'd rather have Hillary, and so has the leader of the Senate, Mitch McConnell, on record, then they have no place at the head of the RNC, they have no place as the Speaker, no place as the Senate Majority Leader.
[00:46:35.920 --> 00:46:43.146]  I say get on the offense now, and I understand Trump's giving them a chance to back off, and they need to just remove themselves, because look, they'll steal the money,
[00:46:43.826 --> 00:46:46.992]  And then they'll scuttle the campaign and give it to Hillary.
[00:46:46.992 --> 00:46:48.555]  That's their stinking plan.
[00:46:48.555 --> 00:46:49.397]  They've admitted it.
[00:46:49.397 --> 00:46:52.122]  These little rat bastards have admitted it.
[00:46:52.122 --> 00:46:52.983]  Mr. Stone, am I wrong?
[00:46:53.729 --> 00:46:54.769]  No, you're absolutely right.
[00:46:54.769 --> 00:46:58.611]  And Alex, this is the insidious hand of Karl Rove.
[00:46:58.611 --> 00:47:06.055]  Let's remember, Rove has a proprietary interest in the Data Trust, a data bank.
[00:47:06.055 --> 00:47:10.637]  Rove has tight relationships with many of these Republican state chairmen.
[00:47:10.637 --> 00:47:16.180]  So the fix is in if Ryan and Priebus get their way.
[00:47:16.180 --> 00:47:22.663]  Now, I also believe that the RNC has a $1 million hard bank debt.
[00:47:23.376 --> 00:47:25.877]  That the Trump campaign is unaware of.
[00:47:25.877 --> 00:47:43.625]  I also think that there are accounting tricks being used at the RNC to make their fundraising totals look more impressive than they are taking compliance money and legal money and recount money and essentially double counting it to make the bank balances look higher.
[00:47:44.065 --> 00:47:46.747]  So this is just my personal view.
[00:47:46.747 --> 00:47:56.353]  I would urge Donald Trump and his people to do an audit of the Republican National Committee as soon as he takes control.
[00:47:56.353 --> 00:48:08.602]  And I would make no deal to give away what has been, since the 1860s, the right of the Republican national nominee to control the party in an election year.
[00:48:09.963 --> 00:48:12.824]  So, really the headline here is from fullwars.com.
[00:48:12.824 --> 00:48:16.705]  Paul wrote a very good article, you know, conferring with us last night.
[00:48:16.705 --> 00:48:36.472]  But, I mean, really it's a bunch of neocons or a bunch of rhinos are trying to hijack the party and derail the whole process, claiming it's their rules, trying to openly steal the money, trying to take over the process and try to take control of the party away from the presumptive nominee, even after they're
[00:48:37.293 --> 00:48:51.712]  This is just so sensational, but in the age of the TPP secretly being ratified, and we're under world government, and in the age of the Pope calling for world government, and everyone's saying Donald Trump's so evil because he says globalism is destroying us, isn't this emblematic?
[00:48:52.333 --> 00:49:01.524]  Of these bureaucrats and these politicians because they're in control of the system, believing they own it and control it, and then they come out and openly say it's all theirs?
[00:49:01.524 --> 00:49:03.967]  I mean, I'm wondering if they realize how this has backfired.
[00:49:03.967 --> 00:49:07.030]  They already tried to sell that there's no popular election.
[00:49:07.931 --> 00:49:10.073]  One man, one vote doesn't exist in the primary.
[00:49:10.073 --> 00:49:11.714]  Silly kids, that never happened.
[00:49:11.714 --> 00:49:17.799]  Even though you have all the public interest and the money and election laws and, you know, false advertising and the rest of it.
[00:49:17.799 --> 00:49:21.862]  But now they just think they can just take it again and take over the party.
[00:49:21.862 --> 00:49:25.886]  It just really shows how delusional these people are.
[00:49:25.886 --> 00:49:28.788]  You were there when they tried to steal it from Reagan and force the compromise.
[00:49:28.788 --> 00:49:30.149]  You were there throughout this.
[00:49:30.149 --> 00:49:37.055]  Have you ever seen such levels of brazen megalomania in your view, Roger Stone?
[00:49:37.892 --> 00:49:39.233]  Let me put it to you this way, Alex.
[00:49:39.233 --> 00:49:46.916]  I have never seen a situation in which a Republican speaker tried to blackmail the Republican nominee for president.
[00:49:46.916 --> 00:49:48.016]  This is extortion.
[00:49:48.016 --> 00:49:57.440]  And all he has, Paul Ryan has to trade, of course, is his endorsement, which he has withheld to create this leverage.
[00:49:58.200 --> 00:50:02.063]  Let me move on, because there's another important development this weekend.
[00:50:02.063 --> 00:50:13.451]  You, I'm sure, noticed that Donald Trump engaged Hillary Clinton on the questions of her husband's epic abuse of women and her role in covering up that scandal.
[00:50:13.451 --> 00:50:18.895]  And let's just say it, you don't like to brag, but you've been advising Trump for a year and a half, this is the game plan.
[00:50:18.895 --> 00:50:22.498]  You told me a few weeks ago, watch, get ready, he's going to go after her on this, and he did.
[00:50:23.098 --> 00:50:25.782]  Which shows he's got the bona fides to go toe-to-toe.
[00:50:25.782 --> 00:50:27.024]  He's for real, folks.
[00:50:27.024 --> 00:50:30.028]  This is what we've always needed is somebody to not play patty cake.
[00:50:30.028 --> 00:50:30.588]  Continue, Roger.
[00:50:31.328 --> 00:50:42.696]  Well, look, Donald Trump is his own man and he decides what he says, but I think it is very clear that he has read my book, The Clinton's War on Women, as have hundreds of thousands of other Americans.
[00:50:42.696 --> 00:50:52.884]  So when New York Magazine yesterday reported that Trump made this claim without foundation, no, there's a lot of foundation.
[00:50:53.504 --> 00:51:04.416]  Well, we're going to go over it in the books available at Infowarsstore.com, but let me just add, I see articles every day saying Donald Trump claimed that the Saudis had a role in 9-11 that was a cover-up with no proof.
[00:51:04.416 --> 00:51:05.958]  They don't even mention the 28 pages.
[00:51:05.958 --> 00:51:10.423]  So, you know, this is like Gibbs saying there's no drone program six years after the program's public.
[00:51:10.423 --> 00:51:10.844]  Sorry, go ahead.
[00:51:11.633 --> 00:51:15.316]  Well, but it's very important to understand here what the strategy is.
[00:51:15.316 --> 00:51:21.783]  Because the Clintonites hope that they can suppress this story, as they did in the 80s.
[00:51:21.783 --> 00:51:25.166]  Unfortunately for them, that was the pre-internet age.
[00:51:25.166 --> 00:51:29.230]  So they have put enormous pressure on CNN, on Fox,
[00:51:29.850 --> 00:51:35.577]  On MSNBC, on the networks, trying to claim, oh, this has all been discredited.
[00:51:35.577 --> 00:51:40.603]  No, no, they admit on MSNBC and CNN, as you know, they cut people's mics when they mention this.
[00:51:40.603 --> 00:51:43.987]  Yeah, it's extraordinary, but it won't work, and I'll tell you why.
[00:51:43.987 --> 00:51:47.651]  Because you cannot gag the nominee of the Republican Party.
[00:51:47.651 --> 00:51:48.071]  Can't do it.
[00:51:48.692 --> 00:51:52.595]  You cannot gag Donald Trump and he gets it.
[00:51:52.595 --> 00:52:01.361]  Now, her entire campaign strategy is based on winning a disproportionate number of votes from women.
[00:52:01.361 --> 00:52:14.811]  And Media Matters for America, the Clinton apologists, financed by Soros, but directed by Hillary, seek to pressure and discredit anyone who raises this question.
[00:52:14.811 --> 00:52:16.092]  This is really simple, though.
[00:52:16.912 --> 00:52:19.733]  Let Juanita Broderick speak.
[00:52:19.733 --> 00:52:22.313]  Let Paula Jones speak.
[00:52:22.313 --> 00:52:25.314]  Let my friend Kathleen Willey speak.
[00:52:25.314 --> 00:52:26.474]  Hear them out.
[00:52:26.474 --> 00:52:31.735]  Let them tell you exactly what happened to them at the hands of Bill and then at the hands of Hillary.
[00:52:31.735 --> 00:52:33.815]  Then Hillary can deny it if she wishes.
[00:52:33.815 --> 00:52:34.655]  That's right.
[00:52:34.655 --> 00:52:38.016]  And the American people can decide who's telling the truth.
[00:52:38.016 --> 00:52:43.717]  But for her to say, for Hillary to say that young college women who are sexually assaulted
[00:52:44.737 --> 00:52:54.190]  Well, the truth is they're an organized crime syndicate.
[00:52:54.190 --> 00:52:55.271]  They've settled cases.
[00:52:55.271 --> 00:52:56.513]  We know they're doing it.
[00:52:56.513 --> 00:52:58.635]  And thank God you wrote the book to expose it all.
[00:52:59.463 --> 00:53:00.504]  Other facets.
[00:53:00.504 --> 00:53:02.146]  I mean, I love the fact that Trump's so strong.
[00:53:02.146 --> 00:53:03.447]  I love the fact he's not backing down.
[00:53:03.447 --> 00:53:05.569]  I love his foreign policy speech.
[00:53:05.569 --> 00:53:07.811]  So much good stuff is happening.
[00:53:07.811 --> 00:53:08.912]  What are other pitfalls?
[00:53:08.912 --> 00:53:09.873]  What are other attacks?
[00:53:09.873 --> 00:53:10.994]  What else is on the radar?
[00:53:10.994 --> 00:53:15.658]  I mean, bottom line, I guess we get the word out about the Clintons and their abuse of women.
[00:53:15.658 --> 00:53:21.264]  We get the word out about what Paul Ryan and Priebus, these little arrogant creatures, are doing.
[00:53:21.264 --> 00:53:22.505]  We expose the fact that
[00:53:24.887 --> 00:53:27.450]  The whole world is trying to gang up on us and tell us what to do.
[00:53:27.450 --> 00:53:29.673]  What else is on the radar, Roger Stone?
[00:53:42.503 --> 00:53:42.903]  I don't know.
[00:54:06.886 --> 00:54:14.111]  The mainstream media is trying desperately not to cover these stories as if they don't exist.
[00:54:14.111 --> 00:54:24.198]  Terrific piece on Breitbart this week about how subsequent developments regarding the Clinton Foundation got no mainstream media coverage.
[00:54:24.198 --> 00:54:27.940]  So we see the game they are going to try to play.
[00:54:27.940 --> 00:54:30.962]  They're going to try to make these issues untouchable.
[00:54:30.962 --> 00:54:33.184]  This worked for them in the 80s.
[00:54:33.184 --> 00:54:35.285]  It is not going to work for them in 2016.
[00:54:37.046 --> 00:54:42.991]  Well, even when I talk to Democrats and people I know, some of them which are prominent here in Austin, they go, no, we can see Trump winning now.
[00:54:42.991 --> 00:54:45.073]  We can see it in Hillary's damaged goods.
[00:54:45.073 --> 00:54:47.595]  And then the FBI is set to talk to her this week.
[00:54:47.595 --> 00:54:56.803]  I mean, even if they don't go after her, it's just this whole backdrop that it's as if she's crawling, you know, towards her own grave while trying to crawl away from it.
[00:54:56.803 --> 00:55:01.207]  At the same time, she wants more power to protect herself into the future.
[00:55:01.207 --> 00:55:04.410]  She's just hoped for a pardon out of Obama.
[00:55:05.894 --> 00:55:08.096]  How was Trump when you met with him in New York?
[00:55:08.096 --> 00:55:12.021]  He seems to be energized when I see him out on the campaign trail.
[00:55:12.021 --> 00:55:16.125]  I mean, this whole thing just has the smell of destiny.
[00:55:16.125 --> 00:55:24.473]  Well, Alex, as you know, any conversation I have with Donald is proprietary and I would never reveal what we talked about.
[00:55:24.473 --> 00:55:25.875]  Sure, but I'm asking overall, how's he doing?
[00:55:26.635 --> 00:55:29.777]  But in terms of his mood, he's excited.
[00:55:29.777 --> 00:55:30.717]  He's pumped up.
[00:55:30.717 --> 00:55:33.278]  He's super confident about his ability to win.
[00:55:33.278 --> 00:55:39.421]  He reiterates again in everything he does that he is his own man.
[00:55:39.421 --> 00:55:42.043]  He's not going to be controlled by Wall Street.
[00:55:42.043 --> 00:55:44.824]  He's not going to be controlled by K Street.
[00:55:44.824 --> 00:55:47.785]  He is going to do this his way.
[00:55:47.785 --> 00:55:52.808]  And in all honesty, doing it his way has worked extraordinarily well so far.
[00:55:53.368 --> 00:55:55.811]  He is bigger than the Republican Party.
[00:55:55.811 --> 00:55:57.152]  He's absolutely right.
[00:55:57.152 --> 00:55:59.734]  It's not about whether the party is unified.
[00:55:59.734 --> 00:56:04.199]  It's about whether the party can attract several million new people.
[00:56:04.199 --> 00:56:06.661]  And that's beautiful, and that's why they're so scared of him.
[00:56:06.661 --> 00:56:09.704]  And Democrats out there, if you want prosperity, folks...
[00:56:10.751 --> 00:56:15.352]  Just bring somebody in who doesn't dislike America and have it out for the West.
[00:56:15.352 --> 00:56:18.533]  These globalists in both parties are setting up a world government.
[00:56:18.533 --> 00:56:24.255]  They want to parlay American interest into that for themselves and get themselves seats at the new table.
[00:56:24.255 --> 00:56:25.475]  It's not their country to sell out.
[00:56:25.475 --> 00:56:26.696]  It's not their election to steal.
[00:56:26.696 --> 00:56:28.836]  It's not their government.
[00:56:28.836 --> 00:56:34.338]  Even if Paul Ryan and Hillary Clinton and all these people think it, we're watching the death of these individuals.
[00:56:34.338 --> 00:56:35.538]  They claim the death of the party.
[00:56:35.538 --> 00:56:36.659]  The party died a long time ago.
[00:56:36.659 --> 00:56:39.460]  It's rising like a phoenix again because of Donald Trump.
[00:56:39.460 --> 00:56:40.240]  This is destiny.
[00:56:42.098 --> 00:56:44.581]  Well, you also saw this fraudulent lawsuit filed in Texas where a non-existent woman
[00:56:58.416 --> 00:57:23.156]  Claiming to be her own attorney accused Trump falsely of abusing her in the company of Jeffrey Epstein, the convicted pedophile who ironically is a running buddy of Bill Clinton and whose top people were... And who you wrote about in your book and who you told me privately Trump was getting ready to go after him with so they just threw it back on him.
[00:57:23.763 --> 00:57:29.148]  Yeah, so the good news of course is that a judge has now dismissed this lawsuit.
[00:57:29.148 --> 00:57:30.289]  It's fraudulent.
[00:57:30.289 --> 00:57:39.778]  This was an attempt to try to neutralize Trump on the issue that they realize is a killer for the Clintons themselves.
[00:57:40.439 --> 00:57:46.481]  What was Bill Clinton doing on Pedophile Island for these private parties?
[00:57:46.481 --> 00:57:48.821]  And what did Hillary think he was doing there?
[00:57:48.821 --> 00:57:51.142]  Yeah, not Paradise Island, but Pedo Island.
[00:57:51.142 --> 00:57:52.062]  Wow, incredible.
[00:57:52.062 --> 00:57:53.242]  Roger Stone, amazing.
[00:57:53.242 --> 00:57:53.522]  Thank you.
[00:57:53.522 --> 00:57:57.884]  I know you're a really busy man for giving the audience such exclusives, but you're a great patriot.
[00:57:57.884 --> 00:58:03.965]  Been exposed to the New World Order for more than 16, 17 years, and decades before that working inside politics.
[00:58:03.965 --> 00:58:05.506]  I really feel history happening here.
[00:58:05.506 --> 00:58:06.666]  We should all pray for Donald Trump.
[00:58:07.386 --> 00:58:20.513]  Well, I'm now hoping that the previous Ryan plan, having been exposed here at InfoWars, will be much harder for them to pull off.
[00:58:20.513 --> 00:58:26.396]  They're going into a negotiation with the toughest son of a gun that I have ever met.
[00:58:26.616 --> 00:58:28.197]  Roger, I know you've got to go.
[00:58:28.197 --> 00:58:29.398]  We've got a 70-second break.
[00:58:29.398 --> 00:58:32.160]  I want you to come back just for three minutes on the other side, then I've got to go too.
[00:58:32.160 --> 00:58:38.824]  But I want you to talk about the process of how this negotiation is going to happen, when it's going to happen, when we're going to know if they've been successful or not.
[00:58:38.824 --> 00:58:41.146]  Audience, get the article at InfoWars.com.
[00:58:41.146 --> 00:58:42.607]  Get out to everybody.
[00:58:42.607 --> 00:58:43.867]  Get out to everybody.
[00:58:43.867 --> 00:58:45.729]  Don't let them steal your country.
[00:58:45.729 --> 00:58:46.809]  Arrogant pieces of trash.
[00:58:46.809 --> 00:58:47.290]  Back in 70 seconds.
[00:58:49.921 --> 00:58:54.983]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:58:54.983 --> 00:59:03.827]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:59:03.827 --> 00:59:07.768]  Youngevity also offers you an ingenious way to augment your income.
[00:59:07.768 --> 00:59:08.569]  And the best part?
[00:59:08.569 --> 00:59:11.430]  You'll be helping your friends and family along the way.
[00:59:11.430 --> 00:59:14.051]  Visit InfoWarsTeam.com today.
[00:59:14.051 --> 00:59:14.831]  Become a member.
[00:59:14.831 --> 00:59:18.893]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:59:19.113 --> 00:59:25.836]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:59:25.836 --> 00:59:26.796]  Another win-win.
[00:59:26.796 --> 00:59:30.537]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:59:30.537 --> 00:59:31.778]  And you can be too.
[00:59:31.778 --> 00:59:32.318]  It's simple.
[00:59:32.318 --> 00:59:35.259]  Just go to Infowarsteam.com today.
[00:59:35.259 --> 00:59:37.360]  Complete a short sign-up and you're part of the team.
[00:59:37.360 --> 00:59:40.621]  That's Infowarsteam.com or Infowarshealth.com.
[00:59:40.621 --> 00:59:46.923]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:59:46.923 --> 00:59:48.224]  Check it out for yourself today.
[00:59:52.362 --> 01:00:03.006]  You're listening to the Alex Jones Show.
[01:00:03.006 --> 01:00:04.847]  We are on the march.
[01:00:04.847 --> 01:00:08.008]  The Empire is on the run.
[01:00:08.008 --> 01:00:14.731]  Alex Jones and the GCN Radio Network.
[01:00:14.731 --> 01:00:21.554]  The British East India Company, I'm going to talk about it when we come back in the next segment, set up the model of world government we see forming today.
[01:00:23.410 --> 01:00:31.416]  The problem is, once world government comes out of the shadows, into the open, and really tries to carry out its aims, why do these powerful people want world government?
[01:00:31.416 --> 01:00:33.037]  It's eugenics.
[01:00:33.037 --> 01:00:34.518]  It's playing God.
[01:00:34.518 --> 01:00:40.583]  Once they try to actually implement everything, and it goes from stealth mode to out in the open mode, that's the beginning of the fall.
[01:00:40.583 --> 01:00:48.629]  They've been gearing up a totalitarianism behind the scenes to try to block us when they emerge, but patriots for 50 years have been exposing them.
[01:00:48.629 --> 01:00:52.172]  Back in the days of Barry Goldwater, when people like Roger Stone were first getting involved.
[01:00:53.257 --> 01:00:58.080]  So in the last few minutes with Roger Stone, he's breaking down just some incredible things that are happening.
[01:00:58.080 --> 01:01:02.883]  We're forcing the Clintons to come out in the open.
[01:01:02.883 --> 01:01:04.604]  We're forcing the Paul Ryans to come out in the open.
[01:01:04.604 --> 01:01:14.691]  We're forcing them to be arrogant and tell us we don't have any rights and we don't have elections and they'll take all the RNC money and not give it to Donald Trump because that's where your donations go through them.
[01:01:15.834 --> 01:01:18.477]  And they're just showing everyone how delusional they are.
[01:01:18.477 --> 01:01:25.064]  It's like you've been out of town for a month and you come back and your arrogant employee is trying to stage some type of takeover of your business.
[01:01:25.064 --> 01:01:27.566]  And you just say, hey, watch this, you're all fired.
[01:01:27.566 --> 01:01:30.329]  They just can't believe that they took your kindness for weakness.
[01:01:31.010 --> 01:01:31.950]  We got three minutes left.
[01:01:31.950 --> 01:01:33.451]  I appreciate Roger Stone being here with us.
[01:01:33.451 --> 01:01:45.633]  Roger, encapsulate how this is going to play out, when we'll know whether they're successful or not, stealing this, extorting Donald Trump, when these meetings should happen and what we can do to make sure.
[01:01:45.633 --> 01:01:52.035]  Because they didn't want Trump or you talking about how they were stealing the elections and calling him sore loser, but that's what destroyed them because they were stealing it.
[01:01:52.035 --> 01:01:56.076]  So now we're going to continue to attack them and hopefully get the grassroots behind it.
[01:01:56.076 --> 01:01:57.896]  So Roger, what do we do and how does this play out?
[01:01:58.766 --> 01:02:01.787]  Well, first of all, no one extorts Donald Trump.
[01:02:01.787 --> 01:02:03.907]  So that's not going to work.
[01:02:03.907 --> 01:02:08.169]  And I think Ryan may misunderstand the value of his endorsement.
[01:02:08.169 --> 01:02:14.490]  Trump got nominated without any endorsements other than the great patriot Jeff Sessions.
[01:02:14.490 --> 01:02:16.591]  He is not the candidate of endorsements.
[01:02:17.371 --> 01:02:23.855]  And I continue to argue that the support of the Romneys and the Bushes is not a positive, it's a negative.
[01:02:23.855 --> 01:02:27.378]  Yeah, he should come out and say that, not just say, hey, I don't need the party leadership.
[01:02:27.378 --> 01:02:28.218]  You know, the party's the people.
[01:02:28.218 --> 01:02:29.219]  That's great he's saying that.
[01:02:29.219 --> 01:02:31.580]  Say, hey, I'm glad I don't have you people that sold us out.
[01:02:31.580 --> 01:02:32.861]  You're the failures, you're the losers.
[01:02:32.861 --> 01:02:34.282]  Sorry, go ahead.
[01:02:34.282 --> 01:02:39.605]  But I can also report that in a closed-door meeting of the Republican Lawyers Association last night...
[01:02:41.206 --> 01:02:58.344]  There was a presentation by Don McGahn, the lawyer who represents Donald Trump, a very able man, very solid guy, very positive, upbeat presentation about how the campaign is gearing up to raise the money necessary to fund a general election.
[01:02:59.225 --> 01:03:08.929]  After Mr. McGinn left, however, the entire meeting focused on a discussion of how to stop Donald Trump in the Rules Committee.
[01:03:08.929 --> 01:03:22.635]  Now, the details, all of the details of this closed door meeting will be up on InfoWars.com tomorrow with a full report, because fortunately, I had a spy in the room.
[01:03:23.407 --> 01:03:24.828]  Just like you did at the Koch Brothers meeting.
[01:03:24.828 --> 01:03:25.248]  Incredible.
[01:03:25.248 --> 01:03:28.210]  But just finishing up, when do these negotiations happen?
[01:03:28.210 --> 01:03:33.954]  When will we know whether they're going to be successful stealing the war chest?
[01:03:33.954 --> 01:03:44.661]  Donald Trump is going to be meeting with Speaker Ryan and Chairman Priebus on Thursday in Washington, D.C., and we'll see how this gets worked out.
[01:03:44.661 --> 01:03:47.543]  But anyone who thinks you can hold up Donald Trump
[01:03:48.143 --> 01:03:49.664]  He's a fool.
[01:03:49.664 --> 01:03:52.045]  He is bigger than the Republican Party.
[01:03:52.045 --> 01:03:55.526]  He's the only one with the potential to expand the Republican Party.
[01:03:55.526 --> 01:04:02.670]  And Alex, this final thought, those congressmen and those senators who are fleeing Trump today,
[01:04:03.584 --> 01:04:10.326]  Are the same people who will be desperate to get on the platform with him this October.
[01:04:10.326 --> 01:04:11.867]  Mark my words.
[01:04:11.867 --> 01:04:12.467]  Absolutely.
[01:04:12.467 --> 01:04:14.827]  I mean, they're all the yes-men that got there because they're yes-men.
[01:04:14.827 --> 01:04:16.728]  Trump is independent, clearly.
[01:04:16.728 --> 01:04:18.909]  And they're all just a bunch of delusional followers.
[01:04:18.909 --> 01:04:23.470]  Just because JPMorgan and Goldman Sachs tell them, you know, do this, we're backing you.
[01:04:23.470 --> 01:04:26.431]  It's just all a con game and it's coming down.
[01:04:26.431 --> 01:04:32.273]  And regardless, Donald Trump's injecting nationalist issues and anti-politically correct issues that are a godsend.
[01:04:32.873 --> 01:04:33.734]  He's a total winner.
[01:04:33.734 --> 01:04:37.637]  He's already won by being in the arena, and you're in the arena too.
[01:04:37.637 --> 01:04:39.299]  Roger Stone, thank you so much for the time.
[01:04:39.299 --> 01:04:40.440]  StoneZone.com.
[01:04:40.440 --> 01:04:44.444]  Find both his books on the Clintons and the Bushes at InfowarsStore.com.
[01:04:44.444 --> 01:04:45.865]  Thank you so much, sir.
[01:04:45.865 --> 01:04:46.946]  Great to be here, Alex.
[01:04:46.946 --> 01:04:48.127]  Thank you for all these exclusives.
[01:04:48.127 --> 01:04:48.467]  Wow!
[01:04:48.467 --> 01:04:50.669]  But the hit's because he knows you take action as listeners.
[01:04:50.669 --> 01:04:52.611]  We're all in this together defending this republic.
[01:04:52.611 --> 01:04:53.972]  The story's up on Infowars.com.
[01:04:53.972 --> 01:04:54.352]  Get it out.
[01:04:54.352 --> 01:04:57.135]  And then tomorrow, the one on the big lawyer meeting.
[01:04:57.135 --> 01:04:57.635]  Stay with us.
[01:04:57.635 --> 01:04:58.036]  We'll be back.
[01:05:00.023 --> 01:05:00.384]  Do you?
[01:05:17.506 --> 01:05:19.068]  Becomes forlorn.
[01:05:19.068 --> 01:05:28.017]  Unhappily, I possess neither that eloquence of dictation, that poetry of imagination, nor that brilliance of metaphor to tell you all that they mean.
[01:05:28.017 --> 01:05:32.442]  The unbelievers will say they are but words, but a slogan, but a flamboyant phrase.
[01:05:32.762 --> 01:05:44.424]  Every demagogue, every cynic, every hypocrite, every troublemaker, and I am sorry to say some others of an entirely different character will try to downgrade them even to the extent of mockery and ridicule.
[01:05:44.424 --> 01:05:46.405]  But these are some of the things they do.
[01:05:46.405 --> 01:05:48.105]  They build your basic character.
[01:05:48.105 --> 01:05:52.646]  They mold you for the future roles as the custodians of the nation's defense.
[01:05:52.646 --> 01:05:57.127]  This was said on May 12, 1962 by General Douglas MacArthur.
[01:05:57.127 --> 01:05:59.387]  I'm Joe Biggs with InfoWars.com.
[01:05:59.747 --> 01:06:00.548]  Hey, everyone!
[01:06:00.548 --> 01:06:02.849]  Pharmacist Ben Fuchs here, host of The Bright Side.
[01:06:02.849 --> 01:06:06.692]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:06:06.692 --> 01:06:08.773]  You've all heard the shocking statistics.
[01:06:08.773 --> 01:06:19.040]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
