[00:00:18.817 --> 00:00:19.797]  You want answers?
[00:45:49.969 --> 00:46:03.079]  And meanwhile, geopolitically, we see a regional war in Syria that could very well blow up into World War III, and we see tension in the South China Sea, which could very well blow up into another world war.
[00:46:03.760 --> 00:46:06.062]  We are truly in uncharted waters here.
[00:46:06.322 --> 00:46:08.884]  We have a situation that
[00:46:10.256 --> 00:46:24.259]  Where the global economy is teetering on the brink, we have the central banks are right now in the process of going to sub-zero interest rates, which is an absolute panic move.
[00:46:24.839 --> 00:46:28.440]  They have basically run out of ammunition in the economic war.
[00:46:28.460 --> 00:46:30.500]  That's like injecting adrenaline directly into the heart.
[00:46:35.926 --> 00:46:49.234]  At this point, we are teetering on the brink of either economic collapse or global war as kind of the final option for the insiders to have their way.
[00:46:49.774 --> 00:46:54.077]  Because without either of those, we're just simply going to see the truth come out.
[00:46:54.497 --> 00:46:58.780]  What's happened with the Panama Papers, I think, is just one little glimpse
[00:47:00.055 --> 00:47:08.183]  Of the extent of the international financial web that exists.
[00:47:08.623 --> 00:47:13.748]  Well, from what I've seen, it looks like it's a Western attempt to just go after Putin, and certainly Putin's involved in a bunch of this stuff.
[00:47:14.068 --> 00:47:16.571]  But it seems selective to some mid-level networks.
[00:47:16.991 --> 00:47:18.513]  It's highly selective, yes.
[00:47:19.233 --> 00:47:21.575]  And if you'll notice, they're mainly pointing the finger at
[00:47:23.707 --> 00:47:38.192]  Uh, African dictators, for example, with these, uh, these trust arrangements with, you know, bearer number one or bearer number two, for example, as the beneficiaries.
[00:47:38.692 --> 00:47:45.214]  The serious money, the big money, is being traded in the hot markets every day.
[00:47:45.234 --> 00:47:47.335]  It's not these tiny little
[00:47:48.052 --> 00:47:50.314]  You know, I say relatively tiny.
[00:47:50.574 --> 00:48:08.908]  These billion-dollar trusts that are being set up to benefit the children of Middle Eastern and African dictators are small change compared to the trillions of dollars that are flowing internationally
[00:48:09.648 --> 00:48:13.110]  The manipulation that's going on in the currency markets.
[00:48:13.450 --> 00:48:15.491]  You mentioned earlier credit default swaps.
[00:48:15.711 --> 00:48:20.953]  People have no idea about the scope of the derivatives trading that goes on.
[00:48:21.513 --> 00:48:25.395]  A CDS, a credit default swap, is a form of derivative.
[00:48:26.435 --> 00:48:39.041]  And it's so well refined as a derivative that a movement as small as one-tenth of one percent of an interest rate
[00:48:40.379 --> 00:48:42.860]  Can put a major shockwave through the system.
[00:48:43.721 --> 00:48:57.647]  And unfortunately, the way this derivatives casino has built up, it's so finely tuned that when a big swing does happen, where interest rates move a whole percentage point or two percentage points, it's going to absolutely collapse the system.
[00:48:57.667 --> 00:48:59.368]  Well, James, I want to talk triggers with you.
[00:48:59.388 --> 00:49:00.288]  I want to get into Caliphate.
[00:49:00.308 --> 00:49:01.369]  And I just want to go ahead.
[00:49:01.389 --> 00:49:02.769]  I'm going to have you through the whole next hour.
[00:49:02.789 --> 00:49:05.270]  We're going to have reporters on in the fourth hour with David Knight.
[00:49:05.290 --> 00:49:06.771]  He has another guest popping in as well.
[00:49:06.811 --> 00:49:08.352]  But looking at this,
[00:49:10.353 --> 00:49:14.596]  Here's a Telegraph article, China jitters could trigger global market bloodbath, IMF warns.
[00:49:14.857 --> 00:49:25.585]  I love how the very progenitors of this whole scam warn us, and the former head of the Fed that helped give us the derivatives with Clinton, Greenspan, warns us of irrational exuberance.
[00:49:25.625 --> 00:49:33.572]  It's like selling a kid a bag full of crack and giving him a pipe and saying, look out, this might be addicting, but it's just amazing.
[00:49:33.612 --> 00:49:39.156]  But getting back to things I see as problems that nobody talks about, and I'm not bragging when I say,
[00:49:40.262 --> 00:49:49.466]  One thing that launched our show, unbeknownst to me, like 19 years ago, is I put out some police state films showing the military training for gun confiscation and things domestically.
[00:49:50.307 --> 00:49:54.669]  And then the Army and Marines said, don't watch Alex Jones' videos and don't go to his website.
[00:49:55.769 --> 00:49:58.230]  Man, I suddenly had this huge audience of the military tune in.
[00:49:58.730 --> 00:50:00.290]  What was the establishment thinking?
[00:50:00.310 --> 00:50:03.931]  Because my audience probably quadrupled overnight when they started doing that.
[00:50:04.271 --> 00:50:07.151]  That actually launched us was them saying, don't go here.
[00:50:07.451 --> 00:50:10.072]  So they seem like they're smart, but they also seem like they're dumb.
[00:50:10.432 --> 00:50:14.253]  Now, I was totally unpolished, them still aren't, but knew more than the average person.
[00:50:14.493 --> 00:50:15.713]  So the show got very popular.
[00:50:15.833 --> 00:50:21.014]  I became a source because then all these people started giving me stuff because nobody else would talk about it.
[00:50:22.059 --> 00:50:34.009]  Here we are, 20 years later, and the military listens to the show, foreign governments listen to it, they listen to others like it, but it shows how bad the rest of the media is, is that we're some of the, you know, best that's out there, I'm not bragging.
[00:50:34.510 --> 00:50:43.077]  But to know that most of the military is aware of what's going on, says they're not going to go along with the globalist takeover, that's got to really cause a problem.
[00:50:43.137 --> 00:50:48.362]  And I'm not saying I'm behind this, I'm one small part of it, but I'm a gauge because I interface with these people.
[00:50:49.102 --> 00:50:51.505]  On the street, you name it, so I know how awake they are.
[00:50:52.086 --> 00:50:59.794]  Does the establishment realize that they still currently say don't go to Infowars.com and don't go to your site and a bunch of others, as you know.
[00:51:00.335 --> 00:51:03.358]  Don't they understand that's backfiring with the Streisand effect?
[00:51:03.999 --> 00:51:04.399]  Squared.
[00:51:04.680 --> 00:51:07.282]  We'll be back with James Wesley Rawls, survivalblog.com.
[00:51:07.522 --> 00:51:08.704]  I'm Alex Jones with the answer.
[00:51:08.924 --> 00:51:11.887]  A clean, toxic-free body is the foundation of true health.
[00:51:12.167 --> 00:51:14.889]  Introducing Deep Cleanze by Infowarslife.com.
[00:51:15.090 --> 00:51:21.776]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:51:22.076 --> 00:51:27.181]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:51:27.341 --> 00:51:36.169]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:51:36.469 --> 00:51:45.057]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:51:45.298 --> 00:51:52.164]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:51:52.324 --> 00:51:58.527]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[00:51:58.708 --> 00:52:03.430]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:52:03.590 --> 00:52:05.531]  That's InfoWarsLife.com or call 888-253-3139.
[00:52:08.673 --> 00:52:10.074]  My name is Alex Jones.
[00:52:10.574 --> 00:52:16.518]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:52:16.738 --> 00:52:30.908]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights,
[00:52:31.488 --> 00:52:33.409]  We're focusing on fighting the globalists.
[00:52:33.809 --> 00:52:41.632]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[00:52:41.832 --> 00:52:48.995]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[00:52:49.255 --> 00:52:54.998]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[00:52:55.118 --> 00:52:58.219]  Today is the day to take the InfoWarsLife.com challenge.
[00:52:59.179 --> 00:53:17.286]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:53:17.366 --> 00:53:25.449]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:53:25.769 --> 00:53:30.470]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:53:30.650 --> 00:53:37.352]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:53:37.432 --> 00:53:44.514]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:53:44.614 --> 00:53:51.476]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:53:51.636 --> 00:53:55.977]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:53:56.117 --> 00:53:59.378]  Available in original or with our immune support infusion blend.
[00:53:59.498 --> 00:54:05.619]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:54:05.799 --> 00:54:07.520]  Available at Infowarslife.com.
[00:54:10.680 --> 00:54:15.821]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:54:16.481 --> 00:54:18.702]  Because there's a war on for your mind.
[00:54:30.128 --> 00:54:36.673]  Okay, we're going to get back to that point that Mr. Rawls got cut off on as we went to break, where I was asking the question about the military.
[00:54:37.914 --> 00:54:42.658]  And I'm not branding them as the heroes or anything, but these are people that have actually been in the real world on average.
[00:54:42.978 --> 00:54:44.860]  They know about the corruption, they know about the system.
[00:54:45.620 --> 00:54:49.644]  And that's always been the problem of dictators or oligarchies, is the security services turning against them.
[00:54:50.604 --> 00:54:52.006]  Look at Operation Valkyrie and Hitler.
[00:54:52.881 --> 00:54:55.862]  The problem is this is an oligarchy, it's a whole bunch of people, it's not one guy.
[00:54:55.882 --> 00:54:58.263]  So we're going to talk about that briefly, start the next hour.
[00:54:58.303 --> 00:54:59.023]  But here's an example.
[00:54:59.583 --> 00:55:06.665]  I get up Saturday, I see a headline, Muslim woman run over by right-wing nationalist in Molenbeek.
[00:55:07.925 --> 00:55:11.966]  And I read the article from the Daily Mail, and it never says who they are or they've been caught.
[00:55:11.986 --> 00:55:14.247]  I go, that doesn't sound right.
[00:55:14.287 --> 00:55:17.728]  That sounds like a false flag, because the radical Muslims are experts at this.
[00:55:18.108 --> 00:55:20.909]  She runs out, and it looks staged, and jumps in front of the car.
[00:55:24.292 --> 00:55:27.094]  Just like they, you know, staged the dead baby on the beach in Greece and all that.
[00:55:28.154 --> 00:55:28.975]  I go to the comments.
[00:55:29.015 --> 00:55:31.156]  Everybody's mad thinking we're the ones saying this.
[00:55:31.176 --> 00:55:33.737]  Well, go to our, go to our InfoWars and I'll show you.
[00:55:34.157 --> 00:55:34.638]  Horrific moment.
[00:55:34.698 --> 00:55:38.500]  Muslim woman is mowed down by grinning driver who then stops to take picture.
[00:55:39.100 --> 00:55:40.821]  During anti- Oh, they changed the headline.
[00:55:40.861 --> 00:55:41.722]  Look, when this came out.
[00:55:42.242 --> 00:55:43.082]  Ah, now.
[00:55:45.664 --> 00:55:46.124]  Right Bart.
[00:55:46.164 --> 00:55:49.626]  Molonbeek far right hit and run was Muslim on Muslim attack.
[00:55:55.296 --> 00:56:06.123]  A local drunk youth named Mohammed, hit and run by a Muslim woman in Mozambique this week, blamed on far-right anti-Islam demonstrators, was in fact perpetrated by an allegedly drunk local youth named Mohammed.
[00:56:06.743 --> 00:56:13.908]  So, I don't mean to just, you know, divert off, but it's this constant lying, and then saying German men raped the women in Cologne and all this.
[00:56:14.388 --> 00:56:15.869]  They're almost all military-age men.
[00:56:15.909 --> 00:56:16.909]  They invaded Syria.
[00:56:16.929 --> 00:56:17.570]  They're coming in.
[00:56:19.113 --> 00:56:20.094]  Now Europe's bringing him.
[00:56:20.114 --> 00:56:22.736]  We're going to talk about that at the start of the next hour with Mr. Rawls.
[00:56:22.756 --> 00:56:32.903]  But the time we have, sir, in this short segment, getting back to you in the next four minutes, specifically with my military question, what are they thinking when they say don't visit patriot sides?
[00:56:33.343 --> 00:56:35.865]  Don't, you know, George Washington's bad.
[00:56:35.905 --> 00:56:37.046]  The founding fathers are bad.
[00:56:37.186 --> 00:56:39.468]  They actually, as you know, teach the military that.
[00:56:39.728 --> 00:56:41.289]  That's actually woken the military up.
[00:56:41.569 --> 00:56:42.550]  What are the globalists thinking?
[00:56:43.752 --> 00:56:48.816]  Well, they're hoping that they can control the military, but the problem is...
[00:56:50.696 --> 00:57:04.824]  Even with a dumbed-down electorate, a dumbed-down populace that's reaching military age, even with that, people still have basic common sense and they can see what's going on in the world around them.
[00:57:05.565 --> 00:57:06.465]  They get curious.
[00:57:07.065 --> 00:57:08.666]  They now turn to the Internet.
[00:57:08.686 --> 00:57:14.170]  It used to be newsletters and magazines and that sort of thing, but they turn to the Internet to seek the truth.
[00:57:16.854 --> 00:57:30.501]  They're hoping that they can control access to that knowledge, to keep that knowledge out of the hands of the people that they want to have as their foot soldiers.
[00:57:31.581 --> 00:57:32.342]  It's not working.
[00:57:32.922 --> 00:57:44.168]  They tried firewalling more than a thousand Patriot websites at the Pentagon two years ago, and there was a quiet rebellion that went on.
[00:57:45.333 --> 00:58:04.143]  Where, first, people were saying, well, you can't firewall us, or if you firewall us, only firewall us during working hours, but we want to have unlimited internet access before working hours, on our lunch hour, and after work.
[00:58:04.163 --> 00:58:08.205]  And the IT staff at the Pentagon backed down.
[00:58:08.565 --> 00:58:09.726]  They actually relented.
[00:58:10.606 --> 00:58:16.629]  Because there were so many people at the Pentagon that were upset about this.
[00:58:16.689 --> 00:58:17.690]  And that's what I'm getting at.
[00:58:17.710 --> 00:58:23.313]  Don't they understand that when they tried to blacklist you and myself and others, that just made everybody come check out what we're saying.
[00:58:23.553 --> 00:58:26.455]  They hear we're telling the truth and it backfired, didn't it?
[00:58:26.815 --> 00:58:27.335]  Right.
[00:58:27.375 --> 00:58:32.198]  What happened was people were using VPN, virtual private networks, or
[00:58:32.978 --> 00:58:45.967]  Websurfing from at home or websurfing from wireless networks literally from their mobile devices in the parking lot of the Pentagon.
[00:58:46.007 --> 00:58:46.887]  This is so exciting.
[00:58:47.128 --> 00:58:47.508]  Stay there.
[00:58:47.748 --> 00:58:48.188]  Back in 70 seconds.
[00:58:48.208 --> 00:58:49.809]  This is a microcosm of everything.
[00:58:50.750 --> 00:58:51.971]  They're not invincible folks.
[00:58:51.991 --> 00:58:55.773]  The globalists can be defeated if you realize you have the power.
[00:58:55.814 --> 00:58:56.614]  You are the resistance.
[00:58:56.654 --> 00:58:56.914]  Back in 70.
[00:58:56.954 --> 00:58:57.675]  Stay with us.
[00:58:59.562 --> 00:59:02.984]  Thousands of years ago, there was a basic form of chivalry.
[00:59:03.345 --> 00:59:10.469]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:59:11.070 --> 00:59:19.455]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:59:19.675 --> 00:59:23.818]  But in the 21st century, there are silent weapons for quiet war.
[00:59:24.118 --> 00:59:29.462]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality.
[00:59:29.702 --> 00:59:33.525]  Turn off our hormones and accelerate our journey towards death.
[00:59:33.946 --> 00:59:37.028]  I personally counter this onslaught with AnthroPlex.
[00:59:37.348 --> 00:59:48.457]  AnthroPlex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:59:48.497 --> 00:59:51.179]  Discover why AnthroPlex is turning so many heads today.
[00:59:51.400 --> 00:59:57.464]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex.
[00:59:57.825 --> 00:59:58.045]  Life.
[01:00:01.930 --> 01:00:04.560]  You're listening to The Alex Jones Show.
[01:00:22.839 --> 01:00:24.941]  Waging war on corruption.
[01:00:25.461 --> 01:00:30.986]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:00:31.126 --> 01:00:37.192]  Alright, coming up...
[01:00:38.308 --> 01:00:44.498]  At about 24 after, we're going to start opening the phones up for the balance of the hour for James Wesley Rawls, our guest.
[01:00:44.518 --> 01:00:47.823]  Also want to hit a bunch of other news items with him and get his take on it.
[01:00:48.043 --> 01:00:49.245]  The toll-free number to join us is 800-259-9231.
[01:00:53.285 --> 01:00:53.365]  800-259-9231.
[01:00:53.465 --> 01:00:56.007]  That was a short segment.
[01:00:56.047 --> 01:00:57.028]  This is a short segment.
[01:00:57.088 --> 01:01:08.819]  In the long segment, we're going to get into the Caliphate, his latest novel, and what the next big shoot-and-drop in his brain is with the man that heads up SurvivalBlog.com, James Wesley Rawls.
[01:01:09.159 --> 01:01:12.662]  I'm Alex Jones of InfoWars.com and PrisonPlanet.com.
[01:01:14.044 --> 01:01:17.066]  But getting back to what you were just saying, to me this is key because
[01:01:18.203 --> 01:01:20.565]  I used to get mad at police and some of the police state stuff.
[01:01:20.586 --> 01:01:23.749]  I realize that's what they're being trained to do is we should change it above them.
[01:01:24.089 --> 01:01:25.170]  That's our political job.
[01:01:25.711 --> 01:01:29.194]  But on average, cops tend to be more awake to the general public.
[01:01:29.995 --> 01:01:35.640]  And some jurisdictions are very corrupt, but others are pretty good folks overall.
[01:01:36.581 --> 01:01:41.266]  And so that's why you've got the Black Lives Matter, the UN Strong Cities Initiative coming in to take over.
[01:01:41.286 --> 01:01:42.147]  I mean, it's actually happening.
[01:01:44.781 --> 01:01:47.223]  And so we also have the military even more awake.
[01:01:47.303 --> 01:01:51.185]  So they're saying the number one domestic enemy will be returning veterans and gun owners.
[01:01:51.505 --> 01:01:57.369]  Well, that woke up military training to take on domestic terrorists who they're being taught are themselves.
[01:01:58.029 --> 01:01:59.910]  So there's a major disconnect in the elites.
[01:01:59.970 --> 01:02:03.673]  And if they would have disconnects, like not realizing when you tell
[01:02:05.430 --> 01:02:11.274]  Marines and Army troops on bases across the country don't go to Infowars.com, but they're all going to go to Infowars.com.
[01:02:11.454 --> 01:02:21.941]  Or, when they get up there and badmouth the founders and Christians and gun owners and make the men wear red high-heeled shoes, that it's not demoralizing them, it's turning them against their controllers.
[01:02:22.501 --> 01:02:29.608]  I mean, you take a bunch of socialist engineers, give them ROTC merit, give them an officer's commission, stick them in the military.
[01:02:29.868 --> 01:02:32.290]  It's so alien, they've caused a total wake-up.
[01:02:32.410 --> 01:02:35.033]  I mean, I really see this as one of the biggest missteps ever.
[01:02:35.073 --> 01:02:36.775]  Go ahead, sir, and give me your view on that.
[01:02:38.416 --> 01:02:45.243]  We are in a situation where the controllers are losing control.
[01:02:46.792 --> 01:02:54.143]  Because there's so many different channels of media now available, they basically can't stop the signal.
[01:02:54.944 --> 01:02:56.326]  The truth is out there.
[01:02:56.727 --> 01:03:01.854]  It's people like you and bloggers and podcasters.
[01:03:03.297 --> 01:03:09.458]  And journalists, non-mainstream journalists, who are waking people up to the truth.
[01:03:10.279 --> 01:03:13.399]  And a lot of those people are in military organizations.
[01:03:14.260 --> 01:03:19.601]  They're people, as I mentioned before, at the Pentagon, for example.
[01:03:20.841 --> 01:03:23.542]  People who are on general staffs.
[01:03:24.102 --> 01:03:26.442]  People who are in military intelligence.
[01:03:26.502 --> 01:03:27.963]  And most people don't realize that
[01:03:28.871 --> 01:03:39.938]  There's as many people in military intelligence with the different military services as there are with the CIA and the NSA and the NRO, for example.
[01:03:59.672 --> 01:04:03.875]  Mutiny, but it's not mutiny because the military realizes the country's now been captured.
[01:04:04.756 --> 01:04:04.956]  Right.
[01:04:06.037 --> 01:04:13.423]  There's definitely different competing camps within the intelligence agencies and within the military.
[01:04:15.045 --> 01:04:22.231]  A lot of the really conservative libertarian and, you know, freedom-minded
[01:04:23.687 --> 01:04:30.872]  General officers were purged during the seven years of the Obama administration.
[01:04:31.873 --> 01:04:44.702]  But there's still a lot of people in the enlisted ranks, warrant officers, junior officers, and up into the field grade officers, who have a concept of American liberty.
[01:04:45.142 --> 01:04:47.324]  And they cannot quench that.
[01:04:47.384 --> 01:04:47.764]  They can't.
[01:04:50.750 --> 01:04:51.991]  They just can't put that fire out.
[01:04:52.011 --> 01:04:52.771]  This is the key to everything.
[01:04:52.791 --> 01:04:53.151]  Stay there.
[01:04:53.191 --> 01:04:54.953]  I want you to come back and speak to this at length.
[01:04:54.973 --> 01:04:55.893]  Then get into the Caliphate.
[01:04:56.154 --> 01:04:57.174]  Survivalblog.com.
[01:04:57.214 --> 01:04:57.835]  This is the key.
[01:04:58.715 --> 01:05:05.160]  They've already decapitated the federal government and brought in their operatives, but the people that actually run the military are still there and they're awake now.
[01:05:05.480 --> 01:05:06.301]  This is a key time.
[01:05:09.381 --> 01:05:13.122]  The globalist social engineers are not just targeting us with propaganda.
[01:05:13.262 --> 01:05:15.543]  They are manipulating our genetics.
[01:05:15.703 --> 01:05:24.085]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[01:05:24.345 --> 01:05:29.966]  The key is to be aware of this attack and to fight back against it after consulting top doctors, nutritionists,
[01:05:30.046 --> 01:05:45.749]  Pharmacist and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[01:05:45.969 --> 01:05:47.849]  I've always believed in nutrition and herbs.
[01:05:48.190 --> 01:05:55.751]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:05:56.131 --> 01:06:02.295]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[01:06:02.615 --> 01:06:09.560]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[01:06:09.840 --> 01:06:11.221]  Clean, pure drinking water.
[01:06:11.241 --> 01:06:12.802]  You can't survive without it.
[01:06:12.982 --> 01:06:13.882]  But where do you get it?
[01:06:14.182 --> 01:06:19.926]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[01:06:20.166 --> 01:06:25.910]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:06:26.070 --> 01:06:42.940]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:06:43.320 --> 01:06:45.460]  Filter capacity up to 5,000 gallons.
[01:06:45.820 --> 01:06:47.021]  Stainless steel construction.
[01:06:47.281 --> 01:06:47.961]  Easy assembly.
[01:06:48.321 --> 01:06:48.941]  Low maintenance.
[01:06:49.241 --> 01:06:51.061]  Replacement filters are simple to install.
[01:06:51.342 --> 01:06:58.443]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[01:06:58.603 --> 01:07:03.624]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[01:07:03.804 --> 01:07:06.364]  Go to InfowarsStore.com or call 888-253-3139.
[01:07:09.545 --> 01:07:10.965]  My name is Alex Jones.
[01:07:11.466 --> 01:07:17.387]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[01:07:17.607 --> 01:07:31.772]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running 6 miles every other day, swimming 2-3 miles a couple times a week, and lifting weights
[01:07:32.372 --> 01:07:34.292]  You're focusing on fighting the Globalist.
[01:07:34.692 --> 01:07:42.514]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[01:07:42.714 --> 01:07:49.796]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[01:07:50.136 --> 01:07:55.857]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[01:07:55.997 --> 01:08:02.178]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[01:08:02.418 --> 01:08:07.842]  Check him out today at Infowarslife.com or give our crew a call at 888-253-3139.
[01:08:08.062 --> 01:08:23.954]  He aligns himself with the truth, and it's time for you to choose a side.
[01:08:24.495 --> 01:08:26.856]  You're listening to Alex Jones.
[01:08:31.583 --> 01:08:40.427]  About 160 years ago, 165 years ago, the British crown was having trouble expanding and maintaining its empire.
[01:08:40.987 --> 01:08:48.450]  So they financed their top scientists, this is all in books that have been published at the time and since then, to come up with social engineering and social control.
[01:08:49.831 --> 01:08:57.754]  And to develop machines that could track and trace everyone and to develop cultural systems of what they called mind war.
[01:08:59.502 --> 01:09:02.603]  That was actually a British term, and then it was picked up by the Germans.
[01:09:03.063 --> 01:09:05.284]  It's what they called PSYOPS, or psychological warfare.
[01:09:08.225 --> 01:09:12.266]  But what happens when people in the endgame realize that they're the target of it as well?
[01:09:13.186 --> 01:09:15.687]  You see, globalism isn't just taken over because it's a better system.
[01:09:17.868 --> 01:09:19.228]  That would just take over by adoption.
[01:09:19.888 --> 01:09:20.348]  Free market.
[01:09:21.129 --> 01:09:23.089]  It's taking over to end all competition.
[01:09:23.249 --> 01:09:26.950]  It's taking over to end the family, to end our culture as you know it.
[01:09:27.290 --> 01:09:28.751]  Go read the book, Things to Come.
[01:09:32.702 --> 01:09:35.223]  Go see what the head of the Fabian Socialists said they were going to do.
[01:09:35.424 --> 01:09:38.045]  He wrote more non-fiction books than he wrote fiction.
[01:09:39.326 --> 01:09:42.427]  I've probably read seven or eight non-fiction books by H.G.
[01:09:42.447 --> 01:09:45.109]  Wells, and I'll be honest, I can't read any more of them.
[01:09:45.209 --> 01:09:48.671]  I used to read all their books and stuff, and Carol Quigley, and I already know their plan.
[01:09:49.031 --> 01:09:54.113]  It's really scary to actually read them saying it, and licking their lips and stuff.
[01:09:55.174 --> 01:09:57.515]  Folks, these people really don't like you, okay?
[01:09:59.468 --> 01:10:07.093]  You need to understand they're the same people that used the people of Ireland and Scotland and England who were strong to build their world tyranny.
[01:10:09.855 --> 01:10:15.559]  They were colonialized by the Romanian and Habsburg who weren't even really German.
[01:10:17.355 --> 01:10:23.837]  Criminals that had learned how to control the final spice trade coming in out of the Middle East, there in what's Transylvania today.
[01:10:24.617 --> 01:10:28.058]  And they perfected torture and political manipulation and really a lot of bad stuff.
[01:10:28.378 --> 01:10:33.999]  Not that Western Europe was perfect, but they brought all that in, they took over, and God help us, man.
[01:10:35.859 --> 01:10:42.021]  And notice, now the West gets the blame for what these people have used us to build for them.
[01:10:43.254 --> 01:10:44.695]  And they're now moving into their endgame.
[01:10:45.395 --> 01:10:48.216]  So here are terms like communist, fascist, socialist, those are all to confuse you.
[01:10:48.376 --> 01:10:54.038]  They're different forms of command and control that the elites want because they can manage command and control because it's centralized.
[01:10:54.338 --> 01:10:55.298]  Read Tragedy and Hope.
[01:10:55.358 --> 01:10:56.078]  We sell the book.
[01:10:56.959 --> 01:11:04.501]  Infowarsstore.com, back in print, written by this guy that published it so the State Department's own people could understand what they're doing.
[01:11:04.521 --> 01:11:06.982]  What, we fund communists and fascists and socialists?
[01:11:07.242 --> 01:11:08.963]  And we want dictators and we don't want freedom?
[01:11:10.282 --> 01:11:15.383]  And it's an 1100 page book explaining to them that none of this means anything, that we're taking over.
[01:11:16.023 --> 01:11:17.423]  And that we're the new British Empire.
[01:11:17.663 --> 01:11:19.644]  And that we know best, so just do it.
[01:11:20.584 --> 01:11:21.604]  And you'll be taken care of.
[01:11:24.385 --> 01:11:26.005]  They're so arrogant, they published it.
[01:11:26.725 --> 01:11:29.086]  People actually started reading it though, so they took it out of print.
[01:11:29.446 --> 01:11:30.426]  That's where this goes.
[01:11:30.806 --> 01:11:34.807]  James Wesley Rowles and I are not up here giving you our opinion.
[01:11:34.827 --> 01:11:35.787]  Do you understand that?
[01:11:37.199 --> 01:11:41.121]  The thousands of quotes, the statements, the admissions, it's far worse than I can tell you.
[01:11:41.501 --> 01:11:48.625]  Prince Philip, Prince Charles, constantly talking about how they want to kill everybody and bring in world government to forcibly inoculate you, you know, cancer, viruses.
[01:11:49.006 --> 01:11:50.306]  They mean business.
[01:11:53.708 --> 01:11:54.389]  They mean business.
[01:11:55.789 --> 01:11:58.531]  And the fact that some whacked out Transylvanian royalty
[01:12:00.580 --> 01:12:03.422]  He wants a world government to run your life.
