[00:00:04.574 --> 00:00:17.868]  Intruder alert!
[00:40:28.678 --> 00:40:30.138]  You're Russian agents.
[00:40:30.138 --> 00:40:31.599]  You're terrorists.
[00:40:31.599 --> 00:40:35.121]  You're a journalist that points out Obamacare isn't free.
[00:40:35.121 --> 00:40:37.182]  You can't keep your doctor.
[00:40:37.182 --> 00:40:39.824]  It was written by foreign insurance companies to screw you.
[00:40:39.824 --> 00:40:41.825]  There are penalties of $5,000 a year, up to.
[00:40:44.912 --> 00:40:46.153]  How do you counter that?
[00:40:46.153 --> 00:40:58.958]  Well, you have the supposed religious leader of the biggest single religious sect in the world, Catholicism, come out and tell you that you are a deplorable terrorist.
[00:40:58.958 --> 00:41:09.043]  And I have been listed by name, by Hillary Clinton, as a dark heart, quite frankly, king of the deplorables.
[00:41:09.043 --> 00:41:12.645]  You know what I'm the king of?
[00:41:12.645 --> 00:41:13.085]  Seeing you.
[00:41:14.642 --> 00:41:17.423]  I see you, okay?
[00:41:17.423 --> 00:41:18.863]  And I'm gonna tell you why.
[00:41:18.863 --> 00:41:19.943]  I'm a wicked person.
[00:41:19.943 --> 00:41:34.667]  I mean, my good overbalances, I love God, I go with God, but I've always been able to just read the wicked's handwriting better than they can read it.
[00:41:34.667 --> 00:41:36.768]  And now, there's no need to even be able to read their handwriting.
[00:41:36.768 --> 00:41:38.068]  It's running the world.
[00:41:38.068 --> 00:41:41.189]  I mean, this is a nice taste of a devil-run planet right here, baby.
[00:41:45.410 --> 00:41:47.751]  And I know the energies these people have given into.
[00:41:47.751 --> 00:41:52.932]  And I know where they take you.
[00:41:52.932 --> 00:41:59.033]  I haven't gone too far down the rabbit hole, but I've gone further than most that didn't succumb to it, let me tell you.
[00:41:59.033 --> 00:42:03.674]  I know what goes on inside their heads.
[00:42:03.674 --> 00:42:07.155]  It's a roar.
[00:42:07.155 --> 00:42:10.075]  Like a thousand jet engines.
[00:42:10.075 --> 00:42:12.576]  And it wants to kill this planet.
[00:42:16.411 --> 00:42:29.863]  They're hiring a kite, folks, on pit of hell, satanic rage.
[00:42:29.863 --> 00:42:32.565]  And they want to kill you and your family.
[00:42:32.565 --> 00:42:42.894]  And they want to first mutate every plant and every animal and have disease and pain and suffering and keep you alive through excruciating pain to milk it and imprison as many people as they can and just
[00:42:44.008 --> 00:42:51.952]  Just absolutely just mutilate and vandalize God's creation.
[00:42:51.952 --> 00:42:59.637]  In the words of the cartoon version of Aged Frelix, I want a you-know-what all over the Western world.
[00:42:59.637 --> 00:43:06.100]  And in the empty soulless mind of Carl the Cuck, oh yeah, that'd be great!
[00:43:06.100 --> 00:43:10.203]  Because they're big game hunters, folks.
[00:43:11.684 --> 00:43:14.907]  And they can mount America's head on the wall and teach us to be the engine of evil?
[00:43:14.907 --> 00:43:36.124]  It was Bismarck said... Bismarck said, God loves... God loves and gives providence to children, drunks, and the United States of America.
[00:43:37.577 --> 00:43:38.117]  Check me on that.
[00:43:38.117 --> 00:43:39.599]  I think that's Bismarck.
[00:43:39.599 --> 00:43:44.462]  This is Providence, the quote, God loves children, drunks, the United States of America.
[00:43:44.462 --> 00:43:44.962]  It's Bismarck.
[00:43:44.962 --> 00:43:47.144]  Pull it up for me, please.
[00:43:47.144 --> 00:43:52.708]  Unified Germany.
[00:43:52.708 --> 00:43:55.690]  God did love the United States of America.
[00:43:55.690 --> 00:43:57.191]  Because of the Providence.
[00:43:57.191 --> 00:43:58.712]  Because of the reason it was founded.
[00:43:58.712 --> 00:44:01.414]  And look how great it's been.
[00:44:01.414 --> 00:44:02.275]  Look how special it's been.
[00:44:02.275 --> 00:44:06.458]  And now we've been captured and used to build this satanic kingdom.
[00:44:09.252 --> 00:44:17.836]  And now it intends to rise above the nation states and lay all the other nation states down low below it.
[00:44:17.836 --> 00:44:27.041]  Tear everything apart and reconstruct the rubble in a new planet.
[00:44:27.041 --> 00:44:30.863]  That's what the high-level initiates believe they're going to get.
[00:44:30.863 --> 00:44:36.686]  But if they took one look into the energy force that's behind them, they would know this isn't
[00:44:41.465 --> 00:44:45.289]  Creative destruction.
[00:44:45.289 --> 00:44:49.312]  Because the devil is never a maker.
[00:44:49.312 --> 00:44:52.155]  The devil is a betrayer and a taker.
[00:44:55.523 --> 00:44:58.805]  I want to go to break, speaking of the devil being a taker and a betrayer.
[00:44:58.805 --> 00:45:10.812]  Obama looking for that poor black woman in Florida who said, I've got a car, we live in the car, we try to shower at the YMCA, but we just want like a little house and I work a couple jobs, but it just doesn't pay for it.
[00:45:10.812 --> 00:45:12.793]  So that's how they set up a society now.
[00:45:12.793 --> 00:45:15.675]  So you have to go to the government unless you break through to the middle class.
[00:45:17.486 --> 00:45:18.286]  He says, we're going to help you.
[00:45:18.286 --> 00:45:19.107]  We're going to get you that car.
[00:45:19.107 --> 00:45:21.108]  I mean, we're going to get you that house.
[00:45:21.108 --> 00:45:23.129]  Two years later, she didn't have anything.
[00:45:23.129 --> 00:45:26.890]  And local Patriot Christian conservatives got the lady a house and now she's doing well.
[00:45:26.890 --> 00:45:31.112]  Got out of the poverty cycle.
[00:45:31.112 --> 00:45:35.715]  Think of the PR stunt of some rich California donor or someone to come and help that poor old black lady.
[00:45:35.715 --> 00:45:38.216]  They don't want more people knocking on that door.
[00:45:38.216 --> 00:45:39.256]  They don't want to help you.
[00:45:39.256 --> 00:45:40.397]  They want to keep you down.
[00:45:47.998 --> 00:46:04.306]  George Soros only picks cases of rightful police shootings, so that he can cause a riot, cause division, and then create massive racism against black people, and scapegoat them for what's happening, at the same time as scapegoating the cops and local government.
[00:46:04.306 --> 00:46:15.451]  See, just like, just like Hillary, just like Hillary, and the emails came out, we knew this at the time, from our sources, Chicago Police,
[00:46:17.682 --> 00:46:24.009]  That they would send people in, bus them in, but it was Hillary who paid for it, it was MoveOn who paid for it, George Soros paid for it, that group.
[00:46:24.009 --> 00:46:29.195]  They'd send the buses in, they'd give them all Bernie shirts.
[00:46:29.195 --> 00:46:37.385]  And most of the Democrats were so dumb, they were getting paid 50 bucks a day plus lunch, and I'm told it's more pay now.
[00:46:38.530 --> 00:46:49.276]  There's folks bitching on tape about how low the pay is, and they tell them, they go typecast, find folks that are angry, they give them a Bernie shirt, they think they're even with the Bernie campaign, they don't check, move on, move on, oh that's with Bernie.
[00:46:49.276 --> 00:46:50.037]  Don't know.
[00:46:50.037 --> 00:46:51.157]  White, black, you name it.
[00:46:51.157 --> 00:46:54.359]  Just angry, you know, thugs.
[00:46:54.359 --> 00:47:01.944]  They dump them out, let's go fight the racists, they go attack the Trump people, the media claims Trump did it.
[00:47:01.944 --> 00:47:03.705]  This is full spectrum dominance, this is an example.
[00:47:04.591 --> 00:47:08.034]  But then Trump then comes out and blames Sanders and the media.
[00:47:08.034 --> 00:47:12.038]  So Sanders gets hurt in the eyes of Democrats, her competitor.
[00:47:12.038 --> 00:47:15.221]  Trump gets hurt in the general eyes of everybody.
[00:47:15.221 --> 00:47:17.623]  And in the eyes of Hillary supporters.
[00:47:17.623 --> 00:47:18.944]  Driving everyone to Hillary.
[00:47:18.944 --> 00:47:21.647]  Now that is a checkers level move.
[00:47:21.647 --> 00:47:24.169]  The public can't get that.
[00:47:24.169 --> 00:47:24.749]  We have the proof.
[00:47:25.785 --> 00:47:26.766]  They're beyond chess.
[00:47:26.766 --> 00:47:36.035]  They're three levels, folks, and you've got to be able to just project into it and then see their algorithms, see their changes, see their moves, and then the whole picture comes into frame.
[00:47:36.035 --> 00:47:41.139]  So quite frankly, usually when I'm here covering one article or this, my brain's over here thinking about the larger picture.
[00:47:41.900 --> 00:47:45.961]  Just wanting to come and give you the larger picture and just say, look, you've seen enough evidence.
[00:47:45.961 --> 00:47:48.741]  I mean, look, here's the Pope today saying, go after the free press.
[00:47:48.741 --> 00:47:51.462]  I mean, more hacked emails from Soros.
[00:47:51.462 --> 00:47:56.043]  You know, how to defend radical Muslims and keep the borders open and demonize, quote, anybody that's Islamophobic.
[00:47:56.043 --> 00:48:00.724]  I'm going to come back from break and play this Darren McBreen piece.
[00:48:00.724 --> 00:48:04.385]  I'm talking about devilish betrayal.
[00:48:04.385 --> 00:48:06.025]  Knowing that it would put
[00:48:07.898 --> 00:48:20.745]  Just what we estimated, economists estimated, 35 million people or more, I haven't checked in a year or so, have gone from full-time employment to part-time under Obamacare and then lost any benefits they had.
[00:48:20.745 --> 00:48:23.746]  By the way, employers want to pay people more.
[00:48:23.746 --> 00:48:25.747]  They want to find the really good employees.
[00:48:25.747 --> 00:48:29.169]  They want you to then be taken care of and want to stay there and then help find other people.
[00:48:29.169 --> 00:48:34.992]  So, once you get kicked out of full-time, you're never even seen as somebody that works there.
[00:48:34.992 --> 00:48:36.533]  So now, upward mobility has been
[00:48:38.036 --> 00:48:40.820]  35 million people, like that, went to part-time.
[00:48:40.820 --> 00:48:43.443]  You didn't get Obamacare.
[00:48:43.443 --> 00:48:48.510]  The prices of healthcare have more than doubled.
[00:48:48.510 --> 00:48:49.691]  That's on average.
[00:48:49.691 --> 00:48:52.355]  It's gone up even more for a lot of people.
[00:48:52.355 --> 00:48:53.196]  And there's penalties.
[00:48:55.851 --> 00:49:00.055]  And they sit up there and they look at you and they go, it's a lie.
[00:49:00.055 --> 00:49:07.381]  The same guy that thinks there's giant wasp under the UN building, Alex Jones, says that you can't keep your doctor and that there's death panels.
[00:49:07.381 --> 00:49:12.726]  And then she sits there with that little chicken neck and that short haircut and smacks her lips with her glassy eyes and goes, see?
[00:49:12.726 --> 00:49:13.506]  He's crazy.
[00:49:13.506 --> 00:49:14.327]  He's crazy.
[00:49:14.327 --> 00:49:15.448]  We have to find that clip.
[00:49:15.448 --> 00:49:20.853]  They say Obama's going to rip you off and there's death panels and there's penalties in the IRS.
[00:49:20.853 --> 00:49:23.215]  This is what goes on in the delusional mind of right-wing crazies.
[00:49:24.659 --> 00:49:27.961]  And she knows full well it's in there, but she's betraying you!
[00:49:27.961 --> 00:49:37.146]  Imagine how cold it is in those offices with a bunch of vampires, all like, fake, and all gen-peck each other on who's more liberal and that's not the proper language.
[00:49:37.146 --> 00:49:41.509]  They're the most unhappy people on Earth.
[00:49:41.509 --> 00:49:46.172]  Oh my God, thank God we're not these people!
[00:49:46.172 --> 00:49:49.474]  I mean, I'm sorry, they're just pure evil!
[00:49:49.474 --> 00:49:53.156]  And then, the penalties start kicking in.
[00:49:59.150 --> 00:50:00.230]  We're paying them right now!
[00:50:00.230 --> 00:50:02.151]  Because most of my crew doesn't even want them!
[00:50:02.151 --> 00:50:03.571]  Want Obamacare!
[00:50:03.571 --> 00:50:05.372]  And they just say, it doesn't exist!
[00:50:05.372 --> 00:50:06.452]  You're dehumanized!
[00:50:06.452 --> 00:50:07.372]  You never existed!
[00:50:07.372 --> 00:50:16.134]  I have employees walk to me and go, yeah, I guess we might as well get Obamacare, because even though I didn't get the right insurance, they're hitting me with $2,000, $3,000, $4,000, and I go, doesn't exist!
[00:50:16.134 --> 00:50:16.814]  Doesn't exist!
[00:50:16.814 --> 00:50:17.275]  Doesn't exist!
[00:50:20.478 --> 00:50:22.479]  Slappy in the face doesn't exist.
[00:50:22.479 --> 00:50:23.480]  That's the insult.
[00:50:23.480 --> 00:50:25.621]  They sit there and they always lecture.
[00:50:25.621 --> 00:50:27.102]  They're not using the right words.
[00:50:27.102 --> 00:50:27.682]  Blah, blah, blah.
[00:50:27.682 --> 00:50:28.783]  You need to use the right words.
[00:50:28.783 --> 00:50:30.784]  Listen, I need to plug.
[00:50:30.784 --> 00:50:32.165]  I need to not skip breaks.
[00:50:32.165 --> 00:50:35.046]  I need to fund this operation.
[00:50:35.046 --> 00:50:39.369]  We have free shipping in the store that ends today.
[00:50:39.369 --> 00:50:42.931]  We have the new probiotic that we believe is the best probiotic out there.
[00:50:42.931 --> 00:50:46.233]  Biome Defense, 23 active strains, 50 billion.
[00:50:48.257 --> 00:50:50.203]  Live in active cultures, InfoWarsLive.com.
[00:50:50.203 --> 00:50:51.907]  I'm not going to belabor this.
[00:50:51.907 --> 00:50:53.531]  You know this message is important.
[00:50:53.531 --> 00:50:55.777]  You know that the gut is under attack, and you know we don't...
[00:50:56.749 --> 00:50:58.150]  Don't ever BS anybody.
[00:50:58.150 --> 00:51:00.411]  This is a high quality product and it funds our operation.
[00:51:00.411 --> 00:51:00.992]  Infowarslive.com.
[00:51:00.992 --> 00:51:02.593]  Stay with us.
[00:51:02.593 --> 00:51:05.194]  Hunters, anglers, campers, and survivalists.
[00:51:05.194 --> 00:51:06.275]  Get back to nature.
[00:51:06.275 --> 00:51:13.459]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:51:13.459 --> 00:51:16.841]  Slingbow products are compact and models start from just $17.98.
[00:51:16.841 --> 00:51:20.324]  They're perfect for your bug out bag or storing in your vehicle.
[00:51:20.324 --> 00:51:24.166]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:51:24.446 --> 00:51:28.968]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:51:28.968 --> 00:51:32.189]  Feel the thrill only at slingbow.com.
[00:51:32.189 --> 00:51:34.069]  Fully cooked, ready to eat bacon.
[00:51:34.069 --> 00:51:37.290]  I'm talking thick, meaty, center cut, presidential bacon.
[00:51:37.290 --> 00:51:38.911]  Savory and delicious.
[00:51:38.911 --> 00:51:41.732]  I buy some, I use some, I store some.
[00:51:41.732 --> 00:51:42.132]  Awesome!
[00:51:42.392 --> 00:51:44.334]  Dude, what happened to your face?
[00:51:44.334 --> 00:51:44.614]  My razor.
[00:51:44.614 --> 00:51:46.255]  Trying to save money on blades.
[00:51:46.255 --> 00:51:47.657]  You should try Harry's.
[00:51:47.657 --> 00:51:48.017]  Harry's?
[00:52:08.274 --> 00:52:10.375]  I think I read an article in the journal about them.
[00:52:10.375 --> 00:52:14.277]  The two guys who started that company with its own factory in Germany?
[00:52:14.277 --> 00:52:14.898]  Right.
[00:52:14.898 --> 00:52:16.098]  And they sell online.
[00:52:16.098 --> 00:52:18.980]  Look, open a new tab and go to Harrys.com.
[00:52:18.980 --> 00:52:21.902]  See, you can get great quality razors at a fraction of the cost.
[00:52:21.902 --> 00:52:24.283]  Whoa, and those razors look so cool.
[00:52:24.283 --> 00:52:29.406]  These guys get you whatever you need to look and feel like you're ready for that promotion.
[00:52:29.406 --> 00:52:32.487]  So I could save money and look as good as me.
[00:52:35.020 --> 00:52:36.661]  Get a great shave with Harry's.
[00:52:36.661 --> 00:52:40.323]  With Harry's, you get a clean, smooth shave at a fraction of the cost.
[00:52:40.323 --> 00:52:43.965]  And because Harry's owns the factory, you never overpay.
[00:52:43.965 --> 00:52:45.105]  So what are you waiting for?
[00:52:45.105 --> 00:52:52.169]  Go to harrys.com right now and Harry's will send you a razor, one of their quality blades, shaving cream, and post-shave balm for free.
[00:52:52.169 --> 00:52:53.130]  Just cover shipping.
[00:52:53.130 --> 00:52:58.352]  Just go to harrys.com now and enter code 9191 at checkout to claim your gift.
[00:52:58.352 --> 00:53:00.033]  That's harrys.com, code 9191.
[00:53:01.514 --> 00:53:08.478]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[00:53:08.478 --> 00:53:13.460]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[00:53:13.460 --> 00:53:15.741]  No scare tactics, just common sense.
[00:53:15.741 --> 00:53:22.365]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[00:53:22.365 --> 00:53:27.367]  Learn more at BlockItPocket.com or call 888-315-9618.
[00:53:27.367 --> 00:53:30.569]  BlockItPocket.com, enhancing health and privacy.
[00:53:31.249 --> 00:53:32.630]  Are you prepared to bug out?
[00:53:32.630 --> 00:53:40.456]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:53:40.456 --> 00:53:42.557]  Skills you'll need when it hits the fan.
[00:53:42.557 --> 00:53:43.458]  Go to DrivenDVD.com.
[00:53:43.458 --> 00:53:44.079]  DrivenDVD.com.
[00:54:04.403 --> 00:54:10.007]  Here's Jeremy Green's report on the tax that Obama promised wasn't in the bill.
[00:54:10.007 --> 00:54:13.570]  And the media lied and said that it didn't exist, even though it did exist.
[00:54:13.570 --> 00:54:14.691]  That's how dumb they think we are.
[00:54:16.226 --> 00:54:21.690]  We will start by reducing premiums by as much as $2,500 per family.
[00:54:21.690 --> 00:54:28.415]  A system where we're going to work with your employers to lower your premiums by up to $2,500 per family per year.
[00:54:28.415 --> 00:54:36.862]  Here's what change is saying to people who already have health insurance and the employers who are providing it, we'll work to lower your premiums by up to $2,500 per family per year.
[00:54:38.863 --> 00:54:44.227]  I also have a health care plan that would save the average family $2,500 on their premiums.
[00:54:44.227 --> 00:54:52.012]  And if you already have health care, then we're going to reduce costs an average of $2,500 per family on premiums.
[00:54:52.012 --> 00:54:55.494]  It's time to bring down the typical family premium by $2,500.
[00:54:55.494 --> 00:54:59.297]  It's time to bring down the costs for the entire country.
[00:54:59.497 --> 00:55:04.042]  And we'll cut the cost of a typical family's health care by up to $2,500 per year.
[00:55:04.042 --> 00:55:12.210]  Well, internet pioneer Matt Drudge created a firestorm over the weekend tweeting, just paid the Obamacare penalty for not getting covered.
[00:55:12.210 --> 00:55:13.951]  I'm calling it a liberty tax.
[00:55:13.951 --> 00:55:18.856]  But a White House representative firing back tweeting, flat lie, no fee for previous years.
[00:55:18.856 --> 00:55:20.478]  Scary how much influence he once had.
[00:55:20.538 --> 00:55:33.046]  The Obama administration and the liberal media have told us again and again and again that there is no individual mandate that requires us to buy health insurance.
[00:55:33.046 --> 00:55:35.447]  If you don't want it, you don't have to buy it, right?
[00:55:35.447 --> 00:55:40.771]  But when tax season comes around, you better be ready to pay the price big time.
[00:55:40.771 --> 00:55:47.095]  And that's because if you don't have health insurance, there is a stiff penalty.
[00:55:47.375 --> 00:55:51.818]  Americans who don't buy health care coverage will face a heftier fine in 2016.
[00:55:51.818 --> 00:55:57.822]  There are 10.5 million uninsured Americans eligible for coverage under the Affordable Care Act.
[00:55:57.822 --> 00:56:05.627]  But the Obama administration expects only a quarter will sign up this year, even though those that don't could pay a higher penalty in their taxes.
[00:56:05.627 --> 00:56:06.547]  That's almost a 50% jump.
[00:56:07.688 --> 00:56:07.888]  I think.
[00:56:22.585 --> 00:56:36.656]  Now, new data from the IRS reveals that in 2014, over 8 million Americans paid a staggering $1.7 billion in Obamacare penalties.
[00:56:36.656 --> 00:56:42.560]  And we know that that number is expected to be even higher, much higher in 2015, 2016, and beyond.
[00:56:42.560 --> 00:56:46.163]  So let me get this straight.
[00:56:46.163 --> 00:56:49.966]  Obamacare was passed because people couldn't afford health insurance.
[00:56:50.546 --> 00:56:58.231]  But now, because of Obamacare, people are being heavily fined because they can't afford health insurance.
[00:56:58.231 --> 00:57:02.814]  Premiums are up and some people have decided they're not so affordable.
[00:57:02.814 --> 00:57:04.836]  Premiums have also increased.
[00:57:04.836 --> 00:57:07.698]  The cost of a mid-level plan is up an average of 7.5%.
[00:57:07.698 --> 00:57:09.239]  Way more than that.
[00:57:09.239 --> 00:57:13.001]  It's due in part because a number of companies have left the marketplace.
[00:57:13.001 --> 00:57:15.223]  Fewer insurers means less competition.
[00:57:15.723 --> 00:57:18.904]  No, I actually didn't know the penalty was that high.
[00:57:18.904 --> 00:57:26.247]  And if you own a business, chances are you too are getting effed over by Obamacare.
[00:57:26.247 --> 00:57:33.409]  First, the employer mandate, as you mentioned, kicks in for companies with 100 or more people and some of them are going to decide this may not be worth the cost.
[00:57:33.909 --> 00:57:42.035]  But even those with 50 to 99 people are going to have to make very detailed monthly statements in terms of getting ready for this thing.
[00:57:42.035 --> 00:57:45.717]  And companies with under 50 people are going to have some surprises.
[00:57:45.717 --> 00:57:50.040]  For example, if you own two small businesses, the federal government combines those.
[00:57:50.040 --> 00:57:53.443]  So you may be picked up by this even if you don't realize it yet.
[00:57:53.783 --> 00:58:00.147]  However, there is a light at the end of the tunnel, and his name is Donald Trump.
[00:58:00.147 --> 00:58:06.191]  And his plan for healthcare reform is easily accessible on his website, donaldtrump.com.
[00:58:06.191 --> 00:58:09.494]  It's all laid out in plain English for everyone to see.
[00:58:10.234 --> 00:58:23.840]  Economic and financial experts agree that it is, well it's a rock-solid plan to repeal the incredible economic burden of Obamacare once and for all.
[00:58:23.840 --> 00:58:25.721]  What's your plan for Obamacare?
[00:58:25.721 --> 00:58:28.382]  Obamacare is going to be repealed and replaced.
[00:58:28.382 --> 00:58:33.004]  I'm Darren McBreen and you can watch more reports right now at InfoWars.com
[00:58:34.164 --> 00:58:34.965]  Great job, Darren.
[00:58:34.965 --> 00:58:37.366]  Hour number two is only 70 seconds away.
[00:58:37.366 --> 00:58:41.828]  And again, the only other part that didn't get added is this massively increases the price of health care overall.
[00:58:41.828 --> 00:58:47.291]  Thank you for listening to GCN.
[00:58:47.291 --> 00:58:49.512]  Visit GCNlive.com today.
[00:58:52.481 --> 00:58:57.543]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:58:57.543 --> 00:59:06.385]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:59:06.385 --> 00:59:10.347]  Youngevity also offers you an ingenious way to augment your income.
[00:59:10.347 --> 00:59:11.127]  And the best part?
[00:59:11.127 --> 00:59:14.008]  You'll be helping your friends and family along the way.
[00:59:14.008 --> 00:59:16.628]  Visit InfoWarsTeam.com today.
[00:59:16.628 --> 00:59:17.409]  Become a member.
[00:59:17.409 --> 00:59:21.470]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:59:21.670 --> 00:59:28.414]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:59:28.414 --> 00:59:29.374]  Another win-win.
[00:59:29.374 --> 00:59:33.117]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:59:33.117 --> 00:59:34.357]  And you can be too.
[00:59:34.357 --> 00:59:34.898]  It's simple.
[00:59:34.898 --> 00:59:37.839]  Just go to Infowarsteam.com today.
[00:59:37.839 --> 00:59:39.941]  Complete a short sign-up and you're part of the team.
[00:59:39.941 --> 00:59:43.202]  That's Infowarsteam.com or Infowarshealth.com.
[00:59:43.202 --> 00:59:49.506]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:59:49.506 --> 00:59:50.807]  Check it out for yourself today.
[00:59:54.941 --> 01:00:05.493]  You're listening to the Alex Jones Show.
[01:00:05.493 --> 01:00:07.335]  We are on the march.
[01:00:07.335 --> 01:00:10.499]  The empire is on the run.
[01:00:10.499 --> 01:00:14.103]  Alex Jones and the GCN Radio Network.
[01:00:22.455 --> 01:00:34.999]  By the way, this came out a few weeks ago, and I haven't really covered it yet, just because I don't see a person that actually dedicates most of their time to trying to destroy me.
[01:00:34.999 --> 01:00:39.021]  I mean, he's obsessed with me probably more than anybody else but Drudge or Trump.
[01:00:39.021 --> 01:00:48.944]  And that's Mr. Brock over at Media Matters, former transition chief for Obama, who is over there heading up things.
[01:00:52.694 --> 01:00:53.775]  I mean, I have a blind spot.
[01:00:53.775 --> 01:00:58.057]  I mean, I don't really just care about, you know, one particular spider.
[01:00:58.057 --> 01:00:59.558]  I want to get the whole nest.
[01:00:59.558 --> 01:01:05.101]  But it's been pointed out to me by folks in the office and others, why aren't you covering this David Brock thing?
[01:01:05.101 --> 01:01:06.802]  Well, we've now had time to research it deeply.
[01:01:06.802 --> 01:01:09.123]  It's worse than what was even being reported.
[01:01:09.123 --> 01:01:12.845]  Clinton shill David Brock caught laundering money is the headline.
[01:01:12.845 --> 01:01:14.586]  Media Matters founder exposed.
[01:01:14.586 --> 01:01:16.187]  Pretty hardcore.
[01:01:16.187 --> 01:01:17.627]  And it's a very accurate
[01:01:19.784 --> 01:01:22.626]  Owen Schroyer, latest addition to the InfoWars.com.
[01:01:22.626 --> 01:01:23.507]  A blessing to have him here.
[01:01:23.507 --> 01:01:25.048]  He's doing a great job on here.
[01:01:25.048 --> 01:01:27.590]  It really augments and fits in nice to the rest of the crew.
[01:01:27.590 --> 01:01:29.171]  He's going to be joining us at the bottom of the hour.
[01:01:29.171 --> 01:01:32.493]  We have a special report on that.
[01:01:32.493 --> 01:01:36.036]  But this is just like the Clinton Foundation or the Global Clinton Initiative or any of it.
[01:01:36.036 --> 01:01:38.878]  This is a criminal enterprise.
[01:01:38.878 --> 01:01:41.780]  And they violate the laws on quote tax-exempt groups.
[01:01:41.780 --> 01:01:43.902]  That's only the surface of it.
[01:01:45.072 --> 01:01:51.837]  I remember the memo that came out five years ago in Politico where they said, we're going to infiltrate right-wing alternative media.
[01:01:51.837 --> 01:01:52.998]  We're going to bring them down.
[01:01:52.998 --> 01:01:54.899]  And you've seen that with Fox News.
[01:01:54.899 --> 01:01:58.502]  I mean, they're not playing games.
[01:01:58.502 --> 01:02:06.968]  And I love the little fake pretentious hair that sticks up eight inches above his head and all hair sprayed to make it look like he's got some giant brain.
[01:02:06.968 --> 01:02:11.091]  I mean, why not just wear a big alien skullcap like your Mars attacks?
[01:02:13.131 --> 01:02:16.492]  These people are all such delicate geniuses, but you gotta try to have a conversation with them.
[01:02:16.492 --> 01:02:18.232]  They're just a bunch of rats.
[01:02:18.232 --> 01:02:20.072]  They're not even good at propaganda.
[01:02:20.072 --> 01:02:23.533]  I mean, I can tell you right now, these people are a joke.
[01:02:23.533 --> 01:02:27.094]  The Daily Beast even asked, can anyone ever truly trust David Brock?
[01:02:27.094 --> 01:02:33.595]  See, they're getting ready to flush that little, uh, that little floater.
[01:02:33.595 --> 01:02:39.216]  That floater is, uh, you know, I think they might carve him off and throw him to the wolves.
[01:02:39.216 --> 01:02:40.636]  He just has that look about him, doesn't he?
[01:02:44.070 --> 01:02:46.791]  There's gotta be some treats, you know, after all this.
[01:02:46.791 --> 01:02:52.272]  Whether Hillary loses or wins or steals it, there's gonna have to be some treats.
[01:02:52.272 --> 01:03:03.595]  The American snacks, the American people want to see somebody burned for all this corruption.
[01:03:03.595 --> 01:03:08.717]  It just popped in my head, popped in my gut, just popped into my spirit.
[01:03:08.717 --> 01:03:12.558]  And I think the expiration date on old Brocky Boy is just about up.
[01:03:14.557 --> 01:03:17.219]  And I don't say that with pleasure.
[01:03:17.219 --> 01:03:24.563]  That's why I had men on my radar screen lie about me, twist, attack me on a daily basis.
[01:03:24.563 --> 01:03:26.404]  And again, Media Matters doesn't have a lot of traffic.
[01:03:26.404 --> 01:03:36.730]  It's a small news site, you know, talking point memo from the White House and the Clintons and Soros admittedly funds it and out of that nest.
[01:03:36.730 --> 01:03:42.094]  But then it's regurgitated on what's left of the cable news system.
[01:03:42.990 --> 01:03:44.491]  I mean, word for word.
[01:03:44.491 --> 01:03:57.722]  In fact, we saw the propaganda that Roger Stone's the Russian spy and all this stuff yesterday on C-SPAN with the FBI director being asked by Adler.
[01:03:57.722 --> 01:03:59.003]  I don't attack fat people.
[01:03:59.003 --> 01:03:59.764]  I've been fat before.
[01:04:01.069 --> 01:04:06.770]  You know, it's like Roger Stone said, if he says, you know, I'm involved in treason, I'm gonna sue his fat ass.
[01:04:06.770 --> 01:04:13.852]  You gotta wonder how Adler is so old and still alive, because if you see him walking around, folks, he is, looks like he weighs 600 pounds.
[01:04:13.852 --> 01:04:20.953]  And I'm not attacking him for being fat, I'm just saying it's weird, like the good guy young, he's threatening Adler.
[01:04:20.953 --> 01:04:24.294]  No I'm not, I'm asking, how on earth
[01:04:29.690 --> 01:04:42.604]  Can you like have somebody like my dad's dad who was like a Golden Gloves boxing champion like six foot four and looked like a movie star and was pretty damn healthy and went on you know 10 mile walks almost every day and then his whole aorta blew up out of the top of his heart I guess it's just genetic.
