[00:00:04.676 --> 00:00:05.897]  It's October 30th, 2016.
[00:24:17.964 --> 00:24:21.166]  I'm the immoral person that's right 99% of the time.
[00:24:21.166 --> 00:24:27.230]  I'm the person that just can't roll over and be unconscious and watch pure evil carried out.
[00:24:27.230 --> 00:24:30.553]  But if you're in a world of evil, it sees you as bad.
[00:24:30.553 --> 00:24:33.254]  And I'm beginning to realize this is your planet.
[00:24:33.254 --> 00:24:36.897]  It's what you want and you want to be part of it.
[00:24:36.897 --> 00:24:38.258]  And so you're going to get hurt real bad.
[00:24:39.428 --> 00:24:40.229]  What am I talking about?
[00:24:40.229 --> 00:24:57.885]  The other worldliness that every major vaccine insert for every major vaccine says it can cause neurological disorders, epilepsy, Guillain-Barre, narcolism, on and on and on.
[00:24:57.885 --> 00:25:02.369]  It can eat your pancreas and give you permanent pancreatitis and give you type 1 diabetes.
[00:25:02.369 --> 00:25:03.630]  They'll tell you that's quote genetic.
[00:25:03.630 --> 00:25:04.851]  Well, hell yeah, they eat your pancreas.
[00:25:07.898 --> 00:25:11.162]  Smoke five packs of cigarettes a day, you'll probably get lung cancer, too.
[00:25:11.162 --> 00:25:21.615]  The point is, I know it's no mystery that we've gone from one in thirty-something thousand kids with autism to now one in fifty-something.
[00:25:21.615 --> 00:25:23.097]  I know our IQs are dropping.
[00:25:23.097 --> 00:25:24.579]  I know brain tumors are up.
[00:25:24.579 --> 00:25:26.641]  I was driving back from Houston this weekend, down there doing work.
[00:25:27.372 --> 00:25:31.955]  And I saw billboards everywhere about, this doctor specializes in children's brain tumors!
[00:25:31.955 --> 00:25:35.578]  This doctor specializes in children's lung tumors!
[00:25:35.578 --> 00:25:40.342]  Because see, you're 50, 60, 70, you get that stuff, you're not going to spend your whole family's money.
[00:25:40.342 --> 00:25:43.504]  They know with your kids, you'll give everything you got for them.
[00:25:43.504 --> 00:25:52.071]  And so, there's all the big billboards, nothing about why it's happening, nothing about why pediatric cancer, 55 years ago, was maybe 1 in 10 million.
[00:25:53.456 --> 00:25:58.498]  Doctors would get on airplanes and fly across the country to see a child with cancer.
[00:25:58.498 --> 00:25:59.178]  Period.
[00:25:59.178 --> 00:26:01.038]  It did not exist.
[00:26:01.038 --> 00:26:06.340]  It was like finding a ten-leafed clover.
[00:26:06.340 --> 00:26:16.343]  Now, you walk down your street for about an hour, you'll walk by kids outside playing with the chemotherapy injectors on their chest, their hair out, all preparing to die.
[00:26:17.273 --> 00:26:18.894]  I have the government documents.
[00:26:18.894 --> 00:26:20.434]  I have the soft kill data.
[00:26:20.434 --> 00:26:21.275]  I've published it.
[00:26:21.275 --> 00:26:29.399]  I've made films that have been seen 20 million times, like Endgame, where they sit there and admit they're putting cancer viruses in your vaccines.
[00:26:29.399 --> 00:26:31.139]  They sit there and they admit all this.
[00:26:31.139 --> 00:26:36.622]  They know full well that all major vaccines are linked to Guillain-Barre and cause it.
[00:26:36.622 --> 00:26:45.206]  And then they sit there in the LA Times and the New York Times and go, gee, we don't know why hundreds of kids in LA alone, just since school started,
[00:26:46.607 --> 00:26:48.589]  Suddenly can't walk!
[00:26:48.589 --> 00:26:50.650]  Or a brain dead!
[00:26:50.650 --> 00:26:57.896]  Gee, first their hands, it says in the article, first their hands got numb, then their feet, then their legs, then they couldn't walk, then they couldn't move!
[00:26:57.896 --> 00:26:59.057]  Then some of them died!
[00:26:59.057 --> 00:26:59.918]  Gee, what's that?
[00:26:59.918 --> 00:27:07.263]  The doctors go, jeepers, creepers, we don't know, it's a neurological disorder in the Guillain-Barré spectrum!
[00:27:07.263 --> 00:27:10.266]  They know, the vaccine insert says it.
[00:27:10.266 --> 00:27:12.568]  They're trying to pass a law in Congress, this Congress,
[00:27:13.248 --> 00:27:20.791]  To remove any advice in the vaccines period on the inserts, so you won't even be told that.
[00:27:20.791 --> 00:27:22.692]  We got copies, we saved them though, don't worry.
[00:27:22.692 --> 00:27:28.715]  There'll come a time we'll be arrested for telling you though, when you're wondering why everyone around you is dying, everyone around you is falling apart.
[00:27:28.715 --> 00:27:32.456]  So, here's why I'm pissed off.
[00:27:32.456 --> 00:27:37.959]  I put out that video that's got 4 or 5 million views, maybe more about nuclear war, it's very important.
[00:27:38.697 --> 00:27:39.397]  Very powerful.
[00:27:39.397 --> 00:27:43.079]  It's the most powerful ad of this season, undoubtedly.
[00:27:43.079 --> 00:27:44.600]  So truth-based.
[00:27:44.600 --> 00:27:50.524]  And it's got, again, 2.3 million on one platform, 5 million or so, maybe more, on all the other platforms.
[00:27:50.524 --> 00:27:54.626]  Now, you go to YouTube, and you also go to Facebook, and look!
[00:27:56.584 --> 00:27:59.245]  Mystery of Paralyzed and Dying Children Discovered!
[00:27:59.245 --> 00:28:03.967]  Because the LA Times had the headline, Mystery, Hundreds of Children Becoming Paralyzed.
[00:28:03.967 --> 00:28:11.630]  They changed the headline, I guess it was too interesting to, Her Toddler Suddenly Paralyzed, Mother Tries to Solve a Vexing Medical Mystery with Hundreds of Other Parents.
[00:28:11.630 --> 00:28:12.931]  In LA.
[00:28:12.931 --> 00:28:15.672]  LA Times.
[00:28:15.672 --> 00:28:17.713]  35,000 views since I put that up here.
[00:28:17.713 --> 00:28:19.113]  It used to be 10 million.
[00:28:19.113 --> 00:28:21.574]  We would save every kid in this country.
[00:28:21.574 --> 00:28:23.395]  But see, no one cares.
[00:28:23.395 --> 00:28:25.056]  They're not tied into it like you are the election.
[00:28:26.616 --> 00:28:32.804]  You bring this down, you'll bring the whole shadow government down behind it that's doing this on purpose, and I have all the documents.
[00:28:32.804 --> 00:28:34.246]  You might want to watch my film, Endgame.
[00:28:34.246 --> 00:28:35.308]  So of course I'm angry.
[00:28:35.308 --> 00:28:36.249]  Of course I'm upset.
[00:28:36.249 --> 00:28:37.210]  I'm normal!
[00:28:37.210 --> 00:28:41.015]  I'm not a psychotic killer!
[00:28:41.015 --> 00:28:43.919]  So $35,000 right there, and then we have articles in there from previous interviews with nurses.
[00:28:45.089 --> 00:28:45.589]  Hospital.
[00:28:45.589 --> 00:28:47.491]  Vaccine is causing babies to stop breathing.
[00:28:47.491 --> 00:28:48.572]  They've already gone public.
[00:28:48.572 --> 00:28:49.413]  They know.
[00:28:49.413 --> 00:28:50.894]  All the nurses and doctors know.
[00:28:50.894 --> 00:28:53.476]  They're told they'll be fired if they tell you to keep giving the shot.
[00:28:53.476 --> 00:28:56.859]  The few kids that die is better for everybody else for the greater good.
[00:28:56.859 --> 00:28:58.220]  But the vaccine doesn't even help you.
[00:28:58.220 --> 00:28:59.521]  It's a mass secret program.
[00:29:08.644 --> 00:29:13.088]  A CBS Chicago investigation finds dead people voting in Chicago.
[00:29:13.088 --> 00:29:17.813]  Susie Sally died in 1998, but voted in Chicago 12 years later.
[00:29:17.813 --> 00:29:20.435]  Victor Croswalk died in 1994.
[00:29:20.435 --> 00:29:22.177]  He's voted six times since.
[00:29:22.177 --> 00:29:27.562]  Floyd Stevens passed in 1993, but records have him showing up to the polls 11 times since then.
[00:29:27.802 --> 00:29:39.168]  Earl Smith, Tedesco Siesla are also amongst the 119 deceased voters that have cast ballots a total of 229 times in Chicago over the last decade.
[00:29:39.168 --> 00:29:40.769]  May they rest in peace.
[00:29:40.769 --> 00:29:45.332]  Jim Allen, a city election board spokesperson said, this isn't the bad old days.
[00:29:45.672 --> 00:29:50.017]  No, I guess it's the good new days where you can get away with election fraud.
[00:29:50.017 --> 00:29:55.282]  So CBS has now reported finding dead voters in Chicago, Denver, and Los Angeles.
[00:29:55.282 --> 00:29:56.043]  Where next?
[00:29:56.043 --> 00:29:58.065]  This is Owen Troyer for InfoWars.com.
[00:30:01.477 --> 00:30:05.639]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:30:05.639 --> 00:30:13.102]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:30:13.102 --> 00:30:24.146]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:30:24.546 --> 00:30:32.371]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[00:30:32.371 --> 00:30:41.697]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:30:42.017 --> 00:30:46.462]  This formula is the platinum standard of multivitamin mineral products.
[00:30:46.462 --> 00:30:53.530]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:30:53.530 --> 00:30:55.011]  That means it's clean.
[00:30:55.011 --> 00:30:56.173]  That means it's pure.
[00:30:56.173 --> 00:30:59.076]  That's infowarslife.com and Vitamin Mineral Fusion.
[00:30:59.076 --> 00:31:00.758]  Take action now before we sell out.
[00:31:01.098 --> 00:31:01.918]  Hey, everyone.
[00:31:01.918 --> 00:31:04.219]  Pharmacist Ben Fuchs here, host of The Bright Side.
[00:31:04.219 --> 00:31:08.041]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[00:31:08.041 --> 00:31:10.122]  You've all heard the shocking statistics.
[00:31:10.122 --> 00:31:20.406]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[00:31:20.406 --> 00:31:26.389]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[00:31:26.849 --> 00:31:41.766]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[00:31:41.826 --> 00:31:42.386]  I think so.
[00:32:00.842 --> 00:32:10.188]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[00:32:10.188 --> 00:32:21.255]  The potential for power grid chaos, EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[00:32:21.255 --> 00:32:24.177]  My friends, chaos is already here, and it's going to get a lot worse.
[00:32:24.437 --> 00:32:30.501]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[00:32:30.501 --> 00:32:34.423]  Now I've got the perfect power solar generator system at my house.
[00:32:34.423 --> 00:32:36.304]  The Solutions from Science system.
[00:32:36.304 --> 00:32:38.805]  Simply put, this thing is amazing.
[00:32:38.805 --> 00:32:41.307]  Solutions from Science only makes the best equipment.
[00:32:41.307 --> 00:32:44.068]  Go to powergridchaos.com.
[00:32:44.068 --> 00:32:47.110]  That's powergridchaos.com to check it out.
[00:32:47.110 --> 00:32:48.191]  Now this is key.
[00:32:48.191 --> 00:32:49.431]  Right now, get 70% off
[00:32:50.492 --> 00:32:53.793]  They're top-of-the-line perfect power solar generator.
[00:32:53.793 --> 00:32:55.774]  This is the one I use in my home.
[00:32:55.774 --> 00:33:05.058]  Go to powergridchaos.com and get 70% off.
[00:33:05.058 --> 00:33:07.739]  You're listening to the Alex Jones Show.
[00:33:22.494 --> 00:33:27.136]  This is our land.
[00:33:27.136 --> 00:33:30.437]  These are our people.
[00:33:30.437 --> 00:33:31.178]  The workers.
[00:33:32.355 --> 00:33:34.456]  The answer to 1984 is 1776.
[00:34:02.235 --> 00:34:06.918]  You're listening to the Alex Jones Show!
[00:34:06.918 --> 00:34:15.542]  Alright, I'm going to spend the rest of the broadcast, my hour and a half, exclusively on the huge Hillary Clinton revelations, every angle of it, and the inside intel we've got.
[00:34:15.542 --> 00:34:24.606]  We're going to do that in just a moment, but the reason I get angry is, I have empathy for everybody.
[00:34:24.606 --> 00:34:27.828]  I know about medical tyranny, I know about the Soviet Union and Nazi Germany.
[00:34:28.720 --> 00:34:32.082]  David Glenn, they were giving people inoculations that add compounds to it.
[00:34:32.082 --> 00:34:34.724]  The same thing was done with the Tuskegee.
[00:34:34.724 --> 00:34:40.168]  Black folks in Alabama, over 45 years being given vaccines full of live syphilis.
[00:34:40.168 --> 00:34:42.149]  My grandmother got polio from the polio vaccine.
[00:34:42.149 --> 00:34:43.450]  They told her that.
[00:34:43.450 --> 00:34:45.171]  Almost killed her.
[00:34:45.171 --> 00:34:49.494]  She's 91 years old today and is in a wheelchair, but been in a wheelchair since the 50s.
[00:34:49.494 --> 00:34:52.756]  Now, that said, everybody knows vaccines hurt people.
[00:34:52.756 --> 00:34:54.237]  Everybody knows about the, quote, side effects.
[00:34:55.569 --> 00:35:06.296]  Now they've ratcheted up how many they give to where there's all these neurological problems, kids getting paralyzed everywhere, and they won't even give the people treatment because they don't want to admit it's the medical system doing it.
[00:35:06.296 --> 00:35:11.179]  And in the video I filed yesterday, I can't even take off a day, I'm not complaining, this is what I want to do!
[00:35:11.179 --> 00:35:11.980]  I'm crazed!
[00:35:11.980 --> 00:35:17.143]  I saw pregnant women walking around with their husbands and I come up and say, have they told you to take shots?
[00:35:18.462 --> 00:35:20.143]  They'd say, yeah, but I've heard it's bad.
[00:35:20.143 --> 00:35:20.683]  I'm like, don't.
[00:35:20.683 --> 00:35:22.123]  The husband's like, yeah.
[00:35:22.123 --> 00:35:23.604]  I see another pregnant lady.
[00:35:23.604 --> 00:35:24.724]  I do it in grocery stores.
[00:35:24.724 --> 00:35:26.685]  My kids see a pregnant lady in a grocery store.
[00:35:26.685 --> 00:35:28.366]  They go, oh, dad.
[00:35:28.366 --> 00:35:28.986]  They don't anymore.
[00:35:28.986 --> 00:35:30.166]  Now they start telling them.
[00:35:30.166 --> 00:35:32.047]  I'm a normal person.
[00:35:32.047 --> 00:35:35.408]  Until five years ago, they said, don't give a pregnant woman a vaccine.
[00:35:35.408 --> 00:35:39.350]  It can cause brain damage, deformities, or it can cause a miscarriage in the first trimester.
[00:35:39.950 --> 00:35:42.311]  Every medical doctor would tell you that.
[00:35:42.311 --> 00:35:43.772]  Everything is directed by insurance companies.
[00:35:43.772 --> 00:35:46.313]  They say, no, you know what, it's a good thing, do it.
[00:35:46.313 --> 00:35:48.334]  And infant mortality is going way up.
[00:35:48.334 --> 00:35:50.875]  We've got the worst infant mortality in the industrialized world.
[00:35:50.875 --> 00:35:54.777]  We had the best after Sweden until 20 years ago.
[00:35:54.777 --> 00:35:55.678]  We are being hit.
[00:35:57.170 --> 00:36:12.318]  And when I see the news, why, oh CBS News, oh why, LA Times, oh these kids are dying and can't walk and all of a sudden they're three or four years old, suddenly they can't walk and then they stop breathing and they die?
[00:36:12.318 --> 00:36:18.361]  I've had the nurses on, my other reporters have, we've had the doctors, the whistleblowers on, in fact, come already, contact us.
[00:36:18.361 --> 00:36:22.183]  They tell them, get ready to give all the preemies their vaccines, they go, but that'll, they stop breathing?
[00:36:22.183 --> 00:36:24.264]  They go, just, we're gonna have to kill them, it's an order.
[00:36:25.265 --> 00:36:29.406]  It's an order by the bioethics board, by the company that owns us.
[00:36:29.406 --> 00:36:31.526]  It's a directive.
[00:36:31.526 --> 00:36:33.167]  And then what's, how about a cult?
[00:36:33.167 --> 00:36:37.407]  They then give them the shots, get the respirators ready, and put them on respirators.
[00:36:37.407 --> 00:36:41.368]  I mean, I have the interviews with the eyewitnesses.
[00:36:41.368 --> 00:36:45.449]  This is the insanity we're already going through in this country.
[00:36:45.449 --> 00:36:49.110]  Just like I told you the NSA was keyword data, minding everything you do.
[00:36:49.110 --> 00:36:50.410]  All declassified, all public.
[00:36:51.032 --> 00:36:58.837]  Just like I told you about all the whistleblowers, and I told you about how secretly the border was wide open, and they were already legalizing people two years before it was in the news.
[00:36:58.837 --> 00:37:00.238]  I know what I'm talking about.
[00:37:00.238 --> 00:37:04.882]  I don't say that to beat my chest and go, I'm smart.
[00:37:04.882 --> 00:37:11.366]  The inserts of the vaccine say it'll give you paralyzed limbs a good portion of the time.
[00:37:11.366 --> 00:37:16.610]  And as they increase the vaccines, as they increase the number, it's going to happen.
[00:37:17.383 --> 00:37:28.550]  Now he's with us until 20 minutes in the next hour, then Roger Stone joins us, former head of the Trump campaign, to break down huge developments with what's happening with Hillary.
[00:37:28.550 --> 00:37:30.471]  This story is giant.
[00:37:30.471 --> 00:37:32.352]  WikiLeaks proved what we already knew.
[00:37:32.352 --> 00:37:33.673]  They're running the mainstream media.
[00:37:35.353 --> 00:37:39.256]  They're running secret emails with Obama, and he's been caught.
[00:37:39.256 --> 00:37:41.477]  That's the big bombshell last Monday.
[00:37:41.477 --> 00:37:46.781]  That's why the FBI's in full mutiny, the people that are good in there, because it's open and shut, they should go to jail.
[00:37:46.781 --> 00:38:01.372]  Now this new investigation comes out, so Comey, there's a lot of reasons, there's a lot of calculus here, but so Comey can now look okay if Trump still gets in and prosecution begins, he won't be the guy that got reversed.
[00:38:02.438 --> 00:38:16.843]  So Hillary is legitimately blowing up and freaking out demonizing Comey, even though she knows his law firm does her taxes, they're big buddies with the Clintons and Loretta Lynch, that this is basically a red herring investigation.
[00:38:16.843 --> 00:38:30.788]  Though it is tied to some other secret emails and does show they lied, it diverts us off of the President, POTUS, who's been caught in the WikiLeaks and his staff members and her staff members coming out
[00:38:32.020 --> 00:38:38.323]  And saying, ladies and gentlemen, that they had to, quote, cover this up.
[00:38:38.323 --> 00:38:40.424]  Now let's go to DrudgeReport.com right now.
[00:38:40.424 --> 00:38:44.766]  We have one of the vaunted, incredibly rare, red and blue sirens.
[00:38:44.766 --> 00:38:48.467]  Wall Street Journal, FBI found 6,500 emails on laptop.
[00:38:48.467 --> 00:38:49.748]  That was my next point.
[00:38:49.748 --> 00:38:51.689]  I filed a report earlier today detailing this.
[00:38:52.369 --> 00:39:03.921]  When I say the emails and the devices and the phone in the Wiener investigation is not a complete red herring, that's because they say it connects to a bunch of other data.
[00:39:03.921 --> 00:39:04.022]  650,000.
[00:39:04.022 --> 00:39:07.725]  Now is that how they're going to claim they got this instead of the NSA?
[00:39:07.725 --> 00:39:11.990]  Because look, WikiLeaks has the emails of 33,000.
[00:39:11.990 --> 00:39:13.111]  They're out there.
[00:39:13.111 --> 00:39:14.433]  They're getting ready to come out this week.
[00:39:15.885 --> 00:39:23.391]  Now the FBI says they just found 6,006, let's put that back on screen, 650,000 emails.
[00:39:23.391 --> 00:39:30.497]  That number is so big, it's hard to even imagine.
[00:39:30.497 --> 00:39:34.200]  So my friends, we're going to be deciphering all of this today as we go.
[00:39:36.852 --> 00:39:40.293]  We're going to be looking at every angle of this throughout the week.
[00:39:40.293 --> 00:39:42.794]  We're going to be breaking it all down.
[00:39:42.794 --> 00:39:47.376]  And we're going to be broadcasting not just the normal four hours a day from 12 noon to 4 p.m.
[00:39:47.376 --> 00:39:47.736]  Eastern.
[00:39:47.736 --> 00:39:51.978]  We're going to be broadcasting with expanded live transmissions at 7 o'clock each night.
[00:39:51.978 --> 00:39:54.699]  It's not just our hour news, but expanded.
[00:39:54.699 --> 00:40:04.543]  And we're going to broadcast for 50 plus hours starting not this Monday, but next Monday, right through Tuesday, right through Wednesday, because there's so many angles to this.
[00:40:05.970 --> 00:40:08.711]  What happens if Hillary tries to steal it?
[00:40:08.711 --> 00:40:12.453]  Now, Larry Nichols was a former consummate insider with the Clintons.
[00:40:12.453 --> 00:40:14.454]  He's one of the main Inquirer sources.
[00:40:14.454 --> 00:40:16.876]  He got us the head of the Inquirer on last week.
[00:40:16.876 --> 00:40:18.717]  He has broken so much on this.
[00:40:18.717 --> 00:40:20.698]  He just heard my analysis.
[00:40:20.698 --> 00:40:27.421]  I want to see if that concurs with the intel he's getting, which I know goes to the highest level in the land.
[00:40:27.421 --> 00:40:29.302]  So, thank you for joining us, Larry Nichols.
[00:40:31.445 --> 00:40:31.605]  Good.
[00:40:31.605 --> 00:40:34.027]  I know you're battling cancer yourself and are in the hospital right now.
[00:40:34.027 --> 00:40:36.469]  You don't want to get into that, but we're all praying for you, Larry.
[00:40:36.469 --> 00:40:37.470]  We've got three minutes to break.
[00:40:37.470 --> 00:40:38.991]  You'll have the floor when we come back.
[00:40:38.991 --> 00:40:41.534]  Break down your latest information.
[00:40:41.534 --> 00:40:43.996]  Well, let me just say to everybody, be careful.
[00:40:43.996 --> 00:40:45.117]  You were exactly right.
[00:40:45.117 --> 00:40:47.819]  Watch out about this new batch.
[00:40:47.819 --> 00:40:51.162]  And I will tell you what I couldn't tell you yesterday, Alex.
[00:40:51.162 --> 00:40:57.067]  The part of the FBI that were the informants that leaked the story to the Wall Street Journal.
[00:40:57.944 --> 00:41:02.967]  Or some of the same people that I talked with last night and this morning.
[00:41:02.967 --> 00:41:10.131]  And what they're telling, Alex, could change the dynamic of this entire race.
[00:41:10.131 --> 00:41:19.036]  Well, let's start getting into that because you said to me last night and this morning that, hey, they're diverting us with this Wiener stuff because they're about to release something even bigger.
[00:41:19.036 --> 00:41:21.037]  So flesh this out for me.
[00:41:21.037 --> 00:41:26.680]  Well, what's happening, number one, is Hillary was faced with the fact that the WikiLeaks
[00:41:27.598 --> 00:41:39.083]  Everyone knows was getting more and more and what's-his-name Assad's promise that as we got closer to the election that they were going to get, you know, bigger stories essentially.
[00:41:39.083 --> 00:41:41.584]  They were going to drop bigger bombshells.
[00:41:41.584 --> 00:41:46.046]  The Clintons have seen in the past week the wear that that's had on them.
[00:41:46.046 --> 00:41:51.968]  That plus the, you know, when you add that to the healthcare fiasco.
[00:41:51.968 --> 00:41:57.090]  So the one thing that they've done to help defuse that
[00:41:58.570 --> 00:42:05.396]  They can't stop WikiLeaks, but Alex, what they're attempting to do is divert attention from it.
[00:42:05.396 --> 00:42:24.954]  They're trying to suck all the oxygen, get all of the media, everyone, including Trump, including all of us, the people that are for Trump, get us looking for the magic bullet in this new batch of emails, when in fact,
[00:42:26.334 --> 00:42:27.615]  Let me give you an example.
[00:42:27.615 --> 00:42:35.360]  Hillary spent two, three years sledgehammering computers so that the emails could not be found, right?
[00:42:35.360 --> 00:42:38.242]  And all of a sudden this time, what does Hillary do?
[00:42:38.242 --> 00:42:39.102]  She wants them released.
[00:42:39.102 --> 00:42:39.743]  Let me stop you.
[00:42:39.743 --> 00:42:40.923]  We're coming right back.
[00:42:40.923 --> 00:42:42.585]  Drudge has the headline, FBI found...
[00:42:43.898 --> 00:42:44.959]  650,000 emails now.
[00:42:44.959 --> 00:42:45.720]  That's from today.
[00:42:45.720 --> 00:42:47.161]  That broke five minutes ago.
[00:42:47.161 --> 00:42:48.201]  Infowars.com.
[00:42:48.201 --> 00:42:50.163]  Look at my headline last night.
[00:42:50.163 --> 00:42:54.346]  Exclusive FBI mutiny reopened Clinton investigation.
[00:42:54.346 --> 00:42:57.228]  That was from Larry Nichols, one part of my source.
[00:42:57.228 --> 00:42:58.709]  I then called my federal sources.
[00:42:58.709 --> 00:42:59.990]  They said exactly what Larry told me.
[00:43:00.490 --> 00:43:00.990]  Not a group.
[00:43:00.990 --> 00:43:02.451]  You developed Living Defense for us.
[00:43:02.451 --> 00:43:03.752]  It took you over a year to do it.
[00:43:03.752 --> 00:43:04.972]  Why is this so good?
[00:43:04.972 --> 00:43:10.255]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:43:10.255 --> 00:43:23.801]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:43:23.801 --> 00:43:25.162]  Right now with all the refugees,
[00:43:25.942 --> 00:43:27.584]  Uh, spreading disease around.
[00:43:27.584 --> 00:43:30.167]  We have biological warfare going on everywhere.
[00:43:30.167 --> 00:43:31.469]  These are all parasites.
[00:43:31.469 --> 00:43:32.570]  Tell us about all the stuff it says.
[00:43:32.570 --> 00:43:33.932]  There's so many things that are in it.
[00:43:33.932 --> 00:43:38.417]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:43:38.417 --> 00:43:41.561]  I recommend doing a parasite cleanse at least twice a year.
[00:43:41.681 --> 00:43:44.724]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:43:44.724 --> 00:43:45.785]  It just came back in yesterday.
[00:43:45.785 --> 00:43:47.727]  Living Defense, Infowarslife.com.
[00:43:47.727 --> 00:43:48.748]  And folks, you can't lose.
[00:43:48.748 --> 00:43:51.451]  It's full of stuff that's great for your body, period.
[00:43:51.451 --> 00:43:54.714]  And you support the broadcast, Infowarslife.com.
[00:43:54.714 --> 00:43:56.956]  Thank you, Dr. Group from the Global Healing Center.
[00:43:56.956 --> 00:43:58.918]  Thank you so much for all your work, sir, on this great product.
[00:44:00.347 --> 00:44:02.389]  Brainforce, it's completely different.
[00:44:02.389 --> 00:44:03.610]  Try a bottle of it.
[00:44:03.610 --> 00:44:05.211]  Rob Dew joins us.
[00:44:05.211 --> 00:44:08.314]  You worked, I guess, like 20 plus hours.
[00:44:08.314 --> 00:44:09.415]  Tell us what Brainforce did.
[00:44:09.415 --> 00:44:10.376]  I've been working all day.
[00:44:10.376 --> 00:44:12.858]  I took a couple hours off coaching basketball.
[00:44:12.858 --> 00:44:14.279]  I get in here at 830.
[00:44:14.279 --> 00:44:15.841]  I was kind of run down.
[00:44:16.161 --> 00:44:18.102]  You know, I just didn't feel like I was gonna make it.
[00:44:18.102 --> 00:44:20.002]  And I really wanted to do a good job on the interview.
[00:44:20.002 --> 00:44:21.822]  I got my bottle of Brain Force right there.
[00:44:21.822 --> 00:44:22.883]  I popped two of them.
[00:44:22.883 --> 00:44:25.143]  And about 20 minutes later, it's like, bing!
[00:44:25.143 --> 00:44:26.944]  Everything just kind of clears up.
[00:44:26.944 --> 00:44:28.604]  It's got four and a half stars.
[00:44:28.604 --> 00:44:29.945]  People really love it.
[00:44:29.945 --> 00:44:30.545]  Read about it.
[00:44:30.545 --> 00:44:34.366]  Find out why third-party nutraceutical sites give it such high praise.
[00:44:34.366 --> 00:44:39.647]  Because it really does have the best organic-based systems that will blow your socks off.
[00:44:39.847 --> 00:44:43.870]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:44:43.870 --> 00:44:50.033]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:44:50.033 --> 00:44:55.957]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:45:01.258 --> 00:45:05.280]  There was a mighty nation, blessed above all of creation.
[00:45:05.280 --> 00:45:06.400]  Charlie Daniels.
[00:45:06.400 --> 00:45:08.261]  He's always loved America.
[00:45:08.261 --> 00:45:10.062]  He's always defended the Second Amendment.
[00:45:10.062 --> 00:45:12.903]  Let me just read a little thing here from Agenda 21.
[00:45:12.903 --> 00:45:17.085]  The American system of justice must be changed to conform to the rest of the world.
[00:45:17.085 --> 00:45:21.026]  Individual rights will have to take a back seat to the collected.
[00:45:21.026 --> 00:45:23.027]  Well, you know what the next move's gonna be, don't you?
[00:45:23.027 --> 00:45:24.588]  It's gonna be coming after you, Gunn.
[00:45:24.588 --> 00:45:25.388]  Oh, yeah.
[00:45:25.388 --> 00:45:26.969]  I tell you, it ain't gonna sit well down my way.
[00:45:27.509 --> 00:45:28.470]  At all.
[00:45:28.470 --> 00:45:29.531]  It ain't gonna sit well.
[00:45:29.531 --> 00:45:31.713]  Do you ever wonder what happened to America?
[00:45:31.713 --> 00:45:32.894]  It's time to ride, boys.
[00:45:32.894 --> 00:45:34.876]  We need a thousand Paula beers.
[00:45:34.876 --> 00:45:40.941]  When I was a boy, it was okay to be proud of the flag, heritage, mom, and apple pie.
[00:45:40.941 --> 00:45:42.823]  And beef was for supper.
[00:45:43.523 --> 00:45:46.145]  Revelation, dawn of global government.
[00:45:46.145 --> 00:45:47.826]  Theatrical screenings on demand.
[00:45:47.826 --> 00:45:49.508]  DVDs now available.
[00:45:49.508 --> 00:45:53.891]  Starring Alex Jones, Charlie Daniels, Special Ops General Jerry Boykin.
