[00:00:00.370 --> 00:00:03.884]  And your support is helping us defend liberty worldwide.
[00:40:08.692 --> 00:40:16.998]  DNA Force Plus is back in stock, but we rushed this in because it's been sold out for months and the new labeling isn't done.
[00:40:18.359 --> 00:40:23.063]  So it will not say plus, it will just note that it has another key enzyme
[00:40:24.264 --> 00:40:24.444]  I think?
[00:40:41.303 --> 00:40:49.930]  Again, an all-new ultra-strength version of DNA Force is back in stock at M4Horselife.com with a new powerful ingredient for the same price as original DNA Force.
[00:40:49.970 --> 00:40:52.112]  Read about the new ingredient at M4Horselife.com.
[00:40:52.392 --> 00:40:56.715]  DNA Force has been sold out for months and we expect to quickly sell out of its limited shipment.
[00:40:56.935 --> 00:41:05.923]  DNA Force is loaded with the patented Bio-PQQ with a huge dose of that, which is backed by 175 clinical studies and extremely hard to secure.
[00:41:05.943 --> 00:41:06.983]  It's like $12,000 to $14,000 a kilo for us.
[00:41:09.105 --> 00:41:21.034]  This patented ingredient in DNA Force contains more potent antioxidant activity than vitamin C, something like 400 cartons of blueberries, and has been associated with nerve growth factor.
[00:41:21.775 --> 00:41:22.676]  It's way beyond that.
[00:41:22.716 --> 00:41:25.018]  We're just not even going to say what we're allowed to say.
[00:41:25.298 --> 00:41:26.198]  Go research it for yourself.
[00:41:27.880 --> 00:41:34.005]  Look, there's a reason why just one ingredient in DNA Force causes and costs so much money.
[00:41:35.078 --> 00:41:39.863]  I say 12 to 14,000 a kilo, but it's like over 2 kilos a batch, so it's $30,000 per batch.
[00:41:40.284 --> 00:41:45.169]  DNA Force is extremely hard to produce, and when we run out, we are often out of stock for months.
[00:41:45.289 --> 00:41:49.413]  Visit InfoWarsLife.com and get the all-new DNA Force at InfoWarsLife.com.
[00:41:51.812 --> 00:41:55.618]  Again, that's DNA Force, ladies and gentlemen, at InfoWarsLife.com.
[00:41:56.639 --> 00:42:05.573]  Also, it will sell out by the end of the day and only be available for folks that already signed up for AutoShip, where you get 10% off at InfoWarsStore.com or InfoWarsLife.com.
[00:42:06.889 --> 00:42:08.750]  You also get free shipping on orders above $50.
[00:42:08.910 --> 00:42:11.372]  That is quite a discount as well.
[00:42:12.092 --> 00:42:24.779]  The Vitamin Mineral Fusion drink with all the amino acids that we've come out with, that's completely natural and just absolutely pure and clean and healthy and the highest quality, two years in development, massively absorbable.
[00:42:25.259 --> 00:42:27.781]  You've got to give this to your husband, your wife, your children.
[00:42:28.361 --> 00:42:29.642]  It's just so amazing.
[00:42:30.302 --> 00:42:32.724]  I think it's really a two-month container.
[00:42:32.784 --> 00:42:36.266]  It's a one-month container, reportedly, because it's so strong and so sweet.
[00:42:37.146 --> 00:42:37.947]  It's just amazing.
[00:42:38.027 --> 00:42:41.070]  Infowarslife.com, Infowarsstore.com.
[00:42:41.651 --> 00:42:44.253]  And again, you can sign up for AutoShip even after it sells out today.
[00:42:44.273 --> 00:42:59.247]  We're going to hold back some for folks that sign up for AutoShip and you'll be able to basically always get any product we have if you sign up for AutoShip because we know it's budgeted in that you're going to be buying it at least one more time so we can afford to hold it back.
[00:42:59.688 --> 00:43:01.690]  We can't afford to have a bunch of inventory sitting around here.
[00:43:02.987 --> 00:43:14.853]  And these products are so hard to make, so clean, so pure, so ridiculously high quality, because we want to pass California standards that are basically made to not be able to pass.
[00:43:15.053 --> 00:43:17.054]  It's very hard to pass them, which we do.
[00:43:18.055 --> 00:43:20.957]  So that's why it's hard to keep these type of products in stock.
[00:43:21.177 --> 00:43:27.780]  We want to thank you all for your support as well, but take advantage of the Vitamin Mineral Fusion that's now back in stock for a limited time.
[00:43:27.880 --> 00:43:30.722]  DNA Force, now back in stock for a limited time.
[00:43:31.733 --> 00:43:36.379]  Also, please do not forget that we're Lister-supported.
[00:43:36.399 --> 00:43:38.202]  We're not like mainstream media.
[00:43:38.402 --> 00:43:43.108]  It's not just NPR, but NBC, MSNBC, and others have gotten billions in taxpayer money.
[00:43:43.428 --> 00:43:45.872]  We are funded simply by selling high-quality products.
[00:43:47.446 --> 00:43:51.307]  And people liking them and using them and wanting to support what we're doing.
[00:43:51.327 --> 00:43:54.068]  So I want to thank you all for your support and you make it all possible.
[00:43:54.428 --> 00:43:57.049]  Please support our local affiliates, AM and FM as well.
[00:43:57.589 --> 00:44:00.850]  Become a sponsor, support their sponsors, let them know you're supporting them.
[00:44:01.330 --> 00:44:05.891]  Put an ad on Craigslist, an ad in the paper, put up a billboard for the show or the station.
[00:44:06.492 --> 00:44:07.132]  We're all in.
[00:44:07.172 --> 00:44:08.232]  These stations are all in.
[00:44:08.392 --> 00:44:08.932]  I'm all in.
[00:44:08.972 --> 00:44:09.833]  This is a war.
[00:44:10.453 --> 00:44:13.874]  Money and energy must be spent in a war or we'll lose everything.
[00:44:14.616 --> 00:44:15.777]  There's not a choice in my view.
[00:44:16.017 --> 00:44:16.918]  And a lot of you know that.
[00:44:17.038 --> 00:44:17.798]  And I want to thank you.
[00:44:18.719 --> 00:44:19.900]  But others are on the fence.
[00:44:20.620 --> 00:44:22.201]  Liberty is not a spectator sport.
[00:44:22.261 --> 00:44:23.342]  This is for all the marbles.
[00:44:23.622 --> 00:44:26.584]  There's no longer any doubt that we're being dominated and taken over.
[00:44:27.745 --> 00:44:30.587]  It's a natural instinct to want to resist this tyranny and say no.
[00:44:30.707 --> 00:44:32.148]  And I know you want to stand up.
[00:44:32.188 --> 00:44:34.530]  So I'm saying let's redouble our efforts together.
[00:44:36.211 --> 00:44:42.115]  And let's pray for God to give us guidance to direct us in what we should do and to ask for providence.
[00:44:43.356 --> 00:44:44.637]  That's not mumbo-jumbo, folks.
[00:44:44.697 --> 00:44:45.477]  History shows it.
[00:44:45.777 --> 00:44:46.938]  My life, I've experienced it.
[00:44:47.438 --> 00:44:48.679]  Ask God for providence.
[00:44:49.159 --> 00:44:50.680]  Ask God to make you a leader.
[00:44:51.080 --> 00:44:54.702]  Ask God to help you be straight and strong and have understanding.
[00:44:56.603 --> 00:45:02.306]  And if you do it from a pure heart and not searching for power, God will give you those opportunities.
[00:45:02.366 --> 00:45:04.167]  It'll start popping up in your face every day.
[00:45:05.208 --> 00:45:06.969]  It's amazing.
[00:45:08.209 --> 00:45:10.411]  But it's gotta be for the right reason with a pure heart.
[00:45:11.231 --> 00:45:12.332]  And you gotta be ready
[00:45:13.558 --> 00:45:14.418]  To be persecuted.
[00:45:15.599 --> 00:45:22.282]  But I'm telling you, you, with a cheerful face, go up against the persecution, one door closes, five other doors open.
[00:45:22.422 --> 00:45:23.903]  It is amazing.
[00:45:24.283 --> 00:45:26.384]  And you'll be fulfilled within yourself.
[00:45:26.844 --> 00:45:30.126]  You'll never get fulfilled with Madison Avenue and Wall Street and the world.
[00:45:30.426 --> 00:45:39.310]  That's why the more worldly you get, the more you'll want, because nothing will quench your thirst like being a good human who loves God and loves God's creation and is trying to help others.
[00:45:40.609 --> 00:45:43.471]  Now, all I'm offering is the truth, as they say in the Matrix, nothing more.
[00:45:44.351 --> 00:45:50.995]  You have to understand that with discernment comes great sorrow, but it's a sweet sorrow.
[00:45:53.497 --> 00:45:58.159]  But I'm telling you, people have made a decision to be spiritually blind, culturally blind.
[00:45:58.179 --> 00:46:00.661]  They've decided to not know what's happening.
[00:46:00.961 --> 00:46:02.282]  It's totally in your face now.
[00:46:03.083 --> 00:46:13.347]  You start admitting things of yourself, you start opening your eyes up to a wider world, the universe is going to flash into view like a hidden image that was always there.
[00:46:17.248 --> 00:46:22.130]  Empowerment and fulfillment is waiting for you, but you've got to open the door.
[00:46:23.430 --> 00:46:26.791]  God comes knocking, but it's free will.
[00:46:27.612 --> 00:46:28.352]  You've got to open the door.
[00:46:29.667 --> 00:46:34.940]  The world and this satanic system sneaks up, tries to take your free will, tries to deceive you.
[00:46:34.960 --> 00:46:38.488]  And I'll tell you the Faustian truth here.
[00:46:39.949 --> 00:46:43.170]  It's a lie that it's never too late to turn back.
[00:46:44.111 --> 00:46:48.233]  As long as you want to turn back and have that thought, it means you're not totally committed to evil.
[00:46:48.733 --> 00:46:55.416]  You can go so far with free will as totally committing, locking the door, throwing away the key, and deciding you want to be evil.
[00:46:56.016 --> 00:46:56.996]  That's the ultimate sin.
[00:46:57.336 --> 00:47:06.300]  Knowledge of good, knowledge of God's promise, knowledge of what you could do, knowledge of experiencing the Holy Spirit, and all the understanding that comes with it.
[00:47:07.141 --> 00:47:07.761]  Downloading.
[00:47:10.069 --> 00:47:12.550]  A little spark of God into your soul.
[00:47:13.771 --> 00:47:19.274]  You experience that and then you reject it and say, I know you are.
[00:47:19.414 --> 00:47:20.374]  I know you're real.
[00:47:20.754 --> 00:47:21.375]  I know it.
[00:47:21.895 --> 00:47:23.316]  And I choose to go this way.
[00:47:25.057 --> 00:47:26.637]  God doesn't damn you to hell.
[00:47:27.038 --> 00:47:29.639]  You make the decision to flip that switch yourself.
[00:47:31.140 --> 00:47:35.622]  You're the one that gets in the elevator and says, take me to the bottom instead of take me to the top.
[00:47:38.660 --> 00:47:48.344]  And when you get asked to go to the top, you open up on that high rise, in a metaphysical way, and a big old helicopter comes right down and lands, and it's a next level.
[00:47:48.364 --> 00:47:49.444]  You ready to get on the helicopter?
[00:47:49.664 --> 00:47:51.105]  And then you get taken to a mountaintop.
[00:47:52.185 --> 00:47:53.026]  And it goes from there.
[00:47:53.586 --> 00:47:54.426]  Up, up, up.
[00:47:55.067 --> 00:47:56.067]  In, through, and beyond.
[00:47:56.507 --> 00:47:57.307]  Are you ready?
[00:47:57.588 --> 00:47:58.508]  Can you handle it?
[00:48:00.189 --> 00:48:05.511]  Or do you want your God to be sports, and mainstream movies, and TV, and all this empty crap?
[00:48:06.931 --> 00:48:08.332]  That question is up to you.
[00:48:09.972 --> 00:48:13.413]  If you're ready to be fulfilled, you're not going to find it in these establishment churches.
[00:48:14.393 --> 00:48:26.716]  But you're going to find it in admitting that God's real and that Jesus Christ was God in the flesh to experience what his creations were going through with a message to humanity.
[00:48:27.576 --> 00:48:30.456]  That's why the whole world hates real Christians and hates that message.
[00:48:31.517 --> 00:48:32.697]  And the Pharisees hate it.
[00:48:33.922 --> 00:48:37.783]  Because they've twisted it and it's all meant to deceive you and destroy you.
[00:48:38.003 --> 00:48:38.844]  I'm sorry I'm preaching.
[00:48:38.864 --> 00:48:39.964]  I'm going to stop right there.
[00:48:40.344 --> 00:48:51.068]  And when I preach, it's not on some moral high ground that I'm the perfect guy and boy, I'm a good boy and I waited until I got married to have sex and I never smoked a marijuana cigarette and all that bull.
[00:48:54.019 --> 00:48:59.562]  When I get up here and tell you what I've experienced, it isn't to make me feel big like I'm some high priest and you're lowly.
[00:48:59.722 --> 00:49:02.464]  You gotta come to me for empowerment and enlightenment.
[00:49:03.165 --> 00:49:04.665]  No, you gotta go to God for that.
[00:49:05.806 --> 00:49:07.487]  And that's what these devil churches hate.
[00:49:11.770 --> 00:49:14.471]  They're there to make you feel guilty and to serve them.
[00:49:16.453 --> 00:49:17.613]  They've become the accuser.
[00:49:18.053 --> 00:49:19.174]  They've become the deceiver.
[00:49:19.614 --> 00:49:20.275]  Alright, I'm gonna stop.
[00:49:22.605 --> 00:49:25.467]  Look, Trump lost in Wisconsin by a lot of points.
[00:49:25.507 --> 00:49:26.308]  We knew that was coming.
[00:49:27.109 --> 00:49:28.730]  They put their whole power against him.
[00:49:29.710 --> 00:49:45.141]  With all the establishment people that listen to every talk radio show, the Republican system, and the Republican machine, and the Democrat machine, and all the rest of it, to say that if he didn't win Wisconsin, he'll lose the rest of the country, to create a mind control perception that he's going down.
[00:49:46.302 --> 00:49:50.425]  And if the public buys into that, it just shows one more time, they can fool people
[00:49:52.745 --> 00:49:54.186]  Into, quote, wanting to bet on the winner.
[00:49:54.527 --> 00:50:01.593]  Just like Bernie Sanders was winning early states, Hillary just stole the delegates, created the perception he couldn't win, so that then she would start winning.
[00:50:01.613 --> 00:50:07.298]  But she's so unpopular, she's starting to lose again, so they're saying, well, we'll just take, you know, his delegates at the convention.
[00:50:07.918 --> 00:50:09.480]  And Trump's way ahead still as well.
[00:50:09.540 --> 00:50:18.588]  He's going to win California, he's going to win New York, he's still going to win by a massive portion, but they're creating the idea that it's okay for John Kasich to get it.
[00:50:19.804 --> 00:50:21.185]  Or maybe somebody with no delegates.
[00:50:21.565 --> 00:50:22.585]  That's what they're all saying.
[00:50:22.905 --> 00:50:23.666]  I have those clips.
[00:50:24.926 --> 00:50:30.569]  When we come back, Obama scolds Donald Trump on cutting off remittances to Mexico.
[00:50:32.990 --> 00:50:36.132]  You want to come here, bring our money in with no tariff, bring it back down to Mexico?
[00:50:36.712 --> 00:50:45.656]  If Mexico doesn't stop dumping their poor and their criminals on us, we are going to basically come after you.
[00:50:47.799 --> 00:50:48.982]  And going to tax you.
[00:50:49.704 --> 00:50:52.390]  We'll be back on the other side, ladies and gentlemen.
[00:50:52.711 --> 00:50:55.216]  Donald Trump responds to that the angriest I've seen him.
[00:50:55.657 --> 00:50:56.399]  I'm Alex Jones.
[00:50:56.459 --> 00:50:57.702]  This is the InfoWar.
[00:51:03.177 --> 00:51:05.579]  You're listening to Alex Jones.
[00:51:06.400 --> 00:51:15.428]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:51:15.488 --> 00:51:23.575]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:51:23.875 --> 00:51:28.577]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:51:28.757 --> 00:51:35.479]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:51:35.539 --> 00:51:42.622]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:51:42.722 --> 00:51:49.584]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:51:49.744 --> 00:51:54.088]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:51:54.228 --> 00:51:57.491]  Available in original or with our immune support infusion blend.
[00:51:57.611 --> 00:52:03.736]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:52:03.916 --> 00:52:06.138]  Available at Infowarslife.com.
[00:52:06.298 --> 00:52:07.679]  Clean, pure drinking water.
[00:52:07.940 --> 00:52:09.261]  You can't survive without it.
[00:52:09.441 --> 00:52:10.362]  But where do you get it?
[00:52:10.622 --> 00:52:16.387]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:52:16.627 --> 00:52:22.353]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:52:22.533 --> 00:52:39.390]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:52:39.790 --> 00:52:41.911]  Filter capacity up to 5,000 gallons.
[00:52:42.271 --> 00:52:43.471]  Stainless steel construction.
[00:52:43.731 --> 00:52:44.511]  Easy assembly.
[00:52:44.772 --> 00:52:45.392]  Low maintenance.
[00:52:45.692 --> 00:52:47.512]  Replacement filters are simple to install.
[00:52:47.792 --> 00:52:54.915]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:52:55.055 --> 00:52:59.496]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:52:59.536 --> 00:53:01.037]  Go to InfoWarsStore.com or call 888-253-3139.
[00:53:01.057 --> 00:53:03.457]  A clean, toxic-free body is the foundation of true health.
[00:53:09.199 --> 00:53:18.801]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:53:19.101 --> 00:53:24.282]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:53:24.382 --> 00:53:33.224]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[00:53:33.404 --> 00:53:33.844]  That's the best.
[00:53:54.841 --> 00:53:56.061]  Alright, we're back.
[00:53:56.081 --> 00:54:03.824]  Coming up, we've got Roger Stone, the consummate insider when it comes to the Trump campaign, and just calling it like it is, not saying the way he wants it to be, but
[00:54:23.942 --> 00:54:26.283]  Basically breaking down how it really is.
[00:54:26.303 --> 00:54:27.603]  Again, thank you for joining us.
[00:54:28.183 --> 00:54:29.944]  Second, third, and fourth hour straight ahead.
[00:54:31.944 --> 00:54:33.525]  First, let me read some of these headlines.
[00:54:34.565 --> 00:54:38.786]  Trump campaign calls Ted Cruz a Trojan horse after Wisconsin loss.
[00:54:39.587 --> 00:54:40.327]  That's out of the week.
[00:54:41.226 --> 00:54:43.468]  And they're saying he is a Republican establishment.
[00:54:43.488 --> 00:54:44.288]  Well, absolutely.
[00:54:44.609 --> 00:54:46.190]  They're even saying they're not going to let him have it.
[00:54:46.210 --> 00:54:48.311]  They're just going to give it to Paul Ryan or Kasich.
[00:54:48.331 --> 00:54:49.852]  I mean, you talk about a shill operation.
[00:54:50.153 --> 00:54:54.356]  And they say it on Fox and CNN and MSNBC to get everybody ready for it.
[00:54:56.670 --> 00:54:58.793]  Now we have a shock new national poll.
[00:54:59.254 --> 00:55:01.897]  Now this is questionable because all the other polls say the opposite.
[00:55:02.398 --> 00:55:06.944]  Takes the lead in Reuters poll, Ted Cruz does, over Donald Trump for the first time.
[00:55:07.264 --> 00:55:10.569]  The first time Donald Trump hasn't led in the tracking poll in 2016.
[00:55:10.609 --> 00:55:14.133]  We'll talk about that with Roger Stone.
[00:55:15.564 --> 00:55:22.827]  RNC chairman suggests Kasich could be picked as nominee even though he just has a fraction of what Donald Trump or Ted Cruz have.
[00:55:23.567 --> 00:55:32.691]  Piers Morgan's come out on the Michelle Field story saying anyone with a brain who thinks that this is an insult or an assault is living in cloud cuckoo land.
[00:55:33.852 --> 00:55:35.852]  So even Piers Morgan gets it right about that.
[00:55:36.233 --> 00:55:39.454]  Very, very dangerous precedent right there.
[00:55:41.055 --> 00:55:42.795]  Let's go ahead and go to this first clip.
[00:55:42.895 --> 00:55:44.276]  Obama scolds Obama
[00:55:45.748 --> 00:55:48.629]  At a Freudian slip, Obama scolds Trump.
[00:55:49.529 --> 00:56:01.193]  Obama should be scolding himself, being a communist organizer, nobody, just giving all his jobs, giving all his power, and saying Donald Trump doesn't know how the world works.
[00:56:01.633 --> 00:56:06.995]  That's like Obama saying, if you have a business, you didn't build that, or you can keep your doctor.
[00:56:07.055 --> 00:56:09.036]  I mean, just, it's ridiculous.
[00:56:09.096 --> 00:56:10.116]  Let's go ahead and play this clip.
[00:56:10.834 --> 00:56:12.516]  First of all, they're impractical.
[00:56:12.717 --> 00:56:17.884]  We just talked about the difficulties of trying to enforce huge outflows of capital.
[00:56:18.204 --> 00:56:20.467]  The notion that we're going to track every Western Union
[00:56:22.822 --> 00:56:23.722]  Good luck with that.
[00:56:52.179 --> 00:56:54.582]  Now let's go ahead, there's two different responses from Donald Trump.
[00:56:54.602 --> 00:56:55.823]  The second one he gets really mad.
[00:56:55.843 --> 00:56:56.584]  Here's the first one.
[00:56:56.904 --> 00:57:00.809]  Donald Trump responds to Obama saying he doesn't know anything about the world.
[00:57:01.943 --> 00:57:08.109]  He said, you don't know much about foreign policy or nuclear policy or the Korean Peninsula or the world generally.
[00:57:08.870 --> 00:57:10.772]  What do you have to say to President Obama?
[00:57:10.792 --> 00:57:14.136]  Look, I've been very critical because I happen to think he's incompetent as a president.
[00:57:14.376 --> 00:57:17.599]  And I know more about nuclear than he will ever know.
[00:57:18.019 --> 00:57:21.403]  In other words, we are right now the policemen of the world.
[00:57:21.563 --> 00:57:24.226]  We have $19 trillion in debt going to $21 trillion in debt.
[00:57:25.827 --> 00:57:28.108]  What's going on in this country is crazy.
[00:57:28.388 --> 00:57:40.811]  We have a bubble, we're sitting on top of a bubble, and yet we're giving military protection to Japan, and Germany, and Saudi Arabia, and South Korea, and many, many other countries.
[00:57:40.871 --> 00:57:41.351]  I could keep going.
[00:57:41.371 --> 00:57:41.891]  Yeah, let's stop there.
[00:57:42.891 --> 00:57:53.434]  Because the ruling class has military control over those countries, makes them take our factories and jobs, because then our elite get the money, de-industrializing us with a controlled market.
[00:57:54.366 --> 00:57:55.207]  That's it, Donald.
[00:57:55.227 --> 00:57:56.988]  They're occupied by the globalists.
[00:57:57.448 --> 00:57:59.430]  That's why they get free military.
[00:57:59.690 --> 00:58:05.494]  Then our government gives North Korea the reactors to make the nuclear weapons to keep them hostage.
[00:58:05.975 --> 00:58:07.776]  See, there's the real geopolitical facts.
[00:58:08.096 --> 00:58:10.418]  Let's go ahead and go to Trump really mad about this.
[00:58:10.458 --> 00:58:11.179]  Here's the second clip.
[00:58:11.988 --> 00:58:13.689]  Did you hear Obama yesterday?
[00:58:13.709 --> 00:58:22.431]  Obama yesterday started showing his tremendous disappointment at Iran for violating the deal.
[00:58:23.252 --> 00:58:26.373]  I said, I could have told you that five months ago!
[00:58:26.393 --> 00:58:28.754]  You're so incompetent!
[00:58:28.974 --> 00:58:32.375]  You are so totally incompetent as a president!
[00:58:32.395 --> 00:58:35.016]  You are so incompetent!
[00:58:40.233 --> 00:58:44.278]  I mean, honestly, he doesn't have a clue, folks.
[00:58:44.818 --> 00:58:45.439]  We're going to break.
[00:58:45.479 --> 00:58:46.039]  Stay with us.
[00:58:46.260 --> 00:58:48.922]  There's more behind that than incompetence, I'll tell you in 70 seconds.
[00:58:49.223 --> 00:58:50.244]  There's a lot more than that.
[00:58:50.264 --> 00:58:51.225]  We'll be back.
[00:58:55.675 --> 00:58:58.976]  The globalist social engineers are not just targeting us with propaganda.
[00:58:59.136 --> 00:59:01.397]  They are manipulating our genetics.
[00:59:01.577 --> 00:59:09.940]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:59:10.200 --> 00:59:13.542]  The key is to be aware of this attack and to fight back against it.
[00:59:13.702 --> 00:59:24.188]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[00:59:24.368 --> 00:59:31.652]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:59:31.852 --> 00:59:33.733]  I've always believed in nutrition and herbs.
[00:59:34.073 --> 00:59:41.735]  Supermail Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:59:42.035 --> 00:59:48.196]  Supermail Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:59:48.496 --> 00:59:55.457]  Visit InfoWarsLife.com today to secure your Supermail Vitality and other powerful products from InfoWars Life.
[00:59:55.577 --> 00:59:58.258]  Your ProMax shower filter from ProPure today.
[01:00:01.440 --> 01:00:06.021]  You're listening to the Alex Jones Show.
[01:00:11.643 --> 01:00:17.644]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:18.264 --> 01:00:21.305]  It's Alex Jones and the GCN Radio Network.
[01:00:23.186 --> 01:00:28.767]  Roger Stone with huge 2016 Trump news, biggest ever, is joining us in the next segment.
[01:00:30.509 --> 01:00:34.371]  Dr. Group on the mystery flu and more that's still going around in the third hour.
[01:00:34.391 --> 01:00:42.836]  And in the fourth hour today, we have host David Knight chaperoning that transmission.
[01:00:46.078 --> 01:00:51.301]  I want to get into political speech control because there's an update.
[01:00:51.741 --> 01:00:58.785]  DOJ agents have raided the home of the Planned Parenthood activist
[01:01:00.663 --> 01:01:12.874]  Who coordinated some of the videos at CBS News Sacramento and we've seen a Texas grand jury indict some of the people that went in and showed clear fraud in my view, clear breaking of the law.
[01:01:14.597 --> 01:01:16.419]  This is persecution of journalism.
[01:01:17.139 --> 01:01:18.800]  People didn't know body parts were being sold.
[01:01:18.820 --> 01:01:20.021]  There's laws against it.
[01:01:20.502 --> 01:01:22.623]  They were violating all sorts of different laws.
[01:01:22.984 --> 01:01:23.744]  And that's all come out.
[01:01:23.784 --> 01:01:28.268]  But instead, they want to keep this multi-billion dollar a year industry going.
[01:01:28.288 --> 01:01:30.550]  They don't want women to know this is happening.
[01:01:30.830 --> 01:01:32.451]  So these people are now being persecuted.
[01:01:32.471 --> 01:01:34.333]  But look, it just draws more attention to it.
[01:01:34.673 --> 01:01:35.874]  It shows everybody what's going on.
[01:01:35.914 --> 01:01:39.777]  In fact, I have a whole stack dealing with political correctness and how it leads to arrest.
[01:01:41.562 --> 01:01:45.924]  In its final phases, Gap apologizes for ad accused of racism.
[01:01:47.405 --> 01:01:56.669]  Because it shows four little girls and one of the white girls has her arm leaning on the black girl.
[01:01:58.270 --> 01:02:02.732]  Which just shows a form of friendliness and a way to balance out the scene.
[01:02:03.132 --> 01:02:07.774]  But no, no, no, that's covert brainwashing to teach people to just look
[01:02:08.834 --> 01:02:11.555]  For covert racism everywhere you go.
[01:02:13.256 --> 01:02:14.116]  Isn't that just cute?
[01:02:14.797 --> 01:02:16.497]  By the way, that's her adopted sister.
[01:02:16.998 --> 01:02:19.639]  That's her adopted sister in real life, too.
[01:02:20.039 --> 01:02:21.319]  Thank you, CJ, for reminding me of that.
[01:02:21.620 --> 01:02:22.900]  Were you on air just then?
[01:02:24.821 --> 01:02:25.061]  Yes.
[01:02:25.301 --> 01:02:25.781]  I love it.
[01:02:25.841 --> 01:02:26.042]  Good.
[01:02:26.082 --> 01:02:26.622]  Come on air more.
[01:02:27.774 --> 01:02:29.155]  I've been begging them for years to do it.
[01:02:29.375 --> 01:02:31.156]  They make a lot of great points in my ear sometimes.
[01:02:31.496 --> 01:02:32.356]  I just want it on air.
[01:02:32.436 --> 01:02:35.878]  Unless it's a really embarrassing mistake I've made or something, then we can do that off air.
[01:02:35.918 --> 01:02:45.662]  But seriously, I don't have people in my ear telling me what to do, but they do help me out with names or facts or, you know, something that's coming up or I can't think of something half the time they pop in my head.
[01:02:46.202 --> 01:02:48.083]  Like, I'm like, who's that actor who's in such and such?
[01:02:48.123 --> 01:02:48.643]  And they'll tell me.
[01:02:50.024 --> 01:02:53.446]  But just think about that, where you're taught, brown paper bag, brown bag,
[01:02:56.172 --> 01:03:06.178]  And then everyone politically correct, you know, in an office will then try to go around and grovel to the quote minorities to make them feel secure when that only makes everybody feel creeped out.
[01:03:06.538 --> 01:03:09.400]  I mean, it's just totally uncomfortable, totally weird.
[01:03:09.720 --> 01:03:11.281]  And then Gap apologizes.
[01:03:11.541 --> 01:03:12.041]  We're sorry.
[01:03:12.081 --> 01:03:15.423]  We didn't mean it like that, but we're sorry for showing a family together.
[01:03:15.483 --> 01:03:15.563]  And.
[01:03:16.884 --> 01:03:18.005]  Oh, my gosh, it's so terrible.
[01:03:19.815 --> 01:03:20.375]  No, no, no.
[01:03:20.475 --> 01:03:25.579]  CNN host cuts off interview after guest mentions Hillary's defense of child rapists as a lawyer.
[01:03:25.839 --> 01:03:26.319]  It's a fact.
[01:03:26.399 --> 01:03:26.739]  They did it.
[01:03:26.759 --> 01:03:29.081]  But you're not allowed to talk about her that way.
[01:03:30.022 --> 01:03:38.627]  Oh, and of course, folks have found other gap ads with a black girl putting her arm on the head of a little girl.
[01:03:39.427 --> 01:03:43.370]  That's just meant to balance out the scene and show they're all comfortable with each other and friendly.
[01:03:46.112 --> 01:03:49.715]  But, you see, and the black girl has a shirt that says epic.
[01:03:50.215 --> 01:03:52.017]  Like, she's the center of the piece.
[01:03:52.057 --> 01:03:54.439]  She's the old cool kid who they're targeting.
[01:03:54.759 --> 01:03:58.082]  You wanna be the cool kid, wear this, and all the other kids will flock around you.
[01:03:58.803 --> 01:04:00.024]  That's the real manipulation.
