[00:00:03.959 --> 00:00:06.262]  Wednesday, April 20th, 2016.
[01:05:03.653 --> 01:05:06.354]  Fresh evidence links Saudi government to 9-11.
[01:05:06.354 --> 01:05:08.816]  Article up by Daily Mail on the Drudge Report.
[01:05:08.816 --> 01:05:14.979]  Fresh information allegedly connecting the government of Saudi Arabia and the 9-11 terror attacks has been released.
[01:05:14.979 --> 01:05:22.002]  Officials have revealed that the flight certificate of al-Qaeda bomb maker Ghassan al-Sharbi was discovered hidden in an envelope
[01:05:22.122 --> 01:05:25.603]  from the Saudi Embassy in Washington when they arrested him in 2002.
[01:05:25.603 --> 01:05:31.325]  Al Sharbi is believed to have learned how to fly with the hijackers but did not take part in the attacks.
[01:05:31.325 --> 01:05:36.927]  Shortly before his arrest, he buried a bundle of documents which is believed to have included the certificate.
[01:05:36.927 --> 01:05:39.988]  Now how long has Alex been saying that there's been something like this going on?
[01:05:40.208 --> 01:05:45.834]  Saying that Saudi Arabia was behind this and that our government knew about it and kept it under wraps.
[01:05:45.834 --> 01:05:47.476]  That's why it's an inside job.
[01:05:47.476 --> 01:05:54.823]  That's why you need to continue to watch InfoWars.com because we are the ones breaking this kind of news on a daily basis.
[01:05:54.823 --> 01:05:57.246]  Stay tuned for more reports at InfoWars.com.
[01:05:57.246 --> 01:05:58.067]  I'm Joe Biggs.
[01:06:00.433 --> 01:06:02.474]  Brainforce, it's completely different.
[01:06:02.474 --> 01:06:03.694]  Try a bottle of it.
[01:06:03.694 --> 01:06:05.295]  Rob Dew joins us.
[01:06:05.295 --> 01:06:08.416]  You worked, I guess, like 20 plus hours.
[01:06:08.416 --> 01:06:09.517]  Tell us what Brainforce did.
[01:06:09.517 --> 01:06:10.437]  I've been working all day.
[01:06:10.437 --> 01:06:12.938]  I took a couple hours off coaching basketball.
[01:06:12.938 --> 01:06:14.359]  I get in here at 830.
[01:06:14.359 --> 01:06:16.259]  I was kind of run down.
[01:06:16.259 --> 01:06:17.980]  You know, I just didn't feel like I was going to make it.
[01:06:18.200 --> 01:06:20.101]  And I really wanted to do a good job on the interview.
[01:06:20.101 --> 01:06:21.902]  I got my bottle of Brain Force right there.
[01:06:21.902 --> 01:06:22.963]  I popped two of them.
[01:06:22.963 --> 01:06:25.244]  And about 20 minutes later, it's like, bing!
[01:06:25.244 --> 01:06:27.225]  Everything just kind of clears up.
[01:06:27.225 --> 01:06:28.706]  It's got four and a half stars.
[01:06:28.706 --> 01:06:30.027]  People really love it.
[01:06:30.027 --> 01:06:30.627]  Read about it.
[01:06:30.627 --> 01:06:34.469]  Find out why third-party nutraceutical sites give it such high praise.
[01:06:34.469 --> 01:06:39.752]  Because it really does have the best organic-based systems that will blow your socks off.
[01:06:39.932 --> 01:06:43.976]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[01:06:43.976 --> 01:06:50.122]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[01:06:50.122 --> 01:06:56.027]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:07:00.456 --> 01:07:05.517]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[01:07:05.517 --> 01:07:14.359]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[01:07:14.359 --> 01:07:18.300]  Youngevity also offers you an ingenious way to augment your income.
[01:07:18.300 --> 01:07:19.100]  And the best part?
[01:07:19.100 --> 01:07:21.960]  You'll be helping your friends and family along the way.
[01:07:21.960 --> 01:07:24.581]  Visit InfoWarsTeam.com today.
[01:07:24.581 --> 01:07:25.361]  Become a member.
[01:07:25.361 --> 01:07:29.422]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[01:07:29.642 --> 01:07:36.385]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[01:07:36.385 --> 01:07:37.325]  Another win-win.
[01:07:37.325 --> 01:07:41.066]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[01:07:41.066 --> 01:07:42.307]  And you can be too.
[01:07:42.307 --> 01:07:42.867]  It's simple.
[01:07:42.867 --> 01:07:45.788]  Just go to Infowarsteam.com today.
[01:07:45.788 --> 01:07:47.909]  Complete a short sign-up and you're part of the team.
[01:07:47.909 --> 01:07:51.150]  That's Infowarsteam.com or Infowarshealth.com.
[01:07:51.150 --> 01:07:57.452]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[01:07:57.452 --> 01:07:58.753]  Check it out for yourself today.
[01:08:11.073 --> 01:08:15.256]  Defending the Republic from enemies foreign and domestic.
[01:08:15.256 --> 01:08:18.118]  It's Alex Jones.
[01:08:18.118 --> 01:08:21.840]  Phyllis Chastley.
[01:08:21.840 --> 01:08:22.201]  Who?
[01:08:40.467 --> 01:08:44.328]  Cruz operatives reportedly tried to take over her operation a few weeks ago.
[01:08:44.328 --> 01:08:50.590]  Has only done one video since this happened, breaking down what happened that I know of.
[01:08:50.590 --> 01:08:58.393]  She's going to be joining us, much exclusively, first here today, popping in in the third hour.
[01:08:58.393 --> 01:09:08.016]  This is a big deal because, you know, Ted Cruz and the Republican Party say that, you know, popular voting never existed in primaries and that we've all made it up and that we're all insane.
[01:09:09.261 --> 01:09:13.843]  Well, maybe the Eagle Forum was never controlled by her and it just belonged to Ted Cruz forever.
[01:09:13.843 --> 01:09:18.686]  Maybe he founded it 55 years ago.
[01:09:18.686 --> 01:09:22.968]  I mean, the TPP tells us that it's secret and runs our country now and that we're not allowed to see it.
[01:09:22.968 --> 01:09:29.451]  So, you know, the sky's the limit when you get to this level of con artist behavior.
[01:09:29.451 --> 01:09:36.795]  We're also going to be getting into more of what's happening in Hollywood
[01:09:37.887 --> 01:09:50.997]  And people like Bono, who for decades puts out the first iPod for people with HIV, and then it turns out less than 1% of the money went to people.
[01:09:50.997 --> 01:09:57.362]  And then he does it for the UN and continues and sends less than 1% to actually help anybody.
[01:09:57.362 --> 01:09:59.763]  I mean, the best charities give like 85 to 90%.
[01:09:59.763 --> 01:10:00.744]  I get you have overhead.
[01:10:00.744 --> 01:10:04.347]  There's nothing wrong with that, with advertising and getting more money.
[01:10:06.545 --> 01:10:20.674]  I want to really start focusing in, because here's George Clooney raising $15 million for Hillary and the DNC in just a few days, but then denounces money in politics a day later.
[01:10:20.674 --> 01:10:26.378]  And I know people that know Clooney and these other folks, and I've seen it for myself with some of these Hollywood stars.
[01:10:26.378 --> 01:10:27.098]  They're actors.
[01:10:27.098 --> 01:10:34.563]  When they get up on TV and call for carbon taxes and gun control, a bunch of them are actually libertarian patriots like Kurt Russell.
[01:10:34.563 --> 01:10:35.764]  They know what's going on.
[01:10:38.439 --> 01:10:39.439]  But they won't go public.
[01:10:39.439 --> 01:10:46.481]  It's like Jeff Bridges contacting me just to say, hey, you know, I like what you're doing, appreciate your courage, whatever, but doesn't go public.
[01:10:46.481 --> 01:10:47.802]  Or somebody like Kurt Russell comes out.
[01:10:47.802 --> 01:10:49.262]  Well, I'm not a liberal or conservative.
[01:10:49.262 --> 01:10:50.242]  I'm 1776.
[01:10:50.242 --> 01:10:54.804]  I don't like global government and the new world order.
[01:10:54.804 --> 01:10:58.845]  Or Bruce Willis used to be a Republican until he saw my films.
[01:10:59.625 --> 01:11:04.409]  He told Rick Linklater, and I later had a chance to talk to him briefly, but yeah, I'm not going to go public.
[01:11:04.409 --> 01:11:06.230]  The public's too dumb.
[01:11:06.230 --> 01:11:09.352]  None of this is going anywhere, but yeah, you're dead on with what you're saying.
[01:11:09.352 --> 01:11:13.536]  He told Vanity Fair, he said there's a world government, same folks that killed Kennedy are still running things today.
[01:11:13.536 --> 01:11:16.118]  I used to be a Republican, but now I realize both parties are controlled.
[01:11:16.858 --> 01:11:19.699]  Again, if they ever lose Hollywood, they lose everybody.
[01:11:19.699 --> 01:11:24.680]  Because 80-90% of the propaganda is in movies and in fiction now.
[01:11:24.680 --> 01:11:25.740]  It's not even in news.
[01:11:25.740 --> 01:11:31.061]  We're winning the info war in the 10-15% of people that get their information from the news.
[01:11:31.061 --> 01:11:39.363]  Because they've been forced to just lie and lie and lie until the mainstream media and major Gallup polls and others has a 6-10% trust rate.
[01:11:39.363 --> 01:11:40.203]  The latest is 6%.
[01:11:40.203 --> 01:11:43.664]  We covered that.
[01:11:43.664 --> 01:11:45.564]  And there's other paradigms to the mainstream media.
[01:11:46.517 --> 01:11:57.704]  Our Earth, however it was created, however old it is, I don't go with a lot of the mainline Christian interpretations that are men's interpretations of the Bible, that the Earth is 6,000 years old.
[01:11:57.704 --> 01:12:09.030]  I don't go with mainline science that it's 4 or 5 billion years old and, you know, we only get hit by asteroids every 2 million years, because now they admit, because of Shoemaker-Levy research and what happened with that comet, that no, it's happening every 100,000 or so.
[01:12:11.175 --> 01:12:18.059]  And satellites show us giant craters all over the world that have just been filled in with water or filled in with trees.
[01:12:18.059 --> 01:12:21.161]  Filled in with foliage.
[01:12:21.161 --> 01:12:25.143]  I don't know all the mysteries of the universe.
[01:12:25.143 --> 01:12:26.704]  But I know this.
[01:12:26.704 --> 01:12:36.650]  The ring of fire from the Pacific Ocean all the way around from Asia to the tip of Chile has triggered everywhere in the last decade but
[01:12:37.694 --> 01:12:42.798]  Key plates off California and in California.
[01:12:42.798 --> 01:12:47.801]  And I've been listening to this fellow on Coast to Coast AM for, I don't know, 15 years, 20 years.
[01:12:47.801 --> 01:12:49.883]  I've read some of his work.
[01:12:49.883 --> 01:12:55.927]  He's really, we've had volcanologists on, we've had seismologists on, and they're all getting government funding.
[01:12:55.927 --> 01:12:59.590]  So they're very careful about what they say.
[01:12:59.590 --> 01:13:03.333]  But basically everything I hear them saying now, I heard five years ago from Scandia.
[01:13:04.309 --> 01:13:06.812]  And if you go to the last interview we did, in fact, what was the name of it?
[01:13:06.812 --> 01:13:11.177]  Somebody search YouTube and find it, or search our database and find the date and find it on YouTube.
[01:13:11.177 --> 01:13:12.899]  I think we have the headlines on our computer in there.
[01:13:12.899 --> 01:13:16.884]  He was on about, I don't know, a year ago, two years ago, three years ago.
[01:13:16.884 --> 01:13:18.306]  He's on intermittently.
[01:13:18.306 --> 01:13:19.307]  We should have him on more.
[01:13:19.307 --> 01:13:23.192]  He said specifically, watch 2016, watch what's going to unfold.
[01:13:24.292 --> 01:13:32.240]  And the fact that it's so overdue in California that we're going to see just one of the biggest quakes ever there, and it could bring our economy into tailspin.
[01:13:32.240 --> 01:13:35.844]  He also talked about Yellowstone a decade ago and how it's rising and falling.
[01:13:35.844 --> 01:13:43.191]  Basically everything he said, and quite frankly, even though he's well-spoken and a great guy,
[01:13:46.704 --> 01:13:50.969]  Curriculum Vitae, I would just roll my eyes and say, okay, yeah.
[01:13:50.969 --> 01:13:55.413]  Because I don't get into the whole earth changes thing because you kind of think of this happens to somebody else.
[01:13:55.413 --> 01:14:00.439]  This happened to the Romans in Pompeii or it happened in the Pacific in Krakatoa a hundred years ago.
[01:14:02.247 --> 01:14:04.168]  And the last time he was on was over a year ago.
[01:14:04.168 --> 01:14:05.308]  Tom Flies, February 6, 2015.
[01:14:05.308 --> 01:14:18.312]  You can pull that interview up, you can hear it for yourself, but the body of his works there, the books he's written, he has predicted things more accurately than anybody I have read or talked to.
[01:14:18.312 --> 01:14:22.973]  Here's the headline, Volcanic Expert Super-Eruption Coming.
[01:14:22.973 --> 01:14:24.554]  And now you see what they're calling
[01:14:25.746 --> 01:14:27.147]  Unprecedented eruptions.
[01:14:27.147 --> 01:14:30.148]  Unprecedented geological activity.
[01:14:30.148 --> 01:14:31.889]  Tectonic activity.
[01:14:31.889 --> 01:14:33.129]  Now the sun's cooled off.
[01:14:33.129 --> 01:14:34.050]  That affects our climate.
[01:14:34.050 --> 01:14:35.310]  Is that doing it?
[01:14:35.310 --> 01:14:36.451]  Is it the magnetic field?
[01:14:36.451 --> 01:14:40.152]  He's the expert because he looks at all the studies.
[01:14:40.152 --> 01:14:41.053]  The full spectrum.
[01:14:41.053 --> 01:14:46.895]  So many experts at the university level just write their own little papers in their one little area and don't do the general research.
[01:14:46.895 --> 01:14:47.676]  Ecuador earthquake.
[01:14:47.676 --> 01:14:48.596]  Death toll rises to 350.
[01:14:52.324 --> 01:14:53.085]  Channel 9.
[01:14:53.085 --> 01:14:55.127]  First alert.
[01:14:55.127 --> 01:14:59.591]  Kota Supervolcano under Yellowstone National Park erupts soon.
[01:14:59.591 --> 01:15:05.115]  Aspen quakes halt Sony's senior plant.
[01:15:05.115 --> 01:15:06.637]  May impact iPhone production.
[01:15:07.873 --> 01:15:08.854]  Ecuador quake.
[01:15:08.854 --> 01:15:10.595]  Survivors tell harrowing tales.
[01:15:10.595 --> 01:15:11.556]  The shaking continues.
[01:15:11.556 --> 01:15:15.720]  The most dangerous volcano in Mexico has erupted in spectacular fashion.
[01:15:15.720 --> 01:15:19.343]  I've got headlines that there's record volcanic activity.
[01:15:19.343 --> 01:15:23.266]  Should Northwest residents be worried about this week's back-to-back earthquakes?
[01:15:23.266 --> 01:15:29.091]  We're seeing record earthquakes since they started recording them accurately with seismographs over a hundred years ago.
[01:15:29.091 --> 01:15:30.592]  Sharp shock hits Ecuador.
[01:15:30.592 --> 01:15:31.473]  It goes on and on.
[01:15:31.473 --> 01:15:32.533]  That's just some of the news.
[01:15:32.533 --> 01:15:33.414]  You've seen it everywhere.
[01:15:33.414 --> 01:15:36.016]  So finally the mainstream media is paying attention.
[01:15:36.016 --> 01:15:36.517]  I hope
[01:15:37.128 --> 01:15:39.029]  That we've seen the worst of it.
[01:15:39.029 --> 01:15:49.154]  But the point is, we're floating around on crust that is on top of molten magma on a huge planetoid going 30-something thousand miles an hour through space.
[01:15:49.154 --> 01:15:54.457]  So when they say, man-made climate change will arrest you if you disagree with it, of course there's climate change.
[01:15:54.457 --> 01:15:55.658]  It's always happening.
[01:15:55.658 --> 01:15:59.200]  Now they're saying the world has to stay the same or humans did it.
[01:15:59.200 --> 01:16:01.321]  So, so much ties into this.
[01:16:01.321 --> 01:16:04.282]  He's with us for the rest of the hour, five minutes to the next hour, standeo.com.
[01:16:05.948 --> 01:16:12.213]  And going over his bio, he held an above-top-secret security clearance and worked undercover with the FBI.
[01:16:12.213 --> 01:16:17.017]  He was part of an exclusive black project specializing in the development of advanced technology.
[01:16:17.017 --> 01:16:25.204]  Stan's diverse background encompasses computer programming, marine architecture, advanced propulsion engineering, biblical studies, and earthquake forecasting.
[01:16:25.204 --> 01:16:30.228]  And I'm not going to go over all the things that he's breaking down, but we're going to get into earthquakes with him right now.
[01:16:30.228 --> 01:16:31.308]  Pretty wild stuff.
[01:16:31.308 --> 01:16:33.430]  Stan Dayo, great to have you with us.
[01:16:33.430 --> 01:16:34.151]  Thank you for joining us.
[01:16:35.180 --> 01:16:36.741]  Thank you for inviting me again, Alex.
[01:16:36.741 --> 01:16:39.023]  There's certainly a lot happening to talk about.
[01:16:39.023 --> 01:16:43.587]  Well, everything you said over a year ago here, I thought it was six months ago, is basically now happening.
[01:16:43.587 --> 01:16:49.831]  Tell us what's happening from your research, what's coming next, because obviously the government and people are going to play this down.
[01:16:49.831 --> 01:16:54.215]  Well, there are probably good reasons for that, not that I side with the Illuminists.
[01:16:56.494 --> 01:17:01.020]  They have their own agenda, but the scientific community is hamstrung.
[01:17:01.020 --> 01:17:09.350]  And if they weren't, they have the fear of causing a panic if they predict an earthquake or a volcano and it doesn't happen.
[01:17:09.350 --> 01:17:12.313]  And so they're put between a rock and a hard place to tell the public.
[01:17:12.313 --> 01:17:15.657]  And now, of course, they've got a White House muzzle on them so they can't say anything.
[01:17:16.579 --> 01:17:28.452]  I have gotten information out that is not mainstream or is not even on the internet from a couple of individuals who are involved inside USGS and they have said...
[01:17:29.469 --> 01:17:45.184]  That they've been making drivers, truck drivers and technicians that are delivering stuff to USGS at Yellowstone have been for the last two years to not tell anybody about it and the number of seismometers that they're putting in and the fact that they're connected to a supercomputer.
[01:17:45.184 --> 01:17:48.767]  I think they've moved it from Texas now then to Utah to the new center.
[01:17:49.808 --> 01:18:00.978]  There's a lot of effort being pointed at Yellowstone, and you can see the evidence of it in a lot of the video coming out of there that they're allowing to come out.
[01:18:00.978 --> 01:18:11.768]  And also, last month, toward the end of the month, they closed down the whole network of slice monitors, you know, updating and changing and whatever, but we got no feeds at that time from them.
[01:18:13.152 --> 01:18:18.374]  And Yellowstone is only one part of our problem.
[01:18:18.374 --> 01:18:22.775]  There are other volcanoes around the planet that are starting to erupt.
[01:18:22.775 --> 01:18:27.317]  Even North Korea has asked the United States for help with one that's about to erupt there, a big one.
[01:18:28.459 --> 01:18:36.284]  And the earthquakes, well now, you know, in the last, what, seven, eight days, we've seen a number of earthquakes.
[01:18:36.284 --> 01:18:39.827]  I'm just looking at it here on my map, which I sent to your producer.
[01:18:39.827 --> 01:18:47.072]  You can put it up, shows the earthquakes over the last two weeks that are above Eritrea 5.5.
[01:18:47.072 --> 01:18:57.579]  And you can see in that, on the western side of the Pacific, the second row, right image, if you want to click on that there, that's the one, yeah, click on that.
[01:18:58.243 --> 01:18:59.503]  There you go.
[01:18:59.503 --> 01:19:04.245]  Now, the size of the circle indicates the magnitude.
[01:19:04.245 --> 01:19:17.169]  And over Japan, which is right over here on the left side of the Ring of Fire, you can see that they had not only a 6.3, but a 7.2 and a bunch of aftershocks in that area.
[01:19:18.217 --> 01:19:23.500]  And over in Ecuador, you can see they had a series of 7.9, a bunch of aftershocks.
[01:19:23.500 --> 01:19:26.721]  And in Guatemala, near Central America there.
[01:19:26.721 --> 01:19:29.382]  And over off the coast of Australia, up in Vanuatu.
[01:19:29.382 --> 01:19:32.744]  All around the Ring of Fire, but North America didn't get hit.
[01:19:32.744 --> 01:19:33.964]  Yeah, now that's the issue.
[01:19:33.964 --> 01:19:36.225]  I heard you talking about that before we went to the break.
[01:19:38.989 --> 01:19:45.214]  The problem with this is that it's not only California, it's the whole West Coast that hasn't released.
[01:19:45.214 --> 01:19:51.279]  And we know that up near Oregon and Washington, in the Juan de Fuca plate, that little kind of reddish area outlined there.
[01:19:51.279 --> 01:19:53.121]  Stay there, stand over, we're coming right back to you.
[01:19:53.121 --> 01:19:54.882]  You'll have the floor to break this down.
[01:19:54.882 --> 01:19:57.365]  If you're a radio listener, InfoWars.com forward slash show.
[01:19:57.365 --> 01:19:59.646]  You can see all these graphics for yourself.
[01:20:01.052 --> 01:20:03.113]  Hello, I'm Michael Reagan.
[01:20:03.113 --> 01:20:16.018]  My father, President Ronald Reagan, believed so strongly in gold that he changed gold ownership forever by bringing back physical gold to the American public, allowing gold coins to be minted and sold to U.S.
[01:20:16.018 --> 01:20:18.479]  citizens just like you, starting in 1985.
[01:20:19.719 --> 01:20:26.661]  Gold ownership can help protect your financial future, especially when our national debt is spiraling out of control.
[01:20:26.661 --> 01:20:34.683]  Many smart Americans have kept their retirements from being wiped out during America's financial crisis thanks to physical gold coins.
[01:20:34.683 --> 01:20:37.323]  I strongly urge you to call the U.S.
[01:20:37.323 --> 01:20:40.204]  Money Reserve at 1-866-944-GOLD or go online to usmoneyreserve.com
[01:20:43.985 --> 01:20:49.768]  As for a special gold guide with new, never-before-released information about gold from the U.S.
[01:20:49.768 --> 01:20:58.193]  Money Reserve, call 1-866-944-GOLD or go online to usmoneyreserve.com.
[01:20:58.193 --> 01:20:59.374]  I'm Michael Reagan.
[01:20:59.374 --> 01:20:59.714]  Thank you.
[01:21:00.558 --> 01:21:07.341]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:21:07.341 --> 01:21:11.604]  Since 2005, thousands have depended on Berkey Purified Water.
[01:21:11.604 --> 01:21:16.226]  The Berkey guy provides the lowest price filtration systems in every size.
[01:21:16.226 --> 01:21:21.809]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:21:21.809 --> 01:21:21.889]  877-886-3653.
[01:21:21.889 --> 01:21:22.269]  GoBerkey.com.
[01:21:30.493 --> 01:21:34.835]  Serious investors and traders want to make 81% return in 60 seconds?
[01:21:34.835 --> 01:21:40.257]  Use the same secret algorithm professional hedge fund managers use to make billions of dollars of profits.
[01:21:40.257 --> 01:21:44.299]  Turn $250 into $4,903 in just 7 clicks of a mouse.
[01:21:44.299 --> 01:21:49.101]  Our tool is so simple that my 82-year-old grandmother can use it to make insane stock market profits.
[01:21:49.101 --> 01:21:51.682]  Go to BigBuckRiches.com.
[01:21:51.682 --> 01:21:54.924]  Watch the free video before the hedge funds make us take it down.
[01:21:54.924 --> 01:21:57.225]  Go to BigBuckRiches.com.
[01:21:57.225 --> 01:21:59.606]  From the Robert Allen System, current returns not indicative of future results.
[01:22:00.569 --> 01:22:04.934]  Biochemistry determines your mood, memory, energy, and endurance.
[01:22:04.934 --> 01:22:07.937]  Your body's primary metabolic function is to make protein.
[01:22:07.937 --> 01:22:10.880]  One World Whey is a unique, non-denatured protein.
[01:22:10.880 --> 01:22:16.125]  This enables your body to have virtually 100% utilization, whereas typical whey protein powders offer
[01:22:16.365 --> 01:22:19.268]  No more than 18% utilization of protein.
[01:22:19.268 --> 01:22:22.371]  One World Way also delivers life-giving frequencies to your cells.
[01:22:22.371 --> 01:22:27.796]  The net result for so many people is improved energy, mood, and elimination of pain from inflammation.
[01:22:27.796 --> 01:22:31.800]  This technologically enhanced One World Way has been really amazing.
[01:22:32.380 --> 01:22:38.983]  I'm 36 years old, and for the past several years, I've been struggling with lack of energy, drive, and stamina.
[01:22:38.983 --> 01:22:42.824]  And after just two weeks on this product, I'm feeling so much more energy.
[01:22:42.824 --> 01:22:49.106]  My yoga practice has deepened, and as a massage therapist, I'm able to see more clients than I've been able to in years.
[01:22:49.106 --> 01:22:53.188]  I've never felt results that quick with anything I've ever taken.
[01:22:53.188 --> 01:22:56.929]  Call 888-988-3325 or visit OneWorldWay.com.
[01:22:56.929 --> 01:22:59.450]  That's OneWorld, W-H-E-Y.com.
[01:23:00.433 --> 01:23:02.755]  Are you concerned about the Power Grid?
[01:23:02.755 --> 01:23:05.197]  About the new war on the Power Grid?
[01:23:05.197 --> 01:23:10.742]  If so, this will be the most important radio message you will ever hear, and the most valuable.
[01:23:10.742 --> 01:23:11.743]  Here's why.
[01:23:11.743 --> 01:23:17.287]  An important book revealing new and dangerous vulnerabilities of the Power Grid has just been written.
[01:23:17.287 --> 01:23:21.171]  Incredibly, the author has agreed to give away several free copies.
[01:23:21.451 --> 01:23:24.714]  But only for a limited time to GCN listeners.
[01:23:24.714 --> 01:23:29.417]  He simply asks that you pay $3 to cover part of the shipping and handling cost.
[01:23:29.417 --> 01:23:35.202]  Even better, if you're one of the first 17 online today, he will actually FedEx the book to you.
[01:23:35.202 --> 01:23:36.143]  Why do this?
[01:23:36.143 --> 01:23:40.006]  Why would he spend extra money and all that bother to FedEx his new book?
[01:23:40.006 --> 01:23:41.307]  The answer is simple.
[01:23:41.307 --> 01:23:45.450]  America's power grid is in grave danger and most Americans are clueless.
[01:23:45.450 --> 01:23:50.574]  Find out what's going on behind the scenes and why the most common question this author gets is,
[01:23:50.834 --> 01:23:52.315]  Do you fear for your life?
[01:23:52.315 --> 01:23:54.597]  Go to waronthegrid.com.
[01:23:54.597 --> 01:23:56.699]  That's waronthegrid.com.
[01:23:56.699 --> 01:23:57.340]  Don't wait.
[01:23:57.340 --> 01:24:05.688]  waronthegrid.com.
[01:24:05.688 --> 01:24:10.152]  We're on a very active planet with a changing climate, changing tectonic forces.
[01:24:11.954 --> 01:24:20.298]  Stan Deo, who has been accurately predicting earthquakes for decades, and really been warning folks that we're building towards a huge crescendo.
[01:24:20.298 --> 01:24:26.540]  Now, word for word, what he said, I've seen in CBS News, you name it, scientists warn of the big one to hit California.
[01:24:26.540 --> 01:24:40.246]  And if you just joined us, and you're a radio listener, he's showing, from the USGS and other bodies, maps of the record level of very strong earthquakes the last few weeks, all around the Ring of Fire, where the big plates come together.
[01:24:42.270 --> 01:24:43.119]  Nothing kidding!
[01:24:44.847 --> 01:24:49.789]  The northern area of North America, or the southern area, that entire plate line.
[01:24:49.789 --> 01:24:55.572]  So, fears are the big one as seven major earthquakes strike the Pacific region in just 96 hours.
[01:24:55.572 --> 01:24:59.894]  He was on a year ago talking about how it's weird that nothing's hitting the West Coast.
[01:24:59.894 --> 01:25:01.214]  Is something going on here?
[01:25:01.214 --> 01:25:03.415]  Is this being artificially manipulated and held back?
[01:25:03.415 --> 01:25:12.359]  I know they, Secretary of Defense Cohen in 98 told a press conference, it was in the Army Times, that they have tectonic weapons, but I don't want to go too far.
[01:25:12.359 --> 01:25:13.140]  Let's get back to what,
[01:25:13.860 --> 01:25:22.408]  What you were getting into just as we went to break, Mr. Dayo, this is a short segment, long segment coming up, you were getting into this plate, nothing's happening, and why that's so troubling.
[01:25:23.436 --> 01:25:33.900]  Okay, all around the Ring of Fire over the last 57 years, there have been major releases of stresses that have been building up along the Ring of Fire, where these little red lines are here on the image I've got.
[01:25:33.900 --> 01:25:36.481]  Those are the edges of the tectonic plates.
[01:25:36.481 --> 01:25:45.325]  But scientists all over the world have noticed that there is a big gap in the northern hemisphere part of the Pacific Rim Plate.
[01:25:46.161 --> 01:25:51.266]  That is not releasing the seismic tension that's building up.
[01:25:51.266 --> 01:25:53.208]  And that is north of California.
[01:25:53.208 --> 01:25:57.293]  The bottom part of it comes down to the northern part of California in the Juan de Fuca Plate.
[01:25:58.308 --> 01:26:05.693]  It is building up so that when it releases, it might release as much as a 9.2 Richter earthquake.
[01:26:05.693 --> 01:26:10.216]  Now, where it is situated, it would cause flooding down in the California coast.
[01:26:10.216 --> 01:26:12.978]  It would cause tsunamis that would hit over into Japan.
[01:26:12.978 --> 01:26:20.304]  It would force a local tsunami to go maybe 160 miles up into Oregon through river valleys and things.
[01:26:21.364 --> 01:26:33.211]  It's a very precipitous situation, and that could then trigger the numerous faults that run parallel to the San Andreas, plus the San Andreas, and start breaking California up into islands.
[01:26:33.211 --> 01:26:44.677]  So I can understand why, you know, no one comes out and officially says this, because it would impact the economy of the United States, and the world for that matter, very negatively if the panic started.
[01:26:44.677 --> 01:26:46.638]  But they have been doing the right thing, saying, well,
[01:26:48.218 --> 01:26:59.402]  Well, in the next 30 to 50 years, there's a 10% chance, or maybe a bit more, of a Richter 8 to 9 earthquake striking the Northwest United States coastline.
[01:26:59.402 --> 01:27:08.805]  And they're trying to tell the people that think and look ahead, maybe you better do that, maybe you better get prepared and get out of there, or at least be able to weather something like
[01:27:09.025 --> 01:27:15.386]  Sure, but you've been saying this for years, but now it's come out that a lot of top seismologists and volcanologists are afraid of having their funding cut.
[01:27:15.386 --> 01:27:17.247]  They're being told, don't panic the public.
[01:27:17.247 --> 01:27:20.608]  Plus, if, thank God, it doesn't happen, then they, quote, get discredited.
[01:27:20.608 --> 01:27:22.748]  But we saw the tsunami in Japan.
[01:27:22.748 --> 01:27:26.709]  We've seen the tsunamis before that kill hundreds of thousands in Asia.
[01:27:26.709 --> 01:27:28.549]  I mean, we're due for this.
[01:27:28.549 --> 01:27:34.111]  And a lot of seismologists, as you know, are saying they think it's a lot closer and is basically imminent.
[01:27:34.111 --> 01:27:35.451]  From your research and your sources,
[01:27:36.658 --> 01:27:37.340]  Is it imminent?
[01:27:37.340 --> 01:27:38.162]  Is it 10 years off?
[01:27:38.162 --> 01:27:38.863]  What's really happening?
[01:27:43.443 --> 01:27:45.604]  When you say imminent, do you mean this year?
[01:27:45.604 --> 01:27:46.924]  I don't know.
[01:27:46.924 --> 01:27:51.026]  There are certainly peculiar signals I'm getting in the research I've been doing.
[01:27:51.026 --> 01:28:07.552]  If you go back to my show images page, second row middle image, and click on that, you can see the first one I've published on the internet here in a number of years where I've been trying to find a way to predict the big earthquakes a day, two, three days before they happen.
