[00:00:07.785 --> 00:00:10.406]  Ladies and gentlemen, wow!
[00:36:06.802 --> 00:36:07.283]  In Belgium.
[00:36:09.437 --> 00:36:18.489]  So there is definitely a hot war going on between intelligence agencies and killing tit-for-tat going on the last 24 days with Obama in.
[00:36:18.489 --> 00:36:23.255]  And Obama admits, in fact I meant to cover this Friday, but it came out after the show was over.
[00:36:23.255 --> 00:36:25.899]  You guys pulled me the article, Obama putting a shadow government in?
[00:36:27.068 --> 00:36:32.051]  That's why Trump's asking for names of all the new appointees and political appointees.
[00:36:32.051 --> 00:36:36.953]  He wants to do a purge, he's got to do it, of the weevils that have infiltrated everything.
[00:36:36.953 --> 00:36:42.916]  So, Putin's now ordered an inquiry day of mourning after military jet disaster calls 92 in Black Sea.
[00:36:42.916 --> 00:36:48.519]  And of course, they're having to open it up and say, okay, it could be terror, because no one's buying the fact that it isn't.
[00:36:49.380 --> 00:36:52.563]  But again, the Russians are just waiting for Trump to get in.
[00:36:52.563 --> 00:36:54.865]  They know there's major provocations.
[00:36:54.865 --> 00:36:56.266]  Putin's come out and said this.
[00:36:56.266 --> 00:36:57.528]  Their foreign minister said this.
[00:36:57.528 --> 00:36:59.409]  Their intelligence chief has said this.
[00:36:59.409 --> 00:37:05.215]  The one that replaced their last head of all intelligence, the equivalent of our clapper,
[00:37:06.846 --> 00:37:21.560]  Saying it's clearly a false flag to make us break up our coalition with Turkey, Iran and Syria and make us get in a wider war with Turkey now that Turkey has sided with Russia in the last few months and then Putin came out.
[00:37:24.619 --> 00:37:39.568]  This weekend, and also said that he'd previously been told by intelligence operatives on three different sides that it was a globalist operative in one of the aircraft in Turkey that shot down the Russian fighter bomber.
[00:37:39.568 --> 00:37:45.331]  He said he now believes that is the case.
[00:37:45.331 --> 00:37:48.033]  So, how's the mainstream media feel?
[00:37:48.033 --> 00:37:53.576]  It used to, false flags, staged events, self-inflicted wounds, inside jobs.
[00:37:55.717 --> 00:38:03.642]  In the past were things that only historians knew about or people that worked in dirty tricks in black ops.
[00:38:03.642 --> 00:38:13.648]  You had to be a army captain assigned to special forces group until recently to even be taught about false flags and that's in the army.
[00:38:17.552 --> 00:38:19.894]  I began to popularize all these terms in the mid-90s.
[00:38:19.894 --> 00:38:21.915]  They cannot stand the fact I do it.
[00:38:21.915 --> 00:38:23.216]  Like InfoWars.
[00:38:23.216 --> 00:38:27.639]  Who knew what InfoWars was in 1996?
[00:38:27.639 --> 00:38:29.220]  Almost no one.
[00:38:29.220 --> 00:38:32.442]  Now, Congress talks about it every day.
[00:38:32.442 --> 00:38:37.686]  And I'm here to put out the definition so people can know what they're being hit with.
[00:38:37.686 --> 00:38:38.847]  That's why I can't stand it.
[00:38:38.847 --> 00:38:46.452]  You have English teachers, you have Latin teachers, you have Spanish teachers, you have Mandarin Chinese teachers, you have German teachers, you have Portuguese teachers.
[00:38:48.561 --> 00:38:51.283]  You have folks that can teach you different Native American dialects.
[00:38:51.283 --> 00:38:59.669]  I'm here teaching people how the globalists operate, how they work, and what they do.
[00:38:59.669 --> 00:39:07.114]  Because in fictional movies, evil tyrants don't want you to have their battle plans.
[00:39:07.114 --> 00:39:13.278]  Like Star Wars, Rogue One, the whole thing's about trying to get the Death Star plans.
[00:39:13.278 --> 00:39:18.002]  And in reality, the New World Order doesn't want you to know their weapon systems' flaws or vulnerabilities.
[00:39:21.343 --> 00:39:46.187]  But in the real world case, of what's unfolding, they act like you're an animal, and they write thousands of books, and thousands of white papers, and have thousands of meetings, and tens of thousands of quotes, admitting their entire, stinking, anti-human, selfish, devilish, degenerate plan.
[00:39:46.187 --> 00:39:50.888]  And I'm here saying, here's their plan, here's how they operate, here's what they do.
[00:39:53.206 --> 00:39:59.689]  Now, the childlike public 20 years ago, on average, didn't want to listen to me because it sounded like, you know, foreign language.
[00:39:59.689 --> 00:40:02.770]  But the military and the police were listening.
[00:40:02.770 --> 00:40:04.391]  And I never knew it would work like that.
[00:40:04.391 --> 00:40:07.312]  I thought the general public would care and get involved, and some did.
[00:40:07.312 --> 00:40:08.753]  You're the exceptional folks out there.
[00:40:08.753 --> 00:40:13.555]  Doesn't matter what color you are, you resonated, you cared, you got informed, you shared info.
[00:40:13.555 --> 00:40:14.655]  We all grew together.
[00:40:14.655 --> 00:40:15.636]  But you were a minority.
[00:40:17.998 --> 00:40:20.860]  But not in the military, not in the police, not in intelligence agencies.
[00:40:20.860 --> 00:40:27.405]  They would tune in and say, well a lot of this is stuff I don't even get, to higher levels of decompartmentalization.
[00:40:27.405 --> 00:40:39.013]  So people started tuning in to find out what's really going on, and then we started getting better information from people higher up, giving us a fuller and fuller battle space, as we reverse engineered the New World Order program.
[00:40:39.013 --> 00:40:41.775]  And that's what InfoWars is!
[00:40:41.775 --> 00:40:45.038]  And that's why it's got the Russians listening,
[00:40:46.445 --> 00:40:52.214]  Folks, I knew Vladimir Putin listened on a routine basis and got bull down reports on my show 10 years ago.
[00:40:52.214 --> 00:40:58.183]  That's not bragging, I would not talk about that 10 years ago because it sounded ridiculous.
[00:41:00.743 --> 00:41:04.945]  I knew that foreign leaders in England were getting briefings ten years ago.
[00:41:04.945 --> 00:41:06.685]  Ten years ago!
[00:41:06.685 --> 00:41:12.327]  They've got metrics and algorithms and computers, not just the United States, that can see trends.
[00:41:12.327 --> 00:41:17.489]  And they knew, just like six years ago, the billionaire lady that I ran into at a law firm.
[00:41:17.489 --> 00:41:20.571]  I looked up who she was later, and she was one of the richest women.
[00:41:20.571 --> 00:41:21.251]  I'm not going to get into it.
[00:41:21.251 --> 00:41:23.172]  She said, you're going to be the hottest thing in the world.
[00:41:23.172 --> 00:41:23.652]  And I said, why?
[00:41:23.652 --> 00:41:25.432]  She goes, because what you're saying is dead on.
[00:41:25.432 --> 00:41:27.933]  And it's all going to start coming true, and your credibility is going to skyrocket.
[00:41:27.933 --> 00:41:29.354]  Bye, I'm leaving to New Zealand.
[00:41:31.345 --> 00:41:36.269]  And the Cook Islands.
[00:41:36.269 --> 00:41:44.155]  So, is the revelation of what's going on from the enemy's own arrogant statements enough to get people to be concerned?
[00:41:44.155 --> 00:41:49.239]  This is not me saying they want to tax the internet and shut down free speech.
[00:41:49.239 --> 00:41:54.744]  Cass Sunstein, ten years ago, wrote two white papers.
[00:41:54.744 --> 00:41:55.744]  He proposed it.
[00:41:56.698 --> 00:42:12.330]  Eight years ago, when Obama first got into office, and it was shot down by Rolling Stone and Salon, back when liberals were still liberals to a certain extent, and were not promoting pedophilia.
[00:42:12.330 --> 00:42:14.892]  That's what Salon does now.
[00:42:14.892 --> 00:42:18.335]  Eight years ago, they said, it's spine-chilling, it's horrible, we've got to stop it.
[00:42:18.335 --> 00:42:22.838]  What is going on with Obama?
[00:42:22.838 --> 00:42:24.760]  Now they talk about how hot five-year-old girls are.
[00:42:26.581 --> 00:42:29.141]  Can't make this up.
[00:42:29.141 --> 00:42:30.982]  They're fully captured.
[00:42:30.982 --> 00:42:32.922]  That's why we're in such danger, people.
[00:42:32.922 --> 00:42:36.723]  Where is the old-fashioned liberal that was concerned about a police state or concerned about wars?
[00:42:36.723 --> 00:42:38.643]  They love wars now.
[00:42:38.643 --> 00:42:54.466]  And they've merged with the globalists and the neocons and the rhinos, and it's created just a delusional group of Froot Loops hell-bent on war, and they're trying to start one with Russia, and I'm gonna get to that coming up after I hit AI technology and other news.
[00:42:54.466 --> 00:42:55.826]  But first, ladies and gentlemen,
[00:42:56.992 --> 00:43:17.691]  I cut an ad this morning, and I'm so busy I can't recut it, that's going to be running throughout the week, where I list items that have sold out, and where I point out that free shipping is going to be extended until New Year's Day, and then I've got to stop, and how we're going to keep the 50 to 30 percent off, store-wide, on everything.
[00:43:17.691 --> 00:43:19.413]  Since I cut that ad,
[00:43:21.596 --> 00:43:32.238]  A couple hours ago, we have sold out of Silver Bullet that was 50% off, and Super Blue Fluoride Free Toothpaste with Colloidal Silver and Iodine added.
[00:43:32.238 --> 00:43:34.398]  Oh, that's an amazing product.
[00:43:34.398 --> 00:43:37.779]  Developed by a former dentist and oral surgeon and chemist.
[00:43:37.779 --> 00:43:39.919]  My dad.
[00:43:39.919 --> 00:43:42.140]  Made by the biggest manufacturer of toothpaste in the country.
[00:43:42.140 --> 00:43:43.360]  That is the organic type.
[00:43:43.360 --> 00:43:45.701]  Everybody knows their name.
[00:43:45.701 --> 00:43:47.101]  But we're not supposed to as private labeling say it.
[00:43:48.677 --> 00:43:49.719]  We're supposed to for whatever reason.
[00:43:49.719 --> 00:44:01.396]  The point is, that DNA Force is sold out, Secret 12, Mythical Monument is selling out, Bound Defense sold out, but that's the 50 billion
[00:44:04.332 --> 00:44:06.133]  We're good.
[00:44:24.588 --> 00:44:26.369]  But we've got Knockout hasn't sold out.
[00:44:26.369 --> 00:44:28.711]  Vitamin Mineral Fusion hasn't sold out.
[00:44:28.711 --> 00:44:30.312]  Liver Cleanse hasn't sold out.
[00:44:30.312 --> 00:44:31.693]  Anthroplex hasn't sold out.
[00:44:31.693 --> 00:44:33.554]  Super Mel Vitality hasn't sold out.
[00:44:33.554 --> 00:44:35.075]  Prostagard hasn't sold out.
[00:44:35.075 --> 00:44:36.897]  Just take Prostagard.
[00:44:36.897 --> 00:44:43.662]  It is less than the leading Saw Palmetto thing you hear advertised all over radio and TV.
[00:44:43.662 --> 00:44:53.729]  It's the same dose as that for roughly half the price with, what is it, nine or ten, I forget, other ingredients known to give you a healthier prostate and other glands as well.
[00:44:55.077 --> 00:44:59.980]  It's a Rolls-Royce for almost half the price.
[00:44:59.980 --> 00:45:01.981]  It's a little more than half the price of the leading competitor.
[00:45:01.981 --> 00:45:06.223]  And the leading competitor is the same dose of Sol Palmetto and then a bunch of filler.
[00:45:06.223 --> 00:45:08.064]  No filler in ours.
[00:45:08.064 --> 00:45:08.324]  $24.95.
[00:45:08.324 --> 00:45:13.767]  Normally 30-something bucks, but it's discounted right now.
[00:45:13.767 --> 00:45:17.089]  You cannot beat Krostigard.
[00:45:17.089 --> 00:45:19.510]  Every man above 40 should be taking it.
[00:45:20.595 --> 00:45:30.020]  In fact, salt palmetto is one of the few things that even doctors in the Food and Drug Administration say, no, you can say salt palmetto is good for your prostate because it's so good.
[00:45:30.020 --> 00:45:31.381]  But this isn't just salt palmetto.
[00:45:31.381 --> 00:45:34.122]  It's a bunch of other ingredients that synergistically work together.
[00:45:34.122 --> 00:45:36.604]  It blows people away.
[00:45:36.604 --> 00:45:38.045]  You want health?
[00:45:38.045 --> 00:45:39.565]  You want a lot more than that, quite frankly.
[00:45:39.565 --> 00:45:40.306]  I'm going to stop right there.
[00:45:42.264 --> 00:45:44.186]  Get on Prostagard today.
[00:45:44.186 --> 00:45:47.369]  You can call toll free, 888-253-3139.
[00:45:47.369 --> 00:45:50.552]  But we're extending free shipping until the 1st.
[00:45:50.552 --> 00:45:53.294]  In fact, let's put it up there because it triggers, folks.
[00:45:53.294 --> 00:45:54.956]  The Christmas tree.
[00:45:54.956 --> 00:45:59.560]  A video shot that Zimmerman got of the Christmas tree down by the Capitol here in Austin, Texas.
[00:45:59.560 --> 00:46:02.183]  They're so mad about the word Christmas.
[00:46:02.183 --> 00:46:04.365]  They're so upset about it.
[00:46:04.365 --> 00:46:05.166]  They're so angry.
[00:46:07.608 --> 00:46:10.751]  They are running around foaming at the mouth saying, don't use that word.
[00:46:10.751 --> 00:46:14.314]  It shows what a cult of sniveling mental patients they are.
[00:46:14.314 --> 00:46:19.759]  So Christmas is extended to throw it in the mental patients' faces.
[00:46:19.759 --> 00:46:27.586]  Free shipping, store wide, support the info war, get high quality products, help us go into the new year with the funding we need to battle the globalists.
[00:46:27.586 --> 00:46:32.150]  And so we also don't have a bunch of inventory, which we get charged a state tax on.
[00:46:32.150 --> 00:46:34.552]  For inventory in Texas, that is big.
[00:46:35.759 --> 00:46:38.740]  Yeah, Texas doesn't have an income tax, but it's got a bunch of other crap.
[00:46:38.740 --> 00:46:42.241]  Franchise taxes and inventory taxes.
[00:46:42.241 --> 00:46:43.281]  Texas isn't perfect, folks.
[00:46:43.281 --> 00:46:44.361]  I want to make it better.
[00:46:44.361 --> 00:46:46.061]  I want Vermont open carry.
[00:46:46.061 --> 00:46:49.102]  Just, you're not a criminal, you got an open carry right.
[00:46:49.102 --> 00:46:50.162]  Anyways, I'm digressing.
[00:46:50.162 --> 00:46:55.844]  Infowarslive.com is the nutraceuticals, the supplements, Infowarsstore.com is the umbrella site.
[00:46:55.844 --> 00:46:59.325]  Hillary for President 2017 with Soros in the back saying deport him.
[00:46:59.325 --> 00:47:00.345]  Soros is a little goblin.
[00:47:01.707 --> 00:47:06.149]  We also have the Trump With My President, a few sizes left in that, in red.
[00:47:06.149 --> 00:47:08.010]  We also have a lot of other great products.
[00:47:08.010 --> 00:47:12.191]  InfoWarsStore.com, free shipping storewide.
[00:47:12.191 --> 00:47:13.332]  All right, I'm done plugging.
[00:47:13.332 --> 00:47:18.594]  Take advantage of that through the new year, and we're doing that because it's been so popular.
[00:47:18.594 --> 00:47:27.398]  People like it, they appreciate it, and we have not sold out of everything, so we're going to keep it full tilt boogie until the end of the year.
[00:47:27.398 --> 00:47:27.658]  Okay.
[00:47:36.288 --> 00:47:39.051]  Let me do this so I can just take a break and then get focused when we come back.
[00:47:39.051 --> 00:47:44.417]  I'm very focused right now, but what happens is I get too focused.
[00:47:44.417 --> 00:47:47.880]  I have swimming in my brain right now.
[00:47:47.880 --> 00:47:50.142]  Hundreds of articles that I've looked at in the last day.
[00:47:51.169 --> 00:47:52.250]  That I want to go into.
[00:47:52.250 --> 00:47:53.991]  It's all just over the top.
[00:47:53.991 --> 00:48:11.881]  Right now, I'm so stunned that they actually kept the strongest provisions in the Anti-Free Speech Bill and have created a Ministry of Truth where the quote, Board of Governors of the FCC, Federal Communications Commission, is going to take over all communications in the U.S.
[00:48:13.396 --> 00:48:38.099]  Including internet kill switches, you name it, and start controlling the filters, deciding what sites you can go to, what articles you can go to, and they're installing Snopes, a lady, her husband, and their cat, in a mail-ordered diploma company that has six employees in Florida, as well as PolitiFact, with all its leftist leanings, over who will decide in this new federally funded board
[00:48:40.472 --> 00:48:47.418]  Fines, lawsuits, fees, filters, regulations, blocks, everything Cass Sunstein called for.
[00:48:47.418 --> 00:48:54.223]  It's just so mind-blowing that I'm going to get into that word for word in the next hour.
[00:48:54.223 --> 00:49:04.691]  We've got professors all over the United States saying it's time to murder all the white people, it's time to kill all the white people, we'll be better off when all the whites are dead.
[00:49:04.691 --> 00:49:08.875]  And then I see a new article on it every day with a new guy and they're almost all white.
[00:49:11.271 --> 00:49:16.253]  And then I realized, I don't want to even do, it doesn't do justice if I read one person saying this.
[00:49:16.253 --> 00:49:20.475]  What about all the professors that teach classes like the problem with whiteness?
[00:49:20.475 --> 00:49:23.997]  And who openly say whites are a disease, they're inherently evil.
[00:49:23.997 --> 00:49:30.200]  I mean, this is the biggest load of crap, the most racist, insane garbage.
[00:49:30.200 --> 00:49:35.102]  And it's being implanted onto the minorities that are just people like everybody else
[00:49:35.782 --> 00:49:51.115]  Who will be just as backward, just as knuckle-dragging, just as oppressive as any group of whites that's ever been oppressive, and then you know the whole world, the whole world's history is a bunch of different groups oppressing each other, and color has nothing to do with it!
[00:49:51.115 --> 00:49:58.382]  If anything, the West has been more altruistic, and more liberal, and more empowering.
[00:49:58.382 --> 00:50:00.844]  I mean, it has just reached crazy town levels.
[00:50:05.049 --> 00:50:10.232]  And it's all being pushed in the name of fighting racism.
[00:50:10.232 --> 00:50:15.335]  And it's federally globalist funded to create absolute total divide and conquer.
[00:50:15.335 --> 00:50:16.415]  We've got a breaking report.
[00:50:16.415 --> 00:50:21.558]  John Kerry is working on another UN resolution that would officially recognize a Palestinian state.
[00:50:21.558 --> 00:50:22.899]  People say, oh that's reasonable.
[00:50:22.899 --> 00:50:24.960]  Let Palestinians have their own state.
[00:50:24.960 --> 00:50:28.722]  It's going to cause massive uprisings and an entire explosion.
[00:50:30.851 --> 00:50:34.313]  And then there's no room in the Gaza Strip or the Golan Heights.
[00:50:34.313 --> 00:50:40.677]  None of the surrounding countries like Saudi Arabia or Jordan or Syria actually want that.
[00:50:40.677 --> 00:50:51.663]  And they've been funding an invasion of Syria for six years, sending in Sunni settlers into Syria.
[00:50:51.663 --> 00:50:55.585]  But nobody cares about that and the 300,000 people they've murdered.
[00:50:55.585 --> 00:50:57.946]  See, it's all the cause célèbre, the Palestinians.
[00:50:57.946 --> 00:50:59.968]  It's incredible BS.
[00:50:59.968 --> 00:51:00.388]  Stay with us.
[00:51:01.829 --> 00:51:09.932]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[00:51:09.932 --> 00:51:16.175]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:51:16.175 --> 00:51:21.797]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:51:21.797 --> 00:51:26.759]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:51:26.759 --> 00:51:28.980]  Go to LibertyOnCall.org.
[00:51:28.980 --> 00:51:30.481]  That's LibertyOnCall.org.
[00:51:31.889 --> 00:51:34.450]  We use cell phones against our heads every day.
[00:51:34.450 --> 00:51:35.850]  But now a landmark U.S.
[00:51:35.850 --> 00:51:41.471]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[00:51:41.471 --> 00:51:43.532]  The time to protect yourself is now.
[00:51:43.532 --> 00:51:45.392]  The solution is DefenderShield.
[00:51:45.392 --> 00:51:52.514]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[00:51:52.514 --> 00:51:54.434]  Buy now at DefenderShield.com.
[00:51:54.434 --> 00:51:56.635]  Use discount code DEFENDER for 10% off.
[00:51:56.635 --> 00:51:58.015]  DefenderShield.com.
[00:51:58.015 --> 00:52:00.576]  The worldwide leader in EMF radiation protection.
[00:52:04.972 --> 00:52:06.632]  Good day, America.
[00:52:06.632 --> 00:52:09.653]  Are you tired of your butt cheeks being frozen?
[00:52:09.653 --> 00:52:12.054]  Tired of cold hands or cold feet?
[00:52:12.054 --> 00:52:13.574]  I'm tired of the cold.
[00:52:13.574 --> 00:52:15.594]  Well, there's a new kid on the block.
[00:52:15.594 --> 00:52:17.295]  It's Fortress Clothing.
[00:52:17.295 --> 00:52:19.415]  Fortress will keep you warm.
[00:52:19.415 --> 00:52:22.976]  Fortress does what no other clothing company has ever done.
[00:52:22.976 --> 00:52:26.497]  We keep you warm in the cold, even when wet.
[00:52:26.497 --> 00:52:28.257]  You heard that right, even when wet.
[00:52:28.917 --> 00:52:34.820]  No BS, no gimmicks, work, play, sweat in the cold, and stay warm.
[00:52:34.820 --> 00:52:38.241]  So quit your complaining and go to FortressClothing.com.
[00:52:38.241 --> 00:52:39.702]  FortressClothing.com.
[00:52:39.702 --> 00:52:44.144]  Enter coupon code AMERICA and get 20% off any item.
[00:52:44.144 --> 00:52:48.326]  Mittens, jackets, pants, balaclavas, or hot socks.
[00:52:48.326 --> 00:52:49.786]  FortressClothing.com.
[00:52:49.786 --> 00:52:51.927]  Enter coupon code AMERICA.
[00:52:51.927 --> 00:52:54.728]  You're going to love being warm all winter long.
[00:52:54.728 --> 00:52:55.889]  FortressClothing.com.
[00:53:01.042 --> 00:53:07.808]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:53:07.808 --> 00:53:12.071]  Since 2005, thousands have depended on Berkey Purified Water.
[00:53:12.071 --> 00:53:16.695]  The Berkey guy provides the lowest price filtration systems in every size.
[00:53:16.695 --> 00:53:22.279]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:53:22.279 --> 00:53:22.379]  877-886-3653.
[00:53:22.379 --> 00:53:22.740]  GoBerkey.com.
[00:53:30.666 --> 00:53:31.846]  Are you prepared to bug out?
[00:53:31.846 --> 00:53:39.889]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:53:39.889 --> 00:53:41.969]  Skills you'll need when it hits the fan.
[00:53:41.969 --> 00:53:43.670]  Go to DrivenDVD.com.
[00:53:43.670 --> 00:53:45.650]  DrivenDVD.com.
[00:53:45.650 --> 00:53:51.032]  Advertising your business with GCN is simple, effective, and more affordable than you might think.
[00:53:51.032 --> 00:53:54.693]  Visit Advertise.GCNLive.com for more info.
[00:53:54.693 --> 00:53:56.633]  Take your business to the next level.
[00:53:56.633 --> 00:53:59.694]  That's Advertise.GCNLive.com.
[00:54:13.792 --> 00:54:16.076]  This is the heart of 1776.
[00:54:16.076 --> 00:54:18.720]  You're a f***ing white man!
[00:54:18.720 --> 00:54:23.989]  It's also what happens when you listen to the radio host, Alex Jones.
[00:54:23.989 --> 00:54:25.191]  Move, bitch!
[00:54:25.191 --> 00:54:26.072]  Get out the way!
[00:54:28.087 --> 00:54:34.231]  We pledge allegiance to one flag, and that flag is the American flag.
[00:54:34.231 --> 00:54:38.793]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:54:38.793 --> 00:54:41.955]  It's been a cozy relationship from the beginning.
[00:54:41.955 --> 00:54:43.636]  I will not let you down.
[00:54:43.636 --> 00:54:46.758]  You'll be very, very impressed, I hope.
[00:54:46.758 --> 00:54:48.278]  And I think we'll be speaking a lot.
[00:54:48.278 --> 00:54:50.480]  Donald Trump and Alex Jones.
[00:54:50.480 --> 00:54:54.562]  This means that Donald Trump will be the 45th president.
[00:55:01.907 --> 00:55:05.150]  Waging war on corruption, as I keep telling people.
[00:55:05.150 --> 00:55:08.672]  We're promoting freedom and prosperity.
[00:55:08.672 --> 00:55:11.294]  Americana, the sexiest thing this planet ever produced.
[00:55:11.294 --> 00:55:14.176]  Not perfect, but a hell of a lot better than what other countries had.
[00:55:14.176 --> 00:55:19.900]  Because we expropriated all the good and tried to throw the bad to the side.
[00:55:19.900 --> 00:55:20.961]  Doesn't mean we were perfect.
[00:55:22.210 --> 00:55:27.932]  But they're now selling global poverty and global pain and global austerity.
[00:55:27.932 --> 00:55:32.693]  It's not hard to beat that if we've got a platform to challenge it.
[00:55:32.693 --> 00:55:35.434]  And the globalists thought the internet would be their system of control.
[00:55:35.434 --> 00:55:37.255]  It blew up in their face.
[00:55:37.255 --> 00:55:50.019]  I'm going to open the phones up in the next hour ahead of Matt Bracken, former Navy SEAL bestselling author, to look at the next 24 days and how he believes they may try to destabilize things to
[00:55:51.528 --> 00:55:58.871]  Stop Trump from getting into office or have him go into such a crisis that they can take control of his administration before he ever gets in.
[00:55:58.871 --> 00:56:00.772]  Clearly, they're killing Russian diplomats.
[00:56:00.772 --> 00:56:04.713]  Clearly, they're trying to start a war with Russia, shooting down this aircraft.
[00:56:04.713 --> 00:56:14.878]  I predicted hundreds of times you'd start seeing, in the Black Sea, in the Mediterranean, aircraft being shot down by ISIS-slash-Al Qaeda al-Nusra.
[00:56:14.878 --> 00:56:20.360]  We've seen three Russian passenger liners in the last year blown up.
[00:56:21.929 --> 00:56:27.773]  And in two cases, the jihadis released a video of the missiles being fired.
[00:56:27.773 --> 00:56:30.896]  Putin does not want to promote this, but he is investigating it.
[00:56:30.896 --> 00:56:34.939]  They're trying to say it's not terror, they hope, because they don't want to have to be goaded into response.
[00:56:34.939 --> 00:56:38.542]  They're hoping things change once Trump gets in.
[00:56:38.542 --> 00:56:46.788]  The problem is there's so many sleeper cells and globalist operatives in NATO and in our own military, and so many Arabists and others.
[00:56:48.271 --> 00:56:51.234]  That we're not out of the woods by a long shot.
[00:56:51.234 --> 00:56:52.396]  I'm going to tie this into Kerry.
[00:56:52.396 --> 00:56:53.997]  I'm going to tie this into Israel.
[00:56:53.997 --> 00:56:59.063]  I'm going to tie it into the cold facts, not which side we want to take here.
[00:56:59.063 --> 00:57:00.785]  I've got issues with things Israel's done.
[00:57:00.785 --> 00:57:02.927]  I've got issues with the Palestinians.
[00:57:02.927 --> 00:57:05.430]  Most of the Palestinians are just Sunni invaders.
[00:57:05.430 --> 00:57:07.792]  They're trying to take over lands they couldn't take over Israel.
[00:57:09.134 --> 00:57:16.159]  So they're now trying to take over Syria, they're murdering Shiites and Christians and others en masse, and there's nobody crying for them.
[00:57:16.159 --> 00:57:34.334]  Our same media saying Israel's illegitimate, our same media saying have UN resolutions against it, and Hollywood, is the same media that cheerleaded hundreds of thousands of Syrian people being killed when Wahhabists invaded from all over the world, from Chechnya to Pakistan to Qatar to Saudi Arabia.
[00:57:37.290 --> 00:57:40.052]  And now it's up on InfoWars.com.
[00:57:40.052 --> 00:57:46.638]  John Kerry is working on another UN resolution that would officially recognize a Palestinian state.
[00:57:46.638 --> 00:57:54.685]  And Michael Schneider of the Economic Collapse blog links to all the actual statements where they admit the resolution is being prepared.
[00:57:54.685 --> 00:57:59.429]  And the Times of Israel says that Netanyahu is also anticipating it.
[00:57:59.429 --> 00:58:01.390]  I know it's trendy to hate Israel.
[00:58:01.390 --> 00:58:03.372]  I know it's really cool with the right wing and left wing.
[00:58:05.672 --> 00:58:11.614]  I'm not an enemy of Israel, even though I've been attacked by the Israeli lobby that does go around bullying.
[00:58:11.614 --> 00:58:17.295]  That said, though, I'm not siding with the Islamicists that are running around having their kids suicide-bombed.
[00:58:17.295 --> 00:58:19.976]  I'd go to hell before I do that.
[00:58:19.976 --> 00:58:30.579]  So just because a bunch of leftists in the whole Israel lobby lie about me and stuff doesn't mean I'm falling to their level or to the level even below that of the crazy, frickin' Islamicists.
[00:58:32.153 --> 00:58:35.317]  But again, this is a larger geopolitical move to get us into a war with Russia.
[00:58:35.317 --> 00:58:36.018]  I'm going to break it down.
[00:58:36.018 --> 00:58:38.862]  I'm also going to get into this AI stuff I haven't gotten to yet.
[00:58:38.862 --> 00:58:40.504]  Second hour is key.
[00:58:40.504 --> 00:58:42.166]  Stay with us.
[00:58:42.166 --> 00:58:45.731]  You are listening to GCN.
[00:58:45.731 --> 00:58:46.732]  Visit GCNlive.com today.
[00:58:51.528 --> 00:58:58.250]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:58:58.250 --> 00:59:06.212]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:59:06.212 --> 00:59:16.715]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:59:16.915 --> 00:59:21.861]  Go to InfoWars.com forward slash app and download today.
[00:59:21.861 --> 00:59:26.187]  InfoWars Prime is available right now for your iPhone or Android.
[00:59:26.187 --> 00:59:31.092]  You will have access to exclusive videos that you can't see anywhere else.
[00:59:31.092 --> 00:59:36.419]  That means live coverage of events and breaking news on location as it happens.
[00:59:36.619 --> 00:59:43.685]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:59:43.685 --> 00:59:48.029]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:59:48.029 --> 00:59:54.114]  If you can hear my voice, you are the resistance.
[00:59:54.114 --> 00:59:56.776]  You're listening to the Alex Jones Show.
[01:00:05.474 --> 01:00:10.231]  Resurrected in Rogue One, Princess Leia has made the jump into hyperspace.
[01:00:13.780 --> 01:00:18.624]  Big Brother, mainstream media, government cover-ups.
[01:00:18.624 --> 01:00:20.305]  You want to stop tyranny?
[01:00:20.305 --> 01:00:21.966]  Well, so does he.
[01:00:21.966 --> 01:00:26.770]  Live from the InfoWars.com studios, it's Alex Jones.
[01:00:26.770 --> 01:00:28.992]  This just in!
[01:00:28.992 --> 01:00:39.480]  Carrie Fisher, who was flying in over the Christmas holiday from London into New York, had a heart attack on board, was in critical condition over the weekend, and it's just been announced she has died.
[01:00:40.495 --> 01:00:45.899]  So Princess Leia has made the jump into hyperspace.
