[00:00:00.029 --> 00:00:00.090]  You
[00:58:56.186 --> 00:58:57.226]  They want to kill you and your family.
[00:59:00.196 --> 00:59:03.359]  Infowarslife.com, oil of oregano formulation.
[00:59:03.639 --> 00:59:08.924]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:59:09.244 --> 00:59:17.152]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:59:17.592 --> 00:59:23.274]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:59:23.735 --> 00:59:32.518]  Extracted directly from the wild herb and sealed in easy-to-use capsules, you will no longer need to endure the burning of liquid oregano on the tongue.
[00:59:32.818 --> 00:59:35.179]  Used since before the days of the Roman Empire.
[00:59:35.479 --> 00:59:35.939]  We're good.
[01:00:02.575 --> 01:00:06.758]  You're listening to the Alex Jones Show.
[01:00:12.843 --> 01:00:18.867]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:19.467 --> 01:00:22.450]  It's Alex Jones and the GCN Radio Network.
[01:00:26.326 --> 01:00:33.532]  Donald Trump has shown an extraordinary ability to understand how our economy works, to create jobs for the American people.
[01:00:34.052 --> 01:00:40.357]  What little he has said is enough to know that he would be very bad for American workers and for American families.
[01:00:41.397 --> 01:00:44.840]  He understands that our economy is facing threats from abroad.
[01:00:45.380 --> 01:00:48.523]  He's one of the few people who stood up and said, you know what, China has been cheating.
[01:00:49.123 --> 01:00:51.164]  They've taken jobs from Americans.
[01:00:51.224 --> 01:00:52.184]  They haven't played fair.
[01:00:52.605 --> 01:00:54.646]  We have to have a president who will stand up to cheaters.
[01:00:54.926 --> 01:01:00.368]  His proposed 35% tariff-like penalties would instigate a trade war.
[01:01:01.268 --> 01:01:09.412]  And that would raise prices for consumers, kill our export jobs, and lead entrepreneurs and businesses of all stripes to flee America.
[01:01:10.353 --> 01:01:15.458]  I spent my life in the private sector, not quite as successful as this guy, but successful nonetheless.
[01:01:15.939 --> 01:01:26.329]  Sufficiently successful to understand what it takes to get America to be the most attractive place in the world for innovators, entrepreneurs, and business and job creators.
[01:01:26.749 --> 01:01:28.932]  He inherited his business, he didn't create it.
[01:01:29.913 --> 01:01:31.915]  A business genius he is not.
[01:01:34.471 --> 01:01:35.492]  Rob Dewey put that together.
[01:01:35.532 --> 01:01:37.053]  We're going to put that up on Infowars.com.
[01:01:37.113 --> 01:01:38.533]  I'm going to do a blurb.
[01:01:38.553 --> 01:01:40.134]  I'm going to send it to Drudge and everybody else.
[01:01:40.154 --> 01:01:41.175]  I'm going to put it on our Facebook.
[01:01:41.215 --> 01:01:41.915]  It needs to go viral.
[01:01:42.176 --> 01:01:42.996]  What do you call that?
[01:01:45.197 --> 01:01:49.940]  Romney caught in incredible lies about Trump, but it's worse than that.
[01:01:50.000 --> 01:01:58.005]  It's like Mitt Romney, the most two-faced man in history, or Mitt Romney
[01:02:02.435 --> 01:02:03.876]  Praises Trump, then attacks Trump.
[01:02:03.896 --> 01:02:08.459]  I mean, what do you say in the headline so that people click on it to relay how important that video is?
[01:02:08.499 --> 01:02:08.819]  Guys?
[01:02:08.859 --> 01:02:09.199]  Gals?
[01:02:09.620 --> 01:02:10.380]  In the control room?
[01:02:12.302 --> 01:02:13.102]  What do I call that?
[01:02:13.142 --> 01:02:15.844]  Ask Kit Daniels, ask Saddam Salazar, ask Jokari, somebody.
[01:02:16.324 --> 01:02:17.385]  What do you call that?
[01:02:20.727 --> 01:02:22.428]  When we come back from break, I'm going to try to come up with a headline.
[01:02:22.448 --> 01:02:28.272]  Because, I mean, a video that short, a minute and ten seconds long, and that powerful, has got to go viral.
[01:02:28.352 --> 01:02:29.613]  And I just need to think of the name of it.
[01:02:34.324 --> 01:02:35.664]  I don't know what you call that video.
[01:02:36.224 --> 01:02:37.885]  By the way, I didn't plug anything last hour.
[01:02:37.925 --> 01:02:40.965]  I got so upset about how humans have been turned into commodities.
[01:02:41.705 --> 01:02:42.986]  How we don't stand up for each other.
[01:02:43.426 --> 01:02:44.386]  Nobody'll stand up for us.
[01:02:44.526 --> 01:02:46.166]  It's just a metaphysical rule.
[01:02:47.207 --> 01:02:52.228]  And I got into some pretty hardcore subjects, but it's just, I've been fighting the globalist 25 years, 21 years on air.
[01:02:53.168 --> 01:02:55.068]  And I, about 24 years actually.
[01:02:55.128 --> 01:02:58.889]  And I just have come pretty much to the bottom of the rabbit hole.
[01:03:00.015 --> 01:03:06.217]  And scientifically, historically, I mean, as a sociologist, as an anthropologist, this is what the elite believe they're doing.
[01:03:07.778 --> 01:03:11.380]  You look at the Super Bowl, you look at the Emmys, the Grammys, it's all weird ritual.
[01:03:11.940 --> 01:03:15.561]  They had the Tower of Babel at the Academy Awards and other weird stuff.
[01:03:16.321 --> 01:03:22.164]  I mean, they admit at the Olympics they're doing global government rituals and things.
[01:03:24.508 --> 01:03:29.231]  At the New Millennium and in Egypt, it was all over national television, they were doing an Illuminati ritual.
[01:03:29.611 --> 01:03:33.194]  These people are really into this stuff, and they believe they're getting power out of it.
[01:03:34.154 --> 01:03:35.155]  Now, are they just insane?
[01:03:35.215 --> 01:03:36.376]  Maybe so, but they're in power.
[01:03:39.619 --> 01:03:42.781]  What's your view on Romney coming out against him and flip-flopping?
[01:03:42.821 --> 01:03:52.326]  What's your view on Hillary and the Justice Department grants immunity to Hillary Clinton's email server technician, which some most say means they're getting ready to go after her.
[01:03:53.106 --> 01:03:53.806]  Is that really true?
[01:03:53.826 --> 01:03:55.347]  Could she get past the FBI primary?
[01:03:56.468 --> 01:03:59.409]  She may be able to steal the election, but can she continue to get away with her crimes?
[01:04:00.430 --> 01:04:06.173]  But again, just briefly, you got to stand with Infowars as well, because we really are out on the field against the dragon.
[01:04:08.240 --> 01:04:12.443]  I don't think anybody else is more out there against the enemy but a Donald Trump or a Matt Drudge.
[01:04:15.805 --> 01:04:18.846]  A Breitbart or a World End Daily, I mean, and none of us are perfect.
[01:04:20.568 --> 01:04:25.651]  You know, even Limbaugh has been kind of coming out against Trump all of a sudden, which shows they put the screws to him.
[01:04:25.671 --> 01:04:28.352]  On one hand, he wants to have an audience that I'm sure likes Trump.
[01:04:28.372 --> 01:04:30.874]  On the other hand, you know, they got people breathing down his neck.
[01:04:31.823 --> 01:04:34.888]  Boy, if anybody's been blackmailed, it's him over stuff that just doesn't matter.
[01:04:35.449 --> 01:04:36.311]  That's why I'm a libertarian.
[01:04:36.331 --> 01:04:43.143]  I don't care what he's doing as a man with women, or what he's doing with Viagra coming through the airport, or pain pills because his back's hurt.
[01:04:43.183 --> 01:04:44.225]  I mean, just, you know, that's his issue.
[01:04:46.580 --> 01:04:48.702]  Uh, but it just shows how they're controlling people.
[01:04:48.742 --> 01:04:51.505]  So that's why, whether they attack me, make stuff up, whatever.
[01:04:51.625 --> 01:04:52.586]  Hey, I'm out here on the field.
[01:04:53.027 --> 01:04:54.128]  So you gotta support what we're doing.
[01:04:54.148 --> 01:04:54.768]  Just like with Trump.
[01:04:55.269 --> 01:04:56.950]  Uh, got a big sale on colloidal silver.
[01:04:56.970 --> 01:04:57.411]  50% off.
[01:04:57.471 --> 01:04:59.653]  It's only running until, I guess, Sunday.
[01:04:59.673 --> 01:05:00.974]  Had a bunch of other specials.
[01:05:01.074 --> 01:05:02.536]  Anthroplex, sold out for a while.
[01:05:02.596 --> 01:05:03.337]  It's back in stock.
[01:05:03.717 --> 01:05:06.159]  Infowarslife.com or infowarsstore.com.
[01:05:06.420 --> 01:05:08.682]  And get the Hillary for Prison shirt, the new limited edition.
[01:05:11.184 --> 01:05:12.005]  Breaking news!
[01:05:12.145 --> 01:05:16.629]  Marco Rubio quietly cancels rallies in Kentucky and Louisiana.
[01:05:16.749 --> 01:05:22.434]  Marco Rubio was scheduled to appear at two rallies in both of those locations.
[01:05:22.554 --> 01:05:25.677]  Both events are now canceled according to the Rubio campaign.
[01:05:25.817 --> 01:05:36.407]  This coming on the same day that failure Mittens Romney is going to actually come out and give a speech on the state of the GOP and urge supporters
[01:05:36.687 --> 01:05:37.427]  We're good to go.
[01:05:57.659 --> 01:06:03.386]  Go to infowars.com forward slash show and watch tonight's live coverage of the GOP debate.
[01:06:03.527 --> 01:06:05.910]  You can find more reports like this at infowars.com.
[01:06:09.833 --> 01:06:14.655]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[01:06:14.915 --> 01:06:23.559]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[01:06:23.579 --> 01:06:27.540]  Longevity also offers you an ingenious way to augment your income.
[01:06:27.700 --> 01:06:28.401]  And the best part?
[01:06:28.501 --> 01:06:31.082]  You'll be helping your friends and family along the way.
[01:06:31.362 --> 01:06:33.823]  Visit InfoWarsTeam.com today.
[01:06:33.983 --> 01:06:34.603]  Become a member.
[01:06:34.763 --> 01:06:38.825]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[01:06:39.045 --> 01:06:45.528]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[01:06:45.788 --> 01:06:46.489]  Another win-win.
[01:06:46.729 --> 01:06:50.310]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[01:06:50.470 --> 01:06:51.451]  And you can be too.
[01:06:51.711 --> 01:06:52.171]  It's simple.
[01:06:52.271 --> 01:06:55.073]  Just go to Infowarsteam.com today.
[01:06:55.193 --> 01:06:57.114]  Complete a short sign-up and you're part of the team.
[01:06:57.294 --> 01:07:00.375]  That's Infowarsteam.com or Infowarshealth.com.
[01:07:00.555 --> 01:07:06.718]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[01:07:06.858 --> 01:07:08.159]  Check it out for yourself today.
[01:07:09.705 --> 01:07:12.687]  A clean, toxic-free body is the foundation of true health.
[01:07:12.908 --> 01:07:15.069]  Deep Cleanze by InfoWarsLife.com.
[01:07:15.249 --> 01:07:21.975]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:07:22.275 --> 01:07:27.439]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:07:27.599 --> 01:07:36.606]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[01:07:37.006 --> 01:07:45.632]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:07:45.893 --> 01:07:52.818]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[01:07:52.978 --> 01:07:58.382]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best price.
[01:07:58.462 --> 01:07:59.483]  It's never gonna get any better.
[01:07:59.503 --> 01:08:00.063]  Don't look for it.
[01:08:00.083 --> 01:08:01.123]  Be happy with what you got.
[01:08:19.477 --> 01:08:22.559]  Because the owners of this country don't want that.
[01:08:23.099 --> 01:08:24.740]  I'm talking about the real owners now.
[01:08:25.141 --> 01:08:30.804]  The real owners, the big wealthy business interests that control things and make all the important decisions.
[01:08:31.164 --> 01:08:32.405]  Forget the politicians.
[01:08:32.625 --> 01:08:35.907]  The politicians are put there to give you the idea that you have freedom of choice.
[01:08:37.488 --> 01:08:37.909]  You don't.
[01:08:38.709 --> 01:08:39.690]  You have no choice.
[01:08:40.070 --> 01:08:40.991]  You have owners.
[01:08:41.291 --> 01:08:42.232]  They own you.
[01:08:43.544 --> 01:08:44.845]  They own everything.
[01:08:45.085 --> 01:08:46.726]  They own all the important land.
[01:08:47.087 --> 01:08:48.828]  They own and control the corporations.
[01:08:48.868 --> 01:08:52.331]  They've long since bought and paid for the Senate, the Congress, the state houses, the city halls.
[01:08:52.351 --> 01:08:53.952]  They got the judges in their back pockets.
[01:08:54.272 --> 01:08:59.095]  And they own all the big media companies, so they control just about all of the news and information you get to hear.
[01:08:59.276 --> 01:09:00.877]  They got you by the balls!
[01:09:02.398 --> 01:09:04.459]  They want obedient workers.
[01:09:04.940 --> 01:09:06.420]  Obedient workers.
[01:09:06.761 --> 01:09:19.448]  People who are just smart enough to run the machines and do the paperwork, and just dumb enough to passively accept jobs with the lower pay, the longer hours, the reduced benefits, the end of overtime, and the vanishing pension that disappears the minute you go to collect it.
[01:09:19.508 --> 01:09:22.770]  And now, they're coming for your social security money.
[01:09:23.230 --> 01:09:25.892]  So they can give it to their criminal friends on Wall Street.
[01:09:27.312 --> 01:09:28.193]  It's a big club.
[01:09:29.198 --> 01:09:29.838]  And you ain't in it.
[01:09:29.858 --> 01:09:35.560]  And you said recently, quote, when you give, they do whatever the hell you want them to do.
[01:09:35.900 --> 01:09:36.781]  You better believe it.
[01:09:36.881 --> 01:09:38.761]  So what specifically did they do?
[01:09:39.201 --> 01:09:44.363]  If I ask them, if I need them, you know, most of the people on this stage I've given to, just so you understand.
[01:09:44.583 --> 01:09:45.204]  A lot of money.
[01:09:45.824 --> 01:09:48.525]  You and I are not in the big club.
[01:09:48.885 --> 01:09:50.825]  The owners of this country know the truth.
[01:09:51.466 --> 01:09:55.167]  It's called the American dream because you have to be asleep to believe it.
[01:09:56.587 --> 01:09:58.088]  But I'll tell you what they don't want.
[01:09:58.448 --> 01:10:01.930]  They don't want a population of citizens capable of critical thinking.
[01:10:01.970 --> 01:10:05.871]  They don't want well-informed, well-educated people capable of critical thinking.
[01:10:05.891 --> 01:10:06.872]  They're not interested in that.
[01:10:07.152 --> 01:10:08.072]  That doesn't help them.
[01:10:08.473 --> 01:10:09.833]  That's against their interest.
[01:10:10.334 --> 01:10:10.754]  That's right.
[01:10:11.014 --> 01:10:16.076]  From the front lines of the information war, it's Alex Jones.
[01:10:18.497 --> 01:10:19.618]  The great George Carlin!
[01:10:21.804 --> 01:10:23.146]  I kind of like the puppet on the left.
[01:10:23.186 --> 01:10:24.828]  Hey, I kind of like the puppet on the right.
[01:10:25.428 --> 01:10:27.431]  Wait a minute, there's one guy holding both puppets.
[01:10:27.471 --> 01:10:30.234]  That, of course, the late, great as well, Bill Hicks.
[01:10:31.836 --> 01:10:33.037]  And that's where we stand today.
[01:10:33.077 --> 01:10:35.820]  And then in comes Trump saying, I'm not spending money on ads.
[01:10:36.181 --> 01:10:38.023]  I'm not getting all the inside strategists.
[01:10:38.323 --> 01:10:39.685]  I'm not going to go meet with the Koch brothers.
[01:10:39.725 --> 01:10:41.287]  If he'd have done all that, they'd put him in.
[01:10:43.072 --> 01:10:46.394]  He says, I'm not going to let China have a 20% internal tariff on us.
[01:10:46.434 --> 01:10:47.114]  That's not fair.
[01:10:47.834 --> 01:10:51.056]  And they say, no, you will not be president.
[01:10:51.936 --> 01:10:53.317]  Bring in Romney.
[01:10:54.777 --> 01:10:58.439]  And I played this one minute, 10 second clip earlier.
[01:10:58.459 --> 01:10:59.259]  I'm going to play it again.
[01:10:59.700 --> 01:11:00.720]  We're putting it up on YouTube.
[01:11:00.740 --> 01:11:02.141]  We're going to write a little blurb around it.
[01:11:05.682 --> 01:11:09.244]  And I guess you would label it this video.
[01:11:11.075 --> 01:11:14.436]  Destroys Mitt Romney's claims against Trump.
[01:11:15.796 --> 01:11:16.097]  That's it.
[01:11:16.177 --> 01:11:19.317]  This video destroys Mitt Romney's claims against Trump.
[01:11:19.578 --> 01:11:20.238]  That's the name of it.
[01:11:20.418 --> 01:11:20.738]  Tweet it.
[01:11:20.778 --> 01:11:21.278]  Facebook it.
[01:11:21.558 --> 01:11:22.158]  I want to get it up.
[01:11:22.198 --> 01:11:23.779]  I want a maximum push on this video.
[01:11:25.659 --> 01:11:40.644]  And then under it just lists how the whole articles with the whole power structure, the Pope, the Communist Chinese murderers, the Mexican president with his narcotics trafficking brother, just everybody, the whole establishment, Davos, the Clintonistas, the Bushes, the Koch brothers,
[01:11:42.677 --> 01:11:56.186]  Man, I can't tell you how many times snot-nosed pseudo-intellectuals would email me or call me or, like, walk up to me at a table in a restaurant and go, kind of liked your show for a while, so I thought I'd invite you and the Koch brothers.
[01:11:56.866 --> 01:12:00.909]  And this started, like, ten years ago, and I'd go, I'd read their name and I'd call them Koch brothers.
[01:12:01.569 --> 01:12:07.873]  Because, you know, there's a bunch of billionaire donors, and they're one of the biggest, but overall they're outnumbered by a bunch of others, and they used to only buy Democrats.
[01:12:08.976 --> 01:12:09.477]  What's his name?
[01:12:10.037 --> 01:12:22.371]  Greg Palast is a big liberal, and he's a great investigative journalist many times, and he's like, oh, they're really Democrats, but they've been trying to buy the Republicans for 20 years, and now almost spend exclusively with them to make them, you know, neocon rhinos, which is true!
[01:12:23.305 --> 01:12:37.358]  And then these pseudo-intellectuals come up and go, I know you're paid by, boy I sure wish I was, it's like this, like, like, like, I know you're paid by the Chinese government, I know you're paid by the Jews, I know you're paid by the Masons, I know you're paid by the Vatican, I know you're paid, because I'm morally superior to you, I just say that, and then don't listen to anything you have to say.
[01:12:37.378 --> 01:12:43.104]  And then here we are fighting the Koch brothers toe-to-toe, they're responding to Stone in my show, saying,
[01:12:44.164 --> 01:12:53.431]  We didn't, at the secret meeting, call for Rubio to have a new campaign head, and we didn't call for a broker convention, we didn't give $25 million with a $50 million pledge.
[01:12:53.851 --> 01:12:55.512]  It's all come out since then.
[01:12:56.653 --> 01:12:57.434]  They deny it.
[01:13:00.176 --> 01:13:01.016]  They deny it.
[01:13:02.037 --> 01:13:03.358]  And now it's all come out.
[01:13:03.838 --> 01:13:06.300]  Their cheap strategist goes to run Rubio's campaign.
[01:13:06.681 --> 01:13:07.081]  Saturday.
[01:13:12.088 --> 01:13:19.554]  And now it's being reported the Koch brothers eyeing Rubio for a billion dollar campaign contribution.
[01:13:19.754 --> 01:13:20.715]  That was them last year.
[01:13:21.115 --> 01:13:23.317]  They've already given hundreds of millions of the campaign.
[01:13:23.337 --> 01:13:31.163]  But here's what was great about them in the New York Times, the Washington Post on Saturday, the morning after Stone broke all that and Drudge linked to it.
[01:13:32.204 --> 01:13:35.107]  They were already countering Drudge by Saturday night and Sunday.
[01:13:37.629 --> 01:13:38.870]  And Stone's coming on in 20 minutes.
[01:13:41.031 --> 01:13:41.632]  It was incredible.
[01:13:44.346 --> 01:13:47.451]  They said we've given no money to the primaries.
[01:13:47.491 --> 01:13:48.133]  You can pull it up.
[01:13:48.613 --> 01:13:55.986]  And we're not going to be involved in the primaries when they have been involved all over the place in hundreds of articles in their own statements.
[01:13:56.960 --> 01:14:00.222]  Just like you can keep your doctor if you want your doctor, and Obamacare is free.
[01:14:00.842 --> 01:14:04.425]  And they're raising the debt limit, doesn't raise the debt, 2 plus 2 equals 5.
[01:14:04.885 --> 01:14:07.667]  And no one wants your guns, but we are trying to ban them.
[01:14:08.707 --> 01:14:11.609]  And Bill Clinton didn't have sex with that woman, Monica Lewinsky.
[01:14:11.929 --> 01:14:13.931]  And Trump has not decried the Klan.
[01:14:13.951 --> 01:14:15.672]  They're still saying he hasn't decried the Klan.
[01:14:16.312 --> 01:14:17.653]  It's got to be 30, 40 times now.
[01:14:17.693 --> 01:14:20.475]  It's like 14 times by Tuesday that I've seen
[01:14:21.903 --> 01:14:24.685]  Three times in a row in the same press conference.
[01:14:24.745 --> 01:14:27.206]  I've decried it last week, this week, 15 years ago.
[01:14:27.246 --> 01:14:28.027]  I decry it again.
[01:14:28.047 --> 01:14:29.047]  I'm not part of it.
[01:14:29.087 --> 01:14:29.628]  I think it's terrible.
[01:14:30.048 --> 01:14:30.528]  Next question.
[01:14:30.949 --> 01:14:32.990]  Why will you not decry the Klan?
[01:14:34.771 --> 01:14:35.631]  I just did a minute ago.
[01:14:35.651 --> 01:14:36.912]  Okay, I decry it again.
[01:14:36.932 --> 01:14:37.452]  Another one.
[01:14:37.593 --> 01:14:38.273]  Why don't you decry?
[01:14:38.293 --> 01:14:38.933]  I just did it!
[01:14:40.614 --> 01:14:41.475]  Well, now you won't.
[01:14:43.636 --> 01:14:51.321]  And that's why when I had the consummate hacker and computer programmer, John McAfee, on yesterday,
[01:14:55.056 --> 01:15:00.857]  I mean, if you want to say somebody has basically gone over to a culture, that's what McAbee likes.
[01:15:00.917 --> 01:15:04.018]  I mean, I've known him for years, and he's well known that he mainly has black girlfriends.
[01:15:04.058 --> 01:15:07.519]  He's now married to a black lady, and I don't think he's even gone black.
[01:15:07.559 --> 01:15:09.879]  He's kind of gone urban, whatever.
[01:15:09.899 --> 01:15:10.479]  That's what he likes.
[01:15:10.559 --> 01:15:16.021]  Guns, pit bulls, you know, techno music, which is kind of the white trendies.
[01:15:18.841 --> 01:15:21.662]  And I just kept saying, say.
[01:15:23.897 --> 01:15:25.038]  That you decry the Klan.
[01:15:26.138 --> 01:15:27.699]  He goes, okay, I decry the Klan.
[01:15:27.759 --> 01:15:29.320]  And I said, why won't you decry them?
[01:15:29.340 --> 01:15:29.961]  And he goes, but I just did.
[01:15:30.001 --> 01:15:30.781]  I said, no, you didn't.
[01:15:31.301 --> 01:15:32.302]  He goes, fine, I decry the Klan.
[01:15:32.442 --> 01:15:39.146]  Then he gets, he starts laughing, but still getting irritated, because he's a man, successful, made hundreds of millions of dollars, been a major executive, owned a big company.
[01:15:39.566 --> 01:15:40.427]  It's still not fun.
[01:15:41.047 --> 01:15:42.548]  But I did it to illustrate that, not to be mean.
[01:15:42.588 --> 01:15:44.449]  And I said, why won't you decry them?
[01:15:44.469 --> 01:15:47.311]  He goes, listen, I'm married to a black lady, and my best friend's a black guy.
[01:15:47.431 --> 01:15:48.011]  Look, I'm not.
[01:15:48.411 --> 01:15:50.032]  And he goes, I know this is a joke, but this is crazy.
[01:15:50.052 --> 01:15:52.694]  And I said, buddy, you got a Klan problem.
[01:15:53.888 --> 01:15:57.810]  Now, I did that to show how ridiculous this is.
[01:15:57.830 --> 01:15:59.571]  I'm going to play that clip coming up.
[01:16:01.411 --> 01:16:03.092]  Because it shows the mind game.
[01:16:03.412 --> 01:16:11.676]  But with the yuppies in the street, they'll walk up to me sometimes, again when I'm on the street doing a shoot, and it's almost always a white person, and they'll go,
[01:16:13.066 --> 01:16:14.046]  Yeah, I heard you're racist.
[01:16:14.546 --> 01:16:17.167]  And they go, ooh, like, like, like, like, they just body slam me.
[01:16:17.187 --> 01:16:18.427]  Like, ooh, they got magic powers.
[01:16:18.787 --> 01:16:20.088]  And I just go, oh.
[01:16:20.148 --> 01:16:21.688]  And they go, well, you're not going to deny it?
[01:16:21.728 --> 01:16:23.229]  And I go, so I kind of get why Trump didn't.
[01:16:23.269 --> 01:16:24.029]  I'm just like, whatever.
[01:16:24.049 --> 01:16:26.549]  And they go, yeah, I heard you're a homophobe.
[01:16:28.130 --> 01:16:34.251]  And I'll just go, man, that college degree was really worth something for you turning into a basket case of neurotic BS.
[01:16:35.692 --> 01:16:38.353]  Now, on Halloween, the guy was kind of getting to my face.
[01:16:38.413 --> 01:16:39.873]  And I just said, listen, get out of my face.
[01:16:41.394 --> 01:16:44.575]  You are the stupidest, most... I mean, it went on for like a minute.
[01:16:44.595 --> 01:16:54.640]  I said, you are so dumbed down, so pathetic, trying to use psych warfare on me, trying to guilt me as like some social action to give you power.
[01:16:54.900 --> 01:16:56.981]  That won't give you any success in the real world.
[01:16:57.001 --> 01:16:58.561]  You need to learn how to be charming and cool.
[01:16:58.821 --> 01:16:59.622]  Why aren't you here?
[01:16:59.902 --> 01:17:00.782]  I don't see you with a woman.
[01:17:00.802 --> 01:17:04.524]  I had like two women right here talking to me.
[01:17:04.684 --> 01:17:06.004]  I wasn't, you know, I'm a family guy.
[01:17:06.024 --> 01:17:06.545]  I wasn't doing anything.
[01:17:06.565 --> 01:17:07.285]  They were talking to me.
[01:17:10.393 --> 01:17:15.897]  And I just said, why don't you actually go try to have fun instead of mess with people, you social justice warrior?
[01:17:16.197 --> 01:17:18.779]  And both women went, wow, you're fascinating.
[01:17:19.080 --> 01:17:20.461]  Tell us more, and I went, I will.
[01:17:20.481 --> 01:17:22.982]  That's what I did!
[01:17:23.002 --> 01:17:24.464]  That's what I did!
[01:17:27.126 --> 01:17:29.107]  Put that sucker in his place!
[01:17:30.228 --> 01:17:36.412]  And it already happened a couple times that night, so that's why I was starting to get a little bit angry, because it was the way he swaggered over.
[01:17:37.441 --> 01:17:38.782]  That wasn't a white guy, he was an Arab guy.
[01:17:39.622 --> 01:17:41.544]  He sized me up and he said, what's your costume?
[01:17:43.145 --> 01:17:44.966]  And I went, oh, it's an airline captain.
[01:17:45.826 --> 01:17:46.287]  He goes, really?
[01:17:46.327 --> 01:17:47.167]  I thought it was a Nazi.
[01:17:47.247 --> 01:17:48.148]  I don't like Nazis.
[01:17:48.168 --> 01:17:52.751]  I was like, you're not a Nazi, are you?
[01:17:52.771 --> 01:18:03.858]  Imagine how, and I'm like, I'm sitting there in purple jeans and a t-shirt wearing an airline hat, because we went on a little cruise on the lake for my cousin's birthday party.
[01:18:03.878 --> 01:18:04.318]  I told the story.
[01:18:04.338 --> 01:18:05.479]  I need to stop, I need to get in the news.
[01:18:07.486 --> 01:18:11.293]  Well, a couple of our crews ate food and danced and went back, but...
[01:18:16.960 --> 01:18:20.461]  And I looked at him, and I was just like, it's a captain's hat.
[01:18:21.081 --> 01:18:21.942]  And then he pushed it.
[01:18:21.962 --> 01:18:22.762]  I was like, oh, really?
[01:18:22.782 --> 01:18:24.303]  Because I was like, that's it, man.
[01:18:25.183 --> 01:18:25.843]  Get out of my face.
[01:18:25.863 --> 01:18:26.343]  Let me just tell you.
[01:18:26.543 --> 01:18:28.484]  No, let me tell you how pathetic you are.
[01:18:28.504 --> 01:18:37.167]  Let me tell you who you are, and how you're not going to get a job with that fake degree, and why you're a loser, and why you're frustrated you can't seem to get jobs, because all you were taught was social justice, warrior, garbage.
[01:18:37.347 --> 01:18:42.649]  And I went through probably a two-minute rant of the sociology, the anthropology, how he was ruined, how he had no life.
[01:18:42.829 --> 01:18:43.870]  And he was destroyed.
[01:18:44.410 --> 01:18:45.030]  He deserved it.
[01:18:47.133 --> 01:18:49.174]  I see you're not with women, I see you're not successful.
[01:18:50.855 --> 01:18:51.716]  Now get away from me!
[01:18:54.898 --> 01:18:59.681]  Maybe he wanted to do something else, and I'm not looking for trouble, but I can only be pushed so far.
[01:18:59.701 --> 01:19:07.705]  He was racist and didn't like a white guy with two good-looking women talking to him.
[01:19:10.167 --> 01:19:13.109]  He thought I'd roll over and apologize for being who I was.
[01:19:13.956 --> 01:19:17.539]  I should have said, I'm sorry for the renaissance in quantum mechanics.
[01:19:19.601 --> 01:19:20.261]  I apologize.
[01:19:21.482 --> 01:19:22.183]  You're my god.
[01:19:24.304 --> 01:19:27.026]  I have to skip this network break, just because I've run over and I'm an evil person.
[01:19:27.046 --> 01:19:27.847]  This is the last one of the day.
[01:19:27.867 --> 01:19:28.428]  I'm so horrible.
[01:19:28.448 --> 01:19:29.088]  I apologize.
[01:19:29.108 --> 01:19:30.049]  I've got to get to the source.
[01:19:30.429 --> 01:19:32.511]  Nico, you just popped in my ear and said you have another clip.
[01:19:35.073 --> 01:19:35.333]  Oh yeah.
[01:19:35.753 --> 01:19:37.655]  I'm going to get McAfee disavows the Klan.
[01:19:43.038 --> 01:19:56.844]  I think the headline I wanted was, I told them last night and this morning, I'm not mad, it's, you gotta get the social justice warriors to get excited that they may be bringing somebody down and have like little ceremonial victories in imaginary land, because I want to use them to make it go viral.
[01:19:57.104 --> 01:20:06.307]  The headline needs to be something like, John McAfee challenged on the KKK.
[01:20:06.327 --> 01:20:10.049]  Because it makes, you see, and show people how absurd it is.
[01:20:10.469 --> 01:20:12.250]  McAfee cornered
[01:20:13.163 --> 01:20:14.904]  About KKK, something like that.
[01:20:15.164 --> 01:20:18.545]  Put it up on Infowars, put it up on Prison Planet, let's have it go viral.
