[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[01:06:02.902 --> 01:06:05.643]  But if it's Western culture, it's evil and it's bad.
[01:06:06.263 --> 01:06:13.206]  And going over some of these articles, recently the Pope and the top imam, the head imam in the world over Sunni Muslims, that's what Al-Qaeda is.
[01:06:13.766 --> 01:06:15.007]  Met with the Pope at the Vatican.
[01:06:31.425 --> 01:06:39.071]  The four corners of the earth and that we must have the Muslims read with us and that they're our new culture and this is what we deserve because we've been bad.
[01:06:39.251 --> 01:06:42.494]  This is freakazoid to be told white people are bad, you're bad.
[01:06:42.514 --> 01:06:52.141]  I mean this is this is what multiculturalism leads into with a supposed leader of Christendom saying this with Islamic State saying target the US, target Europe, start bombing us.
[01:07:02.585 --> 01:07:03.245]  Incredible threat.
[01:07:03.285 --> 01:07:07.367]  Now ISIS wants to attack the Olympics coming up in Brazil.
[01:07:08.067 --> 01:07:11.389]  Hungary's Prime Minister gets it and says Clinton is George Soros' puppet.
[01:07:11.829 --> 01:07:16.671]  Warns that they want to overrun the EU with millions of Muslims.
[01:07:17.211 --> 01:07:20.772]  Radical ones that are wedded to the left.
[01:07:21.473 --> 01:07:27.055]  22% of resettled refugees in Minnesota have tested positive for tuberculosis and then they go on to report
[01:07:27.675 --> 01:07:30.496]  That they're letting them in when they have tuberculosis.
[01:07:30.796 --> 01:07:33.398]  This is unprecedented attack on our country.
[01:07:33.618 --> 01:07:35.919]  This is a government at war with the people.
[01:07:36.239 --> 01:07:39.440]  This is a government savaging the population, and it goes on and on.
[01:07:39.720 --> 01:07:46.924]  The open borders are the key to globalism, destroy national sovereignty, and radical Islamists that can't even live with each other in peace are not compatible here.
[01:07:47.384 --> 01:07:47.724]  Period.
[01:07:48.184 --> 01:07:51.806]  We should never submit to their backwards culture of oppression.
[01:07:52.506 --> 01:08:04.675]  We are the true liberals who promote free speech across the board in Europe, the United States and Canada, and we must stand for it and not be bullied into a new dark age of oppression and tyranny.
[01:08:11.820 --> 01:08:16.864]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:08:17.244 --> 01:08:19.506]  Because there's a war on for your mind.
[01:08:29.033 --> 01:08:32.335]  Ladies and gentlemen, we're back live now into the second hour.
[01:08:32.355 --> 01:08:39.300]  We're going to have our reporters joining us, coming up at the bottom of the hour from outside Dresden, Germany, where the Bilderberg Group is meeting.
[01:08:39.620 --> 01:08:47.946]  This is the group whose own documents the last 50 years have been leaked to the BBC and ourselves and others, where they admit they're setting up a planetary government.
[01:08:47.966 --> 01:08:50.347]  They're going to use third world populations to drive down wages.
[01:08:50.367 --> 01:08:55.371]  They're going to use the imploding third world to then flood the West, causing a crisis.
[01:08:55.491 --> 01:08:58.513]  That crisis will be used to bring in authoritarian control.
[01:08:59.514 --> 01:09:03.338]  And a global government to manage the collapsing third world.
[01:09:03.358 --> 01:09:17.433]  Because you've got to have a global government to control the collapsing 5 plus billion, 6 billion people trying to get into the first world that conservatively maybe has 900 million people in it.
[01:09:18.234 --> 01:09:20.997]  More of them living in third world conditions.
[01:09:22.830 --> 01:09:28.796]  The carrying weight of the planet, the globalists say, is about to implode, but they're the ones undermining it and blocking innovation.
[01:09:30.077 --> 01:09:38.865]  And then hoarding the technology and good developments for themselves in tax-exempt corporate and governmental combines.
[01:09:39.366 --> 01:09:43.069]  There's an article coming up by Kurt Nemo that's excellent that I'll be covering later when we get into Bilderberg.
[01:09:44.150 --> 01:09:46.773]  Engineer decarbonization.
[01:09:47.799 --> 01:09:51.921]  Will result in mass starvation, poverty and civil strife.
[01:09:52.662 --> 01:09:56.564]  That's what the British Ministry of Defence said too in 2007, because it's the plan.
[01:09:57.585 --> 01:10:00.066]  He says CO2 is beneficial, not detrimental.
[01:10:00.106 --> 01:10:01.847]  That's like saying sunshine is beneficial.
[01:10:02.648 --> 01:10:04.929]  Or water is beneficial, or mommy is beneficial.
[01:10:05.529 --> 01:10:14.355]  A University of Cambridge engineering professor, we're going to get on, warns that the globalist effort to cut carbon emissions will result in widespread poverty, starvation and civil strife.
[01:10:14.995 --> 01:10:16.256]  MJ Kelly, I want to get him on.
[01:10:17.734 --> 01:10:28.918]  Everything I cover in my film, Endgame, with the globalist admissions of in the first 10 years of the carbon taxes they've wanted, it would cause conservatively 1 billion deaths.
[01:10:29.378 --> 01:10:37.140]  We've already seen world starvation numbers go from about 25 million a decade ago to over 45 million a year.
[01:10:37.520 --> 01:10:38.841]  More than half of those children.
[01:10:39.521 --> 01:10:41.262]  You say, well, that's how we get rid of so many people.
[01:10:41.562 --> 01:10:45.403]  OK, but the globalists are setting up economic systems to cut development off.
[01:10:47.898 --> 01:10:52.401]  I mean, at least, you know, have the courtesy to go shoot him in the head and get it over with quickly.
[01:10:53.001 --> 01:10:54.062]  So this is soft kill.
[01:10:54.082 --> 01:10:56.323]  This is Nazi Germany 2.0.
[01:10:56.584 --> 01:10:58.285]  This is Nazi Germany coming back home.
[01:10:59.245 --> 01:11:04.949]  Now, I'm about to go to Leanne McAdoo here in a moment, who is on the ground in Long Beach, California.
[01:11:05.849 --> 01:11:11.073]  She's going to be at polling locations today, filing reports to Infowars.com and PrisonPlanet.com.
[01:11:12.059 --> 01:11:16.700]  With exit polls, she's also going to be covering any civil unrest that comes if this is stolen from Sanders.
[01:11:17.580 --> 01:11:20.881]  And she's also going to be at the Democratic primary event.
[01:11:21.402 --> 01:11:24.782]  So, Biggs is going to be going to Bernie's primary event.
[01:11:25.243 --> 01:11:27.563]  And he'll be popping in during the fourth hour today.
[01:11:27.883 --> 01:11:37.646]  He'll also be reporting on the bedlam he videotaped Monday and over the weekend with the rioting people with Mexican flags beating up any Hispanics that dared try to go to a Trump rally.
[01:11:38.226 --> 01:11:40.048]  Of course, those folks did fight back.
[01:11:40.068 --> 01:11:42.850]  I can say that's better than the white yuppies who don't ever seem to fight back.
[01:11:42.870 --> 01:11:47.493]  I don't get why white people are so wimpy, but, oh, I mean, let me just say something that's clichéd.
[01:11:47.533 --> 01:11:49.254]  I guess that's what it's turned into.
[01:11:49.975 --> 01:11:51.977]  But this is the type of stuff that's going on.
[01:11:53.015 --> 01:12:02.965]  And I want to get Leanne's take on this though, because Bernie's gotten more real delegates, but Hillary appoints superdelegates, and has stolen more than 10 states from him, so a lot of the math shows he's the winner.
[01:12:03.806 --> 01:12:11.013]  But even with Hillary and the media pushing her as the winner, some people wanted to bet on the winner, so they started voting more for her in the last month, but still it's neck and neck.
[01:12:11.333 --> 01:12:15.558]  And Bernie says he's going to go to the deal in Philadelphia and fight it.
[01:12:16.536 --> 01:12:20.538]  And so, oh, they're getting the riot police ready because, you know, Bernie Sanders are troublemakers.
[01:12:20.578 --> 01:12:21.598]  Well, they actually are.
[01:12:22.038 --> 01:12:23.239]  But they're actually in the right.
[01:12:23.619 --> 01:12:29.601]  When they talk about Hillary stealing it, they're not in the right beating up folks just trying to go see what Donald Trump has to say.
[01:12:29.621 --> 01:12:31.202]  A lot of them aren't even supporters.
[01:12:31.562 --> 01:12:36.564]  So, Leanne McAdoo joining us via video connection from Southern California.
[01:12:36.624 --> 01:12:38.044]  Leanne, what are your observations?
[01:12:38.084 --> 01:12:38.684]  What's your take?
[01:12:38.704 --> 01:12:39.725]  What are you expecting to see?
[01:12:40.916 --> 01:12:41.576]  Hi there, Alex.
[01:12:41.636 --> 01:12:46.639]  Yes, we are right outside of a polling location here in Long Beach at the Long Beach Civic Center.
[01:12:47.120 --> 01:12:51.122]  There was kind of a rush this morning, people trying to get in, get their votes before they headed into work.
[01:12:52.123 --> 01:12:53.944]  Be sort of slow, trickle throughout the day.
[01:12:54.584 --> 01:12:58.567]  But what we've spoken to some people here at the polling location and they said that there's a lot of...
[01:12:59.347 --> 01:12:59.747]  Upset.
[01:13:00.048 --> 01:13:01.268]  A lot of people are really upset.
[01:13:01.308 --> 01:13:03.650]  They're wanting to see some sort of a surprise.
[01:13:04.010 --> 01:13:24.522]  And then, of course, this morning, perfectly timed with people who are about to go vote in the California primaries, that, hey, you know what, Hillary Clinton, according to some super secret, super delegate, they've already all decided that she's going to be making history as the first female nominee for this party here for the Democratic Party.
[01:13:24.562 --> 01:13:27.403]  So they put that out there perfectly timed to almost
[01:13:28.804 --> 01:13:34.988]  Take the, burst the bubble out of people who are wanting Bernie to win and who are going to get out the vote and vote for Bernie today.
[01:13:35.428 --> 01:13:44.234]  So it's going to be really interesting to see exactly what happens if Bernie is able to rally the support of all of these young people here in California and get the vote out.
[01:13:44.634 --> 01:13:47.336]  And then, will the people's voice speak?
[01:13:47.676 --> 01:13:50.598]  Yet Hillary still steals it anyway with her superdelegates.
[01:13:51.018 --> 01:13:52.439]  Totally undemocratic process.
[01:13:53.069 --> 01:14:00.138]  That's right, and six states are going to the polls on the Democratic side with a total of 694 delegates at stake.
[01:14:00.519 --> 01:14:05.125]  The most important of them obviously is California, which has 475 of those delegates.
[01:14:05.466 --> 01:14:07.088]  That's the biggest state, biggest population.
[01:14:08.029 --> 01:14:09.169]  Polls close at 11 p.m.
[01:14:09.269 --> 01:14:10.370]  Eastern Time, 8 p.m.
[01:14:10.410 --> 01:14:10.770]  Pacific.
[01:14:10.790 --> 01:14:13.810]  We're going to have extended coverage on InfoWars Nightly News tonight.
[01:14:14.391 --> 01:14:19.592]  After the news, we're going to have some live coverage of this final, and quite frankly, most important primary.
[01:14:19.912 --> 01:14:22.293]  When I say final, it'll be a shoe-in now after this.
[01:14:22.653 --> 01:14:26.714]  The second biggest prizes in New Jersey with 126 delegates are at stake.
[01:14:26.774 --> 01:14:27.954]  Polls close at 8 p.m.
[01:14:28.014 --> 01:14:28.294]  Eastern.
[01:14:28.534 --> 01:14:32.935]  We have New Mexico, Montana, South Dakota, and North Dakota as well.
[01:14:33.355 --> 01:14:35.136]  And we're going to have Leon McAdoo, Joe Beggs,
[01:14:35.916 --> 01:14:36.777]  I don't think so.
[01:14:54.659 --> 01:14:59.182]  And say the word is, Donald Trump's going to lose, Hillary's ahead.
[01:14:59.422 --> 01:15:00.443]  Polls show 10 points.
[01:15:00.923 --> 01:15:04.745]  Well, most people are intimidated to say they're not going to vote for Trump because of the racism charge.
[01:15:04.945 --> 01:15:07.327]  Plus, a lot of other scientific polls show him 3 or 4 points ahead.
[01:15:07.667 --> 01:15:16.272]  So they're trying to sell this idea, just like with Sanders, that she's undefeatable, even though he'd have 50,000 in a rally, 10,000 in a rally, she'd have 500, 1,000 max.
[01:15:16.652 --> 01:15:19.754]  There's no one that I find supporting Hillary, even here in Austin, Texas.
[01:15:19.774 --> 01:15:21.715]  90% of liberals I know hate her.
[01:15:22.016 --> 01:15:24.357]  But not the guy that called me laughing at me this morning.
[01:15:24.517 --> 01:15:26.078]  They're already getting the big fix in.
[01:15:26.098 --> 01:15:29.000]  They're already getting ready to just steal it and hand it to her, Leanne.
[01:15:29.920 --> 01:15:30.521]  Absolutely.
[01:15:30.881 --> 01:15:34.263]  And that's what people are finally able to see this election cycle.
[01:15:34.663 --> 01:15:40.507]  We've talked about it for many, many years, but now the mass of people can see that this is a totally undemocratic process.
[01:15:40.547 --> 01:15:47.351]  These superdelegates are set up to make sure that the American people are never able to elect someone that will actually represent them.
[01:15:47.951 --> 01:16:04.042]  The party will not allow that to happen and there's actually a really interesting story coming out of the LA Times Kind of tying in what you were talking about earlier about the globalization how they're flooding the West with people who aren't Loyal and don't have any national instincts there with their with their countries.
[01:16:04.422 --> 01:16:17.271]  That's what's happening here in California now We've been talking about how the left has been flooding America with all types of illegal immigrants that don't have any Loyalty to this country and they think they're gonna be loyal to the Democratic Party because they want all that free stuff
[01:16:17.851 --> 01:16:25.376]  Well, it turns out that they're actually seeing a surge in Latino voters who are registering themselves as non-partisan.
[01:16:25.636 --> 01:16:29.518]  So they're not loyal to the Democratic Party, nor are they loyal to the Republican Party.
[01:16:29.958 --> 01:16:35.361]  So basically, what the left has done has flooded our country with a bunch of people who aren't loyal to anyone.
[01:16:35.422 --> 01:16:36.822]  And they're not even loyal to this country.
[01:16:37.203 --> 01:16:42.886]  And they're really upset with the fact that the Democrats have made all of these promises to them and haven't followed through.
[01:16:43.146 --> 01:16:44.027]  Well, that's the issue.
[01:16:44.087 --> 01:16:47.969]  I mean, on average, black Americans have been screwed over by the Democrats worse than anybody.
[01:16:48.210 --> 01:16:51.872]  But there's all these platitudes and words, but doubling the unemployment under Obama.
[01:16:52.733 --> 01:16:56.095]  But historically, Hispanic voters are not going to go that way.
[01:16:56.515 --> 01:16:58.036]  I don't know why culturally that's different.
[01:16:58.617 --> 01:17:03.280]  But when the, quote, Democrats don't deliver or deliver some scam, it's not going to go well.
[01:17:03.800 --> 01:17:06.242]  And that's really more the Democrats wanting voters.
[01:17:06.502 --> 01:17:08.944]  The big multinational corporations want to drive down wages.
[01:17:09.264 --> 01:17:10.664]  I mean, that's really what this is about.
[01:17:10.945 --> 01:17:17.727]  It's what Perot warned about, the giant sucking sound, where things are so bad in areas of Mexico, they've got to come up here for jobs.
[01:17:18.267 --> 01:17:21.088]  I mean, NAFTA and GATT has been a disaster for everybody but the elites.
[01:17:21.808 --> 01:17:22.008]  Right.
[01:17:22.548 --> 01:17:25.069]  And I think a lot of people are starting to see that with the trade agreements.
[01:17:25.149 --> 01:17:29.770]  And the big thing here in California, the big thing that's pushing the voting here is immigration.
[01:17:30.170 --> 01:17:35.112]  And so that's been the main kicker for a lot of the Latino voters, is getting this immigration passed.
[01:17:35.592 --> 01:17:38.793]  But what is going to happen if they do open the borders, if it is good?
[01:17:39.466 --> 01:17:40.847]  It's the economy, stupid.
[01:17:41.067 --> 01:17:43.628]  And once you all get here, what are we going to do for jobs?
[01:17:43.668 --> 01:17:44.908]  This is going to affect everyone.
[01:17:44.948 --> 01:17:47.249]  It's not like we border Switzerland, okay?
[01:17:48.029 --> 01:17:50.050]  We border a failed state that's collapsing.
[01:17:50.631 --> 01:17:51.511]  And I like Mexico.
[01:17:51.531 --> 01:17:52.271]  A lot of cool stuff.
[01:17:52.531 --> 01:17:54.092]  But I mean, we're going to be a failed state, too.
[01:17:54.112 --> 01:17:58.434]  So, you know, don't feel too arrogant, folks, looking at Mexico or Venezuela.
[01:17:59.134 --> 01:18:02.395]  Look at what's happening in Spain and Greece and Ireland's in trouble.
[01:18:02.715 --> 01:18:06.157]  I mean, the whole world is teetering because less and less people are working.
[01:18:07.117 --> 01:18:13.241]  The governments are raising taxes by design to implode the carrying capacity of the planet.
[01:18:13.661 --> 01:18:15.382]  They are collapsing it by design.
[01:18:15.682 --> 01:18:16.243]  Mayday!
[01:18:16.683 --> 01:18:17.243]  Mayday!
[01:18:17.464 --> 01:18:19.025]  This is a planned program.
[01:18:19.385 --> 01:18:22.167]  And Bernie Sanders will only make it worse, but regardless...
[01:18:23.107 --> 01:18:25.711]  It shows people are going for who they see as the outside candidate.
[01:18:26.192 --> 01:18:27.394]  They are going for a Trump.
[01:18:27.414 --> 01:18:28.415]  They're going for a Sanders.
[01:18:28.776 --> 01:18:30.358]  Even if there's problems with both of them.
[01:18:30.638 --> 01:18:35.425]  And so Trump and Sanders for me, Leanne, are only a manifestation of the anger and the upsetness of people.
[01:18:35.626 --> 01:18:38.230]  And it's not going to go away if they put Hillary Clinton in.
[01:18:39.033 --> 01:18:39.794]  Absolutely not.
[01:18:39.894 --> 01:18:40.854]  She's just symbolic.
[01:18:40.894 --> 01:18:42.255]  It's just like with Obama.
[01:18:42.295 --> 01:18:44.196]  He was the first African-American president.
[01:18:44.937 --> 01:18:45.737]  It's all symbolic.
[01:18:45.777 --> 01:18:47.518]  She's going to be the first female president.
[01:18:47.978 --> 01:18:49.519]  And it's symbolism.
[01:18:49.980 --> 01:18:51.561]  She's not actually going to change the country.
[01:18:51.581 --> 01:18:58.105]  It's just going to be more of the same and even worse with Hillary Clinton because she's a total warmonger, total corporate elitist.
[01:18:58.425 --> 01:18:59.585]  She's a huge sellout.
[01:18:59.846 --> 01:19:01.827]  So we're going to get more of the same.
[01:19:02.890 --> 01:19:03.390]  It's crazy.
[01:19:03.430 --> 01:19:04.110]  I mean, the U.S.
[01:19:04.171 --> 01:19:05.591]  is collapsing in many areas.
[01:19:06.131 --> 01:19:07.672]  Our protectorates are collapsing.
[01:19:09.032 --> 01:19:11.893]  More than half the counties and cities in California have already been bankrupt for years.
[01:19:12.374 --> 01:19:14.414]  They're getting propped up with more fiat garbage.
[01:19:14.814 --> 01:19:18.696]  We just saw Puerto Rico go completely belly up and default.
[01:19:19.176 --> 01:19:21.477]  I mean, this is a time bomb on a time bomb.
[01:19:22.117 --> 01:19:28.240]  And people just laugh and joke and go, you know, oh, we're going to beat up Hispanics trying to go to a Trump rally because we're Hispanic.
[01:19:28.260 --> 01:19:35.224]  We're waving Bernie signs and want free stuff with him going, it's all going to be free like Venezuela.
[01:19:35.524 --> 01:19:38.386]  He's in speeches saying Venezuela should be our model.
[01:19:39.026 --> 01:19:40.587]  The place is on fire, Leanne.
[01:19:41.363 --> 01:19:49.627]  Yeah, you don't see, basically what they're saying is all the people lining up for Bernie Sanders are just practicing for the bread lines that they're going to be lining up for here soon.
[01:19:49.647 --> 01:19:50.487]  So, it's a deal.
[01:19:50.547 --> 01:19:58.610]  Well, Leigh Ann, I want to come back and briefly talk to you in this short segment and ask you, on the Trump side, what your view is on those developments, being out in the middle of this.
[01:19:58.630 --> 01:20:02.672]  Are you expecting any civil unrest, as I was asking earlier, if Bernie loses California?
[01:20:02.692 --> 01:20:03.553]  Because here's the deal, folks.
[01:20:04.273 --> 01:20:07.994]  As dumb as some of these voters are, they know Bernie's the real leader of the race, okay?
[01:20:08.035 --> 01:20:08.755]  Nobody likes Hillary.
[01:20:10.563 --> 01:20:23.246]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our republic as the First Amendment.
[01:20:23.947 --> 01:20:27.347]  It's the First Amendment to the Bill of Rights because it is the most important.
[01:20:27.367 --> 01:20:32.769]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice
[01:20:33.149 --> 01:20:33.989]  We're good to go.
[01:20:58.098 --> 01:20:59.560]  Facebook's over a third of the internet.
[01:20:59.580 --> 01:21:00.280]  Did you think about that?
[01:21:00.781 --> 01:21:02.243]  Of the traffic and people visiting things.
[01:21:02.643 --> 01:21:03.264]  And then it's over.
[01:21:03.564 --> 01:21:07.869]  You think it's bad that communist China with a billion, 300 million people is censoring?
[01:21:08.709 --> 01:21:15.977]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[01:21:16.077 --> 01:21:18.500]  He met with Merkel, and openly in a hot mic.
[01:21:18.860 --> 01:21:21.000]  Don't worry, I'm going to start suppressing and censoring people.
[01:21:21.160 --> 01:21:25.601]  They report when someone criticizes open borders to the German government, and they come and arrest you.
[01:21:25.761 --> 01:21:29.742]  This is a global phenomenon that's taking place right now.
[01:21:29.942 --> 01:21:34.023]  They're passing laws in Canada to arrest people that criticize transgender.
[01:21:34.163 --> 01:21:35.383]  Well, that's your free speech!
[01:21:35.683 --> 01:21:38.124]  It's not hate propaganda, as they call it.
[01:21:38.444 --> 01:21:44.525]  If they set the precedent on these issues, they will basically ban any other type of speech that the globalist
[01:21:44.565 --> 01:21:44.725]  I don't
[01:22:00.066 --> 01:22:06.168]  When you post on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[01:22:06.288 --> 01:22:08.209]  We stand together or we hang separate.
[01:22:08.409 --> 01:22:13.291]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[01:22:13.711 --> 01:22:21.454]  Getting on as many third-party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[01:22:22.014 --> 01:22:25.276]  But also, the experts I've talked to said, Alex, you missed the boat.
[01:22:25.296 --> 01:22:28.797]  You've been a pioneer in many ways, but you haven't promoted email.
[01:22:28.897 --> 01:22:30.978]  And I said, yeah, I don't ever really market on email.
[01:22:31.078 --> 01:22:32.899]  I just, I just, it's low tech.
[01:22:33.059 --> 01:22:33.880]  And they're like, no, no, no.
[01:22:33.920 --> 01:22:35.401]  That's what's going to be hard to censor.
[01:22:35.461 --> 01:22:48.587]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still to stop email and to stop that information being sent over networks, you name it.
[01:22:48.647 --> 01:22:50.068]  So it's essential.
[01:22:51.028 --> 01:23:02.273]  That everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo code sometimes, the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[01:23:02.593 --> 01:23:07.415]  I mean there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[01:23:07.715 --> 01:23:12.077]  You can send the email and the newsletter on with exclusive videos and articles many days.
[01:23:12.717 --> 01:23:17.319]  So that's another great reason but overall it's so that we have direct contact
[01:23:17.859 --> 01:23:31.804]  With fellow patriots out there around the world, and if they try to start shutting our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos that you can then send on to others.
[01:23:31.824 --> 01:23:40.388]  We've all got to start thinking about the censorship and actively fighting it, getting more active and not taking independent liberty-based media for granted, which I know you don't do.
[01:23:41.608 --> 01:23:51.754]  But really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[01:23:52.014 --> 01:23:59.418]  So please join hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[01:23:59.759 --> 01:24:08.864]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[01:24:10.934 --> 01:24:11.078]  Yeah.
[01:24:13.490 --> 01:24:38.002]  By the way, coming up at the start of the next segment, before we go to our reporters in Germany at the site of Bilderberg 2016, I'm going to air a 60-second promo for the launch of what we're going to be doing with Tim Kennedy, who in the near future will be going for the title for the middle heavyweight for UFC, and narrowly lost that, as you know, a few years ago to a fellow that turned out was on a bunch of steroids.
[01:24:38.683 --> 01:24:40.984]  What was interesting about working with Tim Kennedy
[01:24:42.151 --> 01:24:43.832]  is that most of what he's done is secret.
[01:24:44.452 --> 01:24:46.873]  And he won't be getting into any of that with us, obviously, here on air.
[01:24:46.893 --> 01:24:52.835]  He's going to be bringing all his expertise when he's been in the most elite army units there are, and joint units.
[01:24:52.855 --> 01:24:55.336]  There's only really one joint unit, everybody knows what that is, Delta Force.
[01:24:56.097 --> 01:24:57.697]  And beyond Chris Kyle.
[01:24:57.777 --> 01:25:01.119]  And I'm not taking anything away from Chris Kyle, but this is the super soldier.
[01:25:01.779 --> 01:25:07.361]  And they've been trying to train him to take the guns and stuff, and he and the army are awake.
[01:25:07.661 --> 01:25:08.802]  Just like they said no to Al Qaeda.
[01:25:09.907 --> 01:25:13.688]  And said no to funding ISIS four years ago, and now that's all been declassified in the news.
[01:25:14.509 --> 01:25:20.751]  And Tim Kennedy goes around with the Pentagon doing pro-military, pro-veteran promotions.
[01:25:20.811 --> 01:25:23.132]  And at the level of the U.S.
[01:25:23.212 --> 01:25:25.273]  Army, they're even pretty much done with the globalists.
[01:25:26.173 --> 01:25:27.654]  Tim Kennedy's going to be joining the Info War.
[01:25:27.674 --> 01:25:28.914]  I'm just telling you that right now.
[01:25:29.134 --> 01:25:30.515]  And other people as well.
[01:25:30.535 --> 01:25:35.556]  Because there's a real fight for this republic, and people are going to start seeing the real response in the defense of this country.
[01:25:35.857 --> 01:25:36.537]  This is only the beginning.
[01:25:37.117 --> 01:25:38.798]  All right, yeah, we built it and they came.
[01:25:39.178 --> 01:25:42.459]  Leanne McAdoo, wow, so much going on.
[01:25:42.819 --> 01:25:45.540]  You saw the Joe Biggs footage, you've seen people being attacked.
[01:25:45.860 --> 01:25:50.002]  Just yesterday Hispanics getting attacked because they're out on the street trying to vote for Trump.
[01:25:50.622 --> 01:25:52.963]  We're hearing there's going to be attacks at some of the polling places.
[01:25:53.483 --> 01:25:57.385]  They attack women too, so you wanted to go out there, but please be safe.
[01:25:58.294 --> 01:25:59.575]  Yeah, thank you, Alex.
[01:25:59.615 --> 01:26:01.576]  I'm definitely going to be watching my back.
[01:26:01.636 --> 01:26:02.957]  I've got Zimmerman out here.
[01:26:03.317 --> 01:26:06.979]  Unfortunately, Biggs is going to be in a different location, but I think we're going to be alright.
[01:26:07.059 --> 01:26:10.661]  But yeah, I am expecting some excitement, I think, on either end.
[01:26:11.581 --> 01:26:22.628]  If Bernie wins California, but it still goes to Hillary, I think all of the people that we've been seeing getting rowdy at these rallies are going to be out in full effect tonight.
[01:26:24.312 --> 01:26:24.772]  We'll see.
[01:26:24.912 --> 01:26:25.632]  We'll see what happens.
[01:26:25.692 --> 01:26:29.054]  I know I would be pretty... I said go out there, but I wanted Biggs to be with you.
[01:26:29.154 --> 01:26:32.115]  I'm not trying to be patronizing, but I mean, I'd be concerned out there.
[01:26:32.135 --> 01:26:33.315]  I want a few guys with me.
[01:26:33.355 --> 01:26:34.755]  So you're going to be with Biggs, right?
[01:26:34.775 --> 01:26:36.036]  Because you guys are split up right now.
[01:26:36.696 --> 01:26:37.756]  Well, we're split up right now.
[01:26:37.776 --> 01:26:43.758]  Biggs is going to be at the Bernie Sanders event, and we are going to go try to get to where the Hillary Clinton supporters are at.
[01:26:44.518 --> 01:26:50.000]  But we might end up being where Biggs is at if that seems to be where... Well, Zimmerman's a big guy, so hopefully you guys can protect each other.
[01:26:50.640 --> 01:26:51.501]  Yeah, he doesn't have his...
[01:26:52.918 --> 01:27:03.204]  He's not caring right now, so that's kind of a letdown for me, but we are here in this liberal utopia of California, which is like a totally run-down state.
[01:27:03.244 --> 01:27:05.065]  I just can't even describe.
[01:27:05.105 --> 01:27:08.307]  It looks like a third-world country here in a lot of the parts of California.
[01:27:08.387 --> 01:27:09.548]  Oh, yeah.
[01:27:09.608 --> 01:27:12.529]  Listen, I was there a few years ago, and I said, I'm not coming back unless I have to.
[01:27:12.549 --> 01:27:14.651]  I was sitting there out by a pool with a butler.
[01:27:14.691 --> 01:27:15.851]  I was at a Hollywood star's house.
[01:27:16.392 --> 01:27:17.072]  It wasn't Charlie Sheen's.
[01:27:17.092 --> 01:27:21.735]  It was another one bringing me like foie gras, and there was ashes raining down on me.
[01:27:22.853 --> 01:27:27.596]  And like, you know, three women in bikinis out by the pool with ashes with fires a mile away.
[01:27:27.616 --> 01:27:29.157]  And I said, this is like hell.
[01:27:29.637 --> 01:27:30.437]  I'm getting out of here.
[01:27:32.799 --> 01:27:35.480]  Yeah, I mean, we're just looking around and just unbelievable.
[01:27:35.520 --> 01:27:40.623]  I mean, California is one of the youngest states in the nation and it looks so run down.
[01:27:40.763 --> 01:27:41.304]  What happened?
[01:27:41.604 --> 01:27:43.865]  How could this have happened in this liberal mecca?
[01:27:44.405 --> 01:27:48.288]  Well, it's because they have some of the highest taxes in the country and they're only getting higher, Leanne.
[01:27:49.062 --> 01:27:55.746]  But whenever Trump comes out and says they're shutting off the water, that's causing a lot of the farmers to go out of business, they write articles saying he's a liar.
[01:27:55.766 --> 01:28:00.648]  But they shut off three major lakes in Northern California that destroyed over 100,000 farmers.
[01:28:00.668 --> 01:28:01.208]  That's admitted.
[01:28:01.989 --> 01:28:02.169]  Right.
[01:28:03.203 --> 01:28:05.283]  By the way, some of those farmers are Tim Kennedy's family.
[01:28:07.024 --> 01:28:10.665]  Original Californians are like as Texas as Texas or more.
[01:28:11.025 --> 01:28:17.246]  Like I run into all these Californians that are fourth, fifth generation and they're as cool as anybody I know that's like seventh generation Texan.
[01:28:17.546 --> 01:28:20.167]  And they'll tell you, they go, stop saying California is a bunch of evil people.
[01:28:20.667 --> 01:28:24.488]  We're not folks from all over the country came there in the world to get a free deal.
[01:28:24.708 --> 01:28:26.168]  The communists destroyed California.
