[00:00:11.803 --> 00:00:13.144]  ...is a complete idiot.
[00:56:19.170 --> 00:56:21.411]  And I had to begin to pull off the road.
[00:56:21.631 --> 00:56:25.332]  I was coughing so hard and couldn't breathe that I was basically vomiting in my car.
[00:56:25.352 --> 00:56:25.932]  In fact, I was.
[00:56:26.312 --> 00:56:27.192]  Vomit was coming up.
[00:56:28.820 --> 00:56:32.143]  And I'm here because this feels a lot better than being in bed.
[00:56:32.163 --> 00:56:34.205]  I am going to leave town tomorrow.
[00:56:34.405 --> 00:56:36.166]  In fact, I may move in full force out of Austin.
[00:56:36.467 --> 00:56:39.049]  They admit it is the headquarters of the worst allergies in the country.
[00:56:39.369 --> 00:56:39.910]  But here's the deal.
[00:56:40.030 --> 00:56:41.191]  My grandmother's from here.
[00:56:42.432 --> 00:56:43.433]  She's got allergies now.
[00:56:43.573 --> 00:56:45.014]  She's 91 years old, 92.
[00:56:45.935 --> 00:56:47.336]  People that never had them have got them.
[00:56:47.436 --> 00:56:49.658]  It is epidemic where people are dying.
[00:56:51.588 --> 00:56:55.331]  And it's the GMO, it's the chemicals, it tips our immune system over.
[00:56:55.851 --> 00:56:59.774]  We're getting so much artificial stuff, we can't handle things we always had before.
[00:57:01.556 --> 00:57:02.216]  It's epidemic.
[00:57:03.437 --> 00:57:10.603]  And I tied it in also to the 2006 film, Children of Men, where everybody is basically sterile.
[00:57:11.023 --> 00:57:13.005]  We've already reached that from Japan to the U.S.
[00:57:13.065 --> 00:57:14.186]  Most people are now sterile.
[00:57:14.486 --> 00:57:15.487]  Sperm counts are down 90%.
[00:57:16.387 --> 00:57:17.889]  The point is, no one's talking about it.
[00:57:17.929 --> 00:57:19.490]  We're living in a real movie.
[00:57:20.896 --> 00:57:23.217]  Where 90% of my office is super ill.
[00:57:23.577 --> 00:57:24.457]  A lot of folks are out.
[00:57:24.657 --> 00:57:26.878]  Everybody I talk to is the sickest in their life.
[00:57:27.998 --> 00:57:29.398]  People that have never had allergies.
[00:57:30.739 --> 00:57:32.279]  And I didn't have allergies until I was 17.
[00:57:33.660 --> 00:57:34.280]  Are in hell.
[00:57:34.420 --> 00:57:35.680]  I was up all night coughing.
[00:57:36.060 --> 00:57:37.301]  I busted a rib.
[00:57:37.821 --> 00:57:39.501]  I got a big swole rib from coughing.
[00:57:40.181 --> 00:57:41.062]  And I can hardly breathe.
[00:57:41.102 --> 00:57:41.822]  And I'm not bitching.
[00:57:43.507 --> 00:57:49.132]  The nutraceuticals I take, you know, made me lose weight and get healthier, but I'm going to definitely get to the natural nutraceuticals.
[00:57:49.172 --> 00:57:54.476]  I know the deal with the mold, but I've been doing the local honey and bee pollen and stuff, and it just ain't working, man.
[00:57:55.337 --> 00:57:57.679]  So I'm leaving tomorrow morning.
[00:57:58.239 --> 00:57:59.240]  I mean, it's that bad.
[00:57:59.280 --> 00:58:00.621]  I am being driven from Austin.
[00:58:00.661 --> 00:58:02.142]  I may have to move headquarters, everything.
[00:58:03.063 --> 00:58:06.306]  Because now the damn allergies are 12 months out of the year.
[00:58:06.386 --> 00:58:07.447]  Everybody's basically sick.
[00:58:08.127 --> 00:58:09.588]  It's the biggest business is allergies.
[00:58:09.728 --> 00:58:11.370]  I don't know what is going on, but it's getting bad.
[00:58:12.748 --> 00:58:18.231]  Speaking of supporting the broadcast, we've got free shipping sent through today with promo code free.
[00:58:18.831 --> 00:58:23.293]  We have Cyber Monday extended today with 50% off on global silver, 30% off for Melon Vitality.
[00:58:23.993 --> 00:58:25.474]  Great books, videos, materials.
[00:58:25.554 --> 00:58:28.235]  Infowarsstore.com is what funds this independent media operation.
[00:58:28.255 --> 00:58:31.337]  I don't know exactly what's going on, but man, everybody knows what I'm talking about.
[00:58:31.357 --> 00:58:32.778]  We're just conditioned to accept all this.
[00:58:32.838 --> 00:58:33.118]  I'm not.
[00:58:33.658 --> 00:58:34.619]  So thank you for your support.
[00:58:34.699 --> 00:58:36.841]  Infowarsstore.com is the umbrella site.
[00:58:37.301 --> 00:58:39.403]  Infowarslife.com is the nutraceutical site.
[00:58:39.763 --> 00:58:40.764]  Amazing supplements there.
[00:58:40.824 --> 00:58:43.607]  Call toll free, 888-253-3139.
[00:58:44.708 --> 00:58:47.090]  But, I mean, I literally could not talk during the break.
[00:58:47.110 --> 00:58:49.492]  I mean, this is like not being able to breathe, folks.
[00:58:49.512 --> 00:58:50.633]  This is like having asthma.
[00:58:50.673 --> 00:58:52.835]  I mean, I've never experienced asthma, but now I know what it's like.
[00:58:53.695 --> 00:58:55.917]  Where, I mean, I can't breathe sometimes for like 60 seconds.
[00:58:55.977 --> 00:58:56.738]  I'm turning blue here.
[00:58:56.838 --> 00:58:57.459]  This is not fun.
[00:59:01.078 --> 00:59:02.698]  You think our information's hardcore?
[00:59:03.059 --> 00:59:04.299]  You think our focus is brutal?
[00:59:04.539 --> 00:59:06.099]  Try our nutraceuticals.
[00:59:06.359 --> 00:59:07.160]  Try our supplements.
[00:59:07.420 --> 00:59:10.060]  We've taken BrainForce and made it BrainForce Plus.
[00:59:10.301 --> 00:59:14.062]  Now at 20% more in the bottle and an even more hardcore formula.
[00:59:14.482 --> 00:59:16.842]  You owe it to yourself to get these products.
[00:59:16.902 --> 00:59:19.363]  They really have worked for myself, my family.
[00:59:19.403 --> 00:59:21.544]  They have five-star reviews by the thousands.
[00:59:22.124 --> 00:59:25.665]  Secure your BrainForce Plus today at InfoWarsLife.com.
[00:59:25.685 --> 00:59:26.005]  Now 20% stronger.
[00:59:26.025 --> 00:59:27.105]  Again, InfoWarsLife.com.
[00:59:30.886 --> 00:59:33.568]  Look, I'm not going to sit here and say, see, I told you so.
[00:59:33.788 --> 00:59:36.850]  That communist Chinese style net censorship is coming to the web.
[00:59:37.191 --> 00:59:37.931]  Because it's already here.
[00:59:38.311 --> 00:59:38.972]  It's being announced.
[00:59:39.332 --> 00:59:42.814]  The way you keep the internet open and free is you get involved more than ever.
[00:59:43.215 --> 00:59:45.156]  Go to InfoWars.com forward slash app.
[00:59:45.256 --> 00:59:46.837]  A new battleship in the fight.
[00:59:47.017 --> 00:59:48.018]  InfoWars Live.
[00:59:48.198 --> 00:59:49.019]  Available right now.
[00:59:49.299 --> 00:59:50.580]  We're looking for a crew to man it.
[00:59:50.600 --> 00:59:53.482]  Are you going to sit down and play games and be a trendy?
[00:59:53.502 --> 00:59:55.103]  Or are you going to be part of history?
[00:59:55.663 --> 00:59:58.685]  Don't sit by and let the internet and free speech be stolen from you.
[00:59:59.165 --> 00:59:59.746]  Take action.
[01:00:02.754 --> 01:00:05.475]  You're listening to the Alex Jones Show.
[01:00:06.376 --> 01:00:16.641]  Be careful what you wish.
[01:00:17.822 --> 01:00:18.983]  You just might get it.
[01:00:19.203 --> 01:00:23.105]  If you are receiving this transmission, you are the resistance.
[01:00:24.045 --> 01:00:28.988]  From the front lines of the Information War, it's Alex Jones.
[01:00:34.580 --> 01:00:37.221]  Yeah, the allergies are spreading everywhere.
[01:00:37.301 --> 01:00:38.601]  It's like out of the movie they're happening.
[01:00:38.661 --> 01:00:40.722]  It's so bad, I've got to evacuate Texas tomorrow.
[01:00:40.742 --> 01:00:41.842]  I'll be popping in on the show.
[01:00:43.263 --> 01:00:46.684]  And I'm actually looking at areas that have low allergy levels to move studios the next year.
[01:00:46.704 --> 01:00:48.825]  I even told the crew, you want to come with us?
[01:00:48.985 --> 01:00:49.365]  We're leaving.
[01:00:49.505 --> 01:00:50.145]  We're leaving Austin.
[01:00:50.885 --> 01:00:52.786]  Plus, it's been overrun by Californians anyways.
[01:00:53.506 --> 01:00:56.107]  And people that try to take over California, the failed Californians.
[01:00:56.127 --> 01:01:01.849]  You know, the losers, the lottery ticket wannabe winners, the fruitcakes, the scum.
[01:01:03.291 --> 01:01:08.235]  Arizona, they say, used to be good, but now it's bad there, too, because it's the GMO, folks.
[01:01:08.295 --> 01:01:09.036]  It's the chemicals.
[01:01:09.596 --> 01:01:10.797]  It's the nanotech.
[01:01:10.897 --> 01:01:12.278]  It's triggering everybody.
[01:01:12.298 --> 01:01:15.781]  And again, I was somebody, I wasn't allergic to anything.
[01:01:16.301 --> 01:01:19.924]  Not bee stings, not penicillin, not opiates.
[01:01:19.964 --> 01:01:22.226]  You know, if I had a surgery, nothing.
[01:01:23.847 --> 01:01:27.810]  And now I was just racked with allergies this morning.
[01:01:28.831 --> 01:01:30.792]  And I got in the car to drive to work, and like,
[01:01:32.259 --> 01:01:34.660]  I walked out and got in the car and it wasn't placebo.
[01:01:34.700 --> 01:01:35.300]  It was happening.
[01:01:35.320 --> 01:01:36.400]  I was, my eyes were watering.
[01:01:36.420 --> 01:01:37.540]  I was coughing and hurt.
[01:01:38.160 --> 01:01:38.981]  I got in the car.
[01:01:39.001 --> 01:01:39.881]  I couldn't breathe.
[01:01:40.461 --> 01:01:41.841]  I almost ran off the road.
[01:01:41.881 --> 01:01:44.862]  I had to pull over, started to pull over, pulled back out.
[01:01:47.823 --> 01:01:50.423]  It's like the media is not going to tell us this is going on.
[01:01:50.443 --> 01:01:52.164]  They're not, they're going to just act like everything's normal.
[01:01:52.664 --> 01:01:53.644]  It's not normal folks.
[01:01:54.804 --> 01:01:56.245]  Autism has gone from one in 37,000 to one in 56.
[01:02:00.111 --> 01:02:06.035]  Mental disorders, neurological disorders have gone from even higher numbers to lower numbers.
[01:02:06.695 --> 01:02:11.238]  Cancer and pediatrics has gone from unknown to 10,000% increases.
[01:02:13.600 --> 01:02:17.102]  I'm telling you folks, just like I tell you other stuff's going on, something's going on.
[01:02:17.742 --> 01:02:21.785]  I ain't got my full head around it, but man, is this like a take out of a species or something?
[01:02:22.625 --> 01:02:23.446]  Let me tell you, I'm tough.
[01:02:23.866 --> 01:02:24.527]  I'm pretty tough.
[01:02:26.608 --> 01:02:27.348]  I've been in fights before.
[01:02:27.388 --> 01:02:29.510]  I've had like three broken ribs, a broken nose.
[01:02:32.568 --> 01:02:34.609]  A broken leg and I'm still fighting.
[01:02:34.809 --> 01:02:38.351]  And let me tell you something, it took everything I had today to keep that car on the road.
[01:02:38.371 --> 01:02:41.292]  I mean, I was like purple.
[01:02:43.133 --> 01:02:47.035]  And again, I'm just telling you, there's some stuff going down.
[01:02:48.075 --> 01:02:50.737]  It's like World War I nerve gas when I went outside my house.
[01:02:51.137 --> 01:02:52.998]  I got filters all over my house now, you name it.
[01:02:53.958 --> 01:02:54.918]  Is it the electricity?
[01:02:54.978 --> 01:02:57.540]  Is it the wireless they think might stir up your allergies as well?
[01:02:58.877 --> 01:03:02.779]  Tell you something, I'm ready to go get a farmhouse out in the middle of nowhere and run the damn thing off solar.
[01:03:03.500 --> 01:03:04.400]  Or run it off candles.
[01:03:04.500 --> 01:03:07.322]  I don't know, man, because let me tell you something.
[01:03:07.342 --> 01:03:08.663]  I ain't somebody that's into being sick.
[01:03:09.383 --> 01:03:11.664]  And I know when I feel like I've been run over by an 18-wheeler.
[01:03:14.266 --> 01:03:16.267]  I'm only here because it feels better than sitting in bed.
[01:03:18.428 --> 01:03:23.491]  So... I have had my ass stomped before.
[01:03:25.212 --> 01:03:26.233]  And it was preferable to this.
[01:03:27.751 --> 01:03:30.753]  I've had people put the boots to my guts and it feels better than this.
[01:03:30.813 --> 01:03:34.076]  This is, this is like fire ants are dumped down my throat.
[01:03:34.576 --> 01:03:36.398]  My brain feels like it's about to explode.
[01:03:36.418 --> 01:03:40.721]  Um, it's, it's, it's so painful.
[01:03:40.821 --> 01:03:42.062]  I'm like, is this a joke?
[01:03:42.162 --> 01:03:44.524]  Does this, it's been going on for a week by the way.
[01:03:45.265 --> 01:03:48.407]  God Almighty, this has been going on for a week.
[01:03:49.388 --> 01:03:50.289]  Intense torture.
[01:03:53.208 --> 01:03:54.189]  I ain't telling you why.
[01:03:54.529 --> 01:03:57.451]  It's, I mean, a large part of my office is not even here.
[01:03:57.831 --> 01:04:00.593]  I talk to other offices locally, they go, yeah, half our office is gone.
[01:04:01.193 --> 01:04:02.494]  Everybody I talk to is sick.
[01:04:02.534 --> 01:04:03.755]  People have never been sick or sick.
[01:04:04.355 --> 01:04:05.616]  This isn't Kansas, folks.
[01:04:05.656 --> 01:04:06.476]  This isn't normal.
[01:04:09.738 --> 01:04:17.964]  We got one of the top professors, algorithm scientists, joining us that predicted that Trump was going to win the presidency with a 86% rate.
[01:04:20.854 --> 01:04:24.357]  He's predicted the last five, now I guess it's six, administrations.
[01:04:25.337 --> 01:04:26.198]  So that's coming up.
[01:04:29.340 --> 01:04:33.003]  But let me tell you, there's a lot of stuff going on.
[01:04:33.043 --> 01:04:36.145]  The radiation levels are triple what they were 50 years ago in the Northern Hemisphere.
[01:04:36.885 --> 01:04:38.166]  I think it's a cocktail of stuff.
[01:04:38.186 --> 01:04:41.549]  The toxic waste, the radiation, all of it's being triggered.
[01:04:41.609 --> 01:04:45.311]  But my body feels like it's fighting for its life right now.
[01:04:50.242 --> 01:04:52.544]  I'm gonna really work on some things and try to mitigate this.
[01:04:52.684 --> 01:04:53.826]  Let me tell you, I ain't found them yet.
[01:04:53.846 --> 01:04:58.150]  Alright, we'll be back on AlexJones and FourWords.com.
[01:04:58.790 --> 01:05:01.093]  I don't care what color you are, you got red blood and I love ya.
[01:05:10.427 --> 01:05:12.948]  Article up by CNS News.
[01:05:12.968 --> 01:05:16.789]  98,799 Somali refugees have settled in the U.S.
[01:05:16.949 --> 01:05:17.650]  since 9-11.
[01:05:18.410 --> 01:05:28.233]  Nearly 100,000 Somali refugees have been admitted into the U.S., including 9,020 during fiscal year 2016 and 1,352 last month alone.
[01:05:28.373 --> 01:05:37.857]  More than 99% of those refugees are Muslims, reflecting the religious makeup of Somalia's population, which is almost entirely Muslim, predominantly
[01:05:38.117 --> 01:05:39.698]  Thank God we didn't get Hillary Clinton in the White House!
[01:05:56.991 --> 01:05:58.412]  I'm gonna lay it out short and sweet.
[01:05:58.432 --> 01:06:02.714]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[01:06:02.734 --> 01:06:04.074]  I was a total fitness nut 20 years ago.
[01:06:25.439 --> 01:06:27.659]  About 15 years ago, I just stopped working out.
[01:06:27.760 --> 01:06:28.900]  I gained close to 100 pounds.
[01:06:29.580 --> 01:06:32.160]  I have lost 50, 60 pounds of fat.
[01:06:33.121 --> 01:06:33.481]  Or more.
[01:06:33.561 --> 01:06:35.521]  I've gained 20 pounds of muscle.
[01:06:35.981 --> 01:06:37.461]  I'm stronger than I was when I was 22.
[01:06:37.582 --> 01:06:40.922]  When I could bench press close to 400 pounds and squat 600.
[01:06:41.002 --> 01:06:42.823]  It's actually scary.
[01:06:43.663 --> 01:06:53.685]  And it's because I take products that are researchers developed that block the estrogen mimickers that basically feminize men.
[01:06:54.745 --> 01:07:07.515]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support Infowars in our fight for both human liberty and freedom.
[01:07:10.367 --> 01:07:15.630]  If you look at Bill Clinton, far worse, minor words, and his was action.
[01:07:16.211 --> 01:07:17.752]  His was what he's done to women.
[01:07:17.772 --> 01:07:23.455]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[01:07:23.676 --> 01:07:25.997]  Bill Clinton was abusive to women.
[01:07:26.357 --> 01:07:32.541]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[01:07:32.661 --> 01:07:37.965]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[01:07:48.803 --> 01:07:51.546]  There is an information warfare happening right now.
[01:07:52.408 --> 01:07:53.849]  It's a fight for our minds.
[01:07:54.530 --> 01:07:56.453]  And InfoWars.com is on the front lines.
[01:07:56.793 --> 01:08:00.998]  Download our free multimedia app at InfoWars.com forward slash app.
[01:08:01.118 --> 01:08:04.483]  It's free, it's on Droid, it's on Apple, you name it.
[01:08:04.563 --> 01:08:06.125]  InfoWars.com forward slash app.
[01:08:23.306 --> 01:08:30.808]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing.
[01:08:31.788 --> 01:08:35.689]  If you are receiving this transmission, you are the resistance.
[01:08:36.149 --> 01:08:39.989]  We now take you live to the Central Texas Command Center.
[01:08:40.329 --> 01:08:41.850]  It's Alex Jones.
[01:08:42.270 --> 01:08:44.190]  Yeah, people ask, what is this?
[01:08:44.210 --> 01:08:45.510]  Is it liberal versus conservative?
[01:08:45.530 --> 01:08:47.451]  No, it's reality versus tyranny.
[01:08:48.291 --> 01:08:55.175]  It's an information war, and we've got globalists and corporations that admit they want a hegemonic control over information.
[01:08:55.215 --> 01:08:56.075]  That's just not happening.
[01:08:56.575 --> 01:09:01.278]  And this whole election, Americanism versus globalism, was a repudiation of that.
[01:09:02.421 --> 01:09:09.425]  Now, I've followed the work of Dr. Helmut Northup for at least two decades since I've been on the air, and he's a professor of political science.
[01:09:09.465 --> 01:09:20.452]  I'm not going to go over all of his PhDs and MAs and the rest of it, but he's the guy with the studies and the algorithms he does that predicted Donald Trump had an 80-plus percent chance.
[01:09:20.532 --> 01:09:21.553]  It varied between 90 and 86.
[01:09:21.673 --> 01:09:24.334]  He can give us all the numbers, but we all saw it.
[01:09:24.695 --> 01:09:26.376]  Primarymodel.com.
[01:09:27.236 --> 01:09:33.739]  And so this is what, four or five administrations, I think it's five or six now, he can fill us in, where he's dead-on predicted it.
[01:09:34.239 --> 01:09:41.523]  He got a lot of criticism predicting it would be Trump, but the Google algorithm predicted it, a lot of other social network systems predicted it.
[01:09:41.543 --> 01:09:51.828]  It isn't hard when Trump had like 10 times the traffic of Hillary and 20 times the crowds, but he, it is hard to keep predicting inaccurately, but he and others
[01:09:52.868 --> 01:09:57.693]  I've also looked at it and said it's troubling numbers for people trying to impeach Trump down the road.
[01:09:57.793 --> 01:09:59.315]  So he joins us via video Skype.
[01:09:59.896 --> 01:10:02.258]  PrimaryModel16 is his Twitter.
[01:10:02.298 --> 01:10:05.982]  PrimaryModel.com is his website.
[01:10:06.002 --> 01:10:06.923]  I won't go over his bio.
[01:10:06.943 --> 01:10:08.164]  He really doesn't need an introduction.
[01:10:08.485 --> 01:10:11.107]  But Dr. Helmut Northup, thank you for joining us.
[01:10:11.748 --> 01:10:13.230]  Well, thank you for having me on your show again.
[01:10:13.450 --> 01:10:13.830]  Thank you.
[01:10:14.191 --> 01:10:14.491]  You bet.
[01:10:14.531 --> 01:10:15.272]  Where should we start?
[01:10:17.421 --> 01:10:19.102]  Well, we can start at the very end.
[01:10:19.402 --> 01:10:33.967]  It worked out terrifically that what I predicted in March came true when a lot of people had said that it would be impossible and that Hillary would be favored.
[01:10:34.547 --> 01:10:40.389]  And so it's very rewarding that it turned out the way I predicted.
[01:10:42.690 --> 01:10:43.930]  Well, you did call it again.
[01:10:43.990 --> 01:10:45.251]  Explain to people how you do this.
[01:10:46.445 --> 01:10:53.631]  Well it's a formula that sort of distills about a hundred years of elections in this country into a formula.
[01:10:53.651 --> 01:11:01.938]  It doesn't take into account polls, it doesn't look at what people say they might be doing or what kind of things might affect the vote.
[01:11:01.998 --> 01:11:04.280]  It really only looks at what happens in elections.
[01:11:04.380 --> 01:11:08.544]  In the general elections in November and then in the primary elections in
[01:11:09.446 --> 01:11:38.568]  throughout the year and uh... most recently just very early and uh... there's a very interesting patterns that uh... i found that uh... and will tell you ahead of time what's going to happen so for example uh... something that many people have sort of notice to you that that after two terms of a of a party in the white house there's sort of a uh... a very good likelihood of change and uh... this was clearly a sort of uh... on the horizon this time in particular because
[01:11:39.449 --> 01:11:44.494]  Obama did not do as well in his re-election than in the first election.
[01:11:44.995 --> 01:11:53.764]  And that's sort of a sign that maybe the change that he was introducing is sort of wearing off and that people are looking for another change.
[01:11:53.884 --> 01:11:57.088]  And this is clearly what drove much of the campaign.
[01:11:57.932 --> 01:12:02.053]  Well, Professor, Doctor, I've got my own internal algorithm and I know this.
[01:12:02.753 --> 01:12:15.557]  If you've got 900 plus members of legislatures going Republican, all these governors, 16 members of the Senate, a whole bunch in the House, to me that is a referendum on we don't want the establishment.
[01:12:15.937 --> 01:12:19.118]  If Trump doesn't deliver or die trying very quickly,
[01:12:20.078 --> 01:12:28.430]  The public's going to turn against him, but I know in some of your algorithms, some of your formulas, you're saying he'll be the Republican establishment that's actually his enemy, not the public.
[01:12:30.285 --> 01:12:39.090]  Well, he certainly has a good chance in his first term to do something, because a first-term president, at least in that part, is pretty safe.
[01:12:40.410 --> 01:12:51.476]  I would say that based on historical patterns in elections, that somebody like Trump, after doing what he did in this election, will probably have a good chance of getting re-elected.
[01:12:51.536 --> 01:12:54.998]  Now, in the midterm that he's facing in two years, it might be a little different.
[01:12:55.698 --> 01:12:57.340]  And we've seen it with Obama.
[01:12:57.380 --> 01:12:59.201]  We've seen it with Clinton.
[01:12:59.221 --> 01:13:00.723]  We've seen it with some Republicans.
[01:13:02.024 --> 01:13:07.929]  There is a chance that there'll be sort of a surge back to the other party.
[01:13:07.949 --> 01:13:10.531]  I think you should expect that.
[01:13:11.131 --> 01:13:18.473]  And it sort of depends on whether that's big enough to take away the majority that he has now in the House and the Senate.
[01:13:18.754 --> 01:13:22.275]  Sure, and I pulled the numbers up because I got one wrong here from memory.
[01:13:22.755 --> 01:13:29.697]  Democrats have lost 900 plus state legislative seats, 12 governors, 69 House seats, 13 Senate seats.
[01:13:30.237 --> 01:13:34.098]  I would say Republicans gained 16, the Democrats lost 13 Senate seats.
[01:13:34.578 --> 01:13:36.759]  I mean, these are massive, massive losses.
[01:13:36.779 --> 01:13:38.840]  We were told the Republican Party was about to die.
[01:13:39.600 --> 01:13:48.747]  And become just a southern state party, but it seems what the Democrats said basically became the tombstone so-called for their party.
[01:13:50.248 --> 01:14:02.798]  What I find most interesting in this election, which I don't think anybody expected or predicted, is that Donald Trump essentially won it in three northern and midwestern states, Pennsylvania,
[01:14:03.527 --> 01:14:06.452]  Wisconsin and Michigan, which has now been called for him.
[01:14:06.972 --> 01:14:11.820]  And that's a remarkable achievement for a Republican to win because he had to do it.
[01:14:12.659 --> 01:14:16.302]  With the kind of voters that used to be very strongly attached to the Democrats.
[01:14:16.923 --> 01:14:20.406]  White, working class people, voters in those states.
[01:14:21.046 --> 01:14:27.512]  And that's sort of a development that I don't think was foreseen.
[01:14:27.592 --> 01:14:32.276]  Although if you follow the Trump campaign, I think it was sort of in the making.
[01:14:32.316 --> 01:14:36.580]  I mean, that was sort of a design to appeal to exactly that group of voters.
[01:14:38.151 --> 01:14:39.392]  Well, all I know is this.
[01:14:39.532 --> 01:14:46.057]  Trump has reached out to minority voters, something the Democrats don't do except for race baiting, talking about tax cuts and things like that.
[01:14:47.158 --> 01:14:48.099]  What do you make of Bannon?
[01:14:48.119 --> 01:15:03.832]  I don't know if you saw his Hollywood Reporter interview about two weeks ago where he said, we want the Republican Party to take over the next 50 to 100 years if we can deliver tax cuts to poor people, working class, middle class, across the board and reignite Americana instead of this command and control economy.
[01:15:04.192 --> 01:15:06.935]  Looking at all your different models and algorithms, Doctor,
[01:15:07.695 --> 01:15:08.955]  Do you think there's any hope for that?
[01:15:11.216 --> 01:15:14.176]  Well, I don't really have an angle about that.
[01:15:16.757 --> 01:15:19.278]  Sure, so what do you see then populism-wise?
[01:15:19.298 --> 01:15:20.298]  What do you see in the tea leaves?
[01:15:20.618 --> 01:15:26.519]  It seems like the whole world is turning against globalism from Germany to France to Spain to the UK.
[01:15:26.939 --> 01:15:29.840]  It seems like Americanism, not globalism, is the credo.
[01:15:31.560 --> 01:15:34.221]  Well, I would say he would have to do it probably beyond
[01:15:35.219 --> 01:15:45.343]  Like tax cuts, I mean, you would have to see some very strong signs that certain jobs are doing well in this country.
[01:15:45.363 --> 01:15:51.645]  Like in these states, I think, Pennsylvania, Wisconsin, Michigan, Ohio, I mean, that whole belt of states.
[01:15:52.986 --> 01:15:57.448]  And I don't know whether a tax cut is the only way that you do that.
[01:15:58.288 --> 01:16:00.389]  If there's any way that you can reverse
[01:16:00.973 --> 01:16:03.496]  Maybe what is happening to the flow of jobs in those states.
[01:16:03.516 --> 01:16:06.539]  So you're saying better trade deals and infrastructure investment?
[01:16:07.200 --> 01:16:07.640]  Absolutely.
[01:16:08.241 --> 01:16:13.667]  I think that's probably a very strong selling point that he has.
[01:16:14.047 --> 01:16:16.550]  I think he can count on a lot of Democrats to support that too.
[01:16:18.466 --> 01:16:30.437]  A very good beginning, and if that sort of generates the kind of economic response that people are looking for in these states, I think that could mean that Trump would be able to consolidate these gains that he made in that area.
[01:16:32.295 --> 01:16:33.996]  I think that's an important point you make.
[01:16:34.076 --> 01:16:39.120]  It's individuals that create the economy, but it is, like Obama said, you didn't build it.
[01:16:39.140 --> 01:16:47.185]  Well, we did build it, but if we don't have infrastructure or trains or trucks or roads, then our individual dreams can't basically manifest through those systems.
[01:16:47.685 --> 01:16:51.928]  In the United States, especially the Northeast, as you mentioned, I mean, I was there when I was a kid.
[01:16:51.948 --> 01:16:52.709]  I was there in college.
[01:16:52.749 --> 01:16:53.589]  I've been there recently.
[01:16:54.070 --> 01:16:55.310]  It looks like a bomb hit it.
[01:16:55.350 --> 01:16:56.871]  I mean, it is falling apart.
[01:16:57.752 --> 01:16:58.012]  It is.
[01:16:58.092 --> 01:16:58.312]  It is.
[01:16:58.392 --> 01:16:59.053]  It is scary.
[01:16:59.093 --> 01:17:02.195]  I mean, that sounds like a Herculean job to try to fix that.
[01:17:03.275 --> 01:17:06.256]  Yeah, certainly, but I think the party has a tradition of that.
[01:17:06.336 --> 01:17:16.299]  I mean, the Republican Party in the 19th century was a party that built, like, the Intercontinental Railroad and other projects.
[01:17:16.660 --> 01:17:20.281]  And Eisenhower in the 20th with the Interstate Highways.
[01:17:20.301 --> 01:17:21.521]  Well, same thing, too.
[01:17:21.541 --> 01:17:22.421]  You're right, absolutely.
[01:17:22.461 --> 01:17:26.723]  I mean, Eisenhower, that was a big achievement, accomplishment.
[01:17:27.303 --> 01:17:30.624]  And so I think there's a tradition of Republicans doing these things.
[01:17:31.974 --> 01:17:32.694]  There certainly is.
[01:17:32.734 --> 01:17:47.844]  What do you think, from looking at your demographics and your models, the Democrats were thinking, because I'm not a super-statistician rocket scientist like you are, and I mean, you're one of the top brains out there, so I mean that seriously, I can just read at a gut level the tea leaves and see they were so disconnected.
[01:17:47.864 --> 01:17:49.325]  I mean, do you agree with that statement?
[01:17:49.365 --> 01:17:50.166]  Or I mean, what are they thinking?
[01:17:50.186 --> 01:17:53.508]  Because they only seem to be intensifying their same old race-baiting.
[01:17:53.928 --> 01:17:56.770]  Everybody I know, I don't care what color they are, they just want prosperity.
[01:17:56.790 --> 01:17:58.491]  They don't want more race-fighting.
[01:18:00.267 --> 01:18:12.473]  Well, I think what you see is that the Democrats are doing very well in states like California, New York, coastal states with a heavy proportion of minority voters.
[01:18:13.073 --> 01:18:18.855]  And a lot of people have thought that the Republican Party would have to compete on that terrain.
[01:18:20.416 --> 01:18:24.438]  And clearly, I mean, if we had a national vote, I mean, the outcome might have been different.
[01:18:24.458 --> 01:18:28.680]  I mean, we have an electoral college and that has a certain effect on the way the vote
[01:18:29.292 --> 01:18:34.674]  It comes out, and it's a pretty narrow sort of victory in these three states.
[01:18:34.754 --> 01:18:35.834]  I mean, let's not kid ourselves, 10,000, 20,000, 70,000.
[01:18:36.314 --> 01:18:38.135]  Sure, sure.
[01:18:38.555 --> 01:18:47.257]  And it's very important for, I think, the Republicans to maintain in a strong position that they consolidate these gains.
[01:18:47.297 --> 01:18:55.019]  So I think they should particularly look at what you have to do in states like that and surrounding states like Ohio and so on.
[01:18:57.765 --> 01:19:00.147]  To be sure that you hold on to that.
[01:19:01.108 --> 01:19:06.212]  Again, Dr. Helmut Northup, one of the top political scientists in the world, is our guest.
