[00:00:15.544 --> 00:00:20.526]  If you are receiving this transmission, you are the resistance.
[00:25:42.429 --> 00:25:47.951]  And if we don't speak out and oppose it now, we're going to go into fantastical tyranny.
[00:25:47.951 --> 00:25:57.715]  Look at how they just admit that the delegate process is rigged and that even though Bernie Sanders won in New Hampshire, Hillary got more delegates.
[00:25:57.715 --> 00:26:07.098]  Look at how they just come out now federally and say your kids do belong to the state and every family will have a government agent assigned to their children from birth.
[00:26:07.098 --> 00:26:08.238]  This is the stuff of 1984!
[00:26:11.468 --> 00:26:17.130]  And it's being brought out to make us submit, to break our will, to make us give into it.
[00:26:17.130 --> 00:26:18.710]  And we can't let that happen.
[00:26:18.710 --> 00:26:27.993]  Look at how Bernie Sanders and Hillary Clinton constantly attack Wall Street and capitalism as if it created the economic crisis we're now in.
[00:26:30.039 --> 00:26:40.731]  90 plus percent of Wall Street is doing a great job capitalizing companies, capitalizing systems, giving people great returns on their 401ks, and similar systems.
[00:26:40.731 --> 00:26:48.740]  It's only the top five or six mega banks and brokerage firms that created the derivatives that brought in all the fraud, and they're the very ones that fund Hillary Clinton.
[00:26:49.401 --> 00:27:07.989]  And Bernie Sanders, the Democratic Party, and most of the Republican Party, because they're the monopoly men, scapegoating real capitalism for their crony, capitalist, rigged system that Carol Quigley, one of their own top strategists, laid out for them in the 1960s.
[00:27:07.989 --> 00:27:10.610]  They are bringing us despotism.
[00:27:10.610 --> 00:27:12.111]  They want to make you poor.
[00:27:13.211 --> 00:27:19.215]  They want to dumb you and your family down, and they teach you to be cynical about this and make jokes about it.
[00:27:19.215 --> 00:27:25.100]  The only way you have power is to admit this is happening, and to stand up against it, and to say no.
[00:27:25.100 --> 00:27:27.742]  And the good news is, the numbers have never been clearer.
[00:27:28.642 --> 00:27:31.986]  People are really ready to wake up now.
[00:27:31.986 --> 00:27:43.779]  Folks are beginning to understand what's happening, but they're getting caught in different bait-and-switches, like Hillary and Bernie Sanders are putting out, to confuse people where we blame capitalism during this collapse.
[00:27:44.480 --> 00:27:54.108]  And then bring in more collectivism instead of pointing out the collectivism is what allowed this system to get in this position that it's now in.
[00:27:54.108 --> 00:28:01.615]  They plan on using the crises that they have exacerbated and created to bring us to our knees.
[00:28:01.615 --> 00:28:02.416]  They plan to
[00:28:04.224 --> 00:28:10.168]  Not let the public know there's a global financial collapse until people are so desperate they come in with their answers.
[00:28:10.168 --> 00:28:18.473]  That is a global government with a global carbon tax of 100 trillion every decade paid to these pirate criminals that are above the law.
[00:28:18.473 --> 00:28:20.015]  That is outrageous.
[00:28:20.015 --> 00:28:21.215]  We'll be back right after break.
[00:28:21.215 --> 00:28:23.837]  I'm going to finish up this special state of the world report.
[00:28:23.837 --> 00:28:28.860]  Then I'll hand the baton to David Knight, hosted from the Infowars News Center in Austin, Texas.
[00:28:28.860 --> 00:28:29.541]  I'm Alex Jones.
[00:28:31.346 --> 00:28:32.928]  And of course, this is David Knight here live.
[00:28:32.928 --> 00:28:37.673]  We're going to continue with Alex's breakdown of global ruin is coming unless we stop it.
[00:28:37.673 --> 00:28:47.624]  After Alex's report, we're going to go back and look at more detail and more updates about Justice Scalia's death and what it means as we look at climate change and many other important issues.
[00:28:47.624 --> 00:28:48.305]  Stay with us.
[00:28:48.305 --> 00:28:48.846]  We'll be right back.
[00:28:57.574 --> 00:28:58.394]  Hey, everyone!
[00:28:58.394 --> 00:29:04.516]  Pharmacist Ben Fuchs here, host of The Bright Side, and as many of you know, I'm on a mission to help Americans get and stay healthy.
[00:29:04.516 --> 00:29:06.597]  You've all heard the shocking statistics.
[00:29:06.597 --> 00:29:16.881]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[00:29:16.881 --> 00:29:22.863]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[00:29:23.323 --> 00:29:38.160]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[00:29:38.200 --> 00:29:38.680]  I think so.
[00:29:58.348 --> 00:30:01.849]  When cells become toxic, they die early and aging sets in.
[00:30:01.849 --> 00:30:10.090]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:30:10.090 --> 00:30:15.512]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:30:15.512 --> 00:30:18.032]  You want the best that's out there at the lowest price anywhere?
[00:30:18.032 --> 00:30:20.153]  We now have the synergistic solution.
[00:30:20.153 --> 00:30:24.353]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:30:28.291 --> 00:30:29.191]  Shower Filters.
[00:30:29.191 --> 00:30:30.932]  We're introducing the best yet.
[00:30:30.932 --> 00:30:34.993]  The brand new ProPure ProMax High Performance Shower Filter.
[00:30:34.993 --> 00:30:39.795]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:30:39.795 --> 00:30:46.877]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:30:46.877 --> 00:30:53.820]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[00:30:58.041 --> 00:31:01.243]  A clean, toxic-free body is the foundation of true health.
[00:31:01.243 --> 00:31:03.585]  Deep Cleanze by InfoWarsLife.com.
[00:31:03.585 --> 00:31:10.609]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:31:10.609 --> 00:31:15.933]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:31:15.933 --> 00:31:24.879]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:31:25.339 --> 00:31:34.227]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:31:34.227 --> 00:31:41.313]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[00:31:41.313 --> 00:31:46.658]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best
[00:31:46.898 --> 00:32:00.811]  My fellow Info Warriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[00:32:12.341 --> 00:32:22.123]  Just go to Infowarslife.com today, select your favorite product, click on AutoShip before adding to cart, and choose how often you want us to send you another order.
[00:32:22.123 --> 00:32:31.144]  Every time you choose AutoShip at Infowarslife.com, you get 10% off, and you won't have to worry about running out and having to reorder next time.
[00:32:31.144 --> 00:32:33.965]  And of course, you can cancel with one click anytime.
[00:32:33.965 --> 00:32:41.786]  As you know, I'm all about the idea of a 360 win, and the new AutoShip feature at Infowarslife.com is a sure win for everybody.
[00:32:42.026 --> 00:32:46.050]  A win for liberty, a win for health, and a win when it comes to big savings.
[00:32:46.050 --> 00:32:52.297]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:32:52.297 --> 00:32:54.279]  That's InfoWarsLife.com or call 888-253-3139.
[00:32:54.279 --> 00:32:56.461]  You're listening to the Alex Jones Show.
[00:33:18.374 --> 00:33:20.196]  We are on the march.
[00:33:20.196 --> 00:33:23.338]  The Empire is on the run.
[00:33:23.338 --> 00:33:33.747]  Alex Jones and the GCN Radio Network.
[00:33:33.747 --> 00:33:34.928]  And we are back, my friends.
[00:33:34.928 --> 00:33:36.309]  Thank you for joining us.
[00:33:36.309 --> 00:33:43.495]  Before I hand the baton to David Knight here in the Infowars News Center, I want to finish up just putting out this warning.
[00:33:43.495 --> 00:33:44.136]  And you can take it,
[00:33:45.276 --> 00:33:51.979]  And you can investigate what I'm saying and find out it's true, and that it's far worse than what I'm even saying, or you can just make a joke out of it and move on.
[00:33:51.979 --> 00:34:06.844]  But we've reached that critical mass point where world government's being announced, global taxes are being announced, banning of cash is being announced, open announcement that families are bad, that free speech is bad, that saying mother or father is bad, founding fathers are bad.
[00:34:06.844 --> 00:34:11.066]  And it's not just weirdo leftist professors and deans.
[00:34:11.066 --> 00:34:12.706]  It's state houses.
[00:34:12.706 --> 00:34:13.687]  It's the federal government.
[00:34:14.560 --> 00:34:24.035]  This is a totalitarian takeover that is beyond anything we ever saw in the Soviet Union in its width and breadth.
[00:34:25.405 --> 00:34:31.567]  And why I'm so concerned is we've seen the urban warfare drills for domestic takeover, the training manuals are public.
[00:34:31.567 --> 00:34:39.109]  We've seen the admitted development of civilian inmate labor camps and internment facilities in America at army.mil.
[00:34:39.109 --> 00:34:45.491]  And we've seen the mainstream media go, Alex Jones hates our troops, and says they want to put you in a camp.
[00:34:45.491 --> 00:34:52.893]  That was the same thing they'd say in the late 30s when Germans, generals and people, would come out and say, Hitler's bad, don't let him launch wars.
[00:34:52.893 --> 00:34:54.253]  And they'd go, why are you against our troops?
[00:34:55.452 --> 00:34:58.353]  No, they were for the troops and for the German people.
[00:34:58.353 --> 00:35:03.114]  Our troops are the ones that tell me about this before it was public.
[00:35:03.114 --> 00:35:05.095]  Okay, I'm going to leave it right there.
[00:35:05.095 --> 00:35:07.556]  Folks know our sources.
[00:35:07.556 --> 00:35:10.757]  Generals, colonels, special forces, you name it, many of them on record.
[00:35:10.757 --> 00:35:13.758]  Green Berets, Delta Force, you name it.
[00:35:13.758 --> 00:35:23.841]  They've got manuals that we published two years ago from Fort Hood where they said, do not talk about the founding fathers, they wouldn't be welcome in today's army.
[00:35:24.960 --> 00:35:27.222]  People couldn't believe that document two years ago.
[00:35:27.222 --> 00:35:30.885]  Now San Diego is trying to pass a law to ban you.
[00:35:30.885 --> 00:35:32.606]  Of course that's the enemy!
[00:35:32.606 --> 00:35:34.608]  Of course that's a takeover!
[00:35:34.608 --> 00:35:36.950]  Of course it's crazy!
[00:35:36.950 --> 00:35:40.293]  I don't blame you for not believing me back when it was secret.
[00:35:40.293 --> 00:35:43.956]  But you should believe me now when it's admitted.
[00:35:43.956 --> 00:35:45.918]  And you should understand this isn't a game.
[00:35:45.918 --> 00:35:47.819]  Every day I get up and put my life on the line.
[00:35:47.819 --> 00:35:49.861]  And I'm not a hero.
[00:35:49.861 --> 00:35:53.304]  I'd be a coward not fighting this and letting my family be enslaved.
[00:35:54.724 --> 00:35:58.893]  Quite frankly, I fight them so hard out of deep fear that evil will win.
[00:35:58.893 --> 00:36:05.726]  Not fear for my own body or even my children, but fear that I'll stand down and let just ravenous tyranny take over.
[00:36:06.872 --> 00:36:09.433]  Don't you have that fire in your belly to say no?
[00:36:09.433 --> 00:36:15.016]  I know many of you do, and I salute you and thank you, but those on the fence are those that think, oh, we're a little extreme.
[00:36:15.016 --> 00:36:18.898]  Barry Goldwater said it best, extremism and defense of liberty is no vice.
[00:36:18.898 --> 00:36:20.479]  I'm not extreme enough.
[00:36:20.479 --> 00:36:21.799]  I'm not alarmist enough.
[00:36:21.799 --> 00:36:23.820]  I'm not hardcore enough.
[00:36:23.820 --> 00:36:33.665]  When we see the things going on in this country, they admit the former Attorney General runs the big Arthur Anderson style accounting firm that lets mega banks pay no taxes.
[00:36:35.131 --> 00:36:41.633]  They admit that the stock market's rigged, and the currencies are rigged, and the interest rates are rigged.
[00:36:41.633 --> 00:36:45.073]  Folks, remember they used to deny that.
[00:36:45.073 --> 00:36:47.874]  Now they admit that.
[00:36:47.874 --> 00:36:52.355]  The Pope called last year for world government and carbon taxes.
[00:36:52.355 --> 00:36:54.336]  It's here.
[00:36:54.336 --> 00:36:55.676]  And that's why I want to say the Liberty Movement.
[00:36:56.593 --> 00:37:01.574]  Don't feel ashamed when the media ridicules you and tries to make fun of you to make you shut up.
[00:37:01.574 --> 00:37:03.335]  Those manuals are public.
[00:37:03.335 --> 00:37:06.816]  That's using peer pressure because they're so scared of you to make you feel like you're alone.
[00:37:06.816 --> 00:37:07.936]  You're not alone.
[00:37:07.936 --> 00:37:13.417]  And you stand with history and you stand on the side of God against evil when you speak out.
[00:37:13.417 --> 00:37:20.039]  And one man who is morally right against a whole throng of people that support corruption is the majority.
[00:37:21.587 --> 00:37:22.647]  That's what it comes down to.
[00:37:22.647 --> 00:37:47.558]  So I want you to know how special you are today in your fight against this, because the armored vehicles being deployed, the billions of rounds of ammo, the training manuals saying a coming civil war with the patriots and gun owners and veterans and Christians is coming, and the founding fathers are bad, and mommy and daddy and father and mother and boy and girl is being banned nationwide, and contact sports they're trying to ban, and women in frontline combat.
[00:37:47.558 --> 00:37:49.999]  All of it is social engineering to wreck us.
[00:37:50.899 --> 00:37:57.093]  The goal is to wreck us because the globalists are exempt from their own system.
[00:37:57.093 --> 00:37:58.717]  Remember that.
[00:37:58.717 --> 00:38:00.682]  And remember that people like Hillary Clinton...
[00:38:01.505 --> 00:38:20.462]  With all of her corruption, or Brian Williams lying about being in combat, and persecuting people of the IRS, and Benghazi, and the cattle futures, and Whitewater, and Vince Foster, and the emails, and all of it, and the identity politics of people saying, she's a woman, so I'm going to support her.
[00:38:20.462 --> 00:38:27.428]  Well, a lot of Germans said, Adolf Hitler is Germanic-Austrian war hero, and we're going to support him.
[00:38:30.700 --> 00:38:31.480]  Think about that.
[00:38:31.480 --> 00:38:44.025]  When she gets more money than anybody else from Wall Street, and then she says, Wall Street is to blame for what's happened to our economy, not the top of Wall Street, but all of it.
[00:38:44.025 --> 00:38:47.166]  And don't worry, she's going to redistribute that wealth for you.
[00:38:47.166 --> 00:38:53.228]  You add a new banker bailout to the globalists, that's how they redistribute wealth, and then you get nothing.
[00:38:53.228 --> 00:38:54.669]  Blacks get double unemployment.
[00:38:55.996 --> 00:38:59.960]  Under Obama, because he doesn't need your vote, because he's black!
[00:38:59.960 --> 00:39:02.022]  Well, women, you think you're going to get a better deal with Hillary?
[00:39:02.022 --> 00:39:04.125]  She doesn't need your vote, because she's a woman!
[00:39:05.492 --> 00:39:10.295]  That is the most sexist, racist, mindless, stupid way to vote.
[00:39:10.295 --> 00:39:11.616]  Or stupidest way to think.
[00:39:11.616 --> 00:39:17.439]  Going, I don't know, girl power, you know, I don't care what she stands for, girl power.
[00:39:17.439 --> 00:39:21.502]  You associate your power through somebody because they look like you.
[00:39:21.502 --> 00:39:23.083]  That isn't you.
[00:39:23.083 --> 00:39:27.646]  That is the most cult-like, whacked out, crazy stuff I've ever heard of.
[00:39:28.246 --> 00:39:29.728]  They're gearing up for total collapse.
[00:39:29.728 --> 00:39:30.889]  The Pentagon, everybody.
[00:39:30.889 --> 00:39:33.051]  I've been warning you about this for years.
[00:39:33.051 --> 00:39:35.654]  The collapse already started five, six years ago around the world.
[00:39:35.654 --> 00:39:36.996]  Now it's coming here.
[00:39:36.996 --> 00:39:44.043]  I saw Fox News this morning and they said, it's like there's an island and America's, you know, the highest up, but the water's rising on us too.
[00:39:44.904 --> 00:39:47.266]  We're the best house in a bad neighborhood.
[00:39:47.266 --> 00:39:48.827]  We're the tallest leprechaun.
[00:39:48.827 --> 00:39:50.588]  I heard all these quotes.
[00:39:50.588 --> 00:39:51.749]  We were right about that.
[00:39:51.749 --> 00:39:52.289]  We were right.
[00:39:52.289 --> 00:40:00.695]  The Pentagon came out this week with the NSA and said, yeah, the Internet of Things in your house, all the smart toasters and refrigerators, and we're watching and listening to you.
[00:40:00.695 --> 00:40:01.696]  You bet.
[00:40:01.696 --> 00:40:03.657]  Oh, I told you that 15 years ago.
[00:40:03.657 --> 00:40:06.859]  Because it was in MIT documents.
[00:40:06.859 --> 00:40:09.161]  I'm telling you the truth.
[00:40:09.161 --> 00:40:10.682]  I'm warning you.
[00:40:10.682 --> 00:40:11.823]  And then some say, so what?
[00:40:11.823 --> 00:40:12.864]  World government's the next level.
[00:40:13.871 --> 00:40:15.512]  That's how Star Trek is.
[00:40:15.512 --> 00:40:19.094]  You know, a world federation of lovey people all working together.
[00:40:19.094 --> 00:40:21.455]  It's all happy, it's pro-human.
[00:40:21.455 --> 00:40:24.936]  The New World Order isn't pro-human.
[00:40:24.936 --> 00:40:38.103]  It's like Ted Bundy, the famous serial killer, in a little non-threatening suit, getting people to come up and be his friend, in a little non-threatening Volkswagen and getting women in the car.
[00:40:39.167 --> 00:40:42.368]  I know Bernie Sanders and the rest of them look sweet and cute.
[00:40:42.368 --> 00:40:45.429]  Folks, don't get in the yellow Volkswagen, please.
[00:40:45.429 --> 00:40:48.591]  I'm going to hand the baton to David Knight right now, but I want to say something here.
[00:40:48.591 --> 00:40:51.292]  I'm not going to spend a lot of time on air-plugging products.
[00:40:51.292 --> 00:40:54.453]  A lot of times I even skip breaks, and it hurts the network and others.
[00:40:54.453 --> 00:40:56.434]  We have trouble funding sometimes because of it.
[00:40:56.434 --> 00:41:02.316]  But listen, we bring you the best products there are at the lowest prices, and it funds the tip of the spear in the info war.
[00:41:02.316 --> 00:41:04.417]  So I want to thank all of you that do support us.
[00:41:05.277 --> 00:41:13.881]  We support you, but if you're not buying the products and the t-shirts and the books and the films and the best material out there at InfoWarsStore.com, you're crazy.
[00:41:13.881 --> 00:41:17.583]  If you're not supporting us at InfoWarsLife.com, what is the point?
[00:41:18.359 --> 00:41:19.499]  We're all about free will.
[00:41:19.499 --> 00:41:23.080]  Revolutionaries previously robbed banks and kidnapped people for money.
[00:41:23.080 --> 00:41:25.501]  We fund it with high-quality products.
[00:41:25.501 --> 00:41:32.662]  And the revolution begins with voting with your dollars and supporting outlets that support freedom and withdrawing your support from the globalist.
[00:41:32.662 --> 00:41:34.803]  Infowarslife.com for the nutraceuticals.
[00:41:34.803 --> 00:41:36.443]  Big specials in tonight.
[00:41:36.443 --> 00:41:37.904]  Infowarslife.com.
[00:41:37.904 --> 00:41:41.265]  Infowarsstore.com, ladies and gentlemen.
[00:41:41.265 --> 00:41:47.046]  If you want to find the water filters, the non-GMO seeds, the Hillary for prison t-shirts, a new limited edition and more.
[00:41:47.426 --> 00:41:48.826]  And that's how we fund this operation.
[00:41:48.826 --> 00:41:54.288]  That's why I'm up here today, fighting on the weekend, because my family has no future if we don't say no.
[00:41:54.288 --> 00:41:57.988]  And I know the power that individuals have who promote liberty throughout history.
[00:41:57.988 --> 00:42:01.789]  And all we've got to do is stand up and say no, and this tyranny will dissipate.
[00:42:01.789 --> 00:42:06.430]  But if we lay down, look at how bad it's already gotten, it's going to get ten times worse.
[00:42:06.430 --> 00:42:08.571]  We now go back to the Infowars News Center in David Knight.
[00:42:09.315 --> 00:42:13.098]  And again, that's Alex Jones on Global Ruin is coming, unless we stop it.
[00:42:13.098 --> 00:42:18.262]  When we come back from the break, we're going to talk about the implications of Scalia's death.
[00:42:18.262 --> 00:42:20.424]  Will Obama appoint a replacement?
[00:42:20.424 --> 00:42:21.665]  Will the GOP stop it?
[00:42:21.665 --> 00:42:26.929]  They've said they would, but they said they wouldn't fund the climate treaty, and of course that's a key part.
[00:42:27.569 --> 00:42:37.798]  of what's important about the death of Antonin Scalia, and that is what's going to happen with Obama's efforts to shut down coal to control our country's energy supply from Washington.
[00:42:37.798 --> 00:42:41.361]  We're also going to take a look at the GOP South Carolina debate.
[00:42:41.361 --> 00:42:43.743]  Very entertaining, very insightful.
[00:42:43.743 --> 00:42:44.623]  Stay with us, we'll be right back.
[00:42:57.540 --> 00:43:02.185]  Tell folks how you got introduced to super male, and then when super female came out, tell us what happened.
[00:43:02.185 --> 00:43:06.929]  After I saw such a huge positive change in my husband, I had to try it for myself.
[00:43:06.929 --> 00:43:08.271]  Talk about the effects.
[00:43:08.271 --> 00:43:09.772]  I feel great when I wake up in the morning.
[00:43:09.772 --> 00:43:11.714]  I have drive to go to the gym.
[00:43:11.714 --> 00:43:12.835]  I feel like I look better.
[00:43:12.835 --> 00:43:13.536]  I feel better.
[00:43:13.536 --> 00:43:14.938]  I feel sexier.
[00:43:14.938 --> 00:43:15.298]  I love it.
[00:43:15.558 --> 00:43:18.519]  Even if you don't believe in supplements, take the challenge.
[00:43:18.519 --> 00:43:21.460]  Get a bottle of Super Male, a bottle of Super Female.
[00:43:21.460 --> 00:43:22.541]  Check it out for yourself.
[00:43:22.541 --> 00:43:23.721]  Consult your physician.
[00:43:23.721 --> 00:43:26.102]  Visit InfoWarsLife.com today.
[00:43:26.102 --> 00:43:27.463]  This is life-changing.
[00:43:27.463 --> 00:43:28.383]  Shower filters.
[00:43:28.383 --> 00:43:29.643]  We're introducing the best yet.
[00:43:29.643 --> 00:43:30.224]  The brand new
[00:43:31.144 --> 00:43:34.165]  Pro Pure Pro Max High Performance Shower Filter.
[00:43:34.165 --> 00:43:38.967]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:43:38.967 --> 00:43:46.049]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:43:46.049 --> 00:43:48.430]  You can find more details on this amazing new filter and
[00:43:48.510 --> 00:43:56.816]  Free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax shower filter from ProPure today!
[00:44:07.304 --> 00:44:11.047]  Like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:44:11.047 --> 00:44:14.990]  Youngevity also offers you an ingenious way to augment your income.
[00:44:14.990 --> 00:44:15.791]  And the best part?
[00:44:15.791 --> 00:44:18.653]  You'll be helping your friends and family along the way.
[00:44:18.653 --> 00:44:21.275]  Visit InfoWarsTeam.com today.
[00:44:21.275 --> 00:44:22.056]  Become a member.
[00:44:22.056 --> 00:44:26.359]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:44:26.359 --> 00:44:32.804]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:44:33.064 --> 00:44:34.025]  Another win-win.
[00:44:34.025 --> 00:44:37.768]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:44:37.768 --> 00:44:38.989]  And you can be too.
[00:44:38.989 --> 00:44:39.549]  It's simple.
[00:44:39.549 --> 00:44:42.492]  Just go to Infowarsteam.com today.
[00:44:42.492 --> 00:44:44.593]  Complete a short sign-up and you're part of the team.
[00:44:44.593 --> 00:44:47.856]  That's Infowarsteam.com or Infowarshealth.com.
[00:44:47.856 --> 00:44:54.161]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:44:54.161 --> 00:44:55.462]  Check it out for yourself today.
[00:44:58.129 --> 00:45:04.072]  Supermail Vitality is Infowarslife.com's number one selling product for a good reason.
[00:45:04.072 --> 00:45:04.812]  It works.
[00:45:04.812 --> 00:45:09.094]  Go to Infowarslife.com today and read the testimonials for yourself.
[00:45:09.094 --> 00:45:14.536]  There are thousands of them with an average voting score at an unprecedented 4.8.
[00:45:16.337 --> 00:45:28.301]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes that are blocked by estrogen mimickers and other toxic elements in the food chain.
[00:45:28.301 --> 00:45:33.342]  Super Mel Vitality from InfoWarsLife.com has sold out multiple times in the last three months.
[00:45:33.482 --> 00:45:34.022]  We're good to go.
[00:45:59.173 --> 00:46:02.956]  Thousands of years ago, there was a basic form of chivalry.
[00:46:02.956 --> 00:46:10.681]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:46:10.681 --> 00:46:19.286]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:46:19.286 --> 00:46:23.729]  But in the 21st century, there are silent weapons for quiet war.
[00:46:23.729 --> 00:46:29.053]  Pathenogens added to the food and water, to the lining of plastics that destroy our vitality.
[00:46:29.133 --> 00:46:30.133]  We're good to go.
[00:47:02.188 --> 00:47:19.674]  You're listening to the Alex Jones Show.
[00:47:19.674 --> 00:47:27.337]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:47:29.588 --> 00:47:30.970]  Welcome back to the Alex Jones Show.
[00:47:30.970 --> 00:47:35.115]  I'm David Knight, your host on this Sunday, February 14th, 2016.
[00:47:35.115 --> 00:47:37.118]  Valentine's Day.
[00:47:37.118 --> 00:47:44.006]  And as a gift to our listeners and those who support us, we've extended the sales on several items that we're going to end on Friday.
[00:47:44.006 --> 00:47:46.049]  We've extended them over the weekend.
[00:47:46.049 --> 00:47:47.030]  They were going to end on Thursday.
[00:47:47.030 --> 00:47:49.212]  We extended it through the weekend.
[00:47:49.212 --> 00:47:54.036]  Those sales that are going to be ending tonight are Silver Bullet for 15% off.
[00:47:54.036 --> 00:47:58.640]  Also, the new product Anthroplex is being offered along with Supermail Vitality.
[00:47:58.640 --> 00:47:59.741]  Get the two of them together.
[00:47:59.741 --> 00:48:01.483]  They work synergistically together.
[00:48:01.483 --> 00:48:04.065]  Get the two of them together at Infowarslife.com.
[00:48:04.065 --> 00:48:05.186]  You get 15% off and free shipping.
[00:48:07.848 --> 00:48:12.171]  Also, we have a sale on InfoWare Select Foods.
[00:48:12.171 --> 00:48:16.133]  These are the storable foods that have a shelf life of up to 25 years.
[00:48:16.133 --> 00:48:19.715]  They are packaged and made in the USA.
[00:48:19.715 --> 00:48:21.897]  All the content, all the food is U.S.
[00:48:21.897 --> 00:48:30.482]  quality, and the packaging is first quality as well, even with Ziploc ties that allow you to utilize it to the utmost, even after you've opened it.
[00:48:30.482 --> 00:48:32.543]  Again, they store up to 25 years.
[00:48:32.543 --> 00:48:36.185]  Massive sale on InfoWare Select Foods, 30 to 40% off.
[00:48:37.586 --> 00:48:38.767]  Of InfoWars Select Food.
[00:48:38.767 --> 00:48:42.370]  And if you order $50 or more, you get free shipping.
[00:48:42.370 --> 00:48:49.235]  So we have several sales right now that you can find at InfoWarsLife.com as well as InfoWarsStore.com.
[00:48:49.235 --> 00:48:53.499]  Now I want to get back to what we were talking about at the very beginning of the broadcast.
[00:48:53.499 --> 00:48:55.801]  Many of you don't get the first five minutes.
[00:48:55.801 --> 00:48:57.342]  Sometimes it's local news.
[00:48:57.342 --> 00:48:59.524]  I want to go back and put some of this in context.
[00:48:59.524 --> 00:49:01.986]  We want to put the death of Scalia
[00:49:02.546 --> 00:49:02.646]  Yes.
[00:49:18.542 --> 00:49:18.802]  I think?
[00:49:42.080 --> 00:49:44.881]  We're not going to appoint somebody in this session.
[00:49:44.881 --> 00:49:46.742]  We've got a presidential election that we're in the middle of.
[00:49:46.742 --> 00:49:49.023]  We're going to wait and see what the people say.
[00:49:49.023 --> 00:49:54.805]  We're going to let the next president appoint the replacement for Justice Scalia.
[00:49:54.805 --> 00:49:57.586]  The Democrats are very furious about that.
[00:49:57.586 --> 00:49:59.227]  Obama says he's going to introduce somebody.
[00:49:59.227 --> 00:50:04.208]  So it remains to be seen whether or not the GOP is going to have the backbone to stand up and do something about that.
[00:50:04.208 --> 00:50:07.910]  Remember that when they came through with the Paris Climate Accord,
[00:50:09.076 --> 00:50:12.241]  We heard all kinds of tough talk from the GOP Senate.
[00:50:12.241 --> 00:50:14.544]  They said, well, we're going to have something to say about that.
[00:50:15.396 --> 00:50:19.058]  It was only three days later that they did have something to say about it.
[00:50:19.058 --> 00:50:21.039]  They totally caved.
[00:50:21.039 --> 00:50:26.021]  Remember that they completely funded it as part of the omnibus bill that they ran through.
[00:50:26.021 --> 00:50:28.802]  So, that lasted for all of three days.
[00:50:28.802 --> 00:50:33.684]  Will they be able to hold off until after the election for this appointment?
[00:50:33.684 --> 00:50:35.645]  What does it mean if they don't hold off?
[00:50:35.645 --> 00:50:39.447]  But first, I want to take a look at some of the breaking news about his death.
[00:50:40.455 --> 00:50:45.537]  We have an article on Infowars.com which also references the Washington Post.
[00:50:45.537 --> 00:50:48.659]  Texas judge turns down a scolia autopsy.
