[00:00:00.009 --> 00:00:02.198]  You're listening to The Alex Jones Show!
[01:03:00.424 --> 01:03:02.685]  And then adults will kind of laugh, sometimes nicely.
[01:03:02.705 --> 01:03:04.246]  Some say, oh, hey, Alex, yeah, I'm awake.
[01:03:04.627 --> 01:03:06.688]  Yeah, too bad you can't find any gum that doesn't say aspartame.
[01:03:09.127 --> 01:03:11.910]  Other times they'll go, oh, let your kid have some gum, man, what do you think?
[01:03:12.330 --> 01:03:13.872]  I'm like, hey, that's what alcohol, folks.
[01:03:14.732 --> 01:03:22.440]  I'm not going to give my kids something that's designed to be an excitotoxin, that's addictive, so they'll eat the whole package of gum, chew it in an hour, and then want more.
[01:03:22.460 --> 01:03:29.967]  And the stuff that's in fast food, the toxins, the things they put there on purpose to make you feel sick an hour later and be hungry, and make you get fat.
[01:03:31.548 --> 01:03:33.670]  You say, well, how does just exposing aspartame save the world?
[01:03:33.750 --> 01:03:34.251]  I didn't say that.
[01:03:36.243 --> 01:03:39.464]  Ma'am, I see you've got nursery water here that says fluoride in it.
[01:03:39.805 --> 01:03:41.745]  Let me pull up on my phone right now for you.
[01:03:42.106 --> 01:03:44.327]  Listen, I'm not saying this to be obnoxious or get in your business.
[01:03:44.367 --> 01:03:45.507]  I care about you and your family.
[01:03:45.967 --> 01:03:47.328]  I want you to just pull up.
[01:03:47.888 --> 01:03:51.910]  The American Medical Association says children shouldn't even have fluoridated water until age five.
[01:03:52.230 --> 01:03:53.531]  It causes dental fluorosis.
[01:03:55.051 --> 01:03:55.311]  Really?
[01:03:55.371 --> 01:03:55.772]  Why?
[01:03:56.072 --> 01:03:56.892]  I just said nursery.
[01:03:56.912 --> 01:03:57.632]  I thought it'd be better.
[01:03:57.953 --> 01:03:58.913]  No, no, let me show you.
[01:03:59.013 --> 01:03:59.833]  Wow, I see that.
[01:03:59.873 --> 01:04:01.034]  That's... Yes, ma'am?
[01:04:03.547 --> 01:04:04.868]  And the clerk starts getting mad.
[01:04:05.829 --> 01:04:06.430]  You know what, ma'am?
[01:04:07.351 --> 01:04:07.651]  You know what?
[01:04:07.931 --> 01:04:09.353]  You're ahead of me.
[01:04:10.774 --> 01:04:13.036]  Let me just run over here and get you the regular water.
[01:04:13.136 --> 01:04:13.697]  I've done that.
[01:04:15.819 --> 01:04:17.901]  I've done it probably three or four times.
[01:04:17.941 --> 01:04:18.842]  I've seen them with that water.
[01:04:19.663 --> 01:04:26.950]  I mean, I'm dead inside if I don't warn people.
[01:04:28.120 --> 01:04:34.262]  That is a chemical attack on record to literally eat holes in your children's brains.
[01:04:35.102 --> 01:04:40.884]  And I'm supposed to just sit here and watch them put bug poison in your water and not do anything?
[01:04:41.084 --> 01:04:45.285]  What type of whacked out scum would I be if I just didn't care?
[01:04:46.189 --> 01:04:47.290]  That's what I'm supposed to do, though.
[01:04:47.590 --> 01:04:54.137]  You see, I'm about two degrees away from being one of these globalists in that I know what they know, most of them know what they know, but enjoy it.
[01:04:54.397 --> 01:05:00.464]  They enjoy seeing a woman in line with poison water, or they're so rich, all their water's delivered, they don't go in stores.
[01:05:01.004 --> 01:05:01.325]  You see?
[01:05:01.525 --> 01:05:07.291]  They enjoy going through an airport and seeing the dead and dying, mutated, shuffling around that they've murdered.
[01:05:08.615 --> 01:05:20.318]  Presidential candidate Hillary Clinton denied reports that her private email server had been hacked after being confronted by an InfoWars correspondent at a campaign stop in Iowa.
[01:05:20.358 --> 01:05:28.179]  Secretary Clinton, last week it was reported on InfoWars.com that your email server was hacked and you knowingly continued to use your email server.
[01:05:28.339 --> 01:05:29.320]  Can you comment on that?
[01:05:29.380 --> 01:05:30.380]  Yeah, it's totally untrue.
[01:05:30.640 --> 01:05:48.037]  The question stems from an exclusive InfoWars interview earlier this month in which former Secret Service agent Dan Bongino reported that Hillary continued using her private email to discuss classified information while knowing that her server had been compromised.
[01:05:48.217 --> 01:05:51.139]  The Clintons knew it was hacked, and she did it anyway.
[01:05:51.339 --> 01:05:57.162]  And not only is she not currently indicted or in prison, she's running to be President of the United States.
[01:05:57.262 --> 01:06:03.285]  If this is not a red flag to every Paul Revere out there that something's wrong, then you know what?
[01:06:03.325 --> 01:06:04.266]  The country is lost.
[01:06:04.346 --> 01:06:07.087]  And you can learn more right now at InfoWars.com
[01:06:08.488 --> 01:06:11.469]  A clean, toxic-free body is the foundation of true health.
[01:06:11.709 --> 01:06:13.869]  Deep Cleanze by InfoWarsLife.com.
[01:06:14.049 --> 01:06:20.751]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:06:21.051 --> 01:06:26.232]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:06:26.372 --> 01:06:35.374]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[01:06:35.794 --> 01:06:44.422]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:06:44.682 --> 01:06:51.588]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[01:06:51.788 --> 01:06:57.153]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you with the best.
[01:06:57.433 --> 01:07:02.977]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[01:07:03.037 --> 01:07:06.160]  That's InfoWarsLife.com or call 888-253-3139.
[01:07:08.461 --> 01:07:09.842]  Clean, pure drinking water.
[01:07:10.102 --> 01:07:11.403]  You can't survive without it.
[01:07:11.583 --> 01:07:12.504]  But where do you get it?
[01:07:12.804 --> 01:07:18.569]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[01:07:18.789 --> 01:07:24.513]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:07:24.693 --> 01:07:41.546]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:07:41.946 --> 01:07:44.067]  Filter capacity up to 5,000 gallons.
[01:07:44.427 --> 01:07:45.628]  Stainless steel construction.
[01:07:45.908 --> 01:07:46.689]  Easy assembly.
[01:07:46.929 --> 01:07:47.569]  Low maintenance.
[01:07:47.849 --> 01:07:49.690]  Replacement filters are simple to install.
[01:07:49.950 --> 01:07:57.054]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[01:07:57.234 --> 01:08:02.257]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[01:08:02.417 --> 01:08:04.998]  Go to InfowarsStore.com or call 888-253-3139.
[01:08:11.494 --> 01:08:17.498]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:18.119 --> 01:08:21.141]  It's Alex Jones and the GCN Radio Network.
[01:08:26.625 --> 01:08:35.672]  Well, in this hour, we're going to cover the unsustainability of global civilization by design.
[01:08:36.730 --> 01:08:47.764]  Everybody hears constantly from mainstream controlled media that we're unsustainable, humans are ugly, humans are bad, humans can't innovate, you can't have air conditioning, you can't have cars, everybody's gonna die, we'd be better off without humans.
[01:08:48.265 --> 01:08:52.631]  You know, I saw that in the white papers and government documents 25 years ago, 20 years ago on air covering it.
[01:08:53.292 --> 01:08:54.613]  Now it's just been mainstreamed.
[01:08:55.379 --> 01:09:11.253]  As they create artificial derivatives, as they give themselves trillions of dollars and then give us the debt, as they do everything they can to shut down industries and companies and new clean burning systems by controlling the whole green movement, they make sure that we only get boondoggles.
[01:09:12.214 --> 01:09:21.802]  It is a post-industrial world where the elite transfer the technologies, the power, the systems to themselves and don't transfer the innovations to the people.
[01:09:24.346 --> 01:09:39.510]  Now I know for a fact that major world leaders listen to this show and major folks that affect policy and have major pull in the media like Matt Drudge listens every day and Louis Farrakhan every day.
[01:09:39.530 --> 01:09:50.013]  I'm not comparing those two, but just look at how divergent at some points they are, but also how close Vladimir Putin listens.
[01:09:50.998 --> 01:10:02.587]  I mean, years ago, we've had former heads of the Pakistan and secret intelligence operatives, General Hamid Gul, and the head of the German CIA, and, you know, the number two in the Japanese government comes on.
[01:10:02.967 --> 01:10:06.850]  The point is, we've hit the zeitgeist talking to very high-powered people.
[01:10:08.791 --> 01:10:13.495]  And Right Wing Watch put it out last week.
[01:10:14.595 --> 01:10:17.658]  The reason I mention this is to show you how they're disinfo operatives.
[01:10:19.045 --> 01:10:25.530]  And then it got picked up by a bunch of magazines and newspapers, quote, my critics just want a spot in the global elite's off-world colonies.
[01:10:27.052 --> 01:10:31.695]  Now that's actually two quotes in a long breakdown to make it sound insane.
[01:10:32.956 --> 01:10:45.727]  But what I was quoting was Elon Musk in the news saying we need a Mars colony for the elite to escape to, we need ring cities that are based on Werner Von Braun designs and others which have gravity, which is what you see in the movie Elysium.
[01:10:45.747 --> 01:10:46.688]  That's a real design.
[01:10:48.956 --> 01:10:54.119]  There's the Elite Daily, a ticket to Elon Musk's colony on Mars costs 500k.
[01:10:55.480 --> 01:11:05.886]  So see what happens is, I cover news, I cover CNN, 9th planet found, is it planet X, the rumored 10th planet, 10 times bigger than Earth.
[01:11:07.927 --> 01:11:12.170]  They'll probably have articles saying Alex Jones says, you know, that space aliens are coming to get us, you know, planet 10.
[01:11:13.171 --> 01:11:16.413]  Shame deal where they say that I say that there's Martians under the UN building.
[01:11:16.453 --> 01:11:17.133]  I never said that.
[01:11:17.573 --> 01:11:18.574]  I don't cover space aliens.
[01:11:21.587 --> 01:11:24.269]  So, see, this is how they engage in disinfo.
[01:11:24.309 --> 01:11:31.655]  And I know everybody understands this, but you really need to really get the word out about how shameful these people are and how they're preying on their audiences.
[01:11:31.695 --> 01:11:39.862]  But just during the break, Tim Fruge said, oh, I remember seeing Stephen Hawking just say this yesterday.
[01:11:40.682 --> 01:11:41.483]  Stephen Hawking.
[01:11:41.543 --> 01:11:42.164]  I didn't see this.
[01:11:42.224 --> 01:11:47.668]  Humanity is going to use science and technology to wipe itself out, Professor warns.
[01:11:48.529 --> 01:11:51.011]  Says global elite are destroying the planet.
[01:11:53.089 --> 01:11:54.169]  And plan to escape it.
[01:11:55.570 --> 01:12:01.592]  Nuclear war, global warming, and genetically engineered viruses all pose a threat, but we might be able to save humanity if we escape Earth in time.
[01:12:02.832 --> 01:12:06.213]  And then he goes on to talk about everything we talk about.
[01:12:06.253 --> 01:12:06.674]  Here's another one.
[01:12:06.734 --> 01:12:09.995]  Stephen Hawking warns humanity, leave Earth before the ruling class destroys it.
[01:12:11.475 --> 01:12:13.216]  I mean, they'll probably come out and
[01:12:16.693 --> 01:12:17.795]  Again, misrepresent this.
[01:12:18.355 --> 01:12:22.962]  They don't want to have a debate about what's going on and to get where I was going and then go to our guest setting this up.
[01:12:24.522 --> 01:12:26.884]  This is what the elite are talking about.
[01:12:27.244 --> 01:12:29.245]  This is what they've been talking about for 50 years.
[01:12:29.785 --> 01:12:31.627]  It's the plan to control the future.
[01:12:32.027 --> 01:12:33.868]  We are not in that future plan.
[01:12:34.488 --> 01:12:49.558]  The economic collapse you're seeing be engineered is to get us under their full economic, political, and military control to dictate to us like Native Americans on a reservation to a company store with diseased blankets and beef full of maggots.
[01:12:53.186 --> 01:12:53.987]  That's the system.
[01:12:54.027 --> 01:13:02.974]  They get the tax money to then administer us on the plantation, us on the reservation, neo-feudalism in their own words.
[01:13:03.854 --> 01:13:08.298]  I coined the term neo-feudalistic fascism 17, 18 years ago.
[01:13:08.398 --> 01:13:14.483]  It is now used in universities by them to describe what they are building.
[01:13:15.844 --> 01:13:19.127]  What's crazy is we put names to their tyranny, they even adopt it.
[01:13:20.006 --> 01:13:23.390]  At Davos two years ago, they said, we're technocrats, we are bringing in tyranny.
[01:13:23.410 --> 01:13:31.879]  They had the Financial Times of London's editor come out and say, and now for world government, and say, we are tyrannical, we are taking over.
[01:13:32.760 --> 01:13:33.281]  We know best.
[01:13:35.336 --> 01:13:46.442]  Then they have the Southern Poverty Law Center and ADL and all their groups that they put the talking points out for, White House-run media matters, CNN, come out and say there is no world government and Alex Jones is deeply racist with no proof.
[01:13:46.642 --> 01:13:57.588]  And I'm not talking about myself here all day, but I never meant to be gonzo journalism, but we are because if they can shoot down Matt Drudge, Alex Jones, Rush Limbaugh, and a few others, they can take everybody else down.
[01:13:57.848 --> 01:13:59.869]  And I don't agree with some of the things Rush Limbaugh says.
[01:14:00.782 --> 01:14:03.064]  He's more of a kind of establishment Republican, or at least has been.
[01:14:03.264 --> 01:14:06.426]  But now he sounds more like I do, because his audience is taking him there.
[01:14:06.627 --> 01:14:07.507]  Or maybe he's grown.
[01:14:07.747 --> 01:14:20.697]  The point is, they want to shut him down, they want to boycott him, they want to arrest him, they want to set him up, they follow him around, they harass him on record, because if they can bring down that big lead elephant, they can bring down all the rest.
[01:14:20.998 --> 01:14:23.199]  And now I am a lead elephant.
[01:14:23.500 --> 01:14:28.043]  And let me tell you, it is very invigorating at certain points, but not at others.
[01:14:28.083 --> 01:14:28.704]  But let me tell you,
[01:14:29.364 --> 01:14:33.346]  It'll get your head screwed on really straight when you realize how hardcore all this is.
[01:14:35.287 --> 01:14:37.068]  But all hell is breaking loose.
[01:14:37.588 --> 01:14:38.348]  Banking cartel.
[01:14:38.408 --> 01:14:43.431]  JP Morgan's CEO gets 35% pay raise to $27 million amid cutbacks.
[01:14:43.911 --> 01:14:44.791]  Davos Insider.
[01:14:44.831 --> 01:14:45.792]  World economy doomed.
[01:14:46.052 --> 01:14:47.232]  Central Bank's out of ammo.
[01:14:47.272 --> 01:14:48.673]  That's up on InfoWars.com.
[01:14:52.655 --> 01:14:56.496]  Meanwhile, I think Hollywood, we know they're involved in psychological warfare 24-7,
[01:14:58.134 --> 01:15:03.637]  But I think they're not nominating any black directors or actors, because there are people that deserve it.
[01:15:03.817 --> 01:15:05.378]  Undoubtedly, something's going on here.
[01:15:06.499 --> 01:15:13.062]  They're not nominating it on purpose to create, again, more of a racial divide in this country.
[01:15:13.102 --> 01:15:14.003]  That's all they do 24-7.
[01:15:14.703 --> 01:15:15.423]  That's their job.
[01:15:15.724 --> 01:15:19.186]  Oscar winner producer denounces spoiled brats crying racism.
[01:15:21.147 --> 01:15:22.367]  And it is a bunch of spoiled brats.
[01:15:22.547 --> 01:15:23.688]  Go do your own thing.
[01:15:23.828 --> 01:15:24.488]  I mean, you know what?
[01:15:24.548 --> 01:15:25.249]  Leave Hollywood.
[01:15:26.801 --> 01:15:27.322]  I've done that.
[01:15:27.442 --> 01:15:28.482]  I never went to Hollywood.
[01:15:32.706 --> 01:15:37.750]  And now because we didn't let them dictate the culture to us, we dictate the culture to them.
[01:15:38.631 --> 01:15:41.273]  And I'm not going to go into a long example of that.
[01:15:41.773 --> 01:15:42.494]  There's plenty of them.
[01:15:45.267 --> 01:15:47.589]  Going to Michael Schneider, I really appreciate his work.
[01:15:47.609 --> 01:15:52.394]  He posts his articles almost every day at InfoWars.com, EconomicCollapseBlog.com.
[01:15:52.434 --> 01:15:54.436]  Michael Schneider is the creator of the site.
[01:15:54.476 --> 01:15:58.000]  He just does a great job doing the research, linking all the facts.
[01:15:58.781 --> 01:16:02.284]  He believes the coming economic collapse is going to unfold over the next few years.
[01:16:02.724 --> 01:16:05.928]  He also writes for the endoftheamericandream.com and The Truth.
[01:16:07.657 --> 01:16:11.622]  And we're just going to go ahead and go to him right now to break all this down.
[01:16:12.122 --> 01:16:17.668]  He's the author of two books, The Beginning of the End and Get Prepared Now, available on Amazon and paperback and Kindle.
[01:16:18.369 --> 01:16:19.390]  Thank you for joining us.
[01:16:19.410 --> 01:16:23.875]  That's a little six, seven minute intro with some of the craziness going on here.
[01:16:24.876 --> 01:16:26.898]  Russian intelligence chiefs getting killed.
[01:16:26.918 --> 01:16:29.640]  I mean, everything's really heating up right now.
[01:16:30.321 --> 01:16:36.646]  Do you think this is the big economic collapse, or will it be as big as 2008, where they consolidate more power, get bigger bailouts?
[01:16:37.046 --> 01:16:39.689]  Or is it going to be the big kahuna, Mr. Schneider?
[01:16:41.141 --> 01:16:47.450]  Well, Alex, thank you for having me on, and I do believe that that's exactly what we're heading for, we're progressing for right now.
[01:16:47.470 --> 01:16:50.794]  In fact, it started right in the middle of last year, in June 2015.
[01:16:51.735 --> 01:16:58.685]  Since that time, more than $15 trillion has been wiped out from stock markets all around the world.
[01:16:59.165 --> 01:17:01.608]  And so we've seen this massive amount of money lost.
[01:17:01.668 --> 01:17:12.360]  In fact, just on Wednesday we learned, they told us, CNBC, all the big mainstream news networks, they told us global stocks entered bear market for the first time in ages.
[01:17:12.680 --> 01:17:19.587]  And what that means is that global stocks are roughly down about 20%, so roughly approximately a fifth
[01:17:20.308 --> 01:17:24.091]  Of all stock market wealth in the world has been totally wiped out.
[01:17:24.171 --> 01:17:33.179]  So this has been going on for a number of months, but now, since the beginning of the year, you know, we've seen an acceleration with the emergency shutdowns of the Chinese markets, the U.S.
[01:17:33.239 --> 01:17:35.841]  markets have started to tumble, taking a tremendous tumble.
[01:17:36.222 --> 01:17:42.807]  In fact, through Wednesday, it was the worst start for the Dow Jones Industrial Average that we've ever seen in all of history.
[01:17:42.867 --> 01:17:44.649]  So it's starting to get the attention
[01:17:45.309 --> 01:17:50.531]  Of the American people, the mainstream media, although they're still telling people, don't panic, everything's going to be okay.
[01:17:50.951 --> 01:18:08.738]  But what we're seeing, it's not, you know, a lot of times people are looking for a day, a week, a month, you know, we're not looking for a single event, but it's a progression, which is eventually going to lead us into a crisis like we saw in 2008, and eventually lead us beyond that, I believe, into an even far greater crisis.
[01:18:08.778 --> 01:18:11.699]  In fact, in many areas around the world, that's already a reality.
[01:18:12.637 --> 01:18:25.444]  Well that's right, and then you've got people with most of the world in a depression or a recession, civil wars, or proxy wars in more than 30 countries, doubling of starvation per year just in the last few years.
[01:18:26.024 --> 01:18:27.265]  The world is melting down.
[01:18:27.325 --> 01:18:28.446]  The Pentagon says that.
[01:18:29.246 --> 01:18:30.086]  You write about it.
[01:18:30.707 --> 01:18:36.430]  But then they have the New York Times and others come out and attack myself, Gerald Cilenti, and countless others saying, we're porn dealers.
[01:18:37.050 --> 01:18:41.313]  No, we're pointing out that they've engineered the system that's now collapsing
[01:18:42.406 --> 01:18:45.528]  To consolidate control, we've been proven right.
[01:18:46.408 --> 01:18:56.314]  But isolated, insulated yuppies, living I guess off pension funds or living off trust funds from mommy and daddy, I guess they still think it's all funny.
[01:18:56.574 --> 01:18:57.975]  But what are they going to do when those
[01:18:58.835 --> 01:19:06.045]  Trust funds based on the stock market, based on 401Ks, based on mutual funds, go in the toilet.
[01:19:06.325 --> 01:19:07.427]  What are they going to do?
[01:19:07.487 --> 01:19:11.312]  Because in the Depression, people at least knew how to skin a buck or run a trot line.
[01:19:11.612 --> 01:19:15.077]  These yuppies don't know how to wipe their fat asses.
[01:19:15.217 --> 01:19:16.179]  Excuse me, I apologize.
[01:19:18.061 --> 01:19:20.102]  Oh, you're absolutely correct, Alex.
[01:19:20.142 --> 01:19:23.903]  In fact, just a couple weeks ago, Drudge Report came out with a new number.
[01:19:24.263 --> 01:19:28.085]  You know, before it was just 62% of all Americans were living paycheck to paycheck.
[01:19:28.105 --> 01:19:32.306]  Now it's 63% of all Americans are living paycheck to paycheck.
[01:19:32.707 --> 01:19:35.928]  So we're seeing the middle class hurting, middle class declining.
[01:19:35.968 --> 01:19:42.230]  In fact, for the first time ever, we learned just at the end of last year, the middle class in the United States is now a minority.
[01:19:42.510 --> 01:19:42.950]  We're down to 49%.
[01:19:44.571 --> 01:19:49.015]  You know, you take the wealthy and the poor together, they outnumber the middle class for the first time ever.
[01:19:49.055 --> 01:19:51.698]  Back in the 1970s, more than 60% of all Americans were middle class.
[01:19:51.718 --> 01:19:51.938]  Absolutely.
[01:19:51.958 --> 01:19:54.540]  Let's go to those numbers when we come back with Michael Snyder.
[01:19:54.760 --> 01:19:55.461]  And think about this.
[01:19:55.541 --> 01:20:03.568]  World Bank of Scotland two weeks ago did the equivalent of running naked with your hair on fire, screaming, shell everything, get out now.
[01:20:05.070 --> 01:20:06.351]  I mean, it's reached that point.
[01:20:06.671 --> 01:20:07.172]  Stay with us.
[01:20:08.846 --> 01:20:10.347]  Are you looking to sell body armor?
[01:20:10.527 --> 01:20:13.368]  Want to make extra money selling body armor at your local gun shows?
[01:20:13.468 --> 01:20:17.049]  With low minimum buys and great returns, KD Armor is the answer.
[01:20:17.129 --> 01:20:18.829]  Make money in your spare time.
[01:20:18.849 --> 01:20:25.732]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[01:20:26.112 --> 01:20:27.752]  And they'll ship it to you for free.
[01:20:27.992 --> 01:20:30.213]  If you own a business, give them a call today at 855-488-KD.
[01:20:30.293 --> 01:20:31.074]  That's 855-488-2284.
[01:20:31.094 --> 01:20:32.054]  Or go to KDArmor.com.
[01:20:32.074 --> 01:20:33.154]  Come and take it.
[01:20:38.789 --> 01:20:48.112]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[01:20:48.212 --> 01:20:52.514]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[01:20:52.634 --> 01:20:59.436]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[01:20:59.636 --> 01:21:01.377]  Buy now at DefenderShield.com.
[01:21:01.497 --> 01:21:03.738]  For 10% off, use promo code GCN.
[01:21:03.898 --> 01:21:07.439]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[01:21:08.826 --> 01:21:12.009]  Winter has just begun, and are you already tired of being cold?
[01:21:12.430 --> 01:21:14.212]  How would you like to never be cold again?
[01:21:14.232 --> 01:21:20.858]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[01:21:21.658 --> 01:21:30.962]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[01:21:31.542 --> 01:21:34.923]  If you snowmobile, ski, snowboard, get Fortress.
[01:21:35.564 --> 01:21:41.686]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[01:21:42.186 --> 01:21:50.570]  If you're stuck outside working in the cold or find yourself in an emergency situation, get our winter bug out bag and you will never be cold again.
[01:21:51.070 --> 01:21:54.954]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[01:21:55.234 --> 01:21:57.977]  It's a mid-layer garment that goes with anything you want to wear.
[01:21:58.418 --> 01:22:02.081]  Enter coupon code RADIO and get 20% off any item.
[01:22:02.502 --> 01:22:04.404]  Go now while we still have inventory.
[01:22:04.784 --> 01:22:05.745]  FortressClothing.com
[01:22:08.115 --> 01:22:12.738]  Wildfires, hurricanes, tornadoes, earthquakes, a crashing economy.
[01:22:12.938 --> 01:22:13.819]  Are you ready?
[01:22:14.059 --> 01:22:16.700]  At best, your local stores have a three-day supply of food.
[01:22:16.820 --> 01:22:19.022]  Will your family have to fight over what's left?
[01:22:19.182 --> 01:22:22.664]  Are you willing to gamble your family's safety that it'll never happen to you?
[01:22:22.964 --> 01:22:27.727]  Be wise and be ready with 25-Year Shelf Life Wise Food Storage.
[01:22:28.047 --> 01:22:32.990]  Wise Food Storage provides affordable, ready-made gourmet meals with a super long 25-year shelf life.
[01:22:34.071 --> 01:22:37.954]  Meals like pasta alfredo, cheesy lasagna, breakfast, dessert, drinks and snacks.
[01:22:38.115 --> 01:22:43.339]  Just add water and your family is eating delicious food instead of fighting for scraps in a food riot.
[01:22:43.499 --> 01:22:44.160]  Try it free.
[01:22:44.380 --> 01:22:49.224]  Order a no-obligation free sample meal delivered right to your front door and for a limited time.
[01:22:49.384 --> 01:22:52.305]  If you have time, get a 10% discount and free shipping on all orders.
[01:22:52.606 --> 01:22:55.147]  Once done, you're set for 25 years.
[01:22:55.367 --> 01:22:58.428]  Be wise and be ready with Wyze Food Storage.
[01:22:58.589 --> 01:22:59.869]  Call for your free sample now.
[01:22:59.889 --> 01:23:00.089]  800-803-5505 800-803-5505 800-803-5505
[01:23:08.027 --> 01:23:14.552]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:23:14.793 --> 01:23:18.916]  Since 2005, thousands have depended on Berkey Purified Water.
[01:23:19.076 --> 01:23:23.480]  The Berkey guy provides the lowest price filtration systems in every size.
[01:23:23.680 --> 01:23:29.244]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:23:29.264 --> 01:23:29.344]  877-886-3653.
[01:23:29.364 --> 01:23:29.725]  GoBerkey.com.
[01:23:37.751 --> 01:23:40.152]  Hunters, anglers, campers, and survivalists.
[01:23:40.352 --> 01:23:41.292]  Get back to nature.
[01:23:41.432 --> 01:23:48.515]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[01:23:48.635 --> 01:23:51.376]  Slingbow products are compact and models start from just $17.98.
[01:23:52.016 --> 01:23:55.258]  They're perfect for your bug out bag or storing in your vehicle.
[01:23:55.498 --> 01:23:59.399]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:23:59.619 --> 01:24:03.941]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:24:04.141 --> 01:24:06.782]  Feel the thrill only at slingbow.com.
[01:24:12.145 --> 01:24:15.647]  It seemed like yesterday, but it was long ago.
[01:24:16.828 --> 01:24:19.330]  All those drifters' years are behind me now.
[01:24:19.350 --> 01:24:21.291]  You got so much more to think about.
[01:24:21.331 --> 01:24:22.652]  World government collapse.
[01:24:22.712 --> 01:24:23.272]  Terror cells.
[01:24:23.292 --> 01:24:23.833]  Conscription.
[01:24:42.014 --> 01:24:43.174]  Forced inoculations.
[01:24:43.955 --> 01:24:45.955]  Gender reassignment in first grade.
[01:24:46.356 --> 01:24:46.916]  Worldwide.
[01:24:47.596 --> 01:24:49.437]  The school tells you what you're gonna be, basically.
[01:24:50.937 --> 01:24:52.258]  In the name of letting you be free.
[01:24:55.199 --> 01:24:57.860]  Well, it's the establishment running against the wind of history.
[01:24:58.340 --> 01:25:04.182]  And no amount of technological time prediction systems and algorithms will be able to save them.
[01:25:04.702 --> 01:25:11.045]  Not once the rising giant that is the human spirit begins to fight back, which is starting now.
[01:25:12.452 --> 01:25:14.513]  Michael Schneider of the Economic Collapse Blog is with us.
[01:25:14.533 --> 01:25:18.234]  It's a short segment, long segment coming up, and I should have made a bigger deal out of this.
[01:25:18.614 --> 01:25:19.875]  It is a huge big deal.
[01:25:20.495 --> 01:25:25.217]  Breaking Hillary Denies Email Hack, which we've had Secret Service agents on and others about.
[01:25:25.997 --> 01:25:27.318]  She denied that she'd been hacked.
[01:25:28.838 --> 01:25:30.799]  She denied that she had classified emails.
[01:25:30.819 --> 01:25:32.220]  Then she said she'd given them all over.
[01:25:32.420 --> 01:25:33.160]  Then there were more.
[01:25:33.440 --> 01:25:34.921]  Now there's Above Top Secret.
[01:25:35.981 --> 01:25:37.002]  Above Top Secret?
[01:25:37.042 --> 01:25:38.682]  Boy, you don't hear about that.
[01:25:38.962 --> 01:25:40.243]  That's ultra.
[01:25:41.360 --> 01:25:42.780]  Was the old classification for that.
[01:25:42.800 --> 01:25:48.302]  And then there's stuff so secret it doesn't even have a classification.
[01:25:49.362 --> 01:25:52.724]  And it's only in those little National Security Council star chambers.
[01:25:56.385 --> 01:25:59.326]  I want to get his take on this and then get back into what's happening worldwide.
[01:25:59.426 --> 01:26:02.026]  What are people going to do as things collapse?
[01:26:02.046 --> 01:26:03.587]  Well, they're going to listen to the media and the government.
[01:26:04.349 --> 01:26:06.411]  And the government's going to make sure they get enslaved further.
