[00:00:00.009 --> 00:00:01.731]  Brain Force is here.
[00:24:10.833 --> 00:24:14.335]  I know that Biggs went out there and Josh Owens and those guys went out there and dealt with them today.
[00:24:14.355 --> 00:24:15.415]  I'm going to go out tomorrow folks.
[00:24:15.435 --> 00:24:16.155]  We're going to go bury these people.
[00:24:16.195 --> 00:24:21.257]  And by the way, we will be showing that video pretty soon because Joe Biggs, oh, it was amazing.
[00:24:21.477 --> 00:24:21.958]  It was amazing.
[00:24:21.978 --> 00:24:22.958]  But we expected this.
[00:24:23.178 --> 00:24:24.539]  We expected this would happen.
[00:24:24.819 --> 00:24:28.100]  There are protests that are breaking out all across the country right now.
[00:24:28.780 --> 00:24:33.122]  And I say, you know, Donald Trump, he talks about draining the swamp in Washington.
[00:24:33.762 --> 00:24:36.503]  We could start with some of these protesters as far as I'm concerned.
[00:24:36.983 --> 00:24:38.264]  What do you do with these people?
[00:24:38.464 --> 00:24:39.424]  I mean, what am I supposed to do?
[00:24:39.444 --> 00:24:42.245]  These are the literal brainwashed masses.
[00:24:42.625 --> 00:24:42.825]  Yep.
[00:24:43.605 --> 00:24:47.686]  And... Not one single American flag in the entire crowd.
[00:24:47.706 --> 00:24:50.987]  There was Mexican flags, there was communist flags, and they're hiding their face.
[00:24:51.307 --> 00:24:53.007]  Josh Owens got kicked in the back.
[00:24:53.787 --> 00:24:54.968]  But we're the violent people.
[00:24:55.148 --> 00:24:55.348]  Yep.
[00:24:55.628 --> 00:25:02.269]  But see, that's the reality of it, is I'm not a violent person, Darren's not a violent person, Donald Trump isn't a violent person.
[00:25:02.289 --> 00:25:02.649]  Not usually.
[00:25:05.532 --> 00:25:08.936]  I don't know what, I mean, you know how I deal with these people.
[00:25:09.036 --> 00:25:13.261]  I go out there and I confront them with questions and logic and I engage in discourse and what happens?
[00:25:13.281 --> 00:25:16.525]  They end up breaking down, having a mental breakdown and end up screaming and yelling at me.
[00:25:16.585 --> 00:25:17.947]  Always the same response.
[00:25:17.967 --> 00:25:18.127]  Exactly.
[00:25:18.147 --> 00:25:20.830]  You're a fascist, you're a racist, you're a homophobic.
[00:25:21.371 --> 00:25:23.173]  So this is what actually is going on though.
[00:25:26.363 --> 00:25:31.067]  The brainwashing is obvious with these people, but here's the actual analogy.
[00:25:31.127 --> 00:25:42.896]  This is like a five-year-old child that is in the checkout line of a grocery store, sees the candy bar that he wants, and mom says, no, you can't have that candy bar.
[00:25:43.276 --> 00:25:45.117]  And then what does the child do?
[00:25:45.377 --> 00:25:48.600]  Starts throwing a fit, starts crying, screaming, making a scene.
[00:25:48.860 --> 00:25:49.780]  That's what these people are.
[00:25:49.820 --> 00:25:51.201]  They're little babies.
[00:25:51.261 --> 00:25:59.784]  They are little children in arrested development, who haven't matured enough, throwing a temper tantrum, throwing a fit, because they didn't get what they want.
[00:26:00.184 --> 00:26:15.589]  And then, on top of that, they're being groomed, they're being stroked into thinking they're right, they're on the right side of history, by the mainstream media, by President Obama, justifying, or at least they think, justifying their temper tantrum, justifying their protest, which
[00:26:16.861 --> 00:26:20.985]  Regardless of the fact that you have every right to protest, that's perfectly fine.
[00:26:21.586 --> 00:26:27.291]  The issue we have is your ignorance and your complete brainwashed status.
[00:26:27.351 --> 00:26:28.452]  That's the issue that we have.
[00:26:28.492 --> 00:26:29.673]  But here's the funny thing to me.
[00:26:31.175 --> 00:26:36.119]  You know, all the stories right now, we were wondering last night, I was wondering last night when I was on air,
[00:26:37.023 --> 00:26:38.364]  What is the response?
[00:26:38.444 --> 00:26:39.925]  What are we going to have to deal with now?
[00:26:40.605 --> 00:26:42.386]  And we all kind of expected the protest.
[00:26:42.646 --> 00:26:50.330]  But on top of it, one thing that I didn't expect, and I guess I should have, was they're really going to push this racism deal, folks.
[00:26:51.310 --> 00:26:52.791]  This is the narrative they're going to run with.
[00:26:53.191 --> 00:26:54.052]  We're all racist.
[00:26:54.152 --> 00:26:54.952]  Everything's racist.
[00:26:54.972 --> 00:26:59.114]  They're going to try to foam in a racist, some sort of race war here in the next two months.
[00:26:59.514 --> 00:27:00.155]  But here's the thing.
[00:27:01.653 --> 00:27:06.656]  Claiming, and this is the claim, that Donald Trump was elected U.S.
[00:27:07.116 --> 00:27:12.760]  President because of white people who are racist is actually the most racist thing you can do.
[00:27:12.800 --> 00:27:13.761]  Because think about it like this.
[00:27:14.568 --> 00:27:33.919]  To sit here and to say Donald Trump was elected by white racists is completely discounting the Latinos that voted for Trump, completely discounting the black people that voted for Trump, and completely discounting all the people around the world, all countries around the globe who supported Trump and the American's election of Trump.
[00:27:34.219 --> 00:27:35.940]  So you're the racist.
[00:27:36.260 --> 00:27:42.541]  Okay, you're the one spitting on all the people from whatever ethnic background who voted for Trump that aren't white.
[00:27:42.841 --> 00:27:48.322]  So you are the actual racist, ignoring the people that voted for Trump that aren't white.
[00:27:48.362 --> 00:27:49.302]  So you are the racist.
[00:27:49.342 --> 00:27:53.083]  Now, I'm about to bring in Joe Biggs, and we'll have Darren Breen discuss this with us too.
[00:27:53.123 --> 00:27:56.504]  Joe Biggs had a traumatizing experience dealing with these brainwashed masses.
[00:27:56.544 --> 00:27:58.964]  But, can we go to this LA Times story?
[00:27:59.644 --> 00:28:00.924]  I'm glad that Joe Biggs lived through this.
[00:28:01.225 --> 00:28:03.325]  So this is a story that's on the LA Times today.
[00:28:04.505 --> 00:28:07.047]  And this really illustrates what we're dealing with here, folks.
[00:28:07.827 --> 00:28:13.051]  Now, we've been telling you about these protests, you know, Trump is racist, so everybody has to protest against Donald Trump.
[00:28:13.731 --> 00:28:27.321]  Regardless of the fact these people still aren't actually experiencing any racism, they're just being told they are, and then they're buying into the propaganda that Donald Trump was elected by white racists, which is racist, ignoring the black people, the Latinos, etc., that voted for Trump.
[00:28:27.641 --> 00:28:30.223]  But let's go down to this quote, Ashley, that I showed you earlier.
[00:28:31.465 --> 00:28:37.086]  This is what one student had to say regarding this protest.
[00:28:38.106 --> 00:28:40.287]  A 19-year-old said she was heartbroken.
[00:28:40.527 --> 00:28:41.487]  She was heartbroken.
[00:28:41.527 --> 00:28:42.427]  But it gets worse, folks.
[00:28:42.467 --> 00:28:43.648]  This is an actual quote.
[00:28:44.208 --> 00:28:47.328]  She was asked if she joined in in the protest, and here's what she said.
[00:28:47.849 --> 00:28:52.670]  Of course I joined in to give hugs to people who were overcome by devastation.
[00:28:53.630 --> 00:28:54.370]  Devastation?
[00:28:55.669 --> 00:28:56.570]  Devastation?
[00:28:56.650 --> 00:28:58.631]  Donald Trump being elected is devastation?
[00:28:59.271 --> 00:29:03.855]  See, this is how ignorant and pathetic these people actually are.
[00:29:04.335 --> 00:29:05.656]  It's pussified America.
[00:29:05.936 --> 00:29:11.259]  It is pussified America, and they're so brainwashed and dumbed down that they think Donald Trump being elected to president is devastation.
[00:29:11.299 --> 00:29:14.041]  Did you see what happened in New Orleans a couple months ago with the flooding?
[00:29:14.261 --> 00:29:16.983]  Did you see what happened in Haiti with the hurricane?
[00:29:17.364 --> 00:29:19.565]  Have you seen what's been going on with these earthquakes around the world?
[00:29:20.085 --> 00:29:21.446]  That's devastation, folks.
[00:29:21.887 --> 00:29:24.028]  Have you seen what's going on with the worlds in the Middle East?
[00:29:24.548 --> 00:29:25.489]  That's devastation.
[00:29:25.789 --> 00:29:26.030]  Okay?
[00:29:26.470 --> 00:29:28.272]  So these people are so pathetic.
[00:29:28.353 --> 00:29:35.562]  I mean, you cannot reach a more pathetic level than to sit here and feel sorry for yourself because of the devastation that is Donald Trump's election.
[00:29:35.742 --> 00:29:40.067]  And people point at me and say, I'm a white male, I don't know anything, and then they're saying this is devastation?
[00:29:40.268 --> 00:29:41.529]  You are the most clueless people on earth.
[00:29:41.549 --> 00:29:41.890]  Joe Biggs.
[00:29:42.170 --> 00:29:45.351]  I think it's funny because it said they walked out of their classes or whatever.
[00:29:45.391 --> 00:29:46.051]  Even high school!
[00:29:46.091 --> 00:29:50.952]  But that's probably the best thing in the world for them because that's where they're getting all this brainwashing out in the first place.
[00:29:50.972 --> 00:30:01.075]  They might actually grow a pair and actually learn how to be a man or an actual human being that gets out there and, you know, actually has a conversation instead of being surrounded in their little safe space the whole time.
[00:30:01.095 --> 00:30:07.717]  However, however, what's sad about that, these high school students were walking out as well as college students, but guess who went with them?
[00:30:08.017 --> 00:30:08.577]  The teachers!
[00:30:08.937 --> 00:30:09.477]  Of course.
[00:30:09.517 --> 00:30:09.917]  Of course.
[00:30:27.443 --> 00:30:28.924]  Yeah, it was a little video I made.
[00:30:29.044 --> 00:30:37.350]  I had a Donald Trump shirt on, and I said, I'm standing, you know, I'm wearing a Donald Trump rally, or a Donald Trump shirt in front of a hate-filled rally, because that's what it was.
[00:30:37.551 --> 00:30:38.171]  It's a hate group.
[00:30:38.271 --> 00:30:38.892]  They're the hate group.
[00:30:38.952 --> 00:30:39.332]  Oh, they are.
[00:30:39.392 --> 00:30:42.654]  Josh Owens is one of the nicest people in the world.
[00:30:42.674 --> 00:30:42.975]  Yep.
[00:30:43.155 --> 00:30:45.757]  And he's sitting there, and he's talking to this guy.
[00:30:45.777 --> 00:30:47.738]  He's like, hey, why won't you open up a dialogue with me?
[00:30:47.778 --> 00:30:48.679]  Why won't you speak with me?
[00:30:49.218 --> 00:30:52.399]  And this guy, he looks back at me and he goes, Joe, this guy won't talk to me.
[00:30:52.439 --> 00:30:54.599]  When he says, Joe, this guy won't talk to me, he turns his back.
[00:30:54.959 --> 00:30:57.040]  The guy kicks Josh right in the back.
[00:30:57.680 --> 00:30:59.680]  And Josh Grasby goes, that guy just assaulted me.
[00:30:59.700 --> 00:31:01.161]  And I go, dude, that's what they do.
[00:31:01.501 --> 00:31:02.621]  But why do they do that?
[00:31:02.641 --> 00:31:04.421]  Here's a video right here.
[00:31:04.501 --> 00:31:05.462]  Because they're cowards.
[00:31:05.562 --> 00:31:09.482]  Because they really think that they're justified because you're a racist.
[00:31:09.943 --> 00:31:11.903]  This is how the brainwashing works, folks.
[00:31:12.263 --> 00:31:16.464]  They really think that it's justifiable to kick Josh Owens in the back.
[00:31:16.684 --> 00:31:18.525]  Because he's such a racist bigot.
[00:31:18.565 --> 00:31:21.648]  All the media came up to me like, oh my god, why are you wearing a Trump shirt?
[00:31:21.668 --> 00:31:23.109]  You know this is an anti-Trump rally.
[00:31:23.509 --> 00:31:24.209]  And I said, yeah, I know.
[00:31:24.229 --> 00:31:25.450]  Because we're not cowards!
[00:31:25.610 --> 00:31:27.472]  I was like, I'm not going to sit back and hide.
[00:31:27.532 --> 00:31:28.372]  I was like, look at this.
[00:31:29.053 --> 00:31:32.936]  They might not all want to come to terms with it, but Donald Trump is going to be our next president.
[00:31:33.476 --> 00:31:34.537]  It's a done deal.
[00:31:34.557 --> 00:31:38.299]  We have a democratic process and the majority of people wanted him.
[00:31:38.599 --> 00:31:39.300]  The educated people.
[00:31:39.340 --> 00:31:41.421]  Yes, and that's just how it's going to be.
[00:31:41.781 --> 00:31:49.706]  I said you guys can march out here all day, you can come up with cool, funny slogans and signs and little... No justice, no peace.
[00:31:49.726 --> 00:31:51.607]  Reverend Al Sharpton, he's the one that made that one.
[00:31:51.727 --> 00:31:53.008]  But it's not going to change anything.
[00:31:53.048 --> 00:31:54.529]  This guy goes, well, we won't change.
[00:31:54.549 --> 00:31:56.149]  I was like, look, here's the Capitol.
[00:31:56.390 --> 00:31:57.370]  Go get into politics.
[00:31:57.510 --> 00:31:59.171]  Change it from within if you don't like what's going on.
[00:31:59.191 --> 00:32:01.172]  And I said, if you have a problem with police, guess what?
[00:32:01.192 --> 00:32:03.313]  Go join the police force and change it from within inside.
[00:32:03.533 --> 00:32:04.334]  Stop being lazy.
[00:32:04.354 --> 00:32:05.694]  I was like, stop asking for handouts.
[00:32:05.915 --> 00:32:09.036]  You sitting out here marching all day, crying and whining, it's not going to change a damn thing.
[00:32:09.316 --> 00:32:10.677]  All you're doing is adding to the problem.
[00:32:10.897 --> 00:32:11.858]  You are the problem.
[00:32:12.438 --> 00:32:13.399]  I could not agree more.
[00:32:13.599 --> 00:32:15.721]  And again, they're justified by President Obama.
[00:32:15.741 --> 00:32:17.462]  They're justified by the mainstream media.
[00:32:17.543 --> 00:32:21.206]  Who is crying, and they are just as butthurt as all these commies that are out there.
[00:32:21.286 --> 00:32:33.156]  And the most interesting thing of the day was, is we get to the Capitol, and there's this lady standing here, and I was like, alright, this lady looks like she is just really angry and about to have a mental breakdown.
[00:32:33.196 --> 00:32:34.017]  I should go talk to her.
[00:32:34.477 --> 00:32:35.998]  You know, maybe offer her a hug.
[00:32:36.398 --> 00:32:38.099]  Well, I guess she was a little out of it.
[00:32:38.139 --> 00:32:40.500]  She's so devastated, you know, like what you said.
[00:32:41.040 --> 00:32:44.722]  She wasn't able to pan down from my face to my Trump t-shirt.
[00:32:45.122 --> 00:32:46.203]  And I go, why are you here?
[00:32:46.243 --> 00:32:54.327]  She goes, this is the first time in American history that we have elected a man who sexually assaults women.
[00:32:54.807 --> 00:32:57.388]  And I said, well, based off that concept, it could have gone either way.
[00:32:57.408 --> 00:32:59.229]  I was like, if you think about it, she goes, huh, I don't get it.
[00:32:59.449 --> 00:33:00.269]  And that's not even true.
[00:33:00.329 --> 00:33:01.130]  And I go, well,
[00:33:02.486 --> 00:33:07.208]  Look at Hillary Clinton, Jeffrey Epstein, the trips out there to the pedo island.
[00:33:07.269 --> 00:33:12.891]  The fact that she covered for her husband, who is a rapist, and she goes, what do you know about rape?
[00:33:12.952 --> 00:33:14.212]  What do you know about rape?
[00:33:14.532 --> 00:33:18.234]  And then she just comes in with her hand and grabs my junk.
[00:33:18.895 --> 00:33:20.255]  I'm talking like a kung fu grip.
[00:33:21.676 --> 00:33:25.778]  A whole package, clamped down.
[00:33:25.878 --> 00:33:28.219]  We need to sue her.
[00:33:28.239 --> 00:33:28.920]  You should sue her.
[00:33:28.980 --> 00:33:29.700]  You should litigate.
[00:33:29.780 --> 00:33:31.061]  It still actually hurts right now.
[00:33:31.641 --> 00:33:33.162]  I would litigate.
[00:33:33.282 --> 00:33:36.163]  I was kind of so taken back from it.
[00:33:36.203 --> 00:33:37.124]  I'm like, oh my god.
[00:33:37.144 --> 00:33:40.526]  That's a sexual assault.
[00:33:40.606 --> 00:33:43.687]  I was on Periscope because Josh had the Facebook mentions going.
[00:33:43.707 --> 00:33:51.151]  I was like, oh my god, this lady bitching and complaining who's protesting Trump's apparent sexual assault.
[00:33:51.291 --> 00:33:52.832]  Sexually assaulting me!
[00:33:53.152 --> 00:33:57.774]  So I put as my headline, it's like, woman sexually assaults me while protesting sexual assault.
[00:33:58.254 --> 00:33:59.135]  I mean, come on!
[00:33:59.175 --> 00:34:00.255]  That is insanity!
[00:34:00.535 --> 00:34:02.296]  She's like, you want to know about rape?
[00:34:02.316 --> 00:34:03.537]  You want to know about sexual assault?
[00:34:05.373 --> 00:34:06.374]  And then she assaults me.
[00:34:06.394 --> 00:34:08.755]  I'm just like, this is out of control.
[00:34:08.775 --> 00:34:10.396]  Hey, can we listen to some of this, though?
[00:34:10.416 --> 00:34:12.537]  Because isn't the part coming up where Josh just kicks the mic?
[00:34:12.557 --> 00:34:13.918]  Well, there's going to be a lot of cussing.
[00:34:13.938 --> 00:34:14.658]  You can't grab my pussy.
[00:34:14.678 --> 00:34:15.619]  We're not on the radio right now.
[00:34:15.659 --> 00:34:16.179]  Oh my God.
[00:34:16.219 --> 00:34:17.179]  This is internet only.
[00:34:17.199 --> 00:34:18.140]  I think we've got to pass it now.
[00:34:18.160 --> 00:34:19.280]  But you can see, but that's the thing.
[00:34:19.321 --> 00:34:21.101]  This is a documentary.
[00:34:21.202 --> 00:34:25.544]  It's okay for you to go and grab Joe Biggs by the private parts.
[00:34:25.584 --> 00:34:27.325]  That's okay, because he's a racist.
[00:34:27.805 --> 00:34:29.747]  But how dare Trump say anything?
[00:34:30.088 --> 00:34:31.089]  How dare we elect him?
[00:34:31.109 --> 00:34:31.529]  Here we go.
[00:34:31.549 --> 00:34:31.930]  Some of them.
[00:34:31.970 --> 00:34:33.251]  That guy right there in the blue shirt.
[00:34:33.451 --> 00:34:35.173]  Right there with his sleeves rolled up with the man bun.
[00:34:35.534 --> 00:34:36.235]  He was actually nice.
[00:34:36.255 --> 00:34:37.336]  He goes, why are you wearing this?
[00:34:37.836 --> 00:34:38.737]  And I go, look, man.
[00:34:39.658 --> 00:34:40.419]  Trump's the president.
[00:34:40.800 --> 00:34:43.082]  Just get, you know, it's a fact, dude.
[00:34:43.142 --> 00:34:44.624]  And you have your right to free speech too.
[00:34:44.644 --> 00:34:45.825]  Yeah, that's what I said.
[00:34:45.865 --> 00:34:47.247]  I said, you know, we have a First Amendment.
[00:34:47.307 --> 00:34:48.108]  I can be out here.
[00:34:48.508 --> 00:34:50.169]  And he goes, do you support these people being out here?
[00:34:50.189 --> 00:34:51.210]  I was like, of course I do!
[00:34:51.230 --> 00:34:57.073]  I was like, I guarantee you, I've been to more political rallies, more protests than anybody in this entire street right now.
[00:34:57.553 --> 00:35:01.295]  I've been to all the Ferguson riots, Baltimore, Milwaukee, Charlotte.
[00:35:01.315 --> 00:35:02.296]  I mean, I could go on for days.
[00:35:02.336 --> 00:35:06.738]  I've been all over the world and the country, and I've been involved in more political rallies than most people.
[00:35:07.299 --> 00:35:08.879]  And I support everyone to be out there.
[00:35:08.899 --> 00:35:11.441]  And I even told him, I was like, if Hillary Clinton would have won.
[00:35:11.861 --> 00:35:14.163]  I would be out in the streets right now just as angry.
[00:35:14.443 --> 00:35:19.847]  I said, I support you being out here protesting, but what I don't support is the reason you're angry.
[00:35:20.167 --> 00:35:24.611]  The fact that the mainstream media has controlled the narrative and you bought into it.
[00:35:24.851 --> 00:35:33.117]  That you literally believe that Trump's a racist, but you completely ignore the fact that he has black female executives, he has tons of women in his company.
[00:35:33.558 --> 00:35:36.660]  He was never a racist until he started running for president.
[00:35:37.020 --> 00:35:39.301]  People don't ever sit back and look at the entire picture.
[00:35:39.762 --> 00:35:43.003]  I was like, you get your news from Rachel Maddow, but what's wrong with her?
[00:35:43.023 --> 00:35:45.065]  I'm like, see that's your point dude, I mean...
[00:35:45.976 --> 00:35:47.816]  You can't take the news from these people.
[00:35:48.296 --> 00:35:50.557]  And he's like, well, you work for InfoWars, that's the problem.
[00:35:50.777 --> 00:35:52.477]  That's the reason we're in this trouble now.
[00:35:52.717 --> 00:35:54.918]  It's InfoWars' fault that we're here right now.
[00:35:55.118 --> 00:35:56.438]  Hey, we don't take the blame.
[00:35:56.478 --> 00:35:58.259]  Really, you work for yourself.
[00:35:58.319 --> 00:35:59.139]  We take the credit.
[00:36:00.359 --> 00:36:02.299]  I was like, look, these people are paid shills.
[00:36:02.319 --> 00:36:04.760]  I was like, you could see what happened in the DNC leaks.
[00:36:04.780 --> 00:36:05.720]  You could read that for yourself.
[00:36:05.740 --> 00:36:08.861]  The collusion between Hillary Clinton, the DNC, and the media.
[00:36:09.301 --> 00:36:10.201]  Why would you want that?
[00:36:10.481 --> 00:36:15.029]  Why would you be against corruption and be out here marching because you don't like that?
[00:36:15.230 --> 00:36:16.572]  But then ignore those facts.
[00:36:16.652 --> 00:36:19.397]  Ignore the Project Veritas videos that expose all that.
[00:36:19.437 --> 00:36:20.579]  It makes no sense.
[00:36:20.659 --> 00:36:21.781]  That is mind-numbing.
[00:36:22.082 --> 00:36:23.424]  You are mentally just...
[00:36:24.755 --> 00:36:25.956]  Well, back to the mainstream media.
[00:36:25.996 --> 00:36:27.376]  They don't know what happened.
[00:36:27.817 --> 00:36:29.197]  They are in shock right now.
[00:36:29.217 --> 00:36:30.198]  This is our Brexit!
[00:36:30.238 --> 00:36:34.460]  This is our Brexit, but also this is the emergence of social media.
[00:36:34.500 --> 00:36:35.060]  We're here.
[00:36:35.400 --> 00:36:40.283]  And I foresee a future where I could see Leanne McAdoo.
[00:36:41.587 --> 00:36:43.408]  Mr. Trump, Mr. Trump, I have a question.
[00:36:43.508 --> 00:36:45.009]  Leanne McAdoo, Infowars.com.
[00:36:45.109 --> 00:36:46.770]  They're at the press conferences, you know.
[00:36:47.111 --> 00:36:48.392]  Breitbart's gonna be in there.
[00:36:48.872 --> 00:36:51.033]  And so will the rest of the mainstream media, you know what?
[00:36:51.133 --> 00:36:52.254]  I think they'll run scared.
[00:36:52.274 --> 00:36:55.556]  We have a voice now, and I think it's exciting times ahead.
[00:36:56.157 --> 00:37:03.021]  I think that some of these mainstream media shills might get scared and not even show up because now our shackles have been broken.
[00:37:03.862 --> 00:37:08.325]  Now the hound dogs, the sheep dogs, are biting and free.
[00:37:08.425 --> 00:37:08.885]  Exactly.
[00:37:08.905 --> 00:37:10.206]  That's the funny thing.
[00:37:10.286 --> 00:37:11.247]  As Joe was just talking about this,
[00:37:13.108 --> 00:37:17.530]  Your news source was just wrong for an entire year and a half.
[00:37:17.750 --> 00:37:19.551]  Including the polls, and that's a big deal.
[00:37:19.571 --> 00:37:21.152]  The polling was atrocious.
[00:37:21.232 --> 00:37:23.573]  But then they look at Joe Biggs and they think he's crazy.
[00:37:24.534 --> 00:37:27.616]  Okay, we work for Infowars, but folks, we work for ourselves.
[00:37:27.776 --> 00:37:31.138]  Alex maybe comes and gives us a general directive every once in a while.
[00:37:31.358 --> 00:37:37.921]  Other than that, I come into my office, I sit down at my desk, I find my own news, I work to find out what the hell's going on, and I get my own directives.
[00:37:37.941 --> 00:37:39.222]  But here's the irony of this whole thing.
[00:37:40.563 --> 00:37:49.595]  All these people out here marching in protest for Trump are going to say that we're the racists, we're the people that are discriminatory, we're the people that judge people, you know, like judging a book by its cover or whatever.
[00:37:50.597 --> 00:37:53.040]  But they're the ones that are making assumptions about us.
[00:37:53.701 --> 00:37:55.724]  They're the ones that are out here making judgments about us.
[00:37:55.744 --> 00:37:57.346]  They're too ignorant to even see it.
[00:37:57.486 --> 00:37:58.367]  It's like the same thing.
[00:37:58.947 --> 00:38:01.929]  The woman comes... How many times have you seen this in a viral video?
[00:38:01.949 --> 00:38:03.910]  Someone comes up to me, you need to do your research!
[00:38:03.930 --> 00:38:04.911]  You need to do your research!
[00:38:05.371 --> 00:38:07.793]  I do more research than you've done in your whole life!
[00:38:08.033 --> 00:38:08.814]  But you don't know that.
[00:38:09.014 --> 00:38:11.756]  Their research is turning on MSNBC and CNN.
[00:38:11.776 --> 00:38:12.696]  That's their research.
[00:38:12.756 --> 00:38:13.637]  They go up to Joe Biggs.
[00:38:13.657 --> 00:38:14.978]  They make assumptions about Joe Biggs.
[00:38:14.998 --> 00:38:16.679]  They don't know that he's been to wars overseas.
[00:38:16.719 --> 00:38:18.120]  They don't know that he's fought for this country.
[00:38:18.140 --> 00:38:20.522]  They don't know that he works and studies this stuff every day.
[00:38:20.562 --> 00:38:21.602]  So they make assumptions about him.
[00:38:21.663 --> 00:38:22.943]  That was one of the interesting things too.
[00:38:22.963 --> 00:38:25.525]  This guy comes up to me, he goes, you're an effing racist!
[00:38:25.625 --> 00:38:26.106]  And I go, what?
[00:38:26.986 --> 00:38:30.992]  And I go, dude, I was like, I'm engaged to a woman who's Guyanese.
[00:38:31.453 --> 00:38:32.895]  And I said, you know what that is?
[00:38:32.975 --> 00:38:34.657]  I was like, do you even know where Guyana is?
[00:38:34.697 --> 00:38:35.498]  And the guy was like, huh?
[00:38:35.539 --> 00:38:37.001]  I was like, yeah, she's brown.
[00:38:37.563 --> 00:38:39.424]  Okay, so I'm not racist.
[00:38:39.464 --> 00:38:39.944]  Guess what?
[00:38:40.524 --> 00:38:43.506]  I'm going to have a little brown baby because she's pregnant.
[00:38:43.786 --> 00:38:47.587]  I was like, so I said, I said, so, but yeah, I got it.
[00:38:47.867 --> 00:38:48.788]  Nice mustache, dude.
[00:38:49.188 --> 00:38:53.970]  I said, so based on your assumptions, I should get divorced and have an abortion because I'm a racist.
[00:38:54.030 --> 00:38:56.591]  And this is just, this is a, an atrocity, right?
[00:38:56.611 --> 00:38:58.712]  Like he's the one that's saying it too.
[00:38:58.732 --> 00:38:58.892]  Yeah.
[00:38:58.912 --> 00:38:59.032]  Yeah.
[00:38:59.052 --> 00:38:59.512]  Let's listen.
[00:38:59.933 --> 00:39:01.873]  So what are you trying to do?
[00:39:01.933 --> 00:39:02.774]  This guy's a jackass.
[00:39:04.004 --> 00:39:05.185]  What are you trying to do?
[00:39:05.225 --> 00:39:08.166]  We're protesting the fact that he got fucking elected.
[00:39:08.206 --> 00:39:09.827]  Look at this, all they do is curse.
[00:39:09.847 --> 00:39:11.488]  That's all they can do is curse, curse, curse.
[00:39:11.568 --> 00:39:13.869]  Alright, no shit dude, he's so elegant.
[00:39:13.909 --> 00:39:14.569]  So eloquent.
[00:39:14.769 --> 00:39:16.050]  Oh my god, this is great.
[00:39:16.910 --> 00:39:21.732]  It's always a cuss word followed by racist, xenophobe, homophobic, blah, blah, blah.
[00:39:21.912 --> 00:39:28.275]  And one of these guys said we're fascist because we work for Infowars and they got fascist flags all over them.
[00:39:28.375 --> 00:39:30.216]  I got bad news for these people.
[00:39:30.896 --> 00:39:32.617]  You know, I'm coming out there tomorrow.
[00:39:33.668 --> 00:39:34.932]  Oh well, Marissa works for like a...
[00:39:39.997 --> 00:39:45.239]  Like does like favor just on the side, you know, like a company you go, you can order food and have it delivered to your door.
[00:39:45.499 --> 00:39:53.723]  So she was sending me screenshots a little bit ago of their favor Facebook and they're making announcement like, hey, tonight's going to be crazy downtown.
[00:39:53.743 --> 00:39:56.184]  There's going to be protests, everything on the streets.
[00:39:56.244 --> 00:39:57.584]  Dirty Six is the place to be.
[00:39:57.984 --> 00:40:00.866]  Like they're going to be out in mass numbers, angry doing everything.
[00:40:00.926 --> 00:40:03.767]  So if you're going to do it, I would say go tonight because this is why they're all
[00:40:04.307 --> 00:40:05.408]  Freshly.
[00:40:05.509 --> 00:40:07.431]  You know what's funny?
[00:40:07.551 --> 00:40:12.296]  Barron Trump was on the stage with Donald Trump when he gave his acceptance speech.
[00:40:12.997 --> 00:40:19.103]  Barron Trump has more class, dignity, and grace than all of these young people combined out here protesting.
[00:40:19.123 --> 00:40:20.004]  How pathetic is that?
[00:40:21.085 --> 00:40:25.528]  Well, it sure gives Texas a bad name, but... Well, that's not Texas.
[00:40:25.608 --> 00:40:27.689]  Only Austin, you know what I mean?
[00:40:27.749 --> 00:40:30.211]  Austin is the only city surrounded by Texas.
[00:40:30.631 --> 00:40:34.953]  If you look at the American map right now, it is red.
[00:40:35.414 --> 00:40:36.254]  I mean red.
[00:40:36.354 --> 00:40:39.036]  Everything has turned, and even large portions of California.
[00:40:39.576 --> 00:40:41.837]  I mean, Trump has better coverage than Verizon.
[00:40:43.118 --> 00:40:44.058]  Can you hear us now?
[00:40:44.498 --> 00:40:45.079]  Can you hear me now?
[00:40:45.619 --> 00:40:48.900]  You're going to hear us on January 20th, I promise you that.
[00:40:49.300 --> 00:40:55.162]  And I would imagine that there's going to be some very serious protesting happening in Washington, D.C.
[00:40:55.282 --> 00:40:56.182]  on Inauguration Day.
[00:40:56.242 --> 00:40:57.623]  Well, they're en masse.
[00:40:57.803 --> 00:41:04.365]  I think there's 10,000 plus people right now in New York, supposed to be marching towards Trump Tower, I believe.
[00:41:04.825 --> 00:41:09.826]  These people are so ignorant, I think that they're part of the reason why Trump got elected to begin with.
[00:41:09.966 --> 00:41:10.386]  Bingo!
[00:41:10.747 --> 00:41:25.110]  See, these dumbass protesters have exposed themselves for being the dumbest people, the most ignorant people on earth, so what they did was they scared logical and reasonable people into going to the polls to vote for Trump!
[00:41:25.610 --> 00:41:29.854]  They don't even realize it, they were part of electing Donald Trump!
[00:41:29.894 --> 00:41:30.795]  And this is what happened.
[00:41:31.115 --> 00:41:33.297]  At the beginning, people were kind of scared to go to Trump rallies.
