[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[01:07:25.028 --> 01:07:31.194]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[01:07:31.194 --> 01:07:34.357]  Methylcobalamin, the same kind used in B12 injections and
[01:07:34.577 --> 01:07:34.897]  We're good.
[01:08:01.474 --> 01:08:08.104]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:08.104 --> 01:08:11.649]  It's Alex Jones and the GCN Radio Network.
[01:08:11.649 --> 01:08:17.597]  That's right, occupied by the collectivists, socialists, bureaucrats and the crony capitalists coming to you from deep in the heart of Texas.
[01:08:18.078 --> 01:08:20.539]  Texas, Austin, broadcasting worldwide.
[01:08:20.539 --> 01:08:28.744]  Coming up at 7 o'clock tonight, in just 7 hours, we're going to have live coverage of the Donald Trump event with our reporters there with a live feed.
[01:08:28.744 --> 01:08:31.365]  The Trump folks have given us, treating us really good.
[01:08:31.365 --> 01:08:36.908]  And then we've got live coverage of CNN's analysis over there of Trump.
[01:08:36.908 --> 01:08:38.189]  And we're also going to be covering Fox.
[01:08:39.189 --> 01:08:44.112]  And their debate with the establishment Republican candidates, other than Ted Cruz.
[01:08:44.112 --> 01:08:45.453]  I like Ted Cruz.
[01:08:45.453 --> 01:08:47.014]  I like Rand Paul.
[01:08:47.014 --> 01:08:49.936]  I wish that Rand Paul wasn't bad-mouthing Trump.
[01:08:49.936 --> 01:08:52.718]  Trump's really smart to be going over there and doing this.
[01:08:52.718 --> 01:08:54.198]  He'll get more coverage.
[01:08:54.198 --> 01:08:55.919]  He'll get more views.
[01:08:55.919 --> 01:08:58.321]  And he'll dominate the narrative.
[01:08:58.321 --> 01:09:02.223]  And of course, Fox is saying, oh, he's destroyed himself.
[01:09:02.223 --> 01:09:03.924]  Yeah, right.
[01:09:03.924 --> 01:09:04.385]  Amazing.
[01:09:05.285 --> 01:09:14.036]  Now, joining us is the Bain turnaround expert, formerly, and best-selling author, here on the broadcast, Harry Dent of HarryDent.com.
[01:09:15.267 --> 01:09:21.271]  And he of course has the book, The Demographic Cliff, that's so important he's offering it to you, the cost of shipping.
[01:09:21.271 --> 01:09:22.652]  He's not an advertiser, I'm just telling you.
[01:09:22.652 --> 01:09:28.056]  $4.95, that doesn't even pay for what the book cost him, so that he can warn you of what's happening.
[01:09:28.056 --> 01:09:33.339]  And he's predicted pretty much with total precision exactly what would happen the last year.
[01:09:33.339 --> 01:09:37.502]  And this went back several years, but he comes on every few weeks and just tells us the next shoe to drop.
[01:09:37.842 --> 01:09:39.244]  So there's no need to even have him on for an hour.
[01:09:39.244 --> 01:09:41.826]  He's having him on for like 12 minutes because he's a busy guy as well.
[01:09:41.826 --> 01:09:43.688]  He can just tell us what he thinks is coming next.
[01:09:43.688 --> 01:09:54.580]  HarryDent.com, founder of Dent Research, economic forecasting firm, MBA from Harvard, and I'm not going to go through the rest of his CEO jobs and things.
[01:09:54.580 --> 01:09:57.283]  But Mr. Dent, obviously you were on two weeks ago.
[01:09:58.124 --> 01:10:00.949]  Since then, it's what you said is happening.
[01:10:00.949 --> 01:10:04.374]  You said, you know, stock market going down the next week, continuing.
[01:10:04.374 --> 01:10:06.558]  It might pop back up again, but then back down after that.
[01:10:06.558 --> 01:10:08.160]  You talked about all the technicals.
[01:10:08.160 --> 01:10:12.687]  So update us on what you predicted, what's now happened, and what you say is coming next.
[01:10:13.442 --> 01:10:22.045]  Well, you know, I tell you just to run through a few quick slides, because it's important in the short term, you have to get a little technical, long term, very simple.
[01:10:22.045 --> 01:10:24.846]  Baby boom spins and then doesn't spin.
[01:10:24.846 --> 01:10:28.087]  You know, Internet moves mainstream, then it peaks out as it has.
[01:10:28.087 --> 01:10:32.849]  So we've seen the best trend behind us, which we predicted 20 years ago, not just recently.
[01:10:33.638 --> 01:10:35.960]  But in the near term, I am seeing signs.
[01:10:35.960 --> 01:10:48.130]  Number one, our first chart shows that every bubble we've had since the late nineties has gone higher and every crash has gone lower.
[01:10:48.130 --> 01:10:50.872]  And the big difference is that the last crash.
[01:10:51.512 --> 01:11:05.298]  In the early 2009, this final bubble was totally generated by printing money, just free money, companies buying back their stocks, you know, engineering their earnings, everything's fake.
[01:11:05.965 --> 01:11:10.467]  And so, this bubble is the most dangerous to me.
[01:11:10.467 --> 01:11:11.907]  Well, you've been saying that for years.
[01:11:11.907 --> 01:11:12.667]  I mean, you're right.
[01:11:12.667 --> 01:11:16.309]  And you said Microsoft, you said Apple would peak in the next few years.
[01:11:16.309 --> 01:11:18.069]  Apple now admits they've peaked.
[01:11:18.069 --> 01:11:19.510]  Now they're talking about demographics.
[01:11:19.510 --> 01:11:22.511]  Suddenly a lot of folks are sounding like you.
[01:11:22.511 --> 01:11:30.874]  But because they were able to artificially keep it going a few years longer than they should have, and now at Davos they admit they're quote, out of bullets, what does that signify?
[01:11:31.634 --> 01:11:32.375]  Well, they are.
[01:11:32.375 --> 01:11:41.182]  And again, the biggest thing I get, Alex, every media show I get on, somebody comes in against me and says, oh, Harry, this is not a bubble because of this.
[01:11:41.182 --> 01:11:51.170]  I'm like, no, I lay over this bubble chart with every other bubble chart in history, including the late 94 to early 2000 bubble, which anybody would agree was a bubble.
[01:11:51.170 --> 01:11:56.334]  And it lays over almost perfectly, except this bubble's gone an extra year because the
[01:11:56.454 --> 01:11:56.994]  We're good to go.
[01:12:24.386 --> 01:12:27.128]  How we had this bubble channel.
[01:12:27.128 --> 01:12:37.536]  I mean, stocks just went straight up from late 2011 into 2015 in a narrow channel with almost no substantial corrections.
[01:12:37.536 --> 01:12:40.258]  And that's terribly dangerous when that happens.
[01:12:40.258 --> 01:12:43.601]  And finally, in August of last year, we broke down below that.
[01:12:43.601 --> 01:12:51.447]  I was warning our newsletter subscribers, man, if we break below this channel, then you got to start thinking this thing is over.
[01:12:52.583 --> 01:13:05.272]  The next chart, very simple again, shows for the first time compared to most bubbles, because this has been artificial and stretched so long, we're having a rounded top here.
[01:13:05.272 --> 01:13:12.337]  You know, it's not like it just gets crazier and crazier and then finally blows like China just did or we did in 1929.
[01:13:12.337 --> 01:13:15.980]  And you said on the show three years ago you thought it would start with China blowing.
[01:13:15.980 --> 01:13:17.841]  You predicted it exactly.
[01:13:17.841 --> 01:13:18.782]  Yeah.
[01:13:18.782 --> 01:13:21.944]  You said out of all of the triggers, China was the most likely.
[01:13:22.506 --> 01:13:25.667]  China and oil, which has also been another big trigger.
[01:13:25.667 --> 01:13:38.291]  And I tell you, next is going to be Germany and Europe, because Germany's got the worst demographics of any country we've seen since Japan in the early 90s, and we were the only people that predicted Japan would go down.
[01:13:39.171 --> 01:13:46.577]  But we're having this rounded top because, you know, there's all this stimulus, but the fundamentals keep getting worse.
[01:13:46.577 --> 01:13:49.039]  So it just keeps bending over.
[01:13:49.039 --> 01:13:54.963]  And we broke another key level recently at 1880 on the S&P 500.
[01:13:54.963 --> 01:14:01.228]  And then the final chart just shows, here's the most important thing to me, the classic sign of tops.
[01:14:02.057 --> 01:14:08.100]  Like back in 2000 and 2007, because bubbles just keep going and they're irrational.
[01:14:08.100 --> 01:14:14.343]  And is it when the smaller companies start underperforming the large companies significantly?
[01:14:14.343 --> 01:14:16.424]  And this last chart shows that not only
[01:14:17.422 --> 01:14:25.986]  Uh, are the small cap stocks down twice as much as the large cap stocks recently, but they've broken some very key levels.
[01:14:25.986 --> 01:14:30.749]  And so sometime in the next couple months, we're going to break down more substantially.
[01:14:30.749 --> 01:14:39.453]  But remember the 1st chart, the 1st chart says this will just be the beginning of another 2008 like crash, which is going to go deeper.
[01:14:40.174 --> 01:14:44.896]  And be steeper on the downside, just like it was steeper on the upside.
[01:14:44.896 --> 01:14:47.056]  So I don't know exactly when this is going to happen.
[01:14:47.056 --> 01:14:47.677]  Nobody does.
[01:14:47.677 --> 01:14:49.937]  The short term, very hard to predict.
[01:14:49.937 --> 01:14:59.601]  I'm having a big meeting with my company right after this call with our shorter term analysts and our longer term to consider where we're at because we're at a critical point.
[01:14:59.601 --> 01:15:03.862]  But I'm telling you, in the next year, if you're ever going to protect your wealth,
[01:15:04.454 --> 01:15:04.574]  Sure.
[01:15:19.713 --> 01:15:21.775]  And you said that months and months ago here.
[01:15:21.775 --> 01:15:30.365]  Then we heard almost the exact same headlines plagiarized by Soros, by the Wall Street Journal, by the Financial Times, and the World Bank of Scotland came out and said, sell everything.
[01:15:30.365 --> 01:15:32.528]  I mean, this is really scary.
[01:15:32.528 --> 01:15:35.371]  I mean, you've been probably the most accurate person out there.
[01:15:35.371 --> 01:15:37.974]  I've got to say, how bad do you think it's really going to get?
[01:15:39.695 --> 01:16:01.213]  Well, again, I mean, after they have extended a bubble that was already extreme, more extreme than the 1920s bubble, and of course that led to the Great Depression, what people don't understand is when you stretch an economy so far with excessive debt, and the longer an economy does well, the more everybody speculates and borrows and feels okay,
[01:16:02.333 --> 01:16:04.918]  When you do that, you're going to have a bigger downturn.
[01:16:04.918 --> 01:16:09.988]  So this is going to be something like the 1930s when it finally cracks.
[01:16:10.942 --> 01:16:17.909]  And the only reason it hasn't cracked thus far is nine trillion dollars, and some people estimate much more, but I'm conservative.
[01:16:17.909 --> 01:16:27.538]  Nine trillion dollars in printed money, not counting all the... Now you've got the giant populations unraveling, worse than then.
[01:16:27.538 --> 01:16:30.781]  You've got this socialist idea, more entrenched than it probably was in the 30s.
[01:16:30.781 --> 01:16:35.826]  This is going to be a move to bring in socialism and wealth redistribution that will only stall things even worse.
[01:16:36.526 --> 01:16:37.847]  I've got to say, I agree with you.
[01:16:37.847 --> 01:16:38.587]  You've been proven right.
[01:16:38.587 --> 01:16:40.449]  And I think it's going to be far worse.
[01:16:40.449 --> 01:16:42.950]  Because people are more self-sufficient in the 30s.
[01:16:42.950 --> 01:16:44.891]  Most of them knew how to grow a garden.
[01:16:44.891 --> 01:16:49.694]  Most, I mean, I'm not trying to be mean, but we got a bunch of immoral, spoiled brats in this country.
[01:16:49.694 --> 01:16:51.935]  And I, oh my God, I'm scared, actually.
[01:16:51.935 --> 01:16:54.637]  Well, I tell you, it's worse in China because they've overbuilt.
[01:16:54.637 --> 01:16:55.538]  They're the big bubble.
[01:16:55.538 --> 01:16:57.159]  We were the biggest bubble in the roaring 20s.
[01:16:58.429 --> 01:17:15.521]  In the world, even though the whole world had a bubble, China is the biggest bubble today, and they've moved a half a billion people, twice the population, from farms where they were self-sufficient into cities where they have no skills and only depend on something for nothing.
[01:17:15.521 --> 01:17:18.784]  Sure, so it's a time bomb, and the fuse is getting short, so let me ask you this.
[01:17:21.414 --> 01:17:23.376]  Time frame, is 2016 worse or 2017?
[01:17:23.376 --> 01:17:29.740]  I mean, when do you think it really becomes evident that we're screwed and then confidence falls out of the bottom?
[01:17:29.740 --> 01:17:34.364]  They'll have some new banker bailout plan, some new bubble, but they're saying they're out of bullets?
[01:17:34.364 --> 01:17:37.266]  Do they just admit there's nothing and then let it all stagnate?
[01:17:37.266 --> 01:17:37.827]  I mean, whoa!
[01:17:38.669 --> 01:17:40.029]  Well, first, yes.
[01:17:40.029 --> 01:17:45.631]  I think we're getting signs from everything I said earlier that this bubble's finally blowing.
[01:17:45.631 --> 01:17:47.631]  It is really hard to predict.
[01:17:47.631 --> 01:17:50.932]  Ask me, because I've had to do it in the past, when a bubble's going to blow.
[01:17:50.932 --> 01:17:52.453]  But we're finally getting the signs.
[01:17:52.453 --> 01:18:00.795]  When it does, it's going to be dramatic, just like we just saw China down 45% of stock market in two and a half months.
[01:18:00.795 --> 01:18:07.737]  It'll eventually be down 90%, but half the damage of a multi-year downturn was done in two and a half months.
[01:18:08.709 --> 01:18:19.406]  I always tell people it's better to get out of the bubble a little bit early because when it finally does hit reality for everybody in la-la land, then it happens very rapidly.
[01:18:19.406 --> 01:18:22.511]  So Royal Bank of Scotland is absolutely right when they say sell everything.
[01:18:23.123 --> 01:18:28.045]  Yeah, normally I'd say, hey, get a little more this or that.
[01:18:28.045 --> 01:18:43.992]  No, this is a time, I'd say for the next year, even though it may not start to bottom until early to mid-2017 and may not ultimately bottom for 2020 to 2022 in our longer-term forecast, I think most of the damage is going to be done in the next year.
[01:18:44.412 --> 01:18:48.675]  So you say depressionary in many areas of the world, as bad or worse.
[01:18:48.675 --> 01:18:51.457]  Will it be unevenly distributed like the last one?
[01:18:51.457 --> 01:18:52.757]  You say we're not as bad as others.
[01:18:52.757 --> 01:18:54.919]  Will it be a depression here?
[01:18:54.919 --> 01:19:02.804]  Yeah, well, I think, Alex, the most important thing is we triggered the last great recession, they call it.
[01:19:02.804 --> 01:19:04.685]  It was starting to be a depression.
[01:19:04.685 --> 01:19:04.845]  2008.
[01:19:04.845 --> 01:19:06.426]  Subprime crisis.
[01:19:06.426 --> 01:19:10.028]  But it only triggered a debt crisis that already existed around the world.
[01:19:10.028 --> 01:19:12.770]  This time, after all this stimulus,
[01:19:13.297 --> 01:19:15.298]  Six years of endless stimulus.
[01:19:15.298 --> 01:19:20.341]  If this fails, people are going to lose greater confidence, and this is going to happen around the world.
[01:19:20.341 --> 01:19:26.525]  And the Chinese are the leading buyers of real estate in the leading cities around the world, especially English-speaking.
[01:19:26.525 --> 01:19:28.286]  When they stop buying, and they already are,
[01:19:29.646 --> 01:19:37.508]  Harry Dent, I'm going to keep you to the bottom of the hour so we can come back with one more short segment and talk about how we protect ourselves and other technicals you can give folks.
[01:19:37.508 --> 01:19:41.709]  HarryDent.com and you can get his book for free, basically, folks.
[01:19:41.709 --> 01:19:42.809]  It's a great deal.
[01:19:42.809 --> 01:19:46.390]  I know what publishers talk, it costs about six bucks a book, his own book.
[01:19:46.390 --> 01:19:50.992]  And then, he says I'm correct, about six bucks for a nice book like that.
[01:19:50.992 --> 01:19:53.032]  And then he gives you shipping, $4.50.
[01:19:53.032 --> 01:19:55.093]  He's losing like two, three dollars on it.
[01:19:55.093 --> 01:19:56.093]  And it's a great book.
[01:19:56.093 --> 01:19:56.693]  You really need it.
[01:19:58.391 --> 01:20:03.213]  Wildfires, hurricanes, tornadoes, earthquakes, a crashing economy.
[01:20:03.213 --> 01:20:04.314]  Are you ready?
[01:20:04.314 --> 01:20:07.075]  At best, your local stores have a three-day supply of food.
[01:20:07.075 --> 01:20:09.437]  Will your family have to fight over what's left?
[01:20:09.437 --> 01:20:13.239]  Are you willing to gamble your family's safety that it'll never happen to you?
[01:20:13.239 --> 01:20:18.321]  Be wise and be ready with 25-Year Shelf Life Wise Food Storage.
[01:20:18.321 --> 01:20:23.244]  Wise Food Storage provides affordable, ready-made gourmet meals with a super long 25-year shelf life.
[01:20:24.324 --> 01:20:28.366]  Meals like pasta alfredo, cheesy lasagna, breakfast, dessert, drinks and snacks.
[01:20:28.366 --> 01:20:33.748]  Just add water and your family is eating delicious food instead of fighting for scraps in a food riot.
[01:20:33.748 --> 01:20:34.649]  Try it free.
[01:20:34.649 --> 01:20:39.511]  Order a no-obligation free sample meal delivered right to your front door and for a limited time.
[01:20:39.551 --> 01:20:39.891]  We're good.
[01:20:58.386 --> 01:21:05.470]  Something just happened that has explained why survival food is literally flying off the shelves and has sold out in many areas of the country.
[01:21:05.470 --> 01:21:09.452]  It caught me totally by surprise, and it involves FEMA.
[01:21:09.452 --> 01:21:12.873]  I couldn't believe FEMA tried this until I saw proof.
[01:21:12.873 --> 01:21:17.936]  Revealing their secret could land me in hot water, but I think you deserve to know exactly what they're doing.
[01:21:18.556 --> 01:21:22.898]  Watch the viral video at FEMA3.com before it disappears again.
[01:21:22.898 --> 01:21:29.080]  But be warned, it's really disturbing because the fact is, they must know something we don't.
[01:21:29.080 --> 01:21:39.084]  Go to FEMA3.com to see the number one item you should be hoarding and why supplies of this critical item are so low or even completely sold out at many stores across America.
[01:21:39.804 --> 01:21:41.025]  Don't miss out.
[01:21:41.025 --> 01:21:46.231]  Watch the controversial video that thousands of other smart patriots have already seen in recent days.
[01:21:46.231 --> 01:21:51.816]  Go to FEMA3.com and discover the number one most critical item in a crisis.
[01:21:51.816 --> 01:21:55.480]  Watch the shocking video right now at FEMA3.com.
[01:21:55.480 --> 01:21:56.721]  Again, that's FEMA3.com.
[01:21:57.958 --> 01:22:02.184]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[01:22:02.184 --> 01:22:02.805]  It's true.
[01:22:02.805 --> 01:22:06.972]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[01:22:06.972 --> 01:22:09.355]  It's a disinfectant called chloramine.
[01:22:09.355 --> 01:22:13.842]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[01:22:14.122 --> 01:22:27.007]  New NSF EPA certified lab tests show EPA Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[01:22:27.007 --> 01:22:30.809]  Big Berkey water filters are the original and most trusted on the market.
[01:22:30.809 --> 01:22:33.450]  The gold standard in water purification.
[01:22:33.450 --> 01:22:37.771]  And our filters last for years at less than two cents per gallon.
[01:22:37.771 --> 01:22:42.053]  Big Berkey, the one that's powerful enough to purify stagnant pond water.
[01:22:42.293 --> 01:22:44.035]  Get your Big Berkey today.
[01:22:44.035 --> 01:22:46.357]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[01:22:46.357 --> 01:22:47.158]  That's 1-877-99-BERKEY.
[01:22:47.158 --> 01:22:48.580]  Big Berkey Water Filters.
[01:22:48.580 --> 01:22:49.601]  For the love of clean water.
[01:22:57.731 --> 01:23:07.154]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[01:23:07.154 --> 01:23:11.575]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[01:23:11.575 --> 01:23:18.577]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[01:23:18.577 --> 01:23:20.598]  Buy now at DefenderShield.com.
[01:23:20.598 --> 01:23:22.859]  For 10% off, use promo code GCN.
[01:23:22.859 --> 01:23:26.380]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[01:23:27.361 --> 01:23:29.022]  Are you looking to sell body armor?
[01:23:29.022 --> 01:23:31.985]  Want to make extra money selling body armor at your local gun shows?
[01:23:31.985 --> 01:23:35.648]  With low minimum buys and great returns, KD Armor is the answer.
[01:23:35.648 --> 01:23:37.469]  Make money in your spare time.
[01:23:37.469 --> 01:23:44.615]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[01:23:44.615 --> 01:23:46.497]  And they'll ship it to you for free.
[01:23:46.497 --> 01:23:48.838]  If you own a business, give them a call today at 855-488-KD.
[01:23:48.838 --> 01:23:49.619]  That's 855-488-2284.
[01:23:49.619 --> 01:23:50.580]  Or go to KDArmor.com.
[01:23:50.580 --> 01:23:51.641]  Come and take it.
[01:24:10.041 --> 01:24:14.763]  Roger Stone, the shadow campaign head for Trump.
[01:24:14.763 --> 01:24:18.685]  He's going to be on Megyn Kelly tonight, but he's going to be with us at 2.30 Central today.
[01:24:18.685 --> 01:24:21.506]  Just got the text.
[01:24:21.506 --> 01:24:24.047]  And he's gotten us in with the feed of the Trump event.
[01:24:24.047 --> 01:24:26.128]  We're going to have the feed of that.
[01:24:26.128 --> 01:24:27.889]  CNN's also running into the trough.
[01:24:28.834 --> 01:24:29.674]  I expect to have them.
[01:24:29.674 --> 01:24:30.775]  They're trying to shove us out.
[01:24:30.775 --> 01:24:32.055]  That's just what the mainstream media does.
[01:24:32.055 --> 01:24:33.376]  They think they own and run everything.
[01:24:33.376 --> 01:24:34.236]  They're a joke.
[01:24:34.236 --> 01:24:36.137]  And Trump is really killing that.
[01:24:36.137 --> 01:24:38.477]  I want to just spend a minute or so on what people should do.
[01:24:38.477 --> 01:24:41.979]  Also on what our guest thinks of what's happening in the economy.
[01:24:41.979 --> 01:24:43.899]  Mr. Dent of DentResearch.com.
[01:24:43.899 --> 01:24:48.141]  But before we do that, Max Keiser, another smart guy, made a lot of accurate predictions.
[01:24:48.141 --> 01:24:51.562]  Predicted the crash that was coming, some other things.
[01:24:51.562 --> 01:24:52.723]  Made a few mistakes as well.
[01:24:52.723 --> 01:24:53.943]  But a smart guy.
[01:24:53.943 --> 01:24:55.484]  Outside the box.
[01:24:55.484 --> 01:24:56.484]  International TV host.
[01:24:56.704 --> 01:24:57.966]  Former stockbroker.
[01:24:57.966 --> 01:25:02.191]  I brought up Dent to him and said, look, Dent's been a little more accurate than you in some ways.
[01:25:02.191 --> 01:25:06.077]  What do you say to him when you think gold's going to come back up?
[01:25:06.077 --> 01:25:07.198]  Here's that clip for Mr. Dent.
[01:25:08.288 --> 01:25:14.071]  Look, Harry Dent has been really good in terms of the last five years.
[01:25:14.071 --> 01:25:22.095]  With all the people that he just mentioned, he's probably got the hottest hand in terms of calling deflation, where everyone else has really been saying inflation.
[01:25:22.095 --> 01:25:23.936]  He was very good to say deflation.
[01:25:23.936 --> 01:25:28.978]  All commodities have been deflating, oil is deflating, and he includes gold in that basket.
[01:25:29.378 --> 01:25:33.924]  But my response would be, look at gold outside of just the U.S.
[01:25:33.924 --> 01:25:34.345]  dollar.
[01:25:34.345 --> 01:25:39.111]  Because if you look at it through other currencies, it's reacting very, very well.
[01:25:39.111 --> 01:25:41.013]  It's hitting new all-time highs, number one.
[01:25:41.013 --> 01:25:43.577]  Sure, so outside of the rigged economy, it's doing well.
[01:25:44.372 --> 01:25:47.994]  Well, on a global basis, it's responding well.
[01:25:47.994 --> 01:26:03.241]  And the second point I would make is that one aspect that Mr. Dent does not get into that I think is worthy of consideration that would change the dynamic pretty dramatically is if a country like Russia or China decides to
[01:26:04.338 --> 01:26:07.019]  Partially back their currency with gold.
[01:26:07.019 --> 01:26:10.501]  So gold is once again monetized.
[01:26:10.501 --> 01:26:13.362]  Then it's really a different paradigm at that point.
[01:26:13.362 --> 01:26:17.004]  And you'll see, I think, gold resume.
[01:26:17.004 --> 01:26:18.504]  It's long-standing.
[01:26:18.504 --> 01:26:19.325]  Okay, let's jump.
[01:26:19.325 --> 01:26:20.605]  I want to go to more calls.
[01:26:20.605 --> 01:26:23.066]  Okay, that's Max Keiser from Russia.
[01:26:23.066 --> 01:26:25.307]  They're in Red Square Tuesday joining us.
[01:26:25.307 --> 01:26:26.688]  Mr. Dent, your response to what he said?
[01:26:27.776 --> 01:26:30.240]  Yeah, I mean, first of all, Max, I've been wrong at times, too.
[01:26:30.240 --> 01:26:33.364]  Anybody that makes strong forecasts is going to be wrong.
[01:26:33.364 --> 01:26:35.488]  And we did see this deflationary thing.
[01:26:35.488 --> 01:26:41.978]  That's been our big theme, is the baby boomers slowing down, the largest generation in history, and a deflation
[01:26:42.731 --> 01:26:47.433]  From the bubbles of the past, and especially from the over-expansion of China.
[01:26:47.433 --> 01:26:48.233]  So I agree with you.
[01:26:48.233 --> 01:26:54.336]  I mean, that's what's been most hitting gold, is that China is one of the biggest buyers of gold in the world.
[01:26:54.336 --> 01:26:56.497]  You know, not just industrial consumers.
[01:26:56.497 --> 01:27:03.619]  But he's saying if their stocks go down and their currencies devalue, that they'll run to gold, whether you think it's a commodity or real or not.
[01:27:03.619 --> 01:27:08.121]  Well, I think they're learning the same thing, that gold was a bubble.
[01:27:08.121 --> 01:27:10.102]  I mean, I was debating, you know,
[01:27:10.522 --> 01:27:14.504]  Many gold bugs and they always say, oh, well, gold's not a bubble.
[01:27:14.504 --> 01:27:17.305]  I'm like, it went up 670% in 10 years.
[01:27:17.305 --> 01:27:21.447]  That's a bubble in any stock, any real estate, any commodity.
[01:27:22.736 --> 01:27:25.798]  So, I think gold is just coming back down to reality.
[01:27:25.798 --> 01:27:30.860]  I think long-term gold is going to do well because we're going to have an emerging country-led boom.
[01:27:30.860 --> 01:27:32.200]  I think you answered that fairly.
[01:27:32.200 --> 01:27:33.981]  I think you're both very smart.
[01:27:33.981 --> 01:27:36.582]  People can make their own decisions, but obviously time will tell.
[01:27:36.582 --> 01:27:43.465]  In the three minutes we've got left, other key points to look at, other info you want to impart to folks, and any other predictions?
[01:27:43.985 --> 01:27:50.013]  Well, real quickly, for people in gold, we've been saying it's due for a bounce $1,150 to $1,300.
[01:27:50.013 --> 01:27:51.054]  We're almost $1,150.
[01:27:51.054 --> 01:27:55.059]  I would say around April, re-evaluate gold.
[01:27:55.059 --> 01:27:57.622]  If it's up then, I would say sell.
[01:27:57.622 --> 01:27:59.965]  I would also say get into the safest
[01:28:00.552 --> 01:28:08.276]  High-quality bonds, short-term and long-term, but short-term at first because that's the only thing that did well in the Great Depression.
[01:28:08.276 --> 01:28:12.318]  Stocks, commodities, and real estate all went down and were slow to come back.
[01:28:12.318 --> 01:28:15.460]  And you've got to get out of stocks on any rallies here.
[01:28:15.460 --> 01:28:18.642]  We've already violated some major areas and I'm saying
[01:28:19.222 --> 01:28:25.406]  Every time the stock market bounces, and my short-term people are telling me, we're due for a bounce here.
[01:28:25.406 --> 01:28:31.129]  Well, if we bounce in the next couple weeks or so, or a month or whatever, sell, get out.
[01:28:31.129 --> 01:28:35.011]  If you're wrong, you may miss 5%, 10% at best.
[01:28:35.011 --> 01:28:38.453]  If I'm right, you could avoid 50% to 70% decline.
[01:28:38.453 --> 01:28:42.796]  Are we going to see when this finally goes belly-up completely, people jumping out of buildings again in mass?
[01:28:43.737 --> 01:28:45.018]  Well, that happened.
[01:28:45.018 --> 01:28:55.164]  Suicides peaked in the middle of 1932 at the bottom of the stock market, and homicides, murders peaked in the middle of 1933 at the bottom of the economy.
[01:28:55.164 --> 01:28:57.785]  Yes, these things are impact.
[01:28:57.785 --> 01:29:00.647]  Yeah, so folks, you need to get ready to weather the storm.
[01:29:00.647 --> 01:29:07.851]  Again, the website, where's the best place for folks to go on your website to find the free book deal where folks just pay the five bucks for shipping?
[01:29:08.211 --> 01:29:13.218]  Yeah, just go to harrydin.com, free book, $4.95 shipping.
[01:29:13.218 --> 01:29:22.189]  And in the upper right-hand corner, we have a free daily newsletter, Economy & Markets, that you can also just put in your email and you get a free newsletter.
[01:29:22.189 --> 01:29:25.053]  And we just want you to listen to us until you fall in love with us.
[01:29:25.053 --> 01:29:25.414]  That's all.
[01:29:25.774 --> 01:29:29.776]  Well, I think we've definitely fallen in love with your information.
[01:29:29.776 --> 01:29:31.177]  We like to be on top of things.
[01:29:31.177 --> 01:29:33.138]  Mr. Denton, I follow your newsletter as well.
[01:29:33.138 --> 01:29:33.779]  Thank you so much.
[01:29:33.779 --> 01:29:35.119]  Look forward to talking to you again.
[01:29:35.119 --> 01:29:36.200]  Thank you, Alex.
[01:29:36.200 --> 01:29:36.540]  All right.
[01:29:36.540 --> 01:29:37.701]  Look, we're not fear mongers.
[01:29:37.701 --> 01:29:39.202]  We just want to be ready for what's coming.
[01:29:39.202 --> 01:29:44.785]  That's called being, you know, in charge, ready and being competent and taking care of your family.
[01:29:44.785 --> 01:29:47.247]  And, you know, we hope for the best, prepare for the worst.
[01:29:47.247 --> 01:29:48.867]  But this is serious.
[01:29:48.867 --> 01:29:49.268]  Stay with us.
[01:29:49.268 --> 01:29:51.989]  We're gonna go to Oregon on the standoff.
[01:29:51.989 --> 01:29:54.671]  Alex Jones and the GCN Radio Network.
[01:29:59.810 --> 01:30:00.090]  U.S.
[01:30:00.090 --> 01:30:09.293]  scientists have urged the World Health Organization to take urgent action over the Zika virus, which they say has explosive pandemic potential.
[01:30:09.293 --> 01:30:15.996]  Zika is linked to shrunken brains in children, and it's causing panic in Brazil where thousands of people have already been infected.
[01:30:16.636 --> 01:30:22.899]  Some countries are urging women of childbearing age to wait until more is known about the virus to become pregnant.
[01:30:22.899 --> 01:30:26.801]  Microcephaly can cause brain damage in babies or even death.
