[00:00:14.375 --> 00:00:17.197]  Hard to believe!
[01:00:21.360 --> 01:00:26.343]  Before America can be great again, she must be free again.
[01:00:26.924 --> 01:00:29.625]  You're listening to the Alex Jones Show.
[01:00:29.645 --> 01:00:42.754]  21 days, ladies and gentlemen, until the historic election.
[01:00:44.261 --> 01:01:06.955]  I'm going to open the phones up in this hour on Obama with more talk of war, cyber attacks against Russia, saying our policy of Russia cyber attacks us, under globalist control, that they'll physically attack them, so that means turnabout's fair play, major economic sanctions, Soros going into panic mode, if you just joined us saying that Trump's a dictator, a Hitlerian dictator, these are quotes.
[01:01:09.585 --> 01:01:11.947]  When this guy is a literal former Nazi agent.
[01:01:12.487 --> 01:01:13.828]  I mean, it's just too rich.
[01:01:14.909 --> 01:01:19.573]  He claims that Trump's going to destabilize the world and overthrow countries, when that's what Soros does.
[01:01:25.958 --> 01:01:29.041]  Alright, there is so much to get to here today, ladies and gentlemen.
[01:01:31.903 --> 01:01:34.825]  Terrorists are raising cash in Latin America to attack the United States.
[01:01:35.606 --> 01:01:36.887]  We're gonna be getting into all of that.
[01:01:36.987 --> 01:01:39.067]  Roger Stone hasn't been on in about a week or more.
[01:01:39.428 --> 01:01:40.108]  He's gonna be on.
[01:01:41.809 --> 01:01:43.869]  He's been burrowed in writing his book.
[01:01:45.410 --> 01:01:46.350]  There's so much to cover.
[01:01:46.390 --> 01:01:51.232]  We've got pro-white genocide professor given no punishment despite saying massacre of whites a good thing.
[01:01:52.213 --> 01:01:53.253]  Because they agree with it.
[01:01:53.573 --> 01:01:55.414]  Mainstream media, some of them actually endorsed this.
[01:01:55.894 --> 01:01:57.495]  And it's all weirdo white people doing.
[01:01:58.396 --> 01:02:08.642]  Little Soros types like this, this Drexel University professor, Mr. Mayor, George Cicerello, is that how you say it?
[01:02:08.763 --> 01:02:09.083]  Mayor.
[01:02:10.384 --> 01:02:11.484]  Very, very proud of himself.
[01:02:13.486 --> 01:02:23.512]  This is all they've got, just total culture warfare, so this parasite class can just sit there getting their paychecks, giving you worthless degrees that you literally won't be able to get a job with, if you're lucky.
[01:02:23.532 --> 01:02:26.574]  You know what you get jobs with?
[01:02:27.762 --> 01:02:28.422]  Construction.
[01:02:31.063 --> 01:02:31.643]  Engineering.
[01:02:32.423 --> 01:02:32.983]  Medical stuff.
[01:02:33.023 --> 01:02:36.384]  Yeah, there's a few things you can go to college and get degrees in that are worth it.
[01:02:37.844 --> 01:02:44.165]  Certainly not sitting at the feet of some intellectual joke who can't even get a job in the real world, probably can't even wipe his own butt.
[01:02:44.285 --> 01:02:46.505]  I bet this guy doesn't even wipe his ass.
[01:02:46.565 --> 01:02:46.926]  I'm sorry.
[01:02:46.946 --> 01:02:48.346]  I don't know why I'm saying that.
[01:02:48.886 --> 01:02:49.706]  You know, they stink.
[01:02:50.146 --> 01:02:51.606]  These kind of guys want to stink.
[01:02:51.646 --> 01:02:53.107]  They want to make you unhappy.
[01:02:53.147 --> 01:02:54.307]  They want to, you know how they are.
[01:02:55.047 --> 01:02:55.988]  You know how these people are.
[01:02:56.008 --> 01:03:00.751]  They're ugly, they're hunchbacked, spiritually hunchbacked.
[01:03:01.211 --> 01:03:04.113]  These old folks who have hunchbacks, you know what I mean, they're just, you know, demons.
[01:03:05.014 --> 01:03:05.454]  And they are.
[01:03:05.474 --> 01:03:07.135]  I mean, there's just no end to it.
[01:03:07.155 --> 01:03:08.936]  He wants to kill you and your family, according to him.
[01:03:09.537 --> 01:03:15.501]  He's dreaming of you and your family dead, your children lined up, their throats slit, hanging by their frickin' feet.
[01:03:16.401 --> 01:03:17.342]  So he can feel powerful.
[01:03:19.178 --> 01:03:20.279]  Oh, but he's not going to do the killing.
[01:03:20.299 --> 01:03:34.233]  He's just going to hype it up like Time Magazine and Newsweek, and then when cops get shot in the back of the head changing tires or pumping gas or giving somebody a ticket, well, these little guys go on the news and say, well, cops better readjust themselves and do what we say or we're going to die.
[01:03:34.614 --> 01:03:37.056]  Yeah, you don't do the killing yourself, do you, buddy?
[01:03:37.997 --> 01:03:41.781]  Well, let me tell you, you get your civil war kicked off like you really want to,
[01:03:42.830 --> 01:03:49.852]  We've affected the battle space, and if that happens, we don't want it to happen, people like you are going to get your butts handed to you real nice.
[01:03:50.772 --> 01:03:51.713]  Oh, you want to fight?
[01:03:52.333 --> 01:03:54.113]  You want to be in a man's world, huh?
[01:03:54.773 --> 01:03:57.814]  You fantasize about death, do you, and genocide, do you?
[01:03:58.454 --> 01:03:59.875]  You like that kind of stuff, hmm?
[01:04:00.615 --> 01:04:08.037]  Well, those of us that really instinctively, spiritually, historically, or by experience know all about mass death don't like it.
[01:04:09.538 --> 01:04:10.898]  But we sure know how to deal it.
[01:04:15.728 --> 01:04:17.769]  You're entering a man's world now, son.
[01:04:20.709 --> 01:04:26.011]  I guarantee you this cretin doesn't know why his life's so horrible, why he has such bad things happen to him, why nobody likes him.
[01:04:26.391 --> 01:04:27.711]  It's because you're scum.
[01:04:28.631 --> 01:04:29.752]  God doesn't like you.
[01:04:29.772 --> 01:04:36.293]  That's why you try to act like a man, and try to act impressive, and try to shoot your mouth off about death.
[01:04:37.714 --> 01:04:40.954]  Well, I'm sure death will visit you one day.
[01:04:41.415 --> 01:04:42.755]  Maybe sooner than you think.
[01:04:45.046 --> 01:04:46.707]  It's bad luck what you're doing, boy.
[01:04:46.727 --> 01:04:52.528]  When we come back, we're gonna get into all this and a lot more, and take your phone calls.
[01:04:52.548 --> 01:04:53.469]  At 800-259-9231.
[01:04:53.509 --> 01:04:59.131]  First-time callers today, all I ask is you have a good phone, and not drink too much cough syrup before you call.
[01:04:59.151 --> 01:04:59.611]  800-259-9231.
[01:04:59.631 --> 01:05:01.031]  I'm Alex Jones, and this is The Info War.
[01:05:10.797 --> 01:05:18.945]  Our fellow Infowarriors across the United States and across the planet really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[01:05:19.925 --> 01:05:28.713]  It became a global meme against globalism and corruption and a very strong maxim that's now being continued on today.
[01:05:29.574 --> 01:05:33.516]  Now, President-elect Trump has come out and said it's not his job as President to call for prosecution.
[01:05:33.556 --> 01:05:34.076]  He's not supposed to.
[01:05:34.576 --> 01:05:39.618]  But that obviously, Jeff Sessions, as the new Attorney General, if he's confirmed, will certainly carry out his duties.
[01:05:39.878 --> 01:05:46.541]  But Roger Stone, a few weeks ago, right after the election, said, Alex, you gotta bring Hillary for President back.
[01:05:46.601 --> 01:05:48.501]  And I said, yeah, but it's a limited edition.
[01:05:48.701 --> 01:05:49.442]  It's over.
[01:05:50.302 --> 01:05:51.763]  You know, she's been defeated so far.
[01:05:52.303 --> 01:05:55.225]  They said, what about Hillary for prison 2017?
[01:05:55.666 --> 01:05:57.127]  We need those at the inauguration.
[01:05:57.147 --> 01:06:01.049]  They're trying to intimidate Trump supporters and nationalists everywhere.
[01:06:01.450 --> 01:06:02.711]  That shirt is powerful.
[01:06:02.771 --> 01:06:17.541]  It's not just a shirt supporting Trump, like your shirt that says Trump is my president, which we put out before he won, predicting it, putting our name, our guts on the line, but something exposing who the other team was pushing so that people don't forget and so that the push for justice continues.
[01:06:18.141 --> 01:06:19.642]  Show, it's a great way to support the broadcast.
[01:06:19.662 --> 01:06:26.844]  It's a great way to have another historic shirt to spread the word and to meet like-minded people of every race, color, and creed who bleed red blood and want justice.
[01:06:27.364 --> 01:06:27.864]  It's available.
[01:06:27.924 --> 01:06:29.004]  It's another limited run.
[01:06:29.024 --> 01:06:32.245]  I don't know how long we're going to offer it, but definitely only a few months.
[01:06:32.725 --> 01:06:38.167]  It is Hillary for Prison 2017, and here's the biggest and best part I almost forgot.
[01:06:39.542 --> 01:06:47.104]  This shirt arrived in an 18-wheeler printed right here in the USA a week ago and I forgot, I've been so busy to even talk about the fact it's been in the store.
[01:06:47.964 --> 01:06:55.705]  That on the back of the shirt is a design that I worked on with some of our great graphics people that is George Soros as a goblin.
[01:06:56.366 --> 01:07:03.927]  I made a goblin joke a year ago about Trump saying you better not, you know, actually get in bed with the goblins if you have to work with politicians.
[01:07:03.947 --> 01:07:07.928]  I don't understand if you have to actually, you know, get knee-deep in their political guts but you just can't
[01:07:09.366 --> 01:07:10.567]  Get caught in bed with a goblin.
[01:07:11.028 --> 01:07:17.976]  So we now have George Soros, because the media attacked me on this whole goblin meme, and they've made huge jokes about it, but it's totally blown up their face.
[01:07:18.416 --> 01:07:25.684]  We now have George Soros as a goblin on the back, and it says with a cross through him, you know, an X like Ghostbusters.
[01:07:26.044 --> 01:07:27.786]  No Soros, him as a goblin.
[01:07:28.527 --> 01:07:33.672]  It says Deport Soros on the bottom and on the top it says InfoWars established 1996.
[01:07:35.153 --> 01:07:42.240]  So it is a limited edition Deport Soros on the back, Hillary for President on the front, right hand shoulder InfoWars.com.
[01:07:42.600 --> 01:07:43.141]  It's powerful.
[01:07:43.161 --> 01:07:44.242]  I hope you get out to everybody you know.
[01:07:44.502 --> 01:07:47.845]  InfoWarsStore.com or call 888-253-3139.
[01:07:48.085 --> 01:07:53.070]  So to all the fellow liberty lovers around the world, I salute you and thank you for your support.
[01:07:53.710 --> 01:08:04.885]  This shirt is a celebration of the fight and the victory we've seen in 2016 against tyranny, but looking forward for justice against George Soros, Hillary Clinton, and their entire criminal network.
[01:08:05.386 --> 01:08:07.749]  And don't forget our new motto, no more pizza parties.
[01:08:25.216 --> 01:08:26.637]  We are on the march.
[01:08:27.137 --> 01:08:29.539]  The empire is on the run.
[01:08:30.300 --> 01:08:36.083]  Alex Jones and the GCN Radio Network.
[01:08:36.324 --> 01:08:39.986]  21 days until Trump's in office and they're openly trying to start a war with Russia.
[01:08:41.267 --> 01:08:43.429]  They're openly trying to get a civil war going in Israel.
[01:08:45.170 --> 01:08:48.532]  They're calling in newspapers for Trump to be killed but no one's getting in trouble.
[01:08:49.553 --> 01:08:52.555]  One guy that lived close to where the president's staying in Florida
[01:08:53.959 --> 01:08:59.244]  Got arrested because when they showed up at his house, he started basically screaming and yelling and saying, it's his right to say kill Trump.
[01:08:59.764 --> 01:09:01.325]  So they had him right there, he'll get convicted.
[01:09:03.427 --> 01:09:08.412]  But meanwhile, you've got professors all over the United States, including right here at UT.
[01:09:14.057 --> 01:09:18.861]  Where they're announcing communism in America, that white people are inherently bad, and most of them are white.
[01:09:20.592 --> 01:09:22.753]  This is what the big universities are paying to do.
[01:09:23.053 --> 01:09:27.234]  This is what the big foundations are paying to fund.
[01:09:27.334 --> 01:09:31.695]  This is what the elite want to make us a bunch of dysfunctional mental patients.
[01:09:32.715 --> 01:09:36.796]  And then when the problem gets big, they bring in total federalization to counter all the racial division.
[01:09:37.937 --> 01:09:39.017]  Classic divide and conquer.
[01:09:40.697 --> 01:09:42.298]  Stories up on Infowars.com.
[01:09:43.558 --> 01:09:48.920]  Pro-white genocide professor given no punishment despite saying massacre of whites a good thing.
[01:09:48.940 --> 01:09:50.520]  He said, all I want for
[01:09:51.237 --> 01:09:52.898]  Christmas is white genocide.
[01:09:54.359 --> 01:10:05.388]  Despite explicitly stating the massacre of white people during the bloody Haitian revolution was a good thing, and wishing for white genocide on Christmas Eve, Professor George Mayer said Drexel University supports him.
[01:10:06.229 --> 01:10:09.351]  And Reuters goes on to report from that.
[01:10:09.371 --> 01:10:14.996]  In fact, I have the Reuters article right here in my stack.
[01:10:16.400 --> 01:10:17.181]  Isn't that just cute?
[01:10:17.221 --> 01:10:24.852]  A Drexel University professor whose tweet that he wanted white genocide for Christmas sparked a firestorm of criticism from the school and social media.
[01:10:25.173 --> 01:10:29.800]  Chat on Tuesday that administrators supported his right to take part in political debate.
[01:10:32.048 --> 01:10:35.309]  Imagine if a professor said we should support black genocide.
[01:10:35.369 --> 01:10:39.010]  I mean, you would be fired so quick your head would spin.
[01:10:39.030 --> 01:10:47.232]  I mean, they've had liberal professors at Yale and a bunch of other places when they're calling for banning costume parties or banning fiesta parties.
[01:10:47.552 --> 01:10:49.212]  You know, Mexican food's good.
[01:10:50.032 --> 01:10:52.913]  When I went to college for a couple of years, I got invited to rush parties and stuff.
[01:10:52.933 --> 01:10:54.413]  I never joined any of it because I thought it was stupid.
[01:10:54.433 --> 01:10:56.454]  I'm not bashing you if you're in a fraternity, just whatever.
[01:10:57.312 --> 01:10:58.913]  I mean, there's nothing against the sorority girls being there.
[01:10:58.933 --> 01:10:59.573]  Whatever, that was fun.
[01:10:59.613 --> 01:11:00.214]  Drink beer, whatever.
[01:11:00.254 --> 01:11:03.396]  And I mean, the most common party was Fiesta.
[01:11:03.676 --> 01:11:09.219]  Because it's fun to drink margaritas and eat Mexican food and run around with sombreros on your head and jump in the pool.
[01:11:09.719 --> 01:11:11.040]  I mean, it's fun.
[01:11:11.180 --> 01:11:12.461]  And that's why people do it.
[01:11:13.262 --> 01:11:16.283]  The Mexicans invented it all because it's fun, you know?
[01:11:16.644 --> 01:11:18.385]  Nobody says the Mexicans don't know how to have fun.
[01:11:18.425 --> 01:11:18.725]  They do.
[01:11:21.837 --> 01:11:23.497]  This is just, I mean, that's not racist.
[01:11:23.577 --> 01:11:24.658]  Well, they've banned that all over.
[01:11:25.458 --> 01:11:27.138]  And this is just the insanity.
[01:11:28.239 --> 01:11:29.399]  Oh, and I guess, what else?
[01:11:29.419 --> 01:11:31.860]  You have toga parties, so folks are kind of lightly dressed.
[01:11:33.140 --> 01:11:35.241]  Oh, that's expropriating stuff from the Greeks.
[01:11:35.541 --> 01:11:37.001]  You're putting the Greeks down when you do that.
[01:11:37.141 --> 01:11:38.121]  Oh, so let's not be Greeks.
[01:11:38.381 --> 01:11:39.582]  And don't be a cowboy either.
[01:11:39.762 --> 01:11:42.543]  All over the country, they say, that's cultural appropriation.
[01:11:43.663 --> 01:11:47.424]  You should say, I didn't, I'm not paying $30,000 a year to be in a cult.
[01:11:48.390 --> 01:11:54.236]  That tells me that I can't be a Native American or a cowboy, or that I can't be a geisha girl.
[01:11:54.897 --> 01:11:57.299]  I know people... Well, it's come out in the news.
[01:11:58.300 --> 01:11:59.541]  In one case, Eastside Yoga.
[01:11:59.601 --> 01:12:03.865]  I was talking to one of my friends, whose girlfriend's a yoga instructor.
[01:12:03.885 --> 01:12:05.267]  I heard about this and it ended up being in the paper.
[01:12:05.287 --> 01:12:07.990]  A couple years ago they said,
[01:12:09.724 --> 01:12:17.348]  We're going to have for Halloween a yoga party with wine and stuff like that, and we're going to come dressed, you know, like India style.
[01:12:17.668 --> 01:12:19.089]  Well, it's Indian culture.
[01:12:19.169 --> 01:12:20.510]  It's an Indian exercise.
[01:12:21.811 --> 01:12:31.376]  And so, it's kind of like you're going to a dude ranch, come dressed with your cowboy boots, your cowboy hat, and your, you know, go to Shepler's or whatever Western store you go to and get dressed up like that.
[01:12:31.716 --> 01:12:32.937]  You're not bashing cowboys.
[01:12:32.957 --> 01:12:33.937]  You're not bashing anybody.
[01:12:34.298 --> 01:12:35.118]  It's just what you do.
[01:12:35.538 --> 01:12:38.420]  And they had a bunch of folks flip out and say you can't do it, so they canceled it.
[01:12:39.864 --> 01:12:42.125]  It's all about control, ladies and gentlemen.
[01:12:44.425 --> 01:12:50.767]  Oh, you don't dress up in Indian garb, and don't have girls belly dancing, whatever you do, just shut it down!
[01:12:51.547 --> 01:12:53.027]  Because the cult rules things.
[01:12:56.528 --> 01:13:08.551]  A Drexel University professor whose tweet that he wanted white genocide for Christmas sparked a firestorm of criticism from the school and social media said on Tuesday the administrator supported his right to take part in political debate.
[01:13:09.428 --> 01:13:22.352]  George Mayer, a white associate professor of history at the politics at Philadelphia University, has said his Christmas Eve posting that all I want for Christmas is white genocide on Twitter was aimed at poking fun at white supremacists.
[01:13:22.632 --> 01:13:24.013]  Oh, so it's okay.
[01:13:25.693 --> 01:13:30.335]  Even though they do call for an end of white people all over the major universities and have it in official textbooks.
[01:13:30.355 --> 01:13:36.737]  When I took two years of community college, seeing if I wanted to go to college, I was already successful on radio by that time I got out of it.
[01:13:38.092 --> 01:13:47.160]  It didn't matter whether it was psychology class or whatever, they would come in and hold a picture of a brown person, who didn't look like any particular group, and say, it's gonna be wonderful that soon whites will be gone, whites are inherently bad.
[01:13:47.761 --> 01:13:50.203]  At ACC, I would sit there, that's why I got out of college.
[01:13:51.411 --> 01:13:57.217]  And if I wrote papers in psychology or Texas history or whatever I had to take, countering that, I would get Fs.
[01:13:57.638 --> 01:14:04.405]  So I would write these things with errors all over them as a joke, agreeing with all of it, and they would give me A pluses and invite me for coffee.
[01:14:04.966 --> 01:14:06.107]  I'm not kidding.
[01:14:06.768 --> 01:14:11.413]  And they didn't care I'd done 180 about faces from paper to paper.
[01:14:13.894 --> 01:14:15.636]  They liked the fact that I had submitted.
[01:14:16.217 --> 01:14:23.285]  I mean, I would write stuff that you couldn't hardly read on purpose, and they would give me A+.
[01:14:23.985 --> 01:14:26.028]  This is a cult of sickening scum!
[01:14:29.943 --> 01:14:32.105]  They want to teach 2 plus 2 equals 5, folks.
[01:14:32.125 --> 01:14:39.333]  They want basket cases that only know how to be hurt and feel weird and scared, so they go into the wings of these parasites.
[01:14:39.433 --> 01:14:42.176]  Oh, come here, I'll protect you since everyone's out to get you.
[01:14:42.436 --> 01:14:50.364]  So you can't even get a job, you've got so many chips on your shoulder, you're so neurotic, and you're led by little twits with their little ironic
[01:14:51.536 --> 01:14:55.458]  Colonel Sanders' beard and mustaches to teach you how bad whites are.
[01:14:55.478 --> 01:15:00.881]  And then when you get caught doing it, you slime out and go, oh, I was just countering white supremacists.
[01:15:01.262 --> 01:15:03.543]  Oh, kill all the white people, now it's okay.
[01:15:08.145 --> 01:15:11.587]  Here's an excerpt on Latin American social movements with almost 10,000 Twitter followers.
[01:15:16.343 --> 01:15:18.323]  And then it goes through all the crazy statements they've made.
[01:15:18.704 --> 01:15:25.905]  But his attempt at satire triggering a backlash from conservative websites with some online comments calling for him to be fired or commit suicide.
[01:15:25.925 --> 01:15:31.506]  Drexel on Sunday called his tweet utterly reprehensible and said it would meet with him to discuss it.
[01:15:32.066 --> 01:15:33.067]  This is fake news.
[01:15:35.387 --> 01:15:39.808]  He explicitly clarified his comment to say the massacre of whites during the
[01:15:41.274 --> 01:15:43.295]  Haitian revolution was a good thing indeed.
[01:15:43.495 --> 01:15:44.055]  What does that mean?
[01:15:44.315 --> 01:15:47.817]  So now they're saying it's fake news if you say he said kill everybody.
[01:15:48.097 --> 01:15:49.798]  He said nothing about Haiti.
[01:15:49.958 --> 01:15:51.459]  But see, he controls reality.
[01:15:51.719 --> 01:15:53.540]  So now he's saying it's fake news.
[01:15:54.440 --> 01:15:56.021]  Oh, I said kill all the whites.
[01:15:56.561 --> 01:15:57.382]  I only meant in Haiti.
[01:15:57.722 --> 01:15:59.763]  And by the way, it's fake news if you talk about me.
[01:16:03.800 --> 01:16:07.421]  This is where they play this game like you're stupid, and talk to you like an idiot.
[01:16:07.641 --> 01:16:12.902]  And we've put up with so much in this country, and so much in Europe, and so much in other parts of the world, that I expect them to act like this.
[01:16:12.942 --> 01:16:14.982]  They still think you're totally in a coma.
[01:16:15.202 --> 01:16:16.122]  And some people are!
[01:16:16.522 --> 01:16:29.264]  Where George Soros comes out and says, Trump is gonna be a dictator, like Hitler, and I'm more scared than when I was in Hungary, under Hitler, and he's a horrible person, and he's starting all these wars, and he's really, really racist, and everything Soros says is what he's done.
[01:16:30.845 --> 01:16:32.425]  It's everything he's the king of!
[01:16:33.953 --> 01:16:43.454]  And you won't see any MSM point out the hypocrisy because their job is to invert reality and teach you that prosperity is an evil thing.
[01:16:46.994 --> 01:16:55.818]  Now I'm going to go to break and come back and break all this down with Greg and John and Matt and Ward and a bunch of other folks that are patiently holding this toll-free number to join us.
[01:16:55.978 --> 01:16:57.139]  It's 800-259-9231.
[01:16:57.159 --> 01:17:00.821]  When you hear somebody hang up, that's your chance to call in.
[01:17:01.381 --> 01:17:04.562]  And I intend to go to your calls, bam, bam, bam, on the other side of this break.
[01:17:04.942 --> 01:17:12.126]  I want to just recap that Soros has conjured Hitler in an attack on ascendant populists all over the world.
[01:17:12.286 --> 01:17:14.167]  Every country that's getting a vote from Spain,
[01:17:15.390 --> 01:17:19.671]  to Italy, to the UK, is voting to begin the pullout of the unelected EU.
[01:17:20.291 --> 01:17:24.772]  And this little monster is panicking, calling it undemocratic, to pull out of something that's undemocratic.
[01:17:25.412 --> 01:17:26.673]  Total inversion of reality.
[01:17:27.013 --> 01:17:33.174]  Our story is up on DrugsReport.com, breaking it all down right now.
[01:17:33.254 --> 01:17:44.677]  So please, get that story out to everyone, and I'm gonna shoot a video that I'm gonna add into the article, pointing out the biblical level, incredible hypocrisy of all of this.
[01:17:49.155 --> 01:17:51.096]  But the easiest place to find our article is Soros.
[01:17:51.136 --> 01:17:53.777]  Trump is a would-be dictator who threatens New World Order.
[01:17:53.938 --> 01:17:56.039]  Their New World Order, which they say doesn't exist.
[01:17:56.779 --> 01:17:59.941]  Very important article by Paul Joseph Watson.
[01:17:59.961 --> 01:18:02.002]  Let's get that out on Facebook, Twitter, you name it.
[01:18:02.202 --> 01:18:03.223]  What a hypocrite.
[01:18:03.303 --> 01:18:05.124]  Breaks the record for being a hypocrite.
[01:18:05.144 --> 01:18:08.145]  Briefly, we are listener-supported.
[01:18:08.625 --> 01:18:11.847]  The globalists, as you know, target sponsors, they shut you down, they go after you.
[01:18:12.347 --> 01:18:15.289]  I don't even list a full list of our AMNFM affiliates anymore.
[01:18:15.309 --> 01:18:16.850]  I've decided that over a year ago and it's worked.
[01:18:17.762 --> 01:18:24.046]  We gained over 100 because the enemy is so stupid they can't even find our full affiliate list and then try to boycott them and attack them.
[01:18:24.307 --> 01:18:25.447]  Just little moves like that.
[01:18:26.608 --> 01:18:31.091]  But the point is, we've gone from like 170 to 250 plus and growing.
[01:18:31.872 --> 01:18:40.758]  But the point is, support those local stations, become a sponsor, let the sponsors know you're supporting them because they are a sponsor, and spread the word how folks can listen to the station.
[01:18:40.978 --> 01:18:41.359]  Send them 100 bucks.
[01:18:43.007 --> 01:18:43.928]  Also support us.
[01:18:44.069 --> 01:18:45.190]  Get the Nutraceuticals.
[01:18:45.311 --> 01:18:46.132]  I mean, amazing.
[01:18:46.172 --> 01:18:47.333]  The good Halogen X2.
[01:18:47.574 --> 01:18:48.155]  Find out about it.
[01:18:48.355 --> 01:18:49.356]  It's the missing link.
[01:18:49.717 --> 01:18:50.658]  The other big missing link.
[01:18:50.919 --> 01:18:51.780]  BioTruth Selenium.
[01:18:52.721 --> 01:18:54.103]  Don't take too much of it, though, folks.
[01:18:54.164 --> 01:18:54.644]  It's amazing.
[01:18:55.447 --> 01:18:57.748]  A lot of people have big deficiencies in that.
[01:18:58.108 --> 01:19:00.469]  Super Mel Vitality is 30% off right now.
[01:19:01.109 --> 01:19:02.069]  It's about to sell out.
[01:19:02.109 --> 01:19:03.370]  We don't get more for about a month.
[01:19:03.710 --> 01:19:09.152]  But I want to sell out before the end of the year, obviously, for tax reasons, because they have inventory taxes here in Texas.
[01:19:09.552 --> 01:19:11.173]  So InfoWarsLife.com.
[01:19:11.573 --> 01:19:15.174]  We have hundreds of items between 50 and 25% off.
[01:19:15.454 --> 01:19:16.415]  Storewide free shipping.
[01:19:16.435 --> 01:19:17.395]  Sign up for auto ship.
[01:19:17.635 --> 01:19:22.557]  Get an additional 10% off any item, whether it's storable foods or whether it's high quality.
[01:19:23.337 --> 01:19:26.761]  Non-GMO, open-pollinated heirloom seeds or water filtration systems.
[01:19:27.062 --> 01:19:29.184]  The very best systems at the lowest prices.
[01:19:29.525 --> 01:19:34.391]  Survival gear, preparedness gear, solar-powered, crank-powered shortwave radios.
[01:19:34.431 --> 01:19:35.793]  The highest quality, lowest price.
[01:19:36.373 --> 01:19:38.296]  The blocket pocket privacy and security.
[01:19:38.716 --> 01:19:41.580]  Show your cell phone isn't tracking you except when you want to personally use it.
[01:19:42.060 --> 01:19:43.482]  All sorts of amazing things.
[01:19:43.902 --> 01:19:47.005]  By shopping with the good guys, you fund the next level of the Infowar.
[01:19:47.405 --> 01:19:51.088]  And funding revolutions against tyranny is just as important as being on air.
[01:19:51.309 --> 01:19:53.871]  So I salute you and thank you for making it all possible.
[01:19:54.431 --> 01:20:00.877]  Christmas is extended, because they hate it so much, right through to New Year's Day, at InfowarStore.com.
[01:20:01.398 --> 01:20:02.579]  Again, thank you all for your support.
[01:20:02.619 --> 01:20:03.620]  These are amazing items.
[01:20:03.960 --> 01:20:04.901]  Check them out for yourself.
[01:20:04.921 --> 01:20:06.022]  There's so much we didn't mention.
[01:20:06.362 --> 01:20:07.743]  InfowarStore.com.
[01:20:07.783 --> 01:20:08.204]  We'll be back.
[01:20:15.587 --> 01:20:21.609]  We have a special program today because in a few moments we are joined by a legendary American journalist Alex Jones.
[01:20:22.829 --> 01:20:27.751]  But before that, let's see this short piece about our today's special guest Alex Jones.
[01:20:29.275 --> 01:20:32.860]  Mainstream media, the fourth estate, is molding us today.
[01:20:33.180 --> 01:20:39.309]  We form our worldview, our perception of reality, depending on how the mainstream media presents the information to us.
[01:20:39.869 --> 01:20:44.155]  In the Western world, the dictatorship of the liberal paradigm is all too obvious when
[01:20:44.195 --> 01:20:44.595]  I think so.
[01:21:02.653 --> 01:21:10.799]  Meanwhile, all the front pages of every other publication portray Trump as a loser, intentionally exaggerating his supposed dark past.
[01:21:10.999 --> 01:21:15.802]  His words taken out of context and repeated over and over on all media outlets.
[01:21:16.062 --> 01:21:25.709]  On November 8th, the main Western media operations had already prepared their November 9th issue with Hillary's portrait on the cover and headline, Madam President.
[01:21:25.949 --> 01:21:32.133]  And television programs have prepared reports praising the Lady Kingpin of the world financial elites.
[01:21:32.713 --> 01:21:38.297]  Something went wrong and all the pre-scripted news packages turned a complete fiasco.
[01:21:38.357 --> 01:21:41.018]  They put everything on the line and failed miserably.
[01:21:41.138 --> 01:21:44.560]  The predetermined Clinton win has suffered a death blow.
[01:21:44.700 --> 01:21:46.101]  The numbers spoke for themselves.
[01:21:46.121 --> 01:21:47.062]  Trump won.
[01:21:47.522 --> 01:21:50.944]  No one in the US mainstream media believed or wanted to believe in Trump.
[01:21:51.224 --> 01:22:03.817]  No one except for those in the scientific polls, Los Angeles Times, and one dynamic, highly passionate, energetic, and unrelenting journalist and documentary producer Alex Jones, the director and editor-in-chief of InfoWars News.
[01:22:04.037 --> 01:22:08.381]  It is this journalist who had the courage to show the truth of what is really going on in the United States.
[01:22:08.601 --> 01:22:13.086]  For many years, he has been fighting the false narratives of the mainstream media information.
[01:22:13.186 --> 01:22:20.311]  He has exposed the globalist liberal ideology prevailing in a totalitarian style on the modern Western media front.
[01:22:20.611 --> 01:22:25.834]  He reported on the financial elites, their stakes and strategies during the election.
[01:22:26.154 --> 01:22:35.080]  Alex Jones believes that behind all the world's media outlets there's an ideological liberal agenda which aims at building a unipolar empire.
[01:22:35.340 --> 01:22:40.664]  This world government manipulates all the prominent media systems for the sake of their own personal interests.
[01:22:41.164 --> 01:22:46.367]  He was all but ostracized for continually exposing the war crimes of Hillary Clinton.
[01:22:46.567 --> 01:22:51.650]  They avoided mentioning his name, and his website suffered repeated denial-of-service attacks.
[01:22:51.891 --> 01:22:53.852]  But they couldn't stop him.
[01:22:54.032 --> 01:22:57.414]  His videos continue to gather hundreds of thousands of views.
[01:22:57.674 --> 01:23:04.138]  Infowars.com was practically the only resource where the elections were covered thoroughly and objectively.
[01:23:04.358 --> 01:23:10.626]  They didn't cut their live feeds when someone voiced criticism towards the FBI, and they discussed the WikiLeaks dumps.
[01:23:10.906 --> 01:23:15.232]  InfoWars has built itself to serve the interests of the American people.
[01:23:15.432 --> 01:23:20.118]  This media organization showed its independence from the world financial elites.
[01:23:20.358 --> 01:23:23.062]  It showed its sovereignty from the globalist owners.
