[00:00:00.769 --> 00:00:04.033]  31 days, folks.
[00:44:25.905 --> 00:44:30.109]  Well, we got satellites and particle beams and we already shoot down their missiles when we test them.
[00:44:30.109 --> 00:44:31.230]  Yeah, I know.
[00:44:31.230 --> 00:44:33.392]  The point is, you can't shoot them all down.
[00:44:33.392 --> 00:44:37.076]  Especially if there's thousands of them, not three of them!
[00:44:37.076 --> 00:44:40.099]  Yes, we can deal with North Korea, not with Russia!
[00:44:40.099 --> 00:44:40.860]  Not with China!
[00:44:40.860 --> 00:44:42.761]  And I'll tell you the crazy irony of this...
[00:44:44.025 --> 00:44:47.587]  You look at the big crappy, you know, mansions Hillary has.
[00:44:47.587 --> 00:44:51.069]  There's reports how they're all rotting and, you know, it's all just fetid.
[00:44:51.069 --> 00:44:54.431]  They've got all these houses and just all this crap and no one around them loves them.
[00:44:54.431 --> 00:44:55.051]  They're all empty.
[00:44:55.051 --> 00:44:58.133]  That's in the news.
[00:44:58.133 --> 00:44:58.653]  For what?
[00:44:58.653 --> 00:45:02.535]  So you get 50 million more from the Chinese to buy another crappy mansion?
[00:45:02.535 --> 00:45:09.099]  And now China has the entire ICBM system that Russia wouldn't give them.
[00:45:09.099 --> 00:45:11.560]  And then now we're in a face down with Russia.
[00:45:11.560 --> 00:45:12.581]  You people are crazy!
[00:45:13.291 --> 00:45:14.011]  You're crazy!
[00:45:14.011 --> 00:45:16.492]  And I'll tell you who's crazier.
[00:45:16.492 --> 00:45:19.432]  Those of us that sit here and let these crazy people run the show.
[00:45:19.432 --> 00:45:22.613]  So let me explain something.
[00:45:22.613 --> 00:45:27.393]  I don't arrogantly launch operations that are successful against the New World Order because I want to be the tip of the spear.
[00:45:27.393 --> 00:45:29.894]  I do it because I've got to do it.
[00:45:29.894 --> 00:45:39.035]  Because other people either don't have the audience to launch things like this, or they don't have the will, or whatever it is, we're here, we're going to do it, we're committed.
[00:45:39.035 --> 00:45:40.556]  And I've got more ideas as well.
[00:45:40.556 --> 00:45:41.876]  And I want to tell the viewers on the list for something.
[00:45:46.388 --> 00:45:47.028]  I commend you.
[00:45:47.028 --> 00:45:48.809]  I am humbled by what you've done.
[00:45:48.809 --> 00:45:51.891]  Don't ever call in and thank me.
[00:45:51.891 --> 00:45:55.252]  Because you are the people on the ground that are doing it.
[00:45:55.252 --> 00:45:55.833]  And I've done it.
[00:45:55.833 --> 00:45:56.973]  I've been where you've been many times.
[00:45:56.973 --> 00:46:04.397]  And I know what it takes when you're in a crowd of 200, 300 evil, moronic cult members.
[00:46:04.397 --> 00:46:08.098]  And what it's like when they attack you, or beat you up, or drag you out, or whatever it is.
[00:46:08.098 --> 00:46:09.339]  All of you are heroes.
[00:46:09.339 --> 00:46:10.440]  And you have amazing courage.
[00:46:10.440 --> 00:46:13.241]  And you are the stuff that'll turn this thing around.
[00:46:14.414 --> 00:46:31.620]  And that's the good news here, is I'm only supposed to be an example, and Lord knows I'm not perfect, and other people are just supposed to be an example, to others, that if the globalists take over, here's the most important thing I've said, if they shut down the web, shut down freedom, start the persecution, that's out of weakness.
[00:46:31.620 --> 00:46:39.122]  That's out of weakness.
[00:46:39.122 --> 00:46:41.183]  It's poster hangs, it's pirate radio,
[00:46:42.936 --> 00:46:51.823]  It's going to public rallies, it's speaking out, it's scaling billboards at night.
[00:46:51.823 --> 00:46:57.227]  In the info war, one billboard in a town will be the talk of the city if they actually shut the press down.
[00:46:57.227 --> 00:47:04.773]  See, as things get darker and there's less light, smaller lights are bigger.
[00:47:04.773 --> 00:47:07.175]  And they're going to push the wrong people.
[00:47:10.126 --> 00:47:13.811]  And it's going to be very organic what you see if the enemy is stupid enough.
[00:47:13.811 --> 00:47:18.776]  Because here's the deal, they've had a 30-40 year plan, at least in its current permutation.
[00:47:18.776 --> 00:47:23.042]  They're going ahead with a plan that counts on maybe 1% being awake.
[00:47:23.042 --> 00:47:25.705]  We got like 10% and it's exponentially growing.
[00:47:25.705 --> 00:47:27.006]  That's critical mass.
[00:47:27.006 --> 00:47:29.890]  They kind of get that now, so they're accelerating their operation against us.
[00:47:31.374 --> 00:47:32.435]  It's too late!
[00:47:32.435 --> 00:47:46.064]  They need to run up the white flag, and I wouldn't call... I'll tell you, if Hillary and Soros and the globalists would just leave, take their hundreds of millions, go somewhere, quite frankly, I'm all in to spare the blood of the innocents, to have an armistice, like Napoleon or whatever, and just go.
[00:47:46.064 --> 00:47:48.085]  Just go!
[00:47:48.085 --> 00:47:48.946]  Just go!
[00:47:48.946 --> 00:47:49.946]  Go to South America!
[00:47:49.946 --> 00:47:54.189]  Just get out of here!
[00:47:54.189 --> 00:47:56.651]  Believe me, I'm all about detente.
[00:47:56.651 --> 00:48:00.954]  I'm all about... I don't have some vindictive thing where I want to burn you.
[00:48:02.017 --> 00:48:10.460]  Or where I want to physically mount your head on a wall, you know, metaphysically, so that I feel like, ooh, oh boy, I'm big, I'm part of the power structure.
[00:48:10.460 --> 00:48:15.041]  I don't want the dirty power.
[00:48:15.041 --> 00:48:21.523]  I want you to get off the little people, and to stop lying to the poor minorities that you want to help them, when your whole cosmology is about keeping them poor.
[00:48:24.042 --> 00:48:28.505]  I've got all the letters, they're public, of LBJ with the Great Society.
[00:48:28.505 --> 00:48:32.307]  I tell you what, I see these rich black people everywhere!
[00:48:32.307 --> 00:48:41.752]  Get them back on the plantation, get the men out of the house, get the women running things, and I'll have those n-words voting Democrat for a hundred years.
[00:48:41.752 --> 00:48:45.514]  That was his response to the Republicans getting the Civil Rights Act passed.
[00:48:45.514 --> 00:48:51.117]  That's why he told the South, he said, you're gonna pass this stuff, we're gonna be their best buddy now!
[00:48:51.117 --> 00:48:53.579]  They all got their little Klan meetings and said, what do you mean, boss?
[00:48:55.199 --> 00:48:58.602]  Listen, dumbass, how do you control somebody you got domesticated?
[00:48:58.602 --> 00:49:00.564]  You gotta feed them before you slaughter them.
[00:49:00.564 --> 00:49:04.388]  The little piggy gonna trust you when you load them up to take them to the butcher!
[00:49:04.388 --> 00:49:05.629]  Oh, that's how we gonna do it, boss?
[00:49:05.629 --> 00:49:06.990]  That's how we gonna do it!
[00:49:06.990 --> 00:49:11.535]  Now sit down and do what I say, and quit wearing them stupid crayons robe in public!
[00:49:11.535 --> 00:49:14.037]  We don't do that now!
[00:49:14.037 --> 00:49:16.099]  We care about the Black people now!
[00:49:16.099 --> 00:49:18.281]  Senator Byrd, our commander, what do we do?
[00:49:18.281 --> 00:49:19.962]  Absolutely, we will do that right away for you!
[00:49:21.223 --> 00:49:22.143]  I mean, that's what's going on.
[00:49:22.143 --> 00:49:28.926]  I just sit here, and I watch these people, and it's just like, pull my hair out!
[00:49:28.926 --> 00:49:35.249]  And then they just wind up these hordes of horrible, racist, crazed black people.
[00:49:35.249 --> 00:49:39.151]  I mean, you think a big gaggle of racist Klan people is disgusting.
[00:49:39.151 --> 00:49:40.211]  Their numbers are small.
[00:49:40.211 --> 00:49:46.214]  Huge groups of just sullen, spoiled, racist black people bitching everywhere.
[00:49:46.214 --> 00:49:48.655]  I mean, it's just unbelievable.
[00:49:48.655 --> 00:49:50.576]  Run by some weird Joker lady.
[00:49:52.967 --> 00:49:54.088]  I just can't handle it, man.
[00:49:54.088 --> 00:49:56.531]  I just, I'm not going to sit here and put up with it.
[00:49:56.531 --> 00:49:58.573]  Somebody has got to stand up against this.
[00:49:58.573 --> 00:50:00.835]  I, I just spiritually can't go along with this.
[00:50:00.835 --> 00:50:01.276]  I mean, that's it.
[00:50:01.276 --> 00:50:03.318]  I can't help myself.
[00:50:03.318 --> 00:50:05.701]  My flesh says, man, you really ought to back off.
[00:50:05.701 --> 00:50:07.322]  You are really asking for it.
[00:50:07.322 --> 00:50:10.486]  I'm not stupid.
[00:50:10.486 --> 00:50:13.329]  But then I say I got to, and the reason I talk about my personal journey,
[00:50:14.437 --> 00:50:17.318]  Is it a journey I know you've been through, or a journey you're going to go through?
[00:50:17.318 --> 00:50:18.298]  Because let me tell you something.
[00:50:18.298 --> 00:50:19.558]  They're getting ready to implode.
[00:50:19.558 --> 00:50:22.239]  Deutsche Bank, like we told you six months ago, it's already happening.
[00:50:22.239 --> 00:50:23.279]  They're getting ready to start a bunch of wars.
[00:50:23.279 --> 00:50:25.520]  They're getting ready to bring in a global depression.
[00:50:25.520 --> 00:50:27.300]  There's no way they can sustain this forever.
[00:50:27.300 --> 00:50:29.881]  And I don't like this fiat system, but I hope they sustain it for a lot longer.
[00:50:29.881 --> 00:50:31.961]  I'm going to skip this network break, because there might even be a show soon.
[00:50:31.961 --> 00:50:35.902]  Who knows, you know?
[00:50:35.902 --> 00:50:38.483]  But let's show what people are doing on the front lines right now.
[00:50:39.997 --> 00:50:48.104]  Because it's cutting out the rhetoric and, oh, calculate, be like this, and then you'll win over Democrats.
[00:50:48.104 --> 00:50:51.126]  I'm not trying to win over Republicans or Democrats.
[00:50:51.126 --> 00:50:54.329]  I'm not trying to play in their little sandbox paradigm.
[00:50:54.329 --> 00:50:57.872]  I want to not overthrow it, but expand it.
[00:50:57.872 --> 00:51:04.578]  I want people to understand that there's a real world and a renaissance system versus a conquest system.
[00:51:06.496 --> 00:51:12.538]  And that we're going on to a conquest system when the renaissance system, we've always been a mix, is what made us so great.
[00:51:12.538 --> 00:51:19.720]  So I truly am here to not play their game, but to change the nomenclature, to change the terms, to change the paradigm.
[00:51:19.720 --> 00:51:20.840]  And guess what?
[00:51:20.840 --> 00:51:22.921]  Infowars, I can unequivocally tell you,
[00:51:23.720 --> 00:51:34.110]  With language, and the terms used, is the most effective outlet in the last 50 years in the liberty movement against the globalist project.
[00:51:34.110 --> 00:51:38.353]  We are, because of the time we came along, all the rest of it, numero uno.
[00:51:38.353 --> 00:51:46.040]  Drudge is much bigger and wonderful and great, it covers a wide spectrum, and it's helping inform the masses, and it's wonderful, but when it comes to having people imitate us,
[00:51:46.801 --> 00:51:49.782]  And have people repeat what we say and go research it.
[00:51:49.782 --> 00:51:51.042]  We've shifted paradigms.
[00:51:51.042 --> 00:52:02.426]  You, the listeners, are just as important as I am, are just as important as somebody at World Net Daily or Matt Drudge, and he will tell you that.
[00:52:02.426 --> 00:52:08.769]  Matt Drudge came out speaking to Matt Drudge yesterday, just a paradigm shift, and said, is this hurricane maybe not as strong as they're saying?
[00:52:08.769 --> 00:52:15.511]  And this is for political purposes to pass the Global Carbon Treaty, which they admit they now passed, but Congress hasn't ratified, but they're saying we're still under?
[00:52:16.235 --> 00:52:18.096]  Of course that's it!
[00:52:18.096 --> 00:52:21.677]  And then they kind of said, well it really wasn't Category 4, it's Category 3.
[00:52:21.677 --> 00:52:31.061]  Okay, I've got, without even looking, dozens and dozens of articles attacking him that he's discredited because he said this wasn't as strong as they said it would be, that they were using it for political purposes.
[00:52:31.061 --> 00:52:32.061]  They're all over the news!
[00:52:32.061 --> 00:52:38.764]  Hillary Clinton, ABC News, NBC News, all of them, saying that
[00:52:41.240 --> 00:52:49.507]  We need to pass carbon taxes, and Bill Clinton's initiative, or it is Bill Clinton's initiative, Barack Obama's initiative, or Hillary's initiative, or we're all dead.
[00:52:49.507 --> 00:52:51.909]  So see, that's how they spin Bing Wright.
[00:52:51.909 --> 00:52:55.692]  They were just talking about 8 million, you know, out of their houses, thousands dead.
[00:52:55.692 --> 00:52:57.033]  No, luckily it's a lot lower.
[00:52:57.033 --> 00:52:58.735]  It's really bad in Haiti though.
[00:52:58.735 --> 00:53:01.477]  It's 300 and something now, last time I checked it was 200 yesterday.
[00:53:01.477 --> 00:53:03.819]  We knew Haiti would be bad.
[00:53:03.819 --> 00:53:08.323]  But the issue is clearly they're politicizing it, and then we're not supposed to say, oh look, you're politicizing.
[00:53:09.485 --> 00:53:11.446]  We should call them on everything they do.
[00:53:11.446 --> 00:53:23.534]  A toll-free number to join us talking about what should Obama do to try to get his agenda through in the last month.
[00:53:23.534 --> 00:53:31.619]  I mean, what do you think they're going to be pulling in the last 31 days until the election happens and he's a total lame duck?
[00:53:31.619 --> 00:53:32.640]  What is Obama going to do
[00:53:34.002 --> 00:53:38.705]  Once he's a lame duck and is in there and has two months left until January 18th or whatever it is.
[00:53:38.705 --> 00:53:39.565]  When is inauguration this year?
[00:53:39.565 --> 00:53:40.986]  I think it's the 18th.
[00:53:40.986 --> 00:53:44.608]  What is Hillary gonna do in the last 31 days?
[00:53:44.608 --> 00:53:46.950]  What dirty tricks and October surprises do they have?
[00:53:46.950 --> 00:53:47.991]  What do you make of the debate?
[00:53:47.991 --> 00:53:49.912]  What should Trump do?
[00:53:49.912 --> 00:53:50.812]  What should Trump say?
[00:53:50.812 --> 00:53:56.316]  I think he should come out of the gates and say, this is a three against one just like the last debate.
[00:53:56.316 --> 00:53:57.296]  They did turn my mic down.
[00:53:57.296 --> 00:53:58.577]  They did turn it off.
[00:53:58.577 --> 00:54:01.178]  You better only interrupt me as much as you interrupt her.
[00:54:01.178 --> 00:54:02.679]  Stop giving her extra time.
[00:54:02.679 --> 00:54:03.420]  Stop responding.
[00:54:05.080 --> 00:54:06.040]  That's what needs to happen.
[00:54:06.040 --> 00:54:09.482]  People want the rigging to be called out, just like he did with election fraud.
[00:54:09.482 --> 00:54:10.762]  And I got a bunch of news on that front.
[00:54:10.762 --> 00:54:11.062]  800-259-9231.
[00:54:11.062 --> 00:54:11.222]  800-259-9231.
[00:54:11.222 --> 00:54:24.948]  Briefly, and then I'm going to go to these clips of valiant folks out there confronting Bill Clinton on his sexual assault past.
[00:54:26.173 --> 00:54:29.675]  Before we do that, we have a bunch of specials running right now.
[00:54:29.675 --> 00:54:32.778]  We have 23% off our flagship product.
[00:54:32.778 --> 00:54:39.222]  That's DNA Force with the BioPQQ, the CoQ10, and so much more.
[00:54:39.222 --> 00:54:45.366]  Just the BioPQQ has 175 clinical studies and it's got all the other key enzymes and things to help boost it and get full absorption.
[00:54:46.459 --> 00:54:54.884]  The patented ingredient, N-A-4, contains more potent antioxidant activity than vitamin C, CoQ10, digestive enzymes, and so much more.
[00:54:54.884 --> 00:54:57.725]  It is a smorgasbord of the very best.
[00:54:57.725 --> 00:55:00.406]  It is our flagship product, and your purchase helps fund the operation.
[00:55:00.406 --> 00:55:01.507]  By the way, I haven't even been plugging this.
[00:55:01.507 --> 00:55:14.154]  I've only been plugging the extra strength biome defense product at InfoWarsLife.com, our new seven years in development probiotic.
[00:55:15.592 --> 00:55:25.134]  But we also, again, have one that is basically half the price, $25 million live, but 23 probiotic strains.
[00:55:25.134 --> 00:55:30.795]  We've got that for $39.95, and then we've got Biome Defense for $69.95.
[00:55:30.795 --> 00:55:37.497]  And similar formulas are, again, over $100 at Whole Foods, ladies and gentlemen, that we believe aren't even as good.
[00:55:37.497 --> 00:55:38.797]  We send you with a cold pack.
[00:55:38.797 --> 00:55:40.637]  This is the Rolls-Royce.
[00:55:40.637 --> 00:55:43.178]  I could have easily private-labeled hundreds of other
[00:55:44.701 --> 00:55:47.965]  Probiotics, but I didn't because they just aren't cutting it.
[00:55:47.965 --> 00:55:52.349]  This, this, this is amazing and it's so important to give this to yourself, your family, you name it.
[00:55:52.349 --> 00:56:00.599]  It's filled with 60 capsules in both the half-price version and the full-price version.
[00:56:00.599 --> 00:56:00.999]  It's twice.
[00:56:02.120 --> 00:56:02.761]  As strong.
[00:56:02.761 --> 00:56:07.425]  Infowars.com or call toll free 888-253-3139.
[00:56:07.425 --> 00:56:17.615]  And whether it's a Hillary for Prison shirt that's about to be history, we're not going to make no more of those, with a new limited edition, lock her up, Gadsden flag version, at infowarsstore.com.
[00:56:17.615 --> 00:56:19.357]  That is what funds this operation.
[00:56:19.357 --> 00:56:20.178]  That is what makes
[00:56:22.279 --> 00:56:29.028]  All of this possible at InfoWarsLife.com or InfoWarsStore.com or call toll free 888-253-3139.
[00:56:29.028 --> 00:56:30.310]  And that's how we can pay out $100,000 in...
[00:56:37.068 --> 00:56:46.250]  Our national initiative to expose the sex crimes of Bill Clinton and the cover-up by Hillary Clinton, that's really what it is, you can call it a bounty at first, that's not the right term, it's just for peacefully getting the word out.
[00:56:46.250 --> 00:56:55.492]  Let's play the latest gentleman who needs to send us his info and proof, you know, obviously a photo of himself and who he is, so we can have him on the show if he'd like, but certainly send him the $5,000, we'll mail it today.
[00:56:55.492 --> 00:56:58.012]  StopRape at InfoWars.com.
[00:56:58.012 --> 00:57:04.834]  So Bill Clinton is a rapist, Trump supporter, crashes Tim Kaine rally, and this was in Nevada last night, we'll show you the ABC News version, then we'll show you the version
[00:57:05.214 --> 00:57:07.097]  Shot by, I believe it's his wife, who's there with him.
[00:57:07.097 --> 00:57:07.357]  Here it is.
[00:57:30.540 --> 00:57:31.101]  All right.
[00:57:45.933 --> 00:57:49.395]  I love how Bill Clinton the day before says, oh, she doesn't want to stay and talk.
[00:57:49.395 --> 00:57:51.916]  She can't debate as they drag the lady out.
[00:57:51.916 --> 00:57:53.657]  Same thing with this guy.
[00:57:53.657 --> 00:57:54.758]  But here's what I want to say.
[00:57:54.758 --> 00:57:56.479]  This is history happening right now.
[00:57:56.479 --> 00:57:58.200]  And I smile to see the courage.
[00:57:58.200 --> 00:57:59.941]  I admire what you're doing.
[00:57:59.941 --> 00:58:01.222]  I've done similar things.
[00:58:01.222 --> 00:58:03.183]  And I know what it's like to be in that position.
[00:58:04.523 --> 00:58:05.824]  But this is history.
[00:58:05.824 --> 00:58:06.845]  This is history happening.
[00:58:06.845 --> 00:58:08.185]  And they're not laughing now.
[00:58:08.185 --> 00:58:10.287]  Just like with Brexit, they're not going to be laughing.
[00:58:10.287 --> 00:58:13.209]  Or we're going to force them to try to steal the election.
[00:58:13.209 --> 00:58:14.750]  And then that will even discredit them further.
[00:58:14.750 --> 00:58:18.432]  We cannot lose if we engage the globalists.
[00:58:18.432 --> 00:58:20.073]  Laying down is how we fail.
[00:58:20.073 --> 00:58:20.534]  We'll be back.
[00:58:20.534 --> 00:58:20.874]  Stay with us.
[00:58:25.579 --> 00:58:28.021]  It's Friday, October 7th, 2016.
[00:58:28.021 --> 00:58:33.266]  Only 31 days from the historic election.
[00:58:33.266 --> 00:58:40.073]  You're listening to Alex Jones.
[00:58:40.073 --> 00:58:43.476]  Thank you for listening to GCN.
[00:58:43.476 --> 00:58:45.698]  Visit GCNlive.com today.
[00:58:48.763 --> 00:58:51.064]  Electrify your day with Secret 12.
[00:58:51.064 --> 00:58:52.625]  It's like lightning in a bottle.
[00:58:52.625 --> 00:58:56.526]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:58:56.526 --> 00:59:04.470]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:59:04.470 --> 00:59:09.432]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:59:09.432 --> 00:59:14.894]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:59:15.234 --> 00:59:23.024]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:59:23.024 --> 00:59:27.750]  It pairs two forms of vitamin B12 into one explosive formula.
[00:59:27.750 --> 00:59:33.478]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:59:33.598 --> 00:59:34.719]  You're listening to the Alex Jones Show!
[01:00:12.971 --> 01:00:17.816]  Rallying patriots worldwide in defense of human liberty.
[01:00:17.816 --> 01:00:20.780]  You're listening to the Alex Jones Show.
[01:00:45.104 --> 01:00:48.545]  All right, he already played this at the end of the last hour.
[01:00:48.545 --> 01:00:52.085]  I want to play now from the other angle, but I want to show you that first.
[01:00:52.085 --> 01:00:54.786]  Got it on ABC News and other platforms.
[01:00:54.786 --> 01:01:05.868]  From behind, and this was shot by a lady who's there, maybe his wife, looks like she's with him, and you hear Tim Kaine saying, you know that Pence is getting ready to basically drop out.
[01:01:05.868 --> 01:01:09.669]  I mean, he's already getting ready just to run, you know, four years for office again.
[01:01:09.669 --> 01:01:10.789]  Just totally making that up.
[01:01:12.827 --> 01:01:13.467]  This is what they do.
[01:01:13.467 --> 01:01:14.067]  They lie.
[01:01:14.067 --> 01:01:14.847]  They deceive.
[01:01:14.847 --> 01:01:18.368]  They sent bus loads by the thousands.
[01:01:18.368 --> 01:01:26.609]  I mean, it would be 20, 30, 40, 50 buses per event for Trump all over the nation of people to go riot and attack and then blame it on Trump.
[01:01:26.609 --> 01:01:39.532]  But notice, I know when something's really devastating, no mainstream media will pick up the fact there's a national move to expose rape because that's the talking point that you get fired if you bring it up.
[01:01:39.532 --> 01:01:42.252]  It's come on the news, not just Roger Stone, but others start bringing it up.
[01:01:43.226 --> 01:01:45.247]  They cut the feeds.
[01:01:45.247 --> 01:01:47.928]  They cut Donald Trump's feeds.
[01:01:47.928 --> 01:01:50.829]  The only place it got out was on Sean Hannity.
[01:01:50.829 --> 01:01:53.029]  They're scared of this, that's why we're targeting it.
[01:01:53.029 --> 01:01:57.851]  Because their whole thing is about how horrible Trump is to women, when it's the opposite.
[01:01:57.851 --> 01:02:00.512]  So here's the other angle.
[01:02:00.512 --> 01:02:03.073]  The Donald Trump's been happy.
[01:02:03.073 --> 01:02:05.474]  The Donald Trump's been happy, yeah.
[01:02:05.474 --> 01:02:07.494]  I understand, right?
[01:02:26.241 --> 01:02:30.927]  Alright, this goes on for a while.
[01:02:30.927 --> 01:02:35.613]  There's also the front of the speech where Cain's making ridiculous lies up about Governor Pence.
[01:02:38.547 --> 01:02:47.874]  But again, they send people to scream, Donald Trump's Hitler, Donald Trump hates women, Donald Trump's a racist.
[01:02:47.874 --> 01:02:53.317]  Well, Bill Clinton settled sexual assault events with women.
[01:02:53.317 --> 01:02:55.059]  And other women have said he raped them.
[01:02:55.059 --> 01:02:59.542]  I've interviewed three of them that were on record to be working in and around Bill Clinton.
[01:02:59.542 --> 01:03:00.843]  I mean, this guy is a known predator.
[01:03:00.843 --> 01:03:02.544]  He flies around on Lolita Express.
[01:03:04.821 --> 01:03:09.403]  They've now got child actors out there in fake press conferences and fake town halls with Hillary.
[01:03:09.403 --> 01:03:10.243]  We covered that yesterday.
[01:03:10.243 --> 01:03:11.803]  I mean, these people, the sky's the limit.
[01:03:11.803 --> 01:03:15.725]  So, I'm showing folks how you take action.
[01:03:15.725 --> 01:03:17.225]  And our listeners are doing it.
[01:03:17.225 --> 01:03:19.786]  But whatever happens to me, and I'm sure we've got providential prayers.
[01:03:19.786 --> 01:03:21.127]  We're out in the sunshine.
[01:03:21.127 --> 01:03:24.088]  Jim Garrison, over 300 people got killed on the JFK investigation.
[01:03:24.088 --> 01:03:25.508]  They said, why are you still alive?
[01:03:25.508 --> 01:03:27.089]  You know, being the prosecutor here in New Orleans.
[01:03:27.089 --> 01:03:30.730]  And he said, I stay in the sunshine.
[01:03:30.730 --> 01:03:32.410]  And you see the stuff happens to him in that movie?
[01:03:32.410 --> 01:03:34.171]  I've experienced the exact same stuff.
[01:03:37.208 --> 01:03:39.088]  And again, I'm not up here saying, oh, I'm this hero.
[01:03:39.088 --> 01:03:43.449]  I'm explaining to folks, these people are monsters.
[01:03:43.449 --> 01:03:55.151]  And most people, like David Brock, or others that, you know, are fighting the Clintons, even Chris Ruddy, for bizarre, you know, gives them foundation money, a million dollars plus, and now won't let the sex stuff come up on Newsmax.
[01:03:55.151 --> 01:03:56.091]  I'm not attacking Newsmax.
[01:03:56.091 --> 01:03:57.952]  They do a lot of great work.
[01:03:57.952 --> 01:04:02.092]  It's just, that's all coming out, that everybody's basically bowing and going along with the Clintons.
[01:04:02.092 --> 01:04:02.953]  Let me tell you who isn't.
[01:04:02.953 --> 01:04:04.853]  Matt Grudge, WorldNetDaily,
[01:04:05.885 --> 01:04:10.574]  So DrudgeReport.com, WorldNetDaily, InfoWars.com, Daily Caller, and Breitbart.
[01:04:11.785 --> 01:04:24.311]  And I'm so glad to see all these other sites that are firing up and doing good journalism and getting crews and doing things like Right Side and others because we need everybody to get more aggressive, everybody to get more radical, that's what protects us.
[01:04:24.311 --> 01:04:29.813]  We're under radical globalist attack, you don't just not want to sound radical so you just kind of let them take over.
[01:04:29.813 --> 01:04:33.535]  That's their tactic, to be so radical you can't even say what they're doing because it sounds crazy.
[01:04:33.535 --> 01:04:38.357]  No, you just call it what it is, you expose them, you get aggressive, legally and lawfully,
[01:04:39.918 --> 01:04:42.639]  And who blinks first loses, and you just push it.
[01:04:42.639 --> 01:04:52.482]  And I love the fact, and MSNBC admits this is what they hate, that I have helped, you have helped this audience, you, you get the main credit, my crew, at radicalizing the public.
[01:04:52.482 --> 01:04:55.202]  Because the public is totally docile being raped.
[01:04:55.202 --> 01:04:57.223]  They need to get radical and stand up.
[01:04:58.547 --> 01:04:59.868]  Drug Raid!
[01:04:59.868 --> 01:05:08.311]  81-year-old Margaret Holcomb was minding her own business in her humble home with her son, when all of the sudden, she was part of a full-blown drug raid!
[01:05:08.311 --> 01:05:13.413]  This wasn't a wrongful raid on an incorrect address, as we've seen in the past.
[01:05:13.413 --> 01:05:15.654]  No, no, they caught a fish with this one.
[01:05:15.894 --> 01:05:17.755]  Literally one fish.
[01:05:17.755 --> 01:05:22.256]  After all, Margaret had one marijuana plant growing in her backyard garden.
[01:05:22.256 --> 01:05:23.497]  Get the choppers!
[01:05:23.497 --> 01:05:24.977]  Get the National Guard!
[01:05:24.977 --> 01:05:27.538]  Take this woman down!
[01:05:27.538 --> 01:05:38.842]  The joint raid between the National Guard and the Massachusetts State Police, which also included a military helicopter, was successful and they were able to take down the one marijuana plant.
[01:05:38.842 --> 01:05:40.263]  A job well done, boys.
[01:05:40.623 --> 01:05:46.425]  Now, Margaret will have to find a nice, legal pharmaceutical to ease her arthritis and glaucoma.
[01:05:46.425 --> 01:05:48.666]  Now, does the war on drugs make sense to you?
[01:05:48.666 --> 01:05:51.547]  This is Owen Troyer from InfoWars.com.
[01:05:51.547 --> 01:05:54.088]  Be sure to download our new app, InfoWars Live.
[01:05:58.268 --> 01:05:59.910]  Clean, pure drinking water.
[01:05:59.910 --> 01:06:01.393]  You can't survive without it.
[01:06:01.393 --> 01:06:02.594]  But where do you get it?
[01:06:02.594 --> 01:06:08.603]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[01:06:08.603 --> 01:06:14.331]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:06:14.491 --> 01:06:31.356]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:06:31.756 --> 01:06:34.237]  Filter capacity up to 5,000 gallons.
[01:06:34.237 --> 01:06:35.698]  Stainless steel construction.
[01:06:35.698 --> 01:06:36.738]  Easy assembly.
[01:06:36.738 --> 01:06:37.659]  Low maintenance.
[01:06:37.659 --> 01:06:39.759]  Replacement filters are simple to install.
[01:06:39.759 --> 01:06:47.022]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[01:06:47.022 --> 01:06:52.225]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[01:06:52.225 --> 01:06:54.786]  Go to InfowarsStore.com or call 888-253-3139.
[01:06:58.147 --> 01:07:06.411]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high-quality products and fund the InfoWar.
[01:07:06.411 --> 01:07:07.631]  A 360 win.
[01:07:07.631 --> 01:07:14.194]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWarshore.com.
[01:07:14.194 --> 01:07:21.717]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip, because we hold back a surplus for AutoShip customers.
[01:07:22.097 --> 01:07:26.778]  Number three, we're giving you free shipping on all orders above $50.
