[00:00:20.379 --> 00:00:22.721]  It's December 15th, 2016.
[00:27:34.254 --> 00:27:38.577]  They tried to suppress the Trump Revolution, Brexit, and other movements for sovereignty.
[00:27:39.018 --> 00:27:43.401]  And now they're quadrupling down in an attempt, I guess, to beat us into submission.
[00:27:44.002 --> 00:27:47.485]  They're trying to openly overthrow Trump's election, so God knows what's going to happen.
[00:27:47.685 --> 00:27:49.967]  But I want to reach out to those of you on the fence about this.
[00:27:50.527 --> 00:27:51.528]  You shouldn't be on the fence.
[00:27:52.028 --> 00:27:57.513]  This is classical authoritarianism rearing its ugly, stinking head in front of the world.
[00:27:58.174 --> 00:28:05.157]  The clear champions of yellow journalism going back over a hundred plus years are mainstream newspapers and television and radio.
[00:28:05.717 --> 00:28:09.318]  Corporate media and state-run media are the all-time champions of fake news.
[00:28:09.818 --> 00:28:13.020]  The Communist Chinese government's the all-time champions of the champions.
[00:28:13.260 --> 00:28:14.720]  They're also the champions of mass murder.
[00:28:15.200 --> 00:28:26.745]  So it's no mistake they're running this operation and we're in the Wall Street Journal just two weeks ago lecturing Americans and other papers as well that we'd better shut down the alt-right or they'd pull their money out of our treasury bonds.
[00:28:27.625 --> 00:28:28.966]  We're now going under globalism.
[00:28:28.987 --> 00:28:35.173]  We're now like a colonial country held by foreign nations being dictated what we should do.
[00:28:35.794 --> 00:28:42.861]  And in other developments, they've come out in a press briefing and said that Roger Stone is really like a Russian agent.
[00:28:43.542 --> 00:28:45.223]  And that he must have talked to Trump.
[00:28:45.383 --> 00:28:46.724]  They just say he must have.
[00:28:46.984 --> 00:28:47.744]  That's their new news.
[00:28:48.385 --> 00:28:57.129]  And that's why Trump at his last press conference in July said, I don't know anything about Russians or who did this hacking, but it ought to be who actually, you know, has the bad material.
[00:28:57.670 --> 00:29:00.851]  Stop changing the subject from who hacked it to what's in these WikiLeaks.
[00:29:01.172 --> 00:29:05.074]  But if Russia does have more emails, if they do have Hillary's missing emails, release them.
[00:29:05.774 --> 00:29:07.735]  Now, he's not saying he's a Russian agent there.
[00:29:08.376 --> 00:29:10.657]  He's saying, if you've got him, release him!
[00:29:11.198 --> 00:29:15.381]  He's throwing it back in their face because they were saying he was a Russian agent at that time.
[00:29:16.201 --> 00:29:19.303]  But the whole Russian narrative itself is a disinformation campaign.
[00:29:19.624 --> 00:29:24.247]  Clapper, the head of all intelligence, came out two days ago to Congress and said, no, there's no evidence the Russians act.
[00:29:24.807 --> 00:29:26.989]  They've had to have the Attorney General come out and cover her butt.
[00:29:28.072 --> 00:29:30.774]  CYA and say no there's no evidence because it's made up.
[00:29:31.295 --> 00:29:39.763]  My CIA contacts and other contacts I have told me last week and I said on air this is a splinter group of rogue leftists giving a fake report to Hillary and Obama.
[00:29:40.143 --> 00:29:40.964]  That now came out.
[00:29:41.544 --> 00:29:43.386]  We have real sources.
[00:29:44.066 --> 00:29:47.910]  I'm not going to brag about the sources but they're as high as they go.
[00:29:49.491 --> 00:29:51.313]  As high as they go.
[00:29:53.484 --> 00:30:00.087]  And what the globalists better understand is there are a lot of people worldwide that are aware that there's a takeover.
[00:30:00.127 --> 00:30:01.068]  Let me say this in closing.
[00:30:02.328 --> 00:30:11.273]  Glenn Beck was hired 11 years ago by a consortium to basically be the new Alex Jones.
[00:30:11.353 --> 00:30:15.335]  They knew that I was getting top ratings on small stations but I wasn't with the Clear Channel because I wouldn't be censored.
[00:30:16.455 --> 00:30:21.998]  I was told this about seven years ago when I first learned about it when I was at Fox News when he was still there by people very close to him.
[00:30:22.924 --> 00:30:26.265]  He was meant to take my show and like mix it with Oprah Winfrey was what he was directed to do.
[00:30:26.305 --> 00:30:26.785]  He's an actor.
[00:30:28.186 --> 00:30:29.086]  And this ties into all this.
[00:30:30.527 --> 00:30:32.187]  Now, he kind of rubbed them the wrong way.
[00:30:32.207 --> 00:30:33.227]  He thought he would do his own thing.
[00:30:33.288 --> 00:30:33.828]  He left.
[00:30:34.428 --> 00:30:36.529]  And now the last two years he wants to be the Judas Code.
[00:30:36.569 --> 00:30:37.309]  I said this before he did it.
[00:30:37.889 --> 00:30:46.712]  Who represents the conservatives but discredits us and is the apologist and comes out and basically explains how we're bad, how we're frauds, and how we should be censored.
[00:30:47.199 --> 00:30:53.082]  He met with Zuckerberg a few months ago and agrees that things need to be censored, so his material will be promoted.
[00:30:53.382 --> 00:31:01.125]  And he's put in these government graphics that have been put out, he's put in there as more trusted, obviously, than the rest of the quote, right wing.
[00:31:02.226 --> 00:31:04.987]  These labels mean nothing, but that's how they do it, in their false paradigm.
[00:31:05.988 --> 00:31:09.629]  So that's why he got so scared two years ago and cozied up to these people.
[00:31:10.029 --> 00:31:15.292]  When Matt Drudge got the threat, and then met with the Supreme Court Justice, he didn't back off, he intensified what he was doing.
[00:31:16.308 --> 00:31:25.571]  But you need to understand, people like News Corp and Rupert Murdoch is totally over the side against Trump because he was told you're going to be shut down if you don't basically join with us.
[00:31:26.152 --> 00:31:32.054]  If I seem a bit hysterical, it's because the foundation of our free society, the First Amendment, is being dissolved.
[00:31:33.494 --> 00:31:39.837]  They are setting up a secretary of speech, a thought police, a ministry of truth publicly in America.
[00:31:40.657 --> 00:31:42.318]  The left is calling for war with Russia.
[00:31:42.678 --> 00:31:45.519]  Obama just dispatched masses of troops to the border with Russia.
[00:31:46.892 --> 00:31:49.133]  He's got 33 days, 34 days left.
[00:31:49.193 --> 00:31:52.955]  I mean, they do not want to turn loose of power because the globalists thought they had this country.
[00:31:53.595 --> 00:31:55.496]  But I don't say people should be shut down.
[00:31:56.336 --> 00:32:00.838]  I don't say people should be shut down according to my little graph we made in an hour.
[00:32:02.239 --> 00:32:14.664]  I just say it's obviously historically more accurate that more liberty-based, more independent is genuinely more accurate versus state-run and corporate-run that normally pushes centralized control and authoritarianism and tyranny.
[00:32:15.224 --> 00:32:15.924]  Everybody knows that.
[00:32:16.224 --> 00:32:17.485]  Liberty versus tyranny.
[00:32:17.765 --> 00:32:20.126]  Independence brings choice, wide spectrum.
[00:32:20.686 --> 00:32:23.287]  Centralized brings stagnation, corruption, control.
[00:32:23.687 --> 00:32:25.028]  Think Soviet Union, things like that.
[00:32:25.808 --> 00:32:31.752]  But no, no, no, they just say state run is trusted and good and impartial and loving and never faking.
[00:32:32.012 --> 00:32:33.272]  Total garbage!
[00:32:36.554 --> 00:32:43.518]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:32:43.779 --> 00:32:45.860]  You better believe you got one!
[00:33:02.486 --> 00:33:07.267]  More than 20 years ago, when I started InfoWars, I was a fitness addict.
[00:33:07.407 --> 00:33:14.469]  As time went on, my metabolism slowed down, I quit working out, I was working 18 hours a day, and I gained right at 100 pounds.
[00:33:14.729 --> 00:33:23.212]  I started to exercise really hard again, and I started to try to eat healthy, started taking third-party supplements, started seeing some more gains.
[00:33:23.732 --> 00:33:27.553]  But when I started working with Dr. Group and some of the other top formulators in the country,
[00:33:27.913 --> 00:33:34.038]  They said, Alex, it's all about trace elements and things that the population is absolutely deficient in.
[00:33:34.278 --> 00:33:34.619]  Boom!
[00:33:34.959 --> 00:33:36.400]  Weight started pouring off.
[00:33:36.500 --> 00:33:38.402]  Toxins started coming out of my body.
[00:33:38.882 --> 00:33:45.307]  Then, by early 2016, I was in the best shape of my life since I'd been in really good shape in my 20s.
[00:33:45.448 --> 00:33:46.528]  But the election heated up.
[00:33:46.588 --> 00:33:48.950]  I started working 14, 15, 16 hours a day.
[00:33:49.071 --> 00:33:51.953]  But more importantly, I stopped taking supplements because we
[00:33:52.253 --> 00:33:52.513]  I think.
[00:34:12.415 --> 00:34:15.257]  If the results are, I'm going to publish the findings.
[00:34:15.457 --> 00:34:16.377]  It's December 5th, 2016.
[00:34:16.517 --> 00:34:20.339]  We're only like 25 days from 2017.
[00:34:20.559 --> 00:34:30.645]  And I want to invite all of the Info Warriors of every race, color, and creed that bleed red blood and love liberty, justice, and truth to make our bodies great again.
[00:34:33.564 --> 00:34:38.547]  One of the most common questions I get is, you've changed the whole radio TV model.
[00:34:39.347 --> 00:34:40.087]  How did you do it?
[00:34:40.127 --> 00:34:41.708]  Did an ad agency teach you that?
[00:34:41.728 --> 00:34:43.029]  Or what book did you read?
[00:34:43.349 --> 00:34:44.910]  And the answer is, it was trial and error.
[00:34:45.150 --> 00:34:50.472]  I promote products that I personally use, like the Nutraceuticals and Infowarslife.com.
[00:34:50.953 --> 00:34:52.774]  And it's the same thing for this promotion.
[00:34:53.254 --> 00:34:54.595]  I didn't get this from an ad agency.
[00:34:54.655 --> 00:34:55.855]  I didn't just think this up.
[00:34:56.335 --> 00:34:58.436]  I was sitting there, I'd gained probably 10-15 pounds.
[00:34:59.657 --> 00:35:03.199]  Because I've gotten out of the habit of taking the supplements in the last few months with the election.
[00:35:03.960 --> 00:35:07.122]  And I was thinking, wow, I need to religiously take these.
[00:35:07.662 --> 00:35:08.903]  Because I'm promoting these things.
[00:35:08.963 --> 00:35:09.823]  It's making me healthier.
[00:35:10.083 --> 00:35:12.545]  And if I'm not taking them, you know, I'm fatter.
[00:35:12.785 --> 00:35:14.026]  Plus, people aren't going to buy the product.
[00:35:14.526 --> 00:35:15.967]  So that's where the promotion comes from.
[00:35:16.267 --> 00:35:17.628]  It's purely from reality.
[00:35:18.004 --> 00:35:19.845]  I put the Lazy Susan back on the table.
[00:35:20.245 --> 00:35:24.827]  I'm religiously taking the products, and in just one week, I thought I'd lose two or three pounds.
[00:35:25.167 --> 00:35:31.649]  I've lost five pounds, religiously taking just, what, four or five of the products.
[00:35:32.029 --> 00:35:32.569]  It's amazing.
[00:35:32.870 --> 00:35:35.230]  Infowarslife.com products are incredible.
[00:35:35.511 --> 00:35:38.212]  Go read the five-star reviews for yourself.
[00:35:38.412 --> 00:35:40.993]  And to be clear, I'm exercising the same amount.
[00:35:41.673 --> 00:35:45.574]  It's the holidays, so I'm eating pumpkin pie, pecan pie.
[00:35:45.594 --> 00:35:46.995]  I ate a candy bar last night.
[00:35:48.439 --> 00:35:51.581]  I mean, quite frankly, I eat more junk during the holidays like everybody else.
[00:35:52.021 --> 00:35:53.282]  So I'm eating worse.
[00:35:53.902 --> 00:36:01.286]  But because I've got these trace elements, or whatever it's doing in DNA Force and X2 and Supermail, I have lost 5 pounds.
[00:36:01.426 --> 00:36:01.967]  It's incredible.
[00:36:02.967 --> 00:36:04.908]  I thought I might lose 10 to 15 in a month.
[00:36:05.129 --> 00:36:06.409]  If this continues, it'll be 20.
[00:36:06.509 --> 00:36:08.931]  But generally, it's more dramatic up front.
[00:36:09.531 --> 00:36:10.412]  This is an experiment.
[00:36:10.512 --> 00:36:11.272]  Everybody's watching.
[00:36:11.512 --> 00:36:12.353]  We'll see what happens.
[00:36:12.793 --> 00:36:13.633]  This is Part 2.
[00:36:14.744 --> 00:36:15.685]  Next week, part three.
[00:36:16.445 --> 00:36:17.065]  That's a good point.
[00:36:17.866 --> 00:36:26.990]  We just cut there and Rob Deuce said, hey Alex, I know you don't follow script, but you might want to add to people, we're running some of the biggest specials of the year until December 17th.
[00:36:27.271 --> 00:36:32.994]  That's the last day that you can get your order in and have guaranteed shipping anywhere in the United States.
[00:36:33.194 --> 00:36:34.935]  And we have some of the biggest specials of the year.
[00:36:35.795 --> 00:36:38.837]  50% off many of the nutraceuticals, the lowest discounts 25%, 30% off X2,
[00:36:41.898 --> 00:36:59.271]  Huge discounts and free shipping storewide on every product thousands of items and on top of that if you sign up for auto ship an additional 10% off and I'm gonna do one more bad thing because I'm politically correct I guess I'm politically incorrect and that's a Merry Christmas to everybody.
[00:36:59.591 --> 00:37:00.772]  Thank you all for your support.
[00:37:00.832 --> 00:37:01.413]  You're awesome
[00:37:04.289 --> 00:37:06.870]  And welcome to InfoWars.com.
[00:37:06.910 --> 00:37:08.751]  We are here with a live broadcast.
[00:37:08.811 --> 00:37:13.653]  We are awaiting the press conference that's going to be held by Maricopa County Sheriff Joe Arpaio.
[00:37:14.153 --> 00:37:16.775]  He is ready to kind of close the book.
[00:37:17.015 --> 00:37:23.157]  He's going to be offering us all of the conclusive evidence, kind of the conclusion on the birth certificate controversy.
[00:37:23.938 --> 00:37:25.618]  Margaret, we've been waiting years for this.
[00:37:25.698 --> 00:37:27.599]  Oh, no kidding.
[00:37:27.979 --> 00:37:30.961]  The media is saying that it's debunked birtherism.
[00:37:31.021 --> 00:37:31.461]  That's what they're
[00:37:31.561 --> 00:37:42.528]  I'm calling it and we know that they're the real purveyors of fake news and we really can't believe anything they say and this sheriff has been covering this and investigating it for quite some time.
[00:37:42.988 --> 00:37:55.877]  This is breaking information and all of the newswire about this story is attacking him and not even focusing on the fact that we have a real issue where we potentially have a fake birth certificate with our president.
[00:37:57.018 --> 00:38:01.001]  Much like with the WikiLeaks, it's not about the anomalies that are there.
[00:38:01.041 --> 00:38:03.022]  It's not about the information that's contained within.
[00:38:03.062 --> 00:38:04.764]  Let's just worry about who hacked in.
[00:38:05.324 --> 00:38:14.751]  Or, like you said, let's just go ahead and attack this sheriff, who has been elected the sheriff for quite some time, but he's not a credible witness there.
[00:38:15.652 --> 00:38:20.836]  And like I said, there is a kind of an A to Z up on World Net Daily.
[00:38:21.016 --> 00:38:25.158]  And you know, there was a lot of things that people were talking about.
[00:38:25.198 --> 00:38:32.784]  For instance, the the the race of Barack Obama wasn't consistent with what it would have been in the 1960s.
[00:38:33.684 --> 00:38:37.427]  It looked as if there was some difference in the gradiation on the paper.
[00:38:37.507 --> 00:38:41.329]  Was it, you know, a forgery printed on a false document?
[00:38:42.310 --> 00:38:44.992]  You know, and this is the kind of stuff that happens a lot, of course.
[00:38:45.652 --> 00:38:57.281]  That was the issue when President George W. Bush was almost elected and they had that fake document and turns out the printer, the typewriter, gave it away because it wasn't the proper.
[00:38:57.401 --> 00:38:59.703]  So this is, you know, that was a long time ago.
[00:38:59.743 --> 00:39:01.164]  So this is definitely nothing new.
[00:39:01.405 --> 00:39:02.005]  Creating forgery.
[00:39:02.265 --> 00:39:22.299]  The Frank Marshall Davis aspect of this, so the facial recognition, you know, overlaying President Obama's face with Frank Martin, there are scientific measures, the points of the face and then laying it over whom he's claiming is his father, that there could be something going on with that and the break in this, you know, I'm, oh here we go.
[00:39:22.619 --> 00:39:26.642]  My name is Chris Hegstrom, I am the Director of Media Relations for the Maricopa County Sheriff's Office.
[00:39:26.662 --> 00:39:28.824]  I want to take a moment to welcome a couple people here.
[00:39:29.366 --> 00:39:35.311]  Now are we watching this on the, I believe you can watch this live stream on our PIOS Facebook page.
[00:39:35.371 --> 00:39:43.317]  Thank you guys so much for joining us here at InfoWars.com and watching this on the Alex Jones Facebook page.
[00:39:43.498 --> 00:39:44.819]  Thank you for being here, Bob.
[00:39:45.679 --> 00:39:46.400]  And helping Joe.
[00:39:46.620 --> 00:39:47.681]  And helping Joe, right?
[00:39:49.022 --> 00:39:55.067]  Today Sheriff Arpaio has information to you on a case that they've been working since August of 2011.
[00:39:57.603 --> 00:40:04.649]  Since the beginning of this investigation, you, the media, have continued to mischaracterize the nature of this investigation.
[00:40:05.790 --> 00:40:12.936]  So, you're going to hear this more than once today, but this investigation was never about where President Obama was born.
[00:40:12.956 --> 00:40:14.137]  Right, it was a distraction.
[00:40:14.157 --> 00:40:20.522]  It was about a document that was presented to the general public through the White House and purported to be a factual document.
[00:40:21.851 --> 00:40:27.454]  Today you're going to hear lots of information that some of you are going to understand and are going to be able to tell the true story.
[00:40:27.775 --> 00:40:33.198]  In fact, please know that this is a very technical, but the evidence is clear if you'll pay attention.
[00:40:33.678 --> 00:40:35.999]  Please note you're going to hear about two separate experts.
[00:40:36.920 --> 00:40:44.404]  These experts are two separate continents with no knowledge of each other and they draw similar conclusions.
[00:40:45.164 --> 00:40:46.085]  Again, that said,
[00:40:46.852 --> 00:40:50.133]  I know some of you are going to get this story and are going to tell the story the way it was.
[00:40:50.193 --> 00:41:00.198]  However, there's going to be others here today who will continue to malign this sheriff and Mike Zullo in order to show that you haven't been wrong for many years while covering this story.
[00:41:00.938 --> 00:41:04.679]  All I ask is that you are respectful during the presentation of the information.
[00:41:05.440 --> 00:41:06.540]  Here's Sheriff Joe Arpaio.
[00:41:07.781 --> 00:41:08.761]  Thank you.
[00:41:08.941 --> 00:41:10.362]  I wonder if the President's watching this.
[00:41:13.463 --> 00:41:15.245]  Thank you for showing up.
[00:41:15.565 --> 00:41:37.841]  Back in 2011, about 250 members of the Surprise Tea Party came to me and asked me to investigate President Obama's birth certificate, since they believe evidence
[00:41:39.395 --> 00:41:43.098]  Showed that the certificate was a fraud.
[00:41:44.479 --> 00:41:46.121]  I agreed to look into the matter.
[00:41:48.523 --> 00:41:55.909]  And with Chief Investigator Mike Zullo, we initiated an investigation.
[00:41:59.031 --> 00:42:07.098]  At this time, and to this day, I stated that I did not care
[00:42:08.700 --> 00:42:10.441]  Where the president was born.
[00:42:11.082 --> 00:42:12.303]  Had nothing to do with that.
[00:42:12.323 --> 00:42:12.763]  Right.
[00:42:14.344 --> 00:42:16.206]  Was it a forged document?
[00:42:16.466 --> 00:42:22.370]  We were going to investigate a possible government forged document.
[00:42:22.751 --> 00:42:24.232]  I hope you get that straight.
[00:42:24.372 --> 00:42:27.474]  I've been saying that from day one since 2011.
[00:42:30.196 --> 00:42:37.622]  Today you will be presented with an in-depth executive summary of our investigation
[00:42:39.085 --> 00:43:00.017]  Into the matter which we now have concluded to be a fraudulently created document which has been represented as an official copy of the original birth certificate of President Obama.
[00:43:00.037 --> 00:43:00.157]  Right.
[00:43:02.478 --> 00:43:07.621]  We and anyone else who dared to question the document
[00:43:08.840 --> 00:43:26.167]  Have been maligned, falsely labeled, grossly criticized in the bulk of the media on certain internet sources for years.
[00:43:26.487 --> 00:43:27.247]  Fake news sources.
[00:43:27.287 --> 00:43:30.488]  Today, we're going to set the record straight.
[00:43:31.749 --> 00:43:37.991]  I believe you will be shocked by what you hear and see today.
[00:43:39.824 --> 00:43:43.406]  Also, the implications will be profound.
[00:43:46.187 --> 00:43:52.210]  All we have ever wanted, ever wanted, was the truth in this matter.
[00:43:52.451 --> 00:44:03.536]  With the great hope that the document was indeed a valid representation of the original document.
[00:44:04.557 --> 00:44:05.077]  Think of that.
[00:44:06.098 --> 00:44:08.919]  We were trying to clear the President.
[00:44:10.188 --> 00:44:11.469]  It didn't work out that way.
[00:44:13.310 --> 00:44:14.931]  We had to follow the evidence.
[00:44:18.553 --> 00:44:25.937]  We let the evidence determine, the evidence determine the direction of the investigation.
[00:44:28.958 --> 00:44:32.040]  That's what we always do on any investigation.
[00:44:32.420 --> 00:44:33.361]  You get the evidence.
[00:44:35.400 --> 00:44:37.460]  You're not supposed to just believe what the government tells you?
[00:44:37.500 --> 00:44:39.781]  It's an official doc- Conspiracy theorist.
[00:44:39.821 --> 00:44:42.841]  No matter what the investigation is about.
[00:44:44.802 --> 00:44:47.962]  You know, Leon, he's really sticking his neck out on the line for the American people here.
[00:44:48.002 --> 00:44:51.723]  So now, the important part is- And for the truth.
[00:44:52.503 --> 00:45:02.585]  To present the pertinent details and the executive summary of our analysis.
[00:45:03.697 --> 00:45:21.073]  I'm going to turn this over to Mike Zullo, who dedicated five years of his life, five years of his life, taking this mission on which I asked him to do five years ago.
[00:45:23.436 --> 00:45:25.698]  Mike, come on up.
[00:45:34.329 --> 00:45:34.969]  Thank you, Sheriff.
[00:45:37.671 --> 00:45:52.182]  I want to start by trying to give everyone here, including the media that's been viciously against us from the beginning, an understanding of how I tried to conduct this investigation.
[00:45:53.082 --> 00:45:55.964]  I believe in 2012, we did two press conferences.
[00:45:56.024 --> 00:46:02.189]  In those press conferences, I had made it clear that Sheriff Arpaio's original mandate to me
[00:46:03.015 --> 00:46:09.717]  Was Mike, take a look at this, clear this document, because I want to be the guy that clears this document and moves this country forward.
[00:46:10.038 --> 00:46:10.758]  This is no good.
[00:46:11.638 --> 00:46:12.518]  That was the mandate.
[00:46:14.419 --> 00:46:16.920]  Unfortunately, it didn't work out that way.
[00:46:18.621 --> 00:46:24.323]  Like the sheriff just told you, when you conduct criminal investigations, you have to let the evidence lead you.
[00:46:24.823 --> 00:46:26.123]  You never lead the evidence.
[00:46:27.424 --> 00:46:30.585]  And in doing this, my motive
[00:46:31.243 --> 00:46:31.703]  We're good to go.
[00:47:03.024 --> 00:47:11.171]  Our fellow info warriors across the United States and across the planet really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[00:47:12.151 --> 00:47:20.958]  It became a global meme against globalism and corruption and a very strong maxim that's now being continued on today.
[00:47:21.379 --> 00:47:25.222]  So we now have George Soros, because the media attacked me on this whole goblin meme.
[00:47:25.302 --> 00:47:28.304]  They've made huge jokes about it, but it's totally blown up their face.
[00:47:28.324 --> 00:47:29.825]  We now have George Soros
[00:47:30.906 --> 00:47:38.128]  As a goblin on the back and it says with a cross-throne, you know an X like Ghostbusters, no Soros, him as a goblin.
[00:47:38.869 --> 00:47:43.990]  It says deport Soros on the bottom and on the top it says InfoWars established 1996.
[00:47:45.471 --> 00:47:52.553]  So it is a limited edition deport Soros on the back, Hillary for prison on the front, right hand shoulder InfoWars.com.
[00:47:52.913 --> 00:47:53.473]  It's powerful.
[00:47:53.493 --> 00:47:54.533]  Hope you get out to everybody you know.
[00:47:54.813 --> 00:47:56.594]  InfoWarsStore.com or call 888-253-3139.
[00:48:03.129 --> 00:48:09.755]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:48:09.855 --> 00:48:17.522]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:48:17.822 --> 00:48:28.532]  InfoWars Prime, where you can watch live, high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:48:28.792 --> 00:48:29.192]  Action!
[00:48:29.232 --> 00:48:33.174]  Go to InfoWars.com forward slash app and download today.
[00:48:33.474 --> 00:48:37.696]  InfoWars Prime is available right now for your iPhone or Android.
[00:48:37.796 --> 00:48:42.318]  You will have access to exclusive videos that you can't see anywhere else.
[00:48:42.699 --> 00:48:47.841]  That means live coverage of events and breaking news on location as it happens.
[00:48:48.241 --> 00:48:55.124]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:48:55.284 --> 00:48:59.366]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:48:59.626 --> 00:49:02.287]  If you can hear my voice, you are the resistance.
[00:49:04.957 --> 00:49:09.438]  Well we have another update in the conspiracy theories that continue to flow out of the White House.
[00:49:09.518 --> 00:49:20.861]  This is very troubling considering the fact they just voted themselves 160 million dollars to authenticate news and to put out real news in its place of doing that through the State Department, the new Ministry of Truth.
[00:49:21.101 --> 00:49:25.363]  Now yesterday we were told, this is escalated, NBC reported that U.S.
[00:49:25.403 --> 00:49:30.284]  officials have now said they know that Putin personally was involved in the election hack.
[00:49:30.424 --> 00:49:31.104]  They say U.S.
[00:49:31.124 --> 00:49:42.326]  intelligence officials now believe with a high level of confidence, quote-unquote, that means that they don't have any physical evidence, that Russian President Putin became personally involved in the covert Russian campaign to interfere in the U.S.
[00:49:42.346 --> 00:49:43.327]  presidential elections.
[00:49:43.867 --> 00:49:51.688]  Two senior officials say new intelligence shows that Putin personally directed how hacked material from the Democrats is leaked and otherwise used.
[00:49:51.708 --> 00:49:53.169]  So what would that new intelligence be?
[00:49:53.229 --> 00:49:58.870]  Well, they say they believe that, quote, only Russia's senior most officials could have authorized these activities.
[00:49:58.930 --> 00:50:00.050]  That's their new intel.
[00:50:00.951 --> 00:50:05.776]  See, it's just an assumption that they base, they say this is an intelligence judgment.
[00:50:06.197 --> 00:50:08.759]  They say it's consistent with the Putin that I've watched.
[00:50:09.380 --> 00:50:11.142]  I worked with him as ambassador in the government.
[00:50:11.382 --> 00:50:12.764]  He had a vendetta against Hillary Clinton.
[00:50:12.784 --> 00:50:18.711]  Now we're going to talk about what I think is a real source of this leak and of course we had another illusion.
[00:50:19.131 --> 00:50:19.331]  I think?
[00:50:47.549 --> 00:50:49.270]  Would be a conspiracy theory.
[00:50:49.510 --> 00:50:52.571]  I don't know who killed Seth Rich.
[00:50:52.631 --> 00:50:53.612]  Nobody knows at this point.
[00:50:53.872 --> 00:50:58.614]  There's a lot of circumstantial evidence that points to Hillary Clinton, but we're not allowed to make that conclusion.
[00:50:58.634 --> 00:51:01.235]  Meanwhile, without any evidence, the U.S.
[00:51:01.275 --> 00:51:03.796]  officials put this with Putin, and I want to clarify this too.
[00:51:04.736 --> 00:51:14.804]  When they talk about hacking the election and doing something, they're not saying that he sent in Russian agents to vote even across the border, even though they weren't authorized to vote.
[00:51:14.944 --> 00:51:17.005]  They're not saying that they fiddled with the machines.
[00:51:17.025 --> 00:51:19.027]  They're not saying that they fiddled with the counts.
[00:51:19.087 --> 00:51:24.211]  No, what they're saying is that they hacked the election by telling you the truth about Hillary Clinton.
[00:51:24.271 --> 00:51:24.911]  Think about that.
[00:51:25.672 --> 00:51:26.213]  Think about that.
[00:51:26.613 --> 00:51:30.578]  Should we offer them a debt of gratitude for telling us the truth about her character?
[00:51:30.858 --> 00:51:32.460]  For telling us the truth about the DNC?
[00:51:32.480 --> 00:51:38.387]  For telling us the truth about the media that was conspiring with the DNC and with Hillary Clinton to deceive the public?
[00:51:38.427 --> 00:51:42.251]  And yet it's that same media now who is saying that it's a Russian hack.
[00:51:42.312 --> 00:51:44.174]  Today they took it to the next level.
[00:51:44.814 --> 00:51:46.556]  And this reminds me of what Mark Twain said.
[00:51:46.596 --> 00:51:51.380]  A lie, he said, can travel halfway around the world before the truth can even put its shoes on.
[00:51:52.201 --> 00:51:54.623]  Well, that was before the internet.
[00:51:54.984 --> 00:51:57.966]  Now it can go much quicker, and it comes from much higher levels.
[00:51:58.267 --> 00:52:03.952]  We now have, according to the Daily Mail, a White House launching its own conspiracy theory on the Russian hacking.
[00:52:04.412 --> 00:52:10.315]  Okay, Russian hacking was established, but now they're pulling conspiracy theory on top of conspiracy theory.
[00:52:10.595 --> 00:52:16.998]  This is Josh Earnest, the White House spokesman, thinks that Roger Stone had something to do with it now.
[00:52:17.558 --> 00:52:23.981]  He suggested today that Roger Stone knew that the Kremlin ordered a hack on Democrat officials.
[00:52:25.222 --> 00:52:33.492]  The White House spokesman said it's possible that Stone delivered that information to Trump before he encouraged the Russians to release Hillary Clinton's emails in July.
[00:52:33.512 --> 00:52:37.197]  You see how they're piling assumption upon assumption and saying, well, it's possible, it's possible.
[00:52:37.477 --> 00:52:38.438]  A lot of things are possible.
[00:52:38.458 --> 00:52:41.822]  We're going to tell you some of the things that are possible on the other side.
[00:52:42.463 --> 00:52:50.391]  Now today we had an exclusive report from the Daily Mail saying that they talked to an ex-British ambassador who is now a WikiLeaks operative.
[00:52:50.731 --> 00:52:53.614]  He claims that Russia did not provide the Clinton emails.
[00:52:53.654 --> 00:52:58.039]  He said they were handed to him, handed to him at a DC park
[00:52:58.519 --> 00:53:02.102]  By an intermediary for disgusted Democrat whistleblowers.
[00:53:02.162 --> 00:53:03.142]  His name is Craig Murray.
[00:53:03.422 --> 00:53:05.664]  He's a former British ambassador to Uzbekistan.
[00:53:06.004 --> 00:53:09.887]  He's an associate of Julian Assange and he gave this information to Daily Mail.
[00:53:10.487 --> 00:53:13.249]  They say he flew to Washington DC to get these emails.
[00:53:13.529 --> 00:53:16.051]  He claims he had a clandestine handoff in a wooded area.
[00:53:16.371 --> 00:53:25.217]  He said the leaker's motivation was disgust at the corruption in the Clinton Foundation and the tilting of the primary election playing field against Bernie Sanders.
[00:53:26.630 --> 00:53:32.239]  Let's go to Seth Rich, because of this new information that just came out yesterday.
[00:53:36.005 --> 00:53:38.229]  Well, well, well, they said...
