[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[01:14:11.217 --> 01:14:14.960]  Now the story is up on InfoWars.com, and I'm just going to have the man himself
[01:14:16.152 --> 01:14:16.673]  Introduce it.
[01:14:16.713 --> 01:14:19.435]  It's also obviously at ProjectVeritas.com.
[01:14:20.056 --> 01:14:24.581]  One of their latest coups, the folks that brought down ACORN and other vicious organizations.
[01:14:25.281 --> 01:14:30.727]  And there's shades of that, where James O'Keefe walks in with a so-called hooker and goes, I got underage sex slaves I want to run.
[01:14:30.747 --> 01:14:33.410]  And they go, well just cover it up.
[01:14:33.550 --> 01:14:34.030]  Good job.
[01:14:34.351 --> 01:14:36.913]  We'll help, you know, run this operation with you.
[01:14:36.933 --> 01:14:38.115]  That's what we do here in the Democratic Party.
[01:14:39.090 --> 01:14:44.174]  He went to facility after facility, just like they went around Texas and the Democrats went, the white Democrats, to a person.
[01:14:44.554 --> 01:14:49.639]  We're gonna have election fraud and take over and bring in Mexicans and overthrow the state and we'll get the guns, don't worry.
[01:14:49.679 --> 01:14:54.242]  I mean, this is a crazed groups with what I call criminal energy.
[01:14:55.363 --> 01:14:56.244]  Criminal intent.
[01:14:57.185 --> 01:14:57.905]  They're conquerors.
[01:14:58.928 --> 01:15:03.672]  It's all these weird radical Muslims, weirdo groups, pedophile groups, NAMBLA at the UN.
[01:15:04.092 --> 01:15:04.813]  They're taking over.
[01:15:04.873 --> 01:15:16.982]  So, we've got a three and a half minute video, but let's play just the short, one minute long boil down of this, and then have O'Keefe break it down for us and talk about election 2016, where he sees it all going and more.
[01:15:17.022 --> 01:15:18.403]  But here's part of that report.
[01:15:22.555 --> 01:15:26.936]  I'm not one of the transgender people.
[01:15:27.296 --> 01:15:28.136]  I do it for the women.
[01:15:28.236 --> 01:15:31.277]  Okay.
[01:15:31.377 --> 01:15:32.837]  I like being in the guy's bathroom.
[01:15:33.138 --> 01:15:34.578]  There's guys in there.
[01:15:34.678 --> 01:15:34.938]  Yeah.
[01:15:36.018 --> 01:15:36.258]  Yeah.
[01:15:36.758 --> 01:15:37.339]  I like guys.
[01:15:37.419 --> 01:15:38.519]  Is it supposed to turn on?
[01:15:40.739 --> 01:15:41.219]  Yeah.
[01:15:41.339 --> 01:15:42.940]  The better or worse bit of a fetish?
[01:15:43.420 --> 01:15:44.500]  Are you familiar with Snapchat?
[01:15:44.520 --> 01:15:47.001]  You know, I'll like take a snap in the bathroom.
[01:15:47.021 --> 01:15:48.921]  My friend's like, oh my god, you're so gross.
[01:15:49.981 --> 01:15:51.682]  So I can be a little bit bad.
[01:15:52.566 --> 01:15:55.367]  It sort of pushes the envelope.
[01:16:15.014 --> 01:16:19.717]  Alright, now, that audio may not transfer too good over AM, but it transfers pretty clear on FM and the Internet.
[01:16:20.017 --> 01:16:21.498]  But to go over it, it's James O'Keefe.
[01:16:21.978 --> 01:16:32.225]  The President's big issue now is North Carolina saying, we're not going to have 6'5 men that self-identify as a 5-year-old girl, you know, in the bathroom with your daughter.
[01:16:32.765 --> 01:16:33.986]  This is now the ultimate issue.
[01:16:34.026 --> 01:16:36.848]  The feds are threatening civil rights lawsuits, arrests.
[01:16:36.948 --> 01:16:37.908]  That's in the news today.
[01:16:38.969 --> 01:16:46.993]  While they're bringing in hundreds of thousands of people that say they want to put a beekeeper suit over your wife and daughter's head, I mean, this is crazy town.
[01:16:47.394 --> 01:16:55.278]  And then to watch these university officials kind of giggle and laugh about taking photos of people going to the bathroom, which is a whole liberal, perv universe.
[01:16:55.758 --> 01:16:57.239]  This is all just a bunch of pervs.
[01:16:58.099 --> 01:17:01.703]  In my view, that want to get laws passed to be able to do whatever they want.
[01:17:01.743 --> 01:17:04.385]  This is what happens when civilization is about to collapse.
[01:17:04.686 --> 01:17:08.790]  James O'Keefe of Project Veritas, do you agree with that statement or what would you add to it?
[01:17:09.511 --> 01:17:11.712]  I think it's, Alex, thanks for having me on again.
[01:17:11.812 --> 01:17:23.079]  Yeah, the video shows these officials, these North Carolina state officials, because this is all happening in North Carolina, that the gender-neutral bathrooms could actually be used as a cover for sexual predators.
[01:17:23.620 --> 01:17:33.126]  So we went straight to the heart of this whole controversy by sending in people undercover posing as sexual predators, talking to these, not just
[01:17:33.946 --> 01:17:35.067]  Like, low-ranking officials.
[01:17:35.107 --> 01:17:39.409]  These are chancellors of universities, provosts, Title IX officials.
[01:17:39.469 --> 01:17:50.855]  So what we have here is the Title IX federal laws that require people to feel comfortable, require any federal program for receiving federal assistance.
[01:17:51.915 --> 01:17:53.736]  There's no discrimination on the basis of sex.
[01:17:53.796 --> 01:17:57.658]  There's no denial of feeling comfortable.
[01:17:58.058 --> 01:18:01.340]  But we just have these Title IX officials in conflict
[01:18:01.860 --> 01:18:03.222]  With the gender neutral bathrooms.
[01:18:03.262 --> 01:18:04.664]  They cannot coexist.
[01:18:05.164 --> 01:18:09.009]  So we exposed this by going in and saying, hey, we want to use these restrooms.
[01:18:09.029 --> 01:18:11.232]  Of course, we're posing as these predators.
[01:18:11.633 --> 01:18:18.782]  We want to use these female restrooms because it gets us turned on to use them and to take photographs in there.
[01:18:19.202 --> 01:18:19.883]  And they tell us
[01:18:20.484 --> 01:18:22.044]  Don't say anything more about it.
[01:18:22.485 --> 01:18:23.745]  Don't talk about it.
[01:18:24.225 --> 01:18:29.266]  When they should be calling the police, one official actually encourages us to keep doing it creatively.
[01:18:29.286 --> 01:18:32.947]  And then, of course, there's the cover-up of this.
[01:18:33.547 --> 01:18:37.408]  And we'll talk about that, too, because the video came out and then they went scrambling.
[01:18:37.468 --> 01:18:48.471]  So we're trying to get to the heart of the matter here, which is about that these gender-neutral bathrooms have their positive characteristics, but it could be an enabler for sexual predators.
[01:18:49.358 --> 01:18:58.680]  And by the way, I was out at dinner the other night, and my daughters, who are 11 and 8, wanted me to go to the bathroom with them, which they hadn't done in years.
[01:19:00.360 --> 01:19:08.902]  And they pointed at the bathrooms, you know, walk with them, because they could see them, and they could see that it said gender-neutral, and here in Austin they'd just done it.
[01:19:09.482 --> 01:19:10.482]  There wasn't a choice.
[01:19:11.122 --> 01:19:14.483]  And then I went, well, guys, that's okay, I think that's a single-person bathroom.
[01:19:14.883 --> 01:19:16.003]  I went and looked, it wasn't.
[01:19:17.478 --> 01:19:18.999]  I mean, this is crazy town!
[01:19:20.140 --> 01:19:20.961]  What they've done!
[01:19:22.702 --> 01:19:27.145]  In the video, it's both, you know, enlightening, enraging, and funny.
[01:19:27.745 --> 01:19:43.396]  And funny in a dark way, because in the video, you know, I was in there, I was actually doing this hidden camera work this time, and I said to the official, I said, well, there have been some Snapchat photographs that were taken in these women's bathrooms, and she said, oh really?
[01:19:43.516 --> 01:19:44.037]  And I said,
[01:19:44.517 --> 01:19:45.938]  Well, they self-destruct, don't they?
[01:19:45.978 --> 01:19:49.020]  They disappear after a few minutes or after a few hours.
[01:19:49.120 --> 01:19:50.921]  And she said, well, they're on some server somewhere.
[01:19:51.322 --> 01:19:54.884]  And I said, I hope they self-destruct, because otherwise I'm going to get in trouble.
[01:19:55.344 --> 01:19:58.226]  And she says, well, don't say she covers her ears.
[01:19:58.266 --> 01:19:59.287]  Don't tell me anything else.
[01:19:59.867 --> 01:20:13.634]  When the state laws and the federal laws says that that's exactly what she's supposed to do, but she doesn't want this incident to get in the way of a broader desire, which is to keep the status quo, keep these restrooms being used.
[01:20:13.654 --> 01:20:15.135]  Sure, well let's expand on that though.
[01:20:16.181 --> 01:20:28.067]  This is about taking all of our other liberties, all of our other freedoms in this country, the private Federal Reserve, the banker bailouts, the NSA spying, the open borders, the lawlessness, and giving us these new little weird rights that never existed.
[01:20:28.348 --> 01:20:34.671]  It's a giant joke on us, but I didn't realize that this has become a huge issue in schools and culture.
[01:20:35.031 --> 01:20:42.415]  I hadn't talked to my daughters about this, and there I was suddenly in a normal supposed restaurant, and they've changed it now, and
[01:20:45.632 --> 01:20:47.813]  My children were concerned and scared.
[01:20:48.673 --> 01:20:49.513]  I mean, I'll say where I was.
[01:20:49.553 --> 01:20:50.974]  I was at a cheesecake factory, folks.
[01:20:51.954 --> 01:20:54.135]  I mean, it's just, it's actually affecting me now.
[01:20:54.215 --> 01:20:54.975]  I can't believe it.
[01:20:55.215 --> 01:20:56.215]  And they're scared.
[01:20:56.836 --> 01:20:58.836]  They don't want to be in a bathroom with strange men.
[01:20:59.516 --> 01:20:59.917]  I get it.
[01:21:00.097 --> 01:21:00.797]  I don't really like...
[01:21:01.517 --> 01:21:05.339]  I always go in a communal bathroom and go, oh good, there's nobody in here, you know?
[01:21:05.699 --> 01:21:08.981]  I don't like being around other men, quite frankly, you know, with their pants off or whatever.
[01:21:09.241 --> 01:21:10.041]  I mean, I'll just be honest.
[01:21:10.321 --> 01:21:11.162]  Or women, for that matter.
[01:21:11.362 --> 01:21:12.342]  It's not my wife or whatever.
[01:21:12.362 --> 01:21:13.423]  It's just, it's creepy.
[01:21:13.683 --> 01:21:15.004]  Whatever happened to privacy?
[01:21:15.204 --> 01:21:19.806]  In the old Soviet Union, they only took, you know, your wages away and made you work as a slave.
[01:21:20.066 --> 01:21:23.688]  You could at least go home and be a man, be a woman, have kids, and just be normal.
[01:21:24.088 --> 01:21:25.008]  What is happening here?
[01:21:25.048 --> 01:21:26.309]  These people are trying to conquer us.
[01:21:26.549 --> 01:21:27.950]  What's behind this, James O'Keefe?
[01:21:28.690 --> 01:21:31.011]  Well, that's a great question.
[01:21:32.672 --> 01:21:33.753]  It's a broader question.
[01:21:34.413 --> 01:21:40.557]  I genuinely think that you're seeing the collision of two different competing philosophies.
[01:21:41.117 --> 01:21:56.446]  And one of those philosophies, like Title IX, which is a controversial program, it says that no person in the United States shall, on the basis of sex, be excluded in participation of, or denied the benefits of, or subjected to discrimination under any education program or activity.
[01:21:56.926 --> 01:22:08.018]  And these Title IX philosophies have become so pushed upon these universities and these organizations, and now you're seeing the conflict.
[01:22:08.198 --> 01:22:17.508]  Now you're seeing people want to do nefarious things, sneak into other restrooms, become predators, and they're not able to coexist.
[01:22:18.169 --> 01:22:22.174]  So, and we did it with Lucky Charms, trying to ban Lucky Charms because they're racist.
[01:22:22.394 --> 01:22:26.479]  We've done it with campus speech codes, with the campus being banned at Yale University.
[01:22:26.519 --> 01:22:28.922]  They banned the Halloween costumes.
[01:22:28.962 --> 01:22:30.624]  I mean, ten years ago this was irony.
[01:22:31.065 --> 01:22:32.186]  Now it's become reality.
[01:22:32.226 --> 01:22:36.992]  And they fired the professors that spoke up, who were liberals, and said we should allow costume parties.
[01:22:37.571 --> 01:22:47.916]  We had a student at Yale University walk up to, this was on video, walk up to one of the deans and say, and she said to the dean, she says, your job is to create a safe space here.
[01:22:48.357 --> 01:22:49.938]  And the dean says, I don't agree with you.
[01:22:50.298 --> 01:22:53.599]  To his credit, he said, the job is the marketplace of ideas.
[01:22:53.920 --> 01:22:57.962]  And she screamed at him and she cursed at him and she said, you should be fired.
[01:22:58.022 --> 01:23:00.623]  And eventually, one of those people did resign.
[01:23:01.023 --> 01:23:01.684]  So you have
[01:23:03.204 --> 01:23:18.392]  Everything's coming to a boiling point in this country, and there are competing philosophies, some of which are on the left competing with each other about safe spaces, about the ability to peep in restrooms, and we're just trying to expose it, we're trying to visualize it for people, and we're trying to acknowledge it.
[01:23:18.432 --> 01:23:19.992]  Now Alex, after we did this report,
[01:23:21.793 --> 01:23:23.895]  We wanted to know what was happening afterwards.
[01:23:23.915 --> 01:23:25.076]  We called them for comment.
[01:23:25.116 --> 01:23:27.898]  This is the Chancellor of UNC.
[01:23:28.358 --> 01:23:29.759]  And they submitted a police report.
[01:23:30.000 --> 01:23:32.001]  But the interesting thing about the police report is, guess what?
[01:23:32.502 --> 01:23:34.843]  It was filed after the fact.
[01:23:35.544 --> 01:23:38.086]  And we know that it was filed after the fact.
[01:23:38.146 --> 01:23:40.368]  So they're trying to cover up their tracks, which is, you know...
[01:23:40.988 --> 01:23:41.829]  Just another story.
[01:23:41.849 --> 01:23:47.172]  Oh, I'm surprised they didn't try to charge you and say that covering is what's evil, but at least they're trying to act like they're doing the right thing.
[01:23:47.432 --> 01:23:51.614]  Well, what about the pro-life groups that clearly have been exposing some criminal activity?
[01:23:51.854 --> 01:23:53.315]  We now know about the body parts sales.
[01:23:53.335 --> 01:23:55.657]  The women aren't being told.
[01:23:55.677 --> 01:23:57.138]  They're doing a national service.
[01:23:57.398 --> 01:24:00.960]  They're getting arrested from California to Texas in SWAT team raids.
[01:24:01.638 --> 01:24:03.518]  So David Daleiden is the one that you're talking about.
[01:24:03.598 --> 01:24:04.379]  He's a friend of mine.
[01:24:04.419 --> 01:24:05.319]  He's a colleague of mine.
[01:24:05.359 --> 01:24:08.460]  And he was actually he was raided.
[01:24:08.540 --> 01:24:14.781]  His home was raided three weeks ago by the California Attorney General's office while he was while he was taking his trash out during lunchtime.
[01:24:14.801 --> 01:24:19.122]  And I think they had a dozen state attorney general.
[01:24:19.142 --> 01:24:23.843]  This is Kamala Harris, who's running for Senate in California, who's currently the attorney general of California.
[01:24:24.323 --> 01:24:27.804]  Twelve state agents to raid.
[01:24:27.844 --> 01:24:29.225]  They took all of his video cameras.
[01:24:29.245 --> 01:24:30.305]  They took all of his equipment.
[01:24:32.066 --> 01:24:37.471]  And they want to try to prosecute this citizen journalist for exposing Planned Parenthood.
[01:24:37.491 --> 01:24:38.271]  It's all political.
[01:24:38.371 --> 01:24:39.572]  It's all political.
[01:24:39.612 --> 01:24:48.720]  And just so that your audience knows, Veritas, my organization, does have an ongoing undercover investigation into the California Attorney General's office.
[01:24:49.261 --> 01:24:54.825]  Because it's absolutely unconscionable that these agents are playing politics.
[01:24:54.865 --> 01:24:58.929]  Their job is to enforce law, not to retaliate against people for their
[01:24:59.589 --> 01:25:01.291]  I agree, it's not just there.
[01:25:01.351 --> 01:25:06.555]  They had folks down in Houston pull an indictment of journalists.
[01:25:06.575 --> 01:25:08.457]  This is getting dangerous for the free press.
[01:25:08.497 --> 01:25:16.984]  Yeah, Texas is perceived by people in the Northeast to be a conservative place, but you guys have Travis County, you have Harris County, you have kangaroo courts.
[01:25:17.705 --> 01:25:31.016]  And you have people who do political things, and the only solution that I can see is for people like us, as I've said on your program many, many times, to, you know, it's not about pitchforks anymore, it's about video cameras.
[01:25:31.517 --> 01:25:35.100]  I agree, and the answer is more people doing what you've done, what we do.
[01:25:35.740 --> 01:25:41.384]  I mean, I say get more people out of these Trump rallies to show how horrible these anti-free speech social justice warriors are.
[01:25:41.684 --> 01:25:43.205]  We're not trying to run a monopoly of this.
[01:25:43.525 --> 01:25:44.466]  You've written a book about it.
[01:25:44.846 --> 01:25:46.027]  You try to teach folks how to do it.
[01:25:46.127 --> 01:25:46.748]  We try to do it.
[01:25:47.108 --> 01:25:53.312]  We just want more citizen journalists out there because, James O'Keefe, I think it's fair to say we are starting to win.
[01:25:53.332 --> 01:25:59.777]  I think people are waking up all over the world, not just here, but the establishment is striking back trying to censor free speech.
[01:26:00.882 --> 01:26:10.844]  Yes, and that is the fight that I fight, is they're trying to say that if CBS News or NBC News shows up with a camera, they're not going to arrest you or detain you.
[01:26:10.864 --> 01:26:16.245]  They're not going to try to destroy you, but if we do that, they're going to try to censor us and discredit us.
[01:26:16.565 --> 01:26:17.565]  You asked about the election.
[01:26:17.605 --> 01:26:21.566]  I'd love to give you my thoughts about what's happening in 2016.
[01:26:22.266 --> 01:26:26.127]  I read this book by Charles Murray called By the People, and I think he says it best
[01:26:26.587 --> 01:26:34.891]  That our government and country is in such an advanced state of sclerosis and that solutions are far beyond the reach of the electoral and legislative process.
[01:26:34.931 --> 01:26:36.492]  And maybe Trump will change things.
[01:26:36.812 --> 01:26:39.254]  Maybe this election, someone who gets in will change things.
[01:26:39.314 --> 01:26:47.798]  But I do think that the restoration of a great, lasting and moral society is not going to happen by getting people on the courts or even winning elections.
[01:26:47.898 --> 01:26:51.460]  The citizenry must create new counterweights.
[01:26:52.020 --> 01:26:54.444]  And those counterweights include the types of things that we're doing.
[01:26:55.145 --> 01:26:58.529]  You have to hold the people accountable at the local level.
[01:26:58.870 --> 01:27:07.622]  And if it's a UNC provost who's covering, filing false police reports because their people were advising a sexual, a would-be sexual predator,
[01:27:08.303 --> 01:27:10.724]  Whatever the case is, we have to create the counterweights.
[01:27:11.224 --> 01:27:15.766]  We can't put all of our faith in government or in the legislative process.
[01:27:15.846 --> 01:27:16.286]  I totally agree.
[01:27:16.306 --> 01:27:27.611]  We shouldn't bet everything on Trump, but his populism and his popularity and the mainstream media throwing everything they've got against him and it backfiring is a good gauge and a bellwether of just how discredited these people are.
[01:27:27.631 --> 01:27:31.213]  I mean, the AP poll, 6% of Americans trust the mainstream media.
[01:27:31.673 --> 01:27:33.554]  That's a stick a fork in it.
[01:27:33.714 --> 01:27:34.074]  It's done.
[01:27:35.154 --> 01:27:42.421]  I will tell you that, you know, anyone who's saying that Trump can't beat Hillary, I mean, these people have been wrong about every single thing.
[01:27:42.461 --> 01:27:49.488]  They have lied, and in most cases they have a fiduciary interest, they have a stake in the game, they have skin in the game.
[01:27:49.548 --> 01:27:52.311]  Oh, Trump's gonna destroy her because he's gonna take the gloves off!
[01:27:53.123 --> 01:28:00.312]  Right, but the people have been wrong, and you're seeing the articles come out now, and the Washington Post, Chris DeLaysa, come out and says, I've been wrong.
[01:28:00.372 --> 01:28:04.658]  They're printing their mea culpa's, but they've been wrong about every single thing.
[01:28:04.758 --> 01:28:05.719]  Do not believe them.
[01:28:05.839 --> 01:28:10.826]  Whatever advice they give you in the media about what's going to happen here, it's probably the exact opposite.
[01:28:11.306 --> 01:28:13.807]  And I do think that people are waking up, Alex.
[01:28:13.907 --> 01:28:15.907]  I do think that people are really upset.
[01:28:16.607 --> 01:28:20.128]  And our job is to keep them informed.
[01:28:20.888 --> 01:28:26.750]  And I'm happy that people are finally able to not trust the information that they're given.
[01:28:26.850 --> 01:28:33.631]  And this whole process, this whole election, has made people distrust these folks even more.
[01:28:34.171 --> 01:28:37.012]  And as much as we can do to inform the people directly, that's what we've got to do.
[01:28:37.705 --> 01:28:38.426]  I agree with you.
[01:28:38.826 --> 01:28:40.587]  What else are you working on that's big?
[01:28:40.667 --> 01:28:41.668]  When's the next shoe drop?
[01:28:42.528 --> 01:28:43.089]  Absolutely.
[01:28:43.109 --> 01:28:45.531]  Well, we have a lot of things going on.
[01:28:45.551 --> 01:28:49.834]  We're saving our best stuff for August, September, because that's when the general election is.
[01:28:49.854 --> 01:28:57.459]  But we do have people, I've said this publicly, I'll say it again, we have people who are employed by Hillary Clinton's campaign.
[01:28:58.720 --> 01:28:59.800]  Paid by her campaign.
[01:29:00.061 --> 01:29:05.685]  People who are working with me, citizen journalists, who have gotten jobs with Hillary Clinton's campaign.
[01:29:06.505 --> 01:29:11.649]  And they record eight hours of video and they send it back to our servers.
[01:29:11.689 --> 01:29:16.473]  We also have servers in Westchester, New York, the Project Veritas server, not in Chappaqua.
[01:29:16.493 --> 01:29:17.394]  You've got a lot of guns.
[01:29:18.574 --> 01:29:28.082]  And we have these people reporting and showing the infighting in the campaign, what they're talking about in the campaign, and that will all be released come August and September.
[01:29:28.661 --> 01:29:31.103]  I tell you, you're a man's man, and so is your crew.
[01:29:31.123 --> 01:29:32.825]  A lot of amazing people there.
[01:29:32.845 --> 01:29:39.611]  Mr. O'Keefe, we want to absolutely just say Godspeed, ProjectVeritas.com, and hey, you know we love you.
[01:29:39.631 --> 01:29:44.976]  Please give us some of those exclusives, or at least come on the day all that breaks, and I hope that you're out there working so hard.
[01:29:45.316 --> 01:29:46.537]  Thank you for all the hard work, sir.
[01:29:47.338 --> 01:29:47.939]  Will do, thank you.
[01:29:48.567 --> 01:29:49.848]  Yeah, I mean, I really admire that guy.
[01:29:49.868 --> 01:29:53.673]  That guy is a rock star, superstar when it comes to journalism and defending freedom.
[01:29:53.993 --> 01:29:56.115]  He's an example for us all, says his organization.
[01:29:56.155 --> 01:29:57.357]  Pray for him, support him.
[01:29:57.837 --> 01:29:59.299]  I'm Alex Jones, InfoWars.com.
[01:29:59.319 --> 01:30:02.282]  We're on the march, the empire's on the run.
[01:30:03.203 --> 01:30:05.886]  Alex Jones and the GCN Radio Network.
[01:30:10.669 --> 01:30:12.049]  Clean, pure drinking water.
[01:30:12.330 --> 01:30:13.630]  You can't survive without it.
[01:30:13.810 --> 01:30:14.710]  But where do you get it?
[01:30:15.010 --> 01:30:20.792]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[01:30:21.012 --> 01:30:26.734]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:30:26.914 --> 01:30:43.779]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:30:44.179 --> 01:30:46.301]  Filter capacity up to 5,000 gallons.
[01:30:46.661 --> 01:30:47.862]  Stainless steel construction.
[01:30:48.123 --> 01:30:48.903]  Easy assembly.
[01:30:49.184 --> 01:30:49.804]  Low maintenance.
[01:30:50.084 --> 01:30:51.906]  Replacement filters are simple to install.
[01:30:52.186 --> 01:30:59.292]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[01:30:59.473 --> 01:31:04.477]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[01:31:04.657 --> 01:31:07.239]  Go to InfowarsStore.com or call 888-253-3139.
[01:31:10.382 --> 01:31:11.882]  My name is Alex Jones.
[01:31:12.303 --> 01:31:18.244]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[01:31:18.464 --> 01:31:32.628]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running 6 miles every other day, swimming 2-3 miles a couple times a week, and lifting weights
[01:31:33.208 --> 01:31:35.150]  We're focusing on fighting the globalists.
[01:31:35.550 --> 01:31:43.356]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[01:31:43.576 --> 01:31:50.721]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[01:31:51.002 --> 01:31:56.726]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[01:31:56.866 --> 01:32:03.031]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[01:32:03.271 --> 01:32:08.296]  Check them out today at Infowarslife.com or give our crew a call at 888-253-3139.
[01:32:08.316 --> 01:32:12.060]  Joe Biggs here with Infowars.com.
[01:32:12.240 --> 01:32:18.086]  Report authorities buying more riot control gear over fear of civil unrest sweeping America.
[01:32:18.206 --> 01:32:28.812]  The report published by Sandler Research says that the demand for surveillance drones is driving growth, with new systems that deploy water cannons to handle large crowds and demonstrations also proving popular.
[01:32:28.892 --> 01:32:33.835]  Riot control systems are expected to generate revenues of over 3.5 billion U.S.
[01:32:33.895 --> 01:32:47.062]  dollars by the end of 2020, with North America being one of the primary growth areas for upgraded weapons due to militarization of the police department and other law enforcement agencies in the aftermath of the 2014 riots in Ferguson, Missouri.
[01:32:47.202 --> 01:32:56.510]  Purchases of long-range acoustic devices, whips, batons, and armored vehicles that will be used to disperse, control, and arrest people involved in riots and protests are also on the rise.
[01:32:56.690 --> 01:33:07.039]  In Cleveland, they are ramping up their riot gear as well in the aftermath of what they think will be an extremely volatile situation at this year's Republican National Convention.
[01:33:07.159 --> 01:33:09.421]  This has been Joe Biggs with Infowars.com.
[01:33:15.737 --> 01:33:17.017]  Strange days have found us.
[01:33:17.397 --> 01:33:19.118]  Strange days are here.
[01:33:20.018 --> 01:33:25.119]  From the front lines of the information war, it's Alex Jones.
[01:33:25.860 --> 01:33:31.221]  Strange days have found us.
[01:33:31.421 --> 01:33:32.541]  Strange days are here.
[01:33:33.461 --> 01:33:39.863]  Strange days have dragged us down.
[01:33:39.883 --> 01:33:42.704]  They're going to destroy us.
[01:33:49.028 --> 01:34:00.974]  Camille Paglia, who is a true intellectual, I've read several of her books, a lot of her writings, she actually knows what she's talking about, has come out and said, Hillary wants to make this all about sexism and all about women versus men.
[01:34:01.294 --> 01:34:06.136]  This is about elitism and bitter garbage and insiders playing games.
[01:34:06.476 --> 01:34:07.597]  Donald Trump's the way to go.
[01:34:10.458 --> 01:34:15.160]  It doesn't matter that Donald Trump hires more women for executive positions than any other executive out there.
[01:34:15.400 --> 01:34:16.341]  They've done studies on it.
[01:34:18.490 --> 01:34:23.012]  It doesn't matter that he doesn't have any history of abusing women or anything wrong.
[01:34:23.272 --> 01:34:24.492]  They're just going to say he does!
[01:34:26.813 --> 01:34:31.154]  While they defend radical Islam that turns women into total slaves.
[01:34:32.415 --> 01:34:35.456]  It's not about sexism, she says.
[01:34:38.517 --> 01:34:39.597]  Camille Paglia on Trump.
[01:34:39.617 --> 01:34:43.778]  Hillary's restless bitterness and the end of elites.
[01:34:44.239 --> 01:34:45.019]  A salon story.
[01:34:46.872 --> 01:34:51.953]  It's good to see Salon get it right occasionally instead of promoting pedophilia like they've done in five different articles the last year.
[01:34:51.973 --> 01:34:53.253]  I mean, give me a break.
[01:34:54.013 --> 01:34:55.453]  Keep your hands off my kids.
[01:34:57.354 --> 01:35:01.194]  Keep your hands off their minds, too, you control freaks.
[01:35:02.075 --> 01:35:05.455]  All right, I want to get into the coal mine news that I mentioned because it's not about coal miners.
[01:35:05.575 --> 01:35:07.135]  It is, but it's bigger than that.
[01:35:07.956 --> 01:35:12.516]  It's about screwing everyone over in their face.
[01:35:12.576 --> 01:35:15.917]  But first, I want to get into
[01:35:17.998 --> 01:35:28.202]  The Republican establishment saying the Republican Party's dead because of Trump, and Herbert Walker Bush and George Bush saying they won't be part of the party because Trump said it.
[01:35:28.322 --> 01:35:30.503]  I mean, they say he's discredited it.
[01:35:31.023 --> 01:35:42.088]  These are the people bringing in world government, de-industrializing us, that launched all the evil wars that have been rejected, just like we reject Hillary.
[01:35:42.488 --> 01:35:45.009]  We don't reject Jeb Bush because he's a white guy.
[01:35:46.988 --> 01:35:52.532]  We're rejecting because he's from a serial killer family and a con man.
[01:35:55.755 --> 01:35:56.555]  Same thing with Hillary.
[01:35:58.917 --> 01:36:04.061]  And I shouldn't have to sit up here and say I'm against Hillary because she's an evil person, not because she's a woman.
[01:36:04.441 --> 01:36:07.564]  I would vote for a good woman so quick I'd make my head spin.
[01:36:07.724 --> 01:36:09.325]  I mean, it's not even debatable.
[01:36:10.406 --> 01:36:10.866]  As if the
[01:36:11.986 --> 01:36:15.487]  Grassroots birthplace of the Renaissance is against women.
[01:36:15.847 --> 01:36:23.948]  How did the West ever get to the point where we think we are the creators of all oppression?
[01:36:26.209 --> 01:36:29.429]  Because we are where so much of the liberty movement started worldwide.
[01:36:29.809 --> 01:36:33.090]  We are the prime suspects because we're so liberal.
[01:36:33.830 --> 01:36:35.190]  We love our daughters so much.
[01:36:36.471 --> 01:36:37.711]  We love our sons so much.
[01:36:37.751 --> 01:36:38.671]  We love everybody.
[01:36:40.131 --> 01:36:44.434]  That at least was a large vein of Renaissance culture in the last 500 years.
[01:36:48.957 --> 01:36:53.621]  And you just compare the history of the West in the last 500 years to everybody else.
[01:36:54.938 --> 01:36:56.720]  And it is enlightened!
[01:36:56.860 --> 01:36:57.962]  It is awesome!
[01:36:58.823 --> 01:36:59.324]  Compared!
[01:36:59.604 --> 01:37:01.266]  It's got a lot of problems.
[01:37:01.947 --> 01:37:06.612]  But it's where the world learned to start trying to truly progress.
[01:37:07.093 --> 01:37:13.301]  And then you get this leftist, communist, globalist, anti-human garbage saying they're the progressives?
[01:37:20.636 --> 01:37:21.657]  It's scary.
