[00:00:20.245 --> 00:00:21.486]  It's November 22nd, 2016.
[00:24:41.362 --> 00:24:49.630]  He's been arrested and charged with five counts of vehicular homicide, reckless endangerment, and reckless driving according to the arrest affidavit.
[00:24:50.291 --> 00:24:53.734]  Now the thing that makes this more interesting from our perspective
[00:24:54.736 --> 00:25:06.409]  Is that a parent who had three children on the school bus, one of whom died, said she was told by her children that the bus driver said, before the crash, are you all ready to die?
[00:25:06.449 --> 00:25:10.914]  The mother who had three children on the bus, including one killed, told a reporter with WWJ-TV,
[00:25:11.594 --> 00:25:14.496]  That the bus driver spoke to the children moments before the collision.
[00:25:14.836 --> 00:25:19.818]  The mother says moments before the crash, the bus driver said something to the effect, are you all ready to die?
[00:25:19.838 --> 00:25:23.740]  Now of course, we're going to have video that has been taken from the school bus.
[00:25:23.760 --> 00:25:24.861]  There's a camera recording.
[00:25:24.921 --> 00:25:25.921]  I don't know if it has audio.
[00:25:26.642 --> 00:25:28.583]  There's going to be an analysis of this.
[00:25:28.643 --> 00:25:31.965]  They're testing him for drugs to see if he has drugs.
[00:25:32.045 --> 00:25:34.626]  We also don't have any information on his background.
[00:25:35.026 --> 00:25:41.228]  It was a clear day, there were no other vehicles involved, and at the very least he was speeding excessively.
[00:25:41.669 --> 00:25:51.532]  But that comment, if true, as reported by those children, I don't know why they would make that up to the mother, that looks like it may have been a deliberate killing.
[00:25:52.493 --> 00:25:54.053]  And so that brings up some questions.
[00:25:54.133 --> 00:25:58.475]  What if these children had been killed by a gun instead of by a school bus?
[00:25:59.366 --> 00:26:04.108]  I mean, we would have had calls for background checks, even though he may have had a background check.
[00:26:04.328 --> 00:26:12.050]  We see that many times there are shootings by individuals who have passed all the background checks and there was no indication prior to that that there were any problems for guns.
[00:26:12.110 --> 00:26:14.971]  And yet they say, no, no, we need to have more background checks for guns.
[00:26:14.991 --> 00:26:17.292]  Well, maybe we need to have more background checks for bus drivers.
[00:26:17.692 --> 00:26:23.674]  Maybe you can't find all of these cases with a background check, whether it's a gun or whether it is a vehicle.
[00:26:23.874 --> 00:26:25.015]  The other thing they'd be calling for
[00:26:26.101 --> 00:26:33.343]  Is maybe limiting the number of children on a bus, you know, just like they say we've got to limit the number of magazine bullets in a magazine for a gun.
[00:26:33.763 --> 00:26:38.065]  Maybe they should say we need to limit the number of children on a bus or 35 children on this bus.
[00:26:38.645 --> 00:26:42.506]  You know, the other thing they might do is they might just call for school buses to be banned altogether.
[00:26:43.426 --> 00:26:44.987]  That would be the reaction of some people, wouldn't it?
[00:26:45.819 --> 00:26:54.125]  Now the other thing that we should look at is how the government has repeatedly exacerbated tragedies when families have been involved.
[00:26:54.605 --> 00:26:55.766]  And we all know stories about this.
[00:26:55.806 --> 00:27:05.992]  You don't have to look very far to see cases where children of parents who have been involved in an accident, the parents are charged with reckless child endangerment or other charges.
[00:27:06.593 --> 00:27:09.155]  They then get CPS to come and take their children away.
[00:27:09.195 --> 00:27:10.435]  In many cases they're jailed.
[00:27:10.475 --> 00:27:11.636]  They face heavy fines.
[00:27:12.217 --> 00:27:13.598]  And if the children die,
[00:27:14.358 --> 00:27:15.698]  They can be charged with homicide.
[00:27:15.718 --> 00:27:19.340]  As a matter of fact, we've got a case like that in Chattanooga, Tennessee itself.
[00:27:19.380 --> 00:27:28.962]  But first, let's take a look at the child safety advocates pontificating after the fact when children die in an accident, okay?
[00:27:29.163 --> 00:27:30.343]  And this is a case here.
[00:27:30.723 --> 00:27:32.804]  Where there wasn't even any children killed.
[00:27:32.824 --> 00:27:34.644]  This is Delray Beach, Florida, 2012.
[00:27:35.505 --> 00:27:44.688]  They say a day after a couple was arrested on child neglect charges for not having their five children properly restrained in their car, a child safety advocate says, this is all too common.
[00:27:44.728 --> 00:27:47.549]  We need to have more police on the road looking at people.
[00:27:47.589 --> 00:27:53.751]  Now understand, in this particular case, these are five children, not 35 children that are unrestrained on a school bus.
[00:27:54.191 --> 00:27:56.712]  There are no seatbelts on school buses.
[00:27:57.392 --> 00:28:01.995]  They don't do anything to protect the children except pass laws and paint the bus yellow.
[00:28:02.235 --> 00:28:03.396]  But that does it for us, doesn't it?
[00:28:03.556 --> 00:28:04.877]  Just painting the vehicle yellow.
[00:28:05.398 --> 00:28:10.721]  Maybe we should paint all of our vehicles yellow so that none of us have any car accidents, if that works.
[00:28:11.242 --> 00:28:13.984]  But look at this particular case, because I think it tells us a lot about this.
[00:28:14.764 --> 00:28:27.330]  The person who's a child advocate says, children where, if they're in a rear-facing car seat, you know, these kids should be in a rear-facing car seat, there's a 71% safer than a forward-facing car seat, where they're 54% safer.
[00:28:27.370 --> 00:28:27.931]  Well, that's fine.
[00:28:28.351 --> 00:28:32.293]  Maybe one of the things we could do on school buses is at least turn the seats around.
[00:28:32.873 --> 00:28:43.725]  We don't even do that on airplanes, even though you'll be safer in an airplane, in most cases you can't see where you're going, you'd be safer in an airplane if the seats were around backwards, but the speeds with an airplane are so high that it may not make a difference.
[00:28:43.765 --> 00:28:46.588]  It might make a real difference in a school bus, but they don't do anything.
[00:28:46.948 --> 00:28:53.415]  There's nothing to protect against whiplash, there's no headrests, there's no seatbelts, there's nothing to even pad the buses.
[00:28:54.096 --> 00:28:59.578]  They say, nevertheless, they say in this article, regardless of the situation, it's the law.
[00:28:59.758 --> 00:29:00.898]  And we see that over and over again.
[00:29:00.958 --> 00:29:02.239]  Let's make an example of these people.
[00:29:02.339 --> 00:29:02.859]  It's the law.
[00:29:02.899 --> 00:29:04.239]  We have to teach them a lesson.
[00:29:04.459 --> 00:29:06.140]  And so what they did was they took the parents.
[00:29:06.840 --> 00:29:11.201]  They're facing five counts each of child neglect for failing to secure their five children.
[00:29:11.882 --> 00:29:18.964]  And they are being held in jail on a $4,500 and a $3,000 bond, respectively, for these two parents.
[00:29:19.504 --> 00:29:22.185]  The Department of Children and Families took their children away.
[00:29:22.985 --> 00:29:28.249]  Ranging in age from six months to five years old, they put them with their aunt and their parents after being arrested on Thursday.
[00:29:28.289 --> 00:29:37.775]  In many cases, after these charges are filed, they will come and you'll get a visit from CPS, depending on CPS and how aggressive they are in your particular jurisdiction.
[00:29:38.436 --> 00:29:41.998]  Now, the interesting thing about this as well is that they were not involved in an accident.
[00:29:42.078 --> 00:29:45.441]  This was a checkpoint that they had set up.
[00:29:46.269 --> 00:29:49.030]  So they were looking for this type of thing, and they found it.
[00:29:49.470 --> 00:29:51.090]  Because, you know, it's the law.
[00:29:51.610 --> 00:29:56.972]  But let's take an example here in Chattanooga, the same place where this tragedy with the school bus just happened.
[00:29:56.992 --> 00:29:57.612]  Let's go back to 1998.
[00:29:59.433 --> 00:30:00.213]  Same town.
[00:30:00.733 --> 00:30:04.374]  Mother found guilty of homicide for not using a car seat.
[00:30:05.054 --> 00:30:06.996]  This woman was Latrice Jones.
[00:30:07.177 --> 00:30:08.778]  She was 20 years old at the time.
[00:30:08.838 --> 00:30:11.882]  She had her two-year-old son sitting in her lap.
[00:30:12.483 --> 00:30:17.128]  Now, she was in a rental car that was being driven by her sister, who was taking her to a job application.
[00:30:17.668 --> 00:30:20.952]  They were struck by a second vehicle that was found to be at fault.
[00:30:21.738 --> 00:30:24.739]  That vehicle driver was charged with a misdemeanor.
[00:30:25.240 --> 00:30:43.428]  However, the woman driving the car, who was the aunt of the child who died, was charged with homicide, and the mother was charged with homicide, because in this rental car, she did not read the warnings about having a child in the front seat, and the child was killed by the airbag.
[00:30:43.448 --> 00:30:45.209]  Of course, the airbag is not the problem.
[00:30:46.195 --> 00:30:47.416]  The parents are the problem.
[00:30:48.036 --> 00:31:00.605]  And think about the fact that right now we have millions of vehicles throughout the world, actually, but just here in the United States that are under recall for Takata airbags that can go off like a loaded gun and shoot metal shards into people.
[00:31:00.625 --> 00:31:02.646]  We've had about 16 people die from that.
[00:31:02.966 --> 00:31:07.369]  While they're under recall, while you're waiting to get that changed, you cannot disconnect it.
[00:31:07.769 --> 00:31:09.991]  That's the insanity of this government.
[00:31:10.331 --> 00:31:15.955]  But in this particular case, she was convicted by a jury of homicide in the same town where we just see this happen.
[00:31:16.576 --> 00:31:17.397]  She was sent to jail.
[00:31:18.077 --> 00:31:18.658]  She appealed.
[00:31:19.399 --> 00:31:20.801]  They rejected her appeal.
[00:31:20.861 --> 00:31:28.330]  She had to take it all the way to the Supreme Court in Tennessee, fighting this for six years before they overturned the conviction.
[00:31:29.192 --> 00:31:31.153]  And we see that happening again and again.
[00:31:31.853 --> 00:31:39.757]  The government doubling down, making things worse for people, and then applying a completely different standard for the things that they do.
[00:31:40.297 --> 00:31:45.359]  Telling us that it is all about safety, when reality is, it's all about the law.
[00:31:45.880 --> 00:31:47.440]  It's about the revenue that they can make.
[00:31:47.720 --> 00:31:49.001]  It's about controlling our lives.
[00:31:49.081 --> 00:31:51.202]  It's about giving them a justification.
[00:31:51.862 --> 00:31:57.088]  For pulling us over, giving us a ticket, and maybe escalating things if something happens.
[00:31:57.609 --> 00:32:01.833]  And that often ends with people being beaten or killed at the roadside.
[00:32:01.873 --> 00:32:05.937]  And of course, this woman had to fight for six years before she could get out.
[00:32:06.678 --> 00:32:07.459]  That is the reality.
[00:32:08.239 --> 00:32:12.002]  Why can't we have some sanity and some perspective in this?
[00:32:12.062 --> 00:32:13.402]  Yes, there are going to be tragedies.
[00:32:13.483 --> 00:32:17.585]  And yes, when somebody does something deliberately, we need to hold them responsible for it.
[00:32:17.605 --> 00:32:24.169]  And so the question is for you, if you have your child in a government school, do you know who's driving your children back and forth every day to school?
[00:32:24.410 --> 00:32:25.210]  Do you know who this person is?
[00:32:25.230 --> 00:32:27.452]  Do you think, do you trust the government to properly vet them?
[00:32:27.692 --> 00:32:32.275]  Do you trust the government to properly vet the teachers so they don't sexually abuse your children?
[00:32:32.675 --> 00:32:35.197]  So that they don't teach them to become communists?
[00:32:35.797 --> 00:32:39.489]  Not if you turn your children over to the government blindly.
[00:32:39.510 --> 00:32:41.596]  For InfoWars.com, I'm David Knight.
[00:33:02.526 --> 00:33:07.990]  This is the answer for your children to totally absorb the multivitamins, the minerals, the amino acids, everything at once.
[00:33:08.530 --> 00:33:09.031]  Unveiled!
[00:33:09.431 --> 00:33:12.493]  Vitamin Mineral Fusion Advanced Multi-Vitamin Formula.
[00:33:13.174 --> 00:33:13.634]  30 servings.
[00:33:13.834 --> 00:33:16.436]  Fruit punch flavor dietary supplement.
[00:33:16.736 --> 00:33:17.797]  It is simply amazing.
[00:33:17.857 --> 00:33:18.818]  Infowarslife.com
[00:33:19.198 --> 00:33:23.600]  There's a million different products like this out there, but they're, you know, they're good in different ways.
[00:33:24.121 --> 00:33:37.227]  But this takes all of the vitamins, all of the essential amino acids, all of the essential compounds and minerals that you need, puts it into something that's great tasting as opposed to like clumpy, gross stuff.
[00:33:37.648 --> 00:33:38.808]  And you can put it in your drink every morning.
[00:33:38.848 --> 00:33:40.029]  I put it in my protein shake.
[00:33:40.649 --> 00:33:46.133]  It is the platinum standard, in my view, of multivitamins in terms of an advanced multi-drink vitamin.
[00:33:46.153 --> 00:33:49.175]  The cleanest, the purest, new stuff had to be invented.
[00:33:49.215 --> 00:33:51.456]  That's why it took this long to even bring us something that's good.
[00:33:52.057 --> 00:33:58.201]  Some companies are gonna take a small amount of vitamins and make it, you know, so there's so much filler, it looks like there's a lot.
[00:33:58.421 --> 00:34:00.783]  This is ultra-concentrated, we're not playing games here.
[00:34:01.143 --> 00:34:03.004]  Okay, this... Well, that's my philosophy, that's your philosophy.
[00:34:03.024 --> 00:34:05.346]  Yeah, this... I wanna... But again, there's some great stuff out there.
[00:34:05.566 --> 00:34:05.726]  Yeah.
[00:34:05.946 --> 00:34:07.447]  And there's other, you know... No, of course.
[00:34:07.707 --> 00:34:10.349]  There's other powders I promote at InfoWarsHealth.com that are excellent.
[00:34:10.669 --> 00:34:11.909]  I mean, there's some good stuff out there.
[00:34:12.070 --> 00:34:19.152]  This is just the very best we can bring you, and when you buy it, you support InfoWars, you support the reporters, you support yourself.
[00:34:20.332 --> 00:34:39.919]  Tell folks about some of these other things that are in this, and why this is just this total, complete package for your body, because, again, we didn't put the synthetic amino acids, we didn't put the synthetic vitamins, we put the plant-based, high-quality, clean, natural ingredients into this.
[00:34:40.447 --> 00:34:41.027]  Yeah, exactly.
[00:34:41.087 --> 00:34:44.228]  So you've got your standard vitamins, vitamin C, vitamin E, the list goes on.
[00:34:44.328 --> 00:34:45.568]  A huge amount of vitamin C, by the way.
[00:34:45.588 --> 00:34:46.168]  Tell folks about that.
[00:34:46.568 --> 00:34:49.088]  A thousand plus percent of your daily value, which is what you need.
[00:34:49.889 --> 00:34:52.589]  Because the, you know, FDA guidelines, we all know about those.
[00:34:53.149 --> 00:34:55.670]  Zinc, magnesium, selenium, L-glutamine.
[00:34:55.910 --> 00:34:59.510]  Each one of these you could go on for about 10 minutes about the benefits of these things.
[00:34:59.930 --> 00:35:03.131]  Alpha lipoic acid, folic acid, calcium, and the list goes on.
[00:35:03.151 --> 00:35:04.691]  34 other ones you can check out.
[00:35:04.891 --> 00:35:06.731]  Go to importslife.com, the label's up there.
[00:35:07.252 --> 00:35:09.552]  You've got the entire ingredients list that you can
[00:35:09.952 --> 00:35:19.939]  Neurotically examined for yourself and just by the way look on the other side too because we're showing people the minerals and things let's look at the vitamins right there old Scott in there I mean it's amazing.
[00:35:19.979 --> 00:35:20.440]  Top left.
[00:35:20.500 --> 00:35:23.862]  Again if you're radio listeners, InfoWars.com forward slash show.
[00:35:24.222 --> 00:35:27.285]  Vitamin A has 4,333% from beta carotene and what's the other source?
[00:35:27.985 --> 00:35:30.707]  I just know that's all the best sources.
[00:35:32.406 --> 00:35:32.806]  Retinol.
[00:35:32.846 --> 00:35:37.328]  So you've also got your vitamin D at a thousand IU, which is a large dose, actually.
[00:35:37.649 --> 00:35:38.049]  And you know what?
[00:35:38.129 --> 00:35:40.290]  Some people could say, well, isn't this competing with the other products?
[00:35:40.530 --> 00:35:41.110]  Well, yeah, you know what?
[00:35:41.150 --> 00:35:48.154]  We could be like some people and just take all the stuff that we sell also at Infowarslife.com and not put any of it, but then it wouldn't be a balanced formula and we're not going to do that.
[00:35:48.474 --> 00:35:53.997]  And it might actually hurt us in the long run to put all the best stuff in here, but that's just the way we got to do it because we can't start thinking like that.
[00:35:54.517 --> 00:35:55.358]  So get them today!
[00:35:55.418 --> 00:35:59.441]  Infowarslife.com or call toll free 888-253-3139.
[00:36:00.442 --> 00:36:01.983]  My name is Alex Jones.
[00:36:02.363 --> 00:36:08.288]  Most of you know me from my syndicated radio program and my documentary films, as well as Infowars Nightly News.
[00:36:08.508 --> 00:36:09.649]  When I got on air 20 years ago,
[00:36:11.070 --> 00:36:25.219]  I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights, to focusing on fighting the Globalist.
[00:36:25.599 --> 00:36:29.582]  I've gone from 279 pounds all the way down to 235 pounds, and the weight's going off even faster.
[00:36:33.604 --> 00:36:40.690]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[00:36:41.031 --> 00:36:46.696]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[00:36:46.896 --> 00:36:53.022]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[00:36:53.322 --> 00:36:57.065]  Check them out today at InfoWarsLife.com or give our crew a call at 888-253-3139.
[00:37:05.401 --> 00:37:08.702]  Well, yesterday there was another earthquake off the coast of Japan near Fukushima.
[00:37:08.722 --> 00:37:11.082]  A lot of people were asking, what the Fukushima?
[00:37:11.262 --> 00:37:12.783]  Is this deja vu all over again?
[00:37:12.863 --> 00:37:14.423]  Fortunately, it wasn't.
[00:37:14.603 --> 00:37:18.144]  Fortunately, it wasn't a major catastrophe like it was five years ago.
[00:37:19.064 --> 00:37:20.464]  Again, this is a powerful earthquake.
[00:37:20.544 --> 00:37:23.465]  It was originally reported as being 7.3 on the Richter scale.
[00:37:23.485 --> 00:37:25.405]  They thought they'd have a 10-foot tsunami wave.
[00:37:25.445 --> 00:37:32.166]  It turned out that it was downgraded by about a factor of 10, about 6.3, and it turned out to be about four and a half feet high.
[00:37:32.206 --> 00:37:34.107]  So there was no danger, but we did get a scare.
[00:37:34.707 --> 00:37:38.968]  Because we saw the cooling system go down for 90 minutes.
[00:37:39.308 --> 00:37:40.549]  This is what happened before.
[00:37:40.669 --> 00:37:45.050]  And again, this was the spent fuel pool that's there at the site.
[00:37:45.090 --> 00:37:49.291]  So it raises issues yet again about the safety of nuclear power.
[00:37:49.331 --> 00:38:02.215]  I don't want to take a look at what the Obama administration has been pushing with nuclear power, what environmentalist groups are pushing about nuclear power, telling us that it is a safe and effective alternative to carbon-based fuel.
[00:38:02.836 --> 00:38:03.516]  No, it isn't.
[00:38:04.156 --> 00:38:05.617]  Not in the least amount.
[00:38:05.757 --> 00:38:13.019]  And the folly of putting these nuclear power plants near earthquake fault lines, as we do in America as well.
[00:38:13.159 --> 00:38:18.741]  In California, of course, there's a famous nuclear power plant built on a fault line there in Diablo Canyon.
[00:38:18.801 --> 00:38:20.502]  Yeah, the devil's own idea.
[00:38:20.802 --> 00:38:22.163]  There's been an update on this recently.
[00:38:22.183 --> 00:38:26.504]  The LA Times reports that there's been a landmark deal that has been put together.
[00:38:26.544 --> 00:38:27.245]  They believe that
[00:38:28.425 --> 00:38:40.835]  It's going to be approved by the California Public Utilities Commission that will shut down Diablo Canyon's two reactors in 2024 and 2025, which is the original expiration dates of their federal licenses.
[00:38:41.316 --> 00:38:54.126]  Well, that would be interesting, because over and over again we see that the expiration dates that were put on the original licenses that were based on engineering details have been ignored and extended arbitrarily forever.
[00:38:54.847 --> 00:39:02.894]  When we look at these situations again, understand that the big part of Fukushima involved spent fuel that was stored on site.
[00:39:03.375 --> 00:39:06.238]  We don't really have a plan for storing this fuel.
[00:39:06.678 --> 00:39:09.641]  We basically just kick the nuclear can down the road.
[00:39:09.661 --> 00:39:15.266]  We put them in big metal containers and we put them in the desert or whatever, but we don't really have a plan for this.
[00:39:15.286 --> 00:39:17.087]  The question is, how long
[00:39:17.748 --> 00:39:19.349]  Are we going to be able to contain this?
[00:39:19.429 --> 00:39:21.571]  These things last for thousands of years.
[00:39:22.031 --> 00:39:27.595]  What is the cost in both health risk as well as financial risk to do this?
[00:39:27.635 --> 00:39:33.539]  When we look at the cost of nuclear power, nobody is factoring in the cost of nuclear waste disposal.
[00:39:33.799 --> 00:39:39.122]  Not from a dollar and cent standpoint, not from an environmental standpoint, and a human health and safety standpoint.
[00:39:39.162 --> 00:39:40.263]  It just simply isn't happening.
[00:39:40.583 --> 00:39:47.228]  And the idea that we put these plants on fault lines just as they did in Japan is additional insanity.
[00:39:47.808 --> 00:39:54.836]  Take a look at the former NRC chairman who said in the wake of Fukushima that we ought to shut down all these plants.
[00:39:54.876 --> 00:40:03.565]  He went around and said we have a lot of same design issues here in the United States and we should shut down every single one of these and make safety corrections.
[00:40:03.585 --> 00:40:05.086]  Well, he was ignored.
[00:40:05.347 --> 00:40:07.169]  He was still talking about it a couple years later.
[00:40:07.529 --> 00:40:11.750]  He talked to the Institute of Electrical and Electronic Engineers, IEEE Spectrum, that's their publication.
[00:40:12.410 --> 00:40:15.751]  His name is Gregory Jasko, I believe is the way you pronounce his last name.
[00:40:16.051 --> 00:40:17.391]  He was a former chairman of the U.S.
[00:40:17.451 --> 00:40:18.652]  Nuclear Regulatory Commission.
[00:40:18.952 --> 00:40:21.912]  They say he didn't mince words in his interview with the IEEE Spectrum.
[00:40:22.272 --> 00:40:22.813]  He said the U.S.
[00:40:22.853 --> 00:40:26.253]  is turning away from nuclear power and he expects the rest of the world to eventually do the same.
[00:40:26.293 --> 00:40:32.535]  He said, I've never seen a movie set 200 years in the future and the planet is being powered by fission reactors.
[00:40:33.479 --> 00:40:35.220]  That's nobody's vision of the future, he said.
[00:40:35.460 --> 00:40:39.021]  This is not a future technology, it's an old technology.
[00:40:39.402 --> 00:40:42.423]  It serves a useful purpose, but the purpose is running its course.
[00:40:42.943 --> 00:40:53.328]  He said the 104 commercial nuclear reactors in the US, he thinks that even those nuclear power stations that receive 20-year license extensions allowing them to operate, he said, they're 60 years old.
[00:40:54.113 --> 00:40:56.514]  And they may not see out that term.
[00:40:56.534 --> 00:40:59.756]  He said, the economics of nuclear reactors are increasingly difficult.
[00:41:00.296 --> 00:41:02.437]  And that's what we've seen over and over again.
[00:41:02.917 --> 00:41:06.719]  Close to where I lived in North Carolina, they built a nuclear power plant in the early 80s.
[00:41:07.179 --> 00:41:11.781]  I was some of the people protesting that because I said, you don't have a plan for nuclear waste storage.
[00:41:12.081 --> 00:41:17.924]  You don't factor in the cost of nuclear waste storage, as I pointed out, dollar-wise or environmental-wise.
[00:41:18.684 --> 00:41:19.725]  And of course they didn't.
[00:41:20.265 --> 00:41:22.767]  And they're storing that nuclear waste on site.
[00:41:23.268 --> 00:41:31.073]  And they're transporting nuclear waste from other places to that site, because it's just kind of kicked around like a football, depending on who has the most political clout.
[00:41:31.774 --> 00:41:32.434]  It's insanity.
[00:41:33.115 --> 00:41:39.640]  And now this nuclear power plant, which had a license initially of 25 years, as it reached that point, they just extended it.
[00:41:40.612 --> 00:41:48.237]  No particular reason, even though they had a lot of failing equipment that, for the time being, was relatively minor.
[00:41:48.257 --> 00:41:54.881]  They would shut down the nuclear power plant because they would have something bust here or something overload there because of age.
[00:41:55.181 --> 00:41:58.723]  The entire power plant has to be shut down and stored.
[00:41:58.883 --> 00:41:59.844]  It's not just the fuel.
[00:42:00.084 --> 00:42:03.526]  The power plant itself has to be stored for many decades.
[00:42:03.886 --> 00:42:08.129]  And he goes on to point out, the former head of the NRC said, four reactors are being built.
[00:42:08.169 --> 00:42:08.509]  This is in 2013.
[00:42:09.810 --> 00:42:13.031]  But he said there's absolutely no money, no desire to finance more plants like that.
[00:42:13.071 --> 00:42:18.113]  So in 20 or 30 years, he said, we're going to have very few nuclear power plants in this country.
[00:42:18.153 --> 00:42:18.954]  That's just a fact.
[00:42:19.534 --> 00:42:21.975]  Well, the facts have never bothered the Obama administration.
[00:42:22.035 --> 00:42:33.940]  Two years later, Bloomberg reported in 2015, new nuclear power seen as a winner in Obama's clean power plan, because he's going to shut down all the coal powered plants.
[00:42:34.600 --> 00:42:46.428]  And he's going to go against any kind of quote-unquote carbon-based emissions and they're going to use the EPA as leverage against people and give them credits if they use nuclear power.
[00:42:46.728 --> 00:42:48.089]  They're going to incentivize this.
[00:42:48.689 --> 00:42:57.055]  He says the Obama administration gave the struggling US nuclear industry a glimmer of hope this week by allowing new reactors to count more toward meeting federal emission limits.
[00:42:57.515 --> 00:43:09.003]  States can take more credits for carbon-free electricity to be generated with nuclear power plants under construction as they work to comply with emission reduction strategies targets set by the US EPA.
[00:43:09.563 --> 00:43:14.887]  And they then go on to say in the article, well the question of waste disposal also now hangs over the industry.
[00:43:14.967 --> 00:43:16.047]  Yeah, that's the reality.
[00:43:16.268 --> 00:43:22.292]  That they can't escape is the disposal of the nuclear waste as well as the safety of the plants themselves.
[00:43:23.072 --> 00:43:29.315]  A year later, this year, in June 2016, the Wall Street Journal points out environmental groups are now changing their tune.
[00:43:29.375 --> 00:43:36.339]  So, remember, 2013, we've got the former head of the NRC saying, we've got safety issues with the operation of these plants.
[00:43:36.859 --> 00:43:38.060]  They're old technology.
[00:43:38.400 --> 00:43:39.921]  They're going to have more problems with this.
[00:43:40.041 --> 00:43:41.402]  It is not a long-term solution.
[00:43:41.482 --> 00:43:45.524]  It is a short-term safety issue and a long-term storage problem.
[00:43:46.184 --> 00:43:47.065]  It doesn't have a future.
[00:43:47.125 --> 00:43:53.571]  But then Obama comes in and artificially gives it a future by making it part of the climate shell game.
[00:43:54.152 --> 00:43:55.213]  That's precisely what he did.
[00:43:55.453 --> 00:43:58.176]  And now he's got the environmentalists joining with him as well.
[00:43:58.196 --> 00:44:02.780]  The Wall Street Journal points out some of the nation's most influential environmental groups are softening
[00:44:03.641 --> 00:44:13.369]  They're long standing opposition to nuclear power marking a significant shift in the anti-nuclear movement as environmentalist priorities shift to climate change.
[00:44:13.889 --> 00:44:15.831]  See, it's not the plutonium.
[00:44:15.871 --> 00:44:18.793]  Don't worry about the plutonium that will kill you in a fraction of a second.
[00:44:19.174 --> 00:44:20.455]  Now it's that awful
[00:44:21.115 --> 00:44:21.535]  Carbon.
[00:44:22.076 --> 00:44:22.436]  Carbon.
[00:44:22.696 --> 00:44:23.916]  Carbon dioxide.
[00:44:24.076 --> 00:44:28.599]  Carbon dioxide that is necessary to life on Earth because it's what plants need to have.
[00:44:28.799 --> 00:44:29.899]  That has to be a sponge.
[00:44:30.259 --> 00:44:35.962]  But not the artificially created plutonium that lasts for thousands of years and is incredibly dangerous.
[00:44:36.022 --> 00:44:37.203]  No, don't worry about any of that stuff.
[00:44:37.683 --> 00:44:42.485]  The change, they say, is lowering one of the biggest political hurdles facing the nuclear power industry in the US.
[00:44:42.926 --> 00:44:47.848]  It comes at a critical time as several financially struggling reactors are shutting down.
[00:44:48.168 --> 00:44:49.409]  So coming to their rescue,
[00:44:49.949 --> 00:44:50.049]  Yes.
[00:45:06.405 --> 00:45:09.287]  Nuclear power plants in the United States, he says, I think it's pretty significant.
[00:45:09.307 --> 00:45:10.788]  I think it's pretty significant as well.
[00:45:11.088 --> 00:45:11.789]  And it's idiotic.
[00:45:12.009 --> 00:45:23.496]  They say the Sierra Club, country's oldest, largest environmental group, is debating whether to halt its longtime position in support of shuttering all existing nuclear power plants earlier than required by their federal operating licenses.
[00:45:23.536 --> 00:45:28.880]  The environmental group's leaders see existing reactors as a bridge to renewable electricity.
[00:45:28.980 --> 00:45:30.541]  A bridge to renewable electricity.
[00:45:31.181 --> 00:45:33.042]  That would be a bridge to nowhere.
[00:45:33.062 --> 00:45:35.524]  See, the problem is not renewable electricity like solar.
[00:45:35.864 --> 00:45:39.166]  The problem is the idea that we have to do everything from a central location.
[00:45:39.726 --> 00:45:41.267]  So we need to think outside of that box.
[00:45:41.668 --> 00:45:44.490]  We need to think outside the box of central power generation.
[00:45:45.550 --> 00:45:51.914]  Solar power can work, and these other technologies that are clean can work, but not if they're going to be part of a centralized grid.
[00:45:51.954 --> 00:45:56.057]  We need to think out of the box, think outside of the grid, but that's not happening in this administration.
[00:45:56.257 --> 00:46:00.860]  Remember, it was just this summer that John Kerry said that air conditioning was a bigger threat than ISIS.
[00:46:00.920 --> 00:46:08.085]  He was mocked with an online petition saying, OK, fine, get rid of all the air conditioning in your buildings at the State Department as well as your vehicles.
[00:46:08.185 --> 00:46:17.752]  And then he went on to say shortly after that Syria and Russia's actions, even though ISIS is not as big a threat as air conditioning, Syria and Russia needs to be called up for
[00:46:18.192 --> 00:46:18.812]  War crimes.
[00:46:18.852 --> 00:46:21.913]  Well, maybe we'll be calling up air conditioning companies for war crimes.
[00:46:21.993 --> 00:46:26.575]  Maybe we'll be calling up Volkswagen for war crimes because they cheated on emission standards.
[00:46:26.615 --> 00:46:31.457]  No, they're going to be driven out of business if they continue to make fuel-efficient diesel cars.
[00:46:31.737 --> 00:46:32.477]  They got the message.
[00:46:32.717 --> 00:46:33.477]  They're going electric.
[00:46:33.797 --> 00:46:37.799]  Finally, Kerry is warned of climate threats at the recent talks that we just had.
[00:46:38.339 --> 00:46:40.600]  His last song, his swan song.
[00:46:41.120 --> 00:46:44.141]  So, he was overshadowed, they say, by Donald Trump.
[00:46:44.261 --> 00:46:45.461]  That's Reuters reporting that.
[00:46:45.681 --> 00:46:46.482]  That's the reality.
[00:46:47.222 --> 00:46:52.952]  These people who have given us this insane energy policy, this insane policy towards ISIS, they're going.
[00:46:53.352 --> 00:46:54.534]  We're going to have some sanity there.
