[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[00:42:47.668 --> 00:42:51.550]  We see the socialist, you know, the bad sides of the union.
[00:42:51.610 --> 00:42:55.853]  We're in a tough situation where unions do support the people.
[00:42:55.873 --> 00:43:09.001]  We work very hard, we earn the money we make, and we make good money, but at the same time, they're pushing socialism and this... But yet, we're all looking at each other like, we're all gun owners here, man.
[00:43:09.041 --> 00:43:11.362]  We don't want nothing to do with these clowns.
[00:43:12.102 --> 00:43:16.325]  And so they try to make Washington State look like, you know, throughout the media, like
[00:43:17.074 --> 00:43:19.396]  And even around town, there's a lot of liberals around.
[00:43:19.416 --> 00:43:24.420]  Everybody's trying to make Washington just feel like a bad place.
[00:43:24.740 --> 00:43:25.821]  And it is, don't get me wrong.
[00:43:26.041 --> 00:43:31.505]  It's a cesspool of mentally ill, a lot of pharmaceutical mentally ill people.
[00:43:31.905 --> 00:43:42.013]  I had an old lady this morning call me an a-hole because I just blurted out, Trump, Trump!
[00:43:44.641 --> 00:43:48.866]  Old lady, I'm talking 80 years old, getting coffee, called me an a-hole.
[00:43:49.326 --> 00:43:51.509]  Tolerant liberal.
[00:43:53.030 --> 00:43:53.791]  Remains, man.
[00:43:53.831 --> 00:44:03.041]  There's a lot of country folk in Washington State, and I think that poll from last night just was a red flag to me.
[00:44:03.081 --> 00:44:04.502]  Like, how did she just go from 100,000 people above
[00:44:07.458 --> 00:44:13.361]  Well, they're going to use this to talk about for the next week how she got more votes than Donald Trump, yet he won.
[00:44:13.781 --> 00:44:15.102]  And he's got an overwhelming
[00:44:35.043 --> 00:44:37.505]  Majority in the Electoral College, if you look at the map right now.
[00:44:38.085 --> 00:44:42.529]  They're not even calling Arizona, Minnesota, Michigan, or New Hampshire.
[00:44:45.611 --> 00:44:46.952]  They're all too close to call.
[00:44:46.973 --> 00:44:52.177]  I guess they're gonna do recounts.
[00:44:53.318 --> 00:44:55.279]  They only have 99% reporting in Michigan.
[00:44:55.299 --> 00:44:58.161]  99% in Arizona.
[00:44:58.181 --> 00:45:00.223]  100% in Minnesota.
[00:45:00.483 --> 00:45:01.264]  They're not calling it.
[00:45:04.878 --> 00:45:07.719]  New Hampshire, 99% reporting.
[00:45:10.540 --> 00:45:26.464]  So, it's going to be interesting because we still have the citizens who voted for Hillary Clinton, and I don't believe the number posted on the New York Times website is accurate.
[00:45:27.564 --> 00:45:28.585]  I believe it's a lot less.
[00:45:31.005 --> 00:45:33.286]  And I think it's amazing that Trump was able to overcome
[00:45:36.058 --> 00:45:37.879]  The reports that we've heard of voter fraud.
[00:45:37.899 --> 00:45:42.600]  You know, if you hear one report, there's probably two or two or three others going on that you're not hearing about.
[00:45:44.761 --> 00:45:49.403]  And that he was able to overcome all that and still come out with a victory.
[00:45:49.463 --> 00:45:53.204]  But I mean, our our just look at the map from states.
[00:45:53.404 --> 00:45:54.645]  You can see the West Coast.
[00:45:56.885 --> 00:45:57.746]  See the East Coast.
[00:45:59.566 --> 00:46:00.847]  See the South.
[00:46:01.987 --> 00:46:02.687]  The Rust Belt.
[00:46:03.488 --> 00:46:04.188]  The Midwest.
[00:46:06.218 --> 00:46:07.459]  And the Canadian Rockies.
[00:46:09.241 --> 00:46:09.901]  Solid Trump.
[00:46:16.327 --> 00:46:16.587]  So.
[00:46:19.449 --> 00:46:20.170]  It's a good win.
[00:46:21.491 --> 00:46:23.593]  But will we see Hillary go to prison?
[00:46:26.035 --> 00:46:27.956]  James in Washington, thanks for calling.
[00:46:28.016 --> 00:46:30.779]  Let's go to Grace in New York who actually asked that question.
[00:46:30.819 --> 00:46:33.001]  Will Hillary actually go to prison now?
[00:46:33.301 --> 00:46:34.142]  It's a good question.
[00:46:36.058 --> 00:46:36.558]  Go ahead, Grace.
[00:46:36.598 --> 00:46:36.839]  Hello.
[00:46:37.179 --> 00:46:37.679]  Yeah, hi.
[00:46:37.719 --> 00:46:38.600]  Hi, how are you?
[00:46:39.220 --> 00:46:39.681]  I'm fine.
[00:46:40.881 --> 00:46:47.706]  So, I'm watching Donald Trump win and I'm all excited and not seeing Hillary.
[00:46:47.726 --> 00:46:56.292]  You know, he did say to her, if I was in charge of the law, you would go to jail.
[00:46:56.812 --> 00:47:02.797]  Is he going to use his executive powers or his
[00:47:05.741 --> 00:47:10.124]  His position to put her in prison.
[00:47:11.945 --> 00:47:15.928]  Well, luckily in this country we have checks and balances.
[00:47:17.609 --> 00:47:32.441]  And even though we have things like the NDAA that allows the president to call people unlawful combatants and put them away and hold them without even going to trial.
[00:47:33.564 --> 00:47:34.564]  I don't think he should do that.
[00:47:35.425 --> 00:47:47.349]  I think he should appoint a committee and investigate and put the evidence out there and convict her in the court of public opinion before he arrests her.
[00:47:50.470 --> 00:47:54.511]  And I think he needs to make sure it's bonafide, up one side and down the other.
[00:47:55.792 --> 00:47:56.492]  We know Hillary.
[00:47:56.512 --> 00:48:01.574]  We've covered her for many, many years.
[00:48:05.535 --> 00:48:11.737]  And it takes a special kind of person who wants to go into another country that's not as advanced as ours.
[00:48:13.078 --> 00:48:14.058]  Maybe looking for money.
[00:48:15.859 --> 00:48:16.659]  And squeeze them.
[00:48:19.200 --> 00:48:21.201]  And squeeze them to the point where they collapse.
[00:48:21.621 --> 00:48:27.223]  So, Grace, how long have you been watching the 52-hour broadcast?
[00:48:31.059 --> 00:48:34.080]  I work overnight, so I've been watching it every night.
[00:48:34.560 --> 00:48:35.020]  Oh, good.
[00:48:35.040 --> 00:48:36.760]  Alright.
[00:48:36.780 --> 00:48:38.440]  How are you listening to us or watching us?
[00:48:39.121 --> 00:48:40.541]  On my app and my phone.
[00:48:40.561 --> 00:48:41.661]  Oh, good.
[00:48:43.401 --> 00:48:46.422]  Speaking of that, if you go to InfoWars, let me do a quick plug.
[00:48:46.522 --> 00:48:48.082]  InfoWars.com forward slash app.
[00:48:48.102 --> 00:48:54.823]  You can download our free app and we also have a beefed up subscription version called InfoWars Prime.
[00:48:56.384 --> 00:48:57.604]  That's only going to get better.
[00:49:00.322 --> 00:49:01.923]  I mean, we just released it last night.
[00:49:01.943 --> 00:49:13.553]  You're gonna be able to get exclusive videos from Alex Jones that you can't see anywhere else, behind the scenes, up close and personal, videos with info as reporters, on location, live coverage of breaking news and events.
[00:49:13.573 --> 00:49:25.522]  We're gonna have this set up where that's gonna be our main tool, where we put out breaking information and then it posts to our Facebook page and our YouTube page and our website.
[00:49:27.144 --> 00:49:29.706]  And it's also gonna have some amazing deals on it.
[00:49:31.303 --> 00:49:34.104]  I looked at it the other day, yesterday.
[00:49:34.124 --> 00:49:35.584]  They're putting it on my phone.
[00:49:36.464 --> 00:49:41.405]  And some of the deals that they had going for the next 21 hours were amazing.
[00:49:42.505 --> 00:49:44.566]  On Survival Shield and a few other products.
[00:49:45.086 --> 00:49:48.266]  I think the Survival Shield was like 60% off.
[00:49:49.627 --> 00:49:50.227]  Just crazy.
[00:49:51.927 --> 00:49:53.888]  But it's subscription-based.
[00:49:55.028 --> 00:50:00.689]  But the money you spend there goes directly to us and we're able to keep our operation going.
[00:50:02.045 --> 00:50:04.867]  And I know I seem a little laid back today.
[00:50:05.167 --> 00:50:05.928]  I'm pretty tired.
[00:50:05.988 --> 00:50:09.650]  We were up here late last night waiting for the final announcement to go down.
[00:50:09.670 --> 00:50:20.098]  And instead of going home, I found a couch over in an office and took a couple hours nap.
[00:50:21.019 --> 00:50:21.799]  Well, go ahead, Gracie.
[00:50:21.819 --> 00:50:22.580]  What were you going to say?
[00:50:23.761 --> 00:50:28.284]  I'm a nurse and I work in emergency.
[00:50:29.142 --> 00:50:37.589]  And I've noticed over the last 10 years, a lot of our patients are now foreigners.
[00:50:37.609 --> 00:50:40.352]  And they all have Medicaid.
[00:50:42.013 --> 00:50:52.402]  They all have TB, MRSA, you know, a lot of our Asian patients come in with really serious cancer.
[00:50:55.083 --> 00:51:07.794]  Their whole family are coming in with these really, really, really serious cases and it's really, it's like odd diseases coming in like dengue fever or like plague, you know.
[00:51:09.555 --> 00:51:15.260]  So these people are coming in with like all these like illnesses or they're not being checked.
[00:51:15.320 --> 00:51:20.184]  What, you know, is this, you know, is this something like we can get a grip on at some point?
[00:51:21.827 --> 00:51:30.132]  I look around when I'm at work, and I say, hey, all these people are here, but they're all super sick, and these are the ones we chose to come here?
[00:51:32.454 --> 00:51:35.176]  Well, they're coming here probably for the medical system.
[00:51:35.436 --> 00:51:49.905]  We have to get that health care, and they've been told if they get here, they can apply for assistance and get that assistance, and once again, we're paying for other people from other countries to come here and get a free ride.
[00:51:53.495 --> 00:51:58.578]  It's very frustrating to watch, like, people who can't buy into the Obamacare because it's so expensive.
[00:51:58.858 --> 00:51:59.839]  Yeah.
[00:52:00.139 --> 00:52:03.381]  And it's going up, you know, year by year by year, it's going up.
[00:52:03.401 --> 00:52:06.522]  It's getting harder and harder to find the same doctors at the same hospital.
[00:52:07.343 --> 00:52:16.648]  And they're, you know, you're charging a healthy, you know, I have a friend, she's in charge of a healthy young woman, she's a lawyer, sweet girl, you know, charging $8 a month.
[00:52:17.408 --> 00:52:20.530]  And her doctor doesn't say anything about the hospital that she can go to.
[00:52:22.311 --> 00:52:22.491]  Yeah.
[00:52:24.662 --> 00:52:27.865]  And the costs of health care are out of control?
[00:52:29.426 --> 00:52:32.149]  Because they're not having to compete as much?
[00:52:33.070 --> 00:52:35.852]  And because they're tied down with these insurance companies?
[00:52:36.292 --> 00:52:37.033]  With paperwork?
[00:52:38.434 --> 00:52:48.664]  I sit there, I watch all these people come into the hospital and get, you know, $50,000, you know, what it would be for a $50,000 bill, basically sent to Medicaid.
[00:52:51.087 --> 00:52:54.789]  And actually, they're getting better treatment than we are.
[00:52:55.230 --> 00:52:57.871]  As Americans, we're getting not as good treatment.
[00:52:58.912 --> 00:52:59.012]  Sure.
[00:52:59.032 --> 00:53:00.753]  Everything in the Medicaid is free.
[00:53:00.993 --> 00:53:02.775]  Even Tylenol is free.
[00:53:03.715 --> 00:53:04.196]  Everything.
[00:53:06.217 --> 00:53:08.698]  The emergency room visit is free.
[00:53:08.718 --> 00:53:10.860]  I mean, equipment that you need to have is free.
[00:53:10.960 --> 00:53:12.101]  Physical therapy is free.
[00:53:12.121 --> 00:53:14.182]  You don't have to pay for any prescriptions.
[00:53:14.742 --> 00:53:16.403]  Everything is really, really free.
[00:53:20.020 --> 00:53:21.541]  How did we let this come to this?
[00:53:24.121 --> 00:53:39.367]  Because we're a benevolent country and we got taken over by people who saw the system as a means to enrich themselves and by enriching themselves they say if we give people a little bit they'll keep us in power.
[00:53:42.284 --> 00:53:49.286]  And I think last night we proved that our country's sick and tired of giving away something and not getting anything in return.
[00:53:49.306 --> 00:53:50.966]  I think that's what you're seeing.
[00:53:53.307 --> 00:53:55.328]  It was a direct repudiation of that.
[00:53:55.368 --> 00:53:56.868]  Did you vote yesterday?
[00:53:56.888 --> 00:54:01.409]  I did, absolutely.
[00:54:01.929 --> 00:54:05.730]  New York went pretty quick to Hillary Clinton.
[00:54:06.091 --> 00:54:11.032]  I honestly truly thought New York would at least be close, and I won't go with Trump.
[00:54:12.244 --> 00:54:27.649]  What a lot of people don't get about New Yorkers is that we're not too all stressed out, running around, and we don't fluff things up at all.
[00:54:27.749 --> 00:54:34.572]  And a lot of people, I don't know, maybe they find it fun, so they'll put off, because in New York, we just say it like it is.
[00:54:35.392 --> 00:54:36.993]  If it looks like a dog, it's a duck.
[00:54:39.048 --> 00:54:43.290]  You know, it's not, you know, if she looks like a clown, she acts like a clown, she's a clown.
[00:54:43.310 --> 00:54:44.011]  It's Hillary.
[00:54:44.831 --> 00:54:48.053]  And when a First Lady moves to your state, you make her a Senator.
[00:54:50.074 --> 00:54:58.559]  Of course, you know, if a duck is quite like a duckle, it touches little children and it goes to ritual, well it must be a Senator, we put her in New York.
[00:54:59.139 --> 00:55:04.422]  I mean, I don't, you know, she's a New Yorker, she's not, she's not like us.
[00:55:05.393 --> 00:55:10.955]  You know, maybe people are like, you know, let me just take a step back.
[00:55:11.035 --> 00:55:13.056]  People in New York have a lot of values.
[00:55:13.557 --> 00:55:23.461]  We have to deal with a lot of, you know, different things and there is a sense of community where people will jump in and help you if it's right.
[00:55:23.721 --> 00:55:33.205]  People will, you know, help Little East Cross Street, you know, but New Yorkers aren't all mean or cutthroat and not everybody in New York is that, right?
[00:55:33.712 --> 00:55:36.794]  I live in the only part of New York City that is Republican.
[00:55:37.834 --> 00:55:39.715]  You know, so not everybody is Democrat.
[00:55:39.896 --> 00:55:42.537]  There's a lot of very, very conservative places here.
[00:55:42.637 --> 00:55:50.121]  You know, I'm looking at the map right now, and it's very few counties that were Democrat, mainly around the big cities.
[00:55:51.142 --> 00:55:52.923]  New York City, but Long Island.
[00:55:54.664 --> 00:55:56.125]  You know, he won 52 to 44 at Albany.
[00:56:00.866 --> 00:56:05.629]  Syracuse, Rochester, Buffalo, all went to Hillary.
[00:56:08.151 --> 00:56:10.292]  And, you know, by significant margins.
[00:56:12.033 --> 00:56:12.834]  So it's interesting.
[00:56:12.894 --> 00:56:17.277]  It seems like people in the big cities still believe that Democrats are going to take care of them.
[00:56:19.218 --> 00:56:25.502]  And what people need to learn, and you would think New York, people who live in New York City would know this, that, you know, you have to take care of yourself.
[00:56:25.662 --> 00:56:29.805]  Nobody's going to pick you up and get you on the subway and
[00:56:31.414 --> 00:56:33.855]  Gets you to your job, and you gotta do that yourself.
[00:56:33.916 --> 00:56:35.577]  I'm surprised in New Jersey, personally.
[00:56:37.998 --> 00:56:41.840]  The way the system's set up now is that they don't have to worry about anything.
[00:56:42.901 --> 00:56:44.802]  Everything's taken care of.
[00:56:44.942 --> 00:56:51.086]  They'll get a ride to the hospital, they'll get all their treatments, they'll have the prescription meds, they'll eat something at home.
[00:56:51.706 --> 00:56:54.068]  You know, you don't have to lift a finger.
[00:56:54.088 --> 00:56:54.668]  We'll get you a job.
[00:56:54.688 --> 00:56:55.689]  Everything is done for them.
[00:57:01.653 --> 00:57:05.494]  Well, I think you're going to see some of that change, and I hope soon.
[00:57:06.574 --> 00:57:14.376]  And I hope we can change the way we do business as a country, the way we provide services for a country.
[00:57:14.456 --> 00:57:20.537]  And I truly believe we have enough money to give people a helping hand when they need it.
[00:57:20.617 --> 00:57:22.598]  We have more than enough money to do that.
[00:57:23.838 --> 00:57:30.680]  We're brimming with money, but we're letting bankers and multinational companies come in and take it.
[00:57:31.496 --> 00:57:35.957]  We'll let them take our resources without proper compensation.
[00:57:36.258 --> 00:57:42.479]  You know, one thing I've noticed in New York City, there's a great middle class in New York.
[00:57:42.520 --> 00:57:48.882]  And I think in New York City, most of the city is pretty much would be considered a decent middle class.
[00:57:49.842 --> 00:57:53.743]  And housing is affordable in certain areas.
[00:57:53.763 --> 00:57:56.524]  So maybe not in the middle of Midtown Manhattan or on Wall Street,
[00:57:56.997 --> 00:58:03.800]  But if you want to go a little ways out, you can find somewhat affordable housing.
[00:58:03.820 --> 00:58:12.704]  If you drive around where the fancy area of the Barclays Center is and downtown Brooklyn, how they're doing Coney Island up.
[00:58:13.320 --> 00:58:32.908]  You kind of turn and you're seeing all these prices skyrocketing and all these affordable house care buildings are being knocked down and they're set up in luxury condominiums with gyms on the first floor and cinema in the back and its own pharmacy and its own writing and its own whatever.
[00:58:33.368 --> 00:58:39.811]  And they're selling them for a little apartment, one bedroom apartment, maybe $8 million.
[00:58:41.351 --> 00:58:44.572]  Who, and they're putting up, like, crunches on them.
[00:58:44.772 --> 00:58:46.472]  Who can afford to live in these places?
[00:58:46.812 --> 00:58:48.853]  You know, it's interesting.
[00:58:48.913 --> 00:59:09.177]  If you look at a map, the most expensive places to live in our country, Massachusetts, Connecticut, New Jersey, New York City, Maryland, around the Beltway in Virginia, California, Portland, Seattle, those places all went Democrat.
[00:59:09.257 --> 00:59:11.037]  The most expensive places to live.
[00:59:14.588 --> 00:59:16.049]  Then you go down to the Texas map.
[00:59:16.189 --> 00:59:19.172]  You can see it's San Antonio, Austin, Dallas, Houston.
[00:59:21.174 --> 00:59:22.955]  Even El Paso went for Hillary.
[00:59:24.397 --> 00:59:25.257]  By a large margin.
[00:59:30.202 --> 00:59:34.766]  So, it's just... These are all things we need to look at at this point.
[00:59:34.826 --> 00:59:36.047]  Because yeah, our guy won.
[00:59:38.989 --> 00:59:41.692]  The guy that I didn't think the system would let be president
[00:59:43.871 --> 00:59:44.792]  They let him slip in.
[00:59:44.812 --> 00:59:51.019]  I'm worried that they are... I'm worried they're going to try to assassinate him.
[00:59:51.700 --> 00:59:51.960]  Yeah.
[00:59:53.402 --> 00:59:57.427]  That's something... Assassinate him or, you know, we got a video we're about to go to.
[00:59:58.953 --> 01:00:03.176]  That I shot with Alex Jones at about 2.30, 2.40 last night.
[01:00:03.396 --> 01:00:05.777]  Globalists to attack Trump with economic collapse.
[01:00:05.837 --> 01:00:07.578]  I mean, that's something we really have to look out for.
[01:00:07.618 --> 01:00:12.421]  I was watching MSNBC and Chris Hayes was saying, oh, the markets aren't doing very well.
[01:00:12.461 --> 01:00:16.004]  They even shut down this overnight trading system because it had gone, it had dropped more than 5%.
[01:00:18.065 --> 01:00:19.586]  So they're going to hit us with that this morning.
[01:00:19.626 --> 01:00:22.848]  In fact, it's probably already being posted somewhere.
[01:00:26.454 --> 01:00:27.275]  Wow.
[01:00:28.055 --> 01:00:29.396]  So, you say you're a nurse, right?
[01:00:30.216 --> 01:00:30.496]  Yes.
[01:00:30.657 --> 01:00:38.081]  Grace, how many flu shots do you pass out at this time of year?
[01:00:38.101 --> 01:00:40.682]  Anybody and everybody.
[01:00:41.002 --> 01:00:42.723]  Yeah.
[01:00:42.763 --> 01:00:48.727]  The policy of the hospital is, you know, we're to offer it to all patients and staff.
[01:00:49.307 --> 01:00:53.970]  If a staff member, like, you know, I work with right-hand garment patients,
[01:00:54.580 --> 01:01:06.344]  If I'm to continue in that capacity, I have to either take your shot or I have to wear a special mask every time I walk in and out of the building.
[01:01:06.905 --> 01:01:07.165]  Right.
[01:01:07.625 --> 01:01:08.645]  And so what do you do?
[01:01:08.665 --> 01:01:10.326]  Do you take the shot or do you wear the mask?
[01:01:11.066 --> 01:01:11.767]  I wear the mask.
[01:01:12.047 --> 01:01:12.867]  Yeah, that's good.
[01:01:13.927 --> 01:01:15.368]  You're still thinking for yourself.
[01:01:16.516 --> 01:01:17.837]  Well, I would say it's like this.
[01:01:18.117 --> 01:01:21.820]  I'm in front of every kind of disease every day.
[01:01:22.301 --> 01:01:23.082]  All kinds of things.
[01:01:23.142 --> 01:01:24.263]  You know, I'm faced with it.
[01:01:24.463 --> 01:01:34.751]  And, you know, when we get so hardy, you know, when you keep your kids inside and you don't let them, you know, like, you know, experience some germs, you can get some kind of immunity to it.
[01:01:34.931 --> 01:01:42.158]  You know, I mean, I'm like that, you know, I have a great, great immunity because of being around so much, you know, ailments.
[01:01:42.278 --> 01:01:44.620]  I don't believe, you know, and even if I did get the flu,
[01:01:45.424 --> 01:01:53.627]  No, I'm healthy, and I don't think that, you know, why do that to yourself?
[01:01:54.147 --> 01:01:55.788]  Right.
[01:01:55.808 --> 01:02:08.413]  Why would you put into your body something that you don't know what it is really, or something that you may never get, and even if you did, it wouldn't be all awful.
[01:02:08.953 --> 01:02:11.134]  You just not feel good for doing it.
[01:02:11.714 --> 01:02:12.074]  Right.
[01:02:12.114 --> 01:02:12.854]  And you get over it.
[01:02:12.994 --> 01:02:14.235]  So why would you even, like,
[01:02:15.402 --> 01:02:19.405]  Why would you even take a chance on all the side effects?
[01:02:19.545 --> 01:02:22.847]  Every single patient I inoculate says the same thing.
[01:02:22.867 --> 01:02:37.456]  Two or three days later, my head hurts, the injection site hurts, now I can't sleep, I feel like I'm getting sick and nauseous, I'm vomiting, and they just never are the same again.
[01:02:38.237 --> 01:02:41.839]  It's like something goes off on their body, it's like their body's off.
[01:02:50.526 --> 01:02:57.572]  Well, we've got a presentation I'm going to dig out and play probably a little bit after 930 today, Central Time.
[01:02:58.253 --> 01:03:00.675]  Dr. Group spent 20 minutes yesterday going over
[01:03:02.438 --> 01:03:12.727]  The new flu vaccine that they're now offering and really pushing on old people and the horrible ingredients it's got in it and the side effects he's been seeing.
[01:03:12.767 --> 01:03:17.231]  People coming to him after getting it having big time problems.
[01:03:19.032 --> 01:03:20.013]  So we're going to play that.
[01:03:20.093 --> 01:03:22.175]  So tell the people you know to tune in.
[01:03:22.255 --> 01:03:24.177]  Infowars.com forward slash show.
[01:03:25.998 --> 01:03:28.539]  Play a little, a little bit over half an hour from now.
[01:03:28.599 --> 01:03:29.739]  But I want to go to this video now.
[01:03:29.759 --> 01:03:30.699]  Do you have this video ready?
[01:03:31.019 --> 01:03:33.380]  Marcos, globalists to attack Trump with economic collapse.
[01:03:34.441 --> 01:03:34.681]  Okay.
[01:03:36.961 --> 01:03:37.261]  All right.
[01:03:37.301 --> 01:03:38.962]  Yeah, this is a video we shot last night.
[01:03:39.122 --> 01:03:40.222]  It's about 10 minutes long.
[01:03:42.863 --> 01:03:45.604]  And while you're listening to this video, check out
[01:03:46.897 --> 01:03:50.019]  InfoWarsLife.com, where we have our InfoWarsStore.com.
[01:03:50.039 --> 01:04:12.193]  We have some amazing deals, free shipping store-wide, 30% off Super Male Vitality and free shipping, 30% off DNA Force, 30 to 40% off InfoWars Select Storable Food, 30% off Survival Shield X2, 30% off Pro Pure King Water Filters, 25% off Secret 12, and 15% off Molon Lobby Apparel.
[01:04:12.213 --> 01:04:13.354]  And there's other deals out there.
[01:04:13.374 --> 01:04:16.456]  I think there's a really good deal on Silver Bullet.
[01:04:19.414 --> 01:04:21.536]  Grace, do you use colloidal silver?
[01:04:21.597 --> 01:04:23.078]  Have you ever heard of that before?
[01:04:23.098 --> 01:04:24.380]  No.
[01:04:27.443 --> 01:04:28.044]  I'm surprised.
[01:04:28.084 --> 01:04:31.047]  Well, you've heard of silver sulfidate?
[01:04:31.208 --> 01:04:32.769]  They put in babies' eyes when they're born?
[01:04:34.311 --> 01:04:35.072]  Sort of the same thing.
[01:04:35.132 --> 01:04:37.535]  It's got silver in it and that's to keep out
[01:04:38.797 --> 01:04:50.543]  You know, bacteria and viruses and colloidal silvers made by running an electrical charge through silver rods in distilled water, essentially, and ionizing the silver into the water.
[01:04:51.824 --> 01:04:54.705]  And people, I've been using it for 10, 11 years now.
[01:04:54.945 --> 01:04:56.486]  I don't get sick all that much.
[01:04:56.546 --> 01:04:58.147]  I did get sick a couple times this year.
[01:05:00.248 --> 01:05:04.170]  But it's a natural antibiotic.
[01:05:05.211 --> 01:05:06.972]  Instead of having to put antibiotics into your body,
[01:05:09.958 --> 01:05:11.858]  Some people use silver.
[01:05:13.359 --> 01:05:17.400]  And we have colloidal silver at Infowarsstore.com.
[01:05:17.420 --> 01:05:18.300]  It's called Silver Bullet.
[01:05:18.700 --> 01:05:19.680]  Grace, thanks for calling.
[01:05:19.860 --> 01:05:21.861]  Thanks for laying all that information on us.
[01:05:21.881 --> 01:05:22.981]  We're going to go to this video now.
[01:05:23.041 --> 01:05:25.362]  Globalists to attack Trump with economic collapse.
[01:05:26.182 --> 01:05:29.723]  And when we come back, we'll take more of your calls and see what's going on in the news.
[01:05:29.763 --> 01:05:38.325]  I've got no stacks of news in front of me, so I'm just kind of hodgepodging around the internet and kind of reflecting on what happened last night as we saw Donald Trump
[01:05:39.485 --> 01:05:42.546]  Become the next President of the United States of America.
[01:05:42.626 --> 01:05:48.349]  And I truly think he was very humble when he took the stage last night, finally, at 1.30.
[01:05:49.490 --> 01:05:52.291]  It was chaos here.
[01:05:52.811 --> 01:06:00.435]  We had a film crew who had come in following Roger Stone around and they were adamant about coming in and sharing this moment with him.
[01:06:01.515 --> 01:06:02.836]  And it was interesting.
[01:06:02.876 --> 01:06:06.718]  They were doing a documentary for Netflix, I believe, so it was...
[01:06:08.595 --> 01:06:12.558]  It's pretty weird to have another film crew in here.
[01:06:13.579 --> 01:06:15.280]  We have Gary in Kansas.
[01:06:15.320 --> 01:06:16.281]  You stay there.
[01:06:16.301 --> 01:06:24.527]  We're going to take about a 10-minute break to listen to what Alex has to say about how the globalists are going to counterattack the coup by the people.
[01:06:25.287 --> 01:06:27.048]  We've come back and taken power back.
[01:06:27.069 --> 01:06:31.472]  You can see it's going to be by a larger margin than what they're showing right now.
[01:06:32.612 --> 01:06:33.272]  Stay tuned for that.
[01:06:33.292 --> 01:06:33.933]  We'll be right back.
[01:06:33.993 --> 01:06:38.555]  Infowars.com forward slash show is the free stream.
[01:06:38.575 --> 01:06:40.436]  Please spread that link around.
[01:06:40.456 --> 01:06:42.818]  It's by people out there like you.
[01:06:42.878 --> 01:06:43.718]  Spread the link around.
[01:06:43.758 --> 01:06:46.280]  Look, the work has just begun.
[01:06:49.622 --> 01:06:51.823]  We can rest on our laurels for one, maybe two days.
[01:06:53.744 --> 01:06:54.944]  But then we got a lot of work to do.
[01:06:56.345 --> 01:07:00.688]  To fix this country and make it the beacon of the world that it once was.
[01:07:01.758 --> 01:07:04.140]  And that's a beacon for everybody.
[01:07:04.501 --> 01:07:08.745]  It's not a beacon for a certain class of people or a certain race of people.
[01:07:09.266 --> 01:07:10.066]  It's for everybody.
[01:07:10.247 --> 01:07:11.248]  That's what this country is for.
[01:07:11.548 --> 01:07:25.502]  This country is going to be great and we're going to show the world how we can lead and how we can lift up everyone in the world and show them what freedom and prosperity is all about.
[01:07:27.665 --> 01:07:35.330]  So, hopefully you will join us in this quest as we go in the next chapter of this grand experiment we call the United States of America.
[01:07:35.390 --> 01:07:36.551]  Stay tuned, we'll be right back.
[01:07:36.571 --> 01:07:37.571]  This is Rob Dew reporting.
[01:07:37.611 --> 01:07:42.194]  You can follow me on Twitter at DewsNews, D-E-W-S, N-E-W-S-E.
[01:07:43.015 --> 01:07:43.655]  Thanks for watching.
[01:07:44.956 --> 01:07:52.841]  It's almost 3 o'clock in the morning Central Time, and we now have President-elect Donald Trump.
[01:07:55.482 --> 01:07:56.103]  Donald Trump
[01:07:58.134 --> 01:08:09.461]  He's no angel, and neither am I. But Donald Trump's will is that you be prosperous and that you be successful.
[01:08:10.782 --> 01:08:14.864]  Donald Trump is not satanic.
[01:08:16.285 --> 01:08:18.046]  He does not want to see you poor.
[01:08:19.827 --> 01:08:22.029]  He does not wish to ground you under his treads.
[01:08:23.424 --> 01:08:28.527]  And that's why Goldman Sachs and JPMorgan and all the big mega banks have set themselves up against him.
[01:08:29.067 --> 01:08:30.488]  Because they believe they own you.
[01:08:33.029 --> 01:08:35.611]  I knew a year and a half ago when I endorsed Donald Trump he was going to win.
[01:08:35.631 --> 01:08:41.854]  And I've talked to him about why I knew that.
[01:08:43.976 --> 01:08:50.019]  But people I know, and people I trust, that are patriots, that have defended this republic,
[01:08:52.679 --> 01:09:00.062]  Confirmed to me, and I've seen it in Donald Trump's actions, that he wanted to restore this republic.
[01:09:00.102 --> 01:09:01.623]  But I want to be very clear to you.
[01:09:02.623 --> 01:09:03.164]  Very clear.
[01:09:05.024 --> 01:09:06.265]  This isn't about credit.
[01:09:06.545 --> 01:09:08.026]  It's so that you know the danger.
[01:09:10.607 --> 01:09:14.108]  You've seen the stupid ads with the bunny rabbit that says Energizer inside?
[01:09:15.549 --> 01:09:19.891]  If you want to know what powers Donald Trump, individually it's the love of liberty.
[01:09:21.257 --> 01:09:23.139]  In a love of standing up to corruption.
[01:09:23.299 --> 01:09:24.300]  He's not perfect, nobody is.
[01:09:25.100 --> 01:09:27.322]  But what powers the movement is Infowars.
[01:09:30.145 --> 01:09:32.847]  They want to establish a private corporate global government.
[01:09:34.749 --> 01:09:43.737]  Nigel Farage, the leader of UKIP, would come on my show 15 years ago when he barely had a few members of parliament.
[01:09:43.977 --> 01:09:45.299]  Now he's 100 times bigger and more.
