[00:00:00.009 --> 00:00:00.225]  Thank you.
[00:46:51.917 --> 00:46:55.640]  Because before everything, I'd see information, it was just like, my head would burn.
[00:46:56.001 --> 00:47:02.046]  It was just like, knowing so much, and then seeing what's the patterns, and other people don't see it, they don't understand.
[00:47:03.710 --> 00:47:10.895]  And I'm telling you folks, I'm nothing special, but I'm kind of an idiot savant at larger political systems and what's really behind them.
[00:47:11.515 --> 00:47:18.279]  And it's proven that my view of the world and how it operates is more accurate than the disinformation view the globalists put out on purpose.
[00:47:18.319 --> 00:47:19.660]  This is not rocket science.
[00:47:21.055 --> 00:47:22.636]  Now, again, there's a lot of checkpoints.
[00:47:22.676 --> 00:47:23.896]  It's hard to get people in and out.
[00:47:23.936 --> 00:47:26.077]  We have to be searched by the Secret Service whenever we come into here.
[00:47:26.097 --> 00:47:28.738]  And we're going to get stacked up today with guests.
[00:47:28.798 --> 00:47:31.459]  But Diamonds and Silk are coming in.
[00:47:31.739 --> 00:47:32.699]  Hey, ladies, come on in here.
[00:47:33.299 --> 00:47:34.580]  Jump on in, beautifuls.
[00:47:35.020 --> 00:47:36.380]  Hey, it's good to have you here.
[00:47:36.881 --> 00:47:40.242]  We're talking about how they're trying to bring down Fox News and the rest of the independent media.
[00:47:40.262 --> 00:47:43.763]  Because after they take down the lead elephant, they're going to try to take everybody down.
[00:47:44.583 --> 00:47:46.264]  And the metaphor is intended.
[00:47:47.520 --> 00:47:48.160]  Come here, sweetheart.
[00:47:48.200 --> 00:47:48.721]  How are you doing?
[00:47:48.761 --> 00:47:51.202]  How are you guys doing?
[00:47:52.103 --> 00:47:55.945]  You are sweethearts to be here and go through all that trouble to get here.
[00:47:56.566 --> 00:48:04.891]  Tell folks, everybody knows who you are, but plug your websites, tell folks about your fight, why you're supporting Trump, and I would imagine you're more proud now than ever.
[00:48:05.271 --> 00:48:06.091]  Oh, absolutely.
[00:48:06.131 --> 00:48:09.392]  We're supporting Trump because he wants to keep us safe and secure.
[00:48:09.652 --> 00:48:11.533]  He wants to bring back jobs so we can thrive.
[00:48:12.113 --> 00:48:14.654]  And he wants to unite this country and bring back spirit.
[00:48:14.674 --> 00:48:16.255]  So that's why we're supporting him.
[00:48:16.275 --> 00:48:17.015]  And we're excited.
[00:48:17.595 --> 00:48:19.656]  What has it been like, ladies, for you personally?
[00:48:19.676 --> 00:48:24.557]  I know you guys are positive about getting Donald Trump, who is an America hater.
[00:48:24.577 --> 00:48:25.858]  He just didn't know how to get the country.
[00:48:25.878 --> 00:48:26.638]  That's good enough for me.
[00:48:28.178 --> 00:48:31.339]  What do you make, though, of the threats you've gone through?
[00:48:31.579 --> 00:48:37.781]  And I know you guys weren't even able to speak at the rally a while back, but you ended up coming anyways, because of the debt threats and things.
[00:48:38.061 --> 00:48:39.622]  I mean, we should talk about the so-called left.
[00:48:39.902 --> 00:48:41.783]  These people don't act like any liberals I ever knew before.
[00:48:42.143 --> 00:48:42.943]  What's happened to these people?
[00:48:43.353 --> 00:48:48.955]  Well, we don't know what's happening to the left, but these death threats, we haven't heard anything about no death threats.
[00:48:48.995 --> 00:48:53.517]  We've never received death threats, so we don't know who made up that malicious lie.
[00:48:53.537 --> 00:48:53.897]  Okay, good.
[00:48:53.917 --> 00:48:59.380]  You know there is no way that we would have missed our man in this event for Donald J. Trump.
[00:48:59.400 --> 00:48:59.720]  Okay, good.
[00:48:59.780 --> 00:49:04.302]  Well, I guess they were putting that out then, so you wouldn't come and others wouldn't come.
[00:49:04.362 --> 00:49:06.703]  It would scare people away, but then now I learned it wasn't true.
[00:49:06.963 --> 00:49:07.864]  That's not true.
[00:49:24.184 --> 00:49:26.586]  You guys haven't ever been threatened?
[00:49:26.606 --> 00:49:26.646]  No!
[00:49:26.946 --> 00:49:28.267]  No, we stand up to people.
[00:49:28.328 --> 00:49:29.428]  We have to listen to Alex.
[00:49:29.809 --> 00:49:31.030]  We are not afraid of people.
[00:49:31.090 --> 00:49:31.890]  I will stand tall.
[00:49:31.931 --> 00:49:33.432]  I know that didn't sound like you guys.
[00:49:33.892 --> 00:49:35.674]  Well, certainly you're aware Trump's had a lot of threats.
[00:49:35.694 --> 00:49:36.875]  There's been a lot of attacks at his rallies.
[00:49:37.702 --> 00:49:42.445]  Listen, we don't, the more they hate, the more we have to educate the people.
[00:49:42.745 --> 00:49:43.726]  That's what it's about.
[00:49:44.046 --> 00:49:46.047]  So we don't get into the riff raff with people.
[00:49:46.067 --> 00:49:46.908]  We don't understand.
[00:49:47.048 --> 00:49:48.689]  My audience gets, gets it.
[00:49:48.709 --> 00:49:50.330]  They're like, I'd say 95% Trump.
[00:49:50.990 --> 00:49:54.112]  Uh, and as the whole elite comes after more, the other 5% that weren't are getting on board.
[00:49:54.612 --> 00:49:58.174]  But, but I mean, behind the scenes, you guys have got to know Trump really, really good.
[00:49:58.194 --> 00:50:02.697]  I mean, what's it like knowing Trump himself behind the scenes?
[00:50:02.737 --> 00:50:03.938]  He's a person that,
[00:50:04.238 --> 00:50:05.098]  Loves America.
[00:50:05.158 --> 00:50:06.119]  Loves Americans.
[00:50:06.259 --> 00:50:06.579]  Yes.
[00:50:06.799 --> 00:50:08.519]  Want to just know that you're making it.
[00:50:08.579 --> 00:50:10.220]  Want to know that you're doing more than making it.
[00:50:10.260 --> 00:50:12.060]  You're thriving and not just surviving.
[00:50:12.400 --> 00:50:13.000]  He's present.
[00:50:13.040 --> 00:50:13.600]  He's sensitive.
[00:50:13.840 --> 00:50:17.241]  So when he's talking to you, you have his undivided attention.
[00:50:17.281 --> 00:50:19.242]  He's a very humble man.
[00:50:19.542 --> 00:50:21.202]  He loves all Americans.
[00:50:21.402 --> 00:50:25.283]  He don't care if you're red, black, white, blue.
[00:50:25.503 --> 00:50:27.044]  He don't care what color you are.
[00:50:27.324 --> 00:50:28.224]  Yeah, he don't care.
[00:50:28.324 --> 00:50:31.005]  Be honest, you ladies are a little bit sweet on him, aren't you?
[00:50:31.905 --> 00:50:35.687]  Listen, I always say Donald Trump is my man.
[00:50:35.787 --> 00:50:36.807]  I love Donald Trump.
[00:50:36.847 --> 00:50:38.708]  Listen, I love a person.
[00:50:38.748 --> 00:50:39.829]  You know what I like about him?
[00:50:40.369 --> 00:50:42.630]  We've had the first African-American president.
[00:50:43.010 --> 00:50:46.872]  Not one time have he ever said, I'm going to do something for African-Americans.
[00:50:46.892 --> 00:50:47.452]  That's right.
[00:50:47.492 --> 00:50:49.593]  But Donald Trump is bold enough to say, you know what?
[00:50:50.293 --> 00:50:53.194]  I'm going to be the greatest president for African-Americans.
[00:50:53.434 --> 00:50:57.196]  I'm like, he's not embarrassed of us as African-Americans.
[00:50:57.716 --> 00:50:58.897]  He acknowledges us.
[00:51:00.131 --> 00:51:01.612]  That's why I'm voting for Donald Trump.
[00:51:01.812 --> 00:51:04.355]  Donald Trump, the people I've known, have known forever.
[00:51:04.395 --> 00:51:05.616]  They just say he likes real people.
[00:51:06.196 --> 00:51:06.717]  Exactly.
[00:51:06.957 --> 00:51:07.257]  Absolutely.
[00:51:07.297 --> 00:51:08.438]  Because he's a real person.
[00:51:08.458 --> 00:51:09.058]  That's right.
[00:51:09.139 --> 00:51:09.819]  He's real.
[00:51:09.859 --> 00:51:17.145]  But to have the first black president never mentioning nothing about you, but then having Donald Trump, I'm going to be good for you too, don't you worry.
[00:51:17.525 --> 00:51:18.446]  We got you too.
[00:51:18.546 --> 00:51:20.888]  Specifically, yeah, we're going to come with actual jobs.
[00:51:21.208 --> 00:51:22.049]  Absolutely.
[00:51:22.269 --> 00:51:23.110]  And that's what we need.
[00:51:23.130 --> 00:51:24.451]  Listen, Obama doesn't want that.
[00:51:24.471 --> 00:51:25.332]  He wants everybody under his control.
[00:51:25.672 --> 00:51:26.892]  We don't need an Obama phone.
[00:51:26.932 --> 00:51:29.293]  Give people good jobs, they can buy their own phone with me.
[00:51:29.353 --> 00:51:36.035]  We're here in Cleveland, where the Obama phone lady's from, and I tell ya, I've gotten to know her, she's a sweet lady.
[00:51:36.355 --> 00:51:41.477]  But it's so sad, she really just thinks, you know, that somehow somebody's gotta save her.
[00:51:42.117 --> 00:51:43.517]  That's being handed the crumbs.
[00:51:43.537 --> 00:51:48.318]  See, they so conditioned and used to being handed the crumbs.
[00:51:48.639 --> 00:51:50.399]  The crumbs of, oh, give me this little foam.
[00:51:50.759 --> 00:51:52.319]  How is that going to help you make it?
[00:51:52.579 --> 00:51:54.140]  How is that going to help you thrive?
[00:51:54.160 --> 00:51:54.420]  That's right.
[00:51:54.440 --> 00:51:54.980]  You see what I'm saying?
[00:51:55.000 --> 00:51:56.520]  I couldn't believe him when he said what Obama said.
[00:51:56.540 --> 00:52:00.681]  He was actually going to get that lady a house that he didn't actually follow through to get, at least for her.
[00:52:00.701 --> 00:52:03.822]  It had to be some local Republicans that did it.
[00:52:03.842 --> 00:52:07.723]  That was so mean to say, we're going to take care of you living in your car, and then doesn't even do it.
[00:52:08.123 --> 00:52:11.287]  But he don't have a problem with helping illegal immigrants.
[00:52:11.367 --> 00:52:11.748]  Get cars.
[00:52:11.768 --> 00:52:12.208]  That's right.
[00:52:12.308 --> 00:52:14.411]  Get cars and food and medical.
[00:52:14.431 --> 00:52:15.693]  The whole system is flawed.
[00:52:15.753 --> 00:52:19.097]  So when somebody like Donald Trump come and say, you know what, this system is flawed.
[00:52:19.437 --> 00:52:22.481]  This system is going to work for Americans and we're going to put Americans first.
[00:52:22.861 --> 00:52:23.162]  What?
[00:52:23.342 --> 00:52:24.423]  Yes, we're going to vote for him.
[00:52:24.443 --> 00:52:24.844]  Yes.
[00:52:25.044 --> 00:52:25.445]  Yes.
[00:52:25.805 --> 00:52:27.106]  Ladies, give out your websites.
[00:52:27.346 --> 00:52:29.067]  Oh, diamondandsilk.com.
[00:52:29.307 --> 00:52:31.149]  You can follow us on Twitter, Diamond and Silk.
[00:52:31.209 --> 00:52:32.469]  Like us on Facebook, Diamond and Silk.
[00:52:32.790 --> 00:52:33.970]  Everything is Diamond and Silk.
[00:52:33.990 --> 00:52:35.692]  Just Google us, Diamond and Silk.
[00:52:36.312 --> 00:52:37.393]  Well, you guys are awesome.
[00:52:37.413 --> 00:52:39.574]  You know, what I love is I've had some rallies here.
[00:52:39.594 --> 00:52:41.756]  I mean, the rally you were at as well.
[00:52:42.116 --> 00:52:43.237]  And it was wonderful.
[00:52:43.257 --> 00:52:44.898]  I think at least a third of the people
[00:52:45.758 --> 00:52:49.983]  Uh, at the Trump rally that I was with you the other day, were black Americans.
[00:52:50.003 --> 00:52:55.268]  That is so good to challenge the media narrative that if you're in the Tea Party, you're racist.
[00:52:55.569 --> 00:53:01.915]  That is intended to actually make people believe that so they don't have a chance if they're libertarians or if they're conservatives.
[00:53:02.396 --> 00:53:05.139]  I mean, that's a big insult to just say you're not allowed to even come to this.
[00:53:05.379 --> 00:53:06.640]  Well, I'm going to tell you what.
[00:53:07.180 --> 00:53:10.743]  Black people, white people are coming off of that Democratic plantation, baby.
[00:53:11.043 --> 00:53:13.104]  And they are jumping on the Trump train.
[00:53:13.444 --> 00:53:15.386]  And they keep wanting to put out this here little stigma.
[00:53:15.746 --> 00:53:17.507]  Oh, well, he may not have African-Americans.
[00:53:17.547 --> 00:53:18.828]  He have African-Americans.
[00:53:18.848 --> 00:53:21.370]  Some of them are closeted because they don't want to be ostracized.
[00:53:21.650 --> 00:53:23.971]  But he have black people that's going to be voting for him.
[00:53:24.211 --> 00:53:24.992]  Because you know what?
[00:53:25.032 --> 00:53:25.853]  They want to come up.
[00:53:25.893 --> 00:53:26.873]  They want to thrive again.
[00:53:27.093 --> 00:53:28.194]  Someone wants to be entrepreneur.
[00:53:28.214 --> 00:53:33.858]  Well, it's like when they say he hates gays and then he was one of the biggest advocates for people that have equal rights 30 years ago before it was cool.
[00:53:34.198 --> 00:53:35.299]  It's just everything's a lie.
[00:53:35.900 --> 00:53:37.963]  The left-wing media is spitting a lie.
[00:53:37.983 --> 00:53:38.363]  Go ahead.
[00:53:38.403 --> 00:53:39.865]  They want to keep us segregated.
[00:53:40.126 --> 00:53:42.849]  They want us to segregate ourselves by race or gender.
[00:53:43.189 --> 00:53:46.554]  But Donald Trump wants us to be united as one as all Americans.
[00:53:46.574 --> 00:53:47.555]  It's so obvious, too.
[00:53:47.575 --> 00:53:50.158]  It's the opposite of what Martin Luther King said 40 years ago.
[00:53:50.899 --> 00:53:55.483]  And RFK and JFK said, it's literally segregation's what the left's pushing.
[00:53:55.603 --> 00:53:56.223]  Absolutely.
[00:53:56.343 --> 00:53:57.044]  It's crazy.
[00:53:57.224 --> 00:54:09.113]  And then what happens is, as soon as something happens, where you see, it looked like a cop has killed a black boy or African-American, now they're pulling at the heartstrings of African-Americans.
[00:54:09.153 --> 00:54:11.895]  And then African-Americans go out in the street, pump their fists.
[00:54:12.175 --> 00:54:14.677]  Black Lives Matter movements start and they block traffic.
[00:54:14.957 --> 00:54:19.981]  And the same people that you're protesting against, it's the same people that's risking their lives to protect you.
[00:54:20.441 --> 00:54:27.429]  So, they don't want to come to the table, you know, because to come to the table and solve this problem, oh, that means the money stopped, the propaganda stopped.
[00:54:27.449 --> 00:54:33.055]  The tables are not out there in the streets, they're here, they're inside, where we can sit down, how do we solve problems?
[00:54:33.175 --> 00:54:36.319]  And so the marching, pumping your fists, and acting a fool in the streets, it's crazy.
[00:54:36.359 --> 00:54:41.885]  And the same system that they're in the street doing, pumping their fists on, it's the same system they keep voting for.
[00:54:42.205 --> 00:54:44.567]  Because it was the Clintons that put the crime bill into law.
[00:54:44.587 --> 00:54:45.747]  It was the Democrats that started all this.
[00:54:45.767 --> 00:54:47.348]  I know why Trump's always hooking on you ladies.
[00:54:47.609 --> 00:54:49.510]  I'll tell you, I'm getting close to you guys in person.
[00:54:49.590 --> 00:54:51.311]  I like your energy.
[00:54:51.331 --> 00:54:52.672]  Yes, we love you.
[00:54:52.692 --> 00:54:54.573]  Let me ask you guys a question.
[00:54:55.174 --> 00:55:04.780]  What do you guys make of the attempts to bring down the conservatives at Fox News and Roger Ailes and this whole thing that's going on where the left is trying, and that's from inside, it's a fact, they're trying to bring down Fox News right now.
[00:55:05.168 --> 00:55:06.570]  Well, we don't want that to happen.
[00:55:06.790 --> 00:55:08.292]  I hope everything works out well.
[00:55:08.472 --> 00:55:09.453]  That's all I can say.
[00:55:09.473 --> 00:55:12.576]  I don't know what's going on, but we want everything to work out well.
[00:55:12.596 --> 00:55:14.338]  Well, there was a coup in Turkey, or a counter-coup.
[00:55:14.378 --> 00:55:15.860]  This is a coup at Fox News.
[00:55:16.080 --> 00:55:16.941]  It is so sad.
[00:55:16.961 --> 00:55:18.703]  We need to silence the truth.
[00:55:19.184 --> 00:55:20.545]  Oh yeah, they're moving against free speech.
[00:55:20.585 --> 00:55:22.627]  And let me tell you folks, they bring down Fox News.
[00:55:23.643 --> 00:55:26.205]  They're going to bring down everybody else in their free speech.
[00:55:26.225 --> 00:55:27.987]  We better use it or lose it.
[00:55:28.027 --> 00:55:29.348]  That's all we really got.
[00:55:29.368 --> 00:55:30.529]  That's really all we got.
[00:55:30.650 --> 00:55:32.471]  Everything else is just winged to the left.
[00:55:32.952 --> 00:55:35.334]  So we're praying for them and everything will work out well.
[00:55:35.354 --> 00:55:38.737]  But it's so sad that the left is doing everything they can do to try to save Crooked Hillary.
[00:55:38.937 --> 00:55:39.658]  Yeah, absolutely.
[00:55:39.698 --> 00:55:42.621]  They don't want to bring her down, but we ain't letting no crook off the hook.
[00:55:42.701 --> 00:55:45.343]  I'm sure you ladies get this, but I can feel the energy.
[00:55:47.458 --> 00:55:49.240]  No, we just, we're very passionate.
[00:55:49.260 --> 00:55:50.581]  No, but I mean, it's not just your words.
[00:55:50.641 --> 00:55:51.402]  I can feel the energy.
[00:55:51.642 --> 00:55:51.963]  Oh, really?
[00:55:52.003 --> 00:55:52.183]  Yeah.
[00:55:52.203 --> 00:56:02.113]  You know, when you find this country over $19 trillion in debt, you have people that are unemployed, people standing on the corners with a sign, holding a sign saying we'll work for food.
[00:56:02.593 --> 00:56:06.217]  What in the heck is the current administration doing to change that?
[00:56:06.677 --> 00:56:08.739]  And why would the current administration think that we should vote?
[00:56:09.400 --> 00:56:12.141]  Well, that's Cloward and Piven.
[00:56:12.301 --> 00:56:17.983]  They admit they want us poor.
[00:56:18.223 --> 00:56:24.086]  And now Bilderberg Group met this year and admitted, they put a press release out, we want to make you poor and give you a stipend every month to control you.
[00:56:24.286 --> 00:56:27.047]  They actually said, we want to control you, we want you poor.
[00:56:27.267 --> 00:56:27.467]  Yeah.
[00:56:27.487 --> 00:56:30.028]  So they're now, the conspiracy theorists are right again.
[00:56:30.528 --> 00:56:31.188]  Exactly.
[00:56:31.248 --> 00:56:31.948]  That's what they want to do.
[00:56:31.988 --> 00:56:34.049]  They want to keep you codependent on the government.
[00:56:34.429 --> 00:56:36.429]  And once they keep you there, they can control you.
[00:56:36.449 --> 00:56:37.690]  They say sugar ain't for free.
[00:56:37.710 --> 00:56:38.110]  That's right.
[00:56:38.150 --> 00:56:39.530]  And they're not going to give you the best stuff.
[00:56:39.550 --> 00:56:41.611]  Now, when they give you the crumbs, it's going to be the bare minimum.
[00:56:41.631 --> 00:56:42.551]  The bare minimum.
[00:56:42.591 --> 00:56:45.792]  In fact, that's what they said in his big paper that he won a bunch of awards for.
[00:56:45.812 --> 00:56:47.772]  This professor, he's a statement of what the system is.
[00:56:48.173 --> 00:56:50.093]  He said, it's the Walmart model.
[00:56:50.153 --> 00:56:50.793]  I'm not tagging Walmart.
[00:56:50.813 --> 00:56:53.114]  This is what they do, where they pay you just enough
[00:56:54.835 --> 00:56:56.376]  But then you're still able to get welfare.
[00:56:56.396 --> 00:57:03.642]  They don't pay you above that so that you work 8-10 hours a day, but then you gotta go to the government and get something on top of it just to live.
[00:57:03.962 --> 00:57:05.523]  That's the big conspiracy.
[00:57:06.144 --> 00:57:07.445]  And Donald Trump wants to break that.
[00:57:07.565 --> 00:57:08.145]  Absolutely.
[00:57:08.226 --> 00:57:09.487]  And I believe he is going to break that.
[00:57:09.527 --> 00:57:11.808]  You see, that's why when you get out you want to make sure you register to vote.
[00:57:12.069 --> 00:57:13.710]  And you want to make sure you vote for Donald Trump.
[00:57:13.990 --> 00:57:16.532]  Because I believe he can come in and clean up all of this inside of us.
[00:57:16.552 --> 00:57:17.653]  He can clean it up and straighten it out.
[00:57:17.673 --> 00:57:17.873]  I agree.
[00:57:18.013 --> 00:57:22.377]  A lot of people are closeted about Trump and I think that's why he's going to have a landslide unless there's election fraud.
[00:57:22.637 --> 00:57:23.698]  Absolutely, absolutely.
[00:57:23.958 --> 00:57:24.158]  Oh yeah.
[00:57:24.178 --> 00:57:25.479]  This is going to be amazing.
[00:57:25.839 --> 00:57:28.620]  Listen, he's going to be the 45th President of the United States.
[00:57:28.961 --> 00:57:29.961]  And you know what?
[00:57:30.301 --> 00:57:33.343]  No weapon formed against him is going to prosper.
[00:57:33.383 --> 00:57:35.864]  So whatever the left is trying to do is not going to prosper.
[00:57:35.904 --> 00:57:37.185]  You ladies are amazing.
[00:57:37.225 --> 00:57:37.865]  We're going to go to break.
[00:57:37.885 --> 00:57:38.606]  Come back in a few more minutes.
[00:57:38.646 --> 00:57:41.507]  I know you've got a schedule, I've got a schedule, but it was rough to get in here.
[00:57:41.547 --> 00:57:42.468]  Boy, a lot of security.
[00:57:42.808 --> 00:57:43.708]  Oh, a lot of security.
[00:57:43.748 --> 00:57:44.409]  But you know what?
[00:57:44.429 --> 00:57:44.949]  We feel safe.
[00:57:44.989 --> 00:57:46.269]  Thank you, police officers.
[00:57:46.349 --> 00:57:46.910]  I love y'all.
[00:57:46.950 --> 00:57:48.090]  I've been hugging on them.
[00:57:48.190 --> 00:57:49.831]  Oh, and they fine too, Alex.
[00:57:49.851 --> 00:57:51.691]  So sorry.
[00:57:51.731 --> 00:57:54.492]  But they've been really keeping us safe, Secret Service.
[00:57:54.592 --> 00:57:55.753]  I love it.
[00:57:55.973 --> 00:57:57.573]  We feel very safe here in Cleveland.
[00:57:57.774 --> 00:57:59.254]  And even your people.
[00:57:59.734 --> 00:58:01.075]  Thank you all for everything.
[00:58:01.095 --> 00:58:03.135]  Just making sure we were secure.
[00:58:03.296 --> 00:58:04.096]  I love y'all for that.
[00:58:04.136 --> 00:58:04.576]  Thank y'all.
[00:58:04.636 --> 00:58:07.340]  What do you guys think about this whole thing with Trump's wife?
[00:58:07.460 --> 00:58:08.822]  I mean, I looked at that speech.
[00:58:08.862 --> 00:58:11.285]  That's what everybody says about their roots and their parents.
[00:58:11.305 --> 00:58:12.687]  I mean, that's not plagiarizing.
[00:58:12.707 --> 00:58:14.830]  That's like saying, I'm so honored to be here.
[00:58:14.930 --> 00:58:18.234]  I mean, that's just some of the things, the few lines she said that were like Michelle's.
[00:58:18.474 --> 00:58:19.416]  That's something everybody says.
[00:58:21.238 --> 00:58:26.841]  She gave a phenomenal speech, and what's happening is the Clinton camp, Clinton is threatened.
[00:58:26.941 --> 00:58:32.604]  She feels threatened by Melania, and so that's why they put those malicious lies out on the air.
[00:58:32.745 --> 00:58:35.186]  And on a daily basis, we say, Make America Great Again.
[00:58:35.206 --> 00:58:37.747]  Does that mean we're plagiarizing that?
[00:58:37.767 --> 00:58:38.088]  No.
[00:58:38.168 --> 00:58:39.268]  We say it all the time.
[00:58:39.288 --> 00:58:39.789]  Exactly.
[00:58:39.809 --> 00:58:41.670]  Plagiarized speeches, big chunks.
[00:58:41.790 --> 00:58:42.670]  Absolutely.
[00:58:42.750 --> 00:58:44.051]  And claiming credit for it all.
[00:58:44.231 --> 00:58:47.433]  We'll be right back, ladies and gentlemen, with Diamond and Stiltz.
[00:58:47.693 --> 00:58:48.373]  I'm Alex Jones.
[00:58:48.393 --> 00:58:49.094]  Ted Nugent's coming up.
[00:58:49.858 --> 00:58:51.623]  Thank you for listening to GCN.
[00:58:53.107 --> 00:58:55.314]  Visit GCNlive.com today.
[00:58:59.838 --> 00:59:05.999]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:59:06.379 --> 00:59:09.280]  Dr. Grip, it took years for you to develop DNA Force for us.
[00:59:09.600 --> 00:59:14.801]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:59:15.221 --> 00:59:21.182]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:59:21.322 --> 00:59:24.463]  Telomeres are the little cups on the end of our chromosomes.
[00:59:24.623 --> 00:59:26.063]  And when it runs out, you start dying.
[00:59:26.283 --> 00:59:30.427]  We chose the PQQ because it has over 175 different clinical trials.
[00:59:30.607 --> 00:59:33.470]  It's one of the most effective substances in the world.
[00:59:33.570 --> 00:59:35.131]  It works like an antioxidant.
[00:59:35.211 --> 00:59:38.394]  It works to repair nerve growth factor.
[00:59:38.694 --> 00:59:41.017]  So this is a formula to deliver the maximum amount.
[00:59:41.297 --> 00:59:42.258]  It's in powder form.
[00:59:42.358 --> 00:59:45.060]  We have so many five-star reviews.
[00:59:45.240 --> 00:59:45.841]  I take this.
[00:59:45.941 --> 00:59:47.643]  This is the product that I take.
[00:59:47.763 --> 00:59:49.725]  Infowarslife.com and the profit we make.
[00:59:50.545 --> 00:59:51.326]  We fight the Globals.
[00:59:51.346 --> 00:59:52.207]  We fight the New World Order.
[00:59:52.487 --> 00:59:56.591]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:59:56.611 --> 00:59:57.832]  You're listening to the Alex Jones Show.
[01:00:19.335 --> 01:00:21.436]  Waging war on corruption.
[01:00:21.936 --> 01:00:27.038]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:00:27.098 --> 01:00:32.801]  Talk about a jam-packed transmission.
[01:00:32.821 --> 01:00:34.822]  These ladies are about to run in about five minutes.
[01:00:34.862 --> 01:00:36.962]  They're going to do another interview fighting for this republic.
[01:00:37.603 --> 01:00:42.925]  We got Ted Nugent coming up, and we also have coming up right now in the elevator, Roger Stone.
[01:00:43.305 --> 01:00:46.246]  And we're going to talk about inside the battle at Fox.
[01:00:46.306 --> 01:00:47.167]  And these ladies
[01:00:47.967 --> 01:00:53.490]  We're aware of the big mix-up at Fox, but they weren't aware of the full import because this is a coup.
[01:00:53.510 --> 01:00:54.811]  We need articles in InfoWars.
[01:00:55.711 --> 01:00:56.852]  We need everyone to explain.
[01:00:57.192 --> 01:00:58.513]  I have inside Fox sources.
[01:00:58.673 --> 01:00:59.253]  Other people do.
[01:00:59.273 --> 01:01:01.635]  I'm going to ask Stone about this and what my sources told me.
[01:01:02.634 --> 01:01:03.414]  Beckstone's here now.
[01:01:03.774 --> 01:01:09.256]  There is a war to shut down right now, as we speak, Fox News.
[01:01:09.436 --> 01:01:15.737]  In an election year, three months out from the election, and it's Megyn Kelly claiming Roger Ailes squeezed her too hard.
[01:01:15.777 --> 01:01:18.758]  Because the ladies were hugging me during the break, and I'm going to get another one here in a minute.
[01:01:19.258 --> 01:01:24.200]  And imagine, that's what they're trying to bring down Fox News with, to literally turn it into CNN during an election.
[01:01:24.240 --> 01:01:25.260]  This is sabotage.
[01:01:25.480 --> 01:01:28.881]  This is a coup, but of the media, just like what you saw in Turkey, it's very serious.
[01:01:28.901 --> 01:01:29.661]  What do you ladies make of that?
[01:01:29.841 --> 01:01:31.383]  Well, you know, I think it's very sad.
[01:01:31.403 --> 01:01:35.347]  I think that people need to start getting their facts straight, getting everything together.
[01:01:35.668 --> 01:01:37.249]  Because we don't need to lose.
[01:01:37.269 --> 01:01:41.114]  When we cut on our TV, we want to see conservative television, conservative news.
[01:01:41.354 --> 01:01:44.558]  So if we lose Fox, what else do we have on television?
[01:01:44.698 --> 01:01:47.181]  Because everything else tends to lean left.
[01:01:48.925 --> 01:01:51.266]  I just hope everything works out and it's going to work out for everyone.
[01:01:51.406 --> 01:01:51.946]  Everybody good.
[01:01:51.966 --> 01:01:53.167]  Well, we're going to have to go to the underground.
[01:01:53.207 --> 01:01:55.267]  We're going to have to do it like networking, back and forth.
[01:01:55.287 --> 01:01:55.948]  That's right, absolutely.
[01:01:55.968 --> 01:01:57.288]  You know, we've got to do what we've got to do.
[01:01:57.308 --> 01:01:58.148]  We've got Alex Jones here.
[01:01:58.168 --> 01:02:01.130]  We've got Alex Jones because we've got to get Donald Trump into the White House.
[01:02:01.190 --> 01:02:01.450]  Right.
[01:02:01.470 --> 01:02:03.591]  Well, that's why I put airplanes in the sky with Hillary for President.
[01:02:03.631 --> 01:02:06.232]  It's why I've got billboards driving around with Infowars, you know, learn the truth.
[01:02:06.552 --> 01:02:12.954]  That's why we've got 94.5, which is a pirate, but it doesn't hurt the other stations, which is broadcasting here in Cleveland, you know, just during this event.
[01:02:12.974 --> 01:02:14.435]  So the people's media is under attack.
[01:02:14.735 --> 01:02:15.415]  We turn the heat up.
[01:02:15.555 --> 01:02:16.695]  We gotta do what we gotta do.
[01:02:16.715 --> 01:02:17.196]  That's right.
[01:02:17.296 --> 01:02:17.756]  That's right.
[01:02:17.776 --> 01:02:19.797]  We have to use what we have to get what we want.
[01:02:19.817 --> 01:02:20.177]  Absolutely.
[01:02:20.197 --> 01:02:20.777]  That's what we gotta do.
[01:02:20.837 --> 01:02:21.257]  I love it.
[01:02:21.337 --> 01:02:21.597]  I love it.
[01:02:21.617 --> 01:02:22.518]  There's a camera crew here.
[01:02:22.558 --> 01:02:23.298]  I thought that was Stone.
[01:02:23.358 --> 01:02:23.978]  Was Stone in this one?
[01:02:24.118 --> 01:02:25.439]  Stone's with us.
[01:02:25.519 --> 01:02:26.059]  Oh, Stone's here?
[01:02:26.079 --> 01:02:26.399]  Yeah, he's here.
[01:02:26.419 --> 01:02:27.259]  Oh, he's in the bathroom.
