[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[00:55:17.909 --> 00:55:22.591]  They operate outside of government oversight and citizen oversight with these systems.
[00:55:23.011 --> 00:55:24.832]  But with Hillary it goes far further.
[00:55:25.253 --> 00:55:27.074]  She knew foreign governments had penetrated.
[00:55:28.294 --> 00:55:29.515]  She knew they were getting that data.
[00:55:31.516 --> 00:55:41.039]  Now, unless it was some super secret program to feed them disinfo or something, like the Enigma machines or whatever, we know it is espionage.
[00:55:42.120 --> 00:55:47.862]  But the fact that they've brought all this out in front of everyone just shows it's just what Larry Nichols said.
[00:55:47.902 --> 00:55:48.902]  It's meant to break our will.
[00:55:49.242 --> 00:55:50.222]  It's not breaking my will.
[00:55:50.423 --> 00:55:54.324]  I'm going to Robert in Tennessee and others here in a moment.
[00:55:54.384 --> 00:55:59.906]  I'm not going to belabor this, but we are extending the July 4th Independence Day specials.
[00:56:00.566 --> 00:56:06.268]  We are extending those right through this week because folks have really been taking advantage of it.
[00:56:06.288 --> 00:56:12.771]  20 to 40% off all of the super high quality storable foods at InfoWareSelect.com or InfoWareStore.com.
[00:56:13.731 --> 00:56:15.212]  20% off all Alexa Pure water filters.
[00:56:15.432 --> 00:56:17.053]  20% off all Alexa Pure air filters.
[00:56:18.073 --> 00:56:20.374]  20% off Survival Shield nascent iodine X tube.
[00:56:21.974 --> 00:56:25.197]  We are extending this, and folks, it's now time to get prepared.
[00:56:25.257 --> 00:56:28.020]  It's now time to get ready with all the global upheaval, you name it.
[00:56:28.360 --> 00:56:31.323]  The globalists are instituting economic situations.
[00:56:31.343 --> 00:56:32.485]  They're instituting wars.
[00:56:32.845 --> 00:56:34.326]  They want to make us dependent on them.
[00:56:34.427 --> 00:56:35.327]  It is a no-brainer.
[00:56:36.101 --> 00:56:38.343]  That we all get prepared and we all get ready.
[00:56:38.363 --> 00:56:47.351]  We're going to fly Hillary for prison banners over the RNC and the DNC and the purchase of Hillary for prison t-shirts is what helps fund that.
[00:56:47.452 --> 00:56:57.201]  And regardless of whether she gets indicted in a federal court, we have indicted her in the court of public opinion and we are convicting her in this campaign.
[00:56:57.281 --> 00:56:59.242]  We must defeat Hillary Clinton.
[00:57:00.023 --> 00:57:00.544]  A vote for
[00:57:01.553 --> 00:57:04.535]  Justice, a vote for people not being above the law.
[00:57:05.316 --> 00:57:07.357]  My gosh, we gotta get Donald Trump in there.
[00:57:07.417 --> 00:57:09.279]  My gosh, Hillary is a crime boss.
[00:57:09.679 --> 00:57:11.640]  Imagine what she'll do if we don't kick her out.
[00:57:12.921 --> 00:57:16.184]  And they're gonna engage in election fraud, but it's hard to beat a landslide.
[00:57:16.204 --> 00:57:17.905]  She's already stolen it from Bernie Sanders.
[00:57:17.945 --> 00:57:20.887]  This is such a rigged system, just as Donald Trump says.
[00:57:21.487 --> 00:57:22.988]  Robert in Tennessee, thanks for holding.
[00:57:23.028 --> 00:57:23.889]  What's your take on this?
[00:57:25.991 --> 00:57:27.011]  Hey Alex, how you doing?
[00:57:27.031 --> 00:57:27.432]  Good, my friend.
[00:57:27.452 --> 00:57:27.692]  Go ahead.
[00:57:28.905 --> 00:57:29.125]  Good.
[00:57:29.145 --> 00:57:29.605]  All right.
[00:57:30.046 --> 00:57:32.287]  First of all, I just want to say I'm a big fan.
[00:57:32.327 --> 00:57:35.168]  You've woken up myself, my family, friends.
[00:57:36.169 --> 00:57:40.071]  And it's really amazing what you guys over at you and your crew do.
[00:57:40.091 --> 00:57:41.452]  We do have an amazing crew.
[00:57:41.672 --> 00:57:42.933]  We do have an amazing crew.
[00:57:43.733 --> 00:57:48.055]  In fact, I just this weekend got my Hillary for prison shirt in the mail.
[00:57:48.155 --> 00:57:49.236]  So thank you.
[00:57:49.496 --> 00:57:54.639]  I'm looking forward to promoting freedom this upcoming election season.
[00:57:55.459 --> 00:57:57.961]  But I just had a quick point and a
[00:57:58.968 --> 00:58:17.588]  And a question I wanted to ask you, I just literally read the news about Hillary not being charged for what she's been criminally been involved in just minutes before you went on air and I kind of got a sick feeling in my stomach because it just
[00:58:18.348 --> 00:58:22.770]  Goes to show how corrupt our government really is.
[00:58:22.930 --> 00:58:23.491]  I did too.
[00:58:23.631 --> 00:58:24.031]  I did too.
[00:58:24.051 --> 00:58:25.192]  I got nauseous.
[00:58:25.232 --> 00:58:26.252]  I was in a good mood this morning.
[00:58:26.552 --> 00:58:27.273]  Then I saw that.
[00:58:27.293 --> 00:58:28.513]  I'm just in a terrible mood now.
[00:58:28.533 --> 00:58:30.194]  But I'm not going to let her break my will.
[00:58:30.454 --> 00:58:31.235]  She's over the top.
[00:58:31.275 --> 00:58:31.795]  She's arrogant.
[00:58:32.015 --> 00:58:33.536]  Look how freaked out Comey looked.
[00:58:34.156 --> 00:58:41.299]  He looked like a fox caught with a big old rabbit in his mouth, you know, in the rabbit coop or the chicken coop.
[00:58:41.659 --> 00:58:43.900]  I mean, he looked like he was freaked out.
[00:58:44.160 --> 00:58:45.540]  Look, this isn't good for these crooks.
[00:58:45.960 --> 00:58:49.742]  We've reached that moment where the crooks can't help themselves, and they're uncloaking themselves.
[00:58:50.022 --> 00:58:52.663]  It's gonna get rough, but there's light at the end of the tunnel.
[00:58:52.963 --> 00:58:53.883]  Good to hear from you, Robert.
[00:58:53.923 --> 00:58:55.444]  Sorry to hear you felt sick about that.
[00:58:55.864 --> 00:58:56.925]  That's a normal response, though.
[00:58:56.965 --> 00:58:59.265]  Kenneth, Vincent, Nick, Brady, stay with us.
[00:59:05.365 --> 00:59:08.888]  Let's face it, most of us are totally addicted to our cell phones.
[00:59:09.008 --> 00:59:13.492]  But recent studies link cell phone use to major health issues, including brain cancer.
[00:59:13.773 --> 00:59:17.256]  Experts say parents and expecting mothers need to be extra careful.
[00:59:17.536 --> 00:59:21.660]  Doctors say the infant brain, even while in the womb, is especially vulnerable.
[00:59:21.800 --> 00:59:25.903]  So keep the phone away from your abdomen, especially toward the end of pregnancy.
[00:59:26.103 --> 00:59:35.730]  And for men, using a cell phone for as little as an hour a day is literally cooking your sperm, lowering sperm count levels so much that conceiving a child could be difficult.
[00:59:36.250 --> 00:59:38.512]  This is one of those times you want to keep it out of your pants.
[00:59:38.892 --> 00:59:44.296]  And for those of us who use our cell phones before bed, know that the screen light is actually disrupting your sleep rhythms.
[00:59:44.356 --> 00:59:46.858]  This causes insomnia and slows the metabolism.
[00:59:47.018 --> 00:59:48.019]  Hello, weight gain!
[00:59:48.299 --> 00:59:53.283]  Generally speaking, when cell phones are on, they're constantly emitting radio frequency radiation.
[00:59:53.383 --> 00:59:55.504]  So keep your phone in airplane mode when you can.
[00:59:55.664 --> 00:59:58.026]  Keep the phone at least two feet away from your body.
[00:59:58.266 --> 00:59:58.987]  Use headphones.
[00:59:59.207 --> 01:00:02.249]  And when you're not on your phone, keep it as far away from you as possible.
[01:00:02.529 --> 01:00:04.571]  Leigh Ann McAdoo with your InfoWars Tip of the Week.
[01:00:06.681 --> 01:00:12.945]  You're listening to the Alex Jones Show.
[01:00:17.228 --> 01:00:23.252]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:23.873 --> 01:00:26.855]  It's Alex Jones and the GCN Radio Network.
[01:00:51.448 --> 01:00:53.050]  And we are back, ladies and gentlemen.
[01:00:53.330 --> 01:00:56.994]  Wow, I just came screeching into the chair here, working on news during that break.
[01:00:57.474 --> 01:00:59.756]  Forgot that was a 70-second break, not a three-minute one.
[01:00:59.776 --> 01:01:00.777]  I'm, like, running back in here.
[01:01:01.358 --> 01:01:04.281]  We've got a bunch of big guests coming up here today.
[01:01:04.922 --> 01:01:07.784]  Obviously, we're going to have a panel discussion with Leanne McAdoo.
[01:01:09.421 --> 01:01:13.484]  And of course, David Knight and Jakari Jackson at the bottom of this hour.
[01:01:13.524 --> 01:01:15.725]  Dr. Jerome Corsi pops in at the start of the next segment.
[01:01:15.745 --> 01:01:16.606]  He's got a new book out.
[01:01:16.966 --> 01:01:19.307]  We're also going to be talking about this non-indictment and more.
[01:01:20.148 --> 01:01:24.110]  Roger Stone has got big news on the Clintons being Chinese Communist agents.
[01:01:24.690 --> 01:01:29.914]  And Paul Joseph Watson hosts the fourth hour of Overdrive from Her Britannic Majesty's England.
[01:01:30.834 --> 01:01:33.476]  So that is all coming up today.
[01:01:34.316 --> 01:01:39.640]  Before I go any further, we are going to be taking your phone calls, by the way, interspersed throughout the broadcast.
[01:01:41.081 --> 01:01:48.426]  All I'm asking is, like Limbaugh used to say, I understand your listeners, you're supporting us, we love you, we appreciate you, we thank you.
[01:01:48.766 --> 01:01:49.847]  We couldn't do any of this without you.
[01:01:50.848 --> 01:01:56.950]  But when I go to your calls, I really want to hear what you think about what happened with Hillary and the indictment and where you think this country's going.
[01:01:57.970 --> 01:02:02.071]  Because it gets a little obscene when we take call after call telling me how great I am.
[01:02:02.911 --> 01:02:03.452]  You're great.
[01:02:03.632 --> 01:02:04.832]  You're awesome, okay?
[01:02:05.072 --> 01:02:09.173]  But listen, I love everybody that loves freedom as well.
[01:02:09.213 --> 01:02:09.973]  We're in this together.
[01:02:10.013 --> 01:02:13.294]  I think we're going to win it, but we've got to stay focused on fighting the globalists.
[01:02:13.655 --> 01:02:15.455]  Kenneth in New York, you're on the air, go ahead.
[01:02:17.976 --> 01:02:18.196]  Alex?
[01:02:18.416 --> 01:02:18.676]  Yes, sir.
[01:02:19.904 --> 01:02:26.526]  Yes, I'm just so disgusted with Hillary, you know, just seeing this blatant corruption.
[01:02:26.726 --> 01:02:31.147]  It proves as a millennial to me that everything that you were saying is, I mean, it's true.
[01:02:31.568 --> 01:02:32.488]  It gives credibility.
[01:02:32.848 --> 01:02:35.389]  It's just, I have no, I have no words.
[01:02:35.469 --> 01:02:40.130]  I mean, you know, what happens if she gets in, we're done.
[01:02:40.230 --> 01:02:43.091]  We're finished as a country, in my opinion.
[01:02:45.438 --> 01:03:03.406]  Well, when you look at how ignorant the average voter is, at least half of them, that's why these tyrants are so emboldened, is we're looking at just incredibly dumbed down, stupid people, who as long as they're pandered to verbally, they're not really supported, but as long as the establishment panders to them and pats them on the head, they'll jump off a cliff.
[01:03:04.827 --> 01:03:10.869]  Right, and you know, it's unreal, you know, and we'll see, I guess, at the elections,
[01:03:12.739 --> 01:03:13.720]  How this will all play out.
[01:03:13.740 --> 01:03:14.740]  But we need Trump.
[01:03:14.920 --> 01:03:16.461]  We need Trump desperately.
[01:03:16.481 --> 01:03:19.823]  Can you imagine what Hillary's going to do if she gets in?
[01:03:19.863 --> 01:03:21.164]  I mean, she's going to go for broke.
[01:03:21.984 --> 01:03:23.665]  This will be like nothing we've ever seen.
[01:03:24.986 --> 01:03:26.306]  Worse than Obama.
[01:03:26.346 --> 01:03:27.667]  Worse than the Bushes.
[01:03:27.687 --> 01:03:28.628]  The Bush crime family.
[01:03:28.688 --> 01:03:29.888]  Everything you talked about.
[01:03:29.908 --> 01:03:31.289]  I mean, it all comes down to this.
[01:03:31.609 --> 01:03:32.470]  The technocrats.
[01:03:33.130 --> 01:03:34.691]  All the automation coming in.
[01:03:35.031 --> 01:03:35.511]  Everything.
[01:03:35.731 --> 01:03:36.432]  The fluoride.
[01:03:36.472 --> 01:03:38.213]  I mean, everything is going to be ending up with her.
[01:03:38.573 --> 01:03:39.233]  I do see that.
[01:03:39.253 --> 01:03:42.075]  If she gets in.
[01:03:43.137 --> 01:03:43.877]  Good points, Kenneth.
[01:03:43.897 --> 01:03:44.618]  Thank you for the call.
[01:03:44.798 --> 01:03:46.519]  Nick in the great state of Illinois.
[01:03:47.159 --> 01:03:47.919]  Nick, you're on the air.
[01:03:47.959 --> 01:03:48.260]  Welcome.
[01:03:49.220 --> 01:03:49.560]  Yes, sir.
[01:03:49.580 --> 01:03:49.940]  Thank you.
[01:03:50.201 --> 01:03:52.582]  I pray for you and pray for Trump every day.
[01:03:52.602 --> 01:03:53.682]  Thank you.
[01:03:54.083 --> 01:04:06.369]  It's almost as if they're pushing for a citizen's arrest for her because no one else is stepping up to the plate to be a leader and make something happen and indict her.
[01:04:07.289 --> 01:04:10.351]  And I just wish that Trump would give
[01:04:11.170 --> 01:04:14.307]  Ron Paul or Jesse Ventura are called to be on his VP list.
[01:04:15.345 --> 01:04:18.427]  Well, you know, Ventura would obviously want to do that.
[01:04:18.867 --> 01:04:23.330]  Paul is, I guess, being a purist, you know, when it comes to Trump.
[01:04:23.370 --> 01:04:24.611]  But Trump is a nationalist.
[01:04:24.651 --> 01:04:25.752]  He's an anti-globalist.
[01:04:26.773 --> 01:04:32.617]  He has really... I've gone from holding my nose supporting him a year ago to really being proud of the fact I supported him.
[01:04:32.937 --> 01:04:44.565]  Because despite some of Trump's problems, he's for real, he's got a lot of courage, and he is just a great manifestation of America's... probably America's last chance.
[01:04:45.805 --> 01:04:50.987]  You know, we've killed hundreds of millions of babies, and we've been so corrupt and evil so long.
[01:04:51.087 --> 01:04:55.608]  Maybe we're just supposed to totally fall and collapse, and, you know, the country's just supposed to burn.
[01:04:55.668 --> 01:04:59.889]  I mean, maybe that's what the socialists want, and that's what they want, that's what they get.
[01:05:00.429 --> 01:05:05.491]  I mean, but it really is up to us to decide that, but I hear you, brother.
[01:05:05.511 --> 01:05:06.851]  Great point, Nick.
[01:05:07.231 --> 01:05:08.252]  I appreciate your call.
[01:05:08.292 --> 01:05:10.852]  More calls from Brady, Denise, Vincent, Bill, and others.
[01:05:11.193 --> 01:05:12.373]  Straight ahead on Alex Jones.
[01:05:14.952 --> 01:05:16.893]  Dr. Grip, you developed Living Defense for us.
[01:05:16.933 --> 01:05:18.014]  It took you over a year to do it.
[01:05:18.254 --> 01:05:19.175]  Why is this so good?
[01:05:19.475 --> 01:05:24.718]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:05:24.798 --> 01:05:38.346]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[01:05:38.406 --> 01:05:39.787]  Right now with all the refugees,
[01:05:40.547 --> 01:05:42.129]  Uh, spreading disease around.
[01:05:42.209 --> 01:05:44.711]  We have biological warfare going on everywhere.
[01:05:44.791 --> 01:05:46.072]  These are all parasites.
[01:05:46.112 --> 01:05:47.193]  Tell us about all the stuff that's in it.
[01:05:47.213 --> 01:05:48.274]  There's so many things that are in it.
[01:05:48.554 --> 01:05:55.160]  You have the neem in there, you have the organic clove bud, the organic wormwood, you have enzyme blend in there.
[01:05:55.200 --> 01:06:00.405]  This is very important because a lot of these microorganisms, and even going up to tapeworms, pinworms,
[01:06:00.945 --> 01:06:03.148]  You have to disintegrate the lining.
[01:06:03.168 --> 01:06:08.174]  I mean, on viruses that protect themselves, and so do bacteria and protozoa and mycoplasms.
[01:06:08.555 --> 01:06:12.800]  They have a protective shell that a lot of times the immune system can't even get into.
[01:06:13.001 --> 01:06:14.042]  Our own immune system.
[01:06:14.603 --> 01:06:17.306]  Especially since most people's immune system are weak anyway.
[01:06:18.007 --> 01:06:28.934]  So we actually designed the Living Defense and put in a specific blend of enzymes which actually chew and eat through the lining of these different organisms.
[01:06:29.514 --> 01:06:31.135]  So the Living Defense is amazing.
[01:06:31.376 --> 01:06:33.617]  We've seen just tremendous reviews.
[01:06:34.317 --> 01:06:36.459]  How often should you take Living Defense?
[01:06:36.479 --> 01:06:37.860]  I mean, is it a regimen every day?
[01:06:37.920 --> 01:06:39.741]  That's what I was doing until we ran out.
[01:06:40.061 --> 01:06:41.782]  Or do you do it heavier for certain cleanses?
[01:06:41.822 --> 01:06:42.623]  What do you do, Dr. Group?
[01:06:43.323 --> 01:06:54.931]  Well, I do usually six weeks at a time, because if you look at the life cycle of most parasites, it's six weeks from the time... You've got to kill the ones that are in there and then kill their babies when they hatch that job.
[01:06:55.211 --> 01:07:05.098]  If you're suffering from abdominal pain, allergies, even like headaches, anemia, weakened immune system, gut problems, depression, hair loss,
[01:07:06.158 --> 01:07:08.660]  Excess gas, muscle pain, nervousness.
[01:07:08.700 --> 01:07:09.761]  I mean, all these things.
[01:07:10.021 --> 01:07:11.121]  Doctors don't know.
[01:07:11.201 --> 01:07:14.844]  They don't teach doctors in medical school about parasites and harmful organisms.
[01:07:14.864 --> 01:07:17.005]  There's a reason why they don't teach them about that.
[01:07:17.085 --> 01:07:23.049]  Just like they don't teach doctors about the root cause of disease and how to eliminate all disease out there.
[01:07:23.109 --> 01:07:24.490]  They don't want you to know about it.
[01:07:24.770 --> 01:07:27.471]  You don't want your own immune system being attacked.
[01:07:27.731 --> 01:07:31.134]  Again, you know, you have animals, especially your cats, dogs.
[01:07:31.174 --> 01:07:33.015]  So many people have pets these days.
[01:07:33.495 --> 01:07:34.816]  People eat raw sushi.
[01:07:35.276 --> 01:07:36.898]  People eat more raw food.
[01:07:36.958 --> 01:07:41.164]  You have all these different organisms showing up in the water supplies now.
[01:07:41.665 --> 01:07:45.009]  You even have it in the air supplies, these tiny microorganisms.
[01:07:45.049 --> 01:07:47.873]  So it's not like we can get away from them.
[01:07:47.933 --> 01:07:49.395]  We just have to do everything.
[01:07:49.495 --> 01:07:50.977]  I recommend doing a parasite
[01:07:51.878 --> 01:07:56.340]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[01:07:56.360 --> 01:07:57.380]  It just came back in yesterday.
[01:07:57.440 --> 01:07:57.960]  Living Defense.
[01:07:58.260 --> 01:07:59.301]  Infowarslife.com.
[01:07:59.361 --> 01:08:00.401]  And folks, you can't lose.
[01:08:00.681 --> 01:08:02.482]  It's full of stuff that's great for your body, period.
[01:08:03.122 --> 01:08:04.983]  And you support the broadcast.
[01:08:05.043 --> 01:08:06.123]  Infowarslife.com.
[01:08:06.403 --> 01:08:08.304]  Thank you, Dr. Group from the Global Healing Center.
[01:08:08.664 --> 01:08:10.625]  Thank you so much for all your work, sir, on this great product.
[01:08:16.383 --> 01:08:18.564]  He's the T-Rex of political talk.
[01:08:19.124 --> 01:08:22.005]  Alex Jones on the GCN Radio Network.
[01:08:31.788 --> 01:08:35.989]  Well, his book came out a few weeks ago with the headline, Partners in Crime.
[01:08:37.209 --> 01:08:45.032]  And I tell you, this multi-time number one New York Times best-selling author couldn't have been more dead-on, WorldNet Daily Books.
[01:08:46.724 --> 01:09:03.690]  Dr. Jerome Corsi, who's worked in anti-terrorism and clandestine consulting operations, who's been involved in international banking, has multiple degrees, of course, taught his class there at Harvard, good long-term friends for 40 years with Donald Trump.
[01:09:04.590 --> 01:09:13.733]  So I couldn't think of someone better, in the next 25 minutes we have with him, to cover the waterfront, because we have just seen the FBI director about
[01:09:14.867 --> 01:09:20.651]  An hour and 30 minutes ago concluded a press conference where he said no indictment.
[01:09:20.691 --> 01:09:21.952]  He will not recommend an indictment.
[01:09:22.353 --> 01:09:26.836]  And Lynch said that she would go with his recommendation if she agreed with it, basically.
[01:09:26.856 --> 01:09:28.658]  That was the proviso we played on Friday.
[01:09:29.158 --> 01:09:32.741]  She said, well, she wouldn't recuse herself in case she disagreed with it, but she'd have to review it.
[01:09:33.501 --> 01:09:40.747]  So Dr. Jerome Corsi joins us to talk about that, to talk about Trump and where all this is going.
[01:09:40.847 --> 01:09:43.289]  I have to be honest with the audience, okay?
[01:09:44.548 --> 01:09:49.709]  I have never had a more disgusting feeling of dread in my stomach.
[01:09:51.570 --> 01:09:53.570]  I actually feel like someone's choking me right now.
[01:09:53.590 --> 01:09:58.671]  And of course, we've all been at the hospital and family members are dying or we've been at funerals.
[01:09:58.751 --> 01:10:01.092]  I mean, I've been in big car wrecks and things.
[01:10:01.112 --> 01:10:03.952]  I'm not saying I'm Mr. Tough Guy, but I've been through some bad experiences.
[01:10:04.652 --> 01:10:11.054]  And I guess to kind of analyze my own psychological perspective, I've been dealing with the Clintons for 20 plus years.
[01:10:11.194 --> 01:10:12.314]  I know how evil they are.
[01:10:12.774 --> 01:10:21.562]  And it really is disheartening to realize that they're about to get even more power, and are getting more corrupt as they go along, and have promised to come after the Liberty Movement and the Patriots.
[01:10:22.262 --> 01:10:29.088]  And she's starting all these wars, and she's working with Al-Qaeda and ISIS, and they've been persecuting Christians and conservatives and veterans and people.
[01:10:29.629 --> 01:10:34.753]  I mean, to come to grips with the fact that she looks three or four times crazier than she did in the 90s.
[01:10:36.024 --> 01:10:43.707]  And the way she acts and bragging about killing people and lying about, you know, Brian Williams stories about how she's in combat.
[01:10:44.687 --> 01:10:46.388]  I mean, there's just not just a feeling.
[01:10:46.888 --> 01:10:56.672]  There is a total intellectual understanding bodily, at a cellular level, of getting ready for a physical fight.
[01:10:57.212 --> 01:11:00.053]  I mean, I physically, physically,
[01:11:01.223 --> 01:11:03.885]  I feel like I'm in a parking lot and a guy just pulled a gun on me.
[01:11:03.925 --> 01:11:04.845]  You know, that's happened before.
[01:11:05.206 --> 01:11:06.226]  Back when I was growing up in Dallas.
[01:11:06.246 --> 01:11:09.929]  I mean, I have that same feeling of disgust and dread and not fear.
[01:11:10.269 --> 01:11:12.791]  It's more like, get ready.
[01:11:13.783 --> 01:11:16.384]  Now I want to go to Dr. Corsi to discuss this and more.
[01:11:16.804 --> 01:11:20.125]  Her communist Chinese connections, all of it, it is incredible.
[01:11:20.485 --> 01:11:34.170]  I want to ask Dr. Corsi out of the gates what his view of this, where this is going, and of course his book, Perfectly Timed, with the proper name and the research of these partners in crime, Bill and Hillary, what they're planning to do.
[01:11:34.230 --> 01:11:42.673]  Because I have a gut feeling and intellectual understanding that they are going to get their total wish list now and go for broke.
[01:11:44.413 --> 01:11:45.874]  Is that an accurate statement, Dr. Corsi?
[01:11:46.854 --> 01:11:47.914]  I agree with you entirely.
[01:11:47.934 --> 01:11:51.655]  I mean, I think what we see today is that the fix is in.
[01:11:51.715 --> 01:12:05.418]  I mean, clearly, you've got the FBI, you know, if you listen carefully to Comey's statement, he basically said Hillary committed a number of crimes, that she's guilty of criminal negligence.
[01:12:06.358 --> 01:12:07.598]  And yet she's going to skate.
[01:12:07.659 --> 01:12:14.741]  She's not going to get indicted for things that normally people like Petraeus and others would have have been prosecuted for.
[01:12:14.761 --> 01:12:17.062]  You know, double standard of law.
[01:12:17.102 --> 01:12:20.063]  And now Hillary Clinton is clearly tainted goods.
[01:12:20.083 --> 01:12:29.666]  It's obvious she lied that she had classified emails that were transmitted over her server that she knew about and should have known about.
[01:12:30.406 --> 01:12:32.227]  But yet she's not going to be prosecuted.
[01:12:32.907 --> 01:12:34.908]  Now, this again is a double standard.
[01:12:34.928 --> 01:12:37.588]  And by the way, Alex, the whole thing looks like a setup.
[01:12:37.688 --> 01:12:41.449]  I mean, you have Bill Clinton on the tarmac.
[01:12:41.689 --> 01:12:42.309]  Wink, wink.
[01:12:42.889 --> 01:12:43.630]  Loretta Lynch.
[01:12:44.390 --> 01:12:49.491]  Then CNN starts, you know, tweeting that they have inside sources.
[01:12:49.531 --> 01:12:51.111]  There's going to be no prosecution.
[01:12:51.131 --> 01:12:59.013]  Hillary comes in over the holiday and testifies or gives an interview with the FBI.
[01:12:59.513 --> 01:13:01.294]  And then here we are immediately after
[01:13:02.253 --> 01:13:04.033]  Comey saying no prosecution.
[01:13:04.093 --> 01:13:10.555]  Hillary shows up in North Carolina, flying on Air Force One with Barack Obama.
[01:13:10.575 --> 01:13:21.258]  The whole thing looks as orchestrated as when Candy Crowley pulled out, you know, the speech that Obama gave after Benghazi during the debate with Romney.
[01:13:21.698 --> 01:13:24.498]  It looks completely choreographed and wink-wink.
[01:13:24.998 --> 01:13:28.419]  Even Loretta Lynch saying, I'll just accept the recommendation of the FBI.
[01:13:28.819 --> 01:13:31.120]  Sure, she already knew the FBI wasn't going to prosecute.
[01:13:32.120 --> 01:13:33.020]  Of course she'd accept it.
[01:13:33.040 --> 01:13:33.881]  Doctor, let me ask you this.
[01:13:33.961 --> 01:13:36.061]  I mean, you've been a political insider for a long time.
[01:13:36.101 --> 01:13:39.302]  You almost always call it like it is, almost like 99% of the time.
[01:13:39.742 --> 01:13:41.863]  What is the point of rubbing our faces in it?
[01:13:42.103 --> 01:13:49.085]  What is the point of acting so incredibly arrogant and Hillary kind of letting him have that let them eat cake moment, it seems?
[01:13:49.745 --> 01:13:51.206]  Or is this just megalomania?
[01:13:51.246 --> 01:13:57.748]  Is this just people that have decided as a political class they have Republican establishment cover, they're going to go for broke?
[01:13:58.442 --> 01:14:06.848]  Yeah, I mean, the Clinton's attitude, like it was and has been in Europe with the EU, is, you know, the United States would be a good country except for the voters.
[01:14:07.691 --> 01:14:09.853]  We'd be just fine if the voters could be ignored.
[01:14:10.213 --> 01:14:11.134]  The voters are stupid.
[01:14:11.154 --> 01:14:12.135]  They don't know what they're doing.
[01:14:12.215 --> 01:14:22.223]  So the elites, the Clintons, who are above the law, get to determine how they can make vast riches, you know, billions of dollars out of the Clinton Foundation.
[01:14:22.723 --> 01:14:24.925]  Something we would go to jail for doing.
[01:14:25.606 --> 01:14:32.652]  How she can violate national security laws with her emails, which even the FBI admits is negligent, reckless.
[01:14:33.502 --> 01:14:39.910]  How are we going to elect a reckless, negligent, incompetent person who can't run a BlackBerry to be President of the United States?
[01:14:39.970 --> 01:14:47.340]  But of course, that's all supposed to be washed away because we've got a photo op, an Air Force One with Barack Obama and Hillary.
[01:14:47.360 --> 01:14:49.843]  They're going to hold hands and do kissy face.
[01:14:50.524 --> 01:14:53.407]  And tell the people we need to have Hillary for eight years.
[01:14:53.627 --> 01:14:54.708]  Let me ask you this question.
[01:14:55.189 --> 01:14:57.391]  She's claiming she's going to go to the center of elected.
[01:14:58.572 --> 01:15:01.735]  But from what I've seen them setting up and their preparations, it looks like the opposite.
[01:15:01.995 --> 01:15:07.961]  From your sources and your own political gravitas, if she gets in, what do you expect to happen?
[01:15:08.001 --> 01:15:10.684]  Again, my gut tells me leave the country.
[01:15:11.676 --> 01:15:16.159]  Well, I mean, first, certainly you're right in terms of that she's going to go more to the left.
[01:15:16.199 --> 01:15:17.340]  There's no question about it.
[01:15:17.360 --> 01:15:20.242]  I mean, Hillary has had Huma Abedin advise her.
[01:15:21.043 --> 01:15:23.785]  She was the one who is, I think, the butcher of Libya.
[01:15:23.805 --> 01:15:33.852]  I think you're going to find in the coming months that Hillary was the one who destabilized Libya, abused women throughout Libya, let Libya go to the Al Qaeda terrorists.
[01:15:34.528 --> 01:15:46.151]  This has already been clear from the Benghazi investigations we've had, especially the Citizens Commission on Benghazi made it absolutely clear that Hillary threw Libya to the dogs.
[01:15:47.051 --> 01:15:54.393]  I think with the Clinton Foundation, with things that I'm proving in my book and others, you know, we've got Peter Schweitzer out there as well.
[01:15:55.113 --> 01:15:57.674]  Clinton's wanted the oil in Libya.
[01:15:57.814 --> 01:16:00.795]  They wanted to gain economically with Blumenthal.
[01:16:01.658 --> 01:16:04.099]  They didn't care if millions died in the process.
[01:16:04.119 --> 01:16:09.941]  You're going to have a Supreme Court that's going to be so far left it's going to be unimaginable.
[01:16:10.561 --> 01:16:15.883]  It's going to be an expansion of government so that we have more government control in every possible area.
[01:16:15.903 --> 01:16:17.544]  More climate control.
[01:16:18.624 --> 01:16:27.111]  Fake science that's going to further destroy the United States' ability to be an industry leader, world leader, and coal and oil.
[01:16:27.131 --> 01:16:30.413]  Obama's just about shut down the coal industry.
[01:16:30.433 --> 01:16:32.415]  Hillary will make sure it's killed.
[01:16:32.435 --> 01:16:34.696]  They need to go issue after issue.
[01:16:35.317 --> 01:16:48.027]  And what's going to happen is, and by the way, conservatives, anyone who disagrees with this far leftist agenda is going to be identified as hate crime, will be put in, you know, concentration camps for thought reform.
[01:16:48.747 --> 01:16:52.850]  It'll be criminal to do things like be a climate denier.
[01:16:53.791 --> 01:16:56.633]  Meanwhile, Israel's going to be abandoned, thrown to the dogs.
