[00:00:00.189 --> 00:00:01.250]  It's Alex Jones!
[00:23:59.411 --> 00:24:10.456]  And as for Berkeley, we know that there's an attorney that's leading the charge for the Berkeley Republicans and for the Young America Foundation, and they have a pretty strong case against the university.
[00:24:11.650 --> 00:24:15.253]  Well, I mean, I think that we all have a case against the university.
[00:24:15.613 --> 00:24:22.938]  When you're not allowing people to speak there, when you are allowing violence to happen instead, I think there's a major issue there.
[00:24:22.998 --> 00:24:31.244]  And when you have a professor, Robert Reich, encouraging it, yeah, that is a major issue to me.
[00:24:31.344 --> 00:24:33.306]  And again, this is supposed to be the bastion of free speech.
[00:24:33.646 --> 00:24:34.467]  Doesn't look like the case.
[00:24:34.807 --> 00:24:36.148]  I know you've talked to the attorney.
[00:24:36.588 --> 00:24:40.411]  What insight can you provide to our audience about the developments with that case?
[00:24:40.987 --> 00:24:42.768]  Yeah, I spoke with Hermit Dillon.
[00:24:42.788 --> 00:24:45.010]  She, again, is the lead attorney for this case.
[00:24:45.410 --> 00:24:47.471]  And she said this is all about discrimination.
[00:24:47.911 --> 00:24:51.254]  This campus is discriminating against conservatives.
[00:24:51.594 --> 00:25:00.740]  So they came up with this, you know, new rule starting in March that they were going to handle high-profile guests differently than they would any other guests.
[00:25:01.260 --> 00:25:07.404]  Now, this high-profile guest, you know, thing that they came up with only seems to affect conservatives.
[00:25:08.168 --> 00:25:12.349]  So, you know, this Democrats can come in with ease, no problem.
[00:25:12.909 --> 00:25:17.771]  And so they never gave any description on what would be considered a high profile guest.
[00:25:18.191 --> 00:25:22.092]  So in the case of Ann Coulter, they called her a high profile guest.
[00:25:22.172 --> 00:25:27.154]  Therefore, you know, there is this ring around and she could come to campus and then she couldn't come to campus.
[00:25:27.694 --> 00:25:34.382]  And then, you know, they didn't want to give her a room, and then they were going to give her a room, and then they wanted her to come in on dead day when there were no students on campus.
[00:25:34.682 --> 00:25:36.605]  You know, they came up with some pretty ridiculous things.
[00:25:36.765 --> 00:25:45.215]  They also wanted to charge the Berkeley Republicans thousands and thousands of dollars for security, which they never did for any liberal guest.
[00:25:46.909 --> 00:25:50.632]  And I'm curious, what is the attorney seeking?
[00:25:50.692 --> 00:25:51.513]  What are they seeking?
[00:25:51.533 --> 00:25:52.814]  What are they looking to get out of this?
[00:25:52.854 --> 00:25:56.877]  Are they looking for Berkeley to get hit with some sort of fine?
[00:25:56.917 --> 00:25:59.599]  Are they looking for the Berkeley Police Department?
[00:25:59.679 --> 00:26:01.321]  What is the goal of this lawsuit?
[00:26:01.912 --> 00:26:05.115]  Yeah, that's a great question, and that's something that I did ask.
[00:26:05.455 --> 00:26:09.278]  So first of all, the lawsuit isn't directly at Berkeley.
[00:26:09.338 --> 00:26:15.183]  It's like, they have specific people that they're going after at Berkeley, and as well, the Berkeley Police Department.
[00:26:15.763 --> 00:26:18.845]  So what they're looking for is policy change.
[00:26:19.426 --> 00:26:22.689]  They want conservatives to be able to come into campus and speak.
[00:26:23.289 --> 00:26:27.632]  And then, you know, the other part is that, you know, if Berkeley loses, then they would pay the legal fees.
[00:26:27.672 --> 00:26:28.013]  That's all.
[00:26:29.076 --> 00:26:32.259]  Now, what is the first response that the attorney has gotten?
[00:26:32.339 --> 00:26:35.522]  Obviously, I'm sure he's been in contact with some people from Berkeley.
[00:26:35.562 --> 00:26:39.245]  They're very aware of the litigation that's about to be coming their way.
[00:26:39.645 --> 00:26:41.027]  What's been their first response?
[00:26:41.187 --> 00:26:42.288]  Are they standing tall?
[00:26:42.308 --> 00:26:43.549]  Do they think they have a case here?
[00:26:43.569 --> 00:26:44.510]  Do they think they're going to win?
[00:26:45.030 --> 00:26:47.813]  Or are they like, yeah, we're acting pretty much illegally.
[00:26:47.853 --> 00:26:48.593]  We hate free speech.
[00:26:48.613 --> 00:26:49.194]  We're going to give in.
[00:26:51.062 --> 00:26:54.224]  So, UC Berkeley pretends that they did nothing wrong.
[00:26:54.725 --> 00:26:59.649]  They pretend, you know, that they tried to accommodate Ann Coulter, when clearly they didn't.
[00:27:00.210 --> 00:27:06.796]  They, you know, try to make it seem like the Berkeley Republicans just threw this event on them at the last minute, and so that's why there was chaos.
[00:27:07.236 --> 00:27:08.837]  But that's simply not true.
[00:27:09.237 --> 00:27:18.300]  The attorney, you know, has the emails from these officials at Berkeley that basically showed, you know, the change in rules that they had at the university.
[00:27:18.880 --> 00:27:30.343]  And so, again, this attorney says that they have a pretty strong case, and she compares this to other cases, like the one in Auburn College, where the conservative students won that case.
[00:27:30.423 --> 00:27:31.604]  A judge ruled in favor
[00:27:32.244 --> 00:27:34.145]  So what do you think is going to happen here?
[00:27:34.165 --> 00:27:41.531]  Obviously it's still early but just based on what you know and obviously the history of similar cases, how do you think this is going to go down?
[00:27:53.131 --> 00:27:54.892]  So this is going to take a while.
[00:27:54.952 --> 00:27:56.474]  This isn't going to happen overnight.
[00:27:56.494 --> 00:28:00.136]  She said that this could last for 12 months, maybe 18 months.
[00:28:00.537 --> 00:28:01.637]  So this is a long time.
[00:28:01.677 --> 00:28:04.940]  But I think that there's a lot of pressure on Berkeley right now.
[00:28:05.020 --> 00:28:08.322]  That's why we saw them cave and say Ann Coulter could come to campus.
[00:28:08.362 --> 00:28:09.463]  But then again, that changed.
[00:28:09.884 --> 00:28:15.588]  So I think that even liberals, some liberals, are calling Berkeley out for what happened.
[00:28:15.908 --> 00:28:23.576]  So I think that, I think Berkeley will change probably on their own at some point because there's so much backlash and anger and people are watching.
[00:28:23.977 --> 00:28:29.462]  But yeah, this is going to take maybe 18 months, but I would say that the, you know, the judge would rule in their favor.
[00:28:29.743 --> 00:28:32.325]  Well, I think here's the problem that they're facing in Berkeley.
[00:28:32.466 --> 00:28:37.231]  Either they have to admit they're not for free speech, which obviously they're never going to admit that.
[00:28:37.891 --> 00:28:43.613]  Or they have to admit that they have domestic terrorists that roam around their campus and that try to stop free speech.
[00:28:43.953 --> 00:28:50.796]  They don't want to admit that either because the domestic terrorists are their friends, because all of them hate Trump in that same boat of deplorables.
[00:28:51.256 --> 00:28:56.839]  So they're kind of, I think, stuck in this weird rock in a hard place where they don't know really where to go with themselves.
[00:28:57.279 --> 00:29:00.060]  And I think they face the same thing with Milo Yiannopoulos.
[00:29:00.580 --> 00:29:09.282]  Who wants to go there as, I believe it was part of his Dangerous Faggot tour, so you could say, okay, you know what, that's offensive, we're at a college, we don't want to endorse the Dangerous Faggot.
[00:29:09.642 --> 00:29:14.243]  Oh, of course then they can't say that because then they would be against, you know, they would be homophobes.
[00:29:14.543 --> 00:29:15.504]  But Ann Coulter?
[00:29:16.204 --> 00:29:16.904]  Ann Coulter?
[00:29:16.964 --> 00:29:18.144]  What has Ann Coulter ever done?
[00:29:18.544 --> 00:29:23.546]  This is just a conservative woman who has never preached anything but just political ideas.
[00:29:24.166 --> 00:29:27.566]  She doesn't have like some crazy tour called Dangerous Faggot.
[00:29:27.967 --> 00:29:29.447]  They can't even deal with Ann Coulter!
[00:29:30.626 --> 00:29:32.587]  Well, so Milo Yiannopoulos, he's a provocateur.
[00:29:32.627 --> 00:29:33.467]  We all know that.
[00:29:34.127 --> 00:29:35.408]  You know, he has some great ideas.
[00:29:35.428 --> 00:29:37.029]  There's a lot of things I don't agree with him.
[00:29:37.549 --> 00:29:40.190]  But he still had the right to speak there, and obviously that was shut down.
[00:29:40.210 --> 00:29:41.671]  When it comes to Ann Coulter, same thing.
[00:29:41.691 --> 00:29:44.692]  She says some things that I agree with, some things I disagree with.
[00:29:44.932 --> 00:29:47.513]  But she definitely was in the right to come and speak.
[00:29:47.913 --> 00:29:50.976]  I will give you an A on your final if you bash the fash.
[00:30:11.075 --> 00:30:18.983]  Yeah, it's pretty bad, and the fact that this is somewhat acceptable and the mainstream media ignores this, this is something I cover a lot on my show.
[00:30:19.003 --> 00:30:23.008]  Well, actually, I'm glad that you went there, because I think that this is really bothering me.
[00:30:24.505 --> 00:30:26.126]  I said this on the Alex Jones Show today.
[00:30:26.206 --> 00:30:32.671]  From CNN to InfoWars, from Huffington Post to Breitbart, everybody should be protesting this.
[00:30:33.352 --> 00:30:37.055]  Every media outlet should be saying, this is an attack on free speech.
[00:30:37.415 --> 00:30:40.457]  If they can come after Ann Coulter, they can come after me.
[00:30:41.278 --> 00:30:44.420]  And if these anti... Okay, and I will say this.
[00:30:44.781 --> 00:30:46.522]  Antifa, we've all been tricked.
[00:30:46.962 --> 00:30:49.224]  It doesn't stand for anti-fascism.
[00:30:49.564 --> 00:30:50.245]  That was a lie.
[00:30:50.725 --> 00:30:52.386]  It stands for anti-First Amendment.
[00:30:52.807 --> 00:30:53.107]  Okay?
[00:30:53.367 --> 00:30:54.128]  And that's been proven.
[00:30:55.000 --> 00:30:59.461]  Yeah, well, Antifa is actually a fascist organization.
[00:30:59.561 --> 00:31:09.105]  If you look at what they do, they try to use violence to instill fear in Americans that are just out there supporting their candidate or supporting conservatives.
[00:31:09.465 --> 00:31:11.365]  Did you just say, hold on, am I hearing that?
[00:31:12.106 --> 00:31:14.926]  Using violence to promote a political agenda?
[00:31:14.946 --> 00:31:16.347]  That's terrorism!
[00:31:17.631 --> 00:31:26.555]  It is terrorism and that's why there was a group of people that were, you know, trying to get them, you know, called, like declared a terrorist organization.
[00:31:26.575 --> 00:31:29.096]  I mean, look at what these people... Is the attorney hearing these pleas?
[00:31:29.116 --> 00:31:30.737]  Has the attorney mentioned this at all?
[00:31:30.817 --> 00:31:32.198]  Is he going to bring this up in the lawsuit?
[00:31:33.211 --> 00:31:36.956]  So, Hermit Dillon has not mentioned the Antifa stuff.
[00:31:37.196 --> 00:31:47.570]  What was mentioned in the lawsuit was the stand-down order from Berkeley officials to the Berkeley Police Department that was even, that same message was relayed to the Berkeley Police.
[00:31:48.551 --> 00:31:50.112]  So there is a stand down order there.
[00:31:50.192 --> 00:31:55.374]  So we saw it in the videos with Milo Yiannopoulos, you know, all the chaos, the riot that broke out there.
[00:31:55.694 --> 00:32:04.158]  Police were kind of just sitting around twiddling their thumbs, you know, letting these thugs break windows, pepper spray people in the face.
[00:32:04.658 --> 00:32:06.979]  And so we were all suspicious of this.
[00:32:07.039 --> 00:32:09.940]  It's like, why didn't they come in and why didn't they stop this?
[00:32:09.980 --> 00:32:12.081]  Why was only one person arrested?
[00:32:12.461 --> 00:32:15.265]  Yeah, these people are clearly terrorists and they're stopping free speech.
[00:32:15.305 --> 00:32:16.266]  It's absolutely ridiculous.
[00:32:16.286 --> 00:32:18.308]  We've got 40 seconds left with you, Stephanie.
[00:32:18.368 --> 00:32:22.053]  Real quick, InfoWars is under an attack right now from liberals right now.
[00:32:22.073 --> 00:32:22.814]  They want to shut us down.
[00:32:22.834 --> 00:32:23.815]  They want to call us fake news.
[00:32:24.095 --> 00:32:27.239]  What are you guys experiencing over at One American News Network?
[00:32:27.299 --> 00:32:28.861]  I know that you guys are obviously conservative.
[00:32:28.881 --> 00:32:30.183]  Are you guys experiencing the same thing?
[00:32:30.203 --> 00:32:30.764]  30 seconds.
[00:32:31.788 --> 00:32:50.623]  I haven't really heard a ton from the left of people trying to shut us down, but I know that conservatives are under attack, liberals want to shut us up, the mainstream media is working with the Democrat Party on pushing the agenda, and you know, all those talking heads are sheep, I'm sorry, wolves in sheep's clothes, and people need to turn that off.
[00:32:50.623 --> 00:32:58.426]  Wait a second, no, I don't, no, guys, I don't like what Stephanie's saying, so I'm gonna grab a baseball bat, I'm gonna beat her over the head with it, and then I'm gonna say that I won the argument.
[00:32:58.686 --> 00:33:01.688]  Stephanie Hamel from the One American News Network, thank you for joining us.
[00:33:02.508 --> 00:33:04.109]  Yeah.
[00:33:04.189 --> 00:33:05.529]  Why is the fungus?
[00:33:05.609 --> 00:33:06.570]  Why is the mold?
[00:33:06.690 --> 00:33:08.130]  Why is the yeast taking over?
[00:33:08.430 --> 00:33:09.251]  What is going on?
[00:33:09.391 --> 00:33:10.191]  What has changed?
[00:33:10.531 --> 00:33:12.752]  Dr. Group, the new product will sell out definitely in days.
[00:33:12.992 --> 00:33:14.693]  You've been testing it for almost a decade.
[00:33:14.713 --> 00:33:18.314]  You've got rave reviews from your patients who've been taking it privately at your clinics.
[00:33:18.555 --> 00:33:18.995]  MycoCx.
[00:33:19.855 --> 00:33:25.400]  Supports normal fungal and yeast balanced proprietary blend of herbs and enzymes made with high quality ingredients.
[00:33:25.681 --> 00:33:27.422]  It's available at InfoWareStore.com.
[00:33:27.482 --> 00:33:28.423]  We also have free shipping.
[00:33:28.523 --> 00:33:32.847]  Orders $50 or more and 10% off when you sign up for auto ship additionally on top of that.
[00:33:32.867 --> 00:33:37.552]  And then you fund an organization dedicated to truth and get something you and your family absolutely need.
[00:33:37.632 --> 00:33:39.994]  But you should consult your health care provider.
[00:33:40.034 --> 00:33:40.775]  This is not a game.
[00:33:40.795 --> 00:33:41.455]  This is not a joke.
[00:33:41.696 --> 00:33:45.019]  Especially if you have really big yeast levels or fungus in your body.
[00:33:45.559 --> 00:33:50.584]  You know, there can be some responses to this as you're flushing it, but why is this product so powerful?
[00:33:50.624 --> 00:33:51.165]  What does it do?
[00:33:51.465 --> 00:33:55.389]  So, we've been doing research just like you have on what's currently going on.
[00:33:55.629 --> 00:34:03.016]  Obviously, we stay ahead of the game because our job is to protect and address the root cause of the problem, which is why I've been... And we want stuff for our own kids.
[00:34:03.597 --> 00:34:06.219]  Well, we've been... This is why we've addressed...
[00:34:06.960 --> 00:34:14.751]  The president, you know, let's address the root cause of America's health problems, but getting back to fungus, it's becoming an increasing epidemic that's only getting worse.
[00:34:14.771 --> 00:34:17.696]  Killing bats everywhere, other animals, squirrels are dying.
[00:34:17.736 --> 00:34:19.478]  Funguses were used as bioweapons.
[00:34:19.498 --> 00:34:21.982]  So why is it suddenly killing so many mammals?
[00:34:22.202 --> 00:34:29.447]  Yeah, fungus is a growing epidemic and I've been testing this formula and making changes to this formula for over 10 years.
[00:34:29.927 --> 00:34:38.733]  I've had nobody, here's the thing Alex, when you go to the doctor with a list of symptoms, you can look at symptoms of fungus overgrowth in the body.
[00:34:39.293 --> 00:34:42.216]  It's going to show, you're going to pull up over a hundred symptoms.
[00:34:42.296 --> 00:34:46.939]  Everything from brain fog, lack of energy, insomnia, headaches, bowel problems.
[00:34:46.979 --> 00:34:47.420]  Joint pain.
[00:34:47.640 --> 00:34:48.400]  It's joint pain.
[00:34:48.441 --> 00:34:49.702]  It's linked to Crohn's disease.
[00:34:49.722 --> 00:34:50.262]  Infertility.
[00:34:50.282 --> 00:34:51.383]  What about the obesity epidemic?
[00:34:51.743 --> 00:34:56.207]  I know they test people that are really obese and like they're just colonized by fungus.
[00:34:56.907 --> 00:34:57.768]  Yeast overgrowth.
[00:34:57.788 --> 00:35:02.472]  I have a study right here by Jacob Tietelbaum at the Fibromyalgia and Fatigue Center in Dallas.
[00:35:02.512 --> 00:35:07.136]  Yeast overgrowth is linked to an average weight gain of 32 and a half pounds.
[00:35:07.896 --> 00:35:10.917]  What doctor... By the way, folks, look, I'm not bragging.
[00:35:11.157 --> 00:35:12.698]  We game-changed the presidency.
[00:35:12.758 --> 00:35:14.258]  We game-changed the New World Order.
[00:35:14.538 --> 00:35:16.139]  Globalism is falling because of you.
[00:35:16.259 --> 00:35:17.259]  You are the Infowar.
[00:35:17.919 --> 00:35:19.940]  Listen, this is religious for me, okay?
[00:35:20.960 --> 00:35:23.521]  I do not bring you something unless I absolutely believe in it.
[00:35:24.443 --> 00:35:28.284]  And if we were reigned with a billion dollars, I would turn 99% of it against the enemy.
[00:35:29.285 --> 00:35:30.285]  I want to defeat them.
[00:35:30.405 --> 00:35:32.626]  I'm ready to give my life, everybody knows that, against the enemy.
[00:35:33.166 --> 00:35:33.586]  Please!
[00:35:34.446 --> 00:35:35.867]  We only have a limited supply of this.
[00:35:36.327 --> 00:35:37.827]  I want to get your reviews, I want to hear what you have to say.
[00:35:37.847 --> 00:35:38.748]  For me, it's been incredible.
[00:35:39.308 --> 00:35:43.789]  MycoZX, anti-fungal, anti-fungus, anti-yeast.
[00:35:43.829 --> 00:35:44.570]  Get it today.
[00:35:44.650 --> 00:35:45.130]  Limited run.
[00:35:45.150 --> 00:35:46.150]  It'll be months until we get more.
[00:35:46.530 --> 00:35:48.291]  InfoWarsStore.com, InfoWarsLife.com.
[00:35:48.931 --> 00:35:50.793]  MycoZx goes great with the bottom defense.
[00:35:50.853 --> 00:35:54.016]  Infowarslive.com or 888-253-3139.
[00:35:54.377 --> 00:35:56.699]  And you can't support an organization that isn't fighting hard.
[00:35:56.719 --> 00:35:58.101]  Look at the response we're getting.
[00:35:58.121 --> 00:36:00.003]  We're changing the world together.
[00:36:00.063 --> 00:36:01.064]  You are the InfoWar.
[00:36:01.084 --> 00:36:01.785]  God bless you all.
[00:36:06.854 --> 00:36:08.195]  Let's go to Devin in Florida.
[00:36:08.255 --> 00:36:09.596]  Devin in Florida, you're on the air.
[00:36:10.477 --> 00:36:10.857]  Great!
[00:36:10.917 --> 00:36:11.938]  Hey, thank you so much.
[00:36:12.058 --> 00:36:16.442]  Listen, I have bought your products and I gotta say they're amazing.
[00:36:16.602 --> 00:36:18.163]  Anyone who's on the fence, buy it.
[00:36:18.304 --> 00:36:25.830]  Because I've got Caveman, Superman Vitality, Secret 12, 5mm Fusion, I've got the Body Armor.
[00:36:25.890 --> 00:36:26.570]  Wow, thank you.
[00:36:26.590 --> 00:36:29.033]  You're the top of the list that makes it all possible.
[00:36:29.113 --> 00:36:30.674]  Which nutraceutical do you like best?
[00:36:30.914 --> 00:36:34.255]  I really like the Vitamin Mineral Fusion, to be honest.
[00:36:34.395 --> 00:36:35.456]  That's really incredible.
[00:36:35.656 --> 00:36:38.697]  I drank it in the morning and I swear to you, I felt incredible.
[00:36:38.717 --> 00:36:39.997]  Like, I haven't fell asleep.
[00:36:40.057 --> 00:36:41.658]  My morning was fantastic.
[00:36:41.738 --> 00:36:42.898]  And I love these guys.
[00:36:42.999 --> 00:36:44.439]  I love the Info Wars crew.
[00:36:45.139 --> 00:36:51.862]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[00:36:52.002 --> 00:36:52.822]  You will love it.
[00:36:53.042 --> 00:36:54.863]  I'm telling you, I've never bought a bad product.
[00:36:55.183 --> 00:36:59.532]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[00:36:59.592 --> 00:37:00.354]  It's a win-win.
[00:37:00.474 --> 00:37:01.256]  InfoWarsLife.com.
[00:37:07.443 --> 00:37:09.485]  Welcome back to the InfoWars Nightly News.
[00:37:09.585 --> 00:37:13.429]  Owen Schroer with you and we are about to be joined by Jack Posobiec.
[00:37:14.190 --> 00:37:20.777]  And I gotta say, Jack, as we bring him on, you have been absolutely kicking butt on Twitter lately.
[00:37:20.817 --> 00:37:24.400]  You have been just the king of the Twitter trolls.
[00:37:24.440 --> 00:37:25.481]  You've been dominating.
[00:37:25.822 --> 00:37:29.726]  Whenever a liberal tweets something and then regrets it and deletes it, you're on top of it.
[00:37:30.126 --> 00:37:32.606]  You're pointing out all the liberal nonsense at the universities.
[00:37:32.987 --> 00:37:40.208]  You're finding stories, I don't know where you find these stories that are clearly attacking Kekistan and Pepe the Frog, but you're all over it, Jack.
[00:37:40.548 --> 00:37:48.969]  And actually, I haven't spoken to you since your new job with The Rebel TV, and you just reached 100,000 followers, so congratulations on both those things.
[00:37:49.349 --> 00:37:51.990]  And now, let's get into Berkeley today.
[00:37:52.010 --> 00:37:54.110]  I know that you were thinking about going out there, you didn't.
[00:37:54.150 --> 00:37:58.471]  Did you not want to get beat up by the fascists that would come out there with, you know, bats probably and everything?
[00:37:59.431 --> 00:38:10.601]  You know, actually, it ended up being something that there was something that came up in D.C., sort of a special project kind of thing that I can't announce yet, but I absolutely had to be there for today in D.C.
[00:38:10.741 --> 00:38:11.642]  I was all set, man.
[00:38:11.782 --> 00:38:14.344]  I had my plane tickets ready to go.
[00:38:14.384 --> 00:38:15.785]  I was going to hop on a flight at 7 a.m.
[00:38:15.805 --> 00:38:16.426]  to go out there.
[00:38:17.353 --> 00:38:25.435]  With Rebel, we already had Gavin McInnes and Faith Goldie out there, and when this thing popped up in D.C., I was like, you know what, I can't get out of town.
[00:38:25.455 --> 00:38:32.777]  So it was just one of those things, but we made sure the Rebel was there, and I made sure to do everything I could to get the message out about what was going on on the ground.
[00:38:33.438 --> 00:38:39.419]  Interestingly enough, we're now seeing some misinformation come from the Berkeley Police Department.
[00:38:39.739 --> 00:38:45.661]  They've been responding to my tweets of what's going on, and so I'm literally sitting here at home watching
[00:38:46.791 --> 00:39:00.855]  Uh, watching the Periscope or watching different live streams like Tim Pool, who's, you know, a great independent journalist, and writing tweets about what I see, you know, when I have a minute to get in, and the Berkeley Police Department starts responding to me and says, that's not true, that's not true.
[00:39:00.895 --> 00:39:07.157]  And I'm like, uh, I've got video footage of it, so why are you putting out information that's already refuted?
[00:39:07.197 --> 00:39:08.538]  Why are you trying to gaslight people?
[00:39:08.578 --> 00:39:09.618]  Well, now hold on a second, though.
[00:39:09.998 --> 00:39:12.779]  This is actually an interesting thing that you would point that out, because
[00:39:13.839 --> 00:39:18.825]  The tactic that you just mentioned by the Berkeley Police, who does the same tactic?
[00:39:19.145 --> 00:39:20.006]  Liberal trolls.
[00:39:20.927 --> 00:39:25.212]  I'm thinking that this might be another connection here between Berkeley Police and Antifa.
[00:39:25.652 --> 00:39:27.795]  We already know about the mayor.
[00:39:28.015 --> 00:39:30.758]  Wasn't it the mayor that had the connection with Antifa?
[00:39:31.809 --> 00:39:38.191]  Yeah, so the mayor was a member of this group called By All Means Necessary, BAMN.
[00:39:38.211 --> 00:39:40.512]  And they're essentially a front group of Antifa.
[00:39:40.532 --> 00:39:43.713]  See, nobody goes around saying that they're members of Antifa, right?
[00:39:43.753 --> 00:39:48.834]  They say, oh no, we're part of, you know, climate change or anti-racism, this and that.
[00:39:49.475 --> 00:39:51.695]  But when they organize, they'll put themselves in groups.
[00:39:51.935 --> 00:39:56.217]  And one of them for the Berkeley area was By All Means Necessary, BAMN.
[00:39:56.537 --> 00:39:59.418]  And it turned out that the Berkeley mayor, somebody was searching through their
[00:40:00.058 --> 00:40:00.799]  We're good to go.
[00:40:17.674 --> 00:40:31.437]  Yeah, and you know it's funny, you actually pointed this out on your Twitter account, how now social media platforms like 4chan are doing a more effective job at identifying these people and finding them than the actual FBI.
[00:40:32.557 --> 00:40:42.899]  Yeah, so it's interesting and you know we just launched StopAntifa.com where we're trying to get a petition going to have Antifa declared a domestic terrorist organization.
[00:40:42.919 --> 00:40:44.560]  Yeah, what is taking so long with that?
[00:40:44.620 --> 00:40:45.200]  I'm sorry, go ahead.
[00:40:45.731 --> 00:41:01.154]  Yeah, no, and I went and looked up the definition of that, which is actually laid out in, believe it or not, the Patriot Act, and it's like, using violence to achieve political ends, demanding your opponents do what you say, you know, with the force of violence, organizing in the United States, it's like,
[00:41:01.554 --> 00:41:04.096]  Yeah, every single thing you've mentioned here is ticked off.
[00:41:04.396 --> 00:41:05.637]  You're perpetuating violence.
[00:41:05.657 --> 00:41:06.918]  They're organizing online.
[00:41:07.158 --> 00:41:11.141]  They're doing huge, massive protests nationwide, especially in New York and D.C.
[00:41:11.201 --> 00:41:11.902]  on May 1st.
[00:41:11.982 --> 00:41:13.883]  It's sort of the communist holiday.
[00:41:13.923 --> 00:41:15.565]  So I'm like, what exactly?
[00:41:15.665 --> 00:41:16.966]  Where is the FBI on this?
[00:41:17.006 --> 00:41:17.926]  Where's James Comey?
[00:41:18.166 --> 00:41:20.488]  Where's the billions of dollars that's given to that budget?
[00:41:20.688 --> 00:41:22.330]  Why aren't they infiltrating this group?
[00:41:22.550 --> 00:41:23.530]  Why aren't they outing them?
[00:41:23.651 --> 00:41:25.372]  Why aren't they stopping any of this violence?
[00:41:25.672 --> 00:41:49.191]  No, it's shocking, and you have, as you just pointed out, the mayor associated with BAM, we've had weird incidents with police, weird behavior by police, you've had Antifa using police-level smoke grenades and flash grenades, and then you have even professors at UC Berkeley like Robert Reisch, I wish he would shut up,
[00:41:49.997 --> 00:41:50.698]  Promoting!
[00:41:50.838 --> 00:41:51.799]  Promoting this stuff!
[00:41:52.420 --> 00:41:58.046]  And then as you just laid out, you know, you just read the definition of terrorism according to the Patriot Act, domestic terrorism.
[00:41:58.106 --> 00:42:00.168]  I actually thought you were reading the definition of Antifa.
[00:42:00.688 --> 00:42:01.990]  I don't know what's taking so long, Jack.
[00:42:02.330 --> 00:42:08.437]  I don't know why every media outlet in the United States is not just absolutely in arms about this attack on free speech.
[00:42:08.477 --> 00:42:10.339]  This should not be about partisan politics.
[00:42:10.699 --> 00:42:12.021]  This should be about free speech.
[00:42:12.679 --> 00:42:24.222]  Just as a kind of, you know, a check to look at what the mainstream media was putting out, I went to CNN.com, I went to that little search bar they have up in the top, and I just typed in the word Antifa.
[00:42:24.562 --> 00:42:25.622]  No results found.
[00:42:25.762 --> 00:42:26.062]  Wow.
[00:42:26.103 --> 00:42:30.244]  CNN hasn't done a single report on even what Antifa is.
[00:42:30.764 --> 00:42:32.004]  Reporting nothing.
[00:42:32.204 --> 00:42:32.864]  Not even a feedback.
[00:42:32.904 --> 00:42:35.165]  But you know, but you know why they can't do that because
[00:42:35.805 --> 00:42:36.605]  What is Antifa?
[00:42:36.805 --> 00:42:39.006]  Antifa is a product of CNN.
[00:42:39.587 --> 00:42:41.748]  Antifa is a product of George Soros.
[00:42:42.168 --> 00:42:44.069]  So why would CNN want to shed light on that?
[00:42:44.389 --> 00:42:46.070]  That is the key right there.
[00:42:46.250 --> 00:42:46.770]  That is the key.
[00:42:47.438 --> 00:42:49.119]  Right, because they don't want to show the connections.
[00:42:49.299 --> 00:42:54.781]  And, you know, some of the research I was doing with Rebel Media on this, we dug down into the history of Antifa.
[00:42:55.241 --> 00:42:57.682]  And they're actually founded by Leon Trotsky.
[00:42:57.942 --> 00:42:59.963]  They're actually, yeah, there you go.
[00:43:00.003 --> 00:43:07.966]  They're actually founded by Leon Trotsky of the Soviet Union to go out back in, this is back in the 20s and 30s, to destabilize countries across Europe.
[00:43:08.227 --> 00:43:11.428]  They focused on Italy, they focused on Germany, Poland.
[00:43:11.868 --> 00:43:14.009]  And they wanted, see, they wanted people to
[00:43:14.349 --> 00:43:27.434]  I think that Antifa creating violence in the streets meant that because your government couldn't stop the violence, oh well then your government was illegitimate and if you want a legitimate government then you must listen to this Communist Party and look how, you know, how well we've done things in Russia.
[00:43:27.734 --> 00:43:39.979]  So they were the willful idiots back in the days of the Communist Party of the Soviet Union and now it looks like they're becoming the same thing, it's the same exact playbook that's been going on for, it's nearly been a hundred years at this point, man.
[00:43:40.475 --> 00:43:46.176]  You know, it's interesting, Jack, because so far today, it looks like Antifa has stepped out.
[00:43:46.216 --> 00:43:58.479]  Of course, the sun hasn't set, and there's police all over the streets in Berkeley, so yes, Antifa only likes to come out when they can get in a cheap shot and not have their faces identified, especially now that people on social media are identifying it.
[00:43:58.959 --> 00:43:59.859]  But I'd like to hear your thoughts.
[00:44:00.059 --> 00:44:03.820]  My opinion on this is, if there's one more development in this situation,
[00:44:04.600 --> 00:44:11.463]  If Antifa keeps one more person from having a free speech event, they just had to cancel an event in Portland, Oregon again because of Antifa.
[00:44:11.783 --> 00:44:27.069]  If Antifa has one more event where violence breaks out, I don't see any reason why they are not labeled a terrorist organization, a domestic terrorist organization, and I don't see any reason why Donald Trump himself, the President of the United States, doesn't come out and make a serious, stern statement against these people.
[00:44:27.958 --> 00:44:32.361]  Absolutely, and Jeff Sessions as the Attorney General, this should be part and parcel of it.
[00:44:32.381 --> 00:44:42.269]  I mean, why do we have the FBI talking about, you know, these fake Russian accounts, the BuzzFeed dossier, which is just actually... Don't forget about Tom Brady's jersey now!
