[00:00:22.406 --> 00:00:24.127]  Welcome to the NFOR's Nightly News.
[00:25:11.861 --> 00:25:12.241]  Showed it.
[00:25:12.322 --> 00:25:13.022]  Showed off it.
[00:25:13.282 --> 00:25:14.263]  And trotted it out.
[00:25:15.066 --> 00:25:21.168]  And you know, the people who were supposed to have their privacy protected were unclothed, uncovered, unveiled.
[00:25:22.048 --> 00:25:25.629]  Just as if she'd gone out and pulled somebody's pants down on stage.
[00:25:25.969 --> 00:25:27.689]  You have an expectation of privacy.
[00:25:28.570 --> 00:25:30.730]  And you have a legal right to that kind of privacy.
[00:25:30.770 --> 00:25:31.671]  No laws were violated.
[00:25:33.880 --> 00:25:34.820]  Surveilling these people.
[00:25:34.880 --> 00:25:36.781]  Why don't we know who they were surveilling?
[00:25:36.801 --> 00:25:38.362]  Why don't we come out with some of that information?
[00:25:38.382 --> 00:25:44.064]  You know, there was an editorial on The Hill, an op-ed piece, asked why is the mainstream media trying to cover up the Susan Rice story?
[00:25:44.824 --> 00:25:48.345]  And so the worst kind of bias is the bias of omission.
[00:25:48.365 --> 00:25:51.066]  And it's something that I've said many times.
[00:25:51.086 --> 00:25:55.768]  We want to talk about an objective media, what they choose to cover.
[00:25:56.536 --> 00:25:57.677]  Reflects their bias.
[00:25:58.638 --> 00:26:01.141]  Not even what they happen to say, but what they choose to cover.
[00:26:01.361 --> 00:26:06.686]  And we can see this in spades with the Susan Rice story and the fact that they do not want to cover it.
[00:26:07.106 --> 00:26:12.251]  And so they ask in this editorial, why is this a big story that deserves attention?
[00:26:12.271 --> 00:26:15.735]  Well, simply put, one of the highest ranking members of the previous administration
[00:26:16.335 --> 00:26:27.481]  Unmask, or let's say, brandished or advertised, names of members of the incoming administration via classified intelligence reports, prompting many questions that warrant dodged journalism.
[00:26:27.561 --> 00:26:30.182]  For example, who leaked the information?
[00:26:30.422 --> 00:26:32.183]  She says, well, this isn't the same as leaking.
[00:26:32.543 --> 00:26:33.764]  We're going to call this unmasking.
[00:26:33.804 --> 00:26:35.044]  Look, understand what they're doing.
[00:26:36.025 --> 00:26:40.727]  They're trying to frame members of the Trump administration, particularly President Trump.
[00:26:41.769 --> 00:26:42.389]  By doing this.
[00:26:42.970 --> 00:26:47.492]  And part of that is by using the term, even using the term unmasking, they make it look as if he had done something.
[00:26:47.512 --> 00:26:50.874]  But they're trying to create this guilt by association.
[00:26:51.194 --> 00:26:53.035]  Guilt by alleged association.
[00:26:53.595 --> 00:26:59.158]  Then they also ask, who if anyone ordered Rice to open to view the names of private U.S.
[00:26:59.178 --> 00:27:00.218]  citizens in the first place?
[00:27:00.959 --> 00:27:05.801]  Was the ultimate objective of spying and exposing Trump associates for political purposes?
[00:27:06.261 --> 00:27:07.882]  Or for national security reasons?
[00:27:07.942 --> 00:27:09.383]  If it's for national security reasons,
[00:27:10.253 --> 00:27:14.255]  Then by this time, now that we've gone for seven or eight months, you should have something there.
[00:27:14.315 --> 00:27:17.436]  If there is a national security issue, you should be public with it.
[00:27:17.876 --> 00:27:18.617]  You should let us know.
[00:27:19.217 --> 00:27:29.921]  Why did Rice lie when originally asked about an announcement by the House Intelligence Committee Chairman, Devin Nunes, that Trump and some transition team members were incidentally swept up in the surveillance?
[00:27:29.941 --> 00:27:33.603]  She told Judy Woodruff on March 22nd, I know nothing.
[00:27:33.623 --> 00:27:34.783]  I know nothing about this.
[00:27:35.283 --> 00:27:38.325]  I was surprised to see reports from Chairman Nunes on that account.
[00:27:39.145 --> 00:27:40.965]  And then they said this, and I think this is very telling.
[00:27:41.946 --> 00:28:00.569]  If you were somebody like Tim Russert of NBC's Meet the Press, and you had an interview with Donna Rice after all, or Susan Rice after all this came out, wouldn't you think that Andrea Mitchell would begin by playing that when she said, I know absolutely nothing about this information that Nunes is talking about?
[00:28:00.649 --> 00:28:01.770]  I know nothing about that.
[00:28:02.150 --> 00:28:03.310]  Wouldn't you lead with that?
[00:28:03.870 --> 00:28:07.431]  Wouldn't you lead with the statement that she made that was an outright lie?
[00:28:09.107 --> 00:28:13.854]  Because the purpose of Andrea Mitchell was to help her evade what was going on.
[00:28:13.874 --> 00:28:17.018]  And then they talk about how the New York Times didn't feature the story at all.
[00:28:17.078 --> 00:28:23.287]  Instead, buried on A16, they have Trump tries to deflect Russia scrutiny, citing crooked scheme by Obama.
[00:28:23.327 --> 00:28:25.890]  As they point out, that is nothing but a joke.
[00:28:26.687 --> 00:28:40.034]  Now we know that Mitch McConnell came out today and said that he is going to back a Senate Intelligence Committee to conduct a query that will be headed by Senators Richard Burr and Mark Warner.
[00:28:40.414 --> 00:28:42.895]  Richard Burr being a Republican, Mark Warner being a Democrat.
[00:28:44.296 --> 00:28:49.218]  Conduct a query into Susan Rice's handling of this raw intelligence data.
[00:28:50.539 --> 00:28:52.840]  Now as we look at the censorship that is going on here.
[00:28:53.635 --> 00:28:58.173]  I want to highlight a story that was on WND, which gives us a good example.
[00:28:59.042 --> 00:29:24.137]  Of how social media is subtly shutting things down and censoring them, because it reflects on our privacy, it reflects on the freedom of press, and we're going to talk here about how the Soros-funded groups are now complaining, just as Nancy Pelosi has, that Trump is destroying our privacy by allowing your ISPs to sell information about you, ignoring all of the things that they have put in place to destroy your privacy.
[00:29:24.767 --> 00:29:27.348]  And I'm not saying that it's a good thing that the ISPs are doing that.
[00:29:27.368 --> 00:29:28.408]  I'm not in favor of that.
[00:29:28.948 --> 00:29:33.849]  But clearly they're using this for political partisan purposes and there are other things that are happening with it.
[00:29:33.869 --> 00:29:37.250]  But let's take a look at the way that social media, for example, is censoring.
[00:29:37.350 --> 00:29:41.711]  And of course you know that they have far more information on you than the ISPs do.
[00:29:42.211 --> 00:29:48.892]  The ISPs will never collect the kind of information that you freely give to Facebook on a daily basis.
[00:29:49.512 --> 00:29:51.953]  WND points out that there was a drudge tweet
[00:29:53.098 --> 00:29:56.602]  That basically put a gag on Trump's account.
[00:29:56.622 --> 00:30:01.108]  The president's message was replaced with a warning that there was potentially sensitive content.
[00:30:01.168 --> 00:30:09.939]  Now they noticed that as Matt Drudge put out that Rice had ordered spy documents on Donald Trump, he retweeted that.
[00:30:10.879 --> 00:30:14.182]  And somebody pointed out, hey look, Trump is retweeting the Drudge Report.
[00:30:14.202 --> 00:30:20.228]  They said that was way too much for somebody at Twitter, so what they did was, they essentially put it on a restricted basis.
[00:30:20.288 --> 00:30:23.451]  They said this tweet may include potentially sensitive content.
[00:30:24.164 --> 00:30:28.046]  In order to view it, you'll need to change your sensitive media selection.
[00:30:28.086 --> 00:30:32.749]  You can find this under the safety section of your privacy and safety account settings.
[00:30:33.469 --> 00:30:34.150]  Isn't that interesting?
[00:30:34.890 --> 00:30:41.934]  So, once Donald Trump retweeted that, they put that on as potentially sensitive information.
[00:30:41.974 --> 00:30:46.777]  The fact that he retweeted that things were being exposed with Susan Rice.
[00:30:47.617 --> 00:30:54.915]  Sierra Hedge pointed out that Westminster blog, and of course this is the British blog that has been put together, with...
[00:30:56.420 --> 00:31:03.867]  Nigel Farage and others who are part of Brexit says it appears that the change cannot be done even inside the Twitter app.
[00:31:04.267 --> 00:31:14.137]  They warn that it looks like an anti-establishment movement that is going to have to battle to sustain its voice because they're going to try to shut us down in every way possible.
[00:31:14.978 --> 00:31:17.820]  So we now have the Soros group fight for the future.
[00:31:18.701 --> 00:31:24.545]  Saying that we have to organize to stop ISPs from selling our information.
[00:31:25.106 --> 00:31:27.587]  Not that we're going to organize to stop Google.
[00:31:28.348 --> 00:31:31.730]  Not that we're going to demand that Google not censor alternative media.
[00:31:31.790 --> 00:31:34.812]  Or that we would demand that Facebook not censor it.
[00:31:34.832 --> 00:31:36.734]  So we're going to talk about what's going on in Germany.
[00:31:37.254 --> 00:31:41.257]  Massive fines being put forward there to justify
[00:31:42.355 --> 00:31:46.117]  The twisting of arms and the censoring of people there with social media.
[00:31:46.417 --> 00:31:59.145]  But they point out in this article at InfoWars.com by Jerome Corsi, Fight for the Future is a non-profit organization founded in 2011 whose mission is to ensure that the web continues to hold freedom of expression and creativity at its core.
[00:31:59.165 --> 00:32:00.106]  Well that sounds really great.
[00:32:00.706 --> 00:32:01.947]  And nobody would argue with that.
[00:32:03.087 --> 00:32:08.431]  Except that they're using this in a purely political way and these people have supported
[00:32:09.562 --> 00:32:12.383]  Google's censorship of the web at the same time.
[00:32:12.423 --> 00:32:19.046]  So they say on the one hand, we're against privacy violations, but then they support censorship of the web.
[00:32:19.466 --> 00:32:26.189]  In the same way, as I didn't get to in the last segment, I wanted to talk about what was being done with this Soros group, the White Helmets.
[00:32:27.045 --> 00:32:28.726]  We look at what is happening in Syria.
[00:32:28.746 --> 00:32:43.095]  It said the day before this attack, there was a Gulf-based Orient TV that announced, tomorrow we are launching a media campaign to cover airstrikes on Hama countryside, including the usage of chemical warfare against civilians.
[00:32:43.815 --> 00:32:44.476]  Isn't that interesting?
[00:32:44.516 --> 00:32:46.378]  That a day before this happened, that came out.
[00:32:46.838 --> 00:32:53.685]  And that the day that it happens, they immediately know who is to blame, so we can start launching missiles right away.
[00:32:54.125 --> 00:32:55.106]  So we can change everything.
[00:32:55.467 --> 00:32:59.230]  That is the hallmark of a false flag attack.
[00:32:59.691 --> 00:33:03.354]  And the fingerprints of this other Soros group, the White Helmets, is all over it.
[00:33:04.435 --> 00:33:05.777]  Why is the fungus?
[00:33:05.857 --> 00:33:06.819]  Why is the mold?
[00:33:06.939 --> 00:33:08.381]  Why is the yeast taking over?
[00:33:08.701 --> 00:33:09.482]  What is going on?
[00:33:09.663 --> 00:33:10.424]  What has changed?
[00:33:10.684 --> 00:33:13.027]  Dr. Group, the new product will sell out definitely in days.
[00:33:13.047 --> 00:33:14.970]  You've been testing it for almost a decade.
[00:33:14.990 --> 00:33:18.575]  You've got rave reviews from your patients who've been taking it privately at your clinics.
[00:33:18.815 --> 00:33:19.256]  MycoCX.
[00:33:20.117 --> 00:33:25.639]  Supports normal fungal and yeast balanced proprietary blend of herbs and enzymes made with high quality ingredients.
[00:33:25.939 --> 00:33:27.660]  It's available at InfoWorksStore.com.
[00:33:27.740 --> 00:33:28.680]  We also have free shipping.
[00:33:28.780 --> 00:33:31.861]  Order $50 or more and 10% off when you sign up for auto-ship.
[00:33:31.921 --> 00:33:37.783]  Additionally, on top of that, you fund an organization dedicated to the truth and get something you and your family absolutely need.
[00:33:37.883 --> 00:33:40.244]  But you should consult your health care provider.
[00:33:40.264 --> 00:33:41.004]  This is not a game.
[00:33:41.024 --> 00:33:41.705]  This is not a joke.
[00:33:42.045 --> 00:33:45.266]  Especially if you have really big yeast levels or fungus in your body.
[00:33:45.786 --> 00:33:50.830]  You know, there can be some responses to this as you're flushing it, but why is this product so powerful?
[00:33:50.870 --> 00:33:51.410]  What does it do?
[00:33:51.711 --> 00:33:55.654]  So, we've been doing research just like you have on what's currently going on.
[00:33:55.874 --> 00:34:03.259]  Obviously, we stay ahead of the game because our job is to protect and address the root cause of the problem, which is why I've been... Now, we want stuff for our own kids.
[00:34:03.860 --> 00:34:06.462]  Well, we've been... This is why we've addressed...
[00:34:07.202 --> 00:34:14.992]  The president, you know, let's address the root cause of America's health problems, but getting back to fungus, it's becoming an increasing epidemic that's only getting worse.
[00:34:15.012 --> 00:34:17.936]  Killing bats everywhere, other animals, squirrels are dying.
[00:34:17.996 --> 00:34:19.738]  Funguses were used as bioweapons.
[00:34:19.758 --> 00:34:22.141]  So why is it suddenly killing so many mammals?
[00:34:22.461 --> 00:34:29.704]  Yeah, fungus is a growing epidemic and I've been testing this formula and making changes to this formula for over 10 years.
[00:34:30.185 --> 00:34:38.989]  I've had nobody, here's the thing Alex, when you go to the doctor with a list of symptoms, you can look at symptoms of fungus overgrowth in the body.
[00:34:39.549 --> 00:34:42.472]  It's going to show, you're going to pull up over a hundred symptoms.
[00:34:42.552 --> 00:34:47.195]  Everything from brain fog, lack of energy, insomnia, headaches, bowel problems.
[00:34:47.235 --> 00:34:47.776]  Joint pain.
[00:34:47.896 --> 00:34:48.636]  It's joint pain.
[00:34:48.697 --> 00:34:49.938]  It's linked to Crohn's disease.
[00:34:49.958 --> 00:34:50.498]  Infertility.
[00:34:50.518 --> 00:34:51.659]  What about the obesity epidemic?
[00:34:51.979 --> 00:34:53.841]  I know they test people that are really obese.
[00:34:54.181 --> 00:34:56.463]  They're just colonized by fungus.
[00:34:57.183 --> 00:34:58.024]  Yeast overgrowth.
[00:34:58.044 --> 00:35:02.728]  I have a study right here by Jacob Tietelbaum at the Fibromyalgia and Fatigue Center in Dallas.
[00:35:02.768 --> 00:35:07.392]  Yeast overgrowth is linked to an average weight gain of 32 and a half pounds.
[00:35:08.152 --> 00:35:09.013]  What doctor?
[00:35:09.033 --> 00:35:11.175]  By the way, folks, look, I'm not bragging.
[00:35:11.395 --> 00:35:12.956]  We game-changed the presidency.
[00:35:13.016 --> 00:35:14.517]  We game-changed the New World Order.
[00:35:14.797 --> 00:35:16.399]  Globalism is falling because of you.
[00:35:16.519 --> 00:35:17.520]  You are the Infowar.
[00:35:18.180 --> 00:35:20.202]  Listen, this is religious for me, okay?
[00:35:21.222 --> 00:35:23.764]  I do not bring you something unless I absolutely believe in it.
[00:35:24.719 --> 00:35:28.540]  And if we were reigned with a billion dollars, I would turn 99% of it against the enemy.
[00:35:29.541 --> 00:35:30.541]  I want to defeat them.
[00:35:30.661 --> 00:35:32.862]  I'm ready to give my life, everybody knows that, against the enemy.
[00:35:33.402 --> 00:35:33.842]  Please!
[00:35:34.702 --> 00:35:36.123]  We only have a limited supply of this.
[00:35:36.583 --> 00:35:38.083]  I want to get your reviews on here, what you have to say.
[00:35:38.103 --> 00:35:39.024]  For me, it's been incredible.
[00:35:39.564 --> 00:35:44.025]  MycoZX, anti-fungal, anti-fungus, anti-yeast.
[00:35:44.085 --> 00:35:44.826]  Get it today.
[00:35:44.906 --> 00:35:45.386]  Limited run.
[00:35:45.406 --> 00:35:46.406]  It'll be months till we get more.
[00:35:46.806 --> 00:35:48.547]  InfoWarsStore.com, InfoWarsLife.com.
[00:35:49.187 --> 00:35:50.689]  Let's go to Debit in Florida.
[00:35:50.709 --> 00:35:52.751]  Debit in Florida, you're on the air.
[00:36:10.734 --> 00:36:11.114]  Great.
[00:36:11.174 --> 00:36:12.195]  Hey, thank you so much.
[00:36:12.315 --> 00:36:16.698]  Listen, I have bought your products and I gotta say they're amazing.
[00:36:16.858 --> 00:36:18.419]  Anyone who's on the fence, buy it.
[00:36:18.559 --> 00:36:24.343]  Because I've got Caveman, Superman Vitality, Secret Swell, Spider-Man Interfusion.
[00:36:24.703 --> 00:36:25.964]  I've got the Body Armor.
[00:36:26.124 --> 00:36:26.924]  Wow, thank you.
[00:36:26.964 --> 00:36:29.286]  You're the top illustrator that makes it all possible.
[00:36:29.346 --> 00:36:30.927]  Which nutraceuticals do you like best?
[00:36:31.167 --> 00:36:34.509]  I really like the Vitamin Mineral Fusion, to be honest.
[00:36:34.649 --> 00:36:35.709]  That's really incredible.
[00:36:35.929 --> 00:36:38.951]  I drank it in the morning and I swear to you, I felt incredible.
[00:36:38.971 --> 00:36:40.252]  Like, I haven't fell asleep.
[00:36:40.312 --> 00:36:41.912]  My morning was fantastic.
[00:36:41.992 --> 00:36:43.153]  And I love you guys.
[00:36:43.253 --> 00:36:44.714]  I love the Info Wars crew.
[00:36:45.394 --> 00:36:52.117]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[00:36:52.257 --> 00:36:53.078]  You will love it.
[00:36:53.298 --> 00:36:55.119]  I'm telling you, I've never bought a bad product.
[00:36:55.439 --> 00:36:59.810]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[00:36:59.850 --> 00:37:00.612]  It's a win-win.
[00:37:00.732 --> 00:37:01.514]  InfoWarsLife.com.
[00:37:17.017 --> 00:37:30.898]  A creeping pro-sharia academic curriculum blankets the United States, thanks to the Department of Education, PBS, the George W. Bush Administration, and the former Muslim Brotherhood lackey-in-chief, Barack Obama.
[00:37:31.038 --> 00:37:32.440]  He took them off!
[00:37:33.081 --> 00:37:34.022]  The terrorist list.
[00:37:34.502 --> 00:37:40.246]  For years and years, the Muslim Brotherhood is on the terrorist list around the world.
[00:37:40.446 --> 00:37:42.907]  In the Arab world, who knows them best?
[00:37:43.488 --> 00:37:51.553]  But Mr. Barack decided to take them off the terrorist list and start to be sponsoring them and put them in charge of Egypt.
[00:37:51.673 --> 00:37:59.999]  An unabashed initiation of Sharia law indoctrination unleashed on feral 5th grade to 12th grade American minds.
[00:38:00.259 --> 00:38:02.781]  A system completely opposed to the U.S.
[00:38:02.821 --> 00:38:09.906]  Constitution, American traditions, and a stepping stone into the savage underbelly of homegrown jihadism.
[00:38:10.126 --> 00:38:17.531]  Breitbart writes, Access Islam is funded by the Department of Education and is being promoted on various websites.
[00:38:17.731 --> 00:38:29.224]  Martin Malyar, president and founder of Christian Action Network, or CAN, tells Breitbart News, so PBS Learning Media is one of the websites that is promoting it.
[00:38:29.344 --> 00:38:31.687]  The Smithsonian also promotes it.
[00:38:31.807 --> 00:38:34.670]  The Indiana Department of Education promotes it.
[00:38:34.850 --> 00:38:37.533]  And even the United Nations promotes it.
[00:38:37.633 --> 00:38:38.373]  Well, that's a given.
[00:38:38.574 --> 00:38:40.535]  In a demand letter to U.S.
[00:38:40.736 --> 00:38:49.784]  Education Secretary Betsy DeVos, President of PBS Paula Kerger, and President of Ohio State University Michael Drake,
[00:38:50.024 --> 00:39:09.464]  Can wrote, The nature of the materials and lack of any similar materials for other religions such as Judaism, Christianity, or Hinduism demonstrate the Establishment Clause violation, because there can be no argument that the materials are for comparative educational purposes.
[00:39:09.764 --> 00:39:17.532]  Malyar says CAN has been able to determine the curriculum was originally started by President George W. Bush in 2005.
[00:39:18.253 --> 00:39:25.480]  But at that time, it was a program that simply taught students about the traditions, culture, and holidays of Islam.
[00:39:25.740 --> 00:39:30.122]  Then, it became greatly expanded under the Obama administration.
[00:39:30.282 --> 00:39:35.364]  It has continued to develop and now has had a greater, broader outreach.
[00:39:35.684 --> 00:39:49.709]  In the early 1960s, the Supreme Court ruled on Engel v. Vitale and Abington School District v. Shemp, declaring school-sponsored prayer and Bible readings unconstitutional.
[00:39:49.989 --> 00:39:53.730]  So why is the indoctrination of Sharia protected?
[00:39:53.950 --> 00:39:54.811]  And by what?
[00:39:55.111 --> 00:39:56.271]  Certainly not the U.S.
[00:39:56.331 --> 00:39:57.171]  Constitution.
[00:39:57.371 --> 00:40:06.074]  It appears to be protected by a league of bleeding-heart lefties and Sharia advocates inhabiting the legislatures across America.
[00:40:06.354 --> 00:40:16.221]  For example, on March 25th, the Montana legislature passed in a tight vote, 56 to 44, to ban Sharia law in the United States.
[00:40:16.541 --> 00:40:24.286]  Sharia law boldly states that it is the only law of the land, thus eventually circumventing the U.S.
[00:40:24.566 --> 00:40:25.347]  Constitution.
[00:40:36.514 --> 00:40:38.075]  So that should be above the U.S.
[00:40:38.175 --> 00:40:38.976]  Constitution?
[00:40:39.036 --> 00:40:39.276]  Yes.
[00:40:39.977 --> 00:40:43.359]  And what are your views on, say, local U.S.
[00:40:43.399 --> 00:40:45.541]  governing laws versus Sharia law?
[00:40:45.801 --> 00:40:51.485]  A lot of people are pretty turned off by the word Sharia, but there's not much to it.
[00:40:51.525 --> 00:40:55.628]  It's really just the same fundamentals that are laid out in the Constitution.
[00:40:56.068 --> 00:40:56.389]  Negative.
[00:40:56.449 --> 00:40:57.950]  Under Sharia law, wives can be beaten.
[00:40:58.251 --> 00:41:00.893]  Under Sharia law, females enjoy fewer rights than males.
[00:41:01.294 --> 00:41:05.198]  Under Sharia law, wives should be subservient to their husbands.
[00:41:05.458 --> 00:41:09.923]  And under Sharia law, women are deemed lacking in faith and intelligence.
[00:41:10.403 --> 00:41:15.188]  All of these things do not happen under the Constitution because men and women have the exact same rights.
[00:41:15.569 --> 00:41:15.789]  So...
[00:41:16.149 --> 00:41:20.470]  Who were the 44 fools in Montana who voted against it?
[00:41:20.650 --> 00:41:29.491]  It's nothing less than an affront to our battle-hardened First Amendment, strictly prohibiting the aggressive establishment of a state religion.
[00:41:29.751 --> 00:41:31.452]  John Bowne for InfoWars.com.
[00:41:32.512 --> 00:41:37.993]  As John Bowne was pointing out, this pro-Sharia agenda is being funded by the Department of Education.
[00:41:38.593 --> 00:41:39.973]  It's got connections to the Bush family.
[00:41:40.013 --> 00:41:42.033]  It's all part of the social engineering that happens there.
[00:41:42.053 --> 00:41:44.674]  But of course, remember that our Department of Education
[00:41:45.564 --> 00:41:55.693]  And the people who are trying to dictate what is happening in our local schools, it's not just a social and political agenda that they're selling us, but they're deliberately trying to dumb down our children.
[00:41:55.713 --> 00:42:05.902]  And of course we had Charlotte Isserby point that out, along with Phyllis Schlafly, as they went to the new Department of Education, right after Ronald Reagan became president back in 1980.
[00:42:07.483 --> 00:42:11.524]  And they said, this is a deliberate attempt to dumb our children down.
[00:42:11.564 --> 00:42:12.325]  We have to get rid of this.
[00:42:12.365 --> 00:42:14.625]  It had just been created by Jimmy Carter.
[00:42:14.645 --> 00:42:15.746]  It was less than four years old.
[00:42:16.026 --> 00:42:17.826]  Ronald Reagan had campaigned to get rid of it.
[00:42:17.886 --> 00:42:18.307]  He didn't.
[00:42:18.667 --> 00:42:19.287]  Where are we now?
[00:42:19.467 --> 00:42:24.569]  Well, we've got a Department of Education that is trying, among other things, to push Common Core issues on us.
[00:42:24.629 --> 00:42:28.450]  We had Donald Trump yesterday going to a CEO business town hall.
[00:42:29.190 --> 00:42:31.651]  And he had this to say, very encouraging what he had to say.
[00:42:31.711 --> 00:42:35.992]  He said, Common Core, I mean, we have to bring education more local, he said.
[00:42:36.272 --> 00:42:39.173]  We can't be managing education from Washington.
[00:42:39.193 --> 00:42:46.575]  He went on to say, when I go out to Iowa, when I go out to different states and I talk, they want to run their school programs locally, they do a much better job.
[00:42:46.636 --> 00:42:48.496]  And I like the fact of getting rid of Common Core.
[00:42:48.516 --> 00:42:50.837]  You know, Common Core to me, we have to end it.
[00:42:51.017 --> 00:42:53.278]  We have to bring education local to me.
[00:42:53.338 --> 00:42:57.119]  I've always said, I've been saying it during the campaign, and we're going to do it.
[00:42:57.841 --> 00:42:58.521]  Well here's the deal.
[00:42:59.162 --> 00:43:04.426]  If you want to get rid, if you want to make education local, it isn't just getting rid of Common Core.
[00:43:04.946 --> 00:43:06.667]  We have to get rid of the Department of Education.
[00:43:07.208 --> 00:43:11.110]  It isn't enough to get rid of some of the symptoms of the disease.
[00:43:11.190 --> 00:43:13.512]  We have to cut the cancer out at the core.
[00:43:13.832 --> 00:43:15.613]  If we leave the infrastructure in,
[00:43:16.574 --> 00:43:21.537]  It will continue to do Common Core, or they'll rebrand it, as we see later on in this article.
[00:43:21.717 --> 00:43:27.039]  They'll change the name of it, they'll do something else, and that's exactly what is happening with Obamacare.
[00:43:27.079 --> 00:43:35.183]  If we do not destroy this administrative state, if we simply put some lipstick on it, it will continue to plague us.
[00:43:35.823 --> 00:43:38.385]  As a recent Heritage Foundation, this is an article from Bybart,
[00:43:39.292 --> 00:43:48.057]  The panel of education policy professionals urged the Trump administration and Washington politicians to refrain from making even school choice a federal program.
[00:43:48.417 --> 00:43:51.279]  See, this is something that Bessie DeVos has gone to Washington.
[00:43:51.319 --> 00:43:52.960]  She's supporting school choice.
[00:43:54.281 --> 00:43:55.702]  That should not be a federal program.
[00:43:56.262 --> 00:44:04.667]  We should not have the federal government using the Department of Education to control our education, even if we think that it's a good thing.
[00:44:04.687 --> 00:44:06.028]  They shouldn't be doing that.
[00:44:06.789 --> 00:44:08.250]  We need to get them out of our lives.
[00:44:08.770 --> 00:44:11.251]  We just need to make the Department of Education go away, and here's why.
[00:44:11.591 --> 00:44:15.993]  DeVos has drawn concern over some of her decisions and comments since assuming her post, I point out.
[00:44:16.513 --> 00:44:28.938]  For example, she has surrounded herself with advisors and staff who have ties to Jeb Bush, a vocal proponent of Common Core, as well as to Indiana, where Common Core was repealed but then simply rebranded.
[00:44:29.598 --> 00:44:30.338]  See, that's the whole thing.
[00:44:30.359 --> 00:44:35.941]  We have to decide whether the administrative state is going to be deconstructed or if it's going to be rebranded.
[00:44:36.983 --> 00:44:44.606]  And you understand that if we put up something, if we put school choice in here, four years from now, it'll all change and it'll all go away.
[00:44:45.267 --> 00:44:49.648]  We don't need our lives to be micromanaged from Washington, whether it's education or whether it's healthcare.
[00:44:50.169 --> 00:44:59.873]  She also recently said that the federal Every Student Succeeds Act, the ESSA, this is what Betsy DeVos said, she said it essentially does away with the notion of common core.
[00:45:01.121 --> 00:45:12.125]  But they point out that grassroots parent activists who are still battling Common Core in their states flatly reject the idea that ESSA does away with Common Core.
[00:45:12.165 --> 00:45:16.906]  They say it still requires the Federal Department of Education to approve of state education plans.
[00:45:17.586 --> 00:45:23.168]  See, we don't have local control if we have to have it signed off on in Washington.
[00:45:24.049 --> 00:45:24.769]  We're not children.
[00:45:25.560 --> 00:45:27.122]  We're not going to be put on an allowance.
[00:45:27.922 --> 00:45:35.469]  And one of the spokespersons for Florida Parents Rise said Secretary DeVos is equating ESSA with federalism as it relates to education.
[00:45:35.950 --> 00:45:37.271]  It's a central problem we all face.
[00:45:37.311 --> 00:45:45.779]  There is zero provision in the Constitution, deliberately so by the founders, for the federal government to have any purview over education.
[00:45:45.839 --> 00:45:50.744]  It was and it is an issue of local control and of sovereignty.
[00:45:51.789 --> 00:45:58.332]  You see, Richard Nixon wasn't impeached over some of the things that he did, like creating the EPA.
[00:45:58.872 --> 00:46:02.874]  They should have impeached Jimmy Carter for creating the Department of Education.
[00:46:02.974 --> 00:46:06.376]  And we need to not keep these tools in place.
[00:46:06.436 --> 00:46:08.236]  Now, moving on, we have the U.S.
[00:46:08.296 --> 00:46:09.737]  withdrawing funding from the U.N.
[00:46:09.797 --> 00:46:10.417]  Population Fund.
[00:46:10.457 --> 00:46:11.418]  That's a good thing as well.
[00:46:11.898 --> 00:46:14.362]  The State Department said on Monday that it was ending U.S.
[00:46:14.422 --> 00:46:20.409]  funding for the United Nations Population Fund, the international bodies agency that is focused on what they call family planning.
[00:46:20.430 --> 00:46:21.992]  It's focused on providing abortions.
[00:46:23.118 --> 00:46:26.899]  As well as health care in more than 150 countries.
[00:46:26.939 --> 00:46:35.102]  Now, what happens with this is that every time we have a change from a Republican to a Democrat administration, it does exactly what I was saying.
[00:46:35.562 --> 00:46:40.224]  They move to change to defund it, or then they put the funding back in.
[00:46:40.384 --> 00:46:41.084]  Because why?
[00:46:41.224 --> 00:46:42.945]  We still have the United Nations.
[00:46:43.185 --> 00:46:45.065]  We're still part of that infrastructure.
[00:46:45.285 --> 00:46:47.166]  They leave that there, then it changes.
[00:46:47.446 --> 00:46:48.508]  Now stay with us when we come back.
[00:46:48.588 --> 00:46:51.733]  Alex Jones is going to address the outrageous charges by Newsweek.
[00:46:52.214 --> 00:46:55.399]  They're demanding that free speech be criminalized.
[00:46:55.419 --> 00:46:55.720]  Stay with us.
[00:46:55.740 --> 00:46:56.301]  We'll be right back.
[00:47:03.354 --> 00:47:08.136]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:47:08.817 --> 00:47:10.377]  But it goes beyond being prepared.
[00:47:10.778 --> 00:47:15.780]  Our bodies absolutely must have the good halogen, iodine, or we will die.
[00:47:16.140 --> 00:47:21.583]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:47:21.963 --> 00:47:28.566]  And from my research, and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:47:29.206 --> 00:47:30.347]  It's as important as vitamin C.
[00:47:31.207 --> 00:47:33.148]  If you don't get iodine, you die.
[00:47:33.468 --> 00:47:36.430]  But most people are just efficient, so they're low energy, they're sick.
