[00:00:08.004 --> 00:00:08.665]  Well here we are.
[00:54:50.143 --> 00:54:51.704]  They have low wages.
[00:54:51.784 --> 00:54:55.507]  They have no safety for their employees.
[00:54:55.888 --> 00:54:58.309]  They protect their own markets very vigorously.
[00:54:59.370 --> 00:55:05.615]  Here you have the Chinese President Xi coming out and saying, we've got to have open free trade, just like Henry Kissinger told me.
[00:55:05.675 --> 00:55:07.857]  He taught us all of this, how to do this, right?
[00:55:09.278 --> 00:55:15.261]  We have to have free trade and yet they are the ones who are the most rigorous about protectionism.
[00:55:15.781 --> 00:55:19.623]  The same people that are preaching that we have to open our markets.
[00:55:19.643 --> 00:55:23.185]  We have to open our gates to their goods.
[00:55:23.245 --> 00:55:25.066]  They're going to protect their internal markets.
[00:55:25.086 --> 00:55:26.507]  They also pirate copyrights.
[00:55:26.527 --> 00:55:29.168]  That's a key part of the China price.
[00:55:29.729 --> 00:55:33.090]  And of course there's no restriction on environmental regulations.
[00:55:33.711 --> 00:55:37.653]  But we have restrictions that are put on us with the Paris Climate Treaty.
[00:55:38.433 --> 00:55:49.777]  We're going to have far more stringent controls put on our industry, and that's going to happen at a much earlier date before they have even minor restrictions put on their industry.
[00:55:49.897 --> 00:55:55.379]  One of the things that happened last week, remember, they buy a lot of coal from North Korea.
[00:55:55.519 --> 00:55:58.980]  See, the Chinese can still buy massive amounts of coal.
[00:55:59.080 --> 00:56:00.401]  Obama didn't have a problem with that.
[00:56:01.501 --> 00:56:03.542]  But I thought it was global warming.
[00:56:04.737 --> 00:56:05.578]  No, no, no, no.
[00:56:05.598 --> 00:56:11.245]  They're only concerned about it if America and Europe are warming the globe.
[00:56:11.685 --> 00:56:14.989]  It's not a problem when China does it or India does it.
[00:56:15.049 --> 00:56:16.831]  They're given a special pass on that.
[00:56:17.625 --> 00:56:27.434]  That evidence of that was the fact that China had, as trying to get North Korea to get a little bit more rational, they said, we're going to stop taking your coal shipments.
[00:56:27.814 --> 00:56:32.679]  And then last week, as a gesture to Trump, when he said, oh, you're not currency manipulators anymore.
[00:56:33.480 --> 00:56:34.260]  Right, right.
[00:56:34.961 --> 00:56:43.648]  When he said, you're not currency manipulators anymore, they said, all right, we're going to just send those, that fleet of ships carrying coal, we're going to send them back to North Korea.
[00:56:43.688 --> 00:56:43.988]  We're done.
[00:56:44.028 --> 00:56:45.389]  We're not going to take that.
[00:56:45.409 --> 00:56:48.171]  They're still going to burn coal, they just won't buy it from North Korea.
[00:56:48.972 --> 00:56:51.033]  So, we look at a couple of these different things.
[00:56:51.194 --> 00:56:56.678]  The subsidies of their own industries, low labor prices, the currency manipulation.
[00:56:57.679 --> 00:56:58.499]  We're going to
[00:56:59.700 --> 00:57:00.842]  We're good to go.
[00:57:13.174 --> 00:57:13.895]  We're good to go.
[00:57:34.195 --> 00:57:44.240]  As a matter of fact, Jefferson was proud of the fact when he gave his second inaugural address, he said, uh, we have eliminated all internal taxations by eliminating unnecessary offices.
[00:57:45.481 --> 00:57:52.944]  So you go back to a constitutionally sized government, you can run a constitutionally sized government off of taxes at the border.
[00:57:53.805 --> 00:57:58.327]  And Jefferson said, what farmer, what laborer, what mechanic knows a taxman?
[00:57:58.867 --> 00:58:01.989]  Well, in America today, all of us know the taxman, don't we?
[00:58:03.200 --> 00:58:04.421]  But they didn't at Jefferson's time.
[00:58:05.041 --> 00:58:05.782]  How did that change?
[00:58:05.802 --> 00:58:10.025]  Well, that changed when we got the Federal Reserve and we got the income tax in 1913.
[00:58:10.885 --> 00:58:14.648]  And we've lost over 99% of the purchasing power of the U.S.
[00:58:14.688 --> 00:58:16.289]  dollar in that amount of time as well.
[00:58:17.350 --> 00:58:21.493]  That's the legacy of the income tax, the legacy of the Federal Reserve.
[00:58:23.675 --> 00:58:26.717]  Donald Trump who criticized, who said maybe we need to audit the Fed.
[00:58:26.737 --> 00:58:28.097]  He criticized Janet Yellen.
[00:58:28.157 --> 00:58:30.679]  Now he's saying well I think Janet Yellen is pretty good.
[00:58:31.059 --> 00:58:39.164]  We're going to use her to weaken our currency because we're going to pretend that the Chinese are not manipulating their currency.
[00:58:39.224 --> 00:58:45.768]  So the Chamber of Commerce is saying right now basically we're recommending to President Trump everything you have in your quiver.
[00:58:45.888 --> 00:58:51.352]  Please use every arrow possible with the understanding that some of these points of leverage that you're using
[00:58:52.032 --> 00:58:53.933]  We'll be counterproductive to us.
[00:58:54.873 --> 00:58:58.695]  They say that, of course, Trump promised to curb US trade deficits with China.
[00:58:58.715 --> 00:59:00.996]  They've reached $347 billion.
[00:59:01.036 --> 00:59:02.537]  Not a problem now.
[00:59:03.117 --> 00:59:03.578]  Not a problem.
[00:59:04.358 --> 00:59:10.141]  We will give them a free pass as long as we can engage in military adventurism abroad.
[00:59:11.601 --> 00:59:19.230]  Now according to the chairman of the Chamber of Commerce, Beijing can offer subsidies of billions of dollars to domestic competitors.
[00:59:19.250 --> 00:59:20.591]  That's part of the China price.
[00:59:20.631 --> 00:59:30.842]  He said, I'm sorry to see there is a possibility we may lose some momentum on helping to level the playing field with China in our economic relationship due to the situation in North Korea.
[00:59:31.563 --> 00:59:33.005]  If there is some kind of a trade-off.
[00:59:33.025 --> 00:59:34.427]  Well, you can believe that there is a trade-off.
[00:59:34.527 --> 00:59:36.310]  Pat Buchanan pointed it out.
[00:59:36.350 --> 00:59:43.579]  He quoted President Trump, who said, why would I call China a currency manipulator when they're working with us on the North Korean problem?
[00:59:44.280 --> 00:59:46.563]  So he said, right there, we see that
[00:59:48.188 --> 01:00:03.935]  Trump, who once seemed to understand how America had taken us to the cleaners during and after the Cold War, while allies supported us diplomatically, they piled up huge trade surpluses at our expense, and they became virtual free riders off of the U.S.
[01:00:03.975 --> 01:00:04.776]  defense effort.
[01:00:05.891 --> 01:00:08.373]  And so that's Patrick Buchanan pointing that out.
[01:00:08.933 --> 01:00:12.616]  He said, a continuing crisis on the peninsula with Trump and the U.S.
[01:00:12.656 --> 01:00:15.878]  relying on Beijing's help could leave Xi in the catbird seat.
[01:00:15.958 --> 01:00:21.502]  And now that North Korea has declared its goal to be building missiles with nuclear warheads that could hit all U.S.
[01:00:21.542 --> 01:00:24.444]  bases in Asia, even California, the clock is running for the White House.
[01:00:25.285 --> 01:00:28.207]  Tillerson and Pence have said that they're running out of patience.
[01:00:28.987 --> 01:00:30.909]  But the question is this, how did we get to this point?
[01:00:32.008 --> 01:00:32.589]  How did we get to this?
[01:00:32.629 --> 01:00:34.630]  It's not Obama's fault, okay?
[01:00:34.971 --> 01:00:39.254]  I mean, I'm not going to blame everything on Obama.
[01:00:40.596 --> 01:00:43.478]  This is just as much Bush's fault and the Republicans' fault.
[01:00:43.498 --> 01:00:44.619]  This has been going on for 64 years.
[01:00:46.718 --> 01:00:49.080]  And many people have said, well, other people could have done something about it.
[01:00:49.140 --> 01:00:50.842]  Now Donald Trump is going to have to do something about it.
[01:00:50.882 --> 01:00:52.823]  But how did we get into the Korean War?
[01:00:53.464 --> 01:00:56.907]  We got into the Korean War because we decided we needed to be the world's policemen.
[01:00:57.487 --> 01:01:07.996]  We decided that the first Americans who put America first, the founders of our country, didn't know what they were talking about when they said, we don't go abroad seeking monsters to destroy.
[01:01:08.396 --> 01:01:11.459]  And a good example of this is the Turkey election that's happening.
[01:01:12.125 --> 01:01:16.106]  We've got a civil war going on in Turkey, and it's spilling over onto our shores.
[01:01:16.186 --> 01:01:21.687]  The competition between Erdogan and Fethullah Gulen is spilling into Europe as well.
[01:01:22.867 --> 01:01:25.047]  This competition shows us something in Turkey.
[01:01:25.667 --> 01:01:28.228]  There's not always a good guy and a bad guy.
[01:01:28.908 --> 01:01:31.828]  Sometimes there's just two really bad guys.
[01:01:32.149 --> 01:01:35.929]  Both Erdogan and Fethullah Gulen are not secularists.
[01:01:36.069 --> 01:01:40.030]  They want to preside over a caliphate, a global caliphate if they will.
[01:01:41.377 --> 01:01:51.808]  And so as we see their influence spread throughout Europe and throughout the United States, and as we've seen in other places where we go in to do regime change, it always backfires.
[01:01:52.929 --> 01:01:55.551]  Even if we win a war, we don't win the peace.
[01:01:56.853 --> 01:02:00.937]  This whole thing about acting as the world's policemen is doomed to failure.
[01:02:02.216 --> 01:02:07.039]  Now, when they said that we don't go abroad seeking monsters to destroy, they were talking about getting involved in European wars.
[01:02:07.560 --> 01:02:11.682]  We saw what happened with World War I. That was an unnecessary war for us to get involved in.
[01:02:12.263 --> 01:02:14.584]  What would they have said about the Middle East situation?
[01:02:14.604 --> 01:02:22.750]  I mean, even Ronald Reagan, after the bombing in Beirut, said, I'm going to get my troops out of here.
[01:02:23.310 --> 01:02:24.351]  And he got his troops out of there.
[01:02:25.752 --> 01:02:30.976]  But we continue to go in, even though we see these regime changes like we had in Libya.
[01:02:32.011 --> 01:02:33.912]  Create a much worse problem.
[01:02:33.992 --> 01:02:49.121]  As Pat Buchanan said, why 64 years after the Korean War, a quarter century after the Cold War, are we still obliged to go to war to defend South Korea from the North with one half of the South Korean population and with 3% of its gross domestic product?
[01:02:49.141 --> 01:02:49.921]  Well, I'll tell you why.
[01:02:49.941 --> 01:02:51.362]  I'll tell you why, Pat.
[01:02:51.782 --> 01:02:55.004]  It's because we have put ourselves out there as protectors.
[01:02:55.024 --> 01:02:57.826]  So it's now no longer an issue between North and South Korea.
[01:02:58.706 --> 01:02:59.828]  They're coming after us.
[01:03:00.169 --> 01:03:01.090]  We're the target now.
[01:03:01.711 --> 01:03:04.997]  Because we have said, we're going to shut down all the monsters everywhere.
[01:03:05.037 --> 01:03:06.459]  We know exactly what we're doing.
[01:03:06.499 --> 01:03:07.040]  No, we don't.
[01:03:08.564 --> 01:03:12.287]  You know, why should their nuclear missiles be America's primary responsibility?
[01:03:12.327 --> 01:03:14.068]  Why don't the South Koreans do something about it?
[01:03:14.609 --> 01:03:17.091]  Why do we have to be the world's policemen?
[01:03:17.991 --> 01:03:19.052]  It is not going to work.
[01:03:19.072 --> 01:03:34.023]  And now we have a situation where, instead of following an America First policy, instead of listening to the first Americans, the founders of our country, we now have a situation where we've got people like John McCain calling Rand Paul a Russian agent.
[01:03:34.904 --> 01:03:45.549]  Because he merely says that we ought to have a debate before we set up another tripwire with a tiny country in Europe, before we set up another possibility where we would have to go to war to defend them.
[01:03:46.309 --> 01:03:47.950]  Can't we see where this is all leading?
[01:03:48.530 --> 01:03:52.712]  Can't we see that this is a failed policy that's been 64 years in the making?
[01:03:53.312 --> 01:03:55.153]  Can't we put America first for once?
[01:03:55.953 --> 01:03:56.433]  Perhaps not.
[01:03:57.314 --> 01:03:58.214]  Stay with us, we'll be right back.
[01:03:58.234 --> 01:04:00.235]  We're going to have Lee Stranahan joining us at the bottom of the hour.
[01:04:11.269 --> 01:04:19.194]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by Infowarslife.com.
[01:04:19.234 --> 01:04:21.196]  Now, this is our 20th product.
[01:04:21.956 --> 01:04:28.860]  We can easily go out to a major vitamin or supplement company and private label a thousand different products.
[01:04:29.461 --> 01:04:35.245]  But it's taken us four plus years to even come out with 20, because we private label some, but we also develop
[01:04:36.141 --> 01:04:45.914]  Many of the products originally were some of the top labs in the country, so that they're true game changers, they're organic, they're proven as safe, and they're also very affordable.
[01:04:45.934 --> 01:04:48.057]  Exactly, you talk about being a game changer, right?
[01:04:48.077 --> 01:04:52.724]  You talk about, we're in an industry where we talk to the industry leaders, we've both talked to them.
[01:04:53.044 --> 01:04:58.926]  They have conveyor belts of herbs falling on the ground and they have someone come and sweep them up and put them back on the conveyor belt.
[01:04:59.286 --> 01:05:08.250]  They have individuals that are hired only to save money and get the lowest quality junk and put it in as many capsules as possible so they can make the highest profit margins.
[01:05:09.110 --> 01:05:10.230]  We refuse to screw people.
[01:05:10.571 --> 01:05:11.531]  We refuse to do that.
[01:05:11.911 --> 01:05:14.572]  We actually want to make something that's good.
[01:05:14.652 --> 01:05:16.593]  We're producing something we want to take.
[01:05:16.673 --> 01:05:17.093]  Exactly.
[01:05:17.473 --> 01:05:18.514]  We're looking for the best.
[01:05:18.554 --> 01:05:23.416]  We went out and searched for the best, the private label, and most of the time found out it wasn't available.
[01:05:23.616 --> 01:05:27.298]  So we go to these big firms and say, we want to make the dream formula.
[01:05:27.318 --> 01:05:33.301]  Bio PCA, for example, one of the ingredients is silica, and it's from bamboo extract.
[01:05:33.581 --> 01:05:34.782]  It's everywhere.
[01:05:34.962 --> 01:05:35.642]  It's in nature.
[01:05:35.702 --> 01:05:37.803]  It's an essential part of being healthy, right?
[01:05:38.163 --> 01:05:44.226]  Just this bottle of silica, okay, again, one ingredient, in a lower amount that's even in our product, is $35.
[01:05:45.387 --> 01:05:50.651]  They're charging more than what we charge when they have one ingredient that's less than ours.
[01:05:50.671 --> 01:05:51.311]  This is insane.
[01:05:51.331 --> 01:06:00.498]  When I told him we wanted 10,000 micrograms, he goes, okay, I get that you guys want to do, you know, high power stuff, but why don't you just do 3,000 and then you can sell, you know, multiple bottles of it.
[01:06:00.538 --> 01:06:01.419]  People will buy more of it.
[01:06:01.539 --> 01:06:02.120]  I was like, no, let's do 10.
[01:06:02.220 --> 01:06:02.680]  Okay.
[01:06:03.120 --> 01:06:04.001]  Compare that to this.
[01:06:04.221 --> 01:06:05.602]  This is a $50 product.
[01:06:05.622 --> 01:06:09.005]  One of the leaders in the industry has 3,000 micrograms of biotin.
[01:06:09.025 --> 01:06:09.145]  Okay.
[01:06:09.245 --> 01:06:09.445]  We have 10,000.
[01:06:09.485 --> 01:06:10.226]  This is $50, $48 to be exact.
[01:06:13.268 --> 01:06:15.129]  There's no script, there's no teleprompter, I'll just be honest with you.
[01:06:15.549 --> 01:06:20.812]  My problem is, with 20 products now, it's remembering to take them all.
[01:06:21.412 --> 01:06:24.673]  Because when I do, I have great days, great weeks, a great life.
[01:06:25.094 --> 01:06:31.057]  When I forget to take the X2, a super male, or the lung cleanse, or to do a liver cleanse, or to take this product,
[01:06:32.173 --> 01:06:33.794]  My quality of life just isn't as good.
[01:06:33.874 --> 01:06:34.954]  It's changed my life.
[01:06:35.054 --> 01:06:37.295]  I looked like Jabba the Hutt four years ago.
[01:06:37.635 --> 01:06:39.515]  I was swimming two miles some days a day.
[01:06:39.916 --> 01:06:41.356]  I was jogging, lifting weights.
[01:06:41.416 --> 01:06:42.276]  I couldn't lose the weight.
[01:06:43.177 --> 01:06:50.239]  I went on what Mother Nature gave us, and it's changed my life, and it's also helped the InfoWars change the country and the world.
[01:06:50.619 --> 01:06:51.379]  It's a win-win.
[01:06:51.860 --> 01:06:52.640]  InfoWarsLife.com.
[01:07:02.850 --> 01:07:04.632]  I'm gonna lay it out short and sweet.
[01:07:06.314 --> 01:07:11.981]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[01:07:12.701 --> 01:07:16.586]  I was a total fitness nut 20 years ago.
[01:07:17.552 --> 01:07:19.753]  About 15 years ago, I just stopped working out.
[01:07:19.853 --> 01:07:20.994]  I gained close to 100 pounds.
[01:07:21.014 --> 01:07:24.235]  I have lost 50, 60 pounds of fat.
[01:07:25.216 --> 01:07:25.556]  Or more.
[01:07:25.636 --> 01:07:27.597]  I've gained 20 pounds of muscle.
[01:07:28.077 --> 01:07:29.558]  I'm stronger than I was when I was 22.
[01:07:29.638 --> 01:07:32.600]  When I could bench press close to 400 pounds and squat 600.
[01:07:32.640 --> 01:07:33.440]  It's actually scary.
[01:07:35.761 --> 01:07:45.826]  And it's because I take products that our researchers developed that block the estrogen mimickers that basically feminize men.
[01:07:46.847 --> 01:07:59.653]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support Infowars in our fight for both human liberty and freedom.
[01:08:18.661 --> 01:08:20.682]  Well that's appropriate.
[01:08:20.702 --> 01:08:22.763]  We're going to be talking about the income tax.
[01:08:22.823 --> 01:08:25.044]  The IRS is demanding that you get your forms in today.
[01:08:25.064 --> 01:08:27.306]  I am a man of constant sorrow.
[01:08:27.366 --> 01:08:32.408]  That's a song to sing while you're doing your 1040 returns and we'll talk about that in just a moment.
[01:08:33.009 --> 01:08:39.733]  Before we do, real quickly, I'll remind you that the Easter Mega Specials that we put up at InfoWarsStore.com will be ending tonight.
[01:08:40.533 --> 01:08:45.476]  Those sales are 25 to 30% off a wide variety of products.
[01:08:45.516 --> 01:08:47.217]  You'll see that at InfoWarsTore.com.
[01:08:47.477 --> 01:08:50.338]  Things like Super Male, Super Female Vitality, 25% off.
[01:08:50.819 --> 01:08:54.420]  Secret 12, our Vitamin B12 formulation, that's 25% off.
[01:08:54.941 --> 01:08:58.443]  Survival Shield X2 Nascent Iodine, that is 25% off.
[01:08:58.823 --> 01:09:00.944]  And this is while supplies last.
[01:09:01.184 --> 01:09:07.147]  Because we are quickly selling out of our remaining Deep Earth Iodine supply at Infowarslife.com.
[01:09:07.567 --> 01:09:10.308]  We're having difficulty getting access to that.
[01:09:10.328 --> 01:09:17.512]  A lot of people have found out about that, and so now there's competition from other industries trying to get to that pure source of iodine.
[01:09:17.552 --> 01:09:19.413]  So get that while supplies last.
[01:09:19.633 --> 01:09:22.994]  Once that runs out, it may be a while before we can get that resupplied.
[01:09:23.414 --> 01:09:26.596]  So we have that now as part of that Easter special, 25% off, and 30% off Brain Force.
[01:09:29.057 --> 01:09:31.919]  Again, my favorite supplement that we have at InfoWarsTour.com.
[01:09:31.939 --> 01:09:32.539]  You can find that.
[01:09:32.559 --> 01:09:34.180]  It's now Brain Force Plus.
[01:09:34.220 --> 01:09:39.384]  You get extra quantity in those tablets.
[01:09:39.444 --> 01:09:41.625]  Each of them are a little bit larger than they used to be.
[01:09:42.045 --> 01:09:45.768]  We're going to have Lee Stranahan joining us in the next segment.
[01:09:45.808 --> 01:09:50.150]  He's going to be talking about censorship, but I want to go to the tax issue right now.
[01:09:50.250 --> 01:09:54.653]  We have Maxine Waters who chimed in on this.
[01:09:54.693 --> 01:09:57.575]  Let's hear what Maxine Waters has to say about taxes.
[01:09:59.631 --> 01:10:03.573]  Americans all over this country, many are struggling to pay their taxes.
[01:10:03.873 --> 01:10:09.076]  Middle income people, working people, and many have to pay taxes that they can't afford.
[01:10:09.496 --> 01:10:15.859]  And here we are, they are struggling to pay their taxes, and this president basically laughing at us.
[01:10:16.119 --> 01:10:19.641]  Because remember, during the campaign, he said, I pay no taxes.
[01:10:19.961 --> 01:10:22.282]  And I believe that, and many people believe that.
[01:10:22.912 --> 01:10:24.213]  See that's the politics of Envy.
[01:10:24.994 --> 01:10:28.838]  She doesn't want you to pay attention to the taxes that you're struggling to pay.
[01:10:28.998 --> 01:10:31.621]  No, she wants to see Donald Trump's tax returns.
[01:10:31.641 --> 01:10:33.823]  We want to know that Donald Trump is paying a lot of taxes.
[01:10:33.883 --> 01:10:35.805]  Does that make you, would that make you feel any better?
[01:10:35.825 --> 01:10:37.347]  To know that Donald Trump paid...
[01:10:39.849 --> 01:10:44.271]  50%, 75%, 90% of his income in taxes, when they're taking a bite out of your paycheck?
[01:10:45.052 --> 01:10:48.514]  See, I don't really care about Donald Trump's tax returns.
[01:10:49.114 --> 01:10:53.036]  I want Donald Trump's tax reforms that he campaigned on.
[01:10:53.416 --> 01:10:54.157]  And that's the question.
[01:10:54.177 --> 01:10:55.057]  Are we going to see that?
[01:10:55.417 --> 01:11:00.480]  Mnuchin is saying that tax reform may be delayed because of the health care setback.
[01:11:01.080 --> 01:11:02.081]  And of course, this is U.S.
[01:11:02.121 --> 01:11:03.622]  Treasury Secretary Steven Mnuchin.
[01:11:04.542 --> 01:11:15.205]  He told the Financial Times that the target to get tax reform through Congress on President Trump's desk before August was, quote, highly aggressive to not realistic at this point.
[01:11:15.245 --> 01:11:19.006]  He says it's probably fair to say that it's been delayed a bit because of health care.
[01:11:19.346 --> 01:11:24.908]  He also told the Financial Times that he agreed with Trump's view that the dollar's strength in the short term was hurting exports.
[01:11:25.988 --> 01:11:31.512]  Count on the Federal Reserve to weaken the dollar for us, and maybe you're not going to get that health care repeal.
[01:11:32.013 --> 01:11:39.538]  And because of the billions of dollars of taxes and health care that you're paying, we're still going to have to keep your income taxes there.
[01:11:39.558 --> 01:11:45.723]  See, that's one of the reasons why we're having the increase in military action around the world, to hide that.
[01:11:46.463 --> 01:11:50.764]  Let's take a look at what's going on with the key numbers, as The Hill points out.
[01:11:50.784 --> 01:11:53.225]  The key numbers on Tax Filing Day.
[01:11:53.265 --> 01:11:56.286]  They say 152 million individuals will be filing tax returns.
[01:11:56.706 --> 01:12:04.348]  And IRS Commissioner John Koskinen said earlier this month, this appears to be the smoothest filing season the agency has had since he took office.
[01:12:04.988 --> 01:12:05.768]  And he's still there.
[01:12:06.848 --> 01:12:09.089]  And Lois Lerner is not being prosecuted.
[01:12:10.029 --> 01:12:13.510]  See, they lost their records, didn't they, when they were persecuting
[01:12:14.605 --> 01:12:20.949]  Different organizations for their political views, withholding their tax-deductible access.
[01:12:20.969 --> 01:12:26.333]  And of course, for an organization that they were friendly to, it happened in just a couple of days.
[01:12:26.373 --> 01:12:32.436]  Some of these organizations that they would not give the 501c benefit to still haven't gotten it, years later.
[01:12:33.317 --> 01:12:34.599]  But you know, I think it's interesting.
[01:12:34.639 --> 01:12:36.021]  We see that they're now moving forward.
[01:12:36.041 --> 01:12:40.647]  We've got the ACLJ moving forward to try to get some of those records from the IRS.
[01:12:41.468 --> 01:12:43.370]  But we've got a story here on MarketWatch.
[01:12:43.390 --> 01:12:45.854]  Americans get an F on the income tax quiz.
[01:12:45.894 --> 01:12:47.255]  I think this was on the Drudge Report.
[01:12:47.990 --> 01:12:50.911]  And of course, it's been, like I said before, 104 years.
[01:12:51.631 --> 01:13:02.213]  Think about the fact that in 1913, the standard deduction, if you adjust it to today's dollars, because remember, the Federal Reserve has decimated the purchasing power of your dollars.
[01:13:02.413 --> 01:13:03.213]  That's not enough.
[01:13:03.233 --> 01:13:05.093]  I mean, decimated would only be one-tenth.
[01:13:05.373 --> 01:13:07.554]  They've taken 99% of your purchasing power.
[01:13:08.114 --> 01:13:12.115]  If you had the same standard deduction that you did back then, that would be worth $98,000 today.
[01:13:13.595 --> 01:13:18.045]  So you'd have to pay, have to earn, have a taxable income of more than $98,000 before you'd pay any taxes.
[01:13:20.353 --> 01:13:21.353]  Today, that is only $12,500.
[01:13:21.413 --> 01:13:26.855]  There's only 400 pages in 1913, the tax code.
[01:13:27.356 --> 01:13:28.056]  Today, it's $75,000.
[01:13:29.336 --> 01:13:35.439]  You know, the average Bible is only about $1,200, and yet the IRS code is $75,000?
[01:13:36.219 --> 01:13:40.440]  Charles Murray said, a law that is sufficiently complex is the same as having no law at all.
[01:13:40.480 --> 01:13:41.561]  Even the IRS doesn't know.
[01:13:41.821 --> 01:13:46.022]  But they can use that against you as if it was lawless, because it is so complex.
[01:13:46.263 --> 01:13:47.223]  Stay with us, we'll be right back.
[01:13:50.307 --> 01:13:53.294]  We're on the march, the empire's on the run.
[01:13:53.314 --> 01:13:56.943]  Alex Jones and the GCN Radio Network.
[01:14:01.929 --> 01:14:03.290]  This is Alex Jones.
[01:14:03.530 --> 01:14:08.333]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[01:14:09.414 --> 01:14:11.696]  And seriously, I really think everyone should have one of these.
[01:14:11.976 --> 01:14:17.339]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[01:14:17.780 --> 01:14:26.385]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house, like a small refrigerator, so you can keep food from spoiling.
[01:14:26.626 --> 01:14:31.709]  Plus, you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[01:14:31.969 --> 01:14:38.674]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid literally anywhere in the world.
[01:14:38.954 --> 01:14:43.537]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[01:14:43.697 --> 01:14:46.839]  Go to privatepowergrid.com to watch this thing in action.
[01:14:46.980 --> 01:14:48.881]  That's privatepowergrid.com.
[01:14:49.081 --> 01:14:54.405]  Even better, use coupon code POWER at checkout and get a second PPX energy unit for free.
[01:14:54.685 --> 01:14:56.686]  Check it out at privatepowergrid.com.
[01:14:56.967 --> 01:14:58.668]  That's privatepowergrid.com.
[01:15:01.261 --> 01:15:07.605]  According to the mainstream media, President Donald Trump was mean to kids on Easter Sunday.
[01:15:07.805 --> 01:15:22.172]  That's right, dozens of news outlets ran with a misleading video that was spread by Politico yesterday, claiming that President Trump signed a Kids Make America Great Again hat and then threw it away from the kid into the crowd.
[01:15:22.433 --> 01:15:28.736]  The video quickly went viral, racking up nearly 10,000 retweets and getting picked up by other news outlets.
[01:15:29.136 --> 01:15:37.727]  The Washington Post reported Trump, using a thick sharpie, put his signature on the bill of the cap, then looked up and lobbed it into the crowd.
[01:15:38.087 --> 01:15:41.151]  Nowhere near the hand that had given it to him.
[01:15:41.711 --> 01:15:44.635]  BuzzFeed even claimed that the poor kid never got his hat back.
[01:15:44.935 --> 01:15:50.977]  But in reality, other camera angles clearly show the president and the kid were just having fun.
[01:15:51.137 --> 01:15:55.939]  And the boy indeed caught his hat signed by the President of the United States.
[01:15:56.459 --> 01:16:00.641]  You can see the videos for yourself right now at InfoWars.com.
[01:16:01.101 --> 01:16:02.541]  Vitamin Mineral Fusion.
[01:16:02.681 --> 01:16:05.102]  Visit InfoWarsLife.com to secure your canister.
[01:16:05.282 --> 01:16:12.565]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[01:16:12.765 --> 01:16:23.110]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:16:23.430 --> 01:16:30.994]  In the history of Infowarslife, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[01:16:31.254 --> 01:16:36.697]  With its unique delivery system and proprietary manufacturing process designed for maximized effects.
[01:16:37.017 --> 01:16:41.199]  This formula is the platinum standard of multivitamin mineral products.
[01:16:41.459 --> 01:16:43.380]  And this part is most important.
[01:16:43.520 --> 01:16:50.284]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[01:16:50.324 --> 01:16:51.404]  That means it's clean.
[01:16:51.745 --> 01:16:52.785]  That means it's pure.
[01:16:52.905 --> 01:16:55.727]  And rest secured, you're fighting the tip of the spear in the Infowar.
[01:16:55.787 --> 01:16:58.388]  That's Infowarslife.com and Vitamin Mineral Fusion.
[01:16:58.588 --> 01:17:00.229]  Take action now before we sell out.
[01:17:09.307 --> 01:17:10.229]  You found it.
[01:17:10.549 --> 01:17:12.052]  The tip of the spear.
[01:17:12.593 --> 01:17:16.940]  It is the Alex Jones Show with David Knight.
[01:17:19.918 --> 01:17:21.399]  Welcome back to the Alex Jones Show.
[01:17:21.459 --> 01:17:24.321]  I'm David Knight, and we're going to be talking to Lee Stranahan.
[01:17:24.501 --> 01:17:26.762]  Lee Stranahan was formerly with Breitbart.
[01:17:26.862 --> 01:17:28.163]  He knew Andrew Breitbart.
[01:17:28.183 --> 01:17:29.884]  He also knows Steve Bannon.
[01:17:30.224 --> 01:17:32.485]  He is now the editor of ThePopulous.us.
[01:17:32.525 --> 01:17:38.168]  He's a co-host on Fault Lines, on Sputnik, and he has a citizen journalism school.
[01:17:38.209 --> 01:17:40.870]  You'll find that at citizenjournalismschool.com.
[01:17:41.330 --> 01:17:41.811]  And I've seen
[01:17:42.992 --> 01:17:50.037]  Lee, talk about journalism issues, his periscopes that he has on Twitter, you can follow him there at Stranahan.
[01:17:50.558 --> 01:17:56.722]  Talking about the lazy thinking that is present when you say, I'm just going to discount this because of the source.
[01:17:56.802 --> 01:17:58.744]  I'm not going to pay attention to the content here.
