[00:00:05.799 --> 00:00:06.539]  What's his name?
[00:50:31.465 --> 00:50:35.210]  Well, I didn't say those things you did, but this has not hit the news.
[00:50:35.250 --> 00:50:38.133]  This is breaking right now on InfoWars.
[00:50:38.894 --> 00:50:44.260]  And that is the back channel between the President's son-in-law and Joe Scarborough.
[00:50:45.138 --> 00:50:48.422]  Hold on, let's talk about this more when we come back, because I don't want to run Jared down.
[00:50:48.462 --> 00:50:50.545]  He looks like a smart guy, good looking guy.
[00:50:51.085 --> 00:50:52.828]  Clearly grooming him to be president, great.
[00:50:53.268 --> 00:50:59.976]  But not if he's not smart enough to sit there and play patty cake with the likes of Joe Scarborough, some of the lowest trash on earth.
[00:51:00.236 --> 00:51:01.178]  We'll be back, stay with us.
[00:51:04.736 --> 00:51:13.539]  We happen to know Chris Tonto-Piranto, of course, one of the big heroes and survivors of what happened in Benghazi, and of course, lionized properly so in the new film, 13 Hours.
[00:51:13.559 --> 00:51:15.340]  It's a big hit and so amazing.
[00:51:15.380 --> 00:51:16.681]  To ask, what do you think we should do?
[00:51:16.741 --> 00:51:23.983]  We should start a discussion about the left thinking and Soros doubling the amount of money to these groups to kill cops and burn down cities.
[00:51:24.183 --> 00:51:25.084]  They're planning something.
[00:51:25.284 --> 00:51:27.785]  So, Chris, thank you for joining us and coming on.
[00:51:27.805 --> 00:51:28.885]  Obviously, everything you've done.
[00:51:28.945 --> 00:51:31.046]  ChrisTontoPiranto.com.
[00:51:31.326 --> 00:51:33.187]  I've kind of set the table the last four minutes.
[00:51:33.567 --> 00:51:34.087]  Yeah.
[00:51:34.547 --> 00:51:35.648]  Where are we going with this?
[00:51:36.789 --> 00:51:41.012]  Honestly, I think right now it's just a lot of lib talk.
[00:51:41.952 --> 00:51:47.056]  It'd be really ridiculous at this point for them to try to start some civil war going on.
[00:51:47.076 --> 00:51:59.905]  You've got guys like myself, you've got plenty of contractors out there that are back home now, plenty of people like myself that are patriots that aren't going to stand aside and let some coup, if you want to call it that, take over.
[00:52:00.545 --> 00:52:02.486]  I don't think it's realistic.
[00:52:02.566 --> 00:52:04.847]  I think again, it's a lot of threats and the libs do that.
[00:52:04.867 --> 00:52:07.908]  They are a lot of talk, but when action comes and it comes to actually picking up a gun and doing something,
[00:52:21.574 --> 00:52:27.737]  I think if they were more inclined to protect this country, you'd probably see more of them joining the military, joining the law enforcement.
[00:52:28.157 --> 00:52:33.259]  And so I just see it as a lot of BS, a lot of just tough talk at this point in time.
[00:52:33.279 --> 00:52:35.360]  But if it comes to this, it's not going to be tough talk.
[00:52:35.840 --> 00:52:40.622]  Believe me, people like myself will stand up and we'll be coming right back at you.
[00:52:40.642 --> 00:52:42.483]  So I just warn them, don't.
[00:52:42.623 --> 00:52:50.226]  Just stop that BS and put a cork in it right now before it really ends up getting to something that they really don't want to get into.
[00:52:50.626 --> 00:53:01.470]  When they're openly calling for his death everywhere, and my death and everybody else, and it's just horrible, at a certain point it becomes dereliction of duty if somebody doesn't get indicted, if somebody doesn't get in trouble.
[00:53:01.650 --> 00:53:09.914]  You know, when Bow Wow, you know, says, I want to kidnap and rape and enslave the First Lady, or when, you know, his uncle...
[00:53:10.794 --> 00:53:12.375]  That's true, and you have a good point there.
[00:53:12.395 --> 00:53:17.039]  And in the past, if you did that, then the Secret Service would be knocking at your door, and possibly you'd be going to prison.
[00:53:28.447 --> 00:53:29.768]  I think that needs to happen.
[00:53:29.788 --> 00:53:30.729]  I think it needs to return.
[00:53:30.769 --> 00:53:32.930]  There does need to be an example set.
[00:53:33.251 --> 00:53:38.855]  Whether it be Snoop Dogg or somebody else out there where you're going to say you're going to kill the President, that's a threat.
[00:53:38.935 --> 00:53:40.776]  That is a terroristic threat at this point.
[00:53:40.796 --> 00:53:42.057]  But you can't keep letting it go.
[00:53:42.117 --> 00:53:43.178]  You're correct.
[00:53:43.218 --> 00:53:45.019]  You've got to lance that blister eventually.
[00:53:45.059 --> 00:53:46.240]  If not, it's going to get infected.
[00:53:46.500 --> 00:53:47.140]  You've got to do it.
[00:53:47.220 --> 00:53:49.562]  And if you don't, it's just going to get worse and worse and worse.
[00:53:49.582 --> 00:53:51.003]  So I do agree.
[00:53:51.083 --> 00:53:53.024]  I do agree at this point with the threats to the President.
[00:53:53.105 --> 00:53:56.367]  But again, do I think that they're going to come out and actually start an all-out war?
[00:53:56.767 --> 00:53:58.348]  Civil War in the United States of America.
[00:53:59.628 --> 00:54:01.929]  They'd be well-earned to not do that.
[00:54:11.892 --> 00:54:13.693]  They wailed against the crown.
[00:54:15.254 --> 00:54:17.014]  Another ragtag band.
[00:54:18.455 --> 00:54:21.736]  Declaring independence.
[00:54:24.918 --> 00:54:28.859]  Yeah, we're free today, thanks to the renegades!
[00:54:50.095 --> 00:54:52.456]  Well, he's got this little segment, one more segment with us.
[00:54:53.096 --> 00:55:00.339]  Roger Stone has breaking bombshell news exclusive on Jared Kushner there in the White House.
[00:55:00.359 --> 00:55:06.822]  The son-in-law of President Trump, who is at the center basically of everything now.
[00:55:07.362 --> 00:55:12.785]  And his communications with Joe Scarborough, a Democratic Party operative,
[00:55:14.375 --> 00:55:16.616]  Conservative turncoat, basically, in my view.
[00:55:16.876 --> 00:55:19.216]  But here is those bombshell developments.
[00:55:19.516 --> 00:55:21.597]  Roger tells me it is just sensational.
[00:55:21.617 --> 00:55:22.237]  Please continue.
[00:55:23.437 --> 00:55:36.901]  Alex, first of all, let me say that any time I level a criticism at the Trump administration, or even rarely at the president himself, I do so out of loyalty to Donald Trump and loyalty to his agenda.
[00:55:37.061 --> 00:55:41.022]  I want to help him beat back the globalists and make this country great again.
[00:55:41.778 --> 00:55:52.263]  That said, my political experience with Ronald Reagan, and before that, Richard Nixon, tells me that a White House divided against itself cannot stand.
[00:55:52.783 --> 00:56:02.768]  And the internal squabbling between the establishment wing and the diminished true believers continues inside the White House.
[00:56:03.628 --> 00:56:06.710]  Yes, the President's son-in-law, Jared Kushner,
[00:56:07.290 --> 00:56:17.315]  Perhaps the one presidential aide who cannot be fired is now in the regular text message communications with Joe Scarborough.
[00:56:17.815 --> 00:56:28.200]  Many of the anti-Steve Bannon stories that you see, the themes that you see on Morning Joe are being dictated by Kushner.
[00:56:29.220 --> 00:56:33.202]  And while Mr. Kushner's plate is very full with
[00:56:33.702 --> 00:56:37.725]  Middle Eastern peace and the China visit and so on.
[00:56:38.605 --> 00:56:42.087]  In this case, I think he is disserving of the president.
[00:56:42.828 --> 00:56:48.371]  Scarborough himself is a badly flawed carrier for this message.
[00:56:49.212 --> 00:56:53.715]  He is bitter with jealousy since he wanted to run for president.
[00:56:54.655 --> 00:56:59.058]  He nurses ideas of coming back to Florida and running for governor.
[00:56:59.927 --> 00:57:10.420]  I'd have to jump into the Republican primary to stop him if he really tried that, although there are certainly much, much better candidates than Joe Scarborough or Roger Stone.
[00:57:10.961 --> 00:57:15.747]  So there you have it, and more of this story as it develops.
[00:57:17.383 --> 00:57:18.283]  This is just incredible.
[00:57:18.363 --> 00:57:27.707]  So Joe Scarborough, and I know your sources are impeccable, you've never given me a story that didn't turn out to be true, Roger, is the main leaker against Bannon.
[00:57:27.787 --> 00:57:35.991]  I know you can't get into sources, but you were telling me off-air this is very extensive, you don't want to talk about it over the phone, that this is really confirmed, and that it's really, really bad.
[00:57:36.291 --> 00:57:42.874]  Were you speaking during the break, because we didn't have time to get to it, on what Kushner's doing or what Scarborough's doing?
[00:57:43.806 --> 00:57:58.500]  Well, Pushner is clearly feeding the lines and the intel to Scarborough, and Scarborough is visiting those on Pushner's internal rivals, or those who are arguing against the globalist agenda.
[00:57:59.280 --> 00:58:07.568]  If you go back to some of our earlier discussions here at InfoWars, I've said repeatedly that my greatest concern was not Liberal Democrats.
[00:58:08.177 --> 00:58:12.178]  But establishment Republicans who would undo the Trump revolution.
[00:58:12.438 --> 00:58:12.938]  Stay right there.
[00:58:12.958 --> 00:58:13.518]  We gotta go to break.
[00:58:13.538 --> 00:58:14.319]  We'll do five more minutes.
[00:58:14.339 --> 00:58:15.579]  But Roger Stone, let me ask you this.
[00:58:16.119 --> 00:58:22.341]  Do we think it's Kushner, because we thought it was Priebus from our sources, that's going around telling the press that the president was like a lost child?
[00:58:23.681 --> 00:58:29.003]  I think that is people below Priebus, but people that Priebus has selected.
[00:58:29.083 --> 00:58:33.244]  Because that is not in either Kushner's or Priebus's interest.
[00:58:34.056 --> 00:58:35.958]  And they're not, these are not stupid people.
[00:58:35.978 --> 00:58:42.886]  The question is, what the hell, if Kushner's not dumb, is he doing sitting there pen-palling with that piece of garbage Scarborough?
[00:58:42.906 --> 00:58:44.788]  We'll be back in 70 seconds with Roger Stone.
[00:58:45.028 --> 00:58:46.270]  StoneColdTruth.com.
[00:58:46.570 --> 00:58:47.531]  Get his book today.
[00:58:47.551 --> 00:58:48.753]  I don't care where you get it, get it.
[00:58:54.209 --> 00:59:01.055]  So after weeks, what is now the largest House Intelligence Committee investigation ever, we get this from Democratic head Adam Schiff.
[00:59:10.583 --> 00:59:15.206]  But let's go back in time to a time when the Democrats were back-channeling with the Russians.
[00:59:15.546 --> 00:59:16.207]  Here's the headline.
[00:59:16.367 --> 00:59:20.969]  Ted Kennedy secretly asked the Soviets to intervene in the 1984 elections.
[00:59:21.470 --> 00:59:31.136]  According to Soviet documents unearthed in the 1990s, Kennedy literally asked the Soviets, avowed enemies of the U.S., to intervene on behalf of the Democratic Party in the 1984 elections.
[00:59:31.596 --> 00:59:33.417]  So what we have is another piece of evidence.
[00:59:33.677 --> 00:59:39.381]  Ain't it funny how we always see the Democrats pointing their finger, making accusations, and then when you do a little looking,
[00:59:39.821 --> 00:59:45.084]  It's always the Democrats that are the ones colluding, conniving, and backstabbing.
[00:59:45.524 --> 00:59:47.105]  I think Pat Buchanan said it best.
[00:59:47.505 --> 00:59:49.827]  They've been investigating this garbage for months.
[00:59:50.327 --> 00:59:53.329]  Rob, you're reporting for InfoWars.com and InfoWars Nightly News.
[00:59:55.190 --> 01:00:01.093]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:12.623 --> 01:00:14.204]  You want answers?
[01:00:14.244 --> 01:00:15.845]  Well, so does he.
[01:00:15.905 --> 01:00:17.626]  It's Alex Jones.
[01:00:17.666 --> 01:00:24.891]  So there's a total mutiny against the president.
[01:00:25.191 --> 01:00:28.092]  On another note, we were just talking about how he's getting audited and harassed by the IRS.
[01:00:28.573 --> 01:00:29.633]  You know, we constantly do.
[01:00:30.134 --> 01:00:36.017]  And then Trump can't even fire the guy at the IRS that got caught doing all this horrible stuff, because the whole bureaucracy is just ignoring Trump.
[01:00:36.057 --> 01:00:36.838]  It's a total mutiny.
[01:00:37.078 --> 01:00:37.918]  So what does he do?
[01:00:37.998 --> 01:00:40.020]  Well, first, he gets a clean team.
[01:00:40.580 --> 01:00:43.041]  I don't know what his daughter's going to do to him if he throws Jared out.
[01:00:43.101 --> 01:00:44.681]  I know that he likes Jared, they're friends.
[01:00:45.021 --> 01:00:46.802]  I think Jared's really taking advantage of that.
[01:00:47.422 --> 01:00:49.623]  Sometimes family does that when they're involved in an operation.
[01:00:49.643 --> 01:00:51.323]  That's just the way it goes.
[01:00:51.383 --> 01:00:53.284]  But Roger, you were saying there's a lot.
[01:00:53.624 --> 01:00:56.024]  What is specifically going on here?
[01:00:56.845 --> 01:01:01.986]  Well, I don't question Jared Kushner's loyalty to the president, but I do question his vision.
[01:01:03.166 --> 01:01:09.188]  Alex, he's a liberal Democrat from a very prominent family of liberal Democrats in New Jersey.
[01:01:09.708 --> 01:01:12.670]  I don't think he understands the Trump coalition.
[01:01:12.690 --> 01:01:14.531]  I don't think he understands... Well, does he understand family?
[01:01:14.731 --> 01:01:17.072]  And if he wants to be in that administration, he'll do what the president wants?
[01:01:17.252 --> 01:01:18.233]  That he's not the president?
[01:01:18.353 --> 01:01:19.173]  Does he understand that?
[01:01:19.833 --> 01:01:26.077]  Well, I think at this point he probably believes he is giving the president good advice, when in fact he's giving him bad advice.
[01:01:26.137 --> 01:01:30.039]  I'm going to give him the benefit of the doubt on motive by Alex.
[01:01:30.479 --> 01:01:33.480]  He doesn't understand the InfoWars watcher.
[01:01:33.840 --> 01:01:36.121]  He doesn't understand the Breitbart reader.
[01:01:36.581 --> 01:01:38.601]  We are the backbone of the Trump revolution.
[01:01:38.981 --> 01:01:40.982]  We are the soldiers who won this election.
[01:01:41.382 --> 01:01:47.083]  And we do not want to see the revolution hijacked by a bunch of establishment Republican geeks.
[01:01:47.804 --> 01:01:49.024]  He has to get that through his head.
[01:01:50.504 --> 01:01:52.125]  What else is in these texts?
[01:01:52.325 --> 01:01:55.926]  I mean, you can't tell us how you learned of it, but other little tidbits of that, Roger.
[01:01:55.946 --> 01:01:56.566]  This is a big story.
[01:01:57.039 --> 01:02:09.403]  Well, I think if you go back and watch Morning Joe now, retrospectively, the last several weeks, you will see a coordinated attack on our colleague and our fellow patriot, Steve Bannon.
[01:02:10.464 --> 01:02:25.029]  The other question that's looming here, Alex, is the way that the Silicon Valley billionaires are whining and dining Jared Kushner and his wife, who is a good friend of mine and a great lady, Ivanka Trump.
[01:02:25.689 --> 01:02:30.130]  Meanwhile, Google, Facebook, they're slowly squeezing our throats.
[01:02:30.390 --> 01:02:38.092]  You, me, Cernovich, Breitbart, and other alternative media sources see them fooling with our logarithms.
[01:02:38.172 --> 01:02:53.776]  We're the main guns that are defending Trump and saving him at every front while people in his White House are whining and dining the people that are strangling the Republic right now and trying to destroy him and pushing down his tweets and manipulating him.
[01:02:54.969 --> 01:03:02.151]  Well, and if anybody in the world should understand this, of course it's Steve Bannon, who comes from the world of alternative media.
[01:03:03.031 --> 01:03:12.414]  We've got a slowdown going on here that I think is only going to be solved with antitrust action against Google and some other tactics that we are working on.
[01:03:12.474 --> 01:03:18.416]  But I have no intention of going quietly and watching them cut off our access.
[01:03:18.636 --> 01:03:18.916]  Sure.
[01:03:19.276 --> 01:03:19.857]  Even U.S.
[01:03:19.877 --> 01:03:20.797]  News and World Report.
[01:03:21.477 --> 01:03:21.837]  Even U.S.
[01:03:21.857 --> 01:03:24.520]  News & World Report admits Google is the top censor in the world.
[01:03:24.920 --> 01:03:28.704]  Microsoft, they're all doing it, and they admit they're doing it to us.
[01:03:29.044 --> 01:03:40.574]  And David Brock, literally, who brags he got you banned off TV, the MVP, Roger Stone, not because you were full of bull, but because you were effective, they're bragging that they're openly working with Google to shut us down.
[01:03:40.634 --> 01:03:41.815]  Talk about tortuous interference.
[01:03:42.316 --> 01:03:45.559]  I just don't have the time or energy for lawsuits, but my lawyers tell me I've got them.
[01:03:46.727 --> 01:03:48.689]  Well, I have examined that.
[01:03:48.809 --> 01:03:56.055]  In all honesty, Brock has to say something because he pocketed 30 or 40 million dollars from rich, dumb, liberal donors.
[01:03:57.136 --> 01:04:06.043]  And despite their enormous spending advantage and the fact that they were manipulating internet media and manipulating mainstream media, they lost.
[01:04:07.063 --> 01:04:07.763]  I don't know.
[01:04:22.370 --> 01:04:23.711]  This is a slippery slope.
[01:04:42.657 --> 01:04:44.980]  We're winning, but the enemy is attacking.
[01:04:45.320 --> 01:04:51.366]  This is when the battle's got to be pressed, the attack has got to be pushed to its maximum ramming speed.
[01:04:51.707 --> 01:04:55.430]  Spread those links for the four wins continually, and we will defeat the globalists.
[01:04:55.811 --> 01:04:57.633]  And spread the word about our local affiliates.
[01:04:57.853 --> 01:04:58.734]  Thank you, Roger Stone.
[01:04:58.774 --> 01:04:59.555]  Big guest coming up.
[01:05:03.675 --> 01:05:13.942]  Well, I can't figure out why we haven't gone to war with Russia yet, especially after hearing the words of Senator Mark Warner, talking about the Senate Intelligence Committee investigation into Trump-Russia collusion.
[01:05:14.263 --> 01:05:27.672]  There were upwards of thousands of paid internet trolls working out of a facility in Russia, in effect taking over a series computers, which are then called a botnet, that can then generate news down to specific areas, Warner said.
[01:05:27.852 --> 01:05:32.636]  This actually kind of sounds like Tolkien fantasy, because if you look at who the queen of the trolls is, it's Hillary Clinton.
[01:05:32.876 --> 01:05:44.141]  In fact, her Clinton super PAC, Correct the Record, spent $1 million on project Breaking Barriers to pay people to respond to negative information about Clinton on social media sites like Facebook, Reddit, Instagram, and Twitter.
[01:05:44.281 --> 01:05:46.302]  That amount grew as large as $6 million.
[01:05:46.603 --> 01:05:48.484]  And who is the head of this operation?
[01:05:48.824 --> 01:05:50.905]  Media Matters and David Brock.
[01:05:51.365 --> 01:05:53.326]  And Clinton's use of trolls went as far back as 2007.
[01:05:54.907 --> 01:05:59.889]  If you want to find an army of trolls that would make sour men proud, then go to the Democratic Party.
[01:06:00.089 --> 01:06:03.053]  Rob, you're reporting for InfoWars.com and InfoWars Nightly News.
[01:06:06.456 --> 01:06:07.818]  Let's go to David in Florida.
[01:06:07.858 --> 01:06:09.120]  David in Florida, you're on the air.
[01:06:10.126 --> 01:06:10.466]  Great!
[01:06:10.546 --> 01:06:11.547]  Hey, thank you so much.
[01:06:11.667 --> 01:06:16.050]  Listen, I have bought your products and I gotta say they're amazing.
[01:06:16.211 --> 01:06:17.752]  Anyone who's on the fence, buy it.
[01:06:17.912 --> 01:06:25.397]  Because I've got Caveman, Superman Vitality, Secret Swell, 5mm Fusion, I've got the Body Armor.
[01:06:25.417 --> 01:06:26.318]  Wow, thank you.
[01:06:26.358 --> 01:06:28.640]  You're the type of listener that makes it all possible.
[01:06:28.700 --> 01:06:30.281]  Which nutraceuticals do you like best?
[01:06:30.521 --> 01:06:33.842]  I really like the Vitamin Mineral Fusion, to be honest.
[01:06:34.002 --> 01:06:35.062]  That's really incredible.
[01:06:35.262 --> 01:06:38.303]  I drank it in the morning and I swear to you, I felt incredible.
[01:06:38.323 --> 01:06:39.623]  Like, I haven't felt asleep.
[01:06:39.683 --> 01:06:41.264]  My morning was fantastic.
[01:06:41.344 --> 01:06:42.504]  And I love you guys.
[01:06:42.584 --> 01:06:43.984]  I love the Info Wars crew.
[01:06:44.745 --> 01:06:51.446]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[01:06:51.606 --> 01:06:52.386]  You will love it.
[01:06:52.647 --> 01:06:53.107]  I'm telling you.
[01:06:53.127 --> 01:06:54.467]  I've never bought a bad product.
[01:06:54.767 --> 01:06:59.153]  What you find in our news is the same thing you find in our products at Infowarslife.com.
[01:06:59.213 --> 01:06:59.954]  It's a win-win.
[01:07:00.074 --> 01:07:00.855]  Infowarslife.com.
[01:07:13.337 --> 01:07:21.249]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by Infowarslife.com.
[01:07:21.309 --> 01:07:24.393]  They're true game changers, they're organic, they're proven as safe.
[01:07:25.199 --> 01:07:27.040]  And they're also very affordable.
[01:07:27.060 --> 01:07:27.380]  Exactly.
[01:07:27.400 --> 01:07:29.200]  You talk about being a game changer, right?
[01:07:29.220 --> 01:07:32.541]  You talk about we're in an industry where we talk to the industry leaders.
[01:07:32.581 --> 01:07:33.722]  We've both talked to them.
[01:07:34.042 --> 01:07:43.025]  They have individuals that are hired only to save money and get the lowest quality junk and put it in as many capsules as possible so they can make the highest profit margins.
[01:07:43.885 --> 01:07:44.986]  We refuse to screw people.
[01:07:45.326 --> 01:07:46.306]  We refuse to do that.
[01:07:46.686 --> 01:07:48.667]  We actually want to make something that's good.
[01:07:49.207 --> 01:07:55.951]  Went on what Mother Nature gave us, and it's changed my life, and it's also helped the Infowar change the country and the world.
[01:07:56.331 --> 01:07:57.092]  It's a win-win.
[01:07:57.572 --> 01:07:58.593]  Infowarslife.com.
[01:08:09.239 --> 01:08:09.880]  Alex Jones.
[01:08:10.280 --> 01:08:11.420]  He was a nice guy, actually.
[01:08:11.441 --> 01:08:11.861]  You like him?
[01:08:13.226 --> 01:08:14.488]  Oh, that's good.
[01:08:14.608 --> 01:08:15.228]  Alex Jones.
[01:08:15.288 --> 01:08:15.749]  Nice guy.
[01:08:16.129 --> 01:08:23.858]  I know now from top people that you actually are for real and you understand you're in danger and you understand what you're doing is epic.
[01:08:23.878 --> 01:08:25.360]  Your reputation is amazing.
[01:08:25.821 --> 01:08:27.142]  I will not let you down.
[01:08:27.322 --> 01:08:30.206]  You will be very, very impressed, I hope.
[01:08:30.766 --> 01:08:35.507]  And I think we'll be speaking a lot, but you'll be looking at me in a year and a year or two years.
[01:08:35.527 --> 01:08:38.208]  Let's give me a little bit of a time to run things.
[01:08:38.288 --> 01:08:42.669]  But a year into office, you'll be saying, wow, I remember that interview.
[01:08:42.689 --> 01:08:44.710]  He said he was going to do it, and he did a great job.
[01:08:44.730 --> 01:08:46.130]  You'll be very proud of our country.
[01:08:46.170 --> 01:08:47.791]  So while we're there, you probably read it.
[01:08:47.831 --> 01:08:48.571]  It was in Drudge.
[01:08:49.071 --> 01:08:49.891]  Who's great, by the way.
[01:08:49.931 --> 01:08:51.172]  Drudge is amazing.
[01:08:51.832 --> 01:08:55.436]  But the story in Drudge and Big Store, it's all over the place, man.
[01:08:56.136 --> 01:08:59.179]  Guys swimming across in big bags of stuff.
[01:08:59.439 --> 01:08:59.940]  It's drugs.
[01:09:00.681 --> 01:09:03.884]  Swimming across the river, right?
[01:09:04.584 --> 01:09:05.385]  Swimming right across.
[01:09:05.926 --> 01:09:07.667]  We just caught these guys coming across the border.
[01:09:08.288 --> 01:09:09.089]  They're jumping in.
[01:09:09.109 --> 01:09:10.130]  They just jumped in rafts.
[01:09:10.150 --> 01:09:11.891]  They're coming up 1, 2, 3, 4.
[01:09:13.353 --> 01:09:14.334]  They have big satchels.
[01:09:15.299 --> 01:09:20.902]  And actually the camera crew, or the reporters, were petrified because they thought they were going to be killed.
[01:09:21.702 --> 01:09:24.784]  Because they're showing this on camera, the guys carrying bags of stuff.
[01:09:24.824 --> 01:09:25.324]  It was drugs.
[01:09:32.148 --> 01:09:32.328]  Thank you.
[01:09:32.348 --> 01:09:34.749]  Donald Trump, I hope you can help uncripple America.
[01:09:34.789 --> 01:09:35.690]  Thank you so much, sir.
[01:09:36.110 --> 01:09:37.911]  You will be attacked for coming on and we know you know that.
[01:09:37.951 --> 01:09:38.311]  Thank you.
[01:09:38.932 --> 01:09:39.492]  Thank you very much.
[01:09:40.675 --> 01:09:45.119]  Rallying patriots worldwide in defense of human liberty.
[01:09:45.719 --> 01:09:47.200]  It's Alex Jones.
[01:09:49.162 --> 01:10:04.914]  Last week, when Jean-Claude Junkers of the most powerful Nazi supporting family, Prussian royalty, that's the German military state, former the Austrian-Hungarian Empire military state,
[01:10:07.372 --> 01:10:16.539]  The main aircraft producer for the Nazis in World War II, so war profiteer criminals, they captured Luxembourg during the war and never gave it up.
[01:10:16.719 --> 01:10:17.820]  You wonder where the Nazi money went?
[01:10:20.441 --> 01:10:23.704]  I mean, there's books written about the Junkers.
[01:10:24.264 --> 01:10:26.065]  I call them Junkers, as an insult.
[01:10:28.527 --> 01:10:30.749]  And this creature.
[01:10:33.177 --> 01:10:33.417]  I don't
[01:10:55.578 --> 01:11:02.362]  We have Spanish members of Parliament, EU members of Parliament, I have a stack of news here, threatening war with the UK.
[01:11:02.382 --> 01:11:03.122]  This is insane.
[01:11:03.643 --> 01:11:12.407]  Now you have the Prime Minister saying, well, if they try to take the Rock of Gibraltar, that's been British control for hundreds of years, you know, controlling the entrance to the Mediterranean, we'll go to war, just like the Falkland War.
[01:11:13.208 --> 01:11:17.650]  So now we have a Spanish gunship entering British waters off Gibraltar.
[01:11:20.772 --> 01:11:21.693]  This is unprecedented.
[01:11:22.739 --> 01:11:24.720]  So, what is going on?
[01:11:25.000 --> 01:11:32.163]  Former top advisor to Margaret Thatcher, kind of the prototype guy helping, you know, found UKIP that's now spread all over Europe.
[01:11:34.064 --> 01:11:36.665]  The chief scientist out there exposing all the climate change fraud.
[01:11:36.705 --> 01:11:40.306]  Of course, we have the lowest hurricane level ever recorded now this year, they just announced.
[01:11:40.326 --> 01:11:41.527]  We're not going to get into all that.
[01:11:41.607 --> 01:11:45.508]  Scienceandpublicpolicy.org, whatsupwiththat.com, Lord Christopher Monckton.
[01:11:45.928 --> 01:11:47.229]  I won't go over all of that.
[01:11:47.969 --> 01:11:49.511]  And the media goes, don't call him a lord.
[01:11:49.551 --> 01:11:50.732]  They disbanded the House of Lords.
[01:11:50.812 --> 01:11:51.653]  It doesn't matter.
[01:11:51.973 --> 01:11:52.734]  That's his dad.
[01:11:52.794 --> 01:11:53.234]  That's him.
[01:11:53.294 --> 01:11:54.415]  He's a patriot.
[01:11:54.655 --> 01:11:55.556]  It's fun to say.
[01:11:55.576 --> 01:11:58.299]  I love how they play these semantical games.
[01:11:59.359 --> 01:12:03.423]  So, here we are, ladies and gentlemen, with Lord Christopher Monckton, a super patriot.
[01:12:03.523 --> 01:12:06.165]  We see nationalism rising, globalism panicking.
[01:12:06.626 --> 01:12:07.527]  What are they going to do?
[01:12:07.867 --> 01:12:08.868]  That's my second question.
[01:12:09.348 --> 01:12:12.071]  What does he make of what's happening currently in the world?
[01:12:12.671 --> 01:12:27.775]  The left's alliance with radical Islam, just the state of the world with Lord Monckton, and what's happening with all these EU bureaucrats, unelected dictators, threatening economic war, physical war, EU armies, threatening to march them in.
[01:12:28.235 --> 01:12:30.155]  I mean, I guess we didn't take that serious in 1939 either.
[01:12:30.175 --> 01:12:30.715]  What is going on?
[01:12:30.735 --> 01:12:32.096]  It's when a Nazi heir is threatening us.
[01:12:37.910 --> 01:12:56.697]  Everything that the appalling John Claude Juncker has said merely reinforces the reasons why it was so necessary for us in the United Kingdom to have nothing further to do with the dictatorial, fascistic, communist European Union.
[01:12:56.737 --> 01:12:59.919]  The tyranny by clerk, because that's what they really are.
[01:13:00.419 --> 01:13:05.541]  These people whose ambition vastly exceeds their competence.
[01:13:06.341 --> 01:13:24.573]  have responded in a petulant, childish and arrogant way to what was, on any view, a thoughtful, considered and very friendly six-page letter from our Prime Minister, Theresa May, notifying them on March the 29th.
[01:13:26.034 --> 01:13:33.560]  That Britain would be, in two years' time, on March the 29th, 2019, quitting the European Union.
[01:13:34.120 --> 01:13:43.187]  Now, Theresa May deliberately went to great lengths to say how much Britain feels that it is part of Europe.
[01:13:43.407 --> 01:13:48.751]  Because we have no quarrel with Europe.
[01:13:49.111 --> 01:13:52.354]  Our quarrel is with the dictators of the European Union.
[01:13:52.874 --> 01:14:01.197]  And the reason why we don't like the European Union is that the European Union is anti-European because it is anti-democratic.
[01:14:01.277 --> 01:14:07.799]  It was Europe that gave the world the name and the reality of democracy.
[01:14:07.819 --> 01:14:09.580]  It was the ancient Greeks who did that.
[01:14:10.500 --> 01:14:16.364]  And it is Europe now, in the shape of the European Union, that rejects democracy.
[01:14:16.745 --> 01:14:23.369]  And when this very civilized letter, on any view a very civilized letter, was sent by Theresa May, great thought had gone into it.
[01:14:23.810 --> 01:14:26.832]  A very responsible, very statesman-like letter.
[01:14:27.612 --> 01:14:42.082]  What has happened since is enormous petulance on the part of the EU, and some bureaucrats thought they'd have some fun saying that if anything in the negotiations affected Gibraltar, the government of Spain would have to be asked.
[01:14:42.482 --> 01:14:45.504]  Well now, here is how the law actually works.
[01:14:46.244 --> 01:14:50.207]  By the Treaty of Utrecht in 1713, Spain agreed that Gibraltar was British.
[01:14:54.009 --> 01:14:55.109]  That is the law.
[01:14:55.169 --> 01:14:56.650]  That is the international treaty.
[01:14:56.950 --> 01:14:58.070]  It hasn't been revoked.
[01:14:58.130 --> 01:14:59.290]  It hasn't been repealed.
[01:14:59.630 --> 01:15:06.332]  We are both bound by that just as much now as we were in 1713 when both parties signed it.
[01:15:07.012 --> 01:15:11.873]  So let us have no more nonsense from the EU bureaucrats about grabbing Gibraltar.
[01:15:11.893 --> 01:15:19.115]  And of course, quite rightly, several Conservative members of Parliament have got on their high horses and they've said if the
