[00:00:12.250 --> 00:00:13.451]  Wow, Friday.
[01:00:56.284 --> 01:00:59.705]  They've thrown every bit of money they had in the last four special elections and failed.
[01:00:59.745 --> 01:01:02.167]  And sure enough, POTUS made the same point.
[01:01:02.787 --> 01:01:08.690]  It would be a very, very sad day for Republicans if Nancy Pelosi steps down, says Trump.
[01:01:08.930 --> 01:01:10.491]  That's up on DrudgeReport.com.
[01:01:10.511 --> 01:01:12.812]  I want to post this on InfoWars.com.
[01:01:13.212 --> 01:01:14.873]  Trump meets with top CEOs.
[01:01:15.613 --> 01:01:17.434]  So we're going to get to that video and play that for you.
[01:01:20.388 --> 01:01:22.108]  Oh my gosh, that is so delicious.
[01:01:22.749 --> 01:01:25.969]  So that's just some of the news that's up on Drudge.
[01:01:26.429 --> 01:01:29.730]  Some of the other news, Johnny Depp jokes about Trump assassination backlash.
[01:01:30.310 --> 01:01:31.791]  Yeah, I hope nobody kills him.
[01:01:31.811 --> 01:01:34.351]  I mean, you know, he is calling for civil war and murder.
[01:01:34.851 --> 01:01:36.052]  We're pushing it, part of the trend.
[01:01:36.852 --> 01:01:39.092]  Eleventh Hollywood star to imagine violence.
[01:01:39.112 --> 01:01:40.573]  Yeah, that's a good article, I'm going to go over that.
[01:01:41.253 --> 01:01:44.073]  MSNBC president like suicide bomber.
[01:01:44.413 --> 01:01:46.374]  Federal Republican congressman attacked, threatened.
[01:01:47.677 --> 01:01:48.538]  I'm gonna go over all those.
[01:01:48.938 --> 01:01:49.338]  Update.
[01:01:49.358 --> 01:01:54.303]  Democratic official caught saying, I'm glad Scalise got shot.
[01:01:56.845 --> 01:01:57.866]  I mean, that's what's going on.
[01:01:57.926 --> 01:01:59.327]  That's the trend for civil war.
[01:02:00.981 --> 01:02:04.162]  Then we've got Pelosi, we've got President Trump saying, keep her!
[01:02:04.802 --> 01:02:23.989]  But see, I almost didn't want to come celebrate this, because the Democrats might get wise and get rid of her, but see, there's such a dictatorship of Schumer in the Senate and Pelosi in the House, and then David Brock's like the brain that like runs their, you know, their operations and stuff, and, you know, the skeletons all, you know, meet there.
[01:02:25.913 --> 01:02:26.133]  I don't
[01:02:48.953 --> 01:02:53.176]  Well let's just say he doesn't have as powerful a demon in him as his father.
[01:02:54.977 --> 01:02:56.698]  He has like a slimer demon or something.
[01:02:56.738 --> 01:03:00.841]  He's got like a little, some kind of little goblin creature spirit.
[01:03:01.162 --> 01:03:03.783]  I mean we're talking about rat level creatures here.
[01:03:04.284 --> 01:03:12.730]  But what does it say about us if rat crazed, spirit cooking, Aleister Crowley loving little dweebies
[01:03:13.783 --> 01:03:15.704]  Who've drank their own wimp Kool-Aid.
[01:03:15.724 --> 01:03:18.205]  They want to pull down the whole universe because they're such wimps.
[01:03:18.425 --> 01:03:19.226]  They're so ugly.
[01:03:19.446 --> 01:03:20.306]  They're so twisted.
[01:03:21.246 --> 01:03:24.068]  They want to pull everybody else down so they can feel powerful above it.
[01:03:24.388 --> 01:03:25.689]  It's not going to work that way.
[01:03:25.989 --> 01:03:31.251]  We've had so much prosperity dumbos that people kind of tolerated you.
[01:03:31.271 --> 01:03:32.852]  They didn't want to look at you.
[01:03:32.932 --> 01:03:37.134]  But now, now you will face the full fury.
[01:03:43.725 --> 01:03:46.506]  And I've been waiting for this a long time.
[01:03:48.167 --> 01:03:51.368]  Now we're going to go to break soon and come back with Max Keiser from Mexico City.
[01:03:52.168 --> 01:03:58.511]  And then I've got a powerful Joe Rogan clip I meant to get to yesterday that I've got to play about Evergreen College and the mental illness by design.
[01:03:58.531 --> 01:04:09.836]  And then I've got a powerful, when I say powerful I'm not overusing the word, very important, poignant, thought-provoking piece by George Garland that I'd never heard.
[01:04:10.928 --> 01:04:12.891]  With him on politics, political correctness and more.
[01:04:12.931 --> 01:04:22.446]  We're going to air both of those this hour after Max Keiser leaves us if the water doesn't rise over Bear Creek or if the hair doesn't lift the Admiral.
[01:04:23.166 --> 01:04:25.968]  They say, oh, don't use those old-fashioned British terms, it'll hurt somebody with a hair lip.
[01:04:26.589 --> 01:04:28.330]  It's not meant to hurt somebody with a hair lip.
[01:04:28.430 --> 01:04:29.911]  It's an old saying.
[01:04:30.451 --> 01:04:35.735]  And we've got to start using the old sayings or they're going to have a monopoly on words and tell us what words to use.
[01:04:35.815 --> 01:04:37.056]  It's total tyranny.
[01:04:37.537 --> 01:04:38.858]  It's control of language.
[01:04:39.298 --> 01:04:40.779]  It's out of control by design.
[01:04:41.019 --> 01:04:47.044]  And then Michael Malice, an expert on North Korea, the unauthorized biography on Dear Leader.
[01:04:47.484 --> 01:04:48.224]  That's the name of the book.
[01:04:48.745 --> 01:04:51.127]  He'll be joining us on the nightmare, I mean the heaven,
[01:04:52.029 --> 01:04:55.455]  of the utopic communist country of North Korea.
[01:04:55.975 --> 01:05:01.864]  We'll also look at the implosion of other wonderlands like Cuba and Venezuela.
[01:05:04.468 --> 01:05:06.632]  Imagine the world without InfoWars.
[01:05:10.066 --> 01:05:12.027]  The globalists have already consolidated their ballot.
[01:05:12.547 --> 01:05:16.268]  They don't want people to have their own economies, their own choices.
[01:05:16.969 --> 01:05:30.274]  When you spread the links to Infowars.com news stories and our videos, when you tell friends, family, and neighbors about our free iPhone and Droid apps, or send them a link to our daily podcast, you are involved in a revolutionary act against tyranny.
[01:05:30.694 --> 01:05:35.856]  It was George Orwell that said, in a world of universal deceit, telling the truth is a revolutionary act.
[01:05:36.617 --> 01:05:40.477]  That's why I spend a lot of time trying to not just innovate,
[01:05:41.744 --> 01:05:47.827]  News and analysis and our fight against the globalists, but also thinking about how we're able to fund our operation.
[01:05:48.127 --> 01:05:50.949]  That's so critical to prosecute an information war.
[01:05:51.849 --> 01:06:06.797]  And I've spent seven years off and on trying to get a big national brand that's already trusted to let us private label an entire line of personal care products that's organic and high quality.
[01:06:07.217 --> 01:06:09.378]  Well, ladies and gentlemen, we have private labeled it.
[01:06:10.706 --> 01:06:23.032]  And it is the exact same product, just the name is different, Emrix Essentials, and it's on average 20% off what it would be in stores, buying it directly from InfoWareStore.com.
[01:06:23.873 --> 01:06:26.394]  On top of that, if you sign up for AutoShip,
[01:06:26.914 --> 01:06:32.496]  You get an additional, out of the gates, 25% off on this product.
[01:06:33.076 --> 01:06:35.698]  Emerix Essentials is all about personal care.
[01:06:36.138 --> 01:06:36.758]  Hygiene.
[01:06:37.038 --> 01:06:38.199]  Not getting skin cancer.
[01:06:38.739 --> 01:06:42.400]  Not getting bit by a bunch of bugs and gnats and mosquitoes.
[01:06:42.900 --> 01:06:43.881]  It's all there.
[01:06:44.041 --> 01:06:44.821]  The body wash.
[01:06:44.941 --> 01:06:45.682]  The shampoo.
[01:06:46.242 --> 01:06:46.882]  The deodorant.
[01:06:47.322 --> 01:06:48.082]  The mouthwash.
[01:06:48.543 --> 01:06:48.923]  All of it.
[01:06:49.443 --> 01:06:50.664]  That is truly game-changing.
[01:06:51.144 --> 01:06:51.924]  Be-A-Way Spray.
[01:06:52.245 --> 01:06:54.266]  Totally organic, essential oils.
[01:06:54.986 --> 01:06:58.548]  Works a lot better than the toxic chemical systems that are out there.
[01:06:58.928 --> 01:07:01.189]  And it is comparable in price.
[01:07:01.490 --> 01:07:02.930]  And again, it's concentrated.
[01:07:03.271 --> 01:07:04.691]  The deodorant is amazing.
[01:07:05.132 --> 01:07:05.832]  High quality.
[01:07:06.512 --> 01:07:08.033]  Doesn't have the aluminum garbage in it.
[01:07:08.333 --> 01:07:09.074]  Totally natural.
[01:07:09.354 --> 01:07:09.854]  Works great.
[01:07:10.775 --> 01:07:13.616]  SPF 30 Face and Body Lotion Sunscreen.
[01:07:14.016 --> 01:07:14.517]  Unscented.
[01:07:15.077 --> 01:07:20.063]  This is exciting because so many of the so-called sunscreens that are out there are toxic.
[01:07:20.204 --> 01:07:22.286]  Because everyone knows I'm obsessed with Win-Wins.
[01:07:22.306 --> 01:07:22.807]  20% off what it is retailed.
[01:07:25.555 --> 01:07:34.364]  Because we cut out the middleman and then additionally you sign up for auto ship out of the gates 25% off that because I want you to try these products.
[01:07:34.504 --> 01:07:35.726]  I want you to love these products.
[01:07:36.086 --> 01:07:46.697]  I want to have a deeper relationship with you in a 360 win a non-zero-sum game where you get high quality you get value and you repeat order something you need every month.
[01:07:47.578 --> 01:07:55.201]  And then we're able to secure our funding into the future to not just stay at the level we're at, but to grow in the face of enemy attacks.
[01:07:55.481 --> 01:08:00.103]  InfoWarsLife.com, InfoWarsStore.com, and you'll find Emmerich's Essentials.
[01:08:04.940 --> 01:08:11.862]  From the front lines of the Information War, it's Alex Jones!
[01:08:31.485 --> 01:08:39.410]  MSNBC's Alyssa Jordan, who was married to Michael Hastings, she was formerly a top aide on the National Security Council for Obama.
[01:08:42.230 --> 01:08:45.751]  She is saying that Trump is like a suicide bomber.
[01:08:45.851 --> 01:08:54.373]  We have another MSNBC host saying ISIS should target Trump properties like Trump Tower, but he's violent, he's like a suicide bomber.
[01:08:55.073 --> 01:09:00.894]  That's coming up in a moment, then Max Keiser joins us from Mexico City with breaking news on the economy, politics, and more.
[01:09:01.274 --> 01:09:03.975]  Always interesting and informative when Max Keiser joins us.
[01:09:04.495 --> 01:09:05.775]  But first, here's Johnny Depp.
[01:09:06.826 --> 01:09:18.511]  A guy from Kentucky, trying to have a kind of quasi-Atlantic accent, British accent, talking about getting Trump in the dark, stomping on him with Doc Martens.
[01:09:18.531 --> 01:09:20.552]  I mean, there's a longer clip, we played it last hour.
[01:09:20.912 --> 01:09:23.153]  And then saying, has an actor killed a president?
[01:09:23.893 --> 01:09:30.336]  So it's all part of this pushing the narrative, and you've got Democrats getting caught saying they hope Scalise dies, and you've got
[01:09:31.431 --> 01:09:37.432]  When Trump says, you know, let's have prayers for him and his family, and for the police officers, and then the Democrats boo and hiss.
[01:09:37.772 --> 01:09:43.274]  I mean, these are truly sickening people who are incredibly wimpy, is the other part.
[01:09:44.654 --> 01:09:46.874]  Most of them don't have jobs, most of them are mentally ill.
[01:09:47.334 --> 01:09:52.916]  I mean, you go to a Democratic Party event, it looks like, it looks like Day of the Dead.
[01:09:54.176 --> 01:09:55.736]  Especially, especially the young people.
[01:09:55.776 --> 01:09:56.656]  It's very, very sad.
[01:09:57.016 --> 01:09:57.677]  What has happened?
[01:09:57.717 --> 01:09:58.737]  Well, look at Johnny Depp!
[01:09:59.608 --> 01:10:02.967]  He looks like a cross between a meth head and a lot lizard.
[01:10:04.217 --> 01:10:07.239]  You know, that you mix in with a child molester creeping around in a white van.
[01:10:07.259 --> 01:10:11.722]  I'm not saying he's a child molester, but Johnny Depp looks like a child molester.
[01:10:12.382 --> 01:10:15.424]  And he's all shaken from all the drugs he's taken and can hardly talk.
[01:10:16.024 --> 01:10:21.428]  What's going to happen if somebody walks up to him because they don't like him pushing Civil War and pumps a bunch of bullets into him?
[01:10:21.468 --> 01:10:27.972]  Or God forbid, don't blame the Second Amendment, they walk up and pull out a double-edged dagger and just grab him by the back of the head and start running it into him.
[01:10:28.512 --> 01:10:29.573]  I hope that doesn't happen.
[01:10:30.452 --> 01:10:32.253]  Because they're all hoping for violence and stuff.
[01:10:32.873 --> 01:10:33.833]  I'm scared of violence.
[01:10:33.853 --> 01:10:35.094]  I don't have anything to do with it.
[01:10:36.434 --> 01:10:40.095]  Now let's go ahead and, because we're winning the Info War so good, why don't we have that?
[01:10:40.855 --> 01:10:43.156]  Don't worry, there'll be time enough for whatever they want.
[01:10:43.216 --> 01:10:44.597]  I'm sure they're going to get what they want.
[01:10:45.017 --> 01:10:47.578]  Here's Johnny Creeper Van Depp.
[01:10:49.318 --> 01:10:50.979]  I think he needs help.
[01:10:53.400 --> 01:10:54.980]  I don't know.
[01:10:58.112 --> 01:10:59.333]  Dark places he could go.
[01:10:59.353 --> 01:11:06.856]  A lot of Doc Martens in the, uh... It's just a question.
[01:11:07.016 --> 01:11:08.537]  I'm not insinuating anything.
[01:11:08.697 --> 01:11:10.198]  By the way, this is gonna be in the press.
[01:11:10.218 --> 01:11:10.898]  It'll be horrible.
[01:11:12.799 --> 01:11:14.940]  But I'd like... I like that you're all a part of it.
[01:11:14.980 --> 01:11:18.341]  When was the last time an actor assassinated a president?
[01:11:20.462 --> 01:11:21.603]  Bobby thinks it's so cool.
[01:11:22.623 --> 01:11:24.104]  Just some drug addict.
[01:11:31.048 --> 01:11:33.049]  I want to clarify, I'm not an actor.
[01:11:35.191 --> 01:11:36.972]  I lie for a living.
[01:11:37.012 --> 01:11:40.235]  No, what you are is a rotten-toothed little snake.
[01:11:41.375 --> 01:11:41.976]  It's been a while.
[01:11:44.226 --> 01:11:45.947]  I mean, just look at him trying to act cool.
[01:11:47.048 --> 01:11:50.291]  They all try to dress like gypsies, and it's just... Give me a break!
[01:11:50.311 --> 01:11:51.652]  Get a job, man!
[01:11:51.672 --> 01:12:01.780]  $600 million that you didn't give to charity, that you blew and lost because you're such a moron, and you've got all these fake supposed friends around you.
[01:12:05.794 --> 01:12:09.515]  Imagine just waddling around acting cool like Johnny Depp does all day.
[01:12:10.276 --> 01:12:14.297]  When if he didn't have the money and he wasn't in movies, people go, oh look, there's another junkie!
[01:12:15.317 --> 01:12:16.498]  There's another meth mouth!
[01:12:16.998 --> 01:12:22.700]  There's another rotten-toothed, know-it-all piece of crap that wants a war with hard-working people!
[01:12:24.241 --> 01:12:27.182]  Because all the degenerate Hollywood folks hate Christians.
[01:12:27.202 --> 01:12:28.102]  That's why they hate Russia.
[01:12:28.122 --> 01:12:29.242]  That's why they hate America.
[01:12:29.602 --> 01:12:32.663]  They're a bunch of devil-worshipping crap.
[01:12:33.183 --> 01:12:36.043]  And America is scraping it off the bottom of our shoes.
[01:12:37.064 --> 01:12:40.224]  And pretty soon, Hollywood's going to be totally bankrupt.
[01:12:40.364 --> 01:12:41.965]  Everybody should stop seeing their movies.
[01:12:42.265 --> 01:12:43.605]  Should stop watching what they do.
[01:12:44.305 --> 01:12:48.986]  Should just only analyze their propaganda so folks know it's poison.
[01:12:49.166 --> 01:12:52.407]  And just point out, that's poison, that's death, that's destruction.
[01:12:53.277 --> 01:12:56.518]  Now here is Michael Hastings' wife.
[01:12:56.578 --> 01:12:58.258]  Remember his car that blew up going down the road?
[01:13:00.539 --> 01:13:01.759]  Joe Biggs was at the funeral.
[01:13:02.840 --> 01:13:04.500]  She said, I'm going to get these bastards.
[01:13:04.540 --> 01:13:05.020]  They killed him.
[01:13:05.560 --> 01:13:08.061]  But then when she went on Piers Morgan, she said, oh, nothing happened.
[01:13:08.101 --> 01:13:09.161]  It was totally normal.
[01:13:09.881 --> 01:13:14.223]  Now she's saying the president's like a suicide bomber and he doesn't ever keep his word.
[01:13:14.483 --> 01:13:19.224]  No, that's why they're mad is because he's really keeping his word on almost every agenda.
[01:13:20.049 --> 01:13:24.963]  And then Congress is blocking him on tax cuts and things like that, but the regulations are the equivalent of tax cuts.
[01:13:24.983 --> 01:13:25.304]  Here it is.
[01:13:26.155 --> 01:13:27.735]  The broadcast, I said bluff.
[01:13:27.755 --> 01:13:28.856]  I said the president was bluffing.
[01:13:29.496 --> 01:13:31.496]  I may have been perhaps too fair.
[01:13:31.576 --> 01:13:36.197]  It would seem as if the president may have been lying all along about the existence of these tapes.
[01:13:36.577 --> 01:13:42.839]  No, he's just wasting, he wasted the country's collective time speculating over whether these tapes existed or not.
[01:13:43.219 --> 01:13:46.319]  It's a sad day when you cannot depend on the president's word.
[01:13:46.419 --> 01:13:51.560]  And my advice would just be to Republicans who do cozy up to him, it's just like hugging a suicide bomber.
[01:13:51.881 --> 01:13:53.681]  He blows you up in the process with him.
[01:13:54.341 --> 01:13:56.321]  It's like, that's a little strong, Elise.
[01:13:56.361 --> 01:14:08.664]  Yeah, I mean, it's, this is not, I mean, look at what, if you go out on a limb, if you're a Republican who went out on a limb and defended Donald Trump over saying, well, he's got tapes that are going to back up his point of view, he just got blown up.
[01:14:08.724 --> 01:14:09.364]  Keep going, yeah.
[01:14:09.424 --> 01:14:09.965]  No, no, exactly.
[01:14:09.985 --> 01:14:11.265]  She knows a lot about bombs.
[01:14:11.505 --> 01:14:14.225]  Her husband got blown up, and I'm sad that happened.
[01:14:17.666 --> 01:14:19.927]  But if you hug Trump, he blows you up.
[01:14:19.967 --> 01:14:20.747]  He lies to you.
[01:14:22.947 --> 01:14:28.428]  No, he said, you better be careful there aren't tapes, because he knew what he really said to Comey, and he bluffed Comey.
[01:14:31.649 --> 01:14:33.689]  Into telling the truth.
[01:14:33.949 --> 01:14:35.529]  That he didn't try to obstruct justice.
[01:14:35.929 --> 01:14:36.929]  So what did the MSM do?
[01:14:36.949 --> 01:14:43.351]  They just said, it's not real, Comey never said that he didn't obstruct, Comey never said that, really, I have the clips, maybe we should play them again.
[01:14:45.451 --> 01:14:47.731]  That's how stupid they think we are.
[01:14:49.712 --> 01:14:50.752]  Now continuing here,
[01:14:53.078 --> 01:14:59.139]  I want to deal with some other issues that are very, very important.
[01:14:59.159 --> 01:15:03.820]  We're going to do that at about 40 after when Max Keiser leaves us.
[01:15:05.701 --> 01:15:10.002]  DWS says Jay Johnson is wrong in every respect.
[01:15:10.042 --> 01:15:11.482]  That's Debbie Wasserman Schultz.
[01:15:12.102 --> 01:15:14.683]  And that no one requested access to DNC servers.
[01:15:14.723 --> 01:15:15.203]  Remember all that?
[01:15:16.303 --> 01:15:19.424]  But Jay Johnson, who was the head of Homeland Security, he testified.
[01:15:20.987 --> 01:15:23.289]  That they refused to let them look at the servers.
[01:15:25.050 --> 01:15:26.011]  But she says he's lying.
[01:15:26.312 --> 01:15:27.733]  So that's rats leaving the sinking ship.
[01:15:27.773 --> 01:15:28.413]  That's coming up.
[01:15:28.774 --> 01:15:30.655]  Then I've got a George Carlin piece I'm going to play.
[01:15:30.996 --> 01:15:33.818]  And I've also got a Joe Rogan piece I want to play because it's very, very important.
[01:15:33.838 --> 01:15:37.461]  And I want to give Joe and the professor the other piece of the puzzle.
[01:15:39.042 --> 01:15:44.207]  Because they're asking a question, but I'd like to give them the answer.
[01:15:44.607 --> 01:15:45.448]  So that's coming up.
[01:15:46.991 --> 01:15:48.612]  Then Mike Cernovich is host of the fourth hour.
[01:15:49.212 --> 01:15:51.614]  Michael Mallis, an expert on North Korea.
[01:15:51.634 --> 01:15:55.716]  And that communist heaven will be joining us as well coming up in the next hour.
[01:15:55.996 --> 01:15:58.257]  Now Max Keiser is in Mexico City.
[01:15:58.277 --> 01:16:00.058]  He does not need any introduction to our audience.
[01:16:00.418 --> 01:16:01.999]  But he's been a busy man the last year.
[01:16:02.039 --> 01:16:02.820]  Haven't had him on much.
[01:16:03.360 --> 01:16:08.103]  Max Keiser is a filmmaker, broadcaster, and former major broker and options trader.
[01:16:08.423 --> 01:16:13.245]  He's also co-founder of Bitcoin Capital and presenter of the Keiser Report on RT.
[01:16:14.466 --> 01:16:18.388]  MaxKaiser.com is his website, so he's always got a lot to talk about.
[01:16:18.809 --> 01:16:24.072]  I want to get into the economy, I want to get into the state of the world, the civil war the media is trying to start.
[01:16:24.532 --> 01:16:26.153]  Max Kaiser, thank you for joining us.
[01:16:27.894 --> 01:16:31.356]  Hey Alex, yeah, sorry I don't have the video set up.
[01:16:31.436 --> 01:16:34.538]  It's okay, I know you're having some internet problems, that's why you're on a bit late, it's okay.
[01:16:35.638 --> 01:16:41.802]  Yeah, JP has the phone that we were going to do the video on, and I don't know where he went.
[01:16:42.458 --> 01:16:56.124]  It's okay, we'll have you back on tomorrow or something, whenever you want, with Skype, because I loved you in Rome, I loved you in England, I loved you in Moscow, I loved you in all over the place you've come on the show.
[01:16:56.384 --> 01:17:00.946]  It's always amazing tours you give us, so I was looking forward to you walking around in Mexico City, but that's okay.
[01:17:01.526 --> 01:17:03.747]  What do you want to hit first, Mr. Kaiser?
[01:17:05.468 --> 01:17:09.990]  Well, Alex, I think there's a very big story here in Mexico City.
[01:17:10.768 --> 01:17:26.932]  You know, it's a country right on America's border, right on America's doorstep, and you compare it to the rhetoric that comes out of mainstream media in America that's always about bashing Russia and Putin bashing, and they say things like he kills journalists.
[01:17:27.112 --> 01:17:31.413]  Well, journalists are getting killed all over the world, and probably
[01:17:32.450 --> 01:17:38.093]  Mexico is a place where you've got 90 to 100 journalists have been murdered over the past 10 years.
[01:17:38.153 --> 01:17:41.795]  It's like the journalist murder capital of the world and yet the mainstream media never talked about it.
[01:17:42.636 --> 01:17:52.521]  Here in Mexico City there's a real revolutionary spirit to try to push back against an authoritarian government that has got 30 million Mexicans on the verge of starvation.
[01:17:53.061 --> 01:17:56.703]  So what we're doing here Alex is I'm spreading the word of Bitcoin
[01:17:57.518 --> 01:18:02.362]  And MaxCoin, you know, MaxCoin is the coin that was created kind of in my honor.
[01:18:02.382 --> 01:18:05.225]  It's getting new all-time highs on record volumes.
[01:18:05.605 --> 01:18:06.886]  People can mine the coin.
[01:18:06.906 --> 01:18:13.412]  And I'm talking to people all over the world that can mine cryptocurrencies on their desktop to give themselves economic freedom.
[01:18:13.452 --> 01:18:15.494]  Remember, Alex, a couple of years ago we did
[01:18:16.639 --> 01:18:17.120]  Yes, we are.
[01:18:31.992 --> 01:18:40.240]  Well, I was about to say, from what I've seen in Brazil and Mexico and other areas, I wouldn't call it right wing.
[01:18:40.300 --> 01:18:45.425]  It's like super libertarian, absolutely sick of communism, socialism and fascism.
[01:18:45.705 --> 01:18:47.267]  But our media ignores that.
[01:18:47.287 --> 01:18:51.611]  And the Latin media is pretty establishment liberal like ours here.
[01:18:52.292 --> 01:18:53.513]  But I mean, is that not the case?
[01:18:53.553 --> 01:18:54.994]  What have you found in Latin America?
[01:18:55.014 --> 01:18:56.356]  Because I know you've traveled extensively.
[01:18:57.523 --> 01:19:00.124]  Well, American media doesn't want to accept the truth.
[01:19:00.144 --> 01:19:08.305]  You know, when we were in North Carolina before the election, the presidential election, we reported that we don't see any Hillary signs.
[01:19:08.985 --> 01:19:10.106]  All we see are Trump signs.
[01:19:10.646 --> 01:19:13.466]  We thought we see great support for Trump.
[01:19:13.946 --> 01:19:18.647]  And we were accused of being pro-Russian because we were reporting the truth.
[01:19:18.727 --> 01:19:20.948]  And sure enough, Hillary lost North Carolina.
[01:19:21.128 --> 01:19:22.328]  Hillary lost Wisconsin.
[01:19:23.618 --> 01:19:26.539]  Americans are really being dumbed down by this mainstream media.
[01:19:26.559 --> 01:19:32.021]  And again, in fairness, you're on RT, which is international, but you've said they've never controlled what you say, what you do.
[01:19:32.461 --> 01:19:36.762]  I mean, but you've been on Al Jazeera, you've been on BBC, you've been on a bunch of other networks too.
[01:19:36.802 --> 01:19:37.982]  So, I mean, are you a British agent?
[01:19:38.002 --> 01:19:38.962]  Are you an Islamic agent?
[01:19:40.603 --> 01:19:44.164]  The only network that censored me aggressively was the BBC.
[01:19:45.091 --> 01:19:47.915]  The BBC is the worst of all international outlets.
[01:19:48.336 --> 01:19:54.925]  They control every single thing you say, they edit your show, and they cut things they don't like.
[01:19:54.945 --> 01:19:56.407]  The BBC is the worst.
[01:19:56.747 --> 01:19:58.690]  All right, Max Keiser, maxkeiser.com.
[01:19:58.710 --> 01:19:59.852]  He's with us till 40 after.
[01:19:59.872 --> 01:20:01.995]  He's giving us vital intel.
[01:20:06.434 --> 01:20:13.797]  Basically what we're bringing to the InfoWars team is a new line of body.
[01:20:14.478 --> 01:20:16.078]  It's nanotube technology.
[01:20:16.699 --> 01:20:18.239]  It's created here in Texas.
[01:20:18.860 --> 01:20:25.963]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[01:20:26.263 --> 01:20:29.244]  Go check out all their different products at InfoWarsTour.com.
[01:20:29.324 --> 01:20:30.025]  It's amazing!
[01:20:34.352 --> 01:20:37.413]  This July 4th, we're having some of the biggest sales ever.
[01:20:37.694 --> 01:20:44.257]  Our incredible Nootropic Brain Force Plus, 30% off, and now with 20% more in each bottle.
[01:20:44.557 --> 01:20:47.078]  Super Mel Vitality, sold out for months.
[01:20:47.218 --> 01:20:52.040]  Concentrated herbs that have absolutely changed my life and so many others, 30% off as well.
[01:20:52.420 --> 01:20:54.261]  So again, I want to thank you all for your support.
[01:20:54.281 --> 01:20:56.122]  I want to thank you for your prayers.
[01:20:56.562 --> 01:21:02.905]  You have changed the world, and I want to encourage you to continue to change the world and to accelerate your resistance.
[01:21:05.396 --> 01:21:07.297]  Dr. Shiva Ayyadurai is our guest.
[01:21:07.337 --> 01:21:10.459]  He's got four degrees from MIT and others as well.
[01:21:10.599 --> 01:21:11.139]  Patriot.
[01:21:12.160 --> 01:21:16.722]  And he's running for Senate against the fake...
[01:21:18.197 --> 01:21:25.679]  Native American, of course they thought they'd found India, so they called the Native Americans Indians, but he's actually an Indian, so he's the real Indian running against the imposter.
[01:21:25.699 --> 01:21:27.499]  He's kind of used that as one of his slogans.
[01:21:28.179 --> 01:21:42.242]  Getting into the campaign to run against this lady, let's break down her record and what she's really up to and some of the things she's been involved in and what made you decide to go ahead and, you know, successful scientist, entrepreneur, to make you, you know, throw your hat in the ring.
[01:21:43.342 --> 01:21:48.264]  Well, you know, Alex, I grew up in, you know, I was originally born in India and I came here.
[01:21:48.664 --> 01:21:51.466]  As you may know, Alex, India has a very oppressive caste system.
[01:21:51.826 --> 01:22:04.131]  So my parents had this very futuristic vision and they made it out in there and they came to America because the founders of this country had a very different vision for America, which was through your hard work, through your bravery, through your resilience, you created things.
[01:22:04.171 --> 01:22:05.672]  And that's what this country is about.
[01:22:06.292 --> 01:22:12.819]  Well, and the idea of the founders was that between us and our creator was not supposed to be monarchs, the nobles, the priesthood.
[01:22:13.119 --> 01:22:17.564]  It was about us having a direct connection to our God and our creator, and that's what makes this country great.
[01:22:17.965 --> 01:22:27.655]  Elizabeth Warren and the self-serving elitists, Harvard and all these Ivy League institutions and the big institutions, fundamentally believe that they know better, Alex.
[01:22:28.015 --> 01:22:30.376]  And I know you know better, I know we know better.
[01:22:30.776 --> 01:22:32.156]  But that's the fundamental reason.
[01:22:32.196 --> 01:22:44.741]  So my journey as an entrepreneur, scientist, engineer, has shown me that ultimately those people actually work for a living, produce things, entrepreneurs, people like yourself who create things, are the ones that make this country great.
[01:22:45.001 --> 01:22:50.563]  People like Elizabeth Warren, the establishment politicians of political hacks, they fundamentally add zero value.
[01:22:50.983 --> 01:22:53.804]  So I've been fortunate because of this great country, Alex,
[01:22:54.224 --> 01:22:57.787]  To have, you know, accumulated wealth, been able to get educated.
[01:22:57.827 --> 01:23:00.570]  I could not have done that in the oppressive caste system of India.
[01:23:00.590 --> 01:23:02.011]  So I believe I owe something back.
[01:23:02.091 --> 01:23:02.992]  I love this country.
[01:23:03.412 --> 01:23:06.895]  And Elizabeth Warren is what I call the not-so-obvious establishment.
[01:23:06.915 --> 01:23:15.043]  You know, when we look at the arc of political history, we have the establishment, the populist movement, those people on the streets wanting a better day for themselves and their family.
[01:23:15.363 --> 01:23:17.465]  Then you have the not-so-obvious establishment.
[01:23:17.845 --> 01:23:21.029]  Which is what Elizabeth Warren, Bernie Sanders, these people represent.
[01:23:21.350 --> 01:23:22.671]  They speak a good game.
[01:23:23.092 --> 01:23:26.296]  You know, as you talk about it, they're very, very clever with their PR.
[01:23:26.676 --> 01:23:28.078]  Revolution, hope, change.
[01:23:28.318 --> 01:23:33.004]  But fundamentally, they want to suck out the populist movement and drive it back to the establishment.
[01:23:33.424 --> 01:23:35.827]  So as a student of systems, as a student of science,
[01:23:36.708 --> 01:23:38.328]  I fundamentally want to stop these guys.
[01:23:38.388 --> 01:23:41.929]  And more importantly, I want to drive a massive defeat to Warren.
[01:23:41.949 --> 01:23:44.630]  And I know I can do this right here in Massachusetts.
[01:23:44.670 --> 01:23:47.591]  And I think people like Elizabeth Warren need to be stopped.
