[00:00:08.900 --> 00:00:10.584]  Thursday, 27th.
[00:44:39.826 --> 00:44:40.986]  They don't want you to own it.
[00:44:41.587 --> 00:44:43.428]  They're seeking renters.
[00:44:43.848 --> 00:44:46.069]  They want you to be their perpetual renters.
[00:44:46.650 --> 00:44:52.453]  They want to make homes so expensive, so small, lock you up in the cities, that you won't be able to own even your little coffin apartment.
[00:44:53.134 --> 00:44:54.695]  They want rent-seeking.
[00:44:55.375 --> 00:44:56.416]  That's what it's all about.
[00:44:56.736 --> 00:44:58.897]  That's what the debt that we have is all about.
[00:44:58.957 --> 00:45:01.699]  It's the government, the Federal Reserve, pushing all of that for us.
[00:45:02.591 --> 00:45:16.720]  And so when I look at what they're doing with all the mind stuff, and we've talked about this a long time, about how, yes, they really are trying to do things to you, and they make fun of it, and they show people sitting there with tinfoil wrapped around their head.
[00:45:17.180 --> 00:45:19.301]  I don't think that that is effective.
[00:45:19.822 --> 00:45:23.224]  But you better believe that they're looking for ways to read your mind.
[00:45:24.045 --> 00:45:27.786]  And of course, back in the 1980s, we had Michael Aquino, who was with the NSA, Colonel.
[00:45:28.527 --> 00:45:32.608]  He went on Oprah Winfrey, dressed up like Eddie Munster, like a Satanist.
[00:45:33.169 --> 00:45:38.271]  Openly talking about his Satanism, but also talking about how they would use ELF.
[00:45:40.100 --> 00:45:44.924]  To control people's minds, or attitudes, or emotions, that type of thing.
[00:45:46.146 --> 00:45:47.727]  But let's take a look at Nancy Pelosi.
[00:45:47.967 --> 00:45:49.329]  Is she suffering from this already?
[00:45:49.349 --> 00:45:50.470]  Is she the first?
[00:45:50.490 --> 00:45:53.512]  Because quite frankly, I'm not saying that she is.
[00:45:53.613 --> 00:45:57.456]  I'm joking about this, folks, so that you don't think that we're throwing out a conspiracy theory here.
[00:45:57.496 --> 00:46:01.760]  But understand that I don't think, I think she's getting old, okay?
[00:46:02.140 --> 00:46:03.362]  But understand
[00:46:04.380 --> 00:46:16.390]  That just as we have seen the NSA and their dragnet surveillance, the Deep State, turn first against politicians, they will use the mind control stuff first against politicians.
[00:46:16.730 --> 00:46:25.678]  So the very people who are going to be the most at risk for this are the ones who could fix it if they had a backbone.
[00:46:26.218 --> 00:46:26.679]  But they don't.
[00:46:27.571 --> 00:46:28.392]  They don't have a backbone.
[00:46:28.412 --> 00:46:29.773]  But let's take a look at Nancy Pelosi.
[00:46:30.433 --> 00:46:31.634]  Let's play this video for her.
[00:46:31.674 --> 00:46:32.715]  She garbles words.
[00:46:33.315 --> 00:46:35.657]  She mispronounces countries in a short speech.
[00:46:35.717 --> 00:46:38.759]  And when I saw this, it just reminded me of Max Headroom.
[00:46:38.779 --> 00:46:44.384]  So we put a little bit of Max Headroom here at the front of it for those of you who don't remember Max Headroom from the 1980s.
[00:46:45.104 --> 00:46:52.410]  What you're about to witness is one of the most sinister sounding intros to a trailer to one of the greatest epics ever produced in the history of television.
[00:46:53.462 --> 00:46:53.902]  There's more.
[00:46:54.683 --> 00:46:56.663]  Because you are going to see it as well.
[00:46:57.204 --> 00:46:57.804]  Yes, it.
[00:46:58.104 --> 00:46:58.684]  Yes, it.
[00:46:59.125 --> 00:46:59.425]  So!
[00:47:00.205 --> 00:47:04.587]  Sit back, relax, and enjoy my film.
[00:47:07.589 --> 00:47:12.695]  ...and Hassan Shourey for your well-deserved recognitions tonight.
[00:47:13.155 --> 00:47:24.768]  Today, the strong moral voice of Refugees International, we degrade our values and our security when we slam the door in the face of children fleeing atrocities.
[00:47:25.669 --> 00:47:45.146]  With the specter of famine looming over northeast Nigeria, Somalia, South Sudan, and Yemen, slashing the State Department budget and foreign aid budget by 30% would only deepen the crisis facing the children.
[00:47:46.348 --> 00:47:49.249]  Children need America to be their champion.
[00:47:49.790 --> 00:47:53.531]  Thank you, Refugees International, for your leadership.
[00:47:53.651 --> 00:47:57.373]  Thank you for your moral advocacy and your action.
[00:47:57.793 --> 00:48:02.875]  Thank you for challenging us to honor our values as a nation.
[00:48:03.175 --> 00:48:05.857]  Thank you all for the honor to participate this evening.
[00:48:05.897 --> 00:48:06.637]  Thank you so much.
[00:48:08.235 --> 00:48:15.906]  As I pointed out on the American Mirror, she had one task, and that was to put to rest questions about her health.
[00:48:17.127 --> 00:48:19.671]  I think she went a little bit deeper into it right there.
[00:48:20.172 --> 00:48:22.775]  Okay, so there's a Reuters poll that came out.
[00:48:23.736 --> 00:48:29.598]  And the question that DC Clothesline asks is, can Americans even think for themselves anymore?
[00:48:29.818 --> 00:48:33.759]  Are we buying into this kind of tribalistic groupthink?
[00:48:34.499 --> 00:48:42.661]  And what Reuters did was they asked people to consider a series of statements that President Trump had made on things like taxes, crime, the news media, and a lot of other issues.
[00:48:43.421 --> 00:48:45.262]  And they got Democrats and they got Republicans.
[00:48:45.362 --> 00:48:50.003]  And they would take a control group and they would read the statements to them, not telling them who had said it.
[00:48:50.811 --> 00:48:54.237]  And then they would, to the other group, tell them that President Trump had said it.
[00:48:54.277 --> 00:48:58.043]  Well, the Democrats then, the disagreement went way up.
[00:48:58.424 --> 00:49:01.108]  And for the Republicans, the agreement went way up.
[00:49:01.569 --> 00:49:03.392]  See, what is concerning about this?
[00:49:04.381 --> 00:49:08.705]  Is that this is really kind of a form of identity politics.
[00:49:08.785 --> 00:49:10.887]  It's kind of a form of tribalism.
[00:49:10.927 --> 00:49:12.108]  We have to look at this.
[00:49:12.168 --> 00:49:14.370]  It's like the situation Chuck Schumer said the other day.
[00:49:14.390 --> 00:49:21.136]  He said, if we get into a situation where Breitbart and New York Times are both considered, then we've lost democracy.
[00:49:21.156 --> 00:49:25.040]  It's like, no, if you do that, then people are thinking for themselves.
[00:49:26.223 --> 00:49:29.465]  You shouldn't disregard somebody because of the source.
[00:49:29.545 --> 00:49:33.807]  And the source of these statements, because they're coming from President Trump, doesn't make them true.
[00:49:33.827 --> 00:49:34.907]  It doesn't make them false.
[00:49:35.508 --> 00:49:39.470]  It doesn't make things true or false simply because Breitbart or the New York Times says it.
[00:49:40.765 --> 00:49:54.096]  Now we understand because we look at this and we might disagree so often with what the New York Times says and we agree with maybe Breitbart or whatever, so maybe we're skewed with that and that does, you can't help but be influenced by that.
[00:49:54.116 --> 00:49:59.181]  But you've got to not fall into this identity politics and this kind of tribalism, into celebrity politics.
[00:49:59.201 --> 00:50:00.402]  Today we had on the Drudge Report.
[00:50:00.942 --> 00:50:02.143]  They had the rock-up.
[00:50:02.163 --> 00:50:04.505]  Dwayne Johnson didn't even read the article.
[00:50:04.566 --> 00:50:06.487]  It's not the celebrity that we need.
[00:50:06.527 --> 00:50:07.849]  We don't need celebrity.
[00:50:07.889 --> 00:50:10.711]  We need a populace that thinks for itself.
[00:50:11.652 --> 00:50:12.573]  It's absolutely amazing.
[00:50:12.833 --> 00:50:14.595]  And are we even capable of that?
[00:50:15.115 --> 00:50:18.959]  Take a look at these stories about Nordstrom selling $425 jeans that are covered in fake mud.
[00:50:18.979 --> 00:50:19.319]  Seriously?
[00:50:22.537 --> 00:50:23.299]  Call it Nerdstrom.
[00:50:24.020 --> 00:50:31.575]  They've got these things selling, as they point out in the story, more than a 40-inch television because they have these genes that perpetually look dirty.
[00:50:32.478 --> 00:50:39.600]  Okay, so now it's not enough to look ragged, but now you can buy jeans, jackets, even shoes that look perpetually dirty.
[00:50:39.620 --> 00:50:54.304]  So I guess presumably you can look like some hip hippie from Berkeley or something, as a guy who has a show called Dirty Job said, they're a costume for wealthy people who see work as ironic, not iconic.
[00:50:55.044 --> 00:50:56.084]  It's absolutely insane.
[00:50:56.944 --> 00:50:57.785]  Where does this all end?
[00:50:57.825 --> 00:50:58.325]  Well, it doesn't.
[00:50:58.345 --> 00:50:59.225]  Stay with us, we'll be right back.
[00:51:08.937 --> 00:51:09.698]  What is going on?
[00:51:09.818 --> 00:51:11.079]  We're all Russian agents.
[00:51:11.119 --> 00:51:12.541]  We're all... I mean, I support Trump.
[00:51:12.841 --> 00:51:14.563]  I get the missile attack made him look strong.
[00:51:15.104 --> 00:51:21.490]  I'm just saying I don't believe the chemical attack was facade because they've caught the rebels doing it before and they don't have any proof he did it.
[00:51:21.570 --> 00:51:22.671]  I'm not even attacking Trump.
[00:51:23.032 --> 00:51:25.875]  In fact, in a Machiavellian way, I'm saying, okay, you blew up an empty airfield and
[00:51:26.415 --> 00:51:27.736]  Shut them up about how you're a Russian agent.
[00:51:27.776 --> 00:51:28.956]  I kind of sickly support it.
[00:51:29.016 --> 00:51:29.617]  I've admitted that.
[00:51:29.997 --> 00:51:34.339]  Kind of becoming like Machiavelli, because now we've got a guy in there doing their own tricks against them.
[00:51:34.419 --> 00:51:37.321]  But I'm just saying, how do we know Assad did it?
[00:51:37.581 --> 00:51:40.382]  And now in newspapers everywhere, I am an Assad agent.
[00:51:41.043 --> 00:51:41.923]  We're together.
[00:51:42.723 --> 00:51:43.144]  Look at us.
[00:51:43.164 --> 00:51:44.184]  We got together.
[00:51:44.304 --> 00:51:45.245]  Are you getting orders from Assad?
[00:51:45.945 --> 00:51:47.806]  Yeah, I was just talking to him on the phone right now.
[00:51:47.826 --> 00:51:51.086]  He's actually here via Skype on the other TV.
[00:51:51.367 --> 00:51:54.007]  But my thing with that is I go, I don't care.
[00:51:54.027 --> 00:51:55.688]  I don't care if it was actors.
[00:51:55.888 --> 00:51:57.048]  I don't care if they just had kids.
[00:51:57.088 --> 00:51:57.608]  Go like that.
[00:51:58.188 --> 00:52:04.570]  The big picture is that the world saw a bad thing, so the big man has to go boom on the bad thing.
[00:52:04.950 --> 00:52:06.551]  And now women respect him.
[00:52:07.211 --> 00:52:08.911]  Here in America, they go, oh, the patriarchy's back.
[00:52:08.931 --> 00:52:10.912]  Because we know feminists deep down want the patriarchy.
[00:52:11.852 --> 00:52:16.678]  Obama's legacy is obliterated because he said he would draw a line in the sand and he got cucked.
[00:52:17.158 --> 00:52:18.119]  So that's awesome.
[00:52:18.139 --> 00:52:20.202]  He's killed, as you say, the Russian theory.
[00:52:20.482 --> 00:52:25.067]  I think the neocons even are getting too much hubris, too confident they're going to be wiped out.
[00:52:26.749 --> 00:52:31.194]  And the biggest picture is these terrorists are absolute animals.
[00:52:31.535 --> 00:52:33.017]  They dismember our soldiers.
[00:52:33.237 --> 00:52:34.999]  They tear out beating hearts and eat them.
[00:52:35.259 --> 00:52:40.125]  They sell fingers and the market there for as war trophies.
[00:52:40.185 --> 00:52:44.611]  There's literally a market for body parts just as accoutrements.
[00:52:45.111 --> 00:52:46.652]  So, we don't negotiate with them.
[00:52:46.692 --> 00:52:48.333]  We don't send them democracy.
[00:52:48.593 --> 00:52:50.654]  We just scare them with huge fireworks.
[00:52:50.875 --> 00:52:54.917]  They drop this twenty-something thousand pound bomb and it kills them all.
[00:52:55.377 --> 00:52:58.979]  I mean, that's a finally, and then they say, oh, he wants a military dictatorship.
[00:52:59.019 --> 00:53:01.241]  He says, I've given them total authorization.
[00:53:01.601 --> 00:53:04.863]  There was this, to carry out his constitutional orders.
[00:53:05.343 --> 00:53:08.905]  This micromanaging, call Obama, and he would never answer the phone.
[00:53:09.146 --> 00:53:11.327]  Sir, we have, we have been logged in those sites.
[00:53:11.367 --> 00:53:11.887]  We can't kill him.
[00:53:12.187 --> 00:53:12.708]  Oh, yeah.
[00:53:13.068 --> 00:53:13.908]  I mean, this is crazy.
[00:53:13.928 --> 00:53:14.629]  Gavin, what do you make of that?
[00:53:15.209 --> 00:53:16.670]  I think we've crippled our guys over there.
[00:53:16.710 --> 00:53:20.072]  I was talking to Terry Shepard recently and I said, how do we win this war?
[00:53:20.132 --> 00:53:21.834]  And he goes, let us do our job.
[00:53:22.354 --> 00:53:26.096]  I mean, right now they've got RPGs and they go, we're getting shot at from a mosque.
[00:53:26.116 --> 00:53:26.517]  What do we do?
[00:53:26.557 --> 00:53:27.557]  And they've got to call up.
[00:53:27.878 --> 00:53:34.102]  I talked to one vet who told me, he said, our guy had to pretend he misunderstood in order to save our lives.
[00:53:34.122 --> 00:53:36.744]  Because they were shooting from the mosque and the guy said, don't shoot the mosque.
[00:53:36.764 --> 00:53:37.984]  And he said, what was that?
[00:53:38.064 --> 00:53:38.245]  What?
[00:53:38.325 --> 00:53:39.225]  Shoot the mosque?
[00:53:39.285 --> 00:53:39.866]  Oh, what?
[00:53:40.866 --> 00:53:41.666]  No, I agree.
[00:53:41.686 --> 00:53:41.726]  No.
[00:54:12.958 --> 00:54:14.299]  Welcome back to the Alex Jones Show.
[00:54:14.359 --> 00:54:14.979]  I'm David Knight.
[00:54:15.019 --> 00:54:22.983]  In our next segment, not in the next segment, but in the next hour, we're going to be talking to Bill Jasper from The New American.
[00:54:23.003 --> 00:54:24.224]  We're going to talk about free speech.
[00:54:24.244 --> 00:54:25.464]  We're going to talk about the UN.
[00:54:25.985 --> 00:54:27.485]  It's getting involved in free speech.
[00:54:27.526 --> 00:54:35.710]  And of course, I'm sure he's going to want to talk about the UN's involvement on Monday with President Trump and North Korea.
[00:54:36.590 --> 00:54:37.631]  Before we get back to the news,
[00:54:38.578 --> 00:54:43.747]  I just want to remind you that we have a limited supply of DNA Force coming to Infowarsstore.com.
[00:54:43.787 --> 00:54:46.312]  It's been sold out for months at Infowarsstore.com.
[00:54:46.552 --> 00:54:47.314]  It's very difficult.
[00:54:47.930 --> 00:54:54.351]  And expensive to do batches of DNA Force because of one of the key ingredients in it that is very unique.
[00:54:55.011 --> 00:54:56.311]  Bio-PQQ.
[00:54:56.972 --> 00:55:04.073]  And we have over 170 studies that you can take a look at at InfoWarsStore.com that will tell you about that.
[00:55:04.133 --> 00:55:05.793]  But it's got a lot of other things in it as well.
[00:55:05.873 --> 00:55:10.674]  CoQ10, systemic enzymes, Bio-PQQ, and many other things.
[00:55:10.794 --> 00:55:12.154]  Take a look at the reviews.
[00:55:12.274 --> 00:55:15.955]  Take a look at some of the research about what Bio-PQQ does for you.
[00:55:16.395 --> 00:55:16.815]  And of course,
[00:55:17.695 --> 00:55:27.577]  In a nutshell, if you think of your shoelaces and twist them like a DNA strand, you've got a cap on your shoelaces, on a DNA that's called a telomere.
[00:55:28.177 --> 00:55:35.078]  As that starts to erode naturally over time, the strand starts to unravel, just like your shoelaces would.
[00:55:35.098 --> 00:55:39.899]  So just like you've got a cap on your shoelaces to keep them from unraveling, you have the telomeres to do that.
[00:55:39.939 --> 00:55:44.280]  And you can actually, studies have looked at it, the life expectancy of someone can be
[00:55:45.700 --> 00:55:50.824]  Pretty much interpolated pretty accurately from looking at the length of their telomeres.
[00:55:51.324 --> 00:55:57.608]  So BioPQQ has had a lot of studies that show that has an effect on that in particular.
[00:55:58.009 --> 00:55:59.830]  But take a look at DNA Force.
[00:55:59.910 --> 00:56:06.134]  If you want to get on the list as it comes back in stock, you can now sign up for that because it's in such high demand.
[00:56:06.174 --> 00:56:11.178]  Again, DNA Force coming up again at InfoWarsStore.com and you can get on the list there.
[00:56:12.219 --> 00:56:14.403]  Okay, going back to where we just were.
[00:56:14.443 --> 00:56:16.708]  I mean, it's not just these insane genes.
[00:56:16.768 --> 00:56:17.650]  And I had Nico...
[00:56:18.729 --> 00:56:25.835]  Tell me on the earpiece here that Nordstrom's also been selling like a large rock that's wrapped in leather or in a leather pocket or something.
[00:56:26.656 --> 00:56:35.384]  They're selling these $425 jeans that are covered in fake mud and of course you can get a jacket that's covered in fake mud to look like you're really working or something.
[00:56:35.404 --> 00:56:36.685]  I don't really understand.
[00:56:36.725 --> 00:56:38.567]  They know what their market is.
[00:56:39.447 --> 00:56:42.270]  It seems like a total idiocracy in my opinion.
[00:56:42.310 --> 00:56:44.332]  But then of course, here's another part of idiocracy.
[00:56:44.352 --> 00:56:45.252]  We've got BMW.
[00:56:46.161 --> 00:56:47.324]  And of course they own many.
[00:56:47.925 --> 00:56:52.534]  They have successfully developed a car that will change colors based on the driver's mood.
[00:56:53.255 --> 00:56:56.181]  This is the silliness of our technology that's coming up.
[00:56:56.842 --> 00:56:57.604]  Nothing that's going to make it...
[00:56:59.218 --> 00:57:00.599]  Any safer or working better.
[00:57:00.939 --> 00:57:02.160]  And this is the most amazing thing.
[00:57:02.520 --> 00:57:07.023]  These are the people who are working so hard to make sure that you're not even going to be driving your car.
[00:57:07.044 --> 00:57:09.425]  So who cares what your mood is inside?
[00:57:09.445 --> 00:57:17.511]  I mean, you know, if you wanted to know if somebody's got road rage and you could see that coming down the road, that might be a useful guide.
[00:57:17.571 --> 00:57:19.672]  But still, it's just it's absolutely amazing.
[00:57:20.033 --> 00:57:21.353]  And yet we continue to see this.
[00:57:21.454 --> 00:57:27.258]  Ikea is laughing about the fact that they've got a bag that looks that they sell for 99 cents, a tote bag.
[00:57:27.998 --> 00:57:35.082]  And a high fashion outlet has put one out that looks exactly like it except for the IKEA name on the handle for $2,145.
[00:57:36.743 --> 00:57:44.827]  So by putting the IKEA label on the handle, they knock $2,144 off of that product.
[00:57:45.108 --> 00:57:46.568]  This is the idiocracy that we have.
[00:57:47.009 --> 00:57:56.434]  But then here, seriously folks, when we look at the story from Daily Mail talking about a military analyst who looked at the military parades that they had, and we've pointed out
[00:57:57.335 --> 00:57:59.897]  The rocket that had the bent nose cone on it.
[00:58:00.597 --> 00:58:06.301]  And one military expert looked at it and said, look, even their sunglasses are fake.
[00:58:06.781 --> 00:58:08.962]  But he said, these are fake guns.
[00:58:09.002 --> 00:58:10.283]  They don't have RPGs.
[00:58:10.323 --> 00:58:18.068]  And of course, part of the reason for that is they don't want any of those soldiers to fire an RPG at Kim Jong-un while he's watching their parade.
[00:58:18.668 --> 00:58:21.010]  But you also have to remember, just like we heard
[00:58:21.870 --> 00:58:23.271]  Uh, and wag the dog.
[00:58:23.651 --> 00:58:25.673]  We had Robert De Niro say, it's a pageant.
[00:58:26.053 --> 00:58:26.873]  It's just a pageant.
[00:58:27.254 --> 00:58:33.017]  You have to understand when they're showing all these videos about blowing up the White House, a lot of that is for internal consumption.
[00:58:33.378 --> 00:58:35.659]  They don't have the capability to do it.
[00:58:35.899 --> 00:58:38.701]  Let's not let them railroad us into a war.
[00:58:39.221 --> 00:58:40.702]  Not them, not our General.
[00:58:40.742 --> 00:58:41.743]  Stay with us, we'll be right back.
[00:58:43.464 --> 00:58:45.245]  You are listening to GCN.
[00:58:46.946 --> 00:58:47.967]  Visit GCNlive.com today.
[00:58:53.223 --> 00:58:55.724]  This is Owen Schroer for InfoWars.com.
[00:58:55.824 --> 00:58:58.124]  Listen to these headlines from just the last week.
[00:58:58.445 --> 00:59:01.946]  Four times in four days, Russian military aircraft fly off U.S.
[00:59:02.026 --> 00:59:03.646]  coast, some nuclear-capable.
[00:59:03.986 --> 00:59:04.226]  U.S.
[00:59:04.266 --> 00:59:06.347]  sends nuclear sniffer plane to Korea.
[00:59:06.567 --> 00:59:12.289]  China tests missile on deadly new destroyer ship near North Korea as it warns it's getting troops battle-ready.
[00:59:12.609 --> 00:59:12.869]  U.S.
[00:59:12.929 --> 00:59:15.049]  preparing to evacuate 230,000 Americans from South Korea.
[00:59:17.170 --> 00:59:18.111]  Washington D.C.
[00:59:18.151 --> 00:59:20.632]  to hold massive coordinated terror attack drill.
[00:59:20.853 --> 00:59:23.314]  Feds prepare for nuclear attack in New Jersey.
[00:59:23.535 --> 00:59:27.117]  North Korea flexes muscle in unprecedented live fire drill.
[00:59:27.377 --> 00:59:27.777]  D.C.
[00:59:27.898 --> 00:59:31.220]  area first responders prepare for a complex terror attack.
[00:59:31.640 --> 00:59:31.920]  U.S.
[00:59:31.980 --> 00:59:35.463]  Navy fires warning flare at Iran vessel in Persian Gulf.
[00:59:35.743 --> 00:59:38.745]  Air Force launches test missile off California coast.
[00:59:39.145 --> 00:59:42.747]  Entire US Senate called for meeting on North Korea briefing.
[00:59:42.987 --> 00:59:47.890]  And now, NBC News is telling its audience what to do in case of a nuclear attack.
[00:59:48.050 --> 00:59:50.171]  Will this cold world war ever go hot?
[00:59:50.291 --> 00:59:52.592]  Stay informed at InfoWars.com.
[00:59:54.373 --> 01:00:00.277]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:17.268 --> 01:00:19.690]  Welcome back to the Alex Jones Show.
[01:00:19.730 --> 01:00:29.676]  In the next segment, we're going to be talking to William Jasper, the New American.
[01:00:29.696 --> 01:00:30.337]  We have an article of his
[01:00:37.924 --> 01:00:40.205]  News alternative, real and fake.
[01:00:40.225 --> 01:00:43.967]  He's going to be talking about the many ways in which we see censorship coming at us.
[01:00:44.387 --> 01:00:50.970]  And of course, we also want to talk to him about the new role for the United Nations that Donald Trump seems to envision.
[01:00:51.430 --> 01:00:56.072]  There's some very troubling comments that he made that I talked about last night on the Nightly News.
[01:00:56.872 --> 01:01:04.603]  Saying that the United Nations is underperforming, but he sees a very big future for it in the future.
[01:01:04.683 --> 01:01:10.971]  He thinks that they should be the ones to solve international conflicts, that they should impose solutions on different nations.
[01:01:12.073 --> 01:01:13.214]  That's a very different tact.
[01:01:14.332 --> 01:01:19.975]  When Donald Trump was campaigning and when he first took office, he was saying that the United Nations needed to be scaled back.
[01:01:20.615 --> 01:01:23.356]  That it was a globalist cabal working for the bankers.
[01:01:23.436 --> 01:01:24.737]  And he was absolutely right about that.
[01:01:25.277 --> 01:01:29.539]  Now he is talking to the United Nations Security Council on Monday, interestingly,
[01:01:30.399 --> 01:01:37.044]  Before he talks to the Senate, before he talks to the House about what's going on in North Korea.
[01:01:37.244 --> 01:01:40.286]  Is he getting permission from international agencies?
[01:01:40.706 --> 01:01:55.736]  As we saw Leon Panetta tell then-Senator Jeff Sessions, they said, we're going to talk to NATO, we're going to talk to the UN and our allies, and we'll make a decision about what we're going to do about conflicts around the world, and then we'll probably inform you.
[01:01:56.136 --> 01:01:57.037]  Probably inform you.
[01:01:57.637 --> 01:02:00.666]  So, he is informing them, maybe, of what they have already decided.
[01:02:00.766 --> 01:02:03.855]  I don't know, but the order is in reverse.
[01:02:05.137 --> 01:02:08.700]  It should be the decision of the American people and their elected representatives.
[01:02:08.800 --> 01:02:09.760]  They should declare war.
[01:02:09.800 --> 01:02:11.421]  They should declare what the strategy is.
[01:02:11.882 --> 01:02:13.503]  And then we should have them.
[01:02:13.543 --> 01:02:15.564]  There's that clip where they were going back and forth.
[01:02:16.005 --> 01:02:17.406]  A very famous clip that we've played.
[01:02:17.426 --> 01:02:18.787]  We don't have time to play that right now.
[01:02:19.187 --> 01:02:21.108]  But of course we also had some other movements.
[01:02:21.148 --> 01:02:22.929]  Yesterday we had Donald Trump.
[01:02:22.970 --> 01:02:25.611]  We're going to talk about this after the interviews.
[01:02:25.651 --> 01:02:27.513]  I want to talk about the tax cut.
[01:02:27.593 --> 01:02:29.714]  It's a very good tax cut plan.
[01:02:29.754 --> 01:02:33.177]  They had exactly what they had run on.
[01:02:34.192 --> 01:02:34.592]  Pretty much.
[01:02:35.553 --> 01:02:39.357]  And I think it's good that Donald Trump got out ahead of Paul Ryan.
[01:02:39.697 --> 01:02:43.340]  Because I think it was a big mistake to let Paul Ryan put together Obamacare.
[01:02:43.380 --> 01:02:46.283]  And we're still playing around with Obamacare.
[01:02:46.303 --> 01:02:50.267]  They're still beating up on the conservatives who want to get repeal.
[01:02:51.027 --> 01:02:53.129]  And it looks like the conservatives are now going to cave.
[01:02:53.270 --> 01:02:56.472]  They call the people who are opposing this, interestingly enough,
[01:02:57.153 --> 01:03:03.066]  Just like they call this Rothschild banker who's running for the presidency of France, Macron.
[01:03:03.267 --> 01:03:05.011]  They call these Republicans.
[01:03:06.167 --> 01:03:06.727]  Centrists.
[01:03:07.828 --> 01:03:09.209]  Why aren't they hardliners?
[01:03:09.729 --> 01:03:18.513]  Why aren't they people who refuse to do anything about this socialistic, fascist, and I'm talking about economic fascism, crony capitalism?
[01:03:19.394 --> 01:03:28.118]  This Obamacare system that we've got is both socialist in that it redistributes income from some people to other people for health care, for health insurance, I should say.
[01:03:28.973 --> 01:03:36.943]  And it is also crony capitalism, economic fascism, and that it forces us to buy products from corporations.
[01:03:37.544 --> 01:03:39.646]  And it directly subsidizes those corporations.
[01:03:40.828 --> 01:03:41.348]  That's wrong.
[01:03:42.338 --> 01:03:43.119]  It's morally wrong.
[01:03:43.619 --> 01:03:44.659]  It's economically wrong.
[01:03:45.220 --> 01:03:46.901]  It's unconstitutional.
[01:03:46.921 --> 01:03:48.502]  And I don't care what the Supreme Court says.
[01:03:48.522 --> 01:03:54.265]  The Supreme Court has been on both sides of a lot of issues, including slavery, freedom of speech, many other things.
[01:03:54.325 --> 01:03:58.868]  And they are wrong on this issue, just like they're wrong on abortion.
[01:03:59.569 --> 01:04:01.370]  But they're obviously wrong about this.
[01:04:01.430 --> 01:04:02.951]  They were obviously blackmailed.
[01:04:03.111 --> 01:04:05.672]  Why aren't these people being called radicals?
[01:04:05.852 --> 01:04:11.196]  Why aren't they being called obstructionists, these Republicans, who want to fight Obamacare repeal?
[01:04:12.247 --> 01:04:14.028]  Why are they being called hardliners?
[01:04:14.288 --> 01:04:15.409]  It's absolutely amazing to me.
[01:04:15.469 --> 01:04:22.774]  These are the people that Trump praised and then criticized the people who wanted to stand up for the campaign promises.
[01:04:22.834 --> 01:04:26.416]  So, Obamacare repeal has gone completely south.
[01:04:26.596 --> 01:04:31.459]  And interestingly enough, we've got California now going on to full socialism.
[01:04:31.999 --> 01:04:35.802]  California's single-payer health care bill passes the first committee test.
[01:04:36.875 --> 01:04:41.617]  And they say that Democrats and Republicans, however, have signaled unease.
[01:04:41.977 --> 01:04:44.678]  They said the major question is, how are they going to pay for it?
[01:04:45.139 --> 01:04:46.499]  Well, they don't have money to pay for it.
[01:04:46.799 --> 01:04:51.561]  They're talking about universal health care, and I'm talking about literally worldwide universal health care.
[01:04:51.581 --> 01:04:58.924]  They're going to give everything to people regardless of their legal immigration status, and they don't have any way to pay for it.
[01:04:59.425 --> 01:05:01.285]  This is the path to Venezuela.
[01:05:01.306 --> 01:05:02.246]  Stay with us, we'll be right back.
[01:05:04.352 --> 01:05:13.335]  Trump just signed an executive order to pull the federal government out of K-12 education, following through on a campaign promise to return school control to state and local officials.
[01:05:13.755 --> 01:05:23.259]  Titled Education Federalism Executive Order, it directs Education Secretary Betsy DeVos to launch a 300-day review of Obama-era regulations and guidance for school districts.
[01:05:23.579 --> 01:05:28.342]  And gives her the power to modify or repeal measures she deems an overreach by the federal government.
[01:05:28.522 --> 01:05:32.785]  It was amazing to hear liberals scream and cry as Betsy DeVos was being confirmed.
[01:05:33.025 --> 01:05:37.408]  And all I was saying the entire time was, good, we need to get rid of the Department of Education.
[01:05:37.668 --> 01:05:40.970]  You wonder why your local schools don't have money to pay teachers or for upkeep?
[01:05:41.130 --> 01:05:43.912]  It's because that money is being held by the federal government.
[01:05:44.212 --> 01:05:44.953]  Don't believe me?
[01:05:45.273 --> 01:05:48.415]  Just read the book, The Deliberate Dumbing Down of America by Charlotte Isserby.
[01:05:48.675 --> 01:05:57.360]  She was a whistleblower from the Department of Education in the 1980s, and her tome describes how the federal education system was designed to create automatons.
[01:05:57.680 --> 01:06:00.922]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[01:06:03.749 --> 01:06:07.612]  I want to tell you about some of the products at infowarsstore.com.
[01:06:07.632 --> 01:06:09.473]  We are under constant attack.
[01:06:09.994 --> 01:06:12.195]  You know it by now from the mainstream media.
[01:06:12.395 --> 01:06:15.277]  They're trying to attack us on every level.
[01:06:15.317 --> 01:06:29.648]  Now with the YouTube scandal, they're demonetizing our channels, which again takes a huge chunk out of our income, which is why we always appreciate and rely on you getting the products because that's how we stay afloat.
[01:06:30.348 --> 01:06:31.969]  They can't get to us that way.
[01:06:32.349 --> 01:06:35.171]  They can't pressure you to not buy the products.
[01:06:35.191 --> 01:06:36.172]  They don't have that power.
