[00:00:00.009 --> 00:00:00.790]  Total fact.
[01:13:01.325 --> 01:13:03.087]  We see all these different animals.
[01:13:03.167 --> 01:13:04.308]  I said, look at how detailed it is.
[01:13:04.328 --> 01:13:06.050]  It's just like a little dog.
[01:13:06.430 --> 01:13:07.331]  It is a little dog.
[01:13:07.731 --> 01:13:10.432]  And you can see the same thing with the human babies.
[01:13:10.472 --> 01:13:16.575]  You can see them interacting and playing and they have fingerprints and they have a heartbeat and they have a separate sex half the time.
[01:13:17.036 --> 01:13:19.117]  They are separate individual babies.
[01:13:19.137 --> 01:13:20.838]  Right, their own blood type.
[01:13:20.898 --> 01:13:22.318]  Yeah, their own blood type even.
[01:13:22.358 --> 01:13:23.059]  Yeah, than the mother.
[01:13:23.099 --> 01:13:25.380]  So it is not an extension of the mother.
[01:13:25.440 --> 01:13:28.301]  It is not something that can be just discarded.
[01:13:28.341 --> 01:13:29.882]  So we have to inform people.
[01:13:30.262 --> 01:13:31.183]  There's a lot of ignorance.
[01:13:32.003 --> 01:13:36.192]  And I think that the 4D ultrasounds are going to be very important to that in the future.
[01:13:36.793 --> 01:13:40.741]  But they knew back in 1952, they knew they were taking a human life.
[01:13:40.801 --> 01:13:41.843]  Shame on them.
[01:13:41.864 --> 01:13:42.365]  Shame on them.
[01:13:43.084 --> 01:13:46.005]  And that's the thing that's so interesting when you say people need to understand.
[01:13:46.145 --> 01:13:47.946]  Things like that get memory hold.
[01:13:48.566 --> 01:13:52.687]  Just like we are seeing now with this Netflix editing out the Bill Nye episode.
[01:13:53.088 --> 01:13:57.689]  Just the segment in the episode where he says chromosomes determine gender.
[01:13:58.169 --> 01:14:05.312]  They took that out and it's unknown if they took that out after all this backlash where people are going, well wow Bill Nye, all of a sudden you're talking about
[01:14:06.252 --> 01:14:11.337]  Your sex junk and the gender spectrum, but didn't you used to say chromosomes determine gender?
[01:14:12.178 --> 01:14:16.843]  Just miraculously, that portion of the video is now gone out of the Netflix series.
[01:14:16.863 --> 01:14:19.646]  I'm sure you can still find it on YouTube, but this is it.
[01:14:19.706 --> 01:14:24.191]  It's just a whole rewriting of history, a revision of science.
[01:14:24.511 --> 01:14:26.912]  As I say, he's not a scientist, but he plays one on television.
[01:14:26.952 --> 01:14:27.093]  Right.
[01:14:27.113 --> 01:14:33.676]  And he wears his little bow tie, he does his Pee Wee Herman impersonation, and supposedly being a nerd makes you a scientist.
[01:14:33.736 --> 01:14:34.517]  No, it doesn't.
[01:14:34.597 --> 01:14:35.597]  It doesn't make you a scientist.
[01:14:35.617 --> 01:14:39.380]  Let's talk about the movement with Obamacare today.
[01:14:39.500 --> 01:14:43.602]  And of course we had the American Health Care Act.
[01:14:44.823 --> 01:14:45.683]  AHCA.
[01:14:45.743 --> 01:14:47.104]  The same as Obama.
[01:14:47.264 --> 01:14:51.427]  You know, with Obama, it wasn't the American Health Care Act, it was the Affordable Health Care Act.
[01:14:51.467 --> 01:14:54.989]  Nobody believes it's affordable anymore, so they called it the American Health Care Act.
[01:14:55.049 --> 01:14:59.472]  And hopefully, it's going to be more of a change than just changing one word.
[01:14:59.552 --> 01:15:00.433]  There are some changes.
[01:15:00.453 --> 01:15:01.674]  We're going to talk to you about it.
[01:15:02.174 --> 01:15:03.755]  But here's what I would have done.
[01:15:04.355 --> 01:15:05.196]  Here's what I would have done.
[01:15:05.396 --> 01:15:14.202]  If I was somebody putting this together, if I was Paul Ryan, or if I was Donald Trump, I would have replaced it by saying the power is not delegated to the United States by the Constitution.
[01:15:14.761 --> 01:15:20.783]  Nor prohibited to it by the states are reserved to the states respectively or to the people.
[01:15:20.903 --> 01:15:22.404]  In other words, the Tenth Amendment.
[01:15:22.804 --> 01:15:29.126]  I would have said, we've got a Constitution, you can't hold a gun to somebody's head and force them to buy your mandated insurance policy.
[01:15:29.486 --> 01:15:35.468]  And they're fighting within the Republican Party as to whether or not they're going to extend the Tenth Amendment to state government.
[01:15:35.509 --> 01:15:36.469]  Certainly, forget about
[01:15:36.969 --> 01:15:40.130]  People having a choice as to what they're going to buy in their insurance policy.
[01:15:40.470 --> 01:15:46.352]  They're fighting about whether or not they're going to allow individual states to opt out of their mandate.
[01:15:46.412 --> 01:15:51.354]  So whether it's Obamacare, or whether it is Ryancare, or whether it is Trumpcare,
[01:15:52.054 --> 01:15:53.315]  It is still Fed care.
[01:15:53.775 --> 01:16:04.662]  And the federal government has no authority under the Constitution if we want to, again, I just want to point out that we don't have a government that pays any attention to the Constitution, to the clear wording of the Constitution.
[01:16:04.882 --> 01:16:06.743]  They have no authority to force us to do this.
[01:16:07.103 --> 01:16:14.048]  And you are not going to get affordable health care if you have mandates instead of marketplaces.
[01:16:14.608 --> 01:16:18.011]  You're not going to have affordable health care if you have coercion instead of choice.
[01:16:18.311 --> 01:16:27.818]  You're not going to have it if you take away the mechanism that has given us advances, that has given us lower costs, and it has.
[01:16:28.319 --> 01:16:29.460]  Our increasing cost
[01:16:30.200 --> 01:16:33.362]  And healthcare is just like our increasing cost in education.
[01:16:33.762 --> 01:16:36.124]  It's increasing because it was subsidized.
[01:16:36.584 --> 01:16:38.305]  And because of the insurance structure that we got there.
[01:16:38.345 --> 01:16:39.586]  Not because we had a free market.
[01:16:39.626 --> 01:16:40.887]  We had a free market before.
[01:16:41.327 --> 01:16:46.771]  It started to explode in cost once we started putting insurance companies and their third party payers.
[01:16:46.811 --> 01:16:51.434]  But I just want to say, we have Jimmy Kimmel out there.
[01:16:52.406 --> 01:16:56.567]  With his lies and his deceptions, it was really reprehensible what he did.
[01:16:57.128 --> 01:17:07.231]  Talking about his son, his infant son, who needed open heart surgery, and saying that if they did away with pre-existing condition, then poor people would not have open heart surgery for their children.
[01:17:07.371 --> 01:17:09.092]  That was a blatant lie.
[01:17:09.652 --> 01:17:10.512]  A blatant lie.
[01:17:11.073 --> 01:17:11.353]  Even if
[01:17:12.193 --> 01:17:18.559]  You didn't have parents who had insurance coverage, and of course, he's wealthy enough that he could, that he has insurance coverage.
[01:17:18.599 --> 01:17:20.881]  He's wealthy enough he could have paid for it out of pocket.
[01:17:21.261 --> 01:17:35.735]  And the reality is, is that at that same hospital, that Ben Shapiro talked about this, conservative commentator, he said, my child had, as an infant, that same surgery, at that same hospital, with that same doctor.
[01:17:36.638 --> 01:17:39.219]  And it is a private charity hospital.
[01:17:39.499 --> 01:17:39.799]  Wow.
[01:17:39.839 --> 01:17:41.939]  Children's Hospital in Los Angeles.
[01:17:42.239 --> 01:17:44.260]  They have a $233 million budget.
[01:17:44.900 --> 01:17:52.242]  And instead of Jimmy Kimmel saying, I am so grateful that we have people who will voluntarily help those who need help.
[01:17:52.822 --> 01:17:54.782]  And there are people who need help with their health care.
[01:17:55.042 --> 01:18:02.084]  And there are structures that have been there well before Obamacare to take care of the poor and indigent who cannot afford health care.
[01:18:02.364 --> 01:18:05.065]  That's the purpose of that hospital, the Children's Hospital of L.A.
[01:18:05.885 --> 01:18:06.645]  That's their purpose.
[01:18:07.286 --> 01:18:10.867]  And instead of writing a check to them in gratitude, what does Jimmy Kimmel do?
[01:18:11.107 --> 01:18:16.209]  He lies and turns this into propaganda for a system of theft.
[01:18:17.129 --> 01:18:19.410]  This is funded by theft, folks.
[01:18:19.770 --> 01:18:22.091]  Jerome Corsi's been talking about this since February.
[01:18:22.331 --> 01:18:25.352]  There's another easy way, besides the 10th Amendment, to get rid of Obamacare.
[01:18:25.573 --> 01:18:32.195]  And that is to say that you're going to stop the Justice Department from fighting to keep this theft going.
[01:18:32.235 --> 01:18:33.976]  They have a court case called Burwell.
[01:18:34.716 --> 01:18:37.177]  This was never funded by the Congress.
[01:18:37.217 --> 01:18:42.599]  Instead, what they did was they stole the money from Fannie Mae and Freddie Mac investors.
[01:18:42.639 --> 01:18:46.640]  They robbed Fannie and Freddie to pay Hillary and Barry.
[01:18:47.300 --> 01:18:49.641]  It's a theft, just like in Venezuela.
[01:18:49.861 --> 01:18:51.581]  And so you can stop that right now.
[01:18:52.102 --> 01:18:53.102]  You can stop that theft.
[01:18:53.142 --> 01:18:56.543]  They want to talk about the 24 million people who have health care.
[01:18:56.843 --> 01:19:02.005]  Well, they have that health care because they're stealing from investors who were lied to by the federal government.
[01:19:02.705 --> 01:19:06.147]  And these are not fat cat investors necessarily.
[01:19:06.887 --> 01:19:07.908]  It's you maybe.
[01:19:08.268 --> 01:19:08.849]  Your neighbors.
[01:19:09.069 --> 01:19:12.591]  Small individual investors can invest in Freddie and Fannie as well.
[01:19:12.951 --> 01:19:15.272]  So you don't have to be a wealthy individual to invest in that.
[01:19:15.833 --> 01:19:17.553]  People invest into that in pools.
[01:19:17.834 --> 01:19:19.635]  You have to understand you're going to have rationing.
[01:19:20.195 --> 01:19:25.098]  And that rationing is either going to be done by economic means or it's going to be done by political means.
[01:19:25.658 --> 01:19:31.202]  If it is done by political means, you're going to have lines and you're going to have kind of a TSA health care.
[01:19:31.462 --> 01:19:39.148]  If it is done by economic means, then you're going to have reforms, if you've got a free market reform, you're going to have reforms that are going to help people to get that health care.
[01:19:39.468 --> 01:19:44.752]  So, in general, I really reject the idea that the federal government should be at all involved in health care.
[01:19:44.912 --> 01:19:46.493]  They shouldn't be involved in education either.
[01:19:46.553 --> 01:19:49.776]  There's so many different things that the federal government should not be involved in.
[01:19:49.896 --> 01:19:54.999]  I hate to see us just rearranging the deck chairs on the Titanic when we're still headed for the iceberg.
[01:19:55.019 --> 01:19:56.781]  We don't have a budget.
[01:19:57.081 --> 01:19:59.383]  We have an increasing deficit.
[01:20:00.049 --> 01:20:02.311]  We don't have an Office of Management and Budget.
[01:20:02.331 --> 01:20:03.592]  They're not managing anything.
[01:20:03.632 --> 01:20:04.793]  They don't have a budget.
[01:20:04.993 --> 01:20:10.517]  They just continue to increase the debt because they continue to run a deficit every year.
[01:20:10.597 --> 01:20:16.382]  So when they talk about this continuing resolution and the fact that we're now $20 trillion in debt, that's not getting us anywhere.
[01:20:16.442 --> 01:20:18.283]  But we'll get to some of the details.
[01:20:18.444 --> 01:20:20.105]  Just your comments on my rant.
[01:20:20.785 --> 01:20:27.130]  I mean that's a great rant and it's true if they hadn't have stolen money from Fannie and Freddie then it would have completely collapsed.
[01:20:27.190 --> 01:20:30.552]  Obamacare would have been a total failure that it was supposed to be.
[01:20:30.572 --> 01:20:41.520]  I mean what did they get up to a billion dollars on that failed website that had all those kinks in it and lost all people's information to the ether and it would have totally collapsed.
[01:20:41.960 --> 01:20:46.323]  And then, of course, now they're making the argument, oh, well, we don't want to, we want to avoid a government shutdown.
[01:20:46.563 --> 01:20:47.824]  Let the government shut down.
[01:20:47.844 --> 01:20:48.024]  Yes.
[01:20:48.084 --> 01:20:53.208]  We know it's only going to be those, the agencies that are just kind of extraneous agencies anyway that we don't need.
[01:20:53.448 --> 01:20:54.168]  Let it shut down.
[01:20:54.208 --> 01:20:54.869]  We might actually go down.
[01:20:54.889 --> 01:20:55.929]  Non-essential agencies.
[01:20:56.270 --> 01:21:00.112]  Why do we worry about funding non-essential agencies in the first place?
[01:21:00.492 --> 01:21:02.674]  I want to see the government shut down from our health care.
[01:21:02.934 --> 01:21:05.376]  I want to see the government shut down from our education.
[01:21:05.796 --> 01:21:09.759]  We can fund it at the local level because we need to control it at the local level.
[01:21:09.799 --> 01:21:11.560]  We need to control our health care ourselves.
[01:21:12.201 --> 01:21:14.004]  It's only been a couple of years that we've had this.
[01:21:14.064 --> 01:21:15.306]  Why is this ingrained?
[01:21:15.346 --> 01:21:18.251]  Why has this become a third rail like Social Security?
[01:21:18.291 --> 01:21:19.253]  It's absolutely insane.
[01:21:19.313 --> 01:21:21.016]  Okay, so what is in this bill?
[01:21:22.355 --> 01:21:32.023]  As we read earlier today, Representative Tom Garrett, who was kind of on the fence at the time, I don't know which way he went, he's a Republican from Virginia, he said he doesn't know how many of his fellow lawmakers had read this.
[01:21:32.583 --> 01:21:42.692]  He said when he was asked today, he said, well let me put it this way, people in my office have read, some people in my office have read all parts of the bill, but I don't think any individual has read the whole bill.
[01:21:43.292 --> 01:21:46.535]  So I guess you can fool some of the people with some of the bill.
[01:21:46.795 --> 01:21:49.098]  Some of the time, but you can't fool all the people with all the bill.
[01:21:49.259 --> 01:21:51.602]  I guess that's what we would have to say to paraphrase that.
[01:21:51.923 --> 01:21:56.589]  So we don't really know exactly what's on this bill, but we can give you a broad sense of it.
[01:21:56.630 --> 01:22:01.477]  The devil is going to be in the details, but let's tell you a little bit about the sense of what's going on with this.
[01:22:02.788 --> 01:22:12.875]  Right now we've got articles mainly from mainstream media that is opposed to any adjustment to the government's move towards a single-payer system because that's where this is all headed.
[01:22:12.895 --> 01:22:15.797]  So we've got some information here from CNN and Washington Post.
[01:22:15.817 --> 01:22:19.179]  So we'll try to read between the lines as to what's really going on here.
[01:22:19.600 --> 01:22:26.704]  And of course the first thing they say is it would erase the coverage gains of the last few years and leave 24 million more people uninsured by 2026.
[01:22:26.804 --> 01:22:31.508]  Okay, well, again, those people got their insurance.
[01:22:32.088 --> 01:22:32.749]  We're good to go.
[01:23:02.688 --> 01:23:11.473]  They are going to, instead of offering a stick and saying, you're going to have a mandate, you've got to buy into this insurance policy, they're going to offer you a carrot.
[01:23:12.094 --> 01:23:22.800]  So they're going to remove the mandate and they're going to say, if you buy your insurance, we're going to give you a carrot and we're going to allow you to take a tax credit, not a deduction.
[01:23:23.180 --> 01:23:24.020]  But a tax credit.
[01:23:24.060 --> 01:23:28.883]  You understand that if you have a deduction, that is before you figure your taxes.
[01:23:28.943 --> 01:23:38.127]  So if you've got a deduction and you're in a 10% tax bracket, then that means that only 10% of that deduction is actually going to result in a dollar for dollar savings.
[01:23:38.147 --> 01:23:41.068]  So if you've got a $100 deduction and a 10% tax bracket, you're going to save $10 in taxes.
[01:23:42.369 --> 01:23:48.410]  If it's a tax credit and you take a $100 tax credit, that saves you $100 in your taxes.
[01:23:48.891 --> 01:23:51.851]  Now those credits are going to be based on people's ages.
[01:23:52.271 --> 01:24:00.413]  So the younger you are, the less of a credit you're going to get because insurance companies are going to charge you less as a younger person than they're going to charge you for insurance if you're older.
[01:24:00.773 --> 01:24:03.514]  So it's going to go from $2,000 to people that are in their 20s to $4,000 for those who are in their 60s, for example.
[01:24:07.455 --> 01:24:11.798]  Then they're going to adjust that down based on your income level.
[01:24:11.878 --> 01:24:16.200]  So once you get up to certain income levels, they're going to start phasing out those tax credits.
[01:24:16.581 --> 01:24:19.142]  They're also going to have health savings accounts.
[01:24:19.222 --> 01:24:23.525]  Again, an incentive rather than a mandate or a stick.
[01:24:23.865 --> 01:24:24.185]  Okay?
[01:24:24.205 --> 01:24:26.927]  So they're going to try to encourage you to do this rather than put that in there.
[01:24:26.947 --> 01:24:28.568]  And I've got to say, when we look at the tax code,
[01:24:29.554 --> 01:24:37.239]  The government, I thought it was the height of hypocrisy for the government to talk about the unaffordability of health care.
[01:24:37.679 --> 01:24:42.282]  At the same time, they would not even allow you to deduct unless you itemized.
[01:24:42.322 --> 01:24:44.424]  You couldn't deduct any of your health care costs.
[01:24:44.464 --> 01:24:55.371]  And even if you itemized, they would deduct, I think it was the first 10%, if I remember correctly, the first 10% of your adjusted gross income would be removed from your health care deductions.
[01:24:55.411 --> 01:24:56.572]  And then what you had left
[01:24:57.032 --> 01:24:57.432]  We're good to go.
[01:25:26.952 --> 01:25:37.899]  Understand that if we're going to say that the insurance companies have to insure pre-existing conditions, that's like saying that you can have car insurance that you can buy after you have an accident.
[01:25:38.905 --> 01:25:39.806]  That's not insurance.
[01:25:40.086 --> 01:25:41.427]  That's an entitlement program.
[01:25:41.487 --> 01:25:42.528]  That's a welfare program.
[01:25:42.548 --> 01:25:43.809]  So just call it what it is.
[01:25:43.929 --> 01:25:48.053]  It's an entitlement program, it's a welfare program, it's a mandate on the insurance companies.
[01:25:48.413 --> 01:25:52.437]  But it is not insurance if you're going to force them to do pre-existing insurance.
[01:25:52.477 --> 01:25:58.742]  Now what they've done again is they've offered a stick to try to get people to sign up for that.
[01:25:59.383 --> 01:26:06.268]  If you do not sign up, you can still get insurance coverage, but if you have a lapse, the insurance
[01:26:06.949 --> 01:26:14.452]  Companies would be able to impose a 30% surcharge on the premiums if you let it lapse for 63 days.
[01:26:15.132 --> 01:26:18.894]  And then they would be able to levy this 30% surcharge for one year.
[01:26:19.174 --> 01:26:21.975]  But they would still have to cover you with a pre-existing condition.
[01:26:22.015 --> 01:26:24.957]  You see how screwed up this is when the federal government gets involved in it?
[01:26:25.217 --> 01:26:29.218]  They start creating these artificial, you know, 63 days.
[01:26:29.498 --> 01:26:32.760]  Oh, you couldn't pay for 63 days at a surcharge.
[01:26:33.360 --> 01:26:38.867]  So that's the kind of situation that we get into when the government starts mandating this from Washington.
[01:26:38.927 --> 01:26:40.690]  So I don't like seeing that.
[01:26:41.010 --> 01:26:49.942]  And when we look at some of the things that are going out, they're taking out taxes on insurance companies, taxes on drug makers, because you know that doesn't make health care more affordable, does it?
[01:26:50.282 --> 01:26:55.507]  When you start taxing medical devices, that makes medical expenses go up.
[01:26:55.967 --> 01:26:57.269]  So it doesn't make it more affordable.
[01:26:57.389 --> 01:26:59.551]  So some of that makes a lot of sense.
[01:27:00.131 --> 01:27:04.235]  But they're concerned because they're taking away the subsidies that were really not subsidies.
[01:27:04.255 --> 01:27:08.319]  They were really theft because they were sweeping this out of Fannie and Freddie.
[01:27:08.359 --> 01:27:09.720]  So that would be an important thing.
[01:27:09.740 --> 01:27:11.983]  But it is important that they're getting rid of the mandate.
[01:27:12.023 --> 01:27:13.084]  So it's kind of like
[01:27:13.885 --> 01:27:21.294]  We were hoping that we might and we voted for somebody who would get rid of the income tax and abolish the IRS.
[01:27:21.574 --> 01:27:28.062]  We used to say that when we ran for office in the Libertarian Party and then of course we had some Republican candidates who said that as well.
[01:27:29.093 --> 01:27:32.796]  But we voted for that and instead what we get is an adjustment of the tax rates.
[01:27:32.896 --> 01:27:34.337]  That's what we're seeing now with Obamacare.
[01:27:34.377 --> 01:27:35.558]  We've wanted it repealed.
[01:27:36.078 --> 01:27:36.758]  Just get it out of here.
[01:27:36.939 --> 01:27:38.640]  It's none of the business of the federal government.
[01:27:38.700 --> 01:27:39.760]  It's not their business.
[01:27:40.341 --> 01:27:42.222]  They shouldn't be involved in this one way or the other.
[01:27:42.542 --> 01:27:44.664]  And instead what we got was a little bit of relief.
[01:27:44.844 --> 01:27:48.727]  We got an adjustment of the rates at which they're going to tax us.
[01:27:48.747 --> 01:27:52.950]  We got an adjustment and a little bit of reprieve from the mandates that they've given us.
[01:27:53.070 --> 01:27:54.912]  And then quite frankly, it's not enough.
[01:27:55.072 --> 01:27:56.293]  I don't feel like celebrating.
[01:27:56.333 --> 01:27:58.134]  I understand that they got this thing through.
[01:27:58.174 --> 01:28:01.397]  It's the first time that Trump and the Republicans have been able to pass something.
[01:28:02.905 --> 01:28:10.110]  But it's kind of like, you know, okay, so the Lions beat the Tigers, and so we're all going to have a pep rally in the Rose Garden.
[01:28:10.590 --> 01:28:11.891]  I can't get excited about that.
[01:28:12.271 --> 01:28:14.312]  I still want to see this repealed.
[01:28:14.592 --> 01:28:16.394]  I still want to see the federal government out of this business.
[01:28:16.474 --> 01:28:16.674]  Right.
[01:28:16.834 --> 01:28:21.657]  It's a little too early to celebrate, but they all seemed very pleased with themselves at the press conference today.
[01:28:21.937 --> 01:28:22.097]  Yeah.
[01:28:22.377 --> 01:28:26.480]  It is something, and it is better than we would have gotten, far better than we would have gotten from Hillary Clinton.
[01:28:26.500 --> 01:28:27.600]  She would have made things far worse.
[01:28:27.740 --> 01:28:28.120]  Absolutely.
[01:28:28.140 --> 01:28:31.362]  But that is setting the bar so incredibly low.
[01:28:31.702 --> 01:28:34.204]  So incredibly low to say, well, it's better than Hillary.
[01:28:34.224 --> 01:28:35.905]  Better than Hillary?
[01:28:35.985 --> 01:28:36.065]  What?
[01:28:36.105 --> 01:28:37.626]  It's better than being boiled in oil.
[01:28:37.946 --> 01:28:43.589]  You know, they're robbing me blind and beating me, but they could have ripped me to shreds and, you know, hung me from a cross or something.
[01:28:43.629 --> 01:28:45.190]  I guess, you know, but, I mean, that's the...
[01:28:46.531 --> 01:28:46.891]  I don't know.
[01:28:46.911 --> 01:28:50.534]  I just look at this stuff that we're getting now and it's not what I had hoped.
[01:28:50.615 --> 01:28:52.036]  It's not what I had voted for.
[01:28:52.156 --> 01:29:01.805]  So hopefully something will change at some point in the future, but I'm looking very pessimistic that we're ever going to see health care go back to a marketplace.
[01:29:02.086 --> 01:29:04.088]  It was a great plan that Donald Trump ran on.
[01:29:04.128 --> 01:29:07.651]  He had a seven-point plan when he was talking about competition and information.
[01:29:07.671 --> 01:29:08.472]  I think it was too simple.
[01:29:08.732 --> 01:29:08.972]  Yeah.
[01:29:09.132 --> 01:29:16.096]  His plan was too simple and then he got in there and I think, you know, he kind of made that point the other day when he said, I thought this would be a little bit easier when I got in.
[01:29:16.116 --> 01:29:22.879]  I knew what needed to be done, but then you get in there with all those bureaucrats and they're like, no, that's too simplified.
[01:29:22.939 --> 01:29:24.660]  We can't simplify the tax code.
[01:29:25.060 --> 01:29:27.861]  Where will we throw all these hundreds of thousands of pages?
[01:29:27.901 --> 01:29:29.102]  Yes, tremendous opposition.
[01:29:29.142 --> 01:29:30.042]  We knew this was going to happen.
[01:29:30.062 --> 01:29:34.204]  Tremendous opposition from the establishment Republicans in Congress.
[01:29:34.224 --> 01:29:35.045]  We knew that was going to happen.
[01:29:35.865 --> 01:29:50.976]  At the very beginning I said, you know, I hate to see him, I understand why he had to support Paul Ryan because if he didn't they were going to have a brokered convention and they were going to pull some trick to get him out of there, but I said his biggest opposition is going to be Ryan, but I was kind of wrong.
[01:29:51.136 --> 01:29:56.100]  Some of his biggest opposition is coming from the people that he put in his cabinet and that's his fault.
[01:29:56.460 --> 01:29:57.101]  That's his fault.
[01:29:57.141 --> 01:29:58.463]  He should not have put those people in.
[01:29:58.803 --> 01:30:01.306]  He should not have had Paul Ryan do the first plan.
[01:30:01.907 --> 01:30:08.836]  And this falls far, far short of what I had hoped to see, which was to get the government out of health care.
[01:30:08.936 --> 01:30:09.177]  Right.
[01:30:09.457 --> 01:30:10.178]  That's what we need to say.
[01:30:10.198 --> 01:30:11.219]  All right, we're going to take a quick break.
[01:30:11.940 --> 01:30:13.923]  And again, we thank you so much for your support.
[01:30:13.943 --> 01:30:23.396]  30% off Brain Force Plus, 33% off Super Blue Fluoride Free Toothpaste, 20% off of, let's see, it's our Super 12.
[01:30:23.437 --> 01:30:23.737]  Secret 12.
[01:30:24.138 --> 01:30:24.358]  Super 12.
[01:30:24.418 --> 01:30:24.819]  Winter Sun.
[01:30:27.721 --> 01:30:29.422]  DNA Force back in stock.
[01:30:29.482 --> 01:30:35.726]  Get some DNA Force and then you might not really need to dip into your American Health Care Act fund.
[01:30:35.766 --> 01:30:36.827]  That's right.
[01:30:36.867 --> 01:30:37.687]  Be proactive.
[01:30:37.707 --> 01:30:43.951]  Because no matter what you do, if you don't take care of your health, it is far more cost effective.
[01:30:44.611 --> 01:30:56.798]  To eat the right foods and, you know, spend more money for organic food, to spend the money to filter your water, to buy supplements that are going to help you and things that are going to get rid of the toxins in your life.
[01:30:56.818 --> 01:31:05.623]  That is far more cost effective than any kind of money that you're going to spend on health care and far more effective than any insurance that you can buy.
[01:31:05.723 --> 01:31:06.823]  It really is a kind of insurance.
[01:31:06.863 --> 01:31:07.463]  So there you go.
[01:31:07.483 --> 01:31:12.704]  You can insure yourself and you can help to support the InfoWar and we really do appreciate your support.
[01:31:13.104 --> 01:31:15.245]  Those of you who have stood by us, we thank you so much.
[01:31:15.265 --> 01:31:17.125]  We're going to take a quick break and we'll be right back.
[01:31:28.747 --> 01:31:32.788]  We are looking for a few good men and women to join the team.
[01:31:37.196 --> 01:31:49.204]  It's no secret that InfoWars has been called alarmingly popular by the Washington Post and downright dangerous by hearings in the Armed Services Committee and the House of Representatives.
[01:31:50.164 --> 01:31:54.767]  The criminal globalists that have hijacked our country are angry that Americana is coming back.
[01:31:55.228 --> 01:32:01.872]  That people that know our free market system and our Judeo-Christian background builds the very best civilizations.
[01:32:02.152 --> 01:32:03.293]  And they want to stifle that.
[01:32:03.533 --> 01:32:04.614]  They want to shut that down.
[01:32:05.134 --> 01:32:14.770]  But it is our bonafide genuineness and our will to stand against these tyrants that is trumping their intimidation, their lies, and their fraud over and over again.
[01:32:15.854 --> 01:32:28.968]  We don't have a huge war chest, but listeners have supported us, so we're going to be able to hire some more reporters, some more editors, some more researchers in the coming months as we launch a whole bunch of new shows, documentary films, websites, you name it.
[01:32:29.468 --> 01:32:36.976]  So if you are a webmaster, web builder, investigative journalist, author, researcher, news anchor, you name it.
[01:32:37.657 --> 01:32:58.522]  And you want to join the InfoWars team, please send your resumes, your video reels, your background, your beliefs, your manifesto to jobs at InfoWars.com and we will certainly try to work with you and hopefully have the capital to hire some of you to be members of our team here in Austin, Texas.
[01:32:58.962 --> 01:33:05.784]  But also we're looking for auxiliary reporters to work in different parts of the United States, but also across the world.
[01:33:06.204 --> 01:33:10.668]  So whether it's actually working for us or collaborating, there are a lot of opportunities.
[01:33:11.109 --> 01:33:20.858]  Please, if you're writers, researchers, investigative journalists, video editors, you name it, we are looking for a few good men and women to join the team.
[01:33:21.499 --> 01:33:25.261]  We're gonna be hiring some male reporters, but particularly female reporters.
[01:33:25.541 --> 01:33:37.688]  So again, to be here in Austin, or in your neck of the woods in Russia, Japan, Mexico, Chile, the United States, send your resume and your work to jobs at infowars.com.
[01:33:38.289 --> 01:33:42.251]  We're taking it to the next level in the face of globalist tyranny, and we're winning.
[01:33:43.652 --> 01:33:48.958]  The reason InfoWarsLive has five-star ratings on major third-party sites is because I want products I'm gonna use for my family.
[01:33:49.118 --> 01:33:49.719]  I take this.
[01:33:49.979 --> 01:33:51.001]  My family takes this.
[01:33:51.101 --> 01:33:55.346]  And then it funds the operation with the most hardcore, truthful information you're gonna find anywhere.
[01:33:55.386 --> 01:33:59.831]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
[01:33:59.991 --> 01:34:04.555]  If I ever forget to take them, I have a noticeable difference.
[01:34:04.635 --> 01:34:05.676]  I don't feel good.
[01:34:05.756 --> 01:34:09.279]  The nascent iodine is one of the ones that was life-changing for me.
[01:34:09.499 --> 01:34:12.161]  Yeah, I actually have just run out of my Super Female.
[01:34:12.201 --> 01:34:17.525]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[01:34:18.006 --> 01:34:20.448]  Very exciting, feeling great, looking good.
[01:34:20.968 --> 01:34:24.391]  And I know my hair is luxurious once again.
[01:34:24.511 --> 01:34:26.693]  So, obviously, the Super Female is amazing.
[01:34:26.753 --> 01:34:27.113]  I love it.
[01:34:27.253 --> 01:34:29.857]  Nascent Iodine is essential.
[01:34:30.057 --> 01:34:31.018]  Survival Shield X2.
[01:34:31.058 --> 01:34:36.686]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[01:34:36.706 --> 01:34:38.629]  It's got a five-star rating.
[01:34:38.889 --> 01:34:39.650]  It's a win-win.
[01:34:40.131 --> 01:34:40.912]  Infowarslife.com.
[01:34:42.720 --> 01:34:50.482]  Infowars has partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfowarsStore.com.
[01:34:50.702 --> 01:34:57.123]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
[01:34:57.343 --> 01:35:05.625]  The secret to Defender Body Armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor.
[01:35:05.905 --> 01:35:14.672]  Using one of the strongest synthetic materials ever created, called Ultra High Molecular Weight Polyethylene, Defender Armor is also super compact and lightweight.
