[00:00:18.715 --> 00:00:21.978]  Good evening, you're watching the InfoWars Nightly News.
[00:25:56.259 --> 00:25:57.640]  I'm gonna take two steps back.
[00:25:57.900 --> 00:26:00.102]  This is literally Oppression Olympics.
[00:26:00.182 --> 00:26:01.122]  And look at his face, too.
[00:26:01.182 --> 00:26:02.163]  He loves this.
[00:26:02.203 --> 00:26:03.604]  I mean, he gets oppression points.
[00:26:03.744 --> 00:26:09.228]  It's so awful being a white male, but I'm gay, so I'm technically a minority and very, very oppressed.
[00:26:09.328 --> 00:26:10.869]  That's one oppression point for you, sir.
[00:26:11.089 --> 00:26:12.150]  Congratulations.
[00:26:12.270 --> 00:26:13.631]  I don't think I'll make it to the front.
[00:26:13.912 --> 00:26:15.513]  I think I'll maybe be in the middle.
[00:26:15.754 --> 00:26:17.335]  That's just a gut feeling I have.
[00:26:17.556 --> 00:26:19.197]  I think we all have that gut feeling as well.
[00:26:19.277 --> 00:26:23.802]  I mean, you're a male, so you're an oppressor, but you're also black, so you're technically oppressed as well.
[00:26:23.942 --> 00:26:26.285]  So you're not entirely at the back, but close enough.
[00:26:26.345 --> 00:26:28.227]  That's one oppression point for you too, sir.
[00:26:29.827 --> 00:26:33.429]  Okay, so before this starts, I'm gonna take a guess on what your final positions are.
[00:26:33.689 --> 00:26:36.671]  The question should have just been, are you a white, cis, straight male?
[00:26:37.211 --> 00:26:37.751]  To the front.
[00:26:38.071 --> 00:26:39.212]  And are you a minority?
[00:26:39.932 --> 00:26:40.873]  To the back, please.
[00:26:41.053 --> 00:26:47.897]  If you can show affection for your romantic partner in public without fear of ridicule or violence, take one step forward.
[00:26:48.077 --> 00:26:52.459]  And if you're blamed for the downfall of the black community simply because of your race, take a step back.
[00:26:52.719 --> 00:26:55.821]  If you get time off for your religious holidays, take one step forward.
[00:26:56.221 --> 00:27:00.785]  If you're constantly called a sexist, misogynistic rapist because of your gender, take a step back.
[00:27:00.985 --> 00:27:02.606]  Also, BuzzFeed, great experiment.
[00:27:02.686 --> 00:27:03.547]  This isn't biased at all.
[00:27:03.587 --> 00:27:06.529]  I mean, it's not like you picked the questions and the participants.
[00:27:06.609 --> 00:27:12.574]  And there it is, guys!
[00:27:12.634 --> 00:27:14.476]  The black woman is all the way at the back.
[00:27:14.516 --> 00:27:16.357]  I mean, what could she have answered so far?
[00:27:16.597 --> 00:27:22.042]  She's probably trans, gay, her left leg's fake, she has some kind of mental illness, she's Muslim.
[00:27:22.122 --> 00:27:24.464]  I'm, like, starting to run out of oppressions here.
[00:27:24.704 --> 00:27:29.468]  If you've ever been bullied or made fun of based on something you can't change, take one step back.
[00:27:30.269 --> 00:27:34.253]  So, Josephine, that's a pretty awesome video that you put together.
[00:27:34.273 --> 00:27:40.799]  I was laughing during it, but at the same time I was very concerned because, I can't believe it, a Prussian Olympics.
[00:27:40.819 --> 00:27:44.282]  They even had lines drawn out like it was some kind of football game or something.
[00:27:44.302 --> 00:27:46.984]  Do you think that they should be handing out awards?
[00:27:48.018 --> 00:27:49.399]  They basically should be.
[00:27:49.419 --> 00:27:51.840]  I mean, did you see how sad the black guy was, by the way?
[00:27:51.920 --> 00:27:54.261]  He's like, I know where I'm going to end up.
[00:27:54.281 --> 00:27:56.822]  You know, I'm going to be at the, you know, closer to the back.
[00:27:56.862 --> 00:27:58.863]  And it's like, how awful is this?
[00:27:58.903 --> 00:27:59.764]  Like, you're demeaning.
[00:27:59.784 --> 00:28:00.984]  This is demeaning to people.
[00:28:01.005 --> 00:28:04.266]  It's like telling them you're not good enough to be at the front lines.
[00:28:04.386 --> 00:28:05.787]  It's oh, it's so sad.
[00:28:05.807 --> 00:28:11.310]  And the best part is that all those people work at BuzzFeed to do it, to do an experiment with those people.
[00:28:11.390 --> 00:28:12.730]  It just it's already biased.
[00:28:12.790 --> 00:28:13.611]  It makes no sense.
[00:28:13.651 --> 00:28:15.512]  That proves absolutely nothing.
[00:28:16.252 --> 00:28:40.457]  Yeah, it really is insane to see this and, you know, just as you were saying earlier to me on the phone about how it's actually oppressing people to say that you're oppressed and that you won't ever have the same opportunities and that you need a hand and extra help up with things, assuming that they're not capable of overcoming any obstacles that could be put in their way.
[00:28:41.377 --> 00:28:43.598]  I mean, yes, sorry.
[00:28:43.658 --> 00:28:50.640]  One of the statements made by the white guy, actually, he said, no amount of hard work or legislation can fix this gap.
[00:28:50.960 --> 00:28:52.121]  And my mind was blown.
[00:28:52.141 --> 00:28:55.202]  I literally wanted to throw my computer because it makes absolutely no sense.
[00:28:55.222 --> 00:28:59.163]  They're telling kids or I mean, I hope it's just kids watching these videos.
[00:28:59.423 --> 00:29:02.985]  They're telling kids that no amount of hard work can help them succeed.
[00:29:03.765 --> 00:29:04.865]  They should just give out awards.
[00:29:04.905 --> 00:29:06.866]  Honestly, it is the oppression Olympics.
[00:29:06.966 --> 00:29:08.347]  And the black woman won.
[00:29:08.387 --> 00:29:09.367]  She's all the way at the back.
[00:29:10.666 --> 00:29:20.240]  So Josephine, I'm sure that this video has probably triggered and massively trolled a bunch of SJW snowflakes out there.
[00:29:20.320 --> 00:29:23.344]  I'm sure you've been getting all kinds of comments and messages.
[00:29:23.905 --> 00:29:26.068]  What has been the reaction to this?
[00:29:26.949 --> 00:29:32.452]  I mean, on one side I'm called a coon and on the other side I'm called a white supremacist apologist.
[00:29:32.852 --> 00:29:39.215]  It's funny, I went to a protest the other day and an antifa white guy came up to me and said, like, you're a white supremacist apologist.
[00:29:39.556 --> 00:29:44.618]  And I was like, dude, I can, like, accuse you of sexism and racism right now.
[00:29:44.658 --> 00:29:45.919]  I have more power right now.
[00:29:46.879 --> 00:29:48.840]  But yeah, that's basically what I got.
[00:29:49.040 --> 00:29:51.502]  It sucks, but I mean, I'm telling the truth, so...
[00:29:52.583 --> 00:29:52.903]  Who cares?
[00:29:53.484 --> 00:29:53.904]  That's right.
[00:29:53.944 --> 00:29:56.666]  You are speaking the truth, Josephine.
[00:29:56.846 --> 00:30:02.570]  We really appreciate you standing up for this liberal lunacy because that's really what it is.
[00:30:02.690 --> 00:30:04.891]  I mean, it's complete lunacy.
[00:30:05.612 --> 00:30:12.817]  And just to see the fact that we have this culture now where being the victim is the highest honor.
[00:30:12.837 --> 00:30:21.282]  You know, I mean, you're going to have people claiming everybody's going to want to claim some kind of victimhood and then you're going to have all kinds of craziness going on.
[00:30:23.023 --> 00:30:28.205]  Just as you were saying in this video, how has that been?
[00:30:28.225 --> 00:30:31.006]  I mean, I don't know, are you a conservative, Josephine?
[00:30:31.546 --> 00:30:36.688]  I'm actually not a conservative, I'm more of a classical liberal, but I do have some conservative speed.
[00:30:40.847 --> 00:31:01.071]  You, in the sense of being a liberal, you agree with probably the Democratic policies and, you know, just more of the American version of being a Democrat versus this SJW virtue signaling and wanting to say there's 64 genders and all this craziness.
[00:31:02.152 --> 00:31:02.932]  Yeah, exactly.
[00:31:02.952 --> 00:31:07.773]  When I say I'm a liberal, I have to say I'm a liberal, not a lefty, just to kind of say I'm not that crazy SJW side.
[00:31:09.053 --> 00:31:15.337]  And like you were saying earlier, the whole idea of the victim mentality, everyone wanting to be victims.
[00:31:15.377 --> 00:31:21.260]  I was at New York a week ago, and this old white woman came up to me and said, I just want you to stay strong.
[00:31:21.540 --> 00:31:23.881]  And I just want you to try to fight through all this hate.
[00:31:23.921 --> 00:31:25.622]  And I'm standing there like, excuse me?
[00:31:25.942 --> 00:31:29.764]  That's more insulting than someone coming up to me and being actually racist.
[00:31:30.084 --> 00:31:35.027]  Because it's like you're trying to tell me that I'm less or, you know, I'm not doing as well because of my race.
[00:31:36.308 --> 00:31:49.833]  Well Josephine, it has been so great having you on here, and you guys can check out more amazing videos of Josephine's at her YouTube channel, MyNameIsJosephine, or on Twitter, MyNameIsJosephine.
[00:31:50.213 --> 00:31:51.614]  So make sure you guys check her out.
[00:31:51.634 --> 00:31:52.854]  Thanks so much, Josephine.
[00:31:52.934 --> 00:31:58.857]  Thank you for trolling these SJWs who are massive virtue signalers, because
[00:31:59.717 --> 00:32:10.261]  It's just awesome to see young, talented women like yourself out there speaking up and having a voice against this lunacy that we see on the left.
[00:32:11.461 --> 00:32:14.062]  It's fun doing it, so it's great.
[00:32:15.560 --> 00:32:26.764]  Well, it is so great to see other women out there standing up against the insane lunacy that comes out of these SJW Virtue Signallers.
[00:32:27.164 --> 00:32:29.205]  So, high five, Josephine.
[00:32:29.365 --> 00:32:30.645]  That is awesome.
[00:32:30.725 --> 00:32:31.345]  You rock.
[00:32:31.465 --> 00:32:32.786]  You get the Troll Award.
[00:32:33.726 --> 00:32:41.511]  As far as these oppression Olympics, well, maybe we should start handing out some awards to some of these basement-dwelling SJWs.
[00:32:41.972 --> 00:32:44.813]  Well, stay tuned guys for more awesome reports.
[00:32:44.853 --> 00:32:46.895]  You're watching the Info Wars Nightly News.
[00:33:02.645 --> 00:33:03.987]  Why is the fungus?
[00:33:04.047 --> 00:33:05.008]  Why is the mold?
[00:33:05.148 --> 00:33:06.590]  Why is the yeast taking over?
[00:33:06.890 --> 00:33:07.711]  What is going on?
[00:33:07.851 --> 00:33:08.632]  What has changed?
[00:33:09.032 --> 00:33:11.235]  Dr. Group, the new product will sell out definitely in days.
[00:33:11.455 --> 00:33:13.157]  You've been testing it for almost a decade.
[00:33:13.177 --> 00:33:16.781]  You've got rave reviews from your patients who've been taking it privately, your clinics.
[00:33:17.002 --> 00:33:17.462]  MycoCX.
[00:33:18.183 --> 00:33:18.803]  We're good to go.
[00:33:44.100 --> 00:33:49.044]  You know, there can be some responses to this as you're flushing it, but why is this product so powerful?
[00:33:49.084 --> 00:33:49.644]  What does it do?
[00:33:49.925 --> 00:33:53.827]  So, we've been doing research just like you have on what's currently going on.
[00:33:54.088 --> 00:34:01.453]  Obviously, we stay ahead of the game because our job is to protect and address the root cause of the problem, which is why I've been... And we want stuff for our own kids.
[00:34:02.054 --> 00:34:04.656]  Well, we've been... This is why we've addressed...
[00:34:05.416 --> 00:34:13.203]  The President, you know, let's address the root cause of America's health problems, but getting back to fungus, it's becoming an increasing epidemic that's only getting worse.
[00:34:13.223 --> 00:34:16.145]  It's killing bats everywhere, other animals, squirrels are dying.
[00:34:16.185 --> 00:34:18.607]  Funguses were used as bioweapons to wipe out rice fields.
[00:34:18.627 --> 00:34:20.329]  So why is it suddenly killing so many mammals?
[00:34:20.649 --> 00:34:27.912]  Yeah, fungus is a growing epidemic and I've been testing this formula and making changes to this formula for over 10 years.
[00:34:28.393 --> 00:34:37.197]  I've had nobody, here's the thing Alex, when you go to the doctor with a list of symptoms, you can look at symptoms of fungus overgrowth in the body.
[00:34:37.757 --> 00:34:40.679]  It's going to show, you're going to pull up over a hundred symptoms.
[00:34:40.759 --> 00:34:45.402]  Everything from brain fog, lack of energy, insomnia, headaches, bowel problems.
[00:34:45.423 --> 00:34:45.883]  Joint pain.
[00:34:46.103 --> 00:34:46.843]  It's joint pain.
[00:34:46.904 --> 00:34:48.124]  It's linked to Crohn's disease.
[00:34:48.164 --> 00:34:48.705]  Infertility.
[00:34:48.725 --> 00:34:49.866]  What about the obesity epidemic?
[00:34:50.186 --> 00:34:51.887]  I know they test people that are really obese.
[00:34:52.708 --> 00:34:54.689]  They're just colonized by fungus.
[00:34:55.369 --> 00:34:56.230]  Yeast overgrowth.
[00:34:56.250 --> 00:35:00.933]  I have a study right here by Jacob Titobaum at the Fibromyalgia and Fatigue Center in Dallas.
[00:35:00.973 --> 00:35:05.597]  Yeast overgrowth is linked to an average weight gain of 32 and a half pounds.
[00:35:06.357 --> 00:35:07.218]  What doctor?
[00:35:07.238 --> 00:35:09.380]  By the way, folks, look, I'm not bragging.
[00:35:09.601 --> 00:35:11.162]  We game-changed the presidency.
[00:35:11.223 --> 00:35:12.724]  We game-changed the New World Order.
[00:35:13.005 --> 00:35:14.606]  Globalism is falling because of you.
[00:35:14.726 --> 00:35:15.728]  You are the Infowar.
[00:35:16.388 --> 00:35:17.930]  Listen, this is religious for me.
[00:35:19.432 --> 00:35:21.975]  I do not bring you something unless I absolutely believe it.
[00:35:23.078 --> 00:35:26.761]  If we were reigned with a billion dollars, I would turn 99% of it against the enemy.
[00:35:27.742 --> 00:35:28.763]  I want to defeat them.
[00:35:28.863 --> 00:35:29.904]  I'm ready to give my life.
[00:35:29.924 --> 00:35:31.085]  Everybody knows that against the enemy.
[00:35:31.606 --> 00:35:32.066]  Please.
[00:35:32.907 --> 00:35:34.328]  We only have a limited supply of this.
[00:35:34.768 --> 00:35:35.469]  I want to get your reviews.
[00:35:35.489 --> 00:35:36.290]  I want to hear what you have to say.
[00:35:36.330 --> 00:35:37.210]  For me, it's been incredible.
[00:35:37.771 --> 00:35:42.235]  MycoZX antifungal, antifungus, anti-yeast.
[00:35:42.295 --> 00:35:43.035]  Get it today.
[00:35:43.136 --> 00:35:43.596]  Limited run.
[00:35:43.616 --> 00:35:44.617]  It'll be months till we get more.
[00:35:45.017 --> 00:35:46.759]  Infowarsstore.com, Infowarslife.com.
[00:35:47.379 --> 00:35:48.901]  Let's go to Debit in Florida.
[00:35:48.921 --> 00:35:50.863]  Debit in Florida, you're on the air.
[00:36:08.945 --> 00:36:09.305]  Great!
[00:36:09.385 --> 00:36:10.386]  Hey, thank you so much.
[00:36:10.526 --> 00:36:14.889]  Listen, I have bought your products and I gotta say they're amazing.
[00:36:15.049 --> 00:36:24.135]  Anyone who's on the fence, buy it because I've got Caveman, Superman Vitality, Secret Swirl, Platinum Interfusion, I've got the Body Armor.
[00:36:24.155 --> 00:36:24.895]  Wow, thank you.
[00:36:24.915 --> 00:36:27.497]  You're the type of listener that makes it all possible.
[00:36:27.557 --> 00:36:29.138]  Which nutraceutical does he like best?
[00:36:29.378 --> 00:36:32.720]  I really like the Vitamin Mineral Fusion, to be honest.
[00:36:32.840 --> 00:36:33.220]  That's amazing.
[00:36:33.240 --> 00:36:33.900]  That's really incredible.
[00:36:34.120 --> 00:36:37.162]  I drank it in the morning and I swear to you, I felt incredible.
[00:36:37.182 --> 00:36:38.423]  Like, I haven't felt this week.
[00:36:38.543 --> 00:36:40.123]  My morning was fantastic.
[00:36:40.183 --> 00:36:41.284]  And I love you guys.
[00:36:41.304 --> 00:36:42.885]  I love the InfoWars crew.
[00:36:43.585 --> 00:36:50.308]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[00:36:50.469 --> 00:36:51.289]  You will love it.
[00:36:51.489 --> 00:36:53.310]  I'm telling you, I've never bought a bad product.
[00:36:53.630 --> 00:36:57.994]  What you find in our news is the same thing you find in our products at Infowarslife.com.
[00:36:58.054 --> 00:36:59.976]  It's a win-win, Infowarslife.com.
[00:37:03.719 --> 00:37:06.902]  What I have to say is going to really make some people angry.
[00:37:07.242 --> 00:37:17.971]  And I want you to understand up front, those of you who will call me a homophobe, I want you to understand that I agree that you have a right to promote your homosexual, even your transsexual gender agenda.
[00:37:19.045 --> 00:37:21.432]  But you deny this right to other people.
[00:37:21.913 --> 00:37:26.426]  And I want to draw a distinction between promoting this to children.
[00:37:27.369 --> 00:37:30.211]  We talk about what consenting adults can do.
[00:37:30.272 --> 00:37:32.073]  That's a very different issue.
[00:37:32.113 --> 00:37:34.655]  This is something that's been evolving for quite some time.
[00:37:34.675 --> 00:37:37.178]  Now we have people who are beginning to wake up.
[00:37:37.218 --> 00:37:41.021]  Today we had the Mormon Church cut ties with the Boy Scouts for older teens.
[00:37:41.581 --> 00:37:46.586]  And as USA Today points out, the Mormon Church is the largest sponsor of Boy Scout troops in the United States.
[00:37:46.926 --> 00:37:50.089]  They announced Thursday it is pulling older teenagers from the organization.
[00:37:50.549 --> 00:38:05.793]  As religion takes a step toward developing its own global scouting-like program, the Utah-based religion's announcement means an estimated 130,000 to 180,000 teenagers between the ages of 14 and 18 will no longer participate in Boy Scouts starting next year.
[00:38:05.853 --> 00:38:08.954]  This will be a significant loss for the organization Boy Scouts of America.
[00:38:09.414 --> 00:38:19.837]  The Mormons said the decision was not triggered by their policy change in 2015 to allow gay troop leaders, since Mormon troops are allowed to run their groups to adhere to church teachings.
[00:38:20.745 --> 00:38:27.207]  But of course, there is discernment now in some other churches, even though it may be missing in other places, as to what's really going on.
[00:38:27.628 --> 00:38:28.728]  It's a political agenda.
[00:38:28.828 --> 00:38:31.529]  It is not just a sexualizing agenda that's happening here.
[00:38:31.569 --> 00:38:35.391]  They say this loss is only a fraction of the 2.3 million youth and Boy Scouts.
[00:38:35.911 --> 00:38:39.592]  They say that for the Mormons, this is a rite of passage.
[00:38:39.692 --> 00:38:42.413]  The church covers the cost of troops for congregations.
[00:38:42.833 --> 00:38:46.975]  They're known as wards, and they strongly have encouraged participation.
[00:38:47.395 --> 00:38:49.336]  Now they're removing themselves from this organization.
[00:38:49.376 --> 00:38:58.662]  And as they say, this has nothing to do with the decision in 2015 to allow adult homosexual leaders to run these troops.
[00:38:59.242 --> 00:39:02.484]  There are others, as it's reported by AP, who are saying differently.
[00:39:02.504 --> 00:39:08.988]  At least one Mormon scholar, says AP, said the Boy Scouts and the church have been diverging on values in recent years.
[00:39:09.608 --> 00:39:14.973]  That the policy of having adult gays is probably one of several contributing factors in the split.
[00:39:14.993 --> 00:39:17.415]  Of course, it's also going to be politics and many other things.
[00:39:17.795 --> 00:39:22.240]  And they say, like other conservative faiths, the Mormon Church opposes gay marriage.
[00:39:22.280 --> 00:39:25.102]  It teaches that being in a homosexual relationship is a sin.
[00:39:25.142 --> 00:39:34.891]  The church initially said it was deeply troubled by the Boy Scouts policy change on gays, but it stayed within the organization after receiving assurances that it could promote its moral values.
[00:39:34.931 --> 00:39:35.772]  And so that's the question.
[00:39:36.152 --> 00:39:38.033]  Whose moral values are being promoted?
[00:39:38.273 --> 00:39:40.173]  What are the moral values that are being promoted?
[00:39:41.234 --> 00:39:42.814]  And we can look at the Girl Scouts as well.
[00:39:42.854 --> 00:39:46.375]  For quite some time there's been a lot of talk about what's going on within the Girl Scouts.
[00:39:47.115 --> 00:39:50.476]  See, there's a political, there's a sexual agenda, it's a radical agenda.
[00:39:51.176 --> 00:39:55.498]  And these agendas always begin by sexualizing our children.
[00:39:55.938 --> 00:40:02.440]  First talking to them about heterosexual sex at an inappropriate age perhaps, or perhaps in an inappropriate way.
[00:40:03.257 --> 00:40:12.265]  Parents should be the ones making that decision, and of course the parents are deciding that they want to have their kids in these organizations, but do they know what is happening in these organizations?
[00:40:12.426 --> 00:40:14.748]  Are you aware of what's happening there if you're not leader?
[00:40:15.448 --> 00:40:19.472]  I think just as we see in schools, there's a lot of disconnect here with parents.
[00:40:19.532 --> 00:40:20.914]  They need to understand what's going on.
[00:40:21.534 --> 00:40:30.839]  And so we look at the Catholic News Agency, who has pointed out for many years problems with this, calling the Girl Scout leadership pro-choice, pro-gay ideologues.
[00:40:31.279 --> 00:40:39.603]  They say the Girl Scouts organization has drawn scrutiny for promoting biased resources, like the left-wing media matters of George Soros.
[00:40:39.623 --> 00:40:40.284]  They promote that.
[00:40:40.804 --> 00:40:44.866]  And pressuring one employee to muzzle her pro-life views.
[00:40:44.906 --> 00:40:50.009]  The latest events top the pile of controversies that have outraged parents and caused some to quit.
[00:40:50.689 --> 00:40:54.372]  The Girl Scouts have filled their national leadership team, and this is what you have to look at.
[00:40:55.332 --> 00:41:00.276]  The people who are running the organization and their board of directors with unwavering ideologues.
[00:41:00.296 --> 00:41:02.057]  Let's take a look at their pro-abortion bias.
[00:41:02.117 --> 00:41:10.923]  The Girl Scouts of the United States have refused to allow pro-life advocacy to count towards badge work or program requirements, even within
[00:41:11.503 --> 00:41:14.226]  These faith-based religious programs.
[00:41:14.286 --> 00:41:16.908]  And understand, they've had these connections to churches.
[00:41:16.948 --> 00:41:18.189]  The churches have the buildings.
[00:41:18.489 --> 00:41:21.352]  The churches have the headcount, the children.
[00:41:21.672 --> 00:41:23.073]  That's how they pull this in.
[00:41:23.113 --> 00:41:27.417]  And they promise the churches, oh, that's okay, we'll let them organize around your values.
[00:41:27.477 --> 00:41:32.181]  And yet, if your values, like the Catholics, are pro-life, no, no, no, you can't do that.
[00:41:32.321 --> 00:41:33.682]  You can get a badge.
[00:41:34.443 --> 00:41:37.906]  If you want to go to Planned Parenthood or to other abortion options.
[00:41:37.946 --> 00:41:42.671]  They say even within these religious programs, this is not an option.
[00:41:42.731 --> 00:41:49.437]  So even though you're in the Mormons or the Catholics, they're organizing this Girl Scout troop, you can't do a pro-life badge.
[00:41:49.597 --> 00:41:58.326]  Yet their leadership program objectives consider the advocacy for quote-unquote reproductive health in school or a neighborhood as a sign that the Scout has mastered
[00:41:58.926 --> 00:41:59.867]  Advocacy skills.
[00:42:00.007 --> 00:42:13.202]  In addition, the Girl Scouts curriculum, Your Voice, Your World, The Power of Advocacy, instructs girls to explore five abortion advocacy organizations, including the Population Council, to see where and how they're promoting change.
[00:42:13.803 --> 00:42:15.824]  But are there any pro-life advocacy groups?
[00:42:16.204 --> 00:42:17.144]  No, not at all.
[00:42:17.544 --> 00:42:25.166]  As a matter of fact, if you look at this article, 100 Questions for Girl Scouts, most of these questions are focused on the people who run the organization.
[00:42:25.726 --> 00:42:32.748]  The people who are filling the national leadership team, the board of directors, the radical ideologues that have been put there.
[00:42:33.188 --> 00:42:41.050]  And they ask in some of these questions, are parents aware that the link on Girl Scouts' website sends girls to do research on the website of the Global Fund for Women?
[00:42:41.994 --> 00:42:56.282]  Okay, and what you see at that site is they have projects there to change the cultural and political, sexual orientation and gender identity that challenges both conservative elements of society and mainstream women's movements.
[00:42:56.863 --> 00:42:57.743]  That's their agenda.
[00:42:58.163 --> 00:42:58.864]  That's what they're doing.
[00:42:59.580 --> 00:43:09.728]  And then when you look at the political aspect, the fact that they are going to media matters, the fact that they have at their convention, their girls learned about moving beyond diversity to inclusion.
[00:43:09.748 --> 00:43:17.593]  An event that addressed diversity beyond the traditional gender and ethnicity model to prepare for a new world order of globalism.
[00:43:18.214 --> 00:43:22.037]  So the Catholics have also, in some areas, moved away from scouting.
[00:43:22.737 --> 00:43:32.940]  We had an article less than a week ago, how the Archdiocese in Kansas City is now moving away from Girl Scouts, and they're even banning Girl Scout cookie sales.
[00:43:33.400 --> 00:43:36.981]  They say, this is a New American article, the Girl Scouts are un-American.
[00:43:37.501 --> 00:43:46.684]  This essentially is a conclusion of the Archdiocese of Kansas City, which announced Monday that it is finally severing ties with the increasingly secular left-wing group.
[00:43:47.324 --> 00:43:51.249]  They said Girl Scouts is no longer a compatible partner for the Catholic Church.
[00:43:51.329 --> 00:43:55.614]  It elevates role models who stand in stark opposition to what we believe.
[00:43:56.154 --> 00:43:59.318]  And again, they're calling for an end to Girl Scout cookie sales.
[00:43:59.338 --> 00:44:07.687]  They said this comes after hundreds of hours of staff research and dialoguing with the Girl Scouts to try to figure out if there's any way that they can keep this together.
[00:44:08.208 --> 00:44:15.631]  And as I point out, going back to 1993, they said you can take the pledge of God out of there and you can swear to any entity that you want.
[00:44:15.811 --> 00:44:18.452]  Presumably Gaia, maybe even Beelzebub, whatever.
[00:44:18.472 --> 00:44:23.594]  They've taken a hard left turn, even advocating infanticide.
[00:44:24.135 --> 00:44:24.395]  Okay?
[00:44:24.435 --> 00:44:26.616]  And that's essentially what abortion is.
[00:44:26.836 --> 00:44:28.316]  And Catholics understand that.
[00:44:28.356 --> 00:44:29.317]  Traditional Catholics do.
[00:44:30.077 --> 00:44:40.221]  So the national organization contributes more than a million dollars each year to the World Association of Girl Guides and Girl Scouts, an organization that is tied to international planned parenthood.
[00:44:40.981 --> 00:44:41.881]  So this is where they're going.
[00:44:41.921 --> 00:44:43.042]  Where did all this come from?
[00:44:44.005 --> 00:44:50.830]  Well, we've seen, for instance, in the Boy Scouts, we have seen a radical change in the Boy Scouts in just the last four years.
[00:44:51.390 --> 00:44:58.795]  And interestingly enough, the individual at the center of all this is Rex Tillerson, Donald Trump's pick for the Secretary of State.
[00:44:59.335 --> 00:45:03.858]  I talked about this briefly when his name was floated around in nomination.
[00:45:04.844 --> 00:45:11.709]  His role at the Boy Scouts in terms of promoting homosexuality and adult homosexual leaders.
[00:45:12.310 --> 00:45:20.896]  And you have to understand that when we talk about this, again, this is not about promoting your agenda or denigrating your agenda.
[00:45:20.936 --> 00:45:25.639]  This is about consenting adults and this is about molesting children.
[00:45:26.479 --> 00:45:30.981]  We have too much sexual molesting of children that's going on in our schools, for example.
[00:45:31.441 --> 00:45:40.705]  One of the reasons why we have Boy Scouts and Girl Scouts that are separate, why we segregate the sexes, is because we're trying to minimize the sexual molestation of children.
[00:45:41.426 --> 00:45:45.627]  That should be our first priority, not the fact that you want to celebrate what you're doing.
[00:45:46.028 --> 00:45:49.009]  Their innocence matters more than your political agenda.
[00:45:50.117 --> 00:45:54.919]  And all the people who don't want to talk about this, the people who are going to get angry about this, need to understand that.
[00:45:55.579 --> 00:45:57.320]  This is not about you.
[00:45:57.340 --> 00:45:59.481]  This is about protecting children.
[00:45:59.501 --> 00:46:16.908]  And it's one of the reasons why we had Boy Scouts and Girl Scouts, why we would pick heterosexual men over the boys, hoping that we would get somebody in charge of these kids who are going to be away from their parents, who are going to be a small number of adults per children, hoping that we could have a situation where we would minimize that.
[00:46:16.928 --> 00:46:18.409]  You'll never stop it altogether.
[00:46:18.809 --> 00:46:21.079]  And people will always disguise themselves in different ways.
[00:46:21.139 --> 00:46:23.269]  But what you have to understand is that Rex Tillerson...
[00:46:24.085 --> 00:46:26.307]  Spoke about this in 2013.
[00:46:26.387 --> 00:46:30.050]  Pushed this and said, no youth may be denied membership of the Boy Scouts of America.
[00:46:30.710 --> 00:46:32.892]  That policy changed in 2013.
[00:46:33.472 --> 00:46:38.096]  Then by the beginning of 2014, within just 16 months, they had homosexual adult leaders.
[00:46:38.236 --> 00:46:40.738]  Now they have moved another year and a half later.
[00:46:41.078 --> 00:46:44.481]  They're now pushing for transgender children in the Boy Scouts.
[00:46:44.881 --> 00:46:46.442]  There are things that you can do with your children.
[00:46:46.662 --> 00:46:48.724]  You can put them in the American Heritage Girls.
[00:46:48.924 --> 00:46:52.287]  Or you could try another institution, a very ancient one, the family.
[00:46:53.027 --> 00:46:54.529]  Don't lose this time with your children.
[00:46:55.149 --> 00:46:57.712]  Take this, you're not their cruise director, you're their parents.
[00:46:58.232 --> 00:47:02.056]  Don't turn them over to people and to agendas you don't know about.
[00:47:02.997 --> 00:47:07.741]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:47:08.444 --> 00:47:10.006]  But it goes beyond being prepared.
[00:47:10.406 --> 00:47:15.412]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:47:15.772 --> 00:47:21.218]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:47:21.618 --> 00:47:28.205]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:47:28.846 --> 00:47:30.007]  It's as important as vitamin C.
[00:47:30.848 --> 00:47:32.790]  If you don't get iodine, you die.
[00:47:33.110 --> 00:47:36.072]  But most people are just efficient, so they're low energy, they're sick.
[00:47:36.492 --> 00:47:40.115]  You've got to have iodine in your body so that your body can produce the hormones you need.
[00:47:40.315 --> 00:47:42.877]  It is the base to so many things.
[00:47:42.917 --> 00:47:55.267]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:47:55.487 --> 00:48:00.611]  Other iodine comes from the ocean or from other byproducts of chemical facilities, and it's tainted.
[00:48:00.711 --> 00:48:02.233]  It's bound.
[00:48:02.333 --> 00:48:03.334]  It's not absorbable.
[00:48:03.754 --> 00:48:08.338]  I tried it, and I had incredible effects, even with dirty iodine, because the body needs it.
