[00:00:00.089 --> 00:00:00.552]  The End.
[00:25:41.854 --> 00:25:43.696]  So really, I mean, nature is the medicine.
[00:25:43.716 --> 00:25:44.616]  That's how you do it, Ted Nugent.
[00:25:44.636 --> 00:25:50.342]  Because I don't even know about yourself, Ted, but I mean, you've been politically active promoting Americana since the 60s.
[00:25:51.843 --> 00:25:53.664]  Well, you know, you see these bags under my eyes.
[00:25:53.705 --> 00:25:54.685]  Don't be confused.
[00:25:54.725 --> 00:26:00.971]  Number one, I have this new music roaring through my system, and it's kind of difficult to sleep at night.
[00:26:01.011 --> 00:26:02.753]  But these are actually ammo bags.
[00:26:02.813 --> 00:26:03.874]  I have Remington ammo.
[00:26:05.191 --> 00:26:09.493]  So the bottom line is, Alex, I was raised in a family where you had to be accountable.
[00:26:09.533 --> 00:26:19.776]  I was raised in a bowhunting family where each step, if it was taken conscientiously and caringly, each step, this is not just metaphoric, it's actual, literal.
[00:26:20.497 --> 00:26:32.741]  In the woods, if you really perform stealth and a higher level of awareness, which is very difficult for young Ted, because I've always been hyper, that the reward was getting close to the bird, hearing the song,
[00:26:33.613 --> 00:26:36.054]  Seeing the deer that you hadn't intruded yet.
[00:26:36.834 --> 00:26:41.236]  A clumsy step, the punishment was, you never see Jack squat.
[00:26:41.736 --> 00:26:59.763]  So as a bow hunter, that cause and effect was inescapable, and I felt so fulfilled and gratified getting close to wildlife, not during the hunting season to kill them for the dinner table, but just that spiritual connection, the soul-cleansing powers of nature,
[00:27:00.323 --> 00:27:06.806]  It really helped me deal with the intense, incredible energy of my early bands and my current band.
[00:27:06.866 --> 00:27:12.109]  I mean, today, we had more outrageous energy in the studio this week than at any time in my life.
[00:27:12.509 --> 00:27:13.930]  But I knew that I was right.
[00:27:14.610 --> 00:27:20.654]  I knew that the hippies and the beatniks were attacking me for not smoking their dope and murdering innocent animals.
[00:27:20.714 --> 00:27:23.415]  I'm going, murdering innocent animals?
[00:27:24.227 --> 00:27:33.953]  Maybe this dope does make you really stupid, because what does murdering have to do with accepting a gift from God of pure venison for the family?
[00:27:33.993 --> 00:27:41.378]  And they don't understand that if you don't do it, then they'll all basically starve to death and it's just like harvesting wheat or doing anything else.
[00:27:41.418 --> 00:27:43.159]  It's all about good stewardship.
[00:27:43.279 --> 00:27:44.260]  And speaking of that,
[00:27:44.660 --> 00:27:48.163]  Well, here's one glaring example, and I could keep you here for hundreds of hours with examples of this.
[00:27:48.243 --> 00:27:51.726]  In Colorado, they have an overpopulation, a dangerous overpopulation of black bears, just like up in Lake Tahoe.
[00:28:10.475 --> 00:28:17.118]  But the state says you can't hunt them and you can't use the proven methodologies to balance the population of bears every year.
[00:28:17.398 --> 00:28:28.003]  So you can't hunt in the spring, no reason whatsoever except the lies from the animal rights scammers, and you can't use hounds and bait because somebody in Boulder had a bad, you know, acid trip.
[00:28:28.463 --> 00:28:32.865]  And so we can only hunt in the fall and not harvest an adequate number of bears.
[00:28:33.225 --> 00:28:35.486]  So the government takes our tax dollars
[00:28:35.886 --> 00:28:37.807]  Hires U.S.D.A.
[00:28:37.887 --> 00:28:39.387]  hunters, U.S.D.A.
[00:28:39.447 --> 00:28:47.569]  shooters to go in year-round using hounds and bait that we're not allowed to use, slaughtering these magnificent bears.
[00:28:47.869 --> 00:28:48.929]  Nobody gets to eat them.
[00:28:49.149 --> 00:28:56.211]  Nobody buys license or permits or fees or gas or food or lodging or hotels or restaurants or guides or outfitters or taxidermists.
[00:28:56.491 --> 00:29:00.352]  Each bear could generate tens of thousands of dollars to the economy.
[00:29:00.732 --> 00:29:12.420]  While balancing the population, we don't have to pay a million dollars to the sheep farmers and the cattle farmers and the alpaca farmers and the goat farmers to compensate them for all the black bear deprivation.
[00:29:13.040 --> 00:29:17.223]  So now the black bear is in the liability column instead of the asset column.
[00:29:17.543 --> 00:29:24.888]  And they're still dying, but they're dying after they slaughter livestock, endanger people and even kill people.
[00:29:25.228 --> 00:29:29.071]  That's just one example that exists in every state to some degree.
[00:29:29.411 --> 00:29:33.354]  And so Hunter Nation is going, well, the bear is a magnificent creature.
[00:29:33.714 --> 00:29:36.356]  It should be an asset, not a liability.
[00:29:36.596 --> 00:29:42.720]  You shouldn't pay a guy with a backhoe with your tax dollars to bury this beautiful black bear and waste it.
[00:29:43.180 --> 00:29:45.763]  When it could have been an asset for the entire nation.
[00:29:51.373 --> 00:29:58.960]  They will pay trappers to come in, live trap starving white-tailed deer and then fly them to West Texas at thousands of dollars apiece.
[00:29:59.301 --> 00:30:03.705]  Totally insane when they just get eaten or die in the desert out there.
[00:30:03.985 --> 00:30:05.266]  This is true insanity.
[00:30:05.566 --> 00:30:13.714]  Crazy weird leftist, ban hunting, restrict it, then it overpopulates and then they bring in, you know, giant expensive operations.
[00:30:13.734 --> 00:30:16.136]  I guess that's another example of what's happening with the black bear?
[00:30:17.165 --> 00:30:20.307]  Yes, well, and a variation of that is existing in every state.
[00:30:20.327 --> 00:30:32.754]  Do you know there are still nine states, Alex, where some government goon tells an American citizen, you only have 50% of the hunting season because we won't allow you to hunt on Sundays.
[00:30:33.074 --> 00:30:41.959]  Can you imagine that there's a law in America that forbids a natural conservation freedom activity like hunting
[00:30:42.671 --> 00:30:47.335]  On Sunday, like somehow nature comes to a halt at sunset on Saturday.
[00:30:47.776 --> 00:30:58.025]  And meanwhile, those deer are slaughtered on the highways instead of feeding families, generating gazillions of dollars in family hours of recreation for the economy.
[00:30:58.505 --> 00:30:59.947]  It exists in every state.
[00:31:00.347 --> 00:31:09.496]  So, and by the way, the deer that they attempt to transport because they didn't allow us to harvest them responsibly, do you know that 80% of them die while they're being handled?
[00:31:09.816 --> 00:31:11.498]  Because they're being mishandled!
[00:31:11.718 --> 00:31:15.362]  They're supposed to be killed and grilled, not relocated.
[00:31:15.382 --> 00:31:17.704]  It's literally...
[00:31:18.104 --> 00:31:34.931]  Planet of the cuckoo's nest out there, because the hippies in their comfortable numbness, which is actually uncomfortable numb-nutness, they've literally had influence from an animal rights scam perspective on wildlife managers, especially the Texas Parks and Wildlife in Texas.
[00:31:35.171 --> 00:31:36.912]  They should be ashamed of themselves.
[00:31:37.052 --> 00:31:40.854]  And they can come onto your property without a warrant.
[00:31:42.353 --> 00:31:43.734]  And kill all of your animals.
[00:31:44.054 --> 00:31:44.995]  And it's happened, Alex.
[00:31:45.015 --> 00:31:53.821]  They've literally broke into whitetail breeding operations, slaughtered entire herds, and then go, well, we thought there was a disease, but there wasn't.
[00:31:53.841 --> 00:31:55.763]  But I'm sorry, we ruined your livelihood.
[00:31:56.143 --> 00:31:58.284]  See ya in Texas, Alex.
[00:31:58.565 --> 00:32:00.706]  How dare they do that in Texas?
[00:32:00.806 --> 00:32:06.870]  And the new Bureau of Land Management lady they're trying to approve says she's against hunting and wants to, quote, depopulate humans.
[00:32:06.890 --> 00:32:07.391]  Did you see that?
[00:32:08.345 --> 00:32:10.527]  Yes!
[00:32:10.828 --> 00:32:12.850]  How more demonic can you get?
[00:32:13.971 --> 00:32:15.833]  Alright, well listen, I love you guys.
[00:32:15.873 --> 00:32:16.814]  I appreciate you guys.
[00:32:16.874 --> 00:32:17.735]  I don't want to keep you too long.
[00:32:17.755 --> 00:32:18.996]  I've got to get back in the studio.
[00:32:19.016 --> 00:32:20.277]  I appreciate you coming on the Saturday Show.
[00:32:20.297 --> 00:32:22.480]  But Shemane, you've always got a ton to say.
[00:32:22.560 --> 00:32:23.340]  I love listening to you.
[00:32:23.381 --> 00:32:25.743]  I love watching you as much as your great husband.
[00:32:26.103 --> 00:32:29.207]  What else do you want to say to the audience of viewers and listeners out there about
[00:32:29.687 --> 00:32:33.091]  You know what they can do because I love the fact that you're trying to give people spirits up.
[00:32:33.872 --> 00:32:36.736]  I know you said you heard me a few days ago and I sounded bummed out.
[00:32:37.116 --> 00:32:44.686]  I was and I try to be positive like you guys are and I am sometimes but just any other ways we stay positive any other points you'd like to make.
[00:32:45.694 --> 00:32:47.355]  Well, you know, we all go through that.
[00:32:47.435 --> 00:32:50.218]  I mean, my neck is sore from shaking my head so much.
[00:32:50.298 --> 00:32:54.101]  Every time I turn on the TV or radio, there's so much negative.
[00:32:54.481 --> 00:32:58.785]  But what's really important, Alex, is that, again, we find the thing that makes our heart sing.
[00:32:58.845 --> 00:32:59.986]  God gave us a gift.
[00:33:00.407 --> 00:33:09.774]  Our goal, I think, our mission in life is to share that gift with others and to take time to set aside time to be healthy, to do something healthy for your body.
[00:33:09.794 --> 00:33:11.316]  Because if you don't feel good,
[00:33:12.188 --> 00:33:14.208]  You can't be happy, truly, inside.
[00:33:14.268 --> 00:33:19.529]  So that's most important, but also do not give up.
[00:33:19.849 --> 00:33:28.871]  Now more than ever, we who have been sitting on the sidelines, not you and Ted, but those of us who have been sitting on the sidelines need to stand up.
[00:33:28.971 --> 00:33:33.652]  We need to be bold and brave and let our voices be heard.
[00:33:34.072 --> 00:33:35.792]  I got banned on Twitter.
[00:33:36.032 --> 00:33:41.213]  He's still on Twitter, but I'm banned because I posted a silly video about President Trump.
[00:33:41.893 --> 00:33:47.576]  We lost our First Amendment, they're coming after the Second, and the next thing they're coming after is the Bible.
[00:33:48.057 --> 00:33:54.840]  So, calling all patriots, calling all Christians, now more than ever, get out there and preach, sister.
[00:33:54.901 --> 00:33:56.601]  And I want listeners to understand something.
[00:33:57.082 --> 00:34:00.644]  They may not be Ted Nugent and have tens of millions of followers online,
[00:34:01.204 --> 00:34:09.812]  But it's their videos they shoot on the street or their commentary that whether it gets picked up by 10 people or a thousand or sometimes 10 million, that's the eyes and ears on the street.
[00:34:09.872 --> 00:34:14.717]  So just like Ted said, call Congress, call your mayor, go to city council, go to the school board.
[00:34:15.798 --> 00:34:16.879]  You have to take action.
[00:34:16.959 --> 00:34:18.100]  You really are the power.
[00:34:19.181 --> 00:34:28.109]  When you watch this show, or when you see the archive of it at Band.Video, share it on your email list, share it on your text message, you know, share it with Ted Nugent.
[00:34:28.129 --> 00:34:37.037]  You know, Ted shares these videos, some of them get 300,000 views, they get 5 million views, and just realize that they're suppressing us because the truth is popular.
[00:34:37.057 --> 00:34:41.642]  They wouldn't be suppressing us if we didn't have a very good shot of winning, so listeners and viewers have to know
[00:34:42.042 --> 00:34:44.484]  You're not just half the equation, you're 99% of it.
[00:34:44.544 --> 00:34:50.928]  Because if Ted Nugent was playing his guitar all by himself, you know, in the middle of the forest, God would hear it, it would sound great.
[00:34:51.248 --> 00:34:56.571]  But, you know, it takes people coming to a concert, being there, having that communal event.
[00:34:56.791 --> 00:35:07.658]  Well, just like you need to come to a concert for the communal event, you need to go to the City Council, you need to go to Congress, we need to get back in the streets, peacefully, and let the world know that our numbers are way greater than the left.
[00:35:07.858 --> 00:35:08.859]  They're trying to gaslight us.
[00:35:09.119 --> 00:35:10.100]  They're trying to break our will.
[00:35:10.320 --> 00:35:11.401]  They're trying to overwhelm us.
[00:35:11.461 --> 00:35:14.484]  This is signs of weakness, in my view, not signs of strength.
[00:35:14.504 --> 00:35:26.494]  So both of you, take some time, because you've got so many sites, so many great organizations, to let these activist viewers we've got see them and share them, and then tell others that when they share it, please share it again, and then tell those to share it.
[00:35:26.735 --> 00:35:29.257]  And it's that chain reaction that the tyrants fear.
[00:35:29.277 --> 00:35:31.178]  So how do we trigger that chain reaction?
[00:35:31.999 --> 00:35:34.982]  Sixty seconds from each one of you on that, and I'll let you get back to recording studio.
[00:35:36.041 --> 00:35:37.842]  Well, we talk about strength and weakness.
[00:35:37.922 --> 00:35:40.822]  I see a lot of strength out there in reaction to weakness.
[00:35:40.882 --> 00:35:45.564]  We also support a charity called FullCircleProgram.com.
[00:35:46.044 --> 00:35:48.244]  FullCircleProgram.com.
[00:35:48.604 --> 00:35:54.886]  Young Americans helping fellow young Americans during these stressful times where addiction is off the charts.
[00:35:55.346 --> 00:35:57.567]  FullCircleProgram.com.
[00:35:57.887 --> 00:36:00.768]  American youth helping American youth.
[00:36:00.928 --> 00:36:01.968]  A show of strength.
[00:36:02.788 --> 00:36:03.228]  Beautiful.
[00:36:03.769 --> 00:36:05.349]  Shemaine, any other sites people should check out?
[00:36:06.539 --> 00:36:09.523]  Well, I can be followed on social media.
[00:36:10.043 --> 00:36:23.881]  What I do have left on my Facebook and also Instagram and my website is ShemaineNugent.rocks and I have a lot of great programs for women to have supernatural health and to age gracefully.
[00:36:25.367 --> 00:36:26.067]  Well you're amazing.
[00:36:26.207 --> 00:36:27.608]  One little final point I forgot to ask.
[00:36:27.668 --> 00:36:30.190]  Republicans are questioning whether they want Trump again.
[00:36:30.210 --> 00:36:32.091]  That's townhall.com.
[00:36:33.171 --> 00:36:36.793]  Every person that he supports for Congress is winning by record numbers.
[00:36:37.453 --> 00:36:38.694]  The system fears Trump.
[00:36:38.734 --> 00:36:42.436]  We need to keep him as the Republican Party leader even if he doesn't run again.
[00:36:43.416 --> 00:36:51.941]  How do we get folks out there to understand that they have to be heard that we want Trump to continue to be the leader and he needs to hear that or he's going to kind of bow out, I've been told.
[00:36:53.154 --> 00:36:57.558]  Well, again, I say call your mayor, your congressman, your governor.
[00:36:58.238 --> 00:36:59.379]  Go to the school board meeting.
[00:36:59.419 --> 00:37:01.521]  Just blurt out, we support Donald Trump.
[00:37:02.344 --> 00:37:05.765]  We like what Donald Trump did to make America better.
[00:37:06.085 --> 00:37:09.225]  He brought upgrade, quality of life to America.
[00:37:09.746 --> 00:37:15.787]  Joe Biden and his gang of puppets have degraded the quality of life in America on every level.
[00:37:16.027 --> 00:37:26.249]  So just voicing support to your mayor, your senator, your congressman, your governor, just voicing support for Donald Trump is a huge sucker punch to the left.
[00:37:27.089 --> 00:37:27.649]  Absolutely.
[00:37:27.829 --> 00:37:30.270]  All right, guys, thank you so much for your time.
[00:37:30.310 --> 00:37:31.310]  When's the new album coming out?
[00:37:32.475 --> 00:37:36.677]  Well, you know, it's called Ted Nugent Detroit Muscle, and you mentioned campfire.
[00:37:36.697 --> 00:37:38.718]  It's got a song called American Campfire.
[00:37:39.078 --> 00:37:41.339]  Everybody loves the American campfire.
[00:37:41.619 --> 00:37:43.260]  Don't you hear it calling your name?
[00:37:43.640 --> 00:37:46.041]  Everybody loves the American campfire.
[00:37:46.321 --> 00:37:46.901]  Go ahead.
[00:37:47.341 --> 00:37:48.662]  Fan the flames.
[00:37:48.902 --> 00:37:50.703]  Hopefully it'll be out sometime this fall.
[00:37:51.303 --> 00:37:51.543]  All right.
[00:37:51.603 --> 00:37:52.203]  God bless you.
[00:37:52.223 --> 00:37:53.124]  Have a great weekend.
[00:37:54.090 --> 00:37:55.051]  All right, God bless you, Alex.
[00:37:55.091 --> 00:37:55.651]  Godspeed, Alex.
[00:37:55.671 --> 00:37:56.592]  Thanks for everything, man.
[00:37:56.832 --> 00:37:57.513]  Thank you so much.
[00:37:57.573 --> 00:38:00.735]  All right, there goes Ted Nugent and his amazing wife, Shemay Nugent.
[00:38:01.096 --> 00:38:02.917]  I'm Alex Jones with InfoWars.com.
[00:38:02.957 --> 00:38:05.780]  We'll be right back on the other side of this special Saturday transmission.
[00:38:05.800 --> 00:38:08.442]  I'm going to be airing excerpts of this coming up on the Sunday show tomorrow.
[00:38:08.982 --> 00:38:09.963]  InfoWars!
[00:38:10.403 --> 00:38:11.364]  InfoWars!
[00:38:11.384 --> 00:38:12.825]  InfoWars!
[00:38:12.845 --> 00:38:14.226]  InfoWars!
[00:38:14.647 --> 00:38:15.608]  InfoWars!
[00:38:16.028 --> 00:38:16.869]  InfoWars!
[00:38:19.841 --> 00:38:24.482]  The 4th of July Super Sale starts now and at fullworthstore.com.
[00:38:24.982 --> 00:38:27.543]  July 4th, 2021 is now upon us.
[00:38:28.103 --> 00:38:29.963]  That means our yearly big sale is here.
[00:38:30.424 --> 00:38:36.225]  Storewide free shipping, double Patriot Points starts right now and runs through July 4th.
[00:38:36.585 --> 00:38:40.606]  Survival Shield X3 Tri-Iodine, the good halogen, 60% off.
[00:38:40.966 --> 00:38:44.127]  BioTrue Selenium, essential for your whole body, 50% off.
[00:38:44.247 --> 00:38:48.228]  Ultimate Krill Oil, 40% off with the free shipping and double Patriot Points.
[00:38:48.681 --> 00:38:53.382]  All water filtration systems are 10% off, and the list goes on and on.
[00:38:53.642 --> 00:39:01.484]  And while this sale runs, we're going to be adding new specials every day that are one-day specials alone because we don't have enough supplies to keep them on sale.
[00:39:01.784 --> 00:39:13.926]  So the stuff I just listed is going to be on sale through July 4th, but every day visit MFullWorthStore.com because there's going to be new specials of select items with free shipping and double Patriot points, up to 60% off at MFullWorthStore.com.
[00:39:14.366 --> 00:39:18.635]  The 4th of July Super Sale starts now at M4WareStore.com!
