[00:00:00.830 --> 00:00:12.742]  We've got to make sure that they know that we mean business.
[00:27:31.991 --> 00:27:38.554]  And if they're able to achieve it and attain it, it poses a direct risk to liberty and our justice system in the United States.
[00:27:38.975 --> 00:27:41.336]  If they can convert our criminal justice process
[00:27:41.856 --> 00:27:50.680]  into Soviet-style, Cuban-style show trials, then they can do it to anybody, anywhere, at any time, and that's the point that they're trying to make.
[00:27:51.140 --> 00:27:57.843]  They can use the justice process to vindicate and validate the lies and deceptions they've force-fed onto the public.
[00:27:58.523 --> 00:28:05.306]  Now, if you were in the jury room itself and witnessed what happened in the trial, you would know why Mad Max is so mad.
[00:28:06.016 --> 00:28:25.721]  Let's take a look at video clip number five, wherein a use of force expert who has been certified as such by everybody across the board, has been a police officer for decades, who including the FBI certified him as one of the top experts in the country on the issues of use of force, explain why the reasonable prone position
[00:28:26.261 --> 00:28:34.387]  Is reasonable force, not unjustifiable excessive force, especially if you're dealing with someone you believe is experiencing excited delirium.
[00:28:34.407 --> 00:28:40.892]  Because under the influence of such drugs, and remember he was 6'5", 6'6", 230, 240, Chauvin is like 5'8", 5'9", he makes Tom Cruise look tall, you know, 140 pounds.
[00:28:46.196 --> 00:28:57.366]  Given that disparity, usually, especially with a mob around you, trying to keep him under control to risk it, to avoid escalation, is often the appropriate protocol.
[00:28:57.766 --> 00:28:59.988]  Let's take a look at video clip number five.
[00:29:02.236 --> 00:29:19.403]  Now based upon your training and experience and your expertise in the use of force matters, your review of the materials that have been provided to you, have you formed opinions in this particular case to a reasonable degree of professional certainty?
[00:29:19.723 --> 00:29:20.003]  I have.
[00:29:20.643 --> 00:29:25.005]  And can you just briefly overview your opinions in this particular case?
[00:29:25.942 --> 00:29:39.585]  I felt that Derek Chauvin was justified, was acting with objective reasonableness, following Minneapolis Police Department policy and current standards of law enforcement and his interactions with Mr. Floyd.
[00:29:42.074 --> 00:29:44.195]  And that wasn't the only big expert that testified.
[00:29:44.475 --> 00:30:06.723]  A former high-ranking medical examiner who consulted with more than a dozen other doctors in his analysis concluded that, without any doubt really, that the death of George Floyd was not caused by the manner of being put in a prone position and being put into a physical restraint, just as it hasn't caused death almost anywhere in the world when they've done a survey and study of it.
[00:30:07.203 --> 00:30:09.004]  Let's take a look at video clip number six.
[00:30:09.895 --> 00:30:14.117]  How did the heart and drugs contribute to the cause of death?
[00:30:15.477 --> 00:30:16.398]  They were significant.
[00:30:18.178 --> 00:30:25.481]  They contributed to Mr. Floyd having a sudden cardiac arrest in my opinion.
[00:30:25.661 --> 00:30:26.522]  That's how I would read it.
[00:30:31.769 --> 00:30:31.949]  Yes.
[00:30:33.091 --> 00:30:47.849]  So in my opinion, Mr. Floyd had a sudden cardiac arrhythmia or cardiac arrhythmia due to his atherosclerotic and hypertensive heart disease or you can write that down multiple different ways.
[00:30:51.042 --> 00:31:17.194]  During his restraint and subdual by the police or restraint by the police and then his significant contributory conditions Would be since I've already put the heart disease in part one He would have the toxicology the fentanyl and methamphetamine There is exposure to a vehicle exhaust
[00:31:18.672 --> 00:31:31.986]  So potentially carbon monoxide poisoning or at least an effect from increased carbon monoxide in his bloodstream and paraganglionoma or the other natural disease process that he has.
[00:31:32.047 --> 00:31:38.814]  So all of those combined to cause Mr. Floyd's death.
[00:31:42.907 --> 00:31:48.651]  And by the way, when Floyd had been pulled over a year before, he did the same routine.
[00:31:49.131 --> 00:32:02.539]  He initially refused to comply with police requests, did sudden ingestion of drugs, admitted he did sudden ingestion of serious drugs, had to be rushed to the hospital, and almost died because his blood pressure was so high.
[00:32:03.160 --> 00:32:11.065]  So what the expert testimony and other documentary evidentiary testimony that came out at the actual trial was that the media narrative was one big fat lie.
[00:32:11.633 --> 00:32:14.514]  And Mad Max and the media need the world not to know that.
[00:32:14.814 --> 00:32:22.357]  That's why they're extorting the jury with these selectively targeted, selectively released statements on the eve of jury selection.
[00:32:22.957 --> 00:32:37.562]  And it is critical and essential if this jury is going to uphold the rule of law in America and avoid our trials becoming show trials that are nothing more than legalized lynchings, is that they come back with acquittals, especially on the top felony murder count.
[00:32:38.395 --> 00:32:43.799]  In fact, if Chauvin is convicted of the other counts, it's kind of irrelevant because Chauvin was willing to plead guilty to those counts.
[00:32:44.379 --> 00:32:46.100]  So the big count is felony murder.
[00:32:46.721 --> 00:32:49.082]  And hopefully the jury upholds the justice process.
[00:32:49.482 --> 00:32:58.828]  If not, hopefully the appeals court or the trial court set aside the verdict based on the insanity of trying to do a trial in this context where members of Congress are threatening the jury pool.
[00:32:59.509 --> 00:33:02.951]  And last but not least, the public continuing to speak out.
[00:33:03.670 --> 00:33:18.959]  About these issues, about the consequences of these issues, is going to be critical in counterbalancing the threats of riots, the looting, the burning, the arsoning, the criminality that Mad Max is trying to unleash to extort the jury.
[00:33:19.259 --> 00:33:24.222]  When we come back, we'll be talking about a little bit more of this, but also Sleepy Joe wants to go to war.
[00:33:34.858 --> 00:33:38.260]  Welcome back to Alex Jones Sunday Show.
[00:33:38.720 --> 00:33:40.801]  Robert Barnes here, guest hosting the show.
[00:33:41.562 --> 00:33:49.306]  Let's get into some of the more of the detail of what is happening in the Chauvin trial and why it is more consequential than just the trial itself.
[00:33:50.006 --> 00:33:58.131]  So even Jonathan Turley, a left-leaning professor, a law professor from George Washington University, wrote a detailed article this week
[00:33:58.826 --> 00:34:04.935]  Uh, explaining why the media narrative is completely out of whack with what's actually happening inside the courtroom.
[00:34:05.336 --> 00:34:11.244]  They're trying to create a fake narrative that they know the jury would reject if the jury could make an honest verdict.
[00:34:11.324 --> 00:34:13.508]  That's Mad Max's sort of insanity.
[00:34:14.008 --> 00:34:20.715]  But it's not the only example of the kind of media-narrational bias that is taking place in the press.
[00:34:21.196 --> 00:34:27.622]  To give other illustrations of it, in the Chauvin trial context, they have actually had medical experts get up and testify.
[00:34:27.642 --> 00:34:33.128]  Here's some of the absurdities from the Chauvin trial that the government has tried to put on the world and the jury.
[00:34:33.832 --> 00:34:41.036]  One is that smoking won't bother your lungs 90% of the time, according to the government's experts in the Chauvin trial.
[00:34:41.516 --> 00:34:46.859]  According to the government's experts in the Chauvin trial, having an enlarged heart can often be good for you.
[00:34:47.359 --> 00:34:49.781]  According to the government's experts in the Chauvin trial,
[00:34:53.050 --> 00:34:58.753]  It's also the case that having 90% blockage of different parts of your heart can be completely fine.
[00:34:59.273 --> 00:35:07.718]  According to the medical experts in the Chauvin trial, that taking three times the lethal dose of fentanyl and sudden ingestion of it
[00:35:08.574 --> 00:35:14.439]  Well, you could actually just get out and drive your car normally, according to the government's experts in the Chauvin trial.
[00:35:14.759 --> 00:35:20.443]  But those aren't the only absurdities they've tried to feed the jury and, by extension, the world.
[00:35:20.964 --> 00:35:28.029]  They also had a use-of-force expert testify about national standards that don't even really exist.
[00:35:28.589 --> 00:35:34.674]  According to this use-of-force expert, if someone's arrested and voices some concerns about their health,
[00:35:35.134 --> 00:35:38.017]  Then what you're supposed to do is not handcuff them and call them an Uber.
[00:35:38.458 --> 00:35:41.681]  Don't even put them in the back of the car where the scary isolation could bother them.
[00:35:41.962 --> 00:35:45.365]  And you could never put them in a prone position on the ground.
[00:35:45.786 --> 00:35:53.454]  Of course, what happens when police officers think that they can't use physical force to put someone on the ground in a prone position?
[00:35:53.975 --> 00:35:55.917]  They go to tasers instead.
[00:35:56.457 --> 00:35:58.438]  And what happens when they go to tasers instead?
[00:35:58.839 --> 00:36:04.182]  You get Dwayne Wright, where the officer thinks she's pulling a taser, instead pulls a gun.
[00:36:04.622 --> 00:36:05.563]  Why did she pull the gun?
[00:36:05.763 --> 00:36:14.849]  Well, in part because the local community, the local politicians, went and bought tasers that looked and felt like guns.
[00:36:15.413 --> 00:36:17.335]  But the media won't cover that side of the story.
[00:36:17.775 --> 00:36:30.167]  Instead, race grifter, race baiter Ben Crump is saying that the person was shot simply for quote, driving while black, when actually he was pulled over for basic violations of traffic rules.
[00:36:30.468 --> 00:36:36.794]  And the only reason they tried an arrest is because he had an outstanding warrant for prior felony armed robbery.
[00:36:37.714 --> 00:36:55.904]  Another example of these sort of fake news narratives in the BLM context also came out this week when it turned out with court filings in the Ahmaud Arbery case that you may have remembered from last year where again he was supposedly shot and killed again according to Ben Crump and his pals for jogging while black.
[00:36:56.582 --> 00:37:04.209]  As some of us voiced at the time, including right here on InfoWars at the time, was that that is unlikely to be a true story.
[00:37:04.669 --> 00:37:13.017]  That the true story was likely that he was out casing places for robbery and using jogging as an excuse and a pretext.
[00:37:13.539 --> 00:37:26.070]  Because it's not normal and customary for young men of any race to just go out jogging and constantly just wander into abandoned homes and properties for about 10 or 15 minutes and then come back out over and over and over again.
[00:37:26.470 --> 00:37:36.939]  Well, it turned out from court filings this week that in fact, Ahmaud Arbery had a long history of using jogging as a pretext to engage in repeated robberies.
[00:37:37.539 --> 00:37:41.260]  Over and over and over and over and over again.
[00:37:41.800 --> 00:37:47.201]  Another BLM narrative that proved to be a lie, that proved to be a fraud.
[00:37:47.582 --> 00:37:49.002]  That's why they are so desperate.
[00:37:49.342 --> 00:38:01.785]  George Floyd is supposed to be the Rosa Parks of the BLM anti-police politicized movement to racialize American criminal justice and racialize American politics in ways that do not conform to reality.
[00:38:02.305 --> 00:38:05.866]  They are desperate to have George Floyd upheld as that martyr.
[00:38:06.186 --> 00:38:09.268]  So much so that they built statues to him inside Holocaust Museum.
[00:38:09.668 --> 00:38:14.029]  The fact that he has an extensive criminal history has been hidden from the court of public opinion.
[00:38:14.269 --> 00:38:18.471]  The fact that he has a history of violent crime has been hidden from the court of public opinion.
[00:38:18.731 --> 00:38:26.614]  They tried to hide, even from the jurors, the fact that he did the same thing a year before and almost died then from sudden ingestion of drugs.
[00:38:27.034 --> 00:38:36.121]  For example, the narrative has been that George Floyd was only at risk for being a misdemeanor, minor misdemeanor, of a $20 fake currency.
[00:38:36.722 --> 00:38:39.984]  That's not what George Floyd knew, and there's a reason why George Floyd panicked.
[00:38:40.004 --> 00:38:49.371]  Because what George Floyd knew is when they came up to the car, he's sitting there with his drug dealer, with felony possession of drugs in the car, and he doesn't know what else they have on him.
[00:38:49.732 --> 00:38:55.036]  And that's why he engaged in felony obstruction by consuming in a sudden manner
[00:38:55.596 --> 00:38:57.137]  The drugs themselves.
[00:38:57.297 --> 00:38:59.278]  And what was the prosecution's excuse for that?
[00:38:59.779 --> 00:39:15.668]  They claim that even though there's a photo of the pill on his tongue that was later found in the back of the squad car with his saliva and DNA on it, that it was partially chewed and digested and then the rest spit out, that that really wasn't what was in his mouth.
[00:39:16.128 --> 00:39:19.310]  That that's somehow what came off his shoe that just randomly was present.
[00:39:19.730 --> 00:39:22.812]  Instead, they were claiming it was gum or maybe food.
[00:39:23.490 --> 00:39:27.412]  That's how ludicrous the state has gone to make the claims they've made.
[00:39:27.452 --> 00:39:32.855]  They've made claims I have never seen the government make in a comparable context in history.
[00:39:33.335 --> 00:39:50.744]  And they're doing so because they need to gaslight the jury into a certain conclusion, gaslight the world into a certain conclusion in order to get there, just as they tried in the Zimmerman case, just as they tried in the Michael Brown case, just as they tried in the Tamir Rice case, just as they've tried in case after case after case.
[00:39:51.184 --> 00:39:52.665]  Almost all of these are rising since 2014.
[00:39:54.205 --> 00:40:06.310]  Indeed, if you use the imagery of BLM, you'll notice that they use a particular kind of fist that looks almost identical to the kind of fist used by the color revolutions that began in Serbia in 2003.
[00:40:07.171 --> 00:40:08.771]  And maybe that's not a coincidence.
[00:40:09.312 --> 00:40:14.834]  That maybe this is part of an ongoing regime change effort to displace American police
[00:40:15.686 --> 00:40:33.289]  With anybody that is politically loyal to American ideals and instead have a politicized Stasi-style police force that is willing with politicized prosecutors and politicized courts to engage in Soviet-style show trials to intimidate and terrorize the public.
[00:40:33.849 --> 00:40:35.831]  And that's what the Derek Chauvin trial is really about.
[00:40:35.891 --> 00:40:38.232]  It's not about a simple death in police custody case.
[00:40:59.006 --> 00:41:18.898]  It is instead about political revolution to change the nature of prosecutions in the United States, to change the nature of policing in the United States, and to send a message to the broader world, not only to uphold the media gaslighting narrative of what's been happening and occurring in the police context, particularly in the racial interaction context,
[00:41:19.418 --> 00:41:23.463]  But also to empower future Soviet-style show trials.
[00:41:23.763 --> 00:41:26.406]  It's the same reason the Soviets engaged in such show trials.
[00:41:26.707 --> 00:41:32.093]  It's the same reasons the Cuban government did it almost immediately after they seized power in the Castros in 1959 and 1960.
[00:41:34.215 --> 00:41:42.258]  Because it was meant to send a message to the broader public that you better keep your head down and do what you're told or you're going to be purged.
[00:41:42.579 --> 00:41:52.103]  Purged from the police, purged from the military, purged from civil society, purged from social media, purged from any ability to make a difference with your voice.
[00:41:52.583 --> 00:41:59.726]  Now, the fact that they are so scared of what a jury might do, the fact that they are so scared of what you, the ordinary person, might do,
[00:42:00.326 --> 00:42:12.064]  As a reminder, just as the greatest trick the devil ever pulled was convincing people he did not exist, the greatest trick the deep state ever pulled was convincing you that you could not resist.
[00:42:12.742 --> 00:42:24.671]  Indeed, you can find constitutional legal means to push back in the court of public opinion by doing things like supporting networks like InfoWars, which you can do at InfoWarsStore.com.
[00:42:25.111 --> 00:42:25.892]  Why does that matter?
[00:42:25.952 --> 00:42:26.953]  Why is that significant?
[00:42:26.973 --> 00:42:28.094]  Why is that consequential?
[00:42:28.434 --> 00:42:40.303]  Well, ask yourself, before they were waging these wars on police departments, on the prosecutor's offices, on the justice system, on the military, before we had these politically weaponized cases in the Capitol Hill context, who was the number one target?
[00:42:40.723 --> 00:42:50.774]  The number one target of the institutional actors, the gatekeepers, these clerisy of corruption that would like to impose their wills upon the rest of us was Alex Jones and Infowars.
[00:42:51.174 --> 00:42:52.396]  And that's not a coincidence.
[00:42:52.696 --> 00:42:53.677]  That's not mere chance.
[00:42:54.058 --> 00:42:55.299]  That's not mere circumstance.
[00:42:55.539 --> 00:42:56.200]  That was delivered.
[00:42:56.580 --> 00:43:10.367]  Because you are the tip of the spear for keeping accurate and honest information out there that can keep the public informed, keep the people awakened, and keep activism alive because it is the perception of power.
[00:43:10.407 --> 00:43:11.828]  Those same color revolutions.
[00:43:12.409 --> 00:43:20.742]  Taught based on the Albert Einstein Institution that it is the fifth pillar of perception of power that is key to the other four pillars of power.
[00:43:21.163 --> 00:43:24.808]  You remove that perception of power and the whole system collapses.
[00:43:25.229 --> 00:43:27.172]  Tyranny falls apart overnight.
[00:43:27.945 --> 00:43:40.588]  And that's what you can do by continuing to support InfoWars at InfoWarsStore.com and continuing to be able to be part of the process of keeping information alive and the revolution awake.
[00:43:41.168 --> 00:43:43.588]  I use products like Winter Sun every single day.
[00:43:44.008 --> 00:43:46.409]  I use products like Ultra 12 every single day.
[00:43:46.869 --> 00:43:49.090]  I use products like the coffee every single day.
[00:43:49.590 --> 00:43:55.671]  And because they're good product, it's the one place you can get healthier, wealthier and wiser in one clean step.
[00:43:56.215 --> 00:43:58.898]  When we come back, we'll talk about the next big issue.
[00:43:59.419 --> 00:44:02.002]  Sleepy Joe wants to go to war with Russia.
[00:44:04.165 --> 00:44:08.670]  Rallying patriots worldwide in defense of human liberty.
[00:44:09.211 --> 00:44:10.673]  It's Alex Jones.
[00:44:13.075 --> 00:44:15.136]  Welcome back to this Sunday Alex Jones Show!
[00:44:15.156 --> 00:44:17.337]  Special guest host today, Robert Barnes.
[00:44:18.078 --> 00:44:27.202]  Well, Owen Schroer was down at the border and met some very interesting personalities and people, including someone who had a famous photogenic moment at the border some years ago.
[00:44:27.643 --> 00:44:31.885]  Let's take a look at when Owen Schroer met AOC at the border.
[00:44:37.308 --> 00:44:37.608]  Hello.
[00:44:38.647 --> 00:44:46.813]  I am Alexandria Owen Cortez, and I'm down here at Biden's cage facilities.
[00:44:47.614 --> 00:44:48.675]  Kids in cages.
[00:44:49.375 --> 00:44:49.915]  Look at them.
[00:44:49.956 --> 00:44:51.557]  Look at all these kids in the cages.
[00:44:52.097 --> 00:44:55.099]  Nobody else cares except Alexandria Owen Cortez.
[00:44:56.460 --> 00:44:56.981]  Why?
[00:44:57.781 --> 00:44:58.842]  Why, Joe Biden?
[00:44:59.643 --> 00:45:00.884]  Why, Kamala Harris?
[00:45:01.564 --> 00:45:05.167]  Why do you do this to the kids, the poor kids?
[00:45:06.124 --> 00:45:06.524]  Why?
[00:45:06.544 --> 00:45:08.406]  The kids are being raped!
[00:45:09.527 --> 00:45:13.550]  You saw the girls, 12 years old, they're coming in, they're pregnant, Joe!
[00:45:14.370 --> 00:45:15.671]  They're pregnant, Kamala!
[00:45:15.691 --> 00:45:16.712]  What do you think happened to them?
[00:45:16.732 --> 00:45:18.794]  They got raped by your illegal immigrants!
[00:45:19.605 --> 00:45:22.607]  They got raped by the people you told to surge the border!
[00:45:23.367 --> 00:45:23.747]  Raped!
[00:45:23.827 --> 00:45:28.350]  Twelve-year-old girls, dozens of them, raped on the journey that you told them to go on, Joe!
[00:45:28.430 --> 00:45:28.930]  You did!
[00:45:29.390 --> 00:45:30.691]  Why do you do this, Joe?
[00:45:31.291 --> 00:45:32.532]  Why do you do this, Kamala?
[00:45:32.572 --> 00:45:33.692]  Why do you hate kids?
[00:45:34.493 --> 00:45:36.434]  Why do you hate the youth and the innocent, Joe?
[00:45:37.762 --> 00:45:38.943]  Where do they go, Joe?
[00:45:39.163 --> 00:45:40.365]  Why are you doing this, Joe?
[00:45:40.925 --> 00:45:42.687]  Americans are suffering, Joe.
[00:45:43.508 --> 00:45:44.649]  And you just don't even care.
[00:45:44.689 --> 00:45:47.592]  You're stacking the kids in cages like sardines.
[00:45:48.012 --> 00:45:50.535]  Like sardines, they're sleeping on top of one another.
[00:45:50.755 --> 00:45:55.200]  They're being put in hotels with strange men and you don't even do DNA testing.
[00:45:55.300 --> 00:45:56.060]  Why, Joe?
[00:45:56.721 --> 00:45:57.382]  Why, Joe?
[00:45:57.442 --> 00:45:59.123]  I've seen your cages, Joe.
[00:45:59.563 --> 00:46:03.826]  I've seen the cages that you put the kids in, Joe, while you're child trafficking, Joe.
[00:46:03.966 --> 00:46:06.868]  I saw it all, and Kamala's covering it up, Joe.
[00:46:07.368 --> 00:46:07.868]  Why?
[00:46:07.948 --> 00:46:09.329]  I've seen your cages, Joe.
[00:46:09.349 --> 00:46:11.531]  There's dozens of your cages, Joe.
[00:46:11.591 --> 00:46:12.932]  It's the kids, Joe.
[00:46:13.332 --> 00:46:19.956]  And they're all being raped and molested, and then they're reenacting the rape and molest in the cages that you put them in, Joe.
[00:46:19.996 --> 00:46:21.417]  You put them in, Kamala.
[00:46:21.497 --> 00:46:21.818]  Why?
[00:46:22.418 --> 00:46:22.918]  Why?
[00:46:23.219 --> 00:46:23.359]  Why?
[00:46:24.119 --> 00:46:24.839]  I'm just shooting a video.
[00:46:24.859 --> 00:46:25.520]  Don't worry about it, man.
[00:46:25.800 --> 00:46:26.720]  No, we're all good.
[00:46:26.800 --> 00:46:27.541]  Why, Joe?
[00:46:27.821 --> 00:46:28.661]  Why?
[00:46:29.402 --> 00:46:35.264]  Nobody cares about the kids except me, Alexandria Owen Cortez.
[00:46:35.744 --> 00:46:38.706]  Nobody is down here wailing against the system.
[00:46:38.786 --> 00:46:40.307]  I'm wailing against the system.
[00:46:40.627 --> 00:46:41.247]  Only me.
[00:46:41.727 --> 00:46:43.328]  Nobody else cares about the kids.
[00:46:43.908 --> 00:46:48.530]  How many kids will be sex trafficked by Joe Biden's pedophile agenda?
[00:46:50.211 --> 00:46:54.732]  Why is it only me, Alexandria Ocasio-Cortez?
[00:46:54.892 --> 00:46:55.712]  The kids!
[00:46:56.952 --> 00:46:58.112]  Oh, the kids!
[00:47:03.693 --> 00:47:12.355]  The media gaslighting that is occurring in the Chauvin trial is not limited or constricted to it, nor is it limited or constricted to the issues surrounding immigration either.
[00:47:13.115 --> 00:47:18.776]  The other aspect in which it is occurring on a major scale, which we'll get into after we come back from the break,
[00:47:19.566 --> 00:47:21.107]  is potentially World War Three.
[00:47:22.568 --> 00:47:38.498]  There has been a wild contradictory set of messages sent because of an internal battle within the Deep State due to Sleepy Joe not being any kind of governing president at all with any kind of clear directive set of policies beyond ones of triggering war.
[00:47:39.018 --> 00:47:41.560]  In this particular context, it is in Russia.
[00:47:42.000 --> 00:47:46.724]  Though it is only the latest hotspot to be a potential place to trigger war.
[00:47:47.084 --> 00:47:58.694]  There have been controversial positions taken by the Biden administration in Venezuela, in Bolivia, in Ethiopia, in Iran, throughout the Middle East, and in China and Taiwan.
[00:47:59.174 --> 00:48:06.060]  But the one that has been drawn the most attention, justifiably so, is the effort to escalate the conflict in Ukraine.
[00:48:07.399 --> 00:48:16.626]  One day, the Biden administration wants Putin and Russia to bail them out of the concerns involving Iran or China or North Korea.
[00:48:17.006 --> 00:48:19.728]  And in the next minute, they want to escalate conflict.
[00:48:20.209 --> 00:48:20.789]  Why is that?
[00:48:21.250 --> 00:48:25.433]  Well, it might be because of the people who are behind the Biden administration.
[00:48:25.773 --> 00:48:35.021]  The internal deep state fight that is occurring that can only occur because Sleepy Joe usually has to wait for nap time before he can come out to play.
[00:48:35.621 --> 00:48:41.907]  Indeed, it was so bad this past week, he wasn't even there for the Japanese Prime Minister when he arrived at the White House.
[00:48:42.508 --> 00:48:44.169]  He was apparently asleep again.
[00:48:44.790 --> 00:48:54.960]  So, he is constantly asleep in such a way that may endanger not only our future freedom, but that might bring us closer to the doomsday clock than we've been since 1961.
[00:48:55.080 --> 00:48:59.044]  When we come back, more on war with Russia.
[00:49:08.268 --> 00:49:10.549]  Waging war on corruption.
[00:49:10.909 --> 00:49:11.990]  It's Alex Jones.
[00:49:12.630 --> 00:49:16.011]  Coming to you live from the front lines of the InfoWars.
[00:49:20.393 --> 00:49:26.316]  Welcome back to Sunday's Alex Jones Show with special guest host today, myself, Robert Barnes.
[00:49:26.917 --> 00:49:37.206]  The next aspect we're going to get into is while they're doing deep damage to our criminal justice system, not only what's happening in the Chauvin trial, but also what's happening in Capitol Hill cases.
[00:49:37.907 --> 00:49:41.510]  We had Ashley Babbitt, who was killed right on the spot.
[00:49:41.991 --> 00:49:50.258]  Someone who was killed without warning, killed without notice, summary execution style, for what appeared to be mere trespass and damage to state property.
[00:49:50.734 --> 00:49:53.656]  There was no evidence she was threatening anyone's life at the time.
[00:49:53.996 --> 00:49:55.397]  She was trying to go through a door.
[00:49:55.837 --> 00:50:01.921]  And while that was wrongful conduct, criminal conduct, it was nowhere near as dangerous as what Dwayne White had done.
[00:50:02.381 --> 00:50:06.003]  It was not as felonious as what George Floyd was in the process of doing.
[00:50:06.583 --> 00:50:10.446]  It was not the pattern of criminal behavior that Ahmaud Arbery was involved in.
[00:50:10.906 --> 00:50:14.308]  And yet in each of those cases, there was a media outrage demanding
[00:50:15.713 --> 00:50:17.776]  The maximum criminal prosecution.
[00:50:18.236 --> 00:50:22.081]  Here we have an officer, still whose identity has been hidden from the public.
[00:50:22.822 --> 00:50:36.546]  Summarily executing a person for a very minor offense without notice or warning and with now without consequence, because that's the nature of our criminal justice process under this president and Joe Biden.
[00:50:36.986 --> 00:50:52.351]  And it is a problem that has been gurgling up and burgeoning for some time, but it is reaching new and perilous heights as we are witnessing in both the Ashley Babbitt case as contrasted to the Duane Wright, the Ahmaud Arbery and George Floyd cases.
[00:50:53.061 --> 00:51:06.609]  In the same context, we're having the drumbeats of war from the deep state start to come back and continue to get louder and louder after President Trump has exited from office and been replaced by Sleepy Joe.
[00:51:07.329 --> 00:51:13.233]  In this context, there are a couple of people who have done some really good analysis on what the backstory and what the background is.
[00:51:13.866 --> 00:51:26.660]  Why do the neoliberal deep state elites hate Russia so much, so irrationally, so unjustifiably, so without sound foreign policy reasoning, no matter your perspective on Russia in general?
[00:51:27.361 --> 00:51:48.540]  Well, here's a good episode or a good part of an episode from a show that you can find on YouTube and Rumble and other places called The Gaggle, hosted by Peter Lavelle and George Samueli, two longstanding international foreign policy observers who have a deeper and broader understanding than the institutional media does, particularly when it relates to matters of Central and Eastern Europe.
[00:51:48.960 --> 00:52:07.121]  Let's take a look at video clip number one about how Russia's conservative moral and social values and opposition to wokeism is a key reason why Biden administration hacks want to undermine it and sabotage it even if it has the risk of causing and triggering World War III.
[00:52:08.044 --> 00:52:12.850]  They abhor Russia because people here are nominally religious.
[00:52:13.330 --> 00:52:16.514]  The family is the center of all social interaction.
[00:52:17.015 --> 00:52:19.678]  Russians are fervently patriotic.
[00:52:20.539 --> 00:52:27.007]  And because of the last 30 years, they've traveled the world.
[00:52:27.509 --> 00:52:30.790]  They've seen what the world can offer, the good and the bad.
[00:52:31.350 --> 00:52:36.271]  And I'm very happy about that because then they come back and say, well, why can't we have good service in restaurants?
[00:52:36.511 --> 00:52:37.211]  Now they do.
[00:52:37.571 --> 00:52:39.652]  Why can't we have quality beef?
[00:52:39.792 --> 00:52:42.753]  Because when I first moved here, it was like leather shoes, OK?
[00:52:43.193 --> 00:52:46.213]  And now they have steakhouses all over the place.
[00:52:46.794 --> 00:52:48.234]  The world's taught them that.
[00:52:49.014 --> 00:52:51.096]  Take the best practices.
[00:52:51.676 --> 00:52:53.938]  But your post-modernist ideology?
[00:52:54.258 --> 00:52:55.199]  No thanks.
[00:52:55.620 --> 00:52:56.400]  No thanks.
[00:52:56.540 --> 00:53:00.584]  We see enough of it on your Netflix, which is translated into the Russian language.
[00:53:01.064 --> 00:53:01.244]  Nope.
[00:53:01.524 --> 00:53:03.106]  It's fun to watch from a bar.
[00:53:03.326 --> 00:53:04.046]  We don't want that.
[00:53:04.087 --> 00:53:05.648]  We don't want your ideology.
[00:53:05.928 --> 00:53:10.892]  And that's why when they talk about Russia's malign influence and Russia's malevolent influence,
[00:53:13.414 --> 00:53:20.240]  Yeah, because there are other countries that, you know, they may not like Russia's geopolitics, but they kind of like its cultural outlook.
[00:53:20.601 --> 00:53:25.225]  I mean, the most explicit practitioner of that is obviously Viktor Orban of Hungary.
[00:53:25.525 --> 00:53:26.446]  But there are other countries.
[00:53:26.486 --> 00:53:34.413]  I mean, Poland kind of goes along with the social and cultural moral values of Russia, even though they have this obsession about geopolitics.
[00:53:35.073 --> 00:53:42.156]  Uh, but the same goes for, you know, the Czechs, the Slovaks, you know, you know, basically they kind of like those conservative values.
[00:53:42.216 --> 00:53:46.718]  It's like up to 30, 35% of French people feel that way.
[00:53:46.738 --> 00:53:47.198]  Exactly.
[00:53:47.459 --> 00:53:47.799]  That's right.
[00:53:47.979 --> 00:53:50.160]  That's right.
[00:53:50.580 --> 00:53:54.522]  And it is, it is the, it's one of the interesting things is that
[00:53:55.487 --> 00:53:59.329]  During the FIFA World Cup, the U.S.
[00:53:59.409 --> 00:54:02.371]  team didn't do well enough to qualify to come to Moscow.
[00:54:02.671 --> 00:54:06.913]  And I truly regret that because I don't know anything about football slash soccer.
[00:54:06.933 --> 00:54:08.014]  I'm not interested in it.
[00:54:08.374 --> 00:54:16.218]  But I really wish thousands of Americans could have come to Moscow because I would go to the main streets
[00:54:16.718 --> 00:54:19.720]  During the weeks of the matches.
[00:54:20.060 --> 00:54:27.125]  And I would ask people, and particularly Brits and Germans, you know, and I'll tell you, George, almost without exception, I'd say, well, what do you think?
[00:54:27.545 --> 00:54:29.246]  As opposed to what your expectations were.
[00:54:29.486 --> 00:54:31.487]  And almost to the person, they lied to us.
[00:54:31.587 --> 00:54:32.688]  It's kind of nice here.
[00:54:32.928 --> 00:54:33.629]  People are nice.
[00:54:33.649 --> 00:54:35.069]  All the menus are in English.
[00:54:35.169 --> 00:54:36.550]  All the signs are in English.
[00:54:36.931 --> 00:54:38.351]  And the girls are really pretty.
[00:54:38.371 --> 00:54:45.416]  No, I think it's very interesting as to what will happen
[00:54:46.196 --> 00:54:48.638]  I mean, there's a chance of this.
