[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[00:40:34.485 --> 00:40:43.008]  That's kind of like probably the most mainstream interpretation of critical race theory, but there's other critical theories that are just as divisive that are out there.
[00:40:43.328 --> 00:40:55.533]  Critical gender theory is probably the second most common one, where they teach people that if you are male, that you're, again, the oppressor class, or if you're not that, then you are de facto the oppressed.
[00:40:55.693 --> 00:40:59.254]  But at Hasbro, I only experience critical race theory.
[00:41:01.673 --> 00:41:02.496]  When did this start?
[00:41:02.556 --> 00:41:06.067]  When did you first hear that you were supposed to go through this?
[00:41:08.145 --> 00:41:15.949]  Very shortly into my time at Hasbro, I just saw the meeting for Critical Race Theory on my calendar, and that was really the first time it came up.
[00:41:16.929 --> 00:41:32.696]  I've been aware that Hasbro has kind of done similar things based on Critical Race Theory before, like I think they have a, or not Critical Race Theory, but just Critical Theory, because they've done like Miss Monopoly before, which kind of pushes the tenets of Critical Gender Theory, arguably.
[00:41:34.495 --> 00:41:36.776]  It seems like at Hasbro it's still in its early stages.
[00:41:37.117 --> 00:41:44.361]  The Conscious Kid is trying to push that they want their ideology to be considered at every level from product design to marketing to packaging.
[00:41:45.261 --> 00:42:01.630]  So it seems like it's still in its infancy there, but if it continues, we're probably going to see it go down the same routes that it has at other companies like Nickelodeon, for example, showing children the trans BLM parade as some kind of virtue signaling.
[00:42:01.970 --> 00:42:03.191]  That being Blue's Clues,
[00:42:04.261 --> 00:42:06.043]  Yeah, on Blue's Clues, of all things.
[00:42:06.063 --> 00:42:07.085]  That's something I grew up with.
[00:42:07.425 --> 00:42:14.415]  Instead of teaching them colors and numbers, they're teaching them, you know, here's drag and LGBTQ, LMNOP, whatever.
[00:42:15.970 --> 00:42:19.591]  Well now, so many of the public schools, even private schools, don't teach reading, writing, arithmetic.
[00:42:19.631 --> 00:42:30.733]  They literally teach how to be divided, all this other weird stuff, which again, is going to create a tower, a babel, where no one identifies off what they produce and what they stand for.
[00:42:31.094 --> 00:42:37.035]  It'll all just be what group they're in, and that lets the leaders of those groups be like gang leaders and control everybody.
[00:42:39.241 --> 00:42:40.441]  It's absurd.
[00:42:40.621 --> 00:42:41.922]  Like, what is this?
[00:42:42.042 --> 00:42:44.382]  This is not something that children need to be exposed to.
[00:42:44.822 --> 00:42:51.783]  Children should just be able to play with toys and just focus on developing their fundamental skills, reading and understanding the world.
[00:42:51.823 --> 00:43:00.405]  They don't need all this divisive ideology to teach them to look at people differently and then rank them and treat them differently based on how they were born.
[00:43:01.085 --> 00:43:04.706]  It's just so absurd and it's really creepy.
[00:43:06.781 --> 00:43:11.365]  It's insanely creepy when you find out how many pedophiles, convicted pedophiles, are involved in it all.
[00:43:11.805 --> 00:43:14.787]  That how many of the toys are sexual in nature.
[00:43:15.308 --> 00:43:16.629]  Especially what Target sells.
[00:43:16.689 --> 00:43:22.793]  Target, like, bombards children's books and don't even tell you that it's serious, hardcore sexual content.
[00:43:23.394 --> 00:43:25.395]  And then, of course, now it's not just drag queen story time.
[00:43:25.475 --> 00:43:27.377]  It's not a joke, folks.
[00:43:27.497 --> 00:43:27.837]  It is.
[00:43:28.478 --> 00:43:32.261]  Rainbow dildo, butt monkey, and the man has a fake
[00:43:32.981 --> 00:43:38.226]  Genitals hanging down, fake butt, and a women's breast, and the children are supposed to come sit in his lap.
[00:43:38.286 --> 00:43:40.408]  I mean, what alternate universe is this?
[00:43:42.009 --> 00:43:46.853]  Yeah, that was in the UK, I think, but it shows just how far that this has spread.
[00:43:46.893 --> 00:43:51.577]  It's not just an issue for America, it's an issue that the entire West is facing.
[00:43:51.637 --> 00:43:59.364]  Like, in what world is it acceptable to have someone with a dildo between their legs teaching children how to read?
[00:44:00.936 --> 00:44:02.417]  What point does that serve?
[00:44:02.617 --> 00:44:09.103]  It really just seems like they're just either trying to shock people or groom children or some strange mix.
[00:44:09.143 --> 00:44:10.984]  Oh, they even say we're here to groom your children.
[00:44:11.084 --> 00:44:12.185]  We're here to have sex with them.
[00:44:12.865 --> 00:44:13.306]  Incredible.
[00:44:13.366 --> 00:44:21.652]  In closing, David Johnson, as this unfolds and as new stories come out, I'd love to have you on with your perspective about the three minutes, four minutes we've got left.
[00:44:22.013 --> 00:44:27.217]  What else would you like to impart to the viewers and listeners about this covert war going on at the corporate level?
[00:44:29.525 --> 00:44:32.968]  I want people to pay attention, first and foremost.
[00:44:33.368 --> 00:44:43.575]  Pay attention to what your children or your nieces or your nephews or little siblings are being exposed to because it's not just a toy company.
[00:44:43.755 --> 00:44:45.776]  It's in their media like Nickelodeon.
[00:44:46.417 --> 00:44:47.337]  It's in their schools.
[00:44:47.618 --> 00:44:49.098]  It's everywhere.
[00:44:49.159 --> 00:44:52.381]  People really need to be paying attention and cognizant of that.
[00:44:53.662 --> 00:44:58.505]  And I want people to feel that coming out is
[00:44:59.085 --> 00:45:04.268]  Very scary when you're speaking out against these big corporations, but you can do it, too.
[00:45:05.249 --> 00:45:05.849]  Be brave.
[00:45:06.630 --> 00:45:07.650]  Reach out to Veritas.
[00:45:08.051 --> 00:45:09.952]  VeritasTipsUpProtonMail.com.
[00:45:11.193 --> 00:45:13.214]  They've been helping me throughout this entire thing.
[00:45:13.254 --> 00:45:14.114]  They're really good people.
[00:45:15.775 --> 00:45:20.638]  We have to expose these creepy, divisive things that are spreading through our country.
[00:45:22.480 --> 00:45:23.340]  Powerfully said.
[00:45:23.480 --> 00:45:26.142]  Well, I tell you, what work did you do at Hasbro?
[00:45:28.139 --> 00:45:28.980]  Packaging engineer.
[00:45:29.100 --> 00:45:41.931]  So I was responsible for the design of their, like the boxes and crates for how they display packaging in both retail and just online store.
[00:45:41.951 --> 00:45:44.634]  Wow, that's a pretty important job.
[00:45:44.654 --> 00:45:47.056]  So you were probably pretty well paid.
[00:45:47.076 --> 00:45:48.337]  So you gave up a lot to Tawarnas.
[00:45:50.539 --> 00:45:50.919]  I did.
[00:45:51.880 --> 00:45:53.361]  My principles are not for sale.
[00:45:55.049 --> 00:45:59.531]  I think this is more important than me or more important than the consequences that I may face.
[00:46:00.751 --> 00:46:01.231]  Powerful.
[00:46:01.351 --> 00:46:02.392]  Alright, people should support you.
[00:46:02.432 --> 00:46:04.473]  GiveSendGo.com forward slash support.
[00:46:04.493 --> 00:46:07.094]  David, somebody ought to give this guy an engineering job.
[00:46:07.134 --> 00:46:07.734]  God bless you, sir.
[00:46:09.206 --> 00:46:09.546]  Thank you.
[00:46:30.680 --> 00:46:33.621]  That's why we try to make it easy for you to support InfoWars.
[00:46:33.641 --> 00:46:34.602]  We have a new way to do it.
[00:46:35.402 --> 00:46:39.323]  We have a new Save the Frogs InfoWars.com coffee mug.
[00:46:39.684 --> 00:46:40.864]  The coffee mug costs us about $4.
[00:46:41.444 --> 00:46:46.846]  We're selling it for $9.95, and with the $5, $6 we make, that funds the operation.
[00:46:47.246 --> 00:46:48.567]  It's at InfoWarsStore.com.
[00:46:48.587 --> 00:46:53.649]  You can buy a second one for $4.95 almost at cost when you get a second one to give as a gift.
[00:46:53.689 --> 00:46:56.150]  So two coffee mugs for $14.95 or one for $9.95 at InfoWarsStore.com.
[00:47:00.194 --> 00:47:02.135]  Save the Frogs Coffee Mug.
[00:47:02.175 --> 00:47:03.016]  It's a limited edition.
[00:47:03.036 --> 00:47:08.419]  We're gonna run 10,000 of these, and then we're gonna run 10,000 with a darker frog on there.
[00:47:09.099 --> 00:47:11.801]  So, I personally like the dark green frog, but this is a nice looking frog.
[00:47:12.061 --> 00:47:15.323]  And we have the frog t-shirts as well that are a best seller.
[00:47:15.343 --> 00:47:21.326]  Yeah, that's the one I really like, the darker green, or the more electric green, brighter green on the black's awesome.
[00:47:21.346 --> 00:47:22.407]  But I like the coffee mug as well.
[00:47:22.687 --> 00:47:25.188]  Not poo-pooing it, I'm just saying, it's a limited edition coffee mug.
[00:47:25.688 --> 00:47:27.970]  And separately, I told you we'd sell out of the X2 Spray.
[00:47:28.630 --> 00:47:30.511]  At 60% off, it's almost sold out.
[00:47:30.531 --> 00:47:32.232]  It'll be sold out today.
[00:47:32.773 --> 00:47:37.295]  And we have the X2, very same X2, but dropper for 40% off.
[00:47:37.335 --> 00:47:39.637]  It's the good halogen and it funds the Infowar.
[00:47:39.677 --> 00:47:41.498]  So please get all that at InfowarStore.com.
[00:47:41.518 --> 00:47:44.800]  I want to thank David Johnson again for coming on.
[00:47:45.140 --> 00:47:48.302]  Please support him so others have the courage to step forward as well.
[00:47:48.382 --> 00:47:51.544]  It's the whistleblowers, I believe, are the Achilles heel of the globalists.
[00:47:51.744 --> 00:47:52.545]  We're all whistleblowers.
[00:47:52.585 --> 00:47:55.287]  We've got to blow the whistle on evil and we have to stand up against it.
[00:47:55.307 --> 00:47:55.747]  We'll be right back.
[00:48:00.362 --> 00:48:15.826]  And if there was an outside threat like a Bin Laden, who was a known CIA asset in the 80s, running the Mujahideen War, and whose family builds all the military bases over in Saudi Arabia right now, and sits on the board of Iridium Satellite, he's the boogeyman they need in this Orwellian phony system.
[00:48:16.287 --> 00:48:18.867]  It has been lying dormant since the Patriot Act.
[00:48:19.447 --> 00:48:21.088]  These terrorists must be pursued.
[00:48:21.988 --> 00:48:23.028]  They must be defeated.
[00:48:24.169 --> 00:48:25.689]  And they must be brought to justice.
[00:48:26.129 --> 00:48:28.190]  Those weapons of mass destruction gotta be somewhere.
[00:48:29.674 --> 00:48:30.851]  Nope, no weapons over there.
[00:48:32.708 --> 00:48:35.429]  It became clear during the Obama administration.
[00:48:35.489 --> 00:48:42.031]  President Barack Obama signed the 2013 National Defense Authorization Act, despite threats that he might veto the bill.
[00:48:42.351 --> 00:48:51.094]  The 2012 version of the bill gave the military the power to arrest and hold people, including Americans, without charge and without the writ of habeas corpus.
[00:48:51.294 --> 00:48:52.855]  And now Washington, D.C.'
[00:48:52.835 --> 00:48:57.456]  's dirty little secret has been freed by a man of many secrets, Joe Biden.
[00:48:57.736 --> 00:49:00.057]  Americans are enemy number one.
[00:49:00.157 --> 00:49:01.398]  They weren't protesters.
[00:49:02.418 --> 00:49:04.361]  Don't dare call them protesters.
[00:49:04.641 --> 00:49:06.884]  They were a riotous mob.
[00:49:07.665 --> 00:49:08.626]  Insurrectionists.
[00:49:09.487 --> 00:49:10.708]  Domestic terrorists.
[00:49:11.589 --> 00:49:14.813]  The poison of racism has always existed in America.
[00:49:15.514 --> 00:49:19.018]  But over the past four years, it seems to have found new life.
[00:49:19.963 --> 00:49:32.450]  The FBI's view that the top domestic violent extremist threat comes from racially or ethnically motivated violent extremists, specifically those who advocate for the superiority of the white race.
[00:49:32.690 --> 00:49:45.898]  Those Americans opposing the views of the current administration and its legion of sycophantic power-hungry minions will be targeted in the name of misinformation or information that doesn't fit their narrative.
[00:49:46.238 --> 00:49:53.761]  For how long has the administration been spying on people's Facebook profiles looking for vaccine misinformation?
[00:49:53.781 --> 00:49:58.402]  Well, that was quite a loaded and inaccurate question, which I would refute.
[00:49:59.223 --> 00:50:08.686]  This is publicly open information, people sharing information online, just as you are all reporting information on your news stations.
[00:50:09.651 --> 00:50:19.523]  Okay, so these 12 people who you have on a list, 12 individuals, do they know that somebody at the Surgeon General's office is going through their profile?
[00:50:19.743 --> 00:50:22.546]  I'm happy to get you the citation of where that comes from.
[00:50:22.606 --> 00:50:24.028]  There's no secret list.
[00:50:24.488 --> 00:50:29.094]  I will tell you that these are people who are sharing information on public platforms on
[00:50:29.474 --> 00:50:32.577]  Facebook information that is traveling is inaccurate.
[00:50:32.917 --> 00:50:43.065]  Our biggest concern here, and I frankly think it should be your biggest concern, is the number of people who are dying around the country because they're getting misinformation that is leading them to not take a vaccine.
[00:50:43.266 --> 00:50:50.852]  In a recent statement from the executive office titled, Fact Sheet, National Strategy for Countering Domestic Terrorism,
[00:50:51.112 --> 00:51:02.796]  President Biden lays out a plan to enhance domestic terrorism analysis and improve information sharing throughout law enforcement at the federal, state, local, tribal, and territorial levels.
[00:51:02.896 --> 00:51:15.621]  Biden's statement goes on to designate the power of the federal government and homeland security to augment its efforts to address online terrorist recruitment and mobilization to violence by domestic terrorists
[00:51:16.021 --> 00:51:21.024]  Through increased information sharing with the technology sector, i.e.
[00:51:21.244 --> 00:51:28.149]  Silicon Valley, and the creation of innovative ways to foster digital literacy, i.e.
[00:51:28.689 --> 00:51:33.432]  censorship and build resilience to recruitment and mobilization.
[00:51:33.712 --> 00:51:42.320]  While improving employee screening to enhance methods for identifying domestic terrorists who might pose insider threats, i.e.
[00:51:42.400 --> 00:51:44.882]  the imagined white supremacist boogeyman.
[00:51:45.202 --> 00:51:58.935]  While DOD, DOJ, and DHS are similarly pursuing efforts to ensure domestic terrorists are not employed within our military or law enforcement ranks and improve screening and vetting processes.
[00:51:59.275 --> 00:52:03.717]  A wild goose chase that will put our national security at severe risk.
[00:52:04.217 --> 00:52:11.700]  Overreaching methods used to track down and prosecute an entire family that assumed they were protected by the First Amendment.
[00:52:11.820 --> 00:52:17.983]  To voice a redress of their grievances after rampant reports of voter fraud and clear intimidation.
[00:52:18.243 --> 00:52:27.326]  Federal investigators say that they have multiple videos and social media messages that indicate the family traveled from Borger, a small town just north of Amarillo, all the way to Washington, D.C.
[00:52:27.586 --> 00:52:36.748]  According to documents in the court, a day after the riot, a Facebook post from the mother says, quote, I was just thinking, tear gas tastes like freedom.
[00:52:37.128 --> 00:52:40.189]  All five family members now face multiple federal charges.
[00:52:40.569 --> 00:52:46.591]  From the corruption of a government that has abandoned its oath of office, John Barron reporting.
[00:52:47.222 --> 00:52:56.045]  Well, I just met her five minutes ago, and I'll just say this, I don't invite most of my guests out for dinner, but I said, I gotta take this lady with my wife out for dinner.
[00:52:56.065 --> 00:52:57.726]  She's really interesting.
[00:52:58.606 --> 00:53:06.909]  I remember seeing her up on TV with Trump, hearing about her story, five years in prison for something wrong with a car's title or something.
[00:53:06.929 --> 00:53:10.671]  I mean, even if they can put anybody they want in jail, why are all these non-violent people in jail?
[00:53:11.727 --> 00:53:13.890]  Trump said let nonviolent people out.
[00:53:14.010 --> 00:53:24.043]  Angela Stanton King wrote a bestseller, number one national bestseller, about her story and that helped get some of this criminal justice reform through then-President Trump.
[00:53:24.404 --> 00:53:26.006]  The Republicans basically got no credit for it.
[00:53:27.076 --> 00:53:28.898]  But then she was there on January 6th.
[00:53:28.938 --> 00:53:34.343]  She's got a new book out, Caught in the Coup, Angela Stanton King, national best-selling author.
[00:53:34.363 --> 00:53:35.163]  We're going to talk about that.
[00:53:35.183 --> 00:53:36.705]  So we have that shared experience.
[00:53:36.745 --> 00:53:44.392]  Then she ran for Congress in Georgia, saw the fraud for herself with the suitcases being pulled out, now confirmed to be premeditated fraud.
[00:53:45.032 --> 00:53:48.355]  She was a witness to that, so she's like everywhere all the time.
[00:53:49.316 --> 00:53:50.277]  I kind of feel like the same way.
[00:53:50.337 --> 00:53:52.079]  I keep like popping in these crazy things.
[00:53:52.319 --> 00:53:54.381]  Because when you're a man or woman in the arena, that's what happens.
[00:53:54.401 --> 00:54:00.266]  And then she's also been massively censored with her millions of online followers she had taken away from her.
[00:54:00.606 --> 00:54:03.889]  AngelaStantonEPK.com.
[00:54:04.270 --> 00:54:05.090]  It's great to have you here.
[00:54:05.671 --> 00:54:06.872]  Oh man, thanks Alex.
[00:54:07.212 --> 00:54:08.894]  It's a blessing to be here on your show today.
[00:54:09.234 --> 00:54:10.055]  Where should we start?
[00:54:10.075 --> 00:54:11.176]  Because there's so much to get into.
[00:54:11.796 --> 00:54:12.336]  Oh, wow.
[00:54:12.797 --> 00:54:14.037]  There's a lot to get into.
[00:54:14.057 --> 00:54:15.278]  Well, you told me a lot in five minutes.
[00:54:15.298 --> 00:54:16.298]  Just repeat that to the viewers.
[00:54:16.698 --> 00:54:17.098]  Wow.
[00:54:17.158 --> 00:54:19.239]  I'm just going to kind of follow suit.
[00:54:19.339 --> 00:54:26.562]  You know, I was fortunate enough to be able to work with Trump and his administration by way of my godmother, Dr. Alveda King.
[00:54:26.582 --> 00:54:28.503]  Oh, I forgot that part.
[00:54:28.683 --> 00:54:28.943]  Yep!
[00:54:29.063 --> 00:54:30.404]  See, there's so much!
[00:54:30.784 --> 00:54:34.807]  Yes, I actually met Alveda when I was released from prison and had nowhere to go.
[00:54:34.827 --> 00:54:47.775]  And this is kind of what made my switch from Democrat to Republican, because here I am a convicted felon, I can't get any government assistance, I can't get any help, so I've got no choice but to get up off of my butt and create a lifestyle for myself.
[00:54:48.255 --> 00:54:56.460]  And so I ended up meeting her on that journey, and then here we are, years later, in a Trump White House, fighting for criminal justice reform and using my story.
[00:54:56.920 --> 00:55:04.105]  I ended up going to prison for title fraud and in that process I was pregnant and I know a lot of people don't like to get into it but I'll spill it.
[00:55:04.185 --> 00:55:06.927]  I gave birth to my daughter, chained to a bed.
[00:55:07.228 --> 00:55:12.932]  And so not only after that I was released and had to go through a lot in order to get my life back on track.
[00:55:12.952 --> 00:55:16.795]  So how I got involved was everybody was crying about family separation.
[00:55:17.475 --> 00:55:18.435]  Um, at the border.
[00:55:18.796 --> 00:55:20.276]  And I was saying, hey, wait a minute.
[00:55:20.896 --> 00:55:24.197]  Why is nobody talking about family separation in the border?
[00:55:24.237 --> 00:55:34.001]  Because I was an American citizen chained to a bed with a sheriff watching when they snatched my daughter out of my arms and separated our family, and Trump was not president.
[00:55:34.121 --> 00:55:35.321]  It was for a non-violent crime.
[00:55:35.581 --> 00:55:36.481]  So I said, wait a minute.
[00:55:36.661 --> 00:55:38.602]  These people are full of crap.
[00:55:38.982 --> 00:55:43.824]  Trump said, hey, anybody that's interested in fighting for criminal justice reform, I'm here, I'll listen.
[00:55:44.364 --> 00:55:55.151]  I went in and told my story, was very, very instrumental in helping to pass the First Step Act, and the President also made it illegal for them to chain women to bed during childbirth because of my story.
[00:55:55.751 --> 00:55:58.773]  And he ended the cages down at the border that Obama had, but they still blame him.
[00:55:59.193 --> 00:56:04.817]  Still blame him for it, and forgot all about the kids in cages in juvenile detention centers across this nation.
[00:56:04.857 --> 00:56:08.459]  So to me it seemed like it was just all about jokes, you know?
[00:56:08.479 --> 00:56:10.901]  So I ended up getting a full pardon from the President,
[00:56:11.341 --> 00:56:16.065]  After getting a full pardon from the president, I ran for office because I wanted to make a difference.
[00:56:16.105 --> 00:56:17.867]  I wanted to use my story.
[00:56:17.927 --> 00:56:22.151]  All the Democrats are always talking about Black Lives Matter and the impact of black life.
[00:56:22.211 --> 00:56:23.192]  I said, well, wait a minute.
[00:56:23.472 --> 00:56:24.873]  You know, I'm from the hood.
[00:56:24.933 --> 00:56:25.854]  I was born in the hood.
[00:56:25.934 --> 00:56:28.877]  Everything that they're talking about, I've been able to overcome.
[00:56:28.897 --> 00:56:30.378]  So let me jump in this race.
[00:56:30.458 --> 00:56:34.221]  I ran for John Lewis's seat down there in Fulton County in Georgia's 5th District.
[00:56:34.642 --> 00:56:35.983]  Not only was our president cheated,
[00:56:36.383 --> 00:56:37.083]  But I was cheated.
[00:56:37.163 --> 00:56:39.044]  My campaign was completely suppressed.
[00:56:39.084 --> 00:56:40.705]  The media was completely biased.
[00:56:41.005 --> 00:56:47.448]  They wouldn't even allow me to promote or advertise any of my campaign videos through my social media.
[00:56:47.528 --> 00:56:51.169]  And now, nearly 1 million followers, completely deleted.
[00:56:51.469 --> 00:56:56.652]  Twitter, Instagram, backup Instagram account, and Facebook, all gone.
[00:56:57.672 --> 00:57:05.276]  And all that success and all the speeches and all the fame you weren't looking for built that for them, and then they just steal it from you.
[00:57:05.296 --> 00:57:05.796]  That's theft.
[00:57:06.276 --> 00:57:07.617]  And that's exactly what they do.
[00:57:07.657 --> 00:57:14.580]  They try to make it seem as if they've done the work, but they've been floating in the back community like that for a very long time, and it's time for us to wake up.
[00:57:16.280 --> 00:57:17.421]  Like I said, where to start?
[00:57:17.581 --> 00:57:21.183]  The whole point about Martin Luther King, what would he say about critical race theory?
[00:57:21.523 --> 00:57:25.565]  To me that looks like it's 180 degrees the opposite of what your
[00:57:27.059 --> 00:57:36.943]  I tell you what, the same daughter that I gave birth to, chained to a bed, just won the International Championship for the Harvard Debate Council, made history.
[00:57:37.263 --> 00:57:38.444]  This is two days ago.
[00:57:38.544 --> 00:57:44.026]  She did that because her mother told her that she could be anything that she wanted to be, that there are no limits.
[00:57:44.046 --> 00:57:54.691]  So had I allowed someone to teach my daughter that someone was better than her or that she would never make it, or if I took on that mindset myself, I would have never made it from the prison
[00:57:55.171 --> 00:58:00.234]  Wow, so what would your ancestor Martin Luther King Jr.
[00:58:00.254 --> 00:58:00.794]  say today?
[00:58:06.257 --> 00:58:09.118]  I don't think that he would agree at all with what's going on.
[00:58:09.138 --> 00:58:16.240]  And this is actually my godmother, Alveda King is the niece, but I don't think that he would agree at all with what's going on.
[00:58:16.280 --> 00:58:17.420]  It's not what he stood for.
[00:58:17.480 --> 00:58:26.483]  I mean, to me, when I look into some of these policies and I look into what Black Lives Matter stands for, and I know that it's actually against black life, I mean, it's complete
[00:58:26.883 --> 00:58:30.467]  This agenda is totally against even the creation of black life.
[00:58:30.507 --> 00:58:34.111]  These are the same people that are on the front lines of abortion.
[00:58:34.151 --> 00:58:39.216]  So how can you say black lives matter and not recognize the fact that black life begins in the womb?
[00:58:39.436 --> 00:58:40.538]  We have to wake up.
[00:58:41.414 --> 00:58:42.615]  And then look at Black Lives Matter.
[00:58:42.736 --> 00:58:44.598]  I mean, I look at these Antifa events and everything.
[00:58:44.658 --> 00:58:55.950]  It's all 90% white academics dressed up in black, and then they're in black neighborhoods trying to stir up a riot so they can literally use black people to burn down the country and then blame black people.
[00:58:56.011 --> 00:58:57.172]  I mean, it's pure evil.
[00:58:57.412 --> 00:59:02.974]  I mean, it reminds me so much of some of the things that were witnessed in the past with the KKK.
[00:59:03.014 --> 00:59:05.795]  I mean, why are they not burning down the influential white communities?
[00:59:06.095 --> 00:59:15.318]  They're coming in our communities, burning down the businesses that we own, completely destroying property and saying that they're doing it to save us, but nobody has come back to rebuild.
[00:59:15.699 --> 00:59:19.940]  These communities are still completely destroyed, and I don't see the benefit of it.
[00:59:20.060 --> 00:59:29.362]  I don't see anything that Joe Biden has done since, you know, there are a lot of black Democrats in office and black women like Stacey Abrams that want to take credit for putting Joe Biden in office.
[00:59:29.922 --> 00:59:32.643]  What has Joe Biden done to enhance black life?
[00:59:32.743 --> 00:59:40.625]  The only thing I've seen Joe Biden do is sign the Equality Act, which totally, totally, totally puts our children in harm's way.
[00:59:42.185 --> 00:59:42.665]  Amazing.
[00:59:43.065 --> 00:59:44.185]  I could listen to you all day.
[00:59:44.225 --> 00:59:45.266]  We've still got about 45 minutes left.
[00:59:45.286 --> 00:59:46.906]  We're going to go to break in about three minutes.
[00:59:48.149 --> 00:59:49.530]  What order then do you want to go through things?
[00:59:49.550 --> 00:59:50.431]  What happened at the Capitol?
[00:59:50.792 --> 00:59:52.613]  How you watched them steal the election in Georgia?
[00:59:52.653 --> 00:59:53.735]  Not just Trump's, but your own.
[00:59:53.755 --> 00:59:56.237]  I mean, there's so much to get into.
[00:59:56.978 --> 01:00:02.083]  We probably should start with what happened in the election and then go to January 6th, because I think it all led up to that.
[01:00:02.103 --> 01:00:02.503]  Let's do that.
[01:00:02.583 --> 01:00:02.983]  Let's do that.
[01:00:03.624 --> 01:00:04.324]  Start getting into it.
[01:00:04.604 --> 01:00:12.887]  So, again, with the campaign that I ran in Georgia for John Lewis's seat, I mean, complete, complete, absolute media bias.
[01:00:13.267 --> 01:00:18.849]  The woman that was hand-selected, Nakima Williams, by the Democrat, written in, refused to debate.
[01:00:19.369 --> 01:00:24.713]  I mean, there were more than 50 attempts to debate with this woman, and she would not debate at one time.
[01:00:25.114 --> 01:00:33.680]  Let alone that, she somehow managed to get more votes than John Lewis ever got in the history of his career, and no one had ever heard of her.
[01:00:33.740 --> 01:00:35.161]  She's not even an Atlanta native.
[01:00:35.482 --> 01:00:36.582]  She's from Alabama.
[01:00:37.003 --> 01:00:39.004]  I'm watching the election take place.
[01:00:39.024 --> 01:00:40.085]  I'm looking at the counts.
[01:00:40.185 --> 01:00:41.626]  I'm seeing them stop the vote.
[01:00:41.846 --> 01:00:44.348]  They're saying, hey... Water mainly now noted in break.
[01:00:44.368 --> 01:00:46.310]  Guys, show the footage of them grabbing the suitcases up.
[01:00:46.710 --> 01:00:53.932]  On the same day that they're having the election, in the same room, that somehow holds the ballots.
[01:00:53.992 --> 01:00:57.513]  I said, wait a minute, something here isn't right.
[01:00:58.113 --> 01:01:05.174]  After that, we saw plenty of video surface with Ruby Harris and her daughter, with her supervisor, and I guess her assistant.
[01:01:05.475 --> 01:01:08.195]  We saw suitcases being pulled out from up under tables.
[01:01:08.235 --> 01:01:10.056]  We saw ballots being run through twice.
[01:01:10.356 --> 01:01:11.016]  Not only that,
[01:01:11.716 --> 01:01:22.080]  Not only was I a candidate in that race, not only is my name on every ballot that Donald Trump's name is on, we also witnessed Republicans being locked out of counting centers.
[01:01:22.621 --> 01:01:28.423]  We saw boards being put up in the windows where they weren't even allowed to see them count.
[01:01:29.403 --> 01:01:35.926]  Somehow, there's also videos of ballots being dropped off in the middle of the night.
[01:01:35.986 --> 01:01:37.507]  And we're not supposed to ask questions about that.
[01:01:38.493 --> 01:01:39.773]  Why can't I ask questions?
[01:01:39.853 --> 01:01:43.454]  Stacey Abrams cried about being cheated by Governor Kemp.
[01:01:43.494 --> 01:01:44.634]  She's still crying about it.
[01:01:45.015 --> 01:01:49.596]  Why can't we ask questions without having our social media accounts suspended and banned?
[01:01:49.716 --> 01:01:50.856]  Let's talk about that effect, guys.
[01:01:50.896 --> 01:01:57.037]  Reprint me or pull me the new National Terrorism directed by Biden, because I want to show her this.
[01:01:57.057 --> 01:01:58.638]  You're so informed, probably already know about it.
[01:01:58.958 --> 01:02:03.459]  Did you know they've declared anybody who questions the election fraud a white supremacist?
[01:02:05.029 --> 01:02:06.730]  I'm so white, I don't know what to do.
[01:02:06.810 --> 01:02:09.652]  Every time I get in the morning, I see this white skin.
[01:02:09.692 --> 01:02:11.032]  I just don't know what to do.
[01:02:11.052 --> 01:02:13.293]  And you didn't like your election being stolen to your white supremacist.
[01:02:13.313 --> 01:02:14.314]  We're going to show that when we come back.
[01:02:14.594 --> 01:02:16.495]  This is crazy, but it's happened.
[01:02:16.875 --> 01:02:17.375]  Stay with us.
[01:02:17.395 --> 01:02:18.876]  They're stealing our whole country right now.
[01:02:19.136 --> 01:02:19.997]  Bunch of foreign banks.
[01:02:21.197 --> 01:02:28.161]  Angela Stanton King is our guest best-selling author, and she helped get prison reform through.
[01:02:29.602 --> 01:02:29.742]  Yep.
[01:02:29.982 --> 01:02:33.743]  And then she ran for Congress right there in Georgia and saw it stolen right there.
[01:02:33.763 --> 01:02:34.623]  Well, Trump got robbed.
[01:02:34.683 --> 01:02:35.663]  All that news is coming out.
[01:02:35.703 --> 01:02:38.944]  And then that leads to the Capitol, you were saying, and what happened there.
[01:02:39.104 --> 01:02:39.884]  But you hit the brake.
[01:02:39.904 --> 01:02:43.265]  You were still talking about what happened in Georgia, what you witnessed.
[01:02:43.305 --> 01:02:45.825]  Now they have to admit there was fraud, where they've done spot checks.
[01:02:46.165 --> 01:02:48.326]  Oh my gosh, 10,000, 20,000 ballots for Trump.
[01:02:48.686 --> 01:02:50.106]  Clearly it was stolen from them.
[01:02:50.146 --> 01:02:55.047]  But then how does it get reinstated when the whole political class doesn't want President Trump back?
[01:02:55.996 --> 01:03:01.201]  Um, you know, I think that there's just a group of powerful people that don't want President Trump.
[01:03:01.261 --> 01:03:04.404]  I think the majority of America wants President Trump back.
[01:03:04.524 --> 01:03:07.086]  And I say that because I was there to witness.
[01:03:07.386 --> 01:03:09.368]  I've been at several of his rallies.
