[00:00:00.069 --> 00:00:00.870]  But who knows?
[00:23:25.240 --> 00:23:26.460]  Just turn on the news.
[00:23:26.500 --> 00:23:27.521]  You'll see it every day.
[00:23:28.321 --> 00:23:31.123]  Under my administration, we stopped the child smugglers.
[00:23:31.832 --> 00:23:33.954]  We dismantled the criminal cartels.
[00:23:34.534 --> 00:23:40.319]  We greatly limited drug and human trafficking to a level that nobody actually thought was possible.
[00:23:40.760 --> 00:23:42.081]  And the wall helped us a lot.
[00:23:42.721 --> 00:23:49.747]  And we protected vulnerable people from the ravages of dangerous predators.
[00:23:49.867 --> 00:23:50.748]  And that's what they are.
[00:23:50.828 --> 00:23:53.150]  Dangerous, dangerous predators.
[00:23:53.928 --> 00:24:01.671]  But the Biden administration has put the vile coyotes back in business, and it has done so in a very, very big way.
[00:24:02.731 --> 00:24:07.853]  Under the new administration, catch and release has been restored.
[00:24:07.893 --> 00:24:08.574]  Can you imagine?
[00:24:09.294 --> 00:24:10.274]  We work so hard.
[00:24:10.374 --> 00:24:10.674]  Catch.
[00:24:10.714 --> 00:24:11.455]  You know where that is.
[00:24:11.495 --> 00:24:12.235]  You catch them.
[00:24:12.855 --> 00:24:13.716]  You take their name.
[00:24:14.436 --> 00:24:15.576]  They may be killers.
[00:24:15.636 --> 00:24:17.637]  They may be rapists.
[00:24:17.797 --> 00:24:19.598]  They may be drug smugglers.
[00:24:19.778 --> 00:24:22.519]  You take their name and you release them into our country.
[00:24:23.314 --> 00:24:24.335]  We did the opposite.
[00:24:24.936 --> 00:24:27.878]  We not only didn't release them, we had them brought back to their country.
[00:24:28.639 --> 00:24:36.546]  Illegal immigrants are now being apprehended and released along the entire southern border.
[00:24:36.566 --> 00:24:38.067]  It's worse than that.
[00:24:38.127 --> 00:24:39.108]  They're running ads.
[00:24:39.168 --> 00:24:43.252]  Biden is in Latin America saying, if you were a criminal, deported, come back.
[00:24:43.412 --> 00:24:45.194]  By the hundreds of thousands, by the millions they'll be coming.
[00:24:50.518 --> 00:24:55.060]  The Biden administration is now actively expediting... Alright, let's go to break.
[00:24:55.080 --> 00:24:56.080]  We'll come back where he left off.
[00:24:56.601 --> 00:24:57.961]  And just think about this, folks.
[00:24:57.981 --> 00:24:58.862]  The speech is ongoing.
[00:24:58.882 --> 00:24:59.442]  We're behind it.
[00:24:59.462 --> 00:25:00.202]  So we can go to our breaks.
[00:25:00.362 --> 00:25:01.503]  We can make commentary.
[00:25:02.995 --> 00:25:06.598]  Think about what a cool drink of water this is in the desert after a month and a week of Biden.
[00:25:06.698 --> 00:25:08.259]  I mean, it's just night and day, isn't it?
[00:25:08.980 --> 00:25:10.141]  I mean, wow.
[00:25:10.761 --> 00:25:12.302]  Trump got in, America's open for business.
[00:25:12.343 --> 00:25:15.025]  Now the globalists are here and they're like, no, you don't get to have a country.
[00:25:15.245 --> 00:25:15.765]  You're done.
[00:25:16.086 --> 00:25:16.506]  Great reset.
[00:25:16.526 --> 00:25:18.067]  We're going to bankrupt you by design.
[00:25:18.708 --> 00:25:21.290]  But finally, other world leaders and others are figuring this out.
[00:25:21.610 --> 00:25:23.411]  I've got incredible news next hour on that front.
[00:25:23.431 --> 00:25:23.872]  Stay with us.
[00:25:24.744 --> 00:25:31.967]  Winter Sun Plus is the highest grade of vitamin D3 you're going to find with vitamin K for your immune system, for your overall well-being.
[00:25:32.327 --> 00:25:38.530]  And it is 50% off with promo code SUN, S-U-N, at infowarestore.com.
[00:25:38.810 --> 00:25:43.412]  It's selling out, 50% off, promo code SUN at infowarestore.com.
[00:25:46.773 --> 00:25:51.255]  In 1955, the United States had roughly 56% of world wealth.
[00:25:54.019 --> 00:25:57.241]  And close to about 80% of all scientific development.
[00:25:57.541 --> 00:25:57.901]  Look it up.
[00:25:58.902 --> 00:26:01.143]  Now, we weren't stealing the wealth from the third world.
[00:26:01.223 --> 00:26:09.888]  We were producing industries and producing scientific procedures and formulas that were creating new economies everywhere.
[00:26:13.070 --> 00:26:20.575]  But by the 70s and 80s, the globalists came in and decided to shut down the US economy, to make deals with the Arabs to only buy oil from them,
[00:26:22.145 --> 00:26:24.306]  And to begin de-industrialization in the United States.
[00:26:25.627 --> 00:26:27.048]  And it never really got reversed.
[00:26:27.208 --> 00:26:28.209]  Reagan tried a little bit.
[00:26:29.489 --> 00:26:31.391]  George Herbert Walker accelerated it.
[00:26:31.451 --> 00:26:32.571]  Mr. New World Order speech.
[00:26:33.352 --> 00:26:34.492]  Bill Clinton made it even worse.
[00:26:34.553 --> 00:26:35.673]  Sold us out the Chinese.
[00:26:35.713 --> 00:26:42.838]  That's when the real collapse of our industry to China and our weapons systems and computer chips went there.
[00:26:43.638 --> 00:26:44.979]  Along with every other technology we had.
[00:26:46.246 --> 00:26:58.195]  The transfer was done on purpose by the globalists, because there they'd have a monolithic dictatorship to deal with, and the communist Chinese that didn't even have running water in most of their country or electricity were pleased as pie.
[00:27:01.457 --> 00:27:07.462]  But decades later, along came the Liberty Movement, along came Infowars, along came the Great Awakening, and
[00:27:08.936 --> 00:27:12.579]  The system tried to co-opt it with their Q systems and the rest of it, but they failed.
[00:27:13.059 --> 00:27:14.460]  But they were able to steal the election.
[00:27:14.700 --> 00:27:15.721]  It doesn't mean they're popular.
[00:27:16.301 --> 00:27:19.884]  It doesn't mean they're going to win, as long as you understand who they are and speak out against them.
[00:27:20.124 --> 00:27:25.868]  Let's go back to Trump's ongoing historic speech at CPAC.
[00:27:28.029 --> 00:27:34.174]  The Biden administration is now actively expediting the admission of illegal migrants
[00:27:34.981 --> 00:27:49.904]  Enabling them to large, frivolous asylum claims and admitting them by the thousands and thousands and thousands a day, crowded together in unsanitary conditions despite the ongoing economic and public health crisis.
[00:27:49.964 --> 00:27:52.905]  COVID-19 or, as I call it, the China virus.
[00:27:59.787 --> 00:28:00.767]  There's no masks.
[00:28:01.707 --> 00:28:02.807]  There's no double masks.
[00:28:02.867 --> 00:28:04.788]  That was a new one that came out two weeks ago.
[00:28:06.309 --> 00:28:11.071]  First, Fauci said, You don't need masks, no masks, no good, no good.
[00:28:11.191 --> 00:28:12.151]  Then all of a sudden you want them.
[00:28:12.191 --> 00:28:13.352]  Now he wants double masks.
[00:28:14.592 --> 00:28:16.073]  No social distancing.
[00:28:17.273 --> 00:28:17.873]  No nothing.
[00:28:18.554 --> 00:28:19.174]  No nothing.
[00:28:20.835 --> 00:28:21.555]  They're together.
[00:28:21.575 --> 00:28:23.195]  And it's sad, actually.
[00:28:23.235 --> 00:28:24.596]  And it's sad for them.
[00:28:24.676 --> 00:28:25.897]  And it's sad for our country.
[00:28:27.017 --> 00:28:29.358]  What the Biden administration is doing to push
[00:28:30.282 --> 00:28:36.626]  Young migrants into the hands of human traffickers and coyotes is dangerous, immoral and indefensible.
[00:28:36.986 --> 00:28:38.227]  Hard to believe it's happening.
[00:28:39.008 --> 00:28:44.731]  Biden has failed in his number one duty as chief executive enforcing America's laws.
[00:28:49.414 --> 00:28:58.260]  This alone should be reason enough for Democrats to suffer withering losses in the midterms and to lose the White House.
[00:28:59.389 --> 00:29:01.610]  Decisively, four years from now.
[00:29:21.820 --> 00:29:26.122]  Again, ladies and gentlemen, you're watching coverage of President Trump's ongoing live speech.
[00:29:28.613 --> 00:29:31.496]  We're about 20 minutes behind because we are going through the live show.
[00:29:31.536 --> 00:29:34.999]  Actually, as you know, they just lost the White House, but it's one of those things.
[00:29:36.460 --> 00:29:37.241]  But who knows?
[00:29:38.783 --> 00:29:39.503]  Who knows?
[00:29:40.464 --> 00:29:44.428]  I may even decide to beat them for a third time, okay?
[00:29:44.448 --> 00:29:45.248]  Yeah!
[00:29:45.289 --> 00:29:49.913]  Yeah, he just came out and said it was a fraud again.
[00:29:50.133 --> 00:29:51.354]  Football spike, bitches.
[00:29:51.614 --> 00:29:51.935]  Boom.
[00:29:55.700 --> 00:29:56.100]  And pause.
[00:29:56.460 --> 00:29:59.422]  This is key, because again, he started 10 minutes early.
[00:29:59.602 --> 00:30:01.703]  Trump never starts early, he usually starts 5-10 minutes late.
[00:30:02.163 --> 00:30:04.685]  So we were going to, the show's going to start at 4, 5 Eastern, right?
[00:30:04.705 --> 00:30:07.426]  We were going to carry it, but we're pausing it as we go.
[00:30:07.786 --> 00:30:13.169]  Again, his speech is ongoing, way towards the end right now, but we're going to play most of it here today, and of course a lot of it tomorrow.
[00:30:14.460 --> 00:30:20.381]  I'm seeing this in live time right now, and I was saying to the crew earlier, he needs to come out and say the election was fraudulent.
[00:30:20.661 --> 00:30:30.723]  Because they were going to do a 25th Amendment, they were going to do the impeachment, they probably actually had the votes to convict him, and McConnell told him, you better shut up and say you lost or we're going to do this to you.
[00:30:31.243 --> 00:30:34.984]  But now they have no leverage over him, so he needs to double back and just expose it all!
[00:30:35.544 --> 00:30:36.464]  And so he's doing it!
[00:30:36.884 --> 00:30:39.385]  He beat him once, he beat him twice, he'll beat him three times!
[00:30:39.785 --> 00:30:40.545]  This is awesome!
[00:30:40.565 --> 00:30:41.105]  Let's continue.
[00:30:48.294 --> 00:30:48.754]  I love it!
[00:30:49.895 --> 00:30:50.335]  Woo!
[00:30:52.836 --> 00:30:53.677]  Now you're talking!
[00:30:55.458 --> 00:31:05.163]  Joe Biden defunded the border wall and stopped all future construction, even on small open sections that just needed to be finished up.
[00:31:05.443 --> 00:31:06.443]  Routine little work.
[00:31:06.803 --> 00:31:07.764]  It's already been bought.
[00:31:08.539 --> 00:31:15.402]  Wait till the contractors get to him and they say, no, it costs us much more money not to finish the small section than if we finished it.
[00:31:15.442 --> 00:31:16.243]  That's going to be nice.
[00:31:16.303 --> 00:31:18.824]  Wait till you see those bills start pouring in.
[00:31:19.684 --> 00:31:23.666]  He revoked the executive order cracking down on deadly sanctuary cities.
[00:31:24.266 --> 00:31:30.069]  He has effectively ordered a shutdown of ICE, halting virtually all deportations.
[00:31:30.249 --> 00:31:32.830]  Everyone, murderers, everybody, no more.
[00:31:32.870 --> 00:31:34.171]  Let's not deport people.
[00:31:35.097 --> 00:31:39.099]  And restricting our law enforcement professionals, and they are great professionals.
[00:31:39.119 --> 00:31:46.423]  You have many of them represent here today from conducting almost any immigration enforcement of any kind.
[00:31:47.624 --> 00:31:50.626]  The Biden policy of releasing criminals into the U.S.
[00:31:50.746 --> 00:32:02.152]  interior is making America into a sanctuary nation where criminals, illegal immigrants, including gang members and sex offenders, are set free into American communities.
[00:32:03.317 --> 00:32:05.057]  They have no idea who's coming up.
[00:32:05.157 --> 00:32:17.740]  And remember, with the caravans, these countries, not only the three of them, but many, many countries all over the world, they're not giving us their best and their finest, because they're intelligent.
[00:32:18.440 --> 00:32:21.461]  They're not giving us their best and their finest.
[00:32:21.521 --> 00:32:22.461]  Remember I said that.
[00:32:23.101 --> 00:32:31.543]  I said that a long time ago, when I made the first remarks, when I came down the escalator with our great future First Lady.
[00:32:35.720 --> 00:32:36.481]  He says hello.
[00:32:36.501 --> 00:32:39.603]  He loves you as much as I love you.
[00:32:39.623 --> 00:32:45.708]  But I said that a long time ago, and we turned out to be 100% correct.
[00:32:47.389 --> 00:32:50.832]  Biden's radical immigration policies aren't just illegal.
[00:32:51.732 --> 00:32:56.836]  They're immoral, they're heartless, and they are a betrayal of our nation's core values.
[00:32:56.956 --> 00:32:58.558]  It's a terrible thing that's happening.
[00:33:00.819 --> 00:33:02.701]  The Republican Party must hold
[00:33:03.450 --> 00:33:06.072]  Joe Biden and the Democrats accountable.
[00:33:06.933 --> 00:33:15.499]  They ripped up the diplomatic agreements we negotiated with Honduras, Guatemala, and El Salvador to shut down illegal immigration.
[00:33:16.840 --> 00:33:17.981]  You know, they got a fortune.
[00:33:18.001 --> 00:33:21.264]  They got paid $500 million a year.
[00:33:22.064 --> 00:33:30.431]  When I came into office, those countries were refusing to take back illegal alien gang members, including MS-13, the most vicious
[00:33:31.249 --> 00:33:32.290]  Probably of them all.
[00:33:32.650 --> 00:33:38.232]  No matter where you go in the world, MS-13, they do things that even the worst don't think about.
[00:33:39.333 --> 00:33:42.034]  So I ask, how much do we pay these countries?
[00:33:43.455 --> 00:33:44.575]  How much do we pay them?
[00:33:45.275 --> 00:33:49.698]  Sir, we pay them approximately 500 million dollars a year.
[00:33:49.718 --> 00:33:50.478]  That's a lot of money.
[00:33:52.419 --> 00:33:57.021]  I mean, it's peanuts compared to the way other countries rip us off, but that's a lot of money.
[00:33:58.553 --> 00:33:58.953]  I said, okay.
[00:34:20.120 --> 00:34:34.910]  That even Cancun and these places that were safe zones in Mexico are not safe now because Guatemala and Nicaragua and all those other places have such serious gangs that they're coming in and just shooting and killing the Mexican police, the military, they can't even deal with it.
[00:34:35.190 --> 00:34:38.233]  Because the gangs are far worse in Central America than they are in Mexico.
[00:34:38.273 --> 00:34:42.716]  As bad as you think Mexico is, it's one of the richest countries in Latin America.
[00:34:42.936 --> 00:34:45.518]  In fact, for third world countries, Mexico's at the very top.
[00:34:46.258 --> 00:34:47.659]  It's almost on a third world country.
[00:34:47.719 --> 00:34:49.960]  It's got more rich people per capita than the U.S., by the way.
[00:34:50.600 --> 00:34:52.581]  Oh yeah, just they got an elite that doesn't give people any money.
[00:34:52.821 --> 00:34:55.922]  Doesn't let them have a middle class job like Trump wants to do.
[00:34:56.082 --> 00:34:58.904]  So that's why Trump hit it off with the new Mexican president who's trying to do those reforms.
[00:34:59.124 --> 00:35:01.245]  We're going to come back and play more of this on the other side.
[00:35:01.265 --> 00:35:03.326]  But wow, don't you miss Trump now?
[00:35:03.806 --> 00:35:06.527]  Five weeks after he left, Biden doesn't know what planet he's on.
[00:35:06.927 --> 00:35:07.587]  I'm Alex Jones.
[00:35:07.607 --> 00:35:08.708]  This is the InfoWar.
[00:35:09.008 --> 00:35:10.028]  Tomorrow's news today.
[00:35:10.249 --> 00:35:12.390]  InfoWars.com.
[00:35:12.430 --> 00:35:13.030]  Spread that link.
[00:35:15.117 --> 00:35:18.679]  The people of America, the people of the world, are taking their power back.
[00:35:19.039 --> 00:35:27.123]  And one way of doing it is locking up your cell phone when you're not using it so it's not tracking your location for contact tracers, the UN, the globalists, and hackers.
[00:35:27.523 --> 00:35:30.144]  And normally we sell out of these at $19.95.
[00:35:30.545 --> 00:35:32.866]  But we're selling them at $14.95 right now.
[00:35:33.146 --> 00:35:34.447]  That's 50% off retail.
[00:35:34.827 --> 00:35:39.069]  Get these Privacy Pockets today at InfowarsStore.com while you still can.
[00:35:39.409 --> 00:35:43.812]  And I almost forgot, you gotta use promo code PRIVACY to get that discount.
[00:35:44.032 --> 00:35:46.154]  Promo code PRIVACY for the Privacy Pocket.
[00:35:48.235 --> 00:35:49.937]  Well, huge takeaways so far.
[00:35:50.457 --> 00:35:53.359]  Welcome back to the Sunday Night Edition of the Alex Jones Show.
[00:35:53.379 --> 00:35:55.601]  4 to 6 p.m.
[00:35:55.641 --> 00:35:55.981]  Central.
[00:35:56.041 --> 00:36:00.904]  Owen Schroer is coming in with Sunday Live, 6 to 8 p.m.
[00:36:01.965 --> 00:36:03.766]  And that show has half as many commercials.
[00:36:03.867 --> 00:36:05.728]  We only run the local commercials for stations.
[00:36:05.768 --> 00:36:06.949]  We get rid of the network commercials.
[00:36:07.449 --> 00:36:13.112]  I have too many partnerships with other networks to get rid of our commercials here, but that is in the works.
[00:36:14.013 --> 00:36:17.314]  But he will be airing, obviously, large excerpts of the speech as well.
[00:36:17.654 --> 00:36:18.355]  It's still ongoing.
[00:36:18.375 --> 00:36:19.415]  The President's still speaking.
[00:36:20.136 --> 00:36:23.538]  Israel began bombing Syria right when his speech began.
[00:36:23.558 --> 00:36:27.320]  So we'll be talking more about that coming up as we learn more.
[00:36:28.465 --> 00:36:29.706]  In the next hour.
[00:36:30.547 --> 00:36:38.432]  But out with the peace president, in with the war president, and I'm sure that makes the left really happy, because you know they love everything destructive.
[00:36:40.077 --> 00:36:44.080]  But the big takeaway so far is him saying, maybe I'll run and win a third time.
[00:36:44.620 --> 00:36:47.642]  So he's saying he's thinking about running again in three and a half years.
[00:36:48.142 --> 00:36:49.463]  Really, the election will start in about two.
[00:36:50.143 --> 00:36:51.304]  The way things start so early now.
[00:36:52.165 --> 00:36:54.266]  And he said, I won the last election.
[00:36:54.666 --> 00:36:56.828]  So that is two big victories right there.
[00:36:56.868 --> 00:36:58.189]  He's saying, boy, don't you miss me.
[00:36:58.589 --> 00:37:00.090]  You've seen how bad Joe Biden is.
[00:37:00.130 --> 00:37:01.411]  He's saying worse than I thought.
[00:37:02.031 --> 00:37:09.176]  Well, when Trump went ahead and stood down because they were threatening 25th Amendment on him, he said, I hope, Biden, you won't dismantle what we did because you know it's good.
[00:37:09.276 --> 00:37:12.077]  But he's a Chinese communist agent, so he had to do it.
[00:37:13.158 --> 00:37:19.162]  Let's go ahead and go back ongoing to where we left off in the president's historic CPAC 2021 speech.
[00:37:21.584 --> 00:37:25.206]  I said, OK, we aren't going to pay them anymore.
[00:37:26.195 --> 00:37:28.057]  Because they wouldn't take back the criminals.
[00:37:28.157 --> 00:37:30.779]  And this was true with the Obama administration.
[00:37:30.859 --> 00:37:32.460]  It was true for many, many years.
[00:37:32.480 --> 00:37:33.221]  I'm on the border.
[00:37:33.881 --> 00:37:35.082]  So we'd catch a murderer.
[00:37:35.122 --> 00:37:40.247]  We'd want to bring him back to Guatemala, Honduras, El Salvador.
[00:37:40.627 --> 00:37:41.428]  They wouldn't take him back.
[00:37:41.468 --> 00:37:42.308]  No, we don't want him.
[00:37:43.089 --> 00:37:43.749]  We'd fly him in.
[00:37:43.769 --> 00:37:44.970]  They wouldn't let the plane land.
[00:37:45.030 --> 00:37:45.691]  We'd bus him in.
[00:37:45.731 --> 00:37:48.093]  They wouldn't let the buses get anywhere near the border.
[00:37:49.414 --> 00:37:51.055]  And I said, we're not going to pay him anymore.
[00:37:52.156 --> 00:37:54.058]  So after I said that and I stopped payment,
[00:37:54.656 --> 00:37:57.899]  You know, like a term that we use in the world of business.
[00:37:57.919 --> 00:37:58.800]  Let's stop payment.
[00:37:59.381 --> 00:38:00.422]  So we stopped payment.
[00:38:02.123 --> 00:38:02.964]  They were delinquent.
[00:38:03.525 --> 00:38:04.446]  We stopped payment.
[00:38:05.066 --> 00:38:07.749]  And they very quickly came to the table and we made a deal.
[00:38:07.809 --> 00:38:08.530]  Very quick deal.
[00:38:09.771 --> 00:38:10.912]  We still kept the money.
[00:38:10.952 --> 00:38:14.756]  We still didn't pay because we made a deal.
[00:38:18.883 --> 00:38:29.090]  And when illegal aliens came across our border, they were rapidly deported and lovingly accepted by those countries from where they came.
[00:38:30.671 --> 00:38:32.952]  And it worked out great, so now they accept the people.
[00:38:33.552 --> 00:38:40.177]  And then we ultimately got along very well with those countries, those three countries, and many countries throughout the world, because they respected us again.
[00:38:40.417 --> 00:38:41.397]  They didn't respect us.
[00:38:41.918 --> 00:38:43.779]  They couldn't believe what they were getting away with.
[00:38:46.266 --> 00:38:50.067]  But now Joe Biden has wrecked this great deal, wrecked it.
[00:38:51.088 --> 00:38:54.969]  And they're already doing what they were doing before, and they're taking the money.
[00:38:55.869 --> 00:38:59.631]  And that's just a small portion of what's going on.
[00:38:59.671 --> 00:39:00.671]  To top it all off,
[00:39:01.505 --> 00:39:10.189]  The Biden people are pushing a bill that would grant mass amnesty for millions of illegal aliens, while massively expanding chain migration.
[00:39:10.229 --> 00:39:12.550]  That's where you come in and everybody comes in.
[00:39:12.590 --> 00:39:16.932]  Your grandmother, your father, your mother, your brother, your cousins.
[00:39:17.753 --> 00:39:19.814]  They come in so easily.
[00:39:19.934 --> 00:39:21.174]  So, so crazy.
[00:39:21.635 --> 00:39:22.175]  So crazy.
[00:39:23.268 --> 00:39:24.770]  It even requires that the U.S.
[00:39:24.810 --> 00:39:29.354]  government provide illegal border crossings with taxable, funded lawyers.
[00:39:29.634 --> 00:39:30.014]  Lawyers.
[00:39:30.075 --> 00:39:31.136]  Anybody need a good lawyer?
[00:39:31.176 --> 00:39:31.956]  You can't have one.
[00:39:32.277 --> 00:39:33.097]  They get the lawyers.
[00:39:33.137 --> 00:39:33.758]  They get lawyers.
[00:39:33.798 --> 00:39:35.139]  They're probably very good, too.
[00:39:35.860 --> 00:39:38.903]  The Democrat immigration bill is a globalist corp.
[00:39:39.924 --> 00:39:41.886]  You take a look at the corporatists.
[00:39:42.626 --> 00:39:47.391]  Big tech attack on hardworking citizens of every race, religion, color and creed.
[00:39:48.183 --> 00:39:59.468]  And Republicans must ensure that it never is allowed to become federal law, which is what they want to do.
[00:40:00.228 --> 00:40:00.868]  That's key.
[00:40:01.348 --> 00:40:02.949]  Biden's doing all this outside of law.
[00:40:03.289 --> 00:40:06.010]  Ending the borders, not deporting criminals, murderers, rapists.
[00:40:06.030 --> 00:40:07.191]  I mean, it's insane.
[00:40:08.456 --> 00:40:09.997]  But it's how you collapse a country.
[00:40:10.618 --> 00:40:15.641]  I want to say some things here before we start the next hour, and we'll play some more excerpts as the speech goes on.
[00:40:15.661 --> 00:40:24.808]  And I know Owen's going to have some of those big excerpts and some of the really amazing money shots, as they call them, with Trump really releasing bombshell after bombshell.
[00:40:24.848 --> 00:40:26.569]  But I want to hit a couple things first.
[00:40:27.810 --> 00:40:37.558]  I've got a whole bunch of articles out of Canada, Australia, the UK, and one out of Germany, like this big report at InfoWars.com.
[00:40:38.592 --> 00:40:41.674]  But I really hope you'll go and get and I hope you'll share with friends and family and neighbors.
[00:40:42.054 --> 00:40:50.019]  Because you know, I've been demonized by the mainstream media in tens of thousands of reports and hundreds and hundreds, actually thousands of TV attack pieces as well.
[00:40:51.140 --> 00:40:53.241]  And so a lot of people say, oh, I can't listen to Alex Jones.
[00:40:53.281 --> 00:40:54.082]  I was told he's evil.
[00:40:54.102 --> 00:40:54.842]  I was told he was bad.
[00:40:54.882 --> 00:40:55.743]  But if you send them...
[00:40:57.079 --> 00:41:10.747]  British or Australians, you know, who speak English or Canadian newscasters, who lay out quotes and videos of the globalists saying, we want to starve the third world, we want to bring in world government, we want to bring in a world currency.
[00:41:11.568 --> 00:41:12.708]  People will really wake up.
[00:41:13.469 --> 00:41:18.032]  And that's the reason this is important, is it shows how our analysis of this sounds horrible.
[00:41:18.952 --> 00:41:19.633]  Because it is horrible.
[00:41:20.433 --> 00:41:21.514]  And it's scary to say,
[00:41:23.533 --> 00:41:24.454]  It's authoritarian.
[00:41:24.494 --> 00:41:25.654]  It wants to get rid of the middle class.
[00:41:25.935 --> 00:41:35.021]  It wants to bankrupt you so it can make you accept forced inoculations and global digital passports and no fireplaces and no farming and no gas and no electricity.
[00:41:35.441 --> 00:41:38.763]  That's the plan to get us down to net zero carbon.
[00:41:39.003 --> 00:41:40.765]  It's called a post-industrial world.
[00:41:41.085 --> 00:41:46.408]  That's an agenda 21 made law by the United Nations in Rio de Janeiro in 1992.
[00:41:46.809 --> 00:41:49.410]  And George Herbert Walker Bush signed on to it.
[00:41:49.590 --> 00:41:53.233]  Congress never ratified it, but the bureaucracy implemented it.
[00:41:55.094 --> 00:42:06.380]  Just like you see Joe Biden getting rid of the borders and releasing rapists and arsonists and murderers outside of law.
[00:42:06.481 --> 00:42:07.441]  It's the bureaucracy.
[00:42:08.482 --> 00:42:11.363]  So Corey Bernardi is an amazing host.
[00:42:11.403 --> 00:42:12.624]  They got a bunch of them in Australia.
[00:42:13.525 --> 00:42:16.166]  And we're going to play about a six minute clip of him next hour.
[00:42:16.706 --> 00:42:18.487]  Socialism on a global scale.
[00:42:18.868 --> 00:42:22.590]  Sky News host demolishes Davos elites and great reset scheme.
[00:42:24.602 --> 00:42:25.803]  And he does it in six minutes.
[00:42:25.843 --> 00:42:33.629]  So I hope you go to mfowards.com and I hope that you share this for yourself because it's extremely powerful.
[00:42:33.930 --> 00:42:36.812]  That sounds like I said it, but again, he's probably not listening to me.
[00:42:37.052 --> 00:42:38.453]  He can read what the Globalist said.
[00:42:38.493 --> 00:42:38.994]  He quotes them.
[00:42:40.253 --> 00:42:42.054]  He says this is a total threat to you and your family.
[00:42:42.275 --> 00:42:46.778]  They want to bankrupt you, put you on a universal income, so they can dictate every aspect of your life.
[00:42:46.978 --> 00:42:49.240]  And that's what Klaus Schwab and Bill Gates say.
[00:42:49.480 --> 00:42:52.002]  They are real James Bond villains.
[00:42:52.862 --> 00:42:54.784]  And the sooner people figure that out, the better.
[00:42:55.784 --> 00:42:56.565]  Here's the other news.
[00:42:56.685 --> 00:43:00.728]  Syrian army says Israel attacks areas around southern Damascus.
[00:43:01.449 --> 00:43:08.554]  This might suggest the strikes and Israeli response to what is believed to be an Iranian attack on Israeli-owned ship in the Gulf of Oman on Thursday.
[00:43:09.855 --> 00:43:12.878]  So that's all started to heat up there as well.
[00:43:13.639 --> 00:43:14.840]  Now, I'm gonna bring this up.
[00:43:15.701 --> 00:43:22.228]  We are, again, it's a famous Alex Jones saying, my son always says it as a joke, he wants to start a podcast called I'm Not Bragging.
[00:43:23.489 --> 00:43:24.149]  I'm not bragging.
[00:43:25.100 --> 00:43:27.943]  In fact, I'm a target, and to even say this is dangerous, okay?
[00:43:28.624 --> 00:43:32.569]  But the globalists know how authoritative and how influential we are.
[00:43:32.929 --> 00:43:36.713]  Not just for the general public, but with thought leaders here and across the planet.
[00:43:37.114 --> 00:43:38.936]  You can probably imagine who listens to the show.
[00:43:38.996 --> 00:43:39.797]  I'm not going to name-drop.
[00:43:40.578 --> 00:43:42.540]  One of them died just a week and a half ago.
[00:43:43.201 --> 00:43:43.982]  He listened every day.
[00:43:45.623 --> 00:43:45.844]  Okay?
[00:43:47.455 --> 00:43:51.518]  So this is not about bragging, it's about understanding this broadcast is a brain trust.
[00:43:51.598 --> 00:43:53.779]  This broadcast does not have corporate sponsorship.
[00:43:53.819 --> 00:44:01.784]  This broadcast is hunted and lied about and demonized because we go to the source documents and we're over the target so we're getting the most flack.
[00:44:02.685 --> 00:44:09.870]  We've got great products you already need, but there is not any operation out there that is more hardcore.
[00:44:09.890 --> 00:44:16.354]  Trump's great and Trump's got a lot of power and he's a populist and we love him, but he isn't as hardcore when it comes to the info.
[00:44:17.628 --> 00:44:19.753]  And it's Stephen Miller and others that are writing his speeches.
[00:44:21.717 --> 00:44:25.366]  Here, we develop the talking points and the resistance to the enemy.
[00:44:26.263 --> 00:44:28.084]  So we're in a major leadership role.
[00:44:28.164 --> 00:44:28.885]  I wear every hat.
[00:44:29.145 --> 00:44:30.466]  I'm a populist rabble-rouser.
[00:44:30.546 --> 00:44:31.286]  I'm a journalist.
[00:44:31.587 --> 00:44:32.207]  I'm a father.
[00:44:32.307 --> 00:44:33.188]  I'm a pundit.
[00:44:33.308 --> 00:44:34.168]  I'm a comedian.
[00:44:34.569 --> 00:44:35.609]  I'm a talk show host.
[00:44:35.809 --> 00:44:46.076]  But what I really do is general historical points on how to defeat the New World Order at a technical level to the establishment that's not totally globalist.
[00:44:46.336 --> 00:44:51.120]  And I convince them that it's a better path for their children and others to not go with the transhumanist movement.
[00:44:51.480 --> 00:44:55.963]  And I am directly communicating with the higher echelons of every major system.
[00:44:56.724 --> 00:44:57.024]  Alright?
[00:44:57.124 --> 00:45:01.088]  And so by the grace of God, I'm able to do that, and by the grace of God, they tune in.
[00:45:02.849 --> 00:45:05.632]  That's why all glory goes to God, but we need to stay on air.
[00:45:05.812 --> 00:45:07.174]  So, as Hunter S. Thompson said...
[00:45:08.507 --> 00:45:09.968]  Pray to God, but row away from the rocks.
[00:45:10.068 --> 00:45:14.671]  Or as a Bedouin saying says, trust in God, but tie up your camel.
[00:45:15.192 --> 00:45:17.874]  So, we have Fortify Your Supply Mega Sale.
[00:45:18.374 --> 00:45:19.054]  Rarely do this.
