[00:00:00.782 --> 00:00:04.684]  This is a Monday evening emergency broadcast.
[00:29:09.536 --> 00:29:11.239]  Monday emergency transmission.
[00:29:12.389 --> 00:29:14.130]  Big article on InfoWars.com.
[00:29:14.851 --> 00:29:16.672]  I saw a video yesterday about this.
[00:29:17.173 --> 00:29:33.905]  We played it today, and I confirmed that there was a big conference in California, and that they had a bunch of lawyers there, and that they did file this lawsuit, and that they have found not just the VAERS reporting system, but 10 other reporting systems.
[00:29:34.565 --> 00:29:37.948]  And the full video is linked in this article on InfoWars.com.
[00:29:39.215 --> 00:29:43.939]  And I'm sure it's going to be taken down, just like the lawyers say, so we'll try to save it and put it at banned on video.
[00:29:43.959 --> 00:29:46.821]  But let me read you some of this right now.
[00:29:47.202 --> 00:29:54.908]  Huge whistleblower says at least 45,000 people died from experimental COVID jab just in the first rollout of it.
[00:29:55.469 --> 00:30:02.675]  And that's only those who died in the first three days of receiving the injection, which all I have is open phones, people saying everybody was dying.
[00:30:04.079 --> 00:30:06.721]  Remember, this is out of 330 million, so that sounds like a lot.
[00:30:06.761 --> 00:30:07.782]  It's not, but it's still bad.
[00:30:08.362 --> 00:30:09.783]  New lawsuit filed against U.S.
[00:30:09.803 --> 00:30:13.405]  Department of Health and Human Services Secretary Xavier Becerra.
[00:30:13.746 --> 00:30:14.966]  And then it goes on from there.
[00:30:15.207 --> 00:30:20.971]  Testimony to add proof of 45,000 Americans have died within three days of receiving the COVID-19 shot.
[00:30:21.271 --> 00:30:26.814]  The declaration comes as part of a new lawsuit filed Monday by American frontline doctors against U.S.
[00:30:26.835 --> 00:30:28.295]  Department of Health and Human Services.
[00:30:29.392 --> 00:30:33.557]  We're back here with Dr. Brian Harris.
[00:30:33.597 --> 00:30:39.504]  We did an interview with him and he wasn't able to release the numbers at 3 o'clock.
[00:30:39.564 --> 00:30:41.987]  So 3 o'clock today right here in Anaheim.
[00:30:42.007 --> 00:30:42.728]  What happened Brian?
[00:30:48.374 --> 00:30:59.987]  As confirmed today by Thomas Renz that just filed federal papers in a lawsuit against the government, 45,000 confirmed dead from the COVID-19 shots within three days so far, and they've covered it up.
[00:31:02.245 --> 00:31:08.686]  45,000.
[00:31:02.505 --> 00:31:08.686]  The VAR's data has only reported 11,000, but there's 11 different report systems into the government.
[00:31:09.487 --> 00:31:12.287]  One of them alone has 45,000 that they have not released or told you.
[00:31:12.567 --> 00:31:18.509]  And Thomas Rins has got the paperwork, has the whistleblower, has the sworn affidavit, and they've actually already filed a lawsuit today.
[00:31:18.689 --> 00:31:19.269]  It's not a game.
[00:31:19.289 --> 00:31:19.569]  Stay tuned.
[00:31:19.589 --> 00:31:20.589]  It's disgusting.
[00:31:20.949 --> 00:31:28.851]  And now they want to push on every child, and they've passed a law that by September of this year, by the fall, they will be able to vaccinate every 5-year-old in America before they go to school.
[00:31:29.751 --> 00:31:31.633]  45,000 confirmed dead from one reporting system.
[00:31:31.914 --> 00:31:34.456]  Breaking news right here on the MG Show from Anaheim, California.
[00:31:34.476 --> 00:31:35.277]  Thank you, Dr. Ardis.
[00:31:35.297 --> 00:31:36.518]  Thanks for tuning in, Matrix Group.
[00:31:36.558 --> 00:31:36.899]  Boom.
[00:31:37.199 --> 00:31:38.941]  Google, YouTube, Facebook, Twitter.
[00:31:39.361 --> 00:31:41.323]  Let me tell you what I'm going to say.
[00:31:42.705 --> 00:31:48.651]  You are complicit in causing death, and I cannot wait to sue you over and over again.
[00:31:50.103 --> 00:32:06.048]  Regarding the sworn declaration under threat of perjury by the omnibus whistleblower, Reina said, I know, and they signed an affidavit, based on the woman's testimony because she's since inside the system, there have been 45,000 deaths based on how many people died within three days of the vaccine.
[00:32:06.408 --> 00:32:11.429]  Keep in mind this is data compiled by just one government system created to track vaccine adverse reactions.
[00:32:11.709 --> 00:32:12.809]  Yeah, the health departments know.
[00:32:13.490 --> 00:32:14.390]  And it goes on from there.
[00:32:15.816 --> 00:32:17.758]  Ladies and gentlemen, they've made their big move.
[00:32:18.219 --> 00:32:19.981]  They're not doing stuff incrementally anymore.
[00:32:20.381 --> 00:32:22.744]  They decided to attack with full force now.
[00:32:23.605 --> 00:32:32.115]  And because Bill Gates woke everybody up with how evil he was in all his past depopulation talk, they removed him a few months ago and I said watch.
[00:32:34.178 --> 00:32:37.680]  We have an archive, let's hope they can find this, but Lister saw me say it at least 500 times.
[00:32:38.301 --> 00:32:41.623]  The Rockefeller Foundation, with the Carnegie, runs it all.
[00:32:42.223 --> 00:32:43.384]  And I said, they run the medical.
[00:32:43.724 --> 00:32:54.590]  I said, they will step in to full command because they control the Bill and Melinda Gates Trust, the IBM Trust, and a bunch of other trusts that are worth trillions.
[00:32:55.011 --> 00:33:00.034]  And their main mission, sworn mission, is to carry out eugenics in the population.
[00:33:00.754 --> 00:33:03.837]  This is a big issue of misinformation, specifically on the pandemic.
[00:33:03.857 --> 00:33:09.441]  In terms of actions, Alex, that we have taken, or we're working to take, I should say, from the federal government,
[00:33:21.551 --> 00:33:25.875]  We've increased disinformation research and tracking within the Surgeon General's office.
[00:33:26.196 --> 00:33:30.640]  We're flagging problematic posts for Facebook that spread disinformation.
[00:33:30.920 --> 00:33:42.051]  We're working with doctors and medical professionals to connect two connected medical experts who are popular with their audiences with accurate information and boost trusted content.
[00:33:42.311 --> 00:33:44.453]  So we're helping get trusted content out there.
[00:33:44.773 --> 00:33:46.475]  A couple of the steps that we have
[00:33:47.095 --> 00:33:48.156]  We're good to go.
[00:34:00.948 --> 00:34:02.250]  And the audience it's reaching.
[00:34:02.970 --> 00:34:03.871]  Also with the public.
[00:34:04.052 --> 00:34:04.752]  With all of you.
[00:34:05.653 --> 00:34:11.039]  To create robust enforcement strategies that bridge their properties and provide transparency about rules.
[00:34:11.079 --> 00:34:18.387]  You shouldn't be banned from one platform and not others for providing misinformation out there.
[00:34:19.738 --> 00:34:27.263]  We have to come to grips with the fact that we're up against a scientific evil that gets drunk off the death of innocent people.
[00:34:27.823 --> 00:34:33.766]  We have to repent for the fact that we've allowed abortion and that we devalued our most young and defenseless humans.
[00:34:34.967 --> 00:34:42.492]  And we have to know that God has forgiven us, but only so that we can take political and cultural and spiritual action against these people.
[00:34:43.453 --> 00:34:53.643]  So if you will humble yourself, as King David said, and repent to God and ask God to lead God and direct you and ask God to take you over, because God doesn't possess people.
[00:34:53.683 --> 00:34:56.225]  You've got to ask via free will for God to direct you.
[00:34:56.686 --> 00:34:57.266]  It will happen.
[00:34:57.286 --> 00:35:01.510]  And then I have no doubt that we will not defeat this evil.
[00:35:02.251 --> 00:35:05.113]  But we first have to admit where we are.
[00:35:06.052 --> 00:35:09.433]  We have to realize the medical system's been taken over and it's compromised.
[00:35:09.933 --> 00:35:12.094]  We have to realize that the federal government's been hijacked.
[00:35:12.654 --> 00:35:23.378]  We have to realize that this evil is prosecuting a depopulation agenda against us because the globalists had lost with Bolsonaro and Trump and all these patriots getting elected.
[00:35:23.818 --> 00:35:25.818]  And people were waking up and rejecting their system.
[00:35:26.139 --> 00:35:29.960]  So they've directed a war against us because we want to be independent.
[00:35:30.020 --> 00:35:30.820]  We want to be human.
[00:35:31.120 --> 00:35:33.061]  We want to be strong to poison us.
[00:35:33.701 --> 00:35:36.782]  And dumb us down and bring us under their control.
[00:35:37.823 --> 00:35:51.449]  So we have to realize their declaration of war against us, which I'm about to cover, is not something we cower to, but something we understand is the fact that they're an outside enemy and so that's why they've declared us an enemy.
[00:35:52.169 --> 00:35:56.691]  And that submitting to them and going along with them is only going to make things worse.
[00:35:57.752 --> 00:36:02.974]  And that you're going to come to that realization sooner rather than later if we have any chance of beating this.
[00:36:04.361 --> 00:36:07.183]  Submission to tyranny is enslavement.
[00:36:07.884 --> 00:36:09.845]  Resistance to tyranny is victory.
[00:36:11.066 --> 00:36:14.669]  We have to realize that America has been captured at the top.
[00:36:15.389 --> 00:36:27.338]  We have to tell our friends and family, we have to reject it, and we have to stand firm realizing that the globalists cannot have an America existing in the type of corporate worldwide tyranny they're setting up.
[00:36:27.839 --> 00:36:28.740]  Here are some of the stories.
[00:36:29.320 --> 00:36:31.782]  Now they're saying Republican Party.
[00:36:33.228 --> 00:36:36.812]  Is the number one national security threat to the United States of America.
[00:36:37.132 --> 00:36:37.653]  Here's another one.
[00:36:37.693 --> 00:36:38.234]  Bombshell.
[00:36:39.295 --> 00:36:43.400]  Pentagon using Obama and Soros linked UK contractor.
[00:36:44.790 --> 00:36:46.731]  I'm going to tell you this, Jason.
[00:36:46.751 --> 00:36:49.493]  I've spent my whole career not as a political operative.
[00:36:49.513 --> 00:36:53.956]  I've never worked on a campaign in my life other than campaigning against Trump.
[00:37:10.567 --> 00:37:11.728]  I'm a national security guy.
[00:37:11.748 --> 00:37:15.371]  I've worked in national security against ISIS and Al Qaeda and Russia.
[00:37:15.692 --> 00:37:22.357]  And the number one national security threat I've ever seen in my life to this country's democracy is the party that I'm in, the Republican Party.
[00:37:22.497 --> 00:37:25.440]  It is the number one national security threat to the United States of America.
[00:37:25.740 --> 00:37:28.583]  And I'll tell you this, if my party retakes the U.S.
[00:37:28.623 --> 00:37:32.106]  House of Representatives in the next cycle, it's going to become a haunted house.
[00:37:32.546 --> 00:37:35.889]  And the ghoul in the specter haunting that house is going to be Donald Trump.
[00:37:36.089 --> 00:37:37.050]  And if Kevin McCarthy's
[00:37:37.552 --> 00:37:42.716]  It is a normal reaction to being dominated, to being enslaved, to being lied to, to get angry, and to stand up and say no to it.
[00:38:01.485 --> 00:38:05.470]  So for those of you that have supported us, I thank you and I appreciate you.
[00:38:05.710 --> 00:38:14.801]  But for those of you out there who I really care about, who don't get why I have so much energy, who don't get why I'm so upset, you're asleep.
[00:38:15.742 --> 00:38:19.026]  You've been put into a globalist, satanic trance.
[00:38:19.667 --> 00:38:22.508]  Where you don't understand that you're under attack.
[00:38:23.188 --> 00:38:25.069]  It is the animating contest of liberty.
[00:38:25.469 --> 00:38:27.209]  It's realizing that freedom isn't free.
[00:38:27.609 --> 00:38:30.830]  And it's engaging those tyrants that makes us who we are.
[00:38:31.591 --> 00:38:33.671]  So this is a great time to be alive.
[00:38:34.271 --> 00:38:35.632]  It's an incredible time to be alive.
[00:38:36.212 --> 00:38:42.414]  This is a time to save your fellow humans and challenge yourself and stand up against really corrupt evil individuals.
[00:38:42.994 --> 00:38:45.415]  Really corrupt evil powers or principalities.
[00:38:46.383 --> 00:38:54.372]  And I'm only encouraging you to realize how important you are right now and to not sit idly by and be a spectator during all of this.
[00:38:56.554 --> 00:38:57.055]  That said...
[00:38:58.370 --> 00:39:02.955]  The world ID is here, the world government is here, there's no longer any doubt about where this is going.
[00:39:03.676 --> 00:39:19.473]  And anybody that submits and takes the digital tattoo, or takes the implantable chip that Klaus Schwab and the Davos group is pushing, anybody that thinks you're going to just take the shot and then they're going to let you go out and be free, notice they're saying, oh that shot didn't work, we got more shots for you.
[00:39:21.035 --> 00:39:23.577]  Because this is a group that's decided to be evil.
[00:39:24.057 --> 00:39:26.119]  This is a group that's decided to try to play God.
[00:39:26.579 --> 00:39:35.546]  This is a group that wants to use the whole population of the world as guinea pigs for their scientific testing so they can try to gain immortality through life extension.
[00:39:37.888 --> 00:39:38.728]  And so that's why I'm here.
[00:39:39.889 --> 00:39:46.114]  I'm here tonight to tell you that I appreciate you and I thank you and I want you to realize how powerful you are and I want you to realize that
[00:39:47.495 --> 00:39:54.352]  If you don't take action now, and if you don't speak out now, and if you don't fight now, you forfeit your chance!
[00:39:55.745 --> 00:39:56.686]  To be part of history.
[00:39:56.926 --> 00:39:59.968]  You forfeit your chance in front of God to say no to these people.
[00:40:00.248 --> 00:40:04.991]  You forfeit your chance to actually be a free, sentient being with conscious energy.
[00:40:05.291 --> 00:40:06.872]  Because if you don't do this, you are an animal.
[00:40:07.252 --> 00:40:08.033]  You're lower than an animal.
[00:40:08.233 --> 00:40:09.354]  An animal will fight for its life.
[00:40:09.974 --> 00:40:13.536]  If you delude yourself because we have incredible power to imagine.
[00:40:13.957 --> 00:40:16.618]  We can imagine jet airplanes and cures to cancer.
[00:40:16.778 --> 00:40:18.860]  We can imagine going to the moon and we've done it.
[00:40:19.633 --> 00:40:25.897]  But you have also the power to delude yourself and to give yourself a virtual reality that none of this is bad and this isn't destructive.
[00:40:26.577 --> 00:40:28.198]  I've already told you what was coming.
[00:40:28.498 --> 00:40:31.780]  It's happened just like I told you because the enemy's battle plans are there.
[00:40:32.041 --> 00:40:32.901]  They think you're an animal.
[00:40:33.061 --> 00:40:33.822]  They think you're dumb.
[00:40:34.182 --> 00:40:35.062]  I don't think you are.
[00:40:36.063 --> 00:40:37.384]  I think you have a right to be aware of this.
[00:40:37.844 --> 00:40:39.145]  And in final closing,
[00:40:40.896 --> 00:40:49.565]  They're already giving pregnant women all over the world the injections and 70 to 80% plus are having violent miscarriages when they take it.
[00:40:51.387 --> 00:40:53.209]  In New England medical journal studies, you name it.
[00:40:54.270 --> 00:40:56.652]  And they're now coming after children that have been born.
[00:40:57.193 --> 00:41:01.857]  And if we don't fight this and if we don't stand up against this, the blood is on our hands.
[00:41:02.557 --> 00:41:03.998]  So that's it for this special report.
[00:41:04.098 --> 00:41:05.239]  Thanks for keeping us on the air.
[00:41:05.680 --> 00:41:11.744]  Please take this emergency report and share it via email and text message while you still can.
[00:41:11.784 --> 00:41:16.848]  And to all you magnifying InfoWars, you are the tip of the spear and I love you and I appreciate you.
[00:41:17.109 --> 00:41:19.951]  And I thank Rob News for staying up here late tonight to get this report out.
[00:41:20.695 --> 00:41:21.416]  So I've laid it all out.
[00:41:21.436 --> 00:41:22.397]  I've done the best I can.
[00:41:22.417 --> 00:41:25.860]  I hope you take action with this information and we'll have big news tomorrow.
[00:41:26.340 --> 00:41:33.846]  We've got this doctor that's running this lawsuit that we just talked about reporting the 45,000 dead in the first three days from the COVID shots.
[00:41:34.247 --> 00:41:36.208]  We're going to ferret that out and cover that as well.
[00:41:36.528 --> 00:41:37.689]  Weekdays 11 a.m.
[00:41:37.750 --> 00:41:42.173]  Central at freeworldnews.tv and infowars.com.
[00:41:42.373 --> 00:41:42.914]  Thank you so much.
[00:41:53.561 --> 00:41:59.663]  But if people go to MyPillow.com, you have amazing sheets, towels, not just pillows.
[00:42:00.603 --> 00:42:02.364]  You've got your amazing towel pack.
[00:42:02.484 --> 00:42:07.386]  It's, what, $109 for $39.95 with promo code ALEX.
[00:42:07.766 --> 00:42:08.926]  You're barely bringing any money there.
[00:42:08.966 --> 00:42:11.507]  People should purchase it there to fund what you're doing.
[00:42:11.547 --> 00:42:12.047]  They should help.
[00:42:12.387 --> 00:42:13.868]  Buy it at $109 for $39.95.
[00:42:15.609 --> 00:42:19.130]  That's a huge discount by you, and I'm told all other products
[00:42:20.026 --> 00:42:22.707]  Up to 66% off with promo code Alex.
[00:42:23.307 --> 00:42:26.647]  So promo code A-L-E-X at MyPillow.com.
[00:42:27.108 --> 00:42:32.269]  And I'm just super excited to tell my listeners to go support you and get great products.
[00:42:32.309 --> 00:42:40.130]  Because if they don't fund this war effort, if they don't back us up and pray for us and spread the word and support us financially, the globalists are going to win.
[00:42:40.190 --> 00:42:42.211]  So again, people got to put
[00:42:42.851 --> 00:42:43.972]  Fuel in your tank.
[00:42:43.992 --> 00:42:46.594]  You are taking the Globalist on toe-to-toe.
[00:42:46.934 --> 00:42:49.416]  And if we don't energize you, well, then we deserve to lose.
[00:42:49.716 --> 00:42:52.178]  So tell folks about these amazing towels.
[00:42:52.238 --> 00:42:55.620]  I don't even want to do this today, but two weeks ago, you sent this to me.
[00:42:55.900 --> 00:42:58.122]  Tell us about the towels, the sheets, all the products.
[00:42:59.298 --> 00:43:01.599]  Well, the towels are the best towels in history.
[00:43:01.639 --> 00:43:02.679]  They actually dry you.
[00:43:02.719 --> 00:43:05.620]  They don't feel like the ones that are all lotion-y.
[00:43:05.660 --> 00:43:06.160]  They work.
[00:43:06.561 --> 00:43:08.321]  These are the towels you've seen on TV.
[00:43:08.361 --> 00:43:09.401]  The best towels ever.
[00:43:09.962 --> 00:43:11.262]  Made with our Southern U.S.
[00:43:11.322 --> 00:43:12.042]  cotton, too.
[00:43:12.683 --> 00:43:13.843]  And they're normally $199.99.
[00:43:16.984 --> 00:43:19.145]  I am doing this for this show coming on.
[00:43:19.205 --> 00:43:25.209]  So it's only this one's only going to be like a 24 hour special for $39.99 with promo code Alex.
[00:43:25.749 --> 00:43:29.431]  And then all the other products, our sheets are on sale right now.
[00:43:30.152 --> 00:43:33.714]  The mygeza sheets, but you have 110 products.
[00:43:33.774 --> 00:43:35.155]  That's one thing we've been able to
[00:43:35.615 --> 00:43:36.216]  We're good to go.
[00:44:05.755 --> 00:44:08.957]  I mean, this is like it's a wonderful life.
[00:44:08.977 --> 00:44:10.638]  I mean, literally a Jimmy Stewart story.
[00:44:10.698 --> 00:44:12.699]  You are standing up.
[00:44:12.919 --> 00:44:16.161]  I'm in the same boat as you at a lower level.
[00:44:25.506 --> 00:44:25.866]  Right.
[00:44:25.886 --> 00:44:26.046]  Right.
[00:44:26.166 --> 00:44:26.287]  Right.
[00:44:26.367 --> 00:44:26.547]  Right.
[00:44:55.866 --> 00:44:56.667]  Some of these products.
[00:44:58.028 --> 00:45:03.953]  Yeah, you've got the Giza Dream Sheets and you've got, they're a two for one low price for free shipping.
[00:45:04.333 --> 00:45:07.175]  We've got, we've got our pillow, the premium pillow.
[00:45:07.195 --> 00:45:08.356]  I put that on sale too.
[00:45:08.696 --> 00:45:10.718]  I passed all the savings right on to you.
[00:45:10.758 --> 00:45:13.480]  So I think they're normally $69.99, the queen size for $29.99.
[00:45:16.002 --> 00:45:21.865]  All of these are the lowest prices, the two of the thousands and the pillow, the lowest price I've ever had in history.
[00:45:21.945 --> 00:45:24.647]  And we've got, we've got also, we've got bath robes.
[00:45:24.687 --> 00:45:29.009]  We've got these slippers that, that I, this took over a year to invent these slippers.
[00:45:29.029 --> 00:45:33.511]  They're made with one of the pieces of them is impact shell, which made from U.S.
[00:45:33.551 --> 00:45:34.012]  soybean.
[00:45:34.352 --> 00:45:36.493]  These are the most, you walk around all day, you feel like they're
[00:45:39.355 --> 00:45:41.896]  You're not bowing down, you're overcoming them.
[00:45:42.297 --> 00:45:45.178]  And you're reaching out to folks saying, I'll fight for your election.
[00:45:45.319 --> 00:45:47.680]  I won't back down, but I need your support.
[00:45:47.840 --> 00:45:50.322]  MyPillow.com, promo code Alex.
[00:45:50.682 --> 00:45:51.462]  Biggest sales ever.
