[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[00:48:01.075 --> 00:48:05.957]  But we now have the emails from Fauci to him in December.
[00:48:07.099 --> 00:48:16.323]  Months before this news came out saying prepare the vaccine, prepare to roll out the COVID-19 vaccine, which had already tested and had ready on animals.
[00:48:16.323 --> 00:48:25.688]  And by the way, they knew it lowered the immunity of the animals and made them really sick and caused the antibody situation.
[00:48:25.688 --> 00:48:31.711]  And I just played you multiple medical doctors and others saying all of that last segment.
[00:48:32.776 --> 00:48:36.759]  So let's just look at some of all the crazy stuff we're being told popping up.
[00:48:36.759 --> 00:48:41.663]  This is out of Florida news, out of the federal government's own website, CDC.
[00:48:41.663 --> 00:48:42.023]  U.S.
[00:48:42.023 --> 00:48:48.909]  warns of polio-like illness outbreak in four months.
[00:48:48.909 --> 00:48:53.753]  And they don't say why, they just say magically, we're just going to get paralyzed now, it's like polio.
[00:48:55.011 --> 00:49:13.698]  The National Public Health Agency, United States Centers for Disease Control and Prevention, the same folks that brought you Tuskegee Experiment, said on August 17th, alerted of an expected outbreak of the polio-like disease, acute flaccid myelitis, AFM, in the next four months.
[00:49:13.698 --> 00:49:16.880]  It's a common but serious neurological condition.
[00:49:16.880 --> 00:49:19.601]  It causes the muscles and reflexes of the body to become weak.
[00:49:20.546 --> 00:49:30.048]  Parents and doctors should suspect AFM in patients with sudden limb weakness, especially during August through November of the vaccines.
[00:49:30.048 --> 00:49:31.148]  Go back to school.
[00:49:31.148 --> 00:49:35.009]  It said, repeating a warning of the agency's latest vital signs report.
[00:49:35.009 --> 00:49:38.829]  So when you get the shot and get sick, oh, it's just a new thing.
[00:49:38.829 --> 00:49:48.231]  But you know, look for it, even though they admit it's even ministers and major governments like Australia and the UK have gotten really sick with stuff like this from the shots.
[00:49:48.891 --> 00:49:49.812]  Here's another one.
[00:49:49.812 --> 00:49:53.314]  What to know about unusual RSV outbreak?
[00:49:53.314 --> 00:49:55.256]  The biggest ever in the U.S.
[00:49:55.256 --> 00:49:58.118]  Making children and babies get sick and die.
[00:49:58.118 --> 00:50:02.081]  Of course, the mask created it causes bacterial pneumonia, so much more.
[00:50:02.081 --> 00:50:12.129]  But no, it's the cocktails of virus mutants being released, being cooked up in the bodies of the people that have taken these Franken-shots.
[00:50:13.390 --> 00:50:20.532]  Texas children and children's hospitals are under siege from two viruses, RSV and COVID-19.
[00:50:20.532 --> 00:50:24.173]  And it goes, it goes on and on from there.
[00:50:24.173 --> 00:50:27.074]  So I've made a lot of phone calls.
[00:50:27.074 --> 00:50:32.896]  I've talked to a lot of really smart people and I've seen the numbers of what they're isolating.
[00:50:32.896 --> 00:50:38.618]  And there are all sorts of new viruses never before seen all over the place.
[00:50:38.618 --> 00:50:42.479]  And that's from the 150 million plus people that took
[00:50:43.629 --> 00:50:49.414]  These mRNA shots and viral vector shots that just go in and order your body to create viruses.
[00:50:49.414 --> 00:50:51.416]  That's what the spike proteins are.
[00:50:51.416 --> 00:51:05.988]  And it just creates all new horrible forms of super toxic garbage that people then release, they breathe, they defecate it into the sewage lines, COVID lives in the sewage, it gets in the air, and it's just everywhere.
[00:51:05.988 --> 00:51:10.953]  And then you notice we have way more people dying, way more people sick, way more problems,
[00:51:12.039 --> 00:51:15.101]  Then we had a year ago, but what did Gates say on Colbert a year and a half ago?
[00:51:15.101 --> 00:51:18.303]  He said, well really COVID's just a drill.
[00:51:18.303 --> 00:51:21.404]  Soon terrorists will release a real bioweapon.
[00:51:21.404 --> 00:51:23.586]  Well he sees us humans as a terrorist.
[00:51:23.586 --> 00:51:30.610]  They give us the shot, we incubate it, just like they did at Wuhan testing COVID-19 in pigs, they would then create even more deadly variants.
[00:51:32.415 --> 00:51:33.356]  And you ask why?
[00:51:33.356 --> 00:51:36.518]  Usually viruses get less deadly and more viral.
[00:51:36.518 --> 00:51:38.960]  It means they spread faster but are less deadly.
[00:51:38.960 --> 00:51:40.261]  That's nature.
[00:51:40.261 --> 00:51:42.243]  This is a five-stage chimera.
[00:51:42.243 --> 00:51:45.546]  They've already tested the mutations in animals.
[00:51:45.546 --> 00:51:52.752]  That's why they wanted to skip animal testing publicly, because they already did it for decades and knew it would show massive death.
[00:51:52.752 --> 00:51:59.918]  That's why all the experts that looked at it, all these procedure scientists said, you're going to have infertility, you're going to have strokes, heart attacks, you're going to have
[00:52:01.007 --> 00:52:04.389]  All these antibody problems.
[00:52:04.389 --> 00:52:06.491]  And now you see all of that has happened.
[00:52:06.491 --> 00:52:10.053]  But that doesn't stop George Soros' minions.
[00:52:10.053 --> 00:52:12.255]  That doesn't stop the Hollywood scum.
[00:52:12.255 --> 00:52:13.676]  That doesn't stop them from attacking us.
[00:52:13.676 --> 00:52:14.656]  Here's Sean Penn.
[00:52:14.656 --> 00:52:15.857]  I've had dinner with Sean Penn.
[00:52:15.857 --> 00:52:16.998]  I've talked to Sean Penn.
[00:52:16.998 --> 00:52:17.978]  I know Sean Penn.
[00:52:17.978 --> 00:52:21.661]  Sean Penn is literally mentally retarded.
[00:52:21.661 --> 00:52:27.405]  When he played the guy in Fast Times at Ridgemont High, everyone sits there and says he's smart like a stone statue is.
[00:52:28.848 --> 00:52:33.031]  I mean, Sean Penn literally cannot tie his shoelaces.
[00:52:33.031 --> 00:52:37.173]  Sean Penn would prefer it if unvaccinated people don't see his movies.
[00:52:37.173 --> 00:52:38.974]  Well, you're a total failure, Sean.
[00:52:38.974 --> 00:52:40.115]  Don't worry.
[00:52:40.115 --> 00:52:40.555]  We won't.
[00:52:40.555 --> 00:52:43.497]  But let's go to some even bigger failures.
[00:52:43.497 --> 00:52:53.763]  The Young Turds have been attacking me because, you know, I guess they love the Armenian genocide or whatever, and I'm against it.
[00:52:53.763 --> 00:52:56.725]  But the Young Turds funded by George Soros and Hillary and the rest of them,
[00:52:57.895 --> 00:53:06.937]  Here they are, ladies and gentlemen, saying, I want death, and I'm criticizing Trump for saying the Pfizer shots are effective and they work.
[00:53:06.937 --> 00:53:08.157]  They don't!
[00:53:08.157 --> 00:53:12.898]  I've got the head of Pfizer saying it doesn't work, you gotta take booster shots, and those won't work either.
[00:53:12.898 --> 00:53:14.298]  That's the facts!
[00:53:14.298 --> 00:53:15.379]  And it lowers your immunity.
[00:53:15.379 --> 00:53:17.819]  But they don't care, because they can act all emotional.
[00:53:17.819 --> 00:53:19.540]  Here it is.
[00:53:19.540 --> 00:53:20.800]  Now Alex Jones
[00:53:22.185 --> 00:53:27.588]  Is getting his loony people to think that Trump is an idiot.
[00:53:27.588 --> 00:53:31.789]  I mean, yeah, okay, that part is great.
[00:53:31.789 --> 00:53:34.651]  But they think that's because Trump's not crazy enough.
[00:53:34.651 --> 00:53:37.452]  So they're going to look for the next crazier person.
[00:53:37.452 --> 00:53:42.915]  Yeah, I want to know how many Americans need to die before Alex Jones is happy.
[00:53:43.871 --> 00:53:44.871]  That's a real question.
[00:53:44.871 --> 00:53:46.271]  It's not a sarcastic question.
[00:53:46.271 --> 00:53:47.512]  It's not rhetorical.
[00:53:47.512 --> 00:53:49.232]  I'm genuinely curious.
[00:53:49.232 --> 00:53:57.714]  So Alex Jones, how many Americans need to die because we're past 620,000 from coronavirus?
[00:53:57.714 --> 00:53:58.954]  I guess that's not enough for you.
[00:53:58.954 --> 00:54:01.214]  How many of them do you want to see dead?
[00:54:01.214 --> 00:54:09.136]  How many children do you want to see robbed of their parents because of your talking points and because of your disinformation campaigns?
[00:54:09.136 --> 00:54:10.936]  How many would make Alex Jones happy?
[00:54:11.676 --> 00:54:24.006]  I just want to know, because clearly he's gleeful at the thought of more Americans needlessly dying from a virus that they don't need to die from if they just get vaccinated.
[00:54:24.006 --> 00:54:26.548]  I'm curious, can you please tell me?
[00:54:26.548 --> 00:54:32.993]  Because shockingly, Donald Trump, who I am not a fan of, had a brief moment of clarity there.
[00:54:33.962 --> 00:54:43.126]  Where he encouraged people to do the right thing, not because Trump actually even cares about anyone, but because he realizes, like, hey, I'm vaccinated.
[00:54:43.126 --> 00:54:45.307]  All the elites in this country are vaccinated.
[00:54:45.307 --> 00:54:53.190]  All the people who are discouraging you from getting vaccinated are vaccinated themselves, as they live in their castles and they live their great lives.
[00:54:53.190 --> 00:54:55.231]  So, like, maybe I should tell my supporters to get vaccinated.
[00:54:55.231 --> 00:54:56.211]  Maybe I should encourage that.
[00:54:56.211 --> 00:54:58.572]  No, Anna, you're actually being too kind to Trump.
[00:54:58.572 --> 00:55:03.634]  The reason he's doing it is to brag about how he did Operation Warp Speed, and he deserves credit for the vaccine.
[00:55:03.874 --> 00:55:04.475]  That's right.
[00:55:04.475 --> 00:55:05.235]  It's all about Trump.
[00:55:05.235 --> 00:55:06.096]  It's always about Trump.
[00:55:06.096 --> 00:55:06.476]  That's all right.
[00:55:06.476 --> 00:55:06.997]  That's enough.
[00:55:06.997 --> 00:55:09.019]  And so he's trying... And that part's true.
[00:55:09.019 --> 00:55:11.421]  Trump's pig-headed and wants to take credit.
[00:55:11.421 --> 00:55:12.782]  This is not a regular vaccine.
[00:55:12.782 --> 00:55:15.425]  So that's the guy that said he wants to give animals pleasure.
[00:55:15.425 --> 00:55:20.309]  He wants to pleasure... I think it was horses he said?
[00:55:20.309 --> 00:55:23.472]  So, uh, okay.
[00:55:23.472 --> 00:55:25.134]  There you go.
[00:55:25.134 --> 00:55:29.638]  Um, we have over 25,000 deaths in the VAERS reporting system.
[00:55:32.332 --> 00:55:34.435]  Here's the New York Times in 76.
[00:55:34.435 --> 00:55:40.683]  Swine flu program is halted in nine states after three die.
[00:55:40.683 --> 00:55:44.708]  52% of Southern Nevada COVID-19 deaths were fully vaccinated.
[00:55:44.708 --> 00:55:46.931]  You see that?
[00:55:46.931 --> 00:55:49.194]  And again, here's the statistics out of Israel.
[00:55:50.540 --> 00:55:54.945]  Basically the same number of deaths of those in hospitalizations that have had the vaccine.
[00:55:54.945 --> 00:56:01.132]  And then we then discovered that they are not counting, there or here, people that have been vaccinated who die within two weeks.
[00:56:01.132 --> 00:56:03.754]  So the number is actually higher of those vaccinated dying.
[00:56:03.754 --> 00:56:04.696]  I mean, these are numbers.
[00:56:04.696 --> 00:56:08.319]  I'm not just using words like, oh, Alex's Looney Tunes.
[00:56:09.565 --> 00:56:12.127]  Alex Jones is Looney Tunes.
[00:56:12.127 --> 00:56:17.691]  I've got all these countries that are like 10% vaccinated with much lower death rates and hospitalization rates.
[00:56:17.691 --> 00:56:19.352]  That's the facts!
[00:56:19.352 --> 00:56:20.974]  This is an experimental garbage.
[00:56:20.974 --> 00:56:23.115]  It doesn't work!
[00:56:23.115 --> 00:56:23.876]  We're gonna go to break.
[00:56:23.876 --> 00:56:25.237]  I'm not funded by George Soros.
[00:56:26.360 --> 00:56:29.923]  I'm not funded by the Democratic Party, I'm funded by you.
[00:56:29.923 --> 00:56:49.460]  We got great products you need, we got great stuff for your immune system and your body, and just stuff that's essential for general health, like Vitamin Mineral Fusion, all the vitamins, all the minerals, and all the key amino acids for adults, children, old folks, you absorb more of it than pills because it's liquid form and it tastes great, ready to ship to you now, 33% off, and VazoBeats back in stock!
[00:56:50.000 --> 00:56:50.640]  Great for your heart.
[00:56:50.640 --> 00:56:51.241]  Great for your liver.
[00:56:51.241 --> 00:56:51.881]  Cardiovascular.
[00:56:51.881 --> 00:56:53.662]  Creates nitrous oxide in the blood.
[00:56:53.662 --> 00:56:55.523]  Super beat concentrate.
[00:56:55.523 --> 00:56:56.584]  50% off.
[00:56:56.584 --> 00:56:57.644]  Pollen block.
[00:56:57.644 --> 00:56:58.365]  Back in stock.
[00:56:58.365 --> 00:56:59.685]  Natural.
[00:56:59.685 --> 00:57:01.546]  Antihistamine.
[00:57:01.546 --> 00:57:02.547]  40% off.
[00:57:02.547 --> 00:57:04.828]  And of course, we have X2.
[00:57:04.828 --> 00:57:05.589]  Totally essential.
[00:57:05.589 --> 00:57:07.390]  Deep Earth Crystal.
[00:57:07.390 --> 00:57:08.710]  Iodine.
[00:57:08.710 --> 00:57:09.331]  It's discounted.
[00:57:10.445 --> 00:57:11.005]  All right.
[00:57:39.912 --> 00:57:45.023]  Hour number two, coming up with Dr. Lee Merritt, strap yourselves in.
[00:57:47.370 --> 00:57:51.111]  Not all vitamin and mineral supplements are equal.
[00:57:51.111 --> 00:57:52.212]  Many of them are synthetic.
[00:57:52.212 --> 00:57:54.173]  Many of them have fillers and additives.
[00:57:54.173 --> 00:57:57.174]  Many of them just pass right through the body and are not absorbed.
[00:57:57.174 --> 00:58:06.077]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but it's finally back in stock.
[00:58:06.077 --> 00:58:08.558]  And that is Vitamin Mineral Fusion.
[00:58:08.558 --> 00:58:11.199]  All the essential vitamins, all the essential minerals,
[00:58:11.559 --> 00:58:15.681]  A bunch of key amino acids to help it upload better into your body, into your cells.
[00:58:15.681 --> 00:58:16.661]  It's in powder form.
[00:58:16.661 --> 00:58:17.781]  It's great for children.
[00:58:17.781 --> 00:58:18.742]  It's great for adults.
[00:58:18.742 --> 00:58:23.523]  It's really important for folks that are older, because they don't absorb as well through their guts.
[00:58:23.523 --> 00:58:25.764]  This liquid formula really, really does.
[00:58:25.764 --> 00:58:33.467]  You can mix up a pitcher of it every couple days, put it in the refrigerator, or keep it out in the kitchen, and just remember to drink it in the morning and in the evening.
[00:58:33.467 --> 00:58:34.507]  It tastes great.
[00:58:34.507 --> 00:58:35.828]  It makes your body healthy.
[00:58:35.828 --> 00:58:38.549]  It boosts your immune system, and it funds
[00:58:48.531 --> 00:59:00.294]  So when I first started taking Survival Shield, basically I was 275 pounds, I was overweight, I had brain fog like you wouldn't believe, I was barely holding on to a job, and I heard Dr. Grip on your show and I listened to it.
[00:59:00.294 --> 00:59:03.475]  So the first one I got was the original Survival Shield, the X1, and it worked
[00:59:04.275 --> 00:59:04.815]  Pretty good.
[00:59:04.815 --> 00:59:06.957]  And then, shortly thereafter, you came out with that stew.
[00:59:06.957 --> 00:59:10.880]  You had, you know, with the deep-roasted source, you know, and I got really excited about that, so I took it.
[00:59:10.880 --> 00:59:17.185]  And man, in two weeks, I went from brain fog to, like, literally, like, my brain was enlightened.
[00:59:17.185 --> 00:59:18.627]  You know, I could think again.
[00:59:18.627 --> 00:59:20.468]  I could connect with people again.
[00:59:20.468 --> 00:59:26.833]  And over the course of the next couple of years, I got my health back, and I religiously take basically all of your supplements.
[00:59:26.833 --> 00:59:29.215]  They're all absolutely amazing supplements.
[00:59:29.215 --> 00:59:30.316]  The one I liked recently
[00:59:30.536 --> 00:59:32.137]  You're listening to the Alex Jones Show!
[01:00:05.014 --> 01:00:11.942]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[01:00:11.942 --> 01:00:16.247]  You better believe you've got one!
[01:00:16.247 --> 01:00:21.293]  From the front lines of the Information War, it's Alex Jones.
[01:00:40.530 --> 01:00:48.317]  People should not be afraid of their governments.
[01:00:48.317 --> 01:00:50.880]  Governments should be afraid of their people.
[01:01:07.117 --> 01:01:07.758]  100,000 people.
[01:01:07.758 --> 01:01:13.665]  Did you really want to know?
[01:01:13.665 --> 01:01:17.249]  Mike, it's all broken!
[01:01:17.249 --> 01:01:20.113]  I hear them inside!
[01:01:20.113 --> 01:01:23.677]  Several party members have been murdered, Chief Inspector.
[01:01:30.863 --> 01:01:35.125]  We're interrupting your regularly scheduled program to bring you this terrifying report.
[01:01:35.125 --> 01:01:38.166]  It was almost as if it were a planned implosion.
[01:01:38.166 --> 01:01:40.147]  It just pancaked.
[01:01:40.147 --> 01:01:44.189]  Jane, what more can you tell us about the Salomon Brothers building and its collapse?
[01:01:44.189 --> 01:01:46.970]  New York very much a city still in chaos.
[01:01:46.970 --> 01:01:51.252]  The phones are not working properly, the subway lines are not working properly.
[01:01:51.252 --> 01:01:56.114]  The sky now blank with smoke in front of us, just across the Tigris River here.
[01:01:56.634 --> 01:02:01.559]  This is shock and awe, Tom, to the population of Baghdad.
[01:02:01.559 --> 01:02:03.781]  Shock and awe, indeed.
[01:02:03.781 --> 01:02:09.786]  The people you liberate will witness the honorable and decent spirit of the American military.
[01:02:09.786 --> 01:02:13.210]  Either you are with us, or you are with the terrorists.
[01:02:13.210 --> 01:02:15.952]  Come on!
[01:02:15.952 --> 01:02:17.353]  It is a big idea.
[01:02:17.353 --> 01:02:19.215]  A new world order.
[01:02:19.215 --> 01:02:19.976]  I love my dad.
[01:02:21.184 --> 01:02:22.465]  I'd kill for him.
[01:02:22.465 --> 01:02:24.587]  I'd go to prison for him because I love him so much.
[01:02:24.587 --> 01:02:25.648]  I love Bill Clinton.
[01:02:25.648 --> 01:02:28.771]  What does that make Hillary Clinton to the Bush family?
[01:02:28.771 --> 01:02:29.672]  My sister-in-law.
[01:02:29.672 --> 01:02:35.377]  When you are subverting the power of government, that's a fundamentally dangerous thing to democracy.
[01:02:35.377 --> 01:02:36.898]  What do you think of Edward Snowden?
[01:02:37.839 --> 01:02:38.899]  I think he's a traitor.
[01:02:38.899 --> 01:02:40.760]  Obama is the one that kills the U.S.
[01:02:40.760 --> 01:02:42.561]  troops if the Russians bomb any of them.
[01:02:42.561 --> 01:02:44.541]  Obama is the one that put them in harm's way.
[01:02:44.541 --> 01:02:47.002]  Obama is the one using them as human shields.
[01:02:47.002 --> 01:02:51.324]  It is the most corrupt, degenerate, criminal government in American history.
[01:02:51.324 --> 01:02:52.324]  I'm here to warn people!
[01:02:52.324 --> 01:02:53.905]  You keep telling me to shut up!
[01:02:53.905 --> 01:02:54.805]  This isn't a game!
[01:02:59.372 --> 01:03:00.753]  Welcome to America, ISIS!
[01:03:00.753 --> 01:03:02.074]  This is what we do!
[01:03:02.074 --> 01:03:03.515]  Woo!
[01:03:03.515 --> 01:03:06.577]  We got people that have taken your asses out in this building right now.
[01:03:06.577 --> 01:03:08.298]  We're armed to the teeth, and we're not scared.
[01:03:08.298 --> 01:03:09.819]  You got that, you sons of bitches?
[01:03:09.819 --> 01:03:19.205]  In 2012, your agency was saying, quote, the Salafists, the Muslim Brotherhood, and Al-Qaeda in Iraq are the major forces driving the insurgents in Syria.
[01:03:19.205 --> 01:03:23.768]  In 2012, the US was helping coordinate arms transfers to those same groups.
[01:03:23.768 --> 01:03:24.849]  Why did you not stop that?
[01:03:24.849 --> 01:03:26.230]  Why didn't you come forward before?
[01:03:26.230 --> 01:03:27.631]  What were you waiting for?
[01:03:27.631 --> 01:03:29.012]  Well, for you, Inspector.
[01:03:30.012 --> 01:03:37.437]  I needed you.
[01:03:37.437 --> 01:03:40.838]  I suddenly had this feeling that everything was connected.
[01:03:40.838 --> 01:03:47.282]  We're all part of it.
[01:03:47.282 --> 01:03:50.464]  Are we ready for it?
[01:03:50.464 --> 01:03:55.487]  From the front lines of the Information War, it's Alex Jones.
[01:03:57.947 --> 01:04:01.930]  Well, that's an old promo from like six, seven years ago.
[01:04:01.930 --> 01:04:06.793]  And it certainly rings true today as we see the empire dying.
[01:04:06.793 --> 01:04:14.078]  And we see really the third administration of Barack Hussein Obama.
[01:04:15.486 --> 01:04:16.666]  What a time to be alive.
[01:04:16.666 --> 01:04:19.067]  I am really excited about this lady coming on.
[01:04:19.067 --> 01:04:22.548]  I've known about her for years before she even got involved in this.
[01:04:22.548 --> 01:04:26.909]  Dr. Lee Merritt, TheMedicalRebel.com, and she's got a long bio.
[01:04:26.909 --> 01:04:35.371]  Some stations join us in a moment, so I'll go through her bio when we come back on the other side and get into the forced inoculation of the military.
[01:04:35.371 --> 01:04:40.132]  They're now coming for the children, this unprecedented authorization of an untested
[01:04:41.323 --> 01:04:48.553]  Frankenshot, it's all coming up today with our special guest.
[01:04:48.553 --> 01:04:54.061]  I would tell your friends, your family, your neighbors, perfect strangers, tune in now, however you're listening.
[01:04:58.408 --> 01:05:02.152]  Not all vitamin and mineral supplements are equal.
[01:05:02.152 --> 01:05:03.253]  Many of them are synthetic.
[01:05:03.253 --> 01:05:05.215]  Many of them have fillers and additives.
[01:05:05.215 --> 01:05:08.217]  Many of them just pass right through the body and are not absorbed.
[01:05:08.217 --> 01:05:17.126]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but is finally back in stock.
[01:05:17.126 --> 01:05:19.608]  And that is Vitamin Mineral Fusion.
[01:05:19.608 --> 01:05:22.231]  All the essential vitamins, all the essential minerals,
[01:05:22.591 --> 01:05:26.714]  A bunch of key amino acids to help it upload better into your body and into your cells.
[01:05:26.714 --> 01:05:27.655]  It's in powder form.
[01:05:27.655 --> 01:05:28.856]  It's great for children.
[01:05:28.856 --> 01:05:29.777]  It's great for adults.
[01:05:29.777 --> 01:05:34.560]  It's really important for folks that are older because they don't absorb as well through their guts.
[01:05:34.560 --> 01:05:36.802]  This liquid formula really, really does it.
[01:05:36.802 --> 01:05:44.508]  You mix up a pitcher of it every couple of days, put it in the refrigerator or keep it out in the kitchen, and just remember to drink it in the morning and in the evening.
[01:05:44.508 --> 01:05:45.529]  It tastes great.
[01:05:45.529 --> 01:05:46.870]  It makes your body healthy.
[01:05:46.870 --> 01:05:47.991]  It boosts your immune system.
[01:05:49.372 --> 01:05:51.752]  You are listening to an InfoWars.com Frontline Report.
[01:05:51.752 --> 01:05:54.813]  If you are receiving this transmission, you are the resistance.
[01:06:25.652 --> 01:06:34.114]  All right, we have a really amazing lady on who I want to try to just give the floor during the 50 or so minutes we have left here.
[01:06:34.114 --> 01:06:47.337]  Going into the second hour today, Dr. Leigh Merritt, here on the Alex Jones Show, began her medical career at the age of four, carrying her father's black bag on house calls along the back roads of Iowa in the 1980s.
[01:06:47.337 --> 01:06:52.919]  She graduated in 1980 from the University of Rochester School of Medicine and Dentistry in New York.
[01:06:53.419 --> 01:06:58.461]  Where she was elected to the life membership of the Alpha Omega Alpha Honor Medical Society.
[01:06:58.461 --> 01:07:12.968]  Dr. Merritt completed her osteopathic surgery residency in the United States Navy, then served nine years as a Navy physician and surgeon before returning to Rochester, where she's the only woman to be appointed as the Louis A. Goldstein Fellow of Spinal Surgery.
[01:07:12.968 --> 01:07:17.410]  And I'm not gonna go over the rest of the long bios, we'll run through all her time.
[01:07:17.410 --> 01:07:22.153]  But she has been really exposing SARS-CoV-2 and more and gets the big picture.
[01:07:22.813 --> 01:07:26.955]  That this is unconventional warfare, TheMedicalRebel.com.
[01:07:26.955 --> 01:07:28.616]  Doc, so much to cover.
[01:07:28.616 --> 01:07:32.478]  I just, I could ask questions all day, but I want to go where you want to go first.
[01:07:32.478 --> 01:07:37.881]  So great to have you here and please speak to our audience.
[01:07:37.881 --> 01:07:39.102]  Well, thank you, Alex.
[01:07:39.102 --> 01:07:40.463]  It's really an honor to be on.
[01:07:40.463 --> 01:07:42.824]  I mean, I've watched you for years.
[01:07:42.824 --> 01:07:49.388]  I think the biggest thing to say today is the unbelievable tragedy of what they're doing to the military.
[01:07:50.106 --> 01:08:02.414]  You know, this isn't, I've been, I said in October, if you don't vaccinate our, in October last year, I said, if you don't vaccinate our troops, I can guarantee you we'll have a standing army in three months.
[01:08:02.414 --> 01:08:13.120]  But if you vaccinate people with an unknown, you know, untried experimental genetic therapy, never used on humans, didn't make it well through animal trials, who knows what it's going to do?
[01:08:13.120 --> 01:08:15.662]  Well, that's exactly what we're seeing.
[01:08:15.662 --> 01:08:19.504]  And so today they're saying everybody must be vaccinated today.
[01:08:20.293 --> 01:08:22.795]  Now, quite frankly, that's not a readiness point.
[01:08:22.795 --> 01:08:24.456]  That doesn't work that way.
[01:08:24.456 --> 01:08:28.519]  If you've already got 60% vaccinated, why does it have to be today?
[01:08:28.519 --> 01:08:30.321]  There's something else at work here.
[01:08:30.321 --> 01:08:33.283]  I just hope we're not on somebody else's invasion timeline.
[01:08:33.283 --> 01:08:34.004]  That's what I'm hoping.
[01:08:34.004 --> 01:08:36.145]  This sounds like a logistics timeline.
[01:08:36.145 --> 01:08:42.430]  But, you know, the real issue of national security isn't a small one here.
[01:08:42.430 --> 01:08:43.671]  The first thing to say is that
[01:08:44.389 --> 01:08:50.836]  China and Russia are not vaccinating their troops against using this type of technology, by the way.
[01:08:50.836 --> 01:08:52.397]  So we are.
[01:08:52.397 --> 01:08:59.545]  In 2020, there were only 20 deaths from COVID in all the military services put together.
[01:08:59.545 --> 01:09:03.168]  Now, we've already probably killed over 350 people
[01:09:05.197 --> 01:09:08.300]  From one side effect, and that's myocarditis.
[01:09:08.300 --> 01:09:14.766]  You know, usually in the military every year there's about 800 cases and I think they're almost at 1,400 this year.
[01:09:14.766 --> 01:09:19.690]  When you take the mortality, the five-year mortality of that, it's not good.
[01:09:19.690 --> 01:09:23.974]  So the risk benefit, number one, doesn't justify any of this.
[01:09:23.974 --> 01:09:28.759]  You know, and the second point to make, which should be clear to everybody why this is not
[01:09:30.005 --> 01:09:39.492]  It's not in the interest of our national security, nor the valiant troops that we should be taking care of, that we owe a debt to.
[01:09:39.492 --> 01:09:52.081]  You know, the pilots, we've had civilian pilots die, and these civilian pilots are dying because of sitting in the cockpit for long periods of time, immobile, and we know just going on a long flight can do it to anybody.
[01:09:52.081 --> 01:09:57.025]  You know, when you sit for long periods of time, you're at risk of blood clots in the legs that can go to your lungs and kill you.
[01:09:58.826 --> 01:09:59.607]  That's always a risk.
[01:09:59.607 --> 01:10:13.298]  But now, after you take this non-vaccine, this experimental genetic agent, you sit in those cockpits for long periods of time and we've had, I think, up to nine pilots, civilian pilots, die already.
[01:10:13.298 --> 01:10:21.826]  And the airlines, some of them have issued statements or something saying, we don't think passengers should get on the plane right after they've had a vaccine because they're at risk.
[01:10:21.826 --> 01:10:23.187]  So what are we doing in the military?
[01:10:23.940 --> 01:10:28.541]  We are, I think about 75% of military pilots are vaccinated and now they want the other 25%.
[01:10:28.541 --> 01:10:35.103]  Now keep in mind, these are guys that don't sit in the cockpit where they can stand up and move around many of them.
[01:10:35.103 --> 01:10:39.424]  Many of them sit in single seat ejection seats or dual seat ejection seats.
[01:10:39.424 --> 01:10:44.005]  For those that don't know, they're jammed in there super tight, especially if they're above average size.
[01:10:45.280 --> 01:10:48.643]  And they're not carrying passengers, they're carrying armaments.
[01:10:48.643 --> 01:10:56.269]  I mean, they could be carrying passengers, but a lot of these guys, the combat pilots, they're practicing with armaments, including nuclear weapons.
[01:10:56.269 --> 01:10:57.671]  What are we thinking?
[01:10:57.671 --> 01:11:02.955]  And this violates every principle of military safety for pilots that we've ever seen.
[01:11:02.955 --> 01:11:07.379]  You know, I was never a flight surgeon, but I spent 10 years as a Navy surgeon.
[01:11:08.199 --> 01:11:13.880]  And I served on the Navy Research Advisory Committee after that as a civilian, where we looked at defense strategy things.
[01:11:13.880 --> 01:11:23.143]  And I'm going to tell you, one of the things that you knew, a lot of my friends were flight surgeons, and I was stationed with the Marine Air Wings everywhere I was when I wasn't in training.
[01:11:23.143 --> 01:11:30.484]  And I will tell you, one of the things, I mean, the thing that military pilots hate to see at any time are their flight surgeons.
[01:11:30.484 --> 01:11:33.525]  Because these guys are super healthy, they're super screened.
[01:11:34.145 --> 01:11:39.817]  And they're so afraid they're going to have a sniffle in front of the flight surgeon and be, you know, knocked off the flight schedule.
[01:11:40.487 --> 01:11:44.670]  There is no indication for vaccinating these people with anything.
[01:11:44.670 --> 01:11:46.852]  Even if it were a good vaccine, these people are too healthy.
[01:11:46.852 --> 01:11:48.433]  They're not at risk.
[01:11:48.433 --> 01:11:55.979]  Well, Doc, I said I wouldn't interrupt you, but you're so smart and you mentioned it's like we're on an invasion timeline.
[01:11:55.979 --> 01:11:57.800]  You pretty much said it all up front.
[01:11:57.800 --> 01:11:59.822]  China is our enemy.
[01:11:59.822 --> 01:12:02.304]  They're not taking this experimental injection.
[01:12:02.304 --> 01:12:03.785]  India is not our enemy, but they're less than 10%
