[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[00:51:40.653 --> 00:51:41.795]  So that's where all this is.
[00:51:41.795 --> 00:51:44.057]  You understand there's massive death all over.
[00:51:44.057 --> 00:51:51.585]  Apple runs some of the biggest, most oppressive factories in China with Buddhist Christians and Uyghurs and they don't deny it.
[00:51:51.585 --> 00:51:58.271]  And there's all the drone footage of tens of thousands of men tied up with bags on their heads being sent to be executed.
[00:51:58.271 --> 00:51:59.553]  They rape their wives
[00:52:00.493 --> 00:52:03.916]  To, quote, breed them out like longshanks out of Braveheart.
[00:52:03.916 --> 00:52:08.219]  They sell their organs and not a damn thing said by the liberals and the left.
[00:52:08.219 --> 00:52:15.665]  Oh, but some psycho demon goes into a King's Super and shoots and kills ten people and now all of us are to blame.
[00:52:15.665 --> 00:52:17.027]  We've got to turn our guns in.
[00:52:17.027 --> 00:52:21.850]  No, that's more of a reason for us to have guns and protect ourselves and the society.
[00:52:21.850 --> 00:52:25.994]  And again, when I criticize video games, people always say, oh, you want to censor our video games.
[00:52:25.994 --> 00:52:27.195]  No, I'm for free speech.
[00:52:27.941 --> 00:52:35.968]  But I have a right to tell you that video games were developed in Vietnam because the average soldier close up to somebody would not shoot somebody at 20 feet away.
[00:52:35.968 --> 00:52:38.029]  Wouldn't look them in the eye and kill them.
[00:52:38.029 --> 00:52:42.213]  And so they began to train with paper targets that popped up that looked like people.
[00:52:42.213 --> 00:52:53.282]  Then they created simulators that were projected on walls like Doom today that came out of an army simulator to then instinctively shoot and they found that up to about 95% that people would kill.
[00:52:54.116 --> 00:52:56.958]  So the average person doesn't want to kill somebody up close.
[00:52:56.958 --> 00:52:58.959]  They want to shoot them a mile away if they have to.
[00:52:58.959 --> 00:53:01.441]  And so these are killing simulators.
[00:53:01.441 --> 00:53:03.462]  Just like a flight simulator is a flight simulator.
[00:53:03.462 --> 00:53:05.504]  Just like a boxing simulator is a boxing simulator.
[00:53:05.504 --> 00:53:07.165]  Just like the dance simulators.
[00:53:07.165 --> 00:53:10.607]  You know, you're dancing on your Wii or whatever the systems are today.
[00:53:10.607 --> 00:53:13.229]  And that teaches you how to dance.
[00:53:13.229 --> 00:53:15.350]  Because you've learned the moves from the machine.
[00:53:15.350 --> 00:53:16.131]  It's the same thing.
[00:53:16.131 --> 00:53:18.832]  It habituates the neural pathways in the brain.
[00:53:18.832 --> 00:53:19.713]  This is just science.
[00:53:19.713 --> 00:53:21.014]  And almost every one of these guys
[00:53:21.718 --> 00:53:28.983]  It's pissed off at a woman, they're on drugs, illegal or psychotropic, and they're into the occult and they're obsessed with video games.
[00:53:28.983 --> 00:53:31.564]  So, we don't know the facts right now, but I know this.
[00:53:31.564 --> 00:53:33.806]  Statistically, mass shootings are still very rare.
[00:53:33.806 --> 00:53:35.407]  They're still terrible.
[00:53:35.407 --> 00:53:37.508]  Statistically, it's one of the rarest ways to die.
[00:53:38.616 --> 00:53:42.840]  The lockdown has caused tens of thousands of suicides, but they don't make an issue out of that.
[00:53:42.840 --> 00:53:52.748]  It's destroyed children's futures, caused massive depression, and there's the very same big pharma companies pushing these dangerous vaccines, these gene therapies, pushing more and more psychotropics that are now at record level.
[00:53:52.748 --> 00:53:57.152]  Something like 30% of women are now on psychotropics, over 15% of men.
[00:53:57.152 --> 00:53:59.674]  We are a drugged out nation, and we're done.
[00:53:59.674 --> 00:54:02.477]  Our sperm counts are dropping, our cancer rates are exploding,
[00:54:03.729 --> 00:54:07.552]  This modern globalist system is killing us and we're going along with it.
[00:54:07.552 --> 00:54:20.000]  So we need to heal and come together and not let the media flip on our switch of feeling bad for somebody and getting sad and having guilt that we own guns, but then turn the switch off when it's kids in cages and Biden told them to come here.
[00:54:20.000 --> 00:54:22.022]  Oh, kids aren't in cages?
[00:54:22.022 --> 00:54:23.242]  Switch flipped on.
[00:54:23.242 --> 00:54:24.523]  Show Obama kids in cages.
[00:54:24.523 --> 00:54:25.844]  We get mad at Trump.
[00:54:25.844 --> 00:54:28.426]  Then Biden comes in 10 times worse than Obama.
[00:54:28.426 --> 00:54:29.127]  Turn switch off.
[00:54:29.127 --> 00:54:29.607]  We don't care.
[00:54:30.291 --> 00:54:31.792]  This is mindlessness.
[00:54:31.792 --> 00:54:33.574]  This is mind control.
[00:54:33.574 --> 00:54:34.395]  This is garbage.
[00:54:34.395 --> 00:54:37.257]  And finally, this police officer.
[00:54:37.257 --> 00:54:41.121]  They never tell you the names of the cops killed by Black Lives Matter or by Antifa.
[00:54:41.121 --> 00:54:46.185]  Remember even a few years ago when all the cops were getting killed under Obama and CNN would say, well, cops are bad.
[00:54:46.185 --> 00:54:47.386]  They need to stop doing bad things.
[00:54:47.386 --> 00:54:48.427]  People won't kill them.
[00:54:48.427 --> 00:54:53.711]  As if one cop does something bad, so a cop a thousand miles away or 500 miles away gets executed.
[00:54:53.711 --> 00:54:54.172]  That's sick.
[00:54:54.875 --> 00:54:57.879]  So, CNN can't have it both ways, either can MSNBC.
[00:54:57.879 --> 00:55:10.093]  They can't say cops are the devil, get rid of the cops, or federalize the cops, or defund the police, but then separately they have bodyguards, they have armed gunmen, they have National Guard protection, and then separately say, oh, but this cop's a hero.
[00:55:10.695 --> 00:55:11.116]  No.
[00:55:11.116 --> 00:55:17.985]  We have to be absolutely logical about all this and see what's happening and realize it's a thing of the heart and the soul and the mind.
[00:55:17.985 --> 00:55:19.026]  That's our problem.
[00:55:19.026 --> 00:55:19.987]  That's our issue.
[00:55:19.987 --> 00:55:20.768]  That's what we've got to fix.
[00:55:20.768 --> 00:55:21.910]  It's not guns.
[00:55:21.910 --> 00:55:26.596]  It's evil and things in the hearts and minds of men and women that has to be dealt with.
[00:55:46.144 --> 00:55:54.048]  Emmerich's Essentials is all-natural, all-organic, high-end, quality, clean, self-care products.
[00:55:54.048 --> 00:56:01.772]  And they are 50% off right now at infowarestore.com with free shipping for a limited time.
[00:56:01.772 --> 00:56:02.593]  That is the
[00:56:03.033 --> 00:56:06.875]  Three essential oil, all-natural hand sanitizers.
[00:56:06.875 --> 00:56:15.060]  That's all of these high-end, super-pure quality essential oils in basically every popular step that's out there.
[00:56:15.060 --> 00:56:18.201]  Then, of course, we have the natural shampoo, organic.
[00:56:18.201 --> 00:56:19.682]  We also have the body wash.
[00:56:19.682 --> 00:56:20.403]  It's all there.
[00:56:20.403 --> 00:56:25.745]  And our best-selling organic deodorant from Enric's Essentials.
[00:56:25.745 --> 00:56:28.387]  Fifty percent off and free shipping.
[00:56:28.387 --> 00:56:31.488]  Part of our big blowout sale that's taking place right now.
[00:56:31.488 --> 00:56:32.229]  We also have
[00:56:33.047 --> 00:56:36.369]  Look, I've proven that InfoWars information is some of the best in the world.
[00:56:55.510 --> 00:56:58.012]  It's just absolutely on target.
[00:56:58.012 --> 00:57:01.075]  The globalists can't stand us because we've studied how they operate.
[00:57:01.075 --> 00:57:02.616]  They want to keep you in the dark.
[00:57:02.616 --> 00:57:05.378]  I believe in humanity and I want to see you empowered.
[00:57:05.378 --> 00:57:07.400]  Because I know that John F. Kennedy was right.
[00:57:07.400 --> 00:57:09.021]  A raising tide raises all ships.
[00:57:10.387 --> 00:57:22.735]  Now, the supplements, the vitamins, the minerals, the compounds we have at InfoWarsTore.com are the very best sourced, wild-crafted, organic, and natural product you're going to find anywhere.
[00:57:22.735 --> 00:57:29.359]  Whether it's Natural Defense, or whether it's Ultra 12, or whether it's X2, or DNA Force Plus, or Prostagard, or Vazovitz,
[00:57:30.163 --> 00:57:37.306]  These are all cutting-edge, top-of-the-line products that will help you and your family and at the same time fund the InfoWar.
[00:57:37.306 --> 00:57:38.746]  So don't procrastinate.
[00:57:38.746 --> 00:57:50.210]  Take action today at InfoWarStore.com.
[00:57:50.210 --> 00:57:52.871]  You're listening to the Alex Jones Show.
[00:58:01.034 --> 00:58:09.982]  All right, ladies and gentlemen, Alex Jones is about to be back on air live hosting the Alex Jones Show from the InfoWars World Headquarters here in Austin, Texas.
[00:58:09.982 --> 00:58:15.046]  Once again, Owen Troyer breaking in here with just some of the latest developing news.
[00:58:15.046 --> 00:58:23.633]  Again, the mass shooter in Boulder, Colorado has been identified, Ahmad Al-Issa.
[00:58:23.633 --> 00:58:28.938]  He was an immigrant from Syria, a Muslim Islamic State sympathizer.
[00:58:30.780 --> 00:58:46.910]  And he was also an anti-Trump liberal leftist, um, who, who liked to share the propaganda fake news of the Washington Post and other like publications on his social media.
[00:58:46.910 --> 00:58:53.194]  He also would talk about how racist and Islamophobic Americans are, how bad Trump is.
[00:58:53.194 --> 00:58:58.237]  He was all about, um, as much immigration as possible.
[00:58:59.705 --> 00:59:02.526]  And so all of this is coming out.
[00:59:02.526 --> 00:59:06.608]  He was antisocial, maybe a paranoid schizophrenic.
[00:59:06.608 --> 00:59:12.690]  Who knows what kind of pharmaceutical drugs he was on to deal with his paranoia.
[00:59:12.690 --> 00:59:16.992]  We'll probably never get to know the truth on that.
[00:59:16.992 --> 00:59:23.815]  But of course, as usual, it was the left, it was the liberal media that jumped onto the narrative.
[00:59:23.815 --> 00:59:26.016]  They were actually foaming at the mouth, hopping up and down.
[00:59:26.016 --> 00:59:26.856]  They were so excited.
[00:59:28.337 --> 00:59:31.638]  And so I have some examples here of what's going on.
[00:59:31.638 --> 00:59:38.899]  Amy Siskind, a verified leftist journalist on Twitter.
[00:59:38.899 --> 00:59:40.739]  The shooter was taken into custody.
[00:59:40.739 --> 00:59:44.720]  In other words, it's almost certain a white man.
[00:59:44.720 --> 00:59:48.161]  Again, if he were black or brown he would have been dead.
[00:59:48.161 --> 00:59:52.222]  She has not, as far as I know, deleted these tweets yet.
[00:59:52.222 --> 00:59:53.802]  Oh wait, but then she found out
[00:59:54.833 --> 00:59:56.774]  That it was Muslim and she changed her tone.
[00:59:56.774 --> 01:00:02.697]  Now she says, let's mourn the victims but not glorify the killer with the intention of having his name widely known.
[01:00:02.697 --> 01:00:04.458]  Oh, so now he's not a white male.
[01:00:04.458 --> 01:00:06.479]  You don't want to know the details.
[01:00:06.479 --> 01:00:09.721]  Mina Harris, again verified leftist.
[01:00:09.721 --> 01:00:12.543]  I deleted a previous tweet about the suspect in the Boulder shooting.
[01:00:12.543 --> 01:00:19.987]  I made an assumption based on his being taken into custody alive and the fact that the majority of mass shootings in the US are carried out by white men.
[01:00:20.794 --> 01:00:27.360]  So you were fake news, but you double down on your fake news, even though you deleted your fake news.
[01:00:27.360 --> 01:00:29.201]  So you were wrong.
[01:00:29.201 --> 01:00:45.755]  Once again, Uzair, this individual, is actually a, he says he debunks misinformation and fake news for the AFP fact check, but ironically he's fake news himself.
[01:00:45.755 --> 01:00:46.296]  He tweets out
[01:00:48.641 --> 01:00:55.103]  He was only apprehended and not choked or shot to death because he was not brown, black, or Muslim.
[01:00:55.103 --> 01:00:59.264]  But he was Muslim.
[01:00:59.264 --> 01:01:05.606]  He is only a shooter, not a terrorist.
[01:01:05.606 --> 01:01:11.448]  A poor white guy who may have had a bad day or a sex addict killed at least 10 people in Boulder, he says.
[01:01:11.448 --> 01:01:15.949]  So, it was all fake news coming from the guy who tries to debunk fake news.
[01:01:16.852 --> 01:01:17.793]  Not so well.
[01:01:17.793 --> 01:01:20.314]  Not so good at his job.
[01:01:20.314 --> 01:01:21.135]  Then there's this one.
[01:01:21.135 --> 01:01:22.796]  It doesn't stop.
[01:01:22.796 --> 01:01:24.817]  It doesn't stop.
[01:01:24.817 --> 01:01:26.198]  Julie DeCaro.
[01:01:26.198 --> 01:01:28.079]  Again, another verified leftist.
[01:01:28.079 --> 01:01:36.464]  Extremely tired of people's lives depending on whether a white man with an AR-15 is having a good day or not.
[01:01:36.464 --> 01:01:37.965]  Another verified liberal waves in.
[01:01:37.965 --> 01:01:39.886]  Hamool Jhaveri.
[01:01:39.886 --> 01:01:42.407]  It's always angry white men.
[01:01:42.407 --> 01:01:45.289]  Always!
[01:01:45.289 --> 01:01:46.270]  Except that
[01:01:47.185 --> 01:01:48.606]  It wasn't.
[01:01:48.606 --> 01:01:57.515]  Then you had this tweet go completely viral and again just before they know any facts.
[01:01:57.515 --> 01:02:03.980]  I'll bet anyone my salary right now that the shooter in Boulder is a right-wing MAGA white male.
[01:02:03.980 --> 01:02:08.725]  This tweet is still up and if you go to the tweet you'll find other liberals
[01:02:09.620 --> 01:02:13.063]  Saying, oh, I'll agree, I'll double it, my salary.
[01:02:13.063 --> 01:02:14.224]  Oh, it's definitely a white male.
[01:02:14.224 --> 01:02:15.586]  Oh, guarantee you he's MAGA.
[01:02:15.586 --> 01:02:19.329]  Oh, this is the... Captain Obvious!
[01:02:19.329 --> 01:02:21.091]  Oops.
[01:02:21.091 --> 01:02:23.253]  Oops.
[01:02:23.253 --> 01:02:25.455]  Your anti-white bigotry is showing.
[01:02:29.275 --> 01:02:31.095]  So what does this really show you?
[01:02:31.095 --> 01:02:31.676]  Well, you know what?
[01:02:31.676 --> 01:02:37.517]  It's sad about this mass shooting, and if one individual there would have had a gun, it could have saved lives.
[01:02:37.517 --> 01:02:42.558]  The liberals will never be honest about that, and they won't even be honest about their own racism.
[01:02:42.558 --> 01:02:45.959]  And so once again, a side issue, but it's a major issue.
[01:02:45.959 --> 01:02:47.919]  Liberalism is a mental disorder, folks.
[01:02:47.919 --> 01:02:52.220]  This is outside of this shooter, probably, but I mean, these leftists are really deranged.
[01:02:55.077 --> 01:02:59.001]  Listeners ask me all the time, why do you have multiple multivitamins?
[01:02:59.001 --> 01:03:01.644]  Why do you have multiple high-quality iodines?
[01:03:01.644 --> 01:03:02.385]  Why do you do that?
[01:03:02.385 --> 01:03:05.329]  Because different strokes for different folks.
[01:03:05.329 --> 01:03:07.371]  If we're talking to researchers and scientists and they say, hey,
[01:03:08.154 --> 01:03:16.941]  A lot of people love Deep Earth Pure Crystal Iodine, but you should put one out with Deep Earth Crystal Iodine and the two other types because some people can't absorb pure iodine.
[01:03:16.941 --> 01:03:17.201]  Boom!
[01:03:17.201 --> 01:03:17.582]  We did it.
[01:03:17.582 --> 01:03:18.082]  It's popular.
[01:03:18.082 --> 01:03:18.863]  It's X3.
[01:03:18.863 --> 01:03:20.104]  Is it better than X2?
[01:03:20.104 --> 01:03:20.764]  You decide.
[01:03:20.764 --> 01:03:22.225]  It's different strokes for different folks.
[01:03:22.225 --> 01:03:26.369]  Well, now we have a compliment to knock out our very popular Powdered Pill
[01:03:27.249 --> 01:03:29.411]  SleepAid, and that is down and out.
[01:03:29.411 --> 01:03:34.116]  It's super strong, way stronger than knockout, but they don't compete with each other.
[01:03:34.116 --> 01:03:41.282]  Different strokes for different folks, different formulas, and it's 40% off, out of the gates, at InfoWareStore.com and free shipping.
[01:03:41.282 --> 01:03:45.706]  Secure your down and out today, and while you're sleeping, you know you're funding the import at the same time.
[01:03:45.706 --> 01:03:49.690]  Down and out, exclusively available at InfoWareStore.com for 40% off and free shipping.
[01:04:00.891 --> 01:04:02.833]  The answer to 1984 is 1776.
[01:04:02.833 --> 01:04:09.638]  You're listening to The Alex Jones Show.
[01:04:09.638 --> 01:04:13.740]  And now, your host, Owen Troyer.
[01:04:13.740 --> 01:04:18.184]  Ladies and gentlemen, Alex Jones is in the building.
[01:04:18.184 --> 01:04:25.329]  He is doing some deep research, getting some intel right now on this situation, and he's going to be joining us as soon as he can.
[01:04:27.177 --> 01:04:34.222]  Meanwhile, I'll be filling in until he's ready to come in studio and give you the latest update.
[01:04:34.222 --> 01:04:35.763]  Look, here's the deal.
[01:04:35.763 --> 01:04:44.028]  Mass shootings in this country are really a rare occurrence, and they would be even more rare if we had citizens with guns stopping them.
[01:04:44.028 --> 01:04:54.135]  But they know the police take at least two minutes to get to the scene, so they know they can fire off at least a magazine or two full of rounds at innocent people, killing people, and get away with it.
[01:04:55.160 --> 01:04:59.403]  Because they never get stopped until the cops show up.
[01:04:59.403 --> 01:05:08.749]  One person, one citizen, one good citizen with a gun could have saved lives in that Colorado grocery store.
[01:05:08.749 --> 01:05:14.233]  And so there's this whole notion like, oh, you just want it to be like the Wild Wild West, everybody with a pistol on their head.
[01:05:14.233 --> 01:05:15.514]  No, that's not how I want it.
[01:05:15.514 --> 01:05:17.035]  That's not how I want it at all.
[01:05:19.591 --> 01:05:27.457]  All it took was one crazy guy, one bad guy with a gun to kill ten people.
[01:05:27.457 --> 01:05:31.940]  All it would have taken was one good guy with a gun in that store to stop it.
[01:05:31.940 --> 01:05:43.509]  Instead there wasn't one, there was no armed security, and it took minutes for the police to get there, and he was able to kill ten people.
[01:05:43.509 --> 01:05:44.610]  That's just logic.
[01:05:44.610 --> 01:05:46.011]  That's just common sense.
[01:05:46.011 --> 01:05:48.313]  We figured that out a long time ago in this country.
[01:05:48.993 --> 01:05:52.054]  And we had no mass shootings then.
[01:05:52.054 --> 01:05:57.435]  So, a mass shooting is still a rare thing.
[01:05:57.435 --> 01:06:02.556]  Here's what's not a rare thing, and here's what is a major problem facing all of us.
[01:06:02.556 --> 01:06:06.537]  Most people listening to this broadcast will probably never be directly impacted by a mass shooting.
[01:06:06.537 --> 01:06:09.458]  Let's pray to God that continues.
[01:06:09.458 --> 01:06:15.659]  But almost everybody listening to this podcast, almost everybody listening to this radio show, almost everybody watching this right now,
[01:06:16.417 --> 01:06:23.462]  is going to be negatively impacted by Democrat liberal policies just like everyone in that grocery store was.
[01:06:23.462 --> 01:06:25.524]  That's the real threat.
[01:06:25.524 --> 01:06:36.672]  And now the liberal lefties are going so out of control, their minds are so warped, their minds are so bent, propagandized, they've become dangers to society.
[01:06:36.672 --> 01:06:39.254]  So this individual was a danger to society.
[01:06:39.254 --> 01:06:41.175]  He came in with a gun, he killed people.
[01:06:41.175 --> 01:06:44.438]  While most these liberals may not have a gun,
[01:06:45.327 --> 01:06:48.029]  But they're dangers to society.
[01:06:48.029 --> 01:06:51.070]  Their policies will kill you.
[01:06:51.070 --> 01:06:56.053]  Their policies will kill freedom in the West.
[01:06:56.053 --> 01:07:06.639]  So I just think it's important that we remember we have serious political issues we need to straighten out.
[01:07:06.639 --> 01:07:09.541]  And just going against the obvious illogic
[01:07:10.390 --> 01:07:13.211]  Of the left saying, we need to ban guns, that's the answer to this.
[01:07:13.211 --> 01:07:19.152]  No, that's the problem with this.
[01:07:19.152 --> 01:07:21.973]  See, Joe Biden has just made a statement.
[01:07:21.973 --> 01:07:27.074]  By the way, the headline on ABC News, I laughed out loud during the break reading this headline.
[01:07:27.074 --> 01:07:27.594]  I'm not kidding.
[01:07:27.594 --> 01:07:29.934]  This is the headline.
[01:07:29.934 --> 01:07:34.676]  Biden forced to confront second mass shooting in a week amid COVID relief tour.
[01:07:34.676 --> 01:07:36.376]  COVID relief tour?
[01:07:37.828 --> 01:07:44.094]  So he went from the basement to the kitchen and then to his office.
[01:07:44.094 --> 01:07:46.917]  That's Biden's COVID relief tour.
[01:07:46.917 --> 01:07:48.959]  What a joke.
[01:07:48.959 --> 01:07:52.982]  But here's the actual statement from Biden.
[01:07:52.982 --> 01:07:56.966]  Today I am calling on Congress to enact common sense gun law reforms.
[01:07:56.966 --> 01:07:57.727]  Here we go again.
[01:07:58.579 --> 01:08:02.942]  Including requiring background checks, already there, on all gun sales.
[01:08:02.942 --> 01:08:10.168]  Banning assault weapons and assault weapons, they still can't categorize that, they still can't tell you what an assault weapon is.
[01:08:10.168 --> 01:08:12.150]  And high-capacity magazines.
[01:08:12.150 --> 01:08:13.991]  What is that even?
[01:08:13.991 --> 01:08:15.352]  What's a high-capacity magazine?
[01:08:15.352 --> 01:08:18.174]  So it's just all this ambiguity.
[01:08:18.174 --> 01:08:23.438]  And eliminating immunity for gun manufacturers who knowingly put weapons of war on our streets.
[01:08:23.438 --> 01:08:26.280]  Huh?
[01:08:26.280 --> 01:08:28.202]  So if I go out with a Louisville Slugger,
[01:08:29.261 --> 01:08:31.823]  And bash somebody's head in.
[01:08:31.823 --> 01:08:34.726]  Do you go after the Louisville Slugger?
[01:08:34.726 --> 01:08:36.467]  Do you go after baseball bats?
[01:08:36.467 --> 01:08:37.768]  No, of course not.
[01:08:37.768 --> 01:08:41.952]  There was just a story out of Miami.
[01:08:41.952 --> 01:08:55.103]  Two youths, oh they call them spring breakers, two spring breakers, drugged and raped and ended up, the girl ended up dying.
[01:08:55.103 --> 01:08:56.324]  This girl in Miami,
[01:08:57.270 --> 01:08:58.831]  Spring Breakers, they called it.
[01:08:58.831 --> 01:09:01.333]  They gave her Percocets.
[01:09:01.333 --> 01:09:03.455]  Are you gonna go after Percocet?
[01:09:03.455 --> 01:09:05.216]  Should we ban Percocet?
[01:09:05.216 --> 01:09:13.362]  What if it comes out that this mass shooter was on psychotropic drugs, which I think we could almost guarantee it.
[01:09:13.362 --> 01:09:15.023]  We'll never get to know that, though.
[01:09:15.023 --> 01:09:19.486]  I doubt they'll release that information.
[01:09:19.486 --> 01:09:26.251]  But again, what was the reality of the situation?
[01:09:27.805 --> 01:09:34.768]  Well, he was the shooter, anti-Trump, liberal, leftist.
[01:09:34.768 --> 01:09:46.872]  And now we have all of his social media posts where he's sharing PBS, he's sharing Washington Post, he's sharing all the anti-Trump news, saying how America's racist, Islamophobic, blamed the Christchurch shooting on Islamophobia.
[01:09:46.872 --> 01:09:53.154]  Ironically, then, as an Islamicist, goes out and does a mass shooting.
[01:09:53.154 --> 01:09:56.916]  Ahmad al-Issa was an Islamic State sympathizer.
[01:09:58.932 --> 01:10:02.094]  An immigrant from Syria.
[01:10:02.094 --> 01:10:07.317]  Again, a known anti-Trump leftist.
[01:10:07.317 --> 01:10:11.840]  His family said he was anti-social, perhaps paranoid schizophrenic.
[01:10:11.840 --> 01:10:20.106]  That's why we asked about the drugs that he could have potentially been on.
[01:10:20.106 --> 01:10:27.010]  But that doesn't stop all these verified liberal leftists on Twitter from saying he's white.
[01:10:28.343 --> 01:10:28.943]  C.J.
[01:10:28.943 --> 01:10:30.664]  Werleman.
[01:10:30.664 --> 01:10:35.926]  The suspected gunman in Boulder, Colorado mass shooting is a white guy.
[01:10:35.926 --> 01:10:37.886]  A white domestic terrorist.
[01:10:37.886 --> 01:10:42.408]  That was a lie.
[01:10:42.408 --> 01:10:43.468]  Here's some more of them.
[01:10:43.468 --> 01:10:45.128]  Julia DeCaro.
[01:10:45.128 --> 01:10:50.450]  Extremely tired of people's lives depending on whether a white man with an AR-15 is having a good day or not.
[01:10:50.450 --> 01:10:52.071]  Hamal Javeri weighs in.
[01:10:52.071 --> 01:10:53.951]  It's always an angry white man.
[01:10:53.951 --> 01:10:54.832]  Always.
[01:10:54.832 --> 01:10:55.812]  Except it wasn't.
[01:10:59.014 --> 01:11:06.315]  Uzair Hassan Rizvi, a poor white guy who may have had a bad day, killed at least 10 people.
[01:11:06.315 --> 01:11:12.316]  He was only apprehended and not choked or shot to death because he was not brown, black, or Muslim.
[01:11:12.316 --> 01:11:13.617]  Except he was.
[01:11:13.617 --> 01:11:21.978]  And that's Uzair Hassan Rizvi, who's a debunker of misinformation for the AFP fact check.
[01:11:21.978 --> 01:11:23.158]  Isn't that funny?
[01:11:23.158 --> 01:11:25.499]  He's an agent of misinformation, actually.
[01:11:25.499 --> 01:11:26.159]  Mina Harris,
[01:11:27.623 --> 01:11:32.047]  I deleted a previous tweet about the suspect being white in the Boulder shooting.
[01:11:32.047 --> 01:11:37.011]  I made an assumption based on his being taken into custody alive and the fact that the majority of mass shootings in the U.S.
[01:11:37.011 --> 01:11:41.514]  are carried out by white men.
[01:11:41.514 --> 01:11:47.319]  So, still going along with the lie, even after she tells the lie and admits she lied.
[01:11:47.319 --> 01:11:50.322]  Here's Amy Siskind.
[01:11:50.322 --> 01:11:53.164]  The shooter is taken into custody, in other words,
[01:11:54.790 --> 01:11:56.291]  It was a white man, again.
[01:11:56.291 --> 01:11:58.492]  If he were black or brown, he would be dead.
[01:11:58.492 --> 01:11:59.112]  Oops!
[01:11:59.112 --> 01:12:08.336]  Well, Amy found out it was a Muslim, and now she says, let's not mourn the victims, but not glorify the killer with the intention of having his name widely known.
[01:12:08.336 --> 01:12:10.917]  Alex Jones is in studio.
[01:12:10.917 --> 01:12:12.077]  I'd like him to come on air.
[01:12:12.077 --> 01:12:12.698]  Come on, Alex.
[01:12:12.698 --> 01:12:13.818]  Stop waiting in the wings.
[01:12:13.818 --> 01:12:14.518]  No, no, no.
[01:12:14.518 --> 01:12:16.459]  I'll be on in a minute.
[01:12:16.459 --> 01:12:19.440]  So here's the deal, folks.
[01:12:19.440 --> 01:12:20.841]  It's time for America to wake up.
[01:12:21.556 --> 01:12:22.957]  To some serious issues.
[01:12:22.957 --> 01:12:28.582]  And everything that the left is proposing as solutions to these issues is just adding to the problem.
[01:12:28.582 --> 01:12:33.005]  One good person with a gun would have stopped and potentially saved lives that day.
[01:12:33.005 --> 01:12:35.187]  Would have stopped that shooter and potentially saved lives.
[01:12:35.187 --> 01:12:35.747]  One.
[01:12:35.747 --> 01:12:37.068]  Just one.
[01:12:37.068 --> 01:12:38.570]  Just one.
[01:12:38.570 --> 01:12:40.031]  And guess what?
[01:12:40.031 --> 01:12:46.556]  All the gun legislation, all the anti-gun laws that could be passed by Democrats would not have stopped that shooter.
[01:12:46.556 --> 01:12:49.098]  But one good guy with a gun would have.
[01:12:49.958 --> 01:12:52.819]  That's logic, that's reasoning, that's common sense.
[01:12:52.819 --> 01:12:58.601]  But don't let that get in the way of an agenda, don't let that get in the way of a narrative.
[01:12:58.601 --> 01:13:11.366]  And now all the liberal lefties that claim to be fighting racism jumped the shark and said, he's a white male, he's a white male, he's probably a Christian white male and a Trump supporter, he's MAGA, I'll bet my salary on it.
[01:13:11.366 --> 01:13:19.029]  That's a viral tweet from David Hoffman, said he bet his salary that it was a right-wing MAGA white male.
[01:13:19.980 --> 01:13:22.921]  Do you think he'll be relinquishing his salary anytime soon?
[01:13:22.921 --> 01:13:23.402]  No.
[01:13:23.402 --> 01:13:31.005]  What about all the liberals that shared that tweet and said, oh, guarantee you he's white, oh, absolutely he's white, oh, of course he loves Trump.
[01:13:31.005 --> 01:13:38.109]  No, he hated Trump, he was a liberal leftist, he was a Syrian immigrant, and he was a Muslim.
[01:13:38.109 --> 01:13:41.330]  Now, do I blame any of those groups of people for this shooter?
[01:13:41.330 --> 01:13:43.371]  Absolutely not!
[01:13:43.371 --> 01:13:46.393]  The guy was obviously deranged, probably on psychotropic drugs.
[01:13:47.105 --> 01:13:52.030]  But the point is, the liberals lied about it again because they lie about everything.
[01:13:52.030 --> 01:13:54.513]  Alex Jones coming up next.
[01:13:54.513 --> 01:14:01.460]  The word apocalypse means the revealing of what was once hidden.
[01:14:01.460 --> 01:14:06.025]  And now that all the lies are being revealed, what will you do?
[01:14:07.703 --> 01:14:11.487]  We know that millions will do absolutely nothing.
[01:14:11.487 --> 01:14:16.272]  They will do whatever they are told, as if obedience is a virtue.
[01:14:16.272 --> 01:14:20.516]  It is the patriots of the world versus everybody else.
[01:14:21.913 --> 01:14:31.540]  I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic.
[01:14:31.540 --> 01:14:36.062]  That I will bear true faith and allegiance to the same.
[01:14:36.062 --> 01:14:42.146]  That I take this obligation freely, without any mental reservation or purpose of evasion.
[01:14:42.146 --> 01:14:47.450]  And that I will well and faithfully discharge my duties as best as I can.
[01:14:47.450 --> 01:14:49.091]  So help me God.
[01:14:49.091 --> 01:14:49.872]  InfoWars.com
[01:14:55.075 --> 01:14:57.477]  You know, it's crazy to get to this point.
[01:14:57.477 --> 01:14:59.218]  It's very bittersweet.
[01:14:59.218 --> 01:15:02.200]  Everything we've talked about has happened just like we said it would.
[01:15:02.200 --> 01:15:03.440]  And now we have a lot of credibility.
[01:15:03.440 --> 01:15:04.381]  But I don't care about that.
[01:15:04.381 --> 01:15:05.642]  I care about beating the new world order.
