[00:00:00.370 --> 00:00:01.552]  It's on InfoWars.com.
[00:35:04.148 --> 00:35:08.608]   going to take to the streets, that's not going to take to the streets to protest against
[00:35:08.608 --> 00:35:11.828]   authoritarian policies, that aren't going to say "my body, my choice."
[00:35:11.828 --> 00:35:12.907]  They don't want that.
[00:35:12.907 --> 00:35:15.067]  They want a controllable class that's desperate.
[00:35:15.067 --> 00:35:16.868]  They want to import the third world.
[00:35:16.868 --> 00:35:19.108]  They want a two-class system, two-tier.
[00:35:19.108 --> 00:35:20.108]  That's it, Alex.
[00:35:20.108 --> 00:35:21.108]  You and I know this.
[00:35:21.108 --> 00:35:24.228]   They want the elites at the top and the peasants at the bottom that they could control.
[00:35:24.228 --> 00:35:27.307]   That's all they want, and that's what they want to turn the United States of America
[00:35:27.307 --> 00:35:29.548]  into, because that's what you see in China.
[00:35:29.548 --> 00:35:30.949]  That's where Australia is going.
[00:35:30.949 --> 00:35:35.228]   The authoritarian regime is being installed right now across the entire world, and people
[00:35:35.228 --> 00:35:39.588]   were called conspiracy theorists, people were called alt-right wingers saying these types
[00:35:39.588 --> 00:35:43.108]   of things, but when I was in New York, Alex, you're seeing all people.
[00:35:43.148 --> 00:35:56.134]  I'm seeing people that support BLM, I'm seeing liberals, I'm seeing people that are waking up, that were once siding with the Democrat Party, that are finally opening up their eyes to realize that there's an authoritarian deep state out there that's destroying everybody's lives.
[00:35:56.434 --> 00:35:58.075]  I mean, people really need to think about it.
[00:35:58.336 --> 00:36:03.580]  Last year's heroes are now this year's villains, today's villains, literally.
[00:36:04.000 --> 00:36:22.755]  The medical healthcare professionals, I'm talking to so many of them, Alex, and then I talk to people on the street, I'm like, I ask you this, if this is such a conspiracy theory, then why the hell, Alex, why the hell am I talking to professional doctors, medical healthcare professionals, RNs, and they're telling me, you know what, this vaccine is too soon.
[00:36:23.215 --> 00:36:34.702]  It's too soon for us and the public needs to be well-educated that this could be too dangerous for people to take because normally we wait about five to ten years before we actually roll something like this out.
[00:36:35.102 --> 00:36:38.024]  And then I ask people on the street, are you smarter than these people?
[00:36:38.324 --> 00:36:43.567]  These are the people that you would trust in a life-or-death situation to take care of you or save your life.
[00:36:43.787 --> 00:36:46.569]  Now all of a sudden are they stupid conspiracy theorists?
[00:36:47.302 --> 00:36:54.603]  Alex, this is how we have to explain it to people, because the hive mind has been so saturated to believe Fauci.
[00:36:54.863 --> 00:36:56.204]  Fauci's the Lord and Savior.
[00:36:56.464 --> 00:36:59.324]  Fauci's the authoritarian centerpiece.
[00:36:59.504 --> 00:37:00.745]  He's the one that they listen to.
[00:37:00.945 --> 00:37:02.025]  He's the source of truth.
[00:37:02.225 --> 00:37:09.666]  We have to seriously show people that there are now medical healthcare professionals that are coming out and saying, this is wrong.
[00:37:09.966 --> 00:37:11.047]  Something's not right here.
[00:37:11.227 --> 00:37:19.473]   But even at that, Alex, It's hard to reach minds that have been so warped, but we can't stop trying because we know right now this is the time to move.
[00:37:19.833 --> 00:37:21.895]  This is the time to move because people are waking up.
[00:37:21.955 --> 00:37:24.297]  And even, shout out, shout out to COVID Land, man.
[00:37:24.777 --> 00:37:28.701]  My wife and I watched that thing last night, Alex, and one of the best documentaries I've seen.
[00:37:28.761 --> 00:37:30.742]  I cannot wait for the next parts to come out.
[00:37:31.023 --> 00:37:40.430]   It is seriously, I recommend anybody watching it right now that hasn't watched it, don't only watch it, Go cop your own DVD, but at the same time, just post it anywhere you could post a link.
[00:37:40.690 --> 00:37:43.932]  Don't be afraid, because this is the history that they want to erase.
[00:37:44.333 --> 00:37:48.956]  They don't want the world to see what happened in the United States of America and worldwide.
[00:37:49.136 --> 00:37:50.236]  They want to erase it all.
[00:37:50.437 --> 00:37:54.860]  So I encourage everybody not only to watch it, but put it everywhere they can where they could post a link.
[00:37:55.700 --> 00:37:58.102]  Absolutely, and it's almost two hours long.
[00:37:58.122 --> 00:38:06.067]  It cost them over two million dollars to shoot the five films, and then they're still doing more interviews, adding more to part two.
[00:38:06.807 --> 00:38:11.650]  Part two is now going to DVD, and then it's going to be out in about a month, and we're going to offer it for free at Bandot Video.
[00:38:13.111 --> 00:38:19.355]  This is being put out to listeners that want to buy the DVD to then fund us to be able to make future films.
[00:38:19.475 --> 00:38:20.916]  People really wanted us to make films again.
[00:38:20.936 --> 00:38:24.898]  They want us to produce films, so we're partnering with filmmakers to do it.
[00:38:25.458 --> 00:38:26.519]  And then we sell the DVDs.
[00:38:26.539 --> 00:38:31.581]  People can have a hard copy to make copies from, but we're also posting the films for free to everybody.
[00:38:31.682 --> 00:38:33.623]  All we ask listeners to do is fight back.
[00:38:34.560 --> 00:38:44.306]  And get it, and send the link from Bandot Video to your email list, to your text messages, and tell people at work about it, to take them to Bandot Video and say, hey, here's...
[00:38:47.868 --> 00:38:59.635]  You're going to leave us here in a few minutes, Drew, but I'd like to get you back on soon.
[00:39:00.335 --> 00:39:03.277]  Next segment, I'm going to play part of your amazing report.
[00:39:03.577 --> 00:39:09.140]  You've just been doing a great job for years, but it just gets more and more amazing to see you pop up all around the country and all around the world.
[00:39:09.460 --> 00:39:21.388]   But spend a few minutes more talking about the This incredibly diverse crowds of people that are out there demonstrating against this medical tyranny, this totally un-American garbage that violates the Constitution, Bill of Rights.
[00:39:22.109 --> 00:39:24.390]  It's just completely being forced on us.
[00:39:24.690 --> 00:39:27.953]  Rape is what's happening and your predictions on where this is all going to go?
[00:39:29.158 --> 00:39:29.918]  Well, I'll tell you this.
[00:39:31.139 --> 00:40:00.134]   When I was in New York this past weekend and I covered the Truth About COVID-19 conference put on by the American King Foundation, Angela Stanton King, the black community attempting to reach the black community, not only in Brooklyn, New York, they go to Atlanta, they're doing Los Angeles next, but one of the things that I keep hearing over and over again Is that this is very familiar and I'm talking about the vaccine mandates that's being rolled out in New York and Los Angeles.
[00:40:00.994 --> 00:40:04.777]  One thing I keep hearing them say is this reminds us a lot of the Jim Crow laws.
[00:40:05.438 --> 00:40:09.521]  They have a history with dealing with racism, the civil rights movement.
[00:40:09.541 --> 00:40:14.205]  We saw this not too long ago, a few decades ago, that was real and the black community had to deal with it.
[00:40:15.065 --> 00:40:17.087]  So this hits a little closer to home for them.
[00:40:17.447 --> 00:40:24.672]  I mean, I was walking around New York, Alex, and I'm going to businesses and I see signs outside of restaurants that say, no vax, no service.
[00:40:25.253 --> 00:40:32.178]  Or I see signs that say, New York requires you to be fully vaccined in order to attain service or to come inside of this building.
[00:40:32.538 --> 00:40:33.959]  It's medical discrimination.
[00:40:34.219 --> 00:40:37.382]  So when you hear the black community come out, it's a little more personal for them.
[00:40:37.762 --> 00:40:44.388]   Because when you tell them, hey, if you don't have a vaccine, if you're unclean, You're not clean, you don't get any service.
[00:40:44.808 --> 00:40:45.929]  So they're pissed, Alex.
[00:40:46.190 --> 00:40:49.373]  I'm not saying the entire black community in New York, but the majority of them.
[00:40:49.393 --> 00:40:51.456]  Because the majority of them don't want to be vaxxed.
[00:40:51.696 --> 00:40:52.817]  And there's a lot of reasons why.
[00:40:52.857 --> 00:40:56.201]  They don't trust the federal government because they've been experimented with before.
[00:40:56.281 --> 00:40:56.902]  We all know this.
[00:40:57.042 --> 00:41:12.194]  Well that's right, Joy Behar came out and said, don't worry blacks, we tested on the white people and giggled about it as if black people want to hurt white people on average and think, oh good, it was tested on them like whites are rats, so now give it to me.
[00:41:12.234 --> 00:41:15.256]  Black folks know about Tuskegee and other events, they're not stupid.
[00:41:15.717 --> 00:41:20.180]   And just like all these big NBA players have come out and said, man, Look, this stuff's experimental.
[00:41:20.200 --> 00:41:21.582]  I don't trust a damn thing you're saying.
[00:41:21.802 --> 00:41:23.184]  You're suppressing the real scientists.
[00:41:23.204 --> 00:41:26.207]  So, I think they've jumped the shark, but regardless, they're going to keep pushing.
[00:41:26.487 --> 00:41:27.849]  This is the globalist big move.
[00:41:27.869 --> 00:41:29.470]  They've been preparing this for decades.
[00:41:30.551 --> 00:41:31.392]  Absolutely, Alex.
[00:41:31.432 --> 00:41:32.133]  And I'll say this.
[00:41:32.674 --> 00:41:34.235]  Here's the red pill for the viewers.
[00:41:34.876 --> 00:41:36.358]  And people might want to share this later.
[00:41:36.989 --> 00:41:39.270]  The big thing that's waking people up is this.
[00:41:39.911 --> 00:41:48.235]  We're hearing the federal government, we're healing, we're hearing Psaki, we're hearing Fauci, we're hearing all these so-called authoritative sources, right?
[00:41:48.776 --> 00:41:49.576]  Come out and say this.
[00:41:49.936 --> 00:41:53.738]  We just want you guys to be educated and informed, right?
[00:41:54.198 --> 00:41:56.840]  They tell the black community, they tell all community, they're telling everybody.
[00:41:57.060 --> 00:42:00.562]  We just want you guys to be educated and informed when it comes to the vaccine.
[00:42:01.042 --> 00:42:02.343]  But here's the red pill.
[00:42:03.217 --> 00:42:06.660]  They only want us to hear the good things that they want us to hear.
[00:42:06.980 --> 00:42:20.130]  But if anybody on YouTube, social media, the mainstream media, if you come out and you list the negative side effects, the potential harm that this thing can do to you, you get silenced on Big Tech, you could lose your entire account.
[00:42:20.610 --> 00:42:30.099]  You get slandered in the mainstream media, you get suppressed, you get made to look like a crazy person, a conspiracy theorist, even if you are a medical healthcare professional or a doctor.
[00:42:30.119 --> 00:42:30.900]  That's right, that's the key.
[00:42:31.040 --> 00:42:38.307]  He works with the Epoch Times, one of the best independent organizations in the world, if not the best for a major organization.
[00:42:38.347 --> 00:42:40.069]  They come out of the folks that fled China.
[00:42:40.769 --> 00:42:43.733]  Uh, and witness mass murder of Buddhist Christians and others.
[00:42:43.793 --> 00:42:50.021]  And so they're just doing a great job to watch our own corporate media attack and let you know which side corporate media is with.
[00:42:50.061 --> 00:42:56.329]  But investigative reporter, ladies and gentlemen, with Real America's Voice, and he joins us.
[00:42:56.369 --> 00:43:05.154]   Drew, you're making a great point about how You've got your speech as long as you go along with the lies, which they all admit are lies, very poisonous shot, doesn't protect you, destroys your immune system.
[00:43:05.895 --> 00:43:20.160]  But if you're a real expert, they silence you and that just shows, if we're supposedly going to trust these doctors and nurses that are such heroes, and a lot of them are great people, why aren't we listening to them now about the horrible things they've seen inside these hospitals and clinics and nursing homes?
[00:43:21.514 --> 00:43:22.174]  Absolutely.
[00:43:22.395 --> 00:43:25.196]  It's an abusive mentality that these people have.
[00:43:25.236 --> 00:43:27.518]  And the point I was making before the break is this.
[00:43:28.078 --> 00:43:33.201]  And the red pill moment I want people to ask themselves, whether you're on the left or you're on the right, is this, okay?
[00:43:33.601 --> 00:43:49.348]   If you're a free, autonomous human being, and you believe in making your own choices yourself, I want to ask you this, why is the federal government, why are all the so-called trustest sources, why are all these people that come out and say, we just want you to be educated.
[00:43:49.708 --> 00:43:53.050]  We want you to know what you're doing when you're putting something into your body.
[00:43:53.070 --> 00:43:54.851]  We want you to be informed, right?
[00:43:54.891 --> 00:44:01.415]  You hear the governor of New York come out and say, it's the smart people that are getting vaxxed, but those that aren't smart, they're not yet.
[00:44:01.455 --> 00:44:03.276]  So we need you to go out there and evangelize them.
[00:44:03.356 --> 00:44:06.358]  It's the same narrative you're hearing across the board.
[00:44:06.378 --> 00:44:29.169]   So I want people to ask themselves is this, If these people really want you to be educated and they want you to be informed, then why is it that they censor on big tech anytime a doctor or a medical healthcare professional comes out and lists the negative side effects or speaks out against the vaccine or speaks on something that could potentially, that could be bad for you if you take this.
[00:44:29.369 --> 00:44:30.430]  Why do they get censored?
[00:44:30.530 --> 00:44:31.550]  Why do they get suppressed?
[00:44:31.730 --> 00:44:35.152]  And in the mainstream media, they get painted as insane or crazy.
[00:44:35.232 --> 00:44:36.753]  Well, Drew, here's a perfect example.
[00:44:37.253 --> 00:44:45.775]  They've had to have at least 10 major bioethics, ethics professors that are over the ethics of the university's medical systems.
[00:44:46.476 --> 00:44:48.536]  Okay, I mean that means like they're the expert.
[00:44:49.276 --> 00:44:55.238]  And another top one was just basically forced out because he said this is violates the Nuremberg Code.
[00:44:55.598 --> 00:44:58.579]  You're saying people with natural immunity, it's no good.
[00:44:59.299 --> 00:45:02.440]  That can kill them to take any vaccine once you have natural immunity.
[00:45:02.460 --> 00:45:03.720]  You can have an autoimmune response.
[00:45:04.100 --> 00:45:10.822]   The UC Irvine director Of medical ethics placed on investigative leave over challenge to vaccine mandate.
[00:45:11.642 --> 00:45:12.643]  That's what's going on.
[00:45:13.063 --> 00:45:15.083]  So read that article on Infowars.com.
[00:45:15.123 --> 00:45:19.445]  And folks, the only way it gets out is you sharing on your email, sharing on your text message and word of mouth.
[00:45:19.745 --> 00:45:20.925]  This is a total war.
[00:45:20.945 --> 00:45:23.106]  Drew, I want to invite you back very soon.
[00:45:23.126 --> 00:45:25.346]  I want to go to the border with you again, but there's my favor.
[00:45:25.406 --> 00:45:26.226]  Please keep me in mind.
[00:45:26.907 --> 00:45:28.027]  I've been wanting to come to New York.
[00:45:29.229 --> 00:45:31.591]  I've been wanting to come protest with the people very soon.
[00:45:31.611 --> 00:45:34.092]  And I just haven't done the right time in the right place.
[00:45:34.112 --> 00:45:37.755]  So I hope you could be my guide up there, maybe in two, three weeks.
[00:45:37.915 --> 00:45:47.281]  And because I also promised to go protest at the UN and at the embassy there from Australia for Australians being arrested for even speaking out against lockdowns online.
[00:45:47.601 --> 00:45:51.284]  And the man that asked me to do it on air two weeks ago has now been arrested.
[00:45:51.564 --> 00:45:53.265]  We covered that before you came on last hour.
[00:45:53.645 --> 00:45:55.006]  And so I promised to do this.
[00:45:55.045 --> 00:46:00.365]   So will you tell me the best time or place to come up to Newark, please, sir?
[00:46:01.179 --> 00:46:01.940]  Now is the time.
[00:46:01.960 --> 00:46:03.521]  It's now or never, Alex.
[00:46:03.821 --> 00:46:11.045]  Because right now there are thousands of people that are being put out on the street with these unconstitutional authoritarian vax mandates.
[00:46:11.485 --> 00:46:13.066]  Nurses, medical healthcare professionals.
[00:46:13.086 --> 00:46:18.669]  And they're training us like Hitler did, or the communists did, to persecute certain groups because they haven't done what the government wants.
[00:46:18.709 --> 00:46:19.890]  That's illegal.
[00:46:20.290 --> 00:46:20.690]  Insane.
[00:46:20.870 --> 00:46:23.832]  Drew, I'm so excited that you are with the Epoch Times.
[00:46:23.852 --> 00:46:25.513]  I can't think of better people in the world.
[00:46:26.033 --> 00:46:31.796]   I mean, they're right up there with Tucker Carlson, or right up there with Some of the more amazing people out there.
[00:46:31.816 --> 00:46:33.077]  Joe Rogan's totally awake now.
[00:46:33.417 --> 00:46:37.480]  Beautiful things are happening, but tell me about your show and where people can find it.
[00:46:38.641 --> 00:46:41.903]  Well, people can follow me on Twitter, Drew H. Live.
[00:46:42.263 --> 00:46:44.304]  I actually work for Real America's Voice.
[00:46:45.205 --> 00:46:50.168]  I don't think they're in connection with Epoch Times, but I work for Real America's Voice.
[00:46:50.328 --> 00:46:51.389]  Well, if I'm ignorant, I'm sorry.
[00:46:51.409 --> 00:46:53.470]  I just see them promoting it and pushing it on there.
[00:46:53.490 --> 00:46:57.412]  So maybe I'm... I think it's affiliated somehow, but you work there.
[00:46:57.432 --> 00:46:58.233]  You probably know more than I do.
[00:46:58.633 --> 00:46:59.714]  Real America's Voice, Alex.
[00:46:59.754 --> 00:47:03.838]  So I'm constantly going out, traveling, covering what the mainstream media won't cover.
[00:47:04.798 --> 00:47:11.344]  Obviously, last year, 2020, I was covering the race riots with BLM, Antifa, but move to the border.
[00:47:11.384 --> 00:47:14.387]  I'm just, we got to cover, I'm trying to cover everything, Alex, and you know how it is.
[00:47:14.767 --> 00:47:15.468]  It's impossible.
[00:47:15.508 --> 00:47:16.689]  Drew, you're amazing.
[00:47:16.809 --> 00:47:17.910]  Drew H. Live.
[00:47:18.170 --> 00:47:42.511]   I want to get back into Just the incredible tyranny we're living under and how we're being gaslit and how the system with the corporations and all the governments linked up through the UN and through the whole system that the Rockefellers set up and Klaus Schwab runs and Bill Gates administers to tell us we're coming into your house, we're coming into your body, we're going to arrest you, we're going to take control of your life, we're going to persecute you if you don't submit to us.
[00:47:42.551 --> 00:47:44.973]  So I want to go to a clip I forgot to get to last hour.
[00:47:45.954 --> 00:47:49.575]  Of Simeon Boykov, known as the Aussie Cossack.
[00:47:49.955 --> 00:47:57.577]  His great-grandparents came from Russia in 1918, one year after the Bolsheviks took over, because they were going to be slaughtered.
[00:47:58.437 --> 00:48:00.698]  And he's a very successful businessman there in Australia.
[00:48:01.498 --> 00:48:21.851]   And so the police just yesterday came to his office that's by his home two weeks after he was on our show for incitement for coming on my show With another woman who'd been released from jail over 20 plus days for having a peaceful protest as well and saying it's incitement.
[00:48:21.871 --> 00:48:32.994]  He said, I may be arrested coming on your show, but we need Americans to peacefully protest at the embassies in New York, in D.C., and I promised to do that and I'm setting it up now.
[00:48:33.774 --> 00:48:35.174]  He sent out an S.O.S.
[00:48:35.274 --> 00:48:41.096]  and it's got a million, 400,000 views on BAN.VIDEO breaking Australians issue emergency S.O.S.
[00:48:41.136 --> 00:48:41.716]  to the world.
[00:48:43.097 --> 00:48:48.460]  And ladies and gentlemen, he got arrested yesterday.
[00:48:48.820 --> 00:49:20.234]   So here is the footage of North Korean-style police, and this is actually happening with a virus the UN cooked up with Fauci, on record confirmed now, they released it, they have the motive, they could control it, they could do the lockdown, they could have the cover-up, and then Great Reset all admits that they did it, and they've taken control using it, and that this is for carbon taxes and controlling us, and then we've got Hell, we'll play the clip I forgot to get to last hour as well of, uh, Saki saying, yeah, we can lower your gas prices, but we're cutting it off because of the earth.
[00:49:20.714 --> 00:49:23.054]  I mean, no, they're cutting it off because they're shutting America down.
[00:49:23.374 --> 00:49:25.815]  China and India and everybody else gets to have all the energy they want.
[00:49:26.415 --> 00:49:27.415]  This is incredible, folks.
[00:49:28.055 --> 00:49:30.936]  Here's 1984 becomes reality in Australia.
[00:49:32.896 --> 00:49:34.277]  The guys have got the police at the door.
[00:49:34.317 --> 00:49:34.917]  How can I help you?
[00:49:35.637 --> 00:49:35.777]  Police.
[00:49:35.797 --> 00:49:37.177]  We want to talk to you.
[00:49:37.237 --> 00:49:38.597]  You want to come in?
[00:49:38.618 --> 00:49:38.678]  No.
[00:49:39.318 --> 00:49:40.718]  Come in.
[00:49:41.775 --> 00:49:42.737]  Well, do you want to come inside?
[00:49:45.220 --> 00:49:47.284]  We will if we have to, but we prefer you coming to the door.
[00:49:47.304 --> 00:49:49.587]  Mr. Poynter, please just come to the door, mate.
[00:49:50.589 --> 00:49:51.771]  No, come inside, come inside.
[00:49:54.415 --> 00:49:54.735]  Stand up.
[00:49:55.848 --> 00:49:56.168]  Stand up.
[00:49:56.328 --> 00:49:56.768]  You're under arrest.
[00:49:57.048 --> 00:49:57.369]  Stand up.
[00:49:57.389 --> 00:49:57.829]  I'm under arrest?
[00:49:57.869 --> 00:49:58.389]  You're under arrest.
[00:49:58.409 --> 00:49:58.769]  Stand up.
[00:49:58.809 --> 00:50:01.810]  Move away from the desk.
[00:50:02.090 --> 00:50:02.591]  You're under arrest.
[00:50:02.611 --> 00:50:02.971]  Stand up.
[00:50:03.331 --> 00:50:04.431]  I cannot be any further.
[00:50:04.652 --> 00:50:04.872]  Clear.
[00:50:04.892 --> 00:50:06.092]  So what do you want to do?
[00:50:06.112 --> 00:50:06.592]  You want to arrest me?
[00:50:06.612 --> 00:50:08.593]  I want you to stand up and move away from the table.
[00:50:08.673 --> 00:50:10.194]  I'm formally placing you under arrest.
[00:50:10.494 --> 00:50:12.995]  My name is Lettington Newcastle-Kingston from Bournemouth High Patrol.
[00:50:13.495 --> 00:50:16.876]  I'll let you know right now that this conversation is being recorded on the body-worn camera.
[00:50:16.896 --> 00:50:17.517]  Do you understand that?
[00:50:18.417 --> 00:50:20.538]  Do you understand that this is being recorded on the body-worn camera?
[00:50:21.573 --> 00:50:22.414]  I can understand that.
[00:50:22.674 --> 00:50:24.355]  So what are you arresting me for?
[00:50:24.415 --> 00:50:26.477]  OK, so you are under arrest, alright?
[00:50:27.498 --> 00:50:29.540]  You're under arrest because of a defence committed at 5.25pm.
[00:50:29.560 --> 00:50:31.181]  OK, can I get everyone to introduce themselves?
[00:50:31.201 --> 00:50:32.242]  I don't know if you're police or not.
[00:50:32.602 --> 00:50:33.203]  Who are you, sorry?
[00:50:33.503 --> 00:50:36.886]  So, Jang, can I see your badge?
[00:50:38.047 --> 00:50:39.188]  Yeah, you've got a badge there.
[00:50:40.289 --> 00:50:40.729]  What's your name?
[00:50:41.029 --> 00:50:42.651]  Sergeant Porchettini from Burwell Police.
[00:50:44.708 --> 00:50:48.371]  Kingston, now you've been making threats against me and you've said you're going to get me.
[00:50:48.391 --> 00:50:49.472]  I'm not going to entertain you tonight.
[00:50:49.492 --> 00:50:50.233]  Is this what you're doing?
[00:50:50.293 --> 00:50:52.275]  Is this your falling through on the threat?
[00:50:52.455 --> 00:50:57.440]  Listen, you are under arrest at the moment for an alleged breach of the Public Health Act that occurred at 5.25pm Monday the 4th of October 2021.
[00:51:00.830 --> 00:51:03.390]  in the vicinity of Timberwell Park road point.
[00:51:03.390 --> 00:51:08.350]   Okay? I'm going to remind you, you do not have to say or do anything if you don't want to.
[00:51:08.350 --> 00:51:12.589]   Anything you do say or do is being recorded, and this recording may be used in court as evidence.
[00:51:12.589 --> 00:51:13.310]  Do you understand that?
[00:51:13.310 --> 00:51:16.189]   Yeah, so are you going to try and get violent with me now, or what are you going to do?
[00:51:16.189 --> 00:51:16.910]  Come on, let's go.
[00:51:16.910 --> 00:51:18.990]  You want to cuff me or what?
[00:51:18.990 --> 00:51:23.549]   So this is the reality of what's happening around the world, and it's now happening in Canada.
[00:51:23.549 --> 00:51:25.950]  We had the pastor on yesterday.
[00:51:26.098 --> 00:51:29.599]  It's now happening in areas of New York City.
[00:51:29.879 --> 00:51:31.399]  This is all UN-directed.
[00:51:31.419 --> 00:51:36.160]  This is a UN globalist invasion in our face.
[00:51:37.481 --> 00:51:38.721]  And then again, she's all over the news.
[00:51:38.761 --> 00:51:39.721]  There's no need to play it.
[00:51:39.781 --> 00:51:48.043]  You've seen Psaki come out and say, we could give you cheaper fuel.
[00:51:48.083 --> 00:51:53.392]   Fuel's basically doubled under Biden, but that's good for the earth for that to happen.
[00:51:53.672 --> 00:51:56.394]  No, bankrupting you and shutting down our business is not good.
[00:51:56.634 --> 00:51:58.314]  They've already shipped our jobs overseas.
[00:51:58.354 --> 00:52:07.719]  They've already flooded us with third world populations, and now they've cut off most our coal power plants while China opens new ones every week and while we ship our coal to China.
[00:52:08.359 --> 00:52:11.300]  This is just such a massive, deliberate campaign.
[00:52:11.320 --> 00:52:17.243]  But I want to show you one more video that I showed last hour that is so important.
[00:52:18.496 --> 00:52:19.677]  It's on InfoWars.com.
[00:52:19.717 --> 00:52:21.980]  It's a John Hopkins illustration with their data.
[00:52:22.360 --> 00:52:25.063]  Video illustrates how COVID vaccines have totally backfired.
[00:52:26.585 --> 00:52:28.407]  No, my friends, it's not backfired.
[00:52:28.467 --> 00:52:29.288]  There it is on screen.
[00:52:32.190 --> 00:52:39.056]  Everywhere in the world, when the vaccine starts, when the injection starts, it skyrockets to all-time record highs.
[00:52:39.917 --> 00:52:44.601]  This, out of all the videos we've seen, is the video to send your neighbors, your friends, your family.
[00:52:44.621 --> 00:52:46.102]  A lot of them have already taken the shots.
[00:52:46.142 --> 00:52:47.243]  They don't want to admit they were conned.
[00:52:47.604 --> 00:52:48.665]  They don't want to admit they were wrong.
[00:52:49.105 --> 00:52:50.086]  But this will wake them up.
[00:52:50.146 --> 00:52:53.249]  These are real numbers from John Hopkins all over the world.
[00:52:54.417 --> 00:52:55.639]  And I think I'm going to change the headline.
[00:52:55.700 --> 00:52:56.702]  Kelley McBrain did a great job.
[00:52:56.742 --> 00:52:59.527]  He says video illustrates how COVID vaccines have totally backfired.
[00:53:00.309 --> 00:53:07.356]   John Hopkins illustration proves COVID shots causing illness and death.
[00:53:08.196 --> 00:53:09.757]  Causing majority of illness and death.
[00:53:10.257 --> 00:53:11.838]  I mean, that's what it proves.
[00:53:12.559 --> 00:53:13.599]  Well, you're not a scientist.
[00:53:13.619 --> 00:53:16.261]  Well, I shoot you in the head with a gun and blow your brains out, it kills you.
[00:53:17.101 --> 00:53:19.663]  I'm also not a ballistics expert, but I know I just blew your head off.
[00:53:20.203 --> 00:53:20.863]  There it is.
[00:53:21.444 --> 00:53:25.146]  This is depopulation out in the open, but they hide it in the bureaucracy.
[00:53:27.363 --> 00:53:30.445]  I've got another video I'll have to get to later once Owen gets in the studio with us.
[00:53:30.485 --> 00:53:33.568]  Tragic, grieving uncle eulogizes vaccine-murdered niece.
[00:53:34.068 --> 00:53:37.491]  Jessica died as a direct result of an experimental vaccine.
[00:53:38.071 --> 00:53:41.414]  They're all just seeing if they can get away with it and all trying to censor.
[00:53:42.981 --> 00:53:44.061]  That important information.
[00:53:44.081 --> 00:53:47.543]  But let me just stop right here and talk about something that's also important.
[00:53:47.923 --> 00:53:49.564]  And it's the fact that we can fight back.
[00:53:50.064 --> 00:53:51.205]  And you can get angry and upset.
[00:53:51.225 --> 00:53:52.745]  And you can share the live feed of this show.
[00:53:52.765 --> 00:53:54.546]  And you can share articles and videos.
[00:53:54.606 --> 00:53:56.247]  And you can start your own shows.
[00:53:56.287 --> 00:53:58.428]  You can go speak at city council and school board.
[00:53:58.668 --> 00:54:02.450]  They wouldn't be trying to sick the FBI on you going to school board saying, I don't want masks.
[00:54:02.490 --> 00:54:03.170]  I don't want shots.
[00:54:03.390 --> 00:54:04.951]  I don't want white kids taught they're the devil.
[00:54:04.971 --> 00:54:07.532]  It's going to create racial division.
[00:54:08.430 --> 00:54:09.230]  Because they're weak.
[00:54:09.330 --> 00:54:09.930]  They're wrong.
[00:54:10.451 --> 00:54:13.031]  Foreign corporations are running this attack on America.
[00:54:13.231 --> 00:54:14.332]  That's what the New World Order is.
[00:54:14.712 --> 00:54:20.633]  And they feel shielded that they can cause a civil war here or a war in China and that that won't affect them.
[00:54:20.934 --> 00:54:21.874]  It will affect them.
[00:54:22.474 --> 00:54:26.515]  It's time to identify the UN and Klaus Schwab and the globalists and the people behind this.
[00:54:26.895 --> 00:54:33.397]  They keep trying to put out UN propaganda and Klaus Schwab Great Reset about how wonderful this is and how they did the lockdowns to save the Earth.
[00:54:33.577 --> 00:54:36.238]  They pulled those videos because you rejected it.
[00:54:37.469 --> 00:54:38.950]  These psychos think they're going to win.
[00:54:38.990 --> 00:54:39.510]  They're not.
[00:54:39.670 --> 00:54:43.293]  The question is how bad is it going to get before we do something?
[00:54:44.634 --> 00:54:47.596]  The other good news is you can fund this operation.
[00:54:47.796 --> 00:54:48.836]  This has been in for a month.
[00:54:48.997 --> 00:54:50.658]  We've gotten all these five-star reviews.
[00:54:52.052 --> 00:54:55.256]  I've been so busy I haven't plugged it yet, so let me tell you right now.
[00:54:55.336 --> 00:55:03.487]  There are now five different types of BioPros and the Biopros.com, vBiopros.com.
[00:55:04.248 --> 00:55:13.958]   This is the industrial system for porta-potties, for sewage lines, for Every other system you can imagine everywhere.
[00:55:13.978 --> 00:55:15.618]  It's just absolutely incredible.
[00:55:16.619 --> 00:55:19.280]  It works in septic tanks.
[00:55:19.400 --> 00:55:23.702]  It just goes on and on and on and on.
[00:55:24.383 --> 00:55:28.485]  And we are really, really proud of this system, ladies and gentlemen.
[00:55:29.165 --> 00:55:38.353]  And I worked with the big oil company people that developed this and assigned us about 20 years to get this through a company they set up to you because it works so good.
[00:55:38.393 --> 00:55:39.994]  It's not enzymes in your septic tank.
[00:55:40.034 --> 00:55:45.799]  It's not enzymes in your boat or RV or trailer or in your outhouse, your one-holer.
[00:55:46.259 --> 00:55:52.304]  This is a system that uses bacteria that live in there and it says it goes six months to a year.
[00:55:52.324 --> 00:55:53.305]  That's because we're being conservative.
[00:55:53.525 --> 00:55:57.068]  It goes for years, ladies and gentlemen, and even lives through freezes.
