[00:00:00.000 --> 00:00:05.440]  [Sound Effects]
[00:24:08.343 --> 00:24:10.704]  Just like Soros doesn't spend his own money.
[00:24:11.384 --> 00:24:12.665]  Soros gets State Department money.
[00:24:14.186 --> 00:24:15.527]  To run his refugee operations?
[00:24:15.947 --> 00:24:30.371]  Well Gates got Ford and Carnegie and Rockefeller Foundation money and all his money tax exempt and a bunch of taxpayer money to then go out and buy up all of the major health departments and national health institutes around the world.
[00:24:30.391 --> 00:24:37.074]  He got kicked out of more than 30 countries including India for running illegal secret vaccine testing that killed people.
[00:24:37.254 --> 00:24:37.954]  Look this up!
[00:24:39.915 --> 00:24:45.899]  And now they just bum rush everybody with the COVID fear into doing this and think they've committed a crime so big we'll never wake up to it.
[00:24:48.060 --> 00:24:52.563]  Wayne Root, very smart talk show host, big article on Gateway Pundit says it's time for civil disobedience.
[00:24:53.023 --> 00:24:54.864]  Here's how we stop Biden vaccine mandates.
[00:24:54.884 --> 00:24:56.365]  And I agree with this article.
[00:24:56.385 --> 00:25:01.228]  In fact, I want to tell the crew post that article or link to it, please, in the live show feed today.
[00:25:01.248 --> 00:25:10.473]   You know, every day we have a show headline or the live show feed that we post you can share in today's Headline just says there's a global awakening happening and incredible things unfolding.
[00:25:10.913 --> 00:25:13.394]  Tune in to find out how you can be part of the solution.
[00:25:14.014 --> 00:25:15.554]  And please tune in and share the link.
[00:25:15.594 --> 00:25:16.035]  There it is.
[00:25:16.395 --> 00:25:17.035]  Sunday Live.
[00:25:17.075 --> 00:25:19.136]  Incredible world developments are taking place.
[00:25:19.736 --> 00:25:21.397]  Tune in to be part of the future.
[00:25:22.177 --> 00:25:23.938]  And more and more on that page every day.
[00:25:23.958 --> 00:25:24.838]  That's on the front page.
[00:25:25.158 --> 00:25:25.838]  It's a new page.
[00:25:26.358 --> 00:25:29.440]  We'll add certain key things that I cover on the show under it.
[00:25:30.320 --> 00:25:34.421]  And one of them is going to be this battle plan for peaceful civil disobedience.
[00:25:35.442 --> 00:25:40.486]   Now, We're going to come back and hit the COVID news that's the biggest ever.
[00:25:40.546 --> 00:25:43.789]  I mean, this is the Pentagon confirming, but all the top scientists have been screaming.
[00:25:44.769 --> 00:25:45.590]  And let that sink in.
[00:25:45.610 --> 00:25:50.514]  It's not theoretical that if you take these shots, it's going to cause this syndrome where your body then attacks itself.
[00:25:50.935 --> 00:26:03.846]  And it's fatal a large portion of the time, around half the time, because you just keep getting sick, having autoimmune responses that are extremely violent, like the 1917 Spanish flu was a similar natural occurrence of this.
[00:26:05.250 --> 00:26:14.414]  Where you've been exposed to a virus, but then the next time you're exposed to a similar virus, you just have a huge autoimmune response in your lungs filled with water and you swell up.
[00:26:14.434 --> 00:26:17.896]  It's like once you've been stung by a bee and then you have an overreaction to the bee.
[00:26:18.816 --> 00:26:20.057]  So this is just unbelievable.
[00:26:20.097 --> 00:26:23.058]  It's what happened in rats and similar studies we covered ad nauseum.
[00:26:23.458 --> 00:26:24.118]  So that's coming up.
[00:26:24.198 --> 00:26:31.842]  And then, Democrats have been caught in giant false flag attacks, giant stage stories.
[00:26:33.880 --> 00:26:35.060]  Giant hoaxes.
[00:26:35.500 --> 00:26:39.121]  We're not supposed to question big events, but a lot of the time they're totally staged.
[00:26:39.681 --> 00:26:43.142]  So I've got two big ones after Mike Adams leaves us, including Roe v. Wade.
[00:26:44.082 --> 00:26:50.004]  Did you know it's now admitted and they've released the documents and they've gone public, including the woman that filed Roe v. Wade?
[00:26:51.344 --> 00:26:52.644]  And it turns out it was all fake.
[00:26:52.664 --> 00:26:53.425]  She was not raped.
[00:26:53.545 --> 00:26:55.085]  She did not abort a baby illegally.
[00:26:55.405 --> 00:26:58.786]  And the baby is now 50 years old and has gone public.
[00:26:59.448 --> 00:27:02.272]  But that's only part of the false flags by Democrats.
[00:27:02.652 --> 00:27:08.400]  Black woman masquerading as KKK Klan member terrorized neighbors and finally got caught by the cops in the act.
[00:27:09.021 --> 00:27:10.823]  That's all coming up.
[00:27:10.883 --> 00:27:13.767]  So just every day we've got new false flag news for you on the left.
[00:27:13.787 --> 00:27:15.830]  They don't want me to question them, but I'm gonna question them.
[00:27:16.030 --> 00:27:19.233]  A month ago we sold out of our first shipment in only three days.
[00:27:19.693 --> 00:27:23.616]  It is RainForce Ultra, the cleanest, purest energy you're going to find anywhere.
[00:27:23.936 --> 00:27:28.480]  And now we got a big shipment in and I'm offering it at 50% off yet again.
[00:27:28.920 --> 00:27:32.083]  You need to experience this for yourself and I know you're going to be hooked.
[00:27:32.343 --> 00:27:41.009]   It's got Guarana Seed, Alpha GPC, Green Coffee Bean, Alethro Root, Yeramate Leaf, Green Tea Leaves, Ginkgo Leaf, Ashwagandha Root, and more.
[00:27:41.350 --> 00:27:45.432]  Experience the power of Brain Force Ultra at 50% off.
[00:27:45.733 --> 00:27:53.098]  It comes in a liquid with a dropper, take it under the tongue, and it hits me faster than any other natural energy product you've ever tried.
[00:27:53.418 --> 00:27:58.081]  Get yours today at 50% off for a limited time at infowarestore.com.
[00:27:58.261 --> 00:28:04.786]   And I love taking Brain Force Ultra along with Ultra 12, B12, We are living in the most historic times of human history.
[00:28:04.605 --> 00:28:08.185]   which is key for your immune system, your body, your libido, everything.
[00:28:08.185 --> 00:28:12.145]   When you take these products together in synergy, it is a game changer.
[00:28:12.145 --> 00:28:15.986]   So take up the Brain Force Ultra Challenge today at infowarrestore.com.
[00:28:15.986 --> 00:28:18.986]  We are living in the most historic times of human history.
[00:28:18.986 --> 00:28:21.625]  There's no doubt about that.
[00:28:21.625 --> 00:28:29.066]   And we're all being put into an anti-human psychological warfare test by completely divorced from God,
[00:28:29.066 --> 00:28:34.705]   satanic behavioral psychologist, and the mega bank owners that are financing them.
[00:28:34.845 --> 00:28:43.111]  We are seeing the elites of the planet, if you use that term for them, in open war against civilization.
[00:28:45.173 --> 00:28:49.876]  Fauci says you can't go visit your family this Christmas because of COVID that he cooked up in a lab.
[00:28:51.687 --> 00:28:55.312]  But Hollywood doesn't have to wear their mask at their big galas.
[00:28:56.073 --> 00:29:01.660]  And when they see Biden on 9-11 with hundreds of other bureaucrats behind the stage, they weren't wearing masks.
[00:29:01.680 --> 00:29:03.863]  They only put them on for public consumption.
[00:29:03.923 --> 00:29:05.125]  It's all a fraud.
[00:29:05.145 --> 00:29:09.611]  Oh, they block the real vitamins and minerals and drugs that they know would protect you.
[00:29:10.509 --> 00:29:11.390]  Mike Adams joins us.
[00:29:11.410 --> 00:29:14.392]  He did a great job reporting on a story that broke Thursday evening.
[00:29:14.412 --> 00:29:16.394]  A lot of different angles to it.
[00:29:16.414 --> 00:29:22.218]  He went with the angle of AI-powered DoD data analysis program named Project Solace.
[00:29:22.659 --> 00:29:28.964]  Chatter's official vaccine narrative shows ADE accelerating in the fully vaccinated with each passing week.
[00:29:29.004 --> 00:29:31.766]  And there's other angles to it, but ADE is the big one.
[00:29:32.306 --> 00:29:39.929]   And again, for people that saw this and didn't follow the links, I have a whole stack of articles here that I'll show TV viewers first.
[00:29:40.889 --> 00:29:42.590]  This is from Mainstream News.
[00:29:43.070 --> 00:29:45.091]  This is from the Pentagon's own site.
[00:29:45.571 --> 00:29:52.893]  Effectiveness of mRNA COVID-19 vaccines against the Delta variant amongst 5.6 million Medicare beneficiaries 65 years and older.
[00:29:52.933 --> 00:29:54.013]  This is a particular study.
[00:29:54.313 --> 00:29:54.933]  Came out September 28, 2021.
[00:29:55.233 --> 00:30:01.155]  It got discovered by a lawyer that's involved in these lawsuits against them, and it's now come out.
[00:30:01.175 --> 00:30:03.376]  So this was put out by the Pentagon.
[00:30:04.136 --> 00:30:05.998]  Here's articles about it from Mainstream News.
[00:30:06.058 --> 00:30:09.581]  Pentagon AI tool for battling coronavirus holds lessons for war.
[00:30:09.601 --> 00:30:11.102]  That's September last year.
[00:30:11.963 --> 00:30:15.545]  Pentagon will use AI to predict panic buying COVID-19 hotspots.
[00:30:16.066 --> 00:30:16.967]  April of last year.
[00:30:18.628 --> 00:30:24.213]  JAICs, that's the Pentagon's new project, SOLACE, links up supply chain data in the fight against coronavirus.
[00:30:25.745 --> 00:30:26.785]  Where it counts U.S.
[00:30:27.005 --> 00:30:29.266]  leads in artificial intelligence, DOD news.
[00:30:29.286 --> 00:30:31.766]  Okay, so this is a real thing.
[00:30:31.866 --> 00:30:32.386]  Here it is.
[00:30:33.227 --> 00:30:35.047]  And oh, you're not seeing this in the news though.
[00:30:35.987 --> 00:30:40.368]  Now suddenly they're quiet about Project Solace because of what it's found.
[00:30:40.528 --> 00:31:05.643]   So for people that don't know what this ADE is and how it was predicted by all the top experts and how it's now confirmed to be here, Mike Adams is going to lay this out and talk about the ramifications of what the study shows because each week It wanes in its effectiveness and your immune system becomes more, not just your, some of your cells lowered, your T-cells, your killer cells are deactivated.
[00:31:06.023 --> 00:31:06.863]  That's a side issue.
[00:31:07.464 --> 00:31:10.965]  Other antibodies are turned way up and that's what ADE is.
[00:31:11.265 --> 00:31:16.346]  So, Mike Adams with NaturalNews.com, a great engineer, great researcher, got the best analysis of this out there.
[00:31:17.146 --> 00:31:18.547]  Tell us what this means.
[00:31:19.500 --> 00:31:25.084]  Well, first of all, Alex, this is OSINT, or Open Source Intelligence, right?
[00:31:25.465 --> 00:31:29.548]  So, this has been on the Humetrix website as of Friday.
[00:31:29.568 --> 00:31:30.449]  It was still live on there.
[00:31:30.469 --> 00:31:32.610]  I don't know if it's there now, but this is DoD.
[00:31:33.171 --> 00:31:36.513]  This is their JAIC, their Artificial Intelligence Program.
[00:31:37.074 --> 00:31:39.816]  So, no one can argue that this is not some secret source somewhere.
[00:31:39.856 --> 00:31:41.057]  This is Open Source Intelligence.
[00:31:41.517 --> 00:31:44.299]  What it shows, a couple of very important things.
[00:31:44.800 --> 00:31:53.605]   One is that the Negative side effects from the vaccine get worse over time with each passing week.
[00:31:54.306 --> 00:32:05.873]  And so the negative outcomes, which includes hospitalizations and ICU outcomes, as well as deaths, it's very bad at three to four months, but it roughly doubles in about six months.
[00:32:06.793 --> 00:32:40.241]   Now, this looks like a flatline projection, so if we continue to project this out further in time to, let's say, 9 months or 12 months, which is coming up in our immediate future, it looks like this is going to triple the 3-month negative effects, or perhaps quadruple the 3-month negative effects at 12 months, and it looks like, Alex, that We're going to see probably, this is my estimation, this is not in the report, but by my estimation, we're going to see millions of Americans suffering severe hospitalizations and deaths over the next six months due to the vaccines.
[00:32:41.428 --> 00:32:42.068]  So that's where we are.
[00:32:42.108 --> 00:32:43.129]  Please continue, Mike.
[00:32:43.769 --> 00:32:57.117]  Okay, so the other major finding of this report is that the number one most important factor that reduced serious complications over time was to have a previous COVID-19 infection.
[00:32:58.058 --> 00:33:07.961]  So this document actually confirms that natural immunity is the number one best protective effect against negative outcomes following vaccination.
[00:33:08.201 --> 00:33:15.103]  Let me state that in a little bit different way, because I know it sounds odd, but... A lot of people are taking the vaccines even though they've already...
[00:33:15.883 --> 00:33:20.442]   the illness and been sick and so we're finding is people that naturally already
[00:33:20.442 --> 00:33:24.241]   had it even though this injection has compromised them and set them up for
[00:33:24.241 --> 00:33:28.163]   death the body is so smart it's able to figure it out if it's already been in
[00:33:28.163 --> 00:33:31.241]   contact with it because it's the vaccine itself creating that in the body is that
[00:33:31.241 --> 00:33:38.761]   right? Well yes that's part of it but recognize that if here's the weird
[00:33:38.761 --> 00:33:43.002]   logic. Start over, this is really important. Yeah if you plan to get
[00:33:43.002 --> 00:33:47.603]   vaccinated according to these data put out by the DOD the number one thing that
[00:33:47.603 --> 00:33:54.363]   you can do to survive the vaccine is to get COVID before you take the vaccine.
[00:33:53.507 --> 00:33:54.247]  That's in the data.
[00:33:54.587 --> 00:33:55.248]  That's what it shows.
[00:33:55.748 --> 00:34:07.292]  So, for those people who have been infected and then they get the vaccine, they are probably likely to have lower incidence of negative outcomes versus people who never had any infection and then they get the vaccine.
[00:34:07.312 --> 00:34:08.053]  And the report says that.
[00:34:08.073 --> 00:34:09.633]  It shows how incredible our body is.
[00:34:10.033 --> 00:34:11.034]  It learns how.
[00:34:11.054 --> 00:34:15.856]  It later gets the deadly vaccine and then isn't as apt to go into the ADE.
[00:34:17.714 --> 00:34:18.355]  Yeah, exactly.
[00:34:18.836 --> 00:34:21.599]  But also notice the last slide of this, slide 17.
[00:34:21.659 --> 00:34:25.123]  It also shows the ethnic groups that are most affected by this.
[00:34:25.483 --> 00:34:32.431]  That's slide 17 and it shows that Native Americans have the highest rate of increased odds of negative outcomes.
[00:34:33.072 --> 00:34:40.475]  So if you're Native American and you're getting this vaccine, you have about a 1.5 times higher risk of death and negative side effects compared to Caucasians.
[00:34:40.915 --> 00:34:45.276]  If you're Hispanic, it's about a roughly 1.3 to 1.4 times greater odds.
[00:34:45.697 --> 00:34:50.478]  If you're black, it's something more like 1.25, roughly in that range.
[00:34:50.538 --> 00:34:54.780]  But the point is, this vaccine has ethnic effects.
[00:34:55.825 --> 00:35:02.028]  That, you know, there have been many people out there warning about the possibility of this vaccine being a biological weapon.
[00:35:02.928 --> 00:35:05.470]  For example, you know, Louis Farrakhan warning about this.
[00:35:05.750 --> 00:35:13.073]  And I have to say, whether or not you agree with Louis Farrakhan on other things, this theory is plausible based on these data.
[00:35:13.313 --> 00:35:19.956]  Those of you who are health professionals, they want you to take it first.
[00:35:22.177 --> 00:35:29.730]   And then they'll say to you, If it ain't moving good enough, you notice they offering you money now?
[00:35:31.772 --> 00:35:41.499]  What had this devil ever offered you $1,000 or $1,500 to take a shot?
[00:35:42.860 --> 00:35:49.305]  They give you free shots of toxic waste.
[00:35:49.966 --> 00:35:50.306]  Free!
[00:35:52.468 --> 00:36:00.938]   The same lead that's in the water In Flint, is in the water in Detroit, is in the water in Cleveland.
[00:36:01.258 --> 00:36:03.419]  Your watch is in the water in Chicago.
[00:36:03.839 --> 00:36:04.819]  You ain't free!
[00:36:06.740 --> 00:36:08.181]  You on a death watch.
[00:36:08.261 --> 00:36:15.303]  If you don't understand it, you're not gonna be here to do all the wonderful things you talked about.
[00:36:15.523 --> 00:36:19.825]  Do not take their medications.
[00:36:23.223 --> 00:36:42.818]  I say to those of us in America, we need to call a meeting of our skilled virologists, epidemiologists, students of biology and chemistry.
[00:36:45.360 --> 00:36:55.981]   And we need to look at not only what they give us, We need to give ourselves something better.
[00:36:59.183 --> 00:37:05.367]  So my teacher told me, don't speak for some, speak for the whole.
[00:37:08.510 --> 00:37:29.829]   And now I'm speaking for Black America, for Hispanic America, for the Native American, And for those who are desirous of life, they're making money now, plotting to give 7,500,000,000 people a vaccination.
[00:37:29.849 --> 00:37:30.209]  Dr. Fauci?
[00:37:30.048 --> 00:37:37.048]  500 million people a vaccination.
[00:37:37.048 --> 00:37:49.048]   Dr. Fauci, Bill Gates and Melinda,
[00:37:49.048 --> 00:37:52.048]  you want to depopulate the Earth?
[00:37:52.397 --> 00:37:53.979]  What the hell gives you that right?
[00:37:55.642 --> 00:38:02.132]  Who are you to sit down with your billions and talk about who can live and who should die?
[00:38:05.034 --> 00:38:18.818]  That's why your world is coming to an end quickly, because you have sentenced billions to death, but God is now sentencing you to the death that you are sentencing to others.
[00:38:19.298 --> 00:38:25.260]  It does have a different effect based on the ethnic background of the person being infected.
[00:38:26.710 --> 00:38:28.111]  There's no other way to interpret this.
[00:38:28.191 --> 00:38:30.673]  Again, it's not some super-secret data source.
[00:38:30.713 --> 00:38:43.043]  This is data straight out of the DoD and the Humetrix platform, which is the data aggregation and monitoring platform that Medicare uses to monitor long-term effects or health outcomes based on specific medical interventions.
[00:38:43.063 --> 00:38:43.323]  That's right.
[00:38:43.343 --> 00:38:44.685]  Let's take our time and explain it.
[00:38:44.705 --> 00:38:46.486]  Your article at NaturalNews.com does it.
[00:38:46.586 --> 00:38:47.607]  It's on InfoWars.com.
[00:38:47.887 --> 00:38:50.729]  You have links right to the Pentagon's own subgroup site.
[00:38:51.150 --> 00:38:51.590]  It's there.
[00:38:51.630 --> 00:38:52.211]  This is real.
[00:38:52.231 --> 00:38:53.572]  You can find articles about how they're doing it.
[00:38:53.952 --> 00:38:54.993]  So this is confirmed.
[00:38:55.453 --> 00:38:58.317]  This just broke Friday or Thursday.
[00:38:58.337 --> 00:39:02.903]  This is just now starting to come out and it's what we already see in the real numbers.
[00:39:02.963 --> 00:39:08.771]  It's what we've already been reporting as people are reading the news and talking to scientists.
[00:39:09.051 --> 00:39:12.997]  This just confirms it with AI scanning millions of people.
[00:39:14.131 --> 00:39:19.254]  That's right, 5.6 million people in this group, and the data projections are very clear.
[00:39:19.274 --> 00:39:28.440]  And again, this is enhanced by the same artificial intelligence system that the DoD is using to try to project supply line shortages, which, by the way, we've got to talk about that next segment.
[00:39:28.480 --> 00:39:40.130]   The supply line, I mean, this is a wartime embargo against the United States, in my view, not letting the ship stock, causing food Shortages, lots of scarcity, famine.
[00:39:40.150 --> 00:39:43.054]  This is Build Back Better and CNN says it's our fault.
[00:39:43.154 --> 00:39:44.056]  We are the reason.
[00:39:44.076 --> 00:39:46.539]  No, it's Fauci and Bill Gates and the UN.
[00:39:47.810 --> 00:39:48.770]  Yeah, yeah, exactly.
[00:39:49.430 --> 00:39:51.991]  And we are facing a real dark winter.
[00:39:52.151 --> 00:39:52.871]  That's their plan.
[00:39:52.951 --> 00:39:53.671]  That's their engineering.
[00:39:53.691 --> 00:39:55.532]  But a dark winter die-off, Alex.
[00:39:56.132 --> 00:40:02.033]  And the other thing to keep in mind is that the CDC gathers census data on aggregate deaths in America.
[00:40:02.433 --> 00:40:06.074]  But their data sets can be about two years behind schedule.
[00:40:06.654 --> 00:40:11.335]  So they're not going to tell us the truth about the excess mortality caused by vaccines in 2021 until about 2023.
[00:40:13.996 --> 00:40:18.117]  So they're going to try to bury this for as long as possible and tell you that no, you didn't see your neighbor die.
[00:40:18.137 --> 00:40:20.438]  You didn't see your relative die after taking the vaccine.
[00:40:20.458 --> 00:40:21.698]  No, that was the variant.
[00:40:22.538 --> 00:40:25.699]  So it also shows how desperate they are, that not just me, but all over.
[00:40:26.139 --> 00:40:30.401]  Democrat courts are getting rid of due process for conservatives and nationalists.
[00:40:30.481 --> 00:40:32.221]  It is they are going for broke.
[00:40:32.241 --> 00:40:34.322]  This is a foreign multinational takeover.
[00:40:34.362 --> 00:40:35.082]  Mike Adams, our guest.
[00:40:35.102 --> 00:40:36.722]  We're going to come back and recap this.
[00:40:36.762 --> 00:40:38.023]  And then I was on the same.
[00:40:38.783 --> 00:40:39.824]  Simpatico with Mike.
[00:40:39.864 --> 00:40:43.846]  I want to get into supply chain breakdowns all over the Western world and what that means straight ahead.
[00:40:44.067 --> 00:40:46.048]  Ladies and gentlemen, we are back live.
[00:40:46.068 --> 00:40:48.009]  I'm your host Alex Jones.
[00:40:48.029 --> 00:40:50.151]  Mike Adams with us 15 minutes to the next hour.
[00:40:51.211 --> 00:40:56.315]  And we're going to get into Democrats caught again in major false flag attacks.
[00:40:57.568 --> 00:41:00.551]  Including KKK attacks, rape attacks, you name it.
[00:41:00.991 --> 00:41:02.773]  That's even Newsweek reporting on that.
[00:41:02.833 --> 00:41:05.596]  I'm gonna be getting to that coming up after Mike leaves us.
[00:41:06.016 --> 00:41:07.958]  And then Harrison Smith's gonna host Sunday Live tonight.
[00:41:07.978 --> 00:41:10.681]  He's got so much to cover, so many clips, so many calls.
[00:41:11.974 --> 00:41:14.677]  But I want to finish up with this and then get into the supply chain.
[00:41:14.697 --> 00:41:16.679]  Because, Mike, you're a major business owner.
[00:41:16.759 --> 00:41:18.822]  You supply a lot of things around the world and the country.
[00:41:19.222 --> 00:41:20.544]  You're very prolific, like we are.
[00:41:21.485 --> 00:41:26.110]  You experience what we experience, trying to get high-quality products for your supplements and other things.
[00:41:26.771 --> 00:41:29.974]  It sometimes works a lot of stuff, six, eight months, because we won't cut quality or buy from China.
[00:41:30.615 --> 00:41:46.293]  So I want to talk about that here in a few minutes, but just going back to this, because we could talk 10 hours about this, to have the Pentagon's main AI program that's all over the news, monitoring deaths, monitoring what's happening, and then they just put out a report, what it does, and they're honest about it, but no political statements are in it.
[00:41:47.014 --> 00:42:02.462]  And it says that you're way more likely to die if you've had these shots, that it's erasing your regular immune system and then making your immune system turn way up, though, if it comes into contact with a similar virus, not just COVID, but any other coronavirus.
[00:42:02.502 --> 00:42:10.206]  I mean, for those that don't know historically what this means and why all these top scientists were warning about ADE, you should probably spend some time on that.
[00:42:11.018 --> 00:42:19.325]  Well, this is following exactly what people like Sherry Tenpenny warned about, and also Dr. Richard M. Fleming, who you've had on, I think, yesterday as well.
[00:42:20.065 --> 00:42:28.312]  This is what the animal studies showed when they tried to develop a vaccine for SARS coronavirus variants early on, many years ago.
[00:42:28.632 --> 00:42:29.813]  This is why the animals were dying.
[00:42:29.873 --> 00:42:32.255]  So, there's really no surprises in this.
[00:42:32.655 --> 00:42:35.998]  The surprise would be if people weren't dying from this vaccine.
[00:42:36.878 --> 00:42:45.906]  So, everything that's showing is tracking right along with our worst fears, and it means that we're probably headed for a real die-off dark winter.
[00:42:45.926 --> 00:42:48.728]  They're going to try to cover it up desperately, but they won't be able to stop it.
[00:42:48.768 --> 00:42:51.670]  So, Alex, their strategy is going to be, what do they blame?
[00:42:52.151 --> 00:42:55.874]  Instead of the vaccine, they're going to have to blame the unvaccinated.
[00:42:56.494 --> 00:43:03.280]  Even if they get more and more, a higher percentage of the American public to be vaccinated, they're going to still have to blame the unvaccinated.
[00:43:03.840 --> 00:43:05.241]  Antibody-dependent enhancement.
[00:43:05.741 --> 00:43:07.162]  This is a very real phenomenon.
[00:43:07.182 --> 00:43:08.083]  It is kicking in.
[00:43:08.483 --> 00:43:11.605]  And don't forget that Delta's not the last variant.
[00:43:12.126 --> 00:43:20.471]  They probably have... Remember the EcoHealth Alliance proposal to DARPA and the coverage of that by DRASTIC, that organization?
[00:43:20.772 --> 00:43:30.178]  And they confirmed there were hundreds of variants of SARS-CoV-2 that had been created through the NIH Fauci funding of that whole operation.
[00:43:30.218 --> 00:43:32.620]  So, folks, this has only just begun.
[00:43:33.440 --> 00:43:38.162]  And I figured, Mike, we didn't talk before you came on about all the details, but I had it ready for you.
[00:43:38.522 --> 00:44:01.210]  The London Telegraph, Wuhan scientist, planned to release coronavirus particles into bat caves, leaked papers reveal, with nanotech to burrow through the skin and the lungs, which you and General Flynn and Dr. Bartlett have been saying for now six, eight months, clearly is happening the way it's regionally hitting Texas, Missouri, regionally hitting South Dakota, regionally hitting Florida when we had the lowest numbers.
[00:44:01.670 --> 00:44:15.781]  And the experts in the Pentagon told me, they said, Alex, we can't tell you how we know this, but Dr. Bartlett told me this a while ago off-air, and now he's confirmed that on-air, that he talked to Flynn, and Flynn was the head of operations in 2017 and had access to this.
[00:44:16.602 --> 00:44:18.663]  By the way, Flynn's going to be in the studio soon, I'm going to leave it at that.
[00:44:19.264 --> 00:44:29.090]   And Flynn was telling people off-record just six months ago, was saying, hey, They're spraying this out on the public.
[00:44:29.330 --> 00:44:30.691]  This isn't being naturally spread.
[00:44:30.731 --> 00:44:42.633]  They're releasing a nanotech form of the virus and now that's in their own Peter Daszak reports from Fauci to the Pentagon trying to get them to spend 14 million dollars on this in 2017.
[00:44:42.673 --> 00:44:45.894]  So that's why Flynn knew about this but didn't say it was classified.
[00:44:46.114 --> 00:44:48.394]  He just said I think that's what's happening and now it's come out.
[00:44:48.714 --> 00:44:50.295]  So this is again beyond bombshell.
[00:44:51.315 --> 00:44:54.377]  And once again, we are citing now public documents.
[00:44:54.677 --> 00:44:56.518]  So what you're referring to is absolutely correct.
[00:44:56.838 --> 00:45:07.404]  They talked about aerosolized vaccination, and that was in the proposal, the EcoHealth Alliance proposal to DARPA, which DARPA rejected, because even DARPA said, this is too crazy.
[00:45:07.744 --> 00:45:11.967]  But understand, they were talking about skin-penetrating toxic nanoparticles, which were the spike proteins.
[00:45:12.427 --> 00:45:17.110]  And again, when they say aerosolized vaccination, what they mean is an aerosolized release.
[00:45:17.730 --> 00:45:24.130]   So, can they do aerosolized releases of these toxic nanoparticles this coming winter?
[00:45:24.130 --> 00:45:25.849]  Could they release this in the United States?
[00:45:25.849 --> 00:45:28.409]  Could they target a particular city?
[00:45:28.409 --> 00:45:29.849]  Have they already done so in the past?
[00:45:29.849 --> 00:45:34.010]   Personally, this is my opinion, Alex, but I believe they've already done so, and I think
[00:45:34.010 --> 00:45:39.130]   they're planning to do so again, and I think they are going to continue to commit genocide
[00:45:39.130 --> 00:45:42.929]   against not just the American people, but everybody around the world to try to drive
[00:45:42.929 --> 00:45:47.010]   people into the vaccines while they're crashing the economy and causing widespread suffering
[00:45:47.010 --> 00:45:48.010]  and death and destitution.
[00:45:48.010 --> 00:45:53.849]   And as we said, as we said 20 months ago here on air, they will then blame the unvaccinated
[00:45:53.849 --> 00:45:58.369]   for the vaccinated dying and others, but to cover it up, they'll then just spray the general
[00:45:58.369 --> 00:46:02.050]   public like my dad and countless others and almost kill them.
[00:46:02.050 --> 00:46:03.050]  And then now...
[00:46:03.257 --> 00:46:15.369]  We have General Flynn, again, telling folks a year ago, and six months ago, and three months ago, privately, no, these are nanoparticles being sprayed by them that they developed with the Chicoms.
[00:46:15.429 --> 00:46:17.371]  And now we have the documents where they did it.
[00:46:17.451 --> 00:46:19.734]  I mean, we have them, Mike, and so it's incredible.
[00:46:20.523 --> 00:46:33.287]  Well, and don't forget the military replacement strategy that's now in play with Governor Hochul announcing she's firing all the nurses, the hospital workers who were unvaccinated last year and they were fine.
[00:46:33.747 --> 00:46:35.708]  Now this year they're being fired.
[00:46:35.848 --> 00:46:47.335]  They're taking the people with natural immunity who would be the most qualified to function in a hospital environment and they're kicking them to the curb and then bringing in National Guard military troops in New York City.
[00:46:47.355 --> 00:46:51.998]  Well, this model, Alex, is going to be replicated across the country with first responders.
[00:46:52.379 --> 00:46:58.601]   So as they start to fire police officers, sheriff's deputies, Ambulance drivers, paramedics, EMTs, and so on.
[00:46:58.962 --> 00:47:00.502]  Guess who's going to replace them?
[00:47:00.542 --> 00:47:04.543]  At least in the blue states, it's going to be National Guard, i.e.
[00:47:04.863 --> 00:47:07.283]  military troops driving the ambulances.
[00:47:07.303 --> 00:47:08.723]  Military troops driving the gasoline.
[00:47:08.743 --> 00:47:09.944]  And they're getting used to martial law.
[00:47:09.964 --> 00:47:12.064]  This is all the lockdowns or martial law drills.
[00:47:12.084 --> 00:47:17.725]  20 months ago, we predicted after lockdowns, by the next winter, they would have troops in the streets because it's a formula.
[00:47:17.965 --> 00:47:19.065]  They've already done it in Australia.
[00:47:19.385 --> 00:47:20.106]  And here's the headline.
[00:47:20.146 --> 00:47:21.846]  How America ruined Christmas.
[00:47:22.506 --> 00:47:23.366]  Oh, it's our fault.
[00:47:23.406 --> 00:47:24.567]  We didn't take all the shots.
[00:47:24.887 --> 00:47:26.828]  That's why the ships won't come off from China.
[00:47:27.228 --> 00:47:28.188]  Oh, build back better.
[00:47:28.228 --> 00:47:32.290]  The UN Klaus Schwab Great Reset Statement.
[00:47:32.410 --> 00:47:34.370]  So here it is, ladies and gentlemen.
[00:47:34.390 --> 00:47:38.012]  That's why Hillary and them are so happy, because they are just ruthless killers.
[00:47:38.412 --> 00:47:39.832]  No, it's not America that's to blame.
[00:47:39.892 --> 00:47:44.254]  It's the COVID-19 Great Reset of Klaus Schwab, ladies and gentlemen.
[00:47:45.500 --> 00:47:57.068]  My prediction is people are going to see troops on the streets by Christmas, and they're going to see bodies piling up in certain areas, of course with a false narrative stating no, it couldn't have been the vaccines, but this is what we're going to see.
[00:47:57.368 --> 00:47:58.408]  This is the winter die-off.
[00:47:58.729 --> 00:48:05.110]   This is the sort of soft coup military replacement of the infrastructure of first
[00:48:05.110 --> 00:48:10.539]   responders and medical workers and even you may have even at some point
