[00:00:00.190 --> 00:00:00.613]  World War 3!
[00:39:28.089 --> 00:39:33.071]  Because anything goes, as you know, in places like Thailand, South Korea, China.
[00:39:33.492 --> 00:39:35.052]  Oh, yeah, there's some of the glowing monkeys for you.
[00:39:35.353 --> 00:39:37.834]  People will think I'm lying about it and pull up mainstream articles about it.
[00:39:40.467 --> 00:39:48.393]  Now it's being reported, scientists' lab creations of living model embryos raise ethics concerns.
[00:39:49.093 --> 00:39:52.095]  And they say, oh, well, they're not pure human.
[00:39:52.716 --> 00:39:56.459]  It is a living embryo, but don't worry, it doesn't have any rights.
[00:39:57.560 --> 00:40:02.643]  So they're now, this is a coming out, the mRNA vaccines, the gene mutation systems.
[00:40:03.003 --> 00:40:04.284]  This is the big bum rush.
[00:40:04.764 --> 00:40:06.625]  This is just the big emergence of all this.
[00:40:06.905 --> 00:40:11.008]  They've already got developed 50 years ahead of what you know about, and they're just going to roll it out now.
[00:40:12.193 --> 00:40:15.495]  They're going to make you so deathly sick with what you've been injected with.
[00:40:15.755 --> 00:40:19.977]  The vaccine actually destroys your DNA with mRNA.
[00:40:19.997 --> 00:40:21.078]  It actually takes you over.
[00:40:21.938 --> 00:40:24.259]  And so you'll have to be under their control to even live in the future.
[00:40:24.279 --> 00:40:25.600]  You won't be able to have children either.
[00:40:25.620 --> 00:40:27.081]  You'll have to go get a designer baby made.
[00:40:27.361 --> 00:40:31.083]  But if you think your cell phone has Trojan horses in it, boy, you ain't seen nothing yet.
[00:40:31.423 --> 00:40:33.224]  So we're not just going to get rid of humanity.
[00:40:33.244 --> 00:40:35.645]  We're going to be replaced with the humanoid.
[00:40:35.665 --> 00:40:37.967]  So I'm going to give you the rest of the story.
[00:40:39.031 --> 00:40:48.514]  When we come back, and here's the promise that Joe Biden and Ted Turner and Bill Gates have been given by the little nasty dudes given them this technology.
[00:40:49.274 --> 00:40:51.634]  You might have heard of them, the Bible calls them demons.
[00:40:53.595 --> 00:40:54.855]  None of this world, not very friendly.
[00:40:56.436 --> 00:41:00.817]  They're being promised life extension, but they first got to kill us and test on us.
[00:41:01.832 --> 00:41:10.378]  The truth is these beings just want to torture us and mutate us and do horrible things to us because they know what we grow into and what we do.
[00:41:10.438 --> 00:41:13.159]  We're kept pure and come together as a species.
[00:41:13.860 --> 00:41:15.461]  But that is not the case.
[00:41:15.481 --> 00:41:18.723]  This is actually a giant genetic war on the planet.
[00:41:19.704 --> 00:41:20.804]  And we've been set up for this.
[00:41:20.864 --> 00:41:24.107]  So I just think you should get ready for that and understand
[00:41:25.359 --> 00:41:36.192]  How incredibly serious all of this is, but if you're a new listener, you know, you noticed all the jokes for over a decade about the gay frogs, you know, Jones claims chemicals are making, you know, the frogs gay and all the rest of it.
[00:41:38.094 --> 00:41:39.396]  It's not just gay, it's sterile.
[00:41:40.558 --> 00:41:46.624]  And again, you'll have to go in and get genetically engineered to even be able to have babies now, but it'll be the babies they want you to have that aren't truly human.
[00:41:46.904 --> 00:41:56.373]  But then under the trans system, if you've got to have men and women sports, well, you're going to have augmented or genetically engineered humans in regular sports.
[00:41:56.413 --> 00:41:58.175]  It'll be, oh, they're trans.
[00:41:58.235 --> 00:42:01.157]  You can't criticize them, but they'll be corporately controlled.
[00:42:01.988 --> 00:42:14.060]  They'll be genetically engineered, and they'll also be time-stamped, they'll be pre-programmed with artificial epigenetic memory, what you call instincts, to carry out the globalist operations.
[00:42:14.561 --> 00:42:17.264]  Oh, and the instinct they're going to have is what the royals would breed to get.
[00:42:17.644 --> 00:42:18.625]  It's called evil.
[00:42:19.706 --> 00:42:21.828]  See, we have our wireless system.
[00:42:23.083 --> 00:42:25.924]  We're able to communicate with God and then the universe God created.
[00:42:26.304 --> 00:42:30.986]  Well, they have their system that they're creating and right now they need to create these humanoids to do it.
[00:42:31.327 --> 00:42:39.570]  So if you'll accept a six foot three man, you know, on a volleyball team with women or a rugby team, well then you're going to accept robots and say they have rights as well.
[00:42:39.990 --> 00:42:40.671]  So get ready.
[00:42:40.731 --> 00:42:41.971]  Oh, by the way, you'll have no rights though.
[00:42:41.991 --> 00:42:43.232]  Remember, you're not essential.
[00:42:43.952 --> 00:42:54.441]  Only if you're gay or trans or genetically engineered will you have any rights, and they'll be celebrated and loved, and watching a man beat women up will be called, look at that girl go playing rugby.
[00:42:55.702 --> 00:42:56.823]  And so this is it.
[00:42:57.743 --> 00:43:03.508]  Humanity's being taught not to stand up for our unborn, not to stand up for our old, so no one will stand up for you.
[00:43:04.048 --> 00:43:08.212]  And the average little trendy at Google or Facebook or Twitter, they're already pedophiles, they love it.
[00:43:09.462 --> 00:43:14.444]  They've already signed on the first dotted line with Satan to want to have sex with children and destroy their innocence.
[00:43:15.765 --> 00:43:24.229]  After that, it cuts the transmission with God, and then all they get is the satanic transmission, and then they get rewritten very, very quickly and are lost.
[00:43:24.809 --> 00:43:25.449]  They burn.
[00:43:26.230 --> 00:43:30.792]  They shake as they lose control of their souls.
[00:43:30.992 --> 00:43:32.632]  We'll be right back on the other side.
[00:43:32.652 --> 00:43:33.573]  Hour number two.
[00:43:35.868 --> 00:43:39.370]  The video is on InfoWars.com and Man.Video.
[00:43:39.410 --> 00:43:41.992]  If you choose to share it, we may get it to Trump.
[00:43:42.672 --> 00:43:43.933]  Emergency measures to Trump.
[00:43:43.993 --> 00:43:46.274]  COVID vaccines are deadly poison.
[00:43:46.314 --> 00:43:51.877]  The Washington Post had a big article yesterday titled, Cold War Between Trump and Tucker.
[00:43:51.897 --> 00:43:54.079]  Because Tucker's figuring out the vaccines are bad.
[00:43:54.499 --> 00:43:55.359]  They're gene therapy.
[00:43:55.399 --> 00:43:56.060]  They're toxic.
[00:43:57.060 --> 00:44:00.062]  And so, now Trump comes out because he knows he's signed on to this.
[00:44:00.082 --> 00:44:00.782]  He's been conned.
[00:44:01.043 --> 00:44:01.823]  So now he's doubling down.
[00:44:01.903 --> 00:44:02.583]  Oh, it's safe.
[00:44:02.623 --> 00:44:02.964]  Take it.
[00:44:03.732 --> 00:44:05.713]  But they admit it's got all these adverse reactions.
[00:44:05.733 --> 00:44:06.894]  They admit it's a gene therapy.
[00:44:07.114 --> 00:44:09.916]  They admit it was never properly tested.
[00:44:10.476 --> 00:44:14.759]  They admit that they brought gene therapy in under the liability protection of vaccines.
[00:44:14.899 --> 00:44:15.980]  It's a huge fraud.
[00:44:16.400 --> 00:44:18.001]  And the world is turning against it.
[00:44:18.802 --> 00:44:23.685]  Bill Gates' plan, the globalist plan, is not going well, ladies and gentlemen.
[00:44:24.943 --> 00:44:33.689]  And so here is my emergency message to the real President of the United States, who we know overall is a good guy with a global estate, to realize this is not a normal vaccine.
[00:44:34.129 --> 00:44:37.651]  Mr. President, you must come out and expose Fauci.
[00:44:37.671 --> 00:44:38.292]  You've already done it.
[00:44:38.572 --> 00:44:40.113]  And the rest of them is lying to you.
[00:44:40.313 --> 00:44:45.896]  You must get as far away as you can from this, instead of doubling down and being part of the fraud.
[00:44:45.937 --> 00:44:47.097]  Here's the emergency message.
[00:44:47.638 --> 00:44:48.958]  Again, it's at InfoWars.com.
[00:44:48.978 --> 00:44:49.699]  Please share it.
[00:44:50.099 --> 00:44:50.960]  We'll be back on the other side.
[00:44:52.057 --> 00:44:55.378]  A word of warning to you, my fellow Americans.
[00:44:55.638 --> 00:44:58.578]  The second dose of the COVID-19 vaccine is no joke.
[00:44:58.898 --> 00:45:07.580]  I had the COVID booster, the Moderna, about four or five days ago, and I am still feeling wild side effects from it.
[00:45:07.780 --> 00:45:10.240]  It made me feel worse than I felt in a long time.
[00:45:10.440 --> 00:45:14.401]  Like I had the worst flu in the world, extreme shortness of breath.
[00:45:14.541 --> 00:45:16.161]  I just felt so bad.
[00:45:16.321 --> 00:45:17.722]  A dizziness, fatigue.
[00:45:17.942 --> 00:45:19.582]  Shaking chills, fever.
[00:45:20.162 --> 00:45:22.184]  Extremely irrational thinking.
[00:45:22.444 --> 00:45:23.665]  Aches, headaches.
[00:45:24.005 --> 00:45:25.907]  It has just been devastating.
[00:45:25.987 --> 00:45:27.048]  Just felt miserable.
[00:45:27.428 --> 00:45:30.751]  I recently took the COVID-19 vaccination.
[00:45:31.472 --> 00:45:34.034]  After the shot, I felt fine.
[00:45:34.754 --> 00:45:40.840]  But within three days, I went to the doctor because I had problems with my face.
[00:45:42.516 --> 00:45:45.318]  The whole left side of my face, actually.
[00:45:46.860 --> 00:45:48.621]  I have bowel palsy now.
[00:45:48.661 --> 00:45:51.343]  Cassidy got the second Moderna shot on a Monday.
[00:45:51.544 --> 00:45:53.946]  By Thursday morning, they were in the ER.
[00:45:54.086 --> 00:45:55.107]  She got sick.
[00:45:55.987 --> 00:45:56.507]  Right away.
[00:45:56.868 --> 00:46:03.434]  The death of his youngest daughter, Cassidy, came out of nowhere four days after her second dose of the COVID vaccine.
[00:46:03.554 --> 00:46:07.337]  Everybody from her work had kind of had flu-like symptoms.
[00:46:07.377 --> 00:46:09.959]  Just like the nurse was telling us earlier today when we got tested.
[00:46:10.239 --> 00:46:11.561]  She experienced chills.
[00:46:11.621 --> 00:46:13.142]  And she said all her friends did too.
[00:46:13.202 --> 00:46:14.243]  Yep, all her friends did.
[00:46:14.363 --> 00:46:22.908]  There's a report from the New York Times that there's been a severe allergic reaction from a healthcare worker in Alaska after receiving the Pfizer-BioNTech vaccine.
[00:46:23.028 --> 00:46:27.631]  Patriot doctor in Missouri works at nursing home and wants to comment on COVID vaccines.
[00:46:27.811 --> 00:46:28.572]  Yeah, hi Alex.
[00:46:28.772 --> 00:46:28.952]  So...
[00:46:30.553 --> 00:46:32.794]  I'm a geriatrician.
[00:46:32.854 --> 00:46:35.195]  I work in nursing homes.
[00:46:35.215 --> 00:46:46.439]  I have had 21 patients that I've identified that have died within 48 hours of getting either the first or second vaccine from AstraZeneca.
[00:46:46.519 --> 00:46:47.780]  She was healthy.
[00:46:49.881 --> 00:46:55.788]  Happy, active, the greatest mom you ever saw in your life.
[00:46:56.289 --> 00:47:05.039]  And then she was so sick that she was, you know, in less than probably 12 hours, she was intubated and on life support.
[00:47:05.279 --> 00:47:06.561]  And then she passed.
[00:47:07.081 --> 00:47:14.684]  When you get this spike protein antibody in your system, it will permanently and irreversibly change your immune system.
[00:47:14.964 --> 00:47:26.188]  When you inject this shot that has this polyethylene glycol on the coating on the outside of it, that is what is leading to anaphylactic reactions, shock, and death.
[00:47:26.548 --> 00:47:33.751]  I think we're going to see massive injuries and a lot more deaths start somewhere between 4 and 18 months from now.
[00:47:34.011 --> 00:47:37.835]  Would you recommend to our audience that they get the vaccine then?
[00:47:38.235 --> 00:47:38.575]  I would.
[00:47:38.595 --> 00:47:39.756]  I would recommend it.
[00:47:39.957 --> 00:47:43.960]  And I would recommend it to a lot of people that don't want to get it.
[00:47:44.241 --> 00:47:46.523]  And a lot of those people voted for me, frankly.
[00:47:54.488 --> 00:47:55.449]  You don't have to lay down.
[00:47:55.509 --> 00:47:56.970]  You can fight back against these monsters.
[00:47:57.410 --> 00:47:58.071]  Get the video.
[00:47:58.131 --> 00:47:58.491]  Share it.
[00:47:58.511 --> 00:47:59.572]  It's at man.video.
[00:47:59.592 --> 00:48:00.573]  Emergency message to Trump.
[00:48:00.833 --> 00:48:02.915]  COVID vaccines are deadly poison.
[00:48:03.315 --> 00:48:03.976]  Warn the world.
[00:48:04.856 --> 00:48:07.138]  It's Thursday, March 18, 2021.
[00:48:07.198 --> 00:48:08.019]  Year of our Lord.
[00:48:08.760 --> 00:48:17.307]  I'm Alex Jones coming to you from the Central Texas Resistance Center, building a pro-human future against the globalist, transhumanist, post-industrial world.
[00:48:18.757 --> 00:48:23.219]  I know God's real, and I know this is a test, and so I am of good cheer.
[00:48:23.959 --> 00:48:30.302]  But make no mistake, what you're receiving here, what you're hearing here, is as close to the truth as you're going to get.
[00:48:30.823 --> 00:48:41.448]  We're all human, we're all fallible, we're all fallen, we all see through that rose-colored darkly, that scanner darkly, but I can tell you this is the testament of what is happening.
[00:48:44.522 --> 00:48:59.071]  I want to give the number up because we've got scores of medical doctors in Russia, in Japan, in China, where they get arrested, in Africa, in Mexico, in areas of Latin America, right here in Texas, coming out like 10, 15 a day.
[00:48:59.111 --> 00:49:00.091]  I can't even watch them all.
[00:49:00.932 --> 00:49:09.357]  I heard this big Irish doctor at the start of the show today, just incredible powerful layout that she broke down.
[00:49:09.437 --> 00:49:10.678]  It's at EuropeWars.com.
[00:49:11.618 --> 00:49:12.199]  Gotta be spread.
[00:49:13.596 --> 00:49:17.659]  Irish doctor exposes great reset agenda behind COVID hoax in powerful video.
[00:49:18.520 --> 00:49:19.321]  Dan Lyman article.
[00:49:20.162 --> 00:49:23.945]  This is all so important, but why are they doing it?
[00:49:24.025 --> 00:49:25.546]  Why are the globalists risking this?
[00:49:25.706 --> 00:49:33.653]  Why are they putting out all these different vaccines that are dangerous virus vector vaccines that use a live virus to deliver it through the cell membrane into the
[00:49:35.124 --> 00:49:41.528]  into the mitochondria and why are they using mRNA to program the cells to the ribosomes?
[00:49:41.608 --> 00:49:56.757]  Why are they doing this when I have a whole stack of articles from prestigious scientific publications saying nothing was ever approved in 20 years with mRNA technology because it would work great with some people but kill other people and give them cancer or autoimmune disorders.
[00:49:56.817 --> 00:49:58.057]  I'll show you articles here in a moment.
[00:49:59.919 --> 00:50:02.000]  And now if you say this is mRNA
[00:50:03.373 --> 00:50:04.714]  Technology linked to cancer.
[00:50:04.754 --> 00:50:05.374]  You get banned.
[00:50:05.535 --> 00:50:07.616]  I was on Andrew Schultz's big podcast.
[00:50:07.856 --> 00:50:09.077]  Biggest podcast he ever did.
[00:50:09.097 --> 00:50:11.058]  It's on its way to be, you know, 10 million views.
[00:50:11.078 --> 00:50:11.759]  The way it was growing.
[00:50:13.339 --> 00:50:18.682]  And they banned it, saying, oh, you said that mRNA technology, gene therapy, was linked to cancer.
[00:50:18.842 --> 00:50:20.984]  That's not, you're not a doctor, you can't say it.
[00:50:21.204 --> 00:50:23.746]  So I can't say, oh, here's a document.
[00:50:23.926 --> 00:50:26.467]  But even if the doctors say it, they go, oh, you're not the UN.
[00:50:27.048 --> 00:50:29.409]  Big tech is committing war crimes against humanity.
[00:50:29.769 --> 00:50:38.275]  The heads of Google, Facebook, Twitter, all of them are Nuremberg criminals now, at the level of Joseph Mengele, suppressing this information.
[00:50:39.585 --> 00:50:40.807]  But I told you this was coming.
[00:50:40.847 --> 00:50:42.310]  This is in AP, this is in Reuters.
[00:50:42.750 --> 00:50:44.233]  I first saw the article at Daily Wire.
[00:50:44.634 --> 00:50:45.315]  Ben Shapiro.
[00:50:45.655 --> 00:50:51.745]  Scientists, lab creations of living model embryos raise ethics questions.
[00:50:51.866 --> 00:50:52.907]  Oh, they're just a model!
[00:50:55.683 --> 00:51:01.547]  It goes on to admit it is a humanoid, but not all of its genetics are human, so it has no rights.
[00:51:01.987 --> 00:51:03.388]  This is how they're introducing it to you.
[00:51:03.828 --> 00:51:07.590]  It was 25 years ago, I was reading a BBC article, and they were trying to roll it out then.
[00:51:07.610 --> 00:51:22.259]  They were like, well, going back over 20 years, in Costa Rica and in China, and in some labs in Switzerland, private labs were producing embryos of humans, but so they wouldn't have rights, they were adding the genetics of other animals, like cows and pigs.
[00:51:23.752 --> 00:51:35.041]  So they could then grow them inside the uteruses of cows so you could grow up a bigger humanoid to get larger organs because you don't want to just butcher a baby and then give a full-grown man a baby's liver.
[00:51:36.482 --> 00:51:46.050]  You've got to grow up a humanoid that weighs 45, 50, 60 pounds, 70, 80 pounds, you know, and some of the larger cows so you get a bigger liver, bigger kidneys.
[00:51:47.211 --> 00:51:48.011]  And it's a human.
[00:51:49.315 --> 00:51:51.676]  But it's enough cow that it isn't rejected.
[00:51:52.656 --> 00:51:54.077]  You'll have a cloned female cow.
[00:51:54.657 --> 00:51:56.498]  Its genetics will be in the humanoid.
[00:51:56.818 --> 00:52:00.139]  So it's not just like the humanoid has some cow genetics.
[00:52:00.199 --> 00:52:02.740]  It has the genetics of the cow it's being grown in.
[00:52:03.060 --> 00:52:04.000]  Comprende?
[00:52:04.361 --> 00:52:05.241]  Comprehend, folks?
[00:52:07.322 --> 00:52:10.543]  So this has been going on at least 50 years.
[00:52:10.883 --> 00:52:15.285]  It even came out in the 80s that the Nazis successfully cloned rabbits.
[00:52:16.665 --> 00:52:18.466]  That's the most fertile mammal we know of.
[00:52:21.138 --> 00:52:22.539]  So it makes sense to try it with rabbits.
[00:52:23.059 --> 00:52:25.420]  Yeah, there is a glow-in-the-dark mouse.
[00:52:27.240 --> 00:52:28.961]  They add jellyfish genes to it.
[00:52:29.101 --> 00:52:30.242]  I was telling you about that earlier.
[00:52:31.722 --> 00:52:38.125]  By the way, there's jellyfish genes in the Pfizer mRNA vaccine, and they won't tell anybody.
[00:52:38.145 --> 00:52:39.045]  They go, it's proprietary.
[00:52:39.345 --> 00:52:40.766]  We have emergency authorization.
[00:52:41.006 --> 00:52:44.227]  So would Netanyahu and Trump and Biden tell you, oh, this is FDA approved?
[00:52:44.487 --> 00:52:44.927]  No, it's not.
[00:52:44.947 --> 00:52:48.849]  It was done with emergency authorization, not approved, not tested.
[00:52:49.724 --> 00:52:52.367]  The truth is they already tested it all in their other names for decades on animals.
[00:52:52.628 --> 00:52:53.369]  They know what it's going to do.
[00:52:53.669 --> 00:52:56.112]  Infertility, cancer, turn your immune system off.
[00:52:56.172 --> 00:52:57.093]  I mean, this is just incredible.
[00:52:57.873 --> 00:53:05.314]  Scientists have officially created living forms of model embryos in a lab that bear a close resemblance to real human embryos.
[00:53:05.854 --> 00:53:16.036]  The aim of the scientific experiment is to discover information about early development in human beings, to hopefully discover new methods to create fertility issues and stop birth defects and miscarriages.
[00:53:16.196 --> 00:53:25.198]  Oh yes, they give you all the chemicals, all the electromagnetic radiations, you can't have kids, but now they're going to create the radiation and drug resistant ones that they control.
[00:53:25.798 --> 00:53:26.438]  Isn't that cute?
[00:53:28.530 --> 00:53:32.191]  So it's part human, NPR reports, but more human than human.
[00:53:33.191 --> 00:53:34.572]  Or a humanoid.
[00:53:35.872 --> 00:53:41.414]  A non-human creature or being with characteristics such as ability to walk upright resembling those of a human.
[00:53:42.614 --> 00:53:47.955]  Or of all the ancient legends of the not-so-friendly little humanoids.
[00:53:48.416 --> 00:53:50.036]  And that's what Aldous Huxley said.
[00:53:50.056 --> 00:53:53.237]  He said, we're going to create a short-servant humanoid creature.
[00:53:54.278 --> 00:53:55.258]  in Brave New World.
[00:53:55.579 --> 00:53:57.860]  Then he wrote Brave New World Revisited, nonfiction, admitted it all.
[00:53:58.320 --> 00:54:01.701]  So since I mentioned all that, let me just show you the stack I talked about.
[00:54:02.141 --> 00:54:04.762]  Here's Andrew Schultz last night, said it was the best show he ever did.
[00:54:04.782 --> 00:54:07.163]  I went on there and had some fun, went crazy.
[00:54:07.523 --> 00:54:08.824]  That's my comedy side.
[00:54:09.684 --> 00:54:12.185]  But wow, YouTube pulled the Alex Jones episode.
[00:54:12.245 --> 00:54:12.505]  Wow.
[00:54:13.026 --> 00:54:20.649]  It had five times the viewers of any other episode they ever did, on par to break Joe Rogan's record podcast with Elon Musk, and then I'm in second place.
[00:54:22.247 --> 00:54:23.368]  Can't be allowed to happen.
[00:54:23.788 --> 00:54:24.609]  Well, why was it banned?
[00:54:24.629 --> 00:54:29.272]  Well, the word is, because I talked about mRNA gene therapy tied to cancer.
[00:54:29.652 --> 00:54:32.494]  COVID-MRA vaccines are a form of gene therapy.
[00:54:33.355 --> 00:54:34.816]  SwiftsInstitute.org.
[00:54:36.677 --> 00:54:40.420]  Medium.com, mRNA therapy, a new form of gene medicine.
[00:54:40.740 --> 00:54:41.581]  That's a few years ago.
[00:54:41.801 --> 00:54:43.782]  But now that it's known, they go, oh, no, no, no, it's not.
[00:54:46.384 --> 00:54:48.406]  mRNA, it's gene therapy, not a vaccine.
[00:54:50.586 --> 00:54:54.287]  mRNA, COVID-19 vaccines are really gene therapy and not vaccines.
[00:54:55.168 --> 00:54:55.968]  Says bioethicist.
[00:54:55.988 --> 00:55:02.751]  Well yeah, but they got liability protection for this giant field of medicine that's always failed and always caused problems by calling it vaccines.
[00:55:03.071 --> 00:55:04.111]  Now it's got liability protection.
[00:55:04.131 --> 00:55:04.832]  Here's where it gets interesting.
[00:55:06.332 --> 00:55:09.634]  A gene editing experiment on human embryos went horribly wrong.
[00:55:10.394 --> 00:55:12.375]  Read that from futurism.com.
[00:55:12.455 --> 00:55:15.536]  All the horrible mutations, the deaths, the deadly viruses, all of it.
[00:55:16.892 --> 00:55:20.177]  mRNA vaccines, a new era in vaccinology.
[00:55:21.899 --> 00:55:26.385]  Moderna announces positive interim phase 1 data on its mRNA vaccine.
[00:55:28.108 --> 00:55:31.252]  The cancer-specific drives mRNA
[00:55:32.256 --> 00:55:40.263]  Alternative, and it goes through all of it in PubMed, and explains that mRNA is directly connected to triggering cancer in your DNA.
[00:55:41.084 --> 00:55:43.426]  And there's NPR saying the same thing.
[00:55:43.926 --> 00:55:46.629]  It'll give you the mutations, give you cancer, give you the rise of the viruses.
[00:55:46.929 --> 00:55:47.830]  Can we please continue here?
[00:55:51.637 --> 00:55:56.699]  Bluebird scrambles to find out if his gene therapy caused cancer in clinical trial.
[00:55:57.339 --> 00:55:59.860]  Oh yeah, a bunch of folks that did it got cancer, but it's no big deal.
[00:56:00.560 --> 00:56:03.021]  Cancer is a known risk of gene therapies.
[00:56:04.822 --> 00:56:05.102]  Really?
[00:56:07.759 --> 00:56:10.300]  That's out of mainstream news, mid-city news.
[00:56:10.581 --> 00:56:11.981]  Oh, it's a known thing!
[00:56:12.402 --> 00:56:17.685]  Well, Bill Gates and the UN say, the fact-checkers say, the fact-checkers at Facebook actually run out of the Wuhan lab.
[00:56:18.385 --> 00:56:19.185]  Wuhan lab runs it.
[00:56:19.726 --> 00:56:20.526]  That's not true!
[00:56:21.186 --> 00:56:23.047]  It's a well-known thing, but that's not true.
[00:56:24.188 --> 00:56:29.769]  Why does gene therapy cause leukemia in some, boy-in-the-bubble syndrome in others?
[00:56:30.350 --> 00:56:33.370]  No immune system for some, and leukemia for others.
[00:56:33.470 --> 00:56:36.211]  Well, and that's out of Science Daily.
[00:56:36.591 --> 00:56:37.771]  But again, that's a few years ago.
[00:56:37.832 --> 00:56:38.672]  Now they've rolled this out.
[00:56:38.692 --> 00:56:39.452]  Not allowed to say that.
[00:56:39.812 --> 00:56:41.472]  Google will block you if you warn anybody.
[00:56:41.853 --> 00:56:47.294]  Liver tumor and gene therapy recipient raises concerns about virus widely used in treatment.
[00:56:48.578 --> 00:56:50.721]  Yeah, that's your virus vector technology.
[00:56:51.061 --> 00:56:52.643]  That's out of ScienceMag.org.
[00:56:52.863 --> 00:56:54.005]  I got about a hundred of these.
[00:56:54.025 --> 00:56:54.646]  You want to see some more?
[00:56:55.226 --> 00:56:58.010]  Oh, but I'm not allowed to tell you about that.
[00:56:58.611 --> 00:57:00.293]  I'm the bad man.
[00:57:01.194 --> 00:57:02.396]  I'm the evil man.
[00:57:02.576 --> 00:57:06.240]  But I've got a medical doctor on video saying the same thing out of Houston, who runs a big clinic.
[00:57:06.701 --> 00:57:21.951]  Of course it's in all the literature, but then I want to take your calls too from whistleblowers, or if you love the vaccines, doctors, medical workers, all of you, 877-789-2539, only medical workers, only doctors, or only people that love the vaccine or hated it.
[00:57:22.192 --> 00:57:28.456]  If you've taken it and loved it, or took it and got hurt, we want to hear from you, 877-789-2539, we'll be back.
[00:57:29.277 --> 00:57:31.058]  But it wasn't because I didn't know enough.
[00:57:33.159 --> 00:57:34.040]  I know too much.
[00:57:38.183 --> 00:57:39.004]  Does that make me crazy?
[00:57:40.186 --> 00:57:41.187]  Does that make you crazy?
[00:57:42.609 --> 00:57:45.472]  Well, yeah, because to all these devil worshippers, we are crazy!
[00:57:46.454 --> 00:57:49.898]  We don't want to screw kids and burn down buildings and destroy the planet.
[00:57:50.499 --> 00:57:51.020]  We're crazy!
[00:57:53.004 --> 00:58:08.190]  Alright, we're taking your phone calls here on the Alex Jones Show, because I open the phones up without even calling for whistleblowers, and a doctor calls in and says, 21 of my patients died after they took the shots, and another nurse calls in and says a bunch of the patients died, another caller calls in, and you see it in the news too, you see it in the literature, it's not hidden.
[00:58:09.911 --> 00:58:17.314]  So it's a giant test of just normalizing this, just like ancient cultures would sacrifice their children, or slavery was normal.
[00:58:19.258 --> 00:58:26.343]  You know, slavery went on everywhere, from Japan to ancient Rome, to every area of Africa did it, every area of Latin America when it was Mesoamerica.
[00:58:27.204 --> 00:58:29.385]  Christians were the first group to say, stop slavery.
[00:58:30.466 --> 00:58:32.548]  Oh, so we hear Christian nations are bad now.
[00:58:33.388 --> 00:58:34.269]  Because they know we care.
[00:58:34.789 --> 00:58:36.210]  Europe, England, the US.
[00:58:38.152 --> 00:58:38.672]  Think about that.
[00:58:39.393 --> 00:58:40.774]  So see, slavery's back, folks.
[00:58:41.034 --> 00:58:46.238]  Oh, Apple runs big death camps, that's good, because they fund Black Lives Matter and put black people in all their commercials.
[00:58:49.161 --> 00:58:51.103]  Man, if I was in all their commercials, I'd be looking out.
[00:58:53.486 --> 00:58:54.107]  Oh boy!
[00:58:54.427 --> 00:58:56.129]  Bill Gates is your friend if you're black.
[00:58:56.229 --> 00:58:58.252]  Yeah, I don't care what color you are, he's not your friend.
[00:58:58.272 --> 00:58:58.312]  877-789-2539.
[00:58:58.332 --> 00:58:59.053]  877-789-2539.
[00:58:59.073 --> 00:58:59.734]  If you just joined us.
[00:58:59.754 --> 00:59:01.376]  I showed you probably 15 mainstream news articles.
[00:59:09.926 --> 00:59:20.512]  With major prestigious universities, all of it saying, gene therapy halted, mRNA therapy halted after liver failure, after death, after leukemia, after boy-in-the-bubble syndrome.
[00:59:22.533 --> 00:59:28.856]  But now if you say it, they go, oh no, you're not allowed, only the UN can make a statement about mRNA.
[00:59:29.216 --> 00:59:29.517]  Wow!
[00:59:29.757 --> 00:59:33.599]  So they didn't just get liability protection by rolling it out as a vaccine, a gene therapy,
[00:59:35.154 --> 00:59:38.796]  A infusion, as the head of the NAACP said a few days ago.
[00:59:38.816 --> 00:59:40.137]  In fact, cue that up in Long Island.
[00:59:40.157 --> 00:59:42.399]  She says, I'm not questioning the infusion.
[00:59:43.460 --> 00:59:45.901]  I'm putting it in my arm and I'm not reading what's in it.
[00:59:46.402 --> 00:59:47.062]  Cue that up for me.
[00:59:48.323 --> 00:59:49.063]  And that's where you're at.
[00:59:49.464 --> 00:59:52.346]  And she's like, don't worry, you're not going to be able to read the insert anyways.
[00:59:52.646 --> 00:59:57.389]  They got a bill in Congress to take the inserts out and not have them tell you what the side effects are.
[00:59:57.409 --> 00:59:57.469]  Woo!
[01:00:00.679 --> 01:00:04.682]  877-789-2539 and I'm going right to your calls.
[01:00:05.502 --> 01:00:06.903]  Did it hurt you or did you love it?
[01:00:06.923 --> 01:00:07.804]  We're not screening your calls.
[01:00:07.924 --> 01:00:09.105]  Nobody's calling to say they loved it.
[01:00:10.746 --> 01:00:16.490]  Everybody I know, I have a family member, well I'll just say it, it's my brother-in-law.
[01:00:16.610 --> 01:00:22.874]  His dad's a medical doctor and they didn't make him at the hospital he works at do it.
[01:00:24.127 --> 01:00:25.848]  But he went and got it in the second shot.
[01:00:26.249 --> 01:00:28.570]  He got Guillain-Barré's and was paralyzed for a couple days.
[01:00:29.071 --> 01:00:29.691]  But he's tough.
[01:00:29.711 --> 01:00:30.471]  He fought through it.
[01:00:31.552 --> 01:00:32.433]  Just like Ben Stein.
[01:00:32.473 --> 01:00:33.293]  Why, he'd do it again.
[01:00:33.333 --> 01:00:34.114]  How about Hank Aaron?
[01:00:34.134 --> 01:00:34.915]  Will he do it again?
