[00:00:10.320 --> 00:00:11.840]  Attention!
[01:03:56.137 --> 01:03:57.478]  I saw Antifa set it up.
[01:03:57.478 --> 01:04:00.459]  I saw them turn a beautiful day into a horrible day.
[01:04:00.459 --> 01:04:03.781]  And then like, oh, you're not a man if you don't go to war first.
[01:04:03.781 --> 01:04:05.522]  Whoever shoots first loses.
[01:04:07.864 --> 01:04:09.924]  Most people were peaceful there, 99%.
[01:04:09.924 --> 01:04:11.865]  The media doesn't show you the footage.
[01:04:11.865 --> 01:04:20.706]  It was live on C-SPAN of folks walking for hours through the rotunda at the Capitol with the velvet ropes.
[01:04:20.706 --> 01:04:34.009]  They show the few, maybe dozen people that did a photo op, attacked the police, and the police ordered a stand down, under orders.
[01:04:35.759 --> 01:04:41.944]  They weren't complicit with false flag, they were under orders.
[01:04:41.944 --> 01:04:43.906]  And you saw the rest happen.
[01:04:43.906 --> 01:04:52.433]  And so, you know, I've even seen Nick Fuentes, who I think is a smart guy, say, you know, we're hearing from people, Jones, that this was mainly Antifa started this.
[01:04:52.433 --> 01:04:54.074]  No, this was Patriots were there.
[01:04:54.074 --> 01:04:59.739]  Yeah, after Antifa started the fight, and after the cops attacked the peaceful crowd, and then they stood down, then people just went in.
[01:04:59.739 --> 01:05:00.879]  Yeah, that's true, Nick.
[01:05:00.879 --> 01:05:03.682]  And I get we're in a country, we can have a Declaration of Independence.
[01:05:05.114 --> 01:05:06.835]  And I get we've been abused by the globalists.
[01:05:06.835 --> 01:05:09.317]  And I get that they're saying they can have violence against us.
[01:05:09.317 --> 01:05:11.099]  So your argument is, when are we going to stop being wimps?
[01:05:11.099 --> 01:05:13.381]  What I'm telling you is, is we're winning politically.
[01:05:13.381 --> 01:05:16.703]  Trump won in a landslide.
[01:05:16.703 --> 01:05:18.825]  And Biden is going to blow up in their face.
[01:05:18.825 --> 01:05:22.868]  And Biden is as crooked as a dog's back leg and as a barrel of snakes.
[01:05:26.846 --> 01:05:34.470]  They need to legitimize him by having a big terror attack or truck bomb or mass shooting coming up this weekend and next week!
[01:05:34.470 --> 01:05:36.111]  To legitimize Marshall Love!
[01:05:36.111 --> 01:05:41.715]  I mean, someone that can play checkers can understand this.
[01:05:41.715 --> 01:05:47.038]  The enemy wants the fight on their time, in their way, now.
[01:05:47.038 --> 01:05:49.079]  They start doing forced inoculations.
[01:05:49.079 --> 01:05:50.840]  They start taking people to FEMA centers.
[01:05:50.840 --> 01:05:52.721]  They send their contact tracers around.
[01:05:52.721 --> 01:05:54.202]  Man, look, look, look.
[01:05:55.720 --> 01:05:58.764]  Those of you looking for a war are probably going to get what you're looking for.
[01:05:58.764 --> 01:06:02.349]  I got a suspicion you're not going to be there when it actually happens.
[01:06:02.349 --> 01:06:05.453]  You want to sit back and watch a train wreck.
[01:06:05.453 --> 01:06:07.215]  So, I mobilized the event.
[01:06:07.215 --> 01:06:09.158]  I've gotten the blame for the event.
[01:06:09.158 --> 01:06:11.241]  I went there to show a peaceful event like we always have.
[01:06:12.708 --> 01:06:14.189]  Trump thought this was peaceful.
[01:06:14.189 --> 01:06:18.574]  He was like, oh, the militia, they're the real men.
[01:06:18.574 --> 01:06:24.079]  They're like John Wayne, never in the military, doesn't know how to load a gun right, but you know, he's our commander.
[01:06:24.079 --> 01:06:27.082]  Nothing against John Wayne, a patriot, a great guy.
[01:06:27.082 --> 01:06:32.086]  Like his movies, but I mean, they're called LARPing, and LARPers love LARPers.
[01:06:32.086 --> 01:06:33.748]  I'm not a LARPer.
[01:06:33.748 --> 01:06:34.769]  I'm an American patriot.
[01:06:36.363 --> 01:06:43.866]  With eight generations of Texans and family back to the Mayflower on both sides, baby.
[01:06:43.866 --> 01:06:45.747]  I don't have to tell you my pedigree.
[01:06:45.747 --> 01:06:49.488]  I've proven my mettle in the war in 27 years.
[01:06:49.488 --> 01:06:53.850]  But I will decide for me personally when I'm ready to get physical.
[01:06:53.850 --> 01:06:54.930]  And that means I failed.
[01:06:54.930 --> 01:06:57.171]  We have to go to that point.
[01:06:57.171 --> 01:07:01.873]  But I'll assure you this, it won't be Capitol Police that are getting killed if a revolution is led by Alex Jones.
[01:07:03.286 --> 01:07:07.550]  You can bet your bottom dollar, I want the police and military with me.
[01:07:07.550 --> 01:07:14.757]  And this entire operation is about turning them against us when we act like a bunch of idiots.
[01:07:14.757 --> 01:07:24.045]  So all you little so-called generals that can't tie your shoelaces, do not attempt to tell me about war.
[01:07:24.045 --> 01:07:25.566]  This is a war!
[01:07:25.566 --> 01:07:29.250]  Politics is war, and war is politics by another means.
[01:07:30.287 --> 01:07:33.745]  You've not studied war, you've dressed up in camouflage!
[01:07:35.467 --> 01:07:54.712]  I can't tell you how many times I've sat there and watched militias taken over by the feds and set up to carry out something stupid to make the militia look bad when the militia is a constitutional organ and is wonderful and it should be led by county commissioners and by the state, not cities.
[01:07:54.712 --> 01:07:57.833]  Cities are low-level, constitutional.
[01:07:57.833 --> 01:08:00.054]  And I believe in a National Guard.
[01:08:00.054 --> 01:08:00.834]  I believe in
[01:08:03.823 --> 01:08:04.643]  Civil defense.
[01:08:04.643 --> 01:08:06.545]  I believe in neighborhood watches.
[01:08:06.545 --> 01:08:09.306]  I believe in the militia and the Second Amendment.
[01:08:09.306 --> 01:08:17.070]  And Biden plans to demonize the Second Amendment and turn America against the Second Amendment with staged events coming this weekend.
[01:08:17.070 --> 01:08:20.592]  I saw the people, the left, the ADL, the Southern Poverty Law Center.
[01:08:20.592 --> 01:08:24.174]  They have turned their people loose on us.
[01:08:24.174 --> 01:08:25.815]  I faced their operatives.
[01:08:25.815 --> 01:08:27.956]  I was infiltrated by their operatives.
[01:08:27.956 --> 01:08:28.737]  I dealt with it.
[01:08:29.631 --> 01:08:31.394]  At point-blank range.
[01:08:31.394 --> 01:08:38.445]  I went to Capitol Police and said, let me get on your PA system and tell people to get out before the woman was killed.
[01:08:38.445 --> 01:08:39.427]  They wouldn't give it to me.
[01:08:40.848 --> 01:08:46.051]  The Capitol Police have a megaphone system on every corner of the building and inside it for emergencies.
[01:08:46.051 --> 01:08:46.852]  Deafening.
[01:08:46.852 --> 01:08:51.275]  If they would have said, leave now, leave now, this is an illegal assembly, they would have left.
[01:08:51.275 --> 01:08:55.317]  They didn't use the damn communication system!
[01:08:55.317 --> 01:08:57.939]  They wanted us in there to set us up!
[01:08:57.939 --> 01:08:59.180]  You moron!
[01:08:59.180 --> 01:08:59.840]  Kill people!
[01:08:59.840 --> 01:09:03.283]  Alright, let's go to Patrick.
[01:09:03.283 --> 01:09:04.103]  I appreciate him holding.
[01:09:04.103 --> 01:09:06.685]  Patrick Alley.
[01:09:06.685 --> 01:09:07.905]  Of NationalFile.com.
[01:09:07.905 --> 01:09:09.907]  He's also written for Epic Times and many other publications.
[01:09:11.721 --> 01:09:13.608]  NationalFile.com is the website.
[01:09:13.608 --> 01:09:14.912]  Thank you for joining us.
[01:09:14.912 --> 01:09:17.441]  Give us your take on the whole situation where the country is right now, please.
[01:09:18.922 --> 01:09:23.406]  Well Alex, you know, I think there's a lot to be optimistic about because America First is ascendant.
[01:09:23.406 --> 01:09:29.671]  I think all over the world people are beginning to realize that our political system here in the United States is absolutely broken.
[01:09:29.671 --> 01:09:32.073]  And I know that you're not a big fan of the protests.
[01:09:32.073 --> 01:09:33.634]  I think some funny things happen.
[01:09:33.634 --> 01:09:38.738]  For instance, somebody defecated on Chuck Schumer's desk and that puts a smile on my face.
[01:09:38.738 --> 01:09:39.719]  I like hearing that.
[01:09:39.719 --> 01:09:40.960]  I like seeing that headline.
[01:09:40.960 --> 01:09:44.563]  I think that's a small win for humanity when somebody does that.
[01:09:45.163 --> 01:09:49.826]  And, you know, the guy took the lectern of the Speaker of the House.
[01:09:49.826 --> 01:09:50.727]  You know, I'll say this.
[01:09:50.727 --> 01:09:56.430]  When the Viking Shaman and these people were presiding over Congress, there were no foreign wars, okay?
[01:09:56.430 --> 01:10:00.553]  We weren't giving any of our taxpayer dollars to Pakistan for gender studies.
[01:10:00.553 --> 01:10:07.898]  So I was getting calls from all over the world, including France and Italy, in the populist movement, and people were inspired by this.
[01:10:07.898 --> 01:10:11.180]  So, yes, it seems to have gone disastrously.
[01:10:11.567 --> 01:10:26.870]  And I wasn't there, and it didn't seem like there was any plan or any reason to it, and obviously there were agitators in the crowd, but I think just the act of civil disobedience puts the message out there that Americans are at odds with their government, and that's a powerful message.
[01:10:26.870 --> 01:10:31.831]  Patrick, yes, our founders dumped millions of dollars of equivalent of tea in the ocean against the tax.
[01:10:31.831 --> 01:10:33.312]  I get it.
[01:10:33.312 --> 01:10:34.852]  Okay, what I'm saying to you is,
[01:10:35.928 --> 01:10:39.791]  If we're gonna launch a war, it should be done differently, and we played right in their hands.
[01:10:39.791 --> 01:10:41.713]  And I don't want violence this weekend.
[01:10:41.713 --> 01:10:44.856]  The globalists have their provocateurs everywhere, trying to get violence.
[01:10:44.856 --> 01:10:46.657]  That's all I'm saying.
[01:10:46.657 --> 01:10:47.578]  Oh, absolutely right.
[01:10:47.578 --> 01:10:54.284]  Look, I've been fighting the war by trying to help President Donald Trump first get elected in 2016, and then again in 2020.
[01:10:54.284 --> 01:10:57.246]  And there's no question in my mind that we won that election.
[01:10:57.246 --> 01:10:58.047]  We won it big.
[01:10:58.459 --> 01:11:06.544]  And then they kiboshed us with the paper ballots, including Ruby Friedman with her suitcase ballots, you know, pulling the suitcase ballots down there in hot landers.
[01:11:06.544 --> 01:11:11.266]  And now we're not discussing that, we're discussing the Capitol fracas, that's all I'm saying.
[01:11:11.266 --> 01:11:14.268]  Right, and you know, look, at every single stage
[01:11:14.730 --> 01:11:17.493]  We have tried to win this thing in the overtime period.
[01:11:17.493 --> 01:11:22.177]  We appealed to the state legislatures with the great Rudy Giuliani's hearings and Jenna Ellis.
[01:11:22.177 --> 01:11:26.000]  We appealed to Mike Pence to do his constitutional duty.
[01:11:26.000 --> 01:11:33.227]  And as it was reported, Trump said, you know, Pence, you can go down as a heroic patriot or you can go down as a P word.
[01:11:34.008 --> 01:11:35.289]  I think you know what he meant.
[01:11:35.289 --> 01:11:44.199]  But, you know, this is a situation where at every single turn we were undermined by the Republican Party, the political class.
[01:11:44.199 --> 01:11:48.564]  This was nothing like- Yes, the same political class that hated Trump all along finally is getting what they want.
[01:11:48.564 --> 01:11:53.249]  And you look at the swollen, evil turtle, Mitch McConnell, he looks like he's taken four hits of ecstasy.
[01:11:53.249 --> 01:11:53.850]  He's very happy.
[01:11:55.313 --> 01:12:01.718]  So going forward, the America First movement is a dissident movement and that's where we need to be.
[01:12:01.718 --> 01:12:05.421]  Look, I put a lot of faith in President Donald Trump to reform this system.
[01:12:05.421 --> 01:12:14.948]  If he finds that in his four years he was unable to fundamentally reform this system, then we become a distant movement and that's possibly where we need to be going forward.
[01:12:15.228 --> 01:12:20.351]  The anger, the righteousness of the people is on our side and the entire world.
[01:12:20.351 --> 01:12:23.113]  I totally agree and that's why they needed something to change the subject.
[01:12:23.113 --> 01:12:25.054]  We don't need Republicans apologizing.
[01:12:25.054 --> 01:12:29.396]  We need to say, oh this is one one millionth as big as your Black Lives Matter crap.
[01:12:29.396 --> 01:12:35.460]  We decried the few idiots that broke a few things and took a dump on his, because that's insult to the feces to take a crap in.
[01:12:35.460 --> 01:12:38.022]  I mean you wouldn't like take dumps into hell.
[01:12:38.022 --> 01:12:38.922]  That's a gateway to hell.
[01:12:38.922 --> 01:12:40.063]  You want to go in Schumer's office.
[01:12:40.063 --> 01:12:41.804]  That's like where the poltergeist lives.
[01:12:42.404 --> 01:12:44.166]  I mean, I get it.
[01:12:44.166 --> 01:12:46.628]  We should just point out that it's an exaggerated mess.
[01:12:46.628 --> 01:12:51.253]  It's hysterically ridiculous, and we should find the fraud.
[01:12:51.253 --> 01:12:52.253]  The Resistance.
[01:12:52.253 --> 01:12:53.655]  Video.
[01:12:53.655 --> 01:12:54.816]  The Resistance.
[01:12:54.816 --> 01:12:56.077]  Video.
[01:12:56.077 --> 01:12:57.318]  The Resistance.
[01:12:57.318 --> 01:12:58.319]  Video.
[01:12:58.319 --> 01:12:59.340]  The Resistance.
[01:12:59.340 --> 01:13:00.481]  Video.
[01:13:00.481 --> 01:13:01.422]  The Resistance.
[01:13:01.422 --> 01:13:02.643]  Video.
[01:13:02.643 --> 01:13:03.644]  The Resistance.
[01:13:03.644 --> 01:13:03.884]  Video.
[01:13:05.487 --> 01:13:14.471]  InfoWars.com, NewsWars.com, Ban.Video, and hundreds of other URLs we've launched have been banned.
[01:13:14.471 --> 01:13:20.173]  That's why every month we launch a new URL before they ban it.
[01:13:20.173 --> 01:13:23.635]  But Soros and Bill Gates and the globalists are on our tail.
[01:13:24.415 --> 01:13:25.855]  We're good to go.
[01:13:50.800 --> 01:13:56.365]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[01:13:56.365 --> 01:13:57.406]  Alpha Power.
[01:13:57.406 --> 01:14:00.869]  As you age, your body can lose testosterone over time.
[01:14:00.869 --> 01:14:09.777]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[01:14:09.777 --> 01:14:17.904]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[01:14:18.544 --> 01:14:23.966]  Perfect by itself or with super male vitality in the true alpha male path.
[01:14:23.966 --> 01:14:31.189]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[01:14:31.189 --> 01:14:34.891]  Let Alpha Power help bring you to the peak of your optimal health.
[01:14:34.891 --> 01:14:37.932]  Don't fall short on energy in the fight against tyranny.
[01:14:37.932 --> 01:14:41.974]  Show the world what a true alpha male looks like today with Alpha Power.
[01:14:41.974 --> 01:14:44.475]  Head to InfoWarsStore.com today.
[01:14:53.735 --> 01:15:03.722]  You're listening to the Alex Jones Show.
[01:15:03.722 --> 01:15:06.384]  Waging war on corruption.
[01:15:06.384 --> 01:15:13.309]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:15:13.309 --> 01:15:16.772]  The globalists have put in a puppet.
[01:15:16.772 --> 01:15:18.153]  They're seven days away from it.
[01:15:19.264 --> 01:15:21.687]  They want to change the subject of violence.
[01:15:21.687 --> 01:15:22.909]  Has violence solved things?
[01:15:22.909 --> 01:15:29.798]  Yes, when you've got a good ideology and a group that's unified and educated and knows what the targets are.
[01:15:29.798 --> 01:15:34.784]  But velvet revolutions in the modern sense are what are more successful and easier for the globalists to launch them.
[01:15:36.230 --> 01:15:40.794]  90% of war decades ago was informational, now it's 98%.
[01:15:40.794 --> 01:15:48.139]  So I live this, and there's a lot of folks like, I'm sick of the UN, and I'm sick of the devil worshippers, and I'm gonna start killing people.
[01:15:48.139 --> 01:15:51.842]  And then those are being led by feds and by Q programmers.
[01:15:51.842 --> 01:15:56.005]  That's all I'm saying is, have we killed 62 million babies?
[01:15:56.005 --> 01:15:57.186]  Do we have a right to revolt?
[01:15:57.186 --> 01:15:59.708]  Absolutely, but what's the target?
[01:15:59.708 --> 01:16:00.889]  Random cops that are innocent?
[01:16:02.014 --> 01:16:03.695]  So that's what I'm getting at.
[01:16:03.695 --> 01:16:14.641]  And so I think Gypsy Lady, as she's known, that got in the face, we'll play this later, play it in a segment, Angry Gypsy Woman, that got in the face of Schumer, that's more like it.
[01:16:14.641 --> 01:16:16.242]  Just call them out for the frauds they are.
[01:16:16.242 --> 01:16:17.182]  Everywhere they go.
[01:16:17.182 --> 01:16:18.283]  Don't be violent like the left.
[01:16:18.883 --> 01:16:20.844]  So again, yes, it's total hypocrisy.
[01:16:20.844 --> 01:16:23.965]  But Patrick Halley, I respect your views on the election and what's happening.
[01:16:23.965 --> 01:16:27.306]  You fought hard to expose election fraud, but seven days left.
[01:16:27.306 --> 01:16:29.027]  Trump needs to resolute desk.
[01:16:29.027 --> 01:16:31.368]  They didn't carry a speech anywhere basically yesterday.
[01:16:31.368 --> 01:16:32.688]  He needs to be hammering China.
[01:16:32.688 --> 01:16:37.930]  I know Pompeo's about to, with the Wuhan revelation that it was a bioweapon.
[01:16:37.930 --> 01:16:42.292]  I mean, all of this, he needs to be absolutely out front right now.
[01:16:42.292 --> 01:16:42.712]  What do you say?
[01:16:44.071 --> 01:16:44.571]  Absolutely.
[01:16:44.571 --> 01:16:49.574]  And it was a bioweapon, by the way, that Dr. Anthony Fauci funded at the Wuhan Institute of Virology.
[01:16:49.574 --> 01:16:50.455]  He created it.
[01:16:50.455 --> 01:16:53.016]  He's the Dr. Frankenstein of coronavirus.
[01:16:53.016 --> 01:16:55.177]  That little Napoleon complex man.
[01:16:55.177 --> 01:17:04.383]  And now they are shutting down small business all over the country, ruining our biggest accomplishment in the Trump administration, which was the massive, amazing economy that we had.
[01:17:04.383 --> 01:17:05.543]  And that was the goal!
[01:17:05.543 --> 01:17:07.664]  I mean, Bill Maher and all of them said it.
[01:17:07.664 --> 01:17:09.265]  We're going to kill the economy to blame Trump.
[01:17:09.265 --> 01:17:11.987]  They did this to literally wage war on the average person.
[01:17:13.513 --> 01:17:15.634]  That's what they are doing and that's where we're at.
[01:17:15.634 --> 01:17:28.018]  And so the Oath Keepers within law enforcement need to respond right now and say no, we're not going to go drag a mom out of her middle school football game because she's not wearing a mask.
[01:17:28.018 --> 01:17:34.200]  We're not going to go and invade somebody's Christmas dinner or their Kwanzaa dinner.
[01:17:34.200 --> 01:17:35.460]  We're hearing a lot about Kwanzaa.
[01:17:36.038 --> 01:17:38.379]  You know, I celebrate Kwanzaa, by the way.
[01:17:38.379 --> 01:17:41.119]  I celebrate it by watching Foxy Brown and Dolomite.
[01:17:41.119 --> 01:17:44.940]  But Christmas, you know, you're at Christmas with your family.
[01:17:44.940 --> 01:17:46.181]  You've got six people there.
[01:17:46.181 --> 01:17:48.601]  The cops are going to bang down your door.
[01:17:48.601 --> 01:17:54.163]  The Oath Keepers, the real constitutionalists within law enforcement need to stand up to this because
[01:17:54.803 --> 01:17:57.005]  Right now is when they are... I agree.
[01:17:57.005 --> 01:17:59.006]  So I think it's time for civil disobedience.
[01:17:59.006 --> 01:18:00.808]  That means non-violent.
[01:18:00.808 --> 01:18:02.169]  That means not taking a dump.
[01:18:02.169 --> 01:18:05.831]  I know you think it's funny and I get the joke on Chuckie Schumer, but that's an insult to the crap.
[01:18:05.831 --> 01:18:09.854]  I mean, so seriously, this crap can be used as fertilizer.
[01:18:09.854 --> 01:18:13.877]  Schumer has no use except being, you know, sent to hell later by God.
[01:18:13.877 --> 01:18:15.098]  But what else can Trump do?
[01:18:16.377 --> 01:18:22.141]  Yeah, well I do think it's important to note that this Capitol Police officer who died, died of a medical condition.
[01:18:22.141 --> 01:18:24.042]  The media lied and said it was an attack.
[01:18:24.042 --> 01:18:25.743]  They did, heart attack.
[01:18:25.743 --> 01:18:28.265]  The police opened fire on Ashley.
[01:18:28.265 --> 01:18:29.866]  They insanely opened fire.
[01:18:30.427 --> 01:18:33.389]  And, you know, killed somebody who was on the Patriot side.
[01:18:33.389 --> 01:18:43.196]  So, this is not Charlottesville 2.0, because Ashley was on the Patriot side, a great person, an Air Force veteran, who wanted to make this country better, and is now dead at the hands of the police.
[01:18:43.196 --> 01:18:54.163]  You are finally beginning to see the right wing in this country turn against law enforcement, turn against this back-the-blue, you know, steadfast... We understand the left was attacking him.
[01:18:54.163 --> 01:18:56.965]  We know they're not perfect, but we support the Constitution.
[01:18:56.965 --> 01:18:57.385]  I agree.
[01:18:57.385 --> 01:18:59.627]  We need the police to come out and decry the execution.
[01:19:00.507 --> 01:19:02.428]  Of this poor lady.
[01:19:02.428 --> 01:19:04.349]  And we should say, say her name.
[01:19:04.349 --> 01:19:06.730]  Say her name.
[01:19:06.730 --> 01:19:07.430]  Yep.
[01:19:07.430 --> 01:19:16.495]  And the great thing to see as a citizen journalist is that now all over the country people are taking it to the streets and they're getting up in the faces of these politicians.
[01:19:16.495 --> 01:19:19.156]  You know, Mitt Romney on a plane, for instance.
[01:19:19.156 --> 01:19:21.717]  Or you had Lindsey Graham at the airport.
[01:19:22.156 --> 01:19:22.216]  And
[01:19:40.714 --> 01:19:46.797]  Very high testosterone guy in there who sells out our country, that traitor, that Quisling.
[01:19:46.797 --> 01:19:54.100]  And look, they used a few protesters that they killed to like, now he has like 20 troops with him.
[01:19:54.100 --> 01:19:57.262]  I mean, we're turning into Baghdad here.
[01:19:57.262 --> 01:19:57.842]  Yep.
[01:19:57.842 --> 01:20:02.384]  And these people are in a higher class and they're a higher caste of society.
[01:20:02.384 --> 01:20:05.466]  And so now they get the protection of the state.
[01:20:05.908 --> 01:20:09.769]  And so, you know, what citizen journalists are doing, it's so amazing.
[01:20:09.769 --> 01:20:12.429]  You saw Mitt Romney there being confronted at the airport.
[01:20:12.429 --> 01:20:18.331]  You saw, you know, when he got on his plane, Trump supporters chanting, traitor, traitor.
[01:20:18.331 --> 01:20:21.952]  I mean, this is a guy who was the Republican nominee for president not long ago.
[01:20:21.952 --> 01:20:24.292]  People are done with the political class.
[01:20:24.292 --> 01:20:25.712]  It's a beautiful thing to see.
[01:20:25.712 --> 01:20:27.073]  It's an amazing thing to see.
[01:20:27.073 --> 01:20:28.293]  Now, not all agree with you.
[01:20:28.293 --> 01:20:31.254]  That's the good news is there's a total global realignment against them.
[01:20:31.254 --> 01:20:31.914]  That's my next question.
[01:20:32.774 --> 01:20:34.195]  He totally stole the election.
[01:20:34.195 --> 01:20:37.157]  They need violence to make him look like a victim.
[01:20:37.157 --> 01:20:38.658]  That's why I'm against the violence particularly.
[01:20:38.658 --> 01:20:43.041]  I'm always against it, but really against it, because they're pushing for it right now behind the scenes and publicly.
[01:20:43.041 --> 01:20:46.543]  So what do they do, though, as the whole world turns against them even more?
[01:20:46.543 --> 01:20:53.488]  I agree, the world was cheering this, and I'm like, look, it looks good on the surface until you realize they're going to use this to take our rights.
[01:20:53.488 --> 01:21:01.233]  And it didn't end with Pelosi getting arrested or whatever, because it helped cover up the election fraud that's coming out in founts.
[01:21:02.751 --> 01:21:03.431]  Yep.
[01:21:03.431 --> 01:21:06.733]  But it's important to remember that they're accelerating anyway.
[01:21:06.733 --> 01:21:25.782]  And so as people look for leadership, it's up to guys like us to provide them leadership and provide them solutions about how to peacefully go forward here and make sure that we protect our rights and we protect, you know, if you're in a county that's a patriotic county, make sure that your sheriff is on your side.
[01:21:25.782 --> 01:21:31.025]  Make sure that you have the power of the state where you are as best you can.
[01:21:31.425 --> 01:21:35.330]  And then you can begin to assert yourself and say, no, I'm not shutting down my business.
[01:21:35.330 --> 01:21:43.159]  And then film it and put it out on Gab and put it out on Perler and these new different outlets and get it out there.
[01:21:43.159 --> 01:21:45.822]  How incredible is that, Patrick Howley of NationalFall.com?
[01:21:46.403 --> 01:21:48.064]  That they always say build your own thing.
[01:21:48.064 --> 01:21:50.705]  Now they're all trying to shut down Telegram.
[01:21:50.705 --> 01:21:52.425]  They're all trying to shut down Gab.
[01:21:52.425 --> 01:21:53.666]  They're trying to shut down Parler.
[01:21:53.666 --> 01:21:55.266]  They have shut down Parler for now.
[01:21:55.266 --> 01:21:57.867]  I mean, this is just total cartel behavior.
[01:21:57.867 --> 01:22:01.269]  Now they've silenced the President of the United States while he's calling for peace.
[01:22:01.269 --> 01:22:02.149]  I mean, this is crazy!
[01:22:03.356 --> 01:22:07.860]  We don't have a government anymore that's even going to pretend to have any responsibility to us.
[01:22:07.860 --> 01:22:08.821]  We have a regime.
[01:22:08.821 --> 01:22:10.303]  We have a criminal racket.
[01:22:10.303 --> 01:22:24.956]  When you look at who these people are, like Jake Sullivan, who is Hillary Clinton's right-hand guy, the guy in the WikiLeaks emails who said that Al Qaeda is on our side over there in the Middle East, he's going to be running the NSA, tracking your phone calls, listening in day in and day out.
[01:22:24.956 --> 01:22:26.718]  Trust me, Jake Sullivan knows who I am.
[01:22:26.718 --> 01:22:27.479]  He's not a fan.
[01:22:27.799 --> 01:22:28.680]  Well you know what?
[01:22:28.680 --> 01:22:30.021]  I'm not afraid of him.
[01:22:30.021 --> 01:22:36.388]  I'm not afraid of that bald weakling Jeff Bezos or that nerd Bill Gates who could never get a date in school.
[01:22:36.388 --> 01:22:39.110]  These people are trying to inflict their own pathology.
[01:22:39.110 --> 01:22:39.971]  Are you kidding though?
[01:22:39.971 --> 01:22:42.914]  I mean Bill Gates is raping the planet with forced inoculations.
[01:22:42.914 --> 01:22:45.297]  So at the end of the day, he laughs last.
[01:22:46.650 --> 01:22:49.952]  Well, I don't think so, because he hasn't vaccinated me yet.
[01:22:49.952 --> 01:22:53.775]  I haven't gotten the Demon 666 vaccine, and nobody I know has.
[01:22:53.775 --> 01:22:56.117]  And so, it's not mandatory yet.
[01:22:56.117 --> 01:23:03.702]  And so... They're going to try to use it to travel, and they're using PCR tests now, that federal courts, German courts have ruled are fake!
[01:23:03.702 --> 01:23:04.443]  They're fake!
[01:23:04.443 --> 01:23:07.965]  The inventor said it was a fraud!
[01:23:07.965 --> 01:23:09.166]  Even the CDC admitted that.
[01:23:09.166 --> 01:23:11.328]  You can test positive with the common cold.
[01:23:11.328 --> 01:23:12.869]  That's been the case all along.
[01:23:13.266 --> 01:23:24.216]  Nobody believes, even normie people, even regular people, nobody believes anymore that these numbers on this... Brother, we hired a statistician, I've actually got the numbers, I've been so busy I haven't put them out yet.
[01:23:24.216 --> 01:23:28.139]  Did you know 61,000 more people died in 2020 than 2019?
[01:23:28.139 --> 01:23:28.400]  61,000.
[01:23:28.400 --> 01:23:31.022]  And look at population growth, it usually goes above that.
[01:23:31.022 --> 01:23:35.706]  It's usually about 70,000 to 80,000 more die each year as population goes up, and the population's aging.
[01:23:37.355 --> 01:23:39.599]  Basically the same number died last year or the year before.
[01:23:39.599 --> 01:23:40.661]  It's all a fraud.
[01:23:40.661 --> 01:23:41.823]  It's all a hoax.
[01:23:41.823 --> 01:23:42.864]  Thank you so much my friend.
[01:23:42.864 --> 01:23:44.748]  People can find your work at NationalFall.com.
[01:23:44.748 --> 01:23:46.170]  Alex Jones with InfoWars.com.
[01:23:48.700 --> 01:23:52.802]  Webster's Dictionary has a very simple definition of terrorism.
[01:23:52.802 --> 01:23:55.163]  Other dictionaries have similar ones.
[01:23:55.163 --> 01:24:02.806]  Terrorism is the threat of force, or actually carrying out force, for a political or financial reason.
[01:24:02.806 --> 01:24:06.708]  It's basically scaring the hell out of people until you submit to them.
[01:24:06.708 --> 01:24:10.169]  That's exactly what all this overblown COVID-19 garbage is.
[01:24:10.169 --> 01:24:12.610]  You see the headlines from CNN, ABC News.
[01:24:12.610 --> 01:24:14.991]  Doctors say it's worse than they ever thought.
[01:24:14.991 --> 01:24:16.812]  COVID more devastating than you could ever imagine.
[01:24:17.552 --> 01:24:23.816]  They told us that two and a half million people would be dead just eight months ago, within three months.
[01:24:23.816 --> 01:24:24.757]  Okay?
[01:24:24.757 --> 01:24:29.340]  It's a quarter million if you count all of the people that died of other things.
[01:24:29.340 --> 01:24:31.642]  We're talking 96% had comorbidity.
[01:24:31.642 --> 01:24:32.442]  These are real numbers.
[01:24:32.442 --> 01:24:33.723]  These are real facts.
[01:24:33.723 --> 01:24:41.108]  This is the chicken little event where we all run in our houses, never come out, and are taught we're not essential, while the big box stores in Amazon take over the planet.
[01:24:41.609 --> 01:24:42.392]  Rebuke it.
[01:24:42.392 --> 01:24:43.576]  Stand up against it.
[01:24:43.576 --> 01:24:45.343]  This is slavery.
[01:24:45.343 --> 01:24:47.571]  It is not something you can put up with and survive.
[01:24:48.903 --> 01:24:51.566]  Now is the time to get prepared.
[01:24:51.566 --> 01:24:54.028]  You gotta pray to God and get your soul ready.
[01:24:54.028 --> 01:24:56.991]  You gotta be prepared to physically defend yourself and your family.
