[00:00:09.943 --> 00:00:10.364]  We're here!
[01:33:27.615 --> 01:33:28.315]  Thank you, Alex.
[01:33:28.335 --> 01:33:29.556]  Let's do this again sometime.
[01:33:29.757 --> 01:33:30.217]  Thank you, sir.
[01:33:30.477 --> 01:33:30.758]  Wow.
[01:33:31.058 --> 01:33:46.732]  Okay, ladies and gentlemen, that was an extremely powerful interview on the heels of Ernest Ramirez, his son, Ernest Jr., in great shape, played sports, 16 years old, died five days after he got the Moderna shot from a massive heart swelling heart attack.
[01:33:47.633 --> 01:33:51.956]  So we're going to go to break and we are going to come back with our next
[01:33:52.617 --> 01:33:58.022]  guest here, ladies and gentlemen, and we'll tell you about that when we introduce them here in a few minutes.
[01:33:58.062 --> 01:34:05.729]  And then Robert Barnes, Joel Skousen, and Steve Quayle all coming up as well on this Emergency Saturday broadcast.
[01:34:05.749 --> 01:34:06.450]  This is war.
[01:34:07.711 --> 01:34:08.992]  Biden's declared war on us.
[01:34:09.493 --> 01:34:10.193]  Are you going to fight?
[01:34:10.373 --> 01:34:11.234]  It's an info war.
[01:34:11.474 --> 01:34:12.736]  We're trying to stop a physical war.
[01:34:12.976 --> 01:34:14.177]  They've already physically attacked us.
[01:34:14.457 --> 01:34:15.298]  Spread the links now.
[01:34:15.578 --> 01:34:16.479]  Share this video now.
[01:34:16.739 --> 01:34:17.320]  Fight back.
[01:34:17.620 --> 01:34:18.241]  God's watching.
[01:34:25.326 --> 01:34:38.000]  We will be looking at what contact tracing looks like in the New World Order.
[01:34:38.300 --> 01:34:40.002]  I am not happy being vindicated.
[01:34:40.242 --> 01:34:45.909]  I am not happy having the entire Rockefeller New World Order UN takeover plan unfolding.
[01:34:46.389 --> 01:34:51.874]  I'm not happy to see the Mayor of Chicago saying you must pledge allegiance to the New World Order when she's talking about lockdowns.
[01:34:52.514 --> 01:35:02.743]  I am not happy when we see the head health minister in Australia say contact tracers are coming, you can't leave your house ever unless you've had shots of these experimental injections, this is the New World Order.
[01:35:03.203 --> 01:35:04.264]  I'm not happy about that.
[01:35:04.524 --> 01:35:06.106]  I knew it was coming, I tried to stop it.
[01:35:06.426 --> 01:35:08.087]  But we're not caught flat-footed.
[01:35:08.127 --> 01:35:14.233]  People are really awake around the world and the globalists are trying to censor and failing because they can't get their agenda through
[01:35:14.933 --> 01:35:19.922]  If the people know the truth, and out of all the great resistance out there, Rand Paul and so many others.
[01:35:21.314 --> 01:35:28.356]  Roger Stone's out there fighting it, we've got Joe Rogan, we've got all those great people like Tucker Carlson, and all of you out there.
[01:35:28.756 --> 01:35:35.338]  But out of all the groups and organizations, it is the InfoWars listeners and viewers that are the biggest and most hardcore and most effective.
[01:35:35.599 --> 01:35:37.519]  That's why they hate me, because they hate you.
[01:35:38.039 --> 01:35:40.100]  So more than ever, tell folks about Bandot Video.
[01:35:40.340 --> 01:35:41.720]  Tell folks about InfoWars.com.
[01:35:41.981 --> 01:35:43.141]  Tell them the truth lives there.
[01:35:43.441 --> 01:35:48.262]  And not just check it out, but to share it with others, and tell them to share it, and that triggers a chain reaction.
[01:35:48.483 --> 01:35:49.283]  And then separately,
[01:35:50.188 --> 01:35:56.651]  Vitamin Mineral Fusion is about to sell out the next three or four days, but despite that, it is 33% off.
[01:35:56.971 --> 01:35:58.952]  Knockout Sleep Aid, back in stock.
[01:35:59.412 --> 01:36:00.712]  All natural, eight ingredients.
[01:36:01.253 --> 01:36:04.634]  Wonderful restful sleep, so good for your immune system as well, to get that good sleep.
[01:36:05.014 --> 01:36:05.474]  It is 50% off.
[01:36:06.935 --> 01:36:13.338]  And we have the super-concentrated Vitamin B12, Ultra 12, back in stock, 50% off, and a lot more.
[01:36:13.639 --> 01:36:15.720]  So, this sale on Vitamin Refusion runs through Monday.
[01:36:15.960 --> 01:36:18.961]  The new sale throughout the week is the Knockout and the Ultra 12.
[01:36:19.502 --> 01:36:21.202]  Get yours today at InfoWarsTore.com.
[01:36:34.136 --> 01:36:38.179]  Big Brother, mainstream media, government cover-ups.
[01:36:38.979 --> 01:36:40.400]  You want to stop tyranny?
[01:36:40.660 --> 01:36:41.881]  Well, so does he.
[01:36:42.342 --> 01:36:47.045]  Live from the InfoWars.com studios, it's Alex Jones.
[01:36:47.825 --> 01:36:51.428]  Well, I tell you folks, it was rough with our first guest.
[01:36:53.409 --> 01:37:02.115]  Ernest Ramirez, the father, the single parent, raised his son since he was a baby, and he died.
[01:37:03.851 --> 01:37:06.693]  Five days after he took the Moderna shot of a swollen heart.
[01:37:06.733 --> 01:37:09.435]  He was exercising, he was in sports, he was in good shape.
[01:37:10.096 --> 01:37:14.138]  And died when he started playing basketball at a basketball court with other 16 year olds.
[01:37:14.479 --> 01:37:16.160]  Just a few minutes into it with a swollen heart.
[01:37:17.601 --> 01:37:18.281]  And of course we had...
[01:37:20.891 --> 01:37:22.492]  So many other folks here on the show today.
[01:37:22.772 --> 01:37:23.812]  It's just been insane.
[01:37:23.852 --> 01:37:29.575]  But Melissa Gunderson is there with Scott Miller, a physician's assistant.
[01:37:29.695 --> 01:37:33.677]  MillerPeds.com, also works in pediatrics.
[01:37:34.557 --> 01:37:37.278]  And her husband's on a ventilator despite ivermectin prescription.
[01:37:37.358 --> 01:37:38.319]  Hospital won't give it.
[01:37:39.099 --> 01:37:41.140]  Holding him hostage, waiting to die.
[01:37:42.881 --> 01:37:47.143]  Roger's being denied life-saving treatment at Peace Health Hospital.
[01:37:48.780 --> 01:37:56.285]  ICU doctors, the treatment he has been prescribed already has been studied and peer reviewed and shown to have a 58% improvement rate.
[01:37:56.705 --> 01:38:02.349]  She has six recordings and she's going to be posting those and I guess transcripts soon.
[01:38:02.409 --> 01:38:03.189]  She's going to send us some.
[01:38:03.210 --> 01:38:07.692]  We're going to get them on screen for you of those with an app program that they have.
[01:38:08.773 --> 01:38:11.735]  And it's the same thing you see everywhere.
[01:38:11.795 --> 01:38:15.157]  Rob Dew, our news director, just to tell the story and then go to them.
[01:38:16.238 --> 01:38:17.639]  He got COVID.
[01:38:19.168 --> 01:38:22.732]  And went to the hospital and checked himself in and they gave him no treatment.
[01:38:22.752 --> 01:38:25.194]  He just sat there as his lungs filled.
[01:38:25.795 --> 01:38:33.603]  Well, we got him to talk to Dr. Bartlett and got him to go home and take the ivermectin and the...
[01:38:35.054 --> 01:38:38.436]  Other things like the inhalable steroids and he got a lot better.
[01:38:38.516 --> 01:38:40.358]  My dad was almost dead from it.
[01:38:40.378 --> 01:38:41.538]  He didn't tell me he was sick for a week.
[01:38:41.558 --> 01:38:45.781]  I went over to his house and I heard he was sick and he couldn't even talk, couldn't even get up.
[01:38:46.181 --> 01:38:50.764]  I got him doctors to go there and to give him the prescriptions by that evening.
[01:38:50.784 --> 01:38:55.588]  By the next day, lawn chairs and stuff and pool chairs had been delivered that had been sitting there while he was sick.
[01:38:55.808 --> 01:38:57.069]  He got it together and put them together.
[01:38:57.089 --> 01:38:58.830]  It was like 90% better and they got better.
[01:39:00.182 --> 01:39:01.763]  My mom says she's never been this sick as well.
[01:39:01.823 --> 01:39:03.825]  She was there, but didn't almost kill her.
[01:39:03.865 --> 01:39:05.386]  She was able to get out, knew who she was.
[01:39:06.767 --> 01:39:09.629]  So, they know these ventilators, they're equivalent of guillotines.
[01:39:09.889 --> 01:39:11.410]  It's hard to say, I know she's here watching.
[01:39:11.811 --> 01:39:15.473]  But we hear the same story, we see it everywhere, where they refuse treatment.
[01:39:15.513 --> 01:39:17.735]  And it's mainly those hospitals, you have the clusters of death.
[01:39:17.995 --> 01:39:25.080]  While other hospitals will prescribe these things, like zinc and vitamin D and intravenous vitamin C.
[01:39:26.331 --> 01:39:28.060]  And so, this is real evil we're witnessing.
[01:39:28.080 --> 01:39:30.572]  We've been lied to every step of the way by this system.
[01:39:31.400 --> 01:39:34.822]  So I want to try to give these folks the floor, Melissa Gunderson.
[01:39:35.542 --> 01:39:43.186]  I appreciate her courage and her fighting spirit, and Scott Miller for helping her out of millerpeds.com, millerpediatrics.com.
[01:39:43.966 --> 01:39:47.428]  So you guys start wherever you want in the time we have together here.
[01:39:47.448 --> 01:39:50.430]  And I want to just try to give you guys the floor to begin and talk about this.
[01:39:51.170 --> 01:39:56.593]  And I know you want to air those recordings, but it's a two-party state.
[01:39:56.813 --> 01:39:57.333]  But I get it.
[01:39:57.513 --> 01:39:58.454]  It's a public interest.
[01:39:58.474 --> 01:40:00.375]  Your husband's basically locked up there.
[01:40:01.215 --> 01:40:02.616]  And you've got the recordings of them.
[01:40:02.696 --> 01:40:03.596]  I've seen the transcripts.
[01:40:04.096 --> 01:40:07.597]  We're getting the transcripts, the rest of them, saying, we don't care.
[01:40:07.637 --> 01:40:08.277]  He's going to die.
[01:40:08.358 --> 01:40:08.958]  Ha ha.
[01:40:09.018 --> 01:40:10.078]  Laughing about Avermected.
[01:40:10.298 --> 01:40:13.179]  I guess they like the fake stories out of Oklahoma that they've now retracted.
[01:40:13.539 --> 01:40:14.940]  Then forget all the peer-reviewed studies.
[01:40:15.340 --> 01:40:16.300]  So this is really sick.
[01:40:17.581 --> 01:40:21.082]  And this shows the idiocracy that some areas and some people become in this country.
[01:40:21.522 --> 01:40:26.065]  You know, who knew that Mike Judge's film made 20 years ago would come true in 20 years, not 200 years.
[01:40:26.125 --> 01:40:29.007]  So thank you for joining us, Melissa Gunderson and Scott Miller.
[01:40:29.367 --> 01:40:30.228]  You guys have the floor.
[01:40:30.288 --> 01:40:31.088]  Please tell us what's happened.
[01:40:32.009 --> 01:40:32.329]  Sure.
[01:40:32.349 --> 01:40:32.989]  Yeah.
[01:40:33.070 --> 01:40:37.632]  I mean, if I had known this would be the turn of events, we would have never gone to the emergency room in the first place.
[01:40:38.153 --> 01:40:46.018]  We almost did it as like a technicality because he has a really busy job and he had a fever and we just wanted to kind of get the like, okay, yep, you have COVID.
[01:40:46.553 --> 01:40:48.755]  Or you don't and let's move on and get some treatment.
[01:40:48.795 --> 01:40:55.319]  We had no clue he would be basically held hostage there for the whole time and not be able to get any effective treatment.
[01:40:55.399 --> 01:41:04.646]  So basically, like what you said, he went in and they did nothing but give him oxygen and bully him and come in every five minutes with a new nurse and a new doctor telling him how he's going to die.
[01:41:04.666 --> 01:41:05.767]  He's going to have a cardiac arrest.
[01:41:06.625 --> 01:41:13.287]  If he does not get on the ventilator, and this was even when his oxygen levels were up in the higher ranges, telling him that he needed to do this.
[01:41:13.367 --> 01:41:14.568]  So it was a bullying fest.
[01:41:15.108 --> 01:41:17.248]  Well, when you say he's being held hostage, let me stop you.
[01:41:17.268 --> 01:41:18.289]  Go over it.
[01:41:18.309 --> 01:41:19.049]  That's the key here.
[01:41:19.069 --> 01:41:19.709]  Tell us about that.
[01:41:20.489 --> 01:41:21.190]  Yeah.
[01:41:21.210 --> 01:41:34.894]  So they let me in, miraculously, to the ICU COVID ward, even though they say it's against policy, because they were under the impression I, being his wife, would agree and convince him to get put onto a ventilator.
[01:41:35.456 --> 01:41:39.297]  And much to their dismay, when I went up there, that was not the case.
[01:41:39.477 --> 01:41:40.437]  I wanted to get him out.
[01:41:41.558 --> 01:41:47.839]  When we finally told them that if his options are to either go home or be on the ventilator, those were our two choices.
[01:41:47.979 --> 01:41:50.080]  Once we found that out, I said, I want him home.
[01:41:50.620 --> 01:41:57.762]  It took nine hours from that point for me to finally get him home after a much fight and struggle and arguing with every person in that hospital.
[01:41:58.402 --> 01:42:02.943]  As he is sitting there on a machine trying to live and trying to rest and trying to breathe.
[01:42:03.439 --> 01:42:06.562]  They were stressing him out and just telling him basically he's going to die the whole time.
[01:42:07.062 --> 01:42:10.245]  So we had excuse upon excuse given to us as to why he couldn't leave.
[01:42:11.666 --> 01:42:16.490]  And obviously some of them were lies because they were completely different stories from everybody we listened to.
[01:42:16.950 --> 01:42:22.895]  One person told us that we couldn't leave because the hospital doesn't allow for oxygen prescriptions to be taken home.
[01:42:23.323 --> 01:42:25.524]  One of them told us, no, it's not because we don't allow prescriptions.
[01:42:25.565 --> 01:42:26.525]  Oh, I forgot that.
[01:42:26.565 --> 01:42:32.089]  When Rob Dew left, they wouldn't give him his medical records for weeks and wouldn't give him an oxygen prescription.
[01:42:32.109 --> 01:42:33.409]  I forgot that part.
[01:42:33.670 --> 01:42:40.294]  It's the same evil corporations like BP at Deepwater Horizon saying, we don't need to put concrete in the hole.
[01:42:40.554 --> 01:42:41.595]  The engineers go, it'll blow up.
[01:42:41.615 --> 01:42:42.335]  They go, we don't care.
[01:42:42.595 --> 01:42:43.056]  It's the same thing.
[01:42:43.096 --> 01:42:45.677]  Like corporate people, you know, just don't give them oxygen if they leave.
[01:42:45.697 --> 01:42:46.418]  Don't give them medicine.
[01:42:46.438 --> 01:42:48.239]  So please continue.
[01:42:48.922 --> 01:42:50.203]  Yep, so they wouldn't give us that.
[01:42:50.243 --> 01:42:51.624]  They told us that might be a reason.
[01:42:51.664 --> 01:43:05.294]  They told us that, oh, oops, Lorco, who's the company that fills their prescriptions for oxygen, which apparently they do give, I later found out, they messed up the prescription and the amount of the liters, oxygen liters, that he needed were incorrect.
[01:43:05.414 --> 01:43:09.657]  And I'm actually on the phone with Lorco, talking to them, trying to fill it, to expedite this process to get him out.
[01:43:10.398 --> 01:43:12.900]  And the lady goes, oh, your nurse is actually on the other line right now.
[01:43:12.940 --> 01:43:17.203]  She just told us to change the prescription to 10 liters, not 15.
[01:43:17.263 --> 01:43:18.384]  We need a different prescription.
[01:43:19.079 --> 01:43:21.480]  And we actually don't have that, so I'm sorry, we can't give it to you.
[01:43:21.680 --> 01:43:24.921]  And the nurse came in and said, well, we just heard back from Norco.
[01:43:24.941 --> 01:43:29.523]  They told us that they don't have what you need, so you guys can't take your oxygen home.
[01:43:30.083 --> 01:43:35.485]  I mean, then after that, another gentleman came up and told me, well, it's not the oxygen that's preventing you from leaving.
[01:43:35.545 --> 01:43:44.149]  It's the fact that the hospital doesn't have a protocol in place right now for how to release a patient from ICU without endangering the rest of the hospital.
[01:43:44.729 --> 01:43:45.409]  We don't have that.
[01:43:45.829 --> 01:43:47.710]  We don't have a protocol to release someone.
[01:43:48.049 --> 01:43:51.261]  Because what if your husband has a heart attack in the elevator on the way out?
[01:43:51.301 --> 01:43:52.124]  We just don't have a way.
[01:43:53.789 --> 01:43:55.049]  You know why they're doing that?
[01:43:55.069 --> 01:43:56.530]  Globally.
[01:43:56.610 --> 01:43:58.711]  It was similar numbers from Australia to England to the U.S.
[01:43:58.732 --> 01:43:59.752]  to Canada to Europe.
[01:44:00.252 --> 01:44:05.455]  They get $53,000 per intubation and then if he dies, even more.
[01:44:05.515 --> 01:44:07.777]  So that's, you can hire a top hit man for $53,000.
[01:44:08.097 --> 01:44:11.699]  So these hospitals are pulling hits basically in my opinion now.
[01:44:12.139 --> 01:44:18.103]  And we can pull Wall Street Journal, even the USA Today last year said, no, we did a fact check.
[01:44:18.503 --> 01:44:19.764]  You get $53,000 for everybody they intubate.
[01:44:23.735 --> 01:44:24.555]  Yeah, it's sad.
[01:44:24.956 --> 01:44:26.376]  It's despicable.
[01:44:26.396 --> 01:44:29.017]  I don't even know the words just to describe it.
[01:44:29.938 --> 01:44:31.598]  So anyway, we got him home.
[01:44:31.698 --> 01:44:36.400]  It was very late at that point, so it was hard for us to get what we needed to treat him.
[01:44:36.420 --> 01:44:39.542]  I, you know, he didn't want to be on the ventilator.
[01:44:39.622 --> 01:44:44.343]  That was his last thing he said is that I do not, whatever happens here, I do not want to be put on a ventilator.
[01:44:45.264 --> 01:44:52.787]  We finally took him home thinking, okay, great, let's just do this after like all day of him basically being at the worst, you know, day one of this thing.
[01:44:53.339 --> 01:44:59.623]  Get him home and try to just, you know, let him rest until I can get the prescriptions and get everything filled and start giving him this medication.
[01:45:00.464 --> 01:45:06.287]  And I stayed up with him all night that night, having COVID myself, trying to just make sense of all this.
[01:45:07.068 --> 01:45:14.753]  And, um, he, his oxygen levels just dipped, uh, because he hadn't been getting any treatment.
[01:45:14.913 --> 01:45:16.314]  His oxygen went, went low.
[01:45:17.094 --> 01:45:21.197]  And, um, I ended up having to call 911 the next day because he started turning blue.
[01:45:22.163 --> 01:45:24.225]  Um, and I basically thought I had no other choice.
[01:45:24.285 --> 01:45:25.506]  So he went back in.
[01:45:25.526 --> 01:45:26.807]  I asked the ambulance.
[01:45:26.847 --> 01:45:28.749]  I said, please, whatever you do, can you bring us somewhere else?
[01:45:28.789 --> 01:45:29.409]  Not PeaceHealth.
[01:45:30.390 --> 01:45:32.972]  Um, bring us somewhere else, Legacy, uh, anywhere.
[01:45:33.172 --> 01:45:37.716]  And they said, well, we can't, we can't take your, we'd have to take you wherever is closest.
[01:45:38.957 --> 01:45:39.578]  So that didn't work.
[01:45:39.638 --> 01:45:43.921]  So his worst nightmare came true and he ended up back in the place that was harassing him the day before.
[01:45:43.941 --> 01:45:48.385]  Um, he, we had communication.
[01:45:48.405 --> 01:45:50.987]  He had been sending me texts saying, you know, I just,
[01:45:51.257 --> 01:45:52.718]  You know, I don't want to get on the ventilator.
[01:45:52.738 --> 01:46:00.102]  Um, you know, it's hard for me to even think of the chain of events and how they happen because my brain is just, it's been a while.
[01:46:00.282 --> 01:46:04.505]  The horror of them putting him in a medically induced coma and then putting the execution device on his throat.
[01:46:04.865 --> 01:46:07.466]  But we have to try to, we have to try to save people here.
[01:46:07.526 --> 01:46:09.227]  So you're being very strong.
[01:46:09.808 --> 01:46:11.068]  Uh, please continue.
[01:46:12.189 --> 01:46:20.674]  So basically, uh, the second time he went in to make a long story short, I can't remember a lot of the in between, but,
[01:46:21.434 --> 01:46:28.580]  Uh, after I dropped him off, I came, I was on my way home and I got a phone call saying, your husband wants to talk to you.
[01:46:30.081 --> 01:46:40.049]  And he pretty much said, you know, in between gasping because they had taken off his oxygen to, um, which I later found out was not even appropriate.
[01:46:40.289 --> 01:46:44.232]  The oxygen they were giving him wasn't what it should have been in the first place, but they took it off.
[01:46:45.325 --> 01:46:46.246]  And let him talk to me.
[01:46:46.266 --> 01:46:50.128]  And she said, you know, Melissa, he's just in the time that we've let him talk to you on the phone.
[01:46:50.188 --> 01:46:52.730]  His oxygen is dropping to 60 to 50 to 40.
[01:46:53.230 --> 01:46:57.153]  And they pretty much just had this big drama effect on the phone with me and said, he's dying right now.
[01:46:57.173 --> 01:46:58.434]  What do you want to do, Roger?
[01:46:58.474 --> 01:46:59.695]  Melissa, do you want to save your husband?
[01:46:59.715 --> 01:47:00.976]  He needs to be intubated right now.
[01:47:01.376 --> 01:47:02.517]  He's dropping, he's dropping.
[01:47:02.917 --> 01:47:03.758]  And they're on the phone.
[01:47:03.778 --> 01:47:05.779]  And I'm like, who am I talking to?
[01:47:05.799 --> 01:47:06.539]  Am I talking to Roger?
[01:47:06.559 --> 01:47:07.420]  Am I talking to you?
[01:47:07.960 --> 01:47:10.202]  And I heard him in the background saying, baby, I don't know what to do.
[01:47:10.302 --> 01:47:10.902]  I'm confused.
[01:47:10.922 --> 01:47:11.683]  My brain is just.
[01:47:12.287 --> 01:47:12.627]  I don't know.
[01:47:30.962 --> 01:47:31.883]  We're good to go.
[01:47:53.925 --> 01:47:54.325]  In fact,
[01:48:14.079 --> 01:48:16.581]  When he was put on there, now they're refusing.
[01:48:16.601 --> 01:48:19.884]  You've got the recordings, you've got the transcripts of the recordings.
[01:48:19.904 --> 01:48:21.705]  They're refusing to give him anything.
[01:48:21.746 --> 01:48:22.786]  They're laughing at you.
[01:48:22.806 --> 01:48:24.107]  They're telling you he's going to die.
[01:48:24.648 --> 01:48:25.609]  Tell us what's happening now.
[01:48:26.449 --> 01:48:26.690]  Yeah.
[01:48:26.710 --> 01:48:30.953]  So when I first contacted them, I wasn't unable to reach a doctor.
[01:48:31.153 --> 01:48:40.301]  So they gave me to risk management because apparently if you ask for any other treatment besides their COVID protocol, which is a blanket thing they do to every COVID patient there, no matter what.
[01:48:41.470 --> 01:48:43.251]  They have you talk to risk management.
[01:48:43.391 --> 01:48:59.319]  I told this gentleman, which I haven't recorded, that I was requesting treatment with ivermectin, vitamin C, vitamin D, zinc, among some other things that have been recommended and used and actually worked successfully with people even in late stages like him.
[01:49:00.139 --> 01:49:09.504]  And they pretty much said, you know, it's quite possible that vitamins and this kind of stuff, you know, vitamin C and vitamin D, it's quite possible that it could make a difference, but we can't
[01:49:10.270 --> 01:49:12.790]  We can't say that it wouldn't be a placebo effect.
[01:49:12.870 --> 01:49:19.692]  Yeah, because they'd only get thousands of dollars for that, Max, instead of $53,000 when they put that tube down there.
[01:49:19.712 --> 01:49:19.932]  Right.
[01:49:20.552 --> 01:49:24.773]  But I don't even understand the placebo effect talk because he's out.
[01:49:25.393 --> 01:49:26.633]  I mean, that doesn't make sense in itself.
[01:49:27.373 --> 01:49:38.455]  Anyway, so they pretty much kind of make fun of and make light of the fact that I'm asking for basic nutrition and ways to, you know, fuel his immune system to help him fight this off.
[01:49:39.560 --> 01:49:40.921]  I've said, nope, that's not our protocol.
[01:49:40.941 --> 01:49:41.641]  Here's what we do.
[01:49:41.761 --> 01:49:48.163]  And I said, well, what you do with what you do currently, you're telling me he's got a 10% or less chance of survival.
[01:49:48.203 --> 01:49:53.785]  So where's the harm in using something that I've been told by actual people using this, that it works?
[01:49:54.788 --> 01:49:56.489]  I can show you studies that are on.
[01:50:16.903 --> 01:50:20.446]  You know, with updates and all these things and, you know, spent hours of time with me.
[01:50:20.626 --> 01:50:23.788]  If you could humanize your husband, if you could send us a photo of him, that'd be great, too.
[01:50:23.808 --> 01:50:25.530]  Tell us his name.
[01:50:25.570 --> 01:50:26.270]  Tell us who he is.
[01:50:26.290 --> 01:50:27.171]  Tell us where he is again.
[01:50:28.332 --> 01:50:29.753]  Yeah, it's Roger Gunderson.
[01:50:29.793 --> 01:50:32.915]  We're in Washougal, Washington, near Vancouver.
[01:50:33.496 --> 01:50:36.178]  He was a truck driver for a while.
[01:50:36.218 --> 01:50:38.940]  He's now a driver manager for CR England.
[01:50:40.101 --> 01:50:40.661]  He's a dad.
[01:50:40.761 --> 01:50:42.683]  We've got three kids.
[01:50:43.183 --> 01:50:45.445]  He's got an almost 18 year old.
[01:50:45.565 --> 01:50:46.586]  His birthday is this week.
[01:50:47.641 --> 01:50:52.865]  Um, we've got a five and a six year old, um, that are at home asking me every day how that is going to be.
[01:50:53.806 --> 01:51:01.011]  And I'm trying to just keep it together enough to not cry because they don't know how tired the situation is right now.
[01:51:01.071 --> 01:51:03.933]  They just think daddy is sick and in the hospital with a cold.
[01:51:04.854 --> 01:51:06.195]  Um, so I'm taking waiting.
[01:51:06.635 --> 01:51:07.636]  I don't want to stress them out.
[01:51:07.776 --> 01:51:10.058]  You know, um, he's a good man.
[01:51:10.258 --> 01:51:14.541]  He's, you know, always there and provided for our family and, um,
[01:51:15.558 --> 01:51:16.879]  Family is his number one priority.
[01:51:17.579 --> 01:51:23.342]  Are the bots over at the hospital letting you in?
[01:51:23.422 --> 01:51:26.344]  Or let me guess, now that you're against what they're doing, they're not letting you in?
[01:51:27.324 --> 01:51:28.545]  No, I'm not allowed to see him.
[01:51:29.145 --> 01:51:33.268]  The only thing I could do is the one time they thought I would convince him to go on a ventilator, they let me in.
[01:51:34.288 --> 01:51:34.949]  I haven't seen him.
[01:51:35.009 --> 01:51:39.531]  The last I spoke to him was that phone call a week ago when the nurse told me that they were going to intubate him.
[01:51:41.834 --> 01:51:44.115]  Do they even tell you what his oxygen is now?
[01:51:44.135 --> 01:51:48.818]  Or as you said in the transcript, they just laugh at you like witches?
[01:51:49.799 --> 01:51:59.225]  They'll tell me at the beginning, you know, they pretty much interrupt me the whole time until they get their update because they have a certain update call they give you, which is just a certain amount of information.
[01:51:59.925 --> 01:52:08.951]  If you try to spark any other subject matter, they say, well, just hold on, let me tell you, you know, his situation and what's happening and why it's so dire.
[01:52:09.011 --> 01:52:10.912]  And I said, well, this is why I'm telling you because I,
[01:52:11.377 --> 01:52:12.578]  There's a treatment that could help them.
[01:52:13.118 --> 01:52:14.579]  Why aren't you listening to this treatment?
[01:52:14.959 --> 01:52:20.362]  She said that we are stuck using whatever the National Institute of Health tells us we can use.
[01:52:20.802 --> 01:52:24.264]  And I said, well, that's great because the study I'm speaking about is actually on their website.
[01:52:24.825 --> 01:52:35.251]  And the summary of that study shows that over 1400 people have shown a 63% chance of an improvement using this protocol and you are completely ignoring it.
[01:52:35.431 --> 01:52:35.671]  Why?
[01:52:36.926 --> 01:52:41.510]  And she said, well, because this is our COVID protocol and this is what we use and this is all we're allowed to use.
[01:52:41.790 --> 01:52:42.291]  Absolutely.
[01:52:42.331 --> 01:52:43.432]  This is the technocracy.
[01:52:43.512 --> 01:52:46.034]  Used to different hospitals and different things, different doctors did.
[01:52:46.294 --> 01:52:49.797]  So we call it a practice because you're practicing and learning what's better.
[01:52:49.837 --> 01:52:55.121]  And the doctors were in charge, not bureaucrats in the federal government, not the big pharma.
[01:52:56.542 --> 01:53:00.924]  Well, you know, this is all going to come out, it's already coming out, and these people are going to pay.
[01:53:01.404 --> 01:53:02.064]  What can we do?
[01:53:02.104 --> 01:53:13.027]  And I want to get Scott Miller, who runs Miller Pediatrics, MillerPeds.com, and he's a physician's assistant, to lay out his view on this whole situation.
[01:53:13.068 --> 01:53:16.148]  And people do need to support you, I guess, for legal challenges.
[01:53:16.249 --> 01:53:20.470]  GiveSendGo.com forward slash Roger Gunderson, I just want to say.
[01:53:20.970 --> 01:53:29.878]  Well, the best man I ever knew was Ted Gunderson, former head of the FBI in Southern California and a great patriot who taught me a lot of what I know today.
[01:53:30.238 --> 01:53:35.562]  And there's a picture of your husband, a great guy with three great children, a great wife.
[01:53:36.803 --> 01:53:42.228]  Tell us why people should donate and what we can do because we can save one person.
[01:53:42.288 --> 01:53:43.469]  It can start a domino effect.
[01:53:43.489 --> 01:53:46.231]  We can save so many because it's clusters of hospitals.
[01:53:47.012 --> 01:53:49.355]  Only a small percent that are actually killing everybody.
[01:53:49.375 --> 01:53:50.616]  You can look at those on maps.
[01:53:50.636 --> 01:53:51.998]  New Jersey, New York, Washington.
[01:53:52.298 --> 01:53:53.260]  It's Democrat areas.
[01:53:53.600 --> 01:53:53.960]  Austin.
[01:53:54.741 --> 01:53:57.264]  And they follow this murderous protocol.
[01:53:57.464 --> 01:54:01.950]  And again, they have 99 to 100 percent, even with sick people, have caught earlier, even in the mid.
[01:54:02.590 --> 01:54:04.473]  As you know, and I'm sure as this gentleman knows,
[01:54:04.973 --> 01:54:07.975]  Our physician's assistant here, that has an incredible effect.
[01:54:08.335 --> 01:54:11.897]  And so, finish up with what we can do to try to help your amazing husband.
[01:54:11.957 --> 01:54:18.300]  And then, I want to get Scott Miller's breakdown on what he's witnessed and what he's seen, because he's a real expert on this, obviously, watching and knowing you guys.
[01:54:19.041 --> 01:54:24.764]  And just to clarify too, these studies actually show improvement even in very late stages and post-COVID.
[01:54:25.504 --> 01:54:27.105]  Huge improvement for everyone.
[01:54:27.125 --> 01:54:32.107]  Oh yeah, the guy was on a ventilator in Ohio that he got better, and then they just took the ivermectin away.
[01:54:32.968 --> 01:54:33.088]  Yeah.
[01:54:33.792 --> 01:54:36.794]  So in regard to help, that gives and goes crucial.
[01:54:36.834 --> 01:54:38.275]  We've got two attorneys right now.
[01:54:38.315 --> 01:54:40.457]  I had to get one that would just get on the ball and start helping.
[01:54:40.877 --> 01:54:42.978]  And then I had to get one in Washington State that would help.
[01:54:43.018 --> 01:54:55.747]  He's actually right now getting us an emergency injunction to try to get the hospital to oblige and to give us, to allow us to treat him.
[01:54:57.072 --> 01:55:02.696]  Well, that's the answer, because they're going to get $53,000 to kill your husband, or to follow protocol.
[01:55:02.716 --> 01:55:03.617]  It's been known to kill people.
[01:55:03.657 --> 01:55:04.798]  They're very ignorant of what they're doing.
