[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[01:07:07.563 --> 01:07:09.444]  China has now made Xi Jinping emperor.
[01:07:10.526 --> 01:07:13.310]  At the highest level for life.
[01:07:13.310 --> 01:07:15.232]  That's what communism does, right?
[01:07:15.232 --> 01:07:16.974]  Total authoritarian nightmare.
[01:07:16.974 --> 01:07:27.327]  So let me just go ahead and roll through these headlines for you, starting with the COVID tyranny operation.
[01:07:27.327 --> 01:07:28.229]  Here is the letter.
[01:07:29.881 --> 01:07:33.443]  In response to an attorney's FOIA request, the U.S.
[01:07:33.443 --> 01:07:39.887]  CDC admits that it has no record of an unvaccinated person spreading COVID after recovering from COVID naturally.
[01:07:39.887 --> 01:07:44.070]  But first they told you, oh, you can spread it just as bad as if you've had the vaccine.
[01:07:57.785 --> 01:08:00.206]  Now they tell you, oh, it's actually worse if you've had it.
[01:08:00.206 --> 01:08:03.408]  Oh, but the symptoms are less, and now they admit that's not true.
[01:08:03.408 --> 01:08:07.290]  British Medical Journal's reporting you're twice as likely to get sick or die if you've had it.
[01:08:07.290 --> 01:08:08.211]  I mean, whoa!
[01:08:08.211 --> 01:08:08.991]  And it, because you know why?
[01:08:08.991 --> 01:08:12.013]  It gets rid of your immune system.
[01:08:12.013 --> 01:08:15.234]  And then a regular cold comes by and kills your ash.
[01:08:15.234 --> 01:08:20.097]  And here's the letter from the CDC.
[01:08:20.097 --> 01:08:21.938]  Oh, but does that stop idiots like
[01:08:22.805 --> 01:08:26.647]  The Demon with his scary long tongue and his clown outfit.
[01:08:26.647 --> 01:08:30.508]  Like he's gonna hide in some drain grabbing kids.
[01:08:30.508 --> 01:08:35.330]  Gene Simmons that acts all quiet and cool and tough.
[01:08:35.330 --> 01:08:36.551]  You better take your shot.
[01:08:36.551 --> 01:08:37.851]  You're evil.
[01:08:37.851 --> 01:08:42.413]  We gotta stand up against the evil people and make them take their shots.
[01:08:42.413 --> 01:08:45.554]  You're the one named The Demon, buddy boy.
[01:08:45.554 --> 01:08:47.475]  Oh, the whole band's been vaccinated.
[01:08:47.475 --> 01:08:49.676]  Double vax, but they're dropping like flies.
[01:08:50.922 --> 01:08:52.464]  Most of the band got sick with COVID.
[01:08:52.464 --> 01:08:55.667]  I mean, what a jokey, what a schmuck Gene Simmons is.
[01:08:55.667 --> 01:08:57.308]  But just, here this is.
[01:08:57.308 --> 01:08:58.730]  You can see my real attack on him.
[01:08:58.730 --> 01:08:59.570]  I got a little vicious.
[01:08:59.570 --> 01:09:03.054]  It's not good for radio.
[01:09:03.054 --> 01:09:04.695]  Not good for the FCC, what I had to say.
[01:09:04.695 --> 01:09:07.698]  But I went ahead and just let it rip last night on, and that's at Man.Video.
[01:09:07.698 --> 01:09:09.580]  Nice little tidbit for old Gene.
[01:09:09.580 --> 01:09:11.562]  We know Gene's probably getting paid to do this.
[01:09:14.639 --> 01:09:15.619]  Some folks made this point.
[01:09:15.619 --> 01:09:17.680]  The third dose increases immunity.
[01:09:17.680 --> 01:09:19.761]  To have the fourth dose, you are protected.
[01:09:19.761 --> 01:09:27.383]  Once 80% of the population has received the fifth dose, the restrictions can be relaxed as the sixth dose stops the virus from spreading.
[01:09:27.383 --> 01:09:33.645]  I am calm and believe that the seventh dose will solve our problems, and we have no reason to fear the eighth dose.
[01:09:33.645 --> 01:09:38.467]  The clinical phase of the ninth dose confirms that the antibodies remain stable after the tenth dose.
[01:09:38.467 --> 01:09:41.848]  The eleventh dose guarantees that no one and no mutations develop.
[01:09:42.248 --> 01:09:47.673]  So there is no longer any reason to criticize the idea of the 12 deaths.
[01:09:47.673 --> 01:09:49.674]  And then you got Marek's disease.
[01:09:49.674 --> 01:09:56.100]  But I don't think old Gene Simmons who walks around in six-inch high-heeled boots going, I'm a war machine.
[01:09:56.100 --> 01:10:00.563]  I'm a tough guy dressed up like a clown.
[01:10:00.563 --> 01:10:01.564]  Don't be evil, kids.
[01:10:01.564 --> 01:10:02.245]  Take the shot.
[01:10:02.245 --> 01:10:03.986]  Pfizer loves you.
[01:10:03.986 --> 01:10:04.367]  Oh, look at this.
[01:10:05.759 --> 01:10:12.203]  A professional mountain bike racer describes life after vaccine injuries and second Pfizer shot.
[01:10:12.203 --> 01:10:14.824]  This is from Robert F. Kennedy's group.
[01:10:14.824 --> 01:10:18.727]  We're going to post the full thing in the live show feed today.
[01:10:18.727 --> 01:10:21.008]  And we really need to play this, but I do want to go to your calls.
[01:10:21.008 --> 01:10:22.789]  I mean, this is so hardcore.
[01:10:22.789 --> 01:10:24.930]  A bunch of the other racers are all sick and dying.
[01:10:24.930 --> 01:10:26.171]  They're committing suicide.
[01:10:26.171 --> 01:10:27.472]  He lifts them off.
[01:10:27.992 --> 01:10:29.133]  You might want to see the video.
[01:10:29.133 --> 01:10:33.777]  We're going to post the article and the video under the live show feed at InfoWars.com.
[01:10:33.777 --> 01:10:34.557]  This is very important.
[01:10:34.557 --> 01:10:36.319]  In fact, can we put the live show feed up on screen?
[01:10:36.319 --> 01:10:37.860]  I want to give people that headline for the day.
[01:10:37.860 --> 01:10:38.801]  Thank you.
[01:10:38.801 --> 01:10:39.581]  Oh, and then there's more.
[01:10:39.581 --> 01:10:40.902]  Remember, I mentioned this guy a few days ago.
[01:10:40.902 --> 01:10:42.323]  They've now found the quotes.
[01:10:42.323 --> 01:10:44.745]  He wasn't just double injected.
[01:10:45.626 --> 01:10:49.008]  He ran his mouth telling everybody they better take all their shots.
[01:10:49.008 --> 01:10:53.830]  Cardiologists who said he wouldn't cry at a funeral for selfish, unvaccinated people.
[01:10:53.830 --> 01:10:54.490]  Those are quotes.
[01:10:54.490 --> 01:11:00.173]  Suddenly dies in his sleep two weeks after third COVID jab.
[01:11:00.173 --> 01:11:03.554]  Well, he just needed the fourth jab.
[01:11:03.554 --> 01:11:04.895]  There's today's show headline.
[01:11:04.895 --> 01:11:09.597]  The worst part of 15 days to flatten the curve is the first two years.
[01:11:11.229 --> 01:11:17.037]  And we're only a couple months away from the two year anniversary of 15 Days to Flatten That Curve!
[01:11:18.775 --> 01:11:25.996]  Oh, but here's the Kiss frontman with his other, you know, gray-haired rocker friends, you know, with their colostomy bags.
[01:11:25.996 --> 01:11:28.777]  Kiss frontman Gene Simmons, evil.
[01:11:28.777 --> 01:11:31.377]  Unvaccinated Americans are an enemy, he said.
[01:11:31.377 --> 01:11:33.818]  We're evil and the enemy, Gene.
[01:11:33.818 --> 01:11:36.038]  Well, you just keep taking your shots, Gene.
[01:11:36.038 --> 01:11:40.459]  In fact, I think you should go to Israel where they're up to the sixth shot now.
[01:11:40.459 --> 01:11:44.160]  And then, you know, that's what you're looking for there, buddy boy, maybe Singapore.
[01:11:46.582 --> 01:11:47.703]  Absolutely insane.
[01:11:47.703 --> 01:11:49.584]  Oh, but it's hitting the charts.
[01:11:49.584 --> 01:11:53.827]  They've already got three number ones in the last few months, but now it's going up to number one right now.
[01:11:53.827 --> 01:11:54.968]  It's already number three.
[01:11:54.968 --> 01:11:56.169]  I was checking this morning.
[01:11:56.169 --> 01:11:57.369]  Welcome to the revolution.
[01:11:57.369 --> 01:12:01.372]  Chart-topping musicians drop another banger.
[01:12:01.372 --> 01:12:02.973]  It's at InfoWars.com.
[01:12:02.973 --> 01:12:04.915]  Oh, but nobody's talking about Gene Simmons.
[01:12:04.915 --> 01:12:09.338]  That's why he's got to come out for Pfizer and say, roll up our sleeve.
[01:12:09.338 --> 01:12:11.199]  That's because he's not.
[01:12:13.652 --> 01:12:22.916]  Having all the huge success he used to, like folks, Jim Levy and Hi-Rez and their new Welcome to the Revolution.
[01:12:22.916 --> 01:12:28.198]  Oh, sorry, they're not listening to Gene Simmons.
[01:12:28.198 --> 01:12:32.660]  And of course, this came out yesterday, but I've got to just re-mention this because I haven't talked enough about it.
[01:12:32.660 --> 01:12:39.162]  Scientific America comes out and says, yes, we're going to give you microchips in the vaccine to make sure you've taken the vaccine.
[01:12:39.162 --> 01:12:40.083]  Of course, when we told you this,
[01:12:41.397 --> 01:12:42.738]  Last February, we weren't lying.
[01:12:42.738 --> 01:12:47.240]  We showed you the same graphics from MIT, but now they're telling you about it.
[01:12:47.240 --> 01:12:48.841]  Back then, they didn't want to build oppositions.
[01:12:48.841 --> 01:12:50.702]  They were like, oh, that doesn't exist.
[01:12:50.702 --> 01:12:53.043]  Fact checkers, Alex Jones, pants on fire.
[01:12:53.043 --> 01:12:54.744]  He's all lying to you.
[01:12:54.744 --> 01:12:56.866]  And by the way, there won't be any inflation either.
[01:12:56.866 --> 01:13:00.508]  And Joe Biden's mind's totally like a 10-year-old.
[01:13:00.508 --> 01:13:02.889]  I mean, he's as sharp as an 18-year-old.
[01:13:02.889 --> 01:13:07.551]  He's just, everything's great.
[01:13:07.551 --> 01:13:09.773]  Oh my goodness, and a key report by Greg Reese.
[01:13:11.178 --> 01:13:15.859]  On heart attack drugs secretly added to Pfizer's COVID vax for children.
[01:13:15.859 --> 01:13:18.060]  Unbelievable.
[01:13:18.060 --> 01:13:21.661]  Teachers ordered students to tape masks on faces, investigation finds.
[01:13:21.661 --> 01:13:34.104]  First they tried to deny it, but now they've admitted they ordered them to tape them to their faces because the little monsters were engaging in evil crimes against humanity by putting it down under their nose because they wanted clean oxygen.
[01:13:34.104 --> 01:13:35.865]  Those dirty carbon-based life forms.
[01:13:37.333 --> 01:13:39.335]  Oh, vaccine mix-up.
[01:13:39.335 --> 01:13:42.457]  Pharmacy administered wrong COVID vax to over 100 children.
[01:13:42.457 --> 01:13:43.398]  The wrong COVID vax?
[01:13:43.398 --> 01:13:45.080]  Oh, I guess they got the adult one.
[01:13:45.080 --> 01:13:50.164]  They didn't get the one with the secret heart attack drug in it.
[01:13:50.164 --> 01:13:54.988]  Local media snitches on In-N-Out for refusing to ask customers for vaccine proof.
[01:13:54.988 --> 01:13:56.790]  It's not the Onion parody, it's real.
[01:13:58.683 --> 01:14:01.324]  When you don't do what the globalists say, they'll just turn off your card.
[01:14:01.324 --> 01:14:03.385]  That's the nightmare world we're hurtling into.
[01:14:03.385 --> 01:14:08.068]  And then there's this big report that I want to hit when we come back from break.
[01:14:08.068 --> 01:14:12.470]  War Memorial defaced with the words, the real heroes are the vaccinated.
[01:14:12.470 --> 01:14:19.534]  That's a Paul Joseph Watson article on InfoWars.com, and it is so revealing.
[01:14:20.686 --> 01:14:21.826]  of how the left operates.
[01:14:21.826 --> 01:14:22.827]  They're the heroes.
[01:14:22.827 --> 01:14:23.947]  They're the warriors.
[01:14:23.947 --> 01:14:26.088]  They're the SJW kings.
[01:14:26.088 --> 01:14:31.749]  They're the people that took the shots, not the evil, evil veterans of the wars.
[01:14:31.749 --> 01:14:33.450]  They didn't have any will.
[01:14:33.450 --> 01:14:40.232]  They didn't have any courage to miss their families for months and years at a time and have arms and legs blown off and psychological trauma.
[01:14:40.232 --> 01:14:41.672]  They did no, no, no, no!
[01:14:43.773 --> 01:14:47.216]  It's the heroes wearing their mask and making children wear them.
[01:14:47.216 --> 01:14:48.957]  And it's the heroes taking all the shots.
[01:14:48.957 --> 01:14:54.040]  We're going to come back and talk about those heroes and the rest of the insane news on that front.
[01:14:54.040 --> 01:14:55.741]  And then we've got the inflation news.
[01:14:55.741 --> 01:14:57.322]  And then we've got the police state news.
[01:14:57.322 --> 01:15:03.046]  Oh, more documents came out about what the FBI was doing with the public schools, creating dossiers on you and your family.
[01:15:03.046 --> 01:15:04.467]  Oh, it's worse than they'd first said.
[01:15:04.467 --> 01:15:07.149]  And they made a deal with the Justice Department.
[01:15:07.149 --> 01:15:08.410]  Oh, they agree.
[01:15:08.410 --> 01:15:13.113]  It's time to make everybody spies and just send the FBI after those dirty parents that
[01:15:13.873 --> 01:15:20.495]  Oh, you don't want pedophilia taught in schools, and that white people are inherently evil, and that communism's good, and the military's bad, and open borders are wonderful?
[01:15:20.495 --> 01:15:33.700]  Well, we'll just, we'll just have a helicopter from the FBI land at the Loudoun County, Virginia thing, and FBI guys get out with their earpieces and blow grubs out at the American people, because that's what the FBI, I guess, likes to do!
[01:15:33.700 --> 01:15:40.462]  Yes, that's what the heroes do, and they, they raid James O'Keefe, and you can't have those, I mean, these are, these are all-American boys.
[01:15:41.809 --> 01:15:43.331]  Oops, I just mis-entered them.
[01:15:43.331 --> 01:15:45.874]  All American Things.
[01:15:45.874 --> 01:15:47.075]  Woo!
[01:15:47.075 --> 01:15:48.156]  We'll be right back.
[01:15:48.156 --> 01:15:49.858]  On the other side, I'm Alex Jones.
[01:15:49.858 --> 01:15:54.123]  Infowars.com is taking it to the new world order!
[01:15:54.123 --> 01:15:55.445]  Newswars.com!
[01:15:56.997 --> 01:15:58.939]  I am cutting this announcement on the after.
[01:15:58.939 --> 01:16:02.642]  It's Thursday, November 11th, 2021.
[01:16:02.642 --> 01:16:10.768]  And that means there's only a few days left until November 15th for you to take advantage of the biggest sale of the year at InfoWarsTore.com.
[01:16:10.768 --> 01:16:15.032]  Black Friday comes early, ends on this coming Tuesday.
[01:16:15.032 --> 01:16:20.396]  You get store-wide free shipping, double Patriot points up to 60% off on best-selling items.
[01:16:20.396 --> 01:16:22.418]  Now, I'm not going to list them all here, but 60% off on Ultra 12,
[01:16:23.939 --> 01:16:24.600]  We're good to go.
[01:16:48.723 --> 01:16:50.587]  Infowarstore.com.
[01:16:50.587 --> 01:16:52.090]  It's a 360 win.
[01:16:52.090 --> 01:16:55.618]  We're fighting the globals as hard as we can and selling great products to fund it.
[01:16:55.618 --> 01:16:57.421]  Please support us and make your life better.
[01:16:58.672 --> 01:17:02.893]  I never compromise the quality of ingredients we put in InfoWars Live products.
[01:17:02.893 --> 01:17:06.434]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[01:17:06.434 --> 01:17:09.995]  And we could never get the ingredients again until now.
[01:17:09.995 --> 01:17:16.077]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[01:17:16.077 --> 01:17:19.838]  So out of all the bone broths out there, I'm telling you, this is next level.
[01:17:19.838 --> 01:17:20.698]  Listen to what it's got in it.
[01:17:21.078 --> 01:17:26.280]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[01:17:26.280 --> 01:17:35.784]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[01:17:35.784 --> 01:17:39.926]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[01:17:39.926 --> 01:17:42.387]  I mean, this sucker has got everything for your electrolytes.
[01:17:42.387 --> 01:17:42.707]  It's got
[01:17:42.967 --> 01:17:43.187]  I think so.
[01:17:59.085 --> 01:18:06.494]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[01:18:06.494 --> 01:18:13.642]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[01:18:13.642 --> 01:18:15.505]  It's Ultimate Bone Broth Plus.
[01:18:16.165 --> 01:18:25.190]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[01:18:25.190 --> 01:18:28.832]  Then it's got added magnesium and potassium for electrolytes.
[01:18:28.832 --> 01:18:35.356]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[01:18:35.356 --> 01:18:37.297]  It even tastes better than the last formula.
[01:18:37.297 --> 01:18:39.838]  And what it does for your body is simply amazing.
[01:18:39.838 --> 01:18:41.159]  Again, it has that cutting edge.
[01:18:41.639 --> 01:18:47.204]  Chicken broth, protein, isolate powder for better flavor and dissolvability.
[01:18:47.204 --> 01:18:51.348]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones.
[01:18:51.348 --> 01:18:54.131]  It's simply amazing and it helps fight the Infowar.
[01:18:54.131 --> 01:18:58.275]  This is really the best bone broth out there, so get yours at InfowarStore.com today!
[01:18:58.695 --> 01:19:03.758]  I am cutting this announcement on the afternoon of Thursday, November 4th, 2021.
[01:19:03.758 --> 01:19:08.582]  That means you've only got 10 days as of taping this to get storewide free shipping, double Patriot points.
[01:19:08.582 --> 01:19:10.903]  That was 60% off on our bestselling items.
[01:19:10.903 --> 01:19:12.624]  We have Winter Sun at 50% off.
[01:19:12.624 --> 01:19:13.465]  So good for your body.
[01:19:13.465 --> 01:19:14.766]  So good for your immune system.
[01:19:14.766 --> 01:19:15.246]  50% off.
[01:19:15.246 --> 01:19:17.768]  We have Ultra 12 at 60% off.
[01:19:17.768 --> 01:19:19.389]  That is the lowest we've ever gone.
[01:19:19.389 --> 01:19:24.152]  It is so good for your libido, your stamina, your immune system, your whole body taken out of the tongue.
[01:19:24.152 --> 01:19:24.692]  60% off.
[01:19:24.692 --> 01:19:28.475]  We've got a bunch of products sold off for a long time, like Brain Force Plus back in stock.
[01:19:28.915 --> 01:19:33.859]  50% off and we have Ultimate Bone Broth back in stock at InfoWarStore.com.
[01:19:33.859 --> 01:19:35.700]  It's now Bone Broth Plus.
[01:19:35.700 --> 01:19:41.564]  So it's Ultimate Bone Broth Plus, 20% off and it's even stronger than the last formula we had.
[01:19:41.564 --> 01:19:50.470]  It is amazing for your whole body, amazing for your joints, amazing for inflammation, and it funds the InfoWar, which is so important in the fight against the New World Order.
[01:19:50.470 --> 01:19:52.171]  So thank you all for your support.
[01:19:52.171 --> 01:19:55.613]  With supply chain breakdowns, I recommend you get your Christmas shopping done now.
[01:19:55.613 --> 01:19:58.355]  Have it done and support the InfoWar at InfoWarStore.com.
[01:20:01.067 --> 01:20:03.688]  You're listening to The Alex Jones Show!
[01:20:32.080 --> 01:20:45.789]  All over the world, powerful megacorporations using their endless fiat currency and their giant well of behavioral psychologists are doing a number on humanity.
[01:20:45.789 --> 01:20:58.677]  While they consolidate the world economy, while they tell us to live in poverty, while they try to trigger wars and collapse to consolidate control, they play us off against each other using basic race baiting.
[01:20:58.677 --> 01:21:01.079]  And I have a whole stack right here dealing with that I'm going to be getting to.
[01:21:02.915 --> 01:21:07.236]  But a great illustration of this is the fact that they say, you're a hero.
[01:21:07.236 --> 01:21:08.437]  This is like World War II.
[01:21:08.437 --> 01:21:10.857]  You survived COVID.
[01:21:10.857 --> 01:21:14.298]  And keep wearing your mask and, you know, take your third or fourth or fifth shot.
[01:21:14.298 --> 01:21:18.439]  And those that don't take the shots, they're selfish.
[01:21:18.439 --> 01:21:20.160]  They're like suicide bombers.
[01:21:20.160 --> 01:21:21.440]  They're like drunk drivers.
[01:21:21.440 --> 01:21:23.041]  You've heard the talking points.
[01:21:23.041 --> 01:21:29.182]  They've broken the social compact.
[01:21:29.182 --> 01:21:31.023]  They've broken the social contract.
[01:21:33.137 --> 01:21:39.319]  That's the talking point from the UN and the mainstream media and the universities and the politicians.
[01:21:39.319 --> 01:21:44.301]  Even right-wing politicians, a lot of them are like, yeah, you know, get with the program, help people.
[01:21:44.301 --> 01:21:45.982]  And you're like, well, all the statistics show it makes me sick.
[01:21:45.982 --> 01:21:46.702]  It doesn't protect me.
[01:21:46.702 --> 01:21:48.043]  And it's not even a vaccine.
[01:21:48.043 --> 01:21:49.183]  It erases my immune system.
[01:21:49.183 --> 01:21:50.404]  Just shut up and take it.
[01:21:50.404 --> 01:21:53.025]  I mean, they're going for everything now.
[01:21:54.648 --> 01:22:01.297]  It'd be bad enough if they got the President set to do all this forced inoculation with just a placebo or a vaccine that worked.
[01:22:01.297 --> 01:22:05.143]  But this is really bad because they want to set the precedent now.
[01:22:05.143 --> 01:22:08.688]  And they want to punish the Western world for trying to get out of globalism.
[01:22:10.080 --> 01:22:17.101]  They want to teach you that if you want to leave your house, and you want to have a job, then you better comply with what we say.
[01:22:17.101 --> 01:22:18.602]  Well, hey, you changed the subject.
[01:22:18.602 --> 01:22:19.662]  You lie all the time.
[01:22:19.662 --> 01:22:20.762]  Okay, you're censored.
[01:22:20.762 --> 01:22:21.922]  You're not allowed to question us.
[01:22:21.922 --> 01:22:23.163]  That's illegal.
[01:22:23.163 --> 01:22:27.584]  We need the FBI to arrest these Americans, says the head of Pfizer.
[01:22:27.584 --> 01:22:29.244]  They're putting out disinfo.
[01:22:29.244 --> 01:22:32.025]  He never says what the disinfo is.
[01:22:32.025 --> 01:22:33.745]  We show you the real statistics.
[01:22:33.745 --> 01:22:35.165]  We have the real experts on.
[01:22:35.165 --> 01:22:36.125]  They don't do any of that.
[01:22:36.125 --> 01:22:37.906]  They just try to imply you're a criminal.
[01:22:37.906 --> 01:22:38.866]  But I got good news for you.
[01:22:39.844 --> 01:22:41.005]  I can do a whole show on this.
[01:22:41.005 --> 01:22:46.928]  If you go to YouTube and you look at Surgeon General says we need to fight disinformation about COVID.
[01:22:46.928 --> 01:22:49.529]  Go to that video.
[01:22:49.529 --> 01:23:00.455]  99% of the comments, thousands of them are hilarious and smart and destroy him and say you're the only person engaged in disinformation.
[01:23:00.455 --> 01:23:05.258]  You're the person that lies and they give all these examples and I sat there for like 30 minutes this morning reading it.
[01:23:06.761 --> 01:23:09.602]  And then big media articles attacking me.
[01:23:09.602 --> 01:23:14.063]  I said, let me click on that and see what people are saying about me and this big NBC article attacking me a month ago.
[01:23:14.063 --> 01:23:15.544]  A video.
[01:23:15.544 --> 01:23:17.564]  NBC Nightly News.
[01:23:17.564 --> 01:23:18.965]  Good morning America, you name it.
[01:23:18.965 --> 01:23:22.486]  And I clicked and it was just like everybody attacking him.
[01:23:22.486 --> 01:23:25.687]  Because folks know who their enemy is.
[01:23:25.687 --> 01:23:32.749]  And there's no putting the big establishment government back together again.
[01:23:34.724 --> 01:23:37.246]  And anybody can go see this for themselves.
[01:23:37.246 --> 01:23:41.769]  So they're failing and they're getting more desperate all the time.
[01:23:41.769 --> 01:23:51.515]  And so that's why you see stuff like this, because you can't have anybody who's celebrated or recognized, who's seen as the old order.
[01:23:51.515 --> 01:23:59.841]  Not the old order was perfect, but there was a Bill of Rights, there was a Constitution, there was a Declaration of Independence, there was a Charter of Rights in Canada, there were basic
[01:24:00.581 --> 01:24:10.006]  Freedoms that it didn't give you, but it pointed out were basic and that you had a right to and that was enshrined in the charters.
[01:24:10.006 --> 01:24:15.409]  And whether you're in Europe or Australia or the UK or the US, the Nuremberg Code is clear.
[01:24:15.409 --> 01:24:17.210]  The Geneva Convention is clear.
[01:24:17.210 --> 01:24:22.273]  Our laws are clear and they're all being violated.
[01:24:22.273 --> 01:24:26.475]  War Memorial defaced with the words, the real heroes are the vaccinated.
[01:24:26.475 --> 01:24:27.716]  The video is on the site.
[01:24:27.716 --> 01:24:29.877]  If you want to see it as a TV viewer.
[01:24:34.099 --> 01:24:44.262]  A war memorial in Canada honoring the lives of fallen soldiers was defaced with graffiti that said, the real heroes are the vaccinated.
[01:24:44.262 --> 01:24:46.402]  No, this isn't the Babylon Bee.
[01:24:46.402 --> 01:25:00.966]  The message was sprayed on the Cranbrook, British Columbia before the town celebrated its Veterans Day Remembrance Thursday.
[01:25:00.966 --> 01:25:01.946]  Police were notified.
[01:25:03.817 --> 01:25:06.080]  By the graffiti at 7 a.m.
[01:25:06.080 --> 01:25:11.106]  and city workers were able to scrub it off at the time of the event that day.
[01:25:11.106 --> 01:25:12.068]  And it just goes on.
[01:25:12.068 --> 01:25:14.250]  But why would people do such things?
[01:25:14.250 --> 01:25:15.011]  Guaranteed a leftist.
[01:25:15.848 --> 01:25:19.630]  Because they're threatened by men and women that are willing to fight and die for their country.
[01:25:19.630 --> 01:25:22.511]  And they're threatened by the rights those people stood up for.
[01:25:22.511 --> 01:25:31.414]  And so what it is is like a dog hiking its leg and pissing or a cat pissing on your shoes if it's mad at you.
[01:25:31.414 --> 01:25:43.379]  It's all they know is to take down statues and say the American flag is bad and say the country itself shouldn't exist because it's all an exercise of their power that they are the SJWs.
[01:25:43.379 --> 01:25:44.560]  They are the heroes.
[01:25:49.648 --> 01:25:58.874]  Meanwhile, 44 football players, soccer players test positive for COVID despite 99% vaccination.
[01:25:58.874 --> 01:25:59.374]  Another one.
[01:25:59.374 --> 01:26:04.618]  New Zealand tells school to phone the police if unvaccinated staff show up.
[01:26:04.618 --> 01:26:06.219]  There's no law, they're just saying it.
[01:26:12.523 --> 01:26:14.504]  Austria and Australia.
[01:26:14.504 --> 01:26:16.945]  I mixed the two together yesterday, but they're both doing it.
[01:26:16.945 --> 01:26:18.226]  Austria says they're days away.
[01:26:18.226 --> 01:26:22.828]  Australia says they're going to do a new lockdown for the unvaccinated around Christmas.
[01:26:22.828 --> 01:26:25.450]  They haven't given the details yet, but Austria has.
[01:26:25.450 --> 01:26:27.851]  They say by tomorrow they're going to impose a new lockdown.
[01:26:29.309 --> 01:26:37.015]  On the unvaccinated, which is a passport to leave your house, beyond what the Nazis did, which is what Klaus Schwab wants.
[01:26:37.015 --> 01:26:45.222]  Here's an example next door in Germany, Hamburg Christmas Market to segregate the unvaccinated.
[01:26:45.222 --> 01:26:50.286]  Oh, you're allowed to go, you just only come over here in this fenced-in area, but you can't go in the grocery store.
[01:26:50.286 --> 01:26:52.668]  Just boom, Mark of the Beast, 1984 level, in your face.
[01:26:56.738 --> 01:26:57.778]  Vaccine mandate.
[01:26:57.778 --> 01:27:01.059]  Dr. Malone breaks down the globalist escalating war on children.
[01:27:01.059 --> 01:27:03.799]  Did a great in-depth interview in the war room yesterday.
[01:27:03.799 --> 01:27:05.400]  That's on man.video.
[01:27:05.400 --> 01:27:06.280]  I would really share that.
[01:27:06.280 --> 01:27:08.020]  That's the inventor of mRNA.
[01:27:08.020 --> 01:27:09.981]  Saying it's an escalating war on our children.
[01:27:09.981 --> 01:27:11.921]  The inventor of mRNA technology.
[01:27:11.921 --> 01:27:12.921]  Quite a big deal.
[01:27:12.921 --> 01:27:18.362]  And then we've got all the bullying going on of Aaron Rodgers.
[01:27:18.362 --> 01:27:21.123]  And I hadn't really been following it much, but
[01:27:22.659 --> 01:27:29.766]  You know, I occasionally slip and start watching football and watching basketball because I like both of them.
[01:27:29.766 --> 01:27:31.848]  I just don't let myself watch because it's a distraction.
[01:27:31.848 --> 01:27:32.989]  It's so woke and annoying.
[01:27:33.735 --> 01:27:35.496]  But I caught myself when I woke up at 4 a.m.
[01:27:35.496 --> 01:27:58.135]  this morning watching Charles Barkley, who I like, and a bunch of clips about him, and I didn't know that I watched some other ESPN stuff and other, all those other channels, and they were just, other than Charles Barkley, they were saying, Aaron Rodgers is a white supremacist, and this is his white privilege, had nothing to do with anything being white, and it was black people mainly saying it, because that's what
[01:27:59.076 --> 01:28:01.540]  Fox, Sports, and ESPN, both were doing it.
[01:28:01.540 --> 01:28:05.707]  Imagine calling somebody a white supremacist because they don't want an experimental shot in their body.
[01:28:08.084 --> 01:28:18.731]  And it was black people up there attacking him and saying he's bad, when meanwhile, they're being killed, they're being targeted, they're being starved to death under the Great Reset, and it was just so sick.
[01:28:18.731 --> 01:28:26.856]  You could see Margaret Sanger 110 years ago when she said, we're going to hire the black people to work for us, and so the blacks will never know how we enslave them or kill them.
[01:28:26.856 --> 01:28:29.858]  First thing we're going to do is break their families up, and then we can abort their asses.
[01:28:30.711 --> 01:28:33.552]  And then you got all the leftist black people worshipping these people.
[01:28:33.552 --> 01:28:36.172]  I mean, it's just, you can't even hate these folks.
[01:28:36.172 --> 01:28:41.953]  You just look at these dumbasses worth hundreds of millions of dollars that hate the country they're in, but it's not their fault.
[01:28:41.953 --> 01:28:47.415]  It's the corporations financing them to come out and do that and racially divide us.
[01:28:47.415 --> 01:28:50.915]  So we're going to talk about those bullies as well, and I'm going to give the number out to take calls.
[01:28:50.915 --> 01:28:51.455]  Hell, I'll do it now.
[01:28:51.455 --> 01:28:51.515]  877-789-2539.
[01:28:51.515 --> 01:28:51.655]  877-789-ALEX.
