[00:00:12.645 --> 00:00:15.666]  Jesse Peters is right.
[00:26:59.892 --> 00:27:06.156]  With a team from Gilead Pharmaceuticals to make remdesivir.
[00:27:06.156 --> 00:27:08.217]  Which destroys the kidneys and doesn't help you.
[00:27:08.217 --> 00:27:09.618]  This is so diabolical.
[00:27:09.618 --> 00:27:13.701]  So every way you can see the criminal pre-planning.
[00:27:13.701 --> 00:27:14.561]  Yes.
[00:27:14.561 --> 00:27:18.304]  And so, this is a bioweb.
[00:27:18.304 --> 00:27:21.606]  And they had the antidote for it.
[00:27:21.606 --> 00:27:25.569]  And they suppressed the antidote intentionally, not for themselves.
[00:27:25.569 --> 00:27:26.149]  You think these
[00:27:28.280 --> 00:27:30.201]  Masterminds want their own families to die?
[00:27:30.201 --> 00:27:31.402]  Of course not.
[00:27:31.402 --> 00:27:32.243]  They themselves know.
[00:27:32.243 --> 00:27:44.852]  This is consistent with what I knew about the executives of... Yeah, you broke that a year ago, and Joe Rogan confirmed it, that hundreds of members of Congress in Hollywood all know about this, but still want it suppressed.
[00:27:44.852 --> 00:27:49.735]  That your protocol, they were using your protocol, but they suppress it for the general public.
[00:27:49.735 --> 00:27:52.117]  Talk about evil.
[00:27:52.117 --> 00:27:57.781]  Yeah, also the executives of Google, I know internally that they're all taking hydroxychloroquine and ivermectin.
[00:27:58.655 --> 00:28:12.061]  And so, this information, the antidote to the bomb, the poison, was known, was created by the same monsters, but they hid it from you and me.
[00:28:12.061 --> 00:28:22.606]  Now, when doctors like myself stumbled across these approaches, because we had necessity, the patients were dying, and so we needed some help.
[00:28:22.606 --> 00:28:23.786]  We needed help.
[00:28:23.786 --> 00:28:25.247]  We needed to treat the patients.
[00:28:25.247 --> 00:28:27.568]  And so, immediately, anything that
[00:28:28.371 --> 00:28:37.676]  Would help, hydroxychloroquine, then ivermectin, and even the concept of early intervention, getting rid of this infection before the complications begin.
[00:28:37.676 --> 00:28:44.259]  Everything was vilified, marginalized, and doctors that were advocating for it were deplatformed.
[00:28:44.259 --> 00:28:48.861]  So what you've laid out is, they knew it, they had it planned, they censored it, they did it all.
[00:28:48.861 --> 00:28:51.422]  We'll come back with Dr. Zelenko to explain how huge this is.
[00:28:51.422 --> 00:28:52.303]  Straight ahead, please stay with us.
[00:29:00.143 --> 00:29:07.409]  I have come to you countless times over the last 28 years and asked for your support, and you have come through, and you know who you are.
[00:29:07.409 --> 00:29:12.493]  And all that work is building towards the crescendo of 2022.
[00:29:12.493 --> 00:29:20.239]  I can say without a shadow of a doubt, intellectually, spiritually, and at a gut level, that all hell has already broken loose, and it's about to get 10 times worse.
[00:29:20.879 --> 00:29:23.621]  Well, this is the time that tries men and women's souls.
[00:29:23.621 --> 00:29:26.903]  And this is the time when we're going to all see who we really are.
[00:29:26.903 --> 00:29:31.967]  So now, more than ever, please spread the word about InfoWars.com, the articles, the videos.
[00:29:31.967 --> 00:29:36.970]  And please keep us on the air while you get great products at the same time at InfoWarsStore.com.
[00:29:36.970 --> 00:29:45.196]  We have got the best supplements, the best films, the best books, the most informative information, all at one place, thousands of items at InfoWarsStore.com.
[00:29:45.196 --> 00:29:47.778]  And it's a win-win because you don't just get great products.
[00:29:48.058 --> 00:29:50.860]  You keep the tip of the spear, M4 Wars, on air.
[00:29:50.860 --> 00:29:53.942]  You keep that light of liberty burning bright on that hill.
[00:29:53.942 --> 00:29:55.623]  Thank you so much for your support.
[00:29:55.623 --> 00:29:57.965]  Please visit m4warstore.com and I'll see you in 2022.
[00:29:59.946 --> 00:30:07.693]  The globalists are bombarding us with propaganda, and with spiritual warfare, and with poisons and chemicals added to the foods.
[00:30:07.693 --> 00:30:09.215]  It's all come out.
[00:30:09.215 --> 00:30:15.981]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[00:30:15.981 --> 00:30:19.204]  And the social engineers fear that so much.
[00:30:19.204 --> 00:30:24.970]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[00:30:26.866 --> 00:30:32.690]  The propaganda would not be necessary if the situation was hopeless.
[00:30:32.690 --> 00:30:44.899]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[00:30:45.439 --> 00:30:49.365]  And that's why it's so important that everybody keep Infowars on the air now more than ever.
[00:30:49.365 --> 00:30:55.072]  Because even if you don't believe in God, what the globalists are manifesting and setting up is satanic.
[00:30:55.072 --> 00:30:59.378]  And we are opposing the one world government and the Mark of the Beast they just announced.
[00:30:59.378 --> 00:31:00.059]  In late August.
[00:31:00.419 --> 00:31:15.609]  Infowars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[00:31:15.609 --> 00:31:19.271]  Now, ladies and gentlemen, storable food has always been something that's important to have.
[00:31:19.271 --> 00:31:25.976]  It's a check box that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[00:31:26.576 --> 00:31:30.660]  But now more than ever, you need to get your storable food orders in now.
[00:31:30.660 --> 00:31:33.403]  We're ready to ship to you within 24 hours of your order.
[00:31:33.403 --> 00:31:34.224]  It's high quality.
[00:31:34.224 --> 00:31:37.447]  It's very, very low cost at infowarestore.com.
[00:31:37.447 --> 00:31:44.815]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[00:31:44.815 --> 00:31:48.739]  So lock in your storable food now at a lower price and fund the info war.
[00:31:53.560 --> 00:32:03.043]  Everything I do is about victory for humanity.
[00:32:03.043 --> 00:32:08.925]  Everything I promote is about standing up against the New World Order by empowering humanity.
[00:32:08.925 --> 00:32:11.105]  Well, that's why ResetWars.com is so important.
[00:32:11.105 --> 00:32:16.347]  Not only is it a game-changing course of critical information to unlock your mind from the Matrix,
[00:32:16.867 --> 00:32:26.373]  But it's something that gets around Klaus Schwab's attempt to shut down American infrastructure and American jobs.
[00:32:26.373 --> 00:32:28.574]  It is the true digital economy.
[00:32:28.574 --> 00:32:32.737]  It's the spiritual economy of the mind and transcendental control.
[00:32:33.732 --> 00:32:41.795]  I've been on there 28 years, and all of our work has been amazing, thanks to God and God's divine empowerment and blessing.
[00:32:41.795 --> 00:32:47.718]  But I got to tell you, out of everything I've done, Reset Wars is the most important, and it is now available.
[00:32:47.718 --> 00:32:52.459]  Now, the month of December 2021 is here at ResetWars.com.
[00:32:52.459 --> 00:32:56.561]  Start your journey to the next level today at ResetWars.com.
[00:32:56.561 --> 00:32:58.842]  The globalists fear this information.
[00:33:01.149 --> 00:33:05.733]  Leading a frontal assault on the lies of the New World Order.
[00:33:05.733 --> 00:33:07.055]  It's Alex Jones!
[00:33:20.061 --> 00:33:26.545]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:26.545 --> 00:33:34.671]  And again, I would apologize for 14 minutes of ads an hour, but that's the standard for talk radio and TV, and I hate going to break when Dr. Zelenko is saying something so important.
[00:33:36.253 --> 00:33:41.859]  It's all hardwired in by the satellite feeds that literally cut into the radio stations.
[00:33:41.859 --> 00:33:47.807]  That's why the de-platforming off the internet, we stayed on air because we had over 200 radio stations, and we still do.
[00:33:47.807 --> 00:33:49.589]  We're very thankful to those stations.
[00:33:49.589 --> 00:33:52.012]  But I am going to start the new year three nights a week.
[00:33:53.089 --> 00:34:16.131]  At least three nights a week a multi-hour commercial free podcast direct to you the viewers and listeners with guests and callers where I might take a break to go to the bathroom or get a cup of coffee or something but it's not gonna have regular commercial breaks so look for that in the new year something I promised to do the world's so crazy we're here but Dr. Zalinko I know our listeners are smart they're awesome people but I want them to get what you're saying you're laying out any grand jury
[00:34:17.111 --> 00:34:21.752]  It would take a few weeks to give a grand jury all this, but they would definitely indict Fauci for what you're saying.
[00:34:21.752 --> 00:34:26.973]  You're laying out the compendium of basically how this criminal plan was set up.
[00:34:26.973 --> 00:34:36.134]  And when you see how criminal it was, like you were saying last time you were on, months before the outbreak, Gates and Fauci are already sending messages saying, get the vaccine ready.
[00:34:36.134 --> 00:34:37.875]  You're like, wait, they didn't make the vaccine.
[00:34:37.875 --> 00:34:44.836]  No, they own the patents to what vaccine they, quote, wanted to then be sent out to the major makers, which they also got paid money from.
[00:34:44.836 --> 00:34:46.196]  So the trail
[00:34:47.310 --> 00:34:54.172]  I think is what you're saying of them scientifically preparing this is one of the most open and shut premeditated murder cases ever.
[00:34:54.172 --> 00:34:56.693]  Is that what you're saying?
[00:34:56.693 --> 00:34:59.153]  I'm saying this is the worst crime in human history.
[00:34:59.153 --> 00:35:01.094]  It's a genocide.
[00:35:01.094 --> 00:35:05.855]  It's mass murder, first degree premeditated genocide and mass murder.
[00:35:05.855 --> 00:35:15.398]  And it's being driven essentially by demonic personalities that are absolutely obsessed with power.
[00:35:16.229 --> 00:35:20.671]  And wealth, but more than wealth, I think it's power.
[00:35:20.671 --> 00:35:24.613]  Because once you have $100 billion, let's say, what's the difference if you have $150 billion?
[00:35:24.613 --> 00:35:25.554]  You don't feel it.
[00:35:25.554 --> 00:35:43.043]  But power and being able to enslave others, it fulfills the perverse desires of these narcissists, egotists, and really, I would even call them Satan incarnate or the embodiment of the essence of evil.
[00:35:46.147 --> 00:35:48.448]  You know who Barbara Marks Hubbard was?
[00:35:48.448 --> 00:35:48.768]  Yes.
[00:35:48.768 --> 00:35:53.670]  Okay, she is the demonic mother of the New World Order.
[00:35:53.670 --> 00:35:56.672]  She, uh, I hope she burns in hell for all eternity.
[00:35:56.672 --> 00:36:01.614]  She, um, and I'm going to read you a few quotes from her that will explain to you the philosophy.
[00:36:01.614 --> 00:36:08.317]  She's the ideology, the mother of the ideology of Klaus Schwab, let's say.
[00:36:08.317 --> 00:36:12.759]  One fourth of humanity must be eliminated from the social body.
[00:36:12.759 --> 00:36:13.219]  It's a quote.
[00:36:13.843 --> 00:36:18.826]  We are in charge of God's selection process for planet Earth.
[00:36:18.826 --> 00:36:22.048]  He selects, we destroy.
[00:36:22.048 --> 00:36:26.870]  We are the riders of the pale horse death."
[00:36:26.870 --> 00:36:27.611]  End quote.
[00:36:27.611 --> 00:36:30.432]  Another quote from her.
[00:36:30.432 --> 00:36:34.614]  This act is as horrible as killing a cancer cell.
[00:36:34.614 --> 00:36:39.377]  It must be done for the sake of the future of the whole, so be it.
[00:36:39.995 --> 00:36:44.378]  Be prepared for the selection process which is now beginning.
[00:36:44.378 --> 00:37:02.331]  We, the elders, have been patiently waiting until the very last moment before the quantum transformation to take action to cut out this corrupted and corrupting element in the body of humanity.
[00:37:02.331 --> 00:37:04.833]  It is like watching a cancer grow.
[00:37:04.833 --> 00:37:07.855]  Something must be done before the whole body is destroyed.
[00:37:08.502 --> 00:37:14.406]  The destructive one-fourth must be eliminated from the social body.
[00:37:14.406 --> 00:37:21.031]  I want to read you one more quote, not from her, from Jacques Attali.
[00:37:21.031 --> 00:37:28.436]  He was an advisor to the French Prime Minister from 1981 till in the 90s.
[00:37:28.436 --> 00:37:29.737]  I think 1991.
[00:37:29.737 --> 00:37:33.220]  Yeah, that was François Mitterrand, who was a big Luciferian.
[00:37:33.220 --> 00:37:35.181]  Please continue.
[00:37:35.181 --> 00:37:38.003]  Yes, so he was Mitterrand's right-hand man.
[00:37:39.196 --> 00:37:42.657]  And this is from a book called Verbatim in 1981.
[00:37:42.657 --> 00:37:52.960]  Now, the Facebook fact checker, Myth Busters, or Myth whatever it's called, says that this isn't true.
[00:37:52.960 --> 00:37:56.581]  But this is how I know that this must be true.
[00:37:56.581 --> 00:38:01.302]  The future will be about finding a way to reduce the population.
[00:38:01.302 --> 00:38:04.703]  Of course, we will not be able to execute people or build camps.
[00:38:05.430 --> 00:38:09.572]  We get rid of them by making them believe it is for their own good.
[00:38:09.572 --> 00:38:22.478]  We'll find or cause something, a pandemic targeting certain people, a real economic crisis or not, a virus affecting the old or the elderly.
[00:38:22.478 --> 00:38:23.699]  It doesn't matter.
[00:38:23.699 --> 00:38:27.401]  The weak and the fearful will succumb to it.
[00:38:27.401 --> 00:38:31.403]  The stupid will believe in it and ask to be treated.
[00:38:31.403 --> 00:38:34.044]  We will have taken care
[00:38:34.557 --> 00:38:40.442]  of having panned the treatment, a treatment that will be the solution.
[00:38:40.442 --> 00:38:45.987]  The selection of idiots will therefore be done by itself.
[00:38:45.987 --> 00:38:50.510]  They will go to the slaughterhouse alone.
[00:38:50.510 --> 00:38:51.671]  Wow!
[00:38:51.671 --> 00:38:58.317]  Dr. Zaliga, let me just say this, because this is about God Consciousness, and I don't say something that isn't true, but it's a little embarrassing to say just because it's so personal.
[00:38:59.855 --> 00:39:02.037]  You normally, it takes about a week to get you on the show.
[00:39:02.037 --> 00:39:03.278]  Today you were able to come on.
[00:39:03.278 --> 00:39:07.562]  I had a dream about you last night, but I couldn't remember the dream when I woke up.
[00:39:07.562 --> 00:39:09.783]  When I got up, I said, I got to get Zelenko on today.
[00:39:09.783 --> 00:39:11.785]  And then I said, what was the dream about?
[00:39:11.785 --> 00:39:13.326]  I couldn't remember.
[00:39:13.326 --> 00:39:18.371]  And then I just remembered that I said to myself, well, Zelenko kind of says the same thing every time he's on, just like you do.
[00:39:18.371 --> 00:39:19.231]  It's not an attack.
[00:39:19.231 --> 00:39:19.972]  It's true.
[00:39:19.972 --> 00:39:20.953]  Same emergency message.
[00:39:20.953 --> 00:39:22.875]  But I said, no, today's going to be different.
[00:39:22.875 --> 00:39:24.296]  And then I intended to come in here.
[00:39:25.163 --> 00:39:34.766]  And talk about depopulation, talk about the UN, talk about Schwab, and talk about, she wasn't even by name, but those same groups, and then here you said it.
[00:39:34.766 --> 00:39:35.966]  This is amazing.
[00:39:35.966 --> 00:39:40.047]  And I'm not trying to be weird about it, it's just true, so I feel like I should have said that.
[00:39:40.047 --> 00:39:42.808]  Go ahead.
[00:39:42.808 --> 00:39:43.969]  Listen, truth is truth.
[00:39:43.969 --> 00:39:46.669]  It's in the air, you know?
[00:39:46.669 --> 00:39:48.290]  And people that are attuned to it,
[00:39:49.448 --> 00:39:54.632]  I think it's become much more accessible to anyone who wants to access and download this information.
[00:39:54.632 --> 00:39:56.533]  And I'm talking about metaphysically.
[00:39:56.533 --> 00:39:58.975]  That there's an intuitive sense of what's true and what's not.
[00:39:58.975 --> 00:40:15.906]  Anyone who has some degree of sensitivity sees that this is an attempt by the forces of evil to steal God-consciousness and then use fear to breed codependency on a cult.
[00:40:15.906 --> 00:40:17.687]  Codependency on sociopaths.
[00:40:18.197 --> 00:40:20.279]  Yeah, but I see it actually in a different way.
[00:40:20.279 --> 00:40:23.401]  I see that God is giving every human being an opportunity.
[00:40:23.401 --> 00:40:25.762]  It's like we're in the generation right before the flood of Noah.
[00:40:44.509 --> 00:40:48.592]  And God is saying, listen, repent and get on the ark.
[00:40:48.592 --> 00:40:54.415]  Don't stay in the turbulent waters of idol worship and child sacrifice and paganism.
[00:40:54.415 --> 00:40:56.016]  You see, it's the decisions of man.
[00:40:56.016 --> 00:41:02.760]  If you know, there's a psychoanalyst, what's his name, I forget, but I'll remember in a minute, but Carl Jung.
[00:41:02.760 --> 00:41:03.520]  Carl Jung.
[00:41:03.520 --> 00:41:09.724]  He wrote that the degradation of a society begins with the degradation, moral degradation of an individual.
[00:41:10.743 --> 00:41:16.909]  And so you can learn vice versa that the moral improvement of a society begins with the refinement of the individual.
[00:41:16.909 --> 00:41:33.306]  And so it's the sum total of all of our bad decisions over the last whatever period of time that has led to the slaughter of the unborn, the defamation and desecration of gender roles, the desecration of what marriage is, the
[00:41:34.219 --> 00:41:45.845]  Uh, perversion and poisoning of the youth through the public school system, which teaches debauchery and normalizes, um, the worst behavior, immoral behavior.
[00:41:45.845 --> 00:41:53.189]  So basically this country has drifted away from Judeo-Christian morals and, and let's just keep it simple, the Ten Commandments.
[00:41:53.189 --> 00:42:03.495]  And so therefore it's not surprising to me that there comes a kind of a tipping point that's crossed the threshold that's been passed through collective humanity.
[00:42:03.936 --> 00:42:07.358]  Well, God says, OK, now it's time for a cleaning.
[00:42:07.358 --> 00:42:08.799]  And I think that's what we're going through.
[00:42:08.799 --> 00:42:14.642]  And it may be the best result here is people repent.
[00:42:14.642 --> 00:42:19.645]  They return back to the umbrella of the divine will.
[00:42:19.645 --> 00:42:21.146]  They live a moral life.
[00:42:21.146 --> 00:42:24.247]  They respect life, the sanctity of life.
[00:42:24.247 --> 00:42:25.148]  They respect marriage.
[00:42:25.148 --> 00:42:28.710]  They respect children and the unborn and so on.
[00:42:28.710 --> 00:42:32.352]  And that could avert a major body count.
[00:42:32.352 --> 00:42:32.652]  However,
[00:42:33.621 --> 00:42:39.945]  Regardless of whether or not people are going to realize that, the cleansing will happen.
[00:42:39.945 --> 00:42:47.850]  And so, again, every single individual right now is being given a choice, and that choice is from God.
[00:42:47.850 --> 00:42:50.172]  And here's the question, who are you going to bow down to?
[00:42:50.172 --> 00:42:50.592]  I agree.
[00:42:50.592 --> 00:42:51.613]  Stay right there, Dr. Zlingo.
[00:42:51.613 --> 00:42:54.015]  Final segment, we'll talk about solutions straight ahead.
[00:42:54.015 --> 00:42:54.515]  We'll be right back.
[00:42:59.713 --> 00:43:05.561]  Rarely in life do you come upon something that is an absolute 360 win.
[00:43:05.561 --> 00:43:15.835]  And this is a 360 win situation for everybody that loves liberty, that loves health, that loves being informed, and loves being free.
[00:43:16.776 --> 00:43:35.804]  Ladies and gentlemen, when you buy amazing, high quality supplements at InfoWarsTore.com, or you get books, or films, or water filtration, or air filtration, all of that makes you healthier, all of that makes you wiser, and your purchase keeps InfoWars on the air at a time when it's so critical and the world is finally waking up.
[00:43:36.304 --> 00:43:41.049]  Help supercharge the Great Awakening even more into the year 2022.
[00:43:41.049 --> 00:43:52.539]  Please make the resolution to get Vitamin Mineral Fusion, DNA Force Plus, Ultimate Bone Broth, our great Vitamin D3 product Winter Sun and others at up to 60% off at InfoWareStore.com.
[00:43:52.539 --> 00:43:54.101]  It is a 360 win.
[00:43:54.101 --> 00:43:56.423]  The only way to fail is if you don't take action.
[00:43:56.423 --> 00:43:58.785]  Please visit InfoWareStore.com now.
[00:43:59.281 --> 00:44:03.003]  Everything I do is about victory for humanity.
[00:44:03.003 --> 00:44:08.845]  Everything I promote is about standing up against the New World Order by empowering humanity.
[00:44:08.845 --> 00:44:11.046]  Well, that's why ResetWars.com is so important.
[00:44:11.046 --> 00:44:25.592]  Not only is it a game-changing course of critical information to unlock your mind from the Matrix, but it's something that gets around Klaus Schwab's attempt to shut down American infrastructure and American jobs.
[00:44:26.312 --> 00:44:28.513]  It is the true digital economy.
[00:44:28.513 --> 00:44:33.676]  It's the spiritual economy of the mind and transcendental control.
[00:44:33.676 --> 00:44:41.741]  I've been on there 28 years, and all of our work has been amazing, thanks to God and God's divine empowerment and blessing.
[00:44:41.741 --> 00:44:47.664]  But I gotta tell you, out of everything I've done, Reset Wars is the most important, and it is now available.
[00:44:47.664 --> 00:44:49.686]  Now, the month of December 2021 is here at ResetWars.com.
[00:44:52.387 --> 00:44:56.493]  Start your journey to the next level today at ResetWars.com.
[00:44:56.493 --> 00:44:59.317]  The globalists fear this information.
[00:44:59.317 --> 00:45:03.043]  Everything I do is about victory for humanity.
[00:45:03.043 --> 00:45:08.591]  Everything I promote is about standing up against the new world order by empowering humanity.
[00:45:08.871 --> 00:45:11.072]  Well, that's why ResetWars.com is so important.
[00:45:11.072 --> 00:45:26.340]  Not only is it a game-changing course of critical information to unlock your mind from the matrix, but it's something that gets around Klaus Schwab's attempt to shut down American infrastructure and American jobs.
[00:45:26.340 --> 00:45:28.561]  It is the true digital economy.
[00:45:28.561 --> 00:45:32.703]  It's the spiritual economy of the mind and transcendental control.
[00:45:33.697 --> 00:45:41.762]  I've been on air 28 years, and all of our work has been amazing, thanks to God and God's divine empowerment and blessing.
[00:45:41.762 --> 00:45:47.705]  But I've got to tell you, out of everything I've done, Reset Wars is the most important, and it is now available.
[00:45:47.705 --> 00:45:52.428]  Now, the month of December 2021 is here at ResetWars.com.
[00:45:52.428 --> 00:45:56.530]  Start your journey to the next level today at ResetWars.com.
[00:45:56.530 --> 00:45:59.391]  The globalists fear this information.
[00:45:59.391 --> 00:46:00.212]  All right, ladies and gentlemen.
[00:46:01.653 --> 00:46:03.074]  Keep us on air.
[00:46:03.074 --> 00:46:05.615]  We'll continue to bring you the banned guests.
[00:46:05.615 --> 00:46:09.478]  We'll continue to bring the information that no one else will touch.
[00:46:09.478 --> 00:46:10.238]  Keep us on air.
[00:46:10.238 --> 00:46:11.519]  Go to InfoWarsStore.com.
[00:46:11.519 --> 00:46:25.087]  The new supplements that we have, the latest in the InfoWars Life Supplement line, the Vitamin D3 with Calcium Gummies, the Vitamin C with Zinc and the Whole Food Multivitamins, or if you buy the Combo Pack with all three at InfoWarsStore.com.
[00:46:25.087 --> 00:46:27.549]  And you know, I'm telling you, the Vitamin D Gummies
[00:46:28.578 --> 00:46:30.340]  This is a great thing for your kids.
[00:46:30.340 --> 00:46:31.000]  They're going to love it.
[00:46:31.000 --> 00:46:32.742]  They're going to love the taste of the gummies.
[00:46:32.742 --> 00:46:34.143]  It's healthy.
[00:46:34.143 --> 00:46:35.645]  So that's just a great thing for kids.
[00:46:35.645 --> 00:46:37.226]  I mean, we could just do marketing campaigns.
[00:46:37.226 --> 00:46:39.288]  I think for kids, that'd be great.
[00:46:39.288 --> 00:46:40.329]  The calcium, good for them.
[00:46:40.329 --> 00:46:40.789]  The vitamin D.
[00:46:42.082 --> 00:46:47.744]  So, that's at InfoWarsStore.com and again it's your support there that keeps us on the air.
[00:46:47.744 --> 00:46:55.966]  So, supplements, the shirts, the air filters, the water filters, the emergency food supplies, the emergency supplies at InfoWarsStore.com.
[00:46:55.966 --> 00:46:57.587]  Your support there keeps us on the air.
[00:46:57.587 --> 00:47:01.628]  We cannot thank you enough.
[00:47:01.628 --> 00:47:07.590]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[00:47:07.590 --> 00:47:09.631]  Hillary Clinton.
[00:47:10.674 --> 00:47:12.195]  I think she's dead now, gone to hell.
[00:47:12.195 --> 00:47:17.478]  But she talks about, we are the pale horse death, we're the new world order, we're going to carry all this out.
[00:47:17.478 --> 00:47:19.159]  I'll pull that quote up for you coming up here.
[00:47:19.159 --> 00:47:21.581]  It's just a few minutes, but I was just paraphrasing it.
[00:47:21.581 --> 00:47:27.364]  But Dr. Zelenko, medical doctor who helped get the first treatments out that saved millions of people, he's here with us.
[00:47:27.364 --> 00:47:34.529]  And I wanted to talk about where we're going here, because everything Satan does is a counterfeit.
[00:47:35.700 --> 00:47:38.202]  And so Satan says, oh, I'm going to call the people.
[00:47:38.202 --> 00:47:39.643]  I'm going to make them make the decision.
[00:47:39.643 --> 00:47:42.185]  I'm going to make them decide which side they're on.
[00:47:42.185 --> 00:47:44.908]  But then, really, that's God's plan.
[00:47:44.908 --> 00:47:48.951]  It's up to us individually to choose, not for Satan to make those choices for us.
[00:47:48.951 --> 00:47:51.433]  And here's Jack Posobiec, who's a smart guy.
[00:47:51.433 --> 00:47:58.920]  Pretty clear Biden is only crediting Trump for the vaccine to set him up to take the blame for what comes next.
[00:47:59.560 --> 00:48:02.623]  I think that's a very simple, neutral way to say it.
[00:48:02.623 --> 00:48:07.848]  And now Trump is rubbing it in after speeches in Texas, saying take the shot, it's totally safe, it totally works.
[00:48:07.848 --> 00:48:09.070]  None of that's true.
[00:48:09.070 --> 00:48:13.574]  Trump says most Americans dying are unvaccinated and encourages everyone to get the shot.
[00:48:13.574 --> 00:48:15.496]  Now he loved Dr. Zelenko's protocol.
[00:48:15.496 --> 00:48:16.057]  Help promote it.
[00:48:16.994 --> 00:48:19.976]  I think Trump just thinks doctors are trustworthy.
[00:48:19.976 --> 00:48:21.837]  He hasn't heard of Joseph Mengele?
[00:48:21.837 --> 00:48:26.059]  And I'm sorry to bring up a Nazi analogy, but it's the one that fits here, Dr. Zelenko.
[00:48:26.059 --> 00:48:27.600]  I think Trump's a good person.
[00:48:27.600 --> 00:48:30.341]  But I'm really worried about him with what he's doing here.
[00:48:30.341 --> 00:48:31.402]  I think he's being set up.
[00:48:31.402 --> 00:48:34.443]  What do you think?
[00:48:34.443 --> 00:48:39.046]  Whatever his motivations are, I have to publicly disagree with him.
[00:48:40.253 --> 00:48:41.274]  I think he's done a lot of good.
[00:48:41.274 --> 00:48:53.503]  I would say the main thing they did that was good was move the federal judiciary to the right with more than 300 justices that have Judeo-Christian values.
[00:48:53.503 --> 00:48:58.326]  I think that did help move the moral compass of this country.
[00:48:58.326 --> 00:49:02.709]  But what he's talking about when it comes to these vaccines, he really doesn't know what he's talking about.
[00:49:02.709 --> 00:49:05.511]  Or if he does, then I have a real problem with him.
[00:49:07.250 --> 00:49:08.410]  He's worried about his legacy.
[00:49:08.410 --> 00:49:09.591]  You know, he's a narcissist.
[00:49:09.591 --> 00:49:14.492]  And what he cares about now is his legacy.
[00:49:14.492 --> 00:49:19.073]  And he went warp speed due to political calculations.
[00:49:19.073 --> 00:49:20.094]  This I know for a fact.
[00:49:20.094 --> 00:49:28.876]  But he was looking into pre-hospital treatments and emphasizing that until hydroxychloroquine became politically radioactive.
[00:49:28.876 --> 00:49:35.778]  And then he made a calculation with his team, got bad advice on my short, that shifted him towards a warp speed.
[00:49:36.537 --> 00:49:40.240]  Vaccine development, because he thought that was going to help him win re-election.
[00:49:40.240 --> 00:49:45.043]  And then he went after he secured a second term, go back to pre-hospital.
[00:49:45.043 --> 00:49:48.445]  I was told pre-hospital treatment.
[00:49:48.445 --> 00:49:56.171]  Now, the reality is that the vaccines were known.
[00:49:56.171 --> 00:49:59.153]  The side effects were known and the FDA knew about it.
[00:49:59.153 --> 00:50:05.637]  And months before they released this poisonous death shot on innocent
[00:50:06.403 --> 00:50:11.284]  I think that the Deep State operatives like Rick Bright and Janet Woodcock, and I have evidence for all that, sabotaged his
[00:50:34.810 --> 00:50:36.871]  I mean, how does Trump not be set up here?
[00:51:00.785 --> 00:51:03.648]  Well, he has to recognize that he was sabotaged.
[00:51:03.648 --> 00:51:04.689]  But forget about him.
[00:51:04.689 --> 00:51:06.811]  The American people were sabotaged.
[00:51:06.811 --> 00:51:12.357]  The interests of the American people, the lives and the sanctity of the lives, our lives are desecrated.
[00:51:12.357 --> 00:51:20.586]  And so the only position that he has is to backtrack and say, yes, I had my intuition initially was correct.
[00:51:21.331 --> 00:51:25.372]  The pre-hospital approach is the right approach.
[00:51:25.372 --> 00:51:28.513]  And now we see the evidence of these vaccines.
[00:51:28.513 --> 00:51:31.994]  They don't work and they're dangerous and most people don't need them.
[00:51:31.994 --> 00:51:45.278]  So I'm pivoting now for the welfare of the American public and supporting proven data-driven solutions and not force people to go on a path of self-destruction.
[00:51:45.788 --> 00:51:46.869]  He has to do a mea culpa.
[00:51:46.869 --> 00:51:49.032]  He has to say, I'm sorry, I made a mistake.
[00:51:49.032 --> 00:51:49.473]  And that's OK.
[00:51:49.473 --> 00:51:50.374]  I totally agree.
[00:51:50.374 --> 00:51:51.736]  I totally agree, Dr. Zelenko.
[00:51:51.736 --> 00:51:54.760]  And that's what I've been saying, because I know he got set up and sucked in.
[00:51:54.760 --> 00:51:59.446]  But the deeper he gets sucked into this, it's a major setup.
[00:51:59.446 --> 00:52:02.590]  In the time we have left, the rest of this segment, one more short segment with you.
[00:52:03.504 --> 00:52:04.945]  What do you predict for next year?
[00:52:04.945 --> 00:52:06.326]  I mean, clearly they're lining up.
[00:52:06.326 --> 00:52:09.088]  They're saying Trump supporters are going to launch terror attacks.
[00:52:09.088 --> 00:52:11.229]  The CIA is globalist control.
[00:52:11.229 --> 00:52:12.630]  They're wanting all this.
[00:52:12.630 --> 00:52:16.232]  They're trying to divide and conquer us along all lines.
