[00:00:10.478 --> 00:00:12.300]  They're all alike.
[01:01:35.422 --> 01:01:38.508]  Watch live right now at band.video.
[01:01:38.508 --> 01:01:41.174]  Welcome back, folks, to American Journal, I guess.
[01:01:42.080 --> 01:01:52.527]  I'm very happy to have Mary Josephine Generoso is the manager of Rocco's, a fine dining establishment that's been making headlines for refusing to discriminate against unvaccinated patrons.
[01:01:52.527 --> 01:01:56.429]  Mary's taking a stand for your civil liberties and freedoms and needs your support.
[01:01:56.429 --> 01:02:00.352]  On September 13th, the city will begin issuing fines starting at a thousand dollars for the first offense
[01:02:00.892 --> 01:02:07.896]  $2,000 for the second time to indoor businesses that fail to ensure their venues are off-limits to those who remain unvaccinated.
[01:02:07.896 --> 01:02:13.119]  It's imperative to call New York businesses and tell them you will not give them your business if they enforce this policy.
[01:02:13.119 --> 01:02:19.763]  Rocco's has a donation page to help them in the fight against tyranny at GiveSendGo.com slash Rocco's.
[01:02:21.944 --> 01:02:26.732]  Their Instagram is at Rocco's Pastry and the website Rocco's.nyc.
[01:02:26.732 --> 01:02:29.035]  Again, R-O-C-C-O-S.
[01:02:29.035 --> 01:02:32.620]  Very happy to have the manager of Rocco's, Mary Josephine Generoso, on with me today.
[01:02:32.620 --> 01:02:34.643]  Thanks so much for coming on, Mary.
[01:02:34.643 --> 01:02:35.565]  Oh, thanks for having me.
[01:02:36.454 --> 01:02:41.299]  Well, I'm very happy to have you, and I love this picture from the New York Post that has this sign that you posted.
[01:02:41.299 --> 01:02:48.105]  It says, We do not discriminate against any customer based on sex, gender, race, creed, age, vaccinated or unvaccinated.
[01:02:48.105 --> 01:02:51.708]  All customers who wish to patronize are welcome in our establishment.
[01:02:51.708 --> 01:02:57.073]  What inspired you to do this and to stand up against this mandate?
[01:02:57.073 --> 01:02:58.574]  Well, honestly, the mayor inspired me.
[01:02:58.574 --> 01:02:59.976]  I mean, the second he came out and
[01:03:00.836 --> 01:03:04.979]  He said that we were now going to be checking people based on a vaccine.
[01:03:04.979 --> 01:03:07.582]  I immediately was just like, no, absolutely not.
[01:03:07.582 --> 01:03:11.445]  I mean, my first reaction, I think, was a little bit of despair.
[01:03:11.445 --> 01:03:18.590]  And then immediately, I think five to 10 minutes after hearing him speak, that, you know, sign was conceived in my mind.
[01:03:18.590 --> 01:03:20.972]  I sent a text to my husband who was sitting right next to me.
[01:03:20.972 --> 01:03:21.833]  And I'm like, what do you think?
[01:03:21.833 --> 01:03:24.635]  Can we make a sign that we can put up?
[01:03:24.635 --> 01:03:26.397]  And he was all for it.
[01:03:26.397 --> 01:03:27.758]  And here we are today.
[01:03:28.544 --> 01:03:34.456]  I mean, Bill de Blasio is probably the most unliked man in the city.
[01:03:34.456 --> 01:03:37.882]  I don't know anybody, even if they voted for him, who actually likes him.
[01:03:37.882 --> 01:03:40.668]  So we have one man telling restaurants
[01:03:41.448 --> 01:03:43.450]  What they can and cannot do.
[01:03:43.450 --> 01:03:49.796]  You know, New York, the reason why this is happening in New York is because this is the biggest city on the planet.
[01:03:49.796 --> 01:03:53.479]  If it takes hold here, it will take hold everywhere.
[01:03:53.479 --> 01:04:05.651]  So I think that the reason why there's such a big push for this to happen on the west coast in LA and the east coast in New York City is because once it happens here, they will make sure that they will push it to the center of the country.
[01:04:05.911 --> 01:04:12.155]  You are a very powerful voice against this, and I so appreciate you coming on and speaking your mind, because you said some really powerful stuff here today.
[01:04:12.155 --> 01:04:25.383]  And I hope that our audience supports you by going to GiveSendGo.com slash Rocko's, or go to your Instagram, Rocko's Pastry, or the website Rocko's.nyc, and people can reach out to you there and support you there.
[01:04:25.383 --> 01:04:27.464]  Is there anything else people can do for you?
[01:04:27.464 --> 01:04:32.788]  Because, you know, we need people like you, and so whatever we can do to support you, I'm all in favor of it.
[01:04:32.788 --> 01:04:34.769]  Anything else they can do to support Rocko's?
[01:04:35.269 --> 01:04:38.271]  I just need the audience to know that this is not a fight for me.
[01:04:38.271 --> 01:04:45.755]  I mean, I'm very uncomfortable to even have a GiveZen go or, you know, a Zelle that's up there on Instagram for people to donate to.
[01:04:45.755 --> 01:04:47.997]  They have to understand that I'm not fighting for me.
[01:04:47.997 --> 01:04:48.897]  I'm fighting for them.
[01:04:48.897 --> 01:04:50.058]  I'm fighting for their children.
[01:04:50.058 --> 01:04:51.939]  I'm fighting for the United States of America.
[01:04:53.115 --> 01:04:54.636]  I'm not funded by George Soros.
[01:04:54.636 --> 01:04:56.577]  I'm not funded by the Democratic Party.
[01:04:56.577 --> 01:04:57.758]  I'm funded by you.
[01:04:57.758 --> 01:04:58.919]  We got great products you need.
[01:04:58.919 --> 01:05:08.586]  We got great stuff for your immune system, your body, and just stuff that's essential for general health, like Vitamin Mineral Fusion, all the vitamins, all the minerals, and all the key amino acids for adults, children, old folks.
[01:05:08.586 --> 01:05:11.708]  You can store more of it than pills because it's liquid form and it tastes great.
[01:05:11.708 --> 01:05:13.049]  Ready to ship to you now.
[01:05:13.609 --> 01:05:13.869]  It's just
[01:05:29.995 --> 01:05:34.417]  We got a lot of great other products on the site as well so be sure and check those out today!
[01:06:18.732 --> 01:06:38.408]  Across the world, robots are now patrolling the streets in Tokyo, in New York, in London, and on your screen of your TV viewer in Singapore to make sure that groups of more than five or more do not get together.
[01:06:38.408 --> 01:06:42.852]  It barks orders at you and then takes scans of your face.
[01:06:42.852 --> 01:06:45.514]  The general public wear wristbands to be able to leave their homes.
[01:06:46.644 --> 01:06:48.124]  This is the technocracy.
[01:06:48.124 --> 01:06:50.705]  This is the globalist creating all this fear.
[01:06:50.705 --> 01:06:56.467]  There's all these articles out now saying we must replace humans with robots because humans are dirty.
[01:06:56.467 --> 01:06:59.708]  They don't have restaurants in Austin that robots serve you.
[01:06:59.708 --> 01:07:01.508]  But of course, humans cook the food.
[01:07:01.508 --> 01:07:03.769]  It's all just ridiculous theater.
[01:07:03.769 --> 01:07:08.850]  And coming up at the bottom of the hour, I'm going to get to the globalist master plan and all these new stories admitting
[01:07:09.764 --> 01:07:31.180]  That they're going to use COVID to train you for lockdowns and apps on your phone that the UN runs through a Global Energy Council, Global Carbon Council, Global Food Council, this has all been announced, that will tell you how many calories and credits you get in a global social score.
[01:07:31.180 --> 01:07:34.723]  It is absolutely insane.
[01:07:34.723 --> 01:07:35.644]  That is coming up.
[01:07:35.644 --> 01:07:38.306]  But first, I wanted to hit this.
[01:07:40.109 --> 01:07:45.593]  Jim Acosta has come out many times and said that Trump and his supporters are liars.
[01:07:45.593 --> 01:07:49.776]  That CNN is not an enemy of the American people.
[01:07:49.776 --> 01:07:57.000]  No, they just support the end of the country, they support Antifa, they support lies, they support sending sick people to nursing homes to kill them en masse.
[01:07:57.000 --> 01:07:59.142]  They defended Cuomo doing that.
[01:07:59.142 --> 01:08:09.749]  You know the crimes of CNN run by Ted Turner, the depopulationist, globalist that actually runs this whole thing with the late David Rockefeller's foundation along with Bill Gates.
[01:08:11.528 --> 01:08:15.471]  And so here he is with the Communist News Network.
[01:08:15.471 --> 01:08:17.993]  We have the clip.
[01:08:17.993 --> 01:08:23.417]  Saying, leading figures on the far right have been sounding the alarm on Afghanistan and Iraqis all week.
[01:08:23.417 --> 01:08:24.718]  The refugees are coming.
[01:08:24.718 --> 01:08:26.379]  Refugees are coming, Acosta said.
[01:08:26.379 --> 01:08:28.941]  Yeah, a bunch of them are terrorists.
[01:08:28.941 --> 01:08:32.163]  Over on Fox, human manure spreader Tucker Carlson
[01:08:33.832 --> 01:08:42.177]  Has floated yet another race-baiting conspiracy theory that tens of thousands of Afghan refugees are being sent over to this country in order to change the outcomes of the elections.
[01:08:42.177 --> 01:08:44.359]  Yeah, they're sending them all to battleground states.
[01:08:44.359 --> 01:08:45.640]  Look at the Somalis.
[01:08:45.640 --> 01:08:50.903]  Acosta claimed Trump supporters operated on a combination of theocracy and thugocracy.
[01:08:50.903 --> 01:08:52.304]  That's the Democrats.
[01:08:52.304 --> 01:08:55.346]  Pointing to Texas-based law banning abortion after six weeks of pregnancy.
[01:08:55.968 --> 01:09:02.711]  Some members of the far right in this country have apparently decided they will resort to intimidation and in some cases even violence to get what they want.
[01:09:02.711 --> 01:09:04.732]  No, that's the Democrats burning down cities.
[01:09:04.732 --> 01:09:08.473]  They could sweep into power faster than experts thought possible.
[01:09:08.473 --> 01:09:11.054]  Yeah, over your election fraud.
[01:09:11.054 --> 01:09:14.636]  Sound familiar, sort of like American Taliban, Acosta said.
[01:09:14.636 --> 01:09:17.797]  It's starting to look like a combination of theocracy and thugocracy.
[01:09:17.797 --> 01:09:21.219]  He wanted to say these people are the new Taliban.
[01:09:21.219 --> 01:09:22.919]  No, you guys are funding the Taliban.
[01:09:22.919 --> 01:09:24.240]  You're the ones shipping
[01:09:25.429 --> 01:09:34.036]  You're the ones protecting them and censoring people that criticize Orthodox and radical Islam.
[01:09:34.036 --> 01:09:45.884]  So here's Acosta, here's Michael Moore saying, bring our troops home, he said two weeks ago, because we need them for the January 6th people and the insurrectionists and the terrorists and all the rest of it.
[01:09:45.884 --> 01:09:48.406]  They burned down all these cities, billions of dollars of damage.
[01:09:49.821 --> 01:09:54.826]  Out of a million people at Trump's rally, maybe 600, 700 go in, maybe 50 are violent.
[01:09:54.826 --> 01:09:59.150]  And now we're all bad collectively and need the CIA and the FBI to come after us.
[01:09:59.150 --> 01:10:00.291]  You're like, well, that's just Acosta.
[01:10:00.291 --> 01:10:02.934]  That's just Michael Moore.
[01:10:02.934 --> 01:10:04.255]  No, the official U.S.
[01:10:04.255 --> 01:10:07.078]  government policy since June 7th of 2021 is the main terror threat.
[01:10:10.798 --> 01:10:18.821]  Is the American people, are those that question the elections and those that question future lockdowns that Biden would love to put in but doesn't have the popularity to do.
[01:10:18.821 --> 01:10:23.523]  There it is, the National Strategy for Countering Domestic Terrorism, June 2021.
[01:10:23.523 --> 01:10:34.187]  So, this is their new talking point on every front.
[01:10:34.187 --> 01:10:35.368]  And we have to recognize
[01:10:36.047 --> 01:10:52.853]  That they're the globalists, they're the anti-Americans, they're the outside globalist group, with the UN, with the big corporations, in the Great Reset, in Klaus Schwab's own words, that is, quote, capturing the former democracies of Europe and North America, Australia and Canada.
[01:10:52.853 --> 01:10:56.734]  They say they've captured us, and the corporations now call the shots.
[01:10:56.734 --> 01:10:58.094]  They call for the lockdowns.
[01:10:58.094 --> 01:10:59.915]  They call for the shutdowns.
[01:10:59.915 --> 01:11:03.216]  And they admit it's to collapse small businesses and consolidate control.
[01:11:04.608 --> 01:11:12.432]  So Jim Acosta now says that we are the new Taliban because we're resisting their takeover.
[01:11:12.432 --> 01:11:15.834]  And, you know, maybe in the end they're right because they're an outside globalist force.
[01:11:15.834 --> 01:11:18.535]  At least the Taliban is from their country.
[01:11:18.535 --> 01:11:19.476]  I don't defend the Taliban.
[01:11:19.476 --> 01:11:23.397]  They're the ones working with the Taliban, but facts are facts.
[01:11:23.397 --> 01:11:30.141]  So let's go ahead and go to a, this has got to be like three years old, little promo we did of Mars Attacks.
[01:11:31.201 --> 01:11:39.523]  With Jim Acosta in it, and then of course there's another one with Wolf Blitzer saying we're not the enemy of the American people as well with his talking point.
[01:11:39.523 --> 01:11:42.304]  But yeah, they are the enemies of the American people.
[01:11:42.304 --> 01:11:48.745]  That's why they lied to us with the fake Rolling Stone story that went everywhere that hasn't been retracted by all the other newspapers.
[01:11:48.745 --> 01:11:52.126]  Rachel Maddow, New York Times, London Guardian, still haven't retracted.
[01:11:53.334 --> 01:11:55.575]  Saying, oh, thousands in the hospital.
[01:11:55.575 --> 01:11:56.615]  People are dying.
[01:11:56.615 --> 01:11:58.076]  Gunshot wound.
[01:11:58.076 --> 01:11:59.296]  Pregnant women can't get in.
[01:11:59.296 --> 01:12:00.556]  There's no ambulances.
[01:12:00.556 --> 01:12:02.397]  All of it a lie.
[01:12:02.397 --> 01:12:06.678]  Hospital group came out and said, no one has been here with this poisoning.
[01:12:06.678 --> 01:12:08.099]  They've had nine phone calls.
[01:12:08.099 --> 01:12:09.319]  Nobody's sick.
[01:12:09.319 --> 01:12:11.880]  Asking to see if it was safe for them to take it.
[01:12:11.880 --> 01:12:14.601]  At the whole poison control system in Oklahoma.
[01:12:14.601 --> 01:12:15.201]  All a lie.
[01:12:16.764 --> 01:12:24.409]  Well, I took the Ivermectin paste, I took actually two tub of dewormers in it last night, but one was Ivermectin, on air to show you.
[01:12:24.409 --> 01:12:28.491]  Consult your physician before you do it, but these people are lying to you because they see you as the enemy.
[01:12:28.491 --> 01:12:32.454]  Here's Jim Acosta.
[01:12:32.454 --> 01:12:40.919]  What will we tell the Afghan refugees who just fled those schools for girls back in their home country?
[01:12:40.919 --> 01:12:43.341]  I guess the girls here will have to fill them in.
[01:12:44.913 --> 01:12:56.398]  Unfortunately what we will tell them is that some members of the far right in this country have apparently decided they will resort to intimidation and in some cases even violence to get what they want.
[01:12:56.398 --> 01:13:01.020]  And they could sweep into power faster than the experts thought possible.
[01:13:01.020 --> 01:13:02.860]  Sound familiar?
[01:13:02.860 --> 01:13:06.522]  Sort of like an American Taliban.
[01:13:06.522 --> 01:13:11.484]  It is starting to look like a combination of theocracy and thugocracy.
[01:13:12.893 --> 01:13:25.259]  The leaders of this MAGA ban movement, people like Marjorie, Madison, and Tucker, they're not counting on an intelligence failure or a lack of planning on your part.
[01:13:25.259 --> 01:13:30.982]  They're counting on a lack of courage to stand up for your rights in this country.
[01:13:30.982 --> 01:13:33.043]  Does that ring a bell?
[01:13:33.043 --> 01:13:42.047]  The anti-immigration, anti-democratic, anti-women's rights forces have all sought these kinds of changes for years, even decades, in this country.
[01:13:43.493 --> 01:13:48.077]  Their operation to change America forever is well underway.
[01:13:48.077 --> 01:13:51.460]  It's just changing in a way they don't want you to see.
[01:13:51.460 --> 01:13:53.302]  I'm standing in this briefing room right now.
[01:13:53.302 --> 01:13:55.203]  There is no government official here.
[01:13:55.203 --> 01:13:59.107]  But I'll say that the press is not the enemy of the people.
[01:14:10.532 --> 01:14:14.015]  But I'll say that the press is not the enemy of the people.
[01:14:14.015 --> 01:14:17.158]  The press is not the enemy of the people.
[01:14:17.158 --> 01:14:20.761]  The press is not the enemy of the people.
[01:14:20.761 --> 01:14:22.122]  They came in peace.
[01:14:40.302 --> 01:14:46.184]  Maybe we should go out on Pennsylvania Avenue like these folks who chant CNN sucks and fake news.
[01:14:46.184 --> 01:15:03.691]  Maybe we should go out, all journalists should go out on Pennsylvania Avenue and chant we're not the enemy of the people.
[01:15:03.691 --> 01:15:05.051]  We're not the enemy of the people.
[01:15:05.051 --> 01:15:06.412]  We're not the enemy of the people.
[01:15:06.412 --> 01:15:07.612]  We're not the enemy of the people.
[01:15:12.995 --> 01:15:15.340]  This is CNN.
[01:15:15.340 --> 01:15:16.543]  This is CNN.
[01:15:18.696 --> 01:15:19.777]  So, there you go.
[01:15:19.777 --> 01:15:30.121]  Meanwhile, the satanic temple that has millions of members, they brag, of Democrats, attacks Texas abortion law, saying it is our sacrament to abort babies and kill them in a satanic ritual.
[01:15:30.121 --> 01:15:34.202]  Which they're serious about, and I told you they do, at the abortion clinics.
[01:15:34.202 --> 01:15:34.623]  I've told you.
[01:15:34.623 --> 01:15:35.243]  It's come out in the news.
[01:15:35.243 --> 01:15:38.844]  They've arrested them, what, in like Missouri and Texas.
[01:15:38.844 --> 01:15:40.725]  Not this particular group, but others.
[01:15:40.725 --> 01:15:44.487]  A lot of these satanists actually have sex with the dead babies, or while they're still alive.
[01:15:44.487 --> 01:15:45.927]  That's part of their sacrament.
[01:15:45.927 --> 01:15:46.467]  Told you that.
[01:15:46.467 --> 01:15:47.088]  Now it's in the news.
[01:15:47.088 --> 01:15:47.508]  We'll be right back.
[01:15:50.968 --> 01:15:57.332]  What if you could cut your heating bills this winter with your existing wood-burning fireplace and not spend thousands doing it?
[01:15:57.332 --> 01:16:00.294]  You can with Great Wall of Fire Fireplace Grates.
[01:16:00.294 --> 01:16:08.859]  Our U.S.-patented, made-in-America Wall of Fire Grates increase fireplace efficiency, eliminate fireplace smoke problems, and come with a 30-day money-back guarantee.
[01:16:08.859 --> 01:16:12.461]  See our grates in action and get free shipping from walloffire.com or call 800-274-7364.
[01:16:12.461 --> 01:16:14.182]  Fireplace heat without fireplace smoke.
[01:16:14.182 --> 01:16:14.483]  walloffire.com
[01:16:24.208 --> 01:16:30.531]  Have you ever thought about turning your Glock, XD Family, or 1911 handgun into a semi-automatic carbine?
[01:16:30.531 --> 01:16:32.692]  It only takes about 30 seconds.
[01:16:32.692 --> 01:16:40.857]  The MAC Tech Carbine Upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[01:16:40.857 --> 01:16:43.598]  It's the world's most versatile pistol accessory.
[01:16:43.598 --> 01:16:45.579]  Build your custom upper today.
[01:16:45.579 --> 01:16:48.001]  Simply go to handgunconversion.com.
[01:16:48.001 --> 01:16:49.602]  That's handgunconversion.com.
[01:16:53.453 --> 01:16:55.534]  Your voice counts.
[01:16:55.534 --> 01:17:00.556]  When you share information, be it over the internet or in person, it changes the world.
[01:17:00.556 --> 01:17:03.137]  The globalists know their agenda is unpopular.
[01:17:03.137 --> 01:17:04.638]  They know you're angry.
[01:17:04.638 --> 01:17:10.001]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[01:17:10.001 --> 01:17:19.205]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows, the special reports,
[01:17:19.445 --> 01:17:20.726]  And share them with everyone you know.
[01:17:20.726 --> 01:17:25.068]  Take action now by texting the word NEWS to 833-470-0438.
[01:17:25.068 --> 01:17:26.749]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[01:17:26.749 --> 01:17:29.671]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[01:17:29.671 --> 01:17:32.132]  Take action now, create the chain reaction, and tell others to share those texts.
[01:17:32.132 --> 01:17:32.793]  Get news alerts at 833-470-0438.
[01:17:53.323 --> 01:17:56.185]  This headline is not a joke.
[01:17:56.185 --> 01:18:00.348]  This is America in September of 2020.
[01:18:00.348 --> 01:18:01.709]  T.C.
[01:18:01.709 --> 01:18:08.654]  Court sends man to jail for watching conspiracy theory videos online.
[01:18:08.654 --> 01:18:13.277]  Yes, it says the police did a spot check for quote compliance
[01:18:14.185 --> 01:18:25.630]  ...at his home and found him in his garage watching Rumble social media site, which they say is a conspiracy site.
[01:18:25.630 --> 01:18:31.072]  Also, he admitted to watching Mike Lindell's three-day cyber symposium.
[01:18:31.072 --> 01:18:33.353]  Yes, it was part of the conditions of his bail.
[01:18:33.353 --> 01:18:37.815]  The judge said he could not look at any videos questioning the election.
[01:18:38.886 --> 01:18:40.107]  No joke.
[01:18:40.107 --> 01:18:46.091]  And so they sent the Stasi to his house and caught him doing it, so now he's going into solitary confinement.
[01:18:46.091 --> 01:18:47.592]  Communism has come to America.
[01:18:47.592 --> 01:18:48.713]  The Republic has fallen.
[01:18:51.244 --> 01:18:56.109]  I've been fighting as hard as I can for almost 28 years against the globalists.
[01:18:56.109 --> 01:18:58.150]  I wanted to stop their agenda.
[01:18:58.150 --> 01:19:03.636]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[01:19:03.636 --> 01:19:04.757]  But we failed.
[01:19:04.757 --> 01:19:06.398]  Yes, a lot of people are awake.
[01:19:06.398 --> 01:19:08.260]  Yes, we're not getting caught flat-footed.
[01:19:08.260 --> 01:19:13.264]  But they are going ahead with their full operational deindustrialization Great Reset.
[01:19:14.265 --> 01:19:23.153]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[01:19:23.153 --> 01:19:28.677]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[01:19:28.677 --> 01:19:31.239]  And one of the number one things to do is high-quality, affordable food.
[01:19:31.239 --> 01:19:35.983]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[01:19:35.983 --> 01:19:41.148]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[01:19:41.528 --> 01:19:46.390]  Lock your orders in before food prices go up and before there are long lines in wait.
[01:19:46.390 --> 01:19:48.731]  Because believe me, serious times are coming.
[01:19:48.731 --> 01:19:53.713]  Get ready at infowarestore.com.
[01:19:53.713 --> 01:19:56.354]  You're listening to the Alex Jones Show.
[01:20:12.742 --> 01:20:15.384]  Waging war on corruption.
[01:20:15.384 --> 01:20:35.379]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:20:35.379 --> 01:20:38.902]  We are back live in Defiance of Tyranny.
[01:20:38.902 --> 01:20:39.302]  Welcome
[01:20:40.151 --> 01:20:44.875]  I have a very special guest, medical doctor, academic, in the studio.
[01:20:44.875 --> 01:20:50.600]  Next hour, into the fourth hour, I'm hosting today, because it's a holiday and a lot of folks are taking off.
[01:20:50.600 --> 01:20:58.726]  The great Gerald Celente, a well-deserved not hosting the fourth hour on Monday today, in the War Room, coming up 3 p.m.
[01:20:58.726 --> 01:20:59.827]  Central with Owen Schroer.
[01:20:59.827 --> 01:21:01.989]  I, of course, am your host, Alex Jones.
[01:21:01.989 --> 01:21:06.152]  So, here it is.
[01:21:06.152 --> 01:21:08.314]  Daily Mail.
[01:21:08.314 --> 01:21:09.035]  Times of Israel.
[01:21:10.396 --> 01:21:15.840]  Israel planning to administer fourth COVID vaccine, which could be adjusted to fight new variants.
[01:21:15.840 --> 01:21:16.881]  Oh, a new shot!
[01:21:16.881 --> 01:21:20.863]  And of course, the booster, they always said a year and a half ago, you would have to take.
[01:21:20.863 --> 01:21:25.507]  Then they said in their academic papers, it'll be 10 shots a year just for the cold virus.
[01:21:25.507 --> 01:21:27.268]  And you're going to take two pills a day.
[01:21:27.268 --> 01:21:29.930]  Pfizer has now announced.
[01:21:29.930 --> 01:21:32.632]  And government apps will watch you and make sure you do it.
[01:21:32.632 --> 01:21:37.175]  Boy, couldn't come up with a more dystopic movie or film than that.
[01:21:37.175 --> 01:21:38.015]  Or book, could you?
[01:21:38.015 --> 01:21:38.776]  But it's the real world.
[01:21:39.392 --> 01:21:41.313]  Truth is worse than fiction.
[01:21:41.313 --> 01:21:43.374]  Truth is scarier than fiction.
[01:21:43.374 --> 01:21:51.880]  And we now have Trudeau in Canada, we now have the Democrats here in the U.S., in New York, and in California, and it's all coming here, wherever you're at.
[01:21:51.880 --> 01:22:07.209]  They're all announcing the vaccine passport, which again is the COVID control system, the medical ID for the carbon trading system, in the Journal of Nature, Klaus Schwab,
[01:22:08.539 --> 01:22:13.423]  Trudeau last week, they all announced it, and I'm going to say this again.
[01:22:13.423 --> 01:22:16.146]  Do I need to go protest at Senator Rand Paul's office?
[01:22:16.146 --> 01:22:18.087]  Do I need to go protest at Josh Hawley's office?
[01:22:18.087 --> 01:22:20.810]  Do I need to go protest at Ted Cruz's office?
[01:22:20.810 --> 01:22:27.135]  Not that they're bad men, but we know Pelosi was here in Austin promoting the Great Reset and Build Back Better.
[01:22:27.135 --> 01:22:31.419]  She used both those terms and said shut down all their business.
[01:22:31.419 --> 01:22:36.063]  She was in Austin, didn't tell anybody she was coming, but she was here and had a press conference, what was it, Thursday.
[01:22:38.069 --> 01:22:40.850]  Wearing her stupid mask.
[01:22:40.850 --> 01:22:43.611]  So, she's out pushing their agenda.
[01:22:43.611 --> 01:22:49.754]  I mean, they've announced a UN World Carbon Tax Agenda, saying that COVID was just the beginning.
[01:22:50.743 --> 01:22:54.328]  In the words of Klaus Schwab, it's just the cut, the groove now.
[01:22:54.328 --> 01:23:05.283]  Now we add the carbon, we add the app for your carbon calorie, where you then get permission to leave home, we have captured your governments, you own nothing, you have nothing.
[01:23:05.283 --> 01:23:08.187]  I mean, these are, folks, those are real quotes.
[01:23:09.116 --> 01:23:09.976]  You own nothing.
[01:23:09.976 --> 01:23:10.697]  You have nothing.
[01:23:10.697 --> 01:23:13.838]  You live in a 250 square foot apartment.
[01:23:13.838 --> 01:23:16.459]  Every 10 apartments share one bathroom.
[01:23:16.459 --> 01:23:18.659]  You are in communal areas.
[01:23:18.659 --> 01:23:19.440]  You own nothing.
[01:23:19.440 --> 01:23:20.240]  You have nothing.
[01:23:20.240 --> 01:23:21.840]  You eat bugs.
[01:23:21.840 --> 01:23:24.121]  You drink swamp water and sewage water.
[01:23:24.121 --> 01:23:28.563]  I mean, these are real quotes.
[01:23:28.563 --> 01:23:29.783]  Oh, do not look at the sun.
[01:23:29.783 --> 01:23:30.743]  Do not go to the sunset.
[01:23:30.743 --> 01:23:32.064]  Do not talk to your neighbors.
[01:23:32.064 --> 01:23:33.024]  Oh, sorry, get used to it.
[01:23:33.024 --> 01:23:34.305]  There'll be lots of shots.
[01:23:34.305 --> 01:23:35.665]  You'll have no freedom unless you take them.
[01:23:35.665 --> 01:23:37.806]  I mean, these are freaking hostage takers!
[01:23:38.507 --> 01:23:46.893]  Trying to get us to go into mass psychosis, mass Stockholm Syndrome, and have psychotic breaks, because we can't handle the stress, and just accept it!
[01:23:46.893 --> 01:23:51.236]  And then say those of us that don't take all the shots, we're the reason the people that took the shots are sick!
[01:23:51.236 --> 01:24:01.224]  Even though, with the antibody dependency enhancement, that the scientists warned this would cause!
[01:24:03.776 --> 01:24:05.637]  Unbelievable!
[01:24:05.637 --> 01:24:08.359]  The people perish for lack of knowledge.
[01:24:08.359 --> 01:24:13.382]  So here's a few of these clips, and the end one is new.
[01:24:13.382 --> 01:24:19.106]  It's the premier, New South Wales premier, most populous area of Australia.
[01:24:21.249 --> 01:24:27.671]  Says, when the state opens up, only the vaccinated will be allowed to interact with each other.
[01:24:27.671 --> 01:24:30.071]  The police will beat everyone else.
[01:24:30.071 --> 01:24:31.871]  Run them over with cars, with horses.
[01:24:31.871 --> 01:24:34.212]  I mean, this ain't North Korea, baby!
[01:24:34.212 --> 01:24:35.512]  Here it is.
[01:24:35.512 --> 01:24:40.673]  And I had a whole bunch of people down the Ryback Beach last night who thought the best thing to do is to go and watch the sunset.
[01:24:40.673 --> 01:24:42.814]  I'm sure it was a beautiful sunset.
[01:24:42.814 --> 01:24:46.975]  But that's not in the spirit or in the letter of these rules.
[01:24:48.866 --> 01:24:55.850]  On double vaccination, but we're now watching countries like Israel see their cases surge despite high vaccination rates.
[01:24:55.850 --> 01:25:04.294]  How important are boosters to maintaining this no lockdown plan and how soon will we need to get them so that we can maintain these freedoms we've been promised?
[01:25:05.111 --> 01:25:11.215]  We need to get used to being vaccinated with COVID vaccines for the future.
[01:25:11.215 --> 01:25:16.899]  I can't see that COVID is not going to be with us forever.
[01:25:16.899 --> 01:25:21.902]  Maybe in the future we can have even better vaccines and coverage across the world to achieve that.
[01:25:21.902 --> 01:25:31.228]  I mean as a public health doctor we always want to have diseases go get totally eliminated but that's not on the horizon in the near future.
[01:25:31.228 --> 01:25:34.550]  So booster doses, repeat doses will be part of it.
[01:25:35.030 --> 01:25:40.072]  You know, there'll be different advice about different schedules, which doses you get.
[01:25:40.072 --> 01:25:45.754]  But at the moment, our priority has to be getting first and second doses into people.
[01:25:45.754 --> 01:25:50.075]  And there will be recommendations about booster doses in the future.
[01:25:50.075 --> 01:25:58.378]  And I can assure you that the Commonwealth Government has purchased large quantities of vaccine into 2022.
[01:25:58.378 --> 01:26:00.659]  And this will be a regular cycle.
[01:26:03.540 --> 01:26:17.784]  Whilst it is in human nature to engage in conversation with others, to be friendly, unfortunately this is not the time to do that.
[01:26:17.784 --> 01:26:29.888]  So even if you run into your next door neighbour in the shopping centre, in the Coles, whilst you're at Coles & Wooers or Aldi or any other grocery shop, don't start up a conversation.
[01:26:30.752 --> 01:26:34.794]  Now is the time for minimising your interactions with others.
[01:26:34.794 --> 01:26:39.436]  Even if you've got a mask, do not think that affords total protection.
