[00:00:00.000 --> 00:00:13.220]   *fart* *outro*
[00:42:10.172 --> 00:42:13.454]  Obviously, you know this, but it's now breaking and confirmed.
[00:42:13.494 --> 00:42:15.576]  You were saying this 20 plus months ago when this all began.
[00:42:16.076 --> 00:42:23.241]  I have the German numbers from the government, the UK numbers, the Australian numbers, the US numbers, the Canadian and others.
[00:42:23.261 --> 00:42:24.562]  I've got a whole bunch of numbers right here.
[00:42:25.482 --> 00:42:26.503]  It's the same number everywhere.
[00:42:26.643 --> 00:42:32.527]  If you take the COVID shots, Moderna or Pfizer or J&J or AstraZeneca, it's all the same numbers.
[00:42:33.007 --> 00:42:35.069]  You're double your chances of dying.
[00:42:36.274 --> 00:42:38.676]  People that take it are doubly likely to just suddenly die.
[00:42:38.736 --> 00:42:39.236]  Sudden death.
[00:42:39.557 --> 00:42:46.782]  So now what we anecdotally see everywhere with famous people and sports folks is documented, and they're just moving forward with it.
[00:42:46.842 --> 00:42:49.344]  So what is that about straight ahead?
[00:42:49.364 --> 00:42:50.886]  It's just they're not even trying to hide it now.
[00:42:51.206 --> 00:42:55.229]  They're just putting the fine print there that, by the way, this is going to kill you, but you've got to do it.
[00:42:55.810 --> 00:42:56.630]  David Ikes, our guest.
[00:42:56.650 --> 00:42:57.271]  Please stay with us.
[00:43:02.228 --> 00:43:03.949]  The divine is waiting for you.
[00:43:04.149 --> 00:43:05.270]  God is waiting for you.
[00:43:05.450 --> 00:43:07.051]  Transcendence is waiting for you.
[00:43:07.151 --> 00:43:08.912]  But God is a free-will God.
[00:43:09.012 --> 00:43:15.075]  You've got to reach out with your hands, like a child of their father or mother, and say, save me, help me.
[00:43:15.515 --> 00:43:16.336]  I choose good.
[00:43:16.556 --> 00:43:19.818]  I choose to be part of eternity and completion.
[00:43:21.158 --> 00:43:23.180]  And God will reach down to you.
[00:43:23.200 --> 00:43:24.200]  It isn't about things.
[00:43:24.220 --> 00:43:25.201]  It isn't about these bodies.
[00:43:25.821 --> 00:43:27.302]  It's about the choice we make.
[00:43:28.561 --> 00:43:33.524]  And it's about understanding how the evil one confuses and manipulates us so that we never discover this truth.
[00:43:34.385 --> 00:43:39.708]  But we have discovered this truth, and we have brought it to another level of understanding.
[00:43:40.388 --> 00:43:43.350]  The fight against this tyranny starts at ResetWars.com.
[00:43:43.410 --> 00:43:46.732]  The victory against this evil begins at ResetWars.com.
[00:43:46.752 --> 00:43:47.813]  The rest is up to you.
[00:43:47.853 --> 00:43:49.093]  You've got to choose to take action.
[00:43:49.133 --> 00:43:49.794]  ResetWars.com.
[00:43:52.155 --> 00:43:54.497]  I don't worship nature like the animus or the wiccans.
[00:43:55.549 --> 00:43:56.249]  Or all the leftists.
[00:43:56.389 --> 00:44:00.850]  But I understand that it is a conduit and a connection to God, and that we resonate with it.
[00:44:01.911 --> 00:44:06.112]  But if you look at the left, they're all embracing the Pfizer shots, the Moderna shots.
[00:44:06.952 --> 00:44:15.534]  They're all embracing transhumanism, while at the same time claiming that they're so in line with the Earth, and so in line with creation.
[00:44:16.584 --> 00:44:28.047]  But they worship the creation and thus worship themselves instead of understanding there's the divine transcendence of reaching out into God's wider plan and either getting with that natural program or rebelling against it, which is sin.
[00:44:28.067 --> 00:44:33.508]  I don't say that from some pharisaical, hypocritical, high-on-the-mountain statement.
[00:44:33.528 --> 00:44:36.809]  I mean, I say that from deep research and understanding of how this really works.
[00:44:37.569 --> 00:44:38.810]  There's really only two ways to go.
[00:44:38.850 --> 00:44:43.391]  Choose God, God's plan, or choose those that are working against the plan's operation.
[00:44:44.111 --> 00:44:47.172]  They've got a lot of excuses and a lot of reasons that you ought to join them.
[00:44:47.192 --> 00:44:49.173]  At the end of the day, it's about enslavement.
[00:44:49.613 --> 00:44:50.934]  It's about turning over your will to them.
[00:44:50.954 --> 00:44:52.394]  And you will be betrayed.
[00:44:52.414 --> 00:44:53.174]  You will be destroyed.
[00:44:53.495 --> 00:44:54.515]  You look at the servants of evil.
[00:44:54.555 --> 00:44:56.756]  They are really a pathetic, hateful lot.
[00:44:56.876 --> 00:44:58.216]  So angry they chose wrong.
[00:44:58.496 --> 00:45:01.517]  They're trying to claw as many good souls with them as they can.
[00:45:01.557 --> 00:45:02.398]  That's really what this is.
[00:45:04.879 --> 00:45:07.580]  Any species of crab I've ever caught, you put them in a bucket.
[00:45:08.060 --> 00:45:09.140]  They can work together to get out.
[00:45:09.180 --> 00:45:14.335]   But instead, any crab that tries to get out, They didn't go over and grab him and attack him and start killing him.
[00:45:14.355 --> 00:45:16.256]  As long as he just sits there and dies, they're all happy.
[00:45:17.177 --> 00:45:19.538]  But if that one crab tries to get out, they're not about to let that happen.
[00:45:20.819 --> 00:45:22.900]  Hence the intergalactic crab bucket system.
[00:45:23.660 --> 00:45:25.561]  Or the chicken shit dimension.
[00:45:27.122 --> 00:45:29.043]  You really want to talk about what Zuckerberg and all of them are building.
[00:45:29.803 --> 00:45:31.044]  It's the chicken shit dimension.
[00:45:32.785 --> 00:45:38.835]   Where you go in there believing you're going to find Enlightenment, and all you do is find depression and enslavement.
[00:45:39.135 --> 00:45:44.260]  Because once they get you in their system, just like the general internet was, they're going to clamp down on it and take all the basic freedoms away.
[00:45:44.300 --> 00:45:44.721]  That's the plan.
[00:45:44.741 --> 00:45:53.910]  They're going to allow the Wild Wild West of VR, and they're going to have all the prizes and celebrity worship for people that are involved in there.
[00:45:54.610 --> 00:46:00.927]   And then as soon as everybody basically is addicted to it and needs it to have their job or work or live, They're going to drop the boom on people.
[00:46:01.127 --> 00:46:03.330]  And that's already happened with the whole lockdowns.
[00:46:03.370 --> 00:46:07.174]  That's a forced system to jump us off the tracks we were on, onto the metaverse system.
[00:46:07.194 --> 00:46:08.516]  And that's their play.
[00:46:09.357 --> 00:46:11.720]  Total false reality, total false reality immersion.
[00:46:12.606 --> 00:46:14.427]  A true matrix system being built.
[00:46:14.907 --> 00:46:16.267]  We're now being asserted into the matrix.
[00:46:16.287 --> 00:46:17.068]  Starts with radio.
[00:46:17.588 --> 00:46:19.348]  Then TV becomes the center of the household.
[00:46:19.789 --> 00:46:20.869]  People have dinner around it now.
[00:46:20.889 --> 00:46:24.590]  Instead of talking to grandma and grandpa and your neighbors and reading books, you now watch the TV.
[00:46:24.630 --> 00:46:26.431]  Then it's desktop computers.
[00:46:26.471 --> 00:46:27.451]  Then it's handheld computers.
[00:46:27.852 --> 00:46:29.612]  Then it's VR goggles and Google glasses.
[00:46:30.112 --> 00:46:36.795]  And then it's them forcing you into that system to use it to work or be able to even do basic business because that's what all the major companies are going to demand.
[00:46:37.672 --> 00:46:43.096]  And then if you don't behave and operate the way they want, you're basically even blocked out of that system and starved to death.
[00:46:43.116 --> 00:46:46.559]  It's just like if you don't take the poison shots, you're blocked out of the system.
[00:46:47.680 --> 00:46:48.761]  It's the same thing over and over again.
[00:46:48.921 --> 00:46:51.203]  All of it is used to control you, not to empower you.
[00:46:51.603 --> 00:46:52.644]  It's evil from the beginning.
[00:46:52.504 --> 00:46:54.504]  It's a snare.
[00:46:54.504 --> 00:47:02.504]  [Music]
[00:47:02.504 --> 00:47:09.504]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:09.504 --> 00:47:21.504]  [Music]
[00:47:21.364 --> 00:47:24.146]  Well, I won't back down.
[00:47:25.550 --> 00:47:28.371]  No, I won't back down.
[00:47:28.831 --> 00:47:29.732]  You can back down.
[00:47:29.792 --> 00:47:37.895]  You can stand me up at the gates of hell, but I won't back down.
[00:47:38.335 --> 00:47:41.276]  Gonna stand my ground.
[00:47:42.557 --> 00:47:45.440]  Won't be turned around.
[00:47:46.701 --> 00:47:50.666]  And I'll keep this world from dragging me down.
[00:47:51.087 --> 00:47:53.950]  Gonna stand my ground.
[00:47:55.472 --> 00:47:58.095]  And I won't back down.
[00:48:02.422 --> 00:48:07.864]  Coming up next hour, we'll play some of David's recent powerful speech in London to a huge crowd.
[00:48:08.564 --> 00:48:10.145]  We'll talk about the global resistance.
[00:48:10.805 --> 00:48:16.887]  I originally have been wanting him on for a few weeks because he's really been knocking it out of the park on the metaverse and what Zuckerberg's announced.
[00:48:16.927 --> 00:48:21.728]  We'll do that at the bottom of the next hour with David Icke because I've got a list of questions here.
[00:48:21.748 --> 00:48:22.409]  He even wrote them.
[00:48:22.449 --> 00:48:23.049]  I rarely do that.
[00:48:23.729 --> 00:48:28.451]  So that's coming up in a little more than 45 minutes from now.
[00:48:30.160 --> 00:48:36.603]  So, David, I want you to continue getting into their larger operation, what they're doing, how it's unfolding.
[00:48:36.643 --> 00:48:38.763]  I mean, we predicted it all because we know their battle plan.
[00:48:38.783 --> 00:48:40.444]  It's an operation lockstep.
[00:48:40.944 --> 00:48:44.986]  But I wanted to first go over some of these new developments here and just get your take on those.
[00:48:45.286 --> 00:48:45.886]  Here's Reuters.
[00:48:47.627 --> 00:48:48.887]  Even Reuters says, wait, what?
[00:48:49.108 --> 00:48:54.850]  FDA wants 55 years to process Freedom of Information Act requests over vaccine data.
[00:48:56.732 --> 00:48:57.753]  Well, we know why they're doing it.
[00:48:58.193 --> 00:49:00.615]  This is the numbers out of the UK from the UK government.
[00:49:01.015 --> 00:49:04.717]  You have right at a doubling chance to just suddenly die.
[00:49:04.737 --> 00:49:06.859]  And that's just early numbers.
[00:49:06.939 --> 00:49:12.522]  It's going to get worse, obviously, if you've taken the so-called COVID vaccines.
[00:49:13.003 --> 00:49:14.164]  This is in mainline news.
[00:49:15.024 --> 00:49:16.125]  Unbelievable information.
[00:49:16.545 --> 00:49:21.648]  Vaccinated English adults under 60 are dying at twice the rate of unvaccinated people the same age.
[00:49:22.591 --> 00:49:27.014]  Here's Dr. Malone, the inventor of mRNA technology, saying the same numbers out of Germany.
[00:49:27.354 --> 00:49:29.696]  Twice as likely to die if you've had the shot.
[00:49:31.397 --> 00:49:35.459]  And there's even TV programs, and here's the German report right here.
[00:49:35.499 --> 00:49:39.342]  The higher the vaccination rate, the higher the excess mortality.
[00:49:40.743 --> 00:49:44.685]  So now you know why they want to block it for 55 years.
[00:49:45.065 --> 00:49:48.868]  Then a whole list of countries are, quote, making it compulsory even for newborns.
[00:49:49.708 --> 00:49:51.670]  Fauci says babies are next in two months.
[00:49:52.904 --> 00:49:53.825]  So there we are.
[00:49:53.885 --> 00:49:55.005]  Then we have this break.
[00:49:55.065 --> 00:50:01.069]  And by the way, I really admire Glenn Beck now because he used to really think I was crazy like Tucker Carlson did.
[00:50:02.170 --> 00:50:08.494]  And then as things unfolded and I was proven right, Tucker Carlson said, OK, Alex is basically a trailblazer and apologized.
[00:50:09.074 --> 00:50:10.155]  And it's now woken up.
[00:50:10.255 --> 00:50:14.838]  And even that's happening with Beck now.
[00:50:14.978 --> 00:50:16.379]  Hell, I was up at his place a month ago.
[00:50:17.489 --> 00:50:18.410]  Give me one of his paintings.
[00:50:19.190 --> 00:50:21.512]  And now he put out a video that will air next hour.
[00:50:21.532 --> 00:50:29.719]  It's only a few minutes long, where he connects the dots to Moderna, creating the virus, having it shipped to the Wuhan lab with Fauci.
[00:50:30.680 --> 00:50:36.004]  And the point is, that's in the documents, but there's Beck doing it with his $200 million platform behind it.
[00:50:36.505 --> 00:50:38.586]  So he's got a lot of courage, and we've got to recognize that.
[00:50:38.646 --> 00:50:39.987]  So, here's the latest article.
[00:50:40.027 --> 00:50:41.609]  It's on InfoWars.com from Sputnik.
[00:50:42.870 --> 00:50:44.851]  New unsealed docs show U.S.
[00:50:44.911 --> 00:50:48.192]  firm sent virus similar to COVID-19 to Wuhan lab.
[00:50:48.552 --> 00:51:03.316]  Now, whatever you really think about all this or what's going on with it, this is the pretext for the shot they're now giving us that does give you, according to medical doctors I've had on and top scientists, tenfold worse effect than the actual virus.
[00:51:04.056 --> 00:51:07.318]  As David Icke predicted, it's going to be the shot that gets you and they're doing it.
[00:51:07.978 --> 00:51:09.939]  So there's some of the background on that.
[00:51:10.040 --> 00:51:12.841]  Another country has joined a list of more than 20 now.
[00:51:13.301 --> 00:51:17.464]  Greenland bans unvaccinated from public places after first COVID death.
[00:51:17.864 --> 00:51:19.685]  Oh my gosh, they're going to keep you safe.
[00:51:19.745 --> 00:51:25.488]  So David Icke, please continue where we left off and in light of this new information, give us your take on it.
[00:51:27.510 --> 00:51:31.032]  Well, why are they targeting the non-fake vaccinated?
[00:51:32.330 --> 00:51:34.070]  Well, for a number of reasons.
[00:51:34.471 --> 00:51:43.753]  One of them, of course, is they want to intimidate and pressure them to have the fake vaccine, so they take the same consequences as everyone else.
[00:51:44.433 --> 00:51:57.676]  But there's something else, you know, this decision to have the jab or not to have the jab is massively symbolic, beyond symbolic, of where you are perceptually.
[00:51:58.396 --> 00:52:12.071]   See, the difference between Those that just do what they're told without thinking, and those who are awakening, is the point where the conclusion is made.
[00:52:13.533 --> 00:52:21.441]  If you follow this through, the asleep make their conclusion at the start of the process.
[00:52:22.228 --> 00:52:34.596]  So Fauci says something, or some other moron says something, some other psychopath who's in officialdom, and they tell him this and they tell him that, ooh, get your booster and all this stuff.
[00:52:35.116 --> 00:52:36.257]  And they just do it.
[00:52:36.317 --> 00:52:37.257]  They just follow.
[00:52:37.777 --> 00:52:49.143]   Their conclusion does not come As a result of a series of thought processes, it comes as a package delivered to them.
[00:52:49.264 --> 00:52:52.986]  They are given the conclusion, the start of the process.
[00:52:53.547 --> 00:53:03.975]  The awakening, they look at different sources of information, they look at what the authorities say, and then they look into whether it stands up or not.
[00:53:04.095 --> 00:53:12.325]   And on the basis of that process, They will then, at the end of it, conclude what they think is going on.
[00:53:12.725 --> 00:53:17.589]  So you've got these two groups of people, very massively different now.
[00:53:17.669 --> 00:53:28.417]  I mean, it's almost like a different race, where they just, on one side, take whatever they're told without question, like a nodding dog that we used to have in the back of cars at one time.
[00:53:29.718 --> 00:53:33.881]  And the others are questioning everything and coming to their own conclusions.
[00:53:34.641 --> 00:53:42.506]   And the symbol that tells you which is which is massively whether they've had the fake jabber.
[00:53:43.487 --> 00:53:56.474]  Because the non-fake jabbers are those that A, are doing their own thinking, and B, when they see what's going on, they stand against what they see.
[00:53:57.355 --> 00:54:03.859]  And so you have this situation now, which appears to be like crazy on the face of it.
[00:54:04.508 --> 00:54:14.536]  Where you're saying, if you're in the American military, then you, you're out, no matter what your service record, no matter what, you're out if you don't get jabbed.
[00:54:14.997 --> 00:54:27.567]  If you're in the medical profession, if you're in the care profession, if you're in any profession, eventually, who's not been fake jabbed, and refuses to have it, then you're out.
[00:54:28.388 --> 00:54:37.314]  And what they're doing, because they don't bloody care about the impact on the health care service of getting rid of all these nurses and medical professionals.
[00:54:37.574 --> 00:54:44.479]  They don't care about the effect on the military of getting rid of all these troops that won't have the fake jab.
[00:54:44.499 --> 00:54:45.480]  They couldn't care less.
[00:54:46.881 --> 00:54:47.781]  Well, it will be chaos.
[00:54:47.901 --> 00:54:49.202]  Well, they want chaos.
[00:54:49.883 --> 00:54:53.245]  It will be, you know, catastrophe for so many people.
[00:54:53.305 --> 00:54:54.566]  It will kill loads of people.
[00:54:54.586 --> 00:54:55.066]  They want that.
[00:54:56.707 --> 00:55:00.709]  What they're doing is purging society.
[00:55:00.990 --> 00:55:10.995]  Every institution, like where they go for the federal employees, every institution is being purged of the non-vaxxed.
[00:55:11.456 --> 00:55:22.505]   But It's not really that, so much as the those who think for themselves and stand up against what they can see is tyranny.
[00:55:22.785 --> 00:55:24.566]  That's what that's why it's going on.
[00:55:24.826 --> 00:55:26.027]  And that's what they're purging.
[00:55:26.367 --> 00:55:33.892]  And, you know, we have to realize, I mean, there was a song you played there, Alex, talking about the gates of hell.
[00:55:34.393 --> 00:55:36.614]  We are standing at the gates of hell.
[00:55:37.275 --> 00:55:37.795]  We are.
[00:55:38.827 --> 00:55:47.155]  We are looking at a situation where a cabal is seeking to mass murder billions of people.
[00:55:47.215 --> 00:55:48.796]  No, that's not an exaggeration.
[00:55:48.877 --> 00:55:55.723]  To mass murder billions of people of all ages, right down to the babies, because that's where they're going.
[00:55:55.743 --> 00:55:56.864]  Of course they're going there.
[00:55:57.605 --> 00:55:58.986]  That's been the plan all along.
[00:56:00.008 --> 00:56:10.530]  And what you're looking at is the end of humanity as we know it, unless we refuse to walk through those gates of hell.
[00:56:11.290 --> 00:56:22.712]  Because these kids and young people now, if indeed they make it there, they get to child-producing age, they're going to find they can't.
[00:56:23.752 --> 00:56:41.615]   What we're seeing is the deletion Of the human race as we know it, and those that survive being deleted not by being directly killed, but by their genetics being transformed into a synthetic state that's not human anymore.
[00:56:42.116 --> 00:56:43.697]  So this is what we're looking at.
[00:56:44.097 --> 00:57:00.219]   And you know, as I said in that speech, it was in Birmingham on Saturday, there is nothing, nothing in the world, nothing in your life, That is more important than ceasing to cooperate with this.
[00:57:00.859 --> 00:57:06.304]  Because if we just go on saying, oh, well, I'll just see what happens tomorrow.
[00:57:06.804 --> 00:57:09.587]  Well, tomorrow will come and it will be further along the road.
[00:57:10.127 --> 00:57:21.496]  We as a human race, those who can see, the only people that are going to make a difference here, we need to start now putting this as an absolute priority in our lives.
[00:57:21.516 --> 00:57:22.717]  Because everything comes from it.
[00:57:23.238 --> 00:57:24.459]  Whether we eat comes from it.
[00:57:25.023 --> 00:57:28.145]  Whether our kids survive, come from it.
[00:57:28.326 --> 00:57:29.306]  Everything comes from it.
[00:57:29.847 --> 00:57:34.010]  And so this has to be at the forefront of our lives, above everything else.
[00:57:34.310 --> 00:57:36.411]  David, you're totally right.
[00:57:36.652 --> 00:57:37.652]  This is the big move.
[00:57:38.153 --> 00:57:39.674]  This is the enemy's operation.
[00:57:39.794 --> 00:57:41.275]  And I think you're going to agree with me when we come back.
[00:57:41.775 --> 00:57:43.537]  They've launched it, but it's not going well for them.
[00:57:43.577 --> 00:57:44.978]  But it's still going to be very, very rough.
[00:57:45.418 --> 00:57:47.179]  And those of us at the tip of the spear are going to be targeted.
[00:57:47.219 --> 00:57:50.462]  But that's OK, because we're fighting for all the marbles here.
[00:57:53.079 --> 00:58:07.744]  We've got the big Black Friday sale is finally here and score wide free shipping double patreon points until the end of the month.
[00:58:08.805 --> 00:58:11.085]  And two of our best-selling products are back in stock.
[00:58:11.205 --> 00:58:12.606]  Vitamin Mineral Fusion.
[00:58:13.570 --> 00:58:20.373]  It has all the vitamins, all the minerals, a bunch of key cofactors and amino acids for your immunity, for your entire body, for everything.
[00:58:20.513 --> 00:58:22.834]  It is a liquid multivitamin mineral and people love it.
[00:58:23.034 --> 00:58:24.594]  It's been sold out for months and months and months.
[00:58:24.654 --> 00:58:27.495]  We've got a limited supply in because we won't cut the quality of the product.
[00:58:27.515 --> 00:58:28.976]  We can only get so much of the ingredients.
[00:58:29.016 --> 00:58:30.737]  So, it's going to sell out very, very quickly.
[00:58:30.757 --> 00:58:33.978]  But despite that, it's 40% off and in full war store.com.
[00:58:34.018 --> 00:58:37.199]  Then we have Prostagard with saw palmetto and so much more.
[00:58:37.539 --> 00:58:39.840]  Sold out for almost nine months.
[00:58:40.301 --> 00:58:41.041]  It's back in stock.
[00:58:41.601 --> 00:58:44.443]  Because the supply chain breakdowns could not get it in.
[00:58:44.603 --> 00:58:47.866]  So good for not just your prostate, but all your glands, your whole body.
[00:58:47.906 --> 00:58:49.047]  It's great for women as well.
[00:58:49.327 --> 00:58:53.290]  It's just that Saul Palmetto's documented to massively cut cancer risk in the prostate.
[00:58:53.310 --> 00:58:53.991]  Look it up yourself.
[00:58:54.071 --> 00:58:56.472]  Imagine what else it does for the rest of your body.
[00:58:56.633 --> 00:59:00.035]  Infowarstore.com and TurboForce.
[00:59:00.055 --> 00:59:03.918]  10 hours on average of clean, good energy without the big comedown.
[00:59:04.339 --> 00:59:04.599]  It's 40% off.
[00:59:07.503 --> 00:59:12.025]  And then we have what we believe, there may be some stronger, the highest level curcuminoid.
[00:59:12.045 --> 00:59:19.548]  We went to the top manufacturer of turmeric stuff, we private labeled an even stronger one, theirs was a 75 curcuminoid.
[00:59:19.828 --> 00:59:20.868]  We said, what's the highest you can do?
[00:59:20.888 --> 00:59:21.589]  They said, if you pay more, 95%.
[00:59:22.949 --> 00:59:24.270]  We had it tested separate firms.
[00:59:25.091 --> 00:59:26.192]  95% curcuminoid.
[00:59:26.232 --> 00:59:27.573]  That's the active ingredient in it.
[00:59:27.893 --> 00:59:30.175]  That's why it works so much better than other turmeric formulas.
[00:59:30.335 --> 00:59:34.458]  Infowarstore.com or 888-253-3139.
[00:59:34.738 --> 00:59:36.539]  And Ultimate Bone Broth, new and improved.
[00:59:37.019 --> 00:59:39.381]  Also so good for your immune system and whole body and joints.
[00:59:39.681 --> 00:59:43.119]   And for people that want to be active, it's back in stock as well.
[01:00:06.559 --> 01:00:11.760]   Well, David Ocken, who just joined us, is our guest here on the Alex Jones Show.
[01:00:11.760 --> 01:00:17.201]   And he was part of the ongoing huge rallies in the UK and across Europe.
[01:00:17.441 --> 01:00:22.042]  He gave a very powerful speech that we have posted at Band.Video and InfoWars.com.
[01:00:22.062 --> 01:00:27.043]  You can find two channels David Icke has on Band.Video, one of the most popular channels out there.
[01:00:28.164 --> 01:00:29.846]  One of the most popular channels on Bandai Video.
[01:00:29.886 --> 01:00:32.971]  I think it's probably the second or first one right after the one I have.
[01:00:33.431 --> 01:00:35.815]  And the whole point is, is that we need these platforms.
[01:00:35.835 --> 01:00:36.616]  They're coming after them.
[01:00:36.996 --> 01:00:38.939]  Some stages don't carry this first five minutes.
[01:00:38.999 --> 01:00:39.580]  Some do.
[01:00:40.281 --> 01:00:41.503]  But I don't want to waste this time.
[01:00:41.523 --> 01:00:42.865]  So we've got David Icke here with us now.
[01:00:42.905 --> 01:00:43.466]  Then we'll come back.
[01:00:43.946 --> 01:00:45.827]  And join some stations in about six minutes.
[01:00:46.487 --> 01:00:48.709]  But David, you were just saying this is for everything.
[01:00:48.749 --> 01:00:50.270]  This is the whole future.
[01:00:50.670 --> 01:00:51.850]  This is depopulation.
[01:00:51.890 --> 01:00:52.391]  They're coming.
[01:00:52.451 --> 01:00:53.271]  It's confirmed.
[01:00:53.711 --> 01:00:54.652]  I've looked at all the numbers.
[01:00:54.692 --> 01:00:57.734]  They admit the numbers that they're planning to kill us and are killing us.
[01:00:58.254 --> 01:01:01.416]  And I just can't believe these zombies are saying that they don't care.
[01:01:01.436 --> 01:01:08.579]  They're going to just keep taking the shot and keep being restricted and go into deeper lockdown as Germany is one of the most vaccinated countries in Europe.
[01:01:08.880 --> 01:01:13.329]   And they've got the highest cases, just like Places like Israel.
[01:01:13.569 --> 01:01:16.832]  It's so obvious and it's like the murder of logic.
[01:01:19.134 --> 01:01:22.957]  Well, it is, but there's method in the madness.
[01:01:24.278 --> 01:01:30.342]  I saw a very good post on social media that someone sent to me.
[01:01:31.663 --> 01:01:38.409]  And it said basically about the trickery that they're facing with their propaganda.
[01:01:39.438 --> 01:01:48.886]  On one side, they have to persuade the non-fake-vaxxed that the vaccine fakes work, so they'll get them.
[01:01:49.927 --> 01:01:58.194]  And they have to, at the same time, persuade those who are fake-vaxxed that the fake-vaxxes don't work, so they'll get the booster.
[01:01:58.894 --> 01:02:00.235]  So they're caught.
[01:02:00.756 --> 01:02:08.302]  And basically, this is the global cult modus operandi, right the way, as far back as you want to look.
[01:02:08.960 --> 01:02:15.869]  Tell people what will get them to believe and act in the way you want them to.
[01:02:16.470 --> 01:02:26.683]  And this is why the lies are incessant, because it's not whether it's true or not, it's whether you think by saying it you will get people to respond as you want.
[01:02:27.489 --> 01:02:40.439]  So if you're going to get more and more of these fake vaccines into people, you've got to persuade them that the cases are going up and therefore, well, you know, we told you they would work.
[01:02:40.659 --> 01:02:44.342]  We're not going to say that anymore, but we did tell you they're going to work if you go back to normal.
[01:02:44.723 --> 01:02:47.925]  But now we find it, well actually they're not working, so you'd have to have another one and another one.
[01:02:48.365 --> 01:03:01.755]   The logic of which, because it's a lie of course, they don't need logic, they're just a lie, The logic of which is that you've had two fake vaccines that haven't worked and so you need a third one of the same stuff that hasn't worked.
[01:03:01.875 --> 01:03:03.316]  It's insane, as you say.
[01:03:03.356 --> 01:03:15.804]  It takes a monumental level of denial and stupidity not to see the obvious contradictions in all this.
[01:03:16.285 --> 01:03:36.553]   But they have to keep doing this and what they've done is got people in a ball and chain situation by which you can only have anything like a quote normal life if you are fully vaccinated, fake vaccinated.
[01:03:37.293 --> 01:03:44.839]  And so they tell you, you have the first two and you're fully vaccinated and you'll get your passport and you'll be fine.
[01:03:45.419 --> 01:03:51.063]  Then they say, and Israel started this one, that actually you're going to need a third.
[01:03:51.504 --> 01:03:54.546]  And if you don't get the third, then you're going to lose your passport.
[01:03:54.566 --> 01:03:55.607]  And then it's a fourth.
[01:03:56.147 --> 01:03:58.248]  And so they've got people caught in this situation.
[01:03:58.269 --> 01:04:01.471]  And by the way, David, you and I both said this almost two years ago when it started.
[01:04:01.511 --> 01:04:02.471]  We saw the plan.
[01:04:02.912 --> 01:04:06.474]  Gates' own documents, he was bragging they were going to do this.
[01:04:06.674 --> 01:04:08.315]  He was saying they'll have to have boosters.
[01:04:08.355 --> 01:04:10.877]  They had this whole thing pre-baked into the cake.
[01:04:11.937 --> 01:04:12.438]  Exactly.
[01:04:12.498 --> 01:04:28.729]   So you're now faced with people who have had two, maybe three when the fourth comes along, and it will, who, if they don't have it, We'll go back to a situation in terms of interacting with society that's the same as those at any.
[01:04:30.333 --> 01:04:33.194]  And this is the trap that people have been caught in.
[01:04:33.214 --> 01:04:47.719]  I don't know about your experiences, Alex, over there, but certainly mine is that an increasingly large and significant number of double-jabbed are saying, hold on a minute, I'm going to look at this again.
[01:04:47.819 --> 01:04:48.739]  I've been had here.
[01:04:48.980 --> 01:04:49.680]  David, stay there.
[01:04:49.700 --> 01:04:50.860]  We're back in 60 seconds.
[01:04:50.900 --> 01:04:52.881]  That is exactly right.
[01:04:52.901 --> 01:04:55.102]  We're going to rejoin some of our great stations.
[01:04:55.122 --> 01:04:58.443]  The reason we're still on the air, despite deplatforming, is our radio stations.
[01:05:02.008 --> 01:05:10.711]  We have launched the most important sale of the year, because now we've got a bunch of great products that have been sold out for months and months and months back in stock.
[01:05:11.412 --> 01:05:22.456]  So, right now, the real Black Friday sale is beginning, and it's only going to run until the end of the month, and that's now only six, seven days.
[01:05:23.216 --> 01:05:27.158]  Infowar Store official Black Friday special has arrived.
[01:05:27.978 --> 01:05:29.559]  Ladies and gentlemen, people love it.
[01:05:29.599 --> 01:05:30.379]  It's our best seller.
[01:05:30.820 --> 01:05:32.400]  Vitamin Mineral Fusion.
[01:05:32.540 --> 01:05:38.624]  All the vitamins, all the minerals, all the key amino acids, everything you need for your immune system and your body.
[01:05:38.644 --> 01:05:39.464]  And it tastes great.
[01:05:40.044 --> 01:05:41.185]  And it funds the InfoWar.
[01:05:41.865 --> 01:05:46.368]  It is back in stock 40% off with free shipping and double Patreon points.
[01:05:46.788 --> 01:05:49.189]  And so much more at InfoWarStore.com.
[01:05:49.429 --> 01:05:52.971]  It's only six, seven days left in the biggest sale of 2021.
[01:05:54.232 --> 01:05:57.695]  Bet on freedom, bet on InfoWars, bet on yourself, and get great products.
[01:05:57.715 --> 01:06:01.438]  The only way you fail is not taking action at InfoWarsStore.com.
[01:06:01.618 --> 01:06:03.379]  InfoWars.
[01:06:03.219 --> 01:06:14.219]  [Music]
[01:06:14.219 --> 01:06:18.219]  InfoWars. Tomorrow's news, today.
[01:06:18.219 --> 01:06:21.219]  [Music]
[01:06:21.219 --> 01:06:23.219]  I'm Alex Jones, your host.
[01:06:23.050 --> 01:06:29.233]  We have the iconic David Icke with us, who I sent a message last week and I said, please come on.
[01:06:29.253 --> 01:06:30.973]  I want to talk about the metaverse.
[01:06:32.014 --> 01:06:34.795]  But then all this poison vaccine news is coming out.
