[00:00:09.856 --> 00:00:12.277]  Oh, got my bag.
[00:53:52.975 --> 00:53:57.918]  This is going to end in a horrible explosion, and it's not going to go well for anybody.
[00:53:57.918 --> 00:54:04.042]  And the left's going to get devastated, and in the end of this, fascism's going to take over the US.
[00:54:04.042 --> 00:54:06.624]  And then we'll join with the whole global government system.
[00:54:06.624 --> 00:54:13.528]  It's been the plan all along, and I'm not one to evacuate, and I'm not going to, but they are trying to put me in prison right now.
[00:54:13.528 --> 00:54:16.109]  The stuff you see on the news is typically iceberg.
[00:54:16.109 --> 00:54:16.830]  And so,
[00:54:17.688 --> 00:54:23.732]  It's just hard for me to be in the middle of this and know how real it is, and to see the general public just still kind of in a daze, not knowing.
[00:54:23.732 --> 00:54:26.654]  I mean, folks, it's far worse than Naomi Wolf said.
[00:54:26.654 --> 00:54:27.875]  This is a takeover.
[00:54:27.875 --> 00:54:30.116]  It doesn't stop from here, you understand?
[00:54:30.116 --> 00:54:36.000]  And the takeover's designed like a chemistry set to cause the explosion.
[00:54:36.000 --> 00:54:39.683]  It's 101, guaranteed civil war, martial law, that's the plan.
[00:54:39.683 --> 00:54:41.464]  We'll be right back, hour number two.
[00:54:41.464 --> 00:54:42.285]  We've got to stop it, folks.
[00:54:45.547 --> 00:54:53.676]  Agenda 21 and Agenda 2030 are all about making you dependent and cutting you off from energy, food, and medicine.
[00:54:53.676 --> 00:55:02.345]  And with the blackouts we've seen that are guaranteed to be engineered to bring in federal and globalist control, we have seen massive lines of people
[00:55:03.414 --> 00:55:11.362]  Lined up at the few grocery stores and restaurants that were open and most of them getting turned away after hours of freezing in the cold.
[00:55:11.362 --> 00:55:17.167]  We've seen millions of people sleeping in their cars because they don't have any power in their house and then running out of gas.
[00:55:17.167 --> 00:55:19.109]  Ladies and gentlemen, energy is king.
[00:55:19.549 --> 00:55:22.952]  And food is the energy our bodies run off of, and water as well.
[00:55:22.952 --> 00:55:30.279]  They're both available, the highest quality water filtration and the highest quality storable foods right now, massively discounted, because of this emergency.
[00:55:30.279 --> 00:55:33.642]  For everybody nationwide, at InfoWareStore.com.
[00:55:33.642 --> 00:55:40.609]  $50 off on our best stainless steel gravity-fed filter, and 10% off all storable food in all packages at InfoWareStore.com.
[00:55:40.609 --> 00:55:43.571]  That's InfoWareStore.com or PrepareWithAlex.com.
[00:55:43.571 --> 00:55:44.953]  Big discounts for only a few more days.
[00:55:47.066 --> 00:55:55.293]  As negative as times are right now and as depressing as things can be, you have to understand that this is all a test.
[00:55:55.293 --> 00:56:01.339]  This experience, this life on this planet is a reckoning.
[00:56:01.339 --> 00:56:10.226]  It's God giving us a chance to work things out in the third dimension so we can decide where we want to spend eternity and what level we want to go to.
[00:56:10.226 --> 00:56:11.448]  And it really does come down to that.
[00:56:12.666 --> 00:56:20.053]  As sad as things are and as evil as things are, look at all the good in the world as well and realize that God is the author of our consciousness.
[00:56:20.053 --> 00:56:23.676]  God is the author of us having our own will.
[00:56:23.676 --> 00:56:26.619]  God is the author of us having free will.
[00:56:26.619 --> 00:56:29.282]  And that free will is a beautiful thing.
[00:56:29.964 --> 00:56:39.309]  When you look at mainstream media and Hollywood and this whole evil culture, and Washington DC and Fauci and the mass cult, it's all about dominating your free will.
[00:56:39.309 --> 00:56:42.111]  It's all about telling you you're dirty and you're ugly and you're bad.
[00:56:42.111 --> 00:56:49.535]  Because Satan hates you because you're made in the image of God, the creator of the universe.
[00:56:49.535 --> 00:56:52.137]  You're listening to the Alex Jones Show.
[00:57:04.386 --> 00:57:07.807]  Where Eagles Dare, Info Wars.
[00:57:07.807 --> 00:57:14.148]  This is the Info War.
[00:57:14.148 --> 00:57:18.909]  That's some good punk rock right there.
[00:57:18.909 --> 00:57:22.010]  That's just more modern stuff.
[00:57:22.010 --> 00:57:23.650]  Ah, that's good.
[00:57:29.910 --> 00:57:30.890]  This is a family show.
[00:57:30.890 --> 00:57:32.551]  We better fade it down right now.
[00:57:32.551 --> 00:57:33.311]  Welcome back.
[00:57:33.311 --> 00:57:36.611]  Infowars.com and Newswars.com are the websites.
[00:57:36.611 --> 00:57:41.172]  Maybe we should play a little bit of London Dungeon next segment.
[00:57:41.172 --> 00:57:44.233]  Or Hollywood Babylon.
[00:57:44.233 --> 00:57:49.134]  Boy, Hollywood Babylon is certainly collapsing.
[00:57:49.134 --> 00:57:52.315]  Hollywood is collapsing as fast as my hair is falling out.
[00:57:52.315 --> 00:57:53.595]  Which I don't mind.
[00:57:53.595 --> 00:57:55.435]  I'm a little bit of a fat ass now.
[00:57:55.435 --> 00:57:57.156]  The election totally stressed me out.
[00:57:57.156 --> 00:57:58.736]  I released tons of cortisol into my body.
[00:57:59.440 --> 00:58:02.742]  I worked 20 hours a day and gained 30 damn pounds.
[00:58:02.742 --> 00:58:07.124]  I've already lost about 10 of it in the last month.
[00:58:07.124 --> 00:58:13.366]  I've been making myself take supplements religiously, but I'm not even working out anymore.
[00:58:13.366 --> 00:58:14.467]  I'm not complaining either.
[00:58:14.467 --> 00:58:16.248]  I mean, I know why people can't handle this.
[00:58:16.248 --> 00:58:19.229]  I know why people want to live in denial because this is horrible.
[00:58:20.987 --> 00:58:23.708]  I mean, this New World Order is unbelievable.
[00:58:23.708 --> 00:58:36.134]  We just played that Naomi Wolf piece with Tucker Carlson, and how she just now sees this is a total fascist takeover, and the Democrats are at the heart of it, and of course the Republicans are scared of going along with it, pretty much.
[00:58:36.134 --> 00:58:37.135]  So we're in trouble, folks.
[00:58:37.135 --> 00:58:40.076]  We better come together and deal with this.
[00:58:40.076 --> 00:58:44.739]  But Democrats demand to know why cable companies don't censor conservative news.
[00:58:44.739 --> 00:58:46.719]  Steve Watson, Infowars.com.
[00:58:46.719 --> 00:58:49.561]  And it's got all the clips, it's got the newscast, it's got the tweets.
[00:58:50.850 --> 00:59:09.708]  With the Democrats and CNN and all of them asking, in a blatant attempt to pressure cable providers to censor conservative media, not just populist media, Democrats have penned a letter demanding to know what they intend to do about certain channels, including Fox News Max, spreading this information.
[00:59:09.708 --> 00:59:10.769]  That means questioning the election.
[00:59:10.769 --> 00:59:11.970]  You're not supposed to do that.
[00:59:11.970 --> 00:59:15.474]  The letters sent Monday by California Democrats, Anna Eshoo and
[00:59:16.337 --> 00:59:28.325]  Jerry McNenery also asked satellite digital TV providers, are you planning to continue carrying Fox News, OAN, and Newsmax on your platform both now and beyond the renewal date?
[00:59:28.325 --> 00:59:33.148]  If so, why?
[00:59:33.148 --> 00:59:45.056]  Now these members of Congress want massive corporations like AT&T, Verizon, and Comcast to apply some newfound moral or ethical principles related to journalistic integrity in determining what content
[00:59:45.723 --> 00:59:49.204]  They allow to be disseminated on their services.
[00:59:49.204 --> 00:59:52.506]  Simply insane.
[00:59:52.506 --> 00:59:59.008]  Biden, AG pick Merrick Garland says he'd support working with Congress to restrict free speech online.
[00:59:59.008 --> 01:00:00.269]  There's an actual video of it.
[01:00:00.269 --> 01:00:01.229]  I'll play it.
[01:00:01.229 --> 01:00:03.690]  Coming up next segment.
[01:00:03.690 --> 01:00:04.431]  And it gets worse.
[01:00:04.431 --> 01:00:10.433]  Biden regime, AG pick Merrick Garland will use office to ensure respectful treatment of liberal media though.
[01:00:10.433 --> 01:00:12.334]  Yes, you'll get charged if you're mean to them.
[01:00:14.102 --> 01:00:16.104]  That is coming up next segment.
[01:00:16.104 --> 01:00:21.729]  I'm going to show you those videos, and I'm going to tie it into Trump fighting back.
[01:00:21.729 --> 01:00:23.850]  His main push is going to be election integrity.
[01:00:23.850 --> 01:00:25.312]  Hallelujah!
[01:00:25.312 --> 01:00:33.839]  And he definitely represents the party and the populist movement, and the polls show that, what is it, 70 plus percent of Republicans say they're going wherever Trump goes.
[01:00:33.839 --> 01:00:36.541]  The media is trying to spin that, though.
[01:00:36.541 --> 01:00:38.122]  But oh yeah, third party!
[01:00:38.122 --> 01:00:41.785]  It doesn't have the muscle, the energy, it doesn't have the
[01:00:43.317 --> 01:00:44.418]  The systems.
[01:00:44.418 --> 01:00:46.679]  We want to take over the Republican Party completely.
[01:00:46.679 --> 01:00:48.180]  That's why the system was so scared.
[01:00:48.180 --> 01:00:50.021]  We've almost done it.
[01:00:50.021 --> 01:00:55.744]  And then we want to take the Democratic Party over and have two populist parties that can then fight with each other and have separation of power.
[01:00:55.744 --> 01:00:58.065]  That's the federalist system.
[01:00:58.065 --> 01:01:03.148]  Two parties, federal, state, and local government.
[01:01:03.148 --> 01:01:04.909]  Three branches in each area of government.
[01:01:04.909 --> 01:01:07.970]  Then the fourth of state being the media.
[01:01:07.970 --> 01:01:09.271]  Fifth of state being the churches.
[01:01:10.507 --> 01:01:36.467]  Instead, we've got this whole globalist fifth column that runs it all, standardizes it, and is now bringing in the UN and regulators and signing over all of our energy systems and everything else to private corporations, which sounds great to the mainline libertarians, but it's not good because these corporations just become governments in their own right, and that's where the Heritage Foundation and the Brookings Institute and the Hoover Institute get it wrong.
[01:01:37.182 --> 01:01:37.662]  All right.
[01:01:37.662 --> 01:01:39.902]  And I used to be a big L libertarian.
[01:01:39.902 --> 01:01:41.583]  I am a little L one.
[01:01:41.583 --> 01:01:43.063]  I'm live and let live too.
[01:01:43.063 --> 01:01:45.643]  But see now, the rainbow flag isn't live and let live.
[01:01:45.643 --> 01:01:47.644]  It's, hey, we're coming for your kids.
[01:01:47.644 --> 01:01:48.064]  It's bad.
[01:01:48.064 --> 01:01:50.504]  It's not a battle flag of pedophilia.
[01:01:50.504 --> 01:01:51.084]  We'll be right back.
[01:01:51.084 --> 01:01:54.765]  Stay with us.
[01:01:54.765 --> 01:01:57.545]  I sell supplements for two reasons.
[01:01:57.545 --> 01:01:58.926]  Because they work.
[01:01:58.926 --> 01:01:59.846]  They're real.
[01:01:59.846 --> 01:02:00.866]  They're powerful.
[01:02:00.866 --> 01:02:03.066]  And because it's a giant market.
[01:02:03.066 --> 01:02:05.547]  But again, why is there a giant market?
[01:02:05.547 --> 01:02:06.267]  Because it works.
[01:02:07.153 --> 01:02:09.134]  That's why it exponentially grows.
[01:02:09.134 --> 01:02:25.602]  So whether it's Saw Palmetto and other key ingredients in our Prostate Formula, Prostagard, or whether it is the super high-grade Organic Vitamin B12 in Ultra 12, or whether it's the PQQ or the CoQ10 in DNA Force,
[01:02:26.565 --> 01:02:29.646]  Or the pure Deep Earth Crystal Iodine X2.
[01:02:29.646 --> 01:02:37.809]  These are all the very best supplements you're going to find in an already great market of high quality products out there.
[01:02:37.809 --> 01:02:39.490]  And it funds the InfoWars.
[01:02:39.490 --> 01:02:43.891]  So even if these products weren't high quality, which they are, you're funding the InfoWars so you can't lose.
[01:02:43.891 --> 01:02:46.172]  InfoWars delivers in spades.
[01:02:46.172 --> 01:02:49.313]  Please visit InfoWarsStore.com and get the products today.
[01:02:49.313 --> 01:02:53.075]  And again, I want to thank you all for keeping us on air at InfoWarsStore.com.
[01:03:09.273 --> 01:03:26.846]  If you are receiving this transmission, you are the resistance.
[01:03:26.846 --> 01:03:33.291]  Alright, I haven't really talked about this much since it broke last week because there's so much important stuff going on.
[01:03:33.291 --> 01:03:38.295]  But I've had friends, I've had family, I've had neighbors come over that don't ever talk to me hardly.
[01:03:38.815 --> 01:03:40.816]  And say, hey, what do you think of Ted Cruz?
[01:03:40.816 --> 01:03:44.797]  You know, I'm a Republican, but man, I think his career is finished.
[01:03:44.797 --> 01:03:48.798]  Well, Ted Cruz has had his issues with me.
[01:03:48.798 --> 01:03:50.559]  He's said things about me that aren't true.
[01:03:50.559 --> 01:03:52.759]  He's attacked me, but he's also defended my free speech.
[01:03:52.759 --> 01:03:54.840]  But that isn't why I'm supporting Ted Cruz.
[01:03:54.840 --> 01:03:56.320]  He's a great senator.
[01:03:56.320 --> 01:03:57.621]  He's got a great voting record.
[01:03:57.621 --> 01:04:03.703]  He was standing up with Trump on the 6th to get a 10-day investigation when nobody else had the courage to do it.
[01:04:03.703 --> 01:04:05.763]  And he's been targeted by the globalists.
[01:04:05.763 --> 01:04:07.664]  So I support Ted Cruz.
[01:04:08.303 --> 01:04:19.667]  He's a survivor, he plays politics when he's gotta do it to survive, but he has an instinct for America, and you know, his dad was a Cuban exile, and he's got the right instincts and the right stuff.
[01:04:19.667 --> 01:04:21.968]  I think he'll be president of this country one day.
[01:04:21.968 --> 01:04:23.809]  I'm just telling you.
[01:04:23.809 --> 01:04:31.432]  That said, if you live in Texas, it's an hour and 45 minutes from Austin, it is an hour and 30 minutes from Houston to Cancun.
[01:04:31.432 --> 01:04:36.094]  So Cancun is like, if you like, live 10 miles from the beach and you drive to the beach.
[01:04:37.310 --> 01:04:39.854]  I mean, it's literally like you live 10 miles from the beach.
[01:04:39.854 --> 01:04:42.157]  So, he was honest about it.
[01:04:42.157 --> 01:04:43.138]  He said, I went down there.
[01:04:43.138 --> 01:04:44.300]  I was going to stay the weekend.
[01:04:44.300 --> 01:04:45.361]  I was going to work from there.
[01:04:45.361 --> 01:04:48.426]  I didn't have power at my house.
[01:04:48.426 --> 01:04:50.729]  And I was thinking, like, why?
[01:04:50.729 --> 01:04:51.530]  Why didn't I think of that?
[01:04:51.530 --> 01:04:54.434]  Well, my airport was completely shut down, so I couldn't do it.
[01:04:55.402 --> 01:04:56.683]  Um, I love Cancun.
[01:04:56.683 --> 01:04:58.083]  The crime has gotten bad there.
[01:04:58.083 --> 01:04:59.264]  It's not the safe way it used to be.
[01:04:59.264 --> 01:05:00.784]  It used to be a very safe Mexican city.
[01:05:00.784 --> 01:05:01.965]  Great place.
[01:05:01.965 --> 01:05:03.625]  Um, but that's a smart move.
[01:05:03.625 --> 01:05:05.266]  He was honest about it.
[01:05:05.266 --> 01:05:06.726]  And it's like, Oh, no, no.
[01:05:06.726 --> 01:05:09.827]  The Democrats are the ones saying, wear your mask, don't be in crowds of people.
[01:05:09.827 --> 01:05:16.450]  And then all of them get caught on Caribbean islands with like 50 people, you know, naked chicks hanging off of them.
[01:05:16.450 --> 01:05:16.950]  All of it.
[01:05:16.950 --> 01:05:18.731]  That's what makes me mad.
[01:05:18.731 --> 01:05:21.132]  He's not been for that.
[01:05:21.132 --> 01:05:23.853]  And so that's where I stand on it.
[01:05:23.853 --> 01:05:24.553]  Yeah, they're calling him.
[01:05:25.643 --> 01:05:29.745]  Senator, you know, Cancun Cruz and all the rest of it.
[01:05:29.745 --> 01:05:37.648]  We should be worrying, ladies and gentlemen, about Joe Biden.
[01:05:37.648 --> 01:05:41.570]  Because this is the third administration of a guy that wants to destroy this country for the globalists.
[01:05:41.570 --> 01:05:47.172]  And they've got a literal meat puppet zombie up there, dismantling the country.
[01:05:47.172 --> 01:05:52.995]  So, the reason I'm angry about the Ted Cruz thing is, it changed the subject from Cuomo and 16,000 dead old people
[01:05:54.986 --> 01:06:01.891]  That they knowingly killed on purpose to get their death numbers up and the fact that it was Fauci who advised that, not Trump.
[01:06:01.891 --> 01:06:06.334]  And that we could destroy Fauci and Bill Gates with this.
[01:06:06.334 --> 01:06:11.657]  And that other governors, Whitmer and Wolf and all these other Democrats did.
[01:06:11.657 --> 01:06:13.018]  We have them.
[01:06:13.018 --> 01:06:15.900]  So did Ted Cruz order
[01:06:17.020 --> 01:06:28.627]  Nursing homes that said, we don't want to take COVID patients if it's killing 4% of people, which it wasn't true, but it will kill old people, like any other bad cold, if you don't have vitamin D3 from not having sun, or zinc, and horrible nursing home food.
[01:06:28.627 --> 01:06:31.189]  And so, it was.
[01:06:31.189 --> 01:06:33.330]  44% of New York's deaths were in the nursing homes.
[01:06:33.330 --> 01:06:37.673]  Now it's 59%, last time I checked, and that's before these new numbers came out.
[01:06:39.625 --> 01:06:43.088]  At first they were like, well, we had 5,000 deaths and then we had 6,000.
[01:06:43.088 --> 01:06:44.269]  Well, okay, it's 8,000.
[01:06:44.269 --> 01:06:46.810]  Okay, it's 10,000, we covered up half of them.
[01:06:46.810 --> 01:06:48.212]  Now they're like 16,000.
[01:06:48.212 --> 01:06:49.352]  Well, we found another 3,000.
[01:06:49.352 --> 01:06:53.135]  So now it's at 19,000 dead.
[01:06:53.135 --> 01:06:54.796]  I'm sorry, I was giving you old numbers from last week.
[01:06:54.796 --> 01:06:57.759]  16,000, now it's 19,000 dead.
[01:06:57.759 --> 01:07:05.905]  So I guess if 5,000 was 40-something percent, then it looks like, do the math, if it's now 18,000, 19,000 dead,
[01:07:09.525 --> 01:07:10.987]  And then you add all the other people that died.
[01:07:10.987 --> 01:07:15.852]  I mean, it's well over 60-70% died in nursing homes.
[01:07:15.852 --> 01:07:23.560]  It's the same thing in Europe and the same thing in other states because they're killing the old people and now they're giving them the vaccine and they're dying.
[01:07:23.560 --> 01:07:26.223]  So this is sick and this is evil.
[01:07:26.223 --> 01:07:28.466]  I don't want to hear about Ted Cruz!
[01:07:29.346 --> 01:07:41.996]  If Ted Cruz ordered old people to have COVID patients stuck with him, I mean, you saw what Whitmer did, where there's like that black dude beating up the Alzheimer's white dude, beating that, and I'm like, why is the young dude in the hospital?
[01:07:41.996 --> 01:07:56.848]  Because he was a COVID patient that the hospital wanted to get 50-something grand off of, so they stuck a mentally ill, crazy person, forgot his family was getting the money, in a damn nursing home, to beat up old people!
[01:07:58.234 --> 01:08:07.777]  And again, it's okay because it was an old white man, it's a black man doing it, and we all know we can just have a march against white supremacism whenever a white person gets killed.
[01:08:07.777 --> 01:08:09.738]  That's what New York does now.
[01:08:09.738 --> 01:08:11.478]  And so, you know, that's how this works.
[01:08:11.478 --> 01:08:14.759]  And again, I literally love everybody.
[01:08:14.759 --> 01:08:22.002]  But the media hyping up that white people are inherently bad, white people are inherently evil, white people deserve to die.
[01:08:22.002 --> 01:08:24.502]  Hate crimes against white people have exploded.
[01:08:24.502 --> 01:08:26.163]  And let's move on from that.
[01:08:26.812 --> 01:08:27.252]  The U.N.
[01:08:27.252 --> 01:08:32.597]  reported two years ago that the last decade there was a doubling in Christians being murdered all over the world because the U.N.
[01:08:32.597 --> 01:08:34.999]  has said open season and nobody does anything about it.
[01:08:34.999 --> 01:08:36.661]  So, guess who the majority of those are?
[01:08:36.661 --> 01:08:37.922]  Asians and black people.
[01:08:37.922 --> 01:08:47.430]  I don't care if you're Asian, black, white, wherever you are, you have a soul and you have value and if I don't treat you with respect, God isn't going to treat me with respect.
[01:08:47.430 --> 01:08:53.215]  This is a human fight against the globalists, but they've all turned us against each other to a sickening level.
[01:08:53.215 --> 01:08:53.596]  Now let's move
[01:08:55.086 --> 01:08:58.408]  To that next piece of information that's so important.
[01:08:58.408 --> 01:09:10.395]  We have Merrick Garland saying that it's not terrorism if you burn down a federal building or attack police with hatchets trying to break into the federal building.
[01:09:10.988 --> 01:09:12.189]  If it's night time.
[01:09:12.189 --> 01:09:20.537]  Now, I always thought under common law, a crime of invasion, or a crime of rape, or a crime of robbery is bigger if it's night time.
[01:09:20.537 --> 01:09:24.081]  But no, not according to Mr. Upside Down World.
[01:09:24.081 --> 01:09:31.247]  Here he is in testimony saying, Antifa's not engaged in terrorism, pooping on Nancy Pelosi's office is.
[01:09:31.247 --> 01:09:34.991]  Sounds like animal house prank, I don't agree with it.
[01:09:36.088 --> 01:09:38.390]  Slamming cops in doors is assault.
[01:09:38.390 --> 01:09:40.011]  You should get jail time for that.
[01:09:40.011 --> 01:09:41.932]  Those cops didn't deserve that.
[01:09:41.932 --> 01:09:46.074]  Out of a million people, a couple hundred acted like hoodlums, most of them plants.
[01:09:46.074 --> 01:09:48.776]  But still, it happened.
[01:09:48.776 --> 01:09:57.101]  But compare that to the burning down large portions, large swaths, large sectors of the country and calling it mostly peaceful with huge buildings burning behind you is insane.
[01:09:58.951 --> 01:10:10.580]  No, ladies and gentlemen, it is terrorism when you're trying to terrorize the federal building to shut and trying to terrorize everyone to giving in to your demands in an autonomous zone you're trying to take over.
[01:10:10.580 --> 01:10:13.842]  That is what is going on here.
[01:10:13.842 --> 01:10:16.544]  When you throw Molotov cocktails in the building and catch it on fire.
[01:10:16.544 --> 01:10:21.367]  You guys fast forward to the part where the police come out in riot gear and they attack them with hatchets.
[01:10:21.367 --> 01:10:22.248]  Yeah, here it is.
[01:10:22.248 --> 01:10:26.131]  They're trying to break in the building and the feds are sitting and then they finally stop them.
[01:10:26.696 --> 01:10:30.618]  And last time I heard, they released the guy that attacked the feds with a hatchet.
[01:10:30.618 --> 01:10:31.178]  I mean, I'm sorry.
[01:10:31.178 --> 01:10:32.099]  You attacked me with a hatchet.
[01:10:32.099 --> 01:10:32.919]  You're dead.
[01:10:32.919 --> 01:10:33.819]  That's a deadly weapon.
[01:10:33.819 --> 01:10:34.760]  I'm gonna kill you.
[01:10:34.760 --> 01:10:36.281]  And they'd probably charge me.
[01:10:36.281 --> 01:10:37.781]  They charge cops to defend themselves.
[01:10:37.781 --> 01:10:39.262]  So, this is out of control.
[01:10:39.983 --> 01:10:41.124]  You don't like out-of-control cops?
[01:10:41.124 --> 01:10:44.248]  How about out-of-control leftists dressed up in black?
[01:10:44.248 --> 01:10:56.242]  So here's the probably new Attorney General, the Obama Kimmeroid, the Obama Dingleberry, Garland Merrick, telling you that when it rains, when he's pissing on your back, that it's not piss.
[01:10:56.242 --> 01:10:56.563]  Here it is.
[01:10:57.043 --> 01:11:04.069]  Let me ask you about assaults on federal property in places other than Washington, D.C., Portland, for instance, Seattle.
[01:11:04.069 --> 01:11:10.055]  Do you regard assaults on federal courthouses or other federal property as acts of domestic extremism, domestic terrorism?
[01:11:12.268 --> 01:11:24.359]  Senator, my own definition, which is about the same as the statutory definition, is the use of violence or threats of violence in an attempt to disrupt democratic processes.
[01:11:24.359 --> 01:11:34.167]  So an attack on a courthouse while in operation, trying to prevent judges from actually deciding cases, that plainly is
[01:11:35.308 --> 01:11:51.632]  Domestic extremism, domestic terrorism, an attack simply on government property at night or any other kind of circumstances is a clear crime and a serious one and should be punished.
[01:11:51.632 --> 01:11:57.653]  I don't mean, I don't know enough about the facts of the example you're talking about, but that's where I draw the line.
[01:11:57.653 --> 01:11:59.834]  One is both are criminal
[01:12:00.758 --> 01:12:06.300]  Um, but one is a core attack on our democratic institutions.
[01:12:06.300 --> 01:12:08.560]  Well, on the face of it, that's pure crap.
[01:12:08.560 --> 01:12:12.362]  They were burning it down saying it was illegitimate so it couldn't operate.
[01:12:12.362 --> 01:12:14.842]  So, what does it matter if they burn it down during the day or at night?
[01:12:14.842 --> 01:12:18.663]  You know, the guy that bombed in Nashville and blew up the building.
[01:12:18.663 --> 01:12:19.904]  I mean, is that terrorism?
[01:12:19.904 --> 01:12:21.764]  Yes.
[01:12:21.764 --> 01:12:23.985]  Just because it's at night, it's not a problem?
[01:12:23.985 --> 01:12:26.146]  Man, these people are sick.
[01:12:26.146 --> 01:12:27.126]  Absolutely sick.
[01:12:27.907 --> 01:12:30.508]  And it makes me just, I'm just so tired of him.
[01:12:30.508 --> 01:12:34.790]  Plus he can't even talk.
[01:12:34.790 --> 01:12:43.033]  How about, hey, do you believe Congressman Nadler's right that, here's a clip of him saying, Antifa doesn't exist.
[01:12:43.033 --> 01:12:45.434]  You know, they need to start nailing these guys.
[01:12:45.434 --> 01:12:47.355]  Nailing them with the reality.
[01:12:47.355 --> 01:12:52.917]  The truth is, they're terrorists, they're globalists, they stole the election, they're trying to cause a civil war for the Chi-Cops.
[01:12:56.593 --> 01:13:01.860]  Snowden and others taught us how mobile phones are constantly spying on us.
[01:13:01.860 --> 01:13:08.709]  Not just tracking and recording our GPS location, but recording audio and video as well.
[01:13:08.709 --> 01:13:10.352]  With or without a battery.
[01:13:11.130 --> 01:13:17.233]  Now, with the InfoWars Privacy Pouch, you can go dark wherever you choose.
[01:13:17.233 --> 01:13:18.093]  Excellent.
[01:13:18.093 --> 01:13:23.696]  Now I have my own compact Faraday cage I can take wherever I want.
[01:13:23.696 --> 01:13:28.278]  And you can, too, at InfoWarsStore.com.
[01:13:28.278 --> 01:13:38.323]  Government agencies, identity thieves, tech giants, and now contact tracers are all tracking your every move through your mobile phone.
[01:13:39.023 --> 01:13:43.966]  Now you can have the power to easily cut them off and go dark.
[01:13:43.966 --> 01:13:48.968]  Support the InfoWar and get your InfoWars privacy pouch today.
[01:13:48.968 --> 01:13:58.993]  InfoWarStore.com The need for storable foods are increasingly apparent.
[01:13:58.993 --> 01:14:07.877]  With millions left without power, including most grocery stores, many Texas residents are left without food.
[01:14:09.298 --> 01:14:17.562]  The lines at the grocery stores are getting longer and longer, while most of the store shelves are left bare.
[01:14:17.562 --> 01:14:30.708]  Now we know that in the most historic record freezing temperatures in over a century, your government can simply turn off the power, turn off the heat, and turn off the water.
[01:14:32.404 --> 01:14:37.806]  Don't let your government dictate whether or not you're able to feed your family.
[01:14:37.806 --> 01:14:48.849]  Go to infowarrestore.com and get at least a year's supply of storable foods to make sure you and your family are prepared for the unimaginable.
[01:14:48.849 --> 01:14:56.891]  Get your storable foods at infowarrestore.com.
[01:14:56.891 --> 01:14:59.512]  You're listening to the Alex Jones Show.
[01:15:09.820 --> 01:15:20.083]  Well, the stock market's shaking like a lead balloon right now.
[01:15:20.083 --> 01:15:22.684]  All the jobless numbers are pouring in.
[01:15:22.684 --> 01:15:28.485]  Energy prices are exploding.
[01:15:28.485 --> 01:15:35.167]  Old Joe Biden's doing the job he's supposed to do to make sure that you can't invest in the U.S., so you gotta move your jobs to Communist China.
[01:15:36.034 --> 01:15:41.258]  And Greg Abbott's been caught with his pants down letting Communist China build another wind farm in Texas.
[01:15:41.258 --> 01:15:44.500]  Greg Abbott's all talk, all hat, no cattle.
[01:15:44.500 --> 01:15:46.061]  He's a real shame.
[01:15:46.061 --> 01:15:51.005]  And he's been praising fake President Biden, thanking him for saving us.
[01:15:51.005 --> 01:15:54.948]  I mean, this is really disgusting, ladies and gentlemen.
[01:15:54.948 --> 01:16:00.372]  Oh, but he's gonna, they'll prosecute one or two natural gas producers, you know, that charge too much.
[01:16:01.263 --> 01:16:11.926]  When it's the electricity co-ops and ERCOT that are running the scam on the outside groups, charging some people as high as 18,000% more.
[01:16:11.926 --> 01:16:16.507]  Which I told you, day one of it, on the Sunday, when everything was icing up, last Sunday.
[01:16:16.507 --> 01:16:19.668]  Not this Sunday, but Sunday last, you know, eight, nine days ago.
[01:16:19.668 --> 01:16:25.110]  I said, watch, you're going to get multi-thousand percent bigger bills because it's a formula of the scam.
[01:16:25.652 --> 01:16:28.454]  You're like, oh Jones, it just cost workers an emergency.
[01:16:28.454 --> 01:16:31.396]  I covered Enron on probably 500 shows.
[01:16:31.396 --> 01:16:32.957]  It was a huge story for years.
[01:16:32.957 --> 01:16:35.479]  I had all the experts on, the documents, the trial.
[01:16:35.479 --> 01:16:37.461]  I covered it!
[01:16:37.461 --> 01:16:39.022]  They cooked up the carbon tax.
[01:16:39.022 --> 01:16:42.544]  They cooked it all up.
[01:16:42.544 --> 01:16:45.386]  Unbelievable, ladies and gentlemen.
[01:16:45.386 --> 01:16:52.792]  Texas supplied up to 15 states when they needed power until Obama got in and shut down our big, gorgeous coal plants.
[01:16:56.880 --> 01:16:57.720]  But, oh, it doesn't matter.
[01:16:57.720 --> 01:16:58.961]  Remember what Schumer said?
[01:16:58.961 --> 01:17:02.222]  Yeah, let's play a clip of Schumer.
[01:17:02.222 --> 01:17:09.684]  Schumer said yesterday, you just can't play this enough, that maybe Texas has learned its lesson.
[01:17:09.684 --> 01:17:16.046]  Hear it from the blue city controller that's run that once great city of the ground.
[01:17:16.046 --> 01:17:19.527]  The bottom line is Texas thought it could go at it alone.
[01:17:20.305 --> 01:17:23.167]  And built a system that ignored climate change.
[01:17:23.167 --> 01:17:25.188]  It was not what's called resilient.
[01:17:25.188 --> 01:17:27.229]  And now Texas is paying the price.
[01:17:27.229 --> 01:17:28.510]  I hope they learn the lesson.
