[00:00:04.091 --> 00:00:15.416]  I'm watching the midterms.
[01:09:31.098 --> 01:09:31.759]  That's the symbol.
[01:09:33.203 --> 01:09:34.504]  And I think it's a very beautiful symbol.
[01:09:34.504 --> 01:09:35.966]  I mean, look at that.
[01:09:35.966 --> 01:09:38.688]  That angel wings, the standard.
[01:09:38.688 --> 01:09:40.550]  It's like a Roman standard, but it's an angel.
[01:09:40.550 --> 01:09:41.591]  And then you've got the dagger.
[01:09:41.591 --> 01:09:44.074]  You've got what the enemy threatens us with.
[01:09:44.074 --> 01:09:46.196]  And the fact that death will come.
[01:09:46.196 --> 01:09:48.558]  The dagger is the angel of death.
[01:09:48.558 --> 01:09:56.025]  And the skull is just a very beautiful remnant of our experience in this dimension.
[01:09:56.025 --> 01:09:57.386]  And then you've got the transcendence.
[01:09:58.382 --> 01:10:00.223]  And so, that's what it is.
[01:10:00.223 --> 01:10:02.223]  The dagger is the angel of death.
[01:10:02.223 --> 01:10:05.044]  The skull represents humanity and our ancestors.
[01:10:05.044 --> 01:10:08.766]  And the wings, that we are connected to the eternal and are eternal.
[01:10:08.766 --> 01:10:09.926]  It's very beautiful.
[01:10:09.926 --> 01:10:10.486]  And you know what?
[01:10:10.486 --> 01:10:12.447]  I'm taking that as my symbol.
[01:10:12.447 --> 01:10:16.229]  The implore symbol is the skull and wings.
[01:10:16.229 --> 01:10:17.509]  That's our symbol.
[01:10:17.509 --> 01:10:20.730]  That's the symbol that the Holy Spirit tells me we're supposed to use.
[01:10:20.730 --> 01:10:22.171]  That is our symbol right there.
[01:10:23.268 --> 01:10:24.829]  And that's what we stand for.
[01:10:24.829 --> 01:10:26.529]  That's who we are.
[01:10:26.529 --> 01:10:28.050]  We know there's an angel of death.
[01:10:28.050 --> 01:10:29.551]  We know death's coming.
[01:10:29.551 --> 01:10:35.554]  But we live through our ancestors and through our progeny in this dimension and we are eternal on the other planes.
[01:10:35.554 --> 01:10:44.538]  And the enemy hates that because they know that's the truth and they want to try to bind us and enslave us and not let us realize who we really are.
[01:10:44.538 --> 01:10:49.760]  And Reset Wars is all about exposing that and fighting that and saying no to that.
[01:10:51.616 --> 01:10:54.758]  Okay, I've got some written house news here.
[01:10:54.758 --> 01:10:57.520]  It's important, but I'm just going to say this again.
[01:10:57.520 --> 01:11:20.217]  If it sinks in that we have world government, if it sinks in that it wants to kill us, if it sinks in that Pfizer, through the UN and a consortium of banks, got governments in an emergency that they staged with Bill Gates and Fauci to give them power secretly over all of our governments, to not just indemnify them, but sign over
[01:11:21.772 --> 01:11:32.280]  The National Parks and Military bases to them and have the government sign on under a secret emergency declaration of martial law, that they have a medical tyranny.
[01:11:32.280 --> 01:11:36.243]  And that's why whatever Pfizer says they want is then done.
[01:11:36.243 --> 01:11:39.105]  And whatever Bill Gates says is done.
[01:11:39.105 --> 01:11:40.186]  Like it was carved in stone.
[01:11:48.737 --> 01:11:50.518]  And so that's the big issue.
[01:11:50.518 --> 01:11:51.518]  Everything else flows from that.
[01:11:51.518 --> 01:11:52.678]  We are under a coup.
[01:11:52.678 --> 01:11:53.899]  It's not the Chinese.
[01:11:53.899 --> 01:11:55.419]  It's not the Russians.
[01:11:55.419 --> 01:11:58.260]  It's the Hollywood, basically.
[01:11:58.260 --> 01:12:10.363]  The anti-Christian, globalist, materialistic, French Revolution 2.0, Bolshevik Revolution 2.0, absolute cancer.
[01:12:14.212 --> 01:12:23.820]  That's really what it comes down to, and I'm just going to be hammering this and hammering this and hammering this, and I know why the other leaders don't do it, because you do this, they come after you, but you got to do this.
[01:12:23.820 --> 01:12:25.542]  You got to do this, don't you?
[01:12:25.542 --> 01:12:31.587]  So, let's get to the Rittenhouse thing.
[01:12:31.587 --> 01:12:33.068]  We know jurors are getting threatened.
[01:12:33.068 --> 01:12:34.290]  It's all over the news.
[01:12:34.290 --> 01:12:36.051]  There's all over online.
[01:12:36.051 --> 01:12:40.255]  The media is trying to out who they are, MSNBC is, because they're a terrorist organization.
[01:12:41.534 --> 01:12:46.676]  So that they can be terrorized, and a lot of people are cowards, and go ahead and convict Rittenhouse.
[01:12:46.676 --> 01:12:48.177]  It's not a good sign for Rittenhouse.
[01:12:48.177 --> 01:12:50.018]  I mean, you look at it, you think he should be found not guilty.
[01:12:50.018 --> 01:12:53.079]  The fact they've been deliberating now for a couple days is not good.
[01:12:53.079 --> 01:12:54.320]  Not good.
[01:12:54.320 --> 01:12:57.461]  It means they got people on that jury that are SJWs.
[01:12:57.461 --> 01:12:58.602]  And they want to send Kyle to prison.
[01:13:00.270 --> 01:13:03.933]  That's going to get overturned on appeal because they cheated so much to do this, but it's amazing.
[01:13:03.933 --> 01:13:08.316]  So the judge, the police caught MSNBC following them to their houses.
[01:13:08.316 --> 01:13:12.460]  And the guy that got arrested by the police said, hey, I was told to do this.
[01:13:12.460 --> 01:13:15.182]  Well, that's OK then, you know, just following orders.
[01:13:15.182 --> 01:13:16.683]  And so now they're barred from the courthouse.
[01:13:16.683 --> 01:13:21.787]  Here it is.
[01:13:21.787 --> 01:13:29.433]  A person who identified himself as James G. Morrison and who claimed that he was a producer with NBC News.
[01:13:31.044 --> 01:13:41.770]  Employed for MSNBC and under the supervision of a person.
[01:13:41.770 --> 01:13:44.452]  What's going on?
[01:13:44.452 --> 01:13:46.073]  Oh, okay.
[01:13:46.073 --> 01:13:49.355]  Under the supervision of someone named Irene Bayan in New York.
[01:13:50.858 --> 01:14:11.977]  For MSNBC, the police, when they stopped him because he was following in the distance of about a block and went through a red light, pulled him over and inquired of him what was going on and he gave that information and stated that he had been instructed by Ms.
[01:14:11.977 --> 01:14:16.842]  Bayan in New York to follow the jury bus
[01:14:18.864 --> 01:14:23.887]  The matter is under further investigation at this point.
[01:14:23.887 --> 01:14:26.609]  And the media has asked questions about it.
[01:14:26.609 --> 01:14:31.672]  That's the latest I have.
[01:14:31.672 --> 01:14:37.475]  And he was ticketed for violating a traffic control signal.
[01:14:37.475 --> 01:14:40.437]  He's not here today from what I'm told.
[01:14:40.437 --> 01:14:47.401]  And I have instructed that no one from MSNBC News will be permitted in this building.
[01:14:48.342 --> 01:14:50.743]  For the duration of this trial.
[01:14:50.743 --> 01:15:13.517]  This is a very serious matter and I don't know what the ultimate truth of it is, but absolutely it would go without much thinking that someone who is following the jury bust, that is a very, extremely serious matter.
[01:15:13.517 --> 01:15:17.500]  And he's going on to say what the whole media is doing is extremely scary yesterday.
[01:15:18.744 --> 01:15:29.054]  Uh, and again, the President of the United States said Rittenhouse is a white supremacist because he didn't want them burning down his dad's house and business.
[01:15:29.054 --> 01:15:35.140]  You have an instinct to, hey, people are trying to burn down my dad's business and burn, you know, they're burning stuff down two blocks from my dad's house.
[01:15:35.140 --> 01:15:40.105]  I'm gonna, I'm gonna, I'm gonna drive 20 miles to my dad's house from my mom's house and I'm gonna try to help people.
[01:15:40.105 --> 01:15:41.386]  Oh, well you don't do that!
[01:15:41.386 --> 01:15:42.768]  You're not a convicted pedophile!
[01:15:43.991 --> 01:15:47.393]  Running around screaming the n-word everywhere and attacking people and burning up.
[01:15:47.393 --> 01:15:48.474]  Listen, you're a bad man.
[01:15:48.474 --> 01:15:50.234]  You're going to president.
[01:15:50.234 --> 01:15:57.879]  We're going to have some candy-ass George Soros lawyer try to put you there.
[01:15:57.879 --> 01:16:05.103]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[01:16:05.103 --> 01:16:11.046]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[01:16:11.046 --> 01:16:12.447]  Horrible crashes and
[01:16:13.996 --> 01:16:16.279]  Again, so many toxins in them.
[01:16:16.279 --> 01:16:28.373]  All of the nootropic products that we sell at mfoilworkstore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[01:16:28.373 --> 01:16:31.376]  And right now, our strongest product, the three nootropics we have,
[01:16:32.372 --> 01:16:41.041]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at MFootworkstore.com.
[01:16:41.041 --> 01:16:44.484]  TurboForce has been sold out for more than six months.
[01:16:44.484 --> 01:16:46.506]  It's back in stock with free shipping, 40% off.
[01:16:46.506 --> 01:16:46.667]  It is
[01:16:48.809 --> 01:16:52.334]  10 hours of clean energy.
[01:16:52.334 --> 01:16:54.498]  Clean energy without the big crash.
[01:16:54.498 --> 01:16:57.883]  And it's available right now and it funds the InfoWar, a 360 win.
[01:16:57.883 --> 01:17:03.111]  Climb to the top of the food chain with Alpha Power by InfoWar's Life.
[01:17:03.852 --> 01:17:08.015]  For those who want to increase testosterone and energy levels.
[01:17:08.015 --> 01:17:16.060]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[01:17:16.060 --> 01:17:23.204]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[01:17:23.204 --> 01:17:28.388]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[01:17:29.048 --> 01:17:47.315]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia, maca root from Peru, horny goatweed from China, and tribulus from India.
[01:17:48.155 --> 01:17:52.259]  Reach your alpha male potential with Alpha Power.
[01:17:52.259 --> 01:17:57.104]  Head to infowarslife.com and secure your bottle today.
[01:17:57.104 --> 01:18:02.710]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[01:18:03.050 --> 01:18:04.111]  Alpha Power.
[01:18:04.111 --> 01:18:07.553]  As you age, your body can lose testosterone over time.
[01:18:07.553 --> 01:18:16.480]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and gluten that comes with time and age.
[01:18:16.480 --> 01:18:24.566]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease, while encouraging hormonal balance.
[01:18:25.246 --> 01:18:30.649]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[01:18:30.649 --> 01:18:37.913]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[01:18:37.913 --> 01:18:41.575]  Let Alpha Power help bring you to the peak of your optimal health.
[01:18:41.575 --> 01:18:44.617]  Don't fall short on energy in the fight against tyranny.
[01:18:44.617 --> 01:18:48.679]  Show the world what a True Alpha Male looks like today with Alpha Power.
[01:18:48.679 --> 01:18:51.181]  Head to InfoWarsStore.com today!
[01:18:57.935 --> 01:19:05.657]  The globalists are bombarding us with propaganda, and with spiritual warfare, and with poisons and chemicals added to the foods.
[01:19:05.657 --> 01:19:07.177]  It's all come out.
[01:19:07.177 --> 01:19:13.958]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[01:19:13.958 --> 01:19:17.179]  And the social engineers fear that so much.
[01:19:17.179 --> 01:19:22.940]  So that's why I repeat that famous internet saying that nobody knows who first came up with it, but boy, is it true.
[01:19:24.870 --> 01:19:30.672]  The propaganda would not be necessary if the situation was hopeless.
[01:19:30.672 --> 01:19:42.897]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[01:19:43.437 --> 01:19:47.338]  And that's why it's so important that everybody keep Infowars in the air now more than ever.
[01:19:47.338 --> 01:19:53.060]  Because even if you don't believe in God, what the globalists are manifesting and setting up is satanic.
[01:19:53.060 --> 01:20:01.143]  And we are opposing the One World Government and the Mark of the Beast they just announced.
[01:20:01.143 --> 01:20:03.783]  You're listening to the Alex Jones Show.
[01:20:41.930 --> 01:20:52.356]  Good ol' Waylon Jennings, bringin' us in!
[01:20:52.356 --> 01:20:54.557]  No, they're not gonna catch me.
[01:20:54.557 --> 01:20:56.238]  Not gonna catch me.
[01:20:56.238 --> 01:21:09.587]  The Midnight Rider.
[01:21:09.587 --> 01:21:10.087]  Alright, folks.
[01:21:11.714 --> 01:21:16.307]  Cernovich is going to be in here, middle of the next segment, run a little bit late, but with us for about an hour and a half.
[01:21:16.307 --> 01:21:19.034]  Tim Poole is going to be in studio with us as well.
[01:21:22.588 --> 01:21:23.488]  Let me just say this.
[01:21:23.488 --> 01:21:29.831]  I want to thank the listeners who have been supporting us over the years, buying the products, spreading the word.
[01:21:29.831 --> 01:21:32.652]  Really, you've helped forge the tip of the spear in the fight.
[01:21:32.652 --> 01:21:33.792]  And it's not about bragging.
[01:21:33.792 --> 01:21:40.235]  It's about recognizing your accomplishments and our accomplishments and this crew's accomplishments and what we've done here.
[01:21:40.235 --> 01:21:42.936]  So we've definitely given the globalists a room with their money.
[01:21:42.936 --> 01:21:45.297]  They're in a lot of trouble because of us.
[01:21:45.297 --> 01:21:49.378]  They actually would like to kill me, obviously, but they don't want to turn me into a martyr.
[01:21:49.378 --> 01:21:50.259]  But they're thinking about it.
[01:21:51.334 --> 01:21:55.116]  And so this is a very historic time to be alive right now.
[01:21:55.116 --> 01:21:58.218]  And we need to stay on air.
[01:21:58.218 --> 01:22:13.526]  And they have had the Democratic Party funded groups, the same law firm that sued Remington into bankruptcy, the oldest gun company in America that mainly supplies our military, bankrupted them with their suits and the kangaroo courts and everything.
[01:22:13.526 --> 01:22:15.187]  That's what they do.
[01:22:15.187 --> 01:22:19.730]  When they know how to pick the court and the people and that's how you railroad the country to hell.
[01:22:21.144 --> 01:22:38.169]  So I'm very honored to have the worst snakes in this country coming after me, and then wrapping themselves, you know, in the identity of dead children, trying to then silence the First Amendment in that process.
[01:22:38.169 --> 01:22:47.671]  And of course they couldn't have a jury trial, because we'd actually show what really went on and what we really said, and they know we'd convince a jury.
[01:22:47.671 --> 01:22:50.652]  They know that a jury
[01:22:51.932 --> 01:23:01.138]  Guaranteed, at least a minority of them, would think it was the First Amendment right to ask questions, and that what they'd said I'd done, I didn't do.
[01:23:01.138 --> 01:23:12.446]  And so, in the depositions and all the rest of it, we never got to depose anybody in Texas, they just got to depose us for years and get all our documents and everything and then say, you know, we gave them nothing, we got nothing from them.
[01:23:12.446 --> 01:23:15.929]  We were starting to get around to that though, and they couldn't have that.
[01:23:17.898 --> 01:23:26.123]  And so now the judge is saying, no, you don't get to depose anybody, but we're going to keep deposing you because you're defaulted.
[01:23:26.123 --> 01:23:26.484]  Oh, really?
[01:23:26.484 --> 01:23:27.084]  I'm defaulted.
[01:23:27.084 --> 01:23:29.946]  I don't have any rights, but you can keep harassing me.
[01:23:29.946 --> 01:23:32.127]  And then a jury will decide how guilty we are.
[01:23:32.127 --> 01:23:35.790]  And they hope to get a big enough judgment to try to shut InfoWars down.
[01:23:35.790 --> 01:23:39.132]  And that's their admitted goal.
[01:23:39.132 --> 01:23:44.375]  That's what these people have said to our faces.
[01:23:44.375 --> 01:23:46.557]  And so understand that
[01:23:48.092 --> 01:23:51.313]  I'm not a gun manufacturing company.
[01:23:51.313 --> 01:23:58.154]  You see, I've got a voice and I've got a right to speech even if people say I don't and they're not going to shut anything down.
[01:23:58.154 --> 01:24:10.837]  In fact, I pledged that I'm launching two new shows that I will do religiously and I'm going to write books and I'm making films as you've already seen again and launching a bunch of big projects.
[01:24:10.837 --> 01:24:12.417]  Not because these people are attacking me.
[01:24:13.274 --> 01:24:23.740]  But because it's what I'm supposed to do in this historic time, evidenced by the whole system pulling out the stops and erasing due process and doing all this horrible stuff to try to put us under the jail.
[01:24:23.740 --> 01:24:33.745]  I mean, Owen Schroyer went with us to the Capitol, tried to stop what was happening, and they did federal filing saying he broke barricades and attacked people, even though we have all the video of the opposite.
[01:24:33.745 --> 01:24:37.607]  So, Owen needs your prayers more than I do.
[01:24:40.367 --> 01:24:43.450]  But they've been trying to indict us for January 6th and a bunch of other stuff.
[01:24:43.450 --> 01:24:53.199]  They just think, well, we've got Jones trying to stop it and we've got, you know, we've got all his records and, you know, such and such and we've subpoenaed everything and Jones didn't do anything.
[01:24:53.199 --> 01:24:55.501]  Everything Jones says is true.
[01:24:55.501 --> 01:24:56.222]  So what do we do?
[01:24:56.222 --> 01:25:01.066]  Well, let's just indict his co-host.
[01:25:01.066 --> 01:25:03.949]  So this is just next level.
[01:25:05.529 --> 01:25:06.890]  And so I want to explain something.
[01:25:06.890 --> 01:25:12.713]  We have six trials currently with all the different lawsuits, the Sandy Hook, the Virginia thing, all of that.
[01:25:12.713 --> 01:25:20.516]  That all starts in March of next year, in four months, and runs all the way into September in Connecticut.
[01:25:20.516 --> 01:25:25.059]  It'll be on TV, Three Ring Circus, HBO, all of them, televised.
[01:25:25.939 --> 01:25:28.561]  And if I don't show up when subpoenaed, they'll put me in jail.
[01:25:28.561 --> 01:25:33.845]  So I've got to come in there and be pilloried and attacked and lied about and not be able to defend myself.
[01:25:33.845 --> 01:25:36.426]  And you know, I mean, the whole thing's rigged.
[01:25:36.426 --> 01:25:38.128]  That's OK.
[01:25:38.128 --> 01:25:47.514]  Because they expected us to either declare bankruptcy years ago or just go away or not show up to this thing.
[01:25:47.514 --> 01:25:51.517]  That's why they had to do the default, because they can't actually face us where we have a Bill of Rights and Constitution.
[01:25:51.517 --> 01:25:52.258]  They'll lose for sure.
[01:25:53.594 --> 01:25:56.575]  By the way, they know we did focus groups in Texas and Connecticut.
[01:25:56.575 --> 01:26:07.679]  They know that the focus groups when shown this, all multiple ones per state, found that I was absolutely within my rights and that they actually got mad at the lawyers and the families.
[01:26:07.679 --> 01:26:13.821]  The focus groups did when they learned that they'd already gotten hundreds of millions of dollars in Bloomberg and all this stuff and the types of charities.
[01:26:13.821 --> 01:26:15.621]  And so they can't do that.
[01:26:15.621 --> 01:26:17.002]  This is just the Democratic Party.
[01:26:18.027 --> 01:26:26.033]  Wrapping themselves in these sad little dead children, and then mad at me that I questioned a public event that had major anomalies.
[01:26:26.033 --> 01:26:28.915]  I mean, most of these big events turned out to be fake.
[01:26:28.915 --> 01:26:34.519]  Like Jesse Smollett, or the Roe v. Wade baby wasn't killed, or Gulf of Tonkin.
[01:26:37.463 --> 01:26:43.909]  It has cost us millions and millions of dollars to fight these, and going to trial is very, very, very expensive.
[01:26:43.909 --> 01:26:52.858]  I mean, just my custody battle with my ex-wife five years ago that was all over the news, had over 100 reporters at it at any one time, that cost me $300,000.
[01:26:55.242 --> 01:26:57.584]  And I mean, I had basically no money in the bank after that.
[01:26:57.584 --> 01:27:00.586]  I'm not complaining, it's just that we need money to operate here.
[01:27:00.586 --> 01:27:04.990]  And so it's going to cost millions of dollars to fight six lawsuits.
[01:27:04.990 --> 01:27:09.173]  Oh yeah, there's four Sandy Hook ones and then two others.
[01:27:09.173 --> 01:27:17.459]  And they're just going to have circus trial after circus trial after circus trial to just bring up dead kids by hijacking the narrative of Alex Jones.
[01:27:17.459 --> 01:27:24.785]  They attach to me, the gun control lobbies attach to us, and then claim we're attached to them and that we're getting famous and getting money off them when it's the opposite.
[01:27:25.225 --> 01:27:27.887]  So it's an inversion of reality yet again.
[01:27:27.887 --> 01:27:32.690]  So, we raised one twentieth of the money I want to raise, and that's great.
[01:27:32.690 --> 01:27:40.276]  I want to thank folks that gave $102,000 at GiveSendGo, who are patriots.
[01:27:40.276 --> 01:27:45.560]  And if you want to raise money for whatever it is you're doing, and you're a conservative or Christian, and you've been discriminated against,
[01:27:46.741 --> 01:27:50.922]  And you've not been able to, you know, go out and raise money?
[01:27:50.922 --> 01:27:52.622]  Hey, GiveSendGo's got a great community.
[01:27:52.622 --> 01:27:53.762]  We should all go there.
[01:27:53.762 --> 01:27:55.323]  We should all support each other there.
[01:27:55.323 --> 01:27:56.863]  There's real power in that.
[01:27:56.863 --> 01:27:58.703]  So GiveSendGo is there.
[01:27:58.703 --> 01:27:59.463]  We've raised $102,000.
[01:27:59.463 --> 01:28:02.404]  That's 5% of our goal.
[01:28:02.404 --> 01:28:04.224]  Sounds like a lot of money.
[01:28:04.224 --> 01:28:11.826]  Except it's not when you actually have to put on a real defense and you have to go through all this stuff and you have to be there because they want to
[01:28:13.169 --> 01:28:23.399]  Scapegoat the American people and scapegoat gun owners for what happened to those children, and then use that against our Second Amendment and our First Amendment, they admit to get rid of free speech.
[01:28:23.399 --> 01:28:34.150]  They're on MSNBC saying, once we've gotten Alex Jones, we're going to get Tucker Carlson and everybody else with this model of defaults, where they have a judge that works for them, they go in, and then they just stage a fake trial and they get big judgments.
[01:28:35.457 --> 01:28:36.618]  And so it's very, very dangerous.
[01:28:36.618 --> 01:28:38.840]  So please go to SaveInfoWars.com.
[01:28:38.840 --> 01:28:41.041]  Just one word, SaveInfoWars.com.
[01:28:41.041 --> 01:28:44.043]  And help us get soon to our goal of $2 million.
[01:28:44.043 --> 01:28:47.165]  Because that's what we need to be able to fight this and go through this.
[01:28:47.165 --> 01:28:51.268]  And if you want to keep us on air and not have us just roll over these people, we need your support.
[01:28:51.268 --> 01:28:52.829]  And so this is very historic.
[01:28:52.829 --> 01:28:54.330]  SaveInfoWars.com.
[01:28:54.330 --> 01:28:55.351]  And I thank you all for your support.
[01:28:56.587 --> 01:29:00.449]  So many people say to me, Alex, InfoWars, get prepared.
[01:29:00.449 --> 01:29:05.651]  Mega blowout sale 2021 is live right now.
[01:29:05.651 --> 01:29:07.672]  The biggest sale of the year.
[01:29:07.672 --> 01:29:15.195]  Free shipping storewide, double Patriot points and products like Turbo Force 10 hour clean energy.
[01:29:15.195 --> 01:29:20.657]  A listener favorite back in stock 40% off again with free shipping, double Patriot points.
[01:29:21.417 --> 01:29:28.687]  On top of that, we also have DNA Force Plus with the PQQ, the Coke U10 to clean out your cells, to boost your immune system.
[01:29:28.687 --> 01:29:30.930]  It's the Rolls Royce of this.
[01:29:30.930 --> 01:29:32.092]  It's 40% off.
[01:29:32.092 --> 01:29:36.438]  And now we have Super Coral Calcium Toothpaste.
[01:29:37.399 --> 01:29:46.888]  Similar to our previous Coral Biting Toothpaste, but even stronger, even more concentrated, it's now back in stock and discounted with free shipping at InfoWarStore.com.
[01:29:46.888 --> 01:29:55.237]  So many great products available at InfoWarStore.com, so please take advantage of these great products that enrich your life and fund the InfoWar.
[01:29:55.237 --> 01:29:56.278]  InfoWarStore.com.
[01:29:59.056 --> 01:30:06.307]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[01:30:06.307 --> 01:30:12.256]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[01:30:12.256 --> 01:30:13.658]  Horrible crashes and
[01:30:15.191 --> 01:30:17.474]  Again, so many toxins in them.
[01:30:17.474 --> 01:30:29.486]  All of the nootropic products that we sell at mfoldworkstore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[01:30:29.486 --> 01:30:32.470]  And right now, our strongest product, the three nootropics we have,
[01:30:33.482 --> 01:30:42.148]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at MFootworkstore.com.
[01:30:42.148 --> 01:30:45.591]  TurboForce has been sold out for more than six months.
[01:30:45.591 --> 01:30:47.632]  It's back in stock with free shipping, 40% off.
[01:30:47.632 --> 01:30:48.272]  It is 10 hours of clean energy.
[01:30:53.436 --> 01:30:59.180]  Clean energy without the big crash and it's available right now and it funds the InfoWar, a 360 win.
[01:30:59.180 --> 01:31:13.690]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[01:31:14.530 --> 01:31:19.695]  It is the symbol of the permanent emergency from which we will never emerge.
[01:31:19.695 --> 01:31:27.941]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[01:31:27.941 --> 01:31:36.128]  It is the symbol of our complete and total absolute surrender to evil.
[01:31:36.128 --> 01:31:36.909]  Ladies and gentlemen,
[01:31:37.901 --> 01:31:40.703]  We are crossing the Rubicon now.
[01:31:40.703 --> 01:31:43.965]  The entire future destiny of humanity is upon us.
[01:31:43.965 --> 01:31:50.308]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[01:31:50.308 --> 01:31:52.570]  Things only get worse from here if we submit.
[01:31:52.570 --> 01:31:55.952]  They only get better if we resist and say no.
[01:31:55.952 --> 01:31:58.133]  Noncompliance, noncompliance, noncompliance.
[01:31:58.513 --> 01:32:14.767]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[01:32:14.767 --> 01:32:18.431]  Now, ladies and gentlemen, storable food has always been something that's important to have.
[01:32:18.431 --> 01:32:25.137]  It's a checkbox that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[01:32:25.737 --> 01:32:29.819]  But now more than ever, you need to get your storable food orders in now.
[01:32:29.819 --> 01:32:32.560]  We're ready to ship to you within 24 hours of your order.
[01:32:32.560 --> 01:32:33.380]  It's high quality.
[01:32:33.380 --> 01:32:36.581]  It's very, very low cost at infowarestore.com.
[01:32:36.581 --> 01:32:43.964]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[01:32:43.964 --> 01:32:47.886]  So lock in your storable food now at a lower price and fund the info war.
[01:32:48.486 --> 01:32:50.489]  You're listening to the Alex Jones Show!
[01:33:11.286 --> 01:33:14.089]  There are, of course, those who do not want us to speak.
[01:33:14.089 --> 01:33:15.251]  Let me think, just let me think.
[01:33:15.251 --> 01:33:20.837]  In fact, even now, orders are being shouted into telephones and men with guns will certainly be on their way.
[01:33:20.837 --> 01:33:22.179]  It's Chancellor Sutcliffe.
[01:33:22.179 --> 01:33:22.779]  Damn it!
[01:33:22.779 --> 01:33:23.921]  Why?
[01:33:23.921 --> 01:33:26.644]  Because while the truncheon may be used in lieu of conversation,
[01:33:30.510 --> 01:33:36.474]  Words offer the means to meaning, and for those who will listen, the enunciation of the truth, sir.
[01:33:36.474 --> 01:33:41.297]  The truth is, there is something terribly wrong with this country, isn't there?
[01:33:41.297 --> 01:33:42.338]  You designed it, sir.
[01:33:42.338 --> 01:33:43.259]  You wanted it foolproof.
[01:33:43.259 --> 01:33:44.940]  You taught me every television in London!
[01:33:44.940 --> 01:33:45.520]  Cruelty.
[01:33:45.900 --> 01:33:59.692]  And where once you had the freedom to object, to think and speak as you saw fit, you now have sensors and systems of surveillance coercing your conformity and surveillance.
[01:33:59.692 --> 01:34:00.973]  How did this happen?
[01:34:00.973 --> 01:34:02.254]  Who's to blame?
[01:34:02.254 --> 01:34:05.937]  Well certainly there are those who are more responsible than others.
[01:34:05.937 --> 01:34:07.438]  They will be held accountable.
[01:34:07.438 --> 01:34:13.343]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[01:34:14.537 --> 01:34:16.018]  I know why you did it.
[01:34:16.018 --> 01:34:17.999]  I know you were afraid.
[01:34:17.999 --> 01:34:19.240]  Who wouldn't be?
[01:34:19.240 --> 01:34:20.000]  War?
[01:34:20.000 --> 01:34:20.621]  Terror?
[01:34:20.621 --> 01:34:21.962]  Disease?
[01:34:21.962 --> 01:34:28.386]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:34:28.386 --> 01:34:34.430]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[01:34:34.430 --> 01:34:40.994]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[01:34:47.864 --> 01:34:49.346]  There is a war.
[01:34:49.346 --> 01:34:51.189]  It's happening now.
[01:34:51.189 --> 01:34:53.592]  It will decide the fate of humanity.
[01:34:53.592 --> 01:34:56.196]  The time to choose sides has come.
[01:34:56.196 --> 01:34:58.079]  We are the resistance.
[01:34:58.079 --> 01:34:59.681]  We are the InfoWar.
[01:35:06.462 --> 01:35:08.745]  You know what Mark Zuckerberg's doing?
[01:35:08.745 --> 01:35:23.963]  It came out more than five years ago in his own company documents when whistleblowers warned the world that he was trying to isolate people to be only on Facebook and to be depressed and alone so that avatars or fake computer identities would be their only friends.
[01:35:24.383 --> 01:35:27.665]  Thus taking full control of the user's mind.
