[00:00:13.951 --> 00:00:15.532]  I'm watching the midterms.
[00:41:14.216 --> 00:41:18.018]  But then when things are so horrible, it'll be even more precious.
[00:41:18.018 --> 00:41:26.263]  There'll be underground churches just full of people watching every bit of this, and just realizing how wrong they were, and how it was long-term total control.
[00:41:26.263 --> 00:41:28.045]  There'll be billions dead by then.
[00:41:28.045 --> 00:41:30.326]  But then that's how we form the resistance, then, and defeat them.
[00:41:30.766 --> 00:41:32.608]  This has all been a long-term process, folks.
[00:41:32.608 --> 00:41:33.989]  We knew this was coming.
[00:41:33.989 --> 00:41:38.432]  And most of us fighting now won't be here for the victory, but we will win in the end.
[00:41:38.432 --> 00:41:39.673]  But they're going to kill billions of people.
[00:41:39.673 --> 00:41:42.635]  A lot of your friends and neighbors are going to be dead soon from the injections.
[00:41:42.635 --> 00:41:44.317]  I'm sorry to have to tell them.
[00:41:44.317 --> 00:41:45.398]  And I'm not trying to be dramatic.
[00:41:45.398 --> 00:41:46.679]  I mean, this is real, okay?
[00:41:46.679 --> 00:41:47.960]  This is happening.
[00:41:47.960 --> 00:41:48.600]  You know it is.
[00:41:48.600 --> 00:41:49.721]  You've seen the facts.
[00:41:49.721 --> 00:41:51.682]  It's very, very sad.
[00:41:51.682 --> 00:41:55.285]  So everyone needs to get your underground libraries ready now.
[00:41:55.285 --> 00:41:57.407]  Dark secrets inside Bohemian Grove.
[00:41:57.407 --> 00:41:58.528]  The order of death.
[00:41:59.830 --> 00:42:12.736]  And the Dark Cities of Bohemian Grove film, those two DVDs, or one DVD with two films, is free when you get Cub and Land Part 2, The Mask.
[00:42:12.736 --> 00:42:16.378]  So again, ladies and gentlemen, Infowarstore.com or 888-253-3139.
[00:42:16.378 --> 00:42:18.579]  This is an absolute must-have for Christmas.
[00:42:25.566 --> 00:42:29.550]  I know it's a very dark time and a very dark Christmas, but we've got to be the light in the world.
[00:42:29.550 --> 00:42:31.071]  And this is the truth about what's going on.
[00:42:31.071 --> 00:42:32.052]  So I would get the films.
[00:42:32.935 --> 00:42:33.956]  Let's go ahead and take another call.
[00:43:02.419 --> 00:43:07.821]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[00:43:07.821 --> 00:43:08.921]  The communists!
[00:43:08.921 --> 00:43:21.545]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee, and yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune, and whatever.
[00:43:21.545 --> 00:43:30.608]  The point is, is that it's good coffee, and we've got it, and the farmers don't let the Mexican government take over, so I actually buy this from the Mexican rebels, and I've been buying it for, what, 14 years, and the price has never gone up.
[00:43:31.288 --> 00:43:31.988]  It's InfoWarsStore.com
[00:44:01.142 --> 00:44:08.574]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[00:44:08.574 --> 00:44:15.705]  But if you look at all the different studies and reports about NASA and other governments and other agencies, they all disagree on what's really happening to the climate.
[00:44:16.483 --> 00:44:22.029]  The only constant, the only great truth is change is the only constant.
[00:44:22.029 --> 00:44:24.792]  So yes, climate change is totally real.
[00:44:24.792 --> 00:44:31.799]  But notice first they called it global freezing back in the 70s and 80s and then it's gonna be global warming and that didn't really happen the way they wanted it to.
[00:44:31.799 --> 00:44:33.721]  Okay, now it's just climate change.
[00:44:33.721 --> 00:44:35.723]  But did you know that man-made climate change
[00:44:36.523 --> 00:44:43.086]  ...is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN.
[00:44:43.086 --> 00:44:46.168]  They have weather control treaties from 1979.
[00:44:46.168 --> 00:44:50.090]  Bill Gates has been manipulating the weather for a very long time.
[00:44:50.090 --> 00:44:56.753]  In fact, back in 1994, two scientists won a Nobel Prize for spreading different particles out of jet engines to control the weather.
[00:44:56.753 --> 00:44:58.514]  So yes, man-made climate change is real.
[00:45:00.014 --> 00:45:05.999]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[00:45:05.999 --> 00:45:10.142]  For those who want to increase testosterone and energy levels.
[00:45:10.142 --> 00:45:15.727]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[00:45:18.189 --> 00:45:25.356]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[00:45:25.356 --> 00:45:31.201]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[00:45:31.201 --> 00:45:39.909]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including
[00:45:40.649 --> 00:45:44.010]  Uricoma longifolia, originally from Malaysia.
[00:45:44.010 --> 00:45:45.750]  Macaru from Peru.
[00:45:45.750 --> 00:45:47.731]  Horny goatweed from China.
[00:45:47.731 --> 00:45:50.312]  And Tribulus from India.
[00:45:50.312 --> 00:45:54.393]  Reach your alpha male potential with Alpha Power.
[00:45:54.393 --> 00:45:59.174]  Head to InfoWarsLife.com and secure your bottle today.
[00:45:59.774 --> 00:46:03.999]  I am a worldly person, meaning I like going to ball games.
[00:46:03.999 --> 00:46:05.361]  I like going to concerts.
[00:46:05.361 --> 00:46:06.722]  I like going to play golf.
[00:46:06.722 --> 00:46:08.304]  I like going out to dinner.
[00:46:08.304 --> 00:46:10.446]  I like the metropolitan life.
[00:46:10.446 --> 00:46:12.469]  I like everything that comes with this.
[00:46:12.469 --> 00:46:20.698]  But see, I have the survival instinct that is to get the hell out of Democrat-run cities, get the hell out of major metropolitan areas.
[00:46:21.258 --> 00:46:24.781]  Because unless we change course soon, it's all crashing down.
[00:46:24.781 --> 00:46:26.602]  Is it time to just move out to the woods?
[00:46:26.602 --> 00:46:28.703]  Just time to go get a piece of property in the woods?
[00:46:28.703 --> 00:46:29.664]  Just get off grid?
[00:46:29.664 --> 00:46:31.125]  Just get the emergency food supplies?
[00:46:31.125 --> 00:46:32.226]  Just live off the land?
[00:46:32.226 --> 00:46:33.607]  That's the survival instinct.
[00:46:33.607 --> 00:46:38.510]  But see, the worldly part of me, that's still probably the majority part of me, says, no, no, no, no, no.
[00:46:38.510 --> 00:46:39.431]  Stay in the city.
[00:46:39.431 --> 00:46:44.435]  The survival instinct says, get the hell out of anywhere they've ever notioned that you need to get a vaccine or a mask.
[00:46:44.435 --> 00:46:49.018]  That's the internal struggle that, my guess is, a lot of you in the audience
[00:46:49.558 --> 00:47:05.258]  Are facing as well, but you can at least have some comfort if you have the emergency food supplies And so we have the best ones at InfoWarsStore.com Leading a frontal assault on the lies of the New World Order.
[00:47:05.258 --> 00:47:06.540]  It's Alex Jones
[00:47:18.141 --> 00:47:25.546]  CNN reports COVID-19 patients at their hospitals across the nation are dying in a way they've never seen.
[00:47:25.546 --> 00:47:26.346]  Funny!
[00:47:26.346 --> 00:47:29.188]  We said that would happen after you took your precious little shots.
[00:47:29.188 --> 00:47:43.317]  That's what the evidence showed and now it's happening but you're under Stockholm Syndrome and can't believe that the system at the top's evil run by Bill Gates who admits he wants you dead and you're still wearing your little mask even though you're getting ready to take your fourth shot, hospital workers.
[00:48:00.740 --> 00:48:05.324]  The mask has been used for millennia to subjugate the human spirit.
[00:48:05.324 --> 00:48:12.129]  It hides the endlessly changing expressions that allow us to express our emotions and empathize with one another.
[00:48:12.129 --> 00:48:16.113]  The mask becomes our only expression.
[00:48:16.113 --> 00:48:18.555]  It is fixed and unchanging.
[00:48:18.555 --> 00:48:20.156]  This is the purpose of the mask.
[00:48:20.156 --> 00:48:24.079]  To turn us into expressionless animals and submissive slaves.
[00:48:25.600 --> 00:48:31.325]  And get a free copy of my two films on Bohemian Grove, Dark Secrets Inside Bohemian Grove and The Order of Death.
[00:48:55.077 --> 00:48:56.298]  With your purchase of the film.
[00:48:56.298 --> 00:48:58.959]  And all we care about is you getting the film.
[00:48:58.959 --> 00:49:07.824]  It's authorized to make copies, burn CDs, and explain to people that these DVDs are forbidden, they are verboten, they are underground.
[00:49:07.824 --> 00:49:10.466]  And people will appreciate that more and watch it.
[00:49:10.466 --> 00:49:14.148]  And then tell them to make copies of the copies and share it as well.
[00:49:14.148 --> 00:49:17.790]  We got millions and millions and millions of films out.
[00:49:17.790 --> 00:49:21.652]  Copies of documentaries back during the age of the DVD.
[00:49:21.652 --> 00:49:24.194]  It had a huge effect with my underground films.
[00:49:25.342 --> 00:49:27.825]  And now as the censorship kicks in, it's more important than ever.
[00:49:27.825 --> 00:49:29.566]  I'm going to stop belaboring that now.
[00:49:29.566 --> 00:49:35.332]  Infowarstore.com.
[00:49:35.332 --> 00:49:40.737]  High budget film needs to be seen.
[00:49:40.737 --> 00:49:45.082]  Here is a doctor in Canada talking about the massive increases in miscarriages.
[00:49:47.621 --> 00:49:56.606]  Dr. Daniel Nagase, the very famous doctor who treated three of his patients with ivermectin and they survived.
[00:49:56.606 --> 00:50:01.749]  He is a hero for all Canadians right now and we are so very fortunate to have him here.
[00:50:01.749 --> 00:50:10.695]  Dr. Nagase, we noticed that you were creating some attention in North Vancouver a couple of days ago with these stillborn babies in the hospital there.
[00:50:10.695 --> 00:50:12.436]  Can you tell us a little bit about the outcome of that?
[00:50:14.773 --> 00:50:19.557]  From one of the local doctors in North Vancouver, Dr. Mel Bruchet.
[00:50:19.557 --> 00:50:22.239]  He has contacts all through Vancouver.
[00:50:22.239 --> 00:50:29.205]  And some doulas who work in Women and Children's Hospital, which isn't in North Vancouver, it's in Vancouver, Vancouver.
[00:50:29.205 --> 00:50:32.048]  It's one of the birthing centers for Vancouver.
[00:50:32.048 --> 00:50:36.151]  They had 13 stillbirths in a 24-hour period.
[00:50:36.151 --> 00:50:37.733]  That was what I heard.
[00:50:37.733 --> 00:50:41.976]  But the thing is, I've also heard a similar story out in Waterloo, Ontario.
[00:50:42.797 --> 00:50:51.788]  So in Waterloo, Ontario, I have a more reliable statistic that there was 86 stillbirths between January and July.
[00:50:52.774 --> 00:50:58.597]  And normally it's only five or six stillbirths every year.
[00:50:58.597 --> 00:51:03.139]  So about one stillbirth every two months is the usual rate.
[00:51:03.139 --> 00:51:10.143]  So to suddenly get to 86 stillbirths in six months, that's highly unusual.
[00:51:10.143 --> 00:51:13.385]  But the confirmation, the most important confirmation that we have
[00:51:14.455 --> 00:51:22.142]  From the Waterloo, Ontario report was that all of the 86 stillbirths were fully vaccinated.
[00:51:22.142 --> 00:51:24.824]  Fully vaccinated mothers.
[00:51:24.824 --> 00:51:25.805]  That's right.
[00:51:25.805 --> 00:51:27.367]  So we're seeing a correlation.
[00:51:27.367 --> 00:51:29.248]  We're seeing a correlation.
[00:51:29.248 --> 00:51:36.255]  And certainly when you see a correlation, then you have to start asking in the water in Waterloo, is there something
[00:51:36.835 --> 00:51:38.716]  You know, is there something in the air?
[00:51:38.716 --> 00:51:40.838]  Is there some toxin in the food supply?
[00:51:40.838 --> 00:52:02.712]  But when you see the same correlation in different parts of the country, in Vancouver, and then in Waterloo, and you see an increase in stillbirths, you have to ask yourself, what is going on that is both in Waterloo, Ontario, and Vancouver, BC, that is suddenly causing an increase in stillbirths?
[00:52:09.335 --> 00:52:14.640]  Alright, the full video is up on InfoWars.com in this article.
[00:52:14.640 --> 00:52:23.509]  Health Minister questioned about reported explosion in fully vaccinated mothers experiencing stillbirths at a massively increased rate.
[00:52:23.509 --> 00:52:26.492]  And she just says, nope, government says it's totally safe.
[00:52:26.492 --> 00:52:28.294]  Pregnant women should take these shots.
[00:52:28.294 --> 00:52:33.059]  Until about 10 years ago, every major government in the world said a pregnant woman should never take a vaccine.
[00:52:34.292 --> 00:52:37.875]  Because it can cause an autoimmune response and make the woman reject the baby.
[00:52:37.875 --> 00:52:39.756]  This isn't even a vaccine.
[00:52:39.756 --> 00:52:47.222]  And I know in animal studies with mRNA vaccines, it causes massive, massive rejections of the fetus.
[00:52:47.222 --> 00:52:54.648]  There's also studies out saying if you've had a liver transplant or kidney transplant recently, you don't want to take a vaccine because it'll make you reject it.
[00:52:54.648 --> 00:52:58.771]  This is like mainline known stuff, okay?
[00:52:58.771 --> 00:53:01.813]  Like mothers shouldn't drink, you know, bottles of Jack Daniels every night.
[00:53:01.813 --> 00:53:02.274]  You might get
[00:53:03.649 --> 00:53:07.371]  Fetal Infant Alcohol Syndrome.
[00:53:07.371 --> 00:53:09.852]  Or, hey, you might not want to shoot yourself in the head with a shotgun.
[00:53:09.852 --> 00:53:10.653]  It might kill you.
[00:53:10.653 --> 00:53:14.975]  This is known information.
[00:53:14.975 --> 00:53:16.736]  Here's some more of the headlines.
[00:53:16.736 --> 00:53:25.320]  Traveling nurses triple salaries as hospitals struggle with national staffing crisis.
[00:53:27.695 --> 00:53:30.076]  The hospitals are struggling.
[00:53:30.076 --> 00:53:35.060]  They're having to call the National Guard because they fired the uninjected.
[00:53:35.060 --> 00:53:39.603]  But it is true what CNN says, because I've looked at the actual numbers and called hospitals.
[00:53:39.603 --> 00:53:42.625]  They are full of people dying who are the vaccinated.
[00:53:42.625 --> 00:53:48.009]  And that's confirmed from Israel, to the UK, to the United States, to Canada, to Australia.
[00:53:48.009 --> 00:53:48.950]  I can play you.
[00:53:48.950 --> 00:53:50.591]  The Canadian health minister saying,
[00:53:51.320 --> 00:53:56.343]  We've got 74 people in the province here who have COVID.
[00:53:56.343 --> 00:53:57.404]  And 71... No, excuse me.
[00:53:57.404 --> 00:54:02.247]  It was only one wasn't vaccinated.
[00:54:02.247 --> 00:54:02.827]  I'm going for memory.
[00:54:02.827 --> 00:54:11.633]  The point was, they put out this big number, 70-something, and then only one wasn't vaccinated.
[00:54:11.633 --> 00:54:15.135]  And then almost everyone dying hasn't had the shots.
[00:54:15.135 --> 00:54:18.998]  I mean, it's just... It's mind-blowing.
[00:54:20.285 --> 00:54:23.666]  To see them on the news saying, if you've had the shot, you're protected.
[00:54:23.666 --> 00:54:26.886]  That's why people that don't have the shot are going to infect you.
[00:54:26.886 --> 00:54:29.007]  Immunity means your body knows how to beat it.
[00:54:29.007 --> 00:54:30.967]  It doesn't matter if somebody's got it next to you.
[00:54:30.967 --> 00:54:31.787]  That's 100%.
[00:54:31.787 --> 00:54:34.108]  That's facts.
[00:54:34.108 --> 00:54:34.868]  That's science.
[00:54:34.868 --> 00:54:37.409]  That's reality.
[00:54:37.409 --> 00:54:43.390]  COVID-19 patients at the hospital are dying at a rate we've never seen die before.
[00:54:43.390 --> 00:54:46.871]  And it's taking a toll on healthcare workers.
[00:54:46.871 --> 00:54:47.811]  But then you don't ask.
[00:54:48.604 --> 00:54:50.765]  I mean, even NPR did ask a few months ago.
[00:54:50.765 --> 00:54:56.629]  Record numbers of people dying of strange cold-like illness and they don't have COVID.
[00:54:56.629 --> 00:54:58.391]  Same thing in the UK.
[00:54:58.391 --> 00:55:00.912]  Super cold, killing record numbers.
[00:55:00.912 --> 00:55:03.354]  Twice as many as in hospital as last year.
[00:55:03.354 --> 00:55:04.675]  No one knows why.
[00:55:04.675 --> 00:55:12.400]  Gee, wonder why there's suddenly in every major city of the Western world increases in miscarriages.
[00:55:12.400 --> 00:55:14.381]  It's not a toxic waste dump in one town.
[00:55:14.381 --> 00:55:17.423]  It's not something fell out of the sky in one city.
[00:55:17.423 --> 00:55:18.324]  It's everywhere.
[00:55:21.169 --> 00:55:22.531]  And we know what it is.
[00:55:22.531 --> 00:55:28.062]  It's this injection that makes people create new viruses, that makes people create new variants.
[00:55:29.329 --> 00:55:33.132]  And that erases your immune system!
[00:55:33.132 --> 00:55:40.477]  That's why it's hard for me to even celebrate Smollett, you know, getting convicted, or Rittenhouse being acquitted, or any of this, because that's all important.
[00:55:40.477 --> 00:55:49.204]  But at the end of the day, folks, the entire thrust of the takeover is this medical tyranny, with the medical ID, for the medical social credit score, the carbon tax.
[00:55:49.204 --> 00:55:54.648]  And they get that in place, and it's going in place all over the world right now.
[00:55:54.648 --> 00:55:55.909]  We are now inside
[00:55:59.511 --> 00:56:00.251]  The mark of the beast.
[00:56:00.251 --> 00:56:06.174]  So have you ever wondered, how is the devil, how is this world government he runs, going to get everybody to do this?
[00:56:06.174 --> 00:56:07.455]  And now you know.
[00:56:07.455 --> 00:56:19.181]  Saying it's to stop a virus, saying it's to make you safe, and getting you to sign on, then you wear the mask, you take the shots, they go, sorry, you gotta take more.
[00:56:19.181 --> 00:56:24.844]  And again, on its face, it's not even what they say it is.
[00:56:24.844 --> 00:56:28.406]  All the experts that looked at it last year said, this is going to erase your immune system.
[00:56:29.778 --> 00:56:35.883]  And Pfizer's like, uh, yeah, that's the point.
[00:56:35.883 --> 00:56:43.108]  And now they think they're just going to get away with this by censoring everybody and shutting down people speaking about it.
[00:56:43.108 --> 00:56:46.490]  That's why this broadcast is a life and death situation.
[00:56:46.490 --> 00:56:50.293]  That's why keeping this on air as long as we possibly can is so important.
[00:56:50.293 --> 00:56:53.776]  And that's why your support and your prayers and your word of mouth is everything.
[00:56:54.574 --> 00:56:56.255]  You know, we're going to end up selling out of it this weekend.
[00:56:56.255 --> 00:56:57.516]  I want to thank everybody for their support.
[00:56:57.516 --> 00:57:03.241]  That'll really help us stay on air and launch some really new important initiatives that are going to reach millions of people.
[00:57:03.241 --> 00:57:07.325]  So thank you so much for your support at 1776coin.com.
[00:57:07.325 --> 00:57:09.606]  We've sold out of two-thirds of the coins.
[00:57:10.624 --> 00:57:19.246]  And it is an original silver round coin that has a substantive markup on it to pay for the operation.
[00:57:19.246 --> 00:57:24.807]  You'll be a founding member of the new systems we're going to be launching, and you will get exclusive content.
[00:57:24.807 --> 00:57:28.348]  So be sure and leave your email when you purchase the coin, and you won't be sad you did.
[00:57:28.348 --> 00:57:31.108]  But regardless, it's seed money to fund our operation.
[00:57:31.108 --> 00:57:32.289]  It's an amazing coin.
[00:57:32.289 --> 00:57:33.449]  Only 10,000 have been minted.
[00:57:33.849 --> 00:57:41.002]  There are only 3,400 left as of this morning, so if you want to have this historic coin, I'd order it now at 1776coin.com.
[00:57:41.002 --> 00:57:43.868]  We have it here, ready to ship to you now.
[00:57:43.868 --> 00:57:44.930]  1776coin.com.
[00:57:44.930 --> 00:57:45.330]  Stay with us.
[00:57:45.330 --> 00:57:45.831]  Hour number two.
[00:57:48.038 --> 00:57:54.565]  Alex Jones here with a very important announcement to all of our listeners, viewers, and supporters.
[00:57:54.565 --> 00:58:08.259]  We are attempting to develop and deploy systems that allow the American people, not just InfoWars, to get around corporate censors and get the truth out about the New World Order's agenda so we can stop it dead in its tracks.
[00:58:08.940 --> 00:58:22.135]  And so, when you visit 1776coin.com, you don't just have the opportunity to get an amazing, one-run, limited-edition silver coin minted right here in America with incredible historical artwork on it.
[00:58:22.135 --> 00:58:29.964]  You will also be funding a very serious, focused, information warfare operation against the New World Order.
[00:58:30.484 --> 00:58:38.127]  So I want to thank you all for your past support, and I want to encourage you now to not wait, to not procrastinate, and to go to 1776coin.com.
[00:58:38.127 --> 00:58:44.650]  I would imagine that we will sell out of this limited run of 10,000 coins in only a few weeks, maybe a few days.
[00:58:44.650 --> 00:58:50.772]  So secure your coin now at 1776coin.com.
[00:58:50.772 --> 00:58:54.213]  What are champions made of?
[00:58:54.213 --> 00:58:55.354]  Here's a man who can show you.
[00:59:01.917 --> 00:59:03.457]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline!
[00:59:03.457 --> 00:59:04.998]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline!
[00:59:04.998 --> 00:59:06.338]  AAA-253-3139 is the InfoWars store hotline!
[00:59:06.338 --> 00:59:07.979]  AAA-253-3139 is the InfoWars store- Wait!
[00:59:07.979 --> 00:59:09.179]  AAA-253-3139 is the InfoWars store hotline!
[00:59:09.179 --> 00:59:10.519]  AAA-253-3139 is the InfoWars store-
[00:59:28.124 --> 00:59:31.586]  InfoWarsStore.com is simply the best.
[00:59:31.586 --> 00:59:34.308]  InfoWarsStore.com beats out all the rest.
[00:59:34.308 --> 00:59:34.408]  888-253-3139.
[00:59:34.408 --> 00:59:34.488]  888-253-3139.
[00:59:34.488 --> 00:59:34.608]  888-253-3139.
[00:59:34.608 --> 00:59:36.229]  Use the InfoWarsStore hotline.
[00:59:36.229 --> 00:59:36.349]  888-253-3139.
[00:59:36.349 --> 00:59:36.469]  888-253-3139.
[00:59:36.469 --> 00:59:36.569]  888-253-3139.
[00:59:36.569 --> 00:59:37.710]  That's InfoWarsStore.com.
[00:59:37.710 --> 00:59:41.652]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:12.251 --> 01:00:15.273]  Here's what I'm going to do.
[01:00:15.273 --> 01:00:21.436]  I'm going to open the phones up in this hour to take your calls.
[01:00:21.436 --> 01:00:24.678]  And then Mike Adams is going to join us in the third hour today.
[01:00:24.678 --> 01:00:27.820]  And then I'm going to interview Dr. Zelenko in a commercial-free interview.
[01:00:28.905 --> 01:00:31.087]  That'll be part of a raft of doctors.
[01:00:31.087 --> 01:00:38.034]  Obviously, it's a Sabbath for him at sundown, which we totally understand and don't want to violate that.
[01:00:38.034 --> 01:00:41.397]  So, we're interviewing the other doctors tomorrow in a big, huge emergency broadcast.
[01:00:41.397 --> 01:00:44.160]  We're interviewing Zelenko today after I'm off air.
[01:00:44.160 --> 01:00:45.622]  That'll be commercial free.
[01:00:45.622 --> 01:00:49.305]  I say commercial free, you know, when we're talking 30 minutes, an hour before we take a break.
[01:00:49.305 --> 01:00:50.867]  It's not like a normal set clock.
[01:00:52.429 --> 01:00:56.333]  So I'm interviewing Zelenko and a bunch of other people today and tomorrow.
[01:00:56.333 --> 01:01:00.396]  And then we also have another big part of the emergency broadcast that's going to be coming out.
[01:01:00.396 --> 01:01:04.780]  I just really appreciate the crew and all the great work they do and all the great listeners.
[01:01:04.780 --> 01:01:08.583]  Today I am particularly upset.
[01:01:08.583 --> 01:01:12.747]  And I'm not saying that on air to make people feel sorry for me.
[01:01:12.747 --> 01:01:17.771]  I just... These people are killing us.
[01:01:17.771 --> 01:01:18.712]  I mean, we're under attack.
[01:01:21.303 --> 01:01:23.204]  I can be a Christ-like person myself.
[01:01:23.204 --> 01:01:28.347]  I can physically be attacked and lay down if it's the right place and time because it destroys our enemies.
[01:01:28.347 --> 01:01:29.587]  I understand that works that way.
[01:01:29.587 --> 01:01:30.528]  Gandhi did it.
[01:01:30.528 --> 01:01:31.288]  Martin Luther King Jr.
[01:01:31.288 --> 01:01:31.969]  did it.
[01:01:31.969 --> 01:01:35.070]  But I got a real problem with the kids.
[01:01:35.070 --> 01:01:36.671]  And that's why they're attacking them, folks.
[01:01:36.671 --> 01:01:38.232]  They want a war.
[01:01:38.232 --> 01:01:40.533]  And Jesus Christ wouldn't sit there and let them kill children.
[01:01:40.533 --> 01:01:41.513]  He said, I'll destroy you.
[01:01:41.513 --> 01:01:42.994]  I'll kill you.
[01:01:42.994 --> 01:01:50.418]  He said, the number one thing is you hurt these innocent children, you better just tie a rope around your neck and tie it to a boulder and throw it in the ocean because that'd be a lot better than what I'm going to do to you.
[01:01:51.460 --> 01:01:53.301]  And so, this isn't me up here acting tough.
[01:01:53.301 --> 01:01:54.702]  I know you're the same way.
[01:01:54.702 --> 01:01:57.244]  You're not trying to look for trouble, man.
[01:01:57.244 --> 01:02:01.007]  These people are out of control.
[01:02:01.007 --> 01:02:04.129]  And the worst part about it is, is it's like stepping on a cockroach.
[01:02:04.129 --> 01:02:06.011]  You've got to clean it up.
[01:02:06.011 --> 01:02:09.693]  These people are such wicked, ugly filth.
[01:02:09.693 --> 01:02:10.894]  And they know they are.
[01:02:10.894 --> 01:02:13.136]  And that's why they want to hurt our children made in God's image.
[01:02:14.611 --> 01:02:18.795]  And so let's just work really hard to wake people up and really hard to resist them.
[01:02:18.795 --> 01:02:21.117]  And let's just start having more civil disobedience.
[01:02:21.117 --> 01:02:22.659]  I went out last weekend.
[01:02:22.659 --> 01:02:24.000]  Owen went out last weekend.
[01:02:24.000 --> 01:02:25.902]  Civil disobedience stuff.
[01:02:25.902 --> 01:02:28.004]  And you've got to do it yourselves too.
[01:02:29.841 --> 01:02:43.592]  We've just got to create such a crescendo and such a noise at city councils and county commissions and at school boards and on talk radio and at your churches and at your synagogues, your mosques.
[01:02:43.592 --> 01:02:44.473]  It doesn't matter.
[01:02:44.473 --> 01:02:48.976]  You better understand you're under attack.
[01:02:48.976 --> 01:02:54.221]  And I'll be honest with you.
[01:02:54.221 --> 01:02:56.242]  I made some big mistakes.
[01:02:56.242 --> 01:02:58.184]  I really underestimated the New World Order.
[01:02:59.511 --> 01:03:04.674]  We knew they planned the viral release and then the extermination vaccines later.
[01:03:04.674 --> 01:03:09.256]  I thought they would have a placebo injection to get the precedent set.
[01:03:09.256 --> 01:03:10.537]  But no, they're not doing that.
[01:03:10.537 --> 01:03:12.217]  They're just going ahead with the extermination.
[01:03:12.217 --> 01:03:17.060]  I mean, people are dying all over the place from these injections.
[01:03:17.060 --> 01:03:23.683]  And I mean, but it makes sense.
[01:03:23.683 --> 01:03:26.365]  They were behind schedule.
[01:03:26.365 --> 01:03:29.046]  And so if you're behind schedule, you jam on the accelerator.
[01:03:30.945 --> 01:03:34.949]  You don't drive slower, you drive faster.
[01:03:34.949 --> 01:03:39.272]  And that's what's so crazy is they're desperate, they're scared, they're acting like there's a gun to their head.
[01:03:39.272 --> 01:03:42.455]  Like aliens told them, hey, we're gonna blow the planet up if you don't kill 90% of the people.
[01:03:42.455 --> 01:03:43.856]  I mean, that's how they act.
[01:03:43.856 --> 01:03:47.940]  They're gulping, they look totally freaked out on TV.
[01:03:47.940 --> 01:03:53.785]  They look like somebody's got a gun to their head and they're up there lying to everybody doing this.
[01:03:53.785 --> 01:03:57.288]  But then I see some of their minions that all have the same look.
[01:03:58.757 --> 01:04:11.948]  I saw a black YouTuber, and I think I sent it to the guys last week, but I forgot to ever play it, so I forget his name now, but he did a whole rant about liberals, and he called them dusty white people.
[01:04:11.948 --> 01:04:17.113]  And there's some black and some Hispanic, but they all look like green skin, like white.
[01:04:17.113 --> 01:04:21.577]  And I'm not going to white people, I'm saying these white people all look real ashen and
[01:04:24.457 --> 01:04:25.639]  It's like they're not there.
[01:04:25.639 --> 01:04:27.561]  They're like wraiths.
[01:04:27.561 --> 01:04:29.363]  And I've seen my enemies when I'm around them.
[01:04:29.363 --> 01:04:30.344]  That's what they look like.
[01:04:30.344 --> 01:04:33.568]  Like dirty, evil, little devils.
[01:04:33.568 --> 01:04:35.450]  And dusty white people.
[01:04:35.450 --> 01:04:37.072]  And they want to kill kids.
[01:04:37.072 --> 01:04:38.114]  I mean, look at that one.
[01:04:38.114 --> 01:04:38.854]  Oh my God.
[01:04:38.854 --> 01:04:40.236]  I mean, look at her, man.
[01:04:40.236 --> 01:04:41.898]  She looks like she's about to have a damn horror movie.
[01:04:41.898 --> 01:04:43.120]  Ryan Stelter, all of them.
[01:04:43.120 --> 01:04:43.820]  Holy hell!
[01:04:45.233 --> 01:04:46.596]  Good God, save me!
[01:04:46.596 --> 01:04:48.520]  Sign of the cross on her!
[01:04:48.520 --> 01:04:51.205]  You know what I do when MSM gets my number and calls me now?
[01:04:51.205 --> 01:04:53.229]  I send them a sign of the cross!
[01:04:53.229 --> 01:04:55.373]  I send the crucifix back at their damn ass!
[01:04:57.580 --> 01:05:04.081]  Alex Jones here to make a very important announcement to our amazing listeners and viewers.
[01:05:04.081 --> 01:05:09.382]  We have produced a limited run of something very, very special.
[01:05:09.382 --> 01:05:13.203]  It's the 1776 Founder Coin.
[01:05:13.203 --> 01:05:15.043]  You've got to see this coin for yourself.
[01:05:15.043 --> 01:05:18.844]  It's at 1776coin.com.
[01:05:18.844 --> 01:05:22.005]  And this coin makes you a founding member.
[01:05:22.765 --> 01:05:23.245]  Of course!
[01:05:45.074 --> 01:05:58.070]  That's why you're called a founding member because the funding from this is going to go towards launching these new independent systems that will empower the American people to take free speech in the face of censoring tyrants to the next level.
