[00:00:00.149 --> 00:00:05.363]  We are investigating the center of the web, and we're going wherever the truth takes us.
[00:27:35.126 --> 00:27:36.227]  Which one is more evil?
[00:27:37.368 --> 00:27:39.470]  And the answer is, all of them.
[00:27:40.336 --> 00:27:56.574]  They were all created by a blueprint developed by Cecil Rhodes 130 years ago to establish a corporate world government and take over every country, to take over every major corporation and to unify them behind an endgame goal.
[00:27:57.455 --> 00:28:03.720]  of a planetary world government that would then carry out a medical dictatorship and depopulation.
[00:28:04.521 --> 00:28:10.246]  If you think depopulation is a new thing, Plato 2,300 years ago said they should depopulate the Earth.
[00:28:11.026 --> 00:28:18.332]  And you move forward thousands of years to Sir Thomas Malthus saying you want to depopulate what is the UK today.
[00:28:19.193 --> 00:28:36.354]  So this idea has been promoted for thousands of years, and the United Nations has all these great excuses and all these great reasons it exists, but at the end of the day, it was set up by the Rockefellers and by the globalists to establish a corporate world government.
[00:28:36.694 --> 00:28:38.597]  And how does this corporate world government control people?
[00:28:40.590 --> 00:28:55.145]  The death of the financier raises yet more questions about accusations of sex trafficking involving dozens of underage girls which allegedly took place in his various estates from 2002 to 2005.
[00:28:57.728 --> 00:29:13.917]  In court filings, Goufray says she became an underage teen sex slave for Epstein, who was later directed by Maxwell and Epstein to have sex with many, quote, powerful men, including numerous prominent American politicians, powerful business executives, foreign presidents, and other world leaders.
[00:29:14.197 --> 00:29:25.443]  Among those Goufray names in sworn depositions, British royalty Prince Andrew, former governor and UN ambassador Bill Richardson, and the influential former senator from Maine, George Mitchell.
[00:29:25.543 --> 00:29:29.786]  There are a number of co-conspirators that allowed these things to occur.
[00:29:30.686 --> 00:29:35.569]  Active co-conspirators as well as passive that watched what he was doing and said nothing over the years.
[00:29:35.649 --> 00:29:39.071]  There are three categories of people that I think it's important we talk about.
[00:29:39.211 --> 00:29:43.334]  It's the abusers, the enablers, and then the friends of Jeffrey Epstein.
[00:29:43.894 --> 00:29:53.559]  The friends fall into a category where you had Jeffrey Epstein, this man masquerading as a money manager in New York City, a wealthy guy who had so many people on his side.
[00:29:53.759 --> 00:29:59.162]  These friends of Jeffrey Epstein are the people who were on his island, who were in his house at dinner.
[00:29:59.542 --> 00:30:06.345]  Those same people were having conversations with women who we now know were sexually trafficked by Epstein and sexually abused.
[00:30:06.765 --> 00:30:11.768]  Those friends, including Les Wexner, are the people who need to come forward and speak up.
[00:30:12.308 --> 00:30:19.975]  Some theorists are arguing the world's most powerful people may have been involved in his alleged prostitution circle.
[00:30:20.375 --> 00:30:22.057]  No relationship, not on nothing.
[00:30:22.698 --> 00:30:26.781]  You report these two men met at least six times.
[00:30:27.422 --> 00:30:28.443]  What does Gates say about that?
[00:30:28.848 --> 00:30:34.609]  Well, I believe there were more, and he and his spokespeople would not say how many in total they actually met.
[00:30:34.649 --> 00:30:45.571]  But this included visits to the mansion, seeing each other in Seattle, flying on Epstein's plane, when we all know Bill Gates has his own $40 million plane.
[00:30:46.451 --> 00:30:55.312]  And then, as an investigative reporter, why would Gates say, oh, I had no relationship with him, when of course he knows what the facts are?
[00:30:55.332 --> 00:30:58.113]  So that always sets off red flags for me.
[00:30:58.453 --> 00:31:10.078]  One of Epstein's attorneys asking the judge for more than a year to prepare the case, saying it would take that long to review a million discovery documents, including emails, texts, and phone records obtained in the investigation.
[00:31:10.098 --> 00:31:19.602]  I mean, there are apparently hundreds, maybe thousands of hours of closed circuit TV footage from Epstein's various properties that are still under seal for some reason.
[00:31:19.642 --> 00:31:25.485]  Will we ever find out who exactly was involved in whatever scam he was running and what they did?
[00:31:26.025 --> 00:31:40.495]  The blackmail ring of Jeffrey Epstein is just one of many across the United States of the world that go out and compromise leading scientists and academics with underage girls so that they will go along with this agenda.
[00:31:41.176 --> 00:31:46.940]  Because some people can't just be bought off with money, they've got to be set up, they've got to have their weaknesses used against them.
[00:31:47.788 --> 00:31:50.309]  So, this is a project of the British Empire.
[00:31:50.629 --> 00:31:52.210]  This is a project of Cecil Rhodes.
[00:31:52.610 --> 00:31:55.911]  This is a project of the Council on Foreign Relations.
[00:31:55.991 --> 00:32:04.254]  And everything that comes out of that, the Bilderberg Group, the Club of Rome, Davos, the UN, all promote the exact same agenda.
[00:32:04.625 --> 00:32:07.506]  This year's World Economic Forum has moved online.
[00:32:07.826 --> 00:32:11.268]  It's time to look at the big picture and work collectively.
[00:32:11.748 --> 00:32:16.150]  That's the message from day one of Business Bonanza, the Davos Agenda.
[00:32:16.450 --> 00:32:25.313]  More than 11,000 scientist signatories from around the world, clearly and unequivocally, that our planet Earth is facing a climate emergency.
[00:32:26.774 --> 00:32:29.115]  Climate change is more severe than predicted.
[00:32:29.571 --> 00:32:33.315]  And it's accelerating faster than scientists were expecting.
[00:32:33.655 --> 00:32:36.778]  We collected two sets of data over the last 40 years.
[00:32:36.798 --> 00:32:40.441]  Things like population growth, fertility rate, and meat consumption.
[00:32:40.722 --> 00:32:45.947]  And then in parallel, we also looked at atmospheric CO2, nitrous oxide, methane, ice melting.
[00:32:46.347 --> 00:32:49.370]  The data is looking much worse than expected.
[00:32:49.710 --> 00:32:52.553]  So what we have in this paper is a call to action.
[00:32:56.254 --> 00:32:56.534]  I'm good.
[00:34:00.382 --> 00:34:05.845]  So, let's go over here and check out the United Nations, and then finally answer that question once and for all.
[00:34:06.606 --> 00:34:08.707]  Which is the most evil organization of all?
[00:34:09.167 --> 00:34:13.209]  Who is really in control of all these other tentacles and heads of the Hydra?
[00:34:13.830 --> 00:34:18.532]  As you enter the United Nations building here in New York, prepare to go through all the security.
[00:34:19.313 --> 00:34:23.775]  Right there, on the building, it says Sustainable Development Goals.
[00:34:23.815 --> 00:34:25.496]  You see that rainbow circle symbol?
[00:34:25.896 --> 00:34:28.198]  That's a sun symbol, or an ancient swastika symbol.
[00:34:28.951 --> 00:34:31.352]  And that's what Klaus Schwab, Bill Gates, and all of them wear.
[00:34:33.412 --> 00:34:37.253]  And their goals are basically the end of humanity as we know it.
[00:34:38.734 --> 00:34:42.515]  The end of poverty, because most people are going to be dead.
[00:34:42.895 --> 00:34:48.776]  Behind closed doors on this New York campus, a secret gathering of some of the world's most powerful people.
[00:34:49.117 --> 00:34:51.497]  Gates, Buffett, Bloomberg, Winfrey.
[00:34:51.837 --> 00:34:53.658]  It was like, well, it was like...
[00:34:54.558 --> 00:34:55.780]  The Super Friends.
[00:34:56.240 --> 00:35:04.390]  Together with others at the meeting, including George Soros, Ted Turner, David Rockefeller, they're worth more than 125 billion dollars.
[00:35:04.510 --> 00:35:07.934]  That much money, that much power around one table.
[00:35:08.294 --> 00:35:10.657]  It begs the question, what were they doing?
[00:35:10.817 --> 00:35:12.159]  What were they scheming?
[00:35:12.479 --> 00:35:13.821]  Total world domination?
[00:35:14.261 --> 00:35:29.861]  This group, together for six hours, was talking about charity, education, emergency relief, global health, the new Superman and Wonder Woman, the super rich friends, not fighting bad guys, but fighting for good nonetheless.
[00:35:30.362 --> 00:35:38.025]  Apparently one of the things they discussed was what each of them knows about what really works and what doesn't work so they can concentrate their resources.
[00:35:38.205 --> 00:35:46.989]  So we will see definitely a lot of anger already now but probably increase by the end of the year.
[00:35:47.709 --> 00:35:53.672]  So we have to prepare for a more angry world and I see the need for action.
[00:35:53.832 --> 00:35:55.552]  I see the need for a great reset.
[00:35:55.852 --> 00:35:59.274]  It's important to understand that the UN has a lot of good people working for it.
[00:36:00.694 --> 00:36:01.995]  Just like every institution does.
[00:36:02.696 --> 00:36:22.032]  But it was founded by very, very evil globalists who want to get man to give over our nature that is inclined to love God and to allow a scientific system to take control of our trajectory, to give up our will to them so that these engineers can play God.
[00:36:22.052 --> 00:36:26.596]  So I think it's fitting that we have sirens going off in the background because this is an emergency.
[00:36:27.657 --> 00:36:28.838]  Here we have the United Nations.
[00:36:30.725 --> 00:36:37.048]  They're promoting to us their world system.
[00:36:39.289 --> 00:36:43.911]  Will food become a streaming service?
[00:36:45.232 --> 00:36:45.852]  Will nature?
[00:36:46.872 --> 00:36:52.175]  So a prelude to the weather modification that's been going on for more than 70 years that they're now declassifying.
[00:36:54.502 --> 00:36:56.603]  What should the world's diet be?
[00:36:57.283 --> 00:37:01.105]  So the United Nations is telling you, we're going to tell you what your diet is.
[00:37:01.125 --> 00:37:09.829]  And they tell you, you will eat bugs, you will drink sewage, you will have nothing, you will own nothing, and you will like it.
[00:37:10.389 --> 00:37:15.192]  Imagine a world where the richer you are, the less you own.
[00:37:16.472 --> 00:37:21.735]  A world where a fancy car, a large house, and expensive clothes
[00:37:22.623 --> 00:37:25.747]  Cease to be a status symbol and become a burden.
[00:37:27.409 --> 00:37:35.900]  How would life look like with no belongings, no commodities, no wallet, no assets or property?
[00:37:37.338 --> 00:37:42.100]  A world where the only things you can buy are services and experiences.
[00:37:42.701 --> 00:37:45.082]  The phrase, you will own nothing and you will be happy.
[00:37:45.182 --> 00:37:47.603]  My question is, if I don't own anything, then who does?
[00:37:47.703 --> 00:37:48.844]  Who controls the resources?
[00:37:48.904 --> 00:37:54.546]  Well, it seems like the most obvious answer is the very people who practically own everything now, i.e., members of the World Economic Forum.
[00:37:54.687 --> 00:37:57.308]  No conspiracy, just factual and well-stated intentions.
[00:37:58.078 --> 00:38:01.959]  Is it possible to own nothing but have everything?
[00:38:02.399 --> 00:38:12.863]  The problem is with this video is it's the exact mood of like a dystopian thing that you'd be sort of forced to sit and watch with matchsticks holding your eyes open in a great big terrifying cinema.
[00:38:48.476 --> 00:38:49.717]  We're good to go.
[00:39:11.567 --> 00:39:30.550]  The idea that we will own nothing and we will be happy sounds like a terrifying, not Orwellian, but sort of Huxleyan idea that we will be somered into compliance, drugged by a sort of a magical substance in our water into dumb compliance with the objectives of the powerful while we live as kind of human drones.
[00:39:31.598 --> 00:39:39.241]  Gradually, by selective breeding, the congenital differences between rulers and ruled will increase until they become almost different species.
[00:39:39.702 --> 00:39:45.984]  A revolt of the plebs would become as unthinkable as an organized insurrection of sheep against the practice of eating mutton.
[00:39:46.345 --> 00:39:47.045]  Bertrand Russell.
[00:39:48.766 --> 00:39:49.086]  H.G.
[00:39:49.126 --> 00:40:00.531]  Wells, Aldous Huxley, Bertrand Russell, and hundreds of other eugenicists constantly bragged about how the establishment believed themselves to be a separate, more advanced species than the common man.
[00:40:02.338 --> 00:40:11.647]  Top Eugenicists were bold enough to admit that their real goal was not improving the heredity of the commoner, but to further dumb them down so that they could be more manageable.
[00:40:12.988 --> 00:40:25.059]  Nobel Prize winner Russell wrote at length about how vaccinations filled with mercury and other brain-damaging compounds would induce partial chemical lobotomies and develop a servile zombie population.
[00:40:26.104 --> 00:40:29.825]  As a technology product designer, I've started to notice the shift from physical products to digital services.
[00:40:51.556 --> 00:41:00.741]  I believe that as objects become smarter, infused with bits of intelligence and technology, they will transform into services.
[00:41:01.821 --> 00:41:07.524]  Swapped, shared, used, in the same social way we swap digital media.
[00:41:13.931 --> 00:41:15.372]  Certainly in the next 10 years.
[00:41:15.392 --> 00:41:22.157]  First, we're going to implant them in our clothes, that is, wearables, as we say.
[00:41:22.897 --> 00:41:28.901]  And then we could imagine that we implant them in our brains or in our skin.
[00:41:28.921 --> 00:41:34.285]  And in the end, maybe there will be a direct communication between our brain and the digital world.
[00:41:34.305 --> 00:41:41.350]  What we see is a kind of fusion of the physical world
[00:41:45.333 --> 00:41:54.340]  That is the official policy of the UN and their spokesperson, Klaus Schwab, who formerly headed up a major United Nations department.
[00:41:54.700 --> 00:41:56.522]  So what should the world's diet be?
[00:41:58.003 --> 00:42:00.485]  Will sustainability create equality?
[00:42:01.686 --> 00:42:04.848]  Oh, they want to make us all equal, equally enslaved.
[00:42:06.590 --> 00:42:07.871]  Will machine learning
[00:42:09.500 --> 00:42:12.821]  Two billion people around the world supplement their diet with insects.
[00:42:38.092 --> 00:42:42.675]  Now a new report says creepy crawlies could help avoid a potential global food crisis.
[00:42:43.595 --> 00:42:45.276]  Communes instead of cities?
[00:42:46.176 --> 00:42:50.639]  Big plastic camps that we all live in where computers tell us how we live?
[00:42:51.259 --> 00:42:53.360]  That's gonna be fair, but who programs the computers?
[00:42:54.901 --> 00:42:55.942]  That is the program.
[00:42:57.262 --> 00:42:57.703]  The plan.
[00:42:59.241 --> 00:43:15.732]  The operation being pushed by these transhumanists who've set themselves up as the priest class, as the gods, and we must bow down to them and give up our humanity as sacrifices to them, and then they will dole out the advanced technology like Moses from the mountain down to us mere mortals.
[00:43:16.343 --> 00:43:24.689]  We are now still fighting the virus, but we can be rather optimistic after what we have seen with the announcement of vaccines.
[00:43:25.189 --> 00:43:30.392]  Now we have to think how to structure, how to design the post-Corona era.
[00:43:30.973 --> 00:43:35.856]  And here, of course, the word reset comes to my mind, because one thing is clear.
[00:43:36.216 --> 00:43:38.838]  We cannot come back to the old normal.
[00:43:39.178 --> 00:43:45.783]  We have to use this opportunity, as our parents and grandparents have done after the World War II.
[00:43:46.563 --> 00:43:51.367]  To really reflect on what went wrong and what could we do better.
[00:43:52.068 --> 00:43:55.511]  There's only one more thing the UN loves more than pedophilia.
[00:43:56.374 --> 00:43:58.116]  Sex slavery and human trafficking.
[00:43:58.796 --> 00:43:59.617]  And that's genocide.
[00:44:00.378 --> 00:44:04.721]  They've executed and ran genocides in Africa, in Asia, and in Latin America.
[00:44:05.222 --> 00:44:09.986]  It's their job as UN peacekeepers to go in and kill whole villages that won't turn their property over.
[00:44:10.466 --> 00:44:12.988]  It's their job to carry out the forced inoculations.
[00:44:13.629 --> 00:44:17.893]  They ran the Rwandan massacre in the early 1990s, working with the Clintons.
[00:44:18.820 --> 00:44:30.544]  The United Nations is the greatest criminal organization the planet has ever seen, and it fits like hand and glove with the communist Chinese, North Koreans, and other authoritarians across the world.
[00:44:31.224 --> 00:44:42.388]  The United Nations was a criminal organization founded by eugenicist globalists for the express goal of a tyrannical, oppressive world government to carry out forced depopulation.
[00:44:42.848 --> 00:44:47.330]  The United Nations is the enemy of every man, woman, and child in every sovereign state.
[00:44:48.010 --> 00:44:52.172]  The United Nations is the sword of death.
[00:44:53.292 --> 00:45:15.981]  We all know, but still pay insufficient attention to the frightening scenario of a comprehensive cyber attack which would bring to a complete halt to the power supply, transportation, hospital services, our society as a whole.
[00:45:16.969 --> 00:45:25.691]  The COVID-19 crisis would be seen in this respect as a small disturbance in comparison.
[00:45:25.711 --> 00:45:28.671]  The economy is not going to be anything like it was.
[00:45:28.691 --> 00:45:30.752]  It's going to take a long time to recover.
[00:45:30.812 --> 00:45:35.332]  It's going to be, you know, people are going to be surprised at how slow and how fitful this is.
[00:45:35.492 --> 00:45:38.213]  It's going to take a long time to recover.
[00:45:38.293 --> 00:45:44.234]  It's going to be, you know, people are going to be surprised at how slow and how fitful this is.
[00:45:44.654 --> 00:45:52.780]  An epidemic, either naturally caused or intentionally caused, is the most likely thing to cause, say, 10 million excess deaths.
[00:45:53.180 --> 00:45:58.324]  Today, the greatest risk of global catastrophe doesn't look like this.
[00:45:59.665 --> 00:46:01.366]  Instead, it looks like this.
[00:46:03.789 --> 00:46:13.755]  If anything kills over 10 million people in the next few decades, it's most likely to be a highly infectious virus rather than a war.
[00:46:14.475 --> 00:46:18.157]  What else are we not listening to that we need to take action on now?
[00:46:18.838 --> 00:46:20.079]  Well, the...
[00:46:21.451 --> 00:46:29.236]  The idea of a bioterrorist attack is kind of the nightmare scenario because there, a pathogen with a high death rate would be picked.
[00:46:29.256 --> 00:46:48.787]  Now the good news is, I'm not trying to depress you, it's tough enough right now, that most of the work we're going to do to be ready for Pandemic 2, I call this Pandemic 1, most of the work we'll do to be ready for that are also the things we need to do to minimize the threat of bioterrorism.
[00:46:52.915 --> 00:46:54.395]  You know where the CIA tunes in, right?
[00:46:54.475 --> 00:46:55.735]  You know where the Russians tune in?
[00:46:55.755 --> 00:46:56.856]  You know where everybody tunes in, right?
[00:46:56.916 --> 00:46:58.296]  You know who Tucker Carlson tunes in to?
[00:46:58.316 --> 00:46:59.036]  And Joe Rogan?
[00:46:59.276 --> 00:46:59.776]  Elon Musk?
[00:46:59.916 --> 00:47:00.996]  You know where they tune in, right?
[00:47:01.196 --> 00:47:01.917]  They tune in right here!
[00:47:05.897 --> 00:47:06.637]  InfoWars.
[00:47:06.997 --> 00:47:07.898]  Tomorrow's News.
[00:47:08.198 --> 00:47:08.618]  Today.
[00:47:09.118 --> 00:47:14.479]  I've got a proposal for viewers and listeners that is one of the most important proposals you'll ever get in your life.
[00:47:14.959 --> 00:47:21.100]  I know how good it works because I finally listened to Dr. Edward Grubb seven, eight years ago.
[00:47:22.110 --> 00:47:25.572]  When he said to me, Alex, you're exercising a lot, but you're overweight.
[00:47:26.333 --> 00:47:28.854]  You probably have a deficiency in high quality iodine.
[00:47:28.894 --> 00:47:31.736]  Most iodine is bound into the soil or into the food.
[00:47:31.876 --> 00:47:32.696]  You're not absorbing it.
[00:47:32.736 --> 00:47:34.678]  Most people have iodine deficiencies.
[00:47:34.718 --> 00:47:43.663]  He showed me articles where the UN admits that 2 billion plus people have cognitive disabilities and lower IQ because of low iodine in utero and after they were born and as adults.
[00:47:43.803 --> 00:47:57.595]  And so I finally started taking Deep Earth Crystal Iodine, and he was the only guy to ever actually go out and find an oil company that was digging it out of the ground at 7,000 to 12,000 feet, versus most folks getting it out of seaweed, which still has some good effects, but not as good as what he had.
[00:47:57.655 --> 00:48:00.477]  Well, we have it today, and that's Survival Shield X2.
[00:48:01.058 --> 00:48:05.782]  Survival Shield X2 is the Deep Earth Crystal Iodine.
[00:48:05.882 --> 00:48:08.484]  It's 100% Deep Earth Crystal True Nascent Iodine.
[00:48:08.544 --> 00:48:12.366]  But then we developed, working with other scientists, X3.
[00:48:12.826 --> 00:48:15.007]  Now, I'm not saying X2 is better than X3.
[00:48:15.067 --> 00:48:16.808]  They're apples and oranges.
[00:48:16.888 --> 00:48:23.432]  And we have X2 at 50% off in stock with free shipping right now, part of our 4th of July Super Sale.
[00:48:23.472 --> 00:48:29.015]  But I was able to get in a bigger order of X3 because it's become a big seller over the years.
[00:48:29.155 --> 00:48:37.699]  It's got the Deep Earth Crystal Iodine with two other types of clean, good iodine that are better for some people than just one type of iodine.
[00:48:37.859 --> 00:48:44.883]  Some people can't absorb the pure iodine, the atomic iodine, and they need the other types of naturally occurring iodine.
[00:48:44.923 --> 00:48:49.465]  This has all three, so it's apples and it's oranges.
[00:48:49.525 --> 00:48:51.526]  It's not, is an apple better or is an orange better?
[00:48:52.247 --> 00:48:54.708]  Or is a potato better or a tomato better?
[00:48:54.808 --> 00:48:57.309]  Or are black grapes better than green grapes?
[00:48:57.449 --> 00:48:59.571]  Or is this type of squash better than that squash?
[00:48:59.671 --> 00:49:02.272]  It's two different things, ladies and gentlemen.
[00:49:02.372 --> 00:49:06.395]  I'd liken it to regular yellow gold being gold, and you have white gold.
[00:49:06.515 --> 00:49:08.237]  It's gold, it's just silver looking.
[00:49:08.317 --> 00:49:14.381]  I mean, it's very similar, but it's two different things at the molecular level, and that's just my goofy way of breaking it down.
[00:49:14.461 --> 00:49:18.685]  So, I want to challenge listeners, and I want to challenge viewers to support the broadcast.
[00:49:18.745 --> 00:49:21.687]  Hell, go to m4warstore.com, right in the middle section right there.
[00:49:21.727 --> 00:49:25.610]  You can become a sponsor and make a one-time gift of $10, $50, $100 to fund us.
[00:49:25.670 --> 00:49:29.513]  That way, after credit card fees and stuff, we get about 95% of it to actually fund
[00:49:29.693 --> 00:49:30.373]  We're good to go.
[00:49:52.859 --> 00:49:53.559]  And X3.
[00:49:53.920 --> 00:49:59.202]  If you don't know about the bad halogens, fluoride, bromide, chlorine, there's a whole list of them.
[00:49:59.582 --> 00:50:05.805]  They hurt you, they give you cancer, they take over your thyroid, they take over your hypothalamus, they attack your organs.
[00:50:06.405 --> 00:50:13.368]  And if your body doesn't have iodine, it will absorb the bad halogens that Big Brother and the New World Order make sure in everything we do.
[00:50:13.808 --> 00:50:16.390]  In all these products, in all the plastics, in the water.
[00:50:16.950 --> 00:50:21.472]  So, the good part about having this iodine is it blocks those and pulls those out of the body.
[00:50:21.952 --> 00:50:33.596]  For adults, for children, for everybody, you need these iodine products, X2 and X3, 50 and 60% off respectively, with free shipping, double patriot points, through July 4th, and your purchase funds the operation.
[00:50:33.636 --> 00:50:34.836]  So don't procrastinate.
[00:50:34.916 --> 00:50:39.778]  Go to InfoWarsTore.com now and order X2 and X3 and some of the other great products.
[00:50:39.838 --> 00:50:40.898]  Thank you all for your support.
[00:50:41.278 --> 00:50:42.219]  InfoWars!
[00:50:42.699 --> 00:50:43.619]  InfoWars!
[00:50:44.119 --> 00:50:45.099]  InfoWars!
[00:50:45.560 --> 00:50:46.480]  InfoWars!
[00:50:46.940 --> 00:50:47.860]  InfoWars!
[00:50:48.321 --> 00:50:49.241]  InfoWars!
